ParlaMint-GB_2019-02-27-commons.u1	1. What recent steps he has taken to promote international trading opportunities for Wales.
ParlaMint-GB_2019-02-27-commons.u12	Dydd Gŵyl Dewi hapus for Friday, Mr Speaker. I pay my good wishes to Sam on the sad loss of Paul Flynn. This is the first chance I have had to do that. He was a great man. He actually stood in my constituency in 1974 In January, Dyson announced the relocation of its HQ to Singapore, Hitachi ended its interest in Wylfa and Airbus said it was prepared to leave Wales in the event of a no-deal Brexit. The Government’s handling of Brexit has been described as a “disgrace” by Airbus’s Tom Enders and a “state of total confusion” by tycoon Sir Martin Sorrell. What message does that send to international investors and traders about trading opportunities in Wales?
ParlaMint-GB_2019-02-27-commons.u13	If I might politely say so, the hon. Gentleman is being a little selective with his examples. I would point him to the employment figures. The real figures show that foreign direct investment last year created 3,107 new Welsh jobs, which is a 20% increase. I understand why he might want to paint a gloomy picture. Airbus has made it perfectly clear that it does not want no deal. It wants a deal, and the best thing that he and his party could do is support the deal when it comes before the House.
ParlaMint-GB_2019-02-27-commons.u14	2. What steps he is taking to secure the legislative consent of the National Assembly for Wales for the European Union (Withdrawal Agreement) Bill.
ParlaMint-GB_2019-02-27-commons.u15	This is the first Welsh questions since the sad passing of our friend and colleague, Paul Flynn. He leaves a significant space on the Labour Back Benches The Government are engaging extensively with the Welsh Government in preparing the European Union (Withdrawal Agreement) Bill. This includes bilateral engagement and meetings of the Joint Ministerial Committees.
ParlaMint-GB_2019-02-27-commons.u16	The National Assembly for Wales backed the Plaid Cymru motion calling for work to begin immediately on preparing for a public vote. A recent poll by YouGov also found that more Welsh voters back a people’s vote than do not. If the Secretary of State is truly Wales’s voice in Westminster, as he so boldly claims, will he outline the preparations he has pressed the Prime Minister for to facilitate a people’s vote?
ParlaMint-GB_2019-02-27-commons.u17	I am grateful to the hon. Lady for her question, but I would politely point out to her that Wales voted to leave the European Union in even stronger numbers than the rest of the UK. We have an obligation to act on the instruction that comes from that referendum, but in doing so we will continue to work closely with the Welsh Government to ensure and secure a smooth and orderly exit.
ParlaMint-GB_2019-02-27-commons.u18	I first met Paul Flynn in 1980. He was absolutely inspirational to me then and he continued to be a source of inspiration throughout the many years I had the privilege to know him Will the Secretary of State guarantee that the Welsh Government will be fully represented in any negotiations with the EU that impact on devolved competence and policy?
ParlaMint-GB_2019-02-27-commons.u19	The UK Government have been open and transparent in their dealings with the Welsh Government on representation and engagement. In fact, the Welsh Government sit on the EU Exit and Trade (Preparedness) Sub-Committee, which shows and demonstrates our positive engagement. I am only disappointed that the same privilege and opportunity has not been extended to the UK Government to sit on the Welsh Government’s similar committee.
ParlaMint-GB_2019-02-27-commons.u20	I thank the Secretary of State for his answer, but does he understand that if the UK Government negotiate free trade agreements, for example with the USA, which force hormone-injected beef and chlorinated chicken on the people of Wales without the legislative consent of the elected Welsh Government, that will trigger a major constitutional crisis? Is he prepared to risk that?
ParlaMint-GB_2019-02-27-commons.u21	First, I do not accept the basis of the question, but the hon. Lady raises an important point. We will, of course, continue our warm, constructive and positive engagement with all the devolved Administrations. Our work with the Welsh Government on leaving the European Union has proved fruitful so far. We have laid 120 statutory instruments on behalf of the Welsh Government and at their request. In terms of future trade agreements, we will continue to work with them constructively in the interests of the whole of the UK. Clearly, my interests and their interests will be to defend the Welsh interest. I plan to continue to work with them on that positive basis.
ParlaMint-GB_2019-02-27-commons.u22	3. What recent discussions he has had with the Welsh Government on sector-specific plans to support the Welsh economy in the event that the UK leaves the EU without a deal.
ParlaMint-GB_2019-02-27-commons.u23	8. What recent discussions he has had with the Welsh Government on sector-specific plans to support the Welsh economy in the event that the UK leaves the EU without a deal.
ParlaMint-GB_2019-02-27-commons.u24	I meet my counterparts in the Welsh Government on a regular basis, including Baroness Eluned Morgan on Monday, to discuss a range of policy areas. A responsible Government prepare for every eventuality, including no deal, and we continue to work together on operational readiness through the Joint Ministerial Committees.
ParlaMint-GB_2019-02-27-commons.u25	That is all very well, but the Government’s no-deal assessment made it clear that the impact of a no-deal Brexit on the UK’s food and drink sector would be most damaging in Wales, Scotland and Northern Ireland, where the sector comprises over 5% of those economies compared with just 1.38% in England. How can the Government claim, therefore, that this is a partnership of equal nations when they stand ready to ruin the economies of three, purely in the interests of Tory party unity?
ParlaMint-GB_2019-02-27-commons.u26	The hon. Gentleman is quite selective with the data that he points to. He has highlighted one scenario, but if he is happy to take that message so clearly from the sector that he has highlighted, that same sector encouraged him to support the Prime Minister’s deal with the European Union. When that meaningful vote returns to Parliament, I hope that he will heed that message then.
ParlaMint-GB_2019-02-27-commons.u27	Will the Secretary of State recognise that 92% of Welsh lamb goes for EU export? Welsh hill farmers have said that if a no-deal Brexit goes ahead, their industry will be decimated and wiped out—a view confirmed in his economic evidence that was published last night. If that is his analysis, will the Secretary of State for Wales act responsibly and make sure that Welsh lamb is protected?
ParlaMint-GB_2019-02-27-commons.u28	I would say similarly to the hon. Gentleman that absolutely, we recognise the importance of Welsh agriculture, as we do all the important employment and economic sectors in Wales. The National Farmers Union and NFU Cymru were strong supporters of the deal with the European Union, so if he is happy to repeat their message today, I hope that he is happy to act on their message when it comes to voting on the meaningful vote in this House.
ParlaMint-GB_2019-02-27-commons.u29	Does my right hon. Friend agree that agriculture is a very important industry not only for Britain but for Wales—particularly, as has already been outlined, Welsh lamb? What measures could be taken in the event of a no-deal Brexit? Clearly the deal would be the first option, but if there was a no-deal Brexit, how would those difficulties be overcome?
ParlaMint-GB_2019-02-27-commons.u30	My right hon. and learned Friend raises an important point. Agriculture is an extremely important part of the Welsh economy and is disproportionately important there compared with the rest of the UK. We would, of course, act in a way that would protect the interests of that economy to ensure that those jobs are there for the long-term future, in spite of any short-term challenge.
ParlaMint-GB_2019-02-27-commons.u31	Regardless of whether we have a no-deal Brexit, is my right hon. Friend aware—I am sure he probably is—that it is coming up to the 50th anniversary of the investiture of the Prince of Wales? How can we employ, in that sense of the word, the Prince of Wales’s soft power and so on to promote Wales and the Welsh economy?
ParlaMint-GB_2019-02-27-commons.u32	Irrespective of membership of or departure from the European Union, with which matter we would not want to involve him in any way.
ParlaMint-GB_2019-02-27-commons.u33	My hon. Friend makes an important point. As we leave the European Union, there is an opportunity to look outwards, and the Prince of Wales is a great champion of Wales and brings about significant soft power. We rightly recognised him last year by renaming the second Severn crossing the Prince of Wales bridge. I pay tribute to Her Majesty the Queen, who will host a reception next week to mark the 50 years since the Prince of Wales was named such.
ParlaMint-GB_2019-02-27-commons.u34	The voice of Ogmore will be heard, but I see a great phalanx of men standing and only one female Member. Jo Stevens must be heard!
ParlaMint-GB_2019-02-27-commons.u35	Thank you very much, Mr Speaker. Every sector of the Welsh economy is going to be damaged by the UK leaving the EU, so will the Secretary of State for Wales confirm that he will be voting to rule out no deal?
ParlaMint-GB_2019-02-27-commons.u36	I will be voting for a deal with the European Union. The hon. Lady will have an interest in a whole range of sectors, be they agriculture or automotive, and all those sectors have strongly supported the Prime Minister’s deal with the European Union. I am disappointed that the hon. Lady voted against that, making no deal more likely.
ParlaMint-GB_2019-02-27-commons.u37	11. One of the ways that the Welsh Secretary could start doing his job and providing support for the Welsh economy is by confirming how the Shared Prosperity Fund will work beyond 2020. Treasury Ministers and Business, Energy and Industrial Strategy Ministers will not give me an answer, so is it not time that he stepped up, did his job and explained to the House how the Shared Prosperity Fund will work?
ParlaMint-GB_2019-02-27-commons.u38	I do not want to pre-empt our consultation, which will go out very shortly, but I say candidly to the hon. Gentleman that he will recognise that more than £4 billion—approaching £5 billion—in EU structural funds has been spent in the Welsh economy over the last 17 years; does he honestly believe that we have had the best value from that, and is there not a better opportunity to deliver better value for money for the taxpayer?
ParlaMint-GB_2019-02-27-commons.u39	I am asking the questions, not you.
ParlaMint-GB_2019-02-27-commons.u40	The question was a rhetorical one; it requires no answer, and indeed it would be inappropriate, as the Secretary of State knows.
ParlaMint-GB_2019-02-27-commons.u41	4. What recent discussions he has had with businesses in Wales on preparations for the UK leaving the EU.
ParlaMint-GB_2019-02-27-commons.u42	Since the referendum I have been talking to stakeholders the length and breadth of Wales on the implications of EU exit. This includes the discussions I have had with my expert panel and economic advisory board, which met again last month.
ParlaMint-GB_2019-02-27-commons.u43	I am grateful to the Secretary of State for that answer, but what steps is his Department taking specifically to support small businesses reliant on tourism in Wales?
ParlaMint-GB_2019-02-27-commons.u44	My hon. Friend is a great champion of his constituency, and I have no doubt that people in Corby and east Northamptonshire will want to visit Wales regularly. This is a great opportunity to highlight Wales Week in London. Wales Week has gone global this year, being held in New York, in Washington and in all parts of the UK. I would be interested in seeing what we can do in my hon. Friend’s constituency next year.
ParlaMint-GB_2019-02-27-commons.u45	10. My constituent’s restaurant business is under threat because of this Brexit chaos. His Polish and Hungarian staff, who have been with him from the start, have left, and the pound is plummeting, causing huge challenge to him. Does the Secretary of State believe that this chaotic Brexit is really making Wales a more attractive place for visitors?
ParlaMint-GB_2019-02-27-commons.u46	There is absolutely no reason why those employees should have left, because we have respected their rights. I only hope and wish that as we continue to negotiate, all the rights of UK nationals living in the European Union will be respected in exactly the same way. The hon. Lady voted against the Prime Minister’s deal with the European Union, and by doing so she is making no deal far more likely. So I would encourage her to look objectively at the data, and to support the meaningful vote when it comes up.
ParlaMint-GB_2019-02-27-commons.u47	What discussions has my right hon. Friend had with the Secretary of State for Business, Energy and Industrial Strategy about relocating the resources that are concentrated on Victoria Street into Wales and into Scotland?
ParlaMint-GB_2019-02-27-commons.u48	My hon. Friend makes an important point. My right hon. Friend the Chancellor of the Duchy of Lancaster and Minister for the Cabinet Office already has an agenda to take as many jobs as possible out of Whitehall and relocate them across the rest of the UK on an ongoing basis. Leaving the European Union will bring new responsibilities. I think there is an opportunity for my hon. Friend’s constituency, and I shall be seeking to play my part in ensuring that Wales benefits too.
ParlaMint-GB_2019-02-27-commons.u49	In respect of Welsh business preparation for Brexit, can the Secretary of State tell me how many of the hundreds of Government Brexit work streams have been allocated exclusively or primarily to the Wales Office?
ParlaMint-GB_2019-02-27-commons.u50	The hon. Gentleman will be aware that the Wales Office sits and acts right across the whole of Government, but my prime lead is with the Welsh Government. We have now ensured that they sit on the European Union Exit and Trade (Preparedness) Sub-Committee, and as I mentioned earlier, I only hope that they will similarly invite a UK Government representative to sit on their equivalent Committee.
ParlaMint-GB_2019-02-27-commons.u51	5. What assessment he has made of the effect of changes to policing budgets since 2015 on the effectiveness of Welsh police forces.
ParlaMint-GB_2019-02-27-commons.u52	The Government understand that police demand is changing and becoming increasingly complex. That is why, after speaking to all police forces in England and Wales, we have provided a comprehensive funding settlement that increased total investment in the police by over £460 million in 2018-19.
ParlaMint-GB_2019-02-27-commons.u53	By 2019-20, Gwent police will have seen a 26% cut in its core Government grant compared with 2010-11. Why do this Government keep making it more difficult for Gwent police to keep my constituents safe?
ParlaMint-GB_2019-02-27-commons.u54	I remind the hon. Gentleman that the 2019-20 settlement provides total funding of up to £14 billion, and it is an increase of up to £970 million on the previous year. I would also politely remind him that the Labour party voted against that increased funding.
ParlaMint-GB_2019-02-27-commons.u55	6. What recent discussions he has had with the Welsh Government on the effect of the industrial strategy on the Welsh economy.
ParlaMint-GB_2019-02-27-commons.u56	The industrial strategy provides a platform for the Welsh economy to thrive, and we have been working closely with the Welsh Government to ensure that we make the most of the opportunities available. We are already delivering a wide range of projects in Wales, such as through the industrial strategy challenge fund, for which Wales is scoring well above its population share.
ParlaMint-GB_2019-02-27-commons.u57	If you will allow me, Mr Speaker, I would like to pay tribute to my parliamentary next-door neighbour, Paul Flynn. The unique, unforgettable parliamentarian he was will be missed by all in this House I wonder whether the Secretary of State is concerned by the news that the Welsh Automotive Forum says that once Honda stops production in Swindon, 12 companies based in Wales will be affected by that decision. If he is worried, what will he do for those small and medium-sized enterprises to open up new markets?
ParlaMint-GB_2019-02-27-commons.u58	The hon. Gentleman has raised an important point. I was in Japan last week when the ambassador received the news. It is necessary to recognise that this is nothing to do with Brexit; it is about changing market habits and about Honda’s changing approach. We have already been in touch with the Welsh Automotive Forum and are engaging positively with its members. The hon. Gentleman is right about the number of companies, but the exposure is more limited than it might initially suggest.
ParlaMint-GB_2019-02-27-commons.u59	In terms of the industrial strategy, does the Secretary of State think that the chronic M4 congestion around Newport, which snarled up the England rugby team coach last Friday, was part of a cunning plan to give Wales the edge, or just a consequence of 20 years of failure on the part of a Welsh Labour Government, who cannot build a road?
ParlaMint-GB_2019-02-27-commons.u60	My right hon. Friend is absolutely right. Even the Welsh coach, Warren Gatland, said to Eddie Jones that he would never have travelled through Newport at that time of day because of the congestion in the area. That might be light-hearted, but the reality is that the problem is causing serious reputational damage to Wales. The plan is available and makes a positive recommendation, and the money is available from the Treasury. I wish that the Welsh Government would just get on and deliver the road.
ParlaMint-GB_2019-02-27-commons.u61	I am sure the House will join me in welcoming the serendipity of the alignment of stars whereby in every year ending in “9” since 1949, Wales has beaten England Wylfa Newydd was a key development underpinning north Wales growth deal projects. Now that Hitachi has pulled the plug on Wylfa, what is the Secretary of State doing to secure additional funding, specifically infrastructure investment, over and above the £120 million currently committed by the Government?
ParlaMint-GB_2019-02-27-commons.u62	The hon. Lady has asked an important question, but Hitachi has paused the project and is maintaining the development consent order. It has not pulled the plug. When I met the chairman last week, he was keen to continue to engage. We will look open-mindedly at the north Wales growth deal, but it is of course a matter for local authorities and businesses to submit bids to me so that I can consider them in due course.
ParlaMint-GB_2019-02-27-commons.u63	What assessment has the Secretary of State made of the potential use of Crown Estates revenue income from Wales, or other Treasury funds to support the development of energy infrastructure, and specifically to develop the tidal stream energy sector in Pembrokeshire, Llŷn and Ynys Cybi?
ParlaMint-GB_2019-02-27-commons.u64	The hon. Lady has given some excellent examples of projects that could well gain support through the north or the mid Wales growth deal or the Swansea city deal. Those are the sorts of projects that I should like to explore, but of course they are bottom up. Working with the hon. Lady and with local partners, I shall be happy to see what we can do.
ParlaMint-GB_2019-02-27-commons.u65	7. What recent discussions he has had with the Welsh Government on plans to reduce journey times between Chepstow and Gloucestershire.
ParlaMint-GB_2019-02-27-commons.u66	We have regular discussions with the Welsh Government about cross-border roads, including the proposed A48 bypass around Chepstow. We know that a bypass could improve journey times between Chepstow and Gloucestershire as well as reduce air pollution, and we look forward to working with the Welsh Government to deliver this vital piece of infrastructure.
ParlaMint-GB_2019-02-27-commons.u67	There are times when a drive through Chepstow resembles the rush hour in Lagos or Mexico City. Will Ministers therefore do everything that they can to encourage the local authorities in Gloucester, the Welsh Government and the Department for Transport to work with Monmouthshire council to deliver that bypass as soon as possible?
ParlaMint-GB_2019-02-27-commons.u68	There is no greater champion and voice for Chepstow than my hon. Friend. The Government are dedicated to improving transport infrastructure across Wales, for instance by providing a new relief road. We have abolished the tolls over the Severn, and I know from personal experience on Saturday that Chepstow could do with a bypass.
ParlaMint-GB_2019-02-27-commons.u69	I call Ian C. Lucas.
ParlaMint-GB_2019-02-27-commons.u70	rose—
ParlaMint-GB_2019-02-27-commons.u71	Order. The hon. Gentleman must resume his seat. He is a fine man and Slough is a very good place, but it is a long way from Chepstow or Gloucestershire. If the inquiry consists of one sentence and relates either to Chepstow or to Gloucestershire, I will hear it. If it is about Slough, he must remain seated. Blurt it out, man.
ParlaMint-GB_2019-02-27-commons.u72	Thank you, Mr Speaker. The western rail link to Heathrow will significantly reduce the journey time between Wales and the airport. The Government committed themselves to the link in 2012. When will it finally be built?
ParlaMint-GB_2019-02-27-commons.u73	The hon. Gentleman—who has been incredibly creative in getting his question in under Chepstow—will be pleased to hear that we are continuing to engage with the Department for Transport on this vital project.
ParlaMint-GB_2019-02-27-commons.u74	9. What discussions he has had with Cabinet colleagues on the potential effect of F-35 contracts on (a) industry in and (b) exports from Wales.
ParlaMint-GB_2019-02-27-commons.u75	Again there is no stronger voice for Wales than that of my right hon. Friend, who has a long-standing interest in Wales. Yesterday I met the Minister with responsibility for defence procurement, my hon. Friend the Member for Pudsey (Stuart Andrew) to discuss the F-35 contract. The recent announcement puts Wales right at the centre of the global F-35 partnership. It is the largest defence programme in history.
ParlaMint-GB_2019-02-27-commons.u76	It was a great pleasure to visit the F-35 factory in Fort Worth in the summer of 2016, and of course the F-35 has a huge UK content to it, so does my hon. Friend agree that these contracts show the immense contribution being made by the Welsh defence industry to the UK economy and exports overall?
ParlaMint-GB_2019-02-27-commons.u77	The aerospace and defence industries are in very good health in Wales. In the financial year 2017-18, the UK Government spent £960 million with the Welsh defence industry and commerce; that is up from £946 million. This supports an estimated 6,300 jobs in Wales and the half a billion pound F-35 contract is to be welcomed right across this House.
ParlaMint-GB_2019-02-27-commons.u78	Will the Minister meet with aerospace businesses such as Tritech, Magellan and Solvay in Wrexham to ensure that in the event of a no-deal Brexit we maximise spend within the UK to benefit our businesses?
ParlaMint-GB_2019-02-27-commons.u79	I certainly would agree to meet with the aerospace industry. I have already visited a number of companies. I am also committed to holding a roundtable on this very subject and I am more than happy to meet the hon. Gentleman as well to discuss this further.
ParlaMint-GB_2019-02-27-commons.u80	12. Given the huge challenges that the steel industry and car manufacturers face in Wales, as well as in the rest of the UK, even at this late stage, would it not be better if the Secretary of State and the rest of the Government committed Britain to staying in the customs union?
ParlaMint-GB_2019-02-27-commons.u81	The hon. Gentleman raises this issue on the European Union. He voted against the Prime Minister’s deal. That makes no deal far more likely. The only way to secure a smooth, orderly exit from the European Union is to support the Prime Minister’s deal when the meaningful vote comes back to this House.
ParlaMint-GB_2019-02-27-commons.u82	Since the hon. Member for Ceredigion (Ben Lake) is conscious that he has a question on the Order Paper, he can have it.
ParlaMint-GB_2019-02-27-commons.u83	13. What recent discussions he has had with the Secretary of State for Transport on the future of the RNLI lifeboat in New Quay.
ParlaMint-GB_2019-02-27-commons.u84	I thank the hon. Gentleman for his work on this important issue. The UK Government do not anticipate that the RNLI’s decision to replace the all-weather lifeboat with the Atlantic 85 vessel will have an impact on its capability to co-ordinate search and rescue in Cardigan bay.
ParlaMint-GB_2019-02-27-commons.u85	I thank the Minister for his answer. He will be aware that the decision to remove the all-weather lifeboat from New Quay has caused considerable concern in Ceredigion and further afield. May I ask him to again raise this matter with the Department for Transport and press for detailed reassurances that the removal will not diminish search and rescue capabilities in Cardigan bay?
ParlaMint-GB_2019-02-27-commons.u86	I am more than happy to work with the RNLI and to meet the hon. Gentleman to discuss his concerns to ensure there is proper and correct lifeboat coverage in Cardigan bay.
ParlaMint-GB_2019-02-27-commons.u87	Q1. If she will list her official engagements for Wednesday 27 February.
ParlaMint-GB_2019-02-27-commons.u88	May I first say that the UK is deeply concerned about rising tensions between India and Pakistan and urgently calls for restraint on both sides to avoid further escalation? We are in regular contact with both countries urging dialogue and diplomatic solutions to ensure regional stability. We are working closely with international partners, including through the UN Security Council, to de-escalate tensions and are monitoring developments closely and considering implications for British nationals. Mr Speaker, I understand that Eve Griffith-Okai in your office retires at the end of the week. She has worked for four Speakers and I am sure that the whole House will want to join me in wishing her the very best for the future This morning I had meetings with ministerial colleagues and others. In addition to my duties in this House, I shall have further such meetings later today.
ParlaMint-GB_2019-02-27-commons.u89	I thank the Prime Minister for her initial response. In the face of her total failure to secure the agreement of this House, when will the Prime Minister call time on this farce, extend article 50 and put her deal versus remain back to the people?
ParlaMint-GB_2019-02-27-commons.u90	First, I made a statement and answered 82 questions on these issues in the House yesterday. We will be bringing the meaningful vote back by 12 March. As I said yesterday, if that meaningful vote is rejected again by the House, we would have a vote in this House on 13 March on whether the House accepts leaving without a deal on 29 March. If the House rejects leaving without a deal on 29 March, there would be a vote on a short, limited extension to article 50. On the hon. Gentleman’s final point, I continue to believe that it is right for us to deliver on the result of the referendum that took place in 2016.
ParlaMint-GB_2019-02-27-commons.u91	Q2. The 2017 Birmingham bin strike led to mass fly-tipping across the borough border in my beautiful town of Solihull. With the threat of another strike ever present, will the Prime Minister join me in urging Birmingham City Council to do what often seems to be beyond it—namely, to be a good neighbour and sort out these strikes, which seem to be just a taster of what would happen under a hard-left Labour Government?
ParlaMint-GB_2019-02-27-commons.u92	Obviously, this is a matter for Labour-controlled Birmingham City Council to resolve: rubbish piling up on the streets because of the failure of the Labour council to get a grip. Not only does it show what a hard-left Labour Government would be like; it shows all of us that, under Labour councils, you pay more and get less.
ParlaMint-GB_2019-02-27-commons.u93	There is an urgent question coming up on Kashmir, but I will just say that from our side of the House we strongly support rapid dialogue between India and Pakistan in order to reduce the tension and deal with the root causes of the conflict before more lives are lost I also join the Prime Minister in wishing Eve a very happy retirement, Mr Speaker. She has been absolutely brilliant in your office over the many years of people rushing in and out and making totally unreasonable demands. She has always sorted it out. Could you pass on to her the thanks of lots and lots of Back Benchers over many years The Bank of England forecasts that growth for this year will be the slowest in over a decade. Does the Prime Minister blame her shambolic handling of Brexit or her failed austerity policies for this damaging failure?
ParlaMint-GB_2019-02-27-commons.u94	First, I think the right hon. Gentleman should have seen the report that actually showed the expectation that in this country over the coming year we will have higher growth than Germany. He talks about the economy, so let us just say what we see in the economy under a Conservative Government: more people in work than ever before; unemployment at its lowest level since the 1970s; borrowing this year at its lowest level for 17 years; and the largest monthly surplus on record. Conservatives delivering more jobs, healthier finances and an economy fit for the future.
ParlaMint-GB_2019-02-27-commons.u95	I know that the Prime Minister is very busy—I understand that—and she possibly has not had a chance to look at the Bank of England forecasts, which suggest that there is a one in four chance of the UK economy dipping into recession. Manufacturing is already in recession, car manufacturing has declined at the steepest rate for a decade—down 5% in the past quarter alone—and Honda, Jaguar Land Rover and Nissan have announced cuts to either jobs or investment in recent months. Does she blame her shambolic Brexit or her Government’s lack of an industrial strategy for this very sad state of affairs?
ParlaMint-GB_2019-02-27-commons.u96	I have just explained to the right hon. Gentleman the positives in the economy and the consistent quarter-by-quarter growth that we have seen under this Government. What do we know would be the worst thing for the economy in this country? It would be a run on the pound, capital flight and £1,000 billion of borrowing under a Labour Government.
ParlaMint-GB_2019-02-27-commons.u97	As manufacturing industry declines, it is skilled well-paid jobs that are lost. But the Prime Minister is right—there is something that is increasing, and that is the income of the top fifth richest people in this country, which went up by 4.7% last year while the incomes of the poorest fell by 1.6%. With the poorest people worse off, will the Prime Minister now commit to ending the benefit freeze, or does she believe that rising poverty is a price worth paying?
ParlaMint-GB_2019-02-27-commons.u98	Perhaps it might again help to look at some of the facts. The top 1% are paying 28% of income tax, which is higher than at any time under a Labour Government, income inequality is lower than that which we inherited from a Labour Government, and the lowest earners saw their fastest pay rise in 20 years through the national living wage. The Conservatives are building a fairer society and delivering for everyone.
ParlaMint-GB_2019-02-27-commons.u99	Some of us cannot forget that it was the Conservative party that so opposed the principle of the national minimum wage from the very beginning. Perhaps the Government could start by tackling the scourge of low pay in their own Departments. The Department for Business, Energy and Industrial Strategy and the Ministry of Justice pay some of their central London workers as little as £7.83 an hour, and they have been on strike again this week, hoping to get a London living wage. Will the Prime Minister intervene and ensure that they do get the London living wage so that they can continue doing their valuable work for both those Departments Low pay means that many workers have to claim universal credit just to make ends meet. This month, the Secretary of State for Work and Pensions admitted that universal credit is driving people to food banks. Is it not time to stop the roll-out and get it right, or does the Prime Minister believe that rising poverty is a price worth paying?
ParlaMint-GB_2019-02-27-commons.u100	No. I am not sure whether the right hon. Gentleman is repeating his previous question, but he talks about universal credit. We have made changes to it as we have rolled it out as we have seen how it has been operating. In my first months as Prime Minister, we cut the taper rate so that people could keep more of what they earn. Since then, we have increased allowances to 100% of a full monthly payment, we have scrapped the seven days’ wait, meaning that people get their money sooner, and we have brought in a two-week overlap for people on housing benefit. When we were making all those changes to universal credit to benefit the people who receive it, why did the Labour party oppose every single one of them?
ParlaMint-GB_2019-02-27-commons.u101	Can I just give one example of what is happening? Take the food bank in Hastings, which is represented by the Secretary of State for Work and Pensions, where demand went up by 80% after universal credit was rolled out, and the Trussell Trust said that a significant proportion of referrals are related to benefit changes, delays or sanctions. It is a huge increase in food bank use Some 4.1 million of our children are growing up in poverty, and the Resolution Foundation said last week that UK child poverty was on course to hit record levels. Will the Prime Minister act to prevent that? Will she start by ending the two-child limit? Will she end the benefit cap? Will she restore the 1,000 Sure Start centres that have been lost under her Government?
ParlaMint-GB_2019-02-27-commons.u102	We want to ensure that we have a welfare system that is fair not only to those who need to use it, but to all the hard-working taxpayers whose taxes actually pay for the welfare system. The right hon. Gentleman talks about child poverty, but absolute child poverty is at a record low. We know that a child growing up in a home where all the adults work is around five times less likely to be in poverty than a child in a home where nobody works. Under this Government, the number of children in workless households is at a record low. So, when the right hon. Gentleman stands up, will he recognise that work is the best route out of poverty and welcome the fact that we now have more people in work than ever before—3.5 million more than in 2010?
ParlaMint-GB_2019-02-27-commons.u103	It clearly is not working, because so many people who are themselves working very hard, some doing two or even three jobs, have to access food banks just to feed their children. The Prime Minister used to talk about the “just about managing.” Well, they are not managing anymore. Income inequality— up. In-work poverty—up. Child poverty—up. Pensioner poverty—up. Homelessness—up. Austerity clearly is not over. People on low incomes are getting poorer, while those at the top are getting richer. The economy is slowing, manufacturing is in recession and this Government’s shambolic handling of Brexit—[Interruption.]
