ParlaMint-GB_2019-01-23-commons.u1	1. What assessment he has made of the potential effect of the EU withdrawal agreement on Wales.
ParlaMint-GB_2019-01-23-commons.u18	It is no secret that the House did not support the deal that was presented to it last week, but we are committed to working with colleagues across our own Benches, and across the House, to come forward with a proposal that can gather the support of the House of Commons and, obviously, to negotiate with the European Union in order to get a deal. I am sure that the hon. Lady would much prefer to see a deal and I challenge her to say whether she was comfortable being in the same Lobby as some colleagues, from all parts of the House, who would like to see no deal.
ParlaMint-GB_2019-01-23-commons.u19	I think that that was a Cairnsbotic answer Yesterday, the First Minister of Wales, Mark Drakeford, cleared Government business in the Welsh Assembly so that he and his Cabinet Ministers could make urgent statements on how a no-deal outcome would be so disastrous for the people of Wales. Will the Secretary of State tell us if he will be voting for amendments put forward in this House to avoid a no-deal outcome, or will he, like his Prime Minister, put party before country?
ParlaMint-GB_2019-01-23-commons.u20	I can advise the House that the UK Government have laid 75 statutory instruments at the Assembly’s request. We have had countless meetings of the Joint Ministerial Committee and the Prime Minister has agreed to invite the First Minister to the European Union Exit and Trade (Preparedness) Sub-Committee. I hope that that demonstrates the joint work that is taking place. The hon. Lady talks about putting party interests first. I cannot understand why the First Minister of Wales is happy to meet the Prime Minister—they will be meeting later today—but the Leader of the Opposition refuses to meet her to discuss the prospect of a deal, yet seems always happy to meet the IRA.
ParlaMint-GB_2019-01-23-commons.u21	2. What recent discussions he has had with the Welsh Government on the design of the UK shared prosperity fund.
ParlaMint-GB_2019-01-23-commons.u22	6. What discussions he has had with Cabinet colleagues on the effect of the UK shared prosperity fund on Wales.
ParlaMint-GB_2019-01-23-commons.u23	I have regular discussions with Cabinet colleagues and Welsh Government Ministers on a range of issues affecting Wales, including on the UK shared prosperity fund.
ParlaMint-GB_2019-01-23-commons.u24	EU structural funds have been crucial for communities across Wales, and it is vital that Wales must not be left behind—we need that assurance. Why has it taken so long to get any detail from the Government on the shared prosperity fund, not least the consultation, which was promised by the Government before Christmas?
ParlaMint-GB_2019-01-23-commons.u25	I agree that the UK shared prosperity fund will be extremely important to all parts of the UK. My specific interest is protecting Welsh interests in the development of that policy. On 14 January, I spoke to the Welsh Government’s Brexit Minister, Jeremy Miles, to update him on the latest stages of the plans for consultation, and I also committed to sharing that with him before we formally consult. Of course we want to engage with a whole load of stakeholders. There is widespread recognition that the current structure does not work, and we have an opportunity to get it right.
ParlaMint-GB_2019-01-23-commons.u26	Between 2014 and 2020, Wales will have received £2.4 billion in structural funding, or over 20% of the total UK allocation of EU funds. Will the UK Government ensure that Wales continues to receive at least an equivalent share of funding from the shared prosperity fund?
ParlaMint-GB_2019-01-23-commons.u27	I am grateful to the hon. Gentleman for his question, in which he highlights some of the most recent data. The complete data on the period since European structural funding was introduced show that more than £4 billion has been spent over 17 years, but I am sure he agrees that we have not always got the best value out of that investment—there are several audit reports to that effect. Of course, any quantum of the UK shared prosperity fund is a matter reserved for my right hon. Friend the Chancellor during the comprehensive spending review.
ParlaMint-GB_2019-01-23-commons.u28	Given the not unreasonable concern in north Wales about Hitachi’s decision to suspend development of Wylfa B, is my right hon. Friend willing to meet representatives of the North Wales Economic Ambition Board to discuss ways in which the shared prosperity fund may be used to support the regional economy?
ParlaMint-GB_2019-01-23-commons.u29	I pay tribute to my right hon. Friend’s work in securing Hitachi’s interest in Wylfa when RWE and E.ON withdrew their interest from the project. Although last week’s decision is disappointing, our focus is on maintaining momentum towards the development consent. Of course I am happy to meet the board and my right hon. Friend to discuss how we can best use influences such as the shared prosperity fund and the north Wales growth deal. We will happily keep an open mind, but these matters are project-led, and the strength of resource depends on the quality of the project.
ParlaMint-GB_2019-01-23-commons.u30	The UK shared prosperity fund should be just that—a UK-wide fund. What discussions have my right hon. Friend and the Secretary of State for Scotland had with the Treasury to ensure that the UK Government have a positive impact on the lives of the people of Wales and Scotland?
ParlaMint-GB_2019-01-23-commons.u31	My hon. Friend has highlighted inefficiencies in the current proposal, and there is a range of options for how we can best work on those. We are going out to consultation very soon. We have cross-Government discussions and consideration of this subject, but I do not want to pre-empt the consultation. I encourage my hon. Friend to engage with me, the Secretary of State for Scotland and the Treasury.
ParlaMint-GB_2019-01-23-commons.u32	In the late 1990s, the Secretary of State’s party was voting against the existence of the National Assembly. In 2005, it had a manifesto option of abolishing the Assembly. Can he understand why many Opposition Members do not believe that he truly wants to involve our National Assembly for Wales in the governance of the UK shared prosperity fund?
ParlaMint-GB_2019-01-23-commons.u33	That question is a bit rich coming from the hon. Lady, given that her party’s Government left us with the famous legislative consent order motions, which meant that the Welsh Government could not even pass primary legislation in certain areas without Parliament’s explicit control. I point to the Wales Acts 2014 and 2017 and to the referendum, which extended the powers of the Welsh Assembly, as well as countless Joint Ministerial Committee meetings and this afternoon’s meeting between the Prime Minister and the First Minister to discuss how best to manage Brexit.
ParlaMint-GB_2019-01-23-commons.u34	3. What assessment he has made of the effect on low-income families of the roll-out of universal credit in Wales.
ParlaMint-GB_2019-01-23-commons.u35	5. What assessment he has made of the effect on low-income families of the roll-out of universal credit in Wales.
ParlaMint-GB_2019-01-23-commons.u36	Universal credit is available in every jobcentre in Wales. Our welfare reforms are incentivising work and supporting working families, and employment in Wales is at a record high.
ParlaMint-GB_2019-01-23-commons.u37	Twenty-six per cent. of people in Wales have a disability and 39% of them are in poverty—both the highest proportion in the UK. What assessment has the Minister made of the number of people who lost severe disability premium when they transferred on to universal credit and the impact on those individuals, their families and their communities?
ParlaMint-GB_2019-01-23-commons.u38	In recent weeks, an assessment has been conducted by the Department for Work and Pensions and the Secretary of State has made it clear that it is vital that we reform to deliver a fair and compassionate welfare system. This is an ongoing piece of work. It is essential that people who have been trapped out of work by a confusing and complex mix of tax credits and benefits are helped into work.
ParlaMint-GB_2019-01-23-commons.u39	Many organisations in my constituency do great work mitigating the effects of the universal credit roll-out, but it is still causing great hardship. Have Ministers asked the Prime Minister to fully stop the roll-out, or are they simply not standing up for Wales?
ParlaMint-GB_2019-01-23-commons.u40	My right hon. Friend the Secretary of State for Work and Pensions is fully committed to not rushing the migration of universal credit; she will proceed with the utmost care and attention. As she has announced, managed migration will be piloted this year, involving 10,000 people, following which the Government will report on their findings. Migration beyond the pilot number will not occur until my right hon. Friend has brought legislation back to this House to extend that migration.
ParlaMint-GB_2019-01-23-commons.u41	4. What assessment he has made of the effect on the economy of Wales of removing the tolls from the Severn bridges.
ParlaMint-GB_2019-01-23-commons.u42	The removal of the tolls from the Severn river crossings will drive the biggest economic stimulus Wales has seen in decades, putting over £1,400 a year back into the pockets of hard-working motorists and boosting the south Wales economy alone by £100 million.
ParlaMint-GB_2019-01-23-commons.u43	I am delighted to hear that positive assessment from my right hon. Friend of the impact of removing the tolls, which add a significant cost to doing business between the south-west of England and Wales. Will he advise on what discussions he is having to exploit this opportunity by identifying any job-creating developments this might inspire on the M4/M5 corridor?
ParlaMint-GB_2019-01-23-commons.u44	I pay tribute to my hon. Friend for his work in this area to encourage closer working between this super-region that is being developed. The great western powerhouse allows the south-west of England and south Wales to market themselves jointly to start competing with the northern powerhouse and the midlands engine. I know that he has a strong interest in the M5 and the business around it. I obviously have a strong interest in the M4, and together we will attract more investment.
ParlaMint-GB_2019-01-23-commons.u45	May I begin by associating myself with the comments that the Secretary of State made about Steffan Lewis? As his local MP, I always admired and respected him, and his passion for Wales will be greatly missed within the Assembly. It is a loss to Welsh political life The closing of the tolls at the M4 bridge creates massive opportunities. What discussions has the Secretary of State had with other Government Departments to bring regional offices and Government jobs to Wales?
ParlaMint-GB_2019-01-23-commons.u46	I am grateful to the hon. Gentleman for such a question. A number of discussions are going on across Government Departments about the drive to decentralise civil service opportunities from London. He will be aware of the Cardiff hub, and we are looking to where other opportunities exist. But abolishing the Severn tolls has also created challenges. We need better integration for projects such as the Chepstow bypass and other road projects that work cross-border, and we need to harness those as priorities.
ParlaMint-GB_2019-01-23-commons.u47	7. What recent assessment he has made of the strength of the Welsh economy.
ParlaMint-GB_2019-01-23-commons.u48	The Welsh economy has shown significant progress in recent years. The rate of employment in Wales is at a record high and increased by more than that in any other part of the UK over the last year, with 64,000 more people in work. There is a wealth of world-leading innovation in Wales, with Welsh businesses spending over £450 million on research and development in 2017.
ParlaMint-GB_2019-01-23-commons.u49	The decision on Wylfa Newydd is a massive setback, not only for Anglesey but for the whole north Wales economy, and the project was a central plank of the north Wales growth deal. When it comes to major infrastructure projects, the Secretary of State has a record of unmitigated failure; he has a kind of reverse Midas touch. When will he start to speak up for Wales in Cabinet? If he is not prepared to speak up for Wales, will he step aside and let someone else have a go?
ParlaMint-GB_2019-01-23-commons.u50	I can tell the right hon. Gentleman that there is no greater champion for Wales than my right hon. Friend the Secretary of State. However, the hon. Gentleman raises a very serious and important point regarding Wylfa. This does affect the whole region. The Government were willing to offer a significant and generous package of potential support, but despite that, Hitachi decided that the project was still too great a commercial challenge. We are still committed to nuclear sites as part of the UK’s future energy mix, and we will also continue to support the Isle of Anglesey with initiatives such as the north Wales growth deal.
ParlaMint-GB_2019-01-23-commons.u51	I understand from my colleague Rhun ap Iorwerth AM that, given the economic uncertainty now surrounding Hitachi’s future at Wylfa Newydd, the Welsh Government have indicated that they are prepared to commit further funds to the north Wales growth bid if Westminster makes the same commitment. Will it?
ParlaMint-GB_2019-01-23-commons.u52	The hon. Lady makes an important point. We are certainly open-minded. Commitments such as this must be project-led. I reiterate that we recognise the significant impact that Hitachi’s decision will have on the region and planned investment, some of which could be co-dependent on the growth deal. We are committing £120 million, as the hon. Lady knows, and we will certainly talk to our partners in Wales. In fact, I am going there next week to talk with Ministers and stakeholders.
ParlaMint-GB_2019-01-23-commons.u53	I greatly appreciate that the Minister sees the importance of the north Wales growth bid, particularly in relation to the news at Wylfa. It is interesting that the British Government offered Hitachi a one-third equity stake in the £20 billion nuclear power development in Ynys Môn. Now that Wylfa Newydd looks set to be the latest project to join the Welsh infrastructure scrapyard, will the Minister guarantee that his Government will use the previously promised equity to create 850 alternative, permanent and well-paid jobs in north-west Wales?
ParlaMint-GB_2019-01-23-commons.u54	The hon. Lady raises an important point. We are certainly not abandoning that area of Wales. I reiterate that this was a commercial decision. We are committing £120 million to the north Wales growth deal, which we hope to get over the line as soon as practically possibly. The Government’s decision to agree to take an equity stake, to secure a strike price and to underwrite the debt on that project, was incredibly generous.
ParlaMint-GB_2019-01-23-commons.u55	Since 2013, we have seen the cancellation of the Atlantic Array wind turbines off south Wales, the cancellation of the Celtic Array wind farms off north wales, the cancellation of the Cardiff-Swansea rail line in 2018, the cancellation of the Swansea bay tidal lagoon in 2018 and—to cap it all, the cancellation of cancellations— the cancellation of Wylfa Newydd last week, which was a £16 billion investment that would have transformed the economy of north Wales. Will the Secretary of State support the establishment of an inquiry, which the CBI in Wales has called for, to uncover why this Conservative Government are incapable of delivering large infrastructure projects in Wales?
ParlaMint-GB_2019-01-23-commons.u56	The hon. Gentleman seems to miss the fact that these are commercial decisions to put these projects on hold. In terms of Hitachi, it is a suspended project. We will continue to engage with Hitachi regarding options for the site. We are absolutely committed to creating a broad-based, resilient economy through our industrial strategy, and we will continue to work with the private sector, local partners and the Welsh Government to ensure that Wales prospers. I hope that Members across the House welcome the news this week that the employment rate in Wales now matches that of the UK for the first time since my right hon. Friend the Member for Wokingham (John Redwood) was the Secretary of State for Wales.
ParlaMint-GB_2019-01-23-commons.u57	8. What assessment he has made of the effect of the freeze on fuel duty on low-income families in Wales.
ParlaMint-GB_2019-01-23-commons.u58	The Government recognise that transport is a major cost for households and businesses, so it was announced at last year’s Budget that fuel duty across the UK will remain frozen for the ninth successive year.
ParlaMint-GB_2019-01-23-commons.u59	Despite the excellent fuel duty freeze from the Government, oil companies are still hitting motorists across Wales and the UK by increasing petrol prices hugely when the international oil price goes up but taking a long time to reduce it when the oil price goes down. Will my hon. Friend work with the Secretary of State for Transport and the Treasury to introduce a “pump watch” regulator, as recommended by FairFuelUK, so that there are fair prices for motorists at the pumps?
ParlaMint-GB_2019-01-23-commons.u60	There is no greater champion for consumers than my right hon. Friend, but we do not believe that setting up a regulator would be justified, given the costs of doing so. This sector, like every other, is subject to the normal competition and consumer protection law. We are committed to passing on savings to commuters and, due to nine years of fuel duty freezes, the average car driver in Wales and the UK will have saved a cumulative £1,000 by April 2020.
ParlaMint-GB_2019-01-23-commons.u61	Can the Minister confirm that 30,000 low-income families in Wales will lose £2,500 a year as a result of the imposition of the two-child policy? Does he think that that is fair?
ParlaMint-GB_2019-01-23-commons.u62	The Secretary of State for Work and Pensions has announced that she will not extend the two-child limit on universal credit to children born before April 2017, when the policy first came into effect. That will benefit about 15,000 families, and the decision restores the original intent of the policy, which will give parents in receipt of universal credit the same choices as those in work.
ParlaMint-GB_2019-01-23-commons.u63	10. What assessment he has made of the potential effect on (a) the economy and (b) public services in Wales of the UK leaving the EU without a deal.
ParlaMint-GB_2019-01-23-commons.u64	As we leave the European Union, our economy is growing faster than the eurozone, employment is at record high levels, and economic activity in Wales is at the highest level since records began.
ParlaMint-GB_2019-01-23-commons.u65	May I associate myself with the Minister’s comments on Steffan Lewis, who was one of the most able and talented politicians that Wales has ever had With days to go until we crash out with no deal, we know the devastating impact. The CBI is warning us, the Army is on stand-by to slaughter lambs set for export, and the Government are refusing to rule out no deal. What does the Minister say about that, given that the Prime Minister is not going to get her deal through?
ParlaMint-GB_2019-01-23-commons.u66	My right hon. Friend the Prime Minister has set out our position and is determined to work not only on our side of the House but across the House to introduce proposals that will allow the House of Commons to support a deal. It is interesting that the Welsh First Minister, Mark Drakeford, is prepared to meet her to discuss the proposals, but the Leader of the Opposition refuses to do so, in spite of being more than happy to meet the IRA on other occasions.
ParlaMint-GB_2019-01-23-commons.u67	I am calling the right hon. Member for Cynon Valley (Ann Clwyd) in spite of time constraints. I know that she will ask a commendably brief question.
ParlaMint-GB_2019-01-23-commons.u68	12. If he will hold discussions with Ministers in the Welsh Government on investigations into the deaths and stillbirths of babies under Cwm Taf University health board.
ParlaMint-GB_2019-01-23-commons.u69	I thank the right hon. Lady for raising this very important issue, and my thoughts are with all those families affected. I recognise her continued and passionate dedication to this issue and to ensuring that we have a health service that is fit for everyone. It is imperative that both the internal and external reviews of maternity services in Cwm Taf are both comprehensive and timely. Those affected will rightly be looking for urgent answers and clear action to ensure improvements in patient care and safety.
ParlaMint-GB_2019-01-23-commons.u70	I am grateful for that answer. Will the Secretary of State continue to monitor the investigation and report the findings back to the House?
ParlaMint-GB_2019-01-23-commons.u71	Of course. At present, this is a matter for the Welsh Government and for the health board, but we await the findings of the review, and we will act accordingly. In the meantime, the Government will continue to ensure that the NHS has the funding that it requires. I can assure the right hon. Lady that we will work with her to ensure that we get the right outcomes.
ParlaMint-GB_2019-01-23-commons.u72	Q1. If she will list her official engagements for Wednesday 23 January.
ParlaMint-GB_2019-01-23-commons.u73	I am sure that Members across the House will wish to join me in marking Holocaust Memorial Day this Sunday. It is an opportunity for us to remember all those who suffered in the holocaust and in subsequent genocides around the world. It is a reminder that we must all challenge and condemn prejudice and hatred wherever it is found This morning, I had meetings with ministerial colleagues and others. In addition to my duties in this House, I shall have further such meetings later today.
ParlaMint-GB_2019-01-23-commons.u74	May I associate myself with the comments that the Prime Minister made in relation to Holocaust Memorial Day? May I also say as a proud Scot that the United Kingdom of Great Britain and Northern Ireland is the most successful political union that the world has ever known? That said, does the Prime Minister agree that, when Nicola Sturgeon demands a second independence referendum, only four years after we had the last one, the UK Government should side with the majority of the people of Scotland and firmly tell her no?
ParlaMint-GB_2019-01-23-commons.u75	My hon. Friend is absolutely right. As he points out, Scotland held a referendum in 2014. It was legal, fair and decisive, and the people clearly voted for Scotland to remain part of the United Kingdom. More than that, at the last general election, the people of Scotland again sent a very clear message that they do not want a second divisive referendum, but the SNP sadly is out of touch with the people of Scotland and has not yet heard that message. The last thing we want is a second independence referendum. The United Kingdom should be pulling together, and should not be being driven apart.
ParlaMint-GB_2019-01-23-commons.u76	Sunday is Holocaust Memorial Day, a time for us all to reflect on the horrors of genocide and to recommit to never again allowing the poison of antisemitism and racism to disfigure our society in any way. The Prime Minister was also right to acknowledge the other genocides that have happened since the second world war. It is up to us to try to prevent such horrors from ever happening again anywhere in the world After the overwhelming defeat of the Prime Minister’s deal, she says she wants solutions to the Brexit crisis that command sufficient support in the House. The Chancellor and the Business Secretary agree that there is a “large majority” in the Commons opposed to no deal, so will the Prime Minister listen to her own Cabinet members and take no deal off the table?
ParlaMint-GB_2019-01-23-commons.u77	What I, members of the Cabinet and the whole Government are doing is working to ensure that we leave the European Union with a deal. That is the way to avoid no deal: to leave the European Union with a deal. I say to the right hon. Gentleman that what I have wanted to do—I have been doing it with Members across the House—is sit down and talk about how we can secure support in this House for a deal. He has been willing to sit down with Hamas, Hezbollah and the IRA without preconditions, yet he will not meet me to talk about Brexit. In this case, he is neither present nor involved.
ParlaMint-GB_2019-01-23-commons.u78	Actually I reached out to the Prime Minister last September when I offered to discuss our deals with her. It appears that, while the door to her office may well be open, the minds inside it are completely closed. She has shown no flexibility whatsoever on taking no deal off the table The Chancellor reassured businesses that amendments would be put down that “would have the effect of removing the threat of no deal...which is binding and effective” Given that those amendments are now tabled, will the Prime Minister confirm that, if passed, they would rule out no deal?
ParlaMint-GB_2019-01-23-commons.u79	We have seen amendments that seek to engineer a situation in which article 50 is extended. That does not solve the issue that there will always be a point of decision. The decision remains the same: no deal, a deal or no Brexit. I am delivering on Brexit. I want to do it with a deal. Why will the right hon. Gentleman not come and meet me and talk about it?
ParlaMint-GB_2019-01-23-commons.u80	The only consistency in the Prime Minister’s strategy seems to be running down the clock by threatening no deal as an alternative to her dead deal The CBI says that the “projected impact” of no deal on the UK economy “would be devastating”. Leaving with no deal would be a hammer blow to manufacturing in this country, costing jobs and damaging living standards Last week, the Justice Secretary was asked whether he ruled out a customs union. He said: “I don’t think we can” However, that same day, the Leader of the House said that we cannot be in a customs union. Can the Prime Minister be clear? Do her Government rule out a customs union with the European Union?
ParlaMint-GB_2019-01-23-commons.u81	The right hon. Gentleman talks about a customs union and I note that he has tabled an amendment. The Labour party used to refer to a comprehensive customs union, then it was a new customs union and now it is a permanent customs union, but the question—[Interruption.] I am happy to sit down to talk to him about what he means by that. Does he mean accepting the common external tariff? Does he mean accepting the common commercial policy? Does he mean accepting the Union customs code? Does he mean accepting EU state aid rules? If he will not talk about it, there is only one conclusion: he hasn’t got a clue.
ParlaMint-GB_2019-01-23-commons.u82	My question was: does the Prime Minister rule in or rule out a customs union? It is not complicated. She could have said yes, she could have said no. It is a key part of what Labour is putting forward and it is backed by the TUC, representing millions of workers; by the CBI, representing thousands of businesses; by the First Ministers of Wales and Scotland; and indeed by many members of her own party, including apparently her own chief of staff. So can the Prime Minister explain why she is ruling out a customs union as a solution to the crisis? She could for once actually answer the question.
ParlaMint-GB_2019-01-23-commons.u83	Perhaps I can try to help the right hon. Gentleman here. When many people talk about a customs union, what they want to ensure is that businesses can export to the EU without facing tariffs, quotas or rules-of-origin checks. I agree, and the deal we negotiated delivers just that, but it also allows us to have an independent trade policy and to do our own trade deals with the rest of the world—the benefits of a customs union and the benefits of our own trade policy.
ParlaMint-GB_2019-01-23-commons.u84	The International Trade Secretary promised 40 trade agreements the second after Brexit. This morning, he could not name a single one. His own Business Minister said that he was not impressed by “sham trade agreements” and “not prepared to sell business down the river for other people’s political dogma.” So why is the Prime Minister prepared to sell people’s jobs and living standards down the river, rather than negotiating a customs union that would be part of a sensible deal for the future?
ParlaMint-GB_2019-01-23-commons.u85	The deal that we negotiated did protect jobs—[Interruption.] And it was rejected by this House. There are some specific issues that Members across this House have raised in relation to that deal and we work on those. We have already responded on a number of issues—parliamentary involvement, workers’ rights, citizens’ rights—as a result of the conversations that we have had with Members of this House. What we want to ensure is that we get a deal that protects jobs, but the right hon. Gentleman is doing exactly what he always does. He just stands up and uses these phrases. The honest answer is that I do not think he knows what those phrases mean and what the implications of those phrases are. We will be protecting jobs in the UK with a good trade relationship with the European Union—enhancing and increasing jobs in the UK, and by the way I see that the right hon. Gentleman has not referred to this week’s employment figures, which show employment up in this country as a result of this Government.
ParlaMint-GB_2019-01-23-commons.u86	What the Prime Minister clearly did not have time to mention was the rising levels of in-work poverty, personal debt and the problems that people face in surviving at work. The door of her office might be open, but the minds are closed—[Interruption.] The Prime Minister is clearly not listening—[Interruption.]
ParlaMint-GB_2019-01-23-commons.u87	Order. People making an extraordinary noise from a sedentary position do not have the slightest prospect of being called to ask a question, unless it is on the Order Paper. I hope that they realise that and recognise their own folly.
ParlaMint-GB_2019-01-23-commons.u88	Thank you, Mr Speaker. Across the country, people are worried about public services, their living standards and rising levels of personal debt. While a third of the Prime Minister’s Government are at the billionaires’ jamboree in Davos, she says she is listening, but rules out changes on the two issues where there might be a majority: against no deal and for a customs union—part of Labour’s sensible Brexit alternative. If the Prime Minister is serious about finding a solution, which of her red lines is she prepared to abandon? Could she name a single one?
ParlaMint-GB_2019-01-23-commons.u89	The right hon. Gentleman makes claims about minds being closed and asks about red lines. Why does he not come and talk about it? He talks about what people up and down this country are seeing. I will tell him what we have just seen this week: borrowing this year at its lowest level for 16 years; the International Monetary Fund saying we will grow faster than Germany, Italy and Japan this year; UN figures showing foreign direct investment in the UK up last year; the employment rate up; the number of people in work up; and wages up—and the biggest threat to all of that would be a Labour Government.
ParlaMint-GB_2019-01-23-commons.u90	Q2. North Warwickshire and Bedworth voted overwhelmingly to leave the EU in 2016, and from the many conversations I have had with constituents since, I am in absolutely no doubt that if they were asked again, they would vote the same way. Does the Prime Minister agree therefore that there is no credibility in the argument for a second referendum and that our constituents want this Parliament to do what it promised and honour the referendum result, which, as Opposition Members seem to have forgotten, was to leave the EU?
ParlaMint-GB_2019-01-23-commons.u91	My hon. Friend is absolutely right. Not just he, I and all Conservative Members, but all Labour Members stood on manifesto pledges to respect the result of the referendum and to leave the EU. I have set out several times my concern about returning to the British people in a second referendum. People sent a clear message. We asked them to make a choice, they made that choice, and we should deliver on it.
ParlaMint-GB_2019-01-23-commons.u92	I join the Prime Minister in marking Holocaust Memorial Day. It is important that we reflect on man’s inhumanity to man at that time and subsequently, most recently towards the Rohingya people. More must be done to eradicate the risk of genocide that is suffered by peoples throughout the world Last November, the Government published an economic analysis of Brexit that looked at four scenarios, but it did not include the Prime Minister’s deal. Has she done an economic analysis of her deal?
ParlaMint-GB_2019-01-23-commons.u93	The right hon. Gentleman obviously looked carefully at the economic analysis, and he will have seen that it looked at the impact of different issues in relation to the trade relationship and set that out very clearly. It made it absolutely clear that the proposal the Government had put on the table was the best in terms of delivering on the referendum result, maintaining people’s jobs and enhancing the economy.
