ParlaMint-GB_2019-10-24-commons.u1	1. What steps he is taking to improve transport sustainability.
ParlaMint-GB_2019-10-24-commons.u16	May I associate myself with the Secretary of State’s remarks concerning the terrible tragedy in Essex? The nation is reeling from that abject horror. We send our sympathies to all the families of the deceased, wherever they may be across the world. I reassure the Secretary of State that Her Majesty’s loyal Opposition will want to co-operate and work with him to take whatever steps are necessary, legislative or otherwise, to reduce the likelihood of this terrible event ever happening again We are in a climate crisis. Transport is the most emitting sector of the economy and the only sector where emissions have risen in recent years. Given that the Government have slashed subsidies for electric vehicles and failed to invest money promised for charging points over two years ago, does the Transport Secretary seriously believe his announcement earlier this week for a consultation on whether to introduce green number plates for electric cars is really going to save the planet?
ParlaMint-GB_2019-10-24-commons.u17	I thank the hon. Gentleman for his comments about the events in Grays, Essex yesterday. We will work together on that Green number plates are just one very small part of a very, very large package which includes £1.5 billion to subsidise the take-up of electric cars; £400 million on a charging infrastructure investment fund, which I announced earlier in the summer, to help to supercharge the number of charge points; and many, many other activities. As I say every I time I stand at the Dispatch Box, electric cars are fantastic. They are available new and on the second-hand market. The cost of ownership overall, because it costs £5 or £6 to drive from here to Manchester and refuelling with those charge stations is much easier, is something that everybody can invest in now.
ParlaMint-GB_2019-10-24-commons.u18	I am afraid the Transport Secretary ignores my warnings, but will he listen to the Government’s own advisers when they say the UK is way off track to meet their climate targets? Labour would invest £3.6 billion in charging networks, introduce 2.5 million interest-free loans for the purchase of electric vehicles, and target a 2030 phase-out for the sale of new diesel and petrol cars. The Government are attempting to disguise their lack of action on the climate crisis with a lick of green paint. Is the Secretary of State not embarrassed at his poverty of ambition?
ParlaMint-GB_2019-10-24-commons.u19	As I have already said, I passionately believe in bringing this forward. I have already said that I am going to investigate moving forward from 2040 to 2035 a commitment given before the 2050 net zero, and I have a package of measures, which I was referring to before, that will be in the decarbonisation plan to ensure we meet all those targets.
ParlaMint-GB_2019-10-24-commons.u20	2. What recent discussions he has had with the Driver and Vehicle Standards Agency on industrial action by its staff.
ParlaMint-GB_2019-10-24-commons.u21	May I say, Mr Speaker, what a pleasure it is to be back under your chairmanship in this new role as Minister of State for the future of transport On 7 October, the Driver and Vehicle Standards Agency entered into talks with the Public and Commercial Services Union. They have met three times. The DVSA is expecting to continue the talks, which are supported by ACAS, at the start of November.
ParlaMint-GB_2019-10-24-commons.u22	On 30 August, I met DVSA employees in Nottingham who are taking industrial action, as they want to work in an environment free from bullying and where they are listened to and valued. My hon. Friends the Members for Gedling (Vernon Coaker) and for Nottingham South (Lilian Greenwood) and I wrote to Baroness Vere of Norbiton requesting a meeting to make these representations. She declined. Will the Minister or the Secretary of State take that meeting instead, so that they can hear important feedback from critical members of staff?
ParlaMint-GB_2019-10-24-commons.u23	For the benefit of the House, I should say we are talking about the modernised employment contract for DVSA staff. This is a matter between the DVSA and staff. The impact will be two hours extra a week for training, which increases the working hours from 35 to 37. Lunch breaks are being protected. We very much hope that the union returns to the negotiations with the DVSA. I might perhaps gently ask the Labour party, which is reliant on the unions, to exercise their good influence on behalf of the travelling public.
ParlaMint-GB_2019-10-24-commons.u24	3. What recent discussions he has had with Douglas Oakervee on potential alternative routes for High Speed Two phases 1 and 2a; and if he will make a statement.
ParlaMint-GB_2019-10-24-commons.u25	I understand the intense interest that there will be across the House in this issue. The Oakervee review is ongoing and will consider all three phases of the project. I met Douglas Oakervee last week for an administrative discussion about the review, and once the review is finalised the Department has committed to making it public.
ParlaMint-GB_2019-10-24-commons.u26	It is not just the cost of HS2, but the route: it does not even connect with Birmingham New Street or Heathrow, or meet its original intention of connecting with the channel tunnel. It does none of those. Doug Oakervee has told me that the amount of time they have to consider all this is very limited—it is very challenging indeed—and there is not enough time to consider alternative routes, so will the Minister consider giving them more time to do just that?
ParlaMint-GB_2019-10-24-commons.u27	As I say, we have not put any time limit on Mr Oakervee’s findings, and he will report when he is ready to do so. As my hon. Friend will know, the current plans for phase 1 would see passengers connecting to Heathrow via Old Oak Common, and services would also call at Euston where passengers can make onward travel plans, including to Eurostar at King’s Cross St Pancras.
ParlaMint-GB_2019-10-24-commons.u28	Any change to the route of HS2 is likely to lead to further delays and extra cost. Is not the solution to HS2 to put competent people in charge of delivering it, and not to mess about with it and give an advantage to those who are opposed to it?
ParlaMint-GB_2019-10-24-commons.u29	I have no doubt that Mr Oakervee is watching proceedings here carefully this morning to hear what colleagues have to say. That will be one of the issues that comes within his terms of reference and he will be reporting on.
ParlaMint-GB_2019-10-24-commons.u30	It is reported in New Civil Engineer this morning that the advisory panel to the so-called independent Oakervee review has been asked to sign non-disclosure agreements in an attempt to stop leaks. How can it be right that a publicly funded project is again trying to conceal information about its viability by gagging the very people who have in-depth and up-to-date knowledge of this dreadful project?
ParlaMint-GB_2019-10-24-commons.u31	Mr Oakervee is trying to ensure that he works consensually with the panel to ensure that they reach a single report. The management of the panel and the individuals on it, who cover a wide range of views, is a matter for Mr Oakervee.
ParlaMint-GB_2019-10-24-commons.u32	HS2 is an investment for the north of England, but it would be a lot more popular in the north of England if the trains actually stopped somewhere in the far north of England. At present, there are no plans whatsoever for HS2 trains to stop in Cumbria, even though the Lake District is the biggest visitor destination in the country after London. Will the Minister fix this immediately?
ParlaMint-GB_2019-10-24-commons.u33	The hon. Gentleman is perhaps tempting me to go a little too far in presuming that everything is going ahead. I do not want to pre-empt Mr Oakervee’s report, but he will be aware that under the previous plans, classic-compatible trains will run north of Wigan and will therefore be able to stop at a range of stations, including Kendal, Oxenholme in the Lake District and Carlisle. That is part of what the West Coast Partnership will be able to consider.
ParlaMint-GB_2019-10-24-commons.u34	I congratulate the right hon. Member for Aylesbury (Sir David Lidington) on his moderately demonstrative tie.
ParlaMint-GB_2019-10-24-commons.u35	From you, Mr Speaker, I take that as a compliment Will my hon. Friend instruct HS2 Ltd that it and its contractors should follow its own construction code and give local residents along phase 1 due and proper advance notice of the enabling works that it intends to carry out, instead of the high-handed, peremptory and arrogant approach that HS2 Ltd is currently taking?
ParlaMint-GB_2019-10-24-commons.u36	I am disappointed to hear what my right hon. Friend has to say and I am more than happy to meet him to obtain further details. It is very important that HS2 Ltd continues to work with local communities rather than acting upon them when it carries out these works. I look forward to hearing further details.
ParlaMint-GB_2019-10-24-commons.u37	Not only has the Williams review yet to see the light of day, but the Oakervee report is ready. His team has pulled out all the stops to get this to the Minister next week, so why is the Secretary of State saying that he will not publish it until after the general election? Is it because he intends to cut off the economic opportunities of the north, or is he worried that it will upset voters in the south?
ParlaMint-GB_2019-10-24-commons.u38	I will take no lectures from the hon. Lady on how to support the north economically, or indeed, in transport terms. I am delighted that she lives in a world of alternate reality—neither the Secretary of State nor I have received Mr Oakervee’s report. She clearly knows more than I do, or maybe she is making it up. [Interruption.]
ParlaMint-GB_2019-10-24-commons.u39	4. What steps he is taking to improve rail performance.
ParlaMint-GB_2019-10-24-commons.u40	6. What steps he is taking to improve rail performance.
ParlaMint-GB_2019-10-24-commons.u41	12. What steps he is taking to improve rail punctuality.
ParlaMint-GB_2019-10-24-commons.u42	23. What steps he is taking to improve rail performance.
ParlaMint-GB_2019-10-24-commons.u43	I take the performance of the railway very seriously and think that trains should run on time, which is why I have changed the industry’s performance standard from trains being five or even 10 minutes late to their being on time to the minute.
ParlaMint-GB_2019-10-24-commons.u44	Commuters in west Oxfordshire have long been frustrated by reliability problems on the Cotswold line. What support can Ministers offer me and the Cotswold line promotion group? The group is campaigning for further redoubling on the line, which will not only improve reliability but will give us scope to increase the services available.
ParlaMint-GB_2019-10-24-commons.u45	I congratulate my hon. Friend on his tireless campaigning for improvements on the Cotswold line. The line will benefit very soon from the Great Western Railway timetable change in December, which will offer shorter journey times and more frequent services to key locations. Moreover, services from North Cotswold via Oxford and London will be restructured to deliver more, and more consistent, services. So I feel that my hon. Friend’s campaign is making progress.
ParlaMint-GB_2019-10-24-commons.u46	Will the Secretary of State give us an update on the investment in Ely north junction, which is pivotal to the introduction of a half-hourly service from London to King’s Lynn as well as improving services from Cambridge to Norwich? Will he work alongside Network Rail and local authorities to ensure that this vital scheme is delivered?
ParlaMint-GB_2019-10-24-commons.u47	I certainly will. The project is currently being scoped, and I should be happy to work on it with my hon. Friend and Network Rail.
ParlaMint-GB_2019-10-24-commons.u48	As my right hon. Friend is well aware, in my borough of Bexley we suffer from a very poor rail service operated by Southeastern. We experience regular cancellations—including the cancellation of my train this morning—and persistent short delays. What more can my right hon. Friend do to get our train company to improve punctuality and reliability?
ParlaMint-GB_2019-10-24-commons.u49	Nationalise!
ParlaMint-GB_2019-10-24-commons.u50	I know that my right hon. Friend recently met the rail Minister, my hon. Friend the Member for Daventry (Chris Heaton-Harris). He is absolutely right: poor services are unacceptable, which is why the Williams review is so important. I do not agree that nationalisation is the answer, not least because railway numbers have doubled since privatisation. [Interruption.] It has a lot to do with the £6 billion invested by the private companies. However, there is much, much more to be done, and we will be doing more in time.
ParlaMint-GB_2019-10-24-commons.u51	Will the Minister elaborate on the plans to open the proposed Market Harborough line as part of the Oxford to Cambridge expressway and the benefits that it will bring to the local economy, especially around Northampton?
ParlaMint-GB_2019-10-24-commons.u52	I understand that the reopening is at a formative stage, but I am very supportive of it. Indeed, I support the reopening of many of the smaller lines that were closed as a result of the Beeching cuts under a Labour Government, and I should like to see as many reopened as possible.
ParlaMint-GB_2019-10-24-commons.u53	I too would like to meet the rail Minister, to talk about the Southeastern franchise, the tender for which has been postponed. I should like to see trains from Victoria on the new Eltham to Mottingham line, I should like to see them retained on the Eltham and Falconwood line and I should like to see extra capacity, so may I have a meeting with the Minister to discuss how we are going to do that?
ParlaMint-GB_2019-10-24-commons.u54	My hon. Friend the rail Minister has informed me that he has met many of the hon. Gentleman’s colleagues and will be happy to meet him as well, as will I.
ParlaMint-GB_2019-10-24-commons.u55	20. I am pleased to hear that the Secretary of State is keen to reopen railway lines, but a short section of dual track is needed between Manchester and Sheffield, two of the least connected cities in the north. That has now been put on hold again, and my constituents are very disappointed. They have written to the Secretary of State, but have yet to receive a reply.
ParlaMint-GB_2019-10-24-commons.u56	I think that the hon. Lady may be referring to the Hope Valley line. I should be very happy to speak to her about it in more detail, and look forward to our meeting up.
ParlaMint-GB_2019-10-24-commons.u57	Confidence in Northern Rail has collapsed among commuters in my constituency as a result of delays, cancellations and poor-quality rolling stock over a number of years. Just how bad does the service have to get before Ministers take action and take the franchise away from this failing company?
ParlaMint-GB_2019-10-24-commons.u58	Perhaps the hon. Lady missed it, but I mentioned to the Transport Committee last week that I had already issued a request for the proposal which, as she will know, is the first stage towards either a direct award or a last-resort operation. I agree that poor service is unacceptable, and the financial problems are well documented.
ParlaMint-GB_2019-10-24-commons.u59	The Ebbw Vale to Cardiff line is critical to Blaenau Gwent’s economy, but with growing demand we urgently need physical improvements in the line. There is a complicated UK Government, Welsh Government and Network Rail problem here. Will the Secretary of State, or one of his Ministers, meet me, Welsh Government Ministers and transport officials to discuss this important issue?
ParlaMint-GB_2019-10-24-commons.u60	Yes, and the hon. Gentleman will be interested to know that I had a conversation yesterday about setting up exactly such a meeting for those purposes. So the answer is yes.
ParlaMint-GB_2019-10-24-commons.u61	5. What steps he is taking to increase bus patronage.
ParlaMint-GB_2019-10-24-commons.u62	7. What steps he is taking to increase bus patronage.
ParlaMint-GB_2019-10-24-commons.u63	Bus patronage varies across the country, and as a bus champion I am pleased to say that catching a bus is the most popular form of public transport. Hon. Members will want to know that we continue to invest in our bus services with further additional funding of £220 million through the better deal for bus users package, which will also include £30 million paid directly to local authorities to improve current or new services.
ParlaMint-GB_2019-10-24-commons.u64	For many people, including those in my constituency, bus routes are a lifeline, but Tory cuts to bus funding have meant over 3,000 routes have been cut or withdrawn in England alone. Does the Minister think it is right that people and communities are cut off from work, leisure and healthcare facilities by the withdrawal of routes, and what is her plan, beyond what she has already mentioned, to ensure she restores lost connectivity?
ParlaMint-GB_2019-10-24-commons.u65	I thank the hon. Lady for her question which enables me to elaborate on the further funding that is available, but of course we know the importance of bus services; not only do they get people to work, but they ensure connectivity across our communities. As well as the £220 million of additional funding, we have the £1 billion for concessionary fares, but also the transformative £2.5 billion for the transforming cities fund, which also looks at reducing congestion. The hon. Lady talked about the reduction in services in England, but she may want to know that the highest number of bus services cut in the United Kingdom are of course in Labour-led Wales.
ParlaMint-GB_2019-10-24-commons.u66	Bristol has bucked the trend of declining bus use and under the Bristol bus deal we are investing in bus prioritisation measures and infrastructure, and in return the bus operators are investing in new commuter services, but we remain the only core city without a mass transit system; what can the Government do to help us realise our ambitions on that front?
ParlaMint-GB_2019-10-24-commons.u67	I was pleased to visit Bristol and jump on a bus there, and it does indeed have a fantastic service. Patronage has gone up by 50%—[Interruption.] Well, it is getting better and better, and the numbers are indeed going up. One reason why the numbers are going up is that bus service operators are open to working with the local authority and making data available. One thing that we are doing, because of our Bus Services Act 2017, is ensuring the bus open data digital service is available for even more people. We know what people want, especially younger people: absolutely accurate detail on when their bus is arriving, how along the journey will take, and how much it will cost.
ParlaMint-GB_2019-10-24-commons.u68	24. With no rail links in North Cornwall the public are pushed on to rural buses, and they welcome the new One public transport system, which specifically allocates money for things like the £1 around town initiative, which will be really beneficial for many of my rural constituents. Can the Minister confirm the benefits of the One public transport system, and is it possible to get direct buses to the general hospital from my major towns?
ParlaMint-GB_2019-10-24-commons.u69	My hon. Friend is a good champion for North Cornwall, and of course the fantastic £1 around town initiative will be hugely successful. Rural buses are absolutely key for rural constituencies, including mine in Wealden, and from 2020 the One public transport proposals for Cornwall will integrate buses with rail services to provide passengers with better public transport solutions, low fares and higher frequency buses.
ParlaMint-GB_2019-10-24-commons.u70	When pensioners in my constituency go to visit friends and family in England they find that their concessionary bus pass does not work, so will the Minister please speak to the Welsh Transport Minister about making the bus passes in Wales and England compatible? It surely cannot be a difficult problem to fix and it is regularly raised with me as a source of frustration among pensioners.
ParlaMint-GB_2019-10-24-commons.u71	That is indeed not a difficult problem to fix and I am more than willing to sit down with my Welsh counterparts to ensure that that is done. We have made more than £1 billion available for concessionary bus passes, and it is absolutely key that older people and those with disabilities can use our public transport system.
ParlaMint-GB_2019-10-24-commons.u72	There is no doubt that our bus services are in crisis. Funding has been slashed by £645 million a year in real terms since 2010; over 3,000 routes have been cut, as we heard earlier; and fares have soared by two and a half times the increase in wages. It is hardly surprising that passenger numbers have fallen by 10%. Millions of pensioners, young people and commuters who rely on buses deserve an apology, so will the Minister now apologise for her Government’s complete and utter failure in this area?
ParlaMint-GB_2019-10-24-commons.u73	It is remarkable that the hon. Gentleman, who represents a Reading constituency, will not even recognise the progress that has been made with local bus services in Reading, where numbers are going up. Even in places such as Liverpool, where better packages have been put together for younger people, numbers are definitely going up. I am more than happy to come to the Dispatch Box and talk about the new £220 million fund that is being made available. The hon. Gentleman talks about bus fares. They are indeed an issue for local authorities and train operating companies to take up, but unfortunately, the Opposition Front Bench has forgotten its history; when it was in office, bus fares went up twice as fast as they have under this Government.
ParlaMint-GB_2019-10-24-commons.u74	8. What recent assessment he has made of the potential effect on airports of the UK leaving the EU without a deal.
ParlaMint-GB_2019-10-24-commons.u75	Flights between the UK and the EU will continue whatever the outcome of our EU exit. We are working with airports to ensure that freight can continue to flow, and that any disruption to passengers is kept to a minimum. Aviation security in the UK will remain among the best in the world and passengers will not notice any change to airport security screening at UK airports as a result of EU exit.
ParlaMint-GB_2019-10-24-commons.u76	Maintenance, repair and overhaul of aircraft is a major and growing industry at Prestwick airport in my constituency. With the Prime Minister’s preferred Brexit deal just one week away, what has already been put in place to provide the engineering licences and aircraft safety certificates currently provided by the European Union Aviation Safety Agency?
ParlaMint-GB_2019-10-24-commons.u77	The first obvious point is that if the hon. Lady voted for the deal, we would go into the revised political declaration, which commits both the parties to uphold high “safety and security” standards and make arrangements to maintain close co-operation between the CAA and EASA. However, the Commission has already published proposals to extend its contingency measures for aviation until October 2020, were we to leave without a deal.
ParlaMint-GB_2019-10-24-commons.u78	Whatever happens to Brexit, some of us have been greatly encouraged by the comments of the Secretary of State, of the Minister of State, Department for Environment, Food and Rural Affairs, the right hon. Member for Richmond Park (Zac Goldsmith), and yesterday of the Prime Minister in their lukewarm response to Heathrow expansion. Can the hon. Gentleman help resolve the contradiction between the official Government policy of encouraging airport expansion at Heathrow and their unofficial policy of opposing it?
ParlaMint-GB_2019-10-24-commons.u79	I believe those arguments are entirely sustainable, and I am happy for the right hon. Gentleman to continue that conversation with my Prime Minister.
ParlaMint-GB_2019-10-24-commons.u80	10. What plans his Department has to construct new transport infra- structure to serve growing towns on the outskirts of London.
ParlaMint-GB_2019-10-24-commons.u81	Transport in the Greater London area is devolved to the Mayor and delivered on his behalf by TfL. The Department continues to fund investment in major transport projects benefiting London, such as Crossrail and the Thameslink upgrade. The Department is also working with the Ministry of Housing, Communities and Local Government to plan transport infrastructure as part of sustainable house building, particularly through the housing infrastructure fund and the garden communities programme.
ParlaMint-GB_2019-10-24-commons.u82	I thank the Minister for his response, but has he looked into the possibility of expanding his investment programme to the Gallows Corner area of my constituency—a major hub from Essex into London? Its 50-year-old structure now needs to be replaced. Is it not time that the Government stepped in to make sure that this happens?
ParlaMint-GB_2019-10-24-commons.u83	I am delighted to confirm that we are indeed stepping in. My hon. Friend is a dogged advocate of the needs of Romford and, along with his companion Buster, has done more than anyone to put this subject on the map. I know that as well as Brexit he wants “Hexit”—he wants control of Havering taken back into Essex. However, I can confirm that we are looking at this scheme with TfL to develop a series of major structural renewals at Gallows Corner, as announced by the Government in October 2018.
ParlaMint-GB_2019-10-24-commons.u84	I am pleased that last week, TfL launched its new consultation on the Bakerloo Line extension. Will the Minister commit to exploring funding options for that scheme with HM Treasury and TfL?
ParlaMint-GB_2019-10-24-commons.u85	Those conversations are ongoing, and I am aware that the hon. Lady met the Rail Minister last week.
ParlaMint-GB_2019-10-24-commons.u86	On the grounds that Thurrock is somewhat more geographically deserving than Truro and Falmouth in respect of this question, I call Jackie Doyle-Price.
ParlaMint-GB_2019-10-24-commons.u87	Plans to deliver 3,000 new homes in Purfleet in my constituency have ground to a halt following Highways England’s decision to reject any planning application for more than 250 houses due to pressure on the A13. I find it difficult to explain to my constituents why Highways England is putting a new motorway through Thurrock while preventing us from planning and delivering new homes. Will the Minister meet me to discuss the matter?
ParlaMint-GB_2019-10-24-commons.u88	Yes, I would be delighted to meet my hon. Friend. She will be pleased to know that the Secretary of State for Housing, Communities and Local Government and the Department for Transport are working on the much closer integration of housing and transport.
ParlaMint-GB_2019-10-24-commons.u89	High Speed 1 is one of the most successful pieces of infrastructure at enabling commuting into London. Indeed, it is so successful and reliable that many services, particularly at peak hours, are massively overcrowded. In the Department’s radical look at the future of the rail network, will Ministers consider the provision of extra rolling stock on HS1, so that my constituents in Ashford and people in other places along the lines can have more comfortable journeys to and from work?
ParlaMint-GB_2019-10-24-commons.u90	My right hon. Friend makes a typically excellent point, and I am delighted to confirm that the Rail Minister met the relevant decision makers yesterday to discuss that proposal.
ParlaMint-GB_2019-10-24-commons.u91	11. Whether he plans to review the Road Vehicles Lighting Regulations 1989.
ParlaMint-GB_2019-10-24-commons.u92	On 23 July 2019, the Government announced a review of the available evidence to see whether a more flexible approach to the regulations permitting the use of red flashing lights by road recovery operators may be appropriate. The Department is in the process of commissioning the study, and a decision to review the regulations will be taken once the study has reported.
ParlaMint-GB_2019-10-24-commons.u93	I am grateful for that response. The partner of my constituent Sam was killed while recovering a vehicle on the M25. Since then, she and others have been campaigning for the roadside recovery industry to be able to use red lights, rather than amber, during recoveries. The police and others have now dropped their objections, and the science shows a difference in reactions to amber light and red light, so will the Minister now give the green light to the change?
ParlaMint-GB_2019-10-24-commons.u94	I congratulate my hon. Friend on her campaign, and the whole House sends its condolences to her constituent. Our motorways are actually the safest roads, but she raises an important point. If the public feel that the use of red lights will help them feel safer, we will be minded, after looking at the evidence, to approve the change.
ParlaMint-GB_2019-10-24-commons.u95	My constituent Jason Mercer is dead because of the Government’s ill-conceived all-lane-running scheme on the M1. Will the Minister please meet me and Claire Mercer, Jason’s widow, to discuss the safety implications of the scheme and the stopping of next year’s roll-out?
ParlaMint-GB_2019-10-24-commons.u96	Yes, I would be delighted to meet the hon. Lady, as will the Roads Minister, Baroness Vere. I am also delighted to confirm that the Secretary of State will be announcing a short review so that we can deal with that problem quickly.
ParlaMint-GB_2019-10-24-commons.u97	Many of my constituents have told me about car headlights that seem undipped or exceptionally bright. This is a slightly different issue from the one we are discussing, but will there be regulations to ensure that headlights do not have an impact upon vehicles coming the other way? These lights can cause accidents.
ParlaMint-GB_2019-10-24-commons.u98	The hon. Gentleman makes a good point. We are going to take a quick look at the evidence and introduce a framework to ensure that people are safe on the edges of our motorways and that drivers know that the right regulations have been put in place for them.
ParlaMint-GB_2019-10-24-commons.u99	13. What steps he is taking to ensure that all regions have sufficient transport infrastructure to support economic growth.
ParlaMint-GB_2019-10-24-commons.u100	14. What steps he is taking to ensure that all regions have sufficient transport infrastructure to support economic growth.
ParlaMint-GB_2019-10-24-commons.u101	17. What steps he is taking to ensure that all regions have sufficient transport infrastructure to support economic growth.
ParlaMint-GB_2019-10-24-commons.u102	Since 2015, we have doubled our capital investment in the transport system, and we are investing over £72 billion in transport infrastructure in the five years to 2020-21. The Prime Minister has set out his commitment to enhancing and levelling up connectivity across the country and, as such, we are investing an average of £248 per person in the north, compared with £236 per person in the south.
ParlaMint-GB_2019-10-24-commons.u103	One of the main projects that has been identified as essential for future economic growth in the midlands is the A5 upgrade in north Warwickshire. Will the Minister commit to working with me, the A5 partnership and Midlands Connect to help deliver these vital improvements?
ParlaMint-GB_2019-10-24-commons.u104	Yes. My hon. Friend makes an excellent point, and we are in discussions right now on that important golden triangle. We will shortly be announcing our plans for the A5 in the road investment strategy.
ParlaMint-GB_2019-10-24-commons.u105	Middlewich is clearly on the Government’s map for both road and rail investment, with £50 million for a bypass and funding for the business case for reopening the railway station. Will the Minister assure me that both projects are continuing at pace, and will he meet me to discuss it?
ParlaMint-GB_2019-10-24-commons.u106	Yes, I am delighted to reassure my hon. Friend that we will make sure the pace is kept up and that the change in political control does not slow it down. We will make a decision on the final funding once a business case has been properly considered On the reinstatement of passenger rail services via Middlewich, my officials are now working with local partners on the development of that business case, which we will consider with Transport for the North.
ParlaMint-GB_2019-10-24-commons.u107	The A64, which runs through my constituency and the constituency of my right hon. Friend the Member for Scarborough and Whitby (Mr Goodwill), is desperately in need of dualling. Will the Minister answer the calls of all MPs, businesses, local authorities, residents and hundreds of thousands of tourists and commit to this very important project?
ParlaMint-GB_2019-10-24-commons.u108	My hon. Friend has been a tireless campaigner for the A64, and I can assure him that his message, both today and in his various correspondence and meetings, has been heard loud and clear. We will shortly be announcing the second road investment strategy, as promised in the first. We have plans for the A64, so I urge him just to wait for a few weeks and months.
ParlaMint-GB_2019-10-24-commons.u109	For economic growth to be properly supported, transport infrastructure needs to be properly accessible, so will the Minister and the Government commit to making sure that every local railway station, such as Lawrence Hill and Stapleton Road in my constituency, is fully accessible?
ParlaMint-GB_2019-10-24-commons.u110	The hon. Lady makes an excellent point—I have a railway station in my constituency that is in desperate need of disability access—and that is why we have launched the Access for All programme. We will be looking to make sure that all those stations with the most urgent access challenges are sorted in the right order.
