ParlaMint-GB_2019-04-08-lords.u1	To ask Her Majesty’s Government what action they are taking to reduce air pollution.
ParlaMint-GB_2019-04-08-lords.u28	My noble friend is right to point out that we have been making extensive preparations across government for no deal, and I think that is a situation we could manage. Nevertheless, we are where we are. The House of Commons has refused to pass the withdrawal agreement and, with its agreement, the Prime Minister has decided that we need to seek a further extension.
ParlaMint-GB_2019-04-08-lords.u29	The Minister has suggested that he is not here to answer questions on behalf of the ERG. I hope he can answer a question linked to the letter from the Prime Minister to Donald Tusk, in which she writes: “The United Kingdom proposes that this period should end on 30 June 2019” In line with a question asked by the noble Lord, Lord Shinkwin, when did the United Kingdom decide on this date, given that the European Union has already rejected 30 June? I do not believe that this House or the other place voted for 30 June as a preferred date.
ParlaMint-GB_2019-04-08-lords.u30	The Prime Minister and the Cabinet agreed that date. The Prime Minister made the proposal but, as the noble Baroness will understand, given her extensive experience of European law, this is a matter for negotiation with the European Union. The Council of 28 will decide that on Wednesday.
ParlaMint-GB_2019-04-08-lords.u31	My Lords, does my noble friend not recall that, when the legislation first went through Parliament, a number of us warned that, if we are to secure an orderly withdrawal from the European Union, it would be better not to fix a date in the calendar but to allow the negotiations to take their course, and that by fixing a date we are putting a gun to our own head? I would be grateful if he would say whether he recalls that. Does he not also agree that, when the country faces a crisis—and we certainly face a crisis now—it is in the British tradition to seek all-party agreement to get out of it?
ParlaMint-GB_2019-04-08-lords.u32	I agree with my noble friend that there were extensive debates on all aspects of the European Union (Withdrawal) Bill at the time—at late hours of the day and night—and the matter of the date was of course discussed. It would of course be preferable to have all-party agreement across the House, if we can, and we are trying to get that.
ParlaMint-GB_2019-04-08-lords.u33	My Lords, how much collaborative working have the Government undertaken with the devolved nations’ Governments? They may be of a different political persuasion, but they have good working relationships with many countries within Europe, which could be helpful in the negotiations.
ParlaMint-GB_2019-04-08-lords.u34	I assure the noble Baroness that there are extensive discussions with the devolved Administrations—in fact, I was in a Cabinet sub-committee meeting only last week with the First Ministers of Scotland and Wales. I chair one of the joint working arrangement groups on ongoing EU business, involving all the devolved Ministers. So there is extensive collaboration going on.
ParlaMint-GB_2019-04-08-lords.u35	To ask Her Majesty’s Government what steps they are taking to reduce business rates on retailers with physical premises so that they are charged less than those which trade online.
ParlaMint-GB_2019-04-08-lords.u36	My Lords, business rates are an annual tax on non-domestic property. Bills are based on rateable value, which represents the annual rent the property would achieve if let on the open market, at a set valuation date, as assessed by the Valuation Office Agency.
ParlaMint-GB_2019-04-08-lords.u37	I refer to my register of interests. Although anomalies remain, I am grateful for what the Government have done on small business rate relief, but it is not enough given the scale of the challenge in our towns and high streets. Because of the requirement to raise over £30 billion from business rates and the decline in the number of physical shops, the burden of rates is increasing for many retailers. Does the Minister accept that this is no longer appropriate, and that changes in taxation on business property should be carefully considered, perhaps with a freeze on the pernicious multiplier and a move to a framework that is more fit for the 21st century?
ParlaMint-GB_2019-04-08-lords.u38	My noble friend looked at this area when she was Commercial Secretary to the Treasury. As a result of that review in 2016, a number of changes were made that had a significant impact, such as doubling small business relief from 50% to 100% for those with a value less than £12,000, moving to more frequent revaluations, which were asked for, and moving the multiplier in inflation rates from the RPI to the CPI. All these things are making a difference. It is not that we cannot see the big problems on the high street at the moment, which is why the Chancellor announced his £1.6 billion package in the Budget of 2018.
ParlaMint-GB_2019-04-08-lords.u39	Can we accept the fact that a bookshop on a high street has such an enormous social echo that it actually makes the high street a lot better? Can we start seeing our bookshops in a different way and not simply as traders in the marketplace?
ParlaMint-GB_2019-04-08-lords.u40	There is a social value there, and significant steps are being taken on the purely financial side—the retail discount and the small business rate relief apply to eligible bookshops—to protect that vital form of social and intellectual capital on our high streets.
ParlaMint-GB_2019-04-08-lords.u41	Does the Minister agree that it is becoming depressing that there are so many empty shops, not just in poor parts of the country but even in affluent areas? Is not the problem that there is no level playing field between shops and the online people, either in business rates or in tax dodging? Do we not have to tighten up both those areas and give our high streets a chance?
ParlaMint-GB_2019-04-08-lords.u42	We have looked at that area, and the Select Committee on Housing, Communities and Local Government is looking at this precise time to see what can be done. We have to remember that options such as an online sales tax would hit many high street stores, because they are hybrid business models that have a physical presence but also an online business.
ParlaMint-GB_2019-04-08-lords.u43	My Lords, does the Minister accept that taxing just the land value of commercial sites would achieve many of the goals that other questioners have put forward? It would encourage small firms to take on new technology and to expand, and would reduce the business rates for many, with the consequence that they would face a more level playing field with the online players.
ParlaMint-GB_2019-04-08-lords.u44	The land value option was looked at in the review in 2016, which I talked about earlier. The review concluded that a land value tax would also result in anomalies and problems. Under the business rates system that we have at the moment, it is easy to collect and easy to understand the calculation, which is why we are sticking with it at the moment.
ParlaMint-GB_2019-04-08-lords.u45	Do Her Majesty’s Government recognise that the high street is still suffering and has been suffering for well over six years now? Against that background, should we not segment off the independent retailers? I am not talking about small retailers: there are independent retailers up and down this country who need help. With business rates at nearly 50% of rateable value, that is a huge fixed cost on any business. Surely we should look at segmenting the high street and finding answers to this problem; otherwise, we will have no high street before long.
ParlaMint-GB_2019-04-08-lords.u46	That is why the Chancellor took the action that he announced in 2018 and why potentially 90% of businesses can claim the retail discount that we announced for the next two years. We have taken 655,000 businesses out of paying business rates altogether through small business rate relief. These are complex problems, but we are mindful of them and are seeking to address them.
ParlaMint-GB_2019-04-08-lords.u47	My Lords, as well as shops being boarded up in high streets, the Minister must be aware that 100,000 jobs have gone in the last three years and that for many retailers the situation is at a crisis. I welcome the support for small businesses, but none of the measures that the noble Lord mentioned would have had any impact at all on House of Fraser, Debenhams or many Marks & Spencer stores. When these have closed, it has had repercussions for the economy of whole neighbourhoods. Why does the noble Lord not accept that online retailing is providing fierce competition for many other stores, which need some kind of support?
ParlaMint-GB_2019-04-08-lords.u48	Those businesses to which the noble Lord refers will have benefited from corporation tax falling from 27% to 19%—it is due to go down to 17%. It is also one of the reasons why, notwithstanding all the points highlighted by the noble Lord, levels of employment in this country are at a record high.
ParlaMint-GB_2019-04-08-lords.u49	My Lords, does the Minister believe that the relationship between the high street and online retailers is fair in terms of competition? This is a very simple question; it is either fair or not fair.
ParlaMint-GB_2019-04-08-lords.u50	Let me refer to a quote from the British Retail Consortium. It looked at this situation, and said: “We fail to see how adding additional new taxes to the industry is really going to resolve the challenges we currently face” John Lewis said, “this would actually have a detrimental effect … high streets need successful retailers with both a physical and online presence” I am not saying that this is easy and straightforward. It is complex, but the Government are seeking to come up with flexible solutions that address the concerns.
ParlaMint-GB_2019-04-08-lords.u51	My Lords, in addition to the measures outlined by the noble Lord, what is the overall government strategy to deal with these matters?
ParlaMint-GB_2019-04-08-lords.u52	The overall strategy, if the question is about business rates, is pretty straightforward: we collect about £25 billion in business rates, about 25% of which comes from the retail market and the remaining 75% from offices and industrial premises. At the moment, we are seeing the business rate book, if you like, increasing in value. Through the retention scheme, local authorities will get an extra £2.5 billion as a result of the growth of businesses in this country. At the same time, we are looking at how we deal with online businesses to ensure that there is fair taxation. That was the purpose behind the digital services tax.
ParlaMint-GB_2019-04-08-lords.u53	To ask Her Majesty’s Government whether they have reassessed the safety of the contra flow on the M20, installed as part of Operation Brock, following a series of accidents since the installation of barriers.
ParlaMint-GB_2019-04-08-lords.u54	My Lords, the Operation Brock contraflow system using barriers on the London-bound carriageway between junctions 8 and 9 of the M20 has been in place since 25 March. Although some incidents have been reported, which is of course regrettable, this is not dissimilar to other roadwork contraflows. Highways England and Kent Police agree that no changes are currently required as a result of these incidents, but they will continue to closely monitor the use of Operation Brock to ensure driver safety.
ParlaMint-GB_2019-04-08-lords.u55	My Lords, there have already been half a dozen accidents, one of which held up the traffic for 13 and a half hours on that short stretch of motorway. That is not normal for motorways in this country. The impact on the rest of the roads in Kent is considerable, because people are seeking to avoid the contraflow. Can the Government give us an assurance that, in the light of yesterday’s criticism from DFDS ferries and Kent County Council, a full audit of the situation will be undertaken? Can the Government undertake to remove the contraflow if and when we resolve our issues on Brexit?
ParlaMint-GB_2019-04-08-lords.u56	My Lords, since Brock became active, five road traffic collisions have been reported to Highways England, although that is yet to be validated as an official statistic. It is not dissimilar to other contraflows; there have been five incidents in the same period within the adjacent M20 smart motorways roadwork. However, I reassure noble Lords that Highways England will closely monitor the performance of the contraflow and ensure that the M20 continues to operate safely. The point of Operation Brock is to ensure that the M20 does not close down, which would obviously have a terrible effect on local roads. Both Highways England and Kent Police will continually monitor the situation.
ParlaMint-GB_2019-04-08-lords.u57	My Lords, is not the answer to contraflows to set appropriate speed limits and then enforce them? I have seen many people caught speeding in contraflows. If speed limits are properly enforced, surely that will reduce accidents.
ParlaMint-GB_2019-04-08-lords.u58	The noble Lord is right to point out the benefits of having speed limits within contraflows. For safety reasons, there has been a speed reduction in the area while the contingency is in place: for the freight side the limit has been reduced to 30 miles per hour, and for the non-freight traffic travelling in the contraflow it is now 50 miles per hour. Highways England has redeployed 80 traffic officers to support Operation Brock, which will ensure that there are 30 on duty at any time. That action will ensure proper enforcement measures. We are also considering activating speed cameras and further signage.
ParlaMint-GB_2019-04-08-lords.u59	My Lords, is not the trouble on the M20 often caused by strikes in France, so it is not in fact our fault at all?
ParlaMint-GB_2019-04-08-lords.u60	Operation Brock is designed to be an improvement on Operation Stack, which we saw huge problems with in 2015. We actually used Operation Stack in mid-March; that was caused by high winds. My noble friend is right to point out that disruption can have a number of causes. That is why we have the contraflow in place: to ensure that we can deal with any disruption.
ParlaMint-GB_2019-04-08-lords.u61	My Lords, the Minister will know that my rule of transport safety is: if it can go wrong, it will go wrong. That seems to have proved true in this case already. Accidents will create enormous delays and completely destroy the whole operation. Can she assure us that everything is being done to reduce the risk to as low as reasonably practical?
ParlaMint-GB_2019-04-08-lords.u62	As I said, there is no evidence for the cause of the current accidents, but we are of course looking at the circumstances around each collision and considering what can be done to prevent future incidents. Highways England has already reduced the spacing between cones on the coast-bound carriageway to reduce the risk of illegal parking. Additionally, the junction 8 coast-bound entrance slipway, which is currently closed, has had CCTV infrastructure installed. The department is assured that Highways England is doing everything it can to reduce the risk of accidents.
ParlaMint-GB_2019-04-08-lords.u63	My Lords, of the existing places where the vehicles are going to be checked, one is very close to the Port of Dover and the second is very close to Eurotunnel, with the danger that they will themselves generate enough congestion to trigger Operation Brock when it might not have been necessary. What other locations are being considered and when might we expect them to open?
ParlaMint-GB_2019-04-08-lords.u64	My Lords, of course we aim to ensure that all movement through ports will continue to be as frictionless as possible in a no-deal scenario so that the effects on businesses using the Port of Dover and the Channel Tunnel are minimised. To achieve this, our modelling for roll-on roll-off freight moves the customs processes away from the border. Furthermore, in early February HMRC announced transitional simplified procedures, which will help businesses using those facilities. But, as I say, we are working hard to mitigate any disruption caused by additional checks.
ParlaMint-GB_2019-04-08-lords.u65	My Lords, the Minister will be aware that the M20 provides access to the Cinque Ports, which of course gathered together in a time of crisis because our nation did not have enough ships. Does the Minister think there is a similar technique we could use to resolve the problem we have at the moment of too few ships?
ParlaMint-GB_2019-04-08-lords.u66	I am not sure I can comment on that specific solution. We are of course working very closely with the local resilience forums and all ports to ensure that we mitigate disruption wherever possible.
ParlaMint-GB_2019-04-08-lords.u67	To move that Standing Order 46 (No two stages of a Bill to be taken on one day) be dispensed with to allow the European Union (Withdrawal) (No. 5) Bill to be taken through its remaining stages this day.
ParlaMint-GB_2019-04-08-lords.u68	On behalf of my noble friend Lady Hayter, and with her agreement, I beg to move the Motion standing in her name on the Order Paper.
ParlaMint-GB_2019-04-08-lords.u69	My Lords, I will respond briefly to the Business of the House Motion. We had lengthy and passionate debates last Thursday on the most appropriate way to handle this Bill. This Motion gives me the opportunity to express my gratitude to all those who worked together in the margins of the Sitting to agree what I think is a more sensible way to proceed. By all sides compromising, we have had the opportunity to give this Bill more scrutiny than was possible on Thursday and have recognised the desire of those who want to see it progress following that scrutiny. Noble Lords have had a short but useful amount of extra time to consider the Bill and propose amendments for the House to consider. It has also allowed the Delegated Powers and Regulatory Reform Committee and the Constitution Committee to produce reports on the Bill to further aid the House’s scrutiny, and I am grateful to them I am pleased to see amendments tabled on the particularly problematic issue of the Bill inadvertently affecting the royal prerogative, and I hope that this can be resolved positively. I am grateful to the noble Lord, Lord Pannick, and the noble and learned Lord, Lord Judge, for bringing their expertise to bear in this area. The noble Lord, Lord Robertson of Port Ellen, who is today leading the Bill in the absence of the noble Lord, Lord Rooker, has tabled amendments that will allow the Motion to be debated in the Commons tomorrow should the Bill receive Royal Assent after midnight, and to maintain usual drafting practice by referring to a “Minister of the Crown”. The noble and learned Lord, Lord Goldsmith, has an amendment to remove two subsections of Clause 1; removing these subsections will allow greater flexibility after the European Council on 10 April and any further debates that need to be scheduled in the House of Commons. These are necessary amendments in light of our considerations today, which the Government will support to facilitate the tabling of business in the House of Commons Despite what I hope will be improvements, the Government’s position has not changed: we oppose the Bill and remain of the view that it is unnecessary. We are concerned about the manner in which both Houses have had to consider it, and its passage should not be taken as any sort of precedent. It has always been my belief that it is important in this House that all sides of an argument are aired and given due respect before decisions are taken, which is why I am pleased that we have additional time to consider and scrutinise the Bill. I trust that we will be able to consider its remaining stages in a timely fashion, and send it back to the House of Commons in a better shape than it arrived here. Although the Government oppose the Bill and the way in which it has been taken through both Houses, we will not oppose this Motion.
ParlaMint-GB_2019-04-08-lords.u70	My Lords, I do not intend to detain the House. However, having read the Delegated Powers and Regulatory Reform Committee report, the wisdom of us having an opportunity to consider it is reinforced. It makes some serious recommendations, which no doubt we will be able to deal with later this afternoon I very much agree with my noble friend the Leader of the House in her assertion that she hopes that the treatment of the Bill will not act as any kind of precedent. It arrived here as an orphan, it was being supported by the noble Lord, Lord Rooker, it is now being supported by the noble Lord, Lord Robertson of Port Ellen, who is acting on his behalf, and the whole thing has been done at a great pace. The very fact that the Opposition are moving a business Motion is undesirable. I hope that in the future, the House will consider whether what we all thought was the position in line with our constitution—that only a Minister should move a business Motion—will be the position going forward. However, I hope that we can now proceed I put on record my gratitude for the Chief Whip for the way in which he dealt with business on Thursday, which enabled us to carry out our duties speedily—or relatively speedily, compared to what might have happened.
ParlaMint-GB_2019-04-08-lords.u71	My Lords, I too will reflect briefly on what happened on Thursday, when the House did not serve the interests of the people we serve, Parliament, or indeed this House and ourselves. I hope that my noble friend the Leader of the House might consider asking the Procedure Committee to examine what happened on Thursday, either to make sure that it is not repeated or so that we manage ourselves in a better way. In addition, the usual channels should acknowledge that the House operates considerably better when the usual channels are aligned, as they are today, rather than when they are not, as was the case on Thursday.
ParlaMint-GB_2019-04-08-lords.u72	My Lords, I also express gratitude to those who worked out the business to allow us time to consider the Bill before it goes into Committee. My interest stems from the fact that I had an ancestor in Lord Townshend’s Administration at the time that this order was introduced. It is easy to think that we are in difficult and dangerous times but at that point people had seen real constitutional crisis: the end of the War of the Spanish Succession, the Act of Settlement 1701, the Act of Union, and a European monarch installed in a situation where there was an incipient civil war, which broke out about three months later. If we think we have a crisis now, we need to think about what other people have faced.
ParlaMint-GB_2019-04-08-lords.u73	My Lords, I have the right to speak at the end of this brief debate, but because everyone agrees that the debate should be brief, I do not intend to use that opportunity.
ParlaMint-GB_2019-04-08-lords.u74	That the House do now resolve itself into a Committee upon the Bill.
ParlaMint-GB_2019-04-08-lords.u75	My Lords, on behalf of my noble friend Lord Rooker, who is not here today, and with his agreement, I beg to move.
ParlaMint-GB_2019-04-08-lords.u76	My Lords, along with Amendment 1, I shall also speak to Amendments 2 and 3. As the Leader of the House has outlined—more eloquently than I could—this is a technical amendment designed to ensure that the other place can debate the Bill tomorrow. It arises from a confusion between parliamentary days and calendar days. I therefore beg to move.
ParlaMint-GB_2019-04-08-lords.u77	My Lords, Amendment 4 seeks to insert a restriction on the date referred to in line 10: “which must not be later than the end of the 2019/20 financial year” This may in practice be a variation on the provision proposed by my noble friend Lady Noakes in her amendment, but, as I explained at Second Reading, it is born out of frustration at not being able to table specific amendments on financial impact I want to draw attention to the fact that this Bill—agreed by all to be a constitutional innovation—is not the subject of a money resolution, as the Speaker decided in the other place. Equally pertinently, it has no impact assessment, and yet it could bring about a delay in Brexit without end or resolution, which could be extremely costly to this country. Whatever one’s views on Brexit, it must surely be common ground that altering the date of the event will have financial consequences. I accept that some of the costs will be negative and some will be positive, but the longer Brexit drags on, the more the cost of uncertainty for all economic players and the extra cost to the Treasury in payments to Brussels will weigh against the benefits of avoiding no deal Although we cannot persuade the Speaker of the House of Commons to change his mind on a money resolution, I believe that the promoters of the Bill should work up an impact assessment, which would cover some of the same ground. I also believe that adding a date gives the Government an incentive finally to resolve matters. Alternatively, if the promoters will not produce an assessment today, one should be required when the Government use the power to define the length of an extension in their statutory Motion Let us look at some of the costs of the new approach, as the costs of no deal, now threatened for 12 April, have been well articulated already and are well understood. As a businesswoman, I know that they are real worries and that they are especially acute in farming, the motor industry and industries such as food which depend on just-in-time supply chains and mutual recognition of labelling. But there is also a huge cost to uncertainty. There are literally billions of pounds which business is waiting to invest once, but only once, the Brexit uncertainty disappears. This could be a great driver of growth and productivity, because the combination of low capital investment and cheap, flexible labour from the EU is a key reason why productivity is flatlining, despite an increase in infrastructure, digital and R&D investment by this Government In other sectors such as financial services, which now represent a very large percentage of GDP, the critical thing is to turn the political declaration into a free trade agreement with the EU 27. Unfortunately, the Bill as drafted could allow the EU 27 to delay negotiations to the point where the resulting uncertainty has allowed it to steal more and more of our market. The beauty parade to attract investment which would have taken place in the UK to go to Paris or Milan is very energetic. We heard in the EU Financial Affairs Sub-Committee last week how jobs and work are moving, never to return, to Frankfurt, Dublin, Amsterdam, Brussels and elsewhere, even if we stay in the EU I feel that the Brexit process has lacked transparency from day one. If there was a fuller and more honest discussion of the complexities of what is planned when and of the likely implications, more dynamic analysis, objective pros and cons, both economic and political, and less of Project Fear, the country would be less divided and perhaps less critical of what we in Parliament have achieved There is another reason why a system of financial assessment and timetable constraints is desirable. We will have let the genie out of the bottle if this rushed, defective and uncosted Bill is passed. I fear very much that it will act as a precedent for future Private Members’ Bills even more financially damaging, such as on the regulation of utilities or whatever. This is a constitutional revolution and, as I said last week, there will be no way to hold Back-Bench sponsors to account if the mechanism in such a Bill causes damage. As my noble friend the Leader of the House just said, it is important not to set a precedent. The Bill is about stopping a premature no deal, for which I have some sympathy, but for the reasons I have stated the Bill needs amendment. I would be glad to hear from someone among the opposition promoters—although I am not sure who; perhaps the Deputy Leader of the Opposition the noble Baroness, Lady Hayter, who has always supported impact assessments, or another of her colleagues—on how we might meet some of these concerns about proper assessment. My noble friend the Brexit Minister may also be able to think of a way to do so Given our often tedious scrutiny role—I am afraid that this is a technical point, and some may feel it is tedious—it was cheering to hear the Secretary of State for Exiting the European Union express the expectation that this House would correct the flaws in the Bill. That is what we need to do today. I beg to move.
ParlaMint-GB_2019-04-08-lords.u78	My Lords, I oppose the amendment. It would frustrate the very purpose of the Bill, which is to leave it to the House of Commons to identify what it thinks is the appropriate date.
ParlaMint-GB_2019-04-08-lords.u79	My Lords, I support my noble friend’s amendment for two reasons. First, this remains a wretched Bill, taking power away from the Government and their ability to use the royal prerogative. Therefore, I would support any restriction on that measure being put into the Bill. Secondly, I support the points made by my noble friend in respect of the financial impact of different variants of a delay in leaving the EU. The fact that the Bill was not treated as a money Bill in the other place is beyond my comprehension, as is the fact that my noble friend was unable to table an amendment explicitly calling for an impact assessment or something else—but the ways of the Public Bill Office are strange on occasion. I support my noble friend.
ParlaMint-GB_2019-04-08-lords.u80	My Lords, there may be some flaws in the Bill—hence the support from these Benches for some of the other amendments. However, we agree with the noble Lord, Lord Pannick, that this amendment is unnecessary and that it should be for the other place to set a date.
ParlaMint-GB_2019-04-08-lords.u81	My Lords, noble Lords are saying that it is for the other place to set a date. My understanding is that it will have one hour to consider our amendments and every aspect of the Bill. It is apparent from the speech made by my noble friend that there is an issue here. As I raised on Thursday, I do not understand why the Bill did not have a money resolution. It is perfectly possible that, in return for agreeing a date, the European Union could demand even more than the £39 billion already offered by the Prime Minister, and that the financial consequences could be considerable. This amendment seeks some kind of time limit on the process, which is sensible.
