ParlaMint-GB_2019-04-10-lords.u1	To ask Her Majesty’s Government what steps they are taking to tackle plastic pollution.
ParlaMint-GB_2019-04-10-lords.u12	I thank my noble friend for that question. As someone who is running the London marathon this year, I will be appalled at the number of plastic bottles there will be by the roadside, but we have been told that if we empty them out they will be recycled. My noble friend makes a very good point: we have to clear up after our events. One thing that is happening right here, right now, which all noble Lords could participate in, is the Great British Spring Clean; 450,000 volunteers have signed up, and it will go on until 23 April. We can all be out there picking up litter, and indeed plastic.
ParlaMint-GB_2019-04-10-lords.u13	My Lords, can my noble friend advise the House what efforts the Government are making on British waste to encourage new, more imaginative technologies that convert plastic waste into energy, such as those in town centre schemes in Copenhagen and Stockholm? They could mitigate some of the harm that this plastic mountain is inflicting.
ParlaMint-GB_2019-04-10-lords.u14	My noble friend raises a very important point. Energy from waste is potentially one of the solutions. However, we do not want to see items being sidetracked from recycling and reuse into energy from waste. Certainly, if we can stop products going to landfill, we will look at incineration. We are working with the Environment Agency and looking at how plastics are burned and any emissions that are released. We understand that Public Health England’s position on carbon dioxide release, for example, remains that modern, well-managed incinerators are not a significant risk to public health.
ParlaMint-GB_2019-04-10-lords.u15	My Lords, everything is in the future—we are going to do it some time. When will all this happen? Years ago when we pressed the Government on charging for plastic bags in supermarkets, they said, “No, no, no, we are never going to do it”. Eventually they changed their minds. Can we get a move on? It is a crisis.
ParlaMint-GB_2019-04-10-lords.u16	I am not entirely sure that the Labour Government did it either. The reality is that it was the Conservative Government who banned microbeads and introduced the 5p charge on plastic bags, which has reduced their usage by 86%. We are consulting on increasing the charge to 10p and for it to cover all different retailers. It is wrong to say that nothing has been done, but it is right to say that the Government have great plans for the future, and we will be tackling plastic pollution.
ParlaMint-GB_2019-04-10-lords.u17	Has my noble friend noticed, in the Great British Spring Clean, the great enthusiasm with which children, particularly primary school children, have signed up to go out and clean up the lanes and byways of this country? Does she agree that the Daily Mail has done rather well in encouraging people to do it?
ParlaMint-GB_2019-04-10-lords.u18	Indeed, and I understand that my noble friend has a Question on this particular issue coming up very soon, so we will be able to debate this in greater detail. He is absolutely right: we have to get everybody involved. Children are brilliant at picking up litter, and we must make sure that their parents encourage them to do so.
ParlaMint-GB_2019-04-10-lords.u19	To ask Her Majesty’s Government what steps they have taken to review the access to legal redress and humanitarian protection of children whose parents have been deprived of British citizenship.
ParlaMint-GB_2019-04-10-lords.u20	My Lords, if a parent is deprived of British citizenship, this does not affect the citizenship status of their child nor a British child’s ability to access legal support or humanitarian protection.
ParlaMint-GB_2019-04-10-lords.u21	My Lords, I am grateful to the Minister for her Answer. The story begins for all these British children with their parents—such as the parents of nine year-old Sara—taking them out to join IS. My noble friend has not explained why these British children, who cannot make their own way home or access consular services, do not benefit from a decision-making process in the Home Office on whether it is in their best interests to remain with that parent, potentially in a refugee camp, or to return home. Nor, as far as I am aware, has the inherent wardship jurisdiction of the family courts been exercised on behalf of these children, which would relieve the Home Secretary of that legal conundrum. Will the Minister please agree to meet with concerned Members of your Lordships’ House? I am grateful that there is concern on all Benches about the situation of British children finding themselves in refugee camps.
ParlaMint-GB_2019-04-10-lords.u22	I share my noble friend’s concerns about children who find themselves, in many cases through no fault of their own, in Syria. She is absolutely right to point out that there is no consular access, which is why the FCO advises against all travel to Syria. There is humanitarian protection out there in the region—it is not an ideal place for a child to be—and the UK has provided £40 million towards that protection in Syria. I would be very happy to meet with my noble friend, and I am grateful for the meeting I had with her and the right reverend Prelate the Bishop of Durham to discuss this matter previously.
ParlaMint-GB_2019-04-10-lords.u23	I wrote to the Minister about this some time ago. My concern is not just the humanitarian side, which is very important, but also security. The longer those children and their mothers are in those camps in eastern Syria, the more likely they are to be brought back into ISIL. I appreciate that action has to be international and not just by the UK, but this is both a humanitarian issue for the children and a security issue for the UK and other countries.
ParlaMint-GB_2019-04-10-lords.u24	The noble Lord raises two very vital points about the whole crisis in Syria, both the humanitarian issue and the security issue of anyone who might come back to this country after engaging in activity out there. This is, of course, of international concern, as the caliphate disintegrates. As international partners, we must all discuss with each other what the best way forward is. In the humanitarian area, the UK is providing, as I said, a lot of assistance.
ParlaMint-GB_2019-04-10-lords.u25	My Lords, does the Minister agree that the lack of clarity indicated by this Question might have been resolved much better if the Government had not delayed for nearly five months appointing a new Independent Reviewer of Terrorism Legislation, who would have been on hand to give expert advice as to the proper resolution of the important issues raised?
ParlaMint-GB_2019-04-10-lords.u26	I agree with the noble Lord and thank him for all he does in this area. The sooner that appointment is made, the better.
ParlaMint-GB_2019-04-10-lords.u27	My Lords, families are key to the prevention and deceleration of radicalisation. Does the Minister not think that to allow foreign fighters to return from the so-called Islamic State to face justice, deradicalisation and reintegration is far more likely to make the UK safer, rather than depriving them of British citizenship, which runs the risk of maintaining or increasing hostility towards the UK?
ParlaMint-GB_2019-04-10-lords.u28	Obviously, people do return, and those who return face the most robust force of the law on why they have travelled to Syria. On deprivation, these decisions have been made 150 times since 2010, and the Home Secretary does so with the most robust information and advice before him.
ParlaMint-GB_2019-04-10-lords.u29	My Lords, as the Minister has said, the Home Secretary has had to face this kind of decision on a number of occasions over recent years. Given the legitimate reaction there has been to the most recent decision that we have discussed in your Lordships’ House, is it not time for the Government to introduce a system whereby mothers and children who are located elsewhere in the world, in a refugee camp or anywhere else, have some form of advocacy, legal or otherwise, in the Home Office at the time the decision is made, rather than having to appeal afterwards? Surely we would not tolerate that in a situation which might separate mothers and children if they were living in this country. If British citizens are living elsewhere, surely they have the right to advocacy, as I think the noble Baroness, Lady Berridge, suggested, before the Home Secretary makes a decision on citizenship in the future.
ParlaMint-GB_2019-04-10-lords.u30	Of course, when people travel to countries like Syria, when, as I have said, the FCO advice is that under no circumstances should people travel there, and they do so knowing that there is no consular access, what the noble Lord suggests is very difficult. After decisions are made, they may be appealed, but one cannot appeal a decision before it has been made.
ParlaMint-GB_2019-04-10-lords.u31	My Lords, what will the Government do about young children with British citizenship whose parents have been deprived of British citizenship? It will be extraordinarily difficult to look after the children if you do not also look after the mother.
ParlaMint-GB_2019-04-10-lords.u32	The noble and learned Baroness is right to point out the issue of the needs of children. If a child finds itself in, say, al-Hawl refugee camp, that is a difficult situation to be in, and quite often their parents have put them in that situation. As I said, humanitarian assistance is available, and we have put a significant amount of money into providing that assistance.
ParlaMint-GB_2019-04-10-lords.u33	To ask Her Majesty’s Government what steps they are taking to ensure the attraction of the United Kingdom as a place to establish and scale businesses based on artificial intelligence, FinTech and distributed ledger technology.
ParlaMint-GB_2019-04-10-lords.u34	My Lords, I beg leave to ask the Question standing in my name on the Order Paper and declare my interests as set out in the register.
ParlaMint-GB_2019-04-10-lords.u35	My Lords, we are creating an attractive environment, building the foundations and skills, data and ethics to allow businesses based on AI to start and scale. It is encouraging to note that inward investment to the UK AI sector increased by 17% last year—more than the whole of Europe combined.
ParlaMint-GB_2019-04-10-lords.u36	My Lords, there are obviously many factors involved, not least our excellent higher education institutions and our approach to immigration, to international students and to funding, to name just a few. Does my noble friend agree that we need to optimise all these factors and more if we are to realise this fantastic opportunity for companies to come here to start and scale in the UK?
ParlaMint-GB_2019-04-10-lords.u37	My noble friend is quite right to draw attention to our strengths, particularly those in the university sector; for example, he will know that on a league table based on research we have three of the top 10 universities, which certainly makes it attractive for businesses to come to this country and for businesses here to upscale their businesses in AI. He pointed to other factors as well, but I assure him that the Government are doing their bit with the AI sector deal, which is worth some £1 billion to the sector—half from the Government and half from the industry—and I hope that we will see yet further support for it.
ParlaMint-GB_2019-04-10-lords.u38	My Lords, before asking my question, I congratulate the noble Lord the Government Chief Whip on the achievement of his family business, Taylors Bulbs, in reaching the celebratory milestone of 100 years in business. My best wishes to him and his business for the next 100 years The noble Lord, Lord Holmes, is correct to identify and endorse huge commercial opportunities. However, a PwC report in 2017 highlighted that AI and wider automation could result in up to 30% of UK jobs being dispensable. Change can be painful. What steps are the department taking to ensure that all employees benefit from these developing technologies, such as by an improved leisure/work balance, and that AI does not simply lead to mass redundancies?
ParlaMint-GB_2019-04-10-lords.u39	The noble Lord takes a depressingly pessimistic view of that PwC report. It pointed out that advances in that sector could lead to growth of £230 billion between now and 2030. That is to be welcomed. It also pointed out that jobs would disappear, but I think it went on, as did another report to which I referred the other day, to point to a very large number of new jobs in the sector, which would probably be more highly paid and more highly skilled and which we could provide in this country.
ParlaMint-GB_2019-04-10-lords.u40	My Lords, will the Minister focus on the scale-up part of the Question? The British Business Bank is there to help the scale-up process. I understand that it loans about £2.5 billion through other institutions. How much of that money proportionately is going into the AI industries to help them scale up, and does he expect that proportion to increase or decrease?
ParlaMint-GB_2019-04-10-lords.u41	My Lords, I cannot give any precise figures about how much is specifically targeted on the AI industry. The important point is to recognise, as did the PwC and other reports, what will happen in that industry: the advantages for it, how much it will grow and how well this country is doing. That is why I cited in my Answer the massive increase in inward investment—which is obviously an indication of what is happening to not only start-ups but scale-ups—of 17%, which is more than the rest of Europe combined.
ParlaMint-GB_2019-04-10-lords.u42	My Lords, has my noble friend noticed that although the Opposition are complaining about the redundancies that will be caused by new technology, they are on the other hand complaining about the lack of productivity growth in this country, which will of course be achieved by the introduction of new technology?
ParlaMint-GB_2019-04-10-lords.u43	As always, my noble friend makes a valid point. We will see new jobs, better jobs, greater productivity and a general growth in the sector.
ParlaMint-GB_2019-04-10-lords.u44	My Lords, fintech is a great story for Britain. Later this month, we have the Innovate Finance FinTech summit marking the beginning of UK FinTech Week, but 42% of those working in the sector come from overseas. Does the Minister agree that access to this country for the young innovators from abroad is essential, and that we should have an immigration regime which permits them to come to this country?
ParlaMint-GB_2019-04-10-lords.u45	My Lords, the noble Lord rightly points to the importance of the fintech sector and the fact that London is its leading world player. We shall have to look carefully to ensure that we can attract the right people not only from abroad but from the UK. That is why skills will be important. I am sure that my noble friend from the Home Office will have noticed what he had to say on bringing in people from overseas.
ParlaMint-GB_2019-04-10-lords.u46	My Lords, I raise a slightly different aspect. We are ahead of most countries in the world on AI, particularly at our universities, but a large number of university courses are getting very full with Chinese students. Is there any concern about this vast number coming in, bearing in mind their input to a large number of other areas of high tech within our nation?
ParlaMint-GB_2019-04-10-lords.u47	The noble Lord takes me slightly wider than the original Question. Again, it is a sign of the success of the university sector that it attracts people paying large fees into universities, to the benefit of those universities and of this country. I hope that universities will then be able to consider expanding those courses.
ParlaMint-GB_2019-04-10-lords.u48	My Lords, is my noble friend aware of just how highly respected the UK artificial intelligence sector is around the world in not just research but application? It is generally trusted more than both China and the United States, and has a stronger digital industry than both Germany and France. Can the Government give something of a lead to this nascent industry through their procurement policies?
ParlaMint-GB_2019-04-10-lords.u49	My Lords, that will certainly be considered. In one of my earlier answers I referred to the AI sector deal, but I can also refer to the fintech sector strategy launched a year ago by my right honourable friend the Chancellor. Again, it set out our commitment to that sector remaining the leading centre for fintech.
ParlaMint-GB_2019-04-10-lords.u50	To ask Her Majesty’s Government why not all newly issued passports have the words “European Union” printed on them.
ParlaMint-GB_2019-04-10-lords.u51	My Lords, as part of the long-term operational arrangements to prepare for the UK leaving the EU, burgundy British passports that do not include “European Union” on the front cover were introduced as planned from 30 March. Whether their passport does or does not reference the European Union makes no difference to British citizens: both are equally valid for travel.
ParlaMint-GB_2019-04-10-lords.u52	My Lords, not only are we still in the European Union but, after tonight, we may be so for another nine months—perhaps even a year. During that time, the UK and the Government will enjoy all the rights and obligations of EU membership, including that of sincere co-operation. Why are the Government refusing to pass on those rights to their citizens, who want “European Union” on their passports? Why are they refusing to co-operate sincerely with their citizens or respect the will of those people?
ParlaMint-GB_2019-04-10-lords.u53	With respect to the noble Baroness, this has absolutely nothing to do with the will, or otherwise, of the British people, but everything to do with them voting to leave the European Union and the Home Office making preparations in changing passports. I really think that her point is not very good.
ParlaMint-GB_2019-04-10-lords.u54	My Lords, this is a topical Question. The noble Baroness, Lady Ludford, obviously thinks that it is an urgent and important matter for discussion. Will my noble friend the Minister perhaps consider getting the Home Office to produce disposable, peel-off stickers saying “European Union” for the people who feel concerned about this matter?
ParlaMint-GB_2019-04-10-lords.u55	My noble friend makes a very practical point. In fact, one can purchase passport covers in any colour and saying anything that anybody wants; the noble Baroness is quite at liberty to do so. It is right that the Home Office prepares for the UK leaving the European Union.
ParlaMint-GB_2019-04-10-lords.u56	My Lords, will the Minister consider an alternative solution? Given the limbo in which the country finds itself, would it not be sensible to put a question mark after “European Union”? Then we could Tippex it out in due course.
ParlaMint-GB_2019-04-10-lords.u57	The noble Lord makes a funny point. I do not think that we should deface our passports, just to put that out there, but we can buy covers and put pretty much what we want on them.
ParlaMint-GB_2019-04-10-lords.u58	My Lords, does my noble friend agree that the Government website and the adverts the Government have put out are confusing? If you have six months’ validity on your passport, can you still travel to the European Union? Would the Government mind extending it so that new passports would be valid for 10 years and six months henceforth?
ParlaMint-GB_2019-04-10-lords.u59	My noble friend makes a good point. Countries such as the US offer travellers leave to go for a fixed period of time so they can use their passport right up to the 10-year limit. It would therefore be rather confusing to make ours valid for 10 and a half years. I know exactly the point she is making, though.
ParlaMint-GB_2019-04-10-lords.u60	My Lords, by the end of the year, some British passports will be blue, some will be maroon, some will have “European Union” on the front and some will not. Does the Minister agree that this will be confusing to not only British passport-holders but foreign security personnel, and that this increases the risk of forged passports going undetected because of the variety of official documents?
ParlaMint-GB_2019-04-10-lords.u61	I give the British public more credit for their intelligence than does the noble Lord. Of course, the Croatian passport is not burgundy, it is blue, and there is a reason for that. The Croatians did not want the association with communism writ large on their passports in the form of the red colour. Some people might rather like it, though. I do not think that it is confusing. The wrong thing to do would be to scrap a load of remade passports. There is absolutely no law against what we are doing. We intend to continue to make the blue passport available from later this year, and I look forward to ordering mine.
ParlaMint-GB_2019-04-10-lords.u62	My Lords, perhaps I may turn for a moment from the cosmetics of passports to the national security implications. On 12 March, my noble friend Lord Wasserman asked the Government, “how many holders of UK passports also hold passports issued by other countries” The reply was: “Her Majesty’s Passport office does not hold a central record or database of persons holding both a UK passport and foreign passport” Is it not time that the Government put this right?
ParlaMint-GB_2019-04-10-lords.u63	I thank my noble friend for his persistence. It is perfectly legal to hold a passport from more than one country and the Government do not have any plans to change that.
ParlaMint-GB_2019-04-10-lords.u64	My Lords, can the noble Baroness confirm for the benefit of us all that the important information, including all the security information, is included inside the passport, not on the cover?
ParlaMint-GB_2019-04-10-lords.u65	I thank the noble Baroness for returning the debate to some common sense. She is absolutely right and of course our standards are set in consultation with the International Civil Aviation Organisation.
ParlaMint-GB_2019-04-10-lords.u66	My Lords, the noble Lord, Lord Marlesford, has raised an important point. Why does the Home Office not collect this information? Also, can the noble Baroness help me? I read somewhere that the European Union is going to change all of its passports to blue. Is that true?
ParlaMint-GB_2019-04-10-lords.u67	Would it not be a wonderful day if the Europeans followed our lead and changed EU passports to blue? I look forward to that. I think that the noble Lord is just having a bit of fun with me, but it is very difficult to gather the data establishing how many people are holders of passports from other countries. However, I shall look again into why that is so.
ParlaMint-GB_2019-04-10-lords.u68	Does the Minister share my guess that if British citizens abroad are in difficulties, they are more likely to go to the British embassy for assistance than they would to the European External Action Service which has grown rapidly over the past few years, at great expense? Will it not be a nice day as and when we no longer have to make financial contributions to that service so that the money can be transferred to strengthen further British embassies and consulates throughout the world?
ParlaMint-GB_2019-04-10-lords.u69	I totally agree with the noble Lord.
ParlaMint-GB_2019-04-10-lords.u70	That Lord Bethell be appointed a member of the Select Committee in place of Baroness Bertin, resigned.
ParlaMint-GB_2019-04-10-lords.u71	My Lords, with the leave of the House, I shall now repeat in the form of a Statement the Answer given to an Urgent Question in another place on the guilty verdict handed to pro-democracy activists in Hong Kong. The Statement is as follows: “At the outset, I emphasise to the right honourable Gentleman and the House that the UK Government are acutely aware of our enduring responsibilities to Hong Kong. We were a joint signatory to upholding the joint declaration between the UK and China some 35 years ago. That joint declaration is lodged, of course, with the UN. As such, we remain absolutely committed to monitoring and ensuring the faithful implementation of the joint declaration and, indeed, the principle of ‘one country, two systems’ I reassure the House that we clearly and consistently raise our concerns with the Chinese and Hong Kong authorities. Parliament is updated on developments in Hong Kong through our six-monthly reports submitted by the Foreign Secretary, most recently on 27 March, just over a fortnight ago. We always stand ready to comment publicly and robustly when appropriate Yesterday the Hong Kong courts gave their first verdict on the nine key figures in the Hong Kong Occupy movement. These protesters were arrested after large-scale protests in 2014. Yesterday, each was found guilty of at least one public nuisance offence. Now such offences carry a maximum sentence of seven years in prison. We shall have a better understanding of the severity of the sentence, and therefore the signal this purports to send to others who choose to exercise their rights under Hong Kong’s Basic Law and Bill of Rights, once sentences have been handed down. Sentencing is due on 24 April, and the defendants have the right to appeal. It would therefore not be appropriate to comment further or in detail on these ongoing legal cases. Suffice to say, this could be a very protracted legal process, which could take years rather than months. I have visited Hong Kong twice as Foreign Office Minister, and have held meetings with a number of senior legal figures. When I visited in November I raised the issue of the rule of law with the deputy chief justice, as well as with representatives from the legal, political and business communities. All staunchly defended the independence of the judiciary, and it remains our position that Hong Kong’s rule of law remains robust, largely thanks to its world-class independent judiciary. Many Members know that Baroness Hale, Lord Hoffmann and others are members of that independent judiciary Hong Kong citizens are guaranteed the right to freedom of assembly and demonstration under the Sino-British declaration of 1984 and the Basic Law, and in a democracy it is important that these things are respected. Hong Kong’s success and stability depend on its high degree of enduring autonomy and respect for the fundamental rights and freedoms enshrined in the joint declaration and the Basic Law. The Foreign Secretary pronounced recently that he was, ‘concerned that on civil and political freedoms, Hong Kong’s high degree of autonomy is being reduced’ It would be deeply concerning if this ruling discourages legitimate protest in the future, or indeed discourages Hong Kong citizens from engaging in political activity”.
ParlaMint-GB_2019-04-10-lords.u72	My Lords, I thank the Minister for repeating the response. A serious discussion on the situation in Hong Kong is overdue. China’s erosion of the rights and freedoms guaranteed by the Hong Kong Basic Law has been growing since the Umbrella Movement protests in 2014. The last few years have seen an increasing crackdown on dissent and protest, political parties banned, pro-democracy candidates blocked from standing and journalists expelled The conviction of nine leaders of the Hong Kong Umbrella Movement, who could face seven years in prison for organising peaceful protests, as the Minister said, is totally disproportionate and clearly politically motivated. The proposal to change Hong Kong’s extradition laws means that they could serve sentences thousands of miles away in mainland China The Sino-British joint declaration is a legally binding treaty registered with the United Nations, and the British Government are the joint guarantor, with China, of the rights of Hong Kong citizens, so I have one simple question for the Minister: how are the Government going to fulfil their legal responsibility to the citizens of Hong Kong?
ParlaMint-GB_2019-04-10-lords.u73	My Lords, I thank the noble Lord for raising these issues. As he will be aware—as I said in the Statement—we produce six-monthly statements as required. In his recent statement on this, the Foreign Secretary said: “It is very welcome that in the areas of business and the independence of the judiciary, the ‘One Country, Two Systems’ model is working well. However, I am concerned that on civil and political freedoms, Hong Kong’s high degree of autonomy is being reduced” I assure the noble Lord that we are cognisant of the recent issues, particularly the events concerning protesters from the 2015 protests. As I have said, it would be inappropriate to comment on that case specifically, but I reassure the noble Lord that we are using all our offices—through the consul-general and direct visits that my right honourable friends the Foreign Secretary and the Minister of State have made to Asia and Hong Kong—and we will continue to speak bilaterally to the Chinese as well.
ParlaMint-GB_2019-04-10-lords.u74	My Lords, I too thank the Minister for repeating the Statement made in response to an Urgent Question from my right honourable friend Alistair Carmichael in the other place. This is, yet again, an occasion when we miss my friend Paddy Ashdown, who fought long and hard for the people of Hong Kong Those in Hong Kong are guaranteed the right to freedom of assembly and demonstration, as the Minister said. Surely we must be very concerned about these verdicts in the light of that. Does he agree that any sign that members of the independent judiciary—the noble and learned Baroness, Lady Hale, the noble and learned Lord, Lord Hoffmann, and others—feel unable to continue would be very serious indeed? The Minister will know—the noble Lord has just made reference to this—of proposals to change Hong Kong’s extradition laws to enable suspected criminals to be extradited from Hong Kong to the mainland. Does he agree that that is extremely concerning, certainly for political activists but even for local and international businesspeople?
ParlaMint-GB_2019-04-10-lords.u75	I agree with the noble Baroness that we all remember Lord Ashdown for a variety of reasons and this is one of those occasions. On the specific issue that she and the noble Lord raised about extradition, yes, we are acutely aware of the proposed change to legislation. We are fully considering the implications of that and how it may impact UK citizens and, in particular, as the noble Baroness said, people operating within the business community. In that regard, the British consul-general in Hong Kong has spoken to senior figures in the Hong Kong Administration to seek clarity on what the proposals will mean, particularly for UK citizens, and we continue to make a case to them. It remains the United Kingdom’s view that for Hong Kong’s future success it is essential that Hong Kong enjoys—and is seen to enjoy—the current autonomy under the agreement that was signed not only by the United Kingdom but by the Chinese Government.
ParlaMint-GB_2019-04-10-lords.u76	My Lords, in the light of those questions, will the Minister emphasise that those who have been convicted have the right of appeal; that the basic law protects the independence of the judiciary; and that, in practice, the Hong Kong judiciary is as independent as any judiciary in the world? I declare an interest as a frequent advocate in the Hong Kong courts both for and against the Government of Hong Kong.
ParlaMint-GB_2019-04-10-lords.u77	My Lords, the noble Lord speaks with immense expertise and experience in this regard. I can assure him on all three of those statements in terms of the autonomy and independence of the judiciary. Since this agreement has been in place over the past 30 years, there has been only one occasion, in 2016, when we had formally to call out a lack of adherence to the principles of the treaty. He asked about the right of appeal. The people who have been convicted are currently out on bail. Sentencing is due on 24 April and they will have 28 days thereafter to lodge a formal appeal.
ParlaMint-GB_2019-04-10-lords.u78	My Lords, on the status of the original agreement, co-signed by our Government and the party which has contact with Peking, how is a dispute about the interpretation of that agreement settled? Do such agreements have some sort of implicit or explicit arbitration or other clause about how to enforce the agreement if there is a dispute about its enforceability?
ParlaMint-GB_2019-04-10-lords.u79	My Lords, I am sure the noble Lord heard me say in response to the previous question that there has been only one occasion in the past 30 years when we have had to call in a contravention with regard to the treaty and its obligations. In terms of its implications and application in international law, as was raised by the noble Lord earlier, the joint declaration is lodged directly with the United Nations. Therefore, the obligations on both the British Government and the Chinese Government are clear.
ParlaMint-GB_2019-04-10-lords.u80	My Lords, following the point made by the noble Lord, Lord Pannick, is it not worth stressing that one of the strengths of the current system in Hong Kong is the presence of the non-resident judges in the Court of Final Appeal? Some names have been mentioned already and there are several more. It is part of the system that exists and I believe that it is not under any challenge whatever.
ParlaMint-GB_2019-04-10-lords.u81	My Lords, I totally concur with the noble and learned Lord in that respect. That is why we have stood firm on the “one country, two systems” application and will continue to do so. As I said in response to an earlier question, we ensure that any concerns are raised bilaterally with the Hong Kong authorities or directly with the Chinese Government.
ParlaMint-GB_2019-04-10-lords.u82	My Lords, I agree with my noble friend Lord Pannick and my noble and learned friend Lord Hope that the system in Hong Kong has remained remarkably stable in the courts despite some choppy waters politically over the last few years. That rule of law is enormously important—for the people of Hong Kong and for commercial relations with Hong Kong. It is wise to do our utmost to bolster the rule of law and not rush too quickly into criticising until we know how that has worked out.
ParlaMint-GB_2019-04-10-lords.u83	I totally concur with the noble Lord. That is why I have resisted commenting in any great degree of detail on the case. It is right that we see due process take its course, and we are confident, certainly thus far, that we have seen little demonstration of any contravention of the agreement signed with the Chinese. While concerns remain, as articulated by my right honourable friend the Foreign Secretary, we have no reason to believe that the Chinese authorities will not uphold what the court system decides.
ParlaMint-GB_2019-04-10-lords.u84	My Lords, in view of what has already been said, I hesitate to intervene, but having been a judge of the Court of Final Appeal in Hong Kong and having served my term there, so to speak, it is important for me to acknowledge that my experience is the same as the other experiences the House has heard about. Hong Kong deserves great credit for the way it has ensured that the rule of law functions efficiently.
ParlaMint-GB_2019-04-10-lords.u85	I am sure I speak for the whole House in paying tribute to the noble and learned Lord’s contribution in that respect and to the judges who continue to do such a sterling job and play such an important role in Hong Kong today.
ParlaMint-GB_2019-04-10-lords.u86	My Lords, the noble Lord, Lord Wilson of Tillyorn, is too modest to say that he was one of the key architects of the joint declaration and put many thousands of hours into negotiating it. I agree with other noble Lords that we can be proud as a nation of what the JD has delivered in terms of stability in Hong Kong, but the price of that is eternal vigilance. The Minister has already assured us that the Government are going to continue to press very hard on this crucial issue.
ParlaMint-GB_2019-04-10-lords.u87	I assure the noble Lord that that will be the case. On a lighter note, I am reminded that when I joined the House in 2011 I was advised, as a Minister answering in the House of Lords, “When you give a response, Tariq, make sure you look around you because as a minimum someone has probably written a book about the subject”. The experience in your Lordships’ House has been clearly demonstrated on this issue.
ParlaMint-GB_2019-04-10-lords.u88	That this House do not insist on its Amendments 27 and 28, to which the Commons have disagreed, and do agree with the Commons in their Amendments 27A to 27K in lieu.
