ParlaMint-GB_2019-05-22-commons.u1	1. What recent assessment she has made of the security situation in Northern Ireland.
ParlaMint-GB_2019-05-22-commons.u14	Is not one of the challenges for dealing with the security situation in Northern Ireland to build the confidence of communities right across Northern Ireland, working with the Police Service of Northern Ireland and others? In the face of recent terrible events, we have seen the community doing that, but what more can the Secretary of State do to encourage communities to work with the security forces?
ParlaMint-GB_2019-05-22-commons.u15	The hon. Gentleman, I know, has great experience in this area and he is right that we do need to see co-operation between communities and the Police Service of Northern Ireland. We did see a real step change following that appalling killing where people were welcoming the PSNI into their homes, but it is an incredibly difficult job. We need to make sure that the inclusive future fund—the £55 million that the Government have committed to Derry/Londonderry—is used in part to support those activities.
ParlaMint-GB_2019-05-22-commons.u16	The Secretary of State will know that the security situation depends on, among other things, the perception that the police and the judicial process are independent. Families of victims of the troubles of the past are, in many cases, still waiting for answers. Does she agree that those families, and those young people who can be pulled into terrorist acts, would be influenced dramatically if they believed that there was a rule saying that there would be a statute of limitations for state actors when, quite rightly, we seek to prosecute those who perpetrated either murder or manslaughter from whatever background?
ParlaMint-GB_2019-05-22-commons.u17	The hon. Gentleman will know that this Government are committed to implementing the institutions that were agreed at Stormont House. We have had a consultation on that matter and received more than 17,000 responses—individual personal responses. We will publish the summary of those consultation responses in due course.
ParlaMint-GB_2019-05-22-commons.u18	3. What recent assessment she has made of trends in the level of employment in Northern Ireland.
ParlaMint-GB_2019-05-22-commons.u19	I am happy to confirm that the latest labour market statistics for Northern Ireland show employment at a record high and unemployment at a record low. This is a long-term and consistently improving trend, and with continued political stability, we hope that it will continue in future.
ParlaMint-GB_2019-05-22-commons.u20	Those are very welcome statistics. What is my hon. Friend doing to further grow employment and jobs in Northern Ireland and the rest of the country?
ParlaMint-GB_2019-05-22-commons.u21	I am delighted to give some examples. Not only is unemployment now the lowest of the UK nations, at 2.9%, but the ratio of public sector to private sector jobs is rebalancing healthily. Exports have grown to more than £10 billion, and we expect a tourism surge from the golf open at Portrush. We will continue to pursue those and other measures, including the city deals that have just been mentioned.
ParlaMint-GB_2019-05-22-commons.u22	Employment levels are improving, as the Minister has said, but does he agree that we need to attract above-average salary levels now to try to grow the economy? In that respect, the Heathrow logistics hub is an excellent project. Will he join me in pressing and persuading those behind the hub to look at Ballykelly, which is a very attractive environment?
ParlaMint-GB_2019-05-22-commons.u23	The hon. Gentleman is a doughty battler for his constituents and for his constituency. I am sure that those involved will have heard his words and will be considering them carefully, but he is right about that and many other examples of important local investment in Northern Ireland.
ParlaMint-GB_2019-05-22-commons.u24	4. What recent progress she has made on restoring devolved government in Northern Ireland.
ParlaMint-GB_2019-05-22-commons.u25	The short, focused set of roundtable talks aimed at restoring devolution continues. Northern Ireland’s five main political parties have reaffirmed their commitment to restoring a power-sharing Executive and the other political institutions set out in the Belfast agreement.
ParlaMint-GB_2019-05-22-commons.u26	I thank my right hon. Friend for her answer and for the work that she has done thus far. Does she agree that it is absolutely vital to get devolved government up and working as soon as possible, so that the victims of historical institutional abuse receive full and fair compensation for what they have suffered?
ParlaMint-GB_2019-05-22-commons.u27	I do agree with my hon. Friend that we need to see the restoration of the institutions. I also agree that we need to see fair redress for those victims of historical institutional abuse. I have met those victims. Their stories are heartrending and absolutely dreadful. No one should have suffered the way that they did. I am not prepared to wait for restored devolution to take action in this matter. I am determined that we will do everything we can for those victims of historical abuse and that we will take measures forward as soon as possible and not wait for restored devolution.
ParlaMint-GB_2019-05-22-commons.u28	On that subject, the Secretary of State and, indeed, the whole House will be aware of the sense of outrage that there is across the entire community in Northern Ireland and among the victims of abuse about her approach to this issue in recent days. Frankly, many people are saying that far too much time has already elapsed, given the fact that she has the ability to make this move faster. People are outraged at the idea of having to wait another couple of years, as she appeared to indicate. Will she now undertake to bring forward measures immediately to deal with this issue?
ParlaMint-GB_2019-05-22-commons.u29	I do not shy away in any way from my responsibilities in this area, and I am absolutely determined that we will act as soon as we can. The two years the right hon. Gentleman referred to is an estimate by the civil service of Northern Ireland; it is not an estimate that I have put forward. As he will know, following the end of the consultation that I asked the head of the civil service in Northern Ireland to conduct, a number of decisions need to be taken—decisions that require ministerial input. I have asked the five parties in Northern Ireland to assist me in getting a resolution to those questions as soon as possible, so that I can act as soon as possible, as I am determined to do.
ParlaMint-GB_2019-05-22-commons.u30	The Secretary of State will be aware that this is one but probably the most terrible example of a whole series of decisions that have cross-community and cross-party support but that she has refused to do anything about, even though this place and her Government are responsible for the administration of Northern Ireland. The fact of the matter is that people are being told that she has now placed another series of questions that need to be answered, and people see this as further delay. What are the questions that she now wants further answers to, who originated those questions, when did they first come to her—when were they put on her desk —and why is this being used as further reason to delay the proper process of compensation for these victims?
ParlaMint-GB_2019-05-22-commons.u31	I have enormous respect for the right hon. Gentleman—he is an honourable man who works very hard for his constituents and for Northern Ireland—but I disagree with him on this matter. The head of the civil service and Executive Office has put forward 15 questions that need a response. I have asked the parties in Northern Ireland to help me to get decisions on those questions. But I am not shying away from my responsibility in that area; I am merely asking them if they will help me to answer the questions that David Sterling has posed to me to enable me to take this to the next stage so that we can deliver for the victims as soon as possible.
ParlaMint-GB_2019-05-22-commons.u32	The head of the civil service in Northern Ireland, David Sterling, has asked for legislation to be made in this place. When the Secretary of State talks about action on historical institutional abuse, is she talking about bringing legislation through this House?
ParlaMint-GB_2019-05-22-commons.u33	I have said on many occasions that I am prepared to do the legislation wherever it is quickest that we do it. I want to see redress for these victims as soon as possible. But there are some fundamental questions that David Sterling has posed that need answers, and I will get to those answers more quickly if I have the support and co-operation of the parties in Northern Ireland in working with me.
ParlaMint-GB_2019-05-22-commons.u34	15. Does the Secretary of State understand the level of public outrage that there is about this? It has been two years since the inquiry reported. Thirty survivors of institutional abuse have died since then. The victims were told this week that they might have to wait another two years before anything is done. Will she act, and act now, so that these good people can get some sense of justice before more of them die?
ParlaMint-GB_2019-05-22-commons.u35	I know the sense of outrage. I have met those victims. I want to see action. It is quite right that the parties in Northern Ireland, when they were in government, set up this inquiry. It is absolutely right that they did that, and I applaud them for doing so. There is an opportunity for us to make progress on this quickly, but I cannot do it alone. I need the guidance and support of those in the parties in Northern Ireland, because ultimately they will be the Ministers who will have to implement whatever institutions and whatever system is created. I need their support so that we can make progress quickly. I am not delaying anything. I am determined to act for these people, and I will do whatever it takes to do so.
ParlaMint-GB_2019-05-22-commons.u36	The House will be aware that today, to the very day, is the 21st anniversary of that occasion when a sunshine ray of hope pierced the dark clouds in Northern Ireland and the Good Friday agreement was ratified, and we must give the victims and survivors some of that hope. Their agony is becoming unendurable. I do not doubt the good nature and the good will of the Secretary of State. She met the survivors, as I did I. But we cannot—we must not—wait for another two years. It would be impossible—unconscionable—for us to do so. Thirty-six have already died; we cannot let more die. I can assure the Secretary of State that she will have the support of Labour Members, but can she please bring this forward and end the agony and the misery of these survivors and victims?
ParlaMint-GB_2019-05-22-commons.u37	I am very grateful for the hon. Gentleman’s offer of support. We spoke about this matter yesterday. I am determined to take this forward as quickly as possible. It would be good to work with him in addressing the fundamental questions that need a response before legislation can be finalised. We are also working with Sir Anthony Hart to get answers to those questions, because we need to get this right. There is no point doing this in haste if we fail to deliver for the people who deserve redress as soon as possible.
ParlaMint-GB_2019-05-22-commons.u38	5. What recent discussions she has had with the Prime Minister on the continuation of the Government’s confidence and supply agreement with the Democratic Unionist party.
ParlaMint-GB_2019-05-22-commons.u39	6. What recent discussions she has had with the Prime Minister on the continuation of the Government’s confidence and supply agreement with the Democratic Unionist party.
ParlaMint-GB_2019-05-22-commons.u40	The Secretary of State has not had any meetings with my right hon. Friend the Prime Minister on the confidence and supply agreement. The agreement is between the Conservative party and the Democratic Unionist party for the length of the Parliament, and as the agreement makes clear, the Secretary of State is not involved in confidence and supply discussions.
ParlaMint-GB_2019-05-22-commons.u41	Last year, I met two incredibly brave women, Sarah Ewart and Denise Phelan, who have been directly impacted by Northern Ireland’s near total abortion ban and are working with Amnesty UK to change the law. Their harrowing experience of being unable to access safe and legal abortion in Northern Ireland demonstrates the reality of that restrictive regime. In Denise’s case, the foetus died and decomposed inside her. When will the Secretary of State realise that her Government’s agreement with the DUP is holding back the human rights of women in Northern Ireland, and what is she going to do about it?
ParlaMint-GB_2019-05-22-commons.u42	I am not quite clear what the very important and, I agree, very difficult issue of abortion laws in Northern Ireland has to do with the confidence and supply agreement. It is not in the confidence and supply agreement at all. It is a very difficult and knotty issue that needs to be addressed as soon as we can get the Stormont Parliament up and running.
ParlaMint-GB_2019-05-22-commons.u43	Can the Minister confirm whether there have been ongoing discussions between any members of the Cabinet and the DUP, seeking support for the Prime Minister’s latest attempt to bring back her Brexit deal? If so, will the new DUP bung be subject to the Barnett formula?
ParlaMint-GB_2019-05-22-commons.u44	I tried to make this clear earlier, but let me repeat it, so that everybody is crystal clear. The confidence and supply agreement is not something that the Northern Ireland Office gets involved in, and rightly so. It is done at a much more senior level between No. 10 and through the usual channels, and it is not something that the Northern Ireland Office would have any particular participation in.
ParlaMint-GB_2019-05-22-commons.u45	Will the Minister outline the benefits that confidence and supply one—I use that term in anticipation that we will have another—has brought to the population of Northern Ireland?
ParlaMint-GB_2019-05-22-commons.u46	There has been a great degree of investment in Northern Ireland as a result of the confidence and supply agreement; the hon. Gentleman is right. There has been extensive spending. We have so far spent £430 million in Northern Ireland on things such as health, education and infrastructure. There is a further £333 million, subject to Parliament’s approval, and the remaining £323 million will be allocated in due course.
ParlaMint-GB_2019-05-22-commons.u47	The Minister’s answer to my hon. Friend the Member for Motherwell and Wishaw (Marion Fellows) simply was not good enough. The current confidence and supply agreement between the Tories and the DUP has denied Scotland a total of £3.4 billion in Barnett consequentials. Would the Minister care to find out what the next bribe to the DUP will cost the people of Scotland, so that we can tell them?
ParlaMint-GB_2019-05-22-commons.u48	It is very clear that the confidence and supply agreement does not incur Barnett consequentials and is separate. In that respect, it is rather like the city deals. I gently point out to Scottish National party Members that Scotland has done extremely well out of the city deals—it has had something like £1.25 billion. It is all very well them gesturing that away, as if it is nothing at all, but this is real money going into important investments in local economies across Scotland, as it is in Northern Ireland as well.
ParlaMint-GB_2019-05-22-commons.u49	7. What assessment she has made of the effect of the results of the recent local elections on the political situation in Northern Ireland.
ParlaMint-GB_2019-05-22-commons.u50	I have had discussions with the five main parties in Northern Ireland since the local elections, and they have all reaffirmed their commitment to restoring a power-sharing Executive and other political institutions set out in the Belfast agreement.
ParlaMint-GB_2019-05-22-commons.u51	As someone who is half Northern Irish—in fact, proudly half Northern Irish—I am well aware of the profound sectarian issues that have scarred the nation for many hundreds of years. Consequently, I was delighted to see that the party that did best at the local elections, with the highest increase, was the non-sectarian Alliance party. Would the Secretary of State share with me the joy at seeing that tremendous non-sectarian result?
ParlaMint-GB_2019-05-22-commons.u52	The message I took from the local elections is that what people on the doorstep want is restored devolved Government as soon as possible and that is what I am working to deliver.
ParlaMint-GB_2019-05-22-commons.u53	Does my right hon. Friend share my hope that, having got the local elections under our belts and on the cusp of the European elections—with both of those out of the way—a really firm, positive focus can be placed by all parties on restoring the devolved Assembly in Stormont?
ParlaMint-GB_2019-05-22-commons.u54	I know that the parties in Northern Ireland are determined that they will do all they can to deliver restored devolved Government. That is what is best for the people of Northern Ireland and it is what the people of Northern Ireland want. But this will not be easy—there are challenges—and I ask that we all offer our support to the parties in Northern Ireland to help them to take those difficult decisions.
ParlaMint-GB_2019-05-22-commons.u55	rose—
ParlaMint-GB_2019-05-22-commons.u56	One sentence.
ParlaMint-GB_2019-05-22-commons.u57	Would the Secretary of State like to comment on or make an assessment of the election of Councillor Gary Donnelly—former spokesperson for the 32 County Sovereignty Movement—in the electoral area where the murder of innocent by-stander Lyra McKee took place and where police and bystanders were unapologetically and indiscriminately fired towards; and what progress has been made in that murder investigation and the process as well?
ParlaMint-GB_2019-05-22-commons.u58	The hon. Gentleman is a fan of the dash and the semi-colon.
ParlaMint-GB_2019-05-22-commons.u59	Very good in the use of a sentence. I repeat that the lesson I took from the local elections was that people want restored devolved Government as soon as possible.
ParlaMint-GB_2019-05-22-commons.u60	8. What recent progress she has made on the consultation on addressing the legacy of Northern Ireland’s past.
ParlaMint-GB_2019-05-22-commons.u61	As the House heard earlier, we had over 17,000 responses to the consultation, many of them containing tales of personal tragedy and loss, so I hope that everyone will understand the need to consider them all respectfully and carefully. The process is almost finished and I hope that we will be able to publish an analysis of the views they contain—[Interruption.]
ParlaMint-GB_2019-05-22-commons.u62	Order. This is very unfair on the Minister, who is answering a question about the legacy of Northern Ireland’s past. This is a matter of the utmost seriousness and solemnity and I think that the Minister and the questioner should be accorded respect.
ParlaMint-GB_2019-05-22-commons.u63	Thank you, Mr Speaker. I was just finishing my remarks by saying that the process of considering those tragic submissions is almost finished and I hope that we will be able to publish an analysis of the views they contain very soon.
ParlaMint-GB_2019-05-22-commons.u64	Does my hon. Friend agree that we must listen carefully to this consultation and does he agree with the words of the Secretary of State in the foreword to the consultation: “amnesties are not the right approach and” the Government “believes that justice should be pursued”?
ParlaMint-GB_2019-05-22-commons.u65	Yes, I do. Any solution must allow both unionists and republicans to achieve closure, and for all of Northern Ireland to draw a line and move on. Otherwise it will not last. We have been working closely with the political parties in Northern Ireland, as well as colleagues across both Houses, on the way forward and, last week, the Secretary of State met the Victims’ Commissioner and legacy groups as well.
ParlaMint-GB_2019-05-22-commons.u66	Part of the dark past of Northern Ireland is also the question of historical institutional abuse. The Secretary of State has said that she now intends to act. The victims groups this week called on her to stand down and resign. She needs to regain their confidence. She needs to give a very clear timetable as to when she will take action in this House and elsewhere. Will the Minister now make it clear when that will happen?
ParlaMint-GB_2019-05-22-commons.u67	I thought I heard just now the Secretary of State doing a pretty good job of showing the personal commitment and the urgency with which she is treating this. I am afraid I cannot add any more detail to the timetable, but I hope everybody here will have understood and heard the passion in her voice and the determination to move this forward promptly and swiftly.
ParlaMint-GB_2019-05-22-commons.u68	9. If the Government will bring forward legislative proposals to prevent veterans who have previously been investigated and cleared of illegal shooting incidents in Northern Ireland being prosecuted for those incidents.
ParlaMint-GB_2019-05-22-commons.u69	My hon. and gallant Friend gave a very powerful speech on this on Monday, and I would encourage anybody here who has not heard it to go back and listen again. I think he and I agree that the current situation is not working for anyone. The question is not whether things need to change, because they clearly do, but how, so we have laws which work for police veterans as well as armed forces, for unionists and for nationalists, for victims and their families on all sides of the community, and which bring truth and justice and closure so society can move on. We will bring forward proposals as soon as possible.
ParlaMint-GB_2019-05-22-commons.u70	As an ex-soldier, and now a Member of Parliament, I am ashamed that my Government have not sorted this matter out. I ask the Minister, and especially the Secretary of State, who has been in post longer—how much longer before it can be sorted out, and are you not ashamed?
ParlaMint-GB_2019-05-22-commons.u71	My hon. and gallant Friend, having served in Northern Ireland, speaks with huge authority on this matter. I suspect that successive Governments have to share some blame for failing to fix it over many years. Clearly, as I said in my previous answer, the situation cannot be allowed to continue—it is not right; it is not just. It must be sorted out as promptly as possible. On that, I hope that he and I agree.
ParlaMint-GB_2019-05-22-commons.u72	It was with regret that yesterday we got the revelation from the Government—through a written ministerial statement, rather than an oral statement—about the proposals for the way forward. We should hang our heads in shame that we intend to treat service personnel who served in Northern Ireland differently from those who served overseas. When I questioned the Attorney General on the issue on 31 January, he said clearly that to treat service personnel differently would plainly be wrong. He was right, Minister, was he not?
ParlaMint-GB_2019-05-22-commons.u73	The important thing, as we heard repeatedly in last week’s urgent question and in Monday’s Westminster Hall debate, is that for those servicemen and women who served under Operation Banner it felt the same no matter what. Our challenge is that, if we are to come up with an answer that will work when it is taken to court by the lawfare-mongers, as it inevitably will be, we must have something that works on the basis of the different legal starting points for things that happened in the UK, as opposed to things that happened abroad, but which ends up with an answer that feels the same to our servicemen and women and provides them with the same robust protections no matter what.
ParlaMint-GB_2019-05-22-commons.u74	Q1. If she will list her official engagements for Wednesday 22 May.
ParlaMint-GB_2019-05-22-commons.u75	Today marks two years since the Manchester Arena attack. It was a cowardly and sickening attack that deliberately targeted innocent and defenceless children. Members across the House will want to join me in sending my thoughts and prayers to the families and friends of all the victims. I am sure that Members will also want to join me in paying tribute to the emergency services for the immense bravery and courage they showed that night This morning I had meetings with ministerial colleagues and others and, in addition to my duties in this House, I shall have further such meetings later today.
ParlaMint-GB_2019-05-22-commons.u76	I know that the whole House will want to associate themselves with the Prime Minister’s words about the Manchester attack The Prime Minister may not have long left—good luck with those meetings later today—but she can act now against the return of banned chemical weapons. British experts are this morning investigating a suspected chlorine attack by al-Assad in Idlib. If it is proved, will she lead the international response against the return of this indiscriminate evil?
ParlaMint-GB_2019-05-22-commons.u77	The hon. Gentleman is right to raise the issue of the evil that is the use of chemical weapons. We of course acted in Syria, with France and the United States, when we saw chemical weapons being used there. We of course suffered the use of chemical weapons here on the streets of the United Kingdom, and we made a robust response, supported by our international friends and allies. We condemn all use of chemical weapons. We are in close contact with the United States and are monitoring the situation closely, and if any use of chemical weapons is confirmed, we will respond appropriately. But our position is clear: we consider Assad incapable of delivering a lasting peace, and his regime lost its legitimacy due to its atrocities against its own Syrian people.
ParlaMint-GB_2019-05-22-commons.u78	Q2. Does the Prime Minister agree that energy efficiency measures are critical in tackling climate change? Bringing every home up to an energy performance certificate band C standard could save 25% of electricity generation, which is equivalent to six Hinkley Point nuclear power stations; it could save every family £270; and it could potentially pay for itself, by generating £1.27 for every £1 invested.
ParlaMint-GB_2019-05-22-commons.u79	My hon. Friend makes an excellent point. We, like her, absolutely recognise the importance of this issue. The Government are committed to improving energy efficiency in 2.5 million homes by 2030 and our aim is to bring 2.5 million fuel-poor homes up to an energy performance certificate C rating by 2030. As she says, that will help to save energy and bring down bills.
ParlaMint-GB_2019-05-22-commons.u80	I join the Prime Minister in commemorating all the victims of the Manchester bombing two years ago. Our thoughts are with the friends and families of all those who were killed, the survivors, and the emergency service workers who gave such heroic service that night. They will live with the horrors of that night for the rest of their lives and 10.31 tonight will be a very poignant moment for many people in Manchester I want to pay tribute to the last survivor of the Hull “headscarf revolutionaries”, Yvonne Blenkinsop. She is visiting Parliament today. She led a campaign for basic safety in the UK fishing fleet in the 1960s. As a result, many lives were saved. People like her have made such an enormous contribution to our national life. They should be recognised for it I also want to express, on behalf of the Labour party, my outrage that the Government have again failed our steel industry, putting 5,000 jobs at risk at British Steel and 20,000 more in the supply chain. The Government have failed those people. Even at this late stage—there is a statement later today—they must step in and save those jobs Why are schools having to close early on Friday afternoon due to spending cuts?
ParlaMint-GB_2019-05-22-commons.u81	First, I say to the right hon. Gentleman, because he raised the issue of British Steel, that, obviously, we recognise that this is a worrying time for the thousands of dedicated British Steel workers and their families, as well as those in the supply chain and local communities. The Government have been working tirelessly with the company, its owner Greybull Capital and lenders to explore all potential options to secure a solution for the company. We showed, through the emissions trade scheme agreement, that we were willing to act, but we can only act within the law. It is clear that it would be unlawful to provide a guarantee or loan on the terms requested by the company. We will be working with the company and others, and the official receiver, in the days and weeks ahead to ensure we pursue every step to secure the future of the operations at Scunthorpe, Skinningrove and on Teesside. My right hon. Friend the Chancellor has agreed an indemnity for the official receiver to enable British Steel to continue to operate in the immediate future. There are no job losses at this time and the official receiver has already said that staff will continue to be paid and employed. My right hon. Friend the Business Secretary will be updating the House in a statement later this afternoon On the issue of schools, as the right hon. Gentleman knows we are putting record levels of funding into our schools.
ParlaMint-GB_2019-05-22-commons.u82	That would explain why 26 schools close early on a Friday every week because they do not have enough money to keep themselves open. More than 1,000 schools across England are turning to crowd- funding websites with a wish-list of things they want to raise money to buy—really exotic things such as pencils, glue and textbooks. Why are they forced to do that if they allegedly have enough money in the first place?
ParlaMint-GB_2019-05-22-commons.u83	I say to the right hon. Gentleman what I have said before and just quoted: we are putting record levels of funding into our schools. We have also put in place a fairer distribution of the funding between our schools. We are giving every area more money for every pupil in every school. What is important in our education system is not just what the Government put in, but what quality of education is received by the children. There are more children in good and outstanding schools, the disadvantage attainment gap has been narrowed and record rates of disadvantaged young people are going to university. That is a record to be proud of.
ParlaMint-GB_2019-05-22-commons.u84	I do not know if the Prime Minister has had a chance to listen to or read the words of the general secretary of the National Association of Head Teachers. He said: “The fact so many schools are doing this should be ringing serious alarm bells for the government”. The Prime Minister does not seem to be aware of the crisis that is facing so many in education at the present time, so can she be very clear with the House: has per pupil funding risen or fallen since 2010?
ParlaMint-GB_2019-05-22-commons.u85	As I said to the right hon. Gentleman, we are giving every area more money for every pupil in every school. Why are we able to do that? It is because the Conservatives have taken a balanced approach to our economy and managed our finances well. What would Labour give us? One thousand billion pounds extra borrowing. That would mean higher taxes, fewer jobs and less money to go into our schools.
ParlaMint-GB_2019-05-22-commons.u86	I can help the Prime Minister out in two ways. One is that a Labour Government would properly fund our schools—it would not short-change our children—and we would not use Orwellian words like “fair funding” while we are cutting. Per pupil funding —just so the Prime Minister understands it—has fallen by 8%. For sixth forms, it is 24% At the end of last year, the Prime Minister said “austerity is over.” Maria, who describes herself as a “teacher in an underfunded school” wrote to me this week and asked this—[Interruption.] Maria is a teacher in an underfunded school—I think Conservative Members need to listen to her. She asked: “when will the government stop making false claims of increased funding for schools and start to tackle the serious problems faced by teachers?” When will the cuts end for our children’s schools?
ParlaMint-GB_2019-05-22-commons.u87	I repeat: we are giving every area more money for every pupil in every school, but let us just see the situation that this Government inherited and that we would see under a Labour Government in the future—having to spend more on debt interest than on our schools budget. That is not because of what this Government are doing, because we are bringing debt down. It is the legacy of a Labour Government—more money on debt than on our schools.
ParlaMint-GB_2019-05-22-commons.u88	What this Government have squandered is what they inherited: children’s centres, Sure Start, children taken out of poverty. They squandered the future for so many of our children. [Interruption.]
ParlaMint-GB_2019-05-22-commons.u89	Order. Mr Burghart, you are an educated young man. When you came into the House, you struck me as a very well behaved fellow. Calm yourself and listen.
ParlaMint-GB_2019-05-22-commons.u90	The Department for Education’s funding chief met school leaders recently and told them: “the first thing to say is obviously they are not generous budgets”— he is very cautious with his words— “They are budgets which leave schools with real pressures to face” Everyone agrees that the creative industries in this country are an enormous strength to our economy, so why have the arts borne the brunt of the Government’s brutal cuts to school funding? So many children are losing out on music and creative arts in our schools because of decisions by central Government.
ParlaMint-GB_2019-05-22-commons.u91	The right hon. Gentleman started his question by claiming that this Government had squandered what had been left by the last Labour Government. Let us look at what was left by the last Labour Government. [Interruption.] Oh. They do not want to be reminded what they left the last time they were in government. What did the last Labour Government leave? Unemployment higher than when they went into office. What did the last Labour Government leave? The biggest deficit in our peacetime history. And what were we told by the departing Chief Secretary to the Treasury? We were told: under Labour, there is no money left.
ParlaMint-GB_2019-05-22-commons.u92	My question was actually about funding for arts and creative subjects in schools. A survey has shown that nine out of 10 secondary schools have cut back on lesson time, staff or facilities in at least one of the creative arts subjects. Are the artists and actors of tomorrow only to come from the private schools, while the Prime Minister continues to cut the funding for state schools When the Prime Minister says that school funding has been protected, she is denying the daily experience of teachers, parents and pupils. She is denying the incontrovertible evidence of the Institute for Fiscal Studies, education bodies and teaching unions. She is actually in outright denial. When the wealth of the richest 1,000 people has increased by £50 billion in the last year alone, do not tell us that the money is not there for our children’s schools. This Government have cut vital public services to give tax cuts to the privileged few. Can the Prime Minister name a more damaging policy—a more short-sighted policy—than cutting investment in our future: our children?
ParlaMint-GB_2019-05-22-commons.u93	The richest have paid more tax every year under the Conservatives—[Interruption.] Wait for it! They have paid more every year under the Conservatives than in any year under a Labour Government. The right hon. Gentleman talks about what happens in our schools. As I have said, we are putting record funding into our schools, but what matters is the quality of education our children get. Labour opposed the phonics checks, it wants to scrap academies and free schools, and it would abolish SATs. That does not help to raise standards in schools. Let us just look at the Labour record. When it was in government, standards were lower than they are today. Where it is in government in Wales, standards are lower than in England, and if it was to get into government, we would see more of the same—lower standards, less opportunity, less opportunity for young people for a brighter future. It is the Conservative party that gives good quality education, good jobs and a good future.
ParlaMint-GB_2019-05-22-commons.u94	Q6. Can my right hon. Friend explain why she ordered that the consultation on the troubles in Northern Ireland not contain proposals for a statute of limitations, as reported in The Sunday Telegraph, and can she update us on what the Government will actually do?
ParlaMint-GB_2019-05-22-commons.u95	My hon. Friend should not necessarily believe all the reports he reads in the newspapers, but let me be very clear on this particular issue. Around 3,500 people were killed in the troubles. The vast majority were murdered by terrorists. The legal position is clear. Any amnesty or statute of limitations would have to apply across the board. It would apply to terrorists. I am not prepared to accept a proposal that brings in amnesties for terrorists.
