ParlaMint-GB_2019-06-27-lords.u1	To ask Her Majesty’s Government what support they give to the work of the World Food Programme.
ParlaMint-GB_2019-06-27-lords.u28	My Lords, the Minister will know that from next year universities will be awarded gold, silver or bronze status for the quality of teaching at degree level. Student satisfaction surveys show a strong correlation between satisfaction and contact hours. Can the Minister confirm whether the plan to take into account the number of hours of teaching students get and the size of classes has been abandoned by the Office for Students? It does not appear in the TEF. The Augar review places a disproportionate emphasis on graduate salaries, as my noble friend Lord Blunkett said, as a proxy for the value of studying. Does the Minister agree that for many, particularly those studying humanities, the lack of contact hours fails to represent good value for money?
ParlaMint-GB_2019-06-27-lords.u29	Contact hours are an important part of the assessment of universities, and it obviously depends on the course. We leave it to universities to decide, on the basis of the courses, how many contact hours are required. Obviously, for medicine the number of hours is much greater. Dame Shirley Pearce is leading a statutory independent review of the TEF that is considering all aspects of its operation. She has conducted a call for views and is due to submit her report and recommendations to the Secretary of State this summer.
ParlaMint-GB_2019-06-27-lords.u30	My Lords, any reduction in higher education funding is likely to have a particular impact not merely on teaching and student contact time but on the very future of smaller institutions, such as the Cathedrals Group universities. Does the Minister agree that, as the Government consider reforms, they need to take into account, first, the effect of those reforms on the diversity of the sector and, secondly, their impact on particular localities? Chichester, for example, is the only university in West Sussex. A threat to its funding would seriously damage its contribution to the regeneration of the disadvantaged coastal areas that it serves.
ParlaMint-GB_2019-06-27-lords.u31	The right reverend Prelate is right, in that we want to reach out to all areas of the country, including Chichester, and both small and big providers. The Augar report comes, of course, on the back of the Higher Education and Research Act, through which we seek to encourage high-quality provision and greater competition, to ensure that students and the taxpayer receive value for money and that students receive a good experience from the courses they undertake.
ParlaMint-GB_2019-06-27-lords.u32	My Lords, the Augar report is balanced from the point of view of funding. Can the Minister reassure us that, should the Government— whichever Government it is—decide to go ahead with this Bill, they will take a balanced view and not cherry pick the cuts in funding rather than increases in funding? If you cut teaching funding any more, even in a place such as Cambridge, where at present it is not used to fund research, it will be transferred. It will damage research as well as teaching, and it will damage the reputation of our leading universities and their ability to attract direct foreign funding, as well as their general reputation in joining in collaboration. I want the Minister’s reassurance that this matter will be looked at in a balanced way so that we do not damage both teaching and research.
ParlaMint-GB_2019-06-27-lords.u33	The noble Lord is absolutely right. I listen particularly carefully to him, given his experience of Cambridge. It is very important to say that the UK enjoys a world-class reputation, with globally renowned teaching and cutting-edge research and innovation. We do not want to put that in jeopardy.
ParlaMint-GB_2019-06-27-lords.u34	To ask Her Majesty’s Government what proposals they have to grant a pension to the severely injured victims of the Northern Ireland conflict represented by the WAVE Trauma Centre.
ParlaMint-GB_2019-06-27-lords.u35	This is an important issue, which the UK Government take very seriously. That is why the Secretary of State requested updated and comprehensive advice from the victims’ commissioner, which we have recently received. The completion of that advice represents an important step in taking forward a pension for victims of the Troubles. The Northern Ireland Office is undertaking detailed work on the next steps, with factual input and support from the NICS.
ParlaMint-GB_2019-06-27-lords.u36	My Lords, I thank the Minister for his personal commitment to the several hundred people who, through absolutely no fault of their own, were so catastrophically damaged by Northern Ireland terrorist attacks and who, for a modest outlay, will have their lives transformed by being granted a weekly pension of £150. As he knows, there is cross-party support for an enabling Bill to go through this House in one day, like other Northern Ireland legislation. Will the Government promise to find time for this before the recess? After all, we are not exactly snowed under with Bills at the moment. He has met the severely injured—some, double amputees. For nearly 10 years they have dragged themselves to Stormont, when it was functioning, to argue their case but to no avail. Will the Government now act quickly to legislate to remedy this appalling injustice?
ParlaMint-GB_2019-06-27-lords.u37	The noble Lord has been a passionate advocate on behalf of those who have suffered in the Troubles. I had an extraordinary experience in meeting some of the victims. The victims’ commissioner has given his advice; it raises a number of issues that we must work our way through as quickly and expeditiously as we can to make sure the legislation produced is right for the time. We are going through this now. The noble Lord knows that we are exploring every possible way to make sure we get this right. I cannot at this point give the commitment he would like, but I can assure him that there is no doubt in my mind that the Government remain utterly committed to delivering on this important issue.
ParlaMint-GB_2019-06-27-lords.u38	As one of those who has met with my noble friend the Minister, I add my tributes for his hard work. Does he accept, however, that many of those who should have benefited have already died? Others will die in the course of this year. Speed really is of the essence. It will be important to get something through, if not by the end of July, certainly in the September sitting.
ParlaMint-GB_2019-06-27-lords.u39	My noble friend makes an important point. He reminds us again that one of the issues drawn to our attention by the victims’ commissioner is how pension rights should be transferred in the sad situation where a victim has passed on. We must get that right as well, to ensure satisfaction for all affected—not only the victims but victims’ families. We will do all we can to move this matter forward.
ParlaMint-GB_2019-06-27-lords.u40	My Lords, the noble Lord, Lord Hain, is to be commended for his tenacity on this issue. He is obviously well versed in it, and the Minister has always been sympathetic. Time is extremely precious, however, and these people do not have time. Does he understand that for many people, however courteous his answers, they sound like a long drawn-out bureaucratic delay on an issue that has been around for years? There is cross-party support for this, it is affordable and there really is no reason for delay. It requires the Government to do something soon—something real—to benefit these people.
ParlaMint-GB_2019-06-27-lords.u41	Urgency is important but so is getting this right. The noble Lord is right to draw to our attention how long this has gone on—far too long. I am under no illusion about that but the reality remains that the victims’ commissioner has presented to us issues that must be resolved, not least to ensure that all benefit from this moving forward. We can make progress and will do so as quickly as possible. Please do not believe that this is in some way an attempt to kick this into the long grass or anything like that. We need to make progress, and we need to make it now.
ParlaMint-GB_2019-06-27-lords.u42	My Lords, I am sure the Minister is aware of the long-standing campaign for justice and compensation by victims of Libyan-sponsored IRA terrorism in Northern Ireland and across the United Kingdom. It has now been confirmed that £17 million in tax has been recovered by the Government on frozen assets in the past three years. Will the Minister ensure that the money is used to help the innocent victims of IRA terrorism and permit them to obtain some of the compensation they so rightly deserve?
ParlaMint-GB_2019-06-27-lords.u43	The noble Lord brings to our attention something quite shocking to contemplate. It is important that the Government recognise that we should do something about this. I shall inquire further into how we will progress it and report back to the noble Lord and to the House as a whole.
ParlaMint-GB_2019-06-27-lords.u44	My Lords, I thank the Minister for his very sympathetic response, but it does not yet do the job. I understand his point; like him, I am a former Victims Minister in Northern Ireland and met many of those who have day-to-day problems in coping with life. This would make a difference and offer recognition for the suffering they have experienced. If the issues raised by the commissioner are relatively minor—transfer of benefits from those who have already died while waiting for a pension is a relatively minor issue, which could be resolved in Committee—will the Minister agree to urgent talks across the House to see how we can resolve these issues? There is determination on all sides, which I accept the Minister shares, to move this along as quickly as possible. It is all very well saying that it is urgent, but this has been going on for some time.
ParlaMint-GB_2019-06-27-lords.u45	The noble Baroness raises an important point. We have begun those cross-party discussions already; the noble Lord, Lord Hain, has been instrumental in bringing together a number of individuals from across the House. The minor issues can be resolved in a very straightforward way, but some are not quite as minor as we would like and will need a bit of time to get right. I hope we can make serious progress and deliver for the victims; that is the important thing not to lose sight of.
ParlaMint-GB_2019-06-27-lords.u46	My Lords, I add my thanks to the noble Lord, Lord Hain, for his tireless work on this, and to my noble friend the Minister for his clear interest and the time he has put into trying to move this forward. However, if one of the delays relates to payments to the families of those who have passed away, would it not be possible to separate the issues by bringing forward legislation that will reach the people who are still alive and dealing later with the separate issue of transferring payments from those sadly no longer with us, so that we can respond to the sense of urgency and support that we feel around the House?
ParlaMint-GB_2019-06-27-lords.u47	My noble friend raises an important point, but if we begin to try to parse the individuals themselves into different categories we will ultimately slow down the entire process. We are close to identifying each of the issues that will be resolved, and I believe we can make progress on that. To try to cleave off different groups at this stage would be a mistake. The important thing now is to deliver a comprehensive package. I believe we can do that, but we must do it correctly.
ParlaMint-GB_2019-06-27-lords.u48	To ask Her Majesty’s Government what assessment they have made of the report by the United Nations special rapporteur on extrajudicial, summary or arbitrary executions Investigation into the unlawful death of Mr Jamal Khashoggi, published on 19 June; and whether, in the light of that report, they will call on the United Nations to institute a full, high-level judicial inquiry into such crimes.
ParlaMint-GB_2019-06-27-lords.u49	My Lords, as the Foreign Secretary has said, the Government condemned Jamal Khashoggi’s killing in the strongest possible terms. The United Kingdom reiterated that at the United Nations Human Rights Council yesterday, and we thank the special rapporteur for her work on the report. The Government remain clear that anyone found responsible following a credible and transparent judicial process must be held to account. We are concerned about reported restrictions regarding the investigative process. We continue to work with our partners on how we can act collaboratively.
ParlaMint-GB_2019-06-27-lords.u50	My Lords, I was the legal adviser to the rapporteur and travelled with her to Turkey with a forensic pathologist and a very senior retired police officer. We met senior ministers—the Foreign Minister and the Minister of Justice—the chief prosecutor, the investigators and the head of intelligence. We were allowed to listen to the tape of the killing of Mr Khashoggi. We heard intercept telephone calls on tape showing that this was not some rogue operation but was planned by people who were agents of the Saudi state The case raises serious issues about the rule of law, for which Britain is recognised around the world. I am asking whether it is enough for us to await the outcome of a trial in Saudi Arabia. Should we not be pressing the UN Secretary-General to initiate a formal judicial inquiry? A prima facie case has been well established. The body is still missing and we know nothing about that. I met Mr Khashoggi’s fiancée last week and she is still unresolved about this whole matter. We have questions to ask about the nature of the trial and whether it conforms to due process Is the Foreign Office taking the stand that it should be about the rule of law and demanding that some kind of formal inquiry be set up at a judicial level by the UN and, if not, that there should be a coming together of nations around the world that care about the rule of law, given the fact that we have seen this happening in Salisbury at the hands of Russia, in North Korea and so on? We really have to assert the importance of due process.
ParlaMint-GB_2019-06-27-lords.u51	I thank the noble Baroness for her question. I pay tribute to her role in the special rapporteur’s investigation. She is right that this country is associated with the robustness of the rule of law and with a widely —indeed, globally—acknowledged judiciary. However, the important point here is that, whatever the noble Baroness may feel about the shortcomings of the process, there is a legal process in Saudi Arabia, and it is the United Kingdom’s judgment that it is correct to let that process run its course. We are observing the trial along with our international partners. It is important to let that process conclude. As I said earlier, we continue to work with our global partners, not least with our friends at the United Nations, and we will consider how we can act collaboratively. The noble Baroness is correct that the report raises a range of serious issues but there is a process that has to be respected and allowed to run its course.
ParlaMint-GB_2019-06-27-lords.u52	My Lords, the noble Baroness, Lady Kennedy, has clearly done a very good job in this investigation along with her two colleagues, as one would expect. Can we be assured, in view of the established close links that we in this country have with Riyadh, that we are pressing the Saudi authorities to be as open, frank and co-operative as possible in any further judicial inquiry, not least in their own interests?
ParlaMint-GB_2019-06-27-lords.u53	I thank my noble friend. As has been observed before in this Chamber, we have a balanced relationship with Saudi Arabia that allows us to be frank and open with it about our concerns and issues it needs to address. As I said to the noble Baroness, it is important that we respect the trial process taking place in Saudi Arabia, but nothing in our relationship with Saudi Arabia inhibits or stifles us in expressing profound concerns when we have them.
ParlaMint-GB_2019-06-27-lords.u54	My Lords, by any measure Saudi Arabia is one of the most intolerant countries in the world. We have just heard about the brutal murder of Jamal Khashoggi. There are summary beheadings, and public floggings of women who are simply trying to assert their rights, and this goes on and on. There is absolutely no freedom of religion or belief. Does our country not taint itself by cosying up to Saudi Arabia simply because of the sale of arms and oil?
ParlaMint-GB_2019-06-27-lords.u55	The noble Lord rightly identifies a series of profound concerns, which we all share. He will be aware that Saudi Arabia remains a Foreign & Commonwealth Office human rights priority country, not least because of the use of the death penalty, women’s rights issues, and restrictions on freedom of expression, assembly and religion or belief. We regularly raise these human rights concerns with the Saudi Arabian authorities through a range of ministerial and diplomatic channels of communication, including our ambassador.
ParlaMint-GB_2019-06-27-lords.u56	My Lords, the Minister has indicated the problems with dealing with Saudi, yet the Foreign Office frequently talks about Saudi as being an ally, and we have arms sales to Saudi. The special rapporteur suggested that all member states should consider imposing an immediate moratorium on the export, sale, transfer, use or servicing of privately developed surveillance tools to Saudi and other states until a human rights–compliant safeguards regime is in place. Can the Minister reassure us that the United Kingdom is not selling any such surveillance tools to Saudi? If she cannot answer now, will she write to me?
ParlaMint-GB_2019-06-27-lords.u57	This issue has been covered extensively in this Chamber in the course of this week, not least in relation to arms sales and the recent judicial review finding. As the noble Baroness will be aware, the Government are disappointed by the court’s conclusion and are appealing the decision. What I can say to her is that, in the meantime, we are not granting any further licences for Saudi Arabia or coalition partners.
ParlaMint-GB_2019-06-27-lords.u58	That the debates on the Motions in the names of Lord Paddick and Baroness Janke set down for today shall each be limited to 2½ hours.
ParlaMint-GB_2019-06-27-lords.u59	That this House takes note of the impact of government policy on knife crime.
ParlaMint-GB_2019-06-27-lords.u60	My Lords, according to the BBC this morning, a teenager has been stabbed to death in west London. Knife crime is increasing at an alarming rate, having reached its highest rate in eight years in 2017–18. Every death is a tragedy, and too many of our young people are losing their lives. However, the parents, friends and relatives of those killed want not just our sympathy but to do something about this. I propose a five-point public health approach to knife crime, only one point of which involves more resources for the police. This should be primarily about addressing the causes, not the symptoms, of knife crime The picture of knife crime is complex. First, there are those who rely on violence. Drug dealing, because it is an illegal activity, cannot be legally regulated. It can be fatal in a direct way, because there is little or no quality control—no information about purity or potency, and no restrictions on who can buy drugs or in what quantity. But it is unregulated in another way—deals are enforced and competition is challenged using violence, because there is no legal means of doing so. Whether to ensure that your stash of illegal drugs is not stolen or that the buyer pays, or to defend your turf, knives are used to regulate. This trade is spilling out from our big cities into the countryside and seaside towns through county lines. Vulnerable young people are being exploited, being sent to live in appalling conditions to sell drugs hundreds of miles from home under the threat of being stabbed by their own and rival gang members However, many in the black community feel that the drugs element of knife crime is overplayed, even racist. All the drug dealers I have met have been white. Use of knives among criminal gangs is as likely to be about so-called respect: respect for senior members of the gang, who stab junior members who step out of line, and respect for a gang’s territory and standing by threatening or stabbing members of rival gangs. It is not just me saying this, but the College of Policing’s evidence-based report on knife crime Connected to gang rivalry are the violent lyrics of drill music and violent YouTube videos. Some say they are legitimate artistic expressions of lived experience, reflecting the violent environment in which they live. Others say they encourage, incite and drive violence, as the competition to be the gang with the greatest number of hits or views on the internet rises in proportion to how shocking the violence contained within them is At the same time as the criminal gang culture has grown, the visible presence of authority on the streets has diminished. Community police officers and, more importantly, police community support officer numbers have been decimated. There has been a 19% real-terms reduction in total funding from central and local government to police and crime commissioners from 2010-11 compared with 2018-19. Central government funding for commissioners has fallen 30% in real terms since 2010-11. Since the peak of 31 March 2009, police officer numbers have fallen by 21,365—over 14%—as of 31 March 2018. Police community support officers, the bridge between the police and communities, has fallen by 7,127—a reduction of over 42% I am a member of the All-Party Group on Knife Crime, ably led by Sarah Jones MP. We have heard from young people involved in knife crime about the impact of these cuts and the impact they have had on them. One told us that she used to feel safe when she saw safer neighbourhood teams, who worked out of her local police station. The safer neighbourhood teams—one sergeant, two constables and three PCSOs in every ward in London—now consist of two officers per ward, provided that they are not on their day off, on holiday, off sick, or on maternity or paternity leave. There is no backfilling. That same young woman described her term in Holloway prison as the best time of her life. Detention is no deterrent and knife crime prevention orders work against a public health approach, potentially criminalising more and more young people The second group of knife carriers are those young people who believe that they need to carry a knife to protect themselves from those who rely on violence because they see no visible uniformed presence on the streets. Even if the police were there, many believe they are not there to protect them. Many in the black community still feel they are overpoliced and underprotected—that the police are there only to stop and search them or arrest them, even when they are innocent. Blanket Section 60 operations simply add to that perception. Community policing is not just a visible deterrent to criminals and a reassurance to victims; it enables community intelligence more accurately to target stop and search on those who the community know are knife carriers—policing carried out with the community, not done to a community Some noble Lords, including the Minister, might say that they do not recognise the scenario I am describing, and it is easy to ignore the reality when the violence is largely contained within these communities, rarely spilling out to disturb the likes of you or me. However, I have talked to young people who live in these areas, I have worked in these areas, I still live in one of these areas and I recognise what young people are describing What makes young people join gangs? At an individual level, many of them are suffering from adverse childhood experiences: domestic violence; abandonment through divorce or separation; a parent with a mental health condition; being the victim of physical or sexual abuse or neglect, either physical or emotional; where a member of the household is in prison; or growing up in a household where adults are experiencing alcohol or drug-misuse problems. Many have grown up in a situation where violence is seen as the normal way to resolve problems, where bullying and misogyny are normalised and where involving outside help is alien. When members of the APPG visited the only young offender institution in Scotland, without exception the inmates had experienced multiple ACEs Scotland invests in young offenders. There, they are counselled about their adverse experiences. A resident police officer explains that the police are there as much to protect them as to lock them up. A woman’s refuge worker explains what normal families and healthy relationships look like Some of this emotional neglect—not being made to feel loved, wanted and belonging—is not the fault of hard-working parents, some of whom must do multiple jobs working 16 hours a day six or seven days a week to pay the rent and put food on the table. They simply do not have the time or energy to do what they want to do for their children, to do what their children need and want from their parents Many children do not belong to a school community either. Whether it is a rigid traditional education that fails to engage all pupils, or whether ACEs result in disruptive behaviour, many find themselves officially excluded from school or informally off-rolled. School performance targets result in schools taking the easy option of jettisoning so-called difficult pupils. On the APPG’s visit to Glasgow, we learned that the number of pupils excluded from school in the city was less than the fingers on one hand. In the London Borough of Croydon, more than 1,500 pupils have been excluded from school in recent years, and that is just in one London borough I suggest five priorities for government action. First, we need to tackle in-work poverty by mandating the real living wage and providing parents with the support that they need in order to provide for their children, through such things as children’s centres and Sure Start. Councils have suffered a 77% decrease in government funding between 2015-16 and 2019-20 Secondly, we need to provide safe and healthy alternatives to criminal gangs by properly funding youth services, outreach workers and the kind of modern youth clubs that really engage young people. Charities and sports clubs need to have long-term core funding—which local authorities used to provide—and churches, mosques, synagogues, gurdwaras, temples and others that provide somewhere safe for young people to go should be acknowledged, supported and encouraged Thirdly, we need to heal the damage caused by adverse childhood experiences, investing in children’s mental health and intervening in teachable moments, such as Redthread’s work in emergency departments with the victims of knife crime Fourthly, we need to provide truly inclusive education, where no pupil is left behind. Compulsory sex and relationship education for all pupils without exception needs to include teaching the violent, exploitative realities of criminal gang membership, like the excellent work done by the charity of which I am patron, GAV Finally, we need to create an environment in which communities and the police can unite against knife crime by restoring community policing The situation is far more complex than I have been able to outline in the time available. I hope noble Lords will add to my necessarily limited opening to this important debate. I must emphasise that this is not a Liberal Democrat plan; it is the result of my membership of the All-Party Parliamentary Group on Knife Crime, under the excellent leadership of Sarah Jones MP. If noble Lords have had the chance to look at the Barnardo’s briefing which they will have been sent in relation to this debate, they will recognise a lot of what I have said in my opening As I previously mentioned, the evidence-based briefing of the College of Policing talks about heavy-handed stop and search resulting in it being less likely for communities to come forward with the vital intelligence that police forces need. Even though there is no direct proportionality between crime reduction and the number of police officers, once you get below a particular level of policing criminals feel that they can act with impunity and victims of crime feel that they have no choice but to defend themselves One of the most disheartening responses this morning on Twitter to the plan which I have just outlined to your Lordships was, “And who is going to pay for this?”. The people who are paying for this now are the victims who are dying on our streets, and the families and relatives of those who are dying. If we do not do something about this, those families and young people will continue to pay for our inaction.
