ParlaMint-GB_2019-06-06-commons.u1	I call Vicky Ford—not here.
ParlaMint-GB_2019-06-06-commons.u15	The Secretary of State’s damascene conversion to addressing the climate emergency is welcome, but, as we have heard, some of those with whom he wishes to conclude trade agreements are less enlightened. Given what he has just said, will the Minister commit to introducing climate clauses to all future trade agreements? Will he publish specific details of the support his Department offers the fossil fuel sector through export finance, and say how that support conforms with the Equator Principles?
ParlaMint-GB_2019-06-06-commons.u16	As I have said, we will consider each and every FTA on its own merits, and in certain circumstances we may find partners who are not prepared to put those sorts of clauses in an FTA. On balance, however, we will look at the advantage to exporters of low-carbon products, and ensure that as and when we proceed with those agreements—if we decide to do so—we facilitate the export of low-carbon products so that economies represented by Governments who do not wish to include an FTA clause on the environment can benefit from the transition that lower input costs produce. I have already made clear the Government’s position on publishing the output of UKEF. There will be an element of carbon-based energy generation in UKEF’s mix in the short term. The UK has huge and growing expertise that will no doubt come to the forefront of UKEF financing in due course, as that transition happens.
ParlaMint-GB_2019-06-06-commons.u17	4. What steps he is taking to strengthen UK trading relations with Israel in medical research and development; and if he will make a statement.
ParlaMint-GB_2019-06-06-commons.u18	Before I answer that question, on the 75th anniversary of D-day it is worth our reflecting that we in this House are able to ask and answer questions in a free and democratic Parliament because of the sacrifices made by those who went before us Our dedicated team at the UK embassy in Tel Aviv actively promotes UK-Israel trade, and there is extensive collaboration on medical research between the UK and Israel. The UK-Israel Tech Hub, which is based at the embassy, helps to create tech and innovation partnerships across several sectors, including healthcare.
ParlaMint-GB_2019-06-06-commons.u19	That is very good to hear. My right hon. Friend knows the state of Israeli technology—for example, all our chips, including the Intel fifth, sixth and seventh core chips, are developed in Israel for Intel in America. Magen David Adom, the equivalent of the Israeli Red Cross, has an app that provides live streaming, medical history and the location of people who use it, and that sort of innovation could be of great benefit to the UK. When we leave the European Union, what will be the advantages of doing business with Israel for both our nations?
ParlaMint-GB_2019-06-06-commons.u20	There are huge advantages to our collaboration in or outside the European Union. To enable us to shine a light on the excellence that my hon. Friend mentions, on my recent trip to Israel I agreed with Prime Minister Netanyahu that we will jointly sponsor a Government high-level trade and investment conference that will enable us to show the world the best of what both countries have to offer in the sector mentioned by my hon. Friend.
ParlaMint-GB_2019-06-06-commons.u21	I congratulate the Secretary of State on mentioning D-day. My father served in the Royal Engineers throughout the war, and my thoughts are of him and our brave troops today The Secretary of State is right to say that global trade can take place only in conditions of peace. Will he back the small group of MPs from across the House who are trying to create close relationships between university research in the UK and university research in Israel?
ParlaMint-GB_2019-06-06-commons.u22	I thank the hon. Gentleman for his kind words. He is right—where we are able to take advantage of the innovation coming out of universities, we should make every attempt to do so. One reason that international investors give for putting money into the United Kingdom is the access to high-quality innovation that comes from the collaboration between industry and academia. Where we can take full advantage of that, including with bilateral relations elsewhere, we should do so.
ParlaMint-GB_2019-06-06-commons.u23	The Secretary of State has already mentioned the UK-Israel Tech Hub, which is the first of its kind and has already generated business of £85 million. How does he see that developing over the coming years?
ParlaMint-GB_2019-06-06-commons.u24	I see it going from strength to strength, and as greater investment goes into both economies we will be able to scale up the innovation and creativity that is clearly shown in the tech sector. That will be of benefit not only to our two countries, but to the wider global economy.
ParlaMint-GB_2019-06-06-commons.u25	I wish to associate myself fully with the Secretary of State’s remarks and pay tribute to the sacrifices of the fallen What assessment has the Secretary of State made of Israel’s participation in the agreement on pan-Euro-Mediterranean cumulation on the trade in medical products between the UK and the EU? What progress have the Government made in replicating other agreements between the EU and Israel, including the 2013 EU-Israel agreement on conformity assessment and acceptance of industrial products?
ParlaMint-GB_2019-06-06-commons.u26	As the hon. Lady is aware, we reached a continuity agreement with Israel on 19 February, which will come into effect as we leave the European Union. The conformity assessment element of that is very important because of the number of generic prescriptions that the NHS takes advantage of that are produced by Israeli pharmaceutical companies. We will want to see as much continuity in all those arrangements as possible.
ParlaMint-GB_2019-06-06-commons.u27	5. What recent assessment his Department has made of the value of global free trade to developing countries. [R]
ParlaMint-GB_2019-06-06-commons.u28	Free trade is a driver of economic growth that can trigger positive changes in a country’s economy, helping to raise incomes, create jobs and lift people out of poverty. The poorest countries have enjoyed some of the benefits of global free trade through receiving preferential access to the UK, the world’s fifth-biggest market.
ParlaMint-GB_2019-06-06-commons.u29	I thank the Secretary of State for his answer. However, the risk of protectionism is growing and that threatens both free trade and the millions of jobs in developing countries that come with it. May I therefore urge the Secretary of State and his colleagues actively to oppose protectionism, particularly at the WTO and indeed when expressed in this Chamber, so that we can ensure that more of the world’s poorer citizens benefit by trading themselves out of poverty?
ParlaMint-GB_2019-06-06-commons.u30	Those countries that have benefited from free and open trade, and enjoy the prosperity that we do today, have not only a duty economically to ensure the best outcomes but a moral duty to ensure that those in developing countries are able to benefit from the same trading systems that we have. Simply to say that we are more advanced and are pulling up the ladder behind us would be a betrayal of all those who have believed in free trade and practised it in recent years.
ParlaMint-GB_2019-06-06-commons.u31	Does the Secretary of State agree that if it is going to end poverty, free trade also has to be fair trade? What steps are the Government taking to ensure that trade deals, whether through the WTO, the European Union or bilaterally, are checked against the sustainable development goals to make sure that they are poverty and development-proofed?
ParlaMint-GB_2019-06-06-commons.u32	The Government take those elements extremely seriously, which is why we actually seek a closer alignment between our trade and development policies. For example, we are able to invest in countries to give them greater capability to add value to their primary produce, while at the same time potentially being able to take advantage of tariff reduction to increase market access. By bringing the two together, that can be synergistic for this country and for developing countries.
ParlaMint-GB_2019-06-06-commons.u33	rose—
ParlaMint-GB_2019-06-06-commons.u34	rose—
ParlaMint-GB_2019-06-06-commons.u35	rose—
ParlaMint-GB_2019-06-06-commons.u36	A notable Northamptonshire contest. I call Mr Peter Bone.
ParlaMint-GB_2019-06-06-commons.u37	Thank you, Mr Speaker. Does the Secretary of State agree that the European Union is an inward-looking protectionist trading bloc that acts to the detriment of developing countries?
ParlaMint-GB_2019-06-06-commons.u38	I certainly believe that the European Union’s common external tariff provides barriers to trade for many developing countries, so they are unable to take advantage of adding value to their primary produce. One of the advantages of leaving the European Union will be that Britain will have the ability to reduce tariffs to enable greater access for some of the poorest countries.
ParlaMint-GB_2019-06-06-commons.u39	So that’s a yes?
ParlaMint-GB_2019-06-06-commons.u40	We’ll take it as a yes.
ParlaMint-GB_2019-06-06-commons.u41	7. What his priorities are for the upcoming G20 Trade Ministers meeting in Japan.
ParlaMint-GB_2019-06-06-commons.u42	At the upcoming G20 trade and digital economy ministerial meeting I will voice the UK’s continued support for the multilateral trading system. I will work with other G20 members to reduce trade tensions, support WTO reform, and advocate for new rules on e-commerce and services trade liberalisation.
ParlaMint-GB_2019-06-06-commons.u43	Relations with Japan matter enormously. Our termination of the Anglo-Japanese treaty 1923 was probably one of the worst geo-strategic mistakes we ever made, propelling that country into autarchy and nationalism. Will the Secretary of State confirm that post Brexit my right hon. Friend’s priority will be to ensure a global free trade world, with us and Japan leading the way?
ParlaMint-GB_2019-06-06-commons.u44	It is absolutely essential, particularly given the rise of protectionism globally, that we commit ourselves to a rules-based system based on the WTO. Of course, we have abilities to augment that by other regional relationships, which is why we have had the public consultation and the debate in Parliament about the potential accession to the CPTPP—the Comprehensive and Progressive Agreement for Trans-Pacific Partnership. The Japanese Government have been key in encouraging the United Kingdom to seek such a membership.
ParlaMint-GB_2019-06-06-commons.u45	rose—
ParlaMint-GB_2019-06-06-commons.u46	Oh, very well.
ParlaMint-GB_2019-06-06-commons.u47	Seventy per cent. of the world’s poorest people live not in the poorest countries but in the middle-income countries, and the G20 has a vital role to encourage these people to work their way out of poverty through encouraging free trade. Does the Secretary of State agree?
ParlaMint-GB_2019-06-06-commons.u48	I do agree, but if the G20 countries are intent on doing so, they need to reverse the recent trend of increasing non-tariff barriers to trade. The largest number of new barriers to trade introduced since the financial crisis have been in G20 countries, so they do not simply have to do the preaching; they have to do the practising, too.
ParlaMint-GB_2019-06-06-commons.u49	8. What progress the Government has made on the implementation of its international education strategy.
ParlaMint-GB_2019-06-06-commons.u50	Few do more than my hon. Friend to promote UK education. Since the strategy launch in March, we have established a cross-Government implementation group to turn the strategy’s ambitions into reality, including raising exports to £35 billion by 2030 and lifting student numbers coming here to 600,000. We will appoint an international education champion, and I will chair the education sector advisory group later this month as we build on our plans to deliver the strategy in partnership with the sector.
ParlaMint-GB_2019-06-06-commons.u51	I am very glad that my hon. Friend will be very busy on that project in the coming weeks. What steps are being taken by his Department to ensure that UK institutions, such as the excellent universities in Manchester, can promote their strong educational brands as world-class centres of teaching and research?
ParlaMint-GB_2019-06-06-commons.u52	My hon. Friend is right: the UK education sector is world leading. It has four of the top 10 universities in the world and 18 of the top 100. Institutions such as the universities in Manchester stand out for their multicultural campuses and international collaborations, driving global research into important areas such as childhood leukaemia. We plan to work with them and others in the sector to promote it across the world.
ParlaMint-GB_2019-06-06-commons.u53	9. What recent assessment he has made of trends in the level of inward foreign direct investment.
ParlaMint-GB_2019-06-06-commons.u54	On almost every measure, the UK has strengthened its position as the most attractive investment destination in Europe since the EU referendum. According to “The fDi Report 2019”, published last month on 3 May, last year saw in-year greenfield investment in the UK grow by 19% to 1,278 projects—more, notably, than France and Germany combined. Despite the slowdown in the world economy, the latest figures show that the total stock of FDI in the UK reached a new high of £1.5 trillion, more than Germany, Poland and Spain combined.
ParlaMint-GB_2019-06-06-commons.u55	I thank the Minister for that extremely positive and encouraging reply. Is he aware that much of King’s Lynn and west Norfolk’s economy is based on foreign direct investment from a number of firms from America and Europe and that we have some subsidiaries of truly world-class companies? What is his Department doing to liaise with those firms and learn the lessons about why they made that successful decision to come to the UK and Norfolk, in particular?
ParlaMint-GB_2019-06-06-commons.u56	We have a supplier relationship management programme, where we have built relationships at ministerial and senior official level with the largest investors into the UK. It is notable that in 2017-18, the 2,072 FDI projects that landed in the UK created 75,968 new jobs. Investors are not put off by Brexit, but they are deterred by the threat of nationalisation by the Labour party. It is the fear that job creators most often express to me, which goes to show that Labour does not even need to be in power to damage British jobs and living standards. The threat of Labour is enough.
ParlaMint-GB_2019-06-06-commons.u57	My father, David Thomas Morgan Davies, was head of economic development at the Welsh Office and got Ford to move to Bridgend in the ’70s, yet this week we find that it is announcing its closure at a time when Donald Trump is saying that we are going to have a great trade deal. Does the Minister agree that the people working in Ford who voted in good faith to leave the EU did not vote to leave their jobs and deserve a say on the final deal, so that they can think again and stay in the EU instead of losing their jobs and being decimated by the Americans?
ParlaMint-GB_2019-06-06-commons.u58	The hon. Gentleman again wants to frustrate the will of his constituents. The automotive industry is in massive global flux, and trying to link every decision to Brexit leads people astray, just as he and so many of his colleagues do as they come up with these false arguments for a second referendum. The people want the thing they decided to be done and they do not want to hear weasel words from the Labour party, trying to say the opposite.
ParlaMint-GB_2019-06-06-commons.u59	10. What progress the Government have made on implementing their export strategy.
ParlaMint-GB_2019-06-06-commons.u60	The export strategy sets out how the Government will encourage, inform, connect and finance UK businesses so that they can take advantage of the international demand for British goods and services. In February we launched the new export champion community, a network of the UK’s leading exporters which will encourage their fellow firms to start exporting and will offer practical advice.
ParlaMint-GB_2019-06-06-commons.u61	I am thinking very much of the workers at Ford this morning, because my first job was as a foreman at Ford in Bridgend. I hope that a way through can be found When it comes to informing and connecting, the Department needs people on the ground, but its budget in Africa, where I am one of the trade envoys, is very small. It has excellent people, but not nearly enough of them. What is the Minister doing to persuade the Treasury to invest more in “feet on the ground” for our trade missions in Africa and across the world?
ParlaMint-GB_2019-06-06-commons.u62	One of this Administration’s successes is the establishment of the Department for International Trade. For the first time, we have a dedicated, focused international economic Department that seeks to build our global prosperity. Africa, which is expected to double its GDP between 2015 and 2030 and whose population will nearly double in the not too distant future, is an area in which we need to up our engagement. That is why we are organising an African uplift this year, and we will continue to do more.
ParlaMint-GB_2019-06-06-commons.u63	Implementing the export strategy also requires us to implement the cyber-security export strategy, which relies heavily on UK Export Finance for direct lending, export refinancing and so on. If cyber-security exports are a genuine strategic priority, what proportion of UK export financing will be committed to its support?
ParlaMint-GB_2019-06-06-commons.u64	UK Export Finance responds to the market. It is there to ensure that no viable British export fails for lack of finance. Therefore, predicting, let alone fixing, the percentage that will be put into any particular sector—even if it is a strategic priority for the Government —would, I think, be a mistake.
ParlaMint-GB_2019-06-06-commons.u65	T1. If he will make a statement on his departmental responsibilities.
ParlaMint-GB_2019-06-06-commons.u66	My Department is responsible for foreign and outward direct investment, establishing an independent trade policy, and export promotion Let me take a moment to thank Baroness Fairhead for all her hard work during her time as the Minister for export promotion. She has been an invaluable member of my team: diligent, intelligent and 100% committed, and she will be sorely missed.
ParlaMint-GB_2019-06-06-commons.u67	I chair the all-party parliamentary group on women and enterprise. We are about to publish our first report, which draws attention to the huge potential for encouraging more female-owned businesses to export. What support can the Government give in that regard, particularly by identifying market-ready opportunities abroad for our female entrepreneurs?
ParlaMint-GB_2019-06-06-commons.u68	I pay tribute to my hon. Friend for the work that he does in this area. The Government’s export strategy is about breaking down barriers so that everyone can benefit from trade opportunities, but that includes understanding the distinct barriers faced by women. We will ensure that our independent policy is gender-responsive, and will actively seek to increase the role of women in trade and support female exporters in particular.
ParlaMint-GB_2019-06-06-commons.u69	Today we remember with profound respect the importance of the multilateral alliance, and the sacrifices made 75 years ago today. Did the Secretary of State take the opportunity of the recent state visit involving those commemorations to express his dismay that UK companies might now fall foul of the Helms-Burton Act, which would subject British businesses and investors to unfair legal challenge in the United States simply because that country has a dispute with the people with whom our companies are doing business The extraterritorial jurisdiction that the US claims under the Act was declared unenforceable by the EU under a Council regulation which we have recently replicated in the UK, but does it not send a chill through the Secretary of State that by deciding to activate Title III, the US President is threatening companies based outside the US which are simply going about their legitimate business? Does that not make the Secretary of State question whether the great deal that President Trump says he is already discussing with the UK would be great for the UK, or just for the US?
ParlaMint-GB_2019-06-06-commons.u70	I agree that there are issues around the whole concept of extra-territorial rules on trade, which is why of course it is fundamental that we get a strengthening of the rules-based system at the WTO in Geneva. That will help us deal with some of those issues, but where the United Kingdom believes we have a unique role to play—for example in upholding the joint comprehensive plan of action—we will continue to do so, and we will resist any attempts to force UK trading entities to behave in a way that we do not believe is legal.
ParlaMint-GB_2019-06-06-commons.u71	T4. What steps is my right hon. Friend taking to showcase the exports of the Greater Manchester area—and may I take this opportunity to invite him and the Department to host an exporting showcase or roadshow in my constituency?
ParlaMint-GB_2019-06-06-commons.u72	I am delighted to answer that question again. Our team in the north-west works with international trade advisers and partners across Greater Manchester to enable local exporters to showcase their products and services overseas, including through bespoke trade missions, events and the DIT digital platform. I welcome my hon. Friend’s invitation. We have an established export hub that travels the length and breadth of the UK to give face-to-face support and guidance to first-time exporters. I will ask our team to contact my hon. Friend’s office to explore areas of collaboration and I encourage colleagues from across the House to invite the export hub to their area.
ParlaMint-GB_2019-06-06-commons.u73	T3 The Minister will be aware of the potential threat to the NHS from any transatlantic trade deal done by the EU. Will he give a cast-iron guarantee that any post-Brexit deal done with the US will maintain the principles of the NHS, free at the point of use?
ParlaMint-GB_2019-06-06-commons.u74	Of course post-EU it will be the Government and this Parliament that will determine what trade arrangements we have, not the European Union. I understand the hon. Gentleman’s passionate defence of the NHS: I trained and worked in the NHS as a doctor. Under this Government the NHS will not be for sale, and I would hope that is something we can agree across the House.
ParlaMint-GB_2019-06-06-commons.u75	What steps are being taken to champion the rules-based system in emerging economies such as Tunisia?
ParlaMint-GB_2019-06-06-commons.u76	The whole issue of the WTO will be at the centre of what we discuss at the G20. The alternative to a rules-based system is a deals-based system, which would suit only the very biggest and most powerful economies, and we would lose the potential to use trade as a means of getting countries out of poverty. The rules-based system is necessary because it applies to everyone—the richest and the poorest, the strongest and the weakest—and we must give every defence to it that we can.
ParlaMint-GB_2019-06-06-commons.u77	T5. Will Ministers say a word of praise for the work of the Yorkshire and Humber international trade team based in Barnsley? Would it not be even more effective if it was accountable not to Whitehall but to a directly elected Yorkshire mayor?
ParlaMint-GB_2019-06-06-commons.u78	I am grateful to my hon. Friend from Yorkshire who is right to highlight the outstanding contribution from the team in Barnsley. I will leave it to other Departments and Ministers to reply on whether or not a Yorkshire mayor would be the right thing to have, but what I can say is that we will continue to work together cross-party to promote business and employment across the Humber and Yorkshire region.
ParlaMint-GB_2019-06-06-commons.u79	For the benefit of my constituents in Corby and east Northamptonshire will the Secretary of State take the opportunity to knock on the head this nonsense that the NHS will be up for sale in any future free trade agreement?
ParlaMint-GB_2019-06-06-commons.u80	I am tempted to say “I refer my hon. Friend to the answer I gave some moments ago.” Let me be very clear for the benefit exclusively of his constituents that the NHS is not, and will not be, for sale.
ParlaMint-GB_2019-06-06-commons.u81	T6. I heard the Secretary of State’s passion as a medic. Will he clarify that he can commit now to excluding the NHS from any future trade deals if the UK leaves the EU, and that no foreign power, no matter how big, will get their hands, no matter how small, on our NHS, no matter who wins the Conservative party’s leadership race?
ParlaMint-GB_2019-06-06-commons.u82	I refer the hon. Lady to the answer I gave some moments ago.
ParlaMint-GB_2019-06-06-commons.u83	Trade with Iceland is of particular importance to my constituency and the ports of Immingham and neighbouring Grimsby. What progress is being made to develop our trading links and investment with Iceland?
ParlaMint-GB_2019-06-06-commons.u84	I visited Iceland just a couple of weeks ago and had constructive discussions with my counterpart there and with a range of businesses. We have already signed the continuity agreement, which I know will be of enormous benefit to my hon. Friend’s constituency and provide a great deal of comfort to those involved in those industries.
ParlaMint-GB_2019-06-06-commons.u85	In Blaenau Gwent, we have been working with Fujitsu to encourage our young people to go into cyber-security, but I have learned that there is a real shortage of cyber-security specialists here in the UK. What support can the Government give to training in this key sector so that we can boost our exports for the future?
ParlaMint-GB_2019-06-06-commons.u86	The hon. Gentleman makes an important point. The value of UK cyber-security exports is set to rise from about £1.8 billion at the moment to £3.2 billion by 2022, and 800 companies are currently involved in the sector. He is right to say that one of the elements we will need to provide is the appropriate education, coming from the sector, to give people the appropriate skills as well as in-house training. The Government, through their wider agenda—the skills agenda, the apprenticeship scheme and what we are doing in the Department—are well aware of the point that he has raised. Without the skills, we will be unable to take advantage of the tech and knowledge that we have.
ParlaMint-GB_2019-06-06-commons.u87	1. What assessment he has made of the effect of the climate emergency on his Department’s priorities.
ParlaMint-GB_2019-06-06-commons.u88	There should be no distinction at all between work that we do—
ParlaMint-GB_2019-06-06-commons.u89	Order. I believe the Secretary of State is going to group this question with question 3.
ParlaMint-GB_2019-06-06-commons.u90	Indeed, Mr Speaker. Thank you very much.
ParlaMint-GB_2019-06-06-commons.u91	3. What steps he is taking to prioritise tackling climate change.
ParlaMint-GB_2019-06-06-commons.u92	There should be no distinction at all between the work that we do on international development and the work that we do on climate and the emergency. We face a climate cataclysm, and if we get this wrong, 100 million more people will be in poverty. I would therefore like, as Secretary of State for International Development, to double the amount that our Department spends within our budget on climate and the environment, and to double the effort that the Department puts into that issue.
ParlaMint-GB_2019-06-06-commons.u93	I welcome the Minister to the Dispatch Box in his new Cabinet role, and I warmly welcome his clear and genuine commitment to tackling the climate emergency. Does he accept, however, that there is a contradiction between the excellent work that his Department does in helping to mitigate and adapt to the climate emergency in developing countries and the way in which, through UK Export Finance, we continue to subsidise fossil fuels to the tune of billions of pounds? Will he use his leadership in Government, in whatever form, to ensure that he pushes to stop those fossil fuel subsidies?
ParlaMint-GB_2019-06-06-commons.u94	This is of course a very serious challenge. That is fundamentally an issue for the Department for International Trade, but the hon. Lady is absolutely right to say that it is extremely important, when we think about an environment and climate strategy for the Government, to be fully joined up, particularly in relation not only to what the DIT does but to what we do through the Commonwealth and through CDC’s investments to ensure that they tie in with our climate and environment priorities.
ParlaMint-GB_2019-06-06-commons.u95	The $100 billion climate finance commitment made by developed countries including the UK is separate from the international aid commitment, as climate finance is an additional challenge to development, yet the UK’s climate finance currently comes entirely from the aid budget, displacing spending on health, education and life-saving needs. The Minister has just explained that this will come from existing funds, so how are the Government exploring alternative sources of climate finance to take the pressure off the aid budget?
ParlaMint-GB_2019-06-06-commons.u96	There is a range of climate finance initiatives that we could pursue, including green bonds here in the United Kingdom, but fundamentally, all the investments we make in health, education and economic development need to be proofed for the environment and climate. The distinction between these two things is often deeply misleading because, as the World Bank has just pointed out, if we do not get the climate and environment right, we will have 100 million more people living in poverty.
ParlaMint-GB_2019-06-06-commons.u97	The United Nations framework for combating climate change has three pillars: mitigation; adaptation; and loss and damage. Does the Secretary of State agree with the United Nations framework convention on climate change that loss and damage to property is a huge consequence of climate change? If so, why do the UK Government allocate official development assistance spending only to mitigation and adaptation?
ParlaMint-GB_2019-06-06-commons.u98	These are difficult choices that we have to make. We are currently leading in the United Nations on the resilience pillar. It is very important, and I think everybody in this House—indeed, in the country—would want to ensure that the next COP summit is hosted in London next year, so that we can take on the baton from Paris; but in order to do that we need to show a distinctive contribution. It is in resilience that we shall be leading the UN discussions, both in Abu Dhabi and then in the UN in September. I think that is where the UK should position itself.
ParlaMint-GB_2019-06-06-commons.u99	2. If he will allocate funding from the international aid budget to build prisons in recipient countries to facilitate the return of foreign national offenders to prisons in their home countries.
ParlaMint-GB_2019-06-06-commons.u100	The UK aid budget is already building the capacity of security and justice institutions in developing countries. That includes support for improved prison conditions, which can facilitate the return of foreign national offenders. Since 2010, we have removed more than 48,000 FNOs from the UK, with over 5,000 removed in 2018-19.
ParlaMint-GB_2019-06-06-commons.u101	We spend almost £1 billion a year on incarcerating more than 9,000 foreign national offenders in our prisons, many from developing countries to which we already give international assistance. Given that it is far cheaper to build a prison to requisite standards in those countries than here, does it not make sense to use our international aid budget to send these people home, using the funds from the Department for International Development?
ParlaMint-GB_2019-06-06-commons.u102	I am advised that the Minister of State has just been elevated to the Privy Council. I congratulate him on that and wish him well, and I am sure the House will want to join me in congratulating the right hon. Gentleman.
ParlaMint-GB_2019-06-06-commons.u103	Thank you, Mr Speaker. My hon. Friend the Member for Kettering (Mr Hollobone) knows very well that official development assistance is dispersible only in accordance with the rules set out by the OECD. There is a good argument for building prisons, in order to remove prisoners from the UK. However, ODA funds could not be used for such a purpose, since the primary intention of ODA funds is to render assistance. I would suggest very strongly that my hon. Friend speaks to our right hon. and hon. colleagues in the Home Office and the Department of Justice.
ParlaMint-GB_2019-06-06-commons.u104	That is quite a helpful answer. Supporting the justice systems in developing countries is hugely important, but we should not make any move towards the notion of tied aid or a quid pro quo, such as was suggested in the substantive question; that would be worrying. Will the Minister make it clear that that is not a policy of the Department for International Development?
ParlaMint-GB_2019-06-06-commons.u105	It is not a question of that not being a DFID policy; such a thing would be proscribed by the OECD and its development advisory committee. The proposal by my hon. Friend the Member for Kettering has merit, but it would not be proper for international development funds to be used for such a thing, and if we did so, it would not count towards the 0.7% to which we are committed.
ParlaMint-GB_2019-06-06-commons.u106	When I was in the Minister’s position, I refused Foreign Office requests—indeed, instructions—to build a prison on Pitcairn to accommodate one prisoner. Will he assure me that he will not cave in?
ParlaMint-GB_2019-06-06-commons.u107	I think I can reassure my right hon. Friend that I will in no way be caving in.
ParlaMint-GB_2019-06-06-commons.u108	4. What steps his Department is taking to help increase women’s equality throughout the world.
ParlaMint-GB_2019-06-06-commons.u109	Our strategic vision for gender equality focuses on ending violence against women and girls, on girls’ education, on promoting sexual and reproductive health and rights, and on women’s empowerment.
ParlaMint-GB_2019-06-06-commons.u110	It is vital that girls in developing countries have access to high-quality education, so what progress is the Department making to help ensure that happens?
ParlaMint-GB_2019-06-06-commons.u111	I am so pleased that my hon. Friend can support the “12 years of quality education” campaign that we are leading around the world, together with France and Canada. It is an incredibly important part of development, because evidence suggests that for every year that a girl spends in school, her lifetime earnings increase by 10%. Hon. Members can see how powerful that is in terms of prosperity for our world.
ParlaMint-GB_2019-06-06-commons.u112	The Women Deliver conference heard this week from Sawsan Al Refai, a Yemeni development researcher and activist, who said: “It is important for Yemeni women to be at the table, but we need to make sure Yemeni women’s issues are at the table too.” What is the Minister doing to achieve that?
ParlaMint-GB_2019-06-06-commons.u113	I am pleased to say that my ministerial colleague Baroness Sugg has been at that conference in Vancouver this week. The hon. Lady highlights a very important issue, because the evidence and the research that we have done suggests that involving women in peace processes very significantly increases the chances of their being successful and sustainable.
