ParlaMint-GB_2019-07-16-lords.u1	To ask Her Majesty’s Government what steps they are taking to improve rural bus services.
ParlaMint-GB_2019-07-16-lords.u19	My Lords, the EU settlement scheme opened fully on 31 March and makes it easier for resident EEA and Swiss citizens and their family members to get the status they need to remain here after we leave the EU. The system is performing well and, according to the most recent internal figures, nearly 1 million applications have been received.
ParlaMint-GB_2019-07-16-lords.u20	My Lords, that is good news, but there is still a very long way to go. As the Minister knows, if you have not been here for five years, you get pre-settled status. On 20 May, Caroline Nokes said in a Commons Written Answer: “We are currently working hard on a number of enhancements to the EU Settlement Scheme including the functionality to support individuals who currently hold pre-settled status to apply for settled status once they become eligible” Is the Minister aware that there was publicity only over the weekend because people are finding it difficult to use the app that they must use to convert their pre-settled status into settled status. Caroline Nokes promised that it would all be sorted within six weeks; that was two months ago. What is happening about that and can the Minister tell us what happens to people who forget to apply for settled status once they have their pre-settled status and the time arrives?
ParlaMint-GB_2019-07-16-lords.u21	In answer to the noble Lord’s first point—that we have a long way to go—given the number of citizens we are talking about, it sounds to me as though we are almost a third of the way there. In answer to his point about pre-settled status, interestingly enough, just before we came into the Chamber, I had a conversation with his noble friend, the noble Baroness, Lady Ludford, about a question she had raised with me previously on a reminder system for people coming to the end of their pre-settled status. That is certainly being worked on. He also asked me about the app. I am aware of the problem and we intend that from the end of July, it will be possible for people with pre-settled status to apply online to convert it to settled status as soon as they become eligible.
ParlaMint-GB_2019-07-16-lords.u22	My Lords, I understand that there are 2.5 million people of European Union descent working in the UK who have still to apply for settled status. What happens to those people in just over two and a half months when we have Brexit?
ParlaMint-GB_2019-07-16-lords.u23	I hope the noble Lord will be comforted to hear that people will have at least until 31 December 2020 to apply, which is a significant way off. It is pleasing to note that, three months into the scheme, the number of people who have applied is significant—as I said, nearly a third of the total.
ParlaMint-GB_2019-07-16-lords.u24	My Lords, does not the Minister believe that there should, equally, be a right of appeal following an unsuccessful application under a—God forbid—no-deal scenario, as there is currently in the event of a deal? There is no good reason why this should not be the case. Will the Government look into that?
ParlaMint-GB_2019-07-16-lords.u25	I understand that an administrative review is allowed and costs £80, but the noble Earl asked about something different, which was in the event of no deal. I will check when I go back that it is the same—that, deal or no deal, the cost and the process are the same.
ParlaMint-GB_2019-07-16-lords.u26	My Lords, the EU Sub-Committee covering this law met the Minister this morning. There seems to be a view that the technology is infallible. Is there not therefore a danger that the law of technology will trump the rule of law? The main complaint which the committee has found concerns the lack of physical proof that a person has been granted settled status. The Government have stubbornly refused to alter that, even if there were to be payment. What is the rationale behind that refusal?
ParlaMint-GB_2019-07-16-lords.u27	I think the noble Lord is referring to automated decision-making. If the report is the same one that I am thinking of, it is wrong: there is no automated decision-making in the settlement scheme. Each application is checked by a caseworker, which I hope will give the noble Lord comfort. We allow applicants to choose, during the application process, whether they would like the evidence requirement for their continuous residence in the UK to be supported by government data checks. Those checks are optional and triggered only when a person enters their national insurance number on the application. The applicant may supply evidence in other forms should they wish to do so.
ParlaMint-GB_2019-07-16-lords.u28	My Lords, I am sure that the Minister will agree that transparency is important and particularly difficult to achieve in a scheme that is largely, if not completely, automated and uses algorithms. What information will the Home Office publish about its evaluation of the workings of the scheme? I include in that the work being done by the organisations receiving funding to advise vulnerable applicants, especially as—the Minister will correct me if I am wrong about this but it is important—I believe that their contracts include a gagging clause.
ParlaMint-GB_2019-07-16-lords.u29	I cannot comment on the last point made by the noble Baroness and I will have to write to her on whether that is the case. She will of course remember the beta testing scheme that was in place before the whole thing went live; we will review how that process went. Part and parcel of that review will be the total number of successful applications made, as well as where things possibly went wrong.
ParlaMint-GB_2019-07-16-lords.u30	My Lords, why do the Government think that the EU Commission refused our original offer of continuing residence for the EU’s 3.5 to 4 million people living here in return for its agreement that our 1.2 million people could go on living there?
ParlaMint-GB_2019-07-16-lords.u31	The noble Lord has raised an important point and there has been a lot of discussion in this House about it. At the time we did what we thought was right and, yes, it would have been nice had it been reciprocated.
ParlaMint-GB_2019-07-16-lords.u32	To ask Her Majesty’s Government what assessment they have made of reports that children have been separated from their parents in migrant detention camps on the United States border with Mexico, and whether the human rights of migrants have been violated in those camps.
ParlaMint-GB_2019-07-16-lords.u33	My Lords, we share concerns over the recent reports on the conditions faced by children in US detention facilities. I welcome the fact that on 1 July the President passed a Bill providing emergency funding, including humanitarian support, which in part is to help to address those conditions. While countries are responsible for their own border policy, we all clearly have a responsibility to address migration issues in a fair, humane and effective way.
ParlaMint-GB_2019-07-16-lords.u34	Is the Minister aware that, in May 2018, the United States began forcibly separating children and parents as they arrived at the United States border and that an estimated 12,000 unaccompanied children are in detention camps? The conditions in those camps have been compared with those in concentration camps. What views and protests have HM Government expressed to the United States? What was the wording of any such correspondence?
ParlaMint-GB_2019-07-16-lords.u35	My Lords, this subject was not raised at the recent G20 summit, but we will continue to monitor the situation. However, immigration policy in the US is of course a matter for the US Government.
ParlaMint-GB_2019-07-16-lords.u36	My Lords, what is truly shocking is that, when democratically elected representatives have raised their concerns, they are treated to abuse by their President. I very much welcome the Prime Minister’s condemnation of the words as “completely unacceptable”, but in this country we would call them racist. Will the Minister do the same?
ParlaMint-GB_2019-07-16-lords.u37	My Lords, I am glad that the noble Lord has raised this important issue, and that he referred to the views expressed by my right honourable friend the Prime Minister. As she said yesterday, the language used to refer to these women was completely unacceptable. I am also glad that the two contenders for the leadership of my party have spoken in similar terms. My right honourable friend will always stand up for the values of tolerance, decency and respect.
ParlaMint-GB_2019-07-16-lords.u38	My Lords, President Trump refers to immigrants from Mexico as caravans of rapists and criminals. As we have just heard, he separates infants and young children from their parents, causing them inconsolable distress in crowded concentration camps, where they are deprived of adequate food, water and basic hygiene. Does the Minister agree that such overtly racist behaviour demeans the highest office of a once-great country?
ParlaMint-GB_2019-07-16-lords.u39	My Lords, the noble Lord draws attention to the appalling conditions of some of these refugees, who come from distant countries such as El Salvador, Haiti and Honduras. This matter has had much recent coverage in newspapers and other media. That is one reason why I am particularly glad to note, as I said in response to the Question, that the President has passed a Bill providing emergency funding, including humanitarian support, in part to help address these conditions.
ParlaMint-GB_2019-07-16-lords.u40	Last week the six Texan bishops of the Episcopal Church on the border with Mexico wrote a letter stating: “We call on our state and national leaders to reject fear-based policy-making that targets people who are simply seeking safety, and a chance to live and work in peace” Does the Minister agree with their view, and that we too need to ensure that our policy-making towards asylum seekers and refugees must be based never on fear but on humane, compassionate grounds?
ParlaMint-GB_2019-07-16-lords.u41	My Lords, the right reverend Prelate makes some good points. Our long-standing position on our own immigration system is that it should bring control, be fair to those who are here legally and contribute, and deal effectively with those who are here illegally.
ParlaMint-GB_2019-07-16-lords.u42	My Lords, have my noble friend and his colleagues noted that whereas a reassuringly large and vocal number of the United States population are complaining about this, a worryingly large number of the population of the United States are acquiescently silent?
ParlaMint-GB_2019-07-16-lords.u43	My Lords, as I said before, United States immigration policy is for the United States.
ParlaMint-GB_2019-07-16-lords.u44	My Lords, what direct representations, if any, have Her Majesty’s Government made to the Government of the United States over the forcible separation of children from parents? That is the point of this Question, and it would be helpful if the Minister could tell us what has been said by our Government to theirs on this important humanitarian issue.
ParlaMint-GB_2019-07-16-lords.u45	My Lords, as I understand it, we have not been in discussion with the US Administration on this issue. I understand noble Lords’ feelings on this matter, but the fact is that US immigration policy is for the US Government.
ParlaMint-GB_2019-07-16-lords.u46	My Lords, does the Minister condemn the use of the phrase “concentration camps”? The children in America, no matter how badly treated, are not being gassed, buried alive or smashed against walls. To use that phrase diminishes the memory of those who were treated like that and undermines the argument.
ParlaMint-GB_2019-07-16-lords.u47	I could not agree more with the noble Baroness; she is quite right. The use of that sort of wording is quite improper in this instance.
ParlaMint-GB_2019-07-16-lords.u48	To ask Her Majesty's Government what analysis they have conducted of the impact of the National Health Service introducing the use of devices such as Amazon’s Alexa for health care advice.
ParlaMint-GB_2019-07-16-lords.u49	My Lords, digital technology will play a key role in making the NHS sustainable. The Secretary of State’s technology vision sets the foundation for a new generation of digital services focused on user need, privacy and security, interoperability and inclusion. The collaboration with Amazon simply connects people to medical information and is already freely available through the NHS website. This service does not provide advice or any form of diagnosis. More modes to access medically verified NHS information can only give UK citizens a better understanding of different medical conditions. The agreement with Amazon is convenient for those who rely on voice-activated technology, in particular blind and visually impaired people.
ParlaMint-GB_2019-07-16-lords.u50	My Lords, I thank the Minister for her response and might I say it was a good defence? While I have absolute confidence that Matthew Gould—our previous ambassador to Israel who leads on the project—will get it right, voice-recognition technology has its problems. It must recognise the correct phrase, word and accent. It might be interesting to hear the answers that the Opposition Chief Whip were to get if he asked a question with his accent. I asked five questions at the weekend; all health-related. One I repeated twice and got two different pieces of advice: one was to call 999 and the other was to go to bed and rest I know that it is not a diagnostic technology, but it runs the risk of a diagnosis being made, so the key questions are what trials are being carried out, what data protection do we have against Amazon collecting vast amounts of data, and what is the risk of misdiagnosis?
ParlaMint-GB_2019-07-16-lords.u51	The noble Lord makes very important points. It is important to understand that this is not a technology to offer advice or diagnosis. NHS Digital and NHSX have built an interface to connect the NHS website so that other organisations can make NHS information available on their own sites. That is so that a greater number of people can access NHS information. It has already been made available through a number of other examples such as NHS Go, which is designed to inform young people, accuRx and eConsult. No health data is collected by Amazon. No money is exchanged via this route and all data protection laws, such as GDPR and the NHS data protection rules, still apply. Data protection is still required to protect data through this system.
ParlaMint-GB_2019-07-16-lords.u52	My Lords, it is exciting to contemplate the new world of communication technology and how it might help in all kinds of ways, but the noble Lord, Lord Patel, has raised some important points. The NHS-Alexa partnership has to be seen in the context of Amazon’s ambitions for our wider healthcare industry. I seek assurance. I am sure that at the moment the data is being protected, but I want to know what will happen in the future. If Amazon collects yet more data on patients raising medical concerns, what use might be made of that in the future I do not know how other noble Lords are getting on with their Alexa in the corner of the sitting room, but ours regularly joins in with conversations and tells us very bad jokes. My granddaughter thinks it is wonderful because she knows what noise a unicorn makes, so I am not sure, as the noble Lord said, how that plays if one is trying to have a serious discussion about a medical condition.
ParlaMint-GB_2019-07-16-lords.u53	I thank the noble Baroness for that. I would be interested to know what jokes she has heard from Alexa in her family conversations. However, patients look on well-known search engines for medical advice and at the moment they may receive advice from all sorts of untested sources. NHS.uk is clinically based advice which has been approved by NHS England. The purpose of making that advice more available through the Open API, which is available through the developer system, is to ensure that that clinically based advice is more widely available and more readily searchable for patients. A reasonable point has been raised which is to ensure that the right advice reaches patients and that patients go through the right triage system, whether it is 111 or another system, but that is the intention of the programme. It will be carefully monitored and managed by NHSX, NHS England and the department.
ParlaMint-GB_2019-07-16-lords.u54	My Lords, there is a wider principle here. Even if effective, anonymised data is gathered and generated, where does the value lie in that data? Can the Minister tell us whether the Government have discussed and agreed with Amazon where the value lies and who gathers that value? On the overall principle, can the Minister tell us that when this data generates value, it is the NHS that benefits and not the private sector?
ParlaMint-GB_2019-07-16-lords.u55	Amazon is not sharing any of the information that it gathers from third parties. It is not selling products or making product recommendations based on health information, nor is it building a health profile on patients. It has strict technical and operational safeguards in place so that Amazon employees will not have direct access to information that can identify any person or account. As I have already said, it does not have access to any health data based on this contract. No health data is being shared between the NHS and Amazon. Just yesterday we launched some new data-sharing principles which are designed to improved clarity around health data-sharing between the NHS and private companies so that we can improve public and clinician confidence on this issue.
ParlaMint-GB_2019-07-16-lords.u56	The Minister has just given a very eloquent explanation of her view of the relationship with Amazon, but does she agree that it is a bit counterintuitive to assume that a company as big and commercially successful as Amazon is not getting some value from the relationship with the NHS? Can she explain what that value is?
ParlaMint-GB_2019-07-16-lords.u57	Amazon is seeking to ensure that it provides a service to its customers. In this instance, we have ensured that we have provided an open API: any company that chooses to develop a service linking to the information on the NHS website is able to do so. This is not an exclusive contract with Amazon. As I have already said, other companies are able to do so and some already have done. It is not a specific benefit for Amazon. It is something that other companies have already availed themselves of and is of benefit to the NHS and NHS patients.
ParlaMint-GB_2019-07-16-lords.u58	To ask Her Majesty’s Government what action they are taking to assist local communities in the Democratic Republic of Congo to deliver health advice on the Ebola epidemic, which has now spread to the city of Goma.
ParlaMint-GB_2019-07-16-lords.u59	My Lords, I beg leave to ask a Question of which I have given private notice.
ParlaMint-GB_2019-07-16-lords.u60	The UK has supported the response to the outbreak of Ebola in the Democratic Republic of Congo since it began in August 2018. UK aid has supported the full range of response and preparedness activities, including vaccination, surveillance, treatment and community engagement, including in Goma. The response is led by the Government of the DRC. On the ground, this must be a locally owned response with strong support from the international community.
ParlaMint-GB_2019-07-16-lords.u61	I thank the Minister for her response and for all that DfID and others are doing. If we are to prevent further spread of the disease, we need more grass-roots health education and disease prevention. My colleague, the Bishop of Hertford, is currently using his sabbatical to do just that, working through churches, local community leaders and faith groups, and his health educational material, translated into Swahili, is being delivered through the Anglican dioceses and by 800 Baptist pastors in every part of the DRC. Will the Minister explore how we can support this grass-roots work with indigenous leaders and communities, including the churches, and will she meet me to see how we can build on this initiative?
ParlaMint-GB_2019-07-16-lords.u62	I would be delighted to meet the right reverend Prelate the Bishop of St Albans to discuss this further. Of course, NGOs at the grass roots have a real role to play in helping to deal with this devastating situation. We value them and want to ensure that their contribution is maximised. It is excellent that the right reverend Prelate’s colleague is spending some time trying to do just that.
ParlaMint-GB_2019-07-16-lords.u63	My Lords, I too congratulate DfID and the Government on their work in combating this awful disease. On the radio this morning we heard about the success of vaccination, including the vaccination of 3,000 health workers. However, as the right reverend Prelate alluded to, there is huge resistance to extending that vaccination programme, which would halt the disease. It needs support. I know that the Government are giving financial support but what other support will they give to ensure that we widen the programme?
ParlaMint-GB_2019-07-16-lords.u64	One thing that the Government are doing—and must do more—is to break down the mistrust that prevents people going for treatment and vaccination in this area. The pastor who contracted Ebola in the Goma area has, regrettably, passed away. It would have been helpful if he could have sought medical treatment sooner. Therefore, my answer to the noble Lord’s question is that we must try to break down mistrust and to communicate and promote the sense in being vaccinated.
ParlaMint-GB_2019-07-16-lords.u65	My Lords, the Ebola outbreak in west Africa in 2016 resulted in the deaths of more than 11,000 people. The current trajectory of the growth of the disease in the DRC is massive compared with that outbreak in west Africa. It is truly frightening and is putting both Uganda and Rwanda at risk. There is almost no functioning state in eastern DRC—I know; I have been there—with corrupt, predatory and violent police, malicious stealing, and raping and killing at will. What is the Government’s response to the WHO’s plea to help fill the massive funding gap in the region? I know that the Minister said that we are helping, but how much are we helping to tackle the outbreak? Will the Government support the call for a ceasefire brokered by the UN to get at least six months’ respite to help stop the spread of Ebola?
ParlaMint-GB_2019-07-16-lords.u66	The noble Lord makes a very valid point—a ceasefire would be great. I cannot give him an accurate response but I will go away and find out what is being done to promote that—I am sure that people are trying to work towards it. The Secretary of State has announced more funding of up to £50 million because we should be committed and we should, and will, put that money in, but he wants it to act as a catalyst to others to act in the same way. My understanding is that when the Secretary of State made his speech, lots of reasons were given as to why the situation and the politics are difficult, but no reason was given for why people could not contribute more. I can give the whole House an assurance that the Secretary of State will not give up in his quest to get more people to put more money forward.
ParlaMint-GB_2019-07-16-lords.u67	Will my noble friend consult her colleagues in the Foreign Office? I think that excellent work is being done with vaccinations but there is a need for a political dialogue in eastern Congo to persuade people, through the local communities, that vaccination is not dangerous. There is a terrible fear of the needle—that it is bringing in the disease—so we need not just medical treatment but some psychological warfare, as I might call it, to persuade local leaders to encourage the take-up of vaccination.
ParlaMint-GB_2019-07-16-lords.u68	I can only agree with my noble friend about how important vaccination is. We know about its benefits and how safe it is. It is common for people to be afraid of needles, so it is not an easy matter. Perhaps I may take noble Lords back to the point that the right reverend Prelate made about the 800 pastors whom the Bill and Melinda Gates Foundation trained. They are working at grass-roots level to ensure that prevention is on the agenda—vaccination is a great contributor to that—and that the culture is changed. But I will take back my noble friend’s point regarding the Foreign Office and will see what I can do.
ParlaMint-GB_2019-07-16-lords.u69	My Lords, can the Minister assure the House that all the prevention and treatment programmes funded directly or indirectly by DfID are being delivered not in English and French, which have proved ineffective in the past, but in Swahili and the other three official community languages of the DRC?
ParlaMint-GB_2019-07-16-lords.u70	In preparation for the Question, I had to ask my officials what “francophone” meant, which reflects the point made by the noble Baroness. These things are indeed being done in other languages so that we can get the messages to people in the most effective way.
ParlaMint-GB_2019-07-16-lords.u71	My Lords, we are running the risk of being complacent. This disease, when we discussed it in the Chamber a few month ago, was confined to rural parts of the DRC, and we were hoping it would remain confined. It has now spread to Goma, a large city on the border with Rwanda and, as has been said, there are already cases in Uganda. I know that the WHO is responsible for surveillance but we are running the risk, as we did with Sierra Leone, that we will wait for the big outbreak to occur. We have in this country two of the greatest experts in the control of Ebola: Jeremy Farrar, director of the Wellcome Trust, and Professor Peter Piot. It is time this Government took the lead in trying to control the spread of the disease by using our own experts to advise.
ParlaMint-GB_2019-07-16-lords.u72	I must apologise to the noble Lord if he feels there is any complacency from the Government, or indeed that my answers have given him any reason to believe that. We are not, and will not be, complacent. We must use all the medical expertise at our disposal to get the message through to people; but we must also get to the grass roots to ensure that people are not frightened to take the message up. The noble Lord’s point is well made.
ParlaMint-GB_2019-07-16-lords.u73	The WHO has made it absolutely plain that one of the biggest health security risks across the world is a lack of qualified healthcare workers. As we see the potential for this disease to become no longer isolated to specific African countries, how is DfID working with our own Department of Health to ensure that we train more healthcare workers here and reduce our reliance on those from abroad when they are so desperately needed in other parts of the world? Perhaps the Minister can answer this question.
ParlaMint-GB_2019-07-16-lords.u74	Obviously, health security is critical. I can assure the noble Baroness that the Secretary of State, when he was in Geneva last week, made this a key part of his contribution to the wider audience. I can only agree, as can DfID and the whole Government, that the point she makes about training healthcare workers locally is the one we must follow.
ParlaMint-GB_2019-07-16-lords.u75	That the Bill be now read a second time.
ParlaMint-GB_2019-07-16-lords.u76	My Lords, with the leave of the House, I shall now repeat in the form of a Statement the Answer given by my right honourable friend the Chancellor of the Duchy of Lancaster and Minister for the Cabinet Office in another place yesterday. The Statement is as follows: “As my right honourable and learned friend indicates, this issue has a lengthy history. It was in July 2010 that Prime Minister Cameron announced Sir Peter Gibson’s inquiry into allegations that the United Kingdom had been implicated in the improper treatment of detainees held by other countries in the aftermath of 9/11 In December 2013, the Government published Sir Peter’s preparatory work and asked the Intelligence and Security Committee of Parliament to follow up on the themes and issues which that work had identified, to take further evidence and to make a report. At the same time, the Government said that they would, ‘take a final view as to whether a further judicial inquiry still remains necessary to add any further information of value to future policy making and the national interest’.—[Official Report, Commons, 19/12/13; col. 916.] In June last year, the Intelligence and Security Committee, its work having been interrupted by two general elections and the task of reconstituting the committee after those elections, published two reports: Detainee Mistreatment and Rendition: 2001-2010 and Detainee Mistreatment and Rendition: Current Issues In response to an Urgent Question from my right honourable and learned friend on 2 July last year, the Minister for Europe and the Americas, my right honourable friend the Member for Rutland and Melton, said that, in responding to the ISC reports, the Government would, ‘give careful consideration to the calls for another judge-led inquiry and will update the House’.—[Official Report, Commons, 2/7/18; col. 26.] The Government responded formally to the ISC on 22 November last year, and my right honourable friend the Prime Minister, in a Written Statement, said: ‘The Government continues to give serious consideration to the examination of detainee issues and whether any more lessons can be learned and, if so, how’ That serious consideration has included the question of a further judge-led inquiry As the House will understand, this has been complex work which has involved some of the most sensitive security issues. I confirm to the House today that the Government will make a definitive statement setting out their decision about a judge-led inquiry later this week and, at the same time, we will announce to the House our response to Sir Adrian Fulford’s recommendations on the consolidated guidance”.
ParlaMint-GB_2019-07-16-lords.u77	My Lords, I am so grateful to the Minister for repeating that Answer. I declare my interest as the former director of Liberty, which was formerly the National Council for Civil Liberties. Will the Minister join me in paying tribute to the right honourable Father of the House of Commons for a wholly principled and non-partisan position on that most absolute of human rights, the rule against torture? He spoke quite poignantly yesterday of the solemn promises for a judge-led inquiry that he gave in 2010 and 2012 as Justice Secretary in the former coalition Government. What greater tribute or gift could the outgoing Prime Minister, who was Home Secretary in that Government, give to the Father of the House of Commons on her way out than to grant his wish of the judge-led inquiry that so many have waited so long for?
ParlaMint-GB_2019-07-16-lords.u78	I join the noble Baroness in paying tribute to my right honourable friend Ken Clarke, who has pursued this issue with commitment for many years, not least because of undertakings he gave when he was Lord Chancellor in the coalition Government. I note her very strong wish that his campaign should be rewarded with the announcement of a judge-led inquiry later this week. The noble Baroness will understand that I cannot anticipate my right honourable friend’s Statement, but I know she will take into account the views that noble Lords express in this exchange.
ParlaMint-GB_2019-07-16-lords.u79	My Lords, can the Minister confirm that the Statement on a judge-led inquiry and the updating of the consolidated guidance promised yesterday by the Deputy Prime Minister will be an Oral Statement, as requested by the Speaker? Can he confirm on which day it will take place The sudden spurt of speed is welcome, but very belated. It is 17 years since the US rendition and torture in which the UK colluded began, and nine years since the Gibson inquiry was first set up. Is this because Prime Minister May fears that a Prime Minister Johnson would succumb to pressure from President Trump not to revive the inquiry? We have already heard only this afternoon that the Government have made no representations to the Trump Administration about that Administration’s child migrant detention Last year, the ISC was concerned to note that HMG, “has failed to introduce any policy or process that will ensure that allies will not use UK territory for rendition purposes without prior permission” It appeared to be quite concerned that the, “shift in focus signalled by the … US administration”, meant that, “reliance on retrospective assurances and the voluntary provision of passenger information”, was not “satisfactory”. Are these kinds of concerns now driving this welcome but slightly mystifying sudden promise of a Statement?
ParlaMint-GB_2019-07-16-lords.u80	I am not quite sure that the noble Baroness can complain about a sudden Statement when at the beginning of her question she complained about the length of time it has taken to reach a decision. In answer to her first question about whether the Statement will be oral or written, I cannot add to what my right honourable friend the Chancellor of the Duchy said yesterday in response to a request from the Speaker that it would be an Oral Statement: “I will make sure that your comment to that effect is faithfully reported to my colleagues in Cabinet, Mr Speaker”.—[Official Report, Commons, 15/7/19; col. 589.] I am afraid I cannot add to that I understand what the noble Baroness said about the length of time. This is an important and sensitive decision, as are any decisions involving intelligence and security, and requires careful analysis. In the exchange yesterday, my right honourable friend made it clear that, “the Prime Minister has been very clear that she regards it as her responsibility to ensure that the decision is taken and announced to Parliament before she leaves office”.—[Official Report, Commons, 15/7/19; cols. 590-91.] I might need to write to the noble Baroness on the other issues she raised, but Ministers must be involved in any case where an intelligence officer believes a detainee is at risk of mistreatment by a foreign state. The Ministerial Code obliges us to abide by international obligations such as the UN convention on torture and the ECHR.
ParlaMint-GB_2019-07-16-lords.u81	My Lords, given that this matter has been considered since at least July last year, and that we are to have a definitive Statement later this week, that must mean the Government know their position already. What is the procedural or substantive reason for not making a proper response to the Question before the House?
ParlaMint-GB_2019-07-16-lords.u82	Because I do not have it. My noble friend will know that there is a process to be gone through. The announcement yesterday was in response to an Urgent Question; it was not planned by the Government. The announcement planned by the Government will take place later this week, as announced by the Chancellor of the Duchy of Lancaster yesterday.
ParlaMint-GB_2019-07-16-lords.u83	My Lords, at a time when the UK needs to do all it can to boost its reputation for upholding the rule of law, and when it is possible that next week we will have a Prime Minister who has publicly condoned waterboarding, could the Minister reassure the House that any forthcoming Statement will be the result of examination of and statements from all witnesses to these practices?
