ParlaMint-GB_2019-10-30-lords.u1	To ask Her Majesty’s Government what is their policy on farm subsidies after 2020.
ParlaMint-GB_2019-10-30-lords.u12	My Lords, that is clearly for the Treasury and whoever is in the new Government, so at this stage I cannot say that to the noble and learned Lord. It will be for whichever Government are in office to decide on their spending commitments. What I am absolutely clear on is that this Government continue to support farmers in the way I have described and, if re-elected, that is the system which we will bring forward.
ParlaMint-GB_2019-10-30-lords.u13	My Lords, what support will there be for hill farmers, who I believe will suffer a 25% duty on lamb that is exported to the continent? Is the reimbursement of that 25%, or whatever it is, part of this support package?
ParlaMint-GB_2019-10-30-lords.u14	We think that there is a great future for British livestock farming. We will support the work of hill farmers, because of the enhancement to the environment in beautiful areas where pastoral farming has been so essential. We will support that sector, as I have said. As for the point about a loss, in securing the deal that we have, we will also then embark on a free trade arrangement with our EU friends and partners. I do not think that what the noble Lord has described will obtain.
ParlaMint-GB_2019-10-30-lords.u15	To ask Her Majesty’s Government what plans they have to introduce a single national system for recycling plastics in England to maximise efficiency and encourage participation.
ParlaMint-GB_2019-10-30-lords.u16	My Lords, the Government are committed to increasing recycling rates. The Environment Bill introduces legislation that will allow us to ensure that local authorities collect a core set of recyclable materials, including plastics, from households from 2023. We will also introduce measures to encourage producers to use plastic packaging that can be recycled. Together with the plastic packaging tax, these measures will reduce difficult to recycle packaging and promote the use of recyclable plastic.
ParlaMint-GB_2019-10-30-lords.u17	My Lords, while I am delighted that the establishment of an England-wide recycling system is now government policy, I am dismayed by the proposed delay until 2023. Does the Minister agree that, as soon as the powers in the Environment Bill are through, we should make an order setting out a single new system that could apply more or less immediately to most local authorities? That could include everything from plastic bottles to plastic pots, tubs and trays, as in the White Paper. Does he also agree that we need clear labelling of what can be recycled and, I suggest, an imaginative information campaign, so that frustrated housewives like myself, businesses and children in our schools know what to recycle?
ParlaMint-GB_2019-10-30-lords.u18	My Lords, I am as keen for action as my noble friend is and have asked similar questions myself. However, waste managers and local authorities will need time to install the necessary facilities and infrastructure, hence the start date, in its totality, of 2023. Currently, 100% of local authorities in England collect plastic bottles, and 78% collect plastic pots, tubs and trays. We can make progress already. We also agree that clear labelling is essential, and we will consult next year on final proposals because clearly, we must help to inform consumers better.
ParlaMint-GB_2019-10-30-lords.u19	My Lords, may I push the Minister on this? The year 2023 seems a very long way away. It is not as though this is a new idea; it has been trialled and talked about considerably over the last couple of years. We need action on this now. There is huge public demand for action on tackling plastics, so why are the Government not able to move this agenda along more quickly? This is a really important issue that the Great British public care about.
ParlaMint-GB_2019-10-30-lords.u20	I absolutely agree with the noble Baroness that we need to make progress on this issue. We have been stalling on recycling and need to do much better. But think of the materials that will be in this core set: plastics, glass, metal, paper, food waste and garden waste. For certain local authorities—one thinks of Newham, which, at 14%, has the lowest recycling rate in the country—we will have to ensure that they change their systems absolutely. I said that this will be comprehensive in 2023, but many local authorities are already undertaking good work on this.
ParlaMint-GB_2019-10-30-lords.u21	My Lords, is the Minister aware of the initiative to introduce plastic parks, which will use revolutionary British technology to convert unrecyclable plastics into hydrogen, as a fuel source, as well as to generate electricity?
ParlaMint-GB_2019-10-30-lords.u22	The noble Lord refers to the really important work that needs to proceed: research into how we move from a wasteful economy to a circular one. I absolutely endorse that we need to be working more on research. For instance, we are undertaking work on biodegradable and bio-based plastics and BEIS is considering those proposals. There are issues, however, and we do not want unintended consequences.
ParlaMint-GB_2019-10-30-lords.u23	My Lords, given the vast amount of plastic film used in food packaging, what are the Government doing to increase the amount available for recycling?
ParlaMint-GB_2019-10-30-lords.u24	Again, here, industry has a number of pressure points. One is the packaging tax—a new tax on plastic packaging—which will take effect from April 2022 and will apply to plastic packaging with less than 30% recycled content. There are a number of others, such as extending producer responsibility. We must not always knock industry because there are many examples of it seeking an alternative, such as plastic-free aisles and different sorts of packaging. I agree that one of the most frustrating things is that we cannot currently put plastic film in our recycling bins.
ParlaMint-GB_2019-10-30-lords.u25	I declare an interest as a director of Lotte Chemical UK, which is the principal manufacturer of polyethylene terephthalate or PET. I was surprised to hear the Minister say that many councils are now collecting used material and providing it for recycling, because Lotte Chemical is able to obtain only enough recycled material to form 10% of our finished products. We wish to increase that to about 28%. Does the Minister agree that the Government should concentrate on establishing a standardised recycling policy across the whole country rather than encourage the use of substitute materials, which can have more negative consequences?
ParlaMint-GB_2019-10-30-lords.u26	We sometimes need to be careful about unintended consequences, which is why we have considered biodegradable and bio-based plastics. Some 13.5 billion plastic bottles are used in the UK each year; the current household recycling rate for them is 70%. Thirty per cent is not good, but I will take back what my noble friend has said because that is quite a lot of bottles to recycle.
ParlaMint-GB_2019-10-30-lords.u27	What is being done to clear up the large number of plastic bottles and other containers that are discarded alongside rural roads?
ParlaMint-GB_2019-10-30-lords.u28	My Lords, it is a question of education and awareness. How do we discourage the one in five people in our great country who actually admit that they drop litter? I understand the pressures on local authorities and volunteers who, like me, pick up litter, but this situation is unacceptable. The truth is that we will crack this thoroughly only when everyone in the country, starting from the next generation, thinks that it is not acceptable to drop litter.
ParlaMint-GB_2019-10-30-lords.u29	To ask Her Majesty's Government what assessment they have made of the impact on patients of doctors having to curtail their hours because of the rates of tax they would incur due to the pensions regime in the National Health Service.
ParlaMint-GB_2019-10-30-lords.u30	My Lords, the Government recognise that pension tax may contribute to decisions by doctors to limit their NHS commitments. The NHS continues to work tirelessly to ensure that patients receive timely and appropriate care, so we are consulting on proposals to make the NHS pension scheme more flexible, so that doctors can continue to conduct vital NHS work while tailoring their pensions growth. The Treasury is also reviewing how the tapered annual allowance supports the delivery of public services such as the NHS.
ParlaMint-GB_2019-10-30-lords.u31	I thank the Minister for her reply and draw attention to my interests in the register. This problem goes back to 2016 but, as of this week, the BMA, the doctors trade union, revealed that a recent survey showed that 42% of GPs have already reduced their hours spent caring for patients and 30% of hospital consultants have already reduced their hours. There have been similar figures from the Royal College of Physicians. Doctors are attracting massive tax bills as a result of working harder to care for their patients; indeed, half are now retiring younger. I am afraid that the appearance is of a dilatory Government where infighting between HM Treasury and the Department of Health is taking precedence over urgent action to deal with this problem. Will the Minister encourage the Government to get a move on and get this sorted out before even more patient time is lost?
ParlaMint-GB_2019-10-30-lords.u32	I thank my noble friend for that very direct question. Our estimate is slightly different—that around one-third of GPs and consultants have earnings high enough to potentially be affected by the tapering of the annual allowance for tax-free pension savings. Not all clinicians are affected—it depends on the personal circumstances—but we accept that there is a need for urgent action in this area. That is why NHS employers have published guidance for short-term approaches that could have a mitigating effect on pension tax for the workforce this year and throughout the winter. We have also opened our consultation, which will close this Friday. We have already had 750 responses to it, and stakeholders are broadly supportive of the additional flexibility that has been proposed. We intend that flexibility to be available by April.
ParlaMint-GB_2019-10-30-lords.u33	My Lords, I apologise for asking another direct question. The results of a recent survey carried out by the Royal College of Surgeons of nearly 1,900 surgeons were that 68% of consultant surgeons are considering early retirement because of the pension tax situation, 64% have been advised to work fewer hours in the NHS and 69% have reduced the amount of time they spend working in the NHS. What effect does the Minister think that might have on surgical care?
ParlaMint-GB_2019-10-30-lords.u34	The noble Lord is exactly right to raise this issue and we have taken it very seriously. I have met the president of the Royal College of Surgeons to take on board his concerns. It is exactly why we have brought forward this consultation as a matter of urgency and why the department is making strenuous representations to the Treasury, which is reviewing the operation of the annual tapered allowance, and it is why we will continue to make those representations. However, it is also why we are taking other actions around elective surgery so as to reduce the pressure on surgeons up and down the country.
ParlaMint-GB_2019-10-30-lords.u35	My Lords, can urgent action be taken in respect of the doctors’ scheme without having an effect on other schemes of a similar nature?
ParlaMint-GB_2019-10-30-lords.u36	The noble Lord is quite right. We must make sure that we do not undermine the important benefits of the tax relief on contributions. It is one of the most expensive reliefs in the tax system, costing around £50 billion, around 60% of which was claimed by higher and additional-rate taxpayers. We will expect any review that comes forward from the Treasury to be targeted. An evidence-based approach will be adopted where there is evidence that any problems with the pension tax are affecting the delivery of front-line services, as we have found with the specific group of high-paying clinicians.
ParlaMint-GB_2019-10-30-lords.u37	My Lords, the noble Baroness will be aware that the royal colleges are all sounding alarm bells, and she is probably also aware that all our doctors serving in the Armed Forces are affected by exactly the same tax hits. The whole NHS workforce is in crisis and we really cannot afford to lose highly trained clinicians. The problem has been known to the department for some considerable time. Can she tell us exactly when the Government expect there to be a sensible, workable solution?
ParlaMint-GB_2019-10-30-lords.u38	As I said in an earlier answer, we are expecting the consultation proposals to be implemented in April. However, I reassure the noble Baroness that these proposals would also apply to clinicians working in the Armed Forces and in medical schools, provided they are in the NHS pension scheme. I hope she find that encouraging.
ParlaMint-GB_2019-10-30-lords.u39	My Lords, this is not just a problem for the NHS; it applies across the public sector—to senior people in the police, the fire service, the Army and elsewhere. It is a problem of the Government’s making. It was the Government who put a limit on the size of people’s pension pots and this is the unintended consequence. We are losing the most experienced, dedicated people. It is a false economy. My noble friend answers for the Government as a whole, not just on the health service, and it is not good enough to say that the Treasury is considering this matter. It has been brought up time and again, and it is time for the Treasury to admit that it made a mistake that is costing the public service dear.
ParlaMint-GB_2019-10-30-lords.u40	As usual, my noble friend speaks with alacrity and force. It has been made quite clear by the Treasury that it will look at the impact on front-line services across the system and not just in the NHS. I am of course speaking for the Department of Health and Social Care, but where sensible evidence is brought forward by other services, it will be looked at by the Treasury in its review.
ParlaMint-GB_2019-10-30-lords.u41	My Lords, is the Minister not aware that when she speaks from that Front Bench she speaks for the entire Government, not just for the department for which she works? Anybody speaking in this House as a Minister speaks for the whole Government. The noble Lord, Lord Forsyth, is entirely right: the idea that, although we know what the problem is, there will be no implementation until the spring is unacceptable. This has to be done much sooner than that.
ParlaMint-GB_2019-10-30-lords.u42	I apologise if I gave the noble Baroness the impression that there will be no action before the spring. NHS Employers has already published guidance for employers that would mitigate the effect of pension tax on their work force in this tax year. In addition, consultation is under way to allow measures to come into place in April. The Treasury is also looking at the effect of the allowance and taking further action with effect not just for NHS workers but for those who work across the public sector where there is evidence of an impact on front-line workers. I hope that that reassures the noble Baroness and the entire House.
ParlaMint-GB_2019-10-30-lords.u43	To ask Her Majesty’s Government what assessment they have made of the deal brokered by the government of Saudi Arabia in Yemen and the prospects for lasting peace there.
ParlaMint-GB_2019-10-30-lords.u44	My Lords, I beg leave to ask the Question standing in the name of the right reverend Prelate the Bishop of St Albans, who apologises for the fact that he cannot be in his place today.
ParlaMint-GB_2019-10-30-lords.u45	My Lords, the UK welcomes signs of progress through the Saudi-led talks to bring together the Government of Yemen and the Southern Transitional Council to reach a peaceful settlement following the clashes in Aden in August. This has further demonstrated the need for inclusive political talks through the UN-led peace process. The UK urges all parties to engage constructively with the UN special envoy Martin Griffiths to broker a sustainable peace for all of Yemen.
ParlaMint-GB_2019-10-30-lords.u46	My Lords, I thank the Minister for his response and I share his support for any initiative that brings peace to Yemen, but this deal brokered by the KSA brings only limited opportunities for a peaceful future in the region. After four years and seven months, almost 100,000 people have died—84,000 children from starvation, and 2,500 from cholera. What pressure are Her Majesty’s Government putting on Saudi and Emirati opposites to secure an immediate cessation to the wider war in Yemen?
ParlaMint-GB_2019-10-30-lords.u47	My Lords, the right reverend Prelate makes good points about the situation in Yemen. He mentioned cholera: 670,000 suspected cases were recorded in the past year. We must be clear that, from the outset, the only solution to the crisis in Yemen is a political one. A political settlement is the only way to bring long-term stability to Yemen and address the worsening humanitarian crisis. We continually put pressure on our colleagues and the various people involved in the conflict to agree and stand by the UN Security Council special envoy Martin Griffiths, who is currently discussing with the parties the timing and details of the next round of peace talks. In the meantime, it is vital that all parties abide by agreements made in Stockholm and work with the special envoy to continue to build confidence and make progress on the political situation.
ParlaMint-GB_2019-10-30-lords.u48	My Lords, the Minister is absolutely right: we seek peace for the whole of Yemen. We also know that to bring about a political solution we have to exercise some leverage. One of the problems we have is that British arms are being used by the Saudis in this war, in which many children and families have suffered. Despite the arms embargo, there have been three breaches of licences to the Saudis, so will the Minister ensure that the Government uphold a strong forceful position on arms to Saudi Arabia?
ParlaMint-GB_2019-10-30-lords.u49	My Lords, I am glad that the noble Lord has brought up the subject of arms sales to Saudi Arabia. My right honourable friend the International Trade Secretary commissioned a full and urgent investigation as soon as the breach was discovered and has apologised to the court. As the noble Lord and the House are also aware, the key test is in criterion 2c of the consolidated EU and national arms export licensing criteria, which considers whether there is a clear risk that the items to be exported might be used in the commission of a serious violation of international humanitarian law. In addition, while we are considering the implications of the judgment for decision-making on arms sales, we will not grant any new licence for exports to Saudi Arabia and other members of the coalition for items that might be used in the conflict in Yemen. The existing arms licences are under review.
ParlaMint-GB_2019-10-30-lords.u50	My Lords, following on from the question from the Benches opposite, could my noble friend outline the detail and the value of all arms sales to Saudi Arabia since the Court of Appeal decision in June this year that deemed many of those sales unlawful? If he does not have that information to hand today, which he may not, will he commit to writing to me and putting a copy of that letter in the Library?
ParlaMint-GB_2019-10-30-lords.u51	My Lords, my noble friend asks me a question about the value of arms sales to which I do not have the answer. I will write to her and place a copy in the Library. As I said before, though, the important issue is that these arms are not used against international humanitarian law. The fact is that we do this by studying them and making sure that they comply with criterion 2c.
ParlaMint-GB_2019-10-30-lords.u52	My Lords, notwithstanding the agreement that has been referred to so far, the fact is that the conflict between the coalition and the Houthis remains deadlocked but there have been some reports that the Houthis have offered to desist from aerial attacks into Saudi Arabia. Is the Minister aware of such reports? Has he any understanding as to whether or not they are accurate? If so, what is his assessment of the capacity of that to help to bring about a comprehensive ceasefire?
ParlaMint-GB_2019-10-30-lords.u53	My Lords, the noble Lord, Lord Campbell, mentioned attacks from inside Yemen into Saudi Arabia. Responsibility for these attacks was claimed by the Houthis. It is understood that they most probably do not actually have the ability to launch such attacks. The fact is that what we have to look at is the arms supply coming out of Iran to the Houthis. Iran must comply with the UN Security Council in banning all imports of arms to the Houthis in Yemen.
ParlaMint-GB_2019-10-30-lords.u54	That Standing Orders 46 (No two stages of a Bill to be taken on one day) and 48 (Amendments on Third Reading) be dispensed with today to allow the Early Parliamentary General Election Bill to be taken through its remaining stages and to allow manuscript amendments to be tabled and moved on Third Reading.
ParlaMint-GB_2019-10-30-lords.u55	My Lords, on behalf of my noble friend the Leader of the House, I beg to move the first Business of the House Motion standing in her name on the Order Paper. It will not have escaped the House’s attention that last night the House of Commons completed all stages of a short Bill to provide for an early general election. The Bill had its First Reading in this House last night and we will take all its remaining stages today. The Bill’s Second Reading will start immediately after these procedural Motions. A speakers’ list has been printed and there is an advisory speaking time of five minutes. The Legislation Office will now accept amendments for Committee. It will stop accepting them 30 minutes after the conclusion of Second Reading. The timings for Committee and the remaining stages will be confirmed via the annunciator. A revised Today’s List will be issued with any amendments and groupings. I beg to move.
ParlaMint-GB_2019-10-30-lords.u56	That Standing Order 40(4) and (5) (Arrangement of the Order Paper) be dispensed with on Thursday 31 October so far as it is necessary to enable notices and orders relating to Public Bills and Affirmative Instruments to have precedence over other notices and orders that day; and that, in the event of the Northern Ireland Budget Bill being brought from the House of Commons and read a first time, Standing Order 46 (No two stages of a Bill to be taken on one day) be dispensed with to allow that Bill to be taken through its remaining stages that day.
ParlaMint-GB_2019-10-30-lords.u57	My Lords, on behalf of my noble friend the Leader of the House, I beg to move the second Business of the House Motion standing in her name on the Order Paper. The second Motion relates to tomorrow. It will allow us to pass the Northern Ireland Budget Bill, which is likely to be certified as a money Bill, in one day and adjust the order in which other business is taken. A speakers’ list for the Northern Ireland Budget Bill’s Second Reading is now open. Noble Lords will have until 6 pm this evening to add their names. The important debate on the Phase 1 report from the Grenfell inquiry will be taken in the Chamber after the Northern Ireland Budget Bill and debates on two statutory instruments. The debate on international development will not take place tomorrow. This Business of the House Motion ensures that essential legislation on public expenditure in Northern Ireland can reach the statute book before the Dissolution of Parliament. I beg to move Amendment to the Motion
ParlaMint-GB_2019-10-30-lords.u58	To leave out the words “to be taken through its remaining stages that day” and replace with the words “and the Historical Institutional Abuse (Northern Ireland) Bill [HL] to be both taken through their remaining stages that day”.
ParlaMint-GB_2019-10-30-lords.u59	My Lords, this manuscript amendment concerns historical institutional abuse involving hundreds or maybe thousands of children and going back decades. This Bill received its Second Reading with unanimity on Monday. It went through the House in an hour less than was originally allocated—half the time—and had cross-party support. There is no argument about the principle of it. I spoke to the Secretary of State this morning. He supports it and wants to see it go through before Parliament is dissolved. I know that the noble Lord, Lord Duncan, who is an excellent Northern Ireland Minister, wants the same thing. This is supported right across the House; we want to see this concluded An inquiry reported on this in 2012—seven years ago. Three years ago, a final report recommended levels of compensation and the basis for the Bill. That was three years ago and it was logjammed by the failure of the Northern Ireland Assembly to sit since then. This House should take the lead in taking the Bill through its remaining stages and it should then go back to the Commons to complete its remaining stages and receive Royal Assent before Parliament is dissolved. The victims of historical institutional abuse—terrible child abuse, sexual abuse and violence—need redress. There is no argument about the principle. The business managers have not so far found space to do this. We have to help them do so by passing this manuscript amendment. I hope I do not have to divide the House, but if I have to, I am afraid I will, because this is crucial. I am told that there is no time because MPs want to go back to their constituencies. I was an MP for a quarter of a century. I understand that but, frankly, tough. They should stay on, either well into the night tomorrow, sit on Friday morning, or come back as originally envisaged on Monday or Tuesday to complete this. These remaining stages could go through in less than an hour tomorrow. The same would be true in the House of Commons. I have also spoken to the shadow Secretary of State, Tony Lloyd. He says that there is complete support for it there as well. We should do this now and it should go back to the Commons if necessary. I was Leader of the Commons for two years. A Business Motion could go down in the Commons to say that at least the First Reading could be taken tomorrow after we had completed all the stages here expeditiously. It could then go into the wash-up and the victims of historical abuse in Northern Ireland could get the redress they have waited for decades for. I beg to move.
ParlaMint-GB_2019-10-30-lords.u60	My Lords, I strongly support the amendment in the name of the noble Lord, Lord Hain. We had the Second Reading of the Historical Institutional Abuse (Northern Ireland) Bill in this House on Monday. There was unanimity in this House, and there is unanimity among every party in Northern Ireland There is a humanitarian issue. I said during my remarks on Monday how cruel it would be, having got to this stage, yet again to steal away another opportunity to do justice to these people who have suffered an enormous amount of abuse. The inquiry covered 1922 to 1995. Anyone who has read any of it knows that it is a horror story of horror stories. Since the report came out, more than 30 of these victims have died through natural causes. These victims are being hit again and again. How can it possibly be that, due to some procedural minutiae, we thwart the delivery of this compensation, which everyone—here and in Northern Ireland—agrees should be given? I see this as a humanitarian, not a political, issue. There is no politics in this because everybody agrees I appeal to the business managers to revisit this. I spoke to the Secretary of State for Northern Ireland yesterday. He is obviously sympathetic, but he is in the hands of the business managers, as we all are in this situation. I appeal to noble Lords: surely to goodness, on the basis of helping these people after what they have suffered, we can put ourselves out a little, since they have suffered for decades. I strongly support the noble Lord, Lord Hain, and if the House divides I shall be in the Lobby along with him.
ParlaMint-GB_2019-10-30-lords.u61	My Lords, these Benches also support the manuscript amendment from the noble Lord, Lord Hain. I repeat that there is unanimity in this House and complete agreement across all the Northern Ireland parties. This can be done very quickly. It would be a travesty for a procedural block to be put on something positive that the Westminster Parliament can do in agreement with the politicians of Northern Ireland together. The plea really is preferably not to have a Division, but I look to what the Lord Privy Seal says. The business managers really should be able to find time for this. If there is a Division, these Benches will support the noble Lord, Lord Hain.
ParlaMint-GB_2019-10-30-lords.u62	My Lords, we had this debate on Monday, when everybody spoke in support. It would be a very good idea if this not most glorious of Parliaments ended on a note of constructive compassion towards those who have suffered for so long in Northern Ireland. There is absolutely no reason why this Parliament should not sit on Monday and Tuesday of next week. It would take very little time to get this through. Dates have become too sacred recently, and cannot always be met, but this is something that can be met. I hope that there will be no need for any Division, and that my noble friend will indicate that time will be found. When he spoke on Monday, very movingly, my noble friend Lord Duncan of Springbank, an exemplary Minister in every way, made it plain that he would like the Bill on the statute book before the end of this Parliament. Of course, he did not know that we were going to have such accelerated progress yesterday, but there is no just cause or impediment that means this should not be put on the statute book before this Parliament is dissolved. I hope my noble friend will be able to respond positively to the point made by the noble Lord, Lord Hain, and supported by many others.
ParlaMint-GB_2019-10-30-lords.u63	My Lords, we are deeply sympathetic to the aim of getting the Bill on to the statute book. However, although I am in danger of sounding like a heartless bureaucrat, the usual channels in this House work very well, and it is very much against the established traditions of the House to support Back-Bench or other non-government Motions that are on government time, and this Motion may not help Having said that, let me make it clear that the Bill in question is vital for those who have suffered historical institutional abuse in Northern Ireland to get compensation. If the Bill does not pass, it will cause great anguish in Northern Ireland. It is vital that it is done as soon as possible, because many of those affected are old. Many have already passed away, so every week counts. We are aware of all those in Northern Ireland waiting for it to become law. We want to see it become law as soon as possible. I know that my noble friend Lord Murphy, whose record on Northern Ireland stands second to none, was clear about our support for the Bill from these Benches at Second Reading, and that it should pass quickly, as there was cross-party support. Like others, I pay tribute to the noble Lord, Lord Duncan, who has made superhuman efforts on this issue and, unfortunately, has not so far succeeded. We want to see the Bill become law as soon as possible There is great uncertainty around. We are aware of rumours that Parliament may finish for the general election as early as tomorrow evening, yet the uncertainty continues. I do not like to bring a note of contention into it but, given its cross-party support, the finger of blame for not passing the Bill will lie squarely with the Prime Minister. It can still be done I am asking my colleagues to abstain on the amendment in the name of my noble friend Lord Hain, purely as a matter of process.
ParlaMint-GB_2019-10-30-lords.u64	Oh!
ParlaMint-GB_2019-10-30-lords.u65	Difficult things have to be said. It is not for us to support such non-government Motions in government time. However, I agree with the sentiments of the Motion, as we all do on these Benches. We are willing to work with the Chief Whip and have further discussions, as we have had all week, to find creative ways to get the Bill to the Commons as early as possible. Is the Chief Whip willing to meet me, and my noble friends Lord Murphy and Lord Hain, to investigate any method by which we can get the Bill through? Can the noble Lord provide the House with any more information about Parliament rising for the election?
ParlaMint-GB_2019-10-30-lords.u66	Certainly, on this issue there is, as the noble Lord, Lord Empey, has said, total unity of purpose among all the political parties in getting this Bill on to the statute book. It is not easy, in Northern Ireland, to get all the parties to agree to anything, but they are in total unity about getting Royal Assent for this Bill. We heard late last Monday that all stages of this Bill would be done: that is certainly my belief and that of some of my colleagues. If this Bill falls because of a general election there will be great hurt out there among the victims. They have waited many years for justice and at the last second it will be taken away from them. That is absolutely wrong We have a mind to support the Motion from the noble Lord, Lord Hain, this afternoon. We do not want to divide the House; we would rather find a mechanism that gets the Bill over the line. I understand that the noble Lord, Lord Duncan, has been talking to the business managers and has excelled himself in trying to find a way through all this, but that he has found it very difficult. If a mechanism is not found we may be left with no choice, this afternoon certainly, but to divide the House and support the Motion from the noble Lord, Lord Hain.
ParlaMint-GB_2019-10-30-lords.u67	I am sorry to intervene yet again, but it has just been confirmed that Parliament will sit next Monday and Tuesday. Does that not give us all the opportunity to get the Bill done?
ParlaMint-GB_2019-10-30-lords.u68	My Lords, I am very grateful to the noble Lord, the Opposition Chief Whip, who confirmed that the usual channels are working well. I am always happy to talk to him—as we have done in the past few days The amendment from the noble Lord, Lord Hain, would raise the possibility of taking the remaining stages of the historical institutional abuse Bill tomorrow as well. I acknowledge the comments from around the House and the way the noble Lord, Lord Hain, set out his manuscript amendment. I assure the House that the Government take seriously the issues that the Bill addresses and are fully committed to delivering the compensation scheme. The importance that we attach to it is demonstrated by the fact that it was one of the first Bills introduced after the Queen’s Speech, and the Second Reading was on Monday As a consequence of the decision by the House of Commons to have an early general election, however, parliamentary time is now very limited. Unfortunately, there is simply not enough time for the Bill to pass through both Houses before Dissolution on 6 November. The Bill has only had its Second Reading in this House, and even if it were to go through all three remaining stages in this House it would still have to be considered by the House of Commons. Although I agree with the noble Lord, Lord Hain, that this Bill has cross-party support, I am sorry that, on the grounds of practicality, I cannot agree to the noble Lord’s request. I ask him, therefore, to withdraw his amendment.
ParlaMint-GB_2019-10-30-lords.u69	Before the noble Lord sits down, my noble friend the Opposition Chief Whip has said that the news from the other end has changed, and we are now not going to prorogue on Thursday night, in which case there is a lot more time at the other end than was previously thought. Will the noble Lord, the Chief Whip, tell us, therefore, what the situation is with regard to Dissolution and the time available to deal with this legislation?
ParlaMint-GB_2019-10-30-lords.u70	One thing I have found since I started this job very recently is that it is a full-time task keeping up with the business of this House, let alone that of the House of Commons: that is not in my gift. If it is true, however—I have not been informed about it yet—then the House of Commons has more time than if we had adjourned on Thursday, so more time for this Bill is certainly a possibility. I cannot, however, make decisions about House of Commons timing while on my feet at the Dispatch Box. I am perfectly happy to talk to the usual channels, as I did before, but this is not the time and place to accept the noble Lord’s amendment.
ParlaMint-GB_2019-10-30-lords.u71	My Lords, I am sorry for once again intervening, but in view of that, we now have the time. The Government say that it is a priority. To quote someone else, let us get the job done. I now change the whipping on this side of the House.
ParlaMint-GB_2019-10-30-lords.u72	Oh!
ParlaMint-GB_2019-10-30-lords.u73	We will support my noble friend Lord Hain’s amendment.
