ParlaMint-GB_2019-04-30-commons.u1	1. What steps his Department has taken to promote youth entrepreneurship.
ParlaMint-GB_2019-04-30-commons.u28	I thank the Secretary of State for that reply and commend him for his approach. Boosting productivity is the declared objective of the industrial strategy, but it is plummeting at the moment due to Brexit uncertainty. Does he agree that it is absolutely essential that we get an early Brexit deal that delivers both a customs union and frictionless market access to the EU, because otherwise it is doomed to failure?
ParlaMint-GB_2019-04-30-commons.u29	I am a bit more optimistic than the hon. Gentleman in that respect, not least because of the announcement just yesterday from the Advanced Propulsion Centre, which he knows very well, about the opportunity of nearly £5 billion for manufacturers, including in the west midlands, to participate in the growing market for electric vehicle batteries. It is therefore crucial that we drive productivity forward. He will also know of the work that Jürgen Maier is leading, as part of the Made Smarter Review, to capitalise on the opportunities. However, as I have always been clear with the House, we can best advantage those manufacturers if they are able to continue to trade freely and without frictions with the European Union.
ParlaMint-GB_2019-04-30-commons.u30	Can the Secretary of State confirm that the Government have held discussions with a range of businesses, including those with complex customs requirements and those that export and trade mainly with the European Union, in formulating all their plans?
ParlaMint-GB_2019-04-30-commons.u31	I and my colleagues meet very regularly—every day—with businesses in all sectors and in all parts of the country. I think that there is a strong feeling in the business community that we need to bring to a resolution the question of our future relationship with the European Union. The longer this situation goes on, the more attractive investment decisions are put on hold, and they could be creating jobs now.
ParlaMint-GB_2019-04-30-commons.u32	The most recent quarterly economic survey from the North East England chamber of commerce shows a reported mark-down in sales and exports from the north-east. It states: “We frequently hear from members that uncertainty over Brexit is delaying investment and hiring decisions for their businesses and their customers.” What specific north-east-focused steps are the Government taking to ensure that the north-east business community and local jobs will not be affected by that, given that the Government’s own analysis shows that any Brexit outcome will affect the north-east the hardest?
ParlaMint-GB_2019-04-30-commons.u33	One specific north-east-focused step is to invite the hon. Lady to vote for the deal that has been put before the House.
ParlaMint-GB_2019-04-30-commons.u34	The steel industry is, rightly, a key part of the industrial strategy. In that context, what early discussions has the Secretary of State had on the steel charter and the key asks contained within it?
ParlaMint-GB_2019-04-30-commons.u35	The discussions that we have had are intended to ensure that the steel sector, which is of fundamental importance to this country, can benefit from some of the manufacturing opportunities that we have talked about. As we expand our production of vehicles, as I hope we will do, there will be a strong requirement for steel, and through the proposed strategy we will ensure that that is supplied with British steel.
ParlaMint-GB_2019-04-30-commons.u36	The Secretary of State’s industrial strategy states that manufacturing is crucial to the economy and promises to support businesses to access international markets and drive up exports. However, according to Make UK, stockpiling in the UK is now the highest of any G7 nation ever, as manufacturers try to protect themselves from Brexit uncertainty. Chambers of commerce across the country report falls in cash flow because money tied up in stock is not available to drive exports or pay wages. Cash flow is the lifeblood of manufacturing and the cause of up to 90% of business failures. Whatever the eventual outcome of the Government’s Brexit shambles, British manufacturers must be in business to meet its challenges, so will he now commit to providing financial support?
ParlaMint-GB_2019-04-30-commons.u37	The hon. Lady quotes Make UK. The chief executive of Make UK, with whom I meet almost every week, has said: “Make UK has consistently supported the Government’s withdrawal agreement as it removes the risk of no deal and delivers a sensible transition period which is vital for the needs of manufacturers.” I think the hon. Lady and I have a joint view on the importance of manufacturing, not least in the north-east. I hope that she will have the flexibility and pragmatism to come together—I am talking to her colleague the shadow Secretary of State—and agree a way forward in line with what Make UK recommends.
ParlaMint-GB_2019-04-30-commons.u38	4. When his Department plans to publish its smart export guarantee proposals for new solar households.
ParlaMint-GB_2019-04-30-commons.u39	The smart export guarantee will pave the way to a smarter, more flexible energy system and ensure small-scale low-carbon generators are paid for the electricity they export to the grid. Yesterday, we published a consultation on the SEG draft licence conditions. We intend to start the legislative process for the smart export guarantee before the summer recess. There are already encouraging signals from the market and suppliers are beginning to voluntarily offer smart export tariffs.
ParlaMint-GB_2019-04-30-commons.u40	I think a lot of people in the sector will feel that the delay is not acceptable. Does the Minister agree that the Government must mandate a fair minimum floor price to prevent suppliers from taking advantage of solar households and other small-scale solar generators? The energy price cap is there to ensure suppliers sell power at a fair price. We need a similar mechanism to ensure they purchase at a fair price, too.
ParlaMint-GB_2019-04-30-commons.u41	That will be part of the consultation. We will set out our final proposals for the guarantee as soon as possible—as I said, before the summer recess. In the meantime, the right signals are already emerging. Energy suppliers are voluntarily bringing forward smart export tariffs.
ParlaMint-GB_2019-04-30-commons.u42	As we have heard, rather than publish a smart export guarantee that actually works, the Tories plan to further stifle the industry by hiking VAT on solar. Is it not time that the Minister’s Government stopped the Tory war on renewables and started taking climate change seriously by following the leadership of Scotland’s First Minister and declaring a climate emergency?
ParlaMint-GB_2019-04-30-commons.u43	The hon. Gentleman fails to mention the success story that is solar photovoltaic. Over the past eight years since May 2010, under the coalition Government and this Government, 99% of capacity has been deployed. That is 49% of the total investment in the EU. We have installed more than twice as much solar capacity as any other European country—more than Germany, France and Australia combined. That is something he should welcome rather than talk down.
ParlaMint-GB_2019-04-30-commons.u44	The Minister has his head in the sand over climate change. Last week, the Business, Energy and Industrial Strategy Committee concluded that the UK could not credibly adopt a net zero emissions target without greater investment in new technologies. If the Tories will not act, when will they devolve the powers to Scotland, so the Scottish Government can show them how to do it?
ParlaMint-GB_2019-04-30-commons.u45	On the net zero target, we will obviously wait on the Committee on Climate Change report, which will be published on Thursday 2 May. I am sure the hon. Gentleman welcomes the Government’s success story on solar capacity and renewables. In comparison with the early 1990s, emissions have come down by 40% while the economy grew by 72%. There is more to do—there will always be more to do—but we are on the right track and doing the right thing. Solar capacity has reached 30 GW, compared to an estimate of 10 GW to 12 GW. We continue to ensure we exceed our targets.
ParlaMint-GB_2019-04-30-commons.u46	5. What steps he has taken to promote the use of sustainable packaging.
ParlaMint-GB_2019-04-30-commons.u47	The Government are committed to building a globally competitive and sustainable packaging industry through research and innovation. As we announced in the UK’s first bioeconomy strategy at the end of last year, we are providing up to £60 million to transform the plastics economy through the industrial strategy challenge fund, so that we can establish the UK as the world’s leading innovator in smart, sustainable packaging.
ParlaMint-GB_2019-04-30-commons.u48	The Government’s response to plastic use has been woeful, with a 4% increase in plastic use just last year. There is now more plastic in our oceans than fish. In the light of this environmental calamity, will the Government make a new commitment to ensure that only organic-based packaging material is in place, with no more plastics by 2025?
ParlaMint-GB_2019-04-30-commons.u49	The UK has committed to being a global leader on this topic. We have already taken more than 15 billion plastic carrier bags out of the economy, we are consulting on a deposit return scheme and we have introduced proposals for a world-leading new tax on plastic packaging that does not meet minimum thresholds. There is always more that we can do, but there is an awful lot that we have already done.
ParlaMint-GB_2019-04-30-commons.u50	Does the Minister recognise the contribution of the UK packaging manufacturing industry, which has annual sales of £12 billion, employs 85,000 people and makes up 3% of the UK manufacturing base, in working closely to increase the percentage of recycled material by using innovative new technologies and materials?
ParlaMint-GB_2019-04-30-commons.u51	I thank my hon. Friend for that question. The UK plastics industry is vital to our economy, employing more than 170,000 people. This new challenge for the sector allows it to create new jobs as it embraces our challenging targets and ambitions in this area.
ParlaMint-GB_2019-04-30-commons.u52	20. The UK plastics pact is an important part of our achieving a circular economy and preventing plastics from ending up in our oceans. However, one year into this seven-year commitment, we still do not have the information on whether the warm words have been matched by firm action. Will the Minister introduce transparent benchmarking and reporting mechanisms, so that we can all hold the Government and the plastics industry to account?
ParlaMint-GB_2019-04-30-commons.u53	Most major supermarkets are signatories to that pact, and we have certainly seen some go further than others. A lot of lessons can be learned. It is a mixed picture at the moment, so I am certainly keen to keep this area under review. I particularly praise Morrisons, which has come out with a range of things on this, but there are many other supermarkets available that are working hard on this topic. We all have to work together on this—consumers, business and the Government.
ParlaMint-GB_2019-04-30-commons.u54	6. What recent progress he has made on meeting the Government’s ambition to make the UK the best place to start and grow a business.
ParlaMint-GB_2019-04-30-commons.u55	To encourage the next generation of innovative entrepreneurs, our modern industrial strategy announced the biggest increase in public research and development funding on record—an extra £7 billion by 2021-22. We have also launched an independent review of the barriers facing young entrepreneurs, and we have published a review of the barriers facing female entrepreneurs.
ParlaMint-GB_2019-04-30-commons.u56	I very much welcome that answer, and I very much welcome the Minister on his debut appearance at the Dispatch Box. I would also very much like to welcome him to Windsor, where residents of the royal borough have the lowest council tax in the country and residents of Bracknell Forest have low council tax but also high-quality services. That is why so many talented people come to Windsor to live and work. Will the Minister join me in recognising the good work of the Thames Valley Berkshire local enterprise partnership and the two key local authorities in making the Windsor constituency a great place to live, work and, above all, to start and run a business?
ParlaMint-GB_2019-04-30-commons.u57	I agree with my hon. Friend and welcome his support for the good work of the Thames Valley Berkshire LEP and his local councils. My officials will work with his LEP and its local authority partners to produce a local industrial strategy for Berkshire that will boost productivity and support business start-ups. That is in addition to the £142 million local growth fund investment that we have already made in the county.
ParlaMint-GB_2019-04-30-commons.u58	Similarly, in my constituency, young entrepreneurs trying to set up businesses, particularly in the digital sector, face a real shortage in the availability of electricity through the district grid—an issue identified by my local LEP. Will the Minister agree to meet me and the LEP to see what can be done to improve the situation?
ParlaMint-GB_2019-04-30-commons.u59	We are working closely with LEPs on this issue, but I will be more than happy to meet the hon. Gentleman.
ParlaMint-GB_2019-04-30-commons.u60	To be the best place to grow and start a business means having consistent rules and regulations. My brilliant local Medway Licensed Taxi Drivers Association has raised a real concern about Uber operating in Medway without having the same rules and regulations as association members. Will the Minister meet me and that brilliant association to look at those rules and regulations, to ensure that they are fair? I declare an interest: I have relatives in that trade.
ParlaMint-GB_2019-04-30-commons.u61	My hon. Friend is a huge champion of his constituency, and particularly its small businesses. That meeting would probably be more appropriate with the Minister for small business, the Under-Secretary of State for Business, Energy and Industrial Strategy, my hon. Friend the Member for Rochester and Strood (Kelly Tolhurst), and I am sure that she will be happy to take such a meeting.
ParlaMint-GB_2019-04-30-commons.u62	Does the Minister agree that after our eventual departure from the EU the growth of more small businesses and the expansion of existing small businesses, freed from bureaucracy, will be central to the economy of the entire United Kingdom, including Northern Ireland?
ParlaMint-GB_2019-04-30-commons.u63	Small businesses are the backbone of our economy. I was proud to be a small businessman myself, employing eight people, in my life before politics. We are ranked in the top 10 globally as a place to do business, and this Government will continue to do everything they can to support small business.
ParlaMint-GB_2019-04-30-commons.u64	7. What steps he has taken to reduce methane leakages as a result of fracking.
ParlaMint-GB_2019-04-30-commons.u65	The UK has many years of experience regulating the onshore oil and gas industry, and measures are in place to minimise methane emissions. The Environment Agency issues and robustly enforces legally binding environmental permits regulating methane emissions. Under these permits, operators must have an agreed gas management plan to detect leaks and make repairs over the lifetime of site operations. They must also monitor emissions before and during shale gas operations.
ParlaMint-GB_2019-04-30-commons.u66	The Minister will know that NASA and satellite data show that 5% of the methane from fracking is leaked through fugitive emissions and that methane is 85 times worse than carbon dioxide for global warming, which makes fracking worse than coal for climate change. Will he meet me to discuss my fracking Bill, instead of listening to Jim Ratcliffe, the richest man in Britain, from Ineos, who is hellbent on Brexit to avoid the environmental controls on fracking currently imposed by the European Union?
ParlaMint-GB_2019-04-30-commons.u67	I would be happy to meet the hon. Gentleman and I would emphasise his comment about feeding in space data research. It highlights the importance of the UK space industry in looking at environmental issues. The Government also have a grant funding and environmental monitoring programme led by the British Geological Survey in respect of shale gas sites. All the information for that is publicly available. I also note that the MacKay-Stone 2013 report concluded that the carbon footprint of UK shale gas would be much less than that of coal and comparable to that of imported liquefied natural gas.
ParlaMint-GB_2019-04-30-commons.u68	There is no fracking in Scotland, there has been no fracking in Scotland and, under the SNP, there will be no fracking in Scotland. If we going to be serious about the climate emergency, there should not be fracking anywhere in the United Kingdom, so will the UK finally follow Scotland’s lead and rule out fracking on these islands?
ParlaMint-GB_2019-04-30-commons.u69	Unfortunately, residents and households in Scotland still need to use gas, given that 85% of UK households use gas for heating, and it is right that we look at opportunities to meet our energy demand. Some 47% of gas was imported in 2017, but if we do not take action, this could rise to 72%. We want to increase our opportunities for generating electricity through renewables. In quarter 3 of 2018, just 2.5% of electricity was generated by coal, compared with 40% in 2010, so we are going in the right direction, but we cannot forget that people will be using gas in Scotland.
ParlaMint-GB_2019-04-30-commons.u70	8. What recent steps he has taken to promote international collaboration in the science sector.
ParlaMint-GB_2019-04-30-commons.u71	As announced in the spring statement, I have invited Professor Sir Adrian Smith to provide independent advice on potential future funding schemes in the context of the UK’s future ambitions for European and international collaboration on science and innovation. I also look forward to welcoming delegations from over 50 countries to the EUREKA global innovation summit in Manchester this May.
ParlaMint-GB_2019-04-30-commons.u72	Our world-class scientists collaborate across the world, with the EU and beyond, and that collaboration is vital for further research and innovation in this country. Horizon 2020 is a ready-made platform for that collaboration. Will my hon. Friend commit to joining the Horizon 2020 programme as we leave the EU?
ParlaMint-GB_2019-04-30-commons.u73	The Government have committed to guaranteeing all existing Horizon 2020 projects before Brexit. That was issued in August 2016 and demonstrated the Government’s commitment early on to protecting our scientific partnerships. We then had the underwrite extension in July 2018 which said that even once we had left the European Union—for two years up until December 2020—we would commit to funding those projects for the lifetime of the projects. We are now moving into negotiations on Horizon Europe, which is the successor scheme to Horizon 2020. I took part in the EU Competitiveness Council in February—I hope also to attend on 28 May—and it is our ambition to associate into Horizon Europe. On investment, my hon. Friend will be well aware that through our world-class universities we put in £4 billion and got back £5.7 billion in investment.
ParlaMint-GB_2019-04-30-commons.u74	Even at the height of the cold war, there was a surprising level of collaboration between Russian and UK nuclear physicists. Will the Minister assure me that there will be similar collaboration when it comes to the skills that we have in the UK—particularly at Dounreay, in my constituency—in nuclear decommissioning, which is an industry that we could export and which could make a lot of money for the UK?
ParlaMint-GB_2019-04-30-commons.u75	I entirely agree, and I pay tribute to the UK nuclear decommissioning sector. As science Minister, I have seen the innovation that is being developed. I recently announced £93 million for a robotics for hazardous environments programme involving about seven universities across the UK, which are looking into how we can use robotics more effectively to help nuclear decommissioning. I am delighted that that is now being transferred to Fukushima in Japan. The Government are ensuring that scientific collaboration is international. We will publish an international research and innovation strategy shortly, and I shall welcome any opportunities, involving any countries, to continue that work.
ParlaMint-GB_2019-04-30-commons.u76	9. What recent representations his Department has received on proposed changes to employment contract terms and conditions in the supermarket sector.
ParlaMint-GB_2019-04-30-commons.u77	I regularly meet representatives of the supermarket sector, both individually and through the Retail Sector Council, to discuss a range of issues. One issue that the council has identified as a priority is employment. The Government have committed themselves to upgrading workers’ rights and protecting the most vulnerable workers in all sectors through the good work plan. That represents the biggest upgrade of workers’ rights for over 20 years.
ParlaMint-GB_2019-04-30-commons.u78	I apologise for arriving late, Mr Speaker. I am delighted to have the opportunity to ask the Minister to support Mrs A, who has worked for Asda for 30 years. Her take-home pay, and that of 3,000 other members of staff, will be cut because of changes in the pay structure masquerading as an hourly increase. Paid breaks will be reduced, the night shift will be changed, and bonuses will be slashed. Will the Minister join me in supporting Mrs A and ensuring that she keeps what she is earning now?
ParlaMint-GB_2019-04-30-commons.u79	The hon. Lady was not late for her own question. Her principal responsibility is to be in her place to ask her question, and we are delighted to see her. She does not need to be too apologetic; in fact, she does not need to be apologetic at all.
ParlaMint-GB_2019-04-30-commons.u80	The hon. Lady is absolutely right to raise those questions. She is a strong campaigner for workers in her constituency, and we have met on a number of occasions to discuss some of the issues involved. Obviously we want Asda employees to receive the remuneration to which they are entitled. It is true that a consultation is taking place on changes that may be introduced towards the end of the year, but, in general, terms and conditions are subject to negotiation between the employer and the employee. While it is always open to either party to enter into negotiations on the terms of contracts, if employees are subject to changes in terms to which they have not agreed, they can take legal action.
ParlaMint-GB_2019-04-30-commons.u81	The Minister is right to champion workers’ rights, because ours is the party of the workers. However, there are still too many examples of employers not paying the national living wage. What further steps will the Government take to ensure that the national living wage is enforced and workers receive a fair day’s pay for a fair day’s work?
ParlaMint-GB_2019-04-30-commons.u82	I thank my hon. Friend for raising that issue. He is right: we are the party of the workers, which is why we introduced the good work plan, the biggest reform of workers’ rights for 20 years. We are committed to enforcing the national minimum wage and ensuring that people receive the remuneration that they deserve. Her Majesty’s Revenue and Customs has identified £24.4 million of arrears that affected more than 200,000 workers last year, which was an increase on the previous year. We have almost doubled the budget for enforcement since 2015, and we remain committed to ensuring that people receive the national minimum wage when they are entitled to it.
ParlaMint-GB_2019-04-30-commons.u83	11. What recent discussions he has had with the Secretary of State for Environment, Food and Rural Affairs on tackling climate change.
ParlaMint-GB_2019-04-30-commons.u84	Tackling climate change is a cross-government priority. Just last week my right hon. Friend the Minister for Energy and Clean Growth made an oral statement outlining the Government’s climate change priorities. Ministers in the Departments for Business, Energy and Industrial Strategy and for Environment, Food and Rural Affairs meet regularly to discuss matters including waste management, agriculture, forestry, resource efficiency and the environment Bill. We will host the upcoming Inter-Ministerial Group on Clean Growth to discuss the report from the Committee on Climate Change and the UK’s offer to host the United Nations Conference of the Parties in 2020.
ParlaMint-GB_2019-04-30-commons.u85	After the Government’s refusal to declare a climate emergency, may I ask the Minister what he has personally taken away from the visit of 16-year-old Greta Thunberg and her most powerful advocacy on the need for urgent action?
ParlaMint-GB_2019-04-30-commons.u86	I think we will be having a thorough debate on this issue of climate change emergency in the Opposition day debate tomorrow. When it comes to my personal role as the Minister with responsibility for science, innovation and research, I entirely agree that we need to be making more investment in climate change technology in order to reach our target of 2.4% of GDP on research and development. We have already announced our missions in relation to clean growth. I absolutely believe we should be listening to the experts—that includes the scientists and learning from climate science, wherever that may be—to make sure we can reduce our emissions.
ParlaMint-GB_2019-04-30-commons.u87	Since the Rio summit in 1992, the UK has actually decarbonised more than any other G7 economy, while growing our economy the most at the same time. However, we need to do more, which is why I am looking forward to the Committee on Climate Change report on Thursday. If it does indeed recommend a net zero target, will the Minister commit to ensuring that that is something the Government will very seriously consider bringing into law at the first opportunity?
ParlaMint-GB_2019-04-30-commons.u88	My hon. Friend is absolutely right to highlight the achievements that have been made in recent years, but it is important that we redouble our efforts. The Committee on Climate Change report, which will be published on Thursday, was commissioned by the Government, and the Government will be taking actions on the back of its recommendations. It is important that we look to continue our actions, but it is also important that we do so with our international partners. We have the UN summit taking place in September and future COPs, including the one we would like to host in 2020.
ParlaMint-GB_2019-04-30-commons.u89	19.   The Committee on Climate Change says that we need to double our production of onshore wind in the next decade; instead, it is likely to halve because of this Government’s ideological opposition to it. We are not on target to meet our fourth and fifth carbon budgets, let alone achieve net zero, so will the Government end their ideological opposition to onshore wind so that we can hand a better planet on to future generations?
ParlaMint-GB_2019-04-30-commons.u90	I would not call listening to local communities and reflecting on the need to create sustainable communities locally “ideological opposition”. We need to work with everybody—all citizens. There has been talk of citizens’ committees, so why not ensure that local communities are able to reflect on the benefits of renewable energy in their communities, and begin such dialogues with them, rather than call them ideological opponents of renewables? I do not think that is very fair on those communities.
ParlaMint-GB_2019-04-30-commons.u91	I would like to send the thoughts of Opposition Members to the Minister for Energy and Clean Growth. I welcome this Minister to his place and look forward to our exchanges over the Dispatch Box In 2016, the UK’s carbon emissions fell at 6% a year, and in 2017, emissions fell at 3% a year, but in 2018, the figure was 2%—just a 2% fall—so at a time when action should be ramping up to tackle the climate emergency, can the Minister explain why the UK’s progress is slowing down?
ParlaMint-GB_2019-04-30-commons.u92	I do not recognise that. The fact is that we have met our first and second carbon budgets over the 2008-12 and 2013-17 periods. We have managed to reach those targets. Turnover for clean business was up 7% in 2017, contributing £44.5 billion to the economy. When it comes to ensuring that we look at our clean growth strategy, we have set out quite clearly opportunities to halve the energy use of new buildings by 2030 and to establish the world’s first net zero carbon industrial cluster by 2040. By comparison with our European neighbours, we are racing ahead—we are leaders in this field—and we want to make sure that we can continue to do so.
ParlaMint-GB_2019-04-30-commons.u93	With respect, the Minister is alluding to the UK’s emissions cuts since 2010, when the UK still benefited from policies put in place by the previous Labour Government—policies that the Conservatives have now scrapped. Secondly, it is irrelevant, quite frankly, to climate physics whether the UK is doing slightly better or worse than other countries that are also failing to take the necessary action I ask this in good faith and in all seriousness: does the Minister accept that the UK’s stalling progress is related to banning—in effect—onshore wind, reducing almost all support for solar power, scrapping the zero-carbon homes standard and selling off the Green Investment Bank? Will he be honest about the challenge, and work with Labour and right across this House on turning this around, so that we can truly tackle climate change and properly seize the economic opportunities within the green economy?
ParlaMint-GB_2019-04-30-commons.u94	It is important to recognise that 56% of electricity power generation is now based around a low-carbon economy generation and that 33% of that is from renewables, up from 7% in 2010. Coal represents 2.5% of our electricity generation, and last weekend the UK went 90 hours without any coal electricity generation for the first time since the industrial revolution. As we are now involved in the fourth industrial revolution, we want to ensure that we continue to power through and that we can adopt more renewables for the future.
ParlaMint-GB_2019-04-30-commons.u95	12. What plans the Government have to expand the use of renewable energy sources.
ParlaMint-GB_2019-04-30-commons.u96	16. What progress he has made on promoting renewable energy generation.
ParlaMint-GB_2019-04-30-commons.u97	18. What progress he has made on promoting renewable energy generation.
