ParlaMint-GB_2019-07-15-commons.u1	1. What steps he is taking to improve the Disclosure and Barring Service.
ParlaMint-GB_2019-07-15-commons.u14	The new economic crime plan brings together all the different actors on the stage the Government have invested in and identifies all those areas that need to be solved. It is a better analysis of economic crime. We have set up the NECC to bring together all the assets of government—everything from UK Visas and Immigration and the Home Office to the intelligence services—to focus on some of the biggest money launderers and to implement the new powers in the Criminal Finances Act 2017, to deal with criminals and money launderers and to take the money back from them.
ParlaMint-GB_2019-07-15-commons.u15	17. Given that the Government are constantly telling us how much more money they are putting into funding the police forces across the UK, can the Minister tell us how many detectives were assigned to serious organised crime in 2010, and how many there were in the latest available data?
ParlaMint-GB_2019-07-15-commons.u16	Including of an economic character.
ParlaMint-GB_2019-07-15-commons.u17	Given the economic character of that question, the best thing is for me to write to the hon. Lady with the detail of the number of financial investigators—[Interruption.] The hon. Lady has not been particularly specific. Does she mean the number of detectives within the National Crime Agency, within the Met’s serious organised crime command, within the regional organised crime units or within the local forces? I will send her the details so that she can analyse and discuss them.
ParlaMint-GB_2019-07-15-commons.u18	I welcome the economic crime plan, but I do not see any mention of extending the “failure to prevent” offence to include economic crime. Is the Minister still keen to do that?
ParlaMint-GB_2019-07-15-commons.u19	Absolutely. Building “failure to prevent” offences such as bribery and tax evasion into statute makes a real difference. It is important for us to give our law enforcement agencies powers to deal with, for instance, corporations that engage in conspiracies, because in the past that has been very hard to prove.
ParlaMint-GB_2019-07-15-commons.u20	Poor pension transfer advice can amount to fraud, but in my experience local police officers often refer such cases to the Financial Conduct Authority, which often focuses on administrative penalties rather than criminal prosecutions. Will the Minister agree to meet me, and to review economic crimes against pensioners, so that justice can be done?
ParlaMint-GB_2019-07-15-commons.u21	The hon. Gentleman is absolutely right. While large sectors are regulated under the FCA, we have seen fraudsters exploiting marketing as a guise to escape that regulation. When we identify them, there are criminal investigations, but I should be delighted to meet the hon. Gentleman and hear more about his views.
ParlaMint-GB_2019-07-15-commons.u22	How will the forthcoming legislation requiring the registration of overseas entities prevent money generated through crime and corruption overseas from being invested in the London property market?
ParlaMint-GB_2019-07-15-commons.u23	Transparency is the best disinfectant in such cases, and the Government are working hard to improve the operation of Companies House to ensure that we get to the bottom of some of these spurious companies. We are also fully committed to the establishment of a public register of property ownership in the UK, and are working with overseas territories to ensure that similar registers are established to cover ownership there.
ParlaMint-GB_2019-07-15-commons.u24	As capital moves ever more easily, it is imperative that we look again at the very limited circumstances in which large financial actors can at present be held accountable before the law. The Minister mentioned corporations a moment ago, but the Government’s economic crime plan totally fails to take on the issue of corporate criminal liability, which we must consider. Here is a very simple question: what are the Government afraid of?
ParlaMint-GB_2019-07-15-commons.u25	As the hon. Gentleman will know, I have been talking about that issue for a long time, and we have been working hard on it. “Failure to prevent” in relation to tax evasion is now being rolled out, and the National Security Council discussed the issue more than a year ago. The hon. Gentleman will, I hope, wait to see what happens, but we are determined to try to deal with it.
ParlaMint-GB_2019-07-15-commons.u26	3. What assessment his Department has made of the effectiveness of the EU settlement scheme application process.
ParlaMint-GB_2019-07-15-commons.u27	EU citizens are our friends, our neighbours and our colleagues, and we want them to stay. The settlement scheme is performing well. The latest published statistics show that more than 800,000 applications have been received and the majority of people are finding it easy to apply. Additional support is available to those who are vulnerable, or who do not have the appropriate access, skills or confidence to apply online.
ParlaMint-GB_2019-07-15-commons.u28	Instead of implementing a scheme that makes EU citizens—many of whom have lived here for a great many years—unlawfully resident if they fail to apply by December 2020, will the Minister introduce a declaratory system whereby people apply for proof of settled status rather than the right to stay?
ParlaMint-GB_2019-07-15-commons.u29	A declaratory system that did not require EU citizens to obtain status and provide evidence of it would risk causing confusion, especially among the most vulnerable, and people might struggle to prove their status in years to come. There would also be a risk of confusion among employers and service providers, and the system might impede EU citizens’ access to benefits and services to which they are entitled.
ParlaMint-GB_2019-07-15-commons.u30	The vast majority of people I hear from say that the settled status scheme is working very well and is easy to use. Many receive responses within a few hours of submitting their applications. However, it is a bit frustrating that the service is still not available on Apple devices such as phones; can the Minister update us on when it might be?
ParlaMint-GB_2019-07-15-commons.u31	It is not just anecdotal information that tells us that people are finding it easy and quick to apply; we know that most applications are settled within one to four working days. My right hon. Friend the Home Secretary has been tireless in pursuing the issue raised by my hon. Friend, and we are very hopeful that the app will be available on Apple devices in the autumn.
ParlaMint-GB_2019-07-15-commons.u32	There is a significant eastern European community in Enfield and other parts of London. Sections of the Bulgarian, Romanian, Polish and Roma communities can be hard to reach, and some have limited English language skills. Community representatives are concerned about individuals who have worked in the grey economy as cleaners or handymen, or for unscrupulous employers, being able to supply the right paperwork. What further steps is the Department putting in place to support these communities and to ensure that everyone can access, and apply to, the scheme?
ParlaMint-GB_2019-07-15-commons.u33	The right hon. Lady will be aware that the Home Office has provided up to £9 million of grant funding to 57 voluntary and community-based organisations specifically to help the vulnerable people to whom she refers. I was pleased to visit the East European Resource Centre and to have the opportunity to speak to a group of long-standing UK residents about the support available. She references the grey economy; we do not wish to see anybody working in the grey economy, but we recognise that there will be those who do. The Home Office is absolutely prepared to accept a wide range of evidence of people’s stay in the UK, including tenancy agreements or letters from health providers with whom they have been in contact. This is absolutely about working with individuals. The EU Settlement Resolution Centre is up and running, and is incredibly well staffed. I was pleased to visit it, to see the help that it can give to individuals.
ParlaMint-GB_2019-07-15-commons.u34	There is a seeming desire among some Opposition Members for the EU settlement scheme to be a complete failure, but will my right hon. Friend again confirm that this is a successful scheme and that take-up has been positive? If Opposition Members continue to tell their EU citizen constituents that they will not be able to apply, they are not being helpful.
ParlaMint-GB_2019-07-15-commons.u35	My hon. Friend is absolutely right. The scheme has been a success, and it is shocking when hon. Members talk the scheme down. It is working well. We are determined to put in place support for those who are vulnerable, as I said. Later this week, we will see the latest statistics surrounding the scheme, which will show a considerable uplift from the figure of 800,000 reported from the end of May.
ParlaMint-GB_2019-07-15-commons.u36	4. When he plans to announce details of the integrated programme to resettle an additional 5,000 refugees from 2020-21.
ParlaMint-GB_2019-07-15-commons.u37	23. When he plans to announce details of the integrated programme to resettle an additional 5,000 refugees from 2020-21.
ParlaMint-GB_2019-07-15-commons.u38	We continue to engage with international and domestic delivery partners and stakeholders, as we work through the detailed policy and operational considerations for the new global resettlement scheme. In the meantime, we continue towards our commitment of resettling 20,000 of the most vulnerable refugees affected by the conflict in Syria.
ParlaMint-GB_2019-07-15-commons.u39	The Minister knows that I would like the ambition to be as high as possible. What plans has she got to consult refugees and refugee organisations about the lessons that can be learned from current resettlement schemes?
ParlaMint-GB_2019-07-15-commons.u40	The hon. Lady will know—this is an ambition that I have often voiced to her—that we have sought to bring together the vulnerable persons resettlement scheme, the vulnerable children’s resettlement scheme and the gateway protection scheme, to consolidate our refugee programmes. We continue to work closely with the United Nations High Commissioner for Refugees, and indeed with those delivering the schemes, local authorities included. As part of the ambition—this is why we have given a figure in the region of 5,000—it is important that we learn from VPRS, work through local authorities to establish the number of people they can best assist through the schemes and make sure that we do not downgrade the good commitments we have previously given on resettlement.
ParlaMint-GB_2019-07-15-commons.u41	Young adult asylum seekers often face unique and complex challenges to their mental health and wellbeing, with many having survived unimaginable experiences in their country of origin and during their long and treacherous journey to reach this country. In setting out details of the integrated programme to resettle an additional 5,000 refugees from 2020 to 2021, will the Minister commit to there being a youth welfare officer in every asylum accommodation and dispersed accommodation location, so that vulnerable, traumatised 18 to 25-year-olds receive the support that they need to recover from their experiences and can live as well as possible in the UK?
ParlaMint-GB_2019-07-15-commons.u42	The hon. Lady is absolutely right to point out the distinction between the formal resettlement schemes referred to in the question and those young people who have made, in many instances, terrible and perilous journeys of many thousands of miles and who have travelled across the whole of Europe to get to these shores. It really is important that we work to support young asylum seekers; I am conscious that the largest numbers will be found in a small number of local authorities, particularly Croydon, Kent and Hillingdon, which work incredibly hard to support not only unaccompanied minors but those leaving the care system and those for whom we have a responsibility up to the age of 24 under the Children and Families Act 2014. It is crucial that we get this right; that is why I was so pleased to see the uplift in funding to local authorities for unaccompanied asylum seeking children.
ParlaMint-GB_2019-07-15-commons.u43	Scotland has played a leading role in the current vulnerable persons resettlement scheme, resettling nearly 3,000 people across all Scotland’s local authorities. Recent opinion polls show strong support in Scotland for maintaining that commitment and, indeed, for improving on it. Will the Minister join me in welcoming Scotland’s success story, and will she commit, through the comprehensive spending review, to funding integration support for refugees under the new scheme at the same levels that are currently provided under the VPRS?
ParlaMint-GB_2019-07-15-commons.u44	The hon. and learned Lady is absolutely right to point out the significant role that Scotland has played. In Jordan last summer, I was pleased to meet a family who were being resettled to East Ayrshire within a few days of my visit. It is important that we provide not only support for resettling people but the necessary integration, not least through the provision of English language teaching, which is a crucial component. She will know from previous comments I have made in this House that one of my big passions is ensuring that we assist those with refugee status into work and ensure that good schemes exist across the entire country to help them to do that.
ParlaMint-GB_2019-07-15-commons.u45	I can tell that there is a second question coming from the hon. and learned Lady.
ParlaMint-GB_2019-07-15-commons.u46	Thank you, Mr Speaker. As well as Scottish local authorities, Scottish community groups are also planning to sponsor refugee families. I met representatives of Refugee Sponsorship Edinburgh in my constituency recently. This is the first group of people to do this in Scotland. They will be delighted that the UK Government have finally agreed that any refugees supported under the community sponsorship scheme will be additional to those resettled under the UK Government scheme. Will the Minister commit to ensuring that the new scheme will make it easier for named individuals to be resettled and for family members dispersed across the world to join refugees who have already been settled here? I am sure I am not alone in being approached regularly in my constituency surgery by refugees with those concerns.
ParlaMint-GB_2019-07-15-commons.u47	The hon. and learned Lady is absolutely right to highlight the brilliant role played by community sponsorship schemes. They are absolutely the gold standard of resettlement. However, it is important that we continue to work with the UNHCR to ensure that it is the most vulnerable people who are resettled here, whether through community schemes or through the sponsorship of local authorities. It would be very wrong for us to use resettlement schemes to resettle people from safe third countries when many people across the middle east and north Africa region and across the world are in parlous situations and in real danger. They must always be our first priority.
ParlaMint-GB_2019-07-15-commons.u48	In noting that the hon. Member for Huddersfield (Mr Sheerman) was chuntering from a sedentary position in evident disapproval of the length of an inquiry, I simply say to him in the gentlest possible spirit that I feel sure that, in his own mind, his own questions are never too long but merely fully developed.
ParlaMint-GB_2019-07-15-commons.u49	5. What steps his Department is taking to monitor business compliance with the Modern Slavery Act 2015.
ParlaMint-GB_2019-07-15-commons.u50	Around 16,400 UK businesses are within scope of the Modern Slavery Act 2015. The Home Office has commenced the first stage of a compliance audit, following which non-compliant businesses will risk being publicly named. We are developing a Government-run registry to track compliance and make it easier for consumers and others to scrutinise business action. We are also consulting on strengthening modern slavery reporting requirements, including improving compliance and the quality of business statements.
ParlaMint-GB_2019-07-15-commons.u51	I thank the Minister for her answer, but the number of potential victims of modern slavery identified in the UK each year has more than doubled since 2015 and now stands at just under 7,000. The Modern Slavery Act was a step in the right direction, but it has been left to go stale due to lack of enforcement, with a staggering 40% of companies not complying with it at all. Will the Minister take urgent action to commit to an enforcement body to enforce sanctions against non-compliant companies?
ParlaMint-GB_2019-07-15-commons.u52	I think that, when we have the opportunity to do so, we should talk up our country and what we are doing to lead the world in tackling modern slavery. We really are leading the world; the Prime Minister hosted a dinner last week with the McCain Institute, at which people from across the world acknowledged the world-leading work we are doing in this country. Of course there is more to do, which is precisely why we asked the right hon. Member for Birkenhead (Frank Field), my right hon. Friend the Member for Basingstoke (Mrs Miller) and Baroness Butler-Sloss to conduct an independent review of the Act to ensure that it is up to date and working. We know that modern slavery criminals change their mode of working. From that, last week we announced £10 million over five years to establish cutting-edge policy and evidence centres on modern slavery and human rights. We also responded to the independent review of the Modern Slavery Act and accepted the majority of its recommendations. I really believe that this work on transparency in supply chains will be groundbreaking.
ParlaMint-GB_2019-07-15-commons.u53	I entirely endorse what the Minister said about how this country leads the fight against modern-day slavery, which is a great credit to the Prime Minister, but should she not encourage all businesses to report possible victims as they come across them in their daily business? Police would prefer to have an investigation that leads to nothing than leave victims in modern-day slavery.
ParlaMint-GB_2019-07-15-commons.u54	I very much agree with my hon. Friend, who has done much work in this field. We have only to look at the terrible case that was finalised last week to see the breadth and range of ways in which people who indulge in modern slavery torture and enslave their captives; some of the details of that case were truly shocking. It absolutely underlines the fact that every single business that meets the criteria in the Act is obliged by law to report and ensure that its supply chains are free from slavery. That has a trickle-down effect for smaller businesses that are contracted to those larger businesses, because they have to make sure that they are doing the right thing too.
ParlaMint-GB_2019-07-15-commons.u55	Will that requirement be carried out in the public sector? Given the size of the procurement budget, will the Minister tell the House what plans the Government have to ensure that Government spending is within the scope of the Act?
ParlaMint-GB_2019-07-15-commons.u56	May I thank the right hon. Gentleman, as I said, for the work that he and his colleagues did on the review? It was an extraordinary piece of work and very thorough, and I know that he was pleased that we were able to accept the majority of its recommendations. We absolutely accept the point about the public sector, and he will know that the Prime Minister recently made an important announcement to confirm that Departments will make modern slavery statements to ensure that their supply chains are free from slavery. As for the further details, I will write to the right hon. Gentleman in due course.
ParlaMint-GB_2019-07-15-commons.u57	We on the Labour Benches appreciate the progress that has been made on modern slavery thus far, but the House will be aware that there was recently a shocking case of agricultural slavery. A fresh produce supplier to major US supermarkets was using slave labour in its supply chain. Does the Minister accept that consumers who are conscious of issues such as organic production and sustainable food production will not appreciate unwittingly purchasing fresh food with slave labour in its production? Will the Government act more swiftly? We need faster action than she is suggesting to get proper business compliance with their modern slavery legislation.
ParlaMint-GB_2019-07-15-commons.u58	I am delighted that this is one of those issues that enjoys the support of Members from all parts of the House. The right hon. Lady will know from the announcements last week on our response to the independent review that we are very much seeking to toughen the regulations and requirements for the largest businesses. For what it is worth, some 75% of businesses that are in scope have set down a modern slavery statement, but we want to make it easier for civil society and others to judge how effectively businesses are doing, which is why we are looking into setting up a central Government registry to help that happen. We are conscious, too, of the role that non-governmental organisations can play in this space. Only last week, Oxfam released its new behind barcode supermarket scorecard, which shows how the sector as a whole needs to step up activity to identify and rectify labour exploitation risks. I am delighted that many UK supermarkets have signed up to that.
ParlaMint-GB_2019-07-15-commons.u59	6. What steps he is taking to ensure that his Department’s immigration policies do not unfairly discriminate on the basis of (a) race and (b) nationality.
ParlaMint-GB_2019-07-15-commons.u60	10. What steps he is taking to ensure that his Department’s immigration policies do not unfairly discriminate on the basis of (a) race and (b) nationality.
ParlaMint-GB_2019-07-15-commons.u61	14. What steps he is taking to ensure that his Department’s immigration policies do not unfairly discriminate on the basis of (a) race and (b) nationality.
ParlaMint-GB_2019-07-15-commons.u62	The Home Office is bound by the public sector equality duty to eliminate unlawful discrimination and promote good race relations. The Equality Act 2010 provides that discrimination is not unlawful if it is required by legislation or authorised by Ministers. For example, a visa regime that applies to a particular nationality constitutes discrimination, but is lawful under the Equality Act.
ParlaMint-GB_2019-07-15-commons.u63	An Iranian refugee in my constituency applied for a Home Office travel document and has been refused. He was told that he must get a passport from his own country, which, as he fled that country, is almost impossible. Even to apply for a passport, he would have to agree to sign up for national service. Surely that is discrimination.
ParlaMint-GB_2019-07-15-commons.u64	I thank the hon. Lady for raising that specific issue. Although I cannot comment on individual cases, we do not wish to see anybody disadvantaged because of the individual requirements of travel documents from their country of origin. I would be very happy to work with her to see whether we can find a solution.
ParlaMint-GB_2019-07-15-commons.u65	The Department’s own statistics make it clear that last year’s average refusal rate for entry visas from Nigeria was 37%, and almost 44% for entry visas from Ghana, compared with an average refusal rate of only 12% across all countries. Can the Minister explain to my west African-born constituents, whose family members, friends and ministers of religion are being refused visitor visas in ever rising numbers, why the system is discriminating in that way?
ParlaMint-GB_2019-07-15-commons.u66	I reassure the hon. Gentleman that the system is not discriminating in that way and that the Home Office is obliged to consider all visa applications in light of the evidence presented by the applicant. He might be reassured to learn that, in the year ending June 2018, we saw a 2% increase in the number of visas issued to sub-Saharan African nationals compared with the same period of the previous year.
ParlaMint-GB_2019-07-15-commons.u67	The Home Office has offered warm words and reassurances to migrant communities about a movement away from the hostile environment, yet the Government are appealing against the High Court ruling that the right-to-rent scheme, which requires private landlords to check the immigration status of tenants, is discriminatory and breaches human rights law. Does the Minister believe that discrimination is a necessary price to pay for enforcing the hostile environment?
ParlaMint-GB_2019-07-15-commons.u68	The Government disagree with the judgment and are appealing. The evaluation conducted during phase 1 implementation found no evidence of systemic discrimination as a result of the scheme. However, my right hon. Friend the Home Secretary has commissioned further evaluation, which will examine the potential for discrimination in right-to-rent checks.
ParlaMint-GB_2019-07-15-commons.u69	Churches in Stirling and in other parts of Scotland are struggling with the recent change in immigration rules for visiting ministers of religion. Does my right hon. Friend appreciate the degree of difficulty this is causing faith groups in Scotland? What can be done to alleviate it?
ParlaMint-GB_2019-07-15-commons.u70	I was very pleased last week to meet ministers of religion across a wide range of faiths to discuss this specific issue. I am sure Members will agree that when it comes to ministers of religion, as opposed to religious workers, it is imperative that those who are going to preach and conduct pastoral work within any religion need to have a good standard of English, which is why the Home Office is requiring them to apply for a tier 2 visa, as opposed to a tier 5 visa, which of course does not require the language check.
ParlaMint-GB_2019-07-15-commons.u71	The Windrush crisis did not fall from the sky but was a direct result of the hostile environment, which the High Court has found directly causes discrimination. The Windrush compensation scheme took over a year to set up and has a two-year deadline. Has anybody actually received the money in their bank account yet? How will the Minister ensure that claimants receive speedy compensation? Does she believe that two years is long enough to ensure that nobody who is entitled to compensation loses out?
ParlaMint-GB_2019-07-15-commons.u72	I thank the hon. Gentleman for that question. He will, of course, recall that elements of the compliant environment were introduced under the last Labour Government, including the controls introduced in 1999 on temporary and illegal migrant access to benefits and the Nationality, Immigration and Asylum Act 2002, which introduced controls on local authority social care The hon. Gentleman raises an important question about the Windrush compensation scheme, and it is important that we have the scheme up and running and are receiving applications. We have, of course, undertaken to provide regular updates to the Home Affairs Committee, which will provide exactly the information that the hon. Gentleman seeks Of course, it is a requirement under legislation that the compensation scheme be for a period of two years, but we are looking closely at that. I reassure the hon. Gentleman that should there be a requirement to extend it, which would undoubtedly need primary legislation, we would be happy to consider that.
ParlaMint-GB_2019-07-15-commons.u73	7. What steps he is taking to divert young people away from violent crime.
ParlaMint-GB_2019-07-15-commons.u74	15. What steps he is taking to divert young people away from violent crime.
ParlaMint-GB_2019-07-15-commons.u75	Diverting young people away from crime is at the heart of our approach to tackling serious violence. Factors such as domestic abuse, truancy and substance abuse can make a young person more vulnerable to becoming a victim or perpetrator of serious violence. That is why, for example, we are investing £220 million in early intervention schemes—a record amount.
ParlaMint-GB_2019-07-15-commons.u76	I thank my right hon. Friend for his answer. We all know that instances of violent crime in urban centres such as London get the most media attention, but sadly we are also seeing our share of violent crime in my coastal constituency. We had one robbery at knifepoint and one serious assault in the same area of the town in the past week. Following a campaign that I led in Essex, we have seen 12 more officers on the streets of Clacton. They work so hard, but what more can be done to prevent young people in areas such as my constituency from turning towards violent crime?
ParlaMint-GB_2019-07-15-commons.u77	My hon. Friend has led an excellent local campaign and I commend him for it. As he will know, Essex police has received £1.7 million from the £100 million extra funding to tackle serious violence that was recently announced. In addition, his local police and crime commissioner has been provisionally allocated a further £1.16 million for a violence reduction unit. He may also welcome the £660,000 allocated to Essex from the early intervention youth fund.
ParlaMint-GB_2019-07-15-commons.u78	Will my right hon. Friend join me in congratulating N-Act, in my constituency, which has toured the schools producing plays that have a profound effect on young people, meaning that they do not get involved in gangs, and Gorgui Thiam, a Senegalese sports coach whose work has been very effective in breaking up violent gangs through the power of sport?
ParlaMint-GB_2019-07-15-commons.u79	I happily join my hon. Friend in commending that work. The work being done there locally and similar work across the country shows the power of early intervention. That is why we have set up funding to support more and more schemes like that, both through the early intervention youth fund and the youth endowment fund.
ParlaMint-GB_2019-07-15-commons.u80	Of course we all join in the celebration of the power of sport as a positive force, be it, for example, tennis, cricket or indeed football. [Interruption.] And lots of other sports to boot—netball, hockey, rounders and athletics. We also celebrate those who teach sport, and those who broadcast it and write about it, one of whom I spy not very far from me at this every moment—the great Richard Evans. [Interruption.] That will do for now.
ParlaMint-GB_2019-07-15-commons.u81	21. Reducing school exclusions is key to tackling this problem. Will the Home Secretary join the Housing, Communities and Local Government Secretary to co-fund high-quality intervention for young men who are falling out of school and being excluded from school between the ages of 13 to 15, which appear to be the key ages when they are at risk of going from pupil referral units to prison?
ParlaMint-GB_2019-07-15-commons.u82	The hon. Lady raises an important point and it shows precisely why we are planning to introduce the public health duty—to get more Departments and public agencies to work together in providing early intervention through many different types of programme. She is right to highlight alternative provision and some of the issues associated with it, especially how some of those children, sadly, become the target of gangs, and we are doing more work across government.
ParlaMint-GB_2019-07-15-commons.u83	22. What is the Home Secretary doing with other Departments in the spending review to fund youth centres properly? That would go some way to tackling youth crime.
ParlaMint-GB_2019-07-15-commons.u84	When it comes to early intervention, youth activities, youth clubs and the kind of thing we have just heard about in Southend are the sort of important work that we want to support more. I have talked about the £220 million of early intervention funding, which is a record amount, and it will go towards doing that, supporting some 200 different projects.
ParlaMint-GB_2019-07-15-commons.u85	Ah yes, you’re a very fine sportsman—I call Mr Tom Pursglove.
ParlaMint-GB_2019-07-15-commons.u86	You are far too kind, Mr Speaker What difference does the Home Secretary believe putting 20,000 more police officers out on the beat, catching criminals and deterring crime, will make in practical terms?
ParlaMint-GB_2019-07-15-commons.u87	I have long said that we need to tackle crime, especially serious violence, on many fronts, and that means making sure that the police are properly resourced so that we have enough police on the streets. That is why this year we had a record settlement of almost £1 billion, which was voted for and supported by Government Members but rejected by Opposition Members.
ParlaMint-GB_2019-07-15-commons.u88	Often, the focus is on violent crime in cities, but towns such as ours in West Yorkshire have seen an increase in robberies and antisocial behaviour, and the results of county lines and drug violence, too. Our area has lost nearly half its neighbourhood policing, which the Home Secretary will know has been cut throughout the country. The Home Affairs Committee has called for more police on the beat—we need more police back on the beat—and the Home Secretary has recognised that we need 20,000 more police back on the beat. When does he estimate we will get them?
ParlaMint-GB_2019-07-15-commons.u89	I very much agree with the right hon. Lady about the need for more police. That is why we had a record settlement this year, which included, for example, more than £28 million extra for her local police force, which is leading to more police officers and more police staff. I have said that we need to go further, and we are discussing that internally in Government to see what more can be done. I hope the right hon. Lady recognises, though, that it is about more than just police; it is about early intervention and understanding some of the underlying causes of crime. I have always recognised the need for more resources and more police.
ParlaMint-GB_2019-07-15-commons.u90	The Home Secretary referred to the new public health duty. The Opposition agree that it is a good idea in principle, but does the Home Secretary agree with the Children’s Commissioner for England, Anne Longfield, who has said that the change is not enough on its own and who is calling for the next Prime Minister, and perhaps his Chancellor, to ensure that preventive services such as youth services have the right resources? Will the Home Secretary tell us how often the Prime Minister’s knife crime taskforce has actually met?
ParlaMint-GB_2019-07-15-commons.u91	The right hon. Lady has mentioned an important partner in tackling serious violence, and the Children’s Commissioner is part of the serious violence taskforce and we listen to her important views regularly. Of course, the Children’s Commissioner is right that this issue requires action on many fronts. There is no one single answer—we have talked about resources, new powers, early intervention and, of course, the public health approach—which is why we are working across Government. We have institutionalised that in Government in many ways, including with the taskforce that the Prime Minister set up, which has already met once and is meeting again today.
ParlaMint-GB_2019-07-15-commons.u92	8. What steps he is taking to support community organisations to counter extremist views.
ParlaMint-GB_2019-07-15-commons.u93	Our £63 million Building a Stronger Britain Together programme provides funding to local community groups that seek to challenge extremist views. Since 2016, we have supported more than 230 civil society groups, which have access to training opportunities and a network of 40 expert counter-extremism community co-ordinators who are embedded in local authorities.
ParlaMint-GB_2019-07-15-commons.u94	What more can the Government do to publicise those important examples of where communities and community organisations have succeeded in the supply of information that has prevented terrorist plots, saved innocent lives and helped to take people who were at risk of radicalisation away from extremist doctrines?
ParlaMint-GB_2019-07-15-commons.u95	My right hon. friend is absolutely right to raise this issue. We have often talked at the Dispatch Box about, for example, the importance of the Prevent programme, which is fundamentally about safeguarding and supporting vulnerable individuals to stop them becoming terrorists or supporting terrorism. My right hon. Friend may be interested to know that in just one year, 2017-18, our Channel safeguarding programme supported some 394 individuals, and 181 different community projects that have reached 88,000 different people.
ParlaMint-GB_2019-07-15-commons.u96	The Home Secretary really should be ashamed of himself. If he comes to a place such as Huddersfield and other towns in West Yorkshire, which my right hon. Friend the Member for Normanton, Pontefract and Castleford (Yvette Cooper) has just mentioned, he will find that it is about not only diverting young people from violence, gangs and crime, but tackling extremist views early on. If the Government dismantle local government youth services, they cannot just pass the responsibility across to community associations and think that is okay.
