ParlaMint-GB_2019-06-10-commons.u1	1. What steps he is taking to divert young people away from violent crime.
ParlaMint-GB_2019-06-10-commons.u21	We worked very hard with the independent adviser, and indeed with victims of Windrush, to ensure the claim form was as accessible and as easily understood as possible. It is a complicated claim form, because there are 13 different heads of claims under which people are able to claim compensation, but we have set up a contract with Citizens Advice so they can get independent advice without having to resort to using lawyers.
ParlaMint-GB_2019-06-10-commons.u22	Community organisations working with Windrush citizens, including the Black Cultural Archives in my constituency, report that the compensation scheme simply is not working. The form is too complex, advice is neither accessible nor specialist enough, and the burden of proof is far too high. Will the Minister review the scheme, acknowledge that it is not working, and, as an absolute minimum, provide immediate funding for specialist legal advice to be available not only by phone but in person to every Windrush citizen who needs it?
ParlaMint-GB_2019-06-10-commons.u23	As I outlined, there is already a contract in place with Citizens Advice to provide that independent advice. There is an ongoing series of engagement events, with taskforce officials from the Home Office attending different community groups across the country, including in London. There have been two events in Newport. It is important that we get this right, which is why we worked with Martin Forde to have a scheme that gave us independent advice. It is important that we work through it. I know that at 18 pages the claim form is quite long, but of course individual claimants have to fill in only the components that are relevant to them, not every page.
ParlaMint-GB_2019-06-10-commons.u24	This gross injustice with respect to the Windrush scandal is not an accident or a one-off; it is a direct result of the Government’s hostile environment policy. Have the Government considered how their hostile environment might affect migrants from India, Pakistan or Bangladesh now and in the future?
ParlaMint-GB_2019-06-10-commons.u25	It is important to reflect that roughly half the individuals affected by Windrush had a negative impact pre-2010 under the previous Labour Government. We are determined to put right all those wrongs and ensure that wherever people have come from—people from a wide variety of countries, not simply the Caribbean, have made contact with the Windrush taskforce—they are given the support to go through the process of getting the documentation they need. Well over 4,000 people have secured British citizenship as a result, and over 6,000 people have the documentation they need to prove their right to stay in the UK.
ParlaMint-GB_2019-06-10-commons.u26	The Minister has to begin to acknowledge communities’ grave concerns about the Windrush compensation scheme as it stands. They think that it is not working. She also needs to bear in mind that this is an ageing cohort, who will probably need more support on average than a cohort that is more mixed in age. The Home Secretary told the House in April last year that we “will do whatever it takes to put it right”. He continued: “We have made it clear that a Commonwealth citizen who has remained in the UK since 1973 will be eligible to get the legal status that they deserve: British citizenship.”—[Official Report, 30 April 2018; Vol. 640, c. 35.] What progress has been made on those promises Will the Minister reconsider some of the worst aspects of the current scheme? It will currently not compensate those who may have been wrongly deported. I quote from the document: “It is difficult to determine whether inability to return to the UK is a loss” Of course, someone being deprived of their home, job, family and community is a loss. How can Ministers say that it is “difficult to determine” whether there is a loss?
ParlaMint-GB_2019-06-10-commons.u27	I thank the right hon. Lady for her question. It is absolutely because we acknowledge that people have been wronged that, in the last week, I personally have attended two separate outreach events for people who wish to understand the compensation scheme. It is why there are dedicated helplines. It is why we have put in place the scheme with Citizens Advice, so that it can provide advice. I reiterate that 6,470 individuals have been granted some form of documentation and 4,281 have been granted citizenship. As I said, there are 13 different heads of claim, including not only deportation, but loss of ability to work, loss of benefits and so on. We are absolutely determined to make sure that we compensate the individuals affected in a timely manner.
ParlaMint-GB_2019-06-10-commons.u28	3. What assessment has been made of the accuracy of the facial recognition technology used by the Metropolitan Police Service.
ParlaMint-GB_2019-06-10-commons.u29	Facial recognition technology can help the police to do their job. It must be right to support trials of this rapidly improving technology, but given its sensitivity it must also be right that the technology’s benefits should be independently reviewed. That is exactly what the Met is doing with the University of Essex and we will consider that review very carefully.
ParlaMint-GB_2019-06-10-commons.u30	In May, San Francisco, one of the most tech-friendly cities in the world, banned the use of live facial recognition technology because of massive error rates and concerns about racial bias in its use. Five United Kingdom police forces use similar cameras and systems. Both the Met and South Wales Police have seen a 90%— or worse—misidentification rate of innocent members of the public. It is clear that the cameras carry serious risks, yet no legislation governs the use of the technology; it operates in a legal void. The Minister refers to the Metropolitan police. This is not a decision for a police force to make; it is a decision for Parliament. Will the Minister bring legislation to the House laying down strict guidelines on the use of this technology?
ParlaMint-GB_2019-06-10-commons.u31	My right hon. Friend has a long track record in this area. He is entirely right to raise the sensitivity in finding the right balance between security and civil liberties. On the Met’s numbers, there is a one in 1,000 chance of a false alert, but we need to see the evaluation. I am very clear in my mind that we need to support the police in trialling new technology, but if we are to take the public with us we have to be absolutely sure that it sits inside a regulatory framework that they trust. We believe that there is a legal framework for it, although that is being challenged in the courts. I give him my undertaking that, given the importance of maintaining public confidence and trust, we are doing urgent work to review the regulatory environment in which this technology development sits, including new oversight and advisory boards, because I recognise the fundamental importance of taking the public with us on this journey.
ParlaMint-GB_2019-06-10-commons.u32	The police national database contains 15 million images, which have been used in a much less controversial way for static facial recognition since 2014, but police tell me that the algorithm that is used to support the database is out of date and needs investment. Will the Minister confirm that the necessary investment will be made?
ParlaMint-GB_2019-06-10-commons.u33	I can confirm to the hon. Lady that, across a substantial range of technology requirements for the police, the Home Secretary and I are considering the funding requirements of the police in the context of the comprehensive spending review, and he and I have made it clear that police funding is our priority.
ParlaMint-GB_2019-06-10-commons.u34	In the last year or so, the Met have issued many of their officers with tablet computers, but the feedback I have had from officers and constituents is that very often these are unstable, freeze routinely and can actually mean that work takes longer, so will the Minister talk to the Met Commissioner to ensure that their technology is stable and reliable for officers to use?
ParlaMint-GB_2019-06-10-commons.u35	I have had those conversations with the Met Commissioner because I have heard exactly the same thing from members of the serious violence taskforce and officers on the beat in my own constituency. It is clear to us that mobility—the ability to work on the move without having to go back to the station to fill in reports—is critical to improving police productivity, so we must make sure we get the technology right.
ParlaMint-GB_2019-06-10-commons.u36	What was not known during the Huawei furore was that it was a leading pioneer of facial recognition technology distinguishing between Han and Uighur citizens within the Chinese republic. Are the Government seeking to use this technology as a solution on the British border on the isle of Ireland?
ParlaMint-GB_2019-06-10-commons.u37	I will not get drawn into that. It is our responsibility as a Government and a Parliament to support the police in pushing the frontiers of what technology can do in law enforcement, but I come back to this fundamental point: we have to take the public with us, and that means the regulatory environment has to be fit for purpose.
ParlaMint-GB_2019-06-10-commons.u38	The Minister will be aware of the comments of the new independent reviewer of our counter-terror laws at the weekend about our police and security services using artificial intelligence and algorithms in detecting suspicious behaviour. He was speaking of a future like that in the film “Minority Report” where predictive technology drives everything. Is not the only way to establish the appropriate balance between liberty and security to create a new durable legislative framework that can be properly considered by this House? Why can he not commit to bringing that forward today?
ParlaMint-GB_2019-06-10-commons.u39	I repeat that I am extremely aware of the need, as technology develops in this area and others, for there to be public confidence and trust in it, underpinned by a legislative and regulatory framework in which people have confidence. We feel that that legal framework is in place, but we are reviewing the oversight and regulatory framework in which this all sits, and that is a work of some urgency for me.
ParlaMint-GB_2019-06-10-commons.u40	4. Whether he plans to extend the scope of his policy on refugee family reunion.
ParlaMint-GB_2019-06-10-commons.u41	The Government provide a safe and legal route for bringing families together through our existing family reunion policy. These provisions are consistent with our obligation to respect family life under article 8 of the European convention on human rights. We are listening to calls to extend this policy and will continue discussions with stakeholders.
ParlaMint-GB_2019-06-10-commons.u42	Ministers will recall that last July the other House passed the Refugees (Family Reunion) Bill overwhelmingly but that it was not introduced here because of lack of parliamentary time. Since parliamentary time no longer appears so scarce, will the Minister introduce it here to help reunite families, many of whom are divided by some very rigid and inflexible rules?
ParlaMint-GB_2019-06-10-commons.u43	As I said, we are listening to calls to extend family reunion and are watching the two private Members’ Bills very closely. The right hon. Gentleman’s question is of course one for business managers, who I am sure will heed his calls.
ParlaMint-GB_2019-06-10-commons.u44	Is my right hon. Friend as concerned as I am that in designing a refugee family reunion policy we do not create incentives that encourage even more people to leave their homes and undertake an extremely dangerous journey in the hope they will bring the rest of their relatives to our country at a later date?
ParlaMint-GB_2019-06-10-commons.u45	My hon. Friend rightly raises the Government’s concern that allowing children to sponsor close family members might create incentives for more children to be encouraged or even forced to leave their families and risk a hazardous journey to the UK in order to sponsor relatives at a later date. I am sure he agrees that we absolutely want to avoid that because it could play into the hands of criminal gangs already exploiting vulnerable people.
ParlaMint-GB_2019-06-10-commons.u46	6. What plans he has for the UK's future immigration system.
ParlaMint-GB_2019-06-10-commons.u47	In December 2018 the Government set out their proposals for a future immigration system in a White Paper, “The UK’s future skills-based immigration system”. The new system will be focused on those with the skills that the country needs, who will bring the most benefit to the United Kingdom.
ParlaMint-GB_2019-06-10-commons.u48	My constituency needs migrant workers to support local industry—particularly, but not exclusively, in the health, hospitality, fishing and farming sectors. Will my right hon. Friend reassure my constituents that there will be sufficient flexibility in any post-Brexit immigration system to allow those sectors to flourish?
ParlaMint-GB_2019-06-10-commons.u49	I am happy to give my hon. Friend that reassurance. We recognise that the future system must work for the valuable industries that make this nation great. We are working with many businesses and employers, including some in the sectors that my hon. Friend has listed, to ensure there is proper engagement which will achieve precisely what he has described.
ParlaMint-GB_2019-06-10-commons.u50	On Thursday night, a 17-year-old schoolboy visiting Canterbury from Germany was violently attacked in our city centre. He is now fighting for his life. I thank the Home Secretary for intervening personally to enable the boy’s family to travel to be at his bedside, and I am extremely grateful for his—and his team’s—rapid response, kindness and hard work over the weekend. In the light of this awful incident, will he please reassure me that he is listening carefully to the grave concerns that are being expressed about the dwindling number of police on our streets?
ParlaMint-GB_2019-06-10-commons.u51	I was very concerned to hear about that case when the hon. Lady contacted me, and I am pleased that the young man’s parents are now at his bedside. I can give her the assurance for which she has asked. We have a big police funding settlement this year, which is leading to the biggest increase in police numbers since 2010.
ParlaMint-GB_2019-06-10-commons.u52	I thank the Home Secretary for the support that he has expressed for the amendment drafted by our hon. Friend the Member for Orpington (Joseph Johnson), which has the support of many colleagues on both sides of the House, and which seeks to ease post-study work restrictions on overseas students. Does my right hon. Friend agree that not only is this an economically sensible and useful thing to do, but it will enhance UK soft power as we build global Britain?
ParlaMint-GB_2019-06-10-commons.u53	My right hon. Friend is absolutely right. As he will know, we have already announced steps in that direction in the White Paper, because we want to make it easier for those who come from abroad to study in our universities to stay and continue to lead their lives in the UK. I do believe that we can go further, both for our own economic benefit—indeed, I think, for our cultural benefit—and, certainly, for the benefit of our soft power.
ParlaMint-GB_2019-06-10-commons.u54	International students are vital not just for our exports, but for university funding and regional economies. Britain is lagging behind our main competitors in attracting the brightest and the best. What plans has the Home Secretary to add countries such as India to the list of states with fast-track access to tier 4 study permits to help to address that issue?
ParlaMint-GB_2019-06-10-commons.u55	I very much agree with the hon. Gentleman about the importance of international students, including their importance as an export for our economy. He will be pleased to learn that there is no cap on the number of international students who can come to the UK, and that the number who came last year reached a record high. As for fast-track access for certain countries, we constantly keep that under review.
ParlaMint-GB_2019-06-10-commons.u56	My constituent Ken Macharia is under threat of removal back to Kenya, where he will not be able to live openly as a gay man. In the month of Pride, it cannot be right for us to deny him the right to be who he is. More importantly, however, does the Home Secretary agree that Ken’s sexuality should not be the issue? He came here to qualify as a mechanical engineer, and he therefore has skills that we urgently need for our economy. Should we not be letting him stay for that reason, irrespective of his sexuality?
ParlaMint-GB_2019-06-10-commons.u57	I understand why my hon. Friend has raised this case, and I can assure him that the Home Office is taking it very seriously. He will, perhaps, appreciate that I cannot comment on an individual case, especially if it involves an application for a judicial review, but I can reassure him that in cases of this type, at the heart of decision-making is the welfare of the individual concerned.
ParlaMint-GB_2019-06-10-commons.u58	As has already been pointed out, the Home Secretary has pledged that if he becomes Prime Minister he will reintroduce the post-study work visa. The university sector in Scotland, business, and my colleagues in the Scottish Government have been calling for its reintroduction for some years. The right hon. Gentleman is already Home Secretary, and he has the power to reintroduce it with full effect for Scotland today if he wants to, so will he make a commitment to do so?
ParlaMint-GB_2019-06-10-commons.u59	That is exactly why the proposal is in the White Paper I published earlier this year.
ParlaMint-GB_2019-06-10-commons.u60	I am disappointed that the Home Secretary does not feel able to make that commitment, but I hope he will maybe follow through on it if he becomes Prime Minister May I ask him about something else that is very important to Members in all parts of this House? A recent freedom of information request from one of my colleagues in the Scottish Parliament revealed that 19 children and six pregnant women have been held at the privately run Dungavel detention centre since 2016, and this is despite the Government committing to end the detention of children at Dungavel. Can the Secretary of State explain how this has been allowed to happen and will he commit to ending indefinite detention as part of his future plans for the UK’s immigration system?
ParlaMint-GB_2019-06-10-commons.u61	On the hon. and learned Lady’s first question, it sounds as though she has not read the White Paper yet because it talks about increasing post-study work permits. On the question about detention, we have a comprehensive and detailed policy on adults at risk; we constantly keep it under review, and when there are specific cases we will look at them very carefully.
ParlaMint-GB_2019-06-10-commons.u62	7. What assessment he has made of the effect on safety of changes to overnight fire cover by fire services.
ParlaMint-GB_2019-06-10-commons.u63	20. What assessment he has made of the effect on safety of changes to overnight fire cover by fire services.
ParlaMint-GB_2019-06-10-commons.u64	Operational decisions are for each fire and rescue authority to make as part of their work to assess local risk and manage and allocate resources according to their integrated risk management planning process. What we have done is reintroduce independent inspection by asking HMICFRS—Her Majesty’s inspectorate of constabulary and fire and rescue services—to assess how effective each fire and rescue service is in responding to fires.
ParlaMint-GB_2019-06-10-commons.u65	I thank the Minister for his response, but the reality is that Government cuts are having a dangerous impact on safety. If Tyne and Wear’s fire and rescue service funding does not increase, this year we could see overnight cover cut by 50% in South Tyneside, putting my constituents and our local firefighters’ lives at risk. When will the Government increase funding to protect our lives?
ParlaMint-GB_2019-06-10-commons.u66	I know there are strong feelings about the funding of Tyne and Wear fire service because we had a debate in Westminster Hall, and I have subsequently met Chris Lowther, the chief, to discuss that. Our view is that the fire service has the resources it needs to continue providing what is acknowledged to be a good service underpinned by very high levels of reserves, but we are approaching a comprehensive spending review in which we will be looking to continue to make sure that the fire service has the resources it needs to do its very difficult job.
ParlaMint-GB_2019-06-10-commons.u67	In the Minister’s response of 5 June to my letter about fire service funding he stated that all services had the capacity to respond to high-rise fires, yet the speed of the fire spread we saw yesterday in Barking was terrifying, and if that had happened at night people may well have lost their lives. Seconds count and seconds save lives; is the Minister truly convinced that he has done everything he can to keep people safe in their beds?
ParlaMint-GB_2019-06-10-commons.u68	The whole House will understand the sensitivities of this subject, not least this week, and the fire was indeed extremely intense and unsettling. I congratulate the 100-odd firefighters who attended that scene on their success in getting the fire under control with no serious injury. In response to the hon. Lady’s point, yes of course I take this extremely seriously. I have received assurances from the fire chiefs that the current arrangements around integrated risk planning, the requirements around mutual assistance and the national resilience are fit for purpose, but if anyone has hard evidence to undermine that my door is open.
ParlaMint-GB_2019-06-10-commons.u69	In Northamptonshire the fire service has been successfully integrated with the local police service, saving money on administrative overheads and providing more resources for frontline capabilities. Is the Minister going to encourage more such mergers?
ParlaMint-GB_2019-06-10-commons.u70	The answer is yes, and I congratulate Steve Mold and the leadership in Northamptonshire on what they have done to show what can be achieved through really creative collaboration. This is not just about saving taxpayers’ money; it is also about exploring the opportunities to deliver a better service to the public.
ParlaMint-GB_2019-06-10-commons.u71	We are approaching the third anniversary of the Grenfell Tower tragedy, which, as Members will know, happened overnight. The Grenfell residents had complained about their treatment by the Royal Borough of Kensington and Chelsea and had specifically highlighted the fire risks, but they were ignored. What steps have the Government taken to ensure that similar warnings from those who know most—the residents themselves—are heeded and acted on?
ParlaMint-GB_2019-06-10-commons.u72	I think the right hon. Lady meant to say that it was the second anniversary, but of course the point she makes is a fundamental one that will be addressed in the statement that follows on the Government’s response to the fire, not only on future arrangements for social housing and the regulation of that, but to ensure that the voice of tenants is a louder one and a respected one.
ParlaMint-GB_2019-06-10-commons.u73	8. What recent discussions he has had with the Secretary of State for Health and Social Care on health screening for firefighters.
ParlaMint-GB_2019-06-10-commons.u74	The health and wellbeing of firefighters is of huge concern to the Home Office and to the sector leaders we are working with to support further progress in this area. As the hon. Gentleman knows, it is the responsibility of individual fire and rescue authorities, as employers, to ensure that health screening suitable for the risks faced is available to their firefighters.
ParlaMint-GB_2019-06-10-commons.u75	The stress facing our firefighters has grown considerably under this Government. We have fewer of them, and many have been replaced by retained firefighters, including in Cleveland. As we have heard, they face some of the most difficult circumstances. Does the Minister recognise the impact of those circumstances and stressors on the mental and physical health of firefighters? Will he tell me what the Government are going to do to fund health services properly for firemen?
ParlaMint-GB_2019-06-10-commons.u76	I fully understand what the hon. Gentleman is saying. Firefighters are exposed to major risks and highly traumatic situations, as well as to contaminants and toxic agents, so it is even more important that local fire authorities have appropriate strategies in place and that they are properly resourced and, critically, inspected and assessed by independent inspectors, which is what we have introduced. In relation to resources, I come back to the main point that a spending review is imminent, and it will provide an opportunity to ensure that the fire service continues to have the resources it needs to do its job and support its people.
ParlaMint-GB_2019-06-10-commons.u77	Some of the things that those in our brave emergency services—whether in the police, the fire service or the ambulance service—are tasked with dealing with are truly horrific and have long-lasting impacts, particularly on family life. What work is being done to ensure that those in our emergency services are always able to access the very best mental health care?
ParlaMint-GB_2019-06-10-commons.u78	My hon. Friend raises an extremely important point. There is a growing awareness and culture in the leadership across the police and fire services about the importance of the welfare and wellbeing agenda. That is why we have supported the first-ever national wellbeing service, which is being developed and rolled out across that system, and why we continue to engage with the fire chiefs in order to be absolutely sure that, on top of the money we have provided for the blue-light services and for mental health support, we are doing everything we can to ensure that those on the frontline of our response to emergencies are properly supported and that the old culture of “stay strong” can be challenged when it needs to be, because of the trauma that our first responders are often exposed to.
ParlaMint-GB_2019-06-10-commons.u79	Two years on from Grenfell, firefighters and members of the community still have not been screened for fire-related toxic contamination. Speaking as a former nurse and the mother of a young woman who died of cancer, I find that genuinely unacceptable. Given the dangerous carcinogens that have been found in the area surrounding the building, the Government’s inaction displays a reckless disregard for people’s health, and I hope that the Minister is not going to pass the buck here. I should like to ask him to commit to undertaking a wide review of cancer rates among firefighters, and to consider implementing a national fire service cancer screening strategy. This is just too important for him not to.
ParlaMint-GB_2019-06-10-commons.u80	I have a lot of sympathy for what the hon. Lady is saying. In relation to the Grenfell firefighters, that is something that I will of course take up with the London fire brigade. On the broader point, she is absolutely right to say that firefighters are exposed to contaminants and toxic agents. Exposure will vary, but I am sure she will be aware that past research has not shown an increase in risk. However, this is a source of concern to us, and the fire chiefs have recently commissioned research from the University of Brighton. We will need to wait for that to conclude before agreeing the next steps in relation to the kind of comprehensive universal screening service that she has mentioned.
ParlaMint-GB_2019-06-10-commons.u81	11. What steps he is taking to provide security and law enforcement organisations with the tools that they need to counter terrorism.
ParlaMint-GB_2019-06-10-commons.u82	A review of powers was undertaken as part of our updated comprehensive counter-terrorism strategy, CONTEST, and the lessons learned from the attacks of 2016 and 2017 were incorporated. Following the review, the Government launched the Counter-Terrorism and Border Security Act, which received Royal Assent on 12 February 2019.
ParlaMint-GB_2019-06-10-commons.u83	Our security services are world class, but we know that co-ordination is key, so does my right hon. Friend agree that negotiating security co-operation with our European partners and neighbours and strengthening our alliances around the world should be top post-Brexit priorities?
ParlaMint-GB_2019-06-10-commons.u84	Yes, I can reassure the House that intelligence sharing will go on unchanged. The relationship between intelligence services under national security, irrespective of our status within Europe, will not diminish, and the same goes for our status within the Five Eyes community—a strong partnership for intelligence. In addition, when it comes to law enforcement tools, our relationships are also underpinned by the 1957 Council of Europe convention on extradition and the 1959 European convention on mutual assistance in criminal matters, and those will continue no matter what the settlement is.
ParlaMint-GB_2019-06-10-commons.u85	This weekend, the Home Secretary announced as part of his leadership bid a £500 million investment in border security in Northern Ireland, plus ongoing costs. Will the Minister agree to publish the proposals as soon as possible, so that they can be open to public and private scrutiny?
ParlaMint-GB_2019-06-10-commons.u86	The right hon. Gentleman raises an important point about investment in our border. However, I had a quick discussion with the Home Secretary, who does not have the same recollection of what he announced at the weekend. I am sure that if the right hon. Gentleman writes to the Home Secretary, the Home Secretary will set out the position.
ParlaMint-GB_2019-06-10-commons.u87	I was horrified to read that a Hezbollah bomb factory storing three tonnes of explosive materials was discovered in north-west London in 2015—three and a half years before the Home Secretary fully proscribed the antisemitic terror group. Why did the Government wait so long to act? Why were the public and MPs not informed, given the debates that we have had on this issue?
ParlaMint-GB_2019-06-10-commons.u88	The right hon. Lady will know, as a former Home Office Minister, that we do not comment on intelligence operations for obvious reasons. In addition, if Hezbollah was behaving in that manner at that time, that would have been under its military wing, as it was classified, and that would have been an act of terrorism and, indeed, would have been subject to the proscription provisions. I therefore do not think that anything different would have happened. However, as the right hon. Lady knows, the Home Secretary recently moved to proscribe the entirety of Hezbollah, partly because of such cases.
ParlaMint-GB_2019-06-10-commons.u89	13. What steps his Department is taking to promote the EU settlement scheme.
ParlaMint-GB_2019-06-10-commons.u90	EU citizens are our friends, neighbours and colleagues, and we want them to stay. The EU settlement scheme enables them to do so, and we launched a £3.75 million marketing campaign in March to encourage them to apply.
ParlaMint-GB_2019-06-10-commons.u91	If these people genuinely are the Home Secretary’s friends, colleagues and neighbours, perhaps the Government should start to treat them as such, instead of preparing to make them the victims of another Windrush-type scandal. The Home Affairs Committee recently reported that thousands of EU nationals in the UK run the risk of being left with an uncertain legal future. Does the Home Secretary not accept that it is time to get rid of the application and potential refusal system that they have just now and replace it with as a system of right to remain by declaration? That would leave the onus of proof on the Government if they think that someone should not be allowed to stay, instead of making the person prove that they can.
ParlaMint-GB_2019-06-10-commons.u92	The settlement scheme is working incredibly well. To update the House, 800,000 applications have already been made since its launch, with almost 700,000 concluded. The hon. Gentleman mentions Windrush, and if he wants another Windrush, he should continue with the proposal that he just suggested.
ParlaMint-GB_2019-06-10-commons.u93	14. What steps he is taking to tackle the rising level of knife crime.
ParlaMint-GB_2019-06-10-commons.u94	Just some of the actions we are taking to tackle knife crime include: strengthening the law through the Offensive Weapons Act 2019; establishing the national county lines co-ordination centre; consulting on a new duty to support a multi-agency public health approach; launching the £100 million serious violence fund in the spring statement; and providing new lesson plans to schools as part of our #knifefree campaign. We take careful note of the Metropolitan Police Commissioner’s recent comments about knife crime levelling off, and I am sure we all support the police’s efforts to tackle this.
ParlaMint-GB_2019-06-10-commons.u95	I thank the Minister for her answer, but there were 18,000 assaults and 17,000 robberies involving a knife or a sharp object in the year ending 2018. The Government have cut police officer numbers by 21,000, and two weeks ago there was a murder in Tower Hamlets due to a knife attack. Does she agree that the Home Secretary is not fit to be the next Prime Minister, considering that he has lost control of law and order in his Department?
ParlaMint-GB_2019-06-10-commons.u96	I have to say that I think this is such a serious subject—I understand the hon. Lady’s comments about her constituency—but I do not think this is the appropriate forum to make those sorts of comments. What I do know is that the Government, working with the police, local authorities, the medical profession and educationalists, are doing everything we can not just to tackle the causes of knife crime through law enforcement efforts but to intervene early to stop young people from carrying knives before they take that terrible step, which can affect not only their lives but other families and communities.
ParlaMint-GB_2019-06-10-commons.u97	The hon. Member for Blaenau Gwent (Nick Smith) is welcome to shoehorn his inquiry, Question 16, conveniently into Question 14, if he so wishes, but it is not obligatory.
ParlaMint-GB_2019-06-10-commons.u98	16. I have been working with Gwent police and local residents regarding alleged criminality in the village of Cwm. The local police have been great, but clearer 101 call information would ease victims’ concerns. May I ask the Home Secretary to encourage the police to provide more detailed call centre data, including out-of-hours response times and geographic information, for better public involvement and support for our police services?
