ParlaMint-GB_2019-10-31-lords.u1	To ask Her Majesty’s Government what is their response to the demands of Extinction Rebellion.
ParlaMint-GB_2019-10-31-lords.u24	On the final point, I totally disagree with the noble Baroness. It is not just a few civil servants; it is 1,000, and that is a substantial uplift. If you are going to be on the global stage, you need more diplomats, and we have brought about just that, including in the European Union. On losing influence, I remind her that we are a P5 member of the UN and a member of the G7, the G20, NATO and the OSCE. Far from receding, that provides an opportunity after we leave the European Union to continue our relationship with our European partners, to strengthen our global ambitions and aspirations, and to truly be a global Britain on the world stage.
ParlaMint-GB_2019-10-31-lords.u25	My Lords, would “co-operate” not be a better word than “co-ordinate”? After all, Britain has vast and growing interests in a rising Asia, in the Africas and in America—areas well beyond the immediate reach or interest of our neighbouring European powers. What would be the point of latching ourselves exclusively to our neighbours’ foreign policy—a committee of 27 other countries—when we have a desperate need to develop a much more effective policy in relation to Asia and Africa, where all the growth will be over the next 10 years?
ParlaMint-GB_2019-10-31-lords.u26	I agree with my noble friend, who speaks on these matters with great insight. Of course, he is a great advocate, as am I and other noble Lords, of the growing strength of our Commonwealth network of 53 nations. I agree with him that this is about co-operation. A specific example of co-operation with our European Union partners and European colleagues after we leave the European Union will be the E3 relationship. As Minister for the UN, I can say that we have been strengthening the European voice in co-ordinated activity at the UN Security Council, acting together co-operatively, and that is a demonstration of how we will continue to work with European partners after we leave the EU. However, I agree with my noble friend that there is a huge opportunity to work with partners elsewhere.
ParlaMint-GB_2019-10-31-lords.u27	My Lords, can the Minister perhaps explain to the House what loss of sovereignty exists in our membership of the European Union in the parts that deal with common foreign and security policy, given that all decisions are taken by unanimity? Is that not a bit of a red herring? Does he not agree that any relationship that we negotiate for security and foreign policy co-operation really would have to be load-bearing if it is to be of any use at all and not just leave us tagging along?
ParlaMint-GB_2019-10-31-lords.u28	I always listen carefully to the noble Lord’s contributions but, on this occasion, I disagree with him. He will know from his own insights and experience that, on issues of security co-operation, the United Kingdom will continue to work with our European partners through our continued and leading membership of organisations such as the OSCE, NATO and, indeed, the UN, which will provide that security, strength and partnership.
ParlaMint-GB_2019-10-31-lords.u29	My Lords, I declare an interest as co-chair of the Franco-British Council. The Minister has placed a great deal of emphasis on the importance of bilateral relationships following—if I may say so—the Prime Minister’s flawed hard Brexit. Can he give the House a commitment to greatly improve the support given to these bilateral organisations, including financial support? At present, it is pitiful.
ParlaMint-GB_2019-10-31-lords.u30	On the noble Baroness’s point about a hard Brexit, my right honourable friend the Prime Minister has worked to achieve a deal with our European partners, often against great criticism and against those who said that it could not be done. It is regrettable that the House of Commons did not pass that agreement. However, we are where we are, the agreement is on the table and we hope—as the Conservative Government that will emerge after the election—that we will continue to pursue that agreement with our European partners. This is about not a hard Brexit but a pragmatic relationship with our European partners. The noble Baroness makes a valuable point about bilateral relationships. We will continue to strengthen such relationships with our European partners, and I will certainly look at her proposal to strengthen our funding in that respect.
ParlaMint-GB_2019-10-31-lords.u31	My Lords, bilateral relationships are only one part of the picture, as the noble Lord, Lord Evans, said in a recent article on security issues and our current policy. The noble Lord, who is of course a former director-general of the security services, said that, “the whole approach the UK has taken is one of integration between law enforcement and the national security agencies. The risk, in my view, with Brexit is that there will be differential impact on the one hand on the intelligence relationships, and on the other the law enforcement agencies” What is the Minister’s response to that?
ParlaMint-GB_2019-10-31-lords.u32	The noble Lord will have looked at the withdrawal agreement, which provides for continuing our security and defence relationship through the transition period; that relationship will be a primary focus after we leave the European Union. Subsequently, as we negotiate the detail of the political agreement, we will work to take note of the very points that the noble Lord, Lord Evans, raised in his article. However, given the strength of our role on the world stage—particularly through defence organisations such as NATO and security organisations such as OSCE, of which we will continue to be not just members but leading members—I am confident that many of the concerns that noble Lords are rightly raising will be addressed.
ParlaMint-GB_2019-10-31-lords.u33	To ask Her Majesty’s Government, following the death of a newborn baby in HMP Bronzefield, whose mother reportedly gave birth alone in a cell with no medical care, what action they are taking to ensure that vulnerable pregnant women have access to good-quality healthcare, and are safe, in prison.
ParlaMint-GB_2019-10-31-lords.u34	My Lords, the incident at Her Majesty’s Prison Bronzefield was tragic. Ongoing investigations, including by the police, mean that it is not appropriate to comment on the details. While the police investigation has primacy, we have asked the Prisons and Probation Ombudsman to conduct an overarching investigation. This distressing incident is a rare occurrence. Every step is taken for women to give birth in hospital but, for a small number, this is not possible due to the unpredictability of labour.
ParlaMint-GB_2019-10-31-lords.u35	I thank the Minister for that Answer, although it is not satisfactory. It seems that lessons were not learned at Bronzefield Prison as there were two such incidents in the past year, one resulting in a stillbirth. Will the Minister say why, despite the Government’s commitment in the female offender strategy to reduce the number of women in prison, the figures show that they are going up? Why is it that the Government—or the Prison Service—have no figures at all for how many women in prison are pregnant? Surely an urgent and immediate audit is needed to ensure that that is rectified. In addition, the Minister said that the Prison Service is responsible for pregnant women, but surely it is also responsible for their unborn children. This Victorian incident of a woman giving birth alone in a prison cell illustrates the lack of care and support for pregnant women in prison, many of whom should not even be there. Can he explain this, please?
ParlaMint-GB_2019-10-31-lords.u36	My Lords, I cannot accept all the propositions advanced by the noble Baroness. As at 3 pm on Monday, 47 women in custody were identified as being pregnant. In 2018, collection of local data identified that there were fewer than five cases in which a woman in custody had given birth in prison. Every effort is made to ensure that suitable midwifery and perinatal care is available for all women taken into custody. Indeed, the guidance document Working with Women in Custody and the Community, published in December 2018, includes an entire section on caring for perinatal women in prison. This was a most unfortunate incident. As I say, it is not appropriate for me to go into the detail of the incident, given that there is an ongoing police inquiry, but I can assure the noble Baroness that, apart from the guidance I have just referred to, the National Prison Healthcare Board has a principle of equivalence of care for prison healthcare in England to ensure that the same standard of perinatal care should be available to those in custody as to those in the community.
ParlaMint-GB_2019-10-31-lords.u37	My Lords, we have a situation where 600 pregnant women are confined. While this raises questions about sentencing, it surely also underlines the need for those in charge of women’s prisons to provide proper care. There are 11 investigations currently under way. Given the shocking failure of Sodexo in this case, what sanctions will the Government impose on the company? Will it transfer the management of women’s prisons to public sector or non-profit-making management?
ParlaMint-GB_2019-10-31-lords.u38	My Lords, the guidance that I referred to applies equally to public sector and contracted prisons. With reference to Her Majesty’s Prison Bronzefield, I observe that the most recent report from the inspectorate, published in April this year, identified Bronzefield as an “overwhelmingly safe prison” and an “excellent institution”. It found that pregnant prisoners in Bronzefield were identified and immediately referred to midwifery support. Clearly, we need to look at this incident and learn lessons from it. We are intent on doing so.
ParlaMint-GB_2019-10-31-lords.u39	My Lords, I declare my interests as a trustee of the Prison Reform Trust. Will my noble and learned friend not only take on board the points made by the noble Baroness opposite in respect of the example at Bronzefield but widen the inquiry he has spoken about to cover all medical services provision in the prison estate in England and Wales, be it for mental or physical health? An increasing cohort of elderly, geriatric and end-of-life prisoners is underprovided for in terms of adequate medical care. Will my noble and learned friend ensure that this Government make sure that there is proper provision for all prisoners, throughout the prison estate?
ParlaMint-GB_2019-10-31-lords.u40	My noble and learned friend makes a very good point. It is essential that we provide medical care across the board for those in custody. As I mentioned, that is why the National Prison Healthcare Board has produced its principle of equivalence of care for prison healthcare in England. That followed a report by the House of Commons Health and Social Care Committee, published in November 2018, which recommended that the board should work with stakeholders over the next 12 months to agree a definition of equivalent care and indicators to ensure that they can measure that there are no health inequalities for people detained in prison. Of course, that includes mental health, which is a major issue, particularly in respect of women’s custody, with more than half of women in custody recorded as reporting or suffering from mental health issues. I agree that that needs to be addressed.
ParlaMint-GB_2019-10-31-lords.u41	My Lords, when I suspended my first inspection of HMP Holloway after discovering that women were routinely chained while in labour, I was very disturbed to discover that there was nobody in Prison Service headquarters responsible for the overall direction and co-ordination of women’s prisons. Could the Minister tell the House who in Prison Service headquarters is responsible for the co-ordination of the delivery of services to pregnant women in prison?
ParlaMint-GB_2019-10-31-lords.u42	My Lords, that ultimately rests with the director-general, who in turn takes steps to deal with those concerned at a regional level. That remains the position. I am pleased to say that the director- general of the Prison Service is always in communication with prison group directors regarding all these issues. I am also pleased to observe that we have moved on significantly since the days when the noble Lord, Lord Ramsbotham, made the discoveries he referred to. Matters have improved. Indeed, my understanding is that Holloway prison is no longer open.
ParlaMint-GB_2019-10-31-lords.u43	To ask Her Majesty’s Government what plans they have to address the gender pay gap for women in their 50s, following the analysis conducted by Rest Less, published on 29 October.
ParlaMint-GB_2019-10-31-lords.u44	My Lords, the gender pay gap is highest for those aged 50 to 59, reflecting the accumulation of structural inequalities that disproportionately impact women across the life course. In July, we published our gender equality road map, setting out how the Government will tackle gender inequalities affecting women throughout their lives. This could include actions to promote women’s progression, to support carers and returners, to help women plan for retirement and to understand women’s reproductive health experience in work, including the menopause.
ParlaMint-GB_2019-10-31-lords.u45	I am very grateful to the Minister for that Answer and for the co-operation we received in coalition to introduce shared parental leave and flexible working. However, these measures are clearly not enough, especially since older women face a disproportionate burden of social care. Will the Minister consider making a manifesto commitment to make all jobs flexible by default to help those with caring responsibilities stay in work and to stop them losing out on pay progression, as recommended by the Centre for Ageing Better?
ParlaMint-GB_2019-10-31-lords.u46	I certainly agree with the noble Baroness—it is borne out by fact—that women bear the burden of caring far more than men. She is absolutely right about the work that has gone on over the past few years to improve flexible working being offered. As she knows, all employees with 26 weeks’ continuous service with their employer already have the right to request flexible working. That accounts for approximately 90% of employees. That sends a really clear signal that flexible working should be the norm rather than the exception, but we would like to take this further, which is why we are considering requiring employers to say in each job advert whether a job can be done flexibly.
ParlaMint-GB_2019-10-31-lords.u47	My Lords, could the Minister say what the Government are doing about the gender pension gap, which is double the pay gap, with women receiving £7,000 less on average than men in their pensions according to House of Lords Library figures?
ParlaMint-GB_2019-10-31-lords.u48	The noble Baroness brings up a good point on the gender road map, which we are talking about, affecting women as they reach pensionable age because they have fewer years of working service. The new state pension was introduced for people reaching state pension age from 6 April 2016 onwards to provide a clearer, sustainable system for their future. More than 3 million women now stand to receive an average of £550 more a year by 2030 as a result of recent reforms.
ParlaMint-GB_2019-10-31-lords.u49	My Lords, my noble friend Lady Crawley is absolutely right: women’s pension wealth is on average one-third of men’s when they reach retirement age. The Minister mentioned the new state pension system, but many women who are now in their 50s often took time out of the labour market earlier to raise their children only to find that they are carers again, often for elderly parents or sometimes for grandchildren. Under the old pension system, if you took time out for caring responsibilities you could get a credit for not just the basic state pension but SERPS, the earnings-related pension, but under auto-enrolment, if you cannot qualify because you have taken time out of the labour market, you get nothing. What are the Government doing about that?
ParlaMint-GB_2019-10-31-lords.u50	As I said to the noble Baroness, Lady Crawley, I agree regarding the problems that women face, and, as I acknowledged to the noble Baroness, Lady Burt, particularly when they take time out of work for caring and other responsibilities. However, I must tell her that, in 2012, 40% of women in the private sector were participating in a workplace pension. As of 2018, that has increased to 85%, which is now equalling the participation rate of men.
ParlaMint-GB_2019-10-31-lords.u51	My Lords, there are a number of ways in which women tend to be losing out in the pension system and in the workplace. Over the last 20 years, the number of women working in their 50s and 60s has increased by 75%. I urge the Minister and the Government to look seriously at ways in which we can help women overcome age and gender discrimination, which still exist in the labour market, and address the pension shortfalls that women face, both in the state pension and the private pension. However, I congratulate the Government on the work that they are doing to improve the situation.
ParlaMint-GB_2019-10-31-lords.u52	I thank my noble friend for those points and acknowledge that she is far more expert in this area than me. Noble Lords have been talking about women in their 50s; that is the most disadvantaged decade for women in their working lives. In Greater Manchester, which I always like to promote, we have a returners project which will support people over 50, and those with lower-level qualifications, who want to return to work, because they are at even more of a disadvantage. The programme began in June and runs until May 2020. We are awarding money to Greater Manchester Centre for Voluntary Organisation to recruit private sector employees and support them to develop their recruitment and employment practices to make their job opportunities accessible for those returners.
ParlaMint-GB_2019-10-31-lords.u53	My Lords, can the Minister return to the question that was asked by my noble friend Lady Sherlock? Of course, it is to be encouraged that people who previously did not have access to workplace pensions now do, and the numbers are heartening. However, she did not address the question of what those people are going to do about the fact that there is no mechanism for them to make up any shortfall that occurs as a result of them taking up caring responsibilities. Do the Government have any plans to address this?
ParlaMint-GB_2019-10-31-lords.u54	The noble Baroness is right that years lost in employment will create a shortfall. The Government are trying to create those opportunities, so that women in their 50s in particular can upskill or have other opportunities to enable them to re-enter the workplace.
ParlaMint-GB_2019-10-31-lords.u55	That the debate on the motion in the name of Lord Bourne of Aberystwyth set down for today shall be limited to 3 hours.
ParlaMint-GB_2019-10-31-lords.u56	My Lords, on behalf of my noble friend the Leader of the House, I beg to move the Motion standing in her name on the Order Paper. In doing so, I inform the House that we will not start the debate on the phase 1 report of the Grenfell Tower Inquiry before 1.30 pm. We will adjourn the House during pleasure if necessary. The Legislation Office is accepting amendments for the Committee stage of the Historical Institutional Abuse (Northern Ireland) Bill, which will be taken after the Grenfell debate. It will stop accepting amendments at 1 pm. Any further tabling deadlines will be advertised via the annunciator.
ParlaMint-GB_2019-10-31-lords.u57	That the Bill be now read a second time.
ParlaMint-GB_2019-10-31-lords.u58	My Lords, sadly, this Bill is necessary. Although cross-party talks continue, the United Kingdom Government must take forward certain essential legislation to maintain the provision of public services. The legislation before the House today places the budget published in February 2019 on a legal footing and enables the Northern Ireland Civil Service to access the full funding for this financial year. Royal Assent is necessary to avoid the use of emergency powers under Section 59 of the Northern Ireland Act 1998 I shall now briefly turn to the Bill’s contents, which largely rehearse what the former Secretary of State set out to the House in a Written Ministerial Statement earlier this year. The Bill authorises Northern Ireland departments and certain other bodies to incur expenditure and use resources for the financial year ending on 31 March 2020.
ParlaMint-GB_2019-10-31-lords.u59	My Lords, I apologise—for the second time this week—for interrupting the Minister so early in his speech. However, I would be very grateful if he could give the House any information in respect of the costs presumably incurred under this Bill as a result of the compensation paid under the Historical Institutional Abuse (Northern Ireland) Bill. Will that legislation go through the Commons as it will do through this House later today—speedily and without amendment, as I understand it? Does the Minister, or the Chief Whip, have any information on that, please?
ParlaMint-GB_2019-10-31-lords.u60	I do not mind being interrupted by the noble Lord. The sum total of the expected costs under the historical institutional abuse Bill—this is an early estimate—is around £237 million, which will come from the Northern Ireland block grant. Money has been set aside and it will be met in full; of course, it may be higher than that depending upon circumstances. I believe that the historical institutional abuse Bill will pass through this House swiftly and, I sincerely hope, without amendment, today. I would like to believe that it could pass through the House of Commons in exactly the same fashion, but while I would like to make that so, I cannot guarantee it. But I hope to be able to report back with more information during the discussions we will have on the HIA Bill. That should help the House be aware of what we are facing.
ParlaMint-GB_2019-10-31-lords.u61	I thank the Minister very much for that response. I know, and the whole House knows, that he has been fully supportive of the Bill, and I am grateful for that. But in any intervening discussions that might be had with the Chief Whip here or the Chief Whip down there, can it be made clear that there is no reason at all why the Commons cannot do the same? The victims of historical institutional abuse will not understand if that does not happen.
ParlaMint-GB_2019-10-31-lords.u62	I believe that the victims of historical abuse are watching us right now, not just in this House but in the other place. The noble Lord is correct in assessing what their view would be if that Bill fails to pass through both Houses. I will return to this during discussions in Committee on the historical institutional abuse Bill, to bring further matters to his and the House’s attention. If I may return now to the Bill before us, I shall talk briefly on its contents. The Bill authorises Northern Ireland departments and certain other bodies to incur expenditure and use resources for the financial year ending 31 March 2020. Clause 1 authorises the Northern Ireland Department of Finance to issue £5.3 billion out of the Northern Ireland Consolidated Fund. The sums of money granted to Northern Ireland departments and other bodies are set out in Schedule 1, which also sets out the purposes for which the funds may be used. The allocations in this budget reflect where the key pressures lie in Northern Ireland, building on discussions we have had with the Northern Ireland Civil Service, the main parties in Northern Ireland and other stakeholders. Where possible, they reflect the previous Executive’s priorities Clause 2 authorises the temporary borrowing by the Northern Ireland Department of Finance of around £2.6 billion, to safeguard against the possibility of a temporary deficiency in the Northern Ireland Consolidated Fund. If used, this money will be repaid by 31 March 2020. Clause 3 authorises Northern Ireland departments and other specified public bodies to use resources amounting to some £6 billion in the year ending 31 March 2020 for the purposes specified in Schedule 2. Clause 4 sets limits on the accruing resources, including both operating and non-operating accruing resources, which may be used in the current financial year. Since this Bill would normally be taken through the Assembly, Clause 5 includes a series of adaptations that ensure that, once approved by both Houses, it will be treated as though it were an Assembly budget Act Alongside the Bill, the Government have laid a Command Paper; a set of main estimates for the Northern Ireland departments and bodies covered by the budget Bill. These estimates, which have been prepared by the Northern Ireland Department of Finance, set out the breakdown of resource allocation in much greater detail. I commend the Bill to the House.
ParlaMint-GB_2019-10-31-lords.u63	My Lords, although this House is strongly averse to fast-tracking, there can be no doubt that this budget, essential to the well-being of the people of Northern Ireland, must be passed before the Dissolution of Parliament. I want to address just three matters to which the budget is relevant. All were raised during our important Northern Ireland debates at the start of the week, but without eliciting full responses from the Government The first is the renewable heating incentive scheme, which went so disastrously wrong. As the noble Lord, Lord Alderdice, pointed out on Monday, the report of the independent inquiry, chaired by Sir Patrick Coghlin, was completed some months ago. When I last asked in a Written Question when the report would be published, I was told rather curtly to get in touch with the relevant Northern Ireland department. That has not proved a profitable line of inquiry. Are the Government able to provide some indication of when the report will appear, particularly now that the sorry episode has been described in a book by a leading Northern Ireland journalist, Sam McBride? It is a report which will provide vital lessons for the future The reforms that have recently been made to this unfortunate scheme have created hardship among a considerable number of participants who joined it in good faith in its original form. This House discussed at some length the need to provide relief to those enduring hardship at the time the Northern Ireland budget was last before the House. Widespread support for action was expressed across the House in an impassioned debate on 19 March. We were assured by my noble friend Lord Duncan that a hardship scheme would be constructed. He said that he would lay a written report before your Lordships’ House so that your Lordships could see what it would look like in practice. He added, perfectly fairly and reasonably: “There is no point in pretending that this can be achieved in a fortnight”.—[Official Report, 19/3/19; col. 1408.] Well, a number of fortnights have passed since then and it would be good to have news of progress Secondly, perhaps I may touch on the severe crisis in the health service with which Northern Ireland is afflicted. It is truly shocking that in Northern Ireland someone in need of treatment is 3,000 times more likely to have been on a waiting list for a year or more than his or her counterpart in England, as my noble friend Lord Empey told the House on Monday. Over the past year or so, my noble friend has put a number of suggestions for improvement to the Government, including the appointment on a purely temporary basis of a Minister of Health. We have been given no indication of a positive response to his imaginative ideas. It should be remembered that in Northern Ireland, unlike other parts of the country, there are no elected local councillors to assist in overseeing health services, since Stormont is both an upper tier of local government and a devolved legislature I come finally to welfare and the deeply troubling point raised on Monday by the noble Baroness, Lady Lister of Burtersett, who cannot be in the House today. She drew our attention to the fact that arrangements that have been made to mitigate the effect of welfare reforms on the very poorest will expire in March next year unless action is taken swiftly to extend them. She pointed out that some 35,000 low-income families would be made worse off overnight unless the Government deal with the issue. It has now been agreed, I think, that a report will be laid before Parliament by 1 December under the 2019 Act. That report should contain the firm commitments that the noble Baroness and others are seeking I draw from these three issues one general conclusion, which I will put in the form of two questions. Should not this Parliament endeavour to devise more effective arrangements to safeguard the interests of our fellow country men and women in Northern Ireland in circumstances where their own democratic institutions are suspended for a protracted period? Should we perhaps seek, through constructive constitutional thought, to make provision in these circumstances for some form of halfway house between full devolution and full direct rule, to which so many people are ill disposed It would be rash to think that the prolonged impasse in Ulster’s affairs, which has not yet been resolved, will not recur after a better dispensation has finally been made. For wholly understandable reasons, we made devolution in Northern Ireland dependent on the willingness of parties with diametrically opposed constitutional objectives to share power together. I was struck by some words of my noble friend Lord Empey last Monday: “As a Parliament, we have an obligation to protect our citizens which supersedes parties and all issues”.—[Official Report, 28/10/19; col. 822.] These are words, I think, on which we can usefully reflect.
ParlaMint-GB_2019-10-31-lords.u64	My Lords, it seems that we are again on the merry-go-round as we come to Northern Ireland. We on these Benches have said it umpteen times, but we want to keep repeating that we feel the best way forward is for the Northern Ireland Assembly to be making these decisions. Alas, there is no prospect of the Assembly sitting any time soon. There was an honest attempt to have the Assembly recalled just over a week ago, but that attempt was also squandered because Sinn Féin, again, stayed away and was not prepared to participate The noble Lord, Lord Lexden, made reference to the RHI, which was allegedly the reason that the Assembly was brought down, but those of us who live in Northern Ireland know perfectly well that that was not the reason; it was the excuse. A judge-led inquiry was established, which has now completed its report and its findings will be made public very soon, we hope. Therefore, if the RHI had been the reason, the inquiry would remove all the alleged obstacles to the return of devolution, but those of us who sit on these Benches and who live in Northern Ireland are not as naive as that. We know that the prospects of the Northern Ireland Assembly returning any time soon are very remote. Indeed, I suspect that we will be going through the same process again this time next year, so the Government have some responsibility to bring energy and urgency to the whole task of restoring devolution in Northern Ireland. I accept that you can take a horse to the water but you cannot make him drink. That is the situation that we find ourselves in today What we should be debating and discussing today are the issues that affect people’s everyday lives. Our health service is in dire straits. Why is no urgency applied to look at those who need urgent health services? Why are they ignored? Our education system is in urgent need of attention. Again, it is ignored. Our infrastructure in Northern Ireland is creaking at the hinges.
ParlaMint-GB_2019-10-31-lords.u65	Does my noble friend agree that there was no hesitancy in this House in legislating concerning same-sex marriages or divorce over the heads of the people, while a large portion of the people of Northern Ireland did not desire such legislation to be passed? It was raced through this House, yet people are allowed to die and there is no haste for legislation or for a Minister or anyone else to take responsibility for doing something to allow them to live rather than die. As for the RHI, is it not time that we had the fulfilment of the promise made by the Minister and mentioned by the noble Lord, Lord Lexden, for a chairman to be appointed to look at those enduring hardship through no fault of their own?
