ParlaMint-GB_2019-10-24-lords.u1	To ask Her Majesty’s Government what plans they have to encourage more people to travel by bus.
ParlaMint-GB_2019-10-24-lords.u18	I thank the noble Lord for his question, but I also point out that this Government support the bus sector to the tune of £2.2 billion from the taxpayer. That is 12% higher in real terms than under the last Labour Government. I also point out that the £1.3 billion that the Labour Party proposes putting into buses seems to be coming away from road maintenance and upgrades. That is a false economy, because one of the key issues in getting people back on buses is journey reliability, and that relies on good roads.
ParlaMint-GB_2019-10-24-lords.u19	My Lords, important new powers were introduced in the Bus Services Act 2017, but because they are available only to areas with elected mayors, most rural areas are excluded from them. If experience shows that these powers are effective, will the Government rethink their availability to rural areas?
ParlaMint-GB_2019-10-24-lords.u20	I hate to disagree with the noble Baroness, but there are two different types of powers that came in under the Bus Services Act. The first is the franchising power, and in that regard, she is right; it is available only to local elected mayors, because it needs a significant grouping of bus operators and also the population. What is available to all local authorities, and is really important, is enhanced partnerships, where the local authority works with the operator. The local authority can put in place bus priority measures and parking enforcement and, in return, the bus operator can provide better ticketing information and faster services.
ParlaMint-GB_2019-10-24-lords.u21	To ask Her Majesty’s Government what steps they are taking (1) to improve access to palliative care, rehabilitation and psychosocial care for people living with a brain tumour, and (2) to provide support for their carers and families.
ParlaMint-GB_2019-10-24-lords.u22	My Lords, the NHS Long Term Plan sets a clear ambition that, where appropriate, every person diagnosed with cancer will have access to personalised care by 2021. Personalised care includes support planning based on holistic needs assessments, end-of-treatment summaries, health and well-being information and support and a cancer care review with GPs. These interventions align with the comprehensive model for personalised care and should be made available for all cancer patients, including those in need of end-of-life care.
ParlaMint-GB_2019-10-24-lords.u23	My Lords, International Brain Tumour Awareness Week starts on Saturday, so it is timely to remember both patients and carers. Living with a brain tumour often means coping with life-changing symptoms, such as mental and emotional health issues, communication and mobility problems. Carers also need support in adjusting to these changes in the person they care for, including coping with difficult behaviour and personality changes, disorientation and confusion. Both Marie Curie and the Brain Tumour Charity have highlighted strong concern about inadequate support for carers and the impact on the care journey that carer breakdown in these circumstances can have, often leading to emergency hospital admission. What action are the Government taking to ensure that people with brain tumours, their carers and their families receive care and support that meets their needs and wishes?
ParlaMint-GB_2019-10-24-lords.u24	The noble Baroness has raised a very important issue. Obviously, the Government are working to deliver the Carers Action Plan, which retains the strategic vision of recognising, valuing and supporting carers. It includes a commitment to 64 actions across five priorities to ensure that we improve support for carers, including recognition and support, and build evidence to improve outcomes, especially in these very difficult areas. We are also working hard with the Tessa Jowell Brain Cancer Mission to ensure that we improve pathways for those with very challenging brain tumour diagnoses.
ParlaMint-GB_2019-10-24-lords.u25	My Lords, I declare an interest as a patron of the Tessa Jowell Brain Cancer Mission. The noble Baroness, Lady Wheeler, has highlighted a very important topic, because the outcomes and experiences of people with brain tumours and brain cancers are terrible and have not improved in decades. The actions my noble friend has set out are important, but it took the leadership of our late and much missed noble friend to galvanise action. Part of that action was a pledge from the Government of £40 million from the National Institute for Health Research to improve research into treatments, therapies and care for people with brain tumours. Can my noble friend update the House on what progress has been made on that and how the money is being spent?
ParlaMint-GB_2019-10-24-lords.u26	I thank my noble friend for his question and I pay tribute to his leadership on this issue. He is absolutely right that we must improve outcomes for those diagnosed with brain cancer, and one of the ways of doing so will be through earlier diagnosis. That is why the Prime Minister announced measures with the aim of seeing 75% of all cancers detected at an early stage by 2028 to save 55,000 lives a year. My noble friend is right, however, that we will deliver this only through improved research specifically targeted at brain cancers. The Government announced £40 million over five years for brain tumour research. This can be delivered only through the submission of high-quality research and I know that the Tessa Jowell mission is working to ensure that that becomes a reality.
ParlaMint-GB_2019-10-24-lords.u27	My Lords, the noble Baroness, Lady Wheeler, outlined a perfectly reasonable list of requirements and I am pleased that they all fall within the NHS long-term plan. However, “long-term” is slightly ill defined—by when will all these requirements be met?
ParlaMint-GB_2019-10-24-lords.u28	We are working to deliver earlier diagnosis to improve survival of 75% of cancers by 2028. We are also working to improve the one-year survival rates of adults diagnosed since 2016 over the next 10 years. We are also making sure that we improve the commitment of the £40 million over the next five years. I hope that answers the noble Baroness’s question.
ParlaMint-GB_2019-10-24-lords.u29	My Lords, I am a vice-president of a hospice in Exeter which is raising money to provide 24-hour care at home. Does the Minister recognise how important it is for those in palliative care, particularly those with brain cancers, to be able to spend the rest of their lives—and die—at home?
ParlaMint-GB_2019-10-24-lords.u30	The noble and learned Baroness is quite right that people should have a choice in end-of-life care. The long-term plan recognises that we need to improve that choice and the quality of discussions around it. That is at the heart of the drive to improve personal health budgets and help staff identify personalised care planning for end-of-life care. I hope that reassures the noble and learned Baroness that this is seen as a top priority in end-of-life care planning.
ParlaMint-GB_2019-10-24-lords.u31	My Lords, the Minister has mentioned NHS support, but she will know that by far the majority of support for carers in these circumstances comes from local authorities. How does she react to all the current research showing that not only are services diminishing for carers in local authority areas but also the number of assessments, in contradiction to obligations under the Care Act and the carers action plan?
ParlaMint-GB_2019-10-24-lords.u32	The noble Baroness will know that this has been identified as a priority, not only from the call to action from carers themselves that services and systems that work for them should be improved, but also because it is one of the 64 actions in the carers action plan. It is something the Government are determined to take action on. We are concerned by the reports and taking action to improve it.
ParlaMint-GB_2019-10-24-lords.u33	My Lords, has my noble friend noticed that at its conference the Labour Party adopted as its policy on social care pretty well the recommendations of the all-party Economic Affairs Committee of this House? Is there now a unique opportunity for us to get a political consensus on the need to provide free personal care? The root of this problem is that access to free personal care depends on diagnosis, not need. Is it not now time for the Government to produce a White Paper and work with the Opposition to produce the consensus that everyone concerned with this matter realises needs to be achieved?
ParlaMint-GB_2019-10-24-lords.u34	I first congratulate my noble friend on his leadership on this issue; it has been noted by the House and very much welcomed. He is absolutely right that leadership on social care is essential and that it is time for action on this. The Prime Minister has been clear that he wants to end the suffering in social care once and for all, and will bring forward announcements on his immediate plans for that very soon.
ParlaMint-GB_2019-10-24-lords.u35	To ask Her Majesty’s Government what progress has been made to eradicate polio in (1) Pakistan, and (2) Afghanistan.
ParlaMint-GB_2019-10-24-lords.u36	My Lords, Pakistan and Afghanistan are the last countries in the world with cases of wild poliovirus. Conflict and inaccessibility make delivering the polio vaccine to all children there very difficult. Nevertheless, we assess that there has been good progress. The eradication programme is deploying new strategies to ensure that no one is left behind, such as tackling misinformation about vaccine safety head-on. The UK remains steadfast in its resolve to rid the world of this debilitating disease.
ParlaMint-GB_2019-10-24-lords.u37	I thank the Minister for her response. We are on the cusp of eradicating polio and Pakistan and Afghanistan are chief among the very few problem areas that remain. One reason for this is the attacks by anti-vaxxers; tragically, in April this year a vaccinator and two security men were killed in Pakistan. Today is World Polio Day and I would like to take a moment to pay tribute to them and all aid workers everywhere who continue to risk their lives. What urgent action are we taking together with the Government of Pakistan to quell fears about the polio vaccine?
ParlaMint-GB_2019-10-24-lords.u38	I thank the noble Baroness for her question—on World Polio Day, as she highlighted. I am absolutely in agreement that we must ensure that those trying to bring life-saving support to the most vulnerable are not subject to violence. She is sadly right that we have seen attacks on vaccinators both in Pakistan and Nigeria, and we are working very closely with Governments to ensure that those attacks stop. We are also working with religious and traditional leaders to ensure that these people are kept safe. We have recently seen a very welcome fatwa issued supporting Pakistan’s polio vaccination programme in an effort to end that violence.
ParlaMint-GB_2019-10-24-lords.u39	My Lords, are the Government aware of the recent outbreak of polio in the southern Philippines, where there have been two confirmed cases and a number of tests are outstanding which might produce more confirmed cases? Is this not the result of protracted conflict in Mindanao and the resulting poor health and vaccination services, and does the international community need to do more to ensure that areas affected by conflict and the poor local health services that result do not suffer these outbreaks of polio that can then spread the disease much further than Afghanistan and Pakistan?
ParlaMint-GB_2019-10-24-lords.u40	The noble Lord is quite right; we have recently seen two confirmed outbreaks of vaccine-derived polio in the Philippines, which is such a shame, coming 20 years after the country eradicated that disease. We are running a campaign in the Philippines, in collaboration with the WHO and UNICEF, to launch a widespread immunisation campaign to give millions of children the polio vaccination there. The noble Lord is quite right that we must ensure that we continue to invest in water, sanitation and hygiene in the poorest parts of the world to ensure that this disease is not spread. It also shows that we must not take our foot off the pedal on this; we have seen a country that has not had an outbreak in 20 years suffering, so we must continue until we completely eradicate this disease.
ParlaMint-GB_2019-10-24-lords.u41	My Lords, as has already been said, today is World Polio Day. Will my noble friend join me in paying tribute to Rotary International for being in the forefront of the work on eradication for over 30 years?
ParlaMint-GB_2019-10-24-lords.u42	I am very pleased that my noble friend highlights the work of Rotary International. As she said, it has been at the forefront of the work to eradicate polio for more than 30 years, and it is a founding member of the WHO Global Polio Eradication Initiative. I will certainly join my noble friend in paying tribute to it today and I sure that many noble Lords will want to do the same. Rotary International has contributed more than £1.3 billion to the global initiative, which includes more than £32 million raised in Great Britain and Northern Ireland alone. My Secretary of State, Alok Sharma, was pleased to attend an event with Rotary International yesterday, where he met fundraisers and survivors of the disease.
ParlaMint-GB_2019-10-24-lords.u43	My Lords, I welcome the strength of the commitment in the Minister’s remarks today. Going the last mile and finding those most difficult cases—going from elimination to eradication—is a very expensive and difficult exercise. However, does the Minister agree that it is in fact an investment, which is the only protection for the world against the resurgence of such diseases? Therefore, will she also look at the Lancet Commission report on malaria eradication and the measures set out there, and again take that concerted approach that will allow us to rid the world of malaria? I declare my interest as chair of Malaria No More UK.
ParlaMint-GB_2019-10-24-lords.u44	The noble Baroness is right: the last mile is often the most difficult. We must not be complacent; we do have remaining challenges as we work towards complete eradication. We must continue the support from the UK and the international community on that. It is absolutely in the UK’s interest and the global interest to ensure that we do not see the return of this disease. Some figures say that even within a decade, we will see hundreds of thousands of new cases if we do not continue this. We must also look at how we combat malaria as well—absolutely. We were pleased to make such a significant contribution to the Global Fund recently, but both the UK and international partners must work together to tackle these diseases.
ParlaMint-GB_2019-10-24-lords.u45	My Lords, the Minister is absolutely right that we must not take our foot off the pedal. Even in countries such as India, it is vital that we continue to support initiatives and ensure vaccination. I welcome the commitment to Gavi and other global partnerships. Can she tell us more how we will continue to support Gavi and such global partnerships to ensure that we not only halt the progress of these diseases but eradicate them forever?
ParlaMint-GB_2019-10-24-lords.u46	I will take a moment to highlight the great news today: the historic announcement that the world has been certified free of type 3 of the wild poliovirus. That significant achievement should help reinvigorate the process and provide motivation for the final step. The noble Lord is right to highlight both the Global Fund and Gavi; we must continue to contribute to these funds and work together. We are pleased that the UK will host Gavi next year in London and Liverpool, where we are looking forward to demonstrating our continued commitment and galvanising the international community to do more.
ParlaMint-GB_2019-10-24-lords.u47	My Lords, as the global polio eradication initiative winds down, what action are the Government taking to ensure that this transition does not undermine the achievements made so far?
ParlaMint-GB_2019-10-24-lords.u48	On World Polio Day, we should celebrate the success of the achievements so far—but, as I said, we must ensure that we continue on that. The transition point is very important. As was highlighted in the case of the Philippines, even 20 years after an outbreak we cannot be sure that it will not come back. So we must continue with the fight and continue with vaccinations and make sure that we reach the last, hardest-to-reach people—but we must ensure, as we transition, we hope, into a polio-free world, that it stays that way.
ParlaMint-GB_2019-10-24-lords.u49	To ask Her Majesty’s Government whether any British Armed Forces, in particular air assets, are involved in operations over Syria identifying and targeting ISIL.
ParlaMint-GB_2019-10-24-lords.u50	My Lords, UK air assets are currently involved in operations over Syria as part of the global coalition against Daesh, and we remain fully committed to the coalition and the air campaign.
ParlaMint-GB_2019-10-24-lords.u51	I thank the noble Baroness for her Answer. It is extremely worrying that our ally President Trump has turned that arena into an extremely dangerous place. There is no doubt that President Putin has a visceral dislike of NATO, yet the Turks, who are part of NATO, now have double digit SAM missile systems. These need the SIF settings, which enable a very special type of fire. Those settings are available to the Turks as members of NATO. Therefore, they are available to the Russian technicians as well. Russians are working with the Turks on the border. This is highly dangerous, and I have real concerns. Our airmen, who have done a splendid job out there, have been put in a position where it is not at all clear who is actually controlling the air region—there is a threat from Turks as well as Russians and Syrians. This is a different situation. Are we absolutely sure that we have in place the mechanisms to ensure the safety of our brave airmen?
ParlaMint-GB_2019-10-24-lords.u52	I thank the noble Lord for making a very important point. He is absolutely right: this is a situation of turbulence and uncertainty, and implicit in that is great potential risk and danger. The United Kingdom has always been clear in relation to Syria as a whole that we want a political solution. We are focusing our attention on trying to deal with Daesh. Turkey of course remains an important ally within NATO. It may be reassuring to know that the Secretary of State for Defence is meeting NATO allies today and tomorrow, and north-east Syria will be very much on the agenda.
ParlaMint-GB_2019-10-24-lords.u53	My Lords, can we assume from my noble friend’s answers to the noble Lord, Lord West, that we continue to support our old friends and allies the Kurds in their efforts to fight ISIS, despite the fact that Turkey and Russia are now taking over control of the region?
ParlaMint-GB_2019-10-24-lords.u54	My noble friend raises an important point. We will be looking very closely at Monday’s agreement between Turkey and Russia, including any impact on the local population. I make clear to the Chamber that the United Kingdom will not recognise any demographic change in Syria brought about as a result of deliberate attempts to force population changes. We are very clear that parties need to act on a properly negotiated and sensible basis.
ParlaMint-GB_2019-10-24-lords.u55	My Lords, on 17 October our two NATO allies, the US and Turkey, agreed that operations must target only terrorists, their hide-outs, et cetera. Who do Her Majesty’s Government understand the terrorists to be? In line with the question from the noble Lord, Lord Howell, can she reassure us that that does not include the Kurds, with whom we have been working in Syria? Even if our NATO allies identify some people as terrorists, we need to be sure that we support the Kurds.
ParlaMint-GB_2019-10-24-lords.u56	Let me be clear that the United Kingdom focus on Syria has always been on Daesh, which is a lethal, toxic threat. That continues to be where our efforts are focused.
ParlaMint-GB_2019-10-24-lords.u57	My Lords, has the Minister seen the report that the mayor of Limassol, the town close to the Akrotiri peninsula, wishes to expand its tourism arrangements on to the peninsula and believes that it is time that the United Kingdom gave up the sovereign base area there? Have the Government reacted to these proposals?
ParlaMint-GB_2019-10-24-lords.u58	I should say to the noble and gallant Lord that the United Kingdom enjoys a very good relationship with the Republic of Cyprus, which includes a cordial relationship as regards our sovereign base areas. Of course, our sovereign base areas have been critical to our capability to endeavour to take action against Daesh in Syria.
ParlaMint-GB_2019-10-24-lords.u59	My Lords, is it not clear that, as a result of President Trump’s decision, we are witnessing a major geopolitical shift in the region in favour of Russia? What protocols or understandings are there with Russia to ensure that there is no clash between Russian planes and our own?
ParlaMint-GB_2019-10-24-lords.u60	I can reassure the noble Lord that we have set procedures for handling the airspace above Syria. He is right that, given the number of parties operating over Syria now, the airspace is congested, but that is no different from the conditions during earlier counter-Daesh operations. There are procedures to ensure that air activity is appropriately deconflicted and handled in a safe and professional manner. Those are the rules by which the United Kingdom abides, as do our allies.
ParlaMint-GB_2019-10-24-lords.u61	My Lords, my noble friend has referred twice to Daesh, which is much bigger than ISIL. Events are moving very fast in the region, but Daesh goes by different names in many different parts of the world. Can she assure us that the Government are still firmly fixed on their main objective, which is the overall defeat of Daesh?
ParlaMint-GB_2019-10-24-lords.u62	Let me reassure my noble friend without any ambiguity or ambivalence that the answer is yes. Daesh is the focus of our activity. I said earlier that Daesh is a lethal, toxic entity, and we owe it to the safety and security not just of the United Kingdom but of our friends and allies throughout the world to play our part in addressing that threat.
ParlaMint-GB_2019-10-24-lords.u63	My Lords, having said that, has the noble Baroness had a chance to read the report in this morning’s Times by Anthony Loyd that the ISIS flag has again been flying above the al-Hawl camp where 68,000 family members of ISIS are held? Has she also yet had a chance to evaluate the list that I sent to her department naming jihadists who are now fighting alongside the Turkish army? Where does this leave the fight against terror and Turkey’s membership of NATO, as well as our obligations to bring those who are responsible for this genocide against minorities, both in northern Iraq and north-east Syria, to justice?
ParlaMint-GB_2019-10-24-lords.u64	I am aware of the noble Lord’s earlier inquiry and, if he will permit me to do so, I shall respond to him in more detail. I said earlier that these are turbulent, difficult and unpredictable times. The United Kingdom is clear that we must be consistent and resolute in our approach to these difficult circumstances. I emphasise that the focus of our activity is, if we can, to assist in a political solution within Syria but also, unequivocally, to deal with the continuing threat posed by Daesh.
ParlaMint-GB_2019-10-24-lords.u65	That the debate on the motion in the name of Lord Greaves set down for today shall be limited to 2 hours and that in the name of Lord Alton of Liverpool to 3 hours.
ParlaMint-GB_2019-10-24-lords.u66	My Lords, in the absence of my noble friend the Leader of the House and on her behalf, I beg to move the Motion standing in her name on the Order Paper.
ParlaMint-GB_2019-10-24-lords.u67	My Lords, I raise a small but important point about the allocation of time for Thursday debates. We have two debates today: one introduced by the noble Lord, Lord Greaves, on an important local government matter, and one on a very important international crisis in Hong Kong. The allocation of time for speakers in the first debate is 15 minutes, and in the second debate—in which two former Governors of Hong Kong are speaking—only five minutes. I believe it would be appropriate for the allocation and division of time in Thursday debates to be looked at.
ParlaMint-GB_2019-10-24-lords.u68	My Lords, I am grateful to my noble friend. He is right to observe that Back-Bench speeches will be limited to 15 minutes in the first debate and five in the last. Because these are balloted and not party debates, we can move only 30 minutes from one to the other. In the normal course, we would have allocated equal time to both. We have given an extra half-hour to the final debate, so we have maximised the speaking time in that debate as best we can. I am sure my noble friend’s remarks will not be lost in the usual channels.
ParlaMint-GB_2019-10-24-lords.u69	My Lords, with the leave of the House, I will now repeat in the form of a Statement the Answer given in the other place earlier today by my right honourable friend the Secretary of State for Exiting the European Union: “On 17 October the United Kingdom and the European Union reached political agreement on a new withdrawal agreement and political declaration for the future relationship. This includes a revised protocol for Northern Ireland/Ireland, which has been extensively debated in this House. This agreement is clear that Great Britain and Northern Ireland are one customs territory. Goods that are not at risk of moving to the European Union will attract no tariffs These arrangements mean that Northern Ireland would remain in the UK’s customs territory and could benefit from the UK’s new trade deals with third countries. For goods moving from Great Britain to Northern Ireland, those destined for the European Union will have to comply with European Union rules. To ensure that the correct tariffs are applied and that goods comply with the rules of the single regulatory zone, some information will be needed on goods moving from Great Britain to Northern Ireland The deal also explicitly allows for the United Kingdom to ensure unfettered market access for goods moving from Northern Ireland to Great Britain. There will be minimal targeted interventions designed to prevent, for example, the trade in endangered species—something I would have thought this House agreed on. We will work with the European Union to eliminate these limited processes as soon as possible after Brexit The most important point is that these arrangements automatically dissolve after four years unless a majority of the Northern Ireland Assembly in Stormont votes to keep them”.
ParlaMint-GB_2019-10-24-lords.u70	Perhaps I may help the Government because I do not think they understand their own deal, which effectively ends the UK’s single market by imposing different tariffs and rules between Northern Ireland and Wales, Scotland and England. The Prime Minister keeps insisting that there will be no checks between GB and Northern Ireland, but Steve Barclay had to admit to our own committee that exit summary declarations will be required between Northern Ireland and GB. Today’s words were “minimal interventions”. Well, Mr Johnson, that means “checks”. The impact assessment says that some 215 million import and entry or exit declarations will be needed at a cost of between £15 and £56 each The Answer we have just heard states that the withdrawal agreement will ensure, “‘unfettered’ market access for goods moving from Northern Ireland to the rest of the United Kingdom’s internal market” However, if you look at the Bill—which some of us have to do—the word “unfettered” has disappeared and it allows for regulations to facilitate access to the market in Great Britain. Can the Minister come clean and admit that trade between Northern Ireland and Great Britain will now be like sending something to a foreign country?
ParlaMint-GB_2019-10-24-lords.u71	First, the noble Baroness is wrong: there will be no tariffs on goods from Northern Ireland to the UK. We have agreed these arrangements because of the unique situation of Northern Ireland. As we were told extensively when the original customs proposals were produced that this would result in checks in Northern Ireland, we compromised for the sake of getting a good agreement, which we were constantly urged to do. We have recognised the unique situation of Northern Ireland: we have provided a consent mechanism for Northern Ireland’s elected representatives to decide whether they wish to take part in these arrangements. Importantly, it ensures that there are no checks in Northern Ireland between Northern Ireland and the Irish Republic, and that there are no borders. It is important to bear in mind that there are already checks because of the single epidemiological unit of Ireland—for example, on live animals going between Great Britain and Northern Ireland. We are proposing a small number of administrative checks and we will work with the European Union to ensure that these are as minimal as possible, if they are needed at all.
ParlaMint-GB_2019-10-24-lords.u72	Will the Minister acknowledge that before this deal there was—and if this deal is accepted there will not be—friction-free movement between Northern Ireland and the rest of the UK? In reality, businesses across the whole of Ireland will have to fill in tens of millions of forms to carry out the business they can do today without any such bureaucracy. This is hardly a free trade agreement of any validity. Is it not also a denial of the Government’s claim that the referendum was a UK-wide referendum that demanded a UK-wide solution? How dare a party that calls itself the Conservative and Unionist Party claim that it is defending the union when what it is actually doing is driving a coach and horses through it.
ParlaMint-GB_2019-10-24-lords.u73	I do not agree with the noble Lord: Northern Ireland is leaving the EU with the rest of the United Kingdom. It was a UK-wide referendum. There will be no forms to fill in. We think that all these checks, if they are required at all, can be done electronically. However, as I said, a joint committee has been established in the withdrawal agreement. We will work with the European Union through the implementation period to ensure that these interventions are as minimal as possible.
ParlaMint-GB_2019-10-24-lords.u74	On 8 December 2017, the then Prime Minister gave this emphatic unilateral commitment: “There will be no new borders within the United Kingdom of Great Britain and Northern Ireland” How does the present Brexit deal square with that commitment? Have the Government not sacrificed Northern Ireland in the present deal in the interests of getting a deal for Britain irrespective of its implications for Northern Ireland? Are the Prime Minister and the Brexit Minister actually aware of what they have agreed to?
ParlaMint-GB_2019-10-24-lords.u75	The noble Lord speaks with great authority on these points. We accept that we have compromised with the European Union to get a deal. We think that these arrangements will be acceptable. The consent mechanism is built into them, by which, after four years, elected representatives in Northern Ireland will be able to decide whether they continue. During the implementation period, we want to work with the EU and the Government of Ireland to make sure that this new procedure works as satisfactorily and smoothly as possible.
ParlaMint-GB_2019-10-24-lords.u76	My Lords, the European Union Select Committee held a public evidence session on Monday and the Secretary of State gave evidence. He was asked during that session whether Northern Ireland businesses sending goods to Great Britain would have to complete export declarations. In answer he said: “Just to be clear, the exit summary declarations will be required in terms of Northern Ireland to Great Britain” My question to the Minister has a yes or no answer: does he stand by the words of the Secretary of State?
ParlaMint-GB_2019-10-24-lords.u77	It is right that some administrative processes will apply to goods moving from Northern Ireland to Great Britain. In the coming months, we will work with the EU and the Irish authorities to make sure that we can eliminate those processes in the detailed implementation of the new agreement.
ParlaMint-GB_2019-10-24-lords.u78	My Lords, can the Minister confirm that the original withdrawal agreement included paper declarations A.UK for any exports from Great Britain to Northern Ireland, but that did not require the consent of the Northern Irish people? Can he further confirm that these documents are identical to those that Turkish imports into the European Union must fulfil, even though Turkey is part of a customs union, so the idea that a customs union obviates all border controls with the European Union is not true?
ParlaMint-GB_2019-10-24-lords.u79	These are not customs controls; they are administrative checks that need to be made because of single market rules and single market membership. They are the result of international obligations that the EU implements through single market rules. However, my noble friend makes an important point.
ParlaMint-GB_2019-10-24-lords.u80	My Lords, every individual consignment from an individual supplier on the UK mainland to every individual customer in Northern Ireland would, under the proposed scheme, be the subject of an individual customs entry, so 100 separate Northern Ireland deliveries from a UK-mainland supplier could be the subject of 100 separate customs entries, possibly under different tariff headings. How else can you control fraud?
ParlaMint-GB_2019-10-24-lords.u81	I do not believe the noble Lord is correct about that. On the details of implementation and exactly how the arrangements will be implemented on the ground in practice, we want to work through the joint committee with the EU, Northern Irish and Irish authorities to make sure that implementation is as smooth and frictionless as possible.
ParlaMint-GB_2019-10-24-lords.u82	My Lords—
ParlaMint-GB_2019-10-24-lords.u83	My Lords, 53% of all goods and services for sale in Northern Ireland come from GB and 65% of all exports from Northern Ireland come to GB, resulting in 419,000 HGV crossings over the Irish Sea. I telephoned the Brexit imports and exports helpline this morning to ask what information was available to businesses conducting this trade and was told by the Government, “We have absolutely nothing on this. Sorry”. Will the Minister apologise for trying to ram through an agreement in three days in the House of Commons and in a short time in this House when no information would have been provided to Parliament or to Northern Ireland businesses conducting this business on the costs and burden inflicted on the UK internal single market?
ParlaMint-GB_2019-10-24-lords.u84	I have made the point a number of times that we will work with the EU and the Irish authorities to make sure that these interventions and processes are as smooth and pain-free as possible. However, I readily accept that to get an agreement and a good deal—as we have done and as we are constantly urged by the Opposition to do—we have to compromise. I think this is a good deal. We have worked collaboratively, as we have been urged to do. The Opposition told us that they did not want no deal; they wanted a deal. We have now concluded two different deals, both of which they keep telling us they do not like. The Opposition should just admit that the reality is that they do not want to leave the European Union at all—they do not want to implement the result of the referendum. I am pleased that the Liberal Democrats are happy to acknowledge that.
ParlaMint-GB_2019-10-24-lords.u85	That this House takes note of the levels of government support for neighbourhood services provided by district councils and other local authorities.
