ParlaMint-GB_2018-10-22-commons.u1	1. What steps he is taking to improve veterans’ access to support services.
ParlaMint-GB_2018-10-22-commons.u13	It is clear that both local and national Government, including the Ministry of Defence, owe those who are serving in the armed forces and those who have served a great deal of support, and we will continue to give them every bit of support that we can.
ParlaMint-GB_2018-10-22-commons.u14	Thankfully the vast majority of personnel and veterans have very good mental health, but we know that there are challenges, particularly for early service leavers. What more can the MOD do to ensure that service members are directed to support services when they leave the forces?
ParlaMint-GB_2018-10-22-commons.u15	The hon. Lady makes a very important point. The actual mental health outcomes of service personnel are exceptionally good, but there are service personnel and former service personnel who do need a bit of extra support. The investment of £2 million in the veterans gateway is aimed at helping and supporting veterans and service leavers to access the type of support that they best need once they have left the armed forces.
ParlaMint-GB_2018-10-22-commons.u16	2. What assessment he has made of the potential merits of using new and developing technologies to support the UK’s defence capability.
ParlaMint-GB_2018-10-22-commons.u17	I thank my hon. Friend for his time and for the opportunity to see the excellent Manufacturing Technology Centre in his constituency just the other week, which demonstrated to me that emerging technologies present greater opportunities but also more complex threats than ever before.
ParlaMint-GB_2018-10-22-commons.u18	In addition to the great work at the MTC, does the Secretary of State agree with me that an excellent example of new technology supporting military capability is the electric drive systems using anti-vibration technology being installed on our marine vessels, which were both developed in Rugby and built in Rugby, and does he agree with me that they represent a great future for British manufacturing?
ParlaMint-GB_2018-10-22-commons.u19	Such technologies do represent a fantastic future for British manufacturing. If we look at the success that the Type 26 has had not just with the eight Type 26 frigates that are going to be built in Britain, but in securing orders in Australia and Canada, we can see that it demonstrates this kind of technology is not only designed in Britain, but should always be built in Britain.
ParlaMint-GB_2018-10-22-commons.u20	rose—
ParlaMint-GB_2018-10-22-commons.u21	I am glad that the hon. Member for Kingston upon Hull West and Hessle (Emma Hardy) has now timed her bobbing correctly. I call Emma Hardy.
ParlaMint-GB_2018-10-22-commons.u22	Workers at BAE Systems in Brough have always been at the forefront of developing technology and manufacturing, but after meeting some of the workers last week I am becoming increasingly concerned about their sole reliance on the Hawk orders. Can the Secretary of State do anything to encourage BAE Systems to diversify their manufacturing and to protect jobs at the Brough site?
ParlaMint-GB_2018-10-22-commons.u23	The Under-Secretary of State for Defence, my hon. Friend the Member for Pudsey (Stuart Andrew), and I have been working very closely with BAE Systems, but also with the Qataris in securing a key order for Hawk trainer jets. The hon. Lady raises an important point about the diversity of the site. It is certainly something that I can raise with those at BAE Systems at my next meeting with them, and I will be seeing them later this month.
ParlaMint-GB_2018-10-22-commons.u24	I am delighted that the Secretary of State has seen fit to protect our amphibious capability—HMS Bulwark and HMS Albion —and their related technologies, both new and conventional. These are such crucial tools for the Marines. On that note, will the Secretary of State fully understand and comprehend the importance of 40 Commando to my town of Taunton in his assessment of future capabilities?
ParlaMint-GB_2018-10-22-commons.u25	I thank my hon. Friend for all she did in raising her concerns about Albion and Bulwark. On 40 Commando in Taunton, I absolutely reassure her that there are no plans to move 40 Commando from Taunton: it will be there for a long time into the future.
ParlaMint-GB_2018-10-22-commons.u26	The Secretary of State surely knows that, in a world of cyber-warfare, we of course need to invest in new technology and great innovation. However, he should not forget the Cinderellas, such as David Brown Gear Systems in Huddersfield, which is making gear boxes for tanks and for our great vessels. Will he come to Huddersfield and see what we do there?
ParlaMint-GB_2018-10-22-commons.u27	I know David Brown very well. He is of course the man who saved Aston Martin, so there is a very famous industrial heritage there. If I am not able to visit David Brown, I am sure the Under-Secretary of State for Defence, my hon. Friend the Member for Pudsey, will be able to do so. We will look to make sure that one of us does. The hon. Gentleman makes an important point about the amount of technology and ingenuity we have in this country, and we should be very proud of it. That is not always just through the prime contractors, but through the many businesses that are so dependent on defence contracts.
ParlaMint-GB_2018-10-22-commons.u28	I urge the Secretary of State to follow my very good example: I visited the Huddersfield constituency, and the hon. Gentleman who represents it is a very good host, as is the university to boot. It will widen the Secretary of State’s learning and cultural experience to go there.
ParlaMint-GB_2018-10-22-commons.u29	The UK’s defence capability has been immeasurably enhanced by the arrival of HMS Queen Elizabeth. We saw her in New York this weekend. Will the Secretary of State consider putting together a national carrier strategy, so that for the next 50 years she has a real, important global purpose?
ParlaMint-GB_2018-10-22-commons.u30	We do need to have a very clear national carrier strategy, because this is not just an important part of projecting power, but a key part of our national deterrence and of making sure that nations all around the globe understand that Britain has the capability to defend herself and to protect our international interests.
ParlaMint-GB_2018-10-22-commons.u31	Will the Secretary of State commend Cammell Laird for winning for the second time its support order for the Royal Navy? Given the level of technology in the yard, is it not well placed for the new frigate orders? Although we are careful about taxpayers’ money and will not give him the hospitality that Huddersfield has offered, will he please come?
ParlaMint-GB_2018-10-22-commons.u32	I am getting a lot of invites and feel privileged to have so many. I congratulate Cammell Laird very much on its successful bid. It goes to show how vital money spent by the MOD is to many local economies. I shall endeavour to visit Cammell in the near future, but if I do not, the Under-Secretary of State for Defence, my hon. Friend the Member for Pudsey, will certainly do so.
ParlaMint-GB_2018-10-22-commons.u33	The Government believe it is vital to future-proof technologies, so I was shocked to learn that the Ministry of Defence has given the green light—yet again—to an American company, Boeing, for the replacement of the Sentry AWACS aircraft. That has been done without any competitive process, and it has been said that Boeing is planning to use old aircraft and semi-obsolete radar. Clearly there are differences of opinion about what Boeing has to offer, so will the Secretary of State agree to an independent evaluation of all the options to be considered?
ParlaMint-GB_2018-10-22-commons.u34	I am sure the hon. Gentleman did not intentionally mislead the House by implying that we are going to have old aircraft. We will have new aircraft in terms of the potential procurement of Wedgetail. We are confident that this is the best capability; it is world leading and it has the best ability to bring it to our Royal Air Force at the earliest possible stage.
ParlaMint-GB_2018-10-22-commons.u35	3. What recent assessment he has made of the adequacy of armed forces pay.
ParlaMint-GB_2018-10-22-commons.u36	As there is a bidding war, may I say that, as the last six generations of my family came from Huddersfield, I am definitely up for coming back there Our assessments are made with the support of the Armed Forces Pay Review Body. In making recommendations, the AFPRB takes account of the need to recruit, retain and motivate suitable service personnel, affordability, the inflation target and the need for armed forces’ pay to be broadly comparable with that of civilians.
ParlaMint-GB_2018-10-22-commons.u37	Does the Minister share my concern that all three services are running below strength, and the Government’s delay in lifting the public sector pay cap has exacerbated the problem?
ParlaMint-GB_2018-10-22-commons.u38	I am delighted to say, and I am sure the House will wish to know, that the 2% pay award has now been paid retrospectively, and the 0.9% bonus element will be paid in two lump sums, one next month and one in March.
ParlaMint-GB_2018-10-22-commons.u39	The frontline of our country’s defence is increasingly in cyber-space, and the strength of that defence depends on the calibre of the people operating in it, such as my constituents at GCHQ. What steps are being taken to ensure that payscales are sufficient to attract and retain the brightest and the best?
ParlaMint-GB_2018-10-22-commons.u40	We take those factors into consideration, and I was delighted to open the new defence cyber-school back in March. We feel strongly that cyber-skills should become part of the core skills of all our armed forces.
ParlaMint-GB_2018-10-22-commons.u41	How many staff under the age of 25 are paid less than £8.75 an hour?
ParlaMint-GB_2018-10-22-commons.u42	It will come as no surprise to the hon. Gentleman that I do not have that figure at my fingertips, but I will write to him.
ParlaMint-GB_2018-10-22-commons.u43	4. What recent assessment he has made of trends in the number of armed forces personnel.
ParlaMint-GB_2018-10-22-commons.u44	7. What recent assessment he has made of trends in the number of armed forces personnel.
ParlaMint-GB_2018-10-22-commons.u45	We remain committed to maintaining the overall size of the armed forces. We have a range of measures under way to improve recruitment and retention, and these are kept under constant review. Importantly, the services continue to meet all their current commitments, keeping the country and its interests safe.
ParlaMint-GB_2018-10-22-commons.u46	The Armed Forces Pay Review Body reports that the outflow rates—personnel leaving the armed forces—are at “historically high levels” under this Government. Why does the Minister think that is?
ParlaMint-GB_2018-10-22-commons.u47	Retaining our service personnel is always a challenge, and that is precisely why we are focusing hard on the offer—the opportunity to train and to serve overseas. Only this month, some 5,500 personnel are serving on Saif Sareea 3 in Oman; equally, we have servicemen serving in Estonia and on Exercise Trident Juncture in Norway. We have perhaps not previously had those opportunities to train and to serve overseas, which are key to retention.
ParlaMint-GB_2018-10-22-commons.u48	The latest armed forces continuous attitude survey shows that 67% of personnel perceive the morale of their service as low. That clearly impacts on the retention of those who serve. Did it concern Ministers to read that, and when can we expect it to get better?
ParlaMint-GB_2018-10-22-commons.u49	I am confident that it will get better, partly for the reasons I have just outlined. We are focusing very hard on the offer to our service personnel to ensure that people stay. That is not only about pay—we have talked about the pay award—but the opportunities we give to our service personnel and the training they receive. There are very few professions in this country where one can join with limited qualifications and then leave with a degree-level apprenticeship. That is the sort of offer we make in the armed forces, and we are determined to continue.
ParlaMint-GB_2018-10-22-commons.u50	Capita’s Army recruitment contract has been an unmitigated disaster, so as a member of the Select Committee I was very relieved to hear the Secretary of State say in evidence to us last week that if necessary he would be prepared to sack it. The sooner the better. May I ask the Minister of State, who we all respect, whether there is any good news at all on Army recruitment that he can share with the House today?
ParlaMint-GB_2018-10-22-commons.u51	As my right hon. Friend says, the Secretary of State was very clear, in the evidence he gave to the Select Committee, that there is always the option of ending the contract. I am pleased to say that there is good news. This is a long process, from application stage to delivering a soldier who is trained perhaps a year later, but we are now seeing applications at a five-year high, so the hopper is being filled at a rate not seen for the past five years. Equally, the conversion rate—managing to get applications converted and on to training—is also improving. At the start of the pipeline there are very positive signs indeed.
ParlaMint-GB_2018-10-22-commons.u52	It is a regrettable fact that the legal pursuit of our veterans is a significant deterrent to recruitment. What concrete steps is the Department taking to bring it to an end?
ParlaMint-GB_2018-10-22-commons.u53	I have not seen any evidence that supports what my hon. Friend has just said, so I would be grateful if he could supply it. None the less, the point he makes about our veterans being pursued legally is an important one. I can only refer him back to the Adjournment debate, I think on 25 June, when over 50 right hon. and hon. Members came to the House to discuss the matter. There is a consensus across the House that this is an issue we simply must address. He will be aware that the Government have consulted on the issue and we intend to publish the results of the consultation shortly.
ParlaMint-GB_2018-10-22-commons.u54	A scathing report by the Public Accounts Committee has found that the Ministry of Defence lacks the strategy to remedy, before 2023, the skills shortages now apparent in over 100 critical trades. Those shortages are putting an unprecedented strain on servicemen and servicewomen, with morale in freefall. When will the Government face up to the fact that personnel numbers have been plummeting on their watch, and what specific action will the Minister take to respond to the recommendations in the Committee’s report?
ParlaMint-GB_2018-10-22-commons.u55	We have already discussed some of the actions we are taking, but equally it is important to say that, while the hon. Lady likes to project a picture of gloom, the Army, for example, is actually over 93% manned and fulfils all its operational commitments. Our service personnel are getting opportunities today—the opportunity to train overseas, or, crucially, through training itself—that they may not have had five or six years ago. I have already talked about the fact that the Ministry of Defence is the largest provider of apprenticeships in the United Kingdom. These are some of the things that the hon. Lady might like to champion and praise for a change.
ParlaMint-GB_2018-10-22-commons.u56	21. In terms of making a career in our armed forces a positive choice, many young people get their first taste of what life might be like in the armed forces by joining the cadets. The Scottish Government make it as difficult as possible for the cadets to recruit in Scottish schools. What will the Minister do to make it easier for young Scots to have the opportunity to join the cadets and gain the advantage of that experience?
ParlaMint-GB_2018-10-22-commons.u57	My right hon. Friend the Secretary of State has announced that in England and Wales, we will be increasing the number of schools with cadets, and I like to think that this is a good example. We do not recruit directly from the cadets—let us be absolutely clear. None the less, it is a fact that a large percentage of members of the armed forces were once cadets, and not only that—although the vast majority will not go on to joined the armed forces, the sorts of values that they are taught as cadets will set them up well for life.
ParlaMint-GB_2018-10-22-commons.u58	5. What steps his Department is taking to increase investment in chemical, biological, radiological and nuclear defence capability.
ParlaMint-GB_2018-10-22-commons.u59	The UK has world-leading counter-chemical, biological, radiological and nuclear capabilities. The MOD has committed around £950 million to maintain and improve these over the next 10 years.
ParlaMint-GB_2018-10-22-commons.u60	The Minister will know that following Salisbury, the armed forces played a vital role in identifying the nerve agent and helping to clear up the scene. Will he reassure the House that the MOD will do everything that it can to ensure that the investment in that capability will be maintained and increased?
ParlaMint-GB_2018-10-22-commons.u61	Absolutely, and I pay tribute to all those who worked so carefully and so hard in Salisbury and Amesbury on our behalf. As I said, the £950 million is there to improve this over the next 10 years. That includes £48 million to help to set up a new chemical weapons defence centre in Porton Down to make sure that we maintain our cutting-edge capability in chemical analysis and defence.
ParlaMint-GB_2018-10-22-commons.u62	Earlier this month, along with other Members of the NATO Parliament, I visited the Joint Chemical, Biological, Radiological and Nuclear Defence Centre of Excellence in the Czech Republic. One of the training courses that it runs is a skills training course for first responders—for police and ambulance personnel—who may often, as in Salisbury, be the first on the scene. What efforts is the Ministry of Defence making to make sure that we have that capability in this country?
ParlaMint-GB_2018-10-22-commons.u63	The hon. Lady makes a very important point. Of course, this is not just about the armed forces; we have to recognise that all the emergency services were there very quickly. We need to ensure that they have all the training that they need. I will speak to colleagues in other Departments to ensure that that is happening.
ParlaMint-GB_2018-10-22-commons.u64	6. Whether his Department has plans to cancel its contracts with Capita for the management of Army recruitment.
ParlaMint-GB_2018-10-22-commons.u65	The Army is working closely with Capita to deliver improvements to recruitment. While there are positive indicators that measures are having an impact, I continue to monitor the Recruiting Partnering Project very closely and hold regular discussions with my officials regarding the contract.
ParlaMint-GB_2018-10-22-commons.u66	Subject to a legal challenge, Capita was awarded the MOD fire and rescue contract despite an MOD financial assessment that gave the company the highest category of distress and vulnerability. With shoddy finances and an abysmal record of delivery, does the Minister agree with the MOD fire and rescue staff from my constituency that private corporations should have no place in managing MOD services?
ParlaMint-GB_2018-10-22-commons.u67	No, I do not think I do actually. Successive Governments have involved the private sector and I am sure that that is set to continue. The hon. Gentleman will be aware that there is a challenge to that particular contract at the moment, but I remain convinced that the use of the private sector in delivering the Defence Fire Risk Management Organisation is probably the right thing to do.
ParlaMint-GB_2018-10-22-commons.u68	The private sector has had enormous success in delivering huge efficiency savings to the Ministry of Defence over decades now, but on this particular contract, there seems to be an element of risk aversion in the management of it, not least on the medical side from the people making health assessments. Is there a case for getting more military back engaged in the delivery of this contract to make the right risk assessments about recruiting?
ParlaMint-GB_2018-10-22-commons.u69	My hon. Friend makes a very important point. He will be aware of recent work being carried out by the Ministry of Defence through a medical symposium to try to tackle these very issues. Sometimes, some of the medical reasons for not joining are frankly quite archaic. To give a brief example, if someone has had childhood asthma, they cannot join even if they no longer have it, even though the chances are that it will not return until that person is probably in their 50s, when, of course, 99% of service personnel will have left.
ParlaMint-GB_2018-10-22-commons.u70	The Minister is celebrating current recruitment levels. Will he explain why the Scots Guards is currently under-recruited by 36%?
ParlaMint-GB_2018-10-22-commons.u71	I am not celebrating current recruitment levels. What I am saying is that we are all aware of the challenges facing the defence recruiting system some months ago, but given that this is a long pipeline, I am confident that the hopper at the start of that process, which can take up to a year, is now at a five-year high. I hope and I am confident that we will then see that slowly come through the system, which will result in an increase in the number of our service personnel.
ParlaMint-GB_2018-10-22-commons.u72	The sorry saga of the Capita recruitment programme is made worse by the fact that the Ministry of Defence was told at the time that it would not work. I hope the programme will be sorted out in the short term, but until then will the Minister place a greater emphasis on retaining those superb personnel currently engaged in our armed forces?
ParlaMint-GB_2018-10-22-commons.u73	There are always two factors in the equation of armed forces numbers. One, clearly, is the number we recruit, and being a bottom-fed organisation, we have to keep recruiting, but equally, although we cannot retain everybody—the rank structure does not allow it—it is important that we continue to retain as many service personnel as possible for as long a career as possible. I have already highlighted some of the things we are doing to make that happen.
ParlaMint-GB_2018-10-22-commons.u74	May I send the best wishes of the Scottish National party to the UK team at the Invictus games? I cannot believe it has been left to the SNP to do that—but there we go Can the Minister tell me the total financial value of Capita’s contracts with his Department?
ParlaMint-GB_2018-10-22-commons.u75	Once again, it may come as a surprise, but off the top of my head, no I cannot, but I will write to the hon. Gentleman.
ParlaMint-GB_2018-10-22-commons.u76	According to a written answer from the Minister, the figure is £1.15 billion. This addiction to privatisation at the MOD, which I get he is ideologically attached to, is causing mayhem, from recruitment to the fire and rescue service. If he pledges to sack Capita, he will have the support of people behind him, of the people across from him and of the SNP Benches. Why won’t he do it?
ParlaMint-GB_2018-10-22-commons.u77	The Secretary of State has made it clear that that always remains an option, but if the hon. Gentleman had listened to a word I had said over the past 10 minutes, rather than preparing his question, he might have realised that there was hope. I am confident, at the start of this process, that things are getting better.
ParlaMint-GB_2018-10-22-commons.u78	8. What assessment he has made of the security situation in the South China sea.
ParlaMint-GB_2018-10-22-commons.u79	I pay tribute to the crews of HMS Albion and HMS Sutherland, which have played an important role in upholding freedom of navigation in the South China sea. Security in that region is vital to the UK and its global economic interests, and we shall not shy away from asserting our commitment to upholding the rules-based international system.
ParlaMint-GB_2018-10-22-commons.u80	The continuing expansion of Chinese military activity in the South China sea, particularly around the Paracel islands, should worry anyone concerned about stability in the region, hence it was welcome to see HMS Albion there, flying the white flag—[Laughter.] —I mean the white ensign, but more will be necessary to reassure our allies. What are my right hon. Friend’s thoughts on more forward deployment of Royal Navy assets in this region—flying the correct flag?
ParlaMint-GB_2018-10-22-commons.u81	My hon. Friend makes an important point about how our allies have seen our presence in the Indo-Pacific region. We have had the largest deployment of the surface fleet in a generation, and that will continue with HMS Argyll, which is due to be on exercise with our five power defence agreement allies, and also with HMS Montrose, which will be going to the region next year. It all goes to show that our passion and commitment to the region is growing, and we will be looking at how we can expand this in the future.
ParlaMint-GB_2018-10-22-commons.u82	It must be remarkably tempting as Secretary of State for Defence to look at the map and long for the days when a gunboat or two could be sent. Sadly, the days when the white ensign—the white ensign!—flew unchallenged are gone. Will the Secretary of State accept the fact that our friends and allies in Taiwan greatly value British maritime presence in those waters? Has he considered the possibility—I ask him for no more than an indication that he will think about this—of visiting a port in Taiwan, just to show our solidarity and friendship?
ParlaMint-GB_2018-10-22-commons.u83	There might be some challenges with that, but we will always consider all options and ideas. The actions that the Royal Navy has undertaken have brought in more allies in support of upholding the rules-based international order in the South China sea. That is what was so valuable about both Australia and France taking part in operations.
ParlaMint-GB_2018-10-22-commons.u84	I understand from a defence company in my constituency that the Taiwanese are looking for defence contracts in this country and that the Americans are about to spend a lot of money on ships out in Taiwan. Can companies in this country go for those contracts, or is there some difficulty with that?
ParlaMint-GB_2018-10-22-commons.u85	If my hon. Friend will allow me, I will write to him to clarify the matter.
ParlaMint-GB_2018-10-22-commons.u86	The Secretary of State has commended the work and the crew of HMS Albion, one of our landing platform docks in the South China sea. Bizarrely, however, the national shipbuilding strategy has defined it as not being a complex warship, unlike frigates, destroyers and aircraft carriers. Can the Secretary of State explain why HMS Albion and other amphibious ships are not deemed to be complex warships?
ParlaMint-GB_2018-10-22-commons.u87	The national shipbuilding strategy highlighted the fact that the definition was to apply to aircraft carriers, frigates and destroyers, and the strategy was welcomed on both sides of the House.
ParlaMint-GB_2018-10-22-commons.u88	9. What contribution UK forces are making to counter-Daesh operations in Syria and Iraq.
ParlaMint-GB_2018-10-22-commons.u89	RAF strikes in Iraq and Syria will continue until Daesh has been defeated in both Iraq and Syria. In Iraq we have about 500 personnel participating in the coalition’s programme of training.
ParlaMint-GB_2018-10-22-commons.u90	Can the Secretary of State give some indication of what we are doing to maintain the momentum against a fractured Daesh?
ParlaMint-GB_2018-10-22-commons.u91	It is important to remember that although Daesh has been considerably weakened and the amount of territory under its control has been massively reduced, it remains a great threat. In the last month alone the RAF has made 27 strikes against it, which goes to show that the tempo of operations is not actually slowing down. We cannot take it for granted that Daesh has been defeated, and we must continue to put pressure on it.
ParlaMint-GB_2018-10-22-commons.u92	It is a year since Raqqa was liberated from Daesh. There is still work to be done on securing all parts of the city, but attention needs to be given to how it will be rebuilt in the future. What plans are being drawn up, and what resources are being allocated to the reconstruction?
ParlaMint-GB_2018-10-22-commons.u93	The Department for International Development is leading this process, and the Ministry of Defence will continue to give it as much support as possible. We recognise the important role that must be played in respect of reconstruction following such a devastating conflict.
ParlaMint-GB_2018-10-22-commons.u94	10. What assessment he has made of the effect on NATO capabilities of the NATO commitment to allocate 20% of defence expenditure to major equipment.
ParlaMint-GB_2018-10-22-commons.u95	The 20% target for major equipment ensures that investment is directed towards NATO’s capability priorities, which directly enhances the security of the alliance. The United Kingdom continues to spend more than 2% of GDP on defence, and to spend more than 20% of that on major equipment. That investment helps to keep the UK safe, and ensures that NATO remains at the heart of our defence.
ParlaMint-GB_2018-10-22-commons.u96	The NATO commitment opens up many potential opportunities for UK shipbuilders. Sadly, however, it comes at a time when Babcock International is considering the future of Appledore shipyard, which is very concerning. Will the Minister join me, and my right hon. and learned Friend the Member for Torridge and West Devon (Mr Cox), in continuing to work with Babcock in committing ourselves to a long-term future for Appledore?
ParlaMint-GB_2018-10-22-commons.u97	I pay tribute to my hon. Friend, and to my right hon. and learned Friend the Member for Torridge and West Devon, for the work that they are doing on an issue that I know is important to them. One of the key aims of the national shipbuilding strategy is that UK shipbuilders should be competitive in overseas markets as well as domestically, so that we can secure their long-term future. I hope that they will engage in all the competitions that exist.
ParlaMint-GB_2018-10-22-commons.u98	Mr Gorbachev has said that the United States’ decision to withdraw from the intermediate-range nuclear forces treaty is a mistake. He has said: "Under no circumstances should we tear up old disarmament agreements...Do they really not understand in Washington what this could lead to?” I am not naive about Russia and the threat from Russia, but what is the future of existing international nuclear non-proliferation treaties, and what additional effect will that have on NATO’s budget?
ParlaMint-GB_2018-10-22-commons.u99	I apologise for missing the last part of the hon. Gentleman’s question, but we want to ensure that we are a full member of NATO.
ParlaMint-GB_2018-10-22-commons.u100	What are the implications for its budget?
ParlaMint-GB_2018-10-22-commons.u101	We have made a commitment to spend 2% of GDP, and we have never spent less than 2%. We are doing everything we can to work with other partners and encourage them to do exactly the same.
ParlaMint-GB_2018-10-22-commons.u102	NATO has always been the cornerstone of Britain’s defence, so does my hon. Friend agree that the worst thing that could possibly happen to NATO would be the arrival of a Government whose leader has said recently of NATO: “I’d rather we weren’t in it” He has said: “NATO, the father of the Cold War in the 1940s, should have shut up shop in 1990” That was from none other than the right hon. Member for Islington North (Jeremy Corbyn).
ParlaMint-GB_2018-10-22-commons.u103	My hon. Friend is absolutely right. NATO is an important alliance that we are proud to be a member of, and it is part of our defence strategy. It is extremely alarming to hear some of the views from the Leader of the Opposition.
ParlaMint-GB_2018-10-22-commons.u104	The intermediate-range nuclear forces treaty was mentioned earlier. Is not one of the consequences of the actions of President Trump that short and medium-range nuclear missiles will have to be relocated on UK soil?
ParlaMint-GB_2018-10-22-commons.u105	One of the things that we have to make clear is that we want Russia to adhere to the treaty in the first place—that is incredibly important. The treaty was incredibly important at the time it was signed. We need to ensure that they maintain the treaty and stick to the values it presents to us.
ParlaMint-GB_2018-10-22-commons.u106	11. What assessment he has made of the effectiveness of the UK’s cyber counter-measures as a result of alleged Russian malicious activity in Europe.
ParlaMint-GB_2018-10-22-commons.u107	The Ministry of Defence takes cyber-security extremely seriously and co-ordinates closely with the National Cyber Security Centre. I cannot comment on specific measures that the Department has taken, for national security reasons, but I can say that the Government have identified a number of cyber-actors widely known to have been conducting cyber-attacks around the world, and who are in fact from the GRU, Russia’s military intelligence service. The cyber-attacks are a further demonstration of Russia’s disregard for international institutions and norms.
ParlaMint-GB_2018-10-22-commons.u108	As the Secretary of State says, it appears that Russia has developed sophisticated cyber-espionage and cyber-warfare capabilities that it is utilising to pursue its strategic goals. Can he assure us that the Government will provide the dedicated leadership needed to co-ordinate the multi-agency response to this threat?
ParlaMint-GB_2018-10-22-commons.u109	The hon. Lady raises an important point about how we have to work right across Government, and also right across industry. That is why we have been committed to investing £1.9 billion in this area. It is about co-ordinating that, bringing people together and ensuring that vulnerabilities do not open up in the industrial sector, so we are working closely with the sector.
ParlaMint-GB_2018-10-22-commons.u110	12. What recent assessment he has made of the effect of the security situation in Syria on the delivery of aid to that country by the armed forces.
ParlaMint-GB_2018-10-22-commons.u111	The UK supports the United Nations, non-governmental organisations and the Red Cross to meet the needs of vulnerable people in Syria and refugees in the region. So far we have committed £2.71 billion since 2012.
ParlaMint-GB_2018-10-22-commons.u112	The situation in Syria is complex and unpredictable, and many civilians are at risk. Given what the Secretary of State has just said about the financial commitment that this country has made to vulnerable civilians, I ask him to keep all options on the table and to keep talking to his colleagues in the Department for International Development and the Foreign Office to ensure that we do everything we can to get basic supplies to the civilians who need them in Syria.
ParlaMint-GB_2018-10-22-commons.u113	Every time there is such a request, we consider it very closely, to see how best we can offer help and support. We recognise the dreadful plight that so many people are suffering in Syria. The Ministry of Defence and our armed forces will always be there to support important humanitarian work.
ParlaMint-GB_2018-10-22-commons.u114	14. What assessment he has made of the importance of NATO to UK national security.
ParlaMint-GB_2018-10-22-commons.u115	Earlier this month I met my counterparts in NATO to discuss efforts to strengthen the alliance, including further burden sharing and working with allies so that they can step up their efforts to tackle today’s threats, including by deterring malicious cyber-attacks.
ParlaMint-GB_2018-10-22-commons.u116	Does the Secretary of State agree that the UK should continue to play a leading role in NATO, and that working with our allies to combat terrorism and the increasingly sophisticated threat of cyber-attacks should remain a priority?
ParlaMint-GB_2018-10-22-commons.u117	We should be incredibly proud of the leading role that we play; we were the first nation to commit our offensive cyber-capabilities to NATO, we have seen an uplift in troop numbers in NATO’s Resolute Support mission in Afghanistan, and we are second only to the United States in supporting NATO and the work it does.
ParlaMint-GB_2018-10-22-commons.u118	The Government’s counting within the 2% that we spend on defence things that would never have been counted under previous Governments undermines our voice when it comes to NATO. Will the Secretary of State take this opportunity to confirm that current spending is simply inadequate if Britain wants to play a global role in the defence of the country?
ParlaMint-GB_2018-10-22-commons.u119	Britain has met and will always meet its NATO commitments, and we undertake to spend the money that is required by NATO guidelines.
