ParlaMint-GB_2018-10-30-lords.u1	To ask Her Majesty’s Government what action they are taking to support the children of prisoners.
ParlaMint-GB_2018-10-30-lords.u22	Well, that was not me. The noble Lord is quite right to say that in May I gave reassurance that those trains would come into service. At the time, that was very much what we were planning. However, as I said, there have been emerging issues on that which we need to work through. It is not unusual with delivery of a whole new infrastructure—and this is a £2.7 billion investment, which we should welcome—that there are some compatibility issues. We are working through them. On the noble Lord’s point about the rail system, it has been well over a decade since we have seen a large change in the rail network and, while we have seen record private investment and the doubling of passenger journeys, of course it has had its challenges. The time is absolutely right for a comprehensive review, and that is what the rail review will do.
ParlaMint-GB_2018-10-30-lords.u23	My Lords, I thank my noble friend for the help that she has given in recent weeks to try to ensure that we have a happy resolution to the better, promised service—I repeat promised service—between Lincoln and London. Is she confident that she will be able to join me on one of those trains during the course of 2019 with those colleagues from all parts of the House who have already accepted my invitation?
ParlaMint-GB_2018-10-30-lords.u24	My Lords, we have discussed this specific service many times, and I know that it will disappoint my noble friend, as it does me, that we are unable to guarantee that those services will be introduced in May 2019—and I am not able to give an exact date either. I know that that will also disappoint the people of Lincoln because those extra services will enable more people to visit that great city. However, I can absolutely reassure my noble friend that both LNER and the Government are committed to more trains to Lincoln and we will deliver them as soon as possible.
ParlaMint-GB_2018-10-30-lords.u25	My Lords, next year, when the new sleeping cars are reintroduced to the railways, will they be run on the east coast line to Scotland as well as the west coast line?
ParlaMint-GB_2018-10-30-lords.u26	There are some issues with trains to Scotland at the moment, so I am afraid that I am unable to give that guarantee. We are working very closely with the Scottish Government to deliver that.
ParlaMint-GB_2018-10-30-lords.u27	My Lords, how can the Secretary of State keep his job? What has happened to ministerial accountability for this shambles?
ParlaMint-GB_2018-10-30-lords.u28	My Lords, we are overseeing, as I have said many times, record investment in our railways: £48 billion over 2019 to 2024. Obviously, with all these improvements, that has given us challenges, but we should not lose sight of the benefits that are being seen through this investment. The Azuma trains alone will have 15% greater capacity, and once the full fleet is in service they will deliver a 28% increase in morning peak services. There will be improvements in accessibility, and they will be more reliable, with more storage room. That is what we should aim for.
ParlaMint-GB_2018-10-30-lords.u29	My Lords, the Azuma train appears to have fewer disabled spaces than the current high-speed trains. Can the Minister confirm that first, that will be rectified, and secondly, that passengers will not be able to store suitcases in the wheelchair spaces? Becky Whitworth could not get on a train because the entire space was filled with cases.
ParlaMint-GB_2018-10-30-lords.u30	My Lords, I understand that the new trains will have improvements in accessibility, with more wheelchair spaces, which will not include flip chairs. There will also be universally accessible toilets. However, I will write to the noble Baroness on her specific question.
ParlaMint-GB_2018-10-30-lords.u31	To ask Her Majesty’s Government what assessment they have made of the importance of identification of spectrum conditions, such as dyslexia, ADHD and dyspraxia, on (1) educational, and (2) other life outcomes.
ParlaMint-GB_2018-10-30-lords.u32	My Lords, I beg leave to ask the Question standing in my name on the Order Paper, and remind the House of my declared interest as president of the British Dyslexia Association.
ParlaMint-GB_2018-10-30-lords.u33	My Lords, our data collections do not separate outcomes of dyslexia, ADHD and dyspraxia, so we are unable to make such an assessment. In terms of destinations, after completing key stage 4, for those with SEN, overall in 2016-17, 90% of pupils with a statement or education, health and care plan were in sustained education, employment or training compared to 88% of pupils with SEN without statements, and 95% of those without SEN.
ParlaMint-GB_2018-10-30-lords.u34	I thank the Minister for that reply. I have made him and his office aware of the document brought forward in February this year by Warwickshire Educational Psychology Service, called Teaching Children & Young People with Literacy Difficulties Practice Guidance, which is very similar to a document that appears on the Staffordshire site. This states that dyslexia effectively is not something to worry about. It effectively undermines the whole basis of the support which the noble Lord has been talking about. Will he give an assurance that the Government will make sure that accurate diagnosis, which can be life-changing, is maintained for this group because it helps through education and throughout life?
ParlaMint-GB_2018-10-30-lords.u35	My Lords, the document to which the noble Lord refers recognises that early identification and intervention is important to meet the needs of children and young people with literacy delays. On the necessity of a dyslexia diagnosis, I do not have expertise in such matters. However, the noble Lord and the British Dyslexia Association do, and I would encourage Warwickshire local authority to consider carefully its advice on this point, and on the document generally. I share the noble Lord’s frustration that it has not responded to the British Dyslexia Association’s letter written over two and a half months ago.
ParlaMint-GB_2018-10-30-lords.u36	My Lords, I am astonished that the Government do not know the figures for the relative incidence of the spectrum disorders in schools. I declare an interest as a member of staff of Imperial College. Is the Minister aware of our programme where we have managed, hugely successfully, to encourage dyslexic students, in particular, to gain very high educational qualifications? But of course, if the condition cannot be identified, it is very difficult to do that.
ParlaMint-GB_2018-10-30-lords.u37	My Lords, I acknowledge the great work the noble Lord, Lord Winston, is doing. I am clear that early diagnosis makes a huge difference; it helps the self-esteem of the child in question, and also enables earlier interventions to take place, helping to establish that child on a strong educational pathway.
ParlaMint-GB_2018-10-30-lords.u38	My Lords, does my noble friend accept that dyslexia is an impairment that can result in substantial and adverse long-term effects on an individual and their ability to carry out normal, day-to-day activities, and therefore this report is in complete contrast to the legislation that this House has passed?
ParlaMint-GB_2018-10-30-lords.u39	My Lords, it is certainly not helpful that Warwickshire County Council is not engaging with the British Dyslexia Association. Under the Equality Act 2010, a person has a disability, “if he or she has a physical or mental impairment and the impairment has a substantial and long-term adverse effect on his or her ability to carry out normal day-to-day activities”.
ParlaMint-GB_2018-10-30-lords.u40	My Lords, this is not a party-political issue, and I acknowledge that the Minister made time last week, along with the noble Lords, Lord Addington and Lord Storey, to discuss Warwickshire County Council’s guidance with me. That is why the Minister’s words today are disappointing, because I had understood that he accepted that this was an urgent and serious issue. Warwick County Council’s guidance to parents ignores the science and refuses to recognise that dyslexia is a medical condition. One wonders if, perhaps, it has also advised their residents that the earth is actually flat and that there is no such thing as global warming. With Cambridgeshire County Council and Staffordshire County Council considering aligning themselves with Warwickshire County Council’s position, I think it is important that the Government set out what action they will take to ensure that this misguided guidance is withdrawn as a matter of urgency.
ParlaMint-GB_2018-10-30-lords.u41	My Lords, I share the concern of the noble Lord, Lord Watson, and I have offered to write to Warwickshire County Council to understand why it has not responded to the British Dyslexia Association’s very detailed and well-written letter, sent two and a half months ago. As I said, we recognise the issue of dyslexia. Many children and young people who have SEN may have a disability under the Equality Act, and as I said, we strongly believe in early diagnosis and early intervention.
ParlaMint-GB_2018-10-30-lords.u42	My Lords, my grandson—a splendid little boy—is on the spectrum. Only yesterday, we had a meeting with the Minister on the subject of early identification of this problem. There is no doubt about it: the earlier it can be identified the better for everybody, as it gives children a chance to participate in life in a normal way. What was lacking, as many of us here know, is child psychologists. Without many more child psychologists we do not have the ability to identify problems early, and I hope that the Minister, who I know has huge empathy for this subject, might hasten to add to that voice.
ParlaMint-GB_2018-10-30-lords.u43	My Lords, I am not sure whether the noble Lord, Lord Sterling, was referring to dyslexia or autism, but he will be aware that we have increased awareness among all schools, and encouraged teachers to increase their awareness. With the Autism Education Trust, for example, we have rolled out a lot of autism awareness training. We now have 190,000 people trained in autism awareness, which is up from 150,000 in June of last year.
ParlaMint-GB_2018-10-30-lords.u44	My Lords, the Minister will recall that during Children and Families Act, the local offer required local authorities to give information about special needs provision, and that information has to be accurate. Does the Minister not agree that it is not helpful to parents when false information is given out by councils, particularly on this issue of dyslexia? Will the Government clarify whether they fully support the recognition of dyslexia as a disability as defined by the Equality Act 2010?
ParlaMint-GB_2018-10-30-lords.u45	My Lords, the Equality Act 2010 provides protection for any person with a condition that meets the Act’s definition of disability—that is, a physical or mental impairment which has a substantial and long-term adverse effect on a person’s ability to carry out normal day-to-day activities. The Act does not, except in a few specific instances, mention by name the conditions that automatically fall within the definition of disability. This is because, in most cases, it is the impact on the person’s life that is the qualifying criterion, rather than the condition itself.
ParlaMint-GB_2018-10-30-lords.u46	To ask Her Majesty’s Government whether they will introduce legislation to reduce the maximum bet for fixed-odds betting machines to £2; and if so, when.
ParlaMint-GB_2018-10-30-lords.u47	My Lords, as announced in May 2018, the Government will introduce legislation to reduce the maximum stake for B2 gaming machines, also known as fixed-odds betting terminals, from £100 to £2. The Chancellor of the Exchequer confirmed in yesterday’s Budget that the new stake limits will come into effect when the remote gaming duty is increased to 21% in October 2019.
ParlaMint-GB_2018-10-30-lords.u48	My Lords, I find it difficult to thank the Minister for that reply. The need was felt and identified, a consultation period was held, results were published, and an impact assessment was brought forward. When the Government announced their readiness to reduce the stakes from £100 to £2 there was universal light shed on a very dark area of British national life, including among members of his own Government This is a victory for the bookies. What are their lobbying powers with the Treasury that they have been able to eke this process out to suit their needs and to make huge profits from the results of their endeavours? How can they do that when they disingenuously argue that it takes time to change the machines, even though the evidence shows that they can be changed very quickly? There are too many questions but the overriding one is: why? The Minister is an honourable man. Would he not prefer to be on this side with me, asking the Government that question?
ParlaMint-GB_2018-10-30-lords.u49	My Lords, I am happy to give an answer. We have never said exactly when this would come into force.
ParlaMint-GB_2018-10-30-lords.u50	Oh!
ParlaMint-GB_2018-10-30-lords.u51	It is true. I am delighted that, along with the excellent list of other good news that came out of the Budget yesterday, we are now able to provide clarity on the reduction to £2, which will help to stop extreme losses for those who can least afford them. The answer to the noble Lord’s question about why is to allow enough time for businesses to readjust. We are talking about a good number of jobs here. The Association of British Bookmakers has ascertained that there are about 21,000 jobs and 4,500 businesses. We think that that is a slight exaggeration, but we are talking about big numbers.
ParlaMint-GB_2018-10-30-lords.u52	My Lords, I refer the Minister to a reply he gave, on the last occasion the House discussed this, about the targeting of gambling at children and young people. In particular, the development of virtual reality games such as Fortnite, which is specifically targeted at young people, makes the idea of gambling normal. Will he also say a word about the contribution that the gambling companies to which he referred are supposed to make through the levy, to help people who become addicted? As many of them do not pay the voluntary levy, when do the Government intend to make it compulsory?
ParlaMint-GB_2018-10-30-lords.u53	As I have said in the Chamber before, we do not intend to make it compulsory. The voluntary system is working well at the moment, but we always keep it under review. The resources that we receive through the levy go towards helping problem gambling. The noble Lord made an extremely important point about the need to protect children. Problem gambling has remained consistently below 1% of the adult population for many years. Much work focused on children is going on, particularly with GambleAware. About two months ago, I noticed in the papers that a well-known TV personality took a machine from her son and smashed it against a table leg. In other words, parents need to take control and make sure that children do not spend too much time on these machines.
ParlaMint-GB_2018-10-30-lords.u54	Many of us who have been speaking and campaigning on this issue were appalled yesterday to hear about the further time that it will take to implement this. These machines are predominantly found in the poorest areas. The research is quite clear: they cause huge poverty. On top of that, it is estimated that every day between one and two people commit suicide for gambling-related reasons. That is not only a huge social cost; it is a massive financial cost, far more than the £400 million relevant tax revenue that Her Majesty’s Government receive each year. Surely it is time to do this for the sake of everyone in our country.
ParlaMint-GB_2018-10-30-lords.u55	I note what the right reverend Prelate says, but coming to this decision was a result of much cross-departmental work and liaison with the industry. Now is the time for clarity, which we have given, and we need to go ahead. We expect the companies to implement this by the date that we have given.
ParlaMint-GB_2018-10-30-lords.u56	My Lords, the Minister talks about jobs and businesses, but what about the thousands of young people who become addicted to gambling? What about the 500 suicides? Does the Minister not think it is time to look at the whole issue of television advertising, which the noble Lord, Lord Alton, mentioned? Young men are seen regularly in betting adverts during the cricket, and football players have betting companies’ logos on their shirts. Is it not time that we regulated the industry and looked again at a review of gambling?
ParlaMint-GB_2018-10-30-lords.u57	I answered the question from the noble Lord, Lord Alton, about whether the levy was mandatory or voluntary. The Government take suicide prevention extremely seriously and much work is being done, particularly with the National Health Service. Support is available. GamCare provides the national gambling helpline and a national network of counselling services. It is very important that we run this in parallel with the lead-up to the date that we bring in this change to the fixed-odds terminals.
ParlaMint-GB_2018-10-30-lords.u58	My Lords, my noble friend says that it is going to take another year and, as we understand from the Chancellor, there may be a Budget in the spring. Did my noble friend listen to the strong feeling of, I suspect, almost everybody in this Chamber today? Perhaps it would be possible in such a Budget to implement what should happen.
ParlaMint-GB_2018-10-30-lords.u59	I will certainly take the noble Lord’s comments back, but the date is fixed.
ParlaMint-GB_2018-10-30-lords.u60	That the draft Orders laid before the House on 23 July be approved. Considered in Grand Committee on 24 October.
ParlaMint-GB_2018-10-30-lords.u61	That the Bill do now pass.
ParlaMint-GB_2018-10-30-lords.u62	My Lords, in moving that the Bill do now pass, I should like to sincerely thank several people, including the Minister and his counterpart in the other place, Jackie Doyle-Price MP, who have been so supportive and helpful on the Bill. I also thank the voluntary sector, which has been incredibly vigorous and thorough in making sure that the Bill is as close to perfect as it can be. Will the Minister confirm that there will be other, informal, meetings on the Bill, which will look at the guidance to the Bill, particularly on statistics, impact and measurements? I wish to say that the Bill should now pass.
ParlaMint-GB_2018-10-30-lords.u63	I am very grateful to the noble Baroness for her question and, more importantly, for her steering the Bill to this point. I offer my thanks to her, her colleague Steve Reed in the other place and everybody who has been involved in this important piece of legislation. As she will know, my honourable friend Jackie Doyle-Price, the Minister for Mental Health, committed to the Government publishing statutory guidance within 12 months of the Bill being passed. I am happy to confirm to the noble Baroness that, in developing this guidance, the department will establish and consult an expert reference group, which will include experts on restrictive intervention as well as people with lived experience and, furthermore, that public consultation will take place before the publication of the final guidance. So I can absolutely reassure the noble Baroness and all noble Lords that we will consult widely with a broad set of stakeholders, as well as reflecting discussions in this House and the other place, to make sure that all those contributions are included in the guidance.
ParlaMint-GB_2018-10-30-lords.u64	That the Bill be now read a second time Relevant Documents: 15th Report from the Constitution Committee, 36th and 37th Reports from the Delegated Powers Committee
ParlaMint-GB_2018-10-30-lords.u65	My Lords, as I have said on many occasions, the Government remain emphatic in their support and advocacy of the Belfast agreement. The beating heart of the Belfast agreement is a devolved power-sharing Executive Government, and for that reason the restoration of a devolved power-sharing Executive is our top priority. Much to our regret, and despite our best efforts, there remains no devolved government in Northern Ireland. I believe we all share a common view that this is not good, particularly at this serious and important time. Let there be no doubt: the people of Northern Ireland need and deserve a devolved Government—a sustainable, stable, fully functioning and inclusive devolved Government I would much rather not be here—I suspect that many of your Lordships might share that sentiment—and that the Bill was not necessary. However, for reasons we have discussed before, sadly it is. As a Government we remain committed to taking those decisions necessary to provide good governance and political stability for Northern Ireland. This package of measures is a key staging post toward restoring a devolved power-sharing Executive and Assembly I do not doubt that the debate that follows will be wide-ranging. However, I shall state at the outset what the Bill seeks to achieve. The purpose is threefold. First, it will create a time-bound period for the intensive talks necessary to create an Executive. Secondly, it will ensure the functioning of the Northern Ireland departments during that period. Let me be clear that the Bill does not give the Northern Ireland departments new powers. Instead, it provides clarity on the exercise of existing powers in the absence of Ministers, and will be underpinned by guidance that will help Northern Ireland departments judge whether those powers should be used in the absence of Ministers. Finally, it will seek to ensure that key public appointments are made I thank the Delegated Powers and Regulatory Reform Committee and the Constitution Committee of this House, and I put on record both my appreciation and that of my right honourable friend the Secretary of State for Northern Ireland for their hard work in scrutinising and publishing the reports on the Bill so very quickly. We accept the Delegated Powers and Regulatory Reform Committee’s recommendation that the power enabling the Secretary of State to add offices to the table in Clause 5(2) should be subject to the affirmative procedure. The Constitution Committee raised concerns about that procedure and the fast-tracking of the legislation. We agree that this should not become the norm and that it should not be considered to set a precedent On the specifics of the Bill, first, it extends the period provided for in the Northern Ireland Act 1998 for Northern Ireland Ministers to be appointed before the local elections in 2019. As your Lordships will be aware, because Ministers were not appointed by 29 June 2017, the 1998 Act requires a further election before an Executive can be formed. As set out in my right honourable friend the Secretary of State’s Statement of 6 September, an election at this time would neither be helpful nor improve the prospect of restoring the Executive. From our engagement with Northern Ireland parties, we believe that this view is widely shared. Nor is the prospect of direct rule an attractive one. The provisions of Clause 1 seek to create a period in which an Executive can be formed and talks can take place, by removing that current legal impediment to an Executive being formed for a defined period The Bill also provides, in Clause 2, that this defined period may be extended once, for up to five months, removing the need for further primary legislation in the event that, for example, a short extension is judged necessary to finalise an agreement and form an Executive. I assure noble Lords that we will not be waiting until March to bring the Northern Ireland parties together. Following the passage of this legislation, my right honourable friend the Secretary of State intends to meet party leaders to discuss the basis, process and timing for further talks. My right honourable friend will also welcome all efforts to improve and enhance the political dialogue between the parties in Northern Ireland—including Church leaders and Members of this House—to discuss how best to encourage meaningful political engagement towards the restoration of an Executive With regard to decision-making, during this period, in light of recent court judgments, Northern Ireland departments require certainty and clarity. Their decision-making powers in the absence of Northern Ireland Ministers have come under close scrutiny. The Bill makes clear that a senior officer of a Northern Ireland department may exercise departmental functions in the absence of Ministers during the period for forming an Executive, if the officer is satisfied that it is in the public interest to do so. The Bill also requires the Secretary of State to publish guidance on the exercise of departmental functions during this period, including the principles to which senior officers in Northern Ireland departments must have regard when deciding whether to exercise a decision-making function. A draft copy of this guidance has been published and placed in the library of the House The Bill stipulates that the Secretary of State must have regard to representations from Members of the Northern Ireland Assembly before publishing the guidance. Similarly, my right honourable friend would have regard to such representations should the need for revised guidance arise. We would also welcome representations from UK parliamentarians as well as MLAs on its content before a final version is published, something the Secretary of State intends to do shortly after the Bill receives Royal Assent The principle established by this Government’s interventions over the past year is that we will legislate where doing so is necessary to protect the delivery of public services and uphold public confidence in Northern Ireland. But let me be clear, while the NICS needs certainty in respect of decision-making powers, these measures do not set or change policy direction on devolved issues in Northern Ireland. That is for a restored Executive and Assembly The principles underpinning decision-making are set out in guidance rather than on the face of the Bill, as Northern Ireland departments need a degree of flexibility and discretion to enable them to reach appropriate and necessary decisions and ensure the continued delivery of public services in Northern Ireland. We have engaged closely with the NICS during the development of the draft guidance. The factual information provided by it has informed the approach we have taken This Government also recognise that, in the absence of an Executive, there will be some decisions that we, the UK Government, should take, such as setting out departmental budget allocations for approval by Parliament to ensure that public services continue to function Noble Lords will be aware of some new elements to the Bill since it has arrived in our House. There was a series of amendments to Clause 4. To be very clear, the clause requires the Secretary of State to issue guidance to Northern Ireland departments on how to exercise their functions in relation to Sections 58 and 59 of the Offences against the Person Act 1861 and Article 13(1)(e) of the Matrimonial Causes (Northern Ireland) Order 1978 and wider human rights. The Secretary of State would also be required to report guidance under this clause on a quarterly basis to the other place, and set out her plans to address the impact of the absence of Ministers on human rights obligations in Northern Ireland within three months of the day on which the Bill receives Royal Assent.
ParlaMint-GB_2018-10-30-lords.u66	I am most grateful to the Minister for giving way. He will recognise that Clause 4, which was inserted in the Bill in the other place, is quite modest in its objectives. During the Brexit negotiations we have been told we cannot have a line down the middle of the Irish Sea affecting trade differently in one part of the United Kingdom from the other. Yet we have a line down the middle of the Irish Sea, affecting the human rights of one part of the United Kingdom, compared with the rights of the rest of the United Kingdom. The Supreme Court in particular, in relation to abortion, said recently, “the present legislative position in Northern Ireland is untenable and intrinsically disproportionate … the present law clearly needs radical reconsideration” What are the Government going to do about that?
