ParlaMint-GB_2018-06-12-commons.u1	1. What steps he is taking to support economic growth while decreasing emissions.
ParlaMint-GB_2018-06-12-commons.u25	We have maintained, and will continue to maintain, our manifesto commitment that says that no more large-scale onshore wind development is right in England. That should reassure my hon. Friend and his constituents.
ParlaMint-GB_2018-06-12-commons.u26	rose—
ParlaMint-GB_2018-06-12-commons.u27	No. This question was purely about Kettering—both the question and the answer—so we must move on.
ParlaMint-GB_2018-06-12-commons.u28	3. What recent assessment he has made of trends in the level of business investment in the food and drink sector in the south-west.
ParlaMint-GB_2018-06-12-commons.u29	Food and drink grown and made in Cornwall is exported and enjoyed around the world. My hon. Friend, both as chairman of the all-party group on dairy and as North Cornwall’s MP, will welcome the £75 million investment by Dairy Crest in its Davidstow creamery, announced two weeks ago, to expand its cheese production by nearly 50%. We are working closely with the industry to ensure that companies continue to invest and grow, right across the UK.
ParlaMint-GB_2018-06-12-commons.u30	I am grateful to the Secretary of State for that answer, and I do welcome Dairy Crest’s recent announcement. The food and drink sector is flourishing right across the south-west, particularly in North Cornwall. We have some fantastic brands, including Tarquin’s Gin, Kernow Chocolate, Sharp’s brewery and Buttermilk fudge, to name but a few. Many of these small and medium-sized firms are looking to export for the first time. What discussions is his Department having with the Department for International Trade to expand some of these opportunities for those firms?
ParlaMint-GB_2018-06-12-commons.u31	We know that there is huge demand for these products. For example, one reason behind the expansion of the creamery is the increasing appetite in China for cheese produced in Cornwall. My hon. Friend mentioned Sharp’s brewery, and the investment in the facility at Rock now means that 340,000 pints of Doom Bar a day can be produced there. I hope some of those will leave these shores and be enjoyed around the world.
ParlaMint-GB_2018-06-12-commons.u32	Controversially, Britain’s earliest pasty recipe comes from Plymouth rather than Cornwall. It dates from 1510 and was found in Plymouth borough’s accounts. Pasties are a key part of both Plymouth and Cornwall’s identity. What discussions has the Minister had to ensure that the name “Cornish pasties” is protected after we leave the EU, preventing anyone else around the world from forging pasties, whether Cornish or from Plymouth?
ParlaMint-GB_2018-06-12-commons.u33	Anyone who has enjoyed pasties in Cornwall or—dare I say?—Plymouth will attest to their unique qualities. We have products across the United Kingdom that are associated with the places where they are manufactured. It is an association of quality, and we will ensure that they continue to be protected as part of our negotiations.
ParlaMint-GB_2018-06-12-commons.u34	4. What steps he is taking to support the automotive industry.
ParlaMint-GB_2018-06-12-commons.u35	The automotive sector is one of our great success stories, and our recently published automotive sector deal, as part of the industrial strategy, sets out how we will continue to support it in future. The partnership continues to deliver results. In April, Vauxhall announced an investment of over £100 million in its Luton plant to build the next generation of Vivaro vans. Last month, the Society of Motor Manufacturers and Traders, the sector body, reported that UK van production had increased by almost a fifth compared with last year.
ParlaMint-GB_2018-06-12-commons.u36	Jaguar Land Rover is one of Coventry’s biggest employers. Recently, JLR revealed its intention to make Coventry the heart of its large-scale battery and electric vehicle production plans. This is welcome news for my city. With that in mind, what support can the Minister offer to Jaguar Land Rover to ensure that Coventry becomes the centre for large-scale battery and electric vehicle production?
ParlaMint-GB_2018-06-12-commons.u37	I am grateful for the hon. Lady’s question and I completely agree with her praise and support for that very important employer. JLR’s expansion plans and its plans to make electric vehicles in Coventry are reinforced by the Faraday challenge, which is part of the industrial strategy, and the national battery manufacturing development facility is based at Warwick University’s campus there to support that company and many others besides.
ParlaMint-GB_2018-06-12-commons.u38	Does the Secretary of State agree that it would be a cruel irony if Volkswagen, the author of the emissions cheating scandal, were to make large pay-outs in Germany and the United States, which would help those countries to boost their electric vehicle capacity, but made no similar pay-out to help the United Kingdom move ahead in this area?
ParlaMint-GB_2018-06-12-commons.u39	My hon. Friend is right that the consequences have to be borne by the companies that cheated the system. We need to make the transition to ultra low emission vehicles to make sure that we lead the world in this area. Just a few weeks ago, Toyota announced a big investment in the future of mobility here in the UK, based on the commitments that we are making as part of our industrial strategy.
ParlaMint-GB_2018-06-12-commons.u40	21. Scrappage schemes have been used in the past to assist businesses and industries in a transition. Has the Minister costed a support package to scrap old diesel vehicles and assist in a managed transition to renewable/alternative energy vehicles?
ParlaMint-GB_2018-06-12-commons.u41	The hon. Gentleman is right that we need to see a managed change. Earlier, my right hon. Friend the Minister for Energy and Clean Growth pointed out that the next generation of diesel can play a big part in not only reducing greenhouse gas emissions, but improving air quality. We will shortly be setting out our proposals on how we make the important transition to zero emissions across our vehicle fleet.
ParlaMint-GB_2018-06-12-commons.u42	Hundreds of jobs in my constituency rely on the Jaguar Land Rover supply chain. Will the Secretary of State tell the House what he is doing to help car manufacturers to deal with the uncertainty of Brexit and the fall in demand for diesel vehicles?
ParlaMint-GB_2018-06-12-commons.u43	I will. My hon. Friend is right to comment on the supply chain. A big part of the automotive sector deal, which we concluded with the sector, is to boost the proportion of components that are sourced in the UK. This is a joint commitment that we make, as part of the industrial strategy, but she is also right to draw attention to the importance of our continued ability to trade with the rest of the European Union, free of tariffs and with low friction, so that we can maintain the just-in-time model, which is so crucial to our automotive sector.
ParlaMint-GB_2018-06-12-commons.u44	Following the loss of the Discovery model to Slovakia, which was a decision at least partly influenced by Brexit, what steps is the Minister taking to head off the risk to Jaguar Land Rover’s exports to China where the rules of origin will conflict with the interests of the company in the event that we lose the customs union and we no longer have sufficient UK content in the cars?
ParlaMint-GB_2018-06-12-commons.u45	The right hon. Gentleman is wrong about the decision that was made. In fact, it is a decision to prepare Solihull for the next generation of the Range Rover and the Range Rover Sport. JLR described that as a huge investment and a technology upgrade in Solihull, so I hope he will welcome that. He knows that the importance of making sure that we are able to continue to trade—this includes recognising rules of origin not just with the European Union, but around the world—is vital for this company.
ParlaMint-GB_2018-06-12-commons.u46	Many intending to purchase new cars are unsure what type of engine to opt for, partly as a consequence of Government taxation policies. That is having a serious effect on the British motor manufacturing industry. Will the Secretary of State confirm that there remains a future for clean diesel?
ParlaMint-GB_2018-06-12-commons.u47	I will indeed. We are not the only country that is seeing a fall in the sales of diesel. As I and my right hon. Friend the Minister of State have said, clean diesel and the new generations of diesel engines have a very important role to play in the transition to ultra low emission vehicles.
ParlaMint-GB_2018-06-12-commons.u48	Contrary to what the Secretary of State has said, over the past six months nearly 2,000 job losses have been announced in the UK’s automotive sector. This week in the media we have seen speculation about thousands of further redundancies caused by a combination of factors, including worries about possible consequences of a no-deal Brexit and the absence of the customs union. May I press the Secretary of State to set out how the Government will work with business, industry bodies and trade unions to ensure security of the automotive industry and those employed in it both in the immediate future and beyond UK’s exit from the EU?
ParlaMint-GB_2018-06-12-commons.u49	We work very closely with the industry with great success. Engine production in this country was up over 17% last year, reaching 1 million engines. That is a record. Never in the history of the British motor industry were more engines produced than last year. Over the past year, the net number of jobs that are being created—note the word “created”—in the automotive sector in this country is 9,000.We have a very good record of working closely with the industry to support an industry that is not only very successful today, but will continue to flourish in the future.
ParlaMint-GB_2018-06-12-commons.u50	5. What steps he is taking to support vulnerable consumers with their energy bills.
ParlaMint-GB_2018-06-12-commons.u51	20. What steps he is taking to tackle rising energy prices.
ParlaMint-GB_2018-06-12-commons.u52	The Government are committed to helping energy consumers. We have brought forward the price cap Bill, and more than 2 million low-income households receive £140 a year through the warm home discount.
ParlaMint-GB_2018-06-12-commons.u53	Does the Secretary of State agree that a wide-reaching energy efficiency programme would help vulnerable customers in Eddisbury and elsewhere, as well as helping the UK meet its climate change targets?
ParlaMint-GB_2018-06-12-commons.u54	My hon. Friend is absolutely right. One of the missions that the Prime Minister announced as part of our grand challenges in the industrial strategy is to reduce by 50% the energy consumption of homes built in the future. That has an important impact not only on our greenhouse gas emissions, but on the bills that people face.
ParlaMint-GB_2018-06-12-commons.u55	With recent rises in fuel costs, many motorists in the Scottish borders feel like they have been taken for a ride. What steps are the Government taking to try to reduce the impact of higher taxation on fuel, and what analysis has the Department carried out on the allegations of rocket and feather pricing on petrol and diesel sales at the pump?
ParlaMint-GB_2018-06-12-commons.u56	I am grateful to my hon. Friend for the question. It is a very important market. Obviously, recent oil price rises have had an impact at the petrol pumps. It is important that prices are competitive and not, as he implies, subject to rising quickly and then taking a long time to decline. The Office of Fair Trading last looked at this in 2013, but I expect its successor, the Competition and Markets Authority, under Andrew Tyrie, a noted consumer champion, to keep this under close review.
ParlaMint-GB_2018-06-12-commons.u57	Up to 200,000 customers do not benefit from the warm homes discount because they get their energy from smaller energy suppliers. Is it not time to extend the warm homes discount, especially since energy bills are going up and we are trying to crack down on rip-off tariffs?
ParlaMint-GB_2018-06-12-commons.u58	The hon. Lady, Chair of the Business, Energy and Industrial Strategy Committee, makes a very important point. We are reviewing whether the threshold for exclusion is appropriate; I know that she will welcome that.
ParlaMint-GB_2018-06-12-commons.u59	Some 169 households in my constituency have been affected by the mis-selling of insulation and solar panels by HELMS. This company was accredited by the Government under the old green deal scheme, so what will the Government do to compensate these people—often vulnerable pensioners—and how will they prevent such mis-selling from happening under the new green deal scheme?
ParlaMint-GB_2018-06-12-commons.u60	As with any other supplier, consumer protection rights are in place and available. I would be very happy to meet the hon. Lady to discuss this particular case and see whether we can help.
ParlaMint-GB_2018-06-12-commons.u61	Vulnerable customers can benefit from the use of smart meters. Will the Secretary of State update the House on how many SMETS 2 meters have now been installed and are connected to the Data Communications Company?
ParlaMint-GB_2018-06-12-commons.u62	I can tell my hon. Friend that 1,000 new SMETS 2 meters have already been installed. That is a significant milestone because it represents the beginning of the roll-out of the next generation of meters.
ParlaMint-GB_2018-06-12-commons.u63	As businesses look to expand their market share in the wider evolving world market beyond the EU ahead of next year, what priority are the Government giving to maintaining and trying to reduce energy bills to create employment and prosperity right across the United Kingdom?
ParlaMint-GB_2018-06-12-commons.u64	The hon. Gentleman makes an extremely important point. We have commissioned Professor Dieter Helm to look at how we can reduce the costs of our energy system for businesses and consumers. One of the advantages of the strategy that we have pursued is that we have brought down the costs of offshore wind—a major contribution—by targeting and investing substantially in it at a rate, as my right hon. Friend the Minister for Energy and Clean Growth said earlier, which has resulted in a reduction beyond what anyone expected even a couple of years ago.
ParlaMint-GB_2018-06-12-commons.u65	6. What steps he is taking to encourage investment in environmentally sustainable electricity generation.
ParlaMint-GB_2018-06-12-commons.u66	Since 2010, we have seen a large increase in renewables deployment and investment, with more than £52 billion invested, and indeed it is paying off. In 2017, more than half our energy generation came from low-carbon sources. As prices tumble, we can buy more with the same amount of money, which is why we are making £557 million available for further contracts for difference. We have started negotiations with Hitachi to bring forward the country’s second new nuclear plant, which my hon. Friend the Member for Monmouth (David T. C. Davies) mentioned.
ParlaMint-GB_2018-06-12-commons.u67	The Minister talks a good talk, but rooftop solar panel take-up is at a seven-year low. In my seat, Alternergy has gone from topping the Fintech 100 to an 80% drop in business since the end of the feed-in tariff was announced in 2012. What assurances does the Minister have for such firms after the scheme closes next year?
ParlaMint-GB_2018-06-12-commons.u68	It is right that we look at how we can deliver subsidy-free energy using schemes such as the feed-in tariff that have been wildly successful. I will shortly be launching a call for evidence so that we can come up with a good replacement for the feed-in tariff scheme.
ParlaMint-GB_2018-06-12-commons.u69	What was the principal driver in the reduction of the price of new offshore wind?
ParlaMint-GB_2018-06-12-commons.u70	There were two things. First was the world-leading contract structure that we set up with our auctions; I pay tribute to that very good coalition policy. The second thing was the enormous deployment globally and the reduction in price of the various components. It has been a great British success story.
ParlaMint-GB_2018-06-12-commons.u71	In 2015, the then Secretary of State said that 2018 would be the year for the UK to ratchet up our Paris climate commitments and our progress towards sustainable generation, but in the past three years the Government have capped support for low-carbon energy and destroyed 12,000 solar jobs. Clean energy investment, which fell by 10% in 2016, fell by a further 56% in 2017 to its lowest level in a decade. How about the Minister comes down off cloud complacency and finally gives investors certainty about the renewables industry, starting with a date for the consultation on the post feed-in tariff framework?
ParlaMint-GB_2018-06-12-commons.u72	I think that the question in all that preamble was, “What is the date?” As I said, we will be announcing that soon.
ParlaMint-GB_2018-06-12-commons.u73	Globally, the nuclear power market is declining rapidly while the low-carbon power of offshore wind and battery storage becomes more affordable. How can the UK Government justify taking a reported £5 billion direct stake, and a further guarantee of £9 billion, in the nuclear white elephant that is Hitachi Wylfa Newydd?
ParlaMint-GB_2018-06-12-commons.u74	As I have said repeatedly, we have entered into negotiations. I have to tell the hon. Gentleman that one of the saddest things I saw at the conference of the parties in Bonn this year was the barge-loads of dirty brown coal sailing down the Ruhr because countries like Germany have made an ideological choice about their energy supply rather than focusing on what keeps the lights on, costs down and carbon falling.
ParlaMint-GB_2018-06-12-commons.u75	The Minister said earlier that she “gave a stuff” about household budgets, yet Tory dogma is set to saddle consumers with nuclear energy costing about £80 per megawatt-hour compared with under £60 for offshore wind. Is it not time that the UK Government stopped living in the past, scrapped this nuclear project and put households, who bear the brunt of costs, front of mind?
ParlaMint-GB_2018-06-12-commons.u76	The hon. Gentleman cites numbers that have no relevance to the negotiations. We have to keep bills down, and we have to make sure that the lights are on, that we have a secure energy supply and that we decarbonise. We think nuclear is very much part of that mix.
ParlaMint-GB_2018-06-12-commons.u77	7. What his policy is on supporting small and medium-sized renewable power generators after the closure of the feed-in tariff scheme.
ParlaMint-GB_2018-06-12-commons.u78	16. What the timetable is for the publication of the Government’s consultation on the feed-in tariff scheme.
ParlaMint-GB_2018-06-12-commons.u79	The feed-in tariff scheme was launched in 2010 and now delivers £1.5 billion-worth of support a year for low-carbon generation. It has been really successful, and over 6 GW of it has been deployed—2.5% of UK electricity consumption. We want to see how we can deploy it at a subsidy-free level, as that is where prices are going. I will launch a call for evidence on the future of small-scale generation soon.
ParlaMint-GB_2018-06-12-commons.u80	Although I was delighted to hear that the world-leading small wind turbine manufacturer in my constituency, Gaia-Wind, was saved from liquidation this week by an overseas buyer, the unnecessary uncertainty that the Government have created around the future of small-scale renewable energy persists. So will the Minister put investors and companies at ease and make a cast-iron promise to bring forward the consultation on future support before the summer recess?
ParlaMint-GB_2018-06-12-commons.u81	I am really glad that, as the hon. Gentleman says, it looks as though at least some of the jobs at the company in his constituency have been saved. With these schemes, we always have to think about what is value for money and what is the right thing to do in terms of energy security and supply. I will not make cast-iron guarantees, but I can promise him that it will happen soon.
ParlaMint-GB_2018-06-12-commons.u82	Ben Dyson at Lakes Renewables Ltd in Kendal, which focuses on solar power, has seen a 50% reduction in his work due to the impending closure of the scheme. He has kept going by diversifying, but many other firms have gone to the wall. Ben urgently needs policy clarity from next March, and to see business rates on commercial rooftop solar abolished. What steps will the Minister take to ensure that these rates are abolished and that the growth of small green businesses such as Ben’s is encouraged?
ParlaMint-GB_2018-06-12-commons.u83	I met representatives of the various trade associations to discuss this really important point. It will be considered separately from the consultation. However, I invite the hon. Gentleman and his constituent to make any representations; I would be keen to receive them.
ParlaMint-GB_2018-06-12-commons.u84	9. What steps he is taking to support high street businesses.
ParlaMint-GB_2018-06-12-commons.u85	The retail sector is an important part of our economy and our industrial strategy, as are the 3 million jobs employed in it. In March, I established the Retail Sector Council so that retailers can work together with the Government to develop policies to support the sector. Last week, the Secretary of State and I held a roundtable in Downing Street with retailers to establish how to tackle the challenges facing the sector.
ParlaMint-GB_2018-06-12-commons.u86	As more retailers struggle to survive on our high streets, what discussions has the Minister had with Treasury colleagues to move business rates away from a property-type tax so that high-street retailers can compete on a level playing field with online businesses?
ParlaMint-GB_2018-06-12-commons.u87	As my hon. Friend will know, in April 2017, retailers saw a 6% reduction before inflation in their business rates, with £3.6 billion of transitional relief. We are doing what we can to support businesses. The Retail Sector Council will be looking at a range of issues, including business rates. The Government are determined to ensure that the taxation system is up to date and fit for purpose.
ParlaMint-GB_2018-06-12-commons.u88	One of the areas on the high street that is particularly struggling is that of our important pubs. I would be interested to hear the Minister’s view on the extent to which pub-owning businesses and tenants enjoy confidence in the Pubs Code Adjudicator—and if they do not, what steps the Government are taking to put that right.
ParlaMint-GB_2018-06-12-commons.u89	As the hon. Gentleman will know, I take a particular interest in the health of public houses up and down the country. He will know that this Government set up the Pubs Code Adjudicator to ensure that landlords and tenants across the country got a fair deal. It is still early days, but the adjudicator is getting on and making decisions. I know that the Under-Secretary of State for Business, Energy and Industrial Strategy, my hon. Friend the Member for Watford (Richard Harrington), is in close discussions with the adjudicator to ensure that he is getting the job done.
ParlaMint-GB_2018-06-12-commons.u90	Do the Government feel that there is a level playing field between internet providers and businesses on the high street?
ParlaMint-GB_2018-06-12-commons.u91	I congratulate my right hon. Friend on his election to the Select Committee; I am sure he will do a great job in standing up for British business. He highlights a key issue, which is the transition from traditional bricks and mortar to online. Last year alone, we saw a 9% increase in online retail. Clearly, that is a challenge for Government and business. That is why we are looking at the business rates structure and also at what we can do to help business to transition during this difficult period.
ParlaMint-GB_2018-06-12-commons.u92	The British Retail Consortium has estimated that up to one third of retail jobs could disappear by 2025 as a fundamental transformation of the market occurs. Does the Minister agree that providing retail workers with the opportunity to upskill and reskill is critical to avoiding mass job losses over the next decade?
ParlaMint-GB_2018-06-12-commons.u93	I absolutely agree that it is important to ensure that our workforce are properly skilled, which is why that is an important part of our modern industrial strategy, but I am less pessimistic than she is. Retail employment has been stable at about 3 million. Yes, those jobs are changing, but retail sales totalled some £362 billion last year, and jobs are being created in the retail sector.
ParlaMint-GB_2018-06-12-commons.u94	Last week, House of Fraser announced that 6,000 jobs were at risk. Yesterday, another 5,000 jobs went at Poundworld. Since the start of the year, tens of thousands of retail workers have lost their jobs. Some 3.9 million people work in our retail sector. They, their employers and anyone who cares about our high streets want a retail sector deal, so when are the Government going to publish the strategy? More to the point, will it have any meaningful action?
ParlaMint-GB_2018-06-12-commons.u95	I thank the hon. Gentleman for his question. Yesterday, I spoke to the chief executives of both House of Fraser and Poundworld to properly understand the challenges that those businesses face and what Government can do to support them. The hon. Gentleman talks about a sector deal. I politely point out that it was this Government who had to take action to bring together the Retail Sector Council, a forum in which to develop policies. While the Labour party sits by and watches, this Government are getting on and working with the retail sector to protect those jobs.
ParlaMint-GB_2018-06-12-commons.u96	10. If he will make an assessment of the potential contribution of the Sirius Minerals polyhalite project to the industrial strategy.
ParlaMint-GB_2018-06-12-commons.u97	The Sirius Minerals polyhalite project has the potential to create 1,000 skilled jobs at the mine near Whitby and on Teesside, with many more jobs in their supply chains. That is an important type of business that will benefit from our industrial strategy, creating skilled jobs in the north of England.
ParlaMint-GB_2018-06-12-commons.u98	I am sure the Minister is aware of the recent Quod report, which shows the long-term economic benefits of this investment. The polyhalite fertiliser mining project does not only bring the 1,000 jobs that the Minister mentioned but is the largest single investment in the north. Product will be exported to the world through Teesport, growing the local economy by almost 20% and adding £2.3 billion to the economy. Does the Minister agree that that is precisely the kind of project that the Government should be getting behind as part of the modern industrial strategy?
ParlaMint-GB_2018-06-12-commons.u99	I agree with my right hon. Friend. This is a very important project for him, as the Member of Parliament for Whitby. It is an important developing business, and I agree that it is exactly the kind of business that would benefit from our industrial strategy.
ParlaMint-GB_2018-06-12-commons.u100	I worked for some years in the chemical industry, so let us talk in real terms. We are talking about potash, and as one of the biggest reserves of potash in Europe, this business is seriously important. On a day like today, when we face the ruination of Brexit, when my local engineering companies are desperate about losing their markets in Europe and when Ministers are resigning, it is vital that we use this resource to compensate for the disaster in the rest of the economy.
ParlaMint-GB_2018-06-12-commons.u101	I agree with the hon. Gentleman; this potash project is very exciting and very good for the UK. It is exactly the kind of business that he would want in his area, and it will help businesses throughout the United Kingdom.
ParlaMint-GB_2018-06-12-commons.u102	11. What steps he is taking to invest in science, technology and innovation throughout the UK.
ParlaMint-GB_2018-06-12-commons.u103	18. What steps he is taking to invest in science, technology and innovation throughout the UK.
ParlaMint-GB_2018-06-12-commons.u104	When it comes to science, research and innovation, this Government are putting their money where their mouth is. We are investing an additional £7 billion in research and development funding by 2022—the biggest ever increase in public funding. Our ambition is to increase the UK’s R&D spend to 2.4% of GDP by 2027, which will be an additional £80 billion over the next decade to help us to dominate the new industries of the future.
ParlaMint-GB_2018-06-12-commons.u105	The industrial strategy’s commitment to supporting new innovation and investment in science and technology for food production was much welcomed, especially in areas such as North Yorkshire. Will the Minister update the House on what the Government are doing to deliver on these ambitions so that we can fully realise the sector’s potential as a source of high-skill jobs and growing exports?
ParlaMint-GB_2018-06-12-commons.u106	My hon. Friend is right to mention agri-tech. As he is aware, we set out in the industrial sector that agri-tech is one of the six priority areas for the artificial intelligence and data economy grand challenge. On progress in what we are doing, we have announced a £90 million transforming food production challenge, which will continue to bring together the UK’s world-class agri-food sector with expertise in robotics, AI and data science.
ParlaMint-GB_2018-06-12-commons.u107	In Chelmsford, we are making the sensors that will go on the Sentinel satellites, which will provide a step change in how we monitor our planet’s environment from space. Many European countries have national space programmes and are members of the European Space Agency. Will the UK have a national space programme and contribute to the European Space Agency going forward?
ParlaMint-GB_2018-06-12-commons.u108	I can answer categorically: the UK will continue to be a member of the independent European Space Agency—currently, for every £1 we invest, we get £10 back—and Innovate UK is looking at a national space programme with the UK Space Agency. In addition, we are looking at a space sector deal to boost the work in our thriving space sector.
ParlaMint-GB_2018-06-12-commons.u109	Some of the most exciting and innovative work in engineering at the moment is being done on the development of renewable energy from wave and tidal stream power. The sector itself has come up with a proposal for innovation in power purchase agreements. Will the Minister, or perhaps some of his colleagues, agree to meet me with a delegation from the sector to discuss how it can contribute to the Government’s industrial strategy?
ParlaMint-GB_2018-06-12-commons.u110	Absolutely. I am glad the right hon. Gentleman mentions the industrial strategy, and I would be delighted to meet him.
ParlaMint-GB_2018-06-12-commons.u111	rose—
ParlaMint-GB_2018-06-12-commons.u112	No mention of Galileo—not one word.
ParlaMint-GB_2018-06-12-commons.u113	Order. The hon. Gentleman does not need to keep banging on about Galileo from a sedentary position. We want to hear the views of the hon. Lady, but we have heard the hon. Gentleman chuntering and we may hear him on his feet in due course.
ParlaMint-GB_2018-06-12-commons.u114	When looking at investment in science and innovation across the UK, will the Government do what has not been done in recent years, and make sure that the north gets its fair share?
