ParlaMint-GB_2018-05-01-commons.u1	1. What steps he is taking to ensure that markets work in the interests of consumers.
ParlaMint-GB_2018-05-01-commons.u190	Speaker Lenthall.
ParlaMint-GB_2018-05-01-commons.u191	Speaker Lenthall—forgive me The Speaker whom I think had the problem with how the House dealt with expenses was Michael Martin’s predecessor. I have said this in the House before, so it will be no surprise. If his predecessor had backed up Elizabeth Filkin over the expenses rows involving a number of MPs, perhaps the standard of behaviour among some Members would not have fallen so low or become so widespread. I think that he, in effect, was carrying some of the consequences of what happened before him I am parliamentary warden of St Margaret’s Church in Parliament Square. I am glad to say that we have had inclusiveness in the Chair—I do not think you need to be socially mobile to get into the Speaker’s Chair, and being able to be there as someone who is Jewish, someone who is Christian (Methodist) such as George Thomas, or someone who is Christian (Roman Catholic) such as Michael Martin, is a sign of the inclusiveness of this place and something that I am proud of I am also proud that Michael Martin, when he was a Back Bencher—he continued doing this for a bit when he was Speaker—would come to the monthly communion services that are held at St Margaret’s, which are followed by a breakfast in Speaker’s House for which we are grateful, Mr Speaker. Having a Roman Catholic joining in with Christians of other denominations in a monthly service was an example of the inclusiveness that he showed by example, even if some of the prelates in his Church did not approve.
ParlaMint-GB_2018-05-01-commons.u192	I would like to add to the warm tributes that have been made and send condolences to Speaker Martin’s family. I can perhaps close the historical loop that was initiated by the hon. Member for Glasgow North East (Mr Sweeney), because I knew Michael Martin at the beginning of his political career rather than at the end. As it happens, we were both elected to Glasgow City Council for neighbouring wards in the same year. Despite our somewhat different backgrounds, we became good friends and colleagues I remember him well as somebody who was totally devoted to his ward, his local community, the Labour movement—his origins were in the Amalgamated Union of Engineering Workers, now Unite, though he became a white-collar organiser—and his Church. I mention that because at that time in Glasgow’s political history, there had been a long period of Labour rule, and that was interrupted briefly for three years when it was ruled by a combination of Conservatives, nationalists and something called the Progressive party, which was anything but—it was a legacy of the sectarian tradition in Glasgow. I think one needed to understand that to understand what Michael fought for At the time we were on the council, nobody would have claimed that he was a policy wonk. He was not high profile, but he was a very effective behind-the-scenes operator who made things happen. I remember being involved with him on two campaigns in particular. The first was when Mrs Thatcher, I think in 1971, abolished free school milk. That was a particularly potent issue in Glasgow, and it was something about which he cared passionately because of the poverty of his upbringing. There was still rickets in schools in Glasgow, and there was enormously strong feeling about this. In the ruling group in Glasgow Council, we decided not to implement the Government legislation. As a result, he, I and various other colleagues were very nearly disqualified from public life. I mention that in the context of his own convictions The other major campaign that he organised, which stemmed from his AUEW background, came a year later, when the Upper Clyde Shipbuilders’ crisis came to the fore. There was an enormous mobilisation in the city and within the west of Scotland in support of the shipyard workers. As a member of the union and with his organisational skills, he played a very important part in helping to deliver that I did not see him again for another 25 years. I came into the House through a somewhat different political journey, but our friendship resumed. I remember him as he was: an amiable, likeable man with flashes of great kindness. I remember in particular the kindness that he showed to one of my former colleagues, the late Patsy Calton. When she was dying of cancer, he went out of his way to put a protective arm around her, and many of us on the Liberal Democrat Benches remember that episode He was extremely effective in his networking and his work behind the scenes on the Chairmen’s Panel, but we should also remember that he was a politician. He took a very firm stand in Glasgow when there was a severe and ugly outbreak of feeling against asylum seekers in his constituency and the Sighthill developments. He was a strong campaigner for apprenticeships, building on his own history. To me, and I think many other people, he is somebody we should have great respect for. Particularly as he left under a cloud, I think that we should remember now that he was a fundamentally decent, good man whom this House should honour.
ParlaMint-GB_2018-05-01-commons.u193	Order. I am keen to accommodate remaining colleagues who feel that they need to speak, and there are no doubt several who do, but I just gently point out to the House that the subsequent business is likely to be of intense interest, and therefore there is a premium on brevity.
ParlaMint-GB_2018-05-01-commons.u194	I would like to join in the sympathies that have been expressed so far. I was fortunate to join this House four years after Lord Martin did, and we became friends. He had friends across the House, and as soon as he discovered that my grandmother came from Glasgow, we became even closer friends. He was an outstandingly collegiate person. He was an excellent member of the Chairmen’s Panel, as it was called then, and a very, very good Deputy Speaker As you know, Mr Speaker, I then had a brief time out of the House—I am grateful that the electorate decided to give me a break. When I came back in 2001, Michael Martin had made the journey from Deputy Speaker to Speaker, and he was incredibly kind to the new intake. He went out of his way to welcome them and showed a really strong interest in all of us. You mentioned, Mr Speaker, that he may not always have been a favourite of Front Benchers. Many of us spent much of the first decade of this century on the Opposition Front Bench. He was a friend of the Opposition Front-Bench team, because he supported us in ways he did not have to. He was understanding and patient. He built up our confidence and cut us a lot of slack, and I will never forget his kindness to me when I first joined the Front Bench in 2001. Like you, Mr Speaker, he set the bar very high when it came to making Speaker’s House available to colleagues and outside organisations, charities and friends. He used that extraordinary resource to help people and build happiness I was deeply upset when a tiny number of colleagues criticised Michael’s handling of expenses. His instinct was always to honour parliamentary sovereignty and to put Parliament in the driving seat when it came to sorting out the problems with the expenses regime. In many ways, he was right in that approach, and one only has to look at the performance of the Independent Parliamentary Standards Authority subsequently and the way in which parliamentary sovereignty has been taken away to see that he has been vindicated. I think that history will judge him very differently from how a small number of colleagues and the press judged him at the time I would like to remember someone who was a fundamentally decent person. He commanded respect wherever he want in this Palace among not just MPs, but members of staff. He built up vast pools of loyalty among the people who worked for him, and he was someone who was always decent and fair. I will remember him with great fondness, and my sympathies and heartfelt thoughts and prayers go out to his family at this difficult time. He has been taken from us at too young an age.
ParlaMint-GB_2018-05-01-commons.u195	I want to make three brief comments, first because some of the recent obituaries have not been very complimentary about someone who, as we have heard, was essentially a very decent man and human being. Secondly, it was reported that he was unhappy about being called “Gorbals Mick” by the Lobby, because he was in fact an Anderston boy and a Springburn MP, as you described, Mr Speaker. As a Gorbals boy myself, I never understood why the Lobby thought that was some kind of insult Thirdly, and most importantly, very few people outside this place know how accommodating Speakers, in occupying that distinguished office, are in affording access to the state apartments, hosting charitable events and supporting Members. You have not only continued that, Mr Speaker, but extended it. I had occasion to host a visit from a doctor friend of my wife’s whose teenage son was seriously damaged due to his suffering from a condition called Fragile X syndrome—a combination of a learning disability, sight and hearing problems, autism and, I think, a bit of Tourette’s. He was fixated on this wonderful building and the office of Speaker, which was then occupied by Michael Martin Michael invited us to the state apartments, and when he saw the Speaker, he shouted, “Martin, Martin!” His mother suggested, “Actually, it’s Mr Speaker or Mr Martin,” but Vincent was not having any of it, and neither was Michael—“Martin” was the name and “Martin” was good enough for Michael. When he invited us in, he sent Vincent’s mum, me and my wife to have a glass of champagne—he was in between receptions, with one ongoing—and took Vincent on a personal visit to the inner sanctum. That young man’s life was much enhanced by meeting Michael and being welcomed by him. Michael did not need to be as kind as he was, but he was. Many of us remember him fondly and send our condolences to his family.
ParlaMint-GB_2018-05-01-commons.u196	Michael Martin was Speaker when I was first elected in 2001. As others have observed, he was capable of tremendous kindness—to his family, his friends, his constituents and Members from all parts of the House—throughout his time. I suspect that the last of these kindnesses might have been the most difficult to sustain, but throughout his time in the Chair, he never failed to do so We will all have our own memories of Michael’s warmth and kindness. I will always remember him going from the Speaker’s Chair to shake the hand of my late colleague Patsy Calton after she had taken the Oath following her re-election in 2005. At that time, Patsy was in the latter stages of her fight against cancer—she died a few weeks later—and Michael went from the Chair to her because she had taken the Oath in a wheelchair. That act of simple kindness and humanity summed him up as a man and as a Speaker. Yes, he maintained many traditions of the office, but those traditions were never allowed to get in the way of what mattered. If it was a choice between the traditions of the House and simple humanity, the traditions could quickly be dispensed with If someone did not already know it, they had only to spend a few seconds—or possibly a few syllables—in Michael Martin’s company to know that here was a Scotsman, and a Glaswegian at that. He was not the first person to occupy the Chair who spoke with a broad accent—the late George Thomas, the Viscount Tonypandy, springs readily to mind—but I am certain that no other occupant of the Speaker’s Chair ever had to endure the sniping and snobbery that Michael Martin had to, although if it bothered him, he never showed it. As a Glaswegian and a Scot, he was comfortable in his own skin. He was proud of his Scottish identity and his working-class Glaswegian roots, and if anybody did not like that, frankly it was their problem, not his Much of what has been said today has focused on the personality and character of the man—and understandably so. He served as a Member of this House for 30 years, occupying the Speaker’s Chair for nine. He has a legacy. We have spoken much in recent weeks about the modern convention of the Government requiring Parliament’s approval before launching military action. When doing so, we should remember Michael Martin’s role in establishing that convention. I will never forget the debates leading up to the invasion of Iraq—they were momentous parliamentary occasions. Tony Blair brought a motion to the House on which we could vote. The Opposition of the day were also in favour of the military action and duly tabled an amendment outlining their position. It was not, however, materially different from the Government’s motion, and in an act of constitutional probity, and also of political bravery—it was against the party from which he had come—Michael Martin selected instead a cross-party amendment putting the view that the case for war had not been proven. Yes, Tony Blair, to his credit, allowed Parliament a vote, but it was thanks to Michael Martin that we were given a meaningful choice. Like you, Mr Speaker, I extend my sympathies to Mary, their children and their grandchildren, but we should do more than that. We should remind the Martin family that in this Palace of Westminster, because of the efforts of Michael Martin, their family will always be welcome among our parliamentary family.
ParlaMint-GB_2018-05-01-commons.u197	When I first came into the House in 2001, Speaker Martin was in the Chair and immediately made me and my colleagues welcome. He was impeccable in his kindness. I remember several occasions when I had cause to speak with him, and he never failed to be polite and to assist. I distinctly remember the parliamentary party of the Democratic Unionist party once having concerns about parliamentary proceedings—I do not remember why—and we arranged a meeting with the Speaker to see if he could be of assistance. Of course, we met him and had a cup of tea, and he was impeccably polite as normal, and as I would expect a Speaker to be, but what struck me was not the kindness, the politeness or the cup of tea but the fact that within a day or two the issues we raised were dealt with. Not only was he impeccably polite; he was efficient We pass on our regards and our thoughts and prayers to the Martin family. As a Speaker and a family man, he was not arrogant—he did not slap Members down—but he ruled resolutely and was always a Speaker to whom Back-Bench Members could turn to get issues resolved. We will always remember Speaker Michael Martin.
ParlaMint-GB_2018-05-01-commons.u198	Mr Speaker, I thought that your words combined warmth and dignity in a way that was a fitting tribute to a man of warmth and of dignity. I thank you for that As I listened to your words about Michael Martin, and about how he loved his family and how his family loved him, I thought immediately of how much he loved this place—how much he loved this Parliament—and it is with some melancholy that I say that this place did not reciprocate as it should have. He was not loved by Parliament as much as he loved Parliament. He was cruelly treated—very often, I have to say, on the basis of snobbery: of cruel, cruel snobbery. But if I have an abiding memory, it is of when he—and you, Mr Speaker, followed in this tradition—opened up Speaker’s House. On some occasions, the experience was slightly extraordinary. I once found myself sitting between Cardinal Keith O’Brien and the Reverend Dr Ian Paisley at dinner; I was something of a cordon sanitaire I shall never forget the time when Michael Martin invited Scouts and Guides from Maryhill and Springburn to Speaker’s House. He was the epitome of the avuncular. He delighted in the company of his ain fowk—his own people. He wanted to show them that it did not matter where they came from or what their background was, they too could be in Speaker’s House. I am sure those Scouts and Guides will always remember that May I say gently, Mr Speaker, that his great kindness to new Members, which has often been referred to, was not entirely altruistic? Twenty-one years ago my good friend Tony McNulty and I were both elected to this House, and we found ourselves in the Tea Room. Michael Martin, then a Deputy Speaker, came up and remarked to me that he and I shared the same birthday, and proceeded to talk about the similarities between us on that basis. He then mentioned that Tony McNulty had attended the Salvatorian College, and referred to some of the Salvatorian fathers he had known. He then advised both of us that if we wanted to know anything about modern politics, there was only one book that we should read. Tony, who was something of a nerd in these matters, asked “Would that be “Erskine May?” Michael Martin said, “No, no—“‘The Godfather’”. [Laughter.] He gave each of us a copy, and when he left Tony and I looked at each other and said, “If the rest of our parliamentary career is going to be as friendly as that, we shall be absolutely fine; we’ve found our feet.” To our amazement, we discovered that Michael was at that time casting out the possibility of being elected as Speaker. This came as a considerable shock to us, but we both voted for him with enthusiasm. On 3 July each year, he would always make a point of calling me, as we were the birthday boys on that particular day Michael Martin was a man of extraordinary kindness and decency. He was not well treated by the House, but I think the words that his wife Mary, and his children Paul and Mary, will hear coming from the House today will be of some consolation. Michael Martin: may light eternal shine upon him, and may he rest in peace.
ParlaMint-GB_2018-05-01-commons.u199	I thank the hon. Gentleman for that magnificent tribute.
ParlaMint-GB_2018-05-01-commons.u200	Mr Speaker, I mean this genuinely as a compliment. Michael Martin was a fine man and a fine-looking man, not unlike yourself, and, as I have told you before, I have no doubt that both of you would have looked better in tights and wigs; but let that be I had several run-ins with Michael Martin. Indeed, he once told me in front of the whole House that I should go and sit in a dark room “until the feeling goes away”. But it was a bit like offending you, Mr Speaker: if a Member took his rebuke like a man, it was all over, and it was back to his ordinary, easy-going charm and his deep commitment and friendship within the House I particularly recall his summoning me when I was called up to serve in the Army in Iraq in May 2003. He was a former soldier himself, a former Territorial, and it was absolutely clear to me that he was genuinely concerned for my welfare and that of my family. He gave me some very good advice indeed. He was a thoroughly good man.
ParlaMint-GB_2018-05-01-commons.u201	I thank the right hon. Gentleman. I am so glad that he said what he did.
ParlaMint-GB_2018-05-01-commons.u202	I want to pay a brief tribute to Michael Martin as a symbol of the social mobility of a generation of the working class in the post-war years. My dad was born in a tenement in Maryhill, just next door to Springburn, and I know that their generation did not always have an easy time of it, facing prejudice and snobbery, particularly if they were of the Roman Catholic faith. Mr Speaker, you said that Michael Martin was the first Roman Catholic to hold your great office of state since the Reformation. Catholics now regularly hold high office in Scotland and across the UK, but that was not always the case, and a significant degree of sectarian abuse from certain quarters is still directed towards those of us in public life who are from the Catholic tradition. Let me add my very personal and sincere thank you to Michael Martin for breaking through that particular glass ceiling. May he rest in peace.
ParlaMint-GB_2018-05-01-commons.u203	One of the great honours that the hon. Member for Glasgow North East (Mr Sweeney) and I have is sharing the community of Carntyne, where many of my family come from and where many of them still live today. I had the pleasure of spending some time at the weekend with the Labour Councillor Frank McAveety, discussing some memories of Michael Martin and his days in Springburn Labour party—some of which cannot be repeated in this House, I am afraid I think there is something hugely inspiring about the fact that this is a guy who was a sheet metal worker in Glasgow and was raised to his position in the House of Commons. He did not come here and pull the ladder up behind him, and he made sure that apprenticeships were available. That is something that chimes with me, as a former modern apprentice Let me return to the subject of Carntyne and the members of my family who live there. Not all of them will have been Labour voters, or Scottish National party voters, and I still do not know how some of them voted. What is left with me, however, is the memory of my gran, who lived in Michael Martin’s constituency, saying—this was probably the greatest tribute that could be paid to someone by a wee old lady in Glasgow—“He was an awfully kind man.” I think that that is how we in the House should remember him.
ParlaMint-GB_2018-05-01-commons.u204	I am exceedingly grateful to the Leader of the House, to the shadow Leader of the House, and to all Members who have spoken with warmth and sincerity of our sadly departed colleague. We remember Michael today, and we remember him, as Members have said, with affection and respect.
ParlaMint-GB_2018-05-01-commons.u205	I beg to move, That leave be given to bring in a Bill to make provision about the surrender, production or other delivery up of driving licences, or test certificates, in relation to certain offences; to make provision in relation to identifying persons in connection with fixed penalty notices, conditional offers and the payment of fixed penalties under the Road Traffic Offenders Act 1988; and for connected purposes The primary purpose of the Bill is to streamline the processes for the electronic endorsement of driving licences, but it would also strengthen the rules for the surrender of a driving licence when a driver faces disqualification. It would primarily amend the Road Traffic Offenders Act 1988 and the Road Traffic (New Drivers) Act 1995. It would eliminate the unnecessary burden on drivers by removing the need for a physical licence to be produced It may be helpful if I give some background information about why the requirement to produce the driving licence, as part of the enforcement of road traffic law, is such an issue for all concerned. Before the requirement for a paper counterpart to the driving licence was abolished, the counterpart would have been physically endorsed with details of offences and penalty points. Since the removal of the paper counterpart, no physical documents are endorsed when a person receives penalty points, either from a court or as part of the fixed penalty process. Instead, penalty points are recorded on the electronic driver record held by the Driver and Vehicle Licensing Agency. The provisions in the Road Safety Act 2006 which removed the counterpart did not remove the requirement to surrender licences as part of the court and fixed penalty processes, because at that point the automation of the computer systems of the police and court services was unable to accommodate that change The surrender of a licence, which was vital when physical documents had to be endorsed, no longer serves any practical purpose. It also creates unnecessary administrative burdens for courts, fixed penalty offices, police and, importantly, motorists. In recognition of that, the Bill removes the requirement to surrender a driving licence as part of the fixed penalty notice, and the conditional offer processes, for all road traffic offences. That will mean that licences will no longer have to be handed over, or posted, before a person can accept a fixed penalty notice or a conditional offer As some Members will know, fixed penalties and conditional offers are widely used to enforce “moving traffic offences” such as speeding. Currently, if a person does not have their licence with them when they are stopped for a road traffic offence, the police officer cannot issue a fixed penalty notice. Instead the police officer can give the driver an interim notice which requires them to attend a police station, and at the police station the driver must surrender their licence and exchange the interim notice for a fixed penalty notice. My Bill amends this procedure. It allows police officers to issue a fixed penalty notice without checking and retaining the physical licence, as long as they are reasonably satisfied of the driver’s identity. This also means that the driver will no longer have to attend the police station to surrender their licence under these circumstances Another aspect of my Bill focuses on the process under the Road Traffic Offenders Act 1988. This Act provides that when a driver is prosecuted for a motoring offence that could result in a disqualification, they must deliver or post their licence to the court in advance of the hearing, or take it to the hearing if they attend. The Bill proposes to remove any need for these drivers to deliver or post their licence before the hearing, leaving only the duty to take their licence to court if there is a hearing and if they attend. This will not only remove the unnecessary burden on drivers having to get their licences to court prior to a hearing, but will also remove the burden on the court of having to handle the driving licence administratively if the driver does not end up being disqualified The Bill will also provide courts with the power to require the driver to surrender their licence to the court if they are disqualified. However, where a driver is disqualified but does not attend the hearing, or does not produce the licence, the Bill empowers the DVLA to serve notice on the disqualified driver to send their licence to it. If a driver fails without reasonable excuse to comply with the notice within 28 days, they will have committed an offence and could be liable to a fine of up to £1,000 Similar adjustments are made to the Road Traffic (New Drivers) Act 1995 procedures and offences, which contain various references to the court, fixed penalty or conditional offer processes involving production and surrender of driving licences. Again, the DVLA will be empowered to serve a notice on a disqualified driver requiring them to send their licence to it Under the powers provided in this Bill, where a driver has already been required to surrender their licence to the DVLA and has failed to do so, police officers and vehicle examiners are given the power to require production of the licence from the driver. Failure to surrender the licence to a police officer or vehicle examiner in these circumstances will be an offence and will also incur a maximum fine of £1,000 There are numerous benefits to be had from removing this administrative requirement. Motorists and employers will welcome these changes, as the inconvenience for such a vast number of drivers serves no practical purpose, when all that happens is that the licence is receipted and then returned to the driver concerned without anything being done to it This Bill is greatly supported by both the police and the court services across Great Britain as it will enable them to continue to make savings in their processes and optimise their use of digital services. While there will be initial set-up costs associated with removing the requirement to surrender the licence, they will be absorbed by the departments involved in the process Members will also be pleased to learn that the measure is expected to provide savings of approximately £2 million a year to the Government, by removing the need for these physical documents to be surrendered. There will also be cost and efficiency savings for the police and courts, because fewer staff will be required as driving licences will not be handled or returned to drivers. In addition, there will be a reduction in stationery and postage costs for these departments. Motorists will also see a reduction in costs from the time saved in not having to forward the licence to either the fixed penalty office or the court It is expected that in the longer term this measure will allow for further Government savings, and removing the requirements for physical documents to be surrendered will enable the courts to digitise greater parts of the court service and fixed penalty processes for road traffic offences, in line with their current digitalisation goals I hope that my Bill will provide an opportunity to streamline these processes and maximise digital services across Government by removing what is now considered to be a redundant process, and I commend the Bill to the House Question put and agreed to. Ordered, That Mr Alister Jack, Alex Burghart, Eddie Hughes, Mrs Kemi Badenoch, Leo Docherty, Mr Simon Clarke, Julia Lopez, Andrew Bridgen, Mr Jacob Rees-Mogg, Mr William Wragg, Richard Drax and Colin Clark present a Bill Mr Alister Jack accordingly presented the Bill Bill read the First time; to be read a Second time on Friday 11 May, and to be printed (Bill 201). Sanctions and Anti-Money Laundering Bill [Lords]: Programme (No. 2) Ordered, That the Order of 20 February 2018 (Sanctions and Anti-Money Laundering Bill (Lords) (Programme)) be varied as follows: (1) Paragraphs (4) and (5) of the Order shall be omitted (2) Proceedings on Consideration shall be taken in the order shown in the first column of the following Table (3) The proceedings shall (so far as not previously concluded) be brought to a conclusion at the times specified in the second column of the Table TABLE Proceedings Time for conclusion of proceedings New Clauses, new Schedules and amendments relating to gross violations of human rights, to public registers in Crown Dependencies and British overseas territories of beneficial ownership of companies, or to Scottish limited partnerships Two hours after the commencement of proceedings on the motion for this Order, or 4.30 pm on the day on which proceedings on Consideration are commenced, whichever is the later. Remaining proceedings on Consideration 6.00 pm on the day on which proceedings on Consideration are commenced. (4) Any proceedings in legislative grand committee shall (so far as not previously concluded) be brought to a conclusion at 6.00 pm on the day on which proceedings on Consideration are commenced (5) Proceedings on Third Reading shall (so far as not previously concluded) be brought to a conclusion at 7.00 pm on the day on which proceedings on Consideration are commenced. —(Sir Alan Duncan.)
ParlaMint-GB_2018-05-01-commons.u206	Before we begin with Government new clause 3, I want to refer to the procedure for this debate. As the House will know, I have decided not to use my discretion to select the late starred new clauses and amendments from the Government, which were tabled yesterday afternoon and which appeared in print for the first time only this morning New Clause 3 Periodic reports on exercise of power to make regulations under section 1 “(1) The Secretary of State must as soon as reasonably practicable after the end of each reporting period lay before Parliament a report which— (a) specifies the regulations under section 1, if any, that were made in that reporting period, (b) identifies which, if any, of those regulations— (i) stated a relevant human rights purpose, or (ii) amended or revoked regulations stating such a purpose, (c) specifies any recommendations which in that reporting period were made by a Parliamentary Committee in connection with a relevant independent review, and (d) includes a copy of any response to those recommendations which was made by the government to that Committee in that reporting period (2) Nothing in subsection (1)(d) requires a report under this section to contain anything the disclosure of which may, in the opinion of the Secretary of State, damage national security or international relations (3) For the purposes of this section the following are reporting periods— (a) the period of 12 months beginning with the day on which this Act is passed (“the first reporting period”), and (b) each period of 12 months that ends with an anniversary of the date when the first reporting period ends (4) For the purposes of this section— (a) regulations “state” a purpose if the purpose is stated under section 1(3) in the regulations; (b) a purpose is a “relevant human rights purpose” if, in the opinion of the Secretary of State, carrying out that purpose would provide accountability for or be a deterrent to gross violations of human rights (5) In this section— “the government” means the government of the United Kingdom; “gross violation of human rights” has the meaning given by section 1(6A); a “Parliamentary Committee” means a committee of the House of Commons or a committee of the House of Lords or a joint committee of both Houses; a “relevant independent review”, in relation to a Parliamentary Committee, means a consideration by that Committee of whether the power to make regulations under section 1 should be exercised in connection with a gross violation of human rights.”—(Sir Alan Duncan.) This new clause requires periodic reports to be made about the use of the power to make sanctions regulations. A report must identify regulations relating to gross human rights violations. It must also specify any recommendations made by a Parliamentary Committee for use of that power in relation to such violations, and include the government’s response. Brought up, and read the First time.
ParlaMint-GB_2018-05-01-commons.u207	I beg to move, That the clause be read a Second time.
ParlaMint-GB_2018-05-01-commons.u208	With this it will be convenient to discuss the following: New clause 1—Scottish Limited Partnerships: partner requirement— “(1) For the purposes of preventing money laundering, where a limited partnership registered in Scotland has general partners at least one of those must be a British citizen (2) Where a limited partnership registered in Scotland has limited partners at least one of those must be a British citizen (3) In this section— a “limited partnership registered in Scotland” means a partnership registered under the Limited Partnerships Act 1907; “British citizen” has the meaning given in part 1 of the British Nationality Act 1981 “general partner” has the meaning given in section 4(2) of the Limited Partnership Act 1907; “limited partner” has the meaning given in section 4(2A) of the Limited Partnership Act 1907” New clause 6—Public registers of beneficial ownership of companies registered in British Overseas Territories— “(1) For the purposes of the detection, investigation or prevention of money laundering, the Secretary of State must provide all reasonable assistance to the governments of the British Overseas Territories to enable each of those governments to establish a publicly accessible register of the beneficial ownership of companies registered in each government’s jurisdiction (2) The Secretary of State must, no later than 31 December 2020, prepare a draft Order in Council requiring the government of any British Overseas Territory that has not introduced a publicly accessible register of the beneficial ownership of companies within its jurisdiction to do so (3) The draft Order in Council under subsection (2) must set out the form that the register must take (4) If an Order in Council contains requirements of a kind mentioned in subsection (2)— (a) it must be laid before Parliament after being made, and (b) if not approved by a resolution of each House of Parliament before the end of 28 days beginning with the day on which it is made, it ceases to have effect at the end of that period (but without that affecting the power to make a new Order under this section) (5) In calculating a period of 28 days for the purposes of subsection (4), no account is to be taken of any time during which Parliament is dissolved or prorogued or during which both Houses are adjourned for more than four days (6) For the purposes of this section, “British Overseas Territories” means a territory listed in Schedule 6 of the British Nationality Act 1981 (7) For the purposes of this section, “a publicly accessible register of the beneficial ownership of companies” means a register which, in the opinion of the Secretary of State, provides information broadly equivalent to that available in accordance with the provisions of Part 21A of the Companies Act 2006.” This new clause would require the Secretary of State to take steps to provide that British Overseas Territories establish publicly accessible registers of the beneficial ownership of companies. New clause 14—Public registers of beneficial ownership of companies in the Crown Dependencies— “(1) For the purpose of preventing money laundering, the Secretary of State must provide all reasonable assistance to the governments of the Crown Dependencies to enable each of those governments to establish a publicly accessible register of the beneficial ownership of companies registered in that government’s jurisdiction (2) The Secretary of State must, by the deadline set for the implementation of the European Union’s 5th Anti-Money Laundering Directive, prepare a draft Order in Council requiring the government of any Crown Dependency that has not introduced a publicly accessible register of beneficial ownership of companies within their jurisdiction to do so (3) The draft Order in Council under subsection (2)— (a) must be laid before Parliament after being made, and (b) if not approved by a resolution of each House of Parliament before the end of the 28 days beginning with the day on which it is made, ceases to have effect at the end of that period (but without that affecting the power to make a new Order) (4) In calculating a period of 28 days for the purposes of subsection (4), no account is to be taken of any time during which Parliament is dissolved or prorogued or during which both Houses are adjourned for more than 4 days (5) For the purposes of this section, a “publicly accessible register of beneficial ownership of companies” means a register which, in the opinion of the Secretary of State, provides information broadly equivalent to that available in accordance with the provisions of Part 21A of the Companies Act 2006 (information about people with significant control) (6) For the purposes of this section, “Crown Dependency” means— (a) any of the Channel Islands; (b) the Isle of Man.” New clause 19—Scottish Limited Partnerships: UK bank account requirement— “(1) For the purposes of preventing money laundering, where a limited partnership registered in Scotland has general partners at least one of those must have an active UK bank account (2) Where a limited partnership registered in Scotland has limited partners at least one of those must have an active UK bank account (3) In this section— a “limited partnership registered in Scotland” means a partnership registered under the Limited Partnerships Act 1907; “general partner” has the meaning given in section 4(2) of the Limited Partnership Act 1907; “limited partner” has the meaning given in section 4(2A) of the Limited Partnership Act 1907.” Government amendments 10 to 12 Amendment 32, in clause 1, page 2, line 17, at end insert— “(i) further accountability for, or act as a deterrent to, the commission of a gross human rights abuse or violation.” This amendment would enable sanctions to be made for the purpose of preventing, or in response to, a gross human rights abuse or violation. Amendment 33, page 2, line 35, at end insert— “(5A) In this section, conduct constitutes “the commission of a gross human rights abuse or violation” if each of the following three conditions is met (5B) The first condition is that— (a) the conduct constitutes the torture of a person who has sought— (i) to expose illegal activity carried out by a public official or a person acting in an official capacity, or (ii) to obtain, exercise, defend or promote human rights and fundamental freedoms, or (b) the conduct otherwise involves the cruel, inhuman or degrading treatment or punishment of such a person (5C) The second condition is that the conduct is carried out in consequence of that person having sought to do anything falling within subsection (2)(a)(i) or (ii) (5D) The third condition is that the conduct is carried out— (a) by a public official, or a person acting in an official capacity, in the performance or purported performance of his or her official duties, or (b) by a person not falling within paragraph (a) at the instigation or with the consent or acquiescence— (i) of a public official, or (ii) of a person acting in an official capacity, who in instigating the conduct, or in consenting to or acquiescing in it, is acting in the performance or purported performance of his or her official duties (5E) Conduct that involves the intentional infliction of severe pain or suffering on another person is conduct that constitutes torture for the purposes of subsection (2)(a) (5F) It is immaterial whether the pain or suffering is physical or mental and whether it is caused by an act or omission” This amendment, which is consequential on Amendment 32, would define what constitutes the commission of a gross human rights abuse or violation. The commission of a gross human rights abuse or violation would include the torture of a person who had sought to expose the illegal activity of a public official, or the torture of a person who had sought to defend human rights or fundamental freedoms, by a public official or a person acting in an official capacity. Government amendments 13 to 17 Amendment 20, in clause 56, page 43, line 7, after first “1”, insert “, section (Public registers of beneficial ownership of companies registered in British Overseas Territories)” This amendment is consequential on NC6. Government amendment 18 Amendment 31, in title, line 5 after “objectives”, insert “or to further accountability for, or act as a deterrent to, the commission of a gross human rights abuse or violation” This amendment to the long title would be consequential on Amendment 32.
ParlaMint-GB_2018-05-01-commons.u209	This group contains new clauses and amendments regarding three related issues that I will discuss in turn: imposing sanctions for gross human rights violations, or what is now popularly known as the Magnitsky amendment; Scottish limited partnerships, which are of deep concern, particularly for the Scottish National party; and public registers of beneficial ownership in the overseas territories. In two of those areas, the Government are taking action to tackle abuses and tighten up standards: through Government amendments on Magnitsky and through a consultation document on Scottish limited partnerships.
ParlaMint-GB_2018-05-01-commons.u210	Will the Minister give way on that point?
ParlaMint-GB_2018-05-01-commons.u211	It is a bit early, but I will do so if the hon. Lady insists; I am ever obliging to the hon. Lady.
ParlaMint-GB_2018-05-01-commons.u212	The Minister mentions the consultation on SLPs. Does he not accept that there has already been a consultation on SLPs and that it closed over a year ago, so to have another consultation is just wasting time?
