ParlaMint-GB_2018-11-20-commons.u1	1. What his Department's policy is on rooftop solar.
ParlaMint-GB_2018-11-20-commons.u31	The answer is yes. I am grateful to the hon. Lady’s Public Accounts Committee for examining the model for financing nuclear new build. With her colleagues, she has made some helpful suggestions, which she knows we are committed to taking forward to see whether they can be viable.
ParlaMint-GB_2018-11-20-commons.u32	3. What steps he is taking to remind employers of their obligation to pay the national minimum wage.
ParlaMint-GB_2018-11-20-commons.u33	We are committed to ensuring all employers pay their workers correctly. As part of our enforcement strategy, Her Majesty’s Revenue and Customs targets employers with information and advice. In April 2018, we launched a £1.48 million campaign to raise awareness of the national minimum wage rules, particularly in sectors with a high risk of non-compliance. HMRC contacted over 617,000 employers prior to April 2018, reminding them of their responsibilities to pay the higher rate.
ParlaMint-GB_2018-11-20-commons.u34	The Government are failing thousands of workers who are falling victim to unpaid trial shifts. The law is extremely grey, and despite my efforts to clear it up, the hon. Lady’s Government talked out my Bill. We know that the guidance the Government produce and reminding employers is not enough. As we go into this Christmas period, when this will be another employment epidemic, will she pledge to make this the last Christmas of the unpaid trial shift?
ParlaMint-GB_2018-11-20-commons.u35	Short unpaid trials as part of a genuine recruitment process can be legal. However, longer trials with no prospect of employment are illegal. Individuals working on illegal trials are workers and they are entitled to the minimum wage. I can inform the hon. Gentleman that, as per the communication I have had with him in recent months, I have indeed, with my Department, just reviewed and finalised new guidance on unpaid work trials and work experience for interns, which will be published in the next few weeks.
ParlaMint-GB_2018-11-20-commons.u36	Does the Minister agree with me that the payment of a living wage is actually in the best interests of employers because it encourages engagement, loyalty and productivity?
ParlaMint-GB_2018-11-20-commons.u37	I thank my hon. Friend for highlighting that point, and it is absolutely true. This Government are committed to increasing the rate of pay for the lowest-paid workers. I do agree with him that this of course encourages employee loyalty to employers that do so.
ParlaMint-GB_2018-11-20-commons.u38	19. A constituent of mine who runs a vehicle delivery company came to see me about the dangerously long hours of driving in his industry—often over 16 hours a day—for less than the minimum wage. My constituent and other small companies that care about their staff are desperate to see an end to bogus self-employment in their sectors. When will the Government finally act on the recommendations of the Taylor review and do this?
ParlaMint-GB_2018-11-20-commons.u39	Let me be clear: it is illegal not to pay the national minimum wage to workers who are entitled to it. This Government have been very clear. We are looking at and currently reviewing the Taylor review recommendations—we will be implementing the majority of them—and the Government will be responding soon with what we will do.
ParlaMint-GB_2018-11-20-commons.u40	Following on from the question from my hon. Friend the Member for High Peak (Ruth George), last week yet another employment tribunal found in favour of workers getting the minimum wage and other workplace rights—in this instance, at Addison Lee—but too many firms continue to label workers as self-employed when they are not. When will the Government finally bring forward this long overdue legislation and—as the Taylor review, the GMB union and the Business, Energy and Industrial Strategy Committee have argued—ensure that all workers are paid the minimum wage?
ParlaMint-GB_2018-11-20-commons.u41	The hon. Lady will remember that it was this Government that set up the Taylor review. We have been very clear. We are committed to enforcement; we have doubled the enforcement budget for the national minimum wage. In fact, the arrears recovered in the last year totalled £15.6 million, affecting more than 200,000 workers. This Government are committed and we will respond in due course. We are committed to making all workplaces fair for all.
ParlaMint-GB_2018-11-20-commons.u42	If the Minister is very keen on the national minimum wage, what is she saying to Mike Ashley, who has 3,000 workers at Shirebrook, most of them on zero-hours contracts? They do not get the national minimum wage. There are only a handful. Is it not time that this Government, instead of talking about the national minimum wage, did something about it?
ParlaMint-GB_2018-11-20-commons.u43	I say again: we are committed to enforcing on underpayments of the national minimum wage. We have doubled the enforcement budget. We are delivering for those individuals. And zero-hours contracts do not necessarily mean that there will be a breach of the national minimum wage. We are committed to delivering.
ParlaMint-GB_2018-11-20-commons.u44	4. What steps his Department is taking to help safeguard skilled manufacturing jobs after the UK leaves the EU.
ParlaMint-GB_2018-11-20-commons.u45	17. What steps his Department is taking to safeguard manufacturing jobs after the UK leaves the EU.
ParlaMint-GB_2018-11-20-commons.u46	The declaration on the future relationship with the EU sets out a joint ambition for zero tariffs and restrictions in goods trade, and an ambitious customs arrangement. Our industrial strategy will ensure that the UK remains one of the most competitive locations in the world for manufacturing. We have committed £140 million to the “Made Smarter” industrial digitalisation programme, which will help our manufacturing sector adopt new technologies and skills.
ParlaMint-GB_2018-11-20-commons.u47	The Minister mentions the declaration, but of course it is seven pages long and offers no reassurance to businesses in Croydon. Recently I visited a Croydon business that is currently looking to move to Amsterdam. What more can the Government provide to ensure that that business and many more stay in the UK?
ParlaMint-GB_2018-11-20-commons.u48	The hon. Lady’s constituency must contain businesses different from those I heard at the CBI yesterday, where the Prime Minister was applauded for precisely this approach; different from businesses in my constituency; and different from all the business leaders who have supported the Government’s proposed deal with the European Union.
ParlaMint-GB_2018-11-20-commons.u49	Manufacturing accounts for 11% of jobs in the west midlands, one of the highest percentages for any region, and the region has one of the highest shares of goods imports and exports— 47% of its goods go to the EU. Does the Minister agree that Labour’s plan for Brexit, guaranteeing a new, comprehensive and permanent customs union and a strong single market relationship that allows British business continued access to European markets for both goods and services, is the deal that UK manufacturers need to thrive?
ParlaMint-GB_2018-11-20-commons.u50	As far as I am aware, the Society of Motor Manufacturers and Traders and the EEF, the manufacturers’ organisation, and all other organisations representing those industries in the midlands, in the hon. Lady’s constituency and surrounding constituencies, are very much in support of the Government’s policy for frictionless trade in the future.
ParlaMint-GB_2018-11-20-commons.u51	The Secretary of State is aware of the threat to 190 skilled engineering jobs at GE Energy in Rugby. This has nothing to do with Brexit; rather, it is to do with a downturn in activity of the company’s traditional base. What advice can the Minister provide to the workforce and the local management team to secure this manufacturing activity in Rugby?
ParlaMint-GB_2018-11-20-commons.u52	As ever, my hon. Friend is fully in support of so many businesses in his constituency. As he knows, my door is open to him and the company, to discuss any possibilities of helping them. I have seen many very good businesses in his constituency and I am excited about the prospects there for high-quality employment for his constituents.
ParlaMint-GB_2018-11-20-commons.u53	The question is really whether we leave the EU at all. Yesterday, on the “Today” programme, the Secretary of State was arguing in favour of a proposal by the EU to extend the implementation period to the end of 2022. Was the Secretary of State doing his usual EU freelancing, or is that now the official policy of the UK Government?
ParlaMint-GB_2018-11-20-commons.u54	The Government want to finalise the future trading relationship with the EU as quickly as possible. My right hon. Friend the Secretary of State mentioned one alternative to achieve that.
ParlaMint-GB_2018-11-20-commons.u55	In addition to the threat that leaving the EU poses to skilled manufacturing jobs, the Minister will be aware of the devastating news that Michelin plans to close its factory in Dundee, threatening 850 such jobs. Will the Minister work closely with the Scottish Government to ensure a future for that plant?
ParlaMint-GB_2018-11-20-commons.u56	I reassure the hon. Gentleman that I have spoken to the company and I have sought assurances about support available to staff. The Secretary of State and I have spoken with the Scottish Government’s Cabinet Secretary for Finance, Economy and Fair Work and with the Secretary of State for Scotland. The Department is playing an active role in the Dundee action group.
ParlaMint-GB_2018-11-20-commons.u57	I thank the Minister for that answer, but his Government can do one thing right away to give immediate and future help. The UK Government are currently £50 million short on matching the Scottish Government on the Tay cities deal. Is this to be, like Aberdeen, Inverness and Stirling, part of a near £400 million shortage of match funding and a failure of the UK Government on city deals, or will he do the right thing and fight for match funding to support Dundee at this challenging time?
ParlaMint-GB_2018-11-20-commons.u58	As the hon. Gentleman knows, each deal with each city is an individual one based on the circumstances of that city. I see him regularly, and it would be a pleasure to meet him to discuss his constituency and the proposed city deal.
ParlaMint-GB_2018-11-20-commons.u59	18. [R] In terms of leaving the EU and our manufacturing sector, does the Minister not accept that staying in the customs union and in a form of single market is absolutely what is demanded in the long term—not “xx”—by our manufacturing sector?
ParlaMint-GB_2018-11-20-commons.u60	The hon. Gentleman must be aware that the EEF has warmly accepted the Government’s proposals for a future trading relationship that will provide the kind of frictionless trade essential for his constituents and everyone else who works in the motor vehicle industry and the manufacturing sector.
ParlaMint-GB_2018-11-20-commons.u61	“High tech manufacturing in every part of the country”—the Secretary of State’s words. General Electric is closing in Rugby and Michelin is closing in Dundee. From Swansea to Copeland to Lowestoft, his energy policies destroy more jobs than they create. By ending the enhanced capital allowance, the Budget took hundreds of millions of pounds from manufacturers, while doling out billions in corporate tax cuts. Manufacturing demand is now dropping at its fastest rate since 2015, yet the Cabinet is in meltdown over whether to walk out on the customs union in four months with no deal or in 24 months with the Prime Minister’s plan. Does the Minister agree that a permanent customs union is essential for British manufacturing and British jobs?
ParlaMint-GB_2018-11-20-commons.u62	It will come as no surprise to you, Mr Speaker, that I disagree with a lot of what the hon. Lady has said. She says the Cabinet is in meltdown. It is not. [Interruption.] The Cabinet is not in meltdown. On her substantive question about energy, to the best of my knowledge, offshore energy is producing a lot of jobs, including in Tyneside. [Interruption.] It very much is. She must be aware, as far as the customs union part of her question is concerned, of the importance of the Government’s proposals, which provide the benefit of a very close relationship with all the countries in the EU. They also mean that this country will be able to enter into negotiations to sign free trade agreements with countries all over the world.
ParlaMint-GB_2018-11-20-commons.u63	5. What assessment he has made of the potential effect of the merger of Asda and Sainsbury’s on (a) workers, (b) supply chains and (c) consumers.
ParlaMint-GB_2018-11-20-commons.u64	Sainsbury’s has confirmed that there are no planned store closures as a result of the merger. The independent Competition and Markets Authority is investigating the effects on competition and has until 5 March 2019 to report. The CMA’s investigation is independent of Government and we must not pre-judge the inquiry. The Secretary of State wrote to the CMA in May on this issue and I met with the CEO of Sainsbury’s last month.
ParlaMint-GB_2018-11-20-commons.u65	Sainsbury’s has indicated that it will look at price cuts of 10% under a merger with Asda, but it has also indicated that it would make efficiency savings of around £500 million. I know from this Government’s record that efficiency savings often mean cuts somewhere down the line, so what discussions has the Minister or the Department had with trade unions to ensure that all jobs—not just in store, but in distribution and warehousing—are safeguarded?
ParlaMint-GB_2018-11-20-commons.u66	The hon. Gentleman is right to raise concerns, because any merger and change will of course concern the workers in the organisations, but I have spoken with Sainsbury’s and it has been clear that the pay and reward structure that is already in place is not affected as part of the merger. We will continue our communications with the stores. As he will know, the CMA is currently looking at the merger and is due to report. We will be monitoring this, as we would in any such circumstances.
ParlaMint-GB_2018-11-20-commons.u67	The National Farmers Union has expressed disquiet at this proposed merger. Will my hon. Friend give an assurance to me and to the House more generally that the Government will always promote competition both to improve choice for the consumer and to improve options for people in the supply chain, particularly in farming?
ParlaMint-GB_2018-11-20-commons.u68	I thank my hon. Friend for his question. He is absolutely right: one of the things that we are committed to is making sure that we continue with our world-renowned competition regime. It is right that, even at a ministerial level, we are independent of the CMA, but we work very closely with the CMA on priorities, and looking at supply chains is a key area for all mergers, as is how we protect consumers and markets in future.
ParlaMint-GB_2018-11-20-commons.u69	6. What recent representations he has received on introducing shared parental leave for self-employed people.
ParlaMint-GB_2018-11-20-commons.u70	My Department and the Department for Work and Pensions recently met Parental Pay Equality, which is campaigning to extend shared parental pay to self-employed parents through changes to maternity allowance. We are exploring ways to support self-employed parents further.
ParlaMint-GB_2018-11-20-commons.u71	I thank the Minister for that answer. Has she read the recent “Balancing Act” report from Birkbeck University and Parents in Performing Arts, which shows that 72% of freelancers would like to take shared parental leave if they were allowed to? This policy would not cost anything, but it would improve equality and productivity at the same time. Will she—not just officials—undertake to meet the parental pay and leave campaign and listen to my hon. Friend the Member for Batley and Spen (Tracy Brabin), who has a ten-minute rule Bill on this issue?
ParlaMint-GB_2018-11-20-commons.u72	I will always engage with anyone who has a view on this particular issue. We are evaluating shared parental leave and pay to look at the barriers to take-up, including those affecting self-employed people and mothers, particularly, who qualify for maternity allowance. We are currently evaluating that and we will be reporting on that next year. However, I will meet with those people.
ParlaMint-GB_2018-11-20-commons.u73	I recently met Mike Watkinson from Nottinghamshire’s Federation of Small Businesses to discuss a number of challenges facing business in Mansfield, one of which was support and access to benefits for self-employed people. Does my hon. Friend agree that, as the party of business, it is absolutely vital that we help small business owners and support them to keep the show on the road when they need it?
ParlaMint-GB_2018-11-20-commons.u74	Self-employment does allow the flexibility that some employed workers are unable to take advantage of, but it is right that we work on this and consider the consequences for the self-employed and small businesses. When we are evaluating and looking at how we move forward—as this Government are committed to doing—it is right that we look at this in the round, in the context of tax, benefit and other such things, but particularly, to support small businesses to continue providing the employment that we need.
ParlaMint-GB_2018-11-20-commons.u75	I thank my colleague and friend, my hon. Friend the Member for Cardiff West (Kevin Brennan), for raising this question. On my ten-minute rule Bill on shared parental leave, the Minister will have heard across the House the frustration with the Taylor review—that it has been a year and a half and we have not had any implementations of those recommendations. This was one of them; it is cost-neutral. Does the Minister agree that this could be the engine of change—it could be the outlier—that actually gets those recommendations put into place?
ParlaMint-GB_2018-11-20-commons.u76	I am grateful to the hon. Lady for highlighting this issue through her Bill. We have not yet had the opportunity to debate it, but I know she met Ministers earlier in the year to discuss it. She has mentioned the Taylor review. We are committed in the very near future to doing that, and we are considering self-employment, especially with regard to shared parental leave, how we can benefit and more people taking it up.
ParlaMint-GB_2018-11-20-commons.u77	7. What the timetable is for bringing forward a tourism sector deal under the industrial strategy.
ParlaMint-GB_2018-11-20-commons.u78	Sector deals are part of our industrial strategy and vital in building strategic partnerships with the Government and mutual commitments to boost productivity in specific sectors. We have already concluded seven and we are working on more. Under the auspices of Steve Ridgway, whom I thank for his leadership, we have a lot of interest from the tourism sector in exploring a sector deal and we are doing so.
ParlaMint-GB_2018-11-20-commons.u79	Could my hon. Friend elaborate on whether there will be a similar deal for the hospitality industry in the new year?
ParlaMint-GB_2018-11-20-commons.u80	Before I saw the light and went into politics, I spent 25 years in the tourism and hospitality industry, and there is nothing I would like more than to conclude a sector deal with it. I have met with officials and industry leaders, have the full support of my right hon. and learned Friend the Secretary of State for Digital, Culture, Media and Sport and look forward to concluding a deal in the new year.
ParlaMint-GB_2018-11-20-commons.u81	Tourists spend a lot of money in this country in tips, yet it is two years since the Government said they would act to stop rogue bosses swiping tips. I raised this at Business questions last week, and it was suggested that I come here, raise it with the Minister and ask when the Government will bring forward primary legislation to stop bosses swiping tips that should be going to hard-working staff.
ParlaMint-GB_2018-11-20-commons.u82	I am delighted to confirm to the hon. Lady that we are definitely introducing legislation on this subject. We will do so as soon as we possibly can within the parliamentary timetable.
ParlaMint-GB_2018-11-20-commons.u83	In his first answer, the Minister said that seven sector deals had been concluded. How many are still under negotiation and why are they taking so long?
ParlaMint-GB_2018-11-20-commons.u84	Actually, I correct my right hon. Friend. I said that six sector deals had been concluded and more are in the pipeline. They are very complex. They involve a lot of industry money and many industrial partners who have never been involved in deals with the Government before. I would be delighted to meet him at any time to discuss how I am pushing these on as quickly as I can.
ParlaMint-GB_2018-11-20-commons.u85	Is the Minister aware that tourism, just like the manufacturing sector, particularly in Yorkshire, is finding it very difficult to get skilled people, especially as more Europeans go back to their home countries in fear of Brexit? What is he going to do about attracting and retaining skilled workers in tourism and manufacturing?
ParlaMint-GB_2018-11-20-commons.u86	I am very aware of the hon. Gentleman’s point. Only last week, I met with Hilton Hotels and Resorts, a big employer in this sector, while the Grove, in my own constituency, has raised exactly the same point. The industry has a high turnover of labour and, as he says, has depended for some time on labour from abroad. I hope that more UK people will enter the hotel and hospitality industry, but the fact is that in many areas there is almost full employment.
ParlaMint-GB_2018-11-20-commons.u87	8. What discussions his Department has had with representatives of the Post Office on its plans to close 74 Crown offices.
ParlaMint-GB_2018-11-20-commons.u88	21. What discussions his Department has had with representatives of the Post Office on plans to close 74 Crown post offices. [R]
ParlaMint-GB_2018-11-20-commons.u89	22. If he will make an assessment of the (a) adequacy of terms of the proposed sale of Crown post offices and (b) effect of that sale on sub-post offices.
ParlaMint-GB_2018-11-20-commons.u90	While the Government set the strategic direction for the Post Office, they allow the company the commercial freedom to deliver this strategy as an independent business. The 74 Crown branches are being franchised to WHSmith, either on-site or through relocation to a WHSmith store. There will be no reduction in the number of branches from the franchising with WHSmith.
ParlaMint-GB_2018-11-20-commons.u91	I am a proud member of the Communication Workers Union and a former postal worker. The Minister has said in written answers to Members that the privatisation of the Post Office is a commercial decision for the Post Office and that the Government only set the strategic direction. Nevertheless, the Post Office has decided to privatise these Crown branches and is using tens of millions of pounds of public money to bankroll it. This is a disgraceful situation. When will the Government start exercising some basic financial oversight?
ParlaMint-GB_2018-11-20-commons.u92	I am sorry, but I entirely disagree with the hon. Gentleman. We have no closure programmes. I should add that under Labour’s management of the Post Office its network shrank by 37%, which resulted in 7,000 closures, and that in the first five years of Labour Government the Post Office went from being in profit to having losses of more than £1 billion.
ParlaMint-GB_2018-11-20-commons.u93	Let us have another look at this, shall we? Seventy-four of the public’s post offices are being privatised without the permission of the public. WHSmith is already advertising minimum wage part-time roles to take over post office counters, while consultations on those jobs have yet to be completed. Can the Minister imagine what it must feel like for your job to be under consultation and to face possible redundancy, with the job already advertised for someone else? Will she intervene and call this practice out, as a matter of principle?
ParlaMint-GB_2018-11-20-commons.u94	Let me first highlight the fact that there are no Crown post offices in the hon. Gentleman’s constituency Franchising is one of the measures to support and maintain the long-term sustainability of our network of 11,500 post offices throughout the country. As I said, the network was reduced under the last Labour Government, but we are committed to the Post Office and to keeping those branches open.
ParlaMint-GB_2018-11-20-commons.u95	Restrictive practices are preventing my constituent Mr Avi Bungar from providing various post office services because he runs a sub-post office. Why are the Government giving big business WHSmith a sweetheart deal and preferential Crown post office terms, and preventing sub-postmasters from having the same?
ParlaMint-GB_2018-11-20-commons.u96	I respect the fact that the hon. Gentleman has experienced issues in his constituency in relation to a particular post office, but to set a long-term sustainability programme for the Post Office against potential postmasters is quite frankly wrong. This is part of a sustainable programme that will enable us—this Government—to keep 11,500 post offices open, to increase, via the Post Office, the pay to which post office workers are entitled, and to give them longer hours and better locations.
ParlaMint-GB_2018-11-20-commons.u97	9. What steps he is taking to ensure that value for money is achieved from energy generated from proposed new nuclear power stations.
ParlaMint-GB_2018-11-20-commons.u98	As the Secretary of State said in his statement to the House on 4 June, in our negotiations with nuclear developers, a key focus of discussions will be achieving value for money and lower electricity costs for consumers.
ParlaMint-GB_2018-11-20-commons.u99	The National Audit Office has already confirmed that Hinkley Point C was a bad deal. Half the existing nuclear power stations will have closed by 2024 and the rest by 2028, and no nuclear power stations can be built in time to replace them. Why are the UK Government tying up energy policy for the next 50 years in deals that are poor value for money?
ParlaMint-GB_2018-11-20-commons.u100	As far as I know, the hon. Gentleman and his party are against nuclear power altogether, so his is an interesting question. The Government, on the other hand, are committed to a diverse energy mix in which nuclear power plays a crucial part. Nuclear power is critical to our transmission to a low-carbon society, providing continuous, reliable, low-carbon electricity. We are also leaders in cutting emissions by renewables, and nearly 30% of our electricity comes from renewable sources.
ParlaMint-GB_2018-11-20-commons.u101	10. What steps he is taking to help reduce the incidence of seismic activity caused by hydraulic fracturing.
ParlaMint-GB_2018-11-20-commons.u102	It is always a pleasure to answer a question from my mother-in-law’s MP. As he knows, we have always made it clear that any hydraulic fracturing that takes place under current licences must be consistent with our regulatory regime, including the traffic light system, which is the toughest in the world. The Preston New Road site is the most monitored site for seismic activity, and among the 36 events recorded, the 1.1 local magnitude event was the equivalent at the surface of a bag of flour being dropped to the floor.
ParlaMint-GB_2018-11-20-commons.u103	I hope that the hon. Gentleman is looking after the Minister’s mother-in-law, because I have a feeling that he will hear about it if he is not.
ParlaMint-GB_2018-11-20-commons.u104	I always do my best for all my constituents, Mr Speaker; I do not have any favourites. On fracking in the Blackpool area, there have been 47 minor earthquakes in that area and Cuadrilla has now ceased operations. Does that signal a change in Government policy?
ParlaMint-GB_2018-11-20-commons.u105	Not at all. Thanks to the superb seismic monitoring and the work of some excellent students at Liverpool University, it is clear that the most significant of the micro tremors that we are seeing is the equivalent of dropping a kilogram of flour on my mother-in-law’s floor in Earlsdon and feeling the vibration from that We are calmly and soberly going through the process of seeing whether this potentially valuable resource that can reduce our energy dependency on imports can be exploited, but it has to be done in a way that is consistent with our world-beating and tough regulatory regime.
ParlaMint-GB_2018-11-20-commons.u106	How come we have been using exactly the same technology without difficulty, fracking at hundreds of sites, for years for thermal energy?
