ParlaMint-GB_2018-01-31-commons.u1	2. What steps he is taking to support cross-border economic opportunities.
ParlaMint-GB_2018-01-31-commons.u13	I am grateful to the Secretary of State for inviting my district council and my tourism industry to his Severn growth summit. I am also grateful that the tolls will be removed, given that the old Severn bridge is half in my constituency and the gateway to Gloucestershire, not just Wales. May I urge him, as he continues these cross-border opportunities, fully to involve business and industry in my constituency so that we can take full advantage of growth in the western part of our country?
ParlaMint-GB_2018-01-31-commons.u14	I am grateful for my right hon. Friend’s support for the call to abolish the Severn tolls, because that really will be a major boost to his constituency and constituencies across the whole of south Wales. After all, can he imagine a £6.70 charge to do any business between Cardiff and Newport and the impact that that would have? Well, that is really what has been in place between his constituency and the south Wales economy for more than 50 years. Abolishing the tolls is a commitment on which I am pleased to be able to deliver.
ParlaMint-GB_2018-01-31-commons.u15	I welcome the new Under-Secretary of State for Wales, the hon. Member for Pudsey (Stuart Andrew), to his place. They say the first time is always the worst. I understand that he was born on Ynys Môn and that he was a member of the Labour party. We would like to welcome him back, but we might be full With your indulgence, Mr Speaker, I would like to congratulate the Welsh Assembly: there was an announcement by Stonewall this morning that it is the No. 1 lesbian, gay, bisexual, and transgender employer in the UK. I will not mention that Swansea City beat Arsenal 3-1 last night Manufacturers across the UK consider the world-leading tidal lagoon industry a lifeline for their businesses. Thousands of skilled jobs in cross-border factories are earmarked to supply the lagoons, and they are at risk because the UK Government cannot make a decision. The Secretary of State has said many times that he would love it to happen. The Welsh Labour Government have pledged millions to the Swansea bay tidal lagoon. Hendry says, “It’s a no regrets decision.” Has the Secretary of State anything constructive to report? In the words of Gavin and Stacey, “What’s occurring?”
ParlaMint-GB_2018-01-31-commons.u16	I join the hon. Lady in recognising the Welsh Assembly for its recognition by Stonewall; that is something to be accepted, underlined and recognised. I also recognise, as a City supporter, the success that Swansea had last night. She raises an important point about the Swansea bay tidal lagoon. As I have said previously, I really would like this to happen, as would the whole of the UK Government. After all, we gave planning permission for it after the 2015 general election. We would like to see progress on it, but, clearly, it must be value for money. The Welsh Government have communicated with the UK Government about something that they call “an offer”. Last week, officials from my office, the Welsh Government, and the Department for Business, Energy and Industrial Strategy met to establish what this offer amounts to. We will continue discussions. I point out to her that she needs to look at the jobs that will be created in the long term, and not those thousands of jobs that she talked about, because the project itself will deliver 40 or more jobs.
ParlaMint-GB_2018-01-31-commons.u17	I am glad that the right hon. Gentleman mentioned the jobs, because these cross-border jobs include local government apprenticeships for 16 and 17-year-olds. They are now at risk because of the UK Government’s dithering. Now that the Welsh Labour Government are introducing votes for 16 and 17-year-olds in local government elections in Wales, are the UK Government worried that Welsh young people will be able to vote on their future, vote for apprenticeships and vote for tidal lagoons?
ParlaMint-GB_2018-01-31-commons.u18	Apprenticeships are part of the UK Government’s manifesto, and we are grateful to the Welsh Government and recognise that they have followed the ambition that we set out for apprenticeships. I also point out and pay tribute to the Welsh Government for their action over changing the voting structures, but remind the hon. Lady about who gave them the power to do that in the first place, after it was refused for 13 years by Labour.
ParlaMint-GB_2018-01-31-commons.u19	Is the Minister aware that the Welsh Affairs Committee has invited the First Minister of Wales to come before us and spell out exactly what the offer is and that, so far, he has refused to do so? If there is a serious offer from Welsh Labour to support tidal lagoons, does he agree that the Welsh First Minister should reconsider, come before the Committee and tell us exactly what it is that he is offering us?
ParlaMint-GB_2018-01-31-commons.u20	I pay tribute to my hon. Friend as Chair of the Select Committee on Welsh Affairs—a position in which he has been vociferous in pursuing these sorts of issues and the case for value for money. He has invited the First Minister to give evidence to his Committee. I would have thought that the First Minister would want to respond positively to that invitation, if he wants to be seen to be doing everything—and, indeed, to do everything—to make this project come about and to prove the value-for-money case that we seek.
ParlaMint-GB_2018-01-31-commons.u21	3. What discussions he has had with the Secretary of State for Work and Pensions on reducing the time taken to make universal credit payments in Wales.
ParlaMint-GB_2018-01-31-commons.u22	6. What discussions he has had with the Secretary of State for Work and Pensions on reducing the time taken to make universal credit payments in Wales.
ParlaMint-GB_2018-01-31-commons.u23	Diolch yn fawr, Mr Llefarydd. Rwy’n ddiolchgar i’m cydweithwyr am y croeso cynnes At the Budget, the Chancellor announced that all claimants will be eligible for universal credit from the first day that they claim it, removing the seven waiting days.
ParlaMint-GB_2018-01-31-commons.u24	Och aye the noo The Opposition welcomed the U-turn by the Chancellor, increasing the waiting time for universal credit from six weeks to five weeks, but this does not go far enough. Household claimants in Wales and across the country are still suffering from rising debts, housing arrears and evictions. Will the Minister stand up for universal credit claimants in Wales by asking his Cabinet colleagues to reduce the waiting time further?
ParlaMint-GB_2018-01-31-commons.u25	I loved the hon. Gentleman’s introduction The need for reform was absolutely clear. Under the old system, people had to go to the Department for Work and Pensions, Her Majesty’s Revenue and Customs, the local housing authority and, potentially, more organisations. We are now simplifying the process so that we have a system that encourages people into work. Surely, we should all welcome that. We are rolling the scheme out slowly to ensure that we are learning lessons, and that is exactly what we have done. The Chancellor made the announcement in the Budget so that we improve the system to ensure that people have the money they need when they apply.
ParlaMint-GB_2018-01-31-commons.u26	The DWP’s own analysis shows that half those with rent arrears under universal credit said that they had gone into arrears after making a claim. Is the Minister content with the fact that more Welsh families who were not previously in arrears have begun 2018 in debt following their claim for universal credit?
ParlaMint-GB_2018-01-31-commons.u27	That is exactly why we made the announcements in the Budget. Now, households who already claim housing benefit will automatically receive an additional two weeks of housing benefit when they claim universal credit. We are responding to the lessons that we are learning, and we will continue to do so as we roll out the project.
ParlaMint-GB_2018-01-31-commons.u28	I warmly welcome my hon. Friend to the Dispatch Box. May I urge him, in looking at the administrative changes to universal credit, not to lose sight of the overarching goal, which is to have a simpler welfare system that actually encourages people into work—a far cry from the old system that it is replacing?
ParlaMint-GB_2018-01-31-commons.u29	I am delighted to take a question from my hon. Friend, and I mean that in the sincerest sense. He is absolutely right. Unemployment in Wales is currently 73,000, which represents a decrease of 52,000 since 2010. People are going back into work because universal credit is encouraging that. Under the old system, people who worked a minute over 16 hours would lose their whole jobseeker’s allowance. There was no incentive to get into work, which is why we have introduced this new system.
ParlaMint-GB_2018-01-31-commons.u30	I too offer my congratulations to the Minister on his elevation to his new position—llongyfarchiadau Waiting times are important to all claimants, but none more so than the terminally ill—those who the DWP expects to live for less than six months. The DWP’s own data shows that personal independence payment claimants who are terminally ill have their claims reassessed at the rate of seven in 100 in the south-east and 17 in 100 in Wales, which is the highest rate in the country. Why is there such a huge variance, and will the Minister join me in requesting a meeting with the Secretary of State for Work and Pensions to discuss these issues?
ParlaMint-GB_2018-01-31-commons.u31	First, I thank the hon. Gentleman for the warm welcome, which I much appreciate. It is important to recognise that, with PIP, we are bringing in a system to try to help people live with the conditions they have. If we compare the systems, 29% of PIP claimants are receiving the highest possible support, compared with just 15% for disability living allowance. I have only been in this job a few weeks, but I will be taking this up with my right hon. Friend the Secretary of State and will report back.
ParlaMint-GB_2018-01-31-commons.u32	We need to speed up a bit, because we have a lot of questions to get through. What we need now is pithy questions without excessively demonstrative behaviour.
ParlaMint-GB_2018-01-31-commons.u33	4. What progress has been made on the roll-out of high-speed broadband in rural Wales; and if he will make a statement.
ParlaMint-GB_2018-01-31-commons.u34	Superfast broadband is now available to more than 19 out of 20 UK homes and businesses, including 95% of premises in Wales. That underlines the progress made in recent years thanks to our investment of £69 million in Wales, plus an additional £56 million gainshare to be reinvested.
ParlaMint-GB_2018-01-31-commons.u35	That investment is working. In Gwynedd, for example, it was previously only possible to get a download speed of 0.9 megabits per second. In Merionethshire, Openreach has now given fibre to the home that delivers at least 75 megabits per second. That is great, but what can the Government do to provide a legal obligation for everyone to have a right to broadband?
ParlaMint-GB_2018-01-31-commons.u36	My hon. Friend is quite right to highlight the importance of good connectivity through broadband, particularly in our rural areas, if we are to maximise the economic benefits. We have decided that regulation is the best way to ensure that everyone in the UK has a decent broadband connection. A regulatory universal service obligation will give everyone in the UK access to speeds of at least 10 megabits per second by 2020.
ParlaMint-GB_2018-01-31-commons.u37	May I genuinely welcome the Anglesey-born Under-Secretary to his place? The last Anglesey-born Tory Minister was Sir Wyn Roberts, so he has very big shoes to fill. The success of the broadband roll-out in Wales is due to the partnership between the European Union, Government here in Westminster and Government in Wales, working with BT. Will the Minister assure us that in 2020 there will not be a cliff edge and that we will have transitional money from Europe, so that we can roll out to 100%?
ParlaMint-GB_2018-01-31-commons.u38	I am grateful to have such a welcome from someone I have known for many years. I am very grateful. The hon. Gentleman is absolutely right.
ParlaMint-GB_2018-01-31-commons.u39	You were a young socialist then!
ParlaMint-GB_2018-01-31-commons.u40	No, actually I was a member of the Young Conservatives then. We are determined to roll out broadband and to achieve the 2020 target. It will be incumbent on us, as the UK Government, to work with the Welsh Government to ensure that broadband is rolled out to every part.
ParlaMint-GB_2018-01-31-commons.u41	Ceredigion has among the slowest broadband speeds in the UK. Despite that, Ceredigion, and indeed the whole of Wales, was left out of the UK Government programme to provide full fibre broadband to six areas across England and Scotland. Will the Minister confirm that representations were made to his Government to ensure that Wales was included in that programme? What explanation was he given for its omission?
ParlaMint-GB_2018-01-31-commons.u42	Let us not forget that the roll-out of broadband is the responsibility of the Welsh Government. As the hon. Gentleman will know, because we have already had a conversation about this, this could form an important part of the mid-Wales growth deal. That will be incredibly important in making a successful growth deal for the area.
ParlaMint-GB_2018-01-31-commons.u43	For the households in Pembrokeshire in my constituency that have been told they cannot get broadband, the roll-out coverage is not 95%; it is zero. Will the Minister provide assurance that he will keep working with colleagues in the UK Government and Welsh Government to see that we connect up the whole of Wales?
ParlaMint-GB_2018-01-31-commons.u44	I absolutely accept that we have to ensure that broadband is rolled out to every part of Wales. Pembrokeshire is equally important, and my right hon. Friend is a big champion of his constituency and area. I am a little bit disappointed in the Welsh Government’s roll-out priorities, but we will continue to work to ensure that we deliver the roll-out that we have promised and envisaged.
ParlaMint-GB_2018-01-31-commons.u45	5. What recent discussions he has had with the Secretary of State for Transport on improving cross-border transport links between Wales and England.
ParlaMint-GB_2018-01-31-commons.u46	13. What recent discussions he has had with the Secretary of State for Transport on improving cross-border transport links between Wales and England.
ParlaMint-GB_2018-01-31-commons.u47	14. What recent discussions he has had with the Secretary of State for Transport on improving cross-border transport links between Wales and England.
ParlaMint-GB_2018-01-31-commons.u48	I hold regular discussions with Cabinet colleagues and the Welsh Government on modernising cross-border transport connectivity. With 50% of the Welsh population living within 25 miles of the border, improving connectivity is central to delivering economic growth on both sides.
ParlaMint-GB_2018-01-31-commons.u49	If providing funding to remove the tolls from the Severn bridge is good enough for the people of Wales, why not extend such a generous Government offer to the people of Cheshire and Merseyside and do away with the tolls on the Mersey Gateway?
ParlaMint-GB_2018-01-31-commons.u50	The tolls on the Severn crossing have been there for more than 50 years, and the Mersey Gateway bridge has very different levels of tolls from those that were levied on the Severn crossing. Locals will not have to pay on the Mersey Gateway bridge, other than the £10 administration fee; locals around the Severn tolls have had to pay the full charge for 50 years.
ParlaMint-GB_2018-01-31-commons.u51	My constituents were pleased to see a commitment to fund a business case to improve the Wrexham to Bidston line in the autumn Budget, but we have not actually had any progress since then. We would really like to see some improvements in both efficiency and frequency on that line, so can the Secretary of State update us on what progress has been made with respect to that?
ParlaMint-GB_2018-01-31-commons.u52	I am grateful to the hon. Gentleman and to the hon. Member for Wrexham (Ian C. Lucas), who has highlighted the importance of the Wrexham to Bidston line. It forms part of our cross-border growth strategy and is reflected in the UK’s industrial strategy. I spoke with the Welsh Government’s Transport Minister on Monday to discuss the project and we will be updating the hon. Gentlemen and the House in due course.
ParlaMint-GB_2018-01-31-commons.u53	The industrial areas around my constituency, which include Airbus in Broughton and Deeside Industrial Park, absolutely depend on the M56 running smoothly. Has the Secretary of State had any conversations with Highways England, or his counterparts in the Transport Department, about when we shall get that motorway unclogged and running smoothly?
ParlaMint-GB_2018-01-31-commons.u54	Again, the hon. Gentleman highlights the importance of cross-border connectivity. I would point him to the second road investment strategy for England, which will provide an opportunity to highlight the priority. A million people a week cross that border between north Wales and the north-west of England; 2,000 go to Airbus alone.
ParlaMint-GB_2018-01-31-commons.u55	Does the Secretary of State agree that the UK Government’s investment in the Halton curve significantly improves rail services between my constituency and north Wales, and that there was a missed opportunity with the Welsh Labour Government in the failure to include that train line in the TEN-T network in the last round of European funding?
ParlaMint-GB_2018-01-31-commons.u56	The Halton curve, which is approaching £18 million in terms of the spending cap, is an exciting project because it is a relatively simple, straightforward investment that will bring direct services to Liverpool again, improving cross-border connectivity, and releasing new opportunities for economic growth and development. We want to integrate it into both the north-west of England and the Wales and borders franchises.
ParlaMint-GB_2018-01-31-commons.u57	7. What recent discussions he has had with the Welsh Government on proposals for a Welsh EU continuity Bill.
ParlaMint-GB_2018-01-31-commons.u58	We continue to have constructive discussions with the Welsh Government on the European Union (Withdrawal) Bill, with a view to securing the National Assembly’s support for the legislation. The Welsh Government have not discussed with us their proposals for an EU continuity Bill, but we do believe that such legislation will be unnecessary.
ParlaMint-GB_2018-01-31-commons.u59	So bad has the Westminster power grab become that on 17 January the National Assembly unanimously, including the Conservatives, supported a motion on Plaid Cymru’s continuity Bill. Both sitting devolved Administrations have now rejected this constitutional embezzlement. Can the Minister confirm that Ministers will not meddle any further in respect of devolved Administrations?
ParlaMint-GB_2018-01-31-commons.u60	First, I do not believe that the continuity Bill is actually needed. We are engaging heavily, at every level of government, with the devolved Administrations to ensure that we go through the EU (Withdrawal) Bill to ensure that the clauses that we want to amend in the other place will be effective. Then will get the support of those Assemblies.
ParlaMint-GB_2018-01-31-commons.u61	rose—
ParlaMint-GB_2018-01-31-commons.u62	Order. We are very short of time. I will call the hon. Gentleman if it is a single short sentence; otherwise, we won’t bother. Blurt it out, man.
ParlaMint-GB_2018-01-31-commons.u63	When will the Government publish their framework analysis and their proposed wording for the amendment to clause 11 of the EU (Withdrawal) Bill?
ParlaMint-GB_2018-01-31-commons.u64	We are continually engaging. My right hon. Friends the Secretary of State for Wales and the Chancellor of the Duchy of Lancaster are going to Wales tomorrow to meet the First Minister of the Welsh Assembly, so that we can get the further detail of those discussions and bring forward the amendments as soon as possible.
ParlaMint-GB_2018-01-31-commons.u65	Hoffwn gymryd y cyfle i groesawu’r Gweinidog i’w barchus, arswydus swydd. The Minister will recall the Scottish Secretary claiming there to be a Scotland-specific economic impact assessment, only to contradict himself a week later. [Interruption.]
ParlaMint-GB_2018-01-31-commons.u66	Order. The hon. Lady should not be disquieted in any way. I think the robin is keenly attending to her words.
ParlaMint-GB_2018-01-31-commons.u67	It appears now that regional assessments do exist. Which road will the Minister take? Will he confirm that a Welsh assessment has been produced, or will he concede that the Government are so heedless of Wales’s future that there is no such assessment?
ParlaMint-GB_2018-01-31-commons.u68	I know that Bristol City’s emblem is a robin, so maybe it is trying to interfere with Welsh questions We have many assessments as we go through this process. We will look at all of them in great detail and ensure that we come up with an effective resolution that suits every single part of the United Kingdom, because having a statute book that is fit for purpose is incredibly important once we leave the European Union.
ParlaMint-GB_2018-01-31-commons.u69	Will the Minister in that case ensure that he shares those assessments, not by Twitter, but also with all Members and all members of the Welsh public?
ParlaMint-GB_2018-01-31-commons.u70	Obviously, we will make things available at the appropriate time, but I can assure the hon. Lady that I will not be sharing things like that on Twitter.
ParlaMint-GB_2018-01-31-commons.u71	I am going to allow a little injury time, because I do not want the hon. Member for Enfield, Southgate (Bambos Charalambous) to feel left out.
ParlaMint-GB_2018-01-31-commons.u72	8. What recent discussions he has had with Cabinet colleagues on the effect on the Welsh economy of the UK leaving the EU.
ParlaMint-GB_2018-01-31-commons.u73	I have regular discussions with Cabinet colleagues on new opportunities that leaving the European Union brings to Wales and the UK. Wales was the fastest-growing nation in the UK in 2016 and is well placed to seize the opportunities presented.
ParlaMint-GB_2018-01-31-commons.u74	Will the Minister reassure the House and businesses across Wales by confirming that arrangements will be put in place to ensure that new trade deals negotiated after leaving the European Union do not undermine devolved policies?
ParlaMint-GB_2018-01-31-commons.u75	The hon. Gentleman points to the opportunities for new trade deals, which are exciting for every part of the United Kingdom. My right hon. Friend the Secretary of State for International Trade has re-established the UK’s Board of Trade. We have the privilege of having Lord Rowe-Beddoe, a former chairman of the Welsh Development Agency, as well as Heather Stevens, a very successful business lady, who is part of the Board of Trade and will be looking after Welsh interests on all occasions.
ParlaMint-GB_2018-01-31-commons.u76	How will the Secretary of State guarantee that integrated supply chains with the EU will be preserved when Britain leaves the European Union?
ParlaMint-GB_2018-01-31-commons.u77	The hon. Gentleman knows that we are working to deliver a trade agreement that leads to frictionless trade between the UK and the European Union, but I would also point out that, as 80% of Welsh exports go to the rest of the UK, maintaining the integrity of the UK market should be our first priority.
ParlaMint-GB_2018-01-31-commons.u78	Q1. If she will list her official engagements for Wednesday 31 January.
ParlaMint-GB_2018-01-31-commons.u79	I have been asked to reply. Mr right hon. Friend the Prime Minister is in China, building on the existing strong ties between our two countries, and she is accompanied by the largest business delegation that this Government have yet led.
ParlaMint-GB_2018-01-31-commons.u80	A number of Carillion employees and former employees live in my constituency; indeed, the company has an apprenticeship training centre in Gateshead. They all still face an uncertain future. Will the Government act now to prevent similar corporate theft, whereby pirate directors have syphoned off what should have been hundreds of millions of pounds in pension contributions to pay bogus dividends and unearned corporate bonuses to themselves? Exactly what action do the Government propose to take?
ParlaMint-GB_2018-01-31-commons.u81	I completely understand the anxiety that must be affecting the apprentices and their families in the hon. Gentleman’s constituency. He probably heard me say during last week’s debates that the Construction Industry Training Board has taken responsibility for finding alternative employers to enable all those apprentices who were with Carillion to continue and complete their qualifications. It is making good progress in that work, but I shall ensure that the particular concern that he has expressed about Gateshead is brought to its attention On the broader question, the House will understand that it would be wrong for me to pre-empt findings by an independent inquiry by the official receiver, but we have already made it clear that we will be publishing proposals later this year to stop directors being able to siphon off pension funds in the way the hon. Gentleman described.
ParlaMint-GB_2018-01-31-commons.u82	Q2. My right hon. Friend will be aware that the country faces significant cyber-threats from other countries and from non-state actors. He will also be aware that we are protected from those by our security and intelligence services, including the men and women at GCHQ in my county of Gloucestershire. When the Government publish the results of the security review, will he confirm that we will continue, as we have since 2010, to invest in those capabilities to keep our country safe?
ParlaMint-GB_2018-01-31-commons.u83	My right hon. Friend is absolutely correct and I am happy to give him that assurance on behalf of the Government. The sad truth is that, in this country, we face a growing threat of cyber-attacks from states, from serious crime gangs and from hacking groups. We do have a robust national cyber-security strategy to protect critical services, including our democratic processes, and that is underpinned by nearly £2 billion of Government investment.
ParlaMint-GB_2018-01-31-commons.u84	Let me start by welcoming the Minister back to his role deputising for the Prime Minister. The last time he did so was in December 2016, when the Conservative party was 17 points ahead in the polls, and he told the House that the Labour party was “quarrelling like” in the film “‘Mutiny on the Bounty’ as re-shot by the ‘Carry On’ team.”—[Official Report, 7 December 2016; Vol. 618, c. 208.] Well, what a difference a year makes But I am not going to intrude further on the Government’s public grief, because I genuinely hope that we can reach consensus across this House today on a very important issue. Next Tuesday will be the centenary of women gaining the right to vote in Britain; that was followed later in 1918 by a second right, to stand for Parliament. I am sure that the Minister will agree that we have a long way to go with regard to the second right; after all, I am the only Emily elected since 1918, and he is one of 155 Davids. The women behind me on the Labour Benches represent one quarter of all the women elected in the last 100 years, but it is still not good enough. Will the Minister tell us how we can best increase female representation in this House?
ParlaMint-GB_2018-01-31-commons.u85	May I first thank the right hon. Lady for her words of welcome? Clearly, my previous remarks struck a chord with her, to have been treasured in the way that they have. It is a delight to me to see the right hon. Lady still in her place, when no fewer than 97 members of her Front Bench have either been sacked or have resigned since the Leader of the Opposition took office. I pay credit to her sticking power, although she must sometimes whisper to herself, “Surely, I’m a celebrity. Please get me out of here!” The point that the right hon. Lady raised is a serious one. I think that all political parties represented here—she is right to seek to make this consensual—want to encourage more women candidates to come forward. I am pleased that the Conservative party, since I was first elected 25 years ago, has made very considerable progress, but I also accept that there is more to be done. I hope that she, for her part, will accept that we have now had two women leaders and Prime Ministers, so the Labour party has a bit of catching up to do.
ParlaMint-GB_2018-01-31-commons.u86	If the Conservative party is so proud of having a female leader, why are so many of them trying to get rid of her and why has she had to run away to China to get away from them? However, I thank the right hon. Gentleman for that answer and I totally agree with his sentiments. Let me ask him about the first right that I mentioned, a right that millions of women received 100 years ago this week: the basic right to vote. It was originally restricted to women with property over the age of 30. Then 90 years ago, it was extended to all women over 21. Almost 50 years ago, it was extended to all men and women over the age of 18. I ask the right hon. Gentleman a simple question: how many more years do we have to wait until the vote is extended to everyone over 16?
ParlaMint-GB_2018-01-31-commons.u87	The age of 18, rather than 16, is widely recognised as the age at which one becomes an adult and that is when full citizenship rights are attained. Only a handful of countries have a nationwide voting age below 18 and we believe that it is right that the age of majority—18—should continue to be the age at which people become eligible to vote.
ParlaMint-GB_2018-01-31-commons.u88	The right hon. Gentleman makes international comparisons, but I have to say to him that it was this country and a Labour Government that led the way in Europe and the English-speaking world in reducing the voting age to 18 in 1969. Where we led, others followed, and it will be the same here Let me move on to a second question that I would like to ask the right hon. Gentleman. I have listened carefully to his answer, but I did not hear any logical explanation for the different rights that we give to 16-year-olds in this country. At 16, we are free from parental control, we can leave home, we can start a family, we can get married, we can start work, we can pay taxes and we can join the forces, so can he give us a logical explanation of why a 16-year-old should not have the right to vote?
ParlaMint-GB_2018-01-31-commons.u89	I am slightly baffled by the right hon. Lady’s comments when compared with what her party did in office, because it was the last Labour Government who raised the legal age for buying cigarettes to 18, raised the age for sales of knives to 18, raised the age for buying fireworks to 18 and raised the age for using a sunbed to 18. If she wants a lesson in inconsistency, she might like to examine the mirror.
ParlaMint-GB_2018-01-31-commons.u90	The right hon. Gentleman mentions a range of restrictions that we have until the age of 18, but those are for the most part to do with public health, public safety and the prevention of crime. They are not the same as the basic right to vote on issues that affect your life once you are considered old enough to make other independent decisions about your life, such as leaving school, leaving home and getting married. Let me give him a specific example—[Interruption.]
ParlaMint-GB_2018-01-31-commons.u91	Order. I am sure that it will not have escaped public notice, and it is rather a sad irony, that when a woman is addressing the House, quite a lot of noisy, boorish and, in one case rather stupid, individuals are trying to shout the right hon. Lady down. Cut it out!
ParlaMint-GB_2018-01-31-commons.u92	Thank you very much, Mr Speaker I want to give the right hon. Gentleman a specific example to illustrate what I am talking about. According to the Government’s own figures, the number of 16 and 17-year-olds receiving carer’s allowance for looking after disabled relatives at home has risen by more than 50% over the past four years, so last year, over 2,000 16 and 17-year-olds gave up their youth and often their schooling to care for relatives at home. How can it be fair and how can it be logical to expect them to take on that responsibility because of failures of the state and then to deny them a say on how that very state is run?
ParlaMint-GB_2018-01-31-commons.u93	The logic of the right hon. Lady’s argument is that she wishes to lower the age of majority from 18 to 16. She listed a number of areas in which she supported the age at which activity should be allowed to 18, on the grounds that only then could people be expected to have sufficient maturity and responsibility to have those rights. My argument to her is that the age of majority should be set matching both rights and responsibilities. I think that it is perfectly reasonable to say that, from the age of 18, we entrust young men and women to exercise those rights and responsibilities in full. On the final point she made, it is right that sensible local authorities have particular care for the role of young carers. In my experience, local authorities, whichever party runs them, make every effort to do that.
ParlaMint-GB_2018-01-31-commons.u94	I am genuinely surprised at the Minister’s response. This is what he said two years ago, speaking to the Youth Parliament: “When the voice and the vote of young people is absent, decisions are taken that affect young people’s lives that they have not always chosen” Not for the first time in these exchanges, I have to say that I agree with him—all of us on the Labour Benches agree with him. Why does he no longer agree with himself?
ParlaMint-GB_2018-01-31-commons.u95	If the right hon. Lady had been with me at the Youth Parliament, which was indeed both a memorable and an enjoyable occasion, she would have discovered that a significant number of the young men and women there were actually over the voting age. I fully support the role that the Youth Parliament plays, the role that its members play throughout the country and the role that organisations such as school councils play in getting young people used to the idea of exercising democratic responsibility. That seems to me to be excellent training for the full adult responsibilities they will inherit when they turn 18, and I hope that it will encourage more young people to go out and vote.
ParlaMint-GB_2018-01-31-commons.u96	The Minister says that he was only talking about 18 year olds, but you were there, Mr Speaker; he was talking to 370 under-18s. These discussions have revealed that there is no logical principled objection to votes at 16. That is why the Welsh and Scottish Governments support it and why every single political party in the House supports it, except, of course, the Conservative party and the Democratic Unionist party—joined, once again, in opposition to change. They are not the coalition of chaos; they are the coalition of cavemen. [Interruption.] Does he not realise—
ParlaMint-GB_2018-01-31-commons.u97	Order. One Member who thinks he knows what he is talking about is gesticulating at me. The answer is that it is a matter of taste, not of order. It is blindingly obvious and should not really escape somebody of great intelligence.
ParlaMint-GB_2018-01-31-commons.u98	I was talking about cavemen, Mr Speaker. Why does the Minister not realise the lesson that we women taught his predecessors 100 years ago? When change is right it cannot be resisted forever, and this is a change whose time has come.
