ParlaMint-GB_2018-11-26-lords.u1	To ask Her Majesty’s Government what plans they have to split payments in Universal Credit.
ParlaMint-GB_2018-11-26-lords.u13	My Lords, if we are to learn from Scotland, is it not time that we decided how quickly we might learn from other countries? It seems to me that this will kick it into the long grass, rather than resolving the situation for split payments in England. Could the Minister please comment?
ParlaMint-GB_2018-11-26-lords.u14	My Lords, we should not do this in haste. The reality is that Scotland has proposed split payments and is going to implement them. We would much rather watch what Scotland is doing—this is known there. Meanwhile my colleague in another place, whom I have already referenced, is working with various stakeholders on how we can improve support for those victims of domestic abuse through the welfare system.
ParlaMint-GB_2018-11-26-lords.u15	My Lords, I currently chair a commission which is looking at services and support for women who have experienced violence and abuse. Through that, I have met many of the women whom other Members here have been trying to alert the Minister to. I am sure that the Minister has every good intention, but I have to tell her that these women really do feel that they cannot disclose what is happening to the DWP and why they need separate payments. Even if they did, their partner would then be so angry that they would suffer. Will she therefore agree to meet people who are working on this to hear of direct cases, which I do not want to put in front of the whole House, so that she hears about the concern, fear and anxiety, and then the mental health problems that come as a result?
ParlaMint-GB_2018-11-26-lords.u16	I thank the noble Baroness for her question. We take this extraordinarily seriously. I have already met representatives of Women’s Aid and Refuge, but it is important, as the noble Baroness will appreciate, that split payments in universal credit cannot be the solution to what is ultimately a criminal act. Domestic abuse is still a huge problem in our society. The solution to it is complex and should be delivered through the judicial system. If they feel it is appropriate, anyone in a joint claim, including individuals suffering from domestic abuse, can request a split payment, but I should add that we now have more and more work coaches in jobcentres who have not only been through the mandatory training but are specialists in understanding and detecting domestic abuse. We are learning as we are going on, and we are continually working hard to improve the system, bearing in mind that as at August this year only 20 people had requested this.
ParlaMint-GB_2018-11-26-lords.u17	To ask Her Majesty’s Government what is their assessment of the importance of the Appledore shipyard as part of the United Kingdom's future shipbuilding strategy.
ParlaMint-GB_2018-11-26-lords.u18	My Lords, the Government were very disappointed to learn of Babcock’s decision to cease operations at Appledore. While it is a commercial decision for Babcock, I recognise how concerning the news is for Appledore employees, their families and the wider community. Appledore is not central to successful delivery of our national shipbuilding strategy. However, more broadly, we are committed to encouraging a more competitive industry, driving innovation and growing the Royal Navy fleet.
ParlaMint-GB_2018-11-26-lords.u19	I thank the noble Earl for his Answer. I am glad he shows that feeling for Appledore because this is highly destructive of the whole of that community. Appledore shipyard has been amazingly competitive in producing survey ships for the Navy, parts of the Type 45 and parts of the carrier, and it won the latest competition for four Irish OPVs. It is a very efficient and very capable yard. I find it extraordinary that a firm has to close it because it has problems on its balance sheet elsewhere in its structure. However, that is not my question My question relates to the amount of work that is available for shipbuilding in the United Kingdom, because other yards will go the same way unless there is a core, basic loading of building. The loading of building that we have at the moment is insufficient. We are paying for fleet solid support ships to go elsewhere out of the UK, but that is an opportunity to add to the loading, enabling us to keep key shipyard workers and these key industries going. I am sure the Minister feels that that would be the way to go. I would be very interested to know the Government’s position on this. Does he feel that those in Appledore ought to fight, fight, fight again, like those from Appledore and Bideford who fought with Sir Richard Grenville down in the Azores some 427 years ago against huge numbers of Spaniards? We must keep fighting to keep it open.
ParlaMint-GB_2018-11-26-lords.u20	My Lords, the noble Lord asks a very serious question about government spend on naval shipbuilding. I do not think it is a fair charge if his implication was that the Government have not been supporting our yards at home. Babcock alone has had £1.7 billion-worth of business just in the last year. It recently started work on a £360 million contract to be the technical authority and support partner for the Navy’s new aircraft carriers. In general, we are seeing in Scotland, for example, a £3.7 billion contract for the first three Type 26s, and at Cammel Laird there has been a £619 million support contract. Then there will be the competition for the Type 31e frigate, which is worth £1.25 billion. Those will be built in the UK. As regards the fleet solid support ships, there is no bias on the part of the Ministry of Defence. This is an open competition and we encourage British shipyards to bid.
ParlaMint-GB_2018-11-26-lords.u21	My Lords, is it not true that the noble Lord, Lord West, was told, when he ordered the aircraft carriers and there was no money to pay for them, that they would have to be paid for by reductions in the surface fleet, and that is what is happening now?
ParlaMint-GB_2018-11-26-lords.u22	My Lords, I do not accept that. We are committed to maintaining a fleet of 19 frigates and destroyers. That is what we have at the moment. The Type 26 frigates will replace some of the Type 23s and the Type 31s the rest of the Type 23s. I do not accept that the fleet is somehow dwindling because of the aircraft carriers.
ParlaMint-GB_2018-11-26-lords.u23	My Lords, I cannot restrain myself from the observation that if the Royal Navy had as many ships as we have Questions about ships, we would be in a pretty good position altogether. The last time that this issue was discussed, the Minister told the House and myself that, notwithstanding the worst-case deficit in the Ministry of Defence equipment budget of £14.8 billion, the MoD would still be able to balance the books. Will that include cancellation or creative accounting, as has happened in the past?
ParlaMint-GB_2018-11-26-lords.u24	Not at all, my Lords. We are committed to our capital programme. If there has been any creative accounting in the past, we want to put that behind us because we want to be absolutely transparent about what our spending plans consist of. With regard to shipbuilding, as I said in my initial Answer, part of the trick will be to make the British shipbuilding industry more productive, innovative and competitive, and that is what we are seeking to do through the strategy.
ParlaMint-GB_2018-11-26-lords.u25	My Lords, having been vicar of the parish in which the Swan Hunter shipyard was when that yard went into the hands of the receivers a number of years ago, I am acutely conscious of the devastating effect that such closures have not just upon individuals but upon whole communities. The Minister has acknowledged that. Will he undertake, if the yard does go under, to provide necessary assistance both to individuals and to the community, which will suffer terribly?
ParlaMint-GB_2018-11-26-lords.u26	The right reverend Prelate focuses on a very important issue. There is no doubt that the site is regarded as at the heart of the local community, with generations of families employed there. Naturally, as a result, local councils for one are very keen to find a solution. I can tell him that Babcock has offered all affected employees other positions, included at Devonport. It is planning to hold discussions with affected individuals about their long-term options, and it has committed to being as flexible as possible in accommodating travel and relocation needs.
ParlaMint-GB_2018-11-26-lords.u27	To ask Her Majesty's Government what assessment they have made of the impact of their plans for Verify, the Government Digital Service's digital identity system.
ParlaMint-GB_2018-11-26-lords.u28	My Lords, over 3 million people have used GOV.UK Verify to perform over 8 million secure transactions. My honourable friend the Minister for Implementation made a Written Ministerial Statement on GOV.UK Verify on 9 October. The Government have an immediate and growing need for a secure digital identity service.
ParlaMint-GB_2018-11-26-lords.u29	My Lords, this is a very sorry tale. The Government Digital Service started with high hopes for its flagship Verify digital identity system, aiming for 25 million users by 2020. Now, with constant changes in leadership, the imminent cutting of the entire project budget and the refusal by departments such as HMRC to adopt it, the Government are now, after £130 million of investment, simply handing it over to the private sector. Is it not extraordinary, when the need for a trusted universal UK-wide secure identity system has never been higher, that the Government are abdicating all responsibility in that way? Where does that leave Verify’s 2020 target? Is this not an admission of total failure?
ParlaMint-GB_2018-11-26-lords.u30	I would not describe the service in quite the terms that the noble Lord has just used. Progress is being made towards the target of 25 million users by 2020. It is not the case that HMRC is not using Verify. Noble Lords who want to can upload their self-assessment tax return using Verify, and if they so wish they can check their income tax account using Verify. More and more government services are now subscribing to Verify; the MoD recently added an additional service, and some 18 services are now available. It is not the case that we are abdicating the whole thing to the private sector. Verify, which is a government service, will continue to provide a digital identity service to the public sector, and it is talking to the NHS and to local government in order to continue to broaden the base.
ParlaMint-GB_2018-11-26-lords.u31	My Lords, can the Minister tell the House clearly what went wrong?
ParlaMint-GB_2018-11-26-lords.u32	I challenge the premise on which the noble Lord based his question. Verify was launched in 2016 and, as I said in my initial reply, now has 3 million subscribers who have completed 8 million transactions. I signed up to Verify over the weekend and, if noble Lords have not, I suggest that they make themselves familiar with this new and innovative service.
ParlaMint-GB_2018-11-26-lords.u33	My Lords, is not the simple truth that, following pressure from the Liberal Democrats in the coalition, Labour’s national identity card scheme, which would have dealt with this problem, was abolished? Is it not odd that it has finally dawned on the Government that identification is vital to protect against entitlement fraud? It has taken them a long time to learn that lesson.
ParlaMint-GB_2018-11-26-lords.u34	Verify was started under the coalition Government—I think Nick Clegg was in charge of the Cabinet Office when it started—but there is a difference between providing a secure online identity, which Verify does, and an ID card which you have to carry with you. The key difference between Verify and an ID card system is that Verify is voluntary and the ID card was to be compulsory.
ParlaMint-GB_2018-11-26-lords.u35	My Lords, I declare an interest, having worked in government with Nick Clegg on precisely that. I was very impressed by the Government Digital Service and frustrated by the extent to which departments across Whitehall resisted its moves to modernise government handling of data and abandon the separate legal frameworks under which departments manage and keep data. There was much discussion in the coalition Government about introducing a new Bill to update those rules to cope with rapidly moving technology. It has not yet appeared. Do the Government still have plans to do so?
ParlaMint-GB_2018-11-26-lords.u36	The noble Lord knows much more about this than I do. It is the case that HMRC has its own service, the Government Gateway. Since it developed that service, Verify has come along. Obviously one would like to migrate from Government Gateway to Verify and encourage other departments so to do. I am not wholly convinced that we need legislation to do that—I will go back to my department in the light of what the noble Lord said—but we need to win the hearts and minds of government departments and persuade them to make more services available on Verify. That impetus is, I hope, gathering momentum.
ParlaMint-GB_2018-11-26-lords.u37	My Lords, can the noble Lord explain what Verify will do to make our borders safe after Brexit? Will he now review his position on compulsory and voluntary ID and agree that the only way for us to have safe borders is by a compulsory form of recognition?
ParlaMint-GB_2018-11-26-lords.u38	I am not convinced that compulsory ID cards would stop the illegal entry into this country of a whole range of people. The noble Lord will know that in 2010, legislation was passed to scrap the ID legislation introduced by the previous Labour Government. We have no plans to reintroduce such legislation.
ParlaMint-GB_2018-11-26-lords.u39	Can the Minister say how much has been paid in consultancy fees on this issue? Given that departments and the Government centrally keep no records of how much they are spending on consultancy, is it not about time that we were more transparent?
ParlaMint-GB_2018-11-26-lords.u40	There is an issue of commercial confidentiality in publishing the amount paid to the five identity providers, but if the noble Lord wants to know the cost of the Verify programme, I should be more than happy to write to him and place a copy in the Library.
ParlaMint-GB_2018-11-26-lords.u41	My Lords, we electronically tag all our animals—I speak as a former farmer. Why cannot we electronically tag humans? We could all have microchips, and then we would know where we were.
ParlaMint-GB_2018-11-26-lords.u42	Oh!
ParlaMint-GB_2018-11-26-lords.u43	Noble Lords will have their own reaction to that suggestion, but the thought of going along to a vet to have something implanted in my neck is not something I find immediately attractive.
ParlaMint-GB_2018-11-26-lords.u44	My Lords, I am tempted to ask the Minister why it took a Question from the noble Lord, Lord Clement-Jones, for him to sign up to Verify, but instead I shall ask him about his other revelation—that there is a Minister for Implementation. What are his or her—I do not know whether it is a he or a she—other responsibilities?
ParlaMint-GB_2018-11-26-lords.u45	His name is Oliver Dowden and he is a Minister in the Cabinet Office. Noble Lords will find his responsibilities set out in the list of ministerial responsibilities.
ParlaMint-GB_2018-11-26-lords.u46	My Lords, can the Minister explain why he has the misfortune to be answering this Question today, given that responsibility for digital identity policy has transferred to DCMS?
ParlaMint-GB_2018-11-26-lords.u47	Well, it is a question that I may have asked myself a few days ago as I find myself answering questions on a whole range of responsibilities that I never knew were mine. The answer is that although overall responsibility has been transferred to DCMS, the Government Digital Service remains within the Cabinet Office, for which I have responsibility as a spokesman.
ParlaMint-GB_2018-11-26-lords.u48	To ask Her Majesty’s Government what plans they have to require organisations to produce action plans to respond to their gender pay gap reports.
ParlaMint-GB_2018-11-26-lords.u49	My Lords, I am delighted that over 10,000 employers reported gender pay gap data in the first year, but reporting is just the first step. We believe that the transparency created by reporting will motivate employers to take action. However, to close the gap we need wider cultural change, which cannot be imposed from above. That is why the Government are working with employers to tackle the drivers of the gap, and we have introduced a range of initiatives to support that work.
ParlaMint-GB_2018-11-26-lords.u50	Well, sometimes I am a bit speechless over all this. It goes on year in, year out, and nothing really happens. I welcome the initiative to publicise the gender pay gap, of course, and I welcome the work that is being done to encourage more women on to public boards. However, the pay gap is actually at its most pronounced among slightly older women who have given up more productive or lucrative careers to have children, and who then cannot afford paid childcare and so move into part-time employment. There are a number of tried and tested initiatives which have proved very helpful to this cohort of women, and which have been run in the past through the Government Equalities Office: for example, women-only skills programme initiatives to break down full-time jobs into part-time jobs. Do the Government have any intention of introducing any programmes to enable women to work to their capacity and at the same time help them to contribute more to business and the economy?
ParlaMint-GB_2018-11-26-lords.u51	I am grateful to the noble Baroness for asking that follow-up question. I am slightly disappointed that she was speechless at my initial Answer—maybe she was speechless with joy. One of the things on which I was speaking to the Women’s Business Council this morning was precisely the cohort she talked about—older women who have perhaps left work for certain reasons and then gone back later—and how it can help. The Women’s Business Council is focused very much on the cohort of women from 50 to 64 in particular, on what support it can give, and on what the Government can support in this endeavour. So we are doing things around the gender pay gap from which that cohort in particular should benefit.
ParlaMint-GB_2018-11-26-lords.u52	My Lords, I hear the Minister’s answer, but I think law can be a driver of culture. Does she agree in principle with the recommendations of the Commons committee on business that, as half of all employees are not included in the gender pay gap reporting requirements, all companies with 50 or more employees should be? I said when the requirement came in that what you do not measure, you cannot manage. Let us get SMEs measuring their pay gap so that they can at least start on the path to managing it.
ParlaMint-GB_2018-11-26-lords.u53	I agree to a certain extent with the noble Baroness. It would be interesting to see some of the figures from SMEs. Over 300 have, in fact, reported their gender pay gap even though they have not had to do so. It is important to note that the Government are not pushing against a closed door on this. Businesses want to do this and the success of employers in future will be down to the diversity of their workforces.
ParlaMint-GB_2018-11-26-lords.u54	My Lords—
ParlaMint-GB_2018-11-26-lords.u55	As the noble Baroness will know, McKinsey has estimated that bringing more diversity to the workplace—particularly women—will increase the economy by over £150 billion by 2025.
ParlaMint-GB_2018-11-26-lords.u56	My Lords, what are the Government’s plans to monitor progress? In particular, do they have plans to include a sectoral analysis?
ParlaMint-GB_2018-11-26-lords.u57	In terms of monitoring progress, businesses with over 250 employees will have to do this exercise every year. I am pleased that all the businesses in scope actually reported their gender pay gap. There is clearly scope to start to disaggregate those figures by sector, and I hope that that will be where we get to at some point soon—but I think we have made a great start.
ParlaMint-GB_2018-11-26-lords.u58	My Lords, I beg the Minister’s pardon for interrupting her earlier in my misplaced enthusiasm. The change of production from “just in case” to “just in time” means that there is no continuous process. It has been fragmented into home-based production where people are employed “as and when”. This means that they cannot accumulate a background of paying regular contributions to entitle them to any kind of benefits. Is the Minister thinking of a way to deal with the new way of production that now prevails?
ParlaMint-GB_2018-11-26-lords.u59	The noble Baroness asks a very pertinent question. There can be a break in national insurance contributions for people who work and then step out of work, or who work from home. A flexible workforce is important to the future economy, but it must not disbenefit people’s pension take when they retire.
ParlaMint-GB_2018-11-26-lords.u60	My Lords, it is nearly 50 years since the Equal Pay Act was passed and women still earn a lot less than men. The most recent statistics show that the gap is now 13.7%. Does the Minister agree that we should take much stronger action? The legislation is good as far as it goes, but women have been patient on this issue for an awfully long time and it ought to be strengthened. The pay gap audit, where companies employing over 250 people have to produce plans, is very good. Will the Minister have another look at this and see what can be done to strengthen it and make progress a lot quicker than it is now?
ParlaMint-GB_2018-11-26-lords.u61	To a certain extent I wholeheartedly agree with the noble Baroness. The Equal Pay Act was brought in in 1970 and strengthened through the Equality Act 2010, but we still hear stories about huge disparities in pay between men and women who do pretty much the same job. The legislation has recently been updated, and any employer who is not paying men and women who do the same or a similar job equally is liable to court action. There is a very strong regime in place for that.
ParlaMint-GB_2018-11-26-lords.u62	To ask Her Majesty’s Government what discussions they have had with the government of Russia regarding their capture of three Ukrainian naval vessels in the waters off the Crimean Peninsula.
ParlaMint-GB_2018-11-26-lords.u63	My Lords, I beg leave to ask a Question of which I have given private notice.
ParlaMint-GB_2018-11-26-lords.u64	My Lords, Her Majesty’s Government have not held bilateral discussions with the Russian Government on this issue. Emergency meetings of the United Nations Security Council, NATO and the OSCE will today discuss Russia’s flagrant breach of the rules-based international system. The United Kingdom position is clear—ships must be allowed free passage in the Sea of Azov. We urge all parties to act with restraint.
ParlaMint-GB_2018-11-26-lords.u65	My Lords, I am reassured that we are working through NATO and, I hope, through the European Union co-operative mechanisms while we still have them for a few more months. Are we confident that our major allies—the French, the Germans and the United States—hold as strong a position on this as we do? If the Russians succeed in converting the Sea of Azov into an internal sea, that will have a devastating effect on the economy of a substantial chunk of Ukraine because of the port of Mariupol.
ParlaMint-GB_2018-11-26-lords.u66	Regrettably, these developments represent a step change in the creeping annexation by Russia of the Sea of Azov. Indeed, Russia’s use of force, including the use of firearms against Ukraine’s vessels, marks a clear aggression. The actions are a breach of international law and of various multilateral and bilateral conventions, including the 2003 bilateral agreement with Ukraine on freedom of navigation in the Sea of Azov and the Kerch Strait. The United Kingdom and our allies have made clear our profound disquiet at that action.
ParlaMint-GB_2018-11-26-lords.u67	My Lords, I welcome the noble Baroness’s commitment to continue to work with our EU partners, as the noble Lord suggests, which is vital, as is suggesting that we have restraint—which has to be based also on the effective measures that we are taking. Will she make representations to the Government of Ukraine to suggest that they avoid using this incident to introduce martial law or to cancel next year’s elections? Such a move would be a backward step, certainly for democracy in Ukraine.
ParlaMint-GB_2018-11-26-lords.u68	I understand that, as we speak, the Ukrainian parliament is considering a declaration of martial law, and it is entitled to consider its options. Ukraine certainly has found itself the victim of conduct that invites global condemnation, and we must respect the role of its parliament to take whatever action it thinks fit by way of response.
ParlaMint-GB_2018-11-26-lords.u69	My Lords, does the noble Baroness not agree that this act by the Russians is not, like all the other things they do in eastern Ukraine, deniable in any way, because it is an act by the Russian navy? Also, is not the use of force to enforce a blockade in fact an act of war?
ParlaMint-GB_2018-11-26-lords.u70	I hear the noble Lord’s definition; it is certainly an act of aggression. It is a further example of Russia’s ongoing violation of Ukraine’s sovereignty and territorial integrity. The UK regards the annexation of Crimea as illegal, as was the construction of the Kerch bridge earlier this year. We issued a Statement on 19 November calling on Russia to allow free passage through the Kerch Strait for merchant ships travelling to and from the Sea of Azov.
ParlaMint-GB_2018-11-26-lords.u71	Does my noble friend agree that this is all part of a strategy? The Russians will never leave Ukraine alone. This is all part of a bigger plan to increase the reliance of western Europe, particularly Germany, on Russian gas, to undercut the Americans and to cut Ukraine out of the transmission system. Does she accept that this is Russia’s strategic aim and that we should recognise it in both our foreign policy and energy policy?
ParlaMint-GB_2018-11-26-lords.u72	It is certainly indicative of a grave attitude to a sovereign country. There has been global condemnation of the illegal annexation of Crimea, and the response of the international community to this recent breach of international law is important. The international community, in the form of the United Nations Security Council, the OSCE and NATO, is well placed with its member participants to consider an appropriate response to this unacceptable conduct.
ParlaMint-GB_2018-11-26-lords.u73	My Lords, the noble Baroness will be aware that it has been stated that we are sending a warship to the Black Sea but, as I understand it, it is in fact a survey ship. If things are hotting up in the Black Sea, to send a ship into harm’s way that is not capable of looking after itself is not a clever idea. Should it be reviewed? Perhaps we should send a ship such as a 45, which is able to look after itself in these circumstances.
ParlaMint-GB_2018-11-26-lords.u74	I am very reluctant to comment on specific operational matters for reasons that your Lordships will understand. The MoD response to such situations is carefully assessed and reviewed; any decision to deploy our ships would be made after only the most careful assessment of all the circumstances.
ParlaMint-GB_2018-11-26-lords.u75	My Lords, following from my noble friend’s comment that this is a step change in Russian aggression, does she not think that the Ministry of Defence should perhaps look more closely at what it spends our money on and whether it should spend more on, for instance, cyber measures and, indeed, conventional warfare, given what the Russians have just done?
ParlaMint-GB_2018-11-26-lords.u76	With all the recent—by which I mean over the last few years—reviews of MoD and defence capacity and strategic assessment of what the future holds, I can reassure my noble friend that significant investment has been made in our defence capability. That includes very sophisticated work with our security and intelligence services.
ParlaMint-GB_2018-11-26-lords.u77	My Lords, does the Minister agree that the Russians feel more able to do this while western Europe is preoccupied with Brexit and while the United States is coping with Trump? Russia interfered with the referendum and his election. Would it not make us more skilful and adept in reacting and responding appropriately to Russia if we were to abandon the foolishness of Brexit?
ParlaMint-GB_2018-11-26-lords.u78	We have to deal with global situations as they arise. I happen to think that this issue probably has nothing whatever to do with Brexit. What the international community has to do is exactly what it is doing: in a responsible and swift fashion, at very senior levels of engagement at the United Nations, NATO and the OSCE, considering the best way to respond to the situation.
ParlaMint-GB_2018-11-26-lords.u79	My Lords, does the Minister accept that calling on Russia to show restraint in such circumstances is a completely pointless exercise? It will just provoke a lot of belly laughs in the Kremlin. The one thing the Russians understand is concrete sanctions. Will the Government, jointly with our EU allies, consider how the sanctions that they are already imposing on Russia as a result of its failure to observe the Minsk agreement can be suitably enhanced on this occasion?
ParlaMint-GB_2018-11-26-lords.u80	As the noble Lord will be aware, the EU has recently strengthened sanctions related to Crimea by listing individuals and entities who were responsible for the construction of the illegal Kerch bridge. We continue to work closely with all our international partners to ensure that sanctions remain in place as long as Russia’s control of the peninsula continues.
ParlaMint-GB_2018-11-26-lords.u81	I support what was said by the noble Lord, Lord Foulkes: this is no accident of timing. The Kremlin does not take such actions unless there is a clear understanding of what the consequences might be. It is no secret that Mr Putin hopes to destabilise NATO and undermine the European Union. This action is clearly part of that concerted plan.
ParlaMint-GB_2018-11-26-lords.u82	The UK has made its response clear. I reaffirm that it is very important that we do not act exclusively and on our own in relation to such an incident, and that we act with the appropriate senior partners in NATO, the United Nations and the OSCE. That is the effective and appropriate way to respond to something like this.
ParlaMint-GB_2018-11-26-lords.u83	My Lords, are territorial waters in the Azov Sea clearly delineated and accepted by the powers involved in this struggle?
ParlaMint-GB_2018-11-26-lords.u84	My understanding is that, unlike the Black Sea which is regarded as an area of international waters, the Sea of Azov—being virtually landlocked by two countries—has been the subject of bilateral agreement between Russia and Ukraine. That was a 2003 agreement; it dealt with freedom of navigation in the Sea of Azov and the Kerch Strait. Those two countries are perfectly entitled to make that bilateral agreement but one expects both sides to honour and respect it, and not so blatantly to contravene and breach it as has been evident recently.
ParlaMint-GB_2018-11-26-lords.u85	That the draft Order laid before the House on 17 October be approved.
ParlaMint-GB_2018-11-26-lords.u86	That the draft Order laid before the House on 18 October be approved.
ParlaMint-GB_2018-11-26-lords.u87	My Lords, I beg to move the Motion standing in my name on the Order Paper.
ParlaMint-GB_2018-11-26-lords.u88	My Lords, I do not wish to detain the House, but I could not be in the Grand Committee on Wednesday and I have a very simple question. I congratulate my noble friend on bringing this order to the House, but my concern relates to the provisions of the Reservoirs Act 1971. We need more reservoirs and more water to be retained on land by farmers, landowners, golf clubs and caravan parks. Can he put my mind at rest that this provision will be entirely in keeping with, or even amend, the Reservoirs Act to make that possible?
ParlaMint-GB_2018-11-26-lords.u89	My Lords, I understand that it is the Reservoirs Act 1975. This provision deals with the Planning Act 2008 and, as I described in Grand Committee, this is an entirely separate matter. All matters relating to safety encompassed by these major projects also come within the prism of the Reservoirs Act 1975, so these are extensions of the Planning Act 2008.
ParlaMint-GB_2018-11-26-lords.u90	That the order of commitment be discharged.
ParlaMint-GB_2018-11-26-lords.u91	My Lords, I understand that no amendments have been set down to this Bill and that no noble Lord has indicated a wish to move a manuscript amendment or to speak in Committee. Unless, therefore, any noble Lord objects, I beg to move that the order of commitment be discharged.
ParlaMint-GB_2018-11-26-lords.u92	My Lords, Amendment 1 is in my name and that of the noble and learned Baroness, Lady Butler-Sloss. I apologise for not having been present at Second Reading. I was in Udaipur, India, for the wedding of my son Joel to Dhara Shah, and very enjoyable it was. However, as the Minister knows, I have taken an interest in this Bill since before it arrived in this House I strongly support the Bill. It will provide much-needed criminal sanctions for offences that cause substantial distress to victims, but my concern is that, as drafted, it might fail some victims. The problem is that each of the offences created by Clause 1—that is, operating equipment or recording an image beneath the clothing of another person—is dependent on proof by the prosecution that the defendant has acted for a purpose mentioned in new Section 67A(3). There are two unlawful purposes: obtaining sexual gratification, and humiliating, alarming or distressing the victim My concern is that it is absolutely inevitable that some men—it will almost always be men—who are accused of this offence will say that they did the act of voyeurism not for the purpose of sexual gratification or for humiliating, alarming or distressing the victim, but for the purpose of “having a laugh”. Of course, there is nothing remotely funny about these offences for the victim. I recognise that the prosecution will invite the magistrate or the jury to reject any such defence, but there is a real risk that the defence may succeed in at least some cases, perhaps because the jury will be confused by the need for the prosecution to prove one of the specified purposes I share the concern expressed by the noble Baroness, Lady Burt of Solihull, at Second Reading. At col. 789 of Hansard, she talked about defence barristers seeking for their clients “a legal loophole”. There is a potential loophole here; indeed, one so large that it would be more appropriate to described it as a manhole. My amendment is designed to deal with this by providing that the defendant commits a criminal offence if the prosecution can prove that the defendant acted for the purpose of obtaining sexual gratification or for the purpose of invading the privacy of the victim, whether or not by humiliating, alarming or distressing them The amendment would not alter the structure of the offence. It would retain the need for a mental element—that is, proof of the defendant’s purpose. It would retain the imposition of notification requirements only on those who commit the offence for reasons of sexual gratification, which the Government are rightly concerned about. However, it would prevent defendants adding to the distress of their victims by running a wholly unmeritorious defence which may, in some cases, result in them escaping justice. I beg to move.
