ParlaMint-GB_2018-02-21-lords.u1	To ask Her Majesty’s Government what assessment they have made of living conditions in Gaza.
ParlaMint-GB_2018-02-21-lords.u78	Would it not be true to say that the sovereign Parliament gave the people the decision through the referendum?
ParlaMint-GB_2018-02-21-lords.u79	My Lords, as I have explained, I do not accept that we are in any way under instruction from anybody. I have heard the word “instruction” and it deeply shocks me. As a matter of fact, I heard it from the then Leader of the House in the days following the referendum. For the reasons that I have already set out and I do not need to repeat, that is a pernicious doctrine that is extremely dangerous in its constitutional ramifications and should be rejected.
ParlaMint-GB_2018-02-21-lords.u80	My Lords—
ParlaMint-GB_2018-02-21-lords.u81	I will not give way for the moment; I would like to make a bit of progress I agree with the noble Lord, Lord Wigley, that even if you were to believe that we are under some kind of instruction relating to Brexit it certainly could not apply to the issue of our remaining in the customs union or the single market. I do not remember that issue being mentioned at all in the referendum, certainly on the customs union. As we all know, there was nothing on the ballot paper about it. The noble Lord, Lord Robathan, intervened to say that he remembered some mention of it by certain people during the campaign. I would be very interested if he could put on record the particular dates, times and places where those comments were made, because I reckon I was pretty alert to what was being said during that campaign, in which I took an active part. I never heard the issue of our remaining in the customs union being dealt with at all, let alone seriously analysed and considered. I do not think that the British people had any chance on that occasion to express a preference one way or the other on that matter. As the noble Lord, Lord Wigley, said, that is a matter of practical fact. Parliament must be sovereign and must take what will be a very important decision We all know the potential damage that this country will suffer from Brexit. A lot of it will be from our leaving the single market. Admittedly, some of that damage can be mitigated by our signing a free trade agreement with the EU, but that will not cover financial services, which is such an important part of the country’s economy. There will be great damage from our leaving the EU, even if we are able to sign such a free trade agreement On the issue of the customs union, an enormous range of businesses, sectors and companies see this as an existential threat to their continued survival in this country. That goes across all kinds of people, from automotive to aerospace, pharmaceuticals, the nuclear industry and the airline industry. Noble Lords are familiar with the arguments and the very depressing projections made by people from those industries about the costs that they would incur if we leave the customs union What is extraordinary is that we have not really heard any of the benefits. It is extraordinary that you can make a proposal for something involving undoubted costs—we can all disagree about the costs and what their extent might be, but we cannot possibly disagree with what sign is on the variable in the equation: it is a negative. The idea that we should incur costs and risks without really knowing what the potential countervailing benefit is seems extraordinarily perverse. No business would manage itself on that basis When you press the Government they say, “We need to leave the customs union because that enables us to sign customs agreements or free trade agreements with other countries outside the EU and outside those countries which have themselves free trade agreements with the EU at the present time”. When you actually look at the prospect of doing that you see that it is a mirage; it does not exist at all. Let us take the United States, which spent eight or nine years failing to negotiate the TTIP with the European Union, as the Committee knows very well. Those negotiations broke down partly because of disagreement about the investment guarantees that the Americans were demanding and partly because of the demands being made by the Americans about access for their agricultural products to the single market. Anybody who knows anything about America knows perfectly well that it is inconceivable that an American Administration, let alone a Republican Administration backed by so many Senators and Congressmen from the prairie states and farm states, would ever ratify a free trade agreement with anybody that did not include agricultural products. If it includes agricultural products, of course it includes hormone-impregnated and antibiotic-impregnated beef and chlorinated chicken. Are the British people any more likely than their continental partners and neighbours to accept such products on the market? Would they accept the very appalling animal welfare standards which the Americans have? They have virtually zero grazing for well over 90%, if not very close to 100%, of their cattle at the present time. The idea that you can go through Texas and see lots of longhorn being herded by cowboys as you could 100 years ago is wrong: you will not see a single Texas Longhorn now out in the open air. Those problems will remain and in practice I believe they will be insuperable for us, just as they have been for the rest of the European Union.
ParlaMint-GB_2018-02-21-lords.u82	My Lords, I had not intended to speak in this debate but since it seems that no one else is going to speak up for the option of leaving the customs union, I thought that in the interests of attempted balance, at least, I should make a brief contribution I thought that the noble Lord, Lord Wigley, spoke with great passion—not, to me, entirely persuasively—and his sincerity was palpable. But some of the phrases he used do not really correspond with the reality of the situation as I see it. He talked about breaking our ties. It is not the Government’s intention that we should break our economic ties with the single market. He talked about this being an absolutist solution. No one is pursuing something out of dogma. We are trying to make an assessment of what we think is in the best interests of the country. I agree with the words that my noble friend Lord Hailsham used: we ought to be considering what is in the national interest. Noble Lords opposite may find it difficult to believe but that is actually what the Government are trying to do and what people on this side of the Committee are trying to do: come to a set of arrangements, once this decision has been made, that will maximise the welfare and interests of the country The noble Lord, Lord Wigley, was not comparing leaving the customs union with what the Government are trying to achieve. The Government are trying to achieve a free trade agreement with Europe. That is what you ought to compare the customs union with. In what respect would having a free trade agreement leave the country worse off than it is now? He was talking about a customs union. He did not make it clear but he said he was not disputing the decision to leave so he must have been talking about a customs union while being outside the EU. That is very different from being inside the customs union as a member of the EU. That is putting yourself precisely in the position of Turkey, which is inside the customs union and suffers all sorts of disadvantages, as I shall try to demonstrate.
ParlaMint-GB_2018-02-21-lords.u83	Perhaps I could make a suggestion to the noble Lord. If he were to go to 100 Parliament Street and sit and read the assessment, he would indeed see the comparison between being in a customs union and being in a free trade agreement. If he were to look at Hansard again and read about the damage to the economy that my noble friend Lord Newby described, he would find a great deal of that detail which explains that the free trade agreement route still leaves an unbelievably damaged country, in every region, especially the north-east, and in virtually every single industry sector.
ParlaMint-GB_2018-02-21-lords.u84	There are calculations that say that. No doubt when the noble Baroness comes to make her speech, she will give arguments. I am not going to be persuaded by just a piece of paper with a statistic.
ParlaMint-GB_2018-02-21-lords.u85	Oh!
ParlaMint-GB_2018-02-21-lords.u86	Noble Lords jeer but are they really going to say that a piece of paper with a statistic somehow analyses the problem? I put it to the noble Baroness that if you have a free trade agreement you have access to the market. What is the disadvantage? The disadvantage, which I will come to, is that you have to trade against that the inconvenience of rules of origin. That is what it comes down to: balancing the advantages of free trade against the costs of rules of origin Nobody has said that there are any advantages to leaving the customs union and I would like to make a few points. First, obviously, the customs union that we are members of—on certain goods, not all—has quite high tariffs on goods that particularly affect the lower paid, especially food, clothing and footwear. That is not an inconsiderable factor. Despite what the noble Lord, Lord Davies, said, being inside the customs union would make it impossible for us to sign free trade agreements with other countries. He was pooh-poohing that and thinks we will not be able to do it. But I put it to him if he looks at the record of quite small countries such as Singapore or Chile or a medium-sized country such as Korea, he will find that when you add up the GDP of the countries they have signed free trade agreements with, it is very much in excess of the added-up GDP of the countries that the EU has signed free trade agreements with. That is to say: these small countries, precisely because they negotiate on their own and do not have to take into account the arguments of 27 other partners, have been very effective at signing free trade agreements. Switzerland, for example, has a free trade agreement with China but the noble Lord thinks it will be impossible for us to have one with it.
ParlaMint-GB_2018-02-21-lords.u87	My Lords—
ParlaMint-GB_2018-02-21-lords.u88	I assume this is not a point of order but a point of information.
ParlaMint-GB_2018-02-21-lords.u89	I am grateful to the noble Lord and would like to give a point of information to him. We already have a free trade agreement with South Korea, as a result of our membership of the European Union. Our leaving the European Union would result in our losing our free trade agreement with South Korea.
ParlaMint-GB_2018-02-21-lords.u90	I do not know whether the noble Lord misheard me, whether I misspoke or whether he misunderstood. I was not talking about having a free trade agreement with Korea but about the free trade agreements that Korea has signed with other countries across the globe Another point about a customs union is that it is not just a question of collecting tariffs. A lot of regulations go with it and there is a vast range of non-tariff controls on goods—you obviously have to have definitions. We would not be able to divert from these at all if we remain members of a customs union, or even to depart from them in our own domestic market. If we did that, the goods that were allowed in which had circulated in the other countries of the customs union would be in contravention of them. Again, I put it that there are some advantages which have to be put into the balance of the argument for leaving the customs union One mystery about this amendment is that if you are in the customs union, there is the collection of the tariff revenue where the individual countries are allowed to retain only 20% of the revenue. The rest of it goes to the EU, so would we be outside the EU and paying 80% of the revenue on the external tariff to the EU? That does not seem to make a lot of sense It is also possible to be outside the customs union and to have a free trade agreement with the EU. That is precisely what Norway, Iceland and Liechtenstein do but of course, to come to the noble Baroness’s point, if that is regarded as a cost you have to offset against it the fact that you have rules of origin. People have pooh-poohed the technology argument but is that really going to be such an insurmountable thing to do? Switzerland exports per capita five times as much to the EU as we do, and it has to operate rules of origin on many sectors when it sells goods to the EU. That does not seem to have had any inhibiting effect.
ParlaMint-GB_2018-02-21-lords.u91	My Lords—
ParlaMint-GB_2018-02-21-lords.u92	I would like to make a little more progress, as this is taking rather a long time. The rules of origin are one of the points for consideration. I know that a lot of British industry is worried about this but I noticed what Mr Azevedo, the Secretary-General of the World Trade Organization, said in a newspaper interview that he gave the other day. He pointed out that a large part of Britain’s trade, because we have a bigger percentage of trade with the rest of the world than some other European countries, already has to observe these requirements of documentation and rules of origin. He did not see that there would be a big problem in switching the rest of our trade to a similar regime I have also met representatives of some of the companies that run ports in this country, some of which operate on a WTO basis and some of which obviously operate on an EU basis. But when I talked to the management—I do not want to name them because they would not want to be too involved in political controversy—I was told that they did not see a huge difficulty in moving from one administrative system to another. Whether people agree with that or not, I put it to your Lordships that that is what the argument is all about: a trade-off between that and a free trade agreement with access to the market. It is not clear that the advantage is all one way.
ParlaMint-GB_2018-02-21-lords.u93	Does my noble friend not agree with me and the noble Lord, Lord Davies, on animal hygiene? Given the high levels that the Secretary of State has insisted our farmers will meet on leaving the European Union, how can we physically check the animals coming into this country when we leave if we have no customs controls at UK borders? It cannot be done by technology.
ParlaMint-GB_2018-02-21-lords.u94	Even in Northern Ireland, we have some checks already. There will have to be checks, as there are checks throughout the European Union. I would be in favour of checks, but this is not an overwhelming argument against leaving a customs union I have one final point on the customs union. The noble Lord, Lord Wigley, seemed to be advocating being inside the customs union but outside the EU. That is the consequence of the amendment. That really gives us the worst of all worlds. Consider the position of Turkey. It has to agree to whatever free trade agreements the rest of the EU signs up to and has to have goods under those agreements circulating within its economy, even if it is totally opposed to that, because it has no say in negotiating free trade agreements between—
ParlaMint-GB_2018-02-21-lords.u95	My Lords—
ParlaMint-GB_2018-02-21-lords.u96	I would like to finish a sentence without being interrupted. The EU negotiates free trade agreements but does not take into account what Turkey wants, and Turkey has no say. I will give way one last time; then I will make one other point about the single market; and then, the House will be relieved to know, I shall shut up.
ParlaMint-GB_2018-02-21-lords.u97	The noble Lord referred to Turkey twice. On the first occasion when he referred to Turkey he said that there were all kinds of disadvantages in its customs arrangements with the EU from being in the customs union but not being free to strike trade deals beyond that. Why therefore does he think that Turkey has willingly and freely stayed a member of the customs union?
ParlaMint-GB_2018-02-21-lords.u98	As the noble Lord knows very well, Turkey aspires—that aspiration may now be fading—to join the European Union, so being in the customs union was for many a halfway house to joining the EU, just as for noble Lords who tabled this amendment it is a halfway house to rejoining the EU. That is what their amendment is really about. Lastly and briefly on the single market, the noble Lord, Lord Newby, was exhorting us all to go to the Treasury, look at the papers, draw the curtains and see the forecasts that have been made. Of course those documents should be taken into account, but there are many other studies made outside Whitehall that take a very different view. I refer him to the research by the academic Michael Burrage, who was at the LSE and at Harvard. He has done an in-depth analysis, which is published on the Civitas website, of the effect of the single market on the British economy and British exports. He has come to the conclusion that there is no correlation between the single market and the growth of trade between the UK and the EU Furthermore, he has pointed out something that people have acknowledged in these debates before—namely, that many non-members of the single market, countries outside the continent of Europe, have increased their exports to the single market much faster than Britain has increased its exports to the single market. So the idea that this great liberalising force has had a huge impact on the British economy is absolutely not proven. I make these points simply because the debate so far has been very unbalanced and, as my noble friend Lord Hailsham said, we ought to be considering, in a sober, balanced way, what is in the interests of our own economy now that the decision has irrevocably been made.
ParlaMint-GB_2018-02-21-lords.u99	On the customs union, as a pro-European in his youth, the noble Lord will be aware that the customs union was one of the founding acts when the European communities were established. I understand why Eurosceptics might make a lot of arguments that the European Union has become much more federal and political than the economic basis on which it started. But what, given the arguments that the noble Lord made so powerfully in the early 1970s in favour of membership of the customs union, now prevents us staying in the customs union on leaving the EU?
ParlaMint-GB_2018-02-21-lords.u100	I am sure the noble Lord is not intentionally misleading the House when he talks about the arguments that I made so compellingly and eloquently in the 1970s. If he has been studying my maiden speech in the House of Commons, I shall be astonished. The reason why I supported the customs union in the 1960s was that we then lived in a world of very high tariffs, and the EEC was a liberalising influence in the 1950s and 1960s. It was only after the American Administration started cutting tariffs in the mid-1960s that the relevance of the EEC in tariff negotiations became much less significant Since the noble Lord wanted me to get my feet again, I will say that my attitude towards the customs union is very different from his. I remember a debate in which he spoke about not being in the single market. He explained how he had been to a German car manufacturer which had explained to him—I could not believe my ears—how Germany was manipulating car standards in order to keep out goods from other countries. The noble Lord thought that was admirable and we were very stupid not to be part of this racket. Well, I do not want to be part of it.
ParlaMint-GB_2018-02-21-lords.u101	My Lords, I am supporting and have added my name to Amendment 206 in the name of the noble Baroness, Lady McGregor-Smith. It is also supported by the noble Baroness, Lady O’Loan, and the noble Lord, Lord Alli. The amendment is simple but necessary and goes to the heart of Parliament’s consideration of the UK’s withdrawal from the EU. It says: “It is a negotiating objective of the Government to ensure that the withdrawal agreement provides for the United Kingdom’s continued participation in a customs union with the EU” In today’s economy, business is integrated worldwide, transactions are global, goods and services cross national borders every minute of the day, our greatest customers are our nearest markets, and we know that half our trade is with the other 27 countries of the EU. A lot has been made of Canada having signed a free trade agreement with the EU, CETA, which took eight years. However, the comparisons made with our situation do not apply, because what people do not understand is that the EU makes up less than 10% of Canada’s trade. Who is Canada’s biggest trading partner by far? The United States, which is next door It is not just the finished goods that are sold to these markets; the components and ingredients of goods, food and of course drink can flow through as imports and exports. I was speaking in Dublin a week before last for the Irish Food Board, Bord Bia. There the example was given of Bailey’s Irish Cream, which is made in Ireland, sent across the open border into Northern Ireland and packaged there, brought back into Ireland and exported from there around the world. In this European marketplace, we have stopped referring to these exchanges as “imports and exports” because the transmission of goods is so frictionless and continuous that we now just talk about “arrivals and dispatches”. This really matters to business—I speak as someone who has been in business for a long time and started my own business—and to the people employed by these businesses, and it is the customs union that makes it a reality I think we take a lot of that for granted today, but this choice, this virtually instant array of products, was not always available to customers and entrepreneurs. We have to remind ourselves that this degree of tariff-free, seamless trade has arisen not by accident but by careful design and the sharing of decision-making on trade policy. We dismiss these benefits of a customs union with the EU at our peril I invite noble Lords to picture for a moment the 2.5 million lorries passing through Dover each year and how our ports will cope if, in a year’s time, the continuous throughput of traffic is no longer. A programme on Radio 4 today illustrated this on both sides. If goods need inspecting at ports for exit and entry, revenue collecting, labels and licences checking, sanitary conditions measuring, quota weighing and duties paying, all this can take a long time and clog up the arteries of our economy. If these delays and blockages occur, not only will we need to contend with frustrated truck drivers and motorway congestion, companies with a just-in-time business model—we heard examples from the noble Lord, Lord Wigley—will need completely to rethink their practices, and their investors and customers will pay the price. The EU has obtained more than 50 trade deals with countries across the world. This represents approaching 20% of our trade and will lapse in 2019 on our exit from the European Union. We need to remain party to those existing FTAs, and this amendment is the best way to ensure that. At the moment, 50% of our trade exists with the European Union. If you add approaching 20% of our trade through the European Union, we have a total of almost 70% with and through the European Union at the moment. We as a country are thinking of throwing that away to go after the 30%. Within the 30% is the United States of America, at 18% I am a great fan of the Commonwealth. We have CHOGM coming up here in April. I would love this country to do more trade with the Commonwealth and have been speaking about that during the 11 years that I have been a Member of this House. But let us get real. The Commonwealth makes up less than 10% of Britain’s trade; 70% is with and through the European Union. We can drive a better deal for Britain by applying the strength of the whole of Europe, rivalling any other world power So often, we hear this talk of going global and that we are going to do trade deals with countries such as India. India would love to do a free trade deal with the UK, but the reality is that India has only nine bilateral free trade agreements with any countries in the world, not one of them a western country. If you speak to the Indian high commissioner over here, he says that India is very happy to do a free trade deal but, as the noble Lord, Lord Davies, said earlier, it is not just about goods and tariffs; it is about movement of people. The commissioner says: “What about international students? What about our IT workers coming here? What about the fact that the Chinese get two-year multiple-entry visas for business and tourists at £85 and we Indians have to pay £350? What about that? Then let’s talk about free trade deals” David Davis mentioned dystopian. To me, the Brexiteers are living in a utopian world. We can drive a much better deal for Britain by applying the strength of the whole of Europe, rivalling any other world power. There is no either/or choice between trading with the European Union and trading with the rest of the world; we need to do both successfully, just as the Germans manage to do within the customs union I have heard from the horse’s mouth where India is concerned. It is very clear: an EU-India free trade agreement is far more important to India than a UK-India free trade agreement. It is simple: 500 million people or 65 million people; there is no comparison. Let us get real Then we have talk that, the moment we leave, we will just roll over these 50-plus free trade agreements that the EU has and do UK free trade deals with those countries straightaway—again, utopian dream land. Already, countries such as South Korea have said, “Hang on! We have to renegotiate that. We did a free trade deal with the EU on the basis of 500 million people and the world’s biggest free market. You want us to treat you in the same way with 65 million people? Forget it. Let’s renegotiate”.
ParlaMint-GB_2018-02-21-lords.u102	Does the noble Lord recall that we made very good progress in the European Union in trying to negotiate a free trade agreement with India? It was actually slowed down—indeed, blocked—by the United Kingdom.
ParlaMint-GB_2018-02-21-lords.u103	Well, we have worked for a long time to do a free trade deal with India, and it is in the offing. The Canadian one took eight years. Let us again be absolutely realistic about this The majority in the Commons are for staying in the customs union because of the fear of the extra costs. We know about the BuzzFeed leaked reports that found that Britain would be financially worse of outside the EU under any model or any of the scenarios. Hilary Benn, the chair of the parliamentary Brexit committee, has said that the government’s decision to make leaving the customs union its policy without first assessing the impact of doing so is, in his words, “extraordinary” The CBI, which represents 190,000 businesses which employ 7 million people, has said very clearly that customs union membership would, “resolve the question of how to keep an open border between Ireland and the UK”, which, as noble Lords have heard, is so important for maintaining the peace. We should not jeopardise the Good Friday agreement for anything. We have to get our priorities right as a country.
ParlaMint-GB_2018-02-21-lords.u104	My Lords, I will speak in greater length on the second group but I want to touch on just a few points, if I may, to support Amendments 162 and 197, tabled by the noble Lord, Lord Wigley. I begin by saying how much I agreed with the speech of the noble Lord who has just spoken and also the speeches of the noble Viscount, Lord Hailsham, and the noble Lord, Lord Carlile. I agreed with every word of them, and the best way those two noble Lords can express their passion about Northern Ireland and the dangers of having anything other than the same customs union and single market either side of the border is to support Amendment 198, which I hope, at least on Report, will be put to the vote The noble Lord, Lord Lamont, spoke with great eloquence. The problem is that he does not agree with his Government’s policy. The Government signed up in December to an agreement with the European Council for regulatory alignment. That is not what the noble Lord is arguing for. This brings me to Amendment 197, which does not say that we will be in the single market and customs union but that we will have, “the same rights, freedoms and access” as exist now. I thought that this was the policy of the Government: to leave but to have exactly the same opportunities for businesses as we have now. As the noble Lord, Lord Wigley, explained, it is of great concern to the Welsh Government, who I am close to. It is the same concern of the London governing authority, expressed through the mayor, and I am sure—since it voted to remain—it would be the same view of the Northern Ireland Government, if they were functioning Publishing impact assessments is the least that the Government can agree to. I ask the Minister, in responding to this debate, to explain why they are so afraid of publishing impact assessments for Wales, Scotland, Northern Ireland and, for that matter, England. Why are they afraid of doing that? What is wrong with doing that? Can the Minister also say why he does not accept Amendment 197, when I thought that was what his Government were arguing for? Or are the Government reneging on what they signed up to in December, despite the fact that it was a solemn decision between the European Union and the United Kingdom?
ParlaMint-GB_2018-02-21-lords.u105	My Lords, my noble friend Lord Newby and the noble Lord, Lord Carlile, spoke of Kafka in the basement, but I was struck by another, more bizarre allusion earlier this week when the Brexit Secretary ruled out the “Mad Max” scenario post Brexit—I was not aware that the “Mad Max” scenario was on the table. I was concerned about whether he had actually seen the post-apocalyptic, low-budget film packed with ridiculous contraptions and strange fashion. Then, today, the European Research Group issued its ultimatum and it became clear how appropriate the Secretary of State’s imagery was. He clearly has seen not just the original “Mad Max” film but the sequels as well. We are living in a world where so many things are said that clearly cannot be true. We are living in a fantasy world, and we have heard some of those fantasies today In speaking to Amendment 89, I declare my interests as set out in the Members’ register, which of late have focused primarily around the aerospace and automotive industries. Last night, along with other Members of your Lordships’ House, I attended the Engineering Employers’ Federation annual dinner, which followed its extremely successful conference. The EEF was celebrating arguably the best year for manufacturers for at least a decade. This is not a justification of Brexit; it is a repudiation of it. The single market, the customs union, the free movement of people and many other facets of the European Union helped to facilitate this highly impressive performance, built on the back of increased trade not only with a burgeoning European economy but with non-European countries. This trade increased while we were still in the customs union. Increased trade with China, albeit from a low base, was achieved while we were still in that iniquitous thing, the single market. We achieved growth with both our European partners and partners in the rest of the world To be clear—I know that all noble Lords know this—the single market ensures that UK companies can trade with any of the 27 European Union countries without restrictions and arbitrary barriers. It is a question not just of tariffs, of course, but of regulations and standards and what the Government term “friction”. One of the most damaging things that the Government did from the outset was to rule out membership of the single market and the customs union post Brexit. We see the issues that that has caused, particularly in Northern Ireland. The noble Lord, Lord Carlile, has talked very eloquently about that issue but I shall address the business and industrial implications. The industrial fallout is extremely daunting. We heard evidence of that last night at the EEF dinner. Many companies are only just starting to realise the complexity and friction that will be introduced into their daily business dealings. Many more have yet to comprehend this. Certainly what this means for smaller SMEs is still beginning to dawn on them Amendment 89 is focused on the single market. As noble Lords can tell, I think the UK should remain in the single market permanently. However, in case that upsets your Lordships too much and they are reluctant to support Amendment 89, I should emphasise that that is not the point of that amendment. As the noble Lord, Lord Wigley, eloquently said, Amendment 89 is specific in seeking to ensure that the Government cannot use their regulation-making powers in a way that would lead the UK to diverge from the single market. Such divergence would introduce friction between the UK and the 27 in regulation and standards that would harm the very supply chains that manufacturers gathered to celebrate last night. Remaining in the single market would be the most desirable outcome. I hope that the Government will eventually see sense and realise that it is in the UK’s economic interests to stay in the single market and the customs union, as was eloquently expressed by the noble Lord, Lord Bilimoria. However, I trust that your Lordships will recognise that Amendment 89 has a much less ambitious aim than that and will see it essentially as a prudent way of ensuring that we do not increase friction in our trade with the EU Your Lordships will be interested to hear that last night the Secretary of State for BEIS, who addressed the more than 1,000 manufacturers from all over the United Kingdom present at the dinner, said that we are going to remain in the single market and the customs union throughout the transition and that nothing will change. Essentially, that means that nothing will change for three years from now. I have heard other messages from other members of the Government, so it would be useful if the Minister could take this opportunity to confirm that that is the settled view of Her Majesty’s Government. That being the case, I am sure that Her Majesty’s Government will have fewer qualms about supporting Amendment 89, because surely Ministers will not seek to erode those barriers to frictionless trade In short, it is important that nothing in the Bill hinders the operation of the frictionless, tariff-free trade arrangements in goods and services that we currently enjoy. Amendment 89 seeks to achieve this, and I hope that the Government will realise that and support this sensible addition to the Bill.
ParlaMint-GB_2018-02-21-lords.u106	My Lords, I had intended to intervene after an hour to don a Wigan shirt against the Manchester City team arrayed in this Chamber. But then my noble friend Lord Lamont rose and scored the goal in a very interesting speech, which went to the core of the matter. I apologise, like my noble friend Lord Hailsham, for having been unable to be present at Second Reading, but I assure your Lordships that I intend to be present for however many days it takes to achieve what my noble friend said he would wish to frustrate, with the result that Brexit will go through as the British people requested The noble Lord, Lord Davies, took exception to the word “instruction”. As a democrat, I am not quite sure from whom our Parliament should take its instructions except from the British people. I quote the noble Lord, Lord Ashdown, who said after the referendum that, “when the British people have spoken, you do what they command” What powerful words and instruction. Another gentleman said—
ParlaMint-GB_2018-02-21-lords.u107	My Lords—
ParlaMint-GB_2018-02-21-lords.u108	I have only just begun. I will give way later to the noble Lord. If I may continue this section of my remarks, I would like to do so. There were many interventions on my noble friend Lord Lamont, who spoke for the Wigan team, but there have not been so many interventions on the Manchester City team.
ParlaMint-GB_2018-02-21-lords.u109	This is material to what the noble Lord is saying.
ParlaMint-GB_2018-02-21-lords.u110	I will give way to the noble Lord later if he is kind and polite and stops interrupting. I will put on the record what another gentleman said: “There are people in the party who don’t accept the outcome, who feel incredibly angry and feel it’s reversible, that somehow we can undo it. The public have voted and I do think it’s seriously disrespectful and politically utterly counterproductive to say ‘Sorry guys, you’ve got it wrong, we’re going to try again’, I don’t think we can do that” That was Vince Cable, since elected leader of the Liberal Democrat party. I hope that he will stand by those words as leader.
ParlaMint-GB_2018-02-21-lords.u111	For those of us who sat through nearly 180 speeches at Second Reading, it is rather galling, when we are dealing with amendments, to hear people who could not make it give Second Reading speeches. If the noble Lord was a Member in another place, he would be drawn to order by the Speaker. Can he not bring himself to order and address the amendment?
ParlaMint-GB_2018-02-21-lords.u112	My Lords, the noble Lord goes directly to the point. He wishes to know why I was unable to be here.
ParlaMint-GB_2018-02-21-lords.u113	Oh!
ParlaMint-GB_2018-02-21-lords.u114	I was honouring an engagement. It was not a social engagement: I was teaching medieval Greek culture on a university course in Italy, which I hope disqualifies me from being either a Little Englander or stupid, as some Brexit people have been described. I am not making a Second Reading speech but I was going to say that I rather thought that we were hearing a Second Reading debate again. Like everybody else, I read the debate. Looking at the groupings list for today, every one of the lead amendments seeks either to reverse Brexit or to delay its implementation. They are not about implementation or about progressing the matter but about obfuscation and delaying matters. I believe that there is a very important question that we need to address on the customs union.
ParlaMint-GB_2018-02-21-lords.u115	My Lords—
ParlaMint-GB_2018-02-21-lords.u116	If I may, I will continue. The noble Lord has asked me not to talk too much. Let us have a debate on the customs union—a specific debate, not on a wide-ranging group. Let us hear the arguments. Maybe we will hear what the Labour Party’s policy is. The noble Lord, Lord Bilimoria, says that it is one thing and other people say it is another. We will then have a short debate, or maybe a long debate, and we will take a decision on the matter. That is the way to proceed. However, in a debate that has already lasted an hour and three-quarters, we have heard about ID cards, chickens, Ireland, animals and all sorts of things, and we are not even going to have a vote on the matter. We have nine other groups to go through. We are repeating the Second Reading but it is not me who is doing that; it is many of your Lordships The noble Lord, Lord Wigley, who made an interesting and impressive speech raising important points, should decide on Report which of those elements he wishes to put to a vote and we will then decide. For now, we ought to get on. This Bill has gone through the elected Chamber and it comes to us from there. That elected Chamber is entirely satisfied with it.
ParlaMint-GB_2018-02-21-lords.u117	No!
ParlaMint-GB_2018-02-21-lords.u118	It passed the parliamentary rules. If a Bill goes through the other Chamber, it must be construed to have been approved by that Chamber. That is our constitutional arrangement. I beg to remind noble Lords that Manchester City is not the most popular football team in this country.
ParlaMint-GB_2018-02-21-lords.u119	My Lords, if these amendments were adopted by the Government, it is possible that there would be a successful negotiation. Let us look at the possibilities of a successful negotiation, which it is generally assumed there will be First, the Government have to make up their mind what their aims are. Having renounced the idea of staying in the single market or the customs union, it seems that they are aiming for a new kind of customs union and for access to the single market under a special kind of bespoke single market. The idea of having a new kind of frictionless customs union without being a member of the single market is wholly unrealistic. Nobody outside Britain regards the arrangements suggested by the Government as in any way credible, and the idea of a bespoke single market arrangement has been rejected by one European leader after another. Therefore, why is it assumed that when the Government come forward with their offer, it will be a serious basis for negotiation? At that stage, the negotiations may well break down Next, it is assumed that there will be a transition agreement. The Government envisage a period in which there will be an agreement on the framework and we will work out the details. During this period, which they say will last for two years and will include an implementation period, we will continue with the status quo. Maintaining the status quo, with acceptance of membership of the customs union and the single market, of the jurisdiction of the European Court of Justice and of a continuation of our making contributions, has been described—fairly accurately, I think—by both the noble Lord, Lord Kerr, and Mr Jacob Rees-Mogg as meaning that this country will become a “vassal state”. I do not think it can be assumed that there will be automatic agreement by the EU 27—the Commissioners’ negotiators—to this kind of transition agreement. There must surely also be a question as to whether the Conservative Party itself will accept it. And if there is no transition agreement, there will be no deal Most importantly, the trade negotiations were allowed to continue because there was an agreement in December about the Northern Ireland border, and alignment of regulations between the UK and Ireland. It was a fudge, which had a completely different meaning to Dublin and to the British Government. To Dublin it meant that Britain would stay within the customs union, and to the British Government it was a way of getting the trade negotiations going and preventing a breakdown at that stage. It is clear that the Government’s frictionless border is not going to be a working proposition—and it seems to me that the negotiation over the Irish border will itself be a breaking point. If there is a breaking point then, of course that means no deal My noble friend Lord Newby was wrong when he said that on the whole people had been too optimistic. I think he was being too optimistic, because he assumed that there would be an agreement. All the signs are that we have very good reason to suppose that there will be no deal. If there is no deal the whole economic position will look entirely different—and unless some of these amendments are passed, the odds are that there will be no deal.
ParlaMint-GB_2018-02-21-lords.u120	My Lords, in 1997, I—together with other Members of this House, including, I recall, the noble Lord, Lord Davies—was returned as a Conservative MP to the House of Commons. I quickly learned what it was like to be in a minority. I fear that I also find myself in a minority in this House today. I may be in a minority in this House, but it comforts me to know that outside this House I am not in a minority However, I think I am in a majority in this House when I say that I am not in favour of referendums. I think they are a terrible idea: look where they have led us. But whatever we think, we have had one. The noble Lord, Lord Newby, talked about misleading the British people. I shall be brief about this, he will be pleased to know, because that is where we should start, and finish. During the referendum campaign the Prime Minister at the time, and also George Osborne and Michael Gove, specifically said that we would have to leave the single market. People may not have paid attention, but that is neither here nor there. I think that we will also find that they said we would have to leave the customs union. But people were not very interested As regards the customs union, may I draw attention to the fact that the Conservative Party general election manifesto said that we would leave the single market and the customs union?
ParlaMint-GB_2018-02-21-lords.u121	Does the noble Lord recall Mr Boris Johnson’s riposte to the Prime Minister? He said, “Nobody is even talking about leaving the single market”?
