ParlaMint-GB_2018-02-06-commons.u1	Object Bill to be considered on Tuesday 20 February.
ParlaMint-GB_2018-02-06-commons.u19	The Minister will be aware of the situation surrounding pain infusion treatment for patients in Hull and East Riding. Many of the 86 patients who lose that treatment will require increasing levels of social care. Consultants have even written letters to the CCG to say that if that treatment is removed, there is an increased risk of mortality for those patients. Will the Minister meet me urgently to discuss that and write to the CCG to ask it to urgently review its decision in the light of the evidence from consultants?
ParlaMint-GB_2018-02-06-commons.u20	Of course blanket bans on treatments are unacceptable, and decisions on treatments should always be made locally by doctors, based on clinical assessment. I understand that those patients will be offered an alternative, more rounded service and that the CCGs have arranged for each patient to meet their consultant to discuss their treatment. Where there is evidence of rationing, we expect NHS England to ensure that CCGs are not breaching their duties.
ParlaMint-GB_2018-02-06-commons.u21	Does my hon. Friend agree that the integration of health and social care is so important to the future success of the NHS that everything needs to be done to speed up the programme to integrate them better? Will she join me in encouraging a speedier approach to that method in Surrey, Sussex and Kent?
ParlaMint-GB_2018-02-06-commons.u22	My right hon. Friend is absolutely right. The better care fund is already having a fantastic impact in the area. We are developing metrics for assessing progress on integration by local area, particularly at the interface of health and social care. We need to proceed with this as rapidly as possible, and I am sure that with his backing, that will happen in his local area.
ParlaMint-GB_2018-02-06-commons.u23	It is of course very important that we see integration of the two services, but the fact remains that there is just not enough money. Over a year ago, one of the Minister’s predecessors praised my authority in Halton for the work it was doing in this area, but Halton is now on the brink in terms of the money it has and its ability to deliver its statutory duties. There is simply not enough money, and the Government keep trying to avoid that.
ParlaMint-GB_2018-02-06-commons.u24	We have provided £2 billion of extra funding over the next three years to help councils commission high-quality services, in addition to giving councils access to up to £9.25 billion of dedicated social care funding by 2019-20.
ParlaMint-GB_2018-02-06-commons.u25	Will the Minister look at the benefits of independent living schemes such as Priory View, pioneered by Central Bedfordshire Council, which bring reduced hospital admissions and reduced demands on social care through greater socialisation and more use of exercise classes?
ParlaMint-GB_2018-02-06-commons.u26	Independent living schemes can keep people living healthier, more independent lives for much longer and provide the comradeship and camaraderie that keep people active and healthier. My hon. Friend is right to raise their importance, and the Government very much support them.
ParlaMint-GB_2018-02-06-commons.u27	With reference to the integration of health and social care, the Minister may be aware that I have two outstanding respite and rehab homes in Eastbourne called Milton Grange and Firwood House. They are both under threat of closure by the county council, which says that central Government are not giving it enough money. Those homes serve a crucial purpose in supporting the local hospital. Will the Minister agree to meet me and representatives from the county council to work out a way to find the funds to keep both those vital homes open?
ParlaMint-GB_2018-02-06-commons.u28	The hon. Gentleman is absolutely right to stand up for the good-quality respite in his local area. The Care Act 2014 requires local authorities to shape local markets and ensure that they give a sustainable, high-quality local offer. I would be more than happy to meet him to discuss that further.
ParlaMint-GB_2018-02-06-commons.u29	I welcome the Minister to her place. One model of integration that has aroused considerable concern is the so-called accountable care organisation model. Many are concerned that that means greater private sector involvement, and given legitimate worries about Carillion going bust, Capita not being able to support GPs and Virgin suing the NHS, those concerns are well founded. Can the Minister rule out any private sector involvement in ACOs? Will she also delay laying the relevant regulations to establish an ACO until after the two judicial reviews and the NHS England consultation?
ParlaMint-GB_2018-02-06-commons.u30	The hon. Gentleman is right to raise this. NHS England is consulting on that at the moment, and I can confirm that no regulations will be laid until that consultation has been completed.
ParlaMint-GB_2018-02-06-commons.u31	I am extremely grateful to the Minister for offering us that clarification. May I therefore ask her about funding? The integration of health and social care needs more funding, yet the NHS is going through the biggest financial squeeze in its history and social care has been cut by billions since 2010. A few moments ago, the Minister said that the funding is adequate, but if the funding is adequate across health and social care, why are delayed discharges of care up 50%, and why did NHS England say on Friday that for the rest of this year the A&E target has in effect been abandoned?
ParlaMint-GB_2018-02-06-commons.u32	We recognise that there are pressures on our social care as the population ages. In the short term, we have of course made the extra £2 billion of funding available to local authorities; in the medium term, we need to make sure that best practice is observed across all local authorities and NHS trusts; and in the long term, we will be coming forward with a Green Paper on social care later this year.
ParlaMint-GB_2018-02-06-commons.u33	4. What steps he is taking to broaden routes into nursing.
ParlaMint-GB_2018-02-06-commons.u34	The NHS needs more nurses, which is why we are making big changes for new entries into the profession, including the new nurse associate role and new nurse degree apprenticeships.
ParlaMint-GB_2018-02-06-commons.u35	I am glad to hear that the Secretary of State values the degree apprenticeship as a way to provide further routes into nursing, but will he consider working with the Treasury and across the Government to increase the funding that educational establishments receive from the Institute for Apprenticeships for nursing courses, to further incentivise universities and colleges to offer more places on those courses?
ParlaMint-GB_2018-02-06-commons.u36	I thank my hon. Friend for his excellent question. It will strengthen my hand with the Department for Education, which decides what levels of funding are made available from the Institute for Apprenticeships. It has actually given us the highest level of funding, at £27,000, but we never say no to more.
ParlaMint-GB_2018-02-06-commons.u37	But will the Secretary of State admit that he made a basic error by scrapping nurse bursaries, which has led to a 23% fall in the number of people applying to nurse courses? Why does he not look at that if he wants to widen the entrance into nursing?
ParlaMint-GB_2018-02-06-commons.u38	I am not sure whether the hon. Lady was listening to the answer I just gave, but the truth is—
ParlaMint-GB_2018-02-06-commons.u39	I always listen to you.
ParlaMint-GB_2018-02-06-commons.u40	I am most grateful. That is a very rare compliment, so I shall savour it. I would gently say to her that the point about nurse degree apprenticeships is that it is possible to transition into nursing from being a healthcare assistant without any fees being paid at all. That is why it is a huge and highly significant change.
ParlaMint-GB_2018-02-06-commons.u41	As the hon. Member for Wallasey (Ms Eagle) is sporting what appears to me to be a very fetching suffragette rosette, it is perhaps timely to record that in the great success our national health service has been under successive Governments, I think I am right in saying, as things stand, that well over 70% of the people who make it great are women.
ParlaMint-GB_2018-02-06-commons.u42	Following the recent inquiry by the Select Committee on Health into the nursing workforce, we absolutely welcome the new routes into nursing, including the new role of nursing associate. However, one of the issues highlighted strongly was the need to retain our existing nursing workforce as well as to recruit into it. Will the Secretary of State comment on that?
ParlaMint-GB_2018-02-06-commons.u43	My hon. Friend speaks very wisely—we do need to be better at retaining our existing workforce. I think that is why the Treasury has given me extra latitude in negotiations on the pay rise—those discussions are currently happening—but we also need to be much better at flexible working and at recognising the challenges people have in their ordinary working lives.
ParlaMint-GB_2018-02-06-commons.u44	Unlike in Scotland, where student nurses receive free tuition and a nursing bursary of over £6,500 a year, nurses in England now face debts of £50,000 on graduation. Owing to that, training applications in England have dropped by a third since 2015, and the new nursing apprenticeship attracted only 30 trainees against a target of 1,000. Will the Secretary of State not accept that he got it wrong, and reinstate the nursing bursary?
ParlaMint-GB_2018-02-06-commons.u45	I am interested to hear the hon. Gentleman say that, because we have published a draft of a workforce strategy in this country, but I notice that Audit Scotland says that in Scotland there is a lack of a long-term strategic plan for the workforce. I gently say to him that there are workforce pressures across the United Kingdom. We have a plan to dramatically increase the number of nurses that we employ in the NHS, and I am sure many people in Scotland would like to see the same there.
ParlaMint-GB_2018-02-06-commons.u46	The Secretary of State has claimed that the removal of the bursary would fund 10,000 extra training places, but the first 5,000 will start only this autumn and the nurses will qualify only in 2021. With more than 36,000 nursing vacancies in England, more nurses leaving than joining and a 90% drop in EU nurses coming to the UK because of Brexit, exactly who does he expect to care for patients in the meantime?
ParlaMint-GB_2018-02-06-commons.u47	As we discussed earlier, we are broadening the routes into nursing from just traditional higher education courses, including nurse apprenticeships and people being able to train on the job over four years in a hospital. We hope that a whole group of healthcare assistants who currently find it difficult to get into nursing can become nurses. I think that would be very welcome in Scotland as well.
ParlaMint-GB_2018-02-06-commons.u48	Will the Secretary of State update the House on progress made in reducing the cost of agency nurses so that the money can be reinvested in full-time nursing?
ParlaMint-GB_2018-02-06-commons.u49	I am happy to do that. It is one of the great successes of NHS Improvement, which should be celebrated, that it has brought down the amount spent on agency nursing by £1 billion in the last couple of years. That is a huge achievement. Every penny of that goes back into frontline care.
ParlaMint-GB_2018-02-06-commons.u50	The Government cut the number of nurse training places in 2010, and when they scrapped bursaries applications from mature students suffered particularly. What is the point of blaming trusts for hiring agency staff when the Government simply do not train enough nurses to fill the vacancies?
ParlaMint-GB_2018-02-06-commons.u51	Perhaps I should set the record straight for the hon. Lady. We have 52,000 nurses in training—more than was ever the case under the last Labour Government, who were planning to cut nurse training places by 6%. We are planning to increase them by 25%. That shows our commitment to nursing.
ParlaMint-GB_2018-02-06-commons.u52	Yesterday, the Royal College of Nursing reported on the total failure of Government policies to increase the nursing workforce. As we have just heard, the Government hoped to recruit 1,000 trainees to the nursing apprenticeship, but ended up with just 30. This year, the number applying to university to study nursing has so far fallen by a staggering 33%. We have a workforce crisis exacerbated by badly thought out policies, so is it not time that the Secretary of State admitted that scrapping the bursary was a mistake?
ParlaMint-GB_2018-02-06-commons.u53	I have a great deal of respect for the hon. Gentleman, but that is not the first time that he has presented a somewhat incomplete picture of what is actually happening. In the last five years, we have 15,700 more nurses, and the reason for those vacancies and for the pressure is that, as he knows very well, under the last Labour Government we had Mid Staffs, which was a crisis of short staffing that this Government are putting right. That is why we want to recruit those extra nurses.
ParlaMint-GB_2018-02-06-commons.u54	5. What steps he is taking to improve mental health provision for children and young people.
ParlaMint-GB_2018-02-06-commons.u55	8. What steps he is taking to improve mental health provision for children and young people.
ParlaMint-GB_2018-02-06-commons.u56	13. What steps he is taking to improve mental health provision for children and young people.
ParlaMint-GB_2018-02-06-commons.u57	This week is Children’s Mental Health Week, and still too many children and young people wait too long for their mental health provision in the NHS. That is why, by the end of next year, we will have invested an extra £1.4 billion, meaning that 70,000 extra children and young people are seen every year.
ParlaMint-GB_2018-02-06-commons.u58	A constituent’s 14-year-old son suffers severe obsessive compulsive disorder, resulting in self-harm. Treatment options have failed and his doctor recommends an intensive residential programme, but as Ministers are aware, places are very limited. He has been waiting seven weeks and counting, with 24-hour parental support and supervision. What more can be done to ensure that that boy and other adolescents who are in desperate need of help get that help before it is too late?
ParlaMint-GB_2018-02-06-commons.u59	I thank my hon. Friend for raising that issue, and I understand that in that particular case clinicians are meeting this week to resolve those issues. She is right: we need to expand the number of beds available for children and young people. They are at a record level—1,440, and that went up by another 81 last year—but more needs to be done, which is why we published our children and young people’s mental health Green Paper.
ParlaMint-GB_2018-02-06-commons.u60	I have been approached by a number of my constituents in Leicestershire who are concerned about the wait between a referral to child and adolescent mental health services and the allocation of a named caseworker and formal treatment. Will my right hon. Friend enlarge on how the steps that he is taking, which he has set out, will help to reduce such waits in Leicestershire and across the country?
ParlaMint-GB_2018-02-06-commons.u61	I am happy to do that. The simple truth is that it is a tragedy for every child who has to wait too long to access mental health care, because half of all mental health conditions become established before the age of 14. If we do not nip them in the bud, they can get a lot worse. What are we doing? We are setting up a whole new service inside schools to spot such problems earlier and we are going to introduce a waiting time target for CAMHS appointments.
ParlaMint-GB_2018-02-06-commons.u62	In 2016-17, 65% of young people in England with eating disorders started urgent treatment within one week of referral. What has been done to ensure that the target of 95% by 2020 will be reached? Does the Secretary of State share my belief that waiting time targets are a vital tool for improving eating disorder treatment and should be in place in all parts of the United Kingdom?
ParlaMint-GB_2018-02-06-commons.u63	I absolutely agree with that. I join my hon. Friend in supporting the introduction of waiting time targets in Scotland and other parts of the United Kingdom. How are we doing so far? In terms of the need for urgent treatment for eating disorders, we are hitting 79%, so we are on our way to the 95% target and we want to get there as soon as we can.
ParlaMint-GB_2018-02-06-commons.u64	I listened very carefully to what the Secretary of State said about the additional funding that is supposed to be reaching the frontline, but the Young Person’s Advisory Service, which is the main service for young people’s mental health in Liverpool, has seen a £757,000 cut—a cut of 43%—in this financial year. There are now 412 children in Liverpool waiting more than 28 weeks for an assessment—not even for treatment. It is absolutely shocking. How can he stand there in young people and children’s mental health week and say that everything is rosy?
ParlaMint-GB_2018-02-06-commons.u65	I did not; I said the opposite. I said that we need to do a lot more and I told the House what we are doing. If the hon. Lady looks at what is happening in her own clinical commissioning group, she will see that the proportion that is spent on mental health has gone up from 12.3% to 13%. She will see that this Government have done a huge amount on mental health. In 13 years, Labour did not have any waiting time targets for mental health and did not introduce parity of esteem—a whole range of things that are now happening and that she should support.
ParlaMint-GB_2018-02-06-commons.u66	Will the Government commission more extensive research into the causes of mental ill health among children and young people, both pre and post-natal, with a view to preventing as much ill health as possible?
ParlaMint-GB_2018-02-06-commons.u67	We are absolutely going to do that. We have a big programme of expansion in perinatal health support, because there is a lot of evidence that pressures on mothers around the time of birth transmit to their children and can leave lasting damage.
ParlaMint-GB_2018-02-06-commons.u68	Specialist mental health crisis care for young people in south Cumbria is available only between the hours of 9 and 5 from Monday to Friday. Does the Secretary of State agree that in the light of the Care Quality Commission’s recent damning report of the partnership trust, that is not acceptable? Will he join me in asking the Morecambe Bay CCG to ensure that there is out-of-hours and weekend care for all people?
ParlaMint-GB_2018-02-06-commons.u69	I am happy to look into that issue. The hon. Gentleman’s colleague, the right hon. Member for North Norfolk (Norman Lamb), did a huge amount to set up crisis care provision around the country. We need to build on that for the simple reason that, if we are to have parity of esteem, people need to be able to get help in a mental health crisis, just as they are if something goes wrong with their physical health.
ParlaMint-GB_2018-02-06-commons.u70	Does my right hon. Friend agree that, as well as improving the treatment of adolescent ill health, everything possible needs to be done to prevent crisis from occurring in the first place? Does he agree that we need more research into why we are seeing a surge in Cheltenham and elsewhere in the world, so that clinicians can best tailor their response?
ParlaMint-GB_2018-02-06-commons.u71	This is something that my hon. Friend has thought a lot about. A particular area of concern is the growth in mental health problems in young women between the ages of 18 and 24. We are looking carefully at whether that relates to social media use, which is an additional pressure that many of us did not face when we were that age. I thank him for his campaigning on this issue.
ParlaMint-GB_2018-02-06-commons.u72	19. The figures show that, on average, children and young people have to visit their GP three times before a referral is made for a specialist mental health assessment. Sometimes, they then have to wait six months for treatment. In Lewisham, the CAMHS budget is being cut, which is likely to result in even longer waiting times for treatment. The right hon. Gentleman said that these waiting times are a tragedy, but how bad do things have to get before the Government take action?
ParlaMint-GB_2018-02-06-commons.u73	With respect, we are taking action. Last year, spending on mental health went up by £575 million and four out of five CCGs increased their mental health spend by more than their overall spend. This year, all CCGs will do that. That will apply in Lewisham, as it will everywhere else in the country.
ParlaMint-GB_2018-02-06-commons.u74	Under plans announced by NHS England, child victims of sexual assault in Stoke-on-Trent would have to travel as far as Birmingham to receive the vital support that they need. Will the Secretary of State agree to look urgently into the proposals to remove child sexual assault referral services from the city?
ParlaMint-GB_2018-02-06-commons.u75	I will happily do so.
ParlaMint-GB_2018-02-06-commons.u76	Research by the Children’s Commissioner revealed that the spend on children and young people’s mental health services varied by CCG from 0.2% to 9%, resulting in services in some areas being described as “shockingly poor”. Can the Secretary of State therefore explain the reason for the variation, and will he commit today to matching Labour’s pledge to increase the proportion of the mental health budget spend on CAMHS services?
ParlaMint-GB_2018-02-06-commons.u77	The hon. Lady is right to shine a light on that variation, and that is why this Government have introduced Ofsted ratings for all CCGs—to make sure that we understand. It is not just in children and young people’s mental health, but in all mental health where we see that variation. Specifically when it comes to children and young people’s mental health, she will be pleased to know that last year overall spending went up by 20%, and the Green Paper that we published announced an additional £300 million in investment.
ParlaMint-GB_2018-02-06-commons.u78	6. What plans his Department has to improve children’s health.
ParlaMint-GB_2018-02-06-commons.u79	This Government want to see all children and young people get the best start in life. We are implementing a wide range of policies to improve child health, including the most ambitious childhood obesity plan in the world, transformation of children’s mental health and maternity services, improving immunisation rates and tackling child sexual abuse.
ParlaMint-GB_2018-02-06-commons.u80	The Royal College of Paediatrics and Child Health recently praised NHS Scotland’s innovations to improve children’s health. The Scottish initiative Childsmile, which is now 10 years old, has greatly improved children’s dental health, reducing fillings by 24% and cutting annual dental treatment by £5 million. It is good that the UK Government have finally set up trial sites, but with multiple dental extractions under general anaesthetic up by 11%, why is this initiative not being rolled out to all children in England?
ParlaMint-GB_2018-02-06-commons.u81	The hon. Gentleman is right to highlight that, and we are always keen to respond to any representations made on this very important issue. We are also very keen to learn from the other nations about this area, because it is clear that the more we can do with early intervention in childhood, the better we protect people’s long-term health. I will look more specifically into that.
ParlaMint-GB_2018-02-06-commons.u82	As a children’s doctor, children’s health is very important to me, and the case of children’s doctor, Dr Bawa-Garba, worries me and doctors up and down the country. In NHS practice, I have seen the adverse effect on reflective practice and the impact that it has on staff morale. Ultimately, that will impact on patient safety. I know that the Secretary of State shares my concerns, and I ask him to tell the House what he is going to do about it.
ParlaMint-GB_2018-02-06-commons.u83	My right hon. Friend the Secretary of State will be addressing that in a little while. The whole issue of reflective learning is important. We should not, through this case, prevent people from being honest about the experiences that they have had.
ParlaMint-GB_2018-02-06-commons.u84	20. Energy drinks packed with caffeine have been connected to problems with children’s health. Tesco, Asda and Aldi have banned the sale of these drinks to under-16s, so will the Government do the same?
ParlaMint-GB_2018-02-06-commons.u85	We are becoming increasingly conscious of drinks with additional unnatural stimulants and their impact on people’s health generally, but obviously that becomes more acute with children’s health, so we will look more closely at it. I am glad that the hon. Gentleman has highlighted the initiatives that have been taken by individual retailers, because it is up to them to implement good practice.
ParlaMint-GB_2018-02-06-commons.u86	Does my hon. Friend agree that the best way to achieve strong health and good mental health for children is at the very earliest stages and through forming a strong attachment between that child and their parent in the first 1,001 days from conception? If so, why is there not more in the mental health Green Paper about perinatal mental health?
ParlaMint-GB_2018-02-06-commons.u87	The Green Paper very much focuses on what we are doing in schools, but my hon. Friend is absolutely right. He highlights the earliest of early intervention, and one reason why we are investing so much more in perinatal mental health is to ensure that the bonds between mother and baby are as strong as they can possibly be.
ParlaMint-GB_2018-02-06-commons.u88	Following the question from my hon. Friend the Member for Blaenau Gwent (Nick Smith) and the Minister’s answer, may I revisit the issue of energy drinks? She might know that a 500 ml can of energy drink contains 12 teaspoons of sugar and the same amount of caffeine as a double espresso, yet energy drinks are being sold for as little as 25p to children as young as 10, and around one in three young people say they regularly consume them. Given the health risks associated with energy drinks, will she tell me more about what steps she and her Department are taking to reduce energy drink sales to and consumption by children?
ParlaMint-GB_2018-02-06-commons.u89	The hon. Lady will know that action against sugar is very much part of the childhood obesity plan that the Under-Secretary of State for Health, my hon. Friend the Member for Winchester (Steve Brine), is taking forward, but there is a lot more we can do to address the concerns about caffeine, which I know is high on his “to do” list. We will no doubt have more exchanges on this subject in due course.
ParlaMint-GB_2018-02-06-commons.u90	7. What progress his Department has made on implementing the maternity transformation programme.
ParlaMint-GB_2018-02-06-commons.u91	Our ambition was to halve the number of maternal deaths, neonatal deaths, neonatal injuries and stillbirths by 2030, but because of the progress we have made with our maternity safety programme, we have brought that forward to 2025.
ParlaMint-GB_2018-02-06-commons.u92	I am glad to hear that progress is being made. The World Breastfeeding Trends Initiative’s 2016 report highlighted several gaps in access to breastfeeding support, including deficiencies in clinical training and a lack of integration between the NHS and voluntary sector services. What can be done through the maternity transformation programme to ensure that women can access, and health professionals can provide, the best-quality infant feeding advice right across the country?
ParlaMint-GB_2018-02-06-commons.u93	The hon. Lady is absolutely right to highlight that area. It is one of six high-impact areas we are focusing on throughout the country. We are making progress, but we know we could do a lot better.
ParlaMint-GB_2018-02-06-commons.u94	9. If he will hold discussions with the Chancellor of the Exchequer on the VAT status of NHS trusts.
ParlaMint-GB_2018-02-06-commons.u95	There are no plans to hold discussions with the Chancellor of the Exchequer on the VAT status of NHS trusts.
ParlaMint-GB_2018-02-06-commons.u96	I am grateful for that reply, although I suggest it ought to be reconsidered. NHS trusts desperate to avoid financial difficulties appear to have found a new magic money tree: setting up wholly owned subsidiaries to avoid paying substantial amounts of tax to the Treasury. Rather than encouraging this tax dodging and further fragmenting the NHS, why do the Secretary of State and his friend the Chancellor not either ban this practice or agree to let them all have the VAT exemptions?
ParlaMint-GB_2018-02-06-commons.u97	The Department wrote to all NHS and foundation trusts in September 2017 to remind them that tax avoidance schemes should not be entered into in any circumstances, but the hon. Lady makes a slightly strange point. She seems to be arguing that NHS hospitals are, in essence, paying too much tax to the Treasury, rather than having that money within the NHS. These subsidiaries are 100% owned by trusts themselves.
ParlaMint-GB_2018-02-06-commons.u98	The Government have already legislated for but not implemented a proposal to introduce a £95,000 limit on exit payments for public servants in the NHS. Would it not be sensible, in the meantime, to charge NHS trusts VAT on any exit payments in excess of £95,000 to deter this waste of public resources?
ParlaMint-GB_2018-02-06-commons.u99	I admire how the VAT element of the original question was brought into a discussion of exit payments. As my hon. Friend will be well aware, I visited the issue of exit payments frequently as a member of the Public Accounts Committee, and I am happy to discuss it further with him.
ParlaMint-GB_2018-02-06-commons.u100	10. If he will increase funding for the Food Standards Agency’s national food crime unit.
ParlaMint-GB_2018-02-06-commons.u101	The Food Standards Agency’s national food crime unit is crucial to protecting consumers from serious criminal activity that impacts on the safety of their food and drink. I understand that the FSA is exploring options for the unit’s future funding, and a decision is expected in late spring.
ParlaMint-GB_2018-02-06-commons.u102	The FSA is answerable to the Department of Health and Social Care for food safety, but there are a lot of assurance schemes that do not really answer to anybody and which the FSA needs to be able to bring together. That is where the crime unit could do a really good job, so anything the Minister can do to get that money and get the crime unit up and running would be very good.
ParlaMint-GB_2018-02-06-commons.u103	I thank the Chair of the Environment, Food and Rural Affairs Select Committee for his advice. I know that he is keen and astute on this subject. Ensuring that food businesses meet their safety responsibilities is, of course, one of the FSA’s most important roles. It is developing a new regulatory model and actively engaging with third-party assurance scheme owners to determine how information and data can be shared and more effectively used by regulators.
ParlaMint-GB_2018-02-06-commons.u104	May I send a brief message of congratulation to the Secretary of State for his rapid response to President Trump’s remarks about the values of the NHS? As chair of the Westminster Commission on Autism, let me now ask the Secretary of State a serious question. We are about to produce a report on the fake medicine that is sold to families with an autistic child. When the report is published, in the next few days, will the Secretary of State act very quickly to stop this dreadful trade?
ParlaMint-GB_2018-02-06-commons.u105	I am not quite sure that that is altogether related to the main question.
ParlaMint-GB_2018-02-06-commons.u106	It is related to the Food Standards Agency.
ParlaMint-GB_2018-02-06-commons.u107	Possibly. Anyway, it was a worthy effort, and I will give the hon. Gentleman the benefit of the doubt. Let us now hear from the Minister.
ParlaMint-GB_2018-02-06-commons.u108	As the hon. Gentleman was so very charming to the Secretary of State, we will of course look into the issue.
ParlaMint-GB_2018-02-06-commons.u109	11. What recent progress he has made on improving the performance of hospitals in special measures.
ParlaMint-GB_2018-02-06-commons.u110	It is five years today since the landmark publication of the Francis report on the Mid Staffordshire Foundation NHS Trust. Since then the NHS has made a huge number of changes, not the least being that 34 trusts have gone into special measures and 19 have come out. I particularly congratulate the West Hertfordshire Hospitals NHS Trust on coming out of special measures in January and securing a “good” score for its caring: that was a fantastic achievement by its staff.
ParlaMint-GB_2018-02-06-commons.u111	Given that York’s local health service is in special measures, the additional funds in the Budget to deal with winter health pressures were very welcome. I am pleased to say that York NHS has already received a tranche of those funds, but the remainder of its share has not been released, although discussions with NHS Improvement are ongoing. Will the Secretary of State undertake to look into the situation, as a matter of urgency?
ParlaMint-GB_2018-02-06-commons.u112	I will happily do so.
ParlaMint-GB_2018-02-06-commons.u113	The Secretary of State will be aware of the importance of King’s College Hospital to my constituents. In 2009, it was rated “excellent” and one of the top hospitals in the country; now it is missing its A&E waiting time targets and a key cancer treatment target, there has been a fourfold increase in the number of cancelled operations, and it is in special measures. The Government must take some responsibility for that. They must not wash their hands of it. Will they step up to the plate and help King’s by, for instance, giving it the resources that it needs?
ParlaMint-GB_2018-02-06-commons.u114	Let me reassure the right hon. and learned Lady that we do not wash our hands of any trusts that go into special measures. The point of the special measures regime is to highlight where Government intervention is necessary. I know the right hon. and learned Lady will agree that a huge amount of very fine treatment happens at King’s every single day, but it is having profound issues in relation to the management of its finances and some of its waiting times, which is why we are doing everything we can to support it.
ParlaMint-GB_2018-02-06-commons.u115	With a high delayed-discharge rate of 10%, Kettering General Hospital, which is in special measures, has 60 patients on any one day who have completed their treatment and await their transfer into the community. Northamptonshire County Council has been given millions of pounds, via the better care fund, but it is simply not up to the job. What can be done in those circumstances?
ParlaMint-GB_2018-02-06-commons.u116	I am well aware of the pressures at Kettering. It is a very busy hospital, and it has undergone a number of changes of management. However, I can reassure my hon. Friend that a big improvement package is there to support it and that we want to take it out of special measures as soon as possible.
