ParlaMint-GB_2018-07-17-commons.u1	1. What steps he is taking to support growth in the offshore wind sector.
ParlaMint-GB_2018-07-17-commons.u16	I can only refer to the comments of my right hon. Friend the Secretary of State. We want to provide a balanced, secure energy supply that keeps bills down for consumers. That is why we will be investing in nuclear. We have invested in many forms of renewable energy. In fact, we are now leading many parts of the world in that investment, and we will continue to do so.
ParlaMint-GB_2018-07-17-commons.u17	Solar PV installations this year will be running at just 2% of their peak rate in 2011. This is certainly due to the downgrading and forthcoming closure of the FIT scheme in March 2019. As the Minister has mentioned, a consultation on FITs has now been promised for a year. It was supposed to have been published by this recess; now it is not. Why is the Minister fiddling about the future of FITs while the solar house burns down?
ParlaMint-GB_2018-07-17-commons.u18	Such alliteration, despite such late nights. The hon. Gentleman will know that we have been really successful in pulling forward a huge amount of solar. In fact, solar has contributed enormously to the energy mix over the past few days, as the hon. Gentleman will know. Much of it is not recorded because it sits behind the meter. However, I acknowledge his point. We intend to bring forward a scheme that works, that does not put up bills for consumers and that acknowledges that much of our renewable future will be subsidy-free.
ParlaMint-GB_2018-07-17-commons.u19	3. What progress he has made on planned consultations on (a) employment status, (b) agency workers and (c) enforcement of employment rights as a result of the recommendations of the Taylor review of modern working practices.
ParlaMint-GB_2018-07-17-commons.u20	15. What progress he has made on planned consultations on (a) employment status, (b) agency workers and (c) enforcement of employment rights as a result of the recommendations of the Taylor review of modern working practices.
ParlaMint-GB_2018-07-17-commons.u21	In the Government’s response to the review, we committed to take forward recommendations to improve clarity on employment status, boost protections for agency workers and increase state enforcement of basic rights for vulnerable workers. Consultations finished last month, and we have had more than 420 responses. I give huge thanks to all stakeholders who contributed; we will be responding very shortly.
ParlaMint-GB_2018-07-17-commons.u22	Insecure work weakens our economy. Last week the Office for National Statistics reported falls in manufacturing and construction output. The past few weeks have been dominated by Ministers worrying about their jobs. When will the Government have a functioning industrial strategy that worries about my constituents’ jobs?
ParlaMint-GB_2018-07-17-commons.u23	I am sure the hon. Gentleman and his constituents will welcome today’s news that we have record employment in the British economy. We totally agree with him that the future of work is good work, which is why we commissioned the Taylor review and want to deal with the challenges of the gig economy. I hope that we will get cross-party support for those vital protections for his constituents and for mine.
ParlaMint-GB_2018-07-17-commons.u24	Rather than simplify employment law, the Taylor review has recommended introducing yet another category of workers, so we will have three tiers with different employment protections. The EU directive on transparent and predictable working that is currently being considered provides an EU-wide definition of workers, clarity and transparency, and the right to a written statement of terms and conditions on day one of employment. Will the Minister confirm that the Government will support the directive, so that it is adopted before 29 March next year?
ParlaMint-GB_2018-07-17-commons.u25	Again, I thank all respondents to the consultation, including many high-quality responses from the unions. We will respond to the consultation in due course.
ParlaMint-GB_2018-07-17-commons.u26	One in six workers in our economy is now self-employed. Some are bogusly self-employed—not entitled to the basic protections that we should all expect when we go out to work every day. Matthew Taylor’s review into good work was published more than a year ago. When are the Government going to respond and bring forward legislation to end this abuse?
ParlaMint-GB_2018-07-17-commons.u27	The hon. Lady, as always, makes a powerful point. We are taking action by prosecuting companies that are not paying the national minimum wage and we are ensuring that those basic rights are enforced. We want to get this right because this legislation will have to last not just for six months or a year, but for many years as our economy develops.
ParlaMint-GB_2018-07-17-commons.u28	I am sure that the whole House will join me in wishing my hon. Friend the Member for North West Durham (Laura Pidcock) all the best during her maternity leave. As we know, the Taylor review failed to offer much protection for those in the gig economy who are pregnant. The Government’s earlier Deane review on self-employment made recommendations on equalising maternity allowance, but that was two and a half years ago. Do the Government intend to implement those recommendations?
ParlaMint-GB_2018-07-17-commons.u29	I welcome the hon. Gentleman to his position. I was around his constituency on Saturday helping to launch the RSS Sir David Attenborough—what a fine place he represents. He is absolutely right to focus on these basic maternity protections. This Government are continuing to improve paternity and maternity rights. We want to get that right and that will be part of our response.
ParlaMint-GB_2018-07-17-commons.u30	4. What steps he is taking to support the commercialisation of universities’ research.
ParlaMint-GB_2018-07-17-commons.u31	We want the UK to be the place where innovators, researchers and entrepreneurs turn ideas into reality. Our universities have a strong part to play within this, alongside business. That is why we are funding, through United Kingdom Research and Innovation, support for research collaborations between universities and business. We also have the industrial strategy challenge fund, as well as higher education innovation funding and our Connecting Capability funding. All of those will help universities work together with business.
ParlaMint-GB_2018-07-17-commons.u32	The research partnership that exists between the University of Tokyo and Imperial College London is an excellent example of how the UK can benefit from sharing innovation and technology. What more will my hon. Friend do to ensure that we continue to strengthen academic networks and communities post Brexit?
ParlaMint-GB_2018-07-17-commons.u33	My hon. Friend makes a very important point. Our research and innovation collaboration is important in what we do with the EU, but also globally in what we do around the world. That is why UKRI has established a new £110 million fund to explore and develop international partnerships with leading science and innovation regions. We will also bring forward an international science strategy in the autumn.
ParlaMint-GB_2018-07-17-commons.u34	The Minister knows that many people working in our universities—brilliant scientists and innovators—are not on gold-plated pensions and do not have inherited wealth, like some of his hon. Friends. Will he look at universities in the United States, such as Cornell University, which have different ways of paying and incentivising research on those campuses?
ParlaMint-GB_2018-07-17-commons.u35	Just focusing on the substance of the hon. Gentleman’s question—[Interruption.] The reason behind UK Research and Innovation, which brings together all the research agencies in the UK, is that, for the first time, we have a strategic brain to direct UK research so that we can allow innovation and ingenuity to flourish in our universities. That is the best way to create returns that benefit the economy but also the best minds in our country.
ParlaMint-GB_2018-07-17-commons.u36	I am sure that the hon. Member for Huddersfield (Mr Sheerman) did not bellow from a sedentary position like that when, as I referenced recently, he served with great distinction as a local councillor in the 1970s.
ParlaMint-GB_2018-07-17-commons.u37	I have one of the foremost medical research centres on the border of my constituency at Queen’s University Belfast. Will the Minister outline what grants are available to enhance facilities in these world-class research centres?
ParlaMint-GB_2018-07-17-commons.u38	The hon. Gentleman makes a good point. I am particularly interested in the research that Queen’s University Belfast is doing, particularly around areas of cyber-security. I look forward to visiting it in due course. Obviously, UKRI deals with all of the UK and that university will benefit from grants from UKRI too.
ParlaMint-GB_2018-07-17-commons.u39	5. What recent discussions he has had with trade union representatives on the future of the British motor sector.
ParlaMint-GB_2018-07-17-commons.u40	On 25 June, I met Unite the union to discuss its views on how Government can best support the UK automotive sector. I met Tony Burke and representatives from the Jaguar Land Rover, Toyota and GKN unions. The Secretary of State and I also speak to the unions regularly through their membership of the Automotive Council.
ParlaMint-GB_2018-07-17-commons.u41	I thank the Minister for having that meeting, because under Conservative, Labour and even Lib Dem Ministers, Britain rebuilt its motor industry by working closely with industry and the unions. Unfortunately, more recently, ill-considered lurches in policy by the Department for Transport, which are less like the prosperity agenda and the industrial strategy and more like Soviet 10-year plans, are creating deep uncertainty, especially for the diesel sector, where Britain is a world leader. What will the Minister now be doing with unions and companies to get our motor industry policy, across Government, back on track?
ParlaMint-GB_2018-07-17-commons.u42	The Government’s “Road to Zero” strategy, which was published last week, made it clear that there is a continuing role for clean diesel vehicles as we reduce carbon dioxide emissions from UK road transport. It has been generally welcomed by the automotive industry.
ParlaMint-GB_2018-07-17-commons.u43	We have seen tremendous investment in the motor industry over the years, not least in Toyota in Derbyshire. What are the Government doing to encourage more investment?
ParlaMint-GB_2018-07-17-commons.u44	My right hon. Friend will be very aware of the number of meetings we have with the automotive industry and of how closely we are working with it on the sector deal. The Automotive Council met only in the past couple of weeks, and that was one of the top things on the agenda for discussion.
ParlaMint-GB_2018-07-17-commons.u45	Some 53% of our exports rely on Europe. What are you doing to protect that market for us?
ParlaMint-GB_2018-07-17-commons.u46	I am doing absolutely nothing on the matter.
ParlaMint-GB_2018-07-17-commons.u47	I hope the hon. Gentleman has read the Chequers agreement and the White Paper. I will be very happy to forward him a copy. It explains how the views and interests of the motor industry are central to how the sector works throughout all countries in the European Union, including us. We will continue in a friction-free way that is very much to the advantage of the automotive industry.
ParlaMint-GB_2018-07-17-commons.u48	The success of Jaguar Land Rover and the Jaguar plant in my constituency has transformed the lives of thousands in an area of high unemployment. Now JLR is facing the twin challenge of the transition from diesel on the one hand and the threat of Brexit on the other. Does the Minister agree that wide-eyed Brexiteers appear to believe that we can crash out of the European Union with no consequences for jobs, that they are wrong and they are letting down British workers, British industry and Britain?
ParlaMint-GB_2018-07-17-commons.u49	I hope the hon. Gentleman does not think my eyes are too wide. Despite your efforts last week, Mr Speaker, there seems to be a shortage of Members on both sides of the Chamber who have actually read the White Paper. I would be very happy to give one to him.
ParlaMint-GB_2018-07-17-commons.u50	Moving to electric vehicles should be transformative for our country and our £77 billion car sector, creating new markets and jobs in manufacturing, services, the supply chain and battery recycling. What are the Government doing? Their Faraday challenge does not cover manufacturing or skills, they have ditched renewable energy investment, delayed the £400 million investment in charging infrastructure and allowed the takeover of GKN’s world-leading battery technology, and yesterday they voted for a customs plan that will sever automotive supply chains, putting more than 800,000 jobs at risk. Is it not the Government’s role to help create high-skilled, high-productivity jobs, not destroy them?
ParlaMint-GB_2018-07-17-commons.u51	I totally agree with the hon. Lady: it is the Government’s role to do exactly that. That is why we have the Faraday battery challenge, which covers skills, and why the Government are putting so much effort into battery technology and clean technology for this country. I am very proud of that. I have seen skills in the automotive industry when I have visited car factories and the schools around them. The number of apprenticeships shows that the Government are totally committed to skills. We have a very bright future with batteries.
ParlaMint-GB_2018-07-17-commons.u52	6. What steps he is taking to ensure that low-paid workers are remunerated appropriately.
ParlaMint-GB_2018-07-17-commons.u53	11. What steps he is taking to ensure that low-paid workers are remunerated appropriately.
ParlaMint-GB_2018-07-17-commons.u54	22. What steps he is taking to ensure that low-paid workers are remunerated appropriately.
ParlaMint-GB_2018-07-17-commons.u55	There used to be those who said it is not possible to have protection for minimum-wage workers and lots of jobs. How wrong they are! Today, thanks to a Conservative Government since 2010, we have record employment, and a full-time worker on the minimum wage is now £3,800 better off thanks to the wage legislation we passed and changes to the income tax personal allowance. Since 2015, we have doubled the budget for enforcing the national minimum wage, and last year we identified a record 15.6 million workers who were not being paid properly for low-paid work.
ParlaMint-GB_2018-07-17-commons.u56	Will my right hon. Friend encourage HMRC to investigate proactively employers who are systematically breaching national minimum wage legislation, instead of expecting each worker individually to complain and produce detailed evidence?
ParlaMint-GB_2018-07-17-commons.u57	That is absolutely right. Any employer who is not paying the national minimum wage and is breaching the law deserves to be found out and taken to task. That is why HMRC is conducting proactive risk-based analyses, particularly in sectors or areas where there is a high-risk of workers not being paid. In 2016-17, HMRC proactively investigated over 1,400 cases, in which 68,000 workers were being illegally underpaid. That is absolutely outrageous, and penalties have been issued. The work will continue: employers must pay the national minimum and living wage.
ParlaMint-GB_2018-07-17-commons.u58	I thank the Minister for her answer. She highlights that a number of employers are not paying the minimum wage, so what support do the Government intend to give small employers to help ensure that they can pay their employees a fair wage?
ParlaMint-GB_2018-07-17-commons.u59	That is an excellent point, and it is quite right that small employers who may struggle with some of this are encouraged to do so. We have taken up to £3,000 off their national insurance contributions bill through the employment allowance. We have cut corporation tax from 28% in 2010 to 19% today, and we reduced business rates to the tune of £2.3 billion in the 2017 Budget. All that is going into small employers’ cash flows, so they can pay their workers what they deserve.
ParlaMint-GB_2018-07-17-commons.u60	The latest figures show that weekly wages in Mansfield are notably—several hundred pounds a week—lower than the national average. Projects such as the Heathrow logistics hub could provide huge opportunities for my constituents, but what support are the Government offering to help low-wage areas such as Mansfield and Warsop attract such high-skill and well-paid jobs?
ParlaMint-GB_2018-07-17-commons.u61	I commend my hon. Friend for fighting tirelessly for his constituents. I basically reassure him that, through the industrial strategy—it, of course, sets out our long-term plan to boost productivity and earning power across the country—we are supporting the development of local industrial strategies to drive up productivity, because productivity increases are what drive pay increases.
ParlaMint-GB_2018-07-17-commons.u62	Given the Court of Appeal’s decision last Friday, will the Government now urgently bring forward legislation to end the uncertainty and to enshrine the right of all workers on all shifts to the national minimum wage, including for careworkers’ sleep-ins?
ParlaMint-GB_2018-07-17-commons.u63	The hon. Lady makes a powerful point. I know from my own constituents the difficulty that the original decision has provided both for employers and for workers. I am afraid that I cannot answer her question from the Dispatch Box, but I will take it away and write to her.
ParlaMint-GB_2018-07-17-commons.u64	Not only is it true that the number of people on zero-hours contracts is rising at a very high rate, but the Government do not seem to think that it is anything to do with them. There are close on 1 million people on zero-hours contracts—there are 2,000 or 3,000 on one pit site in Shirebrook near Mansfield in my area—and the Government sit idly by. It is only when they talk about the golden future for workers and get stuck in with getting rid of zero-hours contracts that we will believe a word they say.
ParlaMint-GB_2018-07-17-commons.u65	I am afraid the hon. Gentleman, despite the rhetoric, is just wrong. I have visited some of the pit areas, and one of the saddest things I ever saw was a former pit engineer who, because of the appalling transport links left as a terrible legacy to the pit areas, was unable to get out of the area and find work. [Interruption.] If he would just listen for one second, he would know that many people on zero-hours contracts actually choose that level of flexibility. [Interruption.] Well, they do, and the hon. Member for Newcastle upon Tyne Central (Chi Onwurah) should talk to her constituents and find out. However, he is absolutely right that the thing we need to do—[Interruption.] Blimey, you must be hell to live with. [Interruption.] He must be hell to live with; not you, Mr Speaker, clearly. The hon. Gentleman must be hell to live with. He will know that this Government are determined to drive up wages and standards for working people, because we, not the north London intelligentsia, are the party of working people.
ParlaMint-GB_2018-07-17-commons.u66	The lowest-paid workers are young workers, who are not entitled even to the Government’s pretendy living wage. A 17-year-old is entitled to £3.63 an hour less than a 25-year-old starting on the same day in the same job. When will this Government end the scandal of state-sponsored age discrimination?
ParlaMint-GB_2018-07-17-commons.u67	My understanding is that there have always been differentials for different age groups. We will continue to review this because we are the party that nationally—right across the UK—wants to make sure that productivity and wages increase, rather than using the rhetoric we hear from other Members.
ParlaMint-GB_2018-07-17-commons.u68	7. What steps his Department has taken to tackle the challenges set out in the industrial strategy.
ParlaMint-GB_2018-07-17-commons.u69	13. What steps his Department has taken to tackle the challenges set out in the industrial strategy.
ParlaMint-GB_2018-07-17-commons.u70	Blimey, Mr Speaker, I am getting through them today As my right hon. Friend the Secretary of State laid out at the northern powerhouse business summit, the industrial strategy is encouraging innovation across the UK, developing those high-quality jobs and wages we all campaign for. Sector deals are about building long-term partnerships and businesses, and the grand challenges in areas such as clean growth will equip the UK to seize opportunities and be a world leader in the industries of the future.
ParlaMint-GB_2018-07-17-commons.u71	One of the biggest challenges we face is the STEM skills gap, something that I repeatedly mention in this place, given that Wiltshire is a hub of engineering design and technology. What work is my right hon. Friend doing with the Department for Education to ensure that we are developing the skills needed by businesses?
ParlaMint-GB_2018-07-17-commons.u72	I thank my hon. Friend and neighbour for the work that she has successfully done in her constituency promoting the importance of STEM skills. We are working with the Department for Education to grow STEM skills in the UK through initiatives such as T-levels, by investing more than £400 million, and I am particularly keen that that work focuses on harnessing the huge potential of women, a group who are very under-represented in the sector. That is why initiatives such as POWERful Women are so important.
ParlaMint-GB_2018-07-17-commons.u73	The Government’s commitment to creating a globally competitive technical education system must be applauded, and I hope that they will draw on best practice from establishments and institutions in my constituency, such as York College and Askham Bryan College. Can the Minister update me on discussions she is having directly with businesses about the creation of new institutes of technology, and will she consider rolling them out as quickly as possible?
ParlaMint-GB_2018-07-17-commons.u74	My hon. Friend is right: these have to be a collaboration between the Government, business and local decision makers. We will announce in the autumn which institutions will make up the country-wide network, supported by £170 million of funding for the institutes of technology. As we set out in May, the first pupils will sit the first of the new T-levels in September 2020.
ParlaMint-GB_2018-07-17-commons.u75	One of the real challenges for the Government’s industrial strategy is how to ensure that investment is rolled out across all the regions and nations of the UK. How, practically, will the industrial strategy ensure that that happens—in particular, in regions that have failed to get the investment they deserve such as the east midlands?
ParlaMint-GB_2018-07-17-commons.u76	That is an excellent question, and the proof of all this will be taking our grand aspirations for the UK and making them work locally. I am pleased to tell the hon. Gentleman that we have fantastic local areas, often working cross-party—I am thinking particularly of Teesside and the west midlands—[Interruption.] The east midlands; thank you. We have really engaged local leaders and decision makers in pulling that investment through and developing their own local industrial strategies.
ParlaMint-GB_2018-07-17-commons.u77	Northern Ireland has an excellent construction industry. Unfortunately, it has been difficult over the past number of years because of the lack of the Northern Ireland Assembly and decision making. Can the Minister outline what discussions have taken place between her Department and Northern Ireland to ensure that Northern Ireland benefits from the new construction sector deal?
ParlaMint-GB_2018-07-17-commons.u78	We talk regularly with representatives from Northern Ireland, which is—as the hon. Lady will know—a vital part of the UK. The sector deal that we have done with the construction sector—more than half a billion pounds set out between the Government and industry to drive up the productivity of that sector—of course applies to Northern Ireland. We look forward to seeing productivity increase across the UK.
ParlaMint-GB_2018-07-17-commons.u79	The space sector will play an important role in achieving the aims of the industrial strategy. Will my right hon. Friend the Minister join me in welcoming the agreement signed by Virgin Orbit with Spaceport Cornwall at Farnborough air show yesterday, and will she ensure that the Government continue to work with Spaceport Cornwall to make sure that we have horizontal satellite launch in this country as soon as possible?
ParlaMint-GB_2018-07-17-commons.u80	Unlike the Minister for Universities, Science, Research and Innovation, I was unable to enjoy the announcement at Farnborough yesterday, but I agree with my hon. Friend that it is a fantastic announcement. He and Cornwall County Council should celebrate it, and I look forward to visiting Cornwall on Friday, where this topic and many other industries will be addressed.
ParlaMint-GB_2018-07-17-commons.u81	One of the challenges but also opportunities for the Government’s industrial strategy is working with the devolved Administrations. Can the Minister set out what discussions she has had with the Welsh Government to ensure that the long-term industrial strategy supports industries such as Ford in Bridgend, which employs many hundreds of workers in my constituency?
ParlaMint-GB_2018-07-17-commons.u82	Again, that is an excellent point, demonstrating that we are so much stronger when we work together. We all, including my right hon. Friend the Secretary of State, speak to representatives of the devolved Administration on issues such as the auto sector deal and the nuclear sector deal, which was very much a joint effort.
ParlaMint-GB_2018-07-17-commons.u83	8. What steps the Government is taking to ensure that Scotland benefits from the modern industrial strategy.
ParlaMint-GB_2018-07-17-commons.u84	I am pleased to assure my hon. Friend that our modern industrial strategy continues to deliver strongly for Scotland. The progress in negotiations for a growth deal with Ayrshire demonstrates our commitment to regional growth. Investment in Scotland through the industrial strategy challenge fund includes last month’s £13 million for a medicines manufacturing innovation centre in Renfrewshire.
ParlaMint-GB_2018-07-17-commons.u85	I thank the Minister for that reply. In November 2017, the Secretary of State announced a review into how Scotland’s two Governments can collaborate better on business support. Will he update the House on the progress of that review, and will he reassure me that he will strive to ensure that the industrial strategy and the Scottish Government’s business support programmes complement, rather than compete, with each other?
ParlaMint-GB_2018-07-17-commons.u86	I am very pleased to reassure my hon. Friend, who works so hard on this subject, that we continue to work closely with the Scottish Government on many industrial strategy priorities, including our support for innovation and business productivity. Regarding the review, work is under way across government to determine its scope. Clearly, our partnership with the Scottish Government will be essential as that progresses.
ParlaMint-GB_2018-07-17-commons.u87	Scrapped subsidies for renewables, failure to support the oil and gas sector in its time of need, betrayal over the pledge to invest £1 billion in new carbon capture in Peterhead—now, the Government are seemingly poised to splash £15 billion more of taxpayers’ cash on outdated nuclear technology at Hitachi’s Wylfa plant. When will we get an industrial strategy that actually works for Scotland?
ParlaMint-GB_2018-07-17-commons.u88	That is not the picture of the oil and gas industry that I know following a visit to Aberdeen, where I saw more investment, more Government support and more support in the area for this Government’s industrial strategy. I am a great admirer of the hon. Gentleman normally, but I think he must have read the wrong script for this question.
ParlaMint-GB_2018-07-17-commons.u89	9. What steps he is taking to support growth in the small business sector.
ParlaMint-GB_2018-07-17-commons.u90	16. What steps he is taking to support small and medium-sized businesses in the south-west.
ParlaMint-GB_2018-07-17-commons.u91	20. What steps he is taking to support growth in the small business sector.
ParlaMint-GB_2018-07-17-commons.u92	Corporation tax rates will be cut from 19% to 17% in 2020. We have doubled the annual allowance for people investing in knowledge-intensive companies through the enterprise investment scheme, and we are investing over £26 million through Be the Business. The Government’s British Business Bank is supporting over 70,000 smaller businesses to access £4.6 billion of finance.
ParlaMint-GB_2018-07-17-commons.u93	Thirty-three jobs have been created and supported in my constituency through the small business loans platform, Funding Circle. What more can we do to encourage small businesses, particularly those that are female-owned, to look at wider ranges of finance options to help them to grow?
ParlaMint-GB_2018-07-17-commons.u94	We want to ensure that all businesses get to know how to use the finance they need, including our 1.2 million women-owned businesses. Alongside the online finance finder and the business bank’s finance guide, the business bank is working with partners to understand the representation of women in venture capital firms.
ParlaMint-GB_2018-07-17-commons.u95	Some small businesses in Cornwall have seen increases in their business rates. This is against a platform of increased online sales. What discussions is the Department having with the Treasury to ensure fairness in our taxation system?
ParlaMint-GB_2018-07-17-commons.u96	I thank my hon. Friend for that question. Some people would argue that Ministers engage with the Treasury too often on many matters, but we engage with them regularly on this matter. The Chancellor has been clear that we need to find a better way to tax the digital economy. We are making progress on that before considering the implications for the wider tax system, including business rates.
ParlaMint-GB_2018-07-17-commons.u97	Small businesses in Torbay could benefit significantly from a coastal enterprise zone, as part of a town deal for our area. What view does the Minister take of this type of arrangement?
ParlaMint-GB_2018-07-17-commons.u98	I thank my hon. Friend for all the work he has done for Torbay businesses. I understand that the Under-Secretary of State for Housing, Communities and Local Government, my hon. Friend the Member for Rossendale and Darwen (Jake Berry), who has responsibility for local growth, recently had a positive meeting with him and representatives from Torbay to discuss their proposals for local economic growth. I encourage Torbay to continue to work with local partners as it develops its plans, including the Heart of the South West local enterprise partnership, which will play a central role in the local industrial strategy for the area.
ParlaMint-GB_2018-07-17-commons.u99	Evidence to the Work and Pensions Committee on the operation of the minimum income floor for small businesses under universal credit stated that the percentage of small businesses surviving the first 15 months would fall from 70% to less than 20%. What representations has the Department had with the Department for Work and Pensions to support the growth of enterprise and small businesses?
ParlaMint-GB_2018-07-17-commons.u100	We have many and regular meetings at all levels with the Department for Work and Pensions on that subject, but the hon. Lady is right: starting small businesses is very difficult and it always has been. Some of them survive and some do not, and some go on to be extremely successful larger businesses. She is right to be concerned about the amount of support that government, local and national, give them, and I can assure her that it is at the top of our agenda.
ParlaMint-GB_2018-07-17-commons.u101	There may be a lot of discussion between the Department for Business, Energy and Industrial Strategy and the Treasury, but the reality is that there is no action on business rates. Our retail sector is closing down and 200,000 businesses have been taken to the magistrates court for non-payment, so when will we have a review of business rates and when will we see change?
ParlaMint-GB_2018-07-17-commons.u102	I think that the hon. Lady is misinformed. There has been significant help for small businesses on business rates in previous Budgets and this is being looked at all the time.
ParlaMint-GB_2018-07-17-commons.u103	The Scottish Government Budget provided £96 million to deliver the most attractive business rates package in the UK. How long do firms and entrepreneurs have to wait till the UK Government use their industrial strategy, put their money where their mouth is and follow Scotland’s lead?
ParlaMint-GB_2018-07-17-commons.u104	The UK Government really do not need to take very many lessons from Scotland on how to help businesses with business rates and every other form of business support. Actually, the working relationship between the two Governments is pretty good and we aim to provide a good business environment for all businesses on both sides of the border.
ParlaMint-GB_2018-07-17-commons.u105	10. How much funding his Department has provided to the UK science base in the last 12 months.
ParlaMint-GB_2018-07-17-commons.u106	The principal research funding route is through UK Research and Innovation, which in 2018 alone accounts for over £6 billion of investment in research and innovation. I am proud that the Conservative Government have overseen the largest increase in scientific research and development funding that we have ever seen in the UK. We are investing an additional £7 billion in R&D by 2022, as a first step in delivering our ambition of increasing the UK’s R&D spend to 2.4% of GDP.
ParlaMint-GB_2018-07-17-commons.u107	As a former shadow Science Minister, I am very conscious of the increases in funding, particularly in cash terms, but I am also acutely conscious that it is not just cash but the availability of talent that matters when it comes to science, innovation and the industrial base. Given the recent concerns around Brexit and everything else, will the Minister reassure me that the availability of highly talented scientists will still be a priority for this Government?
ParlaMint-GB_2018-07-17-commons.u108	The increase in funding is actually in real terms, but my hon. Friend is absolutely right: to succeed here, we have to be open to ideas and open to talent. He will have seen the recent relaxation in the tier 5 visa restrictions for scientists. We are also investing £900 million in UKRI’s flagship future leadership fellowships and a further £350 million for the national academies to expand their prestigious fellowships. When it comes to science, innovation and research, we are open for business.
