ParlaMint-GB_2018-12-17-commons.u1	1. What recent estimate his Department has made of the number of children in the care system.
ParlaMint-GB_2018-12-17-commons.u12	9. What steps his Department is taking to improve social mobility.
ParlaMint-GB_2018-12-17-commons.u13	17. What steps his Department is taking to improve social mobility.
ParlaMint-GB_2018-12-17-commons.u14	22. What steps his Department is taking to improve social mobility.
ParlaMint-GB_2018-12-17-commons.u15	Social mobility is one of our top priorities, and we have seen the attainment gap for disadvantaged pupils narrow at all levels, from pre-school to university entrance.
ParlaMint-GB_2018-12-17-commons.u16	My Mid Worcestershire constituency is one of many rural constituencies that received a disappointingly low ranking in the latest social mobility index. The fairer funding formula will help, but what else will the Department do to close the gap in social mobility between rural and urban areas?
ParlaMint-GB_2018-12-17-commons.u17	My hon. Friend is right to identify the issue in rural areas. It is encouraging that the number of good or outstanding schools in his constituency is up from 37 to 41 since 2010, but he is correct that rural areas can face distinct barriers. Through the opportunity areas programme, among other things, we will see what else we can learn to assist social mobility in rural areas.
ParlaMint-GB_2018-12-17-commons.u18	Recent Policy Exchange research shows that poor behaviour is holding back learning and driving teachers out of the profession. Does the Secretary of State agree that if we drive out that poor behaviour, we can give every child a chance to climb the ladder?
ParlaMint-GB_2018-12-17-commons.u19	Yes, indeed. Classrooms must be safe, calm and stimulating places for both children and teachers. The Policy Exchange report highlights what the best-performing schools do. We recently pledged £10 million to help share best practice in behaviour management, which we know is so important to teachers.
ParlaMint-GB_2018-12-17-commons.u20	Is my right hon. Friend aware of the Institute for Fiscal Studies report of 31 October, which shows that since 2010, our reforms have meant more funding going to pupils from poorer backgrounds? If so, will he join me in welcoming that report?
ParlaMint-GB_2018-12-17-commons.u21	I welcome the IFS report. We want a country with maximum opportunity for everybody, regardless of their background. The IFS report identifies how reforms since 2010 have increased funding in favour of pupils from poorer backgrounds. That is part of starting to redress the balance and ensure that there are no limits on any child’s potential.
ParlaMint-GB_2018-12-17-commons.u22	Does the Secretary of State agree that one of the best ways to give children a good start in life is for them to be brought up in a stable and loving home? What is the Department doing to strengthen family relationships in this country?
ParlaMint-GB_2018-12-17-commons.u23	I agree with my hon. Friend that strong families can help social mobility and so much else. Our reform programme, “Putting children first”, aims to ensure that vulnerable children and families receive high-quality support as soon as need is identified.
ParlaMint-GB_2018-12-17-commons.u24	As today’s shocking research from the National Education Union shows, one simple step that could help the most disadvantaged children is providing them with a healthy meal. It is more than two years since the Government committed to a healthy schools rating system. When will they act?
ParlaMint-GB_2018-12-17-commons.u25	I am glad that the hon. Lady mentions the issue of providing meals for children at school. We have done a great deal on breakfast, and we have also extended eligibility for free school meals on three different occasions—in a way the Labour party never did when it was in government—through universal infant free school meals, free meals in further education colleges and, most recently, the roll-out of universal credit.
ParlaMint-GB_2018-12-17-commons.u26	In 2015, I set up the Liverpool to Oxbridge collaborative, to encourage more students from schools in my constituency to apply to Oxford or Cambridge. Will the Secretary of State join me in congratulating the 19 students who have had interviews this month at either Oxford or Cambridge and have been part of that scheme? Will his Department work with me to encourage other areas of the country, particularly those with high levels of deprivation and poverty, to adopt similar schemes?
ParlaMint-GB_2018-12-17-commons.u27	I am delighted to do so on both counts. I commend the hon. Gentleman for his work in this area. Encouraging young people to aim higher—whether that is to Oxford, Cambridge or other universities, or into professions—is very worthwhile, and I certainly join him in what he says.
ParlaMint-GB_2018-12-17-commons.u28	25. The further education sector—famously an engine of social mobility—is now under threat from the insolvency regime that comes in next year. Karen Redhead has turned Ealing, Hammersmith and West London College around, but she would like assurances that the support mechanisms that allowed that will continue next year, so that such colleges do not just disappear down the plughole when the new rules kick in.
ParlaMint-GB_2018-12-17-commons.u29	The framework that the hon. Lady mentions is, among other things, there to protect students studying at colleges. FE colleges have a central role to play in our system, particularly as we develop the apprenticeships programme and bring in T-levels.
ParlaMint-GB_2018-12-17-commons.u30	The same NEU report shows that more children will be going hungry this winter than ever before, in the experience of most teachers. Is that helping or hindering social mobility?
ParlaMint-GB_2018-12-17-commons.u31	I am pleased to be able to confirm to the hon. Gentleman that we have record levels of employment, which have helped to contribute to record levels of household income. We have brought in the national living wage and brought in tax cuts for millions of people—all to help to support working families’ household budgets.
ParlaMint-GB_2018-12-17-commons.u32	Given that many apprentices are from disadvantaged backgrounds, will my right hon. Friend make sure that the apprenticeship levy is fit for purpose? A lot of employers are rebadging and retraining senior employees, and denying new apprentices the chance to do apprenticeships. Will he confirm that there is a £500 million overspend on the apprenticeship levy budget?
ParlaMint-GB_2018-12-17-commons.u33	I can confirm to my right hon. Friend that it is of course very important that we continue to monitor the way in which the apprenticeship levy works. We have committed to having a review, and we will work with businesses on how it works after 2020 to make sure that young people, but also older people or people who are further into their careers, can benefit from this programme.
ParlaMint-GB_2018-12-17-commons.u34	According to UCAS figures, the number of young Scots from deprived backgrounds gaining a place at university is at an all-time high—firm proof that the Scottish Government’s policy of free tuition is working. Rather than become involved in creative accounting with student loans, will the Secretary of State now follow Scotland’s lead in improving social mobility, and scrap tuition fees?
ParlaMint-GB_2018-12-17-commons.u35	The picture that the hon. Lady paints of the higher education sector in Scotland—it of course features many very high quality higher education institutions—is not the same one on admissions, I have to say, that I hear from everybody. I am pleased to be able to confirm that in England we have a record number and proportion of young people going on to university.
ParlaMint-GB_2018-12-17-commons.u36	The Social Mobility Commission’s recent survey revealed a deep unease at the gap between the rich and poor, with the public believing that the Government, employers and schools are not doing enough. The Secretary of State’s response to this urgent problem is to make £2 million available for more research, but there is still no concrete plan of action. Can he tell us exactly how much of the £2 million will be spent on the most important time for social mobility—the early years—and will it investigate the impact on the poorest children being locked out of 30 hours of free childcare?
ParlaMint-GB_2018-12-17-commons.u37	The concern that the hon. Lady mentions is a concern shared by me—I want to go further and faster on social mobility—but I am not quite sure where she gets the idea that the social mobility strategy consists of the research budget of the Social Mobility Commission. Social mobility is at the heart of everything that we do, and we see it in the narrowing of the attainment gap in nursery school, in primary school, in secondary school, in the attainment of level 2 maths and English by age 19 and in university admissions.
ParlaMint-GB_2018-12-17-commons.u38	3. What assessment he has made of progress on delivering the actions set out in the written statement of action issued in response to the 2017 inspection of services for children and young people with SEND in Lancashire.
ParlaMint-GB_2018-12-17-commons.u39	Lancashire produced a written statement of action, which Ofsted has assessed as fit for purpose. Advisers from the Department and NHS England are now monitoring and supporting the implementation of the written statement of action. Ofsted and the Care Quality Commission will revisit the area in early 2020 to assess progress.
ParlaMint-GB_2018-12-17-commons.u40	Will the Minister indicate what funding is being made available to Lancashire County Council, for example through the high needs block of the dedicated schools grant, to enable it to fix the failings outlined in the Ofsted report, given that Lancashire County Council is already £10 million overspent and it is estimated that there is an overspend in this area of half a billion nationally?
ParlaMint-GB_2018-12-17-commons.u41	Yesterday, we announced that local authorities will receive an additional £250 million of high needs funding over two years, plus £100 million of capital funding to make more places available. That will take our total spend per annum on high needs funding to over £6 billion.
ParlaMint-GB_2018-12-17-commons.u42	That answer shows that the Minister has his head in the sand. In addition to what is happening in Lancashire, new research for the Local Government Association shows that by 2020-21 there will be a potential £1.6 billion gap in funding for special educational needs and disabilities nationally. Given that there is no new money, according to what the Secretary of State said on the television at the weekend, when will the Government ensure that children with SEND are able to access the education they deserve?
ParlaMint-GB_2018-12-17-commons.u43	This is new money—£250 million plus £100 million for capital spending—from the underspend in the Department. The additional funding will help local authorities and schools with the increasing costs of provision for some of our most vulnerable children and young people. I think it is a shame that the Opposition are scaremongering in this way with the most vulnerable families in our society.
ParlaMint-GB_2018-12-17-commons.u44	4. What steps his Department is taking to raise standards in secondary schools.
ParlaMint-GB_2018-12-17-commons.u45	The dedication of teachers along with our reforms has seen the proportion of good or outstanding secondary schools increase from 64% to 75%, in terms of the pupils in them, between 2010 and 2018.
ParlaMint-GB_2018-12-17-commons.u46	Unlike the vast majority of senior schools, most of my constituency still operates a middle and upper school system. Does my right hon. Friend agree that the all-through education model is better for raising standards and preferable to pupils having to move school only five terms before they take their GCSE exams? Will he do everything in his power to assist schools in North West Leicestershire that want to transition to the 11-to-16 model?
ParlaMint-GB_2018-12-17-commons.u47	These decisions are best made at a local level in the light of the local circumstances, but to support schools that decide to change their age range, we publish online guidance for maintained schools and academies on the process involved. I am pleased that my hon. Friend is in touch with my right hon. Friend the Minister for School Standards.
ParlaMint-GB_2018-12-17-commons.u48	During the recent Education Committee inquiry, we heard from many businesses and experts about how the current UK curriculum is taking us in the wrong direction. They said that it is about regurgitating knowledge rather than equipping young people with skills—communication skills, and the ability to do projects, science practicals and so on. Does the Secretary of State agree or disagree with those people?
ParlaMint-GB_2018-12-17-commons.u49	If parents, employers and others heard us suggesting that there was some sort of conflict between knowledge and skills, they would despair. People need both when they come out of school. The development of skills is in many ways about knowing how to deploy knowledge. We believe that a knowledge-rich curriculum is incredibly important and helps to develop the skills that young people need for the world of work—and, indeed, for life.
ParlaMint-GB_2018-12-17-commons.u50	Does the Secretary of State agree that, if we are to continue to raise standards in schools, it is important that schools funding is given a high priority in next year’s spending review?
ParlaMint-GB_2018-12-17-commons.u51	Indeed. Schools, and education more broadly, are a unique case in our national life because they are all about bringing up the next generation and social mobility, and ensuring that our economy works at its full productive potential.
ParlaMint-GB_2018-12-17-commons.u52	Ofsted has proved to be one of the most effective regulators in the country, but with cuts of almost 50%, inspections are too short and inspection teams are too small, and many schools simply do not get the inspections they need—some should require improvement or be in special measures and are not; and some good schools should be outstanding but are not. Will the Secretary of State commit to putting more resource into Ofsted so that parents can have faith that their schools are delivering for their students?
ParlaMint-GB_2018-12-17-commons.u53	I have faith in the Ofsted system, which is an incredibly important part of our system alongside performance measures and so on. It is a vital part of what parents use to select their school. The new Ofsted framework, which is due to come in next year, is a further opportunity to develop that, but we want a proportionate system.
ParlaMint-GB_2018-12-17-commons.u54	5. What steps his Department is taking to increase the take-up of STEM subjects.
ParlaMint-GB_2018-12-17-commons.u55	21. What steps his Department is taking to increase the take-up of STEM subjects.
ParlaMint-GB_2018-12-17-commons.u56	The Government’s industrial strategy specifically targets STEM shortage skills. Between 2012 and 2018, entries to A-level maths rose by 25%. It is now the most popular A-level. Exam entries for GCSE computer science have increased from 2013, when it was first examined, from just over 4,000 to more than 70,000 in 2018. That is in part down to the £7.2 million funding that is going into maths hubs. A number of programmes have given STEM a real drive in schools and further education.1
ParlaMint-GB_2018-12-17-commons.u57	I recently co-hosted a STEM workshop in Crieff High School in my constituency with the support of the Royal Navy. Will my right hon. Friend meet me to talk about what education opportunities we can provide across the United Kingdom working with educational institutions, the Ministry of Defence, the Department for International Development and the National Citizen Service?
ParlaMint-GB_2018-12-17-commons.u58	Well done to Crieff High School, the NCS, DFID and the Royal Navy. There is no doubt that weaving education into life jobs and everything we do with young people is how we get results. I would be delighted to meet my hon. Friend any time.
ParlaMint-GB_2018-12-17-commons.u59	When I visit STEM businesses in my constituency, I often ask how many of their apprentices are women. They say that there are not enough coming through the pipeline, the same excuse for why they do not have female directors. What is the Minister doing to increase the take-up by women and girls of STEM subjects?
ParlaMint-GB_2018-12-17-commons.u60	My hon. Friend is right that, without doubt, gender stereotypes affect what young girls do. Those stereotypes are changing because we are making sure that we change them. For instance, since 2010 we have seen 26% more women entering STEM A-levels. However, we recognise that the take-up for physics is notably low and we have put money into the Stimulating Physics Network. I praise hon. Members who have taken part in the Year of Engineering. We know that at primary school girls and boys have similar levels of interest in STEM subjects, but that that tails off quite substantially at secondary school. We are doing research to understand that better.[Official Report, 20 December 2018, Vol. 651, c. 5MC.]
ParlaMint-GB_2018-12-17-commons.u61	Students from Coleg Gwent had great success recently at the WorldSkills UK competition, including a gold in forensic science, which is a great advert for taking up STEM subjects. Will the Minister join me in congratulating all Welsh students and colleges who did fantastically well across the board in that UK-wide competition?
ParlaMint-GB_2018-12-17-commons.u62	Yes, I am very happy to join the hon. Lady in congratulating them. Right hon. and hon. Members who do not know anything about WorldSkills should take a look—it is fantastic. I am disappointed that the Scottish Government have chosen not to put in any money, despite its success. WorldSkills is a way of showcasing exactly what young people can achieve.
ParlaMint-GB_2018-12-17-commons.u63	I was about to thank the Minister for her positive comments about STEM, however I should point out that the Scottish Government properly fund further education. STEM careers are still not attracting enough young people and we have a continuing need to tap into Europe’s talent streams. Does the Minister share my concern that limited uptake of STEM subjects, now coupled with potential restrictions on EU nationals based on salary, is a serious issue? What discussions has she had with the Home Secretary on keeping the EU talent pipeline open?
ParlaMint-GB_2018-12-17-commons.u64	It is extremely important that we use talent from wherever it comes. I reiterate that I am disappointed at the Scottish Government for refusing my invitation to put some money into WorldSkills. This is an opportunity to boost engineering careers and choices, particularly for women. I am disappointed in the Scottish Government’s attitude.
ParlaMint-GB_2018-12-17-commons.u65	6. What steps his Department is taking to increase the number of good school places in England.
ParlaMint-GB_2018-12-17-commons.u66	There are 1.9 million more pupils in good or outstanding schools compared with 2010 and we are on track to create 1 million places this decade. That compares with a loss of 100,000 places in the six years up to 2010.
ParlaMint-GB_2018-12-17-commons.u67	A badly planned new housing development is putting enormous strain on school places in my constituency, particularly primary places. We have a new school that will open in 2019, but the funding process through the Education and Skills Funding Agency has been very elongated and bureaucratic. I would be grateful if my right hon. Friend could say how the process can be simplified, so that in future we can ensure that the supply of good new school places matches the demand in areas where there is new development.
ParlaMint-GB_2018-12-17-commons.u68	I thank my hon. Friend for his support on the Lower Farm primary academy. The Department is always looking for ways to improve our processes, driving efficiency and value. That now includes the establishment of a specialist property company and the use of modern construction methods to help to build schools faster. I am very grateful to him for his helpful feedback.
ParlaMint-GB_2018-12-17-commons.u69	I am deeply concerned that schools are using isolation rooms as a form of unregistered exclusion for pupils for extended periods of time, thereby severely harming their education. What assessment has the Secretary of State made of how good the education is that is received by the children forced into using them?
ParlaMint-GB_2018-12-17-commons.u70	We think it is up to headteachers, within the rules, to set the behaviour policy in their schools. They have to set it out clearly in their behaviour policy, on which there are clear guidelines.
ParlaMint-GB_2018-12-17-commons.u71	Does my right hon. Friend welcome the rising percentage of good and outstanding places in special schools, meaning that no matter what challenges someone faces, real opportunities are on offer for all?
ParlaMint-GB_2018-12-17-commons.u72	I do welcome that. As part of yesterday’s announcement, we also said that we would take off the cap on the current round of special and alternative provision free school applications and approve the full set that met the criteria.
ParlaMint-GB_2018-12-17-commons.u73	Good school places include good school music teaching, but headteachers tell me that they cannot afford to provide high-quality music education, which flows into a lack of access to tertiary places. We have more international students studying at tertiary level than we do our domestic students in some cases. Will the Government urgently review the provision of high-quality music education, so that every child, regardless of their region, background, skin colour or religion, can study music at our wonderful universities?
ParlaMint-GB_2018-12-17-commons.u74	I agree with the hon. Lady about the essential importance of music. That is one reason why music is the second most financially supported subject in our school system, after PE. We have invested £300 million in funding for music hubs and other music programmes between 2016 and 2020.
ParlaMint-GB_2018-12-17-commons.u75	7. What plans he has to ensure that all schools monitor air quality at their sites.
ParlaMint-GB_2018-12-17-commons.u76	Local authorities are responsible for air quality and must ensure that it meets the standards set in local air quality action plans. If there was concern about the air quality in a school building, it would fall to the body responsible for the school to check that and establish what measures needed to be taken to improve air quality.
ParlaMint-GB_2018-12-17-commons.u77	Will the Minister and the Government take air pollution in our country and the effect that it has on children’s brains far more seriously? A target of doing something about air pollution in our country by 2040 is not good enough. The research evidence shows that children’s brains are being affected now and more so in homes where incomes are lower and in ethnic minority homes.
ParlaMint-GB_2018-12-17-commons.u78	The Government take the safety of pupils extremely seriously. We recently published technical guidance on air quality in schools. This takes into account the latest developments in air quality management and monitoring to support the design of new schools, and it promotes best practice and covers air quality as a matter of controlling both external and internal pollutants and setting maximum standards for levels of pollutants in classrooms.
ParlaMint-GB_2018-12-17-commons.u79	The Minister will know that a controversial housing development on the A27, one of the busiest roads in the south-east, includes plans for a new school. Local air pollution monitoring equipment does not even work. Does he not think that it is crazy to put a new school right next to such a busy road and should that not be a planning consideration when locating schools in future?
ParlaMint-GB_2018-12-17-commons.u80	My hon. Friend raises an important point; we take air quality very seriously. It is a matter for West Sussex County Council to ensure that every school that is built in that county has high-quality air for the pupils in those schools.
ParlaMint-GB_2018-12-17-commons.u81	8. What recent comparative assessment he has made of the level of education funding in England and other countries.
ParlaMint-GB_2018-12-17-commons.u82	OECD data shows that the UK spends as much per pupil on state school education as any major economy in the world, apart from the United States. However we cut the data, the UK is among the highest spenders, and that is also true when we look at expenditure as a share of GDP.
ParlaMint-GB_2018-12-17-commons.u83	I thank the Minister for that answer, and I welcome the work that he is doing to ensure that we compare well internationally, but will he continue to work with me to ensure that that funding is equitably distributed within England? I am thinking particularly of a fairer share for places such as Devon.
ParlaMint-GB_2018-12-17-commons.u84	My hon. Friend fights hard for the interests of the schools in his constituency, as I know at first hand from the schools that he has invited me to visit and the headteachers to whom he has introduced me at round-table discussions that he has organised on school funding. He will know, therefore, that under the fairer national funding formula, Devon will gain £13.6 million for its schools by 2019-20, rising from £382 million to £396 million in 2019.
ParlaMint-GB_2018-12-17-commons.u85	20. Turning to further education, funding for students aged 16 to 19 has fallen by 8% since 2010 according to the Institute for Fiscal Studies—the biggest squeeze of any part of the education budget—and the Government announced last week that the base funding rate for 16 to 19-year-olds would be frozen for the seventh year running. Does the Minister agree with the chief inspector of Ofsted, Amanda Spielman, who says that the “sustainability and quality” of further education and skills provision have been hit by the cuts to their funding?
ParlaMint-GB_2018-12-17-commons.u86	Of course, we have guaranteed the amount per pupil for post 16, but we understand the constraints of post-16 funding. There is £500 million extra a year coming into the FE sector with the introduction of T-levels.
ParlaMint-GB_2018-12-17-commons.u87	The Education Committee is conducting an inquiry into special educational needs and disability funding and provision. Does my right hon. Friend recognise that improving SEND support would go a long way to helping give schools financial breathing space, given the extent that it impinges on schools’ core budgets?
ParlaMint-GB_2018-12-17-commons.u88	My hon. Friend is absolutely right. High needs funding for children and young people with more complex SEN has risen by more than £1 billion since 2013. It is now £6 billion. As my right hon. Friend the Secretary of State announced yesterday, there will be another £125 million this year and another £125 million next year for high needs.
ParlaMint-GB_2018-12-17-commons.u89	I gently exhort the Minister of State to face the House so that we can all benefit from his mellifluous tones.
ParlaMint-GB_2018-12-17-commons.u90	The level of educational funding will be radically affected by the new treatment of public sector pensions. Can the Minister confirm that it is the Government’s policy to cover the majority of costs for schools and colleges, but not for universities, and explain the different treatment?
ParlaMint-GB_2018-12-17-commons.u91	Yes, I can confirm that.
ParlaMint-GB_2018-12-17-commons.u92	10. What steps he is taking to support the take-up of foreign languages in schools.
ParlaMint-GB_2018-12-17-commons.u93	The Government’s ambition is that 90% of pupils will study the EBacc combination of GCSEs, including a foreign language, by 2025. We offer generous financial incentives to recruit more language teachers, and we have introduced the Mandarin excellence programme and modern foreign languages—MFL—teaching hubs to increase languages take-up and to support schools to improve the quality of foreign languages teaching.
ParlaMint-GB_2018-12-17-commons.u94	I thank the Minister for his answer. One way to stimulate learning foreign languages in our schools is by using foreign exchange students. Indeed, in my school days, a charming French lady greatly stimulated my knowledge of the language. I am not a member of the governing party in Scotland. I therefore ask whether Her Majesty’s Government will do everything they can to continue using exchange students and to build on that in future.
ParlaMint-GB_2018-12-17-commons.u95	I think the whole House would digest the hon. Gentleman’s personal memoir. We are indebted to him for it.
ParlaMint-GB_2018-12-17-commons.u96	The hon. Gentleman makes an important point and I can absolutely confirm that.
ParlaMint-GB_2018-12-17-commons.u97	The Europa School in my constituency teaches languages by teaching other subjects in foreign languages. Does my right hon. Friend accept that that is proving popular with parents of all types, including from the UK, and that it is a good model to follow?
ParlaMint-GB_2018-12-17-commons.u98	I share my hon. Friend’s admiration for the Europa School. It teaches the European baccalaureate, which is of a very high standard. The continuation of that qualification will depend on discussions with the European Schools system after the UK leaves the European Union.
ParlaMint-GB_2018-12-17-commons.u99	There has been a significant contraction in the post-16 modern languages curriculum as a result of the significant funding cut. Funding has been frozen since 2013-14. Is it not time to raise the rate so that that curriculum can get back to where it should be?
ParlaMint-GB_2018-12-17-commons.u100	To make A-level foreign languages classes viable, we need more sixth formers to opt for the subjects. To raise the uptake of A-level, we first need to increase the number of pupils who take a GCSE in a foreign language, reversing the damage caused by the last Labour Government in 2004, when they downgraded the importance of languages.
ParlaMint-GB_2018-12-17-commons.u101	My right hon. Friend may recall that schools used to teach Latin to give a better understanding of English grammar. Does he agree that German, Spanish and Italian give a better understanding of grammar than French? When will we get some teachers of those languages?
ParlaMint-GB_2018-12-17-commons.u102	Of course, we need all those European languages, as well as Mandarin and other languages, to be taught in our secondary schools. Since 2010, there has been an increase from 40% of the cohort taking a GCSE in a foreign language to 46% this year. However, we need to go further, which is why we have the target of 90% studying the EBacc combination of GCSEs by 2025.
ParlaMint-GB_2018-12-17-commons.u103	Non, nee and nein are among the European words the Prime Minister has learned this week, but a generation of children is being denied the same opportunity, with nearly 20,000 fewer hours of modern languages taught in secondary schools now compared with 2010. The decline is particularly stark in German and French. Will the Minister commit today to reversing that trend, or is it only the Prime Minister who is being taught a lesson?
ParlaMint-GB_2018-12-17-commons.u104	I must say, it is rich for Opposition Members to criticise the reduction in modern foreign language teaching. It was their Government—the Labour Government, in 2004—who downgraded the importance of foreign languages, and we are trying to reverse that. We have increased the proportion of young people studying a foreign language from 40% in 2010 to 46% this year, and we want to go further.
ParlaMint-GB_2018-12-17-commons.u105	11. What progress his Department has made on strengthening the social work profession.
ParlaMint-GB_2018-12-17-commons.u106	12. What progress his Department has made on strengthening the social work profession.
ParlaMint-GB_2018-12-17-commons.u107	Social workers do an invaluable job in protecting the most vulnerable children and families in our society. We are improving initial education standards, and providing professional development at key stages throughout a social worker’s career. A new independent regulator, Social Work England, will have a strong focus on better standards, while the national assessment and accreditation system will provide additional confidence in the quality of practice.
ParlaMint-GB_2018-12-17-commons.u108	The independent regulator will help to raise still further the already high standards of practice in social work. Does the Minister agree that social workers who achieve accreditation status should also earn the right to put some initials after their names—for example, ASW, standing for “accredited social worker”?
ParlaMint-GB_2018-12-17-commons.u109	My right hon. Friend is right to point out that the national assessment and accreditation system is a critical means of embedding high standards in the social work profession. We are currently in phase 1, and more than 100 social workers have been accredited so far. We will be considering questions like my right hon. Friend’s during the national roll-out.
ParlaMint-GB_2018-12-17-commons.u110	Initiatives such as Step Up to Social Work and Frontline have done a very good job in bringing high-qualities graduates into the profession, but what is the Department doing to encourage better continuing professional development for those who are already in the workforce?
ParlaMint-GB_2018-12-17-commons.u111	Continuing professional development is crucial to high-quality social work. The Department funds it through the assessed and supported year in employment for new social workers, and an aspiring practice leaders programme. This autumn we launched a programme for more than 1,000 people moving into supervisory roles.
ParlaMint-GB_2018-12-17-commons.u112	The Secretary of State said that early help services delivered by social workers were vital. What assessment has he made of the proposals to abolish 90 social work jobs in Derbyshire—where the number of children in care has risen by 50% in the last five years—and to transfer the early help service to schools?
ParlaMint-GB_2018-12-17-commons.u113	In the Budget we announced a further £410 million for local authorities to invest in adults’ and children’s social care services in 2019-20. We also announced £84 million to scale up good practice from, for instance, Leeds, Hertfordshire and North Yorkshire to 20 other local authorities. We hope that places such as Derbyshire will look at those models and scale up that good practice.
ParlaMint-GB_2018-12-17-commons.u114	I know that the Minister will want to join me in congratulating Frontline not just on bringing 1,000 people into the profession, but on elevating the status of social work. Does he recognise, however, that notwithstanding the additional investment to which he has just referred, unless we deal effectively with the funding crisis facing children’s social services, we will not be able to keep and promote those people who do such wonderful work in keeping children and young people safe and well?
ParlaMint-GB_2018-12-17-commons.u115	The hon. Gentleman has made an important point about funding. We are working with the sector, and with the Local Government Association, to ensure that we are in a good place for the spending review.
ParlaMint-GB_2018-12-17-commons.u116	13. What recent assessment he has made of the financial effect on students in higher education of the current cost of living.
ParlaMint-GB_2018-12-17-commons.u117	It is good to be back at the Dispatch Box The most recent assessment of the living costs of English-domiciled full-time and part-time undergraduates was the 2014-15 student income and expenditure survey, which found that the average living costs of full-time undergraduates were about £7,000.
ParlaMint-GB_2018-12-17-commons.u118	According to a recent report in the Huffington Post, the living costs of students in Manchester have rocketed by 37% in the last 10 years. Cost should not be a barrier to accessing the country’s best universities, such as the University of Manchester. What is the Minister doing to encourage universities to keep students’ costs affordable?
ParlaMint-GB_2018-12-17-commons.u119	Students who started their courses in the current academic year have had access to the highest ever funding levels to support their living costs. We now have a system of support that targets those from the lowest-income families, who need it the most. A record number of 18-year-olds from disadvantaged backgrounds went to university this year, 68% more than in 2009.[Official Report, 20 December 2018, Vol. 651, c. 6MC.]
ParlaMint-GB_2018-12-17-commons.u120	As a fellow historian, I warmly congratulate the Minister on his appointment, although I am afraid that he arrives to a perfect storm for students, battered by high tuition fees and extortionate interest, with evidence now piling up from freedom of information requests—the latest in The Huffington Post report that my hon. Friend the Member for Manchester, Gorton (Afzal Khan) has just referred to—that many are unable to cope with spiralling accommodation costs in London and other cities. Yet recent questions I put to the Department on what it is doing about this got the answer that it was not a Government issue. On the day we are told that the London Business School head gets a half a million pound a year package, is it not appalling that students at his and other HE institutions are being brushed off like this? Will the Minister make this a priority for his in-tray?
ParlaMint-GB_2018-12-17-commons.u121	The hon. Gentleman and I have a mutual interest in history, particularly the reign of Henry VII, and I hope that we can continue to be civil in our conversations on HE funding, but I reiterate on the loan package that we have seen not only a 10.3% increase compared with the previous grant system in 2016-17 but in November a further 2.8% increase, which means there is currently a maximum loan of £8,944. On accommodation costs, I am interested in looking in particular at the private rented sector. We have been working with the British Property Federation to develop advice on protocols that will encourage collaborative working between universities and private providers. I do want to go further and I hope that we can work together to look at this issue.
ParlaMint-GB_2018-12-17-commons.u122	14. What recent assessment he has made of the adequacy of the level of support for SEND learners.
ParlaMint-GB_2018-12-17-commons.u123	A programme of local area inspections is under way to ensure that the SEND reforms are being implemented effectively and weaknesses addressed. Yesterday, we announced an additional £250 million to local authorities for higher needs budgets to support those with more complex needs across this year and next. The core schools and higher needs budget will increase from almost £41 billion in 2017-18 to £43.5 billion in 2019-20.
