ParlaMint-GB_2018-03-27-commons.u1	1. What steps his Department is taking to tackle the illegal wildlife trade.
ParlaMint-GB_2018-03-27-commons.u23	I understand the hon. Gentleman’s point. We have not yet sought extra consular assistance from any other European country, and we are content with the arrangements that we have at the moment. The onus is clearly on the Russian authorities to honour their FIFA contract in full and to ensure that Scottish fans and all UK fans have a safe, enjoyable tournament.
ParlaMint-GB_2018-03-27-commons.u24	I welcome both the domestic and international unanimity on this issue. Now that the Government support the Magnitsky Act, may I encourage the Foreign Secretary to do all that he can to learn from the Americans about how they have been able to prosecute the people who were exposed by Sergei Magnitsky? The UK is the only country that has not started criminal proceedings against such people.
ParlaMint-GB_2018-03-27-commons.u25	I am grateful to the hon. Gentleman. As he knows, an amendment will be made to the Sanctions and Anti-Money Laundering Bill on Report, and work is going on across the Chamber to get that right. We hope that that will make it even easier for our law enforcement agencies to prosecute such people. They already have such powers, and it is important that they are allowed to get on with their job without political interference.
ParlaMint-GB_2018-03-27-commons.u26	Will my right hon. Friend congratulate the foreign service, the intelligence services and all those others involved in putting together this exceptional coalition? Does he agree that international institutions need strengthening against Russia’s constant infiltration? Will he take steps to examine what might be done at the UN, the World Bank and the IMF to strengthen their resources against such infiltration?
ParlaMint-GB_2018-03-27-commons.u27	I thank my right hon. Friend, who will know that we have enjoyed strong support, not just bilaterally but multilaterally, for our explanation of what happened at Salisbury. We had the NATO statement and the statements by our friends in the UN Security Council, and the EU ambassador to Russia has also been recalled.
ParlaMint-GB_2018-03-27-commons.u28	21. The Prime Minister swung full support behind her position among our EU allies, which is encouraging, but how will we ever replicate that influence on foreign policy after we leave, when we will not even have a seat at the table?
ParlaMint-GB_2018-03-27-commons.u29	I am afraid I must correct the hon. Lady. The UK may be leaving the EU, but we are not leaving Europe, and we remain unconditionally committed to the security of our friends and partners. As she will know, we secured strong support from the EU both institutionally and bilaterally, but it is worth observing that not every EU member chose to withdraw—expel—diplomats. Many of them did, however, and that is a good omen for the future.
ParlaMint-GB_2018-03-27-commons.u30	Does my right hon. Friend agree that the international response to the Salisbury incident demonstrates the enduring value, reliance and quality of our NATO alliance?
ParlaMint-GB_2018-03-27-commons.u31	I do; I thank my hon. Friend for that excellent point. NATO was one of the very first off the blocks with a powerful statement, which a lot of people then echoed.
ParlaMint-GB_2018-03-27-commons.u32	I too congratulate the Government on bringing together a strong, impressive and co-ordinated international response to the Russian threat, but does it not point out the need for the Government to plug the gaps in the defence budget that have been identified? We really need to match our words with our actions.
ParlaMint-GB_2018-03-27-commons.u33	The right hon. Gentleman makes an important point, which was raised many times in last night’s debate. As he knows, the Government are one of the biggest defence spenders in the whole European area, and the second biggest player in NATO. We remain committed to spending more than 2% of our GDP on defence.
ParlaMint-GB_2018-03-27-commons.u34	Does my right hon. Friend not agree that, contrary to what some Opposition Members have just suggested, despite Brexit we will have strong foreign policy relations around the world?
ParlaMint-GB_2018-03-27-commons.u35	I am delighted that my hon. Friend has said that, because I think that the events of the past few days have vindicated that very point. The contrast is very striking between the rather tepid response to the assassination of Alexander Litvinenko in 2006 and the overwhelming global response we have seen in the past few days.
ParlaMint-GB_2018-03-27-commons.u36	The Foreign Secretary will be aware of calls across the House, including from the Scottish National party group leader, my right hon. Friend the Member for Ross, Skye and Lochaber (Ian Blackford), to tackle some of the financial measures, and that is very important. What conversations has he had with his counterparts about specific measures that might be taken?
ParlaMint-GB_2018-03-27-commons.u37	The hon. Gentleman will know that under the Criminal Finances Act 2017, which came in last April, there is provision for unexplained wealth orders to be made against those whose assets might have been corruptly or illicitly obtained, and he can be in no doubt that the National Crime Agency and the national economic crime centre are looking intently at what avenues to explore. However, I stress that this is not something for political direction or control; we in this country operate under the rule of law.
ParlaMint-GB_2018-03-27-commons.u38	At the end of an excellent debate on Russia yesterday, I am afraid that the Foreign Secretary failed to answer a single one of the dozens of questions he was asked over the course of four hours, so may I repeat just two of them? First, will the Government now initiate a case against the Russian state at the European Court of Human Rights for its clear extraterritorial violation of human rights in relation to the Salisbury attack?
ParlaMint-GB_2018-03-27-commons.u39	I believe that the right hon. Lady has legal training. We must wait for the investigation to be concluded.
ParlaMint-GB_2018-03-27-commons.u40	I do not really understand that answer, but I hope that the Foreign Secretary will give it some consideration. After all, a third of all cases currently before the Court relate to Russia, and its rulings have been used by leading opposition figures, such as Alexei Navalny, to send a powerful message about the Russian state’s abuses Let me ask a second question that the Foreign Secretary failed to answer yesterday. Given the justified criticism of Donald Trump and Jean-Claude Juncker for congratulating President Putin on his re-election, will the Government guarantee, for the sake of consistency, that they will not congratulate President Sisi of Egypt on his sham re-election when it is confirmed next week?
ParlaMint-GB_2018-03-27-commons.u41	If I may say so, I think that it is a bit much to bash America and the Trump Administration today, as much as that is the right hon. Lady’s instinctive reflex. The United States has just led the world in expelling 60 Russian spies. If she had an ounce of grace, she might concede that that was a very considerable gesture in the right direction. As for any future elections that might take place, we do not anticipate the outcome of any election.
ParlaMint-GB_2018-03-27-commons.u42	4. What recent assessment the Government have made of the effect on stability in the middle east of Iran’s ballistic missile programme.
ParlaMint-GB_2018-03-27-commons.u43	We make clear our concerns about Iran’s destabilising regional activity, ballistic missile programme and support for the Houthis in Yemen. Increased dialogue, such as my right hon. Friend the Foreign Secretary’s visit to Tehran in December and my hosting of Deputy Foreign Minister Araghchi last month, enables us to engage Iran on these challenging issues.
ParlaMint-GB_2018-03-27-commons.u44	I thank the Minister for that response. Since the nuclear deal was signed some three years ago, Iran’s hard-liners have benefited from sanctions relief and the country has tested at least 23 ballistic missiles, while human rights abuses have continued unabated and Iran continues to finance terrorist proxies and regimes in the region, including Hezbollah in Lebanon and Hamas in Gaza, so does the Minister agree that the nuclear deal has not yet curbed Iran’s regional aggression, and how does his Department intend to rectify that?
ParlaMint-GB_2018-03-27-commons.u45	The hon. Gentleman’s question neatly encapsulates the dilemma in relation to Iran and its future. On the one hand, it has adhered to the provisions of the Joint Comprehensive Plan of Action—to that extent, that issue of the development of a nuclear weapons capability is being dealt with—but on the other hand Iran’s activity still causes great concern. We do engage with Iran directly on those issues and they are known in the region. We believe there are better ways for Iran to demonstrate its relationship with the rest of the region, and we look forward to that.
ParlaMint-GB_2018-03-27-commons.u46	Iran is indeed fomenting terror in the region, with funding for the Houthis in Yemen, Hezbollah in Lebanon and Hamas in Gaza, and through propping up the Assad regime in Syria. Have Iran’s efforts in this direction increased or reduced since we re-established diplomatic relations in September 2016?
ParlaMint-GB_2018-03-27-commons.u47	What the re-establishment of diplomatic relationships has meant is that we have the ability to engage Iran directly and clearly on some of the matters my hon. Friend has stated.
ParlaMint-GB_2018-03-27-commons.u48	What recent dialogue has the Minister or officers had on human rights, particularly the position of women, in Iran?
ParlaMint-GB_2018-03-27-commons.u49	The method of engagement with Iran enables these things to be dealt with very directly, although not always publicly. In pressing the case for a better human rights relationship in Iran, both among its people and involving those from outside, our statement of beliefs is clear, and I am sure the direct engagement is always helpful.
ParlaMint-GB_2018-03-27-commons.u50	Just last month, Iran dispatched an advanced drone into Israel’s airspace from Syria, which led to a serious confrontation between Israel and Iran, and provoked a concerning escalation in tension throughout the region. Does the Minister share my concern at these events and will he join me in condemning Iran for its bellicose actions, which must be contained?
ParlaMint-GB_2018-03-27-commons.u51	Yes. One or two direct instances of activities by Iran cause great concern, bearing in mind the risk of miscalculation and confrontation in the region. Whether we are talking about the United Nations panel of experts looking at materials that have been fired from Yemen into Riyadh or the drone incursion, these things make it very difficult for Iran to establish the sort of relationships it needs with those around it, and it has to reconsider that sort of activity.
ParlaMint-GB_2018-03-27-commons.u52	The Minister will know that cyber- attacks by rogue states are on the rise. This week, Iran has been reported to have launched a cyber-attack on British universities. Does he have any comment to make about that?
ParlaMint-GB_2018-03-27-commons.u53	I do not have any direct comment on that, but clearly cyber- attacks directed against the UK, whether from external entities to states or from states, are not acceptable to the UK.
ParlaMint-GB_2018-03-27-commons.u54	5. What plans the Government have to strengthen links with the OECD after the UK leaves the EU.
ParlaMint-GB_2018-03-27-commons.u55	Never let it be said that my hon. Friend does not have his finger on the pulse of his constituents. I am sure they talk of little other than the OECD in the Stockbrokers Arms in Harpenden. This country is a founding member of the OECD, and I am pleased to confirm our strong links with it, which will continue to go from strength to strength after Brexit. I visited the OECD in Paris earlier in the month, when I reiterated our firm support for the visionary future programme.
ParlaMint-GB_2018-03-27-commons.u56	I am glad the Minister does not underestimate the sophistication and cerebral quality of the hon. Gentleman’s constituents—that is very important.
ParlaMint-GB_2018-03-27-commons.u57	Thank you, Mr Speaker. I shall take this back to the Stockbrokers Arms in Harpenden this evening. Will the Minister expand further on what the Government have been doing within the OECD to build up bilateral relationships within that multilateral organisation, to prove that this country is still at the forefront of international institutions?
ParlaMint-GB_2018-03-27-commons.u58	I should point out that I was in no way saying anything untoward about Harpenden, which is indeed the most middle-class, and probably Tory-voting, town in the whole UK. [Interruption.] Dear, oh dear. As I am sure Opposition Front Benchers will be well aware, the OECD has a crucial role to play in global regulation, enabling trade and investment and driving forward a number of important G20 initiatives. In the coming months, we expect to have a renewed commitment from the OECD and its members to continue to open global markets, particularly through the trade in services, and to explore new issues, including digital trade.
ParlaMint-GB_2018-03-27-commons.u59	The Minister will note that Hove is also middle class—it used to vote Tory, too In its last economic survey, the OECD said: “In case Brexit gets reversed by political decision…the positive impact on growth would be significant.” Does not that show that the Government’s current Brexit policy is not driving us closer to the OECD but driving us apart?
ParlaMint-GB_2018-03-27-commons.u60	I am sorry that the hon. Gentleman feels that way, but I am pleased that the OECD is an important issue in Hove, too. When I saw the secretary-general, he assured me that UK-OECD co-operation is strong and vibrant. Naturally, we talked about Brexit-related issues and the feeling was that we had an important ongoing role to play post Brexit. Above all, what struck me was just how valued the United Kingdom remains in institutions such as the OECD. We will continue to do important work on anti-corruption—for example, in south-east Asia, for which I have ministerial responsibility, we will continue to strengthen the anti-corruption initiatives.
ParlaMint-GB_2018-03-27-commons.u61	Will the Government assure me that, as we evolve our relationship with the OECD, it will not be to the detriment of our supporting the British overseas territories, particularly in relation to development?
ParlaMint-GB_2018-03-27-commons.u62	Very much so. I have been struck by the initiatives within the OECD, which is a 35-member strong organisation, with another half dozen countries wishing to join it. There is a recognition that global trade requires a sense of global protocols, and I think that that would apply to the overseas territories just as much as it does to the OECD’s existing members.
ParlaMint-GB_2018-03-27-commons.u63	6. What recent discussions he has had with the Chancellor of the Exchequer on funding for the diplomatic service after the UK leaves the EU.
ParlaMint-GB_2018-03-27-commons.u64	I am delighted that, as a result of conversations with the Chancellor of the Exchequer, I was able last week to announce the creation of 250 new diplomatic positions and 10 new sovereign posts, which means that for the first time in years this country has the most sovereign posts of any European diplomatic service, and more than France.
ParlaMint-GB_2018-03-27-commons.u65	I wonder whether the Secretary of State can tell us how many of those diplomats are going to be stationed in far-off places such as Camden. More specifically, will he tell us how many are going to be stationed in Brussels and how much these new unelected Brussels bureaucrats are going to cost the public purse?
ParlaMint-GB_2018-03-27-commons.u66	Perhaps I should have said that those 250 new diplomatic posts are in addition to the 50 extra diplomatic positions that we are putting into our European network.
ParlaMint-GB_2018-03-27-commons.u67	Is there a possibility of using some of the Brexit dividend to further expand our diplomatic posts, particularly in the Commonwealth?
ParlaMint-GB_2018-03-27-commons.u68	My hon. Friend anticipates developments that may unfold in the next couple of months. I do not wish to steal my own thunder, though, so he will have to contain his impatience on that.
ParlaMint-GB_2018-03-27-commons.u69	I call Mike Gapes.
ParlaMint-GB_2018-03-27-commons.u70	Hear, hear.
ParlaMint-GB_2018-03-27-commons.u71	Wait till you hear what I have got to say There will be no Brexit dividend. The question is how we will be able to find the resources for these posts around the world, where we will have to do more bilateral work, rather than less. Is that not the reality? Is it not a fact that the Foreign Affairs Committee’s recent report pointed out that half the 50 so-called improved posts were actually smoke and mirrors?
ParlaMint-GB_2018-03-27-commons.u72	I am afraid the hon. Gentleman is talking complete nonsense. There are 50 new posts in the European network and, in case he missed my earlier answer, 250 more globally. That allows us to have 10 whole new postings—legations, missions, embassies—around the world and will take the representation of this country to the biggest of any European power. That is a fact of which the House should be proud.
ParlaMint-GB_2018-03-27-commons.u73	I hope that those 250 posts may have been partly the product of the continued reports of the Foreign Affairs Committee in the previous Parliament about the utter paucity of resources for the Foreign and Commonwealth Office, given the task that it now faces in presenting global Britain. How much more revenue money has my right hon. Friend been given to fund those posts?
ParlaMint-GB_2018-03-27-commons.u74	I thank the Foreign Affairs Committee, in all its incarnations, for the support that it has given to the cause of more money for the Foreign Office. The figure that my hon. Friend is asking for is £90 million.
ParlaMint-GB_2018-03-27-commons.u75	8. What recent assessment he has made of the strength of the UK's diplomatic relations with Poland.
ParlaMint-GB_2018-03-27-commons.u76	British-Polish relations are excellent and go from strength to strength. We enjoy a strategic partnership that is broad and diverse. The most recent milestone in the relationship was the second UK-Poland civil society Belvedere forum. May I say, Mr Speaker, that we remember with deep respect the Polish citizen who died in Harlow after a violent attack in 2016?
ParlaMint-GB_2018-03-27-commons.u77	Will my right hon. Friend recognise the suffering of the Poles from Nazism and communism; their efforts, through the extraordinary Warsaw Jewish museums, to build relations with the Jewish community; and their prompt action in expelling Russian diplomats? Will he do everything possible to build relations between Britain and Poland and encourage our education system to recognise the Polish contribution to the United Kingdom?
ParlaMint-GB_2018-03-27-commons.u78	I wholeheartedly agree with my right hon. Friend. We all have the utmost respect for the significant contribution that the 1 million Poles living in the UK make to our society. He has been very supportive of his own local Polish community and his constituents fully recognise that. May I say on this occasion that we would like to thank the Polish Government for their full and vocal support for the United Kingdom following the attack in Salisbury?
ParlaMint-GB_2018-03-27-commons.u79	Women’s rights are human rights and they include reproductive rights. Poland already has some of the most draconian abortion laws in Europe, with illegal and potentially unsafe abortions estimated to be in the tens of thousands each year. This weekend, we saw thousands take to the streets to protest against a further crackdown. What representations have Ministers made to their Polish counterparts about these worrying laws and how are the Government promoting reproductive rights, including access to safe terminations, more widely?
ParlaMint-GB_2018-03-27-commons.u80	I recognise what the hon. Lady says but, obviously, countries across Europe have different laws on abortion. However, where they breach the sort of human rights that she is describing, we will, of course, always make representations when we meet Ministers from other countries.
ParlaMint-GB_2018-03-27-commons.u81	Will the Minister join me in recognising the contribution made by the million Poles, particularly those who served with RAF pilots and mechanics on the Spitfire in Birmingham? Will he apologise to the community for treating the rights of EU citizens in the UK as bargaining chips during the negotiations on our exit from the European Union?
ParlaMint-GB_2018-03-27-commons.u82	It is with deep regret that I must say to the hon. Gentleman that he belittles the respect that we have for the Polish community. I have a significant Polish community in my own constituency, in Melton Mowbray, and their contribution during the war remains deeply recognised and appreciated.
ParlaMint-GB_2018-03-27-commons.u83	9. What recent assessment he has made of political developments in Afghanistan.
ParlaMint-GB_2018-03-27-commons.u84	The security situation in Afghanistan remains challenging as recent terrorist attacks have highlighted. It is clear that a political and diplomatic settlement is the only way to achieve lasting, sustainable peace. We warmly welcome President Ghani’s recent offer to the Taliban of talks without preconditions. As I made clear at the UN Security Council in January, the UK’s enduring commitment to Afghanistan is unwavering.
ParlaMint-GB_2018-03-27-commons.u85	Bearing in mind the extraordinary sacrifices that our country has made over many years in terms of the lost lives of our military personnel and the billions of pounds of taxpayers’ money that have been spent trying to bring peace to this country, we are clearly very interested in ongoing political developments. What additional help is my right hon. Friend giving to the Afghanistan Government to bring about a political settlement in that country?
ParlaMint-GB_2018-03-27-commons.u86	As I have said, the Taliban cannot win militarily and therefore a political settlement is the only way to achieve that sustainable peace. Through the Prime Minister’s own special representative for Afghanistan and Pakistan, we have participated in a range of meetings. Any peace process will, inevitably, take time. One thing that I have been particularly encouraged by is the sense that a number of central Asian states—Kazakhstan, Tajikistan, and Uzbekistan—are looking to play an important part in economic development in Afghanistan. Without that economic development, there will not be the progress that we so dearly want.
ParlaMint-GB_2018-03-27-commons.u87	I very much welcome the additional money that is going to the Foreign Office and congratulate the Foreign Secretary on achieving that. Can he explain why the number of posts in Afghanistan will be falling? Will he reverse the decision that was initially set out? Why is he setting out priorities that put Chad over other places? Will he explain the prioritisation that he is intending to use for these additional missions?
ParlaMint-GB_2018-03-27-commons.u88	Obviously, when we had thousands of troops in Afghanistan there was a very, very large diplomatic presence. Yes, it is true to say that that presence has reduced somewhat, although having visited Kabul myself last October, it is very evident that we have a lot of very hard-working diplomats on the ground. The other point, as my hon. Friend will be well aware, is that inevitably, because we are ensconced in Kabul rather than having a presence in parts of Helmand region, there is perhaps less need for the overall numbers within Afghanistan. It is also important to point out that we are looking across the globe. I look particularly, in the region for which I have ministerial responsibility, at places such as the Pacific islands, where we work very closely with Australia and New Zealand to try to increase our head count, and at the Association of Southeast Asian Nations.
ParlaMint-GB_2018-03-27-commons.u89	11. What recent discussions he has had with his Turkish counterpart on that country’s military operations in Syria; and if he will make a statement.
ParlaMint-GB_2018-03-27-commons.u90	13. What recent assessment he has made of the political and security situation in Syria.
ParlaMint-GB_2018-03-27-commons.u91	I discussed Afrin with the Turkish Government last week in Ankara, and stressed the importance of humanitarian assistance and protection for civilians. We welcome the progress made against Daesh in Syria. However, violence continues across the country and the humanitarian situation is dire. None of these challenges can be sufficiently tackled without progress on a political solution under the UN Geneva process.
ParlaMint-GB_2018-03-27-commons.u92	As the Minister knows, it is often said that the Kurds “have no friends but the mountains”. Many times in this Chamber we have praised the Peshmerga and the bravery of the Syrian Kurds in taking on ISIS. Are we going to abandon them to the Turks? What more can we do?
ParlaMint-GB_2018-03-27-commons.u93	Apart from changing the aphorism to include the right hon. Lady as a friend of the Kurds as well, I would say that the situation there is complex between the various parties. We recognise the concerns that Turkey has about terrorism against its borders, but we have been very clear in stressing that there should be a de-escalation and a political settlement of the issues that affect it.
ParlaMint-GB_2018-03-27-commons.u94	Christian Aid is saying that there are now 98,000 internally displaced people in Afrin. What assessment has the Minister made of our relationship with Turkey on this matter?
ParlaMint-GB_2018-03-27-commons.u95	As I indicated, the conversations I had in Ankara last week covered humanitarian assistance and the need to be able to get in to provide that, although the situation remains one of some risk. Afrin has a number of improvised explosive devices and booby traps, which has made progress and humanitarian access difficult. I made very clear the concerns about both humanitarian assistance and the protection of civilians in any ongoing incursion in the area. We stress the need for a de-escalation as quickly as possible.
ParlaMint-GB_2018-03-27-commons.u96	I call Bambos Charalambous. [Interruption.] I thought that the hon. Gentleman wanted to ask a question. I would not want him to be afflicted by shyness and reticence.
ParlaMint-GB_2018-03-27-commons.u97	I will wait for a later question.
ParlaMint-GB_2018-03-27-commons.u98	Very well.
ParlaMint-GB_2018-03-27-commons.u99	If the objective is to roll back Daesh, then surely the Kurdish community have done that more than any other. Is not what Turkey is doing therefore counterproductive to that objective? Is that something that we should expect from a so-called NATO ally?
ParlaMint-GB_2018-03-27-commons.u100	I made the point very clearly that progress against Daesh must continue and that there should be no risk of forces being diverted in order to deal with other issues, rather than continue the pressure on Daesh. The Turkish Government are well aware of this risk but stress the importance of dealing with terrorism. There should be a different settlement with other aspects of the Kurdish community, which must be included in an overall settlement in relation to the future structure of Syria.
ParlaMint-GB_2018-03-27-commons.u101	Earlier this month the Syrian crisis entered its eighth year. Are we getting any nearer to an international solution?
ParlaMint-GB_2018-03-27-commons.u102	I wish I could say yes, but that would not be entirely correct. The efforts being made by Staffan de Mistura, whom I also spoke to over the weekend, deserve our full commendation and support, but it is a difficult process. On the ground, there is the determination of the regime and its allies to continue their attacks against both the civilian population and others in the enclaves and areas that they are attacking now. If the regime would co-operate fully with the Geneva process, which it should do, these attacks could end instantly and the political process could be changed overnight.
ParlaMint-GB_2018-03-27-commons.u103	It was simply appalling to see the victorious militias backed by Turkey rampaging around Afrin, looting shops and houses, and tearing down the city’s Kurdish cultural heritage. May I ask the Minister what that vandalism has to do with what the Foreign Secretary described as Turkey “protecting” its “legitimate interest”?
ParlaMint-GB_2018-03-27-commons.u104	I cannot speak in any way for the conduct of Turkish forces or anything of the like. As I said to the House earlier, our aims in Syria are coherent: lasting defeat of Daesh, and political transition to a Government who protect the rights of all, including Kurdish communities and all minority groups. All activity that affects the Kurdish community should remember that the ultimate destination of Syria will depend on Kurdish communities feeling part of it, without the risk of terror across its borders, and that should be considered by all.
ParlaMint-GB_2018-03-27-commons.u105	12. What recent assessment he has made of future political and diplomatic opportunities for the Commonwealth.
ParlaMint-GB_2018-03-27-commons.u106	The Commonwealth is a unique global framework. Its members are home to a third of the world’s population, with a combined GDP last year of over $10 trillion. That shows the extraordinary potential of the Commonwealth summit in London next month. We have a fantastic programme and agenda that includes the discussion of cyber, free trade and free trade deals, how to rid the world’s oceans of plastics and how to ensure that every girl in the world gets 12 years of quality education.
ParlaMint-GB_2018-03-27-commons.u107	Given that this is the first Commonwealth Heads of Government meeting in London for 30 years, will the Foreign Secretary join me in celebrating Her Majesty the Queen’s remarkable leadership of this unique global partnership? Does he agree that this is a great opportunity to promote two very good causes—Malaria No More and Vision For All—across the Commonwealth, alongside what he said about promoting trade and increasing cyber-defences?
ParlaMint-GB_2018-03-27-commons.u108	Absolutely. I pay tribute to my hon. Friend for all the work that he has done. He led a very good debate on the Commonwealth last week. He is quite right in what he says about halving the incidence of malaria, which is a further objective of the summit. He is also right to pay tribute to the absolutely central role of Her Majesty the Queen. The summit has an extraordinary turnout. Virtually every single one of the 53 Heads of State and Government is coming to London, and there is no doubt that the draw is not just our city or our country, but the chance to see the Queen herself.
ParlaMint-GB_2018-03-27-commons.u109	16. The Government of Sri Lanka continue to flout the obligations that they signed up to under a UN Human Rights Council resolution that they co-sponsored regarding truth, justice and reconciliation in that country. Given that our trade with Sri Lanka is currently conducted on preferential terms under the generalised scheme of preferences plus arrangements agreed with the European Union, will the Secretary of State make it clear to the Government of Sri Lanka that that preferential trade arrangement may not apply after we leave the European Union, and that certainly the Government will not be minded to give such preferential access to our markets unless and until Sri Lanka fulfils the obligations that it has made to its own people and the international community?
ParlaMint-GB_2018-03-27-commons.u110	We certainly value our relationship with Sri Lanka, although I perfectly understand the hon. Gentleman’s points about human rights. He can be in no doubt that we will continue to raise those points in our discussions with Sri Lanka.
ParlaMint-GB_2018-03-27-commons.u111	Will my right hon. Friend confirm that the upcoming Commonwealth summit is an opportune moment for us to demonstrate the strength and diversity of this unique family of nations?
ParlaMint-GB_2018-03-27-commons.u112	I passionately agree. [Interruption.] “Say no”, say Labour Front Benchers. That is their attitude. Is that not extraordinary? “Say no”, says the noble and learned Lady, the Baroness, whatever it is—I cannot remember what it is. [Interruption.] Nugee. What an extraordinary thing. The Commonwealth is an institution that encompasses 2.4 billion people and some of the fastest growing economies in the world. We have an unrivalled opportunity to embrace them here in London, and we are going to do it.
ParlaMint-GB_2018-03-27-commons.u113	Order. I do not want to be unkind or discourteous to the Foreign Secretary, but I say on advice, as the Clerks swivel round to me, two things. First, we do not name-call in this Chamber. Secondly—I am dealing with the matter, and the right hon. Gentleman will listen and benefit from listening—we do not address people by the titles of their spouses. The shadow Foreign Secretary has a name, and it is not Lady something. We know what her name is. It is inappropriate and frankly sexist to speak in those terms, and I am not having it in this Chamber. That is the end of the matter. No matter how senior a Member, that parlance is not legitimate. It will not be allowed, and it will be called out. I require no chuntering from a sedentary position from any occupant of the Treasury Bench. I have said what the position is, and believe me, that is the end of the matter. I hope I have made the position extremely clear to people who are not well informed about such matters.
