ParlaMint-GB_2018-09-07-lords.u1	That the House do now resolve itself into Committee.
ParlaMint-GB_2018-09-07-lords.u12	My noble friend is setting out the position of our party but the Labour Party manifesto at the last election, which both she and I supported, said: “Our fundamental belief is that the Second Chamber should be democratically elected” Can she explain how this Bill advances that cause?
ParlaMint-GB_2018-09-07-lords.u13	This Bill is about something much more immediate. We are not actually in government. It is very nice to say, “If we want to be in government, we could do something about this House”, but we are not there at the moment. The House can do something at the moment with this Bill. It is a very modest proposal and I call on all noble Lords to move with speed today and get the Bill through.
ParlaMint-GB_2018-09-07-lords.u14	My Lords, I support this regret Motion and I will support the Motion of the noble Lord, Lord Adonis, as well because it is about democracy. If the other place is reduced by 50 people, I would point out that the proportion of Ministers who are heads of the Executive’s departments will increase in proportion to the number of Back-Bench MPs. The challenge comes because Parliament is here to control the Executive. The danger in the Commons is that if there are too many Ministers who see themselves as more powerful, yet are circumscribed in what they can join in on as Ministers, that weakens parliamentary scrutiny of the Executive. Therefore, the Bill is extremely dangerous because it will reduce the poison pill—us, the hereditaries—but not incentivise further democratic reform, which I have always supported. Both regret Motions are valid. It cannot be piecemeal because once we go, there will not be further reform. The noble Lord, Lord Adonis, is therefore absolutely right, apart from his point about moving Parliaments backwards and forwards, which does not work very well with Strasbourg. Apart from that, the democratic effect is vital. If your Lordships really think that there will be further reform if you allow this Bill through, I think that is charmingly naive.
ParlaMint-GB_2018-09-07-lords.u15	My Lords, I have heard some convoluted arguments in my life but we are getting into near-nonsense territory. I ask the House to consider whether the noble Lord, Lord Wakeham, for whom the whole House has the greatest respect, can really sustain the argument—I hope he will correct me if I quote him incorrectly—that his fundamental opposition is to a principle not being sustained by this House if we wish to act by legislation, when this House has always said that it would act by self-regulation. That sounds fine but I ask the House to consider how this could be done by self-regulation. I happened to be here just in time for the 1999 Bill. At that time, it was clear that that reform had to be done by legislation. Am I right or am I wrong?
ParlaMint-GB_2018-09-07-lords.u16	My Lords, the Bill of the noble Lord, Lord Grocott, has full support from these Benches. The principle is entirely right. It is very important that we improve the reputation of this House by ending what is considered to be a farcical process of continuing to conduct hereditary by-elections. The Burns report has been referred to several times already. The Bill would actually assist the process of bringing forward Burns, which will face some problems if we do not bring an end to the hereditary by-elections because of the issue that has been raised about having a higher proportion of hereditary Peers in the House, unless we do something to stop them There is nothing with which I disagree in the regret Motion of the noble Lord, Lord Trefgarne. I recall that in 2010 the then Labour Government, in their Constitutional Reform and Governance Bill, brought forward the abolition of hereditary by-elections and received majority support in the House of Commons. One reason why the Bill of the noble Lord, Lord Grocott, should be approved is to allow the Commons to vote on the issue; if we do not approve it, the Commons will not have that say. That being said, in my view the regret Motion of the noble Lord, Lord Trefgarne, adds nothing to the debate. There is nothing with which I disagree but it takes up precious time and encourages the perception that there is a filibuster trying to prevent the Bill being approved. The filibuster itself brings the House into disrepute. That is enough said; I urge Members of the House to say no more than necessary in order to move on with the business, approve the Bill and discard what I consider to be irrelevant regret Motions.
ParlaMint-GB_2018-09-07-lords.u17	My Lords, the time for practicalities has arrived. Without wishing to incur the wrath of those who remain, those in line and those who kindly enable me to stay on, the time has come to recognise that if a strategy manifestly will not deliver, dithering must end. However, I wish to counsel against endless new appointments until the whole question of this second Chamber is satisfactorily resolved—the noble and learned Lord, Lord Browne, made this point earlier. At this stage, matters relating to Burns or any other way in which we can move on with this whole question must surely be taken. Why not today?
ParlaMint-GB_2018-09-07-lords.u18	My Lords, the Burns report is a question which is not before you. This is simply not a fatal Motion. It will not stop the progress of the Bill, on which there are mixed views among us. It merely expresses the opinion that this job ought to be done by central government. With that proposition I entirely agree, for reasons which will no doubt be extended later in the debate. The question is simply whether we can say to Her Majesty’s Government with a resounding voice—in unison, I hope—that they ought to get on with this. That will then be in their ears when they come to look again at Burns.
ParlaMint-GB_2018-09-07-lords.u19	My Lords, I have neither an interest to protect nor an axe to grind but I feel we should be clear: this is not about reducing the size of your Lordships’ House. Some may say that the hereditary principle is out of date. But surely it is the politics of envy which is outdated, not the noble principle of public service, handed down through the generations. A duty to serve in your Lordships’ House should never be regarded as an anachronism Were this Bill to be passed, there would be no going back. That would be it. We would not be ending a chapter of our history so much as turning our back on it and on the golden thread that runs through it: continuity and the stability that flows from that. Yes, injustice did accompany excessive power and the abuse of privilege in the past. But are we seriously saying that that is happening now among the 92 noble Lords who are Members of your Lordships’ House by virtue of inheriting their title, or that it would be the case if their heirs did so?
ParlaMint-GB_2018-09-07-lords.u20	My Lords, the noble Lord, Lord Shinkwin, has really raised quite a large issue for what the Bill proposes, which is a quite a small but important reform. Only by-elections would be removed, not all the hereditary Peers—I wish it were so, but that is another story. There can be no envy on our part because we will never become hereditary Peers nor will we qualify to run in a by-election. We have no capacity to be envious of what is happening. We are just troubled about the anomaly and the insult to democracy that this procedure involves. As to the noble Lord, Lord Northbrook, saying that a solemn promise was made, we have a very simple constitutional tradition: a Parliament is not bound by what a previous Parliament has done. If we had not continually revolutionised institutions by due process, we would not be where we are. We would have long ago been destroyed like the French monarchy was destroyed.
ParlaMint-GB_2018-09-07-lords.u21	My Lords, I speak as a fervent monarchist and as one who accepts a little of what my noble friend Lord Shinkwin said, but let me just remind him that if this Bill is passed, and I hope it will be, there would be two hereditary Peers: the hereditary officers of state, namely the Earl Marshal and the Lord Great Chamberlain. They will be able to remain to fulfil their ceremonial function because when 92 was decided upon it was in fact 90 plus two. The only two true hereditary Peers who are succeeded by their sons, or daughters as it may be in the future, are in fact the Lord Great Chamberlain and the Earl Marshal. For the 90, if a Peer dies, his son or daughter could indeed be elected to succeed him, but the odds against that are fairly great I believe that what the noble Lord, Lord Grocott, is proposing is sensible and reasonable and I believe that my noble friend Lord Wakeham, whom we all hold in genuine high regard, should not worry about this being incompatible with Burns. The noble Lord, Lord Burns, has made it plain that if the reforms which he and his committee advocate come to pass, this issue will have to be addressed, as will the issue of the number of Bishops because of the proportion of the new House that they would represent. By taking this modest step, which removes no one from your Lordships’ House but merely closes one means of entry to your Lordships’ House, we would be demonstrating that we are indeed absolutely dedicated to incremental reform If one looks back at the various attempts to reform your Lordships’ House, incremental reform is really the only way forward. I saw only yesterday—
ParlaMint-GB_2018-09-07-lords.u22	My Lords—
ParlaMint-GB_2018-09-07-lords.u23	My Lords—
ParlaMint-GB_2018-09-07-lords.u24	That is a double temptation. I will give way to the noble Baroness, Lady McIntosh. Oh, as she is not getting to her feet, I shall continue.
ParlaMint-GB_2018-09-07-lords.u25	I imagined that the noble Lord was sitting down and I was going to make a separate point, so will he please continue?
ParlaMint-GB_2018-09-07-lords.u26	I was just going to make one final point, and it is this. Only this morning, I was sent a cutting from the Evening Standard from November 1932. The Marquess of Salisbury was proposing major reform to your Lordships’ House. The size was to be reduced from 759 to 300, there were to be 150 hereditary Peers elected by themselves, the other 150 were to be indirectly elected by some other means and women were to be admitted for the first time. That was 1932. It was not until 1958 that women were first admitted to your Lordships’ House. What we have seen is that incremental reform has worked and wholesale reform has not. This is incremental. I hope it will command the support it deserves.
ParlaMint-GB_2018-09-07-lords.u27	My Lords, I shall briefly echo the comments made by my noble friend Lady Hayter from the Front Bench. I respectfully say to the noble Lord, Lord Trefgarne, and those who support him that it is quite difficult for some of us to understand what we are doing here. This House agreed that this Bill should have a Second Reading and that it should be committed to a Committee of the Whole House, and it has already had a substantial element of Committee scrutiny. It is really difficult to see what purpose is being served by the debate we are now having, in which the substantive issues from Second Reading are being reintroduced, other than to delay the progress of the Bill. I hope that we can bring this debate to a swift conclusion and move on with the Committee stage.
ParlaMint-GB_2018-09-07-lords.u28	Those strictures of course apply to the noble Baroness’s noble friend the noble Lord, Lord Adonis, as well, who has perfectly legitimately laid a Motion before your Lordships. I am never popular on my side of the House when I say this, but I agree with the spirit of that Motion and express some sympathy. I agree with some of the sentiments expressed, and I think we should be dealing with amendments as much as we can. I reject the charge of filibuster, particularly when it comes from those Benches that we have had to listen to for day after day filibustering on the question of Brexit I agree in principle with what my noble friend Lord Cormack says about incremental reform, but where is the incremental reform on the Liberal Democrat Benches? We introduced provision for retirement, and when I looked at the figures today I noted that despite the retirement provisions being in place for months there are still 98 Members on the Liberal Democrat Benches. They are not stampeding for the exit. There is no incremental reform there. There is no increment at all. I think that those who do not partake in the spirit of reform should be the last to lecture the House on the subject There is the question of proportion, which was referred to by my noble friend Lord Cormack. The reality has been alluded to briefly and is that the effect of this measure, if your Lordships pass it, is over time substantially to change the proportions within the House. It has been argued by others that we need to do something because, otherwise, proportions would change. If this measure is passed—I have an amendment on this matter later so I will not develop it at great length—then 20% of the Conservative Benches, 16% of the Cross Benches, 4% of the Liberal Democrats and 2% of the Labour Party would be removed. So it has a profound effect over time.
ParlaMint-GB_2018-09-07-lords.u29	My Lords, I can see where the noble Lord’s argument is going, but could he tell me at what point we would reach those figures? How many years will it take before those reductions took place?
ParlaMint-GB_2018-09-07-lords.u30	My Lords, I am not an actuary, but I know that at least 20 of the hereditary Peers on the Conservative Benches are already over 75 and a considerable number of them are over 80. I do not wish the Grim Reaper to visit any of my noble friends or indeed the noble Lords opposite, but the noble Lord knows very well that that is the position. It will happen. This would be statute, and over time that proportion will change. I have an amendment later that I hope will address that question; I hope we will get on and get to it, and I hope the noble Lord, Lord Grocott, will accept it I ask your Lordships not to accept strictures from the Opposition Benches but to guard the point of proportion. I agree that this should be a matter for the Government. I think we should also be looking at the issue of more comprehensive reform, as proposed by the noble Lord, Lord Adonis.
ParlaMint-GB_2018-09-07-lords.u31	My Lords, if I may add to what my noble friend has just said on the issue of proportion, in a smaller House of, say, 600 Members, if Burns is implemented, the proportions of the hereditaries and of the Bishops would simply revert to what they were immediately after the passage of the House of Lords Act 1999. So in a sense one could argue that the proportion of hereditaries and of Bishops has declined gradually beyond what was agreed at the time of the reform in 1999 I also support the Motion moved by my noble friend Lord Trefgarne. I believe it would be wrong of your Lordships’ House to agree to remove the hereditary by-elections, for the very simple reason that it was made very clear in 1999 that the hereditary element would remain until and unless the House was substantially reformed into some kind of more democratically elected Chamber. I have heard it said on many occasions that the retention of 92 hereditary Peers and the system of by-elections to replace them was only ever intended to be a temporary measure. That is not my recollection of what happened at the time. I remember my noble friend Lord Salisbury, as he now is, explaining to a meeting of Conservative Peers that it was quite likely that the by-elections would remain for a very long time because he thought it likely that the House would not agree to substantive reform. My noble friend’s characteristically astute judgment has proved correct. It was on this basis that a large majority of Peers decided to support the passage of the Act. It would be quite wrong to change the terms of the agreement then reached without once again seeking the opinion of all those who were disenfranchised by the House of Lords Act I also take issue with what the noble Lord, Lord Grocott, said in the debate on 11 July on the Procedure Committee report. I understand that the committee considered the proposal that Standing Orders should be amended to provide that the whole House should take part in hereditary by-elections. That is different from the change that I think the Procedure Committee should consider, which is that the three party blocs and the Cross-Bench bloc should be retained for all by-elections other than those in the list of 15 Peers who originally held office as Deputy Speakers, but that those four blocs should be opened up to life Peers of the same party. This would get rid of the charge that the Liberal Democrat and Labour Party by-elections, with as few as three electors, are absurd. I think the House should make this change It is also right that the Conservative and Cross-Bench life Peers should have a vote in the selection of a new hereditary colleague equivalent to what their hereditary colleagues have, even though the existing electorates of 30 or 40 are not so ridiculous and have provided for some quite competitive and interesting elections. Indeed, I do not think there is any logical reason for the difference in the Standing Orders adopted in 1999 between the ability of the life Peers to vote in the Deputy Speaker elections but not in the single-party bloc elections.
ParlaMint-GB_2018-09-07-lords.u32	My Lords, I am not an expert in procedure, and I have listened quite hard, but are we not in a Second Reading debate? I thought that was not acceptable.
ParlaMint-GB_2018-09-07-lords.u33	I understand the noble Lord’s point of view, but I thought it was relevant to comment on the fact that the noble Lord, Lord Grocott, had spoken about the lack of interest in the hereditary by-elections. I wanted to speak in support of my noble friend Lord Trefgarne’s regret Motion because, for the reasons that I am trying to explain, I think the by-election system has more merit than many of your Lordships often seem to think when they express an opinion. It is also a benefit to—
ParlaMint-GB_2018-09-07-lords.u34	With the greatest of respect for my noble friend, and with great embarrassment, I have to say that, as I said before, I do not think the speeches of this sort are addressing the Motion before the House.
ParlaMint-GB_2018-09-07-lords.u35	I give way.
ParlaMint-GB_2018-09-07-lords.u36	My Lords—
ParlaMint-GB_2018-09-07-lords.u37	My Lords, I am grateful to the noble Lord, Lord Grocott. I would like to add a few words in support of my noble friend Lord Trefgarne’s amendment. I believe the Government should grasp this nettle. I disagree with the noble Baroness, Lady Hayter, on this; to many others, this is not a minor matter. There was a solemn and binding commitment in 1999 that we entered into. I agree with the noble Lord, Lord Desai, that you cannot bind the next Government, but this was a hugely important matter for this House. We were requested by the noble and learned Lord the Lord Chancellor, on honour, to vote in that election. When I have discussed this with people both within the House and outside it, I am quite surprised by the reactions. In this House I have been told, “It doesn’t really matter in politics; there is no such thing as binding honour”.
ParlaMint-GB_2018-09-07-lords.u38	My Lords—
ParlaMint-GB_2018-09-07-lords.u39	May I just finish what I am saying, please? It is a very House of Commons attitude to keep on interrupting when someone is developing a theme.
ParlaMint-GB_2018-09-07-lords.u40	Oh!
ParlaMint-GB_2018-09-07-lords.u41	It is perfectly true. This never used to happen; I have been here for a day or two Outside the House, people who think I am wrong in the position that I take on this Bill agree with me that there is a huge point of principle and I am absolutely justified in the position that I am taking. The noble Lord, Lord Blunkett—
ParlaMint-GB_2018-09-07-lords.u42	I just want to correct the history that is being advanced this morning. The author of this provision, Lord Weatherill, referred to it as temporary. On 11 May 1999, the Lord Chancellor himself said, using strong words, that this would last only through the transitional House and that the transitional House would be brought to an end in the next Parliament. How does the noble Earl therefore justify his comments?
ParlaMint-GB_2018-09-07-lords.u43	Because the transitional House was not brought to an end—I am just coming to that point. The noble Lord, Lord Blunkett, said that phase 2 will be the proposals of the noble Lord, Lord Burns. That is quite an acceptable point of view, and I hope that the noble Lord will support my noble friend Lord Trefgarne and me in our amendments to relate the Bill to the Burns report: that is one of our constructive amendments. Let me make my position clear: if Burns is agreed and implemented, I have no objection to by-elections stopping, because that fulfils the commitment of 1992.
ParlaMint-GB_2018-09-07-lords.u44	Does my noble friend agree that it is important to grasp the point, which has not already been made, that there is a difference between the two Houses? The House of Commons is transitory between elections; this House continues. We may be in a different Parliament, but it is the same House of Lords and an undertaking given in this House presumably continues.
ParlaMint-GB_2018-09-07-lords.u45	I am very grateful to my noble friend Lord Elton and totally agree with what he said.
ParlaMint-GB_2018-09-07-lords.u46	My Lords, I do not think we have covered ourselves in glory over the past 45 minutes. The Commons is not sitting today, so if there is any parliamentary coverage, it will presumably focus on us and this debate. I hope that one or two contributions do not receive a wider audience, because essentially what is happening now is a filibuster on a Bill which had overwhelming support at Second Reading. It is an identical Bill to one that I introduced in the previous Parliament which, likewise, had overwhelming support on Second Reading and was filibustered out of existence in Committee. The principal supporters—organisers, indeed—of this filibuster know that there is a small minority of people opposed to the Bill in this House. That is what the world outside, if it is interested, needs to know. The Bill is simply ending by-elections. I make no apology for repeating that in one of the most recent ones, there was an electorate of three but seven candidates. There is no by-election in the world as absurd as that and yet, amazingly, a number of speakers today want us to continue that system in perpetuity. Let us make no bones about that whatsoever.
ParlaMint-GB_2018-09-07-lords.u47	First, the Bill’s sole purpose is not to end by-elections. You will get an appointed House de facto through the back door, whether you like it or not. That is the net result, and we do not want by-elections to go on in perpetuity: I want a democratically elected House.
ParlaMint-GB_2018-09-07-lords.u48	The noble Earl should simply read the title of the Bill: the clue is in the title. The Bill is the House of Lords (Hereditary Peers) (Abolition of By-Elections) Bill. That is what it does: nothing more, nothing less. If you oppose the Bill, you support the by-elections: there is no equivocation on that fact I must respond on two specific points made that are worthy of emphasis. The noble and learned Lord, Lord Brown, made a point about the assisted places scheme that the Bill addresses. It is worth putting it into figures. If you inherit a title from a hereditary Peer, you have something like a one in 211 chance—that is the number on the list of hereditary Peers able to stand in any by-election—of becoming a Member of Parliament, because this is a House of Parliament. If you are anyone else, like most of us here or the 60 million or however many people it is who are over the age of 18 in Britain, you have something like a one in 70,000 chance of becoming a Member of Parliament. That is the arithmetic, as I make it, so it is a ridiculous assisted places scheme, and all those who speak up to defend it who are hereditary Peers—I know that some are not—need to explain why they should have that massive advantage over all their fellow citizens.
ParlaMint-GB_2018-09-07-lords.u49	Can my noble friend tell the House the size of the electorate that made him, and indeed me, a Member of this House?
ParlaMint-GB_2018-09-07-lords.u50	I cannot speak for my noble friend, who has spent so much of his life with the Liberal Democrats. I am not sure whether he was a recommendation of the Liberal Democrats or of the Labour Party, but in my case it was on the basis of 60 years’ membership of the Labour Party, of which I am very proud and for which I will continue to do the job here I must deal briefly with the point made by the noble Lord, Lord Wakeham, because it needs addressing, which is that somehow we must wait until the Burns report is implemented before we act. I make the very obvious point that the cardinal argument within the Burns report is that we must reduce the size of the House, and the mechanism for doing it would be two out, one in. Since our first debate in Committee, there have been two further by-elections for hereditary Peers. Those two hereditary Peers should have been replaced by one, according to the Burns report, but no, lo and behold, there are two more here. It is essential for anyone who is sincere about wanting to implement the Burns report that we get on and pass my Bill, because it would enable us to reduce the number of hereditary Peers, not precisely arithmetically but in line with the recommendation of the Burns report The only consequence of the amendment moved by the noble Lord, Lord Trefgarne, is not to enlighten anyone; it is simply to delay further progress on the Bill. The two principal—I will not call them culprits, because I am sure they are proud of it—Peers who have relentlessly tried to filibuster the Bill are the noble Earl, Lord Caithness, and the noble Lord, Lord Trefgarne. This time, 55 of the amendments are in their names. We had a similar debate to this before our previous Committee sitting, when there was a long debate on whether to put the Bill into Committee. We are doing that again now, and presumably we will do it again whenever it is next considered in Committee. It is clearly their objective to talk the Bill out I simply say this to the two of them: I know that the overwhelming majority of people in this House want the Bill to pass. The exchange of views up to now does not at all proportionately reflect the view in the House because—I am grateful to them for this—the numerous colleagues on all sides of the House who I know support the Bill have not wanted to contribute to the filibuster. A tiny minority is thwarting the clearly expressed view of these Benches, the Liberal Democrat Benches, a large number on the Conservative Benches and the Cross Benches and, in my judgment, a majority of hereditary Peers, any number of whom have come up to me to say that they wish that the noble Lord, Lord Trefgarne, and the noble Earl, Lord Caithness, would desist from what they are doing They should know better. Between the two of them, they have had about 100 years’ membership of this House. I repeat that because I could barely believe it when I looked it up: 100 years between them. They ought to be getting the hang of the rules by now, one of which is surely that you know when it is time to call a halt. They should call a halt on this and allow the Bill to proceed, because the only effect of what they are doing at the moment is not to improve the Bill or to stop it—they know they cannot do that, they do not remotely have the numbers; every time we have had a vote on the Bill there has been a majority of about 100. They should desist. I fear we now have only two and a half hours, but we had three and a half hours when we began the discussion. I will gladly give way to the noble Earl, Lord Caithness, because every time he speaks he gives me greater confidence of my position.
ParlaMint-GB_2018-09-07-lords.u51	My Lords, I resent the fact that I have been classed as a filibusterer whose sole intention is to stop this Bill. If your Lordships add up the amount of time I have spoken for, it is comparatively little. I have put forward amendments to improve the Bill and to link it to the Burns report. We put forward amendments to widen the franchise for the by-elections, which the noble Lord, Lord Grocott, has just said we did not want to do. We have tried to improve the Bill.
ParlaMint-GB_2018-09-07-lords.u52	He has tried to improve the Bill, my Lords? All I can say is: it is the way he tells them. I hope the House will come to a conclusion on this now. If there is a Division I hope that all noble Lords who want progress will vote against it.
ParlaMint-GB_2018-09-07-lords.u53	My Lords, I have had a certain amount of support for the amendment.
ParlaMint-GB_2018-09-07-lords.u54	At end insert “but regrets that the bill does not provide for a democratic second chamber to replace the existing nominated and hereditary House of Lords; and that the bill does not provide for a democratic second chamber to meet in the north of England” Lord Adonis’s amendment not moved. Motion agreed. Clause 1: Abolition of the system of by-elections for hereditary peers Amendment 11
ParlaMint-GB_2018-09-07-lords.u55	My Lords, I have already covered much of the substance of this amendment. I beg to move.
ParlaMint-GB_2018-09-07-lords.u56	My Lords, I should inform the Committee that if Amendment 11 is agreed to, I am unable to call Amendments 17 to 33A by reason of pre-emption.
