ParlaMint-GB_2018-11-01-commons.u1	1. What steps he is taking to support tourism throughout the UK.
ParlaMint-GB_2018-11-01-commons.u24	I absolutely sympathise with my hon. Friend’s point of view. I have had discussions with Google on this very point. I think it is safe to say that we have a difference of view, but I remain optimistic that the search engines will comply with their own terms and conditions in the end.
ParlaMint-GB_2018-11-01-commons.u25	Does the Minister agree that it is also important to focus on the supply of tickets, and that we must ask artists and promoters to ensure that they work with venues to restrict the supply of tickets to sites such as Viagogo?
ParlaMint-GB_2018-11-01-commons.u26	The hon. Gentleman makes a good point. We have taken a lot of action that is resulting in an improvement in the situation and a reduction in the availability of tickets on these very questionable sites.
ParlaMint-GB_2018-11-01-commons.u27	I call Mary Robinson. Not here. I call Andrew Rosindell. Not here. What is going on? Where are our colleagues? I hope that they are well and that they will be back. I call Jack Brereton.
ParlaMint-GB_2018-11-01-commons.u28	6. What steps he is taking to support the creative industries throughout the UK.
ParlaMint-GB_2018-11-01-commons.u29	The creative industries are a great British success story. They generate £91.8 billion for our economy and are responsible for 2 million jobs, so we are committed to supporting all creative businesses. The sector deal that was published earlier this year contains £150 million of private and public sector funding to realise the potential of this great sector.
ParlaMint-GB_2018-11-01-commons.u30	I thank the Minister for her response. Will she join me in wishing the ceramics industry every success in its cultural development fund bid to establish an international ceramics centre in Stoke-on-Trent?
ParlaMint-GB_2018-11-01-commons.u31	I will certainly join my hon. Friend in wishing the consortium all the very best with its application. The ceramics sector in and around Stoke has been revitalised in recent years. As well as being important in its own right, it is important to many other industries. We have had some excellent bids for the £20 million cultural development fund, and decisions on the projects to be funded are expected early next year.
ParlaMint-GB_2018-11-01-commons.u32	What a good day it is: we have got Channel 4 for Leeds. Applause? Will the Minister look carefully at the campaign that we are running to get more people who are on the autistic spectrum into the creative industries? Quirky people are very creative; let us do more work to get them into those industries.
ParlaMint-GB_2018-11-01-commons.u33	I congratulate Leeds on its success in securing Channel 4’s new head office. The hon. Gentleman makes an excellent point. We are already working with the National Autistic Society on a programme to engage young people in coding, which will help them in the creative sector, but more can be done, and I will take his suggestion on board.
ParlaMint-GB_2018-11-01-commons.u34	In the absence of my hon. Friend the Member for Romford (Andrew Rosindell), I cannot ask the Minister about the Health and Social Care Secretary’s important speech next week about the arts and health. Instead, may I ask whether she, like me, welcomes the astonishing figures that continue to come from the British film industry thanks to the success of the film tax credit? The industry continues to make a huge contribution to our economy.
ParlaMint-GB_2018-11-01-commons.u35	I heartily agree with my right hon. Friend. London Film Week marked the launch of the British Film Institute’s excellent report on the massive value of film tax credits to the economy. A third of all global blockbuster films are made in this country, which is a fantastic success story.
ParlaMint-GB_2018-11-01-commons.u36	The Minister will also want to congratulate Glasgow on getting Channel 4’s creative hub, which is the culmination of a great campaign led by Stuart Cosgrove, and the council team of Susan Aitken, David McDonald and Colin Edgar. Will the Minister come to Glasgow to see all the brilliant things that the city can offer the creative industries?
ParlaMint-GB_2018-11-01-commons.u37	I totally agree with the hon. Lady that the news is a great success for Glasgow, and I am pleased that Channel 4 made that decision, given the huge talent and creativity in the city. I shall be glad to visit next year to see the progress with my own eyes.
ParlaMint-GB_2018-11-01-commons.u38	7. Whether he has made an assessment of the implications for grassroots football of the failure of the proposed sale of Wembley stadium.
ParlaMint-GB_2018-11-01-commons.u39	I should say at the outset—
ParlaMint-GB_2018-11-01-commons.u40	Where’s Tracey then? Where is the Sport Minister?
ParlaMint-GB_2018-11-01-commons.u41	I am about to explain. The Under-Secretary of State for Digital, Culture, Media and Sport, my hon. Friend the Member for Chatham and Aylesford (Tracey Crouch), has been visiting the United States this week for meetings, including a White House roundtable on doping in sport, and she is travelling back this morning I can tell the hon. Member for Bolton North East (Sir David Crausby) that, over the next four years, almost £100 million of public money will help to build and upgrade artificial and grass pitches, encourage greater participation and enhance coaching programmes. He will also be aware that football is benefiting from £100 million a year up to 2019 from the Premier League, and I have begun discussions about ensuring that investment remains at least at that level for the next three years.
ParlaMint-GB_2018-11-01-commons.u42	Football’s coffers are overflowing, except of course when it comes to grassroots football. The Football Association reports that one in six matches is postponed and one in three pitches is inadequate. In fairness, more money is coming in from the professional game following Government pressure, but it is nowhere near enough, and we still have only half as many 3G pitches as Germany. If we are to remain even close to the forefront of the game, we need to do much more for children’s football—
ParlaMint-GB_2018-11-01-commons.u43	Order. We just need a question. That was far too long. We need a question with a question mark. Thank you.
ParlaMint-GB_2018-11-01-commons.u44	Will the Secretary of State put even more pressure on the Premier League to dig deep in its pockets?
ParlaMint-GB_2018-11-01-commons.u45	Yes.
ParlaMint-GB_2018-11-01-commons.u46	15. At 3 o’clock on Saturday, Sporting Khalsa will be taking on the mighty Hucknall Town in Willenhall. What else can the Secretary of State do to support such grassroots football in my constituency?
ParlaMint-GB_2018-11-01-commons.u47	I am not available for selection, but there is a huge amount to be done to encourage people to participate. We have talked about facilities, but this is also about people: those who play, those who coach and those who encourage. We need to do more on all those things.
ParlaMint-GB_2018-11-01-commons.u48	Grassroots football, and football in general, will be improved by greater financial transparency, so what are the Government doing to ensure that club owners cannot sell part of a club’s assets without clearly reporting it?
ParlaMint-GB_2018-11-01-commons.u49	As the hon. Lady will know, rules already exist around the handling of money in relation to criminal activity, and it is important that we have as much transparency as possible. I will consider her specific point and, if she will forgive me, get back to her on it.
ParlaMint-GB_2018-11-01-commons.u50	What has been the impact of the reduced rent to small clubs arising from revisions to the electronic communications code? That did not happen on the Secretary of State’s watch, and it was not intended, but it has been a disaster, has it not?
ParlaMint-GB_2018-11-01-commons.u51	I cannot agree with my right hon. Friend. With the electronic communications code, we have attempted to ensure that property owners cannot prevent the roll-out of new infrastructure that is needed to ensure that this country has proper coverage for mobile and broadband, and that will have to continue. We of course want to ensure that people are properly remunerated, but they cannot hold the whole process to ransom.
ParlaMint-GB_2018-11-01-commons.u52	8. What progress his Department has made on supporting the development of small-scale digital radio multiplex services.
ParlaMint-GB_2018-11-01-commons.u53	I recognise the important role that commercial and community radio stations play in the communities they serve, and I congratulate my hon. Friend on the passage of his Broadcasting (Radio Multiplex Services) Act 2017. My Department provided funding for the successful trials of small-scale digital audio broadcasting across the UK, and we have now completed the consultation on detailed proposals for the licensing framework.
ParlaMint-GB_2018-11-01-commons.u54	I thank the Minister for her answer. I welcome removing barriers to smaller community and commercial radio stations going digital, but can she advise on when she expects the new licensing system for small-scale multiplexes to be fully in place?
ParlaMint-GB_2018-11-01-commons.u55	Having completed the consultation on the new licensing system, we are now working closely with Ofcom on the detailed arrangements, including spectrum planning, on which Ofcom has the lead. Our aim is to bring forward the secondary legislation required for the first stages next year.
ParlaMint-GB_2018-11-01-commons.u56	9. What recent assessment he has made of the contribution of the digital sector to the UK economy.
ParlaMint-GB_2018-11-01-commons.u57	11. What recent assessment he has made of the contribution of the digital sector to the UK economy.
ParlaMint-GB_2018-11-01-commons.u58	The UK’s digital sector is a global powerhouse, and the most recent official statistics show that the sector has contributed over £116 billion to the UK economy and is growing faster than the average for the rest of the economy by two and a half times. From 2015 to 2016, the digital sector’s contribution increased by 5.8%.
ParlaMint-GB_2018-11-01-commons.u59	Does the Minister agree that the remarkable growth of UK digital companies—UKCloud in Farnborough in my constituency was the fastest growing tech company in the UK last year—shows that the digital sector is in rude health?
ParlaMint-GB_2018-11-01-commons.u60	I absolutely agree with my hon. Friend. Indeed, I visited UKCloud a few months ago and was extremely impressed by not just its fast growth but its innovation. The UK cloud sector is a strongly performing part of the overall digital sector. Earlier this year I spoke at the UK cloud awards and was very impressed by the success, innovation and growth potential of the cloud sector.
ParlaMint-GB_2018-11-01-commons.u61	Govtech is a growing part of the digital economy and it can help to boost public sector productivity. What steps can the Department take to help entrepreneurs and start-ups in this important tech sector?
ParlaMint-GB_2018-11-01-commons.u62	My hon. Friend puts his finger on an area of tech that will transform our country once it is unleashed through public services. We want to make it easier for Departments and public bodies to work with tech companies, including small and medium-sized enterprises. The Chancellor has announced that we will conduct an artificial intelligence review to examine how Government can make better use of AI to provide valuable services more efficiently.
ParlaMint-GB_2018-11-01-commons.u63	Ninety-five per cent. of respondents to my broadband survey are not happy with their service, which is not surprising, given that Barnsley’s broadband speeds are 20% slower than the national average. What are the Government doing to invest in broadband in the north?
ParlaMint-GB_2018-11-01-commons.u64	We are doing a huge amount through commercial operations, and the hon. Lady will find that things improve dramatically. Her constituency is only a few steps off the 95% average for access to superfast broadband. I advise her to make sure that people know that they have it. Approximately half the people who have access to superfast broadband do not take it up, because some of them do not realise it is there.
ParlaMint-GB_2018-11-01-commons.u65	As well as fast broadband, small tech businesses in my constituency and across the country need the right people to make sure that they grow and continue contributing to the economy. What conversations is the Minister having with the Home Office about the negative impacts of the Government’s immigration policy on attracting and securing the right staff to grow these businesses?
ParlaMint-GB_2018-11-01-commons.u66	The hon. Lady will know that we have doubled the number of tier 1 exceptional talent visas to 2,000. We have also announced a start-up visa for entrepreneurs. The other side of the coin, of course, is the huge investment we are making in skills training for people who are already resident in her constituency.
ParlaMint-GB_2018-11-01-commons.u67	What discussions has the Department had with the Cabinet Office about supporting tech start-ups with local and national Government procurement?
ParlaMint-GB_2018-11-01-commons.u68	We have a fantastic organisation, Tech Nation, with which we work closely to build the hubs around the country that directly support SMEs; the British Business Bank also does this and it is now starting a regional network of advisers for SMEs in tech.
ParlaMint-GB_2018-11-01-commons.u69	The tech sector is important, but it is not yet a big enough contributor to the Treasury. Can the Minister tell us what percentage of sales will be paid in the new tax introduced by the Chancellor by the big five tech giants next year?
ParlaMint-GB_2018-11-01-commons.u70	My understanding of what the Chancellor announced in the Budget on Monday is that he will be introducing a digital sales tax approximating to 2% of digital turnover. I think the right hon. Gentleman can make his own calculations.
ParlaMint-GB_2018-11-01-commons.u71	I can tell the Minister that, based on last year’s sales, next year the big five will be paying 0.01% of their sales in tax. That is the Treasury forecast in the Red Book, but even the Office for Budget Responsibility says that that is highly uncertain, and it will be outweighed by the cut in corporation tax to 17%. So is it not true that she has conspired with the Treasury to give a free pass to some of the wealthiest firms on earth?
ParlaMint-GB_2018-11-01-commons.u72	I have had no discussions with the Treasury on that matter. [Hon. Members: “What?”] No, I have not. The right hon. Gentleman has alleged that I have had discussions, which I have not. To answer his substantive point, the Treasury expects to raise £1.5 billion over the next four years; 2% is a start and he should know that other countries are planning to take action, but no country has yet done so. Therefore, I suggest that the UK is taking the lead on this. We hope for international action, which will land a bigger hit, but at this stage international action is not forthcoming so we are taking action unilaterally—
ParlaMint-GB_2018-11-01-commons.u73	I am sorry but we have a lot to get through and people really do have to be able to blurt it out.
ParlaMint-GB_2018-11-01-commons.u74	10. Whether he has made an assessment of the potential economic and social effect of major sporting events being hosted in the northern powerhouse area.
ParlaMint-GB_2018-11-01-commons.u75	Hosting major sporting events brings significant economic and societal benefits. There will be a number of exciting events hosted in the northern powerhouse area in the coming years. You will not want me to list them all, Mr Speaker, but I might mention the world road cycling championships in Yorkshire and the rugby league world cup, both of which I know will be of interest to the hon. Lady. UK Sport estimates that these events will generate more than £225 million of direct economic impact for local host communities.
ParlaMint-GB_2018-11-01-commons.u76	With three years to go until the 2021 rugby league world cup, will the Minister welcome the significant economic benefit that the tournament will deliver to the north of England and recognise the legacy programme that has been put together, which will have a lasting impact on communities across the north?
ParlaMint-GB_2018-11-01-commons.u77	I will certainly do that. I know that the hon. Lady will welcome the up to £15 million of Exchequer funding that will go to support event delivery, but she is right to say that legacy is important, too.
ParlaMint-GB_2018-11-01-commons.u78	Will my right hon. and learned Friend tell the House what support and guidance are available to sports venue operators who are seeking to bid to host these prestigious events?
ParlaMint-GB_2018-11-01-commons.u79	We believe it is important to attract some of these major events, and the Government work hard with those who are interested in attracting them to offer guidance. We will certainly make sure that anyone in particular whom my hon. Friend has in mind receives that advice.
ParlaMint-GB_2018-11-01-commons.u80	As thought is now being given to planning for a potential bid for the 2030 World cup, I hope we all really get behind that. Will the Secretary of State assure us that we will look at not only the sporting impact of that but its economic and regeneration impact, particularly across the northern powerhouse? We might look at the Olympic legacy park in my constituency as an example of how to follow through on a major event.
ParlaMint-GB_2018-11-01-commons.u81	I agree with the hon. Gentleman: the Olympic legacy is a very good example of what can be achieved. He will recognise that the initial decision to be taken is one for the Football Association. It must decide whether it wishes to bid, but if it does, he has my assurance that the Government will be fully behind it.
ParlaMint-GB_2018-11-01-commons.u82	Should Premier League clubs in the northern powerhouse area and elsewhere not pay a lot more for their policing costs?
ParlaMint-GB_2018-11-01-commons.u83	Of course they already do, through tax and through other measures where they do assist, but we will continue to talk to the Premier League about ways in which they can help. We have talked already today about their support for grassroots football and I am sure there are other ways in which they can assist, too.
ParlaMint-GB_2018-11-01-commons.u84	12. What progress the Government have made on securing an adequacy decision from the EU to ensure uninterrupted UK-EU data transfers after the UK leaves the EU.
ParlaMint-GB_2018-11-01-commons.u85	The United Kingdom has made it clear that we are ready to begin discussions on an adequacy assessment. The Commission has not yet indicated a timetable for such an assessment. Ministers and officials from DCMS and other Departments have visited member states and EU institutions to deliver the Government’s message on the importance of that decision to the UK and to the EU, and on the need to start now, and we will continue to do this.
ParlaMint-GB_2018-11-01-commons.u86	Data adequacy is vital to financial services. TheCityUK tells us that what has been suggested so far does not provide a long-term, sustainable solution. Now that Government sources are distancing themselves from their own overnight reports of an adequacy deal, will the Secretary of State stop the spin and tell us what the Government are going to do and when they are going to reach the agreement on data that is so vital to our financial services?
ParlaMint-GB_2018-11-01-commons.u87	There is no spin here. One of two things will be true: either we will reach a deal with the EU, in which case I expect data to be part of that deal; or we will not, in which case we will seek an adequacy decision. It is very much in the interests of both sides —EU and UK—for these arrangements to be made.
ParlaMint-GB_2018-11-01-commons.u88	I have a major internet-based hotel and travel-booking company in my constituency. In the absence of an adequacy deal, it will have to strike 72,000 separate contractual agreements with hotels across Europe. Does the Secretary of State understand that if Brexit means Brexit, no deal means no holiday?
ParlaMint-GB_2018-11-01-commons.u89	I think that is ever so slightly on the alarmist side. It is important for us all to bear in mind that the starting point is that we comply with all the data adequacy measures that the EU requires and we have implemented the general data protection regulation, so we are in a very good position as we begin the discussions and can therefore be optimistic about their outcome.
ParlaMint-GB_2018-11-01-commons.u90	Is it not abundantly clear that an agreement is just as important to the EU as it is to us, so it will happen either way?
ParlaMint-GB_2018-11-01-commons.u91	I think that is highly likely.
ParlaMint-GB_2018-11-01-commons.u92	We are blessed in this country to have—
ParlaMint-GB_2018-11-01-commons.u93	No, no: Question 13.
ParlaMint-GB_2018-11-01-commons.u94	Good point.
ParlaMint-GB_2018-11-01-commons.u95	It is about tennis.
ParlaMint-GB_2018-11-01-commons.u96	It is okay; the hon. Gentleman will get his second serve in a moment.
ParlaMint-GB_2018-11-01-commons.u97	13. What assessment he has made of the correlation between the number of professional tennis tournaments played in the UK and the level of domestic participation in that sport.
ParlaMint-GB_2018-11-01-commons.u98	Mr Speaker, I know that you would not want to miss out on any information about tennis. The Lawn Tennis Association continually reviews the number of professional events held in this country with the international tennis associations. As the hon. Gentleman knows, Britain has the world’s greatest tournament, Wimbledon, and also hosts the Association of Tennis Professionals world tour finals, which will celebrate its 10th year being held at the O2 later this month. We continue to encourage participation in tennis, with more than £9 million given to the LTA between 2017 and 2021 to encourage more participation.
ParlaMint-GB_2018-11-01-commons.u99	As I was saying, the Secretary of State is absolutely right to talk about our world-class tournaments, but at challenger and future levels, we have far fewer tournaments than the other major European nations. Holding tournaments right across the UK is an important part of the participation strategy, so what more can the Secretary of State tell us about what he is saying to the LTA about getting tournaments held throughout the country at that lower level?
ParlaMint-GB_2018-11-01-commons.u100	I agree with the hon. Gentleman that that is important. The other important thing he will recognise is the development of the talent pipeline to give young players the opportunity to play in more and more tournaments. I should have made it clear that part of the £9 million I referred to in my previous answer is for the development of the talent pipeline. I agree with what the hon. Gentleman says and we will do anything more that we can.
ParlaMint-GB_2018-11-01-commons.u101	Will the Secretary of State join me in congratulating England Hockey on the successful hosting of the women’s world cup this summer? Does he support the Hockey Futures programme, which was launched off the back of that tournament to encourage more young people from all walks of life to get the health and social benefits of playing hockey?
ParlaMint-GB_2018-11-01-commons.u102	Before anyone notices—
ParlaMint-GB_2018-11-01-commons.u103	That question was entirely disorderly.
ParlaMint-GB_2018-11-01-commons.u104	It was in the UK.
ParlaMint-GB_2018-11-01-commons.u105	Yes, the question was about the UK, but the main question was about professional tennis tournaments, not random activities in the UK. Nevertheless, although entirely disorderly, the hon. Gentleman’s question was quite fun, so let us hear the answer.
ParlaMint-GB_2018-11-01-commons.u106	Before you noticed that, Mr Speaker, I was simply going to say yes.
ParlaMint-GB_2018-11-01-commons.u107	That is even better.
ParlaMint-GB_2018-11-01-commons.u108	14. What steps his Department is taking to help tackle loneliness.
ParlaMint-GB_2018-11-01-commons.u109	The Government recently published their first ever strategy for tackling loneliness in England. Commitments include a national loneliness campaign, investment in community spaces and local data pilots, and embedding loneliness in our internet safety White Paper and digital inclusion fund. Those commitments are in addition to the £20.5 million of new grant funding for projects to prevent loneliness that was announced by the Government in June.
ParlaMint-GB_2018-11-01-commons.u110	Is the Secretary of State aware of the research published by the University of Oxford’s Robin Dunbar, which found that people who have a local pub that they visit regularly tend to be more socially engaged and to have better mental health? Will he join me in welcoming the measures announced by the Chancellor to support pubs and brewing, which will help to tackle loneliness and isolation?
ParlaMint-GB_2018-11-01-commons.u111	My hon. Friend’s enthusiasm for local pubs is legendary and he has managed to express it again here. He is right that pubs and other community institutions have a huge part to play in dealing with loneliness in our society across a range of many other measures that we need to take.
ParlaMint-GB_2018-11-01-commons.u112	What significance does the Secretary of State place on the role of the voluntary sector in helping to tackle loneliness in our country? If, like me, he thinks that it is an important role, will he say what discussions he has had with the Department of Health and Social Care and with local government to make sure that commissioners of services now understand that the voluntary sector should be taken seriously?
ParlaMint-GB_2018-11-01-commons.u113	I agree with the hon. Gentleman. He may know that part of the responsibilities of Ministers in the Ministry of Housing, Communities and Local Government will now include attention to issues of loneliness and he will see that, when we announce those who are the recipients of the £20.5 million that I mentioned a moment or so ago, there are a range of different organisations across the country, all of which play a vital part in this and to which we should all be grateful.
ParlaMint-GB_2018-11-01-commons.u114	T1. If he will make a statement on his departmental responsibilities.
ParlaMint-GB_2018-11-01-commons.u115	I am sure that the House will join me in offering heartfelt condolences to all those impacted by the tragedy in Leicester last weekend. Football clubs are at the heart of our communities and, just as Leicester’s magical premier league win inspired the city, this tragic loss of life will be deeply felt. My thoughts and sympathies, and I am sure those of the whole House, are with the friends and families of all those who lost their lives, with everyone at the club and with the people of Leicester.
ParlaMint-GB_2018-11-01-commons.u116	May I associate myself with the Secretary of State’s remarks about Leicester City Foetal alcohol spectrum disorders affect thousands of children born every year, and that includes entirely preventable permanent brain damage. Will he include alcohol advertising in the 9 pm watershed consultation on the advertising of unhealthy food?
ParlaMint-GB_2018-11-01-commons.u117	As the hon. Gentleman knows, we have not yet given the details of that consultation process, but it is important that we address harms such as the one he mentions in a variety of different ways. If that is not the right way to do it, we will certainly consider what may be, and I am grateful to him for raising it today.
ParlaMint-GB_2018-11-01-commons.u118	T2. What assessment has the Minister made of the UK’s ability to support any bright new businesses starting up in our regional towns, particularly start-up tech businesses, and to help them grow?
ParlaMint-GB_2018-11-01-commons.u119	We do indeed have many bright new businesses across the UK. Research published a week ago by Tech Nation showed that British cities such as Manchester and Cambridge have the same number of tech companies now valued at $100 million, and that, I think, shows that we as a nation are really supporting small and medium-sized enterprises in their growth aspirations.
ParlaMint-GB_2018-11-01-commons.u120	It is disappointing that the Minister who led the review that concluded that high-stakes fixed odds betting terminals were a social blight is not here with us this morning, although, contrary to what the Secretary of State said, I understand that Patrick Kidd of The Times is reporting that she is actually with the Chief Whip at the moment, and not in transit, as he hinted. May I ask him whether when he hinted to the Digital, Culture, Media and Sport Committee that he was minded to delay the reduction in stakes on fixed odds betting terminals he had actually read the 78 pages of the devastating report, which his ministerial colleague had dedicated three years to compiling?
ParlaMint-GB_2018-11-01-commons.u121	My hon. Friend the Minister for Sport and Civil Society was travelling back this morning, and it seemed unwise to rely on public transport or London traffic to ensure her being here, so we made arrangements for me to answer questions. I apologise, Mr Speaker, if the hon. Gentleman objects to my answering questions that are targeted at me, as you announced at the beginning of the session. On the issue that he raises, there has never been an announcement of the time at which this change to fixed odds betting terminals’ stakes would come in. There were early-day motions and all-party parliamentary group reports urging the Government to bring this forward from April 2020 and we have done exactly that. He will know that, in a few moments’ time, there will be an opportunity to discuss this subject in more detail and I will happily set out the rationale for this choice.
ParlaMint-GB_2018-11-01-commons.u122	The Secretary of State did not answer the question, nor did he confirm that the Minister for Sport and Civil Society is actually in the building. The announcement in the Budget of the delay in implementing the stake reduction was a betrayal of his ministerial colleague and his two predecessors as Secretary of State, as well as the victims and their families, whose lives have been blighted by gambling addiction. Why has he chosen to back the bookies rather than the gambling addiction victims and their families, his own Minister and the overwhelming public interest?
ParlaMint-GB_2018-11-01-commons.u123	No, there has been no delay. Mr Speaker, I am in your hands: I am very happy to set out now the detailed explanation of why we have done what we have done. The shadow Secretary of State has asked for an urgent question on this very subject at half-past 10, which you have granted, so it is a matter for you as to whether you would like me to address the question now or at 10.30 am.
ParlaMint-GB_2018-11-01-commons.u124	The answer is very simple. The normal rules apply at Question Time—topical questions and answers are brief. The Secretary of State has perfectly properly given an answer. As he says, there will be an urgent question today; the matter can and will be explored further then.
ParlaMint-GB_2018-11-01-commons.u125	T3. I will try to be brief, Mr Speaker. The all-party parliamentary group for rural business recently recommended mobile data roaming for areas that are quite isolated, such as my constituency of North Cornwall. The group reckons that this could boost mobile data by 8%. Will the Government apply pressure in this regard to ensure that my constituents get the best coverage?
ParlaMint-GB_2018-11-01-commons.u126	I heartily agree with my hon. Friend’s concerns. I was delighted that the Budget confirmed that there is now £200 million to kick-start connectivity for superfast broadband around the edge of the country, and the Red Book shows that one of the places that this process will start is in my hon. Friend’s county of Cornwall.
