ParlaMint-GB_2018-09-11-commons.u1	1. What fiscal steps he is taking to support the pubs sector.
ParlaMint-GB_2018-09-11-commons.u12	3. What recent discussions he has had with the Secretary of State for Health and Social Care on NHS funding.
ParlaMint-GB_2018-09-11-commons.u13	We have regular meetings with the Health Secretary and have recently allocated an additional fund of a 3.4% rise per year to the national health service, which will equate to £20 billion by 2023.
ParlaMint-GB_2018-09-11-commons.u14	In Bedfordshire, children with mental health issues are travelling up to 100 miles to access services. Their recovery is hugely compromised by sending them away from their families and friends. Will the Chancellor now commit funds to local specialist facilities for young people and reinstate the mental health beds in Bedford that his Government took away?
ParlaMint-GB_2018-09-11-commons.u15	We recognise that there is increasing demand for the NHS, which is precisely why we have allocated the additional funding, and the Health Secretary will shortly publish a 10-year plan with mental health as one strand of it.
ParlaMint-GB_2018-09-11-commons.u16	Is it reasonable for me to expect to pass my assets and property to my heirs unencumbered and intact and at the same time to expect the taxpayer to pay for my social care?
ParlaMint-GB_2018-09-11-commons.u17	We recognise that social care is an area where reform is needed, and my right hon. Friend the Health Secretary will shortly publish a Green Paper to outline some of the options and to make sure we have a proper discussion as a country about the future of social care.
ParlaMint-GB_2018-09-11-commons.u18	My clinical commissioning group in north Derbyshire has seen an uplift of only 1% over the five-year funding settlement from 2016-17, resulting in a deficit of £51 million to find this year in cuts and of £71 million next year. It is having to cut everything that it is not statutorily required to provide, including all voluntary services. Will the Chancellor look at the funding that has gone to the national health service over the past six years to make sure this can be met?
ParlaMint-GB_2018-09-11-commons.u19	No doubt, the hon. Lady will welcome the additional money allocated to the NHS to reflect the increasing demand. I point out that under the plans proposed by the Labour party, which would mean fewer businesses, fewer jobs and less tax revenue, there would be less money going into the NHS and the hon. Lady’s local services.
ParlaMint-GB_2018-09-11-commons.u20	There is strong public appetite for increased spending not only on the NHS, but on education, defence and a whole host of other areas, and, if the polls and all the petitions are to be believed, there is a strong public appetite to pay more tax in order to finance those spending increases. Will the Minister bear that in mind in the upcoming Budget?
ParlaMint-GB_2018-09-11-commons.u21	I am sure my hon. Friend will recognise that we are not going to announce the contents of the Budget at today’s Treasury questions, but I point out that we are a Government who believe in low taxes: we have reduced taxes on basic rate taxpayers by £1,000. Of course, as well as putting that extra money into the NHS, my job as Chief Secretary is to make sure we get value for money from every penny we spend, and that is why we are developing a 10-year plan. We are improving the use of technology and we are getting better value for money from the drugs budget as well.
ParlaMint-GB_2018-09-11-commons.u22	Is the Chief Secretary aware in the discussions the Health Secretary may have had on NHS funding whether he mentioned his unilateral plan to ditch the 2013 pensions deal agreed with representative bodies, which was supposed to last for 25 years, and which may affect 1 million NHS staff?
ParlaMint-GB_2018-09-11-commons.u23	What I am aware of is the deal that has been done with NHS workers to give them a 6.5% pay rise in exchange for reform over the next three years. We know that on average public sector workers get approximately 10% more in terms of pensions than their private sector counterparts, but we are also making sure that we have the right wages to recruit and retain people in the NHS.
ParlaMint-GB_2018-09-11-commons.u24	Clearly, the Chief Secretary to the Treasury does not even know what she has put out in her name. The pension changes snuck out on Thursday evening could negatively affect the pensions of a further 4 million public sector workers—[Interruption.] No, that is not the case. So I ask on behalf of those dedicated public sector workers—nurses, doctors, social workers, teachers, support staff and refuse collectors—will the Chancellor withdraw these snidey proposals and honour his predecessor’s deal? Is that too much to ask? Or will millions of staff in the public sector be let down and betrayed yet again by this Government?
ParlaMint-GB_2018-09-11-commons.u25	I think the Labour party has misunderstood the announcement we made last week, which will actually ensure that more money goes into public sector pensions, in line with the deal that we did with the unions previously.
ParlaMint-GB_2018-09-11-commons.u26	4. What plans he has to tackle household debt.
ParlaMint-GB_2018-09-11-commons.u27	7. What plans he has to tackle household debt.
ParlaMint-GB_2018-09-11-commons.u28	The Government are taking a proactive approach to supporting boroughs and enabling them to manage their money well and help those in problem debt. We reformed consumer credit regulation in 2014, and I am now working on setting up a single financial guidance body to help those who are in difficulties.
ParlaMint-GB_2018-09-11-commons.u29	One in eight workers is living in poverty, and the average worker is earning £25 a week less than they were 10 years ago. Many of my constituents who are working all the hours they can find still have to come to my office for food bank referrals and debt advice. Does the Minister accept that the rhetoric is talking down the people who are working as much as they can but still living in poverty?
ParlaMint-GB_2018-09-11-commons.u30	No, I am sorry; I would not accept that. I accept that this Government are committed to doing all they can for hard-working people. That is why we have raised the national living wage, which means £600 for those who are working full time. I am sure that the hon. Lady would also want to welcome the wage data that have come out today.
ParlaMint-GB_2018-09-11-commons.u31	According to the Money Advice Service, the proportion of people in Greenwich and Woolwich who are over-indebted is higher than both the UK and the London averages. I know from my advice surgery that a significant amount of that is down to the behaviour of rip-off lenders. What more will the Government do to clamp down on predatory lending?
ParlaMint-GB_2018-09-11-commons.u32	The primary responsibility for rogue lending lies with the Financial Conduct Authority, and its report at the end of May brought in a number of measures, including a cap on rent to own. I accept that more can be done, and that is why I am working hard with my colleague, the Under-Secretary of State for Work and Pensions, my hon. Friend the Member for Hexham (Guy Opperman), on the financial inclusion forum to look at the expansion of alternative affordable forms of credit for the poorest in our society.
ParlaMint-GB_2018-09-11-commons.u33	May I urge the Minister to take firm action against people who exploit the most vulnerable in our society? I refer particularly to loan sharks, payday lenders, rent-to-own outfits such as BrightHouse, rip-off bank overdraft fees and exploitative doorstep lenders. Will he be firm, to ensure that we protect the most vulnerable?
ParlaMint-GB_2018-09-11-commons.u34	I am happy to give my hon. Friend that assurance. I have deep conversations on this matter with the Financial Conduct Authority regularly. I also met representatives of Scotcash and the credit unions over the recess to see what alternative supplies of affordable credit are available.
ParlaMint-GB_2018-09-11-commons.u35	Under Labour, household debt rose in every year bar one, but the Office for National Statistics now shows that, since 2010, the number of children in workless households has fallen by a staggering 637,000. Does that not demonstrate the huge contrast between the economic achievements of this Government and the track record of the Labour party?
ParlaMint-GB_2018-09-11-commons.u36	I thank my hon. Friend for reminding us of those facts. During the Labour Government, there was also an increase in the welfare budget of 65%, or £84 billion in real terms. We have to spend money wisely, and my hon. Friend’s observations are welcome.
ParlaMint-GB_2018-09-11-commons.u37	British families are currently spending considerably more than their disposable income and, as a consequence, debt levels in relation to income are rising back to crisis levels. At the same time, France and Germany have big savings surpluses. Which is the most sustainable of the two options?
ParlaMint-GB_2018-09-11-commons.u38	What is sustainable is that real household disposable income is up by 4.6% since 2010. I acknowledge that there are those who are experiencing challenges, and that is why I have set out the measures the Government are taking and are determined to take to assist those in a vulnerable position.[Official Report, 9 October 2018, Vol. 647, c. 1MC.]
ParlaMint-GB_2018-09-11-commons.u39	The way to combat poverty and generate prosperity is to create jobs and raise wages. In that context, is it not welcome that a combination of the massive increase in the minimum wage and the rise in the personal allowance since 2010 have increased the net wages of someone working on the minimum wage by 39% when CPI during that period has been only 19%?
ParlaMint-GB_2018-09-11-commons.u40	My hon. Friend is on top of the figures, as always, and sets out the positive story that this Government have to tell, but there is no room for complacency. This Government are committed to getting as many people back into work as possible, and we welcome the current record figures.
ParlaMint-GB_2018-09-11-commons.u41	18. Kingston upon Hull has the third highest levels of household debt in England and Wales while Kingston upon Thames has the second lowest. Why does the Minister think that is? What is he going to do about it?
ParlaMint-GB_2018-09-11-commons.u42	There are different profiles of debt across the country, which is why the Government are committed to making interventions through the Financial Inclusion Forum to expand affordable credit and to assist those who are in difficulty. There is no room for complacency, and the Government are committed to assisting where necessary.
ParlaMint-GB_2018-09-11-commons.u43	Does the Minister share my view that one of the best ways of helping hard-working families is to enable them to keep more of the money they earn by keeping taxes low? Will he confirm that this Government will continue to keep taxes as low as possible for working people?
ParlaMint-GB_2018-09-11-commons.u44	Absolutely we will.
ParlaMint-GB_2018-09-11-commons.u45	This Government may say that they are taking action on household debt, but the fact is that they rely on that excessive debt for economic growth. The Office for Budget Responsibility says that nine tenths of all GDP growth last year is attributable to household consumption, which is being fuelled by unsustainable levels of debt. Instead, we should raise investment, both public and private, which in the UK is well below the average for a developed country. We have plans to do that, but will we see any such proposals from the Government in the forthcoming Budget?
ParlaMint-GB_2018-09-11-commons.u46	The Chancellor has set out in successive Budgets our commitment to invest in this economy with the national productivity plan. We must recognise that we need affordable investment, and we have found out over the past 24 hours that the Opposition’s plans are confused. If £500 billion is just a down payment and the start of the investment, where will it end? Is that affordable?
ParlaMint-GB_2018-09-11-commons.u47	Let us have some facts. The OBR predicts that unsecured household debt will reach 47% of income by 2021. The last peak was 45% in 2007. Families are using credit to pay for essential items. The people who are going to food banks are often in work, because work is not paying. What is the Treasury going to do? Will Ministers admit that austerity has created this mess?
ParlaMint-GB_2018-09-11-commons.u48	The Government are creating the conditions for growth and raising the national living wage. When I visited Glasgow just a few weeks ago, it was encouraging to see the constructive way that the 1st Class Credit Union and Sharon MacPherson of Scotcash are working with the poorest to help them when they are in difficulty.
ParlaMint-GB_2018-09-11-commons.u49	I am really pleased that the Chancellor said that he will consider visiting a local pub. Will he consider coming to the Community Food Initiatives North East food bank in my constituency, which has today called for more food because its shelves are empty? If he was to come and visit a food bank such as CFINE’s, he would find out at first hand the effect that Tory UK Government policies are having on individuals up and down the country. The Minister cannot stand there and say that employment is up when the reality is that people are poorer than ever.
ParlaMint-GB_2018-09-11-commons.u50	I will take no lectures from the hon. Lady about food banks. The Trussell Trust was founded in my constituency. I have a dialogue with the charity, which has done a great deal to assist many people up and down the country, and I am proud of its work.
ParlaMint-GB_2018-09-11-commons.u51	5. What steps he is taking to invest in infrastructure in the east midlands.
ParlaMint-GB_2018-09-11-commons.u52	Over the course of this Parliament, long-term investment in our infrastructure will reach levels not sustained since the 1970s. In the east midlands, for example, we are investing from the national productivity investment fund to reduce congestion. We are investing £125 million this year on local road maintenance, and we announced this summer £780 million for a series of works to upgrade the east coast main line.
ParlaMint-GB_2018-09-11-commons.u53	As my near neighbour in Nottinghamshire, the Minister will be aware of the Robin Hood line that runs through my constituency from Nottingham. Proposals to extend the line across Warsop in the north of my constituency have now appeared in various Budgets. The Transport Secretary has ensured that the new franchisee will have to consider the business case for that extension. Can the Minister confirm that the Treasury will support it financially if that business case comes forward?
ParlaMint-GB_2018-09-11-commons.u54	My hon. Friend and my hon. Friend the Member for Sherwood (Mark Spencer) have been campaigning on this for several years, and we recognise its potential to unlock economic opportunities in Mansfield and Ollerton. Within the east midlands franchise, we have included a requirement that the operator should come to the Secretary of State for Transport within a year with a business case for extending passenger services to my hon. Friend’s communities. The Department for Transport and the Treasury will consider that business case very carefully.
ParlaMint-GB_2018-09-11-commons.u55	Does the Minister accept that crucial investment from the European Investment Bank and the European regional development fund recently underpinned the midlands engine investment fund and that a hard Brexit risks pulling the rug from underneath many critical investment projects? He knows in his heart that a “cake and eat it” Brexit is a pure delusion and that his European Research Group colleagues still cannot explain how it would work. Would it not be better if we just let the public sort this out and have a say with a people’s vote?
ParlaMint-GB_2018-09-11-commons.u56	The public have already had a say, and in the east midlands, which we are discussing, the public were very clear that they want to leave the European Union. Infrastructure investment will be substantially higher over the course of this Parliament than it was under the last Labour Government—25% higher in the east midlands and 40% higher in Yorkshire and the Humber. The primary reason for that is this Government’s responsible management of the public finances.
ParlaMint-GB_2018-09-11-commons.u57	Will my hon. Friend take the time to point out where some of this infrastructure spend is going? At the moment, Derby station is being remodelled—£200 million —and the M1 is being upgraded to a smart motorway. This is massive investment for the long-term future of the east midlands.
ParlaMint-GB_2018-09-11-commons.u58	My right hon. Friend is absolutely right. Of course he was the Secretary of State for Transport who led many of these important investments. In the east midlands, we are investing in the smart motorway, in the upgrade to the east coast main line, in Derby bus station and in new green buses in Nottingham. The list continues, and only because of this Government’s management of the public finances, which is keeping the economy growing.
ParlaMint-GB_2018-09-11-commons.u59	rose—
ParlaMint-GB_2018-09-11-commons.u60	rose—
ParlaMint-GB_2018-09-11-commons.u61	No, no, no. Bishop Auckland and Na h-Eileanan an Iar are both admirable places, but last time I looked neither was situated in the east midlands, to which this question is devoted.
ParlaMint-GB_2018-09-11-commons.u62	6. If he will provide additional resources to the Department for Digital, Culture, Media and Sport to support the Mayflower 400-year anniversary celebrations.
ParlaMint-GB_2018-09-11-commons.u63	We recognise that the Mayflower commemorations are an important moment for this country to celebrate our tied history with the United States and the unending quest for religious freedom and toleration. The Government gave £0.5 million to the Mayflower 400 project in the 2015 spending review, and we will continue to support it in the years to come.
ParlaMint-GB_2018-09-11-commons.u64	Given the significance of the voyage of the Mayflower—in historical terms, it was one of the planet’s most influential journeys and it helped to found our democracy and freedom—will the Minister respond positively to the letter he has received from the all-party parliamentary group on the Mayflower pilgrims requesting that we have sufficient resources to celebrate this amazing event in a spectacular fashion?
ParlaMint-GB_2018-09-11-commons.u65	At the suggestion of my hon. Friend and of my hon. Friend the Member for Plymouth, Moor View (Johnny Mercer), I met Charles Hackett, the chief executive of the Mayflower 400 project. We had a productive meeting, and we are considering the materials that the project left with us. I advise my hon. Friend the Member for South West Devon (Mr Streeter) and the organisers of Mayflower 400 to continue working with the Department for Digital, Culture, Media and Sport and the Treasury as they continue to formulate their plans, which will benefit not just Plymouth but Boston, Bassetlaw and communities across the country.
ParlaMint-GB_2018-09-11-commons.u66	For the edification of those observing our proceedings, I can advise that the hon. Member for Huddersfield (Mr Sheerman) has just been chuntering at me that his grandmother had a link with the Mayflower, about which I think we are to be enlightened.
ParlaMint-GB_2018-09-11-commons.u67	Some Members may think that I was on the Mayflower, although as a young man I did emigrate to the United States. Some of my ancestors, the Sheermans, could have been on the Mayflower—[Interruption.] Just hold it for a moment. This is the 400-year anniversary. Is it not time that we celebrated migration and the talent, the genius, the innovation and the ideas that we in this country and America get from migration? Should we not use this quadricentenary to celebrate migration across the world?
ParlaMint-GB_2018-09-11-commons.u68	The hon. Gentleman is testing my knowledge of the pilgrim fathers, but of course they were inspired by William Bradford, who came from Yorkshire, I believe. He was the one who said that from small things great things can emerge, and that it takes just one small candle to light a thousand, which was the way that the whole pilgrim fathers’ enterprise was summed up. So I want to see the commemorations take place in Yorkshire, as well as in Plymouth and the rest of the country.
ParlaMint-GB_2018-09-11-commons.u69	I urge the Minister not to forget Immingham in my constituency, which also played a major part in where the pilgrim fathers sailed from. Will he ensure that Immingham is a major player in any celebrations?
ParlaMint-GB_2018-09-11-commons.u70	I have tried to list all the places where the pilgrim fathers came from. I was not aware that some came from Immingham as well, but I am sure that that will be included in the celebrations.
ParlaMint-GB_2018-09-11-commons.u71	Discussion of DDCMS support for the Mayflower celebrations raises the problem that DDCMS regional funding is deeply unfair, with far more in London. Indeed, that is the pattern on infrastructure, which the Minister was talking about before. So to what extent does the Minister believe that unfair patterns of Government spending are the cause of the fact that household income in the north-east is only £15,000 per year, whereas in London it is £27,000?
ParlaMint-GB_2018-09-11-commons.u72	As the hon. Lady will be aware, the Arts Council has a formula to distribute funding across the country. We believe, like she does, that it is important that all communities in this country can have access to culture and heritage. It is for that reason and others that we funded the Great Exhibition of the North, which has been a huge success; and of course the Chancellor, in his Budget two years ago, supported the huge economic and cultural opportunity of restoring Wentworth Woodhouse, near to the hon. Lady’s constituency.
ParlaMint-GB_2018-09-11-commons.u73	8. Whether he has made an assessment of the adequacy of his Department's cross-departmental guidance on the contracting out of public services as a result of recent disturbances in prisons.
ParlaMint-GB_2018-09-11-commons.u74	Guidance on contracting out public services is set by the Cabinet Office, and my right hon. Friend the Chancellor of the Duchy of Lancaster and Minister for the Cabinet Office has reviewed the guidance thoroughly.
ParlaMint-GB_2018-09-11-commons.u75	Appropriate transitions from prisons to the community are central in successfully reintegrating prisoners into society and bringing down reoffending rates, yet it is my understanding that some prisoners are being prevented from moving from category C to category D as they near their release date. Could the Minister confirm whether that is the case, and whether that is just another example of ineffective cost-saving measures?
ParlaMint-GB_2018-09-11-commons.u76	My right hon. Friend the Justice Secretary recently released a strategy about how we are going to get more offenders into employment. We have a cross-Government working group on that, to ensure that people make the appropriate transition. I suggest that the hon. Lady speak to the Justice Department to get further details.
ParlaMint-GB_2018-09-11-commons.u77	9. What assessment he has made of the effect of the fuel duty freeze on household incomes.
ParlaMint-GB_2018-09-11-commons.u78	To support British households, the Government have frozen fuel duty for eight successive years. By April 2019, these freezes will have saved the average car driver £850 compared with the pre-2010 escalator, and the average van driver over £2,100, but it is important that we remember the other side of this coin. The fuel duty freezes since 2011 have meant that the Exchequer has forgone around £46 billion in revenues through to 2018-19, and a further £38 billion will be forgone over the Budget forecast period, as a result of these previously announced freezes. For context, that is about twice as much as we spend on all NHS nurses and doctors each year.
ParlaMint-GB_2018-09-11-commons.u79	A Treasury study in 2014 said that freezing fuel duty benefits the economy to offset almost all the loss of tax to the economy, and it said that GDP would increase by £4.5 to £7.5 billion over the forthcoming years. Given the rise in petrol by 13p and diesel by 15p over the past year, does he agree with his own Treasury report that maintaining the fuel duty freeze would benefit the economy and help hard-working people in our country?
ParlaMint-GB_2018-09-11-commons.u80	The analysis that my right hon. Friend refers to is from 2014, and obviously that analysis would have to be looked at again in the context of the economy today. I do understand that the way the rise in oil prices has had feed-through to the pump represents a real pressure for motorists, and we will take it into account.
ParlaMint-GB_2018-09-11-commons.u81	The Chancellor will know that the freeze on fuel duty is only a sticking plaster and cannot go on forever. One way of cutting down on emissions is electric cars, but in my constituency there is not a single electric car charging point. Will he commit to investing in more electric charging points across the country?
ParlaMint-GB_2018-09-11-commons.u82	I don’t know about forever, but it has gone on for eight years, as I have just explained to the House. The hon. Gentleman is right: the car fleet has to electrify if we are going to meet our carbon emissions targets. We set up a £400 million fund in the last Budget to support the roll-out of electric charging infrastructure, which is clearly critical for us to meet those targets.
ParlaMint-GB_2018-09-11-commons.u83	One of the other major impacts on the wages of the lowest-paid is a national living wage. Does my right hon. Friend agree that it is our reforms as a Government that have boosted the incomes of the lowest-paid significantly?
ParlaMint-GB_2018-09-11-commons.u84	Of course. We have sought, despite the very difficult fiscal circumstances, to address drivers of cost for households, for example by freezing fuel duty and alcohol duty. On the other side of the equation, we have reduced the tax that people are paying on their wages and raised the earning of those on the lowest wages by introducing and then increasing the national living wage.
ParlaMint-GB_2018-09-11-commons.u85	Despite the freeze in fuel duty, diesel is currently at £1.33 a litre. Rural communities in particular are finding it very difficult. Will the Chancellor indicate the help he can give to rural communities that are dependent on their vehicles to get to work and have a life?
ParlaMint-GB_2018-09-11-commons.u86	Many people are dependent on vehicles for everyday living and for work. As I have already said, we understand the pressure that higher oil prices and their feed-through to the pumps presents for individual consumers. We take all such matters into account when setting future policy.
ParlaMint-GB_2018-09-11-commons.u87	I hope the House will join me in welcoming the hon. Member for East Dunbartonshire (Jo Swinson) back from her maternity leave.
ParlaMint-GB_2018-09-11-commons.u88	10. What steps he is taking to ensure that large international technology companies pay an appropriate level of tax in the UK.
ParlaMint-GB_2018-09-11-commons.u89	Mr Speaker, I echo your welcome to the hon. Lady. It is good to see her in her place. It is absolutely right that all companies in this country should pay a fair rate of tax. The Government recognise that for some businesses—typically online companies—the current international tax regime is not entirely appropriate. We are working with the OECD and the European Union to find a solution to that, and we have made it clear that in the event we cannot reach a position where we can move multilaterally, we will take unilateral action.
ParlaMint-GB_2018-09-11-commons.u90	I thank the Minister for that answer. The fact that Amazon’s UK profits trebled, yet it ended up paying less tax, shows how the tax model is broken for large international tech companies. He said that the UK may act unilaterally if international progress is not made at sufficient pace. With the OECD report not expected until 2020, is he prepared to wait that long before starting to act? Does he anticipate perhaps joining in with our European Union allies on the 3% interim revenue tax before then?
ParlaMint-GB_2018-09-11-commons.u91	We are not only working with the European Union; we are also working closely with the OECD. At our persuasion, it has recently decided to bring forward that report to 2019. We are making progress at the multilateral level, but as I have clearly stated, we should all be in no doubt that we are prepared to take unilateral action, should that be appropriate.
ParlaMint-GB_2018-09-11-commons.u92	The question is whether there is a level playing field. When my right hon. Friend hears that bookshops pay around 11 times more total tax than Amazon on the same £100 of turnover, does he think we are striking the right balance to enable our town centres and communities to thrive?
ParlaMint-GB_2018-09-11-commons.u93	When it comes to business rates, which are the heart of the taxes that my right hon. Friend referred to, we have done a great deal since 2016. We will by 2023 have provided reliefs totalling some £10 billion, much of which will fall as relief to the high street. I take on board the comments he has made. As with all taxes, we will keep business rates under review.
ParlaMint-GB_2018-09-11-commons.u94	Contrary to the comments of the Financial Secretary to the Treasury, international co-ordination on tax has frequently been blocked by the Government. We saw that particularly when it came to the taxation of trusts with both David Cameron and now the current Government arguing against more transparency. It is no surprise that, as a result, a director of Fidelity International and other experts are saying that the Amazon case shows “how tax policy hasn’t moved on.” Why are this Government letting giant multilaterals get away with it and letting everybody else down?
ParlaMint-GB_2018-09-11-commons.u95	Let me be extremely clear to the House: this Government have an exemplary record on clamping down on avoidance, evasion and non-compliance. We have one of the lowest tax gaps in the entire world, at 5.7%, far lower than was the case under the Labour party. We have brought in a number of rules under the base erosion and profit-shifting project—a project of which we were in the vanguard. For example, tax deductions for interest expense came in in 2016 and yielded £3.9 billion by 2021, and the diverted profits tax that we introduced in 2015 has already raised some £700 million.
ParlaMint-GB_2018-09-11-commons.u96	11. What assessment he has made of the effectiveness of tax incentives to support the sale of companies to employees.
ParlaMint-GB_2018-09-11-commons.u97	We have brought in a number of incentives to encourage employee share ownership, not least employee ownership trusts, which provide a capital gains tax advantage to those businesses selling shares into the trust and tax advantages to employees alike. We have also brought in enterprise management incentives, company share option plans, the save-as-you earn scheme and the share incentives plan as well.
ParlaMint-GB_2018-09-11-commons.u98	Small and medium-sized businesses are the lifeblood of the economies of local communities, but with 60% of small businesses with no succession plan after their founders retire, what are the Government doing to ensure that employee ownership is one of the options going forward to keep businesses going?
ParlaMint-GB_2018-09-11-commons.u99	I have set out a number of the schemes that the Government are moving forward with, and, of course, that has been with great success. In 2016-17, some 3 million employees entered into SIP share arrangements, 400,000 entered into arrangements under save-as-you earn with an average value of shareholding of some £5,000, and 3,500 employees were offered EMI schemes in that particular year.
ParlaMint-GB_2018-09-11-commons.u100	12. What assessment he has made of recent trends in the level of wage growth and inflation.
ParlaMint-GB_2018-09-11-commons.u101	13. What assessment he has made of recent trends in the level of wage growth and inflation.
ParlaMint-GB_2018-09-11-commons.u102	Today’s data show regular wages growing at the fastest rate for three years. The Office for Budget Responsibility forecast that wages will continue to grow, reaching 3.5% by 2021, while consumer prices index inflation will continue to fall, reaching the target of 2% by the end of this year. That is welcome news for everybody. Nevertheless, the Government recognise the pressure on household budgets, which is why we introduced the national living wage, delivering a 7% pay rise in real terms for the lowest, paid from April 2015 to April 2017. It is why we raised income tax thresholds, saving the average taxpayer more than £1,000 this year and, at the last Budget, froze fuel and alcohol duties for a further year.
ParlaMint-GB_2018-09-11-commons.u103	Under the current business rates system, city centre-based businesses are paying more in rates than large out-of-town-based warehouses, severely restricting the amount that they can put towards wages and hampering wage growth for employees. Will the Chancellor today commit to reforming this outdated business rates system so that businesses are able to pay their staff higher wages while boosting our high street economy?
ParlaMint-GB_2018-09-11-commons.u104	I have already acknowledged the pressure that the high street is under, and it is certainly something that the Government are extremely concerned about. I do not think that we can hold back the tide of changing consumer behaviour, but it is certainly right that we seek to facilitate high streets as they evolve. I remember, when I came into this House 21 years ago, that there was a similar angst among our electorates about the growth of out-of-town supermarkets and the impact that that was having on high streets. High streets evolved and survived and, in many cases, prospered. Now they are facing another challenge and we must help them again to rise and meet it.
ParlaMint-GB_2018-09-11-commons.u105	Sheffield city region has the lowest hourly pay of any city region, at £1.15 below the national average. A real living wage, action on zero-hours contracts and tougher labour market regulation would transform the lives of hard-pressed working people across South Yorkshire. When will the Government recognise that and do something?
ParlaMint-GB_2018-09-11-commons.u106	The hon. Gentleman needs to look a little deeper. The real answer to low wages is improving productivity. The challenge for this Government—for any Government in this country—is to work with industry, trade unions and training institutions to ensure that we address our productivity challenge. That means investment in infrastructure and skills, support for businesses to improve management and access to capital for growing businesses. Only when business is growing, successful and productive can it pay the higher wages that we all want to see.
ParlaMint-GB_2018-09-11-commons.u107	One of the people most interested in the trends in wage growth and inflation—and who gives the Treasury Committee evidence about that—is the Governor of the Bank of England. Will my right hon. Friend indicate to the House when he expects to be able to let us know about the discussions that he has been having with the current holder of that post about extending his position?
ParlaMint-GB_2018-09-11-commons.u108	Not least because he will have important views about wage growth and inflation.
