ParlaMint-GB_2018-05-21-commons.u1	1. What steps she is taking to implement the 2017 Budget changes to universal credit.
ParlaMint-GB_2018-05-21-commons.u46	We have updated the House regularly. I published a list of frequently asked questions and placed it in the House of Commons Library on 28 March. I wrote to the hon. Gentleman on 17 April again offering a meeting and I have yet to hear a response. My door remains open and we are getting on with great urgency to begin the repayments as soon as possible.
ParlaMint-GB_2018-05-21-commons.u47	From a PIP application being made to when an award is paid, what is the mode, the mean and the median waiting time?
ParlaMint-GB_2018-05-21-commons.u48	I thank my right hon. Friend for his question. I cannot answer with regards to the mode, the mean and the median, but I can tell him that the average waiting time at the moment is 12 weeks. We have worked very hard to bring down the waiting time so that people can get the support they need as soon as possible.
ParlaMint-GB_2018-05-21-commons.u49	As PIP is the entrance to mobility allowance, will the Government join the Treasury Committee and the Work and Pensions Committee in asking for a full National Audit Office inquiry into what is ostensibly a really good benefit?
ParlaMint-GB_2018-05-21-commons.u50	First, I would like to wish the right hon. Gentleman a very speedy recovery. I can see clearly that he has had an injury and I am sure I speak on behalf of all Members when I say that I hope he makes a very speedy recovery. We of course agree that it is really important that the NAO gets on with its work, but the Secretary of State will update the House shortly on progress.
ParlaMint-GB_2018-05-21-commons.u51	Will my hon. Friend confirm that this very important exercise regarding PIP payments is not likely to require any new face-to-face assessments?
ParlaMint-GB_2018-05-21-commons.u52	I thank my hon. Friend for that question. I can absolutely assure him that there will be no need for new face-to-face appointments or assessments.
ParlaMint-GB_2018-05-21-commons.u53	I have been helping identical twins who have the same genetic condition, which involves learning disabilities and associated health problems. Both were assessed for PIP at different times by different assessors. One was granted PIP and one was rejected. The case has now been resolved, but can the Minister not see that the system is totally unfit for purpose and needs overhauling?
ParlaMint-GB_2018-05-21-commons.u54	The very fact that the hon. Lady says the case has been resolved shows that the system is working. It is very important that we make the right decision first time. I have set in place a whole series of improvements to PIP. We have followed the advice given to us by the independent review of PIP and are working at pace to make the necessary changes.
ParlaMint-GB_2018-05-21-commons.u55	As a result of the incorrect guidance produced by Independent Assessment Services, formerly Atos, in relation to daily living activity 6—help with dressing—will the Minister tell the House how she proposes to estimate the number of claimants who have been incorrectly assessed for PIP, and to identify the claimants affected, provide a correct assessment and pay all the arrears due?
ParlaMint-GB_2018-05-21-commons.u56	I thank the hon. Lady for her question—we had a meeting last week where we discussed this case. The matter was brought to the Department’s attention by the Royal National Institute of Blind People in March. We have looked into the case and are absolutely assured that this is a one-off situation, but it is very important to me that we learn the lessons of how this happened. We are meeting the RNIB on Wednesday to see what further action we can take.
ParlaMint-GB_2018-05-21-commons.u57	But does the Minister not accept that the wording of the correspondence that was produced by Independent Assessment Services—sent to her by a number of voluntary organisations, including the RNIB—suggests that the guidance has potentially been widely circulated among assessors, and that for contracted assessors to produce independent guidance on social security law without the Department’s knowledge suggests a serious problem with contract management?
ParlaMint-GB_2018-05-21-commons.u58	I do not accept the premise of the hon. Lady’s questions. We are very clear that the personal independence payment assessment guide, which is published by the DWP and is on gov.uk, is the guidance that must be used by health professionals. The particular case was investigated and we have made sure that the procedures are in place to ensure that this does not happen again.
ParlaMint-GB_2018-05-21-commons.u59	7. What steps the Government are taking to help young disabled people into work.
ParlaMint-GB_2018-05-21-commons.u60	I want to make it absolutely clear to the House that I want us all to be as ambitious for disabled young people as we are for all young people, enabling them to fulfil their potential. We have a range of programmes to support the journey to work, including the young persons supported work experience programme, tri-work supported work experience and supported internships and apprenticeships.
ParlaMint-GB_2018-05-21-commons.u61	I am very grateful to the Minister for that answer. Apprenticeships have proved to be a huge success story in Corby and east Northamptonshire, so what steps are the Department taking to help to encourage young disabled people to take up those opportunities and ensure that they are accessible to all?
ParlaMint-GB_2018-05-21-commons.u62	My hon. Friend is a doughty champion for his constituents and it is great to see the number of people with learning difficulties or a disability starting an apprenticeship—it rose to 22,100 this year, 150 of whom are from Corby, which was a rise of 40 people on the year before. We want more employers to offer apprenticeships for disabled youngsters. The Department for Education has made adjustments to the maths and English standards and Access to Work is available.
ParlaMint-GB_2018-05-21-commons.u63	Would the Minister care to explain to my disabled constituent how new claim rules for Access to Work justify requiring confidential contracts of and employment information about the disabled person’s personal assistant, and how do those square with the general data protection regulation?
ParlaMint-GB_2018-05-21-commons.u64	The hon. Lady raises a very specific case. Of course, I will be very pleased to look into that, but let us be clear: Access to Work is providing invaluable support. It is enabling many more people with disabilities to play their full part in our society, including work. We have recently made a number of changes that have been widely welcomed.
ParlaMint-GB_2018-05-21-commons.u65	When I ask young disabled people, “If you were the Minister, what would be your No. 1 priority?”, the answer is always to have an opportunity to work and, for some, to run their own business. The NESTA innovative technology fund was one of the most exciting ways to support disabled entrepreneurs, through prize money and matching them up with mentors. Will the Minister do all that she can to help to reinstate this important opportunity?
ParlaMint-GB_2018-05-21-commons.u66	I absolutely agree with my hon. Friend that we should be as ambitious for disabled people as we are for anyone else, and that includes enabling them to set up their own business. He raises a particularly important scheme, but there have been other innovations through the employment allowance and the support that is available through Access to Work. Indeed, Microsoft has just launched a fantastic new fund of £25 million to help with assistive technology and people setting up businesses.
ParlaMint-GB_2018-05-21-commons.u67	What assessment has the Department made of the impact of the abolition of the independent living fund on disabled young people?
ParlaMint-GB_2018-05-21-commons.u68	As the hon. Gentleman knows, responsibility for the independent living fund was given to local authorities, which are very well placed to join up services in their communities to the benefit of all disabled people, including young disabled people.
ParlaMint-GB_2018-05-21-commons.u69	8. What steps her Department is taking to improve social mobility.
ParlaMint-GB_2018-05-21-commons.u70	The Department for Work and Pensions plays a vital role in social mobility, including by helping people to enter the labour market or to progress in work and earnings. The number of people in employment across the country is at a record 32.34 million, and that includes historically under-represented groups, among them disabled people. As a consequence, we have reduced the number of children living in workless households by 600,000.
ParlaMint-GB_2018-05-21-commons.u71	Training opportunities are vital to boosting social mobility, because they help to get people into work. What is the Secretary of State doing to work with recruitment agencies, such as Prime Appointments in Witham, to enable more people to get into work, especially those in part-time work or on universal credit?
ParlaMint-GB_2018-05-21-commons.u72	My right hon. Friend is living proof of social mobility—her family came here from Uganda, started a newsagents and expanded their business—and is right to ask: how can we get people into a job, and how can we help with recruitment and apprenticeships? I am working with the Recruitment and Employment Confederation to look at those opportunities and also with the Secretary of State for Education—that is where responsibility for apprenticeships is held, but we will do all we can to support my right hon. Friend.
ParlaMint-GB_2018-05-21-commons.u73	In Stoke-on-Trent, one of the best ways of achieving social mobility is through our wonderful further education system, so will the Secretary of State please impress upon her colleagues at the Department for Education that properly funded further education, whether that be sixth-form colleges or other establishments, is needed and that they must make sure it is provided?
ParlaMint-GB_2018-05-21-commons.u74	I will send the hon. Gentleman’s message to the Department for Education, but in this Department we do as much as we can, whether through traineeships or sector-based work academies, to support young people. It is about choice: do they want a job, an apprenticeship or further education?
ParlaMint-GB_2018-05-21-commons.u75	Helping more carers to get into work and stay in work would certainly boost social mobility in the UK. I am grateful to the Secretary of State for coming to Shipley to visit Carers’ Resource. What progress has been made on developing a kitemark for employers to help more carers get into work and stay in work?
ParlaMint-GB_2018-05-21-commons.u76	My hon. Friend raises a very good point: how do we best support carers, who do a vital job to support other people? When I visited his constituency and Carers’ Resource and met some of its carers, they told me they wanted a kitemark—they wanted to know which was a good business, who they could work for, who was deploying best practice. The Department of Health and Social Care is working on this with Carers UK, but we are also starting a new group between Departments, and I encourage Carers’ Resource to take part.
ParlaMint-GB_2018-05-21-commons.u77	One of the hardest-to-reach groups of children are those living in kinship care with chaotic family relationships: one moment they might be with their real parents, the next they might be being looked after. What discussions is the Secretary of State having with the children’s Minister to make sure they do not slip through the net?
ParlaMint-GB_2018-05-21-commons.u78	The hon. Lady is right about kinship care and to ask how we can support kinship carers and those children, which is why I was pleased to be able to say that through tax credits we would be maintaining our vital support for kinship carers. I am more than happy to speak to other Ministers to ensure we give those children and families the best support we can.
ParlaMint-GB_2018-05-21-commons.u79	9. What assessment her Department has made of the effect of the introduction of universal credit on the ability of victims of domestic violence to claim benefits.
ParlaMint-GB_2018-05-21-commons.u80	Universal credit continues to support victims of domestic violence to claim benefits through a range of measures. These include special provisions for temporary accommodation and same-day advances. Work coaches will also signpost domestic violence victims to expert third-party support.
ParlaMint-GB_2018-05-21-commons.u81	I am grateful for the Minister’s response, but the Government have still not committed to assessing the operation of split payments or collecting data. Will they commit to looking at specific areas of new universal credit roll-out, such as Leigh, which has also been highlighted as a hotspot by the local police, to ensure that we are adequately safeguarding victims?
ParlaMint-GB_2018-05-21-commons.u82	Obviously we take domestic violence enormously seriously at the Department, and we certainly believe that we should play our part in detecting and seeking to combat it. We will keep the position under review. As we have said, we remain open-minded on the issue of split payments. If the Scottish Government proceed with their wish to introduce them, we will note what progress is made, and will review the issue in due course
ParlaMint-GB_2018-05-21-commons.u83	10. What progress is being made on automatic enrolment for employees in Cheadle constituency.
ParlaMint-GB_2018-05-21-commons.u84	Automatic enrolment is a cross-party success story, with more than 9.6 million workers enrolled in pensions saving and more than 1.2 million employers meeting their duties. Approximately 9,000 eligible jobholders have been automatically enrolled in my hon. Friend’s constituency, with 1,600 employers meeting their duties and supporting them.
ParlaMint-GB_2018-05-21-commons.u85	Typically, the young are a difficult demographic to encourage to save early, as retirement seems a distant milestone to them. What steps is the Minister taking to encourage more people entering the workforce to stay in their workplace schemes to ensure that they have steady incomes when they retire?
ParlaMint-GB_2018-05-21-commons.u86	My hon. Friend is right, and younger people agree with that. When NOW: Pensions carried out research, it found that only 4% of its 22 to 29-year-old members opted out. Our “Automatic enrolment review 2017” set out our plans to make saving the norm by lowering the age of automatic enrolment from 22 to 18. When an employee pays in, the employer pays in as well, and the Government pay in the tax relief.
ParlaMint-GB_2018-05-21-commons.u87	11. What progress is being made on increasing private pension provision in Windsor constituency.
ParlaMint-GB_2018-05-21-commons.u88	Private pensions have been transformed by automatic enrolment, which is a social reform of which all Members should be proud. It involves behavioural economics and nudge theory. In my hon. Friend’s constituency, 30,000 eligible jobholders have been automatically enrolled and 2,310 employers have done their duties.
ParlaMint-GB_2018-05-21-commons.u89	I am delighted with the Government’s progress in helping people to save for retirement, particularly through lifetime ISAs and workplace pensions. Does my hon. Friend agree that, given the open banking initiative and the pensions dashboard, the FinTech industry can help to nudge people to save more and create greater competition in the private pensions sector?
ParlaMint-GB_2018-05-21-commons.u90	The pensions industry can and should make the most of the opportunity presented by FinTech. We believe that if it is to succeed, it will be vital for industry and Government to collaborate in the development of the pensions dashboard. As others countries have shown, pensions dashboards are a fantastic way of giving people access to pension information in a clear and simple form, bringing together an individual’s savings in a single place online.
ParlaMint-GB_2018-05-21-commons.u91	rose—
ParlaMint-GB_2018-05-21-commons.u92	Well, the question was about Windsor, but the answer was broad and expansive in its scope. The hon. Member for Horsham (Jeremy Quin)—as befits a former constituency chairman of mine—is a keen young fellow, and I think that we should hear from him.
ParlaMint-GB_2018-05-21-commons.u93	Young? You flatter me, Mr Speaker. I already had my excuse: I was going to say that we were all taking a close interest in the Windsor constituency at present. My particular interest, in relation to Windsor pensioners, is in the fact that they are being held back by a lack of knowledge about their pension provision. Does my hon. Friend agree that a properly constituted pensions dashboard would encourage pensioners to take their own fate in their hands, and would encourage accountability?
ParlaMint-GB_2018-05-21-commons.u94	It is true that Windsor is the centre of the universe, and we should all congratulate Prince Harry and Meghan on their marriage at the weekend. It is also true that Windsor, and all parts of the United Kingdom, will benefit from the pensions dashboard. The internet has transformed travel, insurance and other businesses when they have gone online, and we believe that when the pensions industry comes out of the Victorian age and goes online, there will be great progress for everyone.
ParlaMint-GB_2018-05-21-commons.u95	12. What assessment she has made of the appropriateness of the eligibility criteria for attendance allowance.
ParlaMint-GB_2018-05-21-commons.u96	Attendance allowance is available to those aged over 65, and entitlement is based on the ongoing need for frequent personal care and attention, or supervision, to ensure personal safety. The Government believe that the current long-standing qualifying rules for the allowance are working well. It is a popular benefit. Nearly 1.5 million people are currently receiving it, including 2,000 in the hon. Gentleman’s constituency.
ParlaMint-GB_2018-05-21-commons.u97	Before Christmas, I raised with the Prime Minister the case of Mr Walker from Great Harwood, in my constituency. Mr Walker was a fit and able pensioner until, at the age of 69, he was run over by a drunk driver. He is now quadriplegic, paralysed from the neck down. He and his wife are struggling, and their Ford Fiesta is of no use whatsoever. He has been released from hospital, and he is not being given the help that he needs. Why is a previously fit and healthy 69-year-old man not entitled to the disability help that he needs—such as a Motability car—because of his age?
ParlaMint-GB_2018-05-21-commons.u98	The hon. Gentleman recounts the truly tragic case of his constituent, and of course he will be able to apply for attendance allowance, but that is not the only support available. Clearly he will need support from the NHS and adult social care, where a range of support is available, and attendance allowance can be used on Motability aids as well.
ParlaMint-GB_2018-05-21-commons.u99	13. What mental health awareness training her Department provides for personal independence payment assessors.
ParlaMint-GB_2018-05-21-commons.u100	Assessment providers write and deliver training for health professionals; this includes how to identify the impact of mental health conditions on claimants. We require providers to have mental health function champions who are available to provide advice and support. They must have at least two years’ full post-registration clinical experience in the management of the relevant conditions.
ParlaMint-GB_2018-05-21-commons.u101	I suggest the Minister goes back and sees how that works in practice. A constituent came to see me recently about their personal independence payment assessment; they were asked during the course of the assessment why they thought their previous suicide attempts had not been successful. Does the Minister share my disgust at that cruel, inhumane and disgusting way of asking questions?
ParlaMint-GB_2018-05-21-commons.u102	From the way the hon. Gentleman has presented that, of course I would unequivocally agree that it was totally unacceptable. The assessors are not given a script, and we expect them to treat everybody with utter respect and dignity.
ParlaMint-GB_2018-05-21-commons.u103	On Friday I attended a simulated work capability assessment in Chelmsford and it was very helpful. What progress is my hon. Friend making to ensure that all assessments for employment and support allowance and PIP can be more regularly recorded so that those with mental health and other concerns have greater transparency?
ParlaMint-GB_2018-05-21-commons.u104	I am pleased that my hon. Friend took the opportunity to visit her assessment centre; I am always happy to arrange these meetings so that hon. Members can see at first hand what is usually a very professional, very compassionate assessment. But of course we want to go further and make sure that every assessment is a good assessment, and recording is definitely part of our plans for improvement.
ParlaMint-GB_2018-05-21-commons.u105	Some 75% of claimants in Wales who appealed against decisions to reduce or stop PIP were successful; that is 8,000 people in Wales who have needlessly worried about having payments stopped. The Prime Minister and the Secretary of State for Wales were unavailable to comment on this at the Welsh Conservative conference on Friday, but can the Minister tell the House when the Government are going to get a grip on this situation?
ParlaMint-GB_2018-05-21-commons.u106	Some 3.1 million PIP decisions have been made, and 9% of them have been appealed and 4% of those have been overturned. I am absolutely determined to make sure that we make the right decision every time; we should get it right the first time, and we have put in place a whole series of actions to make sure that that is the case.
ParlaMint-GB_2018-05-21-commons.u107	The Secretary of State accepted that there was a failure of assessment of people with mental health conditions and said that this would be remedied, but we have been told by our job centre that guidance has not changed, and a young man who is suffering from appalling post-traumatic stress disorder in my constituency is still being treated as if he does not qualify. When will guidance actually change? We are still producing more injustices.
ParlaMint-GB_2018-05-21-commons.u108	As I said in answer to an earlier question, we insist and make sure that the healthcare professionals undertaking the assessments are appropriately trained and have the right expertise, and the guidance is kept under constant review to make sure we get it right first time.
ParlaMint-GB_2018-05-21-commons.u109	14. What recent assessment she has made of trends in the level of fees and charges applied by asset managers to the investments made by defined contribution and defined benefit pension schemes.
ParlaMint-GB_2018-05-21-commons.u110	The Government recognise that customers need value for money, but lowest cost does not always mean best value. By working with the Financial Conduct Authority, we believe price transparency for trustees can drive effective competition and allow asset managers who can add value to thrive.
ParlaMint-GB_2018-05-21-commons.u111	The Minister will recall my earlier question to him on 9 October last year, but is it not the case that all essentially private pension schemes, defined benefit or not, incur costs and uncertainties that significantly reduce benefits to savers, and the only way to minimise such costs is to establish a universal full-blown defined contributions and defined benefits state earnings-related pension scheme for all?
ParlaMint-GB_2018-05-21-commons.u112	The hon. Gentleman will be aware that the Financial Conduct Authority published the final rules in September 2017, and that independent governance committees on personal workplace pensions have had rules in force since January. On his discrete point, surely auto-enrolment, with 9.6 million people in this country signed up to it, and the enhanced state pension, which stands at over £1,250 more than in 2010, are the answers to his question.
ParlaMint-GB_2018-05-21-commons.u113	16. What financial support is available for disabled people who incur costs relating to their condition which welfare payments are not designed to meet.
ParlaMint-GB_2018-05-21-commons.u114	There is a wide range of financial support available to disabled people who incur extra costs relating to their condition which welfare payments are not designed to meet. These include: Access to Work, disabled students allowances, disabled facilities grants, the disabled person’s bus pass and railcard, and VAT relief on certain items, goods and services.
ParlaMint-GB_2018-05-21-commons.u115	I should like to thank the Government for instituting the bursary scheme for disabled parliamentary candidates; that is good news. On another matter, Scope, the charity supporting disabled people, has found that disabled people have £108,000 less in savings and assets, yet when they go to hospital—not out of choice, but because they have to—Scope finds that something like 50% of hospitals are still charging disabled people to park their cars. Will my hon. Friend lobby the Department of Health and Social Care to remove those charges and scrap hospital parking charges for all disabled people?
