ParlaMint-GB_2018-10-22-lords.u1	To ask Her Majesty’s Government what steps they are taking to reduce youth crime in London.
ParlaMint-GB_2018-10-22-lords.u96	My Lords, we welcome the Government’s significant movement towards the use of the treaty procedure, which we and, I believe, the Labour Benches argued for at the previous stage. I was concerned that the amendment was incomplete, and the Minister has explained why her amendment refers to “laying” the treaty, but not the other provisions of Section 20 and several subsequent sections of the Constitutional Reform and Governance Act As the Minister has told the House, it is quite a complicated and potentially long drawn-out procedure. I accept that, but it is long drawn-out because it is designed to give Parliament a proper opportunity to have input into the final product of the treaty, with various stages for its consideration, ending up in ratification. The Minister, in arguing on the first group of amendments, stressed the importance of the procedure. She has just said that the Government might want to make a designation before ratification. It seems to me that this nullifies the impact of the procedure process, and assumes that Parliament will ratify—in other words, will vote as the Government tell it to, which is precisely the arrangement we do not want in place The Minister has, however, just talked about the treaty not coming into force until ratification—she is nodding at that, for which I am grateful. I wonder whether she would be prepared to have a discussion—she has been prepared for lots of discussions on the Bill already, for which we are grateful—about an amendment we might table at Third Reading to tidy this up, encapsulating what she has just said to the House about delaying the process until the parliamentary process has been completed. I had better move this amendment, and then we can debate it.
ParlaMint-GB_2018-10-22-lords.u97	My Lords, I am sorry that I have not been very clear. I am very happy, should the noble Baroness wish to withdraw Amendment 5 and accept Amendment 4, to have a discussion before Third Reading—we have discussed our way through this Bill—but in the meantime I ask her to withdraw Amendment 5.
ParlaMint-GB_2018-10-22-lords.u98	Of course I am happy to do that. I am sorry, I thought that was implied. I do not wish any more exercise on noble Lords than we need to have during the course of this afternoon. I look forward to that discussion and I beg leave to withdraw the amendment.
ParlaMint-GB_2018-10-22-lords.u99	The Bill extends the ability of law enforcement agencies through overseas production orders to obtain electronic data held by service providers overseas for the purposes of fighting serious crime, including terrorism. Since the assumption is that an agreement with another country will be reciprocal, the terms of the Bill when implemented will also, in reality, allow law enforcement agencies in that other country with which we have a reciprocal agreement to more easily obtain electronic data held by service providers in this country. But the Bill does not appear to provide adequate safeguards against confidential journalistic material being handed over in a way that results in sources losing their anonymity. We thus appear to have a Bill that potentially compromises the position and values of our free press. If sources of information do not feel that their anonymity will be protected, they are much less likely to provide information to journalists—information that might bring to light corruption, fraud, sexual offences, adverse environmental activity or failings by large organisations or government, for example, that those involved might wish to keep secret Clause 12 requires that where an overseas production order is made in respect of confidential journalistic data, it must be made on notice. The agency applying for the overseas production order would have to judge whether the material sought was ordinary or confidential journalistic material, but there is no guarantee under the Bill as it stands that the journalist, or indeed media organisation, will be able to make representations to the court. There is no requirement in the Bill for the journalist or media organisation that acquired the confidential material to be informed. The judge has a discretion to notify the journalist but not a duty. Without a requirement to notify the journalist or media organisation, take representations from them and have regard to what they say, there is no means by which journalists or media organisations can seek to protect their source This amendment seeks to address this concern by providing the right of journalists or media organisations to be given notice that an order in respect of confidential material is being sought, and to then be able to make representations to oppose the making of an order involving such journalistic material. It would also provide that the judge must be satisfied that there is a public interest that overwrites the confidentiality of the data sought before an order is made. If the Government have concerns that there might be journalists whom they would not wish to inform of an application for an order, then the advice could be given to the media organisation for whom that journalist worked The amendment seeks to ensure the continuation of an important safeguard. I beg to move.
ParlaMint-GB_2018-10-22-lords.u100	My Lords, from these Benches we had an amendment in Committee requiring the court to be, “satisfied that … data … is not confidential journalistic data” We were concerned that the Government had not consulted the NUJ or other organisations; I wonder whether they have had an opportunity for a discussion since then. The News Media Association certainly made its views clear with its concern about what it described as an artificial distinction between “journalistic material” and “confidential journalistic material” and what might flow from that distinction New subsection (8C)(b) proposed in Amendment 6 seems to make all data held by a person acting as a journalist “confidential journalistic data”. I see the attraction in that but I wonder whether this is the place to treat material differently from how it is treated elsewhere in UK law—in other words, I wonder about making that provision apply for the purposes of this piece of legislation only, which is a fairly small piece of the jigsaw of legislation that applies to journalism. Can the noble Lord, Lord Rosser, confirm when he winds up whether I have read this correctly: is he eliminating a distinction in this piece of legislation only, and only in the circumstances to which it will apply With regard to Amendment 11, we support a requirement to give notice of an application. We had an amendment to that effect in Committee, and we have amendments in the next grouping that are an attempt to respond to the Minister’s comments on the issue then.
ParlaMint-GB_2018-10-22-lords.u101	My Lords, the Bill provides that journalistic material which is non-confidential can be obtained through an overseas production order without having to give notice. This type of material may, for example, be the manuscript or copy that the journalist is working on. A judge must be satisfied that the material is relevant to a UK investigation and in the UK public interest before he can approve an order to obtain it. The Bill implicitly recognises that a person named in an order may merely store data on behalf of a person, including those who create or acquire it for journalistic purposes. Journalistic material that is already published is unlikely to form part of an application for an overseas production order. That is because this material can already be freely accessed by law enforcement agencies, and there would be no need to compel production of information that was already in the public domain However, where information relates to confidential journalistic material—that is, it is created subject to an obligation that it would be held in confidence and that obligation continues to be held, or it is held subject to a restriction on disclosure or obligation of secrecy contained in legislation—that material will be subject to the notice provisions under Clauses 12 and 13. Therefore, if a journalist stores information—whether in their manuscript, copy or otherwise—that relates to or contains such confidential material, that can be sought but only if an application is made “on notice”. We expect court rules to set out that such an application cannot be determined by the court in the absence of a respondent unless they have waived the opportunity to attend. That already exists in court rules in relation to domestic production orders if, for example, the police wish to obtain access to a journalist’s notebook Our objective is to protect legitimate journalism, ensuring that those who may wish to harm us cannot hide behind claims of the data being journalistic to evade investigation or prosecution. Coupled with that, we have been clear that material acquired or created by the journalist to further a criminal purpose is not considered journalistic material. That terminology is borrowed from the Investigatory Powers Act 2016, which sought to ensure that safeguards and protections were targeted at legitimate forms of journalism The reason that the Government have carved out material, “created or acquired with the intention of furthering a criminal purpose”, is to follow the direction that the Investigatory Powers Act identified, which is that safeguards should not exist for those who intend, through media channels, to do us harm, but then seek to hide behind spurious claims of journalism. One example is the media wing of Daesh, which may use an internet blog designed to disseminate harmful information and claim that it was journalistic material and therefore not caught by the provisions. Conversely, if a journalist acquires a leaked document from a source which alludes to criminal conduct, the journalist acquires it for journalistic purposes, not with the intention of themselves furthering a criminal purpose.
ParlaMint-GB_2018-10-22-lords.u102	I may have misheard the Minister and therefore misunderstood her argument, but she seemed to be saying at one point that my noble friend’s amendments were not necessary because this is already covered under the PACE regulations. Is that the reason for resisting it—it is not necessary because it goes no further—or is she suggesting that there are elements of it which do go further that the Government are resisting? If the latter is the case, perhaps she could indicate to us what has gone further that she does not like. If it is simply that it is not necessary, can she explain why the Government are resisting it?
ParlaMint-GB_2018-10-22-lords.u103	I think I have already explained at length why it is not necessary. If Clause 12 were to be amended, a court would not be able to make an overseas production order in relation to confidential journalistic material unless the requirements set out there were satisfied.
ParlaMint-GB_2018-10-22-lords.u104	So there is no objection to what my noble friend has tabled; the Minister is saying simply that it is not necessary?
ParlaMint-GB_2018-10-22-lords.u105	That is what I am saying, yes.
ParlaMint-GB_2018-10-22-lords.u106	The protection of sources in relation to confidential journalistic data is very important to the free press in our country. I pointed out—and, as far as I understand it, this is not being contested by the Government—that there is no requirement in the Bill for the journalist or media organisation which acquired the confidential material to be informed. That seems to be a significant hole in the legislation. Surely in that situation the journalist or media organisation concerned should be able to make representations and to oppose the granting of an order; in other words, their voice should be heard—perhaps, from their point of view, to seek to protect their confidential sources I note the Government’s argument that this is already provided for in other legislation. I say only that we are dealing with something here which can relate also—under reciprocal arrangements, presumably—to orders made by a court in another country and not only in relation to orders made by a court in this country. In that situation it is absolutely vital, even if the Government believe that the safeguards are already there, that the ability of a journalist or media organisation to be informed of an application for an order, and the chance to appear and make representations in connection with that order, should be repeated in the Bill. I wish to test the opinion of the House.
ParlaMint-GB_2018-10-22-lords.u107	My Lords, Amendment 7 is an amendment to Clause 5, which deals with the contents of an order. If my amendment were agreed to, subsection (2) would read: “The judge must not specify or describe in the order electronic data that … consists of or includes excepted electronic data” The clause would not include the phrase, “the judge has reasonable grounds for believing”, includes excepted data. That may sound as if I am dancing on the head of a pin but I think it is quite an important issue. In Committee I explained that I was seeking a formula that was objective. The Minister responded by referring to the phrase “reasonable grounds” being used elsewhere in the Bill. Indeed, the clauses that she mentioned, Clauses 1 and 7, include that phrase but they are not about an order; they are about the basis for making an application, which I suggest is a rather different matter I accept that, as she said, the contents of data may not be known until they are produced, but without our amendment, or some such amendment, the judge could make an order that it later turned out did include excepted data. I was looking for an objectively based exception because how otherwise do you appeal? Would you be appealing against the judge’s reasonableness? That would not be the same as appealing on the basis that the data was excepted. I would find it very uncomfortable to have to appeal against whether or not a judge was reasonable. What really should be at issue is the character of the data, and we are not satisfied that the Bill really addresses that. I beg to move.
ParlaMint-GB_2018-10-22-lords.u108	I thank the noble Baroness for moving her amendment and for raising this point again. Perhaps my response in Committee was not persuasive enough for her The Bill has been drafted to include multiple safeguards so that a person is not required to produce excepted electronic data. “Excepted electronic data” means electronic data that is either an item subject to legal privilege or a confidential personal record. The Government do not want to see overseas production orders being used to obtain such information, nor do we expect our officers to target it First, Clause 1(3) sets out that an appropriate officer must not apply for an overseas production order in respect of electronic data where that officer has reasonable grounds for believing that it consists of excepted electronic data. Clause 5(2) includes another one of these safeguards: a judge must not specify or describe data in an overseas production order where he or she has reasonable grounds for believing the data sought includes or consists of excepted data. The wording “reasonable grounds for believing” is important given that there is no guarantee, at the time of considering an application, that either the judge or the applicant can be certain if the data sought will, in fact, contain excepted data Let me put it in this context: say the email records of criminal X were requested from June in a certain year because law enforcement agencies believed they had been communicating for criminal purposes with someone else. It would be impossible for either the law enforcement agency or the judge to know for certain that within those emails, there also happened to be correspondence between criminal X and their doctor. I understand that the noble Baroness’s concerns in Committee were about the objectivity of the judge in allowing an order including potentially excepted data. The Government believe that the term “reasonable grounds for believing” gets us as close to objectivity as practicable. If a judge has “reasonable grounds for believing” that excepted data is included in the data sought in an application, they will not specify that excepted data when making the order. But if they do not have “reasonable grounds for believing”, as long as the other criteria are satisfied, the judge can make the order Indeed, should the respondent in receipt of an order know that it includes excepted data, Clause 6(4)(b) ensures that, despite the terms of the order, they are not required to produce that data. The noble Baroness asked in Committee how, if electronic data was within an order, it could be varied or revoked. The fact that the respondent is under no obligation to produce the excepted data removes any need for the respondent to apply to vary or revoke the order. To the extent that the order includes excepted data, it has no effect If we return briefly to criminal X, if a judge has allowed an order to be served on a communication service provider where the judge did not know that the emails requested included medical records, but the CSP did, that CSP would not be required to produce those emails. If the CSP provided the emails, knowingly or by accident, the data would then be sifted out by the appropriate body during the sifting exercise. It is therefore reasonable and proportionate for the Bill to retain the term “reasonable grounds for believing”, and it is a sensible reflection of what would happen in practice with overseas production orders I hope that, with that explanation, the noble Baroness will feel happy to withdraw her amendment.
ParlaMint-GB_2018-10-22-lords.u109	My Lords, I am grateful to the Minister. Much of what we said was what we rehearsed in Committee. I have been looking to see whether Clause 6, which deals with the effect of the order, would meet my point. It takes us straight to the provision about the order having effect despite any restriction on the disclosure of information, which we found a difficult provision when we discussed it in Committee I will not tax the House by continuing with this at this stage, but I hope that the Minister will understand that I was not simply playing with words; there is real concern that the way that the Bill has been framed raises questions which people may have to grapple with in practice. I hope that they do not have too hard a time. I beg leave to withdraw the amendment.
ParlaMint-GB_2018-10-22-lords.u110	My Lords, Amendment 9 is grouped with Amendment 10. I thought that the point about court rules might get a bit lost in the debate on journalistic data, which is why I separated them when we were asked to approve the groupings In the context of journalistic data, in Committee the Minister relied heavily on how rules of court would operate. Clause 11 provides that the rules “may” make provision. I appreciate that rules will be made, because that is the way things are, but drafting styles change. I find this quite difficult; I get left behind with what is the up-to-date style. In ordinary speak—and I understand that attempts are being made to make parliamentary drafting as close to that as it can be—“may” is not the same as “must” or “shall”. I appreciate that there are differences between “may” and “must” elsewhere in the Bill, for instance in Clauses 8(1) and 8(3).
ParlaMint-GB_2018-10-22-lords.u111	My Lords, the noble Baroness has suggested amendments stipulating that court rules must make specific provision for certain things. Amendment 10 prescribes that court rules must be made relating to service of notice on a data controller, a data subject or where the application relates to journalistic data. I hope that I have already set out how we intend rules to include notice provisions in respect of the respondent and anyone else affected by an order. The rules already made by the Criminal Procedure Rule Committee in England and Wales for applications for production orders under Schedule 1 to the Police and Criminal Evidence Act 1984, and under other legislation, already include provision for the service of notice of applications, and additional special requirements where what is sought is the product of journalism. I refer the House to Part 47 of the Criminal Procedure Rules. The Criminal Procedure Rule Committee has already settled draft rules that, if this Bill passes, would be in terms corresponding with those existing rules We expect the court rules to include the same provisions as are currently in place for domestic orders. They would provide that a court must not determine any application for an overseas production order in the absence of the respondent, or other person affected, except in the following circumstances. First, the person has at least two days in which to make representations. Secondly, the court is satisfied that the applicant cannot identify or contact the person. Thirdly, the court is satisfied that it would prejudice the investigation if that person were to be present. Fourthly, the court is satisfied that it would prejudice the investigation to adjourn or postpone the application so as to allow the person to attend. Fifthly, the person has waived the opportunity to attend. In the case of an application which would require the production of confidential journalistic material, the court must not determine the application in the absence of the respondent until they have waived the opportunity to attend. I hope that that satisfies the noble Baroness on Amendments 9 and 10.
ParlaMint-GB_2018-10-22-lords.u112	My Lords, we have learned about the draft of the new rules and I am grateful for that. It is obviously difficult to take them in simply by listening and not reading them, although I noted the wording that one of the exceptions was that the court was satisfied that the person concerned—I am not sure what the technical term would be—“cannot” contact somebody. That is not the same as “will not” contact: anybody “can” contact someone, so I suspect that there might be a little more reflection on that Throughout the Bill’s progress, we have been told that the Government “intend” something or “expect” something. There comes a point when one hears that rather too often not to want to see something on the face of the Bill when it is material to the Bill. However, I am glad to have heard that progress has been made with regard to the rules and I beg leave to withdraw the amendment.
ParlaMint-GB_2018-10-22-lords.u113	My Lords, were we to leave the European Union, the EU would examine our data protection regime to satisfy itself that it would be safe for the EU 27 to continue to exchange electronic data with the UK. This continued exchange of data is essential not only for law enforcement and counter- terrorism purposes but for commercial transactions. The Government have recently passed the Data Protection Act 2018, which not only provides the necessary infrastructure to enable the UK to comply with the General Data Protection Regulation, a piece of EU legislation, but ensures that the UK complies with EU standards of data protection in relation to law enforcement and national security that are not covered by GDPR. In other words, the UK is ensuring that it complies with all EU data protection standards, so as to guarantee that it will be issued with a certificate of adequacy that will enable continued exchange of electronic data if we leave the EU If, as a result of this Bill or the treaties associated with it, UK companies were required to provide law enforcement agencies in other countries with personal data covered by the Data Protection Act and/or GDPR, and those foreign law enforcement agencies’ data protection standards were deemed by the EU to be inadequate, there is the potential for the EU to withdraw its adequacy certificate from the UK. Basically, if member states of the EU share data with the UK, and the UK shares that data under this Bill with law enforcement agencies that have inadequate data protection standards, the EU might stop sharing data with the UK. This amendment is designed to ensure that this does not happen. I beg to move.
ParlaMint-GB_2018-10-22-lords.u114	My Lords, the noble Lord, Lord Paddick, raised an issue about which Act would take precedence in the event of a conflict between this Bill—when it becomes an Act—and the Data Protection Act 2018. His amendment makes clear that, in the case of a conflict, the DPA, along with the GDPR, would take precedence. That seems quite sensible: it gives us certainty on the matter, for the reasons outlined by the noble Lord. I support his amendment.
ParlaMint-GB_2018-10-22-lords.u115	I thank both noble Lords for their points. There has been nothing in our own domestic law that requires a UK provider to comply with an overseas order. There will therefore be no conflict with domestic law if a CSP decides that complying with a foreign order would put it in breach of its obligations under the GDPR The existence of any conflict with UK data protection law does not have the effect of making the order from the other country invalid. Equally, the existence of the order does not compel the UK CSP to ignore its data protection obligations under UK law. It will be for the CSP on which an order is served to reconcile and comply with all legal obligations it is under. It could apply for the variation or revocation of the order, or use the dispute resolution mechanism that we expect all specific international agreements to include. That said, we do not think that this is likely to be necessary in practice. The GDPR contains several “gateways” which permit the cross-border transfer of personal data, including in response to a request or order from overseas law enforcement I know the noble Lord’s concerns about data protection, and I absolutely sympathise with him. We have discussed this before, and I think that ultimately we all want the same thing: adequate protection for the privacy rights of individuals. I hope that my explanation will satisfy the noble Lord that the Bill does not in any way threaten data protection rights, which are robustly protected by existing legislation. UK CSPs will continue to be bound by the GDPR and the Data Protection Act. Therefore, I hope that the noble Lord will feel happy to withdraw Amendment 12.
ParlaMint-GB_2018-10-22-lords.u116	I am grateful to the Minister. I understand that she has just said that a communications service provider could refuse to comply with an order coming from overseas if the CSP believes that that would bring it into conflict with the GDPR and the Data Protection Act, so I beg leave to withdraw the amendment.
ParlaMint-GB_2018-10-22-lords.u117	My Lords, I explained in Committee that Clause 7(1) creates a power for the judge to vary or revoke an overseas production order. Where a non-disclosure requirement is included in an overseas production order—by virtue of Clause 8— Clause 7 will apply so that the non-disclosure requirement can also be varied or revoked by a judge However, as I said to this House in Grand Committee, it is the Government’s intention that judges should be able to vary or revoke all orders made under the Bill. As well as overseas production orders, this includes other orders made under provisions in the Bill: for example, an order made under Clause 8(4) which maintains an unexpired non-disclosure requirement when an overseas production order has been revoked. It has also been the intention of government that the procedure and process for varying and revoking an order would be governed by court rules, mirroring current legislation for production orders under the Police and Criminal Evidence Act 1984 or the Terrorism Act 2000 We gave a commitment in Grand Committee to review whether provisions that can be made in court rules relating to non-disclosure requirements when an overseas production order has been revoked should themselves be capable of being varied or revoked on application. Clause 11 provides that court rules may make provisions in relation to the practice and procedure to be followed when making an overseas production order. But the Government accept that this could give rise to doubt as to whether court rules could make provision in respect of other orders made under the Bill. I have therefore proposed an amendment to Clause 17 that puts beyond doubt that court rules can be made not only in relation to overseas production orders but in respect of the types of orders made under Clause 8(4) and Clause 13(3) and (4)(b). This will include making provision for the practice and procedure to be followed when applying to vary or revoke such orders Noble Lords raised questions in Committee about the process concerning how someone could vary or revoke an order. The future appeals process also arose in the context of notices that could be served by another country party to an agreement on UK companies. While the Bill only deals with outgoing orders—that is, ones issued by a UK court—we have ensured that the remedies available to someone served with a domestic production order are available to a person served with an overseas production order, and we would expect the other country to do the same In addition, we envisage a dispute resolution mechanism as part of any agreement we might designate under the Bill, which would allow a service provider concerned about whether the order that was sought complied with the terms of the agreement to raise objections with the authorities of the country concerned. This would allow a UK service provider to raise objections if it believed that a particular order should not have been served under the agreement. At first instance, these objections would be raised with the issuing country. If the service provider was still not satisfied, it could then go to the relevant UK authority. There may be ongoing discussions between the two parties to the agreement, but ultimately it would be a decision for the relevant UK authority to say whether or not the request from the other authority could safely be given effect to. I hope this addresses the concerns raised in Committee.
ParlaMint-GB_2018-10-22-lords.u118	My Lords, I think it must be lucky 13 for the Minister. However, I have a question. It may be that I did not properly follow the latter part of her explanation but I come back to “normal speak”. The amendment says that the references, “include proceedings for the making, variation or revocation of an order” Is “include” here a synonym for “mean”? Do we read it as “references mean”? I am sorry to throw that at her at this point. Perhaps I should talk inconsequentially for a moment or two until she receives information via semaphore. The term does suggest that something else might be within the references. I think the Minister is about to get a response to that question.
ParlaMint-GB_2018-10-22-lords.u119	The answer is yes.
ParlaMint-GB_2018-10-22-lords.u120	With the leave of the House, I suggest that the Government return to this tiny thing before the next stage.
ParlaMint-GB_2018-10-22-lords.u121	My Lords, with the leave of the House I shall now repeat a Statement made in another place by my right honourable friend the Prime Minister. The Statement is as follows: “Mr Speaker, before I turn to the European Council, I am sure the whole House will join me in condemning the killing of Jamal Khashoggi in the strongest possible terms. We must get to the truth of what happened. My right honourable friend the Foreign Secretary will be making a Statement shortly At the European Council, in addition to Brexit, there were important discussions on security and migration. First, at last Monday’s Foreign Ministers meeting, my right honourable friend the Foreign Secretary and his French counterpart secured agreement on a new EU sanctions regime on the use of chemical weapons. At this Council, I argued along with Dutch Prime Minister Rutte that we should also accelerate work on further measures, including sanctions, to respond to and deter cyberattacks. The attempted hacking of the Organisation for the Prohibition of Chemical Weapons in The Hague earlier this year was a stark example of the very real threats we face. We must impose costs on all those who seek to do us harm, regardless of the means they use, and this Council agreed to take that work forward Secondly, in marking Anti-Slavery Day, I welcome the continued commitment of all EU leaders in working together to eliminate the barbaric crime of people trafficking. We reaffirmed our shared commitments to doing more to tackle the challenges of migration upstream Following the Council, I met Premier Li of China, President Moon of South Korea and Prime Minister Lee of Singapore at the ASEM summit. Since 2010, our trade with Asia has grown by almost 50%—more than with any other continent in the world. I want to develop that even further. Indeed, the ability to develop our own new trade deals is one of the great opportunities of Brexit, so at this summit we discussed how the UK can build the most ambitious economic partnerships with all our Asian partners as we leave the European Union. We also agreed to deepen our co-operation across shared threats to our security Turning to Brexit, let me begin with the progress we have made on both the withdrawal agreement and the political declaration on our future relationship. As I reported to the House last Monday, the shape of the deal across the vast majority of the withdrawal agreement is now clear. Since Salzburg, we have agreed the broad scope of provisions that set out the governance and dispute resolution arrangements for our withdrawal agreement. We have developed a protocol relating to the UK sovereign base areas in Cyprus. Following discussions with Spain, and in close co-operation with the Government of Gibraltar, we have also developed a protocol and a set of underlying memoranda relating to Gibraltar, heralding a new era in our relations. We have broad agreement on the structure and scope of the future relationship, with important progress made on issues such as security, transport and services. This progress in the past three weeks builds on the areas where we have already reached agreement: on citizens’ rights, on the financial settlement, on the implementation period, and, in Northern Ireland, on the preservation of particular rights for UK and Irish citizens and the special arrangements between us such as the common travel area, which has existed since before either the UK or Ireland ever became members of the European Economic Community Taking all of this together, 95% of the withdrawal agreement and its protocols are now settled. There is one real sticking point left, but it is a considerable one: how we guarantee that, in the unlikely event our future relationship is not in place by the end of the implementation period, there is no return to a hard border between Northern Ireland and Ireland. The commitment to avoiding a hard border is one this House emphatically endorsed and enshrined in law in the withdrawal Act earlier this year. As I set out last week, the original backstop proposal from the EU was one we could not accept, as it would mean creating a customs border down the Irish Sea and breaking up the integrity of our United Kingdom. I do not believe that any UK Prime Minister could ever accept this; I certainly will not As I said in my Mansion House speech, we chose to leave and we have a responsibility to help find a solution. So earlier this year, we put forward a counterproposal for a temporary UK-EU joint customs territory for the backstop. In a substantial shift in its position since Salzburg, the EU is now actively working with us on this proposal, but a number of issues remain. The EU argues that it cannot give a legally binding commitment to a UK-wide customs arrangement in the withdrawal agreement, so its original proposal must remain a possibility. Furthermore, people are understandably worried that we could get stuck in a backstop that is designed to be only temporary. There are also concerns that Northern Ireland could be cut off from accessing its most important market—Great Britain During last week’s Council, I had good discussions with Presidents Juncker, Tusk and Macron, Chancellor Merkel, Taoiseach Varadkar and others about how to break this impasse. I believe there are four steps we need to take. First, we must make the commitment to a temporary UK-EU joint customs territory legally binding, so the Northern Ireland-only proposal is no longer needed. This would protect relations not only north-south but, vitally, east-west. This is critical: the relationship between Northern Ireland and the rest of the UK is an integral strand of the Belfast/Good Friday agreement. To protect that agreement, we need to preserve the totality of relationships it sets out. Nothing we agree with the EU under Article 50 should risk a return to a hard border or threaten the delicate constitutional and political arrangements underpinned by the Belfast/Good Friday agreement The second step is to create an option to extend the implementation period as an alternative to the backstop. I have not committed to extending the implementation period. I do not want to extend the implementation period and I do not believe that extending it will be necessary. I see any extension, or being in any form of backstop, as undesirable. By far the best outcome for the UK, Ireland and the EU is that our future relationship is agreed and in place by 1 January 2021. I have every confidence that it will be and the European Union has said that it will show equal commitment to this timetable, but the impasse we are trying to resolve is about the insurance policy if this does not happen What I am saying is that if by the end of 2020 our future relationship is not quite ready, the proposal is that the UK would be able to make a sovereign choice between the UK-wide customs backstop and a short extension of the implementation period. There are some limited circumstances in which it could be argued that an extension to the implementation period might be preferable, if we were certain it was only for a short time. For example, a short extension to the implementation period would mean only one set of changes for businesses at the point we move to the future relationship. In any such scenario, we would have to be out of this implementation period well before the end of this Parliament The third step is to ensure that were we to need either of these insurance policies—whether the backstop or a short extension to the implementation period—we could not be kept in either arrangement indefinitely. We would not accept a position in which the UK, having negotiated in good faith an agreement which prevents a hard border in Northern Ireland, none the less finds itself locked into an alternative, inferior arrangement against our will The fourth step is for the Government to deliver the commitment we have made to ensure full continued access for Northern Ireland’s businesses to the whole of the UK internal market. Northern Ireland’s businesses rely heavily on trade with their largest market—Great Britain—and we must protect this in any scenario. Let us remember that all of these steps are about insurance policies that no one in the UK or the EU wants or expects to use. So we cannot let this become the barrier to reaching the future partnership we all want to see. We have to explore every possible option to break the impasse, and that is what I am doing When I stood in Downing Street and addressed the nation for the first time, I pledged that the Government I lead will not be driven by the interests of the privileged few, but by ordinary working families. That is what guides me every day in these negotiations. Before any decision, I ask: how do I best deliver the Brexit that the British people voted for? How do I best take back control of our money, borders and laws? How do I best protect jobs and make sure nothing gets in the way of our brilliant entrepreneurs and small businesses? And how do I best protect the integrity of our precious United Kingdom and protect the historic progress we have made in Northern Ireland If doing those things means I get difficult days in Brussels, then so be it. The Brexit talks are not about my interests; they are about the national interest—and the interests of the whole of our United Kingdom. Serving our national interest will demand that we hold our nerve through these last stages of the negotiations, the hardest part of all. It will mean not giving in to those who want to stop Brexit with a politicians’ vote, with politicians telling the people they got it wrong the first time and should try again. And it will mean focusing on the prize that lies before us: the great opportunities that we can open up for our country when we clear these final hurdles in the negotiations. That is what I am working to achieve, and I commend this Statement to the House”.
