ParlaMint-GB_2018-01-09-commons.u1	1. What steps his Department is taking to tackle the illegal wildlife trade.
ParlaMint-GB_2018-01-09-commons.u12	The hon. Lady asks an excellent question, because, of course, the illegal wildlife trade is intimately connected not just with the illegal timber trade, but with drug running, gun trafficking and the trafficking in human beings, so if we tackle the illegal wildlife trade, we drive down those phenomena as well.
ParlaMint-GB_2018-01-09-commons.u13	The illegal trade in ivory is estimated to be worth about $20 billion per annum, and yet the Government have so cut the Border Force that they are now looking at recruiting volunteers to fill the gap. What confidence can the House have that this illegal trade will be tackled if the Government are not prepared to put the resources into the Border Force?
ParlaMint-GB_2018-01-09-commons.u14	I have every confidence in our Border Force and its ability to police the traffic of illegal items such as ivory. It should be evident, I hope, to everybody coming from another country with such an illegal item in their possession that they face the risk not only of prosecution, but of jail.
ParlaMint-GB_2018-01-09-commons.u15	According to the World Wide Fund for Nature, rhino poaching in South Africa increased by 7,700% between 2007 and 2013. People in Broomhouse want to know what support the Secretary of State has offered his South African counterpart to help global campaigning to end this trade once and for all.
ParlaMint-GB_2018-01-09-commons.u16	I can tell the hon. Gentleman that the Minister for Africa has raised that very matter with the South African Government only recently.
ParlaMint-GB_2018-01-09-commons.u17	2. What discussions he has had with the Secretary of State for Defence on the application of the Military Covenant’s duty of care to veterans living abroad.
ParlaMint-GB_2018-01-09-commons.u18	I have not held full discussions with the Secretary of State for Defence on this subject. However, we feel deep respect for anybody who has served in the armed forces, and the Government have been pleased to put £770 million from the LIBOR fund into supporting veterans at home and abroad.
ParlaMint-GB_2018-01-09-commons.u19	Of course, we very much welcome that. According to the campaigning charity, ZANE: Zimbabwe A National Emergency, there are 600 former British servicemen—those who have served the Crown—and widows of servicemen living in considerable pensioner poverty in Zimbabwe. Does the Minister agree that although the financial responsibility is that of the Government in Harare, the moral responsibility lies also with us? With that in mind, will he commit to meeting the Secretary of State for Defence to discuss those people, and will he press the new Zimbabwean President, Emmerson Mnangagwa, to actually face up to his responsibilities to these people who are living in his country?
ParlaMint-GB_2018-01-09-commons.u20	I will absolutely commit to meeting the Secretary of State for Defence on this subject. We have met my right hon. Friend the Member for Mid Sussex (Sir Nicholas Soames) and Lord Goodlad to discuss the matter. The prime responsibility for looking after veterans of the Zimbabwean army lies with the Government of Zimbabwe, so we will also raise the issue directly with President Mnangagwa.
ParlaMint-GB_2018-01-09-commons.u21	This question relates to military personnel. We read in today’s Guardian that drone strikes have doubled and the number of civilians affected has doubled. What legal advice do military personnel involved in drone strikes receive?
ParlaMint-GB_2018-01-09-commons.u22	Order. Although it was a most ingenious attempt, I am afraid that the hon. Lady’s point is not merely tangential, but irrelevant to the substance of the question. She can have another go later, if she feels so inclined.
ParlaMint-GB_2018-01-09-commons.u23	3. What steps his Department is taking to promote the Commonwealth.
ParlaMint-GB_2018-01-09-commons.u24	We will be having a summit of the Commonwealth in April this year. As I am sure all Members know, that will provide a fantastic opportunity for us to showcase an institution that has stood the test of time. The Commonwealth brings together 52 countries —in fact, 52 of the fastest-growing economies in the world. It is a most remarkable institution. The summit will of course be an opportunity to pay tribute to Her Majesty the Queen for her long years of unrelenting service.
ParlaMint-GB_2018-01-09-commons.u25	Does my right hon. Friend agree that the summit taking place in April represents a major opportunity to revitalise the Commonwealth as an international trading alliance, and that India—with 55% of the Commonwealth’s 2.3 billion population and 26% of its internal trade—should play a major role in furthering that mission?
ParlaMint-GB_2018-01-09-commons.u26	My hon. Friend is absolutely right. It is therefore a very good thing that Prime Minister Modi will be coming. Of course, India will be playing a major role in the events.
ParlaMint-GB_2018-01-09-commons.u27	Last time I looked, there were 54 members of the Commonwealth, but perhaps I am wrong. The fact of the matter is that many people I meet from Commonwealth countries are very worried about the diminished role of Britain worldwide as we leave the European Union. What does the Secretary of State say about that? Many fear that we will lose our place on the Security Council.
ParlaMint-GB_2018-01-09-commons.u28	I can reassure the hon. Gentleman—as I am sure he reassures anybody who makes that point—that our position on the Security Council is absolutely secure. In fact, the only thing that threatens our position on the Security Council, as my hon. Friends will know, is the unilateralist disarmament policy that used to be adopted by the Labour party and its leader. It is the retention and possession of an independent nuclear deterrent that guarantees our membership of the Security Council, as the hon. Gentleman knows full well.
ParlaMint-GB_2018-01-09-commons.u29	On promotion of the Commonwealth, I call James Duddridge.
ParlaMint-GB_2018-01-09-commons.u30	Thank you, Mr Speaker To make the issue of 52 members versus 54 more orderly, could we perhaps increase the number to 54? Although the Foreign Secretary is right in saying that it is 52, I think that by the time that we get to the Commonwealth Heads of Government meeting, the Gambia will already be in, making it 53. Could we add Zimbabwe to the list, particularly if that is conditional on the President making progress?
ParlaMint-GB_2018-01-09-commons.u31	I thank my hon. Friend, who is a great expert on these matters, particularly Zimbabwe and Gambia. The proper solution, as the House will know, is for those countries to apply. The Gambia, I am glad to say, is a long way down the track, and we hope to welcome it back. For Zimbabwe, the prize of Commonwealth membership is once again something for that people to aspire to. That is a wonderful thing.
ParlaMint-GB_2018-01-09-commons.u32	Among the important issues of human rights, jobs, climate change, poverty, equality, security and so on that the summit will discuss, how much time does the Foreign Secretary expect the Commonwealth countries to devote to the colour of their passports?
ParlaMint-GB_2018-01-09-commons.u33	Not much. One thing that will be absolutely crucial at our Commonwealth summit is, of course, 12 years of quality full-time education for every girl in the world. That is going to be an absolute core of the summit.
ParlaMint-GB_2018-01-09-commons.u34	Before CHOGM, will the Foreign Secretary get a chronological list of the countries where UK pensioners overseas get inflation-level increases and how many of those are Commonwealth countries? Should we not hang our heads in shame that for half of pensioners overseas who are in Commonwealth countries, there has been no change? I ask him to do something about that.
ParlaMint-GB_2018-01-09-commons.u35	I am happy to accede to my hon. Friend’s request.
ParlaMint-GB_2018-01-09-commons.u36	An orderly inquiry from Catherine West.
ParlaMint-GB_2018-01-09-commons.u37	I hope so, Mr Speaker. Will the issue of tax avoidance and tax evasion be raised in the Commonwealth Heads of Government meeting?
ParlaMint-GB_2018-01-09-commons.u38	Almost certainly, yes.
ParlaMint-GB_2018-01-09-commons.u39	5. What recent assessment he has made of the future of bilateral relationships with the EU.
ParlaMint-GB_2018-01-09-commons.u40	As we create our new partnership with the EU, we must also build even stronger bilateral relationships with the 27 member states, and at the same time maintain strong and positive relations with the EU institutions. Considerable effort has been made to ensure that the Foreign Office, and the country, is well placed to do just that.
ParlaMint-GB_2018-01-09-commons.u41	Last month the Foreign Secretary warned that the UK would become “a vassal state” if we could not diverge from EU tariffs and standards, but he also accepted that divergence would have “trading consequences” for the UK. Could he spell out what those consequences would be?
ParlaMint-GB_2018-01-09-commons.u42	As we move on to phase 2 of the discussions and negotiations, all these matters will be in the frame. I am sure that we will be able to negotiate an agreement that is in the long-term interests of the UK.
ParlaMint-GB_2018-01-09-commons.u43	The Minister has done enormous amounts in reasserting bilateralism across Europe this past year. Can he assure us that the resources that he requires to make sure that we are ready for post-EU membership will not denude the rest of the world, so that we do not rob Peter to pay Paul or build bilaterals at a cost to global Britain?
ParlaMint-GB_2018-01-09-commons.u44	My hon. Friend makes a good point. We have created 50 new diplomatic positions in our embassies, but it is not a question of simply reducing the number of staff outside Europe by the same number. The money to fund these changes will come from changing the way we work and adjusting some our processes, and from some frontline staff savings in Asia, the Americas and Africa. We are also bidding for some extra money from the Treasury to help create over 100 additional new roles to support the process of leaving the EU.
ParlaMint-GB_2018-01-09-commons.u45	My hon. Friend the Member for Warrington South (Faisal Rashid) asked a clear question but did not get a clear answer, so let me try again. The Secretary of State said that there will be “trading consequences” for the UK if we diverge from the EU tariffs and rules—what are they?
ParlaMint-GB_2018-01-09-commons.u46	It is perhaps slightly beyond my pay grade to say that I refer the hon. Gentleman to the answer I gave some moments ago, but indeed I do. These are matters for the Department for Exiting the European Union and for the negotiations. They will be discussed in phase 2 of those negotiations, which is now beginning.
ParlaMint-GB_2018-01-09-commons.u47	Perhaps the most important bilateral relationship the United Kingdom has with an EU member state is in the location of British immigration controls in France. Will the Minister ensure that post Brexit, we do all we can to maintain this very important relationship?
ParlaMint-GB_2018-01-09-commons.u48	My hon. Friend has put his finger on a very important issue. Indeed, that is an essential part of our relations with France that needs to continue smoothly. I have little doubt that it will be discussed to some extent at the UK-France summit that will take place later this month.
ParlaMint-GB_2018-01-09-commons.u49	May I take the opportunity to congratulate the Foreign Secretary on surviving yesterday’s Downing Street dither? It would appear that Toby Young is the only person to have lost his job The Foreign Affairs Committee was told that there were to be cuts to the Foreign and Commonwealth Office’s work in Asia, Africa and the Americas, as the Minister mentioned earlier. What impact does he believe that will have on his Department’s ambition for a global Britain?
ParlaMint-GB_2018-01-09-commons.u50	I am confident that, with all the combined efforts across Whitehall—in many Departments, including the Department for International Trade—that will not dent our efforts to be champions of global Britain. Indeed, all Ministers in all Departments are making sure that global Britain is a reality.
ParlaMint-GB_2018-01-09-commons.u51	I thank the Minister for his response. It is good to hear that he does not believe the cuts elsewhere in the world will have an impact. However, with an increasing number of people thinking that the Government are handling their negotiations with the EU badly, and given that such a view is shared in many capitals around the world, does he agree that the appointment of a no-deal Minister is the latest sign of a state hurtling towards retreat and isolation?
ParlaMint-GB_2018-01-09-commons.u52	No, I do not. I have spent much of the past 18 months championing this country across Europe and elsewhere, throughout the 77 countries I represent, and I am proud to say that the British flag flies high and with great respect in all those countries.
ParlaMint-GB_2018-01-09-commons.u53	6. What recent assessment he has made of the effect on stability in the middle east of Iranian political and military influence in that region.
ParlaMint-GB_2018-01-09-commons.u54	15. What recent assessment he has made of the strength of relations between the UK and Iran.
ParlaMint-GB_2018-01-09-commons.u55	23. What recent assessment the Government have made of the implications for his policies of Iran’s ballistic missile programme.
ParlaMint-GB_2018-01-09-commons.u56	We have consistently made clear our concern about Iran’s destabilising and disruptive activity in the region, about its ballistic missile programme —it remains sanctioned by both the EU and the UN— and of course about reported Iranian weapons supplies to the Houthis in Yemen, which would be a violation of UN Security Council resolution 2231. We have set out those concerns with great clarity at the Security Council.
ParlaMint-GB_2018-01-09-commons.u57	Iran’s support for terrorist groups across the region, its culpability in the destruction of Syria and its threats to wipe the world’s only Jewish state off the map must obviously be condemned by all, but words are not enough. What action is Britain going to take to combat Iran’s destabilising activities and, as the Foreign Secretary mentioned, its ballistic missile programme?
ParlaMint-GB_2018-01-09-commons.u58	We have—indeed, I have personally—made clear to the Iranian leadership at all levels the deep concern we have in this country about the very issues the right hon. Lady raises. In particular, of course, there is the supply—or the alleged supply—of weaponry to the Houthis, the ballistic missile programme and the breaches of Iran’s obligations under UN Security Council resolution 2231. We are raising those issues not just with the Iranians but with our international friends and partners, to put pressure on Iran to desist from those activities.
ParlaMint-GB_2018-01-09-commons.u59	My constituent Nazanin Zaghari-Ratcliffe is still in prison in Iran after 20 months. Despite a lot of attention on her case before the festive period, her husband, Richard, still spent Christmas without his wife and his daughter. When I met the Foreign Secretary, he said he would leave no stone unturned to secure her release. What steps has he taken to fulfil that promise?
ParlaMint-GB_2018-01-09-commons.u60	I thank the hon. Lady. She and I have discussed this case on several occasions. I think that perhaps the best thing I can tell the House is that work continues assiduously at all levels on all our consular cases in Iran. It is, I am afraid, not particularly helpful in securing the result that we both want to get into detailed commentary at this stage about how we are doing.
ParlaMint-GB_2018-01-09-commons.u61	More than a year since we re-established diplomatic ties with the Iranian Government, Iran continues to develop its weapons programme, continues to fund regional terror groups and proxies, and continues to crack down on human rights campaigners. What positive fruit can we expect this year from our closer ties with the Iranian regime?
ParlaMint-GB_2018-01-09-commons.u62	My right hon. Friend makes an excellent point. I would simply remind the House of the virtues of our approach, which is on the one hand to be extremely tough with the Iranians on what they are doing wrong—as I say, they remain a highly disruptive and destabilising force—but on the other hand to do what we can not just to confront them, but to engage with the forces of reform in Iran, which do exist, need encouragement and could be imperilled. That has to be the way forward, and it is one of the reasons why we believe—I know that this sentiment is shared by many in this House—that the joint comprehensive plan of action, the Iran nuclear deal, is valid, represents a considerable diplomatic achievement and should be safeguarded.
ParlaMint-GB_2018-01-09-commons.u63	What steps is the Foreign Secretary taking to combat the growing influence of Iran in both Syria and Lebanon, with weapons focused on Israel, a state that it wishes to annihilate?
ParlaMint-GB_2018-01-09-commons.u64	The hon. Lady is right to detect the disruptive hand and the destabilising agency of Iran in the region and certainly in the supply of missiles to Hezbollah and weapons to the Houthis. What Iran is up to is well chronicled and, together with our friends and partners, we are working at the United Nations and elsewhere to bring maximum pressure on the Iranians to cease and desist from their activities.
ParlaMint-GB_2018-01-09-commons.u65	May we erect a new doctrine—perhaps we could call it the Johnson doctrine—that we have learned the lessons of our military interventions in Iraq, Libya and Syria and never again will we attempt to use military force to remove unpleasant authoritarian regimes and replace them with disastrous totalitarian movements?
ParlaMint-GB_2018-01-09-commons.u66	My hon. Friend makes—I am afraid—an excellent point. Of course we must push back on Iranian disruptive behaviour—it is entirely the right thing to do and this Government will continue to do it—but we must also be intellectually honest and recognise that collectively over the past 20 years or so western foreign policy has helped to create the conditions, alas, in which Iranian influence has been capable of expanding.
ParlaMint-GB_2018-01-09-commons.u67	Let us be clear that no peaceful protest should ever be met with violence and no peaceful protesters should ever be locked up and charged with crimes, some of them capital crimes. Can the Foreign Secretary make it clear today that the Iranian regime’s actions over the past fortnight cannot and must not be used as an excuse by the White House to reintroduce sanctions following next week’s deadline and jeopardise the Iran nuclear deal?
ParlaMint-GB_2018-01-09-commons.u68	I agree very much with the sentiments with which the hon. Gentleman began. It is vital that the people of Iran and the Government of Iran should understand that we in this country support the right to peaceful demonstration within the law. We communicated that message very clearly. It is also important that the JCPOA should continue and that that agreement, which prevents the Iranians from acquiring nuclear weapons in exchange for greater economic partnership with the rest of the world, remains useful and valid. We continue to urge our friends in the White House not to throw it away.
ParlaMint-GB_2018-01-09-commons.u69	Does the Foreign Secretary see, as I do, some parallels and similarities between the situation in Iran now and the situation in the former Soviet Union in its declining years? Does he agree that a combination of deterrence, containment and constant pressure over human rights issues is the right one to achieve a similar outcome?
ParlaMint-GB_2018-01-09-commons.u70	I do agree with my right hon. Friend. Our approach must be extremely circumspect, guarded and tough, but we should also be in the business of encouraging reformers and progressives in Iran who are capable of taking that country forward in a different direction, as Mikhail Gorbachev and others expressed the hopes of many people in their country, in a different way.
ParlaMint-GB_2018-01-09-commons.u71	7. What steps he is taking to promote human rights in discussions with his counterparts in other countries.
ParlaMint-GB_2018-01-09-commons.u72	10. What steps he is taking to promote human rights in discussions with his counterparts in other countries.
ParlaMint-GB_2018-01-09-commons.u73	11. What steps he is taking to promote human rights in discussions with his counterparts in other countries.
ParlaMint-GB_2018-01-09-commons.u74	Human rights issues are raised directly by all Ministers in all interactions with counterparts. I myself have raised them nine times in the past four months. We also support civil society organisations on the ground and support human rights norms through multilateral and international organisations.
ParlaMint-GB_2018-01-09-commons.u75	In Egypt, the treatment of the LGBT community continues to deteriorate, but I understand that lawmakers in the Egyptian Parliament are now considering a Bill to punish same-sex relationships with a maximum 10-year prison sentence. What representations have the Minister or the Foreign Secretary made to President Sisi about these alarming developments?
ParlaMint-GB_2018-01-09-commons.u76	These are very alarming developments, and the transition from what was believed to be an Islamist Government to a nationalist Government appears to have coincided with a crackdown on such issues. The Foreign Secretary has raised the matter directly with President Sisi and we will continue to champion these issues and raise them in every interaction with the Egyptian Government.
ParlaMint-GB_2018-01-09-commons.u77	We saw again this weekend the perils of the sea crossing from Libya to Europe. Migrants in Libya are also in danger. Amnesty says that 20,000 people are being held in detention centres, subject to torture, forced labour, extortion and unlawful killings. What are the Government doing to put pressure on the European and Libyan authorities to allow NGO rescue ships access to Libyan waters and ensure that people are not trapped in that country and refugees are able to exercise their right to asylum?
ParlaMint-GB_2018-01-09-commons.u78	We are very focused on and aware of this issue. A lot of our focus at the moment is on the detention centres, and on ensuring that we work with the UN, with the EU and through DFID programmes on improving conditions in those detention centres.
ParlaMint-GB_2018-01-09-commons.u79	From experience, I know that the Foreign Secretary welcomes Opposition holding the powerful to account, even if his minders have not always done so, but on two recent delegations I heard of dissenters facing difficulties. We hear of child detainees in Israel, and in Bangladesh opponents sometimes being “disappeared.” Is it not time to place a greater emphasis on human rights in our dealings with these two key allies—or do arms sales receipts outweigh our ability to be a critical friend?
ParlaMint-GB_2018-01-09-commons.u80	Ministers are very aware of both the issues of child detainees in Israel and of Opposition politicians in Bangladesh. They are raised continually in our interactions with those Governments. We try to do it sensitively, both at a ministerial level and at a diplomatic level, and we believe we can make progress on both issues.
ParlaMint-GB_2018-01-09-commons.u81	Is the issue of religious freedom raised at every possible opportunity, particularly in countries where people are persecuted for their faith—or lack of it?
ParlaMint-GB_2018-01-09-commons.u82	Absolutely; religious freedom is critical, and particularly critical in a world in which religious and sectarian violence appears to be increasingly dominant. We must advocate religious freedom, and we do so also through Department for International Development support to civil society organisations.
ParlaMint-GB_2018-01-09-commons.u83	We provide aid to many countries where appalling human rights abuses take place, whether the persecution of minorities or the construction of illegal settlements. Does my hon. Friend agree that we should make aid and direct support for Governments conditional, unless they use best endeavours to tackle such abuses?
ParlaMint-GB_2018-01-09-commons.u84	That is a very important question. Our belief is that we need to do these things simultaneously. We need to use our political relationships actively, to drive human rights improvement and change, but at the same time we have an obligation to very vulnerable, marginalised people in those countries, and we need to continue to provide development assistance to them.
ParlaMint-GB_2018-01-09-commons.u85	Since May, at least 21 Christians have been given long prison sentences in Iran for practising their faith. Did the Foreign Secretary raise the issue of human rights with his Iranian counterpart, particularly that of freedom of religion?
ParlaMint-GB_2018-01-09-commons.u86	The Foreign Secretary certainly raised the question of human rights and freedom of religion with his Iranian counterparts on his visit.
ParlaMint-GB_2018-01-09-commons.u87	Mr Speaker, happy new year. I welcome the Foreign Secretary back to his place and I hope that the Prime Minister today recognises how important it is that he continues to have the support of a talented Front-Bench team in ensuring that his work is done properly On boxing day, the Saudis launched two separate airstrikes in Yemen, killing a total of 68 civilians and at least eight children. The UN’s humanitarian co-ordinator said that this showed that both the Saudis and the Houthis are committing indiscriminate attacks against civilians, showing a complete disregard for human life. My question is this: do the Foreign Secretary and the Minister agree with that judgment against both sides?
ParlaMint-GB_2018-01-09-commons.u88	As the shadow Foreign Secretary is aware, we continue to press very strongly in all our meetings with the Saudis on these issues. We have made some progress on the port of Hodeidah, although it is too early to be complacent; it remains a very difficult situation, and we need to continue pushing. And happy new year to the right hon. Lady too.
ParlaMint-GB_2018-01-09-commons.u89	I thank the Minister for that answer, but surely airstrikes by the Saudis, who are our allies, that are this indiscriminate are just as indefensible as attacks by the Houthis. He has mentioned the Houthis. More widely, how are we going to end the conflict? We have a proposal from the former Minister for the Middle East, the right hon. Member for Bournemouth East (Mr Ellwood), currently a Defence Minister, who wrote in The Sunday Telegraph this weekend urging a more interventionist UK role. He wrote: “We must be less risk-averse, haunted…by our experiences in Iraq and Afghanistan” He specifically recommends that the port of Hodeidah “is calling out to be stabilised by a third party” Does the Minister agree with his colleague’s proposal, and if so, who does he propose that third party should be?
ParlaMint-GB_2018-01-09-commons.u90	At the moment, we do not believe that the key to reopening the port of Hodeidah will be a third party. We have made a lot of progress. In particular, I pay tribute to the Secretary of State for International Development, who, in a recent visit to Djibouti, while working on the issue of Yemen, got undertakings on the port of Hodeidah. We will be watching this very closely over the next 30 days. We absolutely agree that the airstrikes must be investigated, and investigated objectively.
ParlaMint-GB_2018-01-09-commons.u91	In seeking to speed up progress, I look with enormous confidence to Sir Desmond Swayne.
ParlaMint-GB_2018-01-09-commons.u92	8. What diplomatic steps he is taking to promote global ocean conservation.
ParlaMint-GB_2018-01-09-commons.u93	The Government are on track to meet their manifesto blue belt pledge. This will deliver marine protection across nearly 4 million sq km of the earth’s oceans and seas around our overseas territories by 2020. We are also working through the Commonwealth marine economies programme to enable small island Commonwealth states to conserve and use their maritime space sustainably.
ParlaMint-GB_2018-01-09-commons.u94	How will it be enforced?
ParlaMint-GB_2018-01-09-commons.u95	Very succinct, Mr Speaker! This is a wholly good news story. The BBC’s “Blue Planet” series has inspired millions of viewers, and we are putting that into practical effect. I can make it very clear to my right hon. Friend that we are working with our overseas territories to ensure that each of our marine protected areas is backed by robust legislation, effective monitoring and the very strong enforcement that he would wish to see.
ParlaMint-GB_2018-01-09-commons.u96	When it comes to improving global ocean conservation, third world countries want to be effective but do not have the resources to do so. What resources are being made available to those third world countries to help them carry out their job as well?
ParlaMint-GB_2018-01-09-commons.u97	I am not absolutely clear exactly what goes through the Department for International Development for this kind of purpose, but obviously there are international treaties and international treaty obligations. I hope that collectively the world can get together to ensure that the objectives we all share are properly put into effect.
ParlaMint-GB_2018-01-09-commons.u98	9. What steps the Government are taking to support the protection of cultural heritage, religious minorities and human rights in armed conflicts overseas.
ParlaMint-GB_2018-01-09-commons.u99	The hon. Gentleman will recognise that the UK strives to protect cultural heritage and human rights, including religious freedom, whenever they are threatened by conflict, which sadly they so regularly are. As recently as September, the UK was instrumental in the adoption of UN Security Council resolution 2379 calling for an investigative team to collect evidence of crimes committed by Daesh. More recently, in December, the UK ratified The Hague convention for the protection of cultural property in the event of armed conflict and acceded to its protocols.
ParlaMint-GB_2018-01-09-commons.u100	We rightly focus much attention on the persecution of Christians in the middle east, but will the Minister assure us that he will raise with his counterparts in African nations such as Nigeria and Kenya the persecution of Christians in those countries, which is on an even larger scale?
ParlaMint-GB_2018-01-09-commons.u101	The hon. Gentleman will recognise that I represent the FCO in Asia and the Pacific, but he is absolutely right that these issues are prevalent in places such as Nigeria and Kenya. In the part of the world where I represent the FCO, I do my best at every opportunity to represent the interests of Christians. I recently wrote a letter to all our high commissioners and ambassadors there asking for their own plans for ensuring that minorities from Nepal to India and elsewhere can be properly protected.
ParlaMint-GB_2018-01-09-commons.u102	The crackdown by the Myanmar military continues to have dire consequences for the human rights of the Rohingya population, and Myanmar has now cut off all co-operation with the United Nations special rapporteur. While the strong stance taken by the General Assembly is a positive development, dissent from China, Russia and some other countries is preventing the adoption of a united international approach. What influence can the Minister use to convince China in particular of the need for diplomatic action to solve the crisis?
ParlaMint-GB_2018-01-09-commons.u103	The hon. Lady has identified the hub of the matter, which is the fact that we cannot get a UN Security Council resolution through because it would be vetoed by China and Russia. However, she should rest assured that we are doing our level best to engage constantly in conversations with our Chinese and Russian counterparts in the Security Council. There was a presidential statement for the first time in 10 years just before Christmas, and I repeatedly raised the appalling treatment of the Rohingya with both the Burmese Defence Minister and the Minister for the Office of the State Counsellor in Nay Pyi Taw recently when I was attending the conference of the Asia-Europe Foreign Ministers.
ParlaMint-GB_2018-01-09-commons.u104	21. As the Minister’s remit covers Asia, may I ask how he is addressing a very serious issue? The Bangladesh and Myanmar authorities are pressing forward with plans to repatriate the displaced Rohingya population despite the evidence that most Rohingya are concerned about further persecution. What is the Government’s position on the repatriation of Rohingya to Rakhine state in those circumstances?
ParlaMint-GB_2018-01-09-commons.u105	The right hon. Gentleman is absolutely right. There can be no question at the moment of a safe and dignified return for Rohingya from Bangladesh to Burma. When I was in Thailand last week, I spoke to the chairman of the new standing committee that will oversee the memorandum of understanding between the two countries in order to look at the whole issue of returns. We want people to be able to return. That is currently not possible, but we want to maintain pressure on both sides.
ParlaMint-GB_2018-01-09-commons.u106	As the Minister has acknowledged, the terrible human rights abuses of the Rohingya refugees are continuing. He knows that the Myanmar Government have banned the special rapporteur and that the fact-finding mission is impossible. He has said previously that any return of refugees must be “safe, voluntary and dignified”. Does he think there is any action that the British Government can take to prevent the return of the refugees until those conditions are fulfilled?
ParlaMint-GB_2018-01-09-commons.u107	Very little can be done without international co-operation. As the hon. Lady will know, Lord Darzi is part of the committee that is trying to oversee the situation, and the committee will have meetings in Nai Pyi Taw within the next week to consider what practical steps can be taken to try to ease the path. However, as the hon. Member for East Dunbartonshire (Jo Swinson) pointed out, these are massive international problems. We have tried to do as much as we can through the United Nations, but—
ParlaMint-GB_2018-01-09-commons.u108	Reintroduce sanctions.
ParlaMint-GB_2018-01-09-commons.u109	I think that all of us, with the benefit of hindsight, could rightly say that the sanctions were lifted too early, with the hope—and only the hope—of democracy there. As I have said, we would need to get a resolution through the United Nations, and it would almost certainly be vetoed. [Interruption.] Of course we are trying: in New York we are constantly having conversations with our Chinese and Russian counterparts about precisely these matters.
ParlaMint-GB_2018-01-09-commons.u110	I am immensely grateful to colleagues. Ministers are not helped if Opposition Front Benchers chunter from a sedentary position on a protracted basis. We need to try to speed up.
ParlaMint-GB_2018-01-09-commons.u111	12. What recent discussions he has had with the Government of Israel on Palestinian communities in the west bank that are threatened with demolition.
ParlaMint-GB_2018-01-09-commons.u112	17. What recent discussions he has had with the Israeli Government on the military detention of Palestinian children.
ParlaMint-GB_2018-01-09-commons.u113	We remain seriously concerned about the continuing demolition of Palestinian property by Israeli authorities, and our embassy in Tel Aviv raised our specific concerns about it with Israel in November last year. Israel’s treatment of vulnerable Palestinian minors held in military detention also remains a human rights priority for the UK. I raised our concerns with the Israeli authorities during my visit to Israel in August last year, and will continue to do so.
ParlaMint-GB_2018-01-09-commons.u114	The Israeli Prime Minister’s party has just voted for the annexation of the west bank. The Israeli Attorney General has said that new laws must take into account the possibility of application to the occupied territories, and 46 Bedouin communities are still threatened with eviction. When will the UK’s approach change? When will it join other EU countries in calling for aid to compensate for the demolition of EU-funded structures and an end to trade with illegal settlements?
ParlaMint-GB_2018-01-09-commons.u115	The whole issue of settlements brings into question the whole point of pursuing a two-state solution, because none of these issues will be dealt with unless we make progress on that. We are pressing for that of course, but in the meantime we continue to support those who are concerned about demolitions and settlements. We continue to make the case to Israel that these are barriers to peace, among other barriers to peace, but unless there is a conclusive settlement soon, these issues will get worse.
