ParlaMint-GB_2018-03-23-lords.u1	That the House do now resolve itself into Committee Amendment to the Motion
ParlaMint-GB_2018-03-23-lords.u12	My Lords, the noble Lord talks about statistical nonsense, but does he think that the current representation of the Liberal Democrats in your Lordships’ House bears any resemblance to the votes cast at the last election? Is that not nonsense too?
ParlaMint-GB_2018-03-23-lords.u13	I was not going to go down that track but the noble Lord is an old friend and I am delighted to dispose of that myth too. My noble friends in this House did not support the deal that was referred to. We were not in that particular discussion. We do not support the deal that was done but we have been unique in being consistent in supporting the case for reform. We supported the case for the 2012 Bill, which gained a majority in the House of Commons of 338—the biggest majority of that type for a big Bill. There was a majority on the Conservative Benches, a majority on the Labour Benches, and unanimity among the Liberal Democrats. I stand four-square behind the reform of your Lordships’ House but until that happens, just as we have to live with these unfortunate facts of life, we have to live with those facts of life too.
ParlaMint-GB_2018-03-23-lords.u14	I was a member of the official group that was tasked to negotiate the details of the arrangement entered into by the noble and learned Lord, Lord Irvine, and Lord Cranborne, and there were Liberal Democrat representatives. I remember it well, so it is not actually true that the Liberal Democrats did not assent. The college system that noble Lords should be elected only by members of their party was insisted on by both the Labour Party and the Liberal Democrats, for the understandable reason at the time that they did not trust that the whole House would preserve the balance between the parties. As has happened since, because of the Carter convention, that has been respected. But it is simply not true that the Liberal Democrats were not there at the table.
ParlaMint-GB_2018-03-23-lords.u15	My Lords, I can quote Hansard in a different sense, but that is not the important point for today’s discussion. As my noble friend Lord Steel has pointed out, everybody in your Lordships’ House, including some of the most important participants in those debates, anticipated that this arrangement would last for a maximum of a couple of years—that is all.
ParlaMint-GB_2018-03-23-lords.u16	Does the noble Lord not accept that we have had the Second Reading of this Bill already? He is making a Second Reading speech. The best way that the House could be assisted now would be for my noble friend Lord Trefgarne to desist his mischief, withdraw his amendment to the Motion and get on with the amendments to the Bill.
ParlaMint-GB_2018-03-23-lords.u17	I was actually speaking to the amendment to the Motion but I was diverted by my friend down the other end. The amendment that the noble Lord, Lord Trefgarne, has promoted is upside down. The case for removing these absurdities is strengthened by the Burns committee report rather than the reverse. That is simply my point and I am grateful to the noble Lord, Lord Cormack, for bringing me back to it.
ParlaMint-GB_2018-03-23-lords.u18	My Lords, I shall make only a short contribution. If it looks like a duck and walks like a duck, it is a duck, and I know a filibuster when I see one. We have this ridiculous amendment to the Motion when, as my noble friend has pointed out, we have had a vote at Second Reading. We have all these other amendments tabled in the names of my noble friend and the noble Earl, Lord Caithness. What is going on here is an attempt to frustrate what is the majority view of this House. It is a majority view because we value the hereditaries and the important contribution they make to this place. I personally am opposed to an elected House and I thought the argument made by the noble Lord, Lord Tyler—that hereditary by-elections meant that the Prime Minister could not appoint people who would be compliant—was an insult to us all. None of us is compliant in this House, as my noble friend the Chief Whip will remember from yesterday. We act appropriately on our judgment, and that is the value of this place I saw in the Sunday papers that the Speaker in the other place had spent a bit of money on devising a new logo. When I looked at the new logo, I could not see the difference. Then I realised that it was not just about a few balls on a portcullis; rather, there was a huge difference. It has been proposed that the existing logo of the portcullis and the words “Houses of Parliament” should be replaced by one saying, “UK Parliament”, thus downgrading this House. Again and again, this House produces excellent reports—I declare an interest as chairman of the Economic Affairs Committee—which are largely ignored The reputation of this House has fallen considerably because of the numbers, and frankly, as the noble Lord, Lord Grocott, pointed out in his excellent article in the House magazine and as the noble Lord, Lord Steel of Aikwood, has pointed out, this is about the reputation of this House. If we wish to maintain the hereditary presence—I was privileged enough to join the House while the hereditaries were still here and they make an excellent contribution—we have to get rid of a process that generates ridicule and damages us. It enhances the argument of those who would wish to get rid of the hereditaries and make this House an elected Chamber—one, as the noble Lord, Lord Tyler, has suggested, in which the Prime Minister’s patronage and the patronage of the Chief Whip and others would run well. That is not what this House is about and it is not its function. I hope that my noble friend will withdraw not only his amendment to the Motion but these ridiculous other amendments, which are designed to prevent this House taking a decision and sending it to the other place for it to take a view.
ParlaMint-GB_2018-03-23-lords.u19	My Lords, perhaps I may make a couple of points as someone who gave both written and oral evidence to the Burns committee. The Burns committee did not deal with this subject. It decided specifically not to do so because it felt that it would be outside its terms of reference. We hear that the resolutions of Burns have not been implemented, but then, parliamentary reform is an ongoing process. From the 1832 Reform Act through to votes at 16, which will inevitably come, we have reformed the way we run the country and how parliamentary systems work. I believe that we are passing up an historic opportunity if we do not back the noble Lord, Lord Grocott Many years ago, I remember having a conversation over dinner with the late John Smith, a man I greatly admired. I asked him, “What is the most difficult thing you face?”, expecting him to come up with some problem in the House of Commons. He replied, “The queue of people outside my door who think that they should be in the House of Lords”. It is inevitable that at some point there will be a change of government. At that point, there will be a big difference between the number of Peers on each side of the House. In the city of Cambridge where I live, there is not only seething anger at what is seen as a party that is somewhat out of touch with aspirations of home ownership and the like; there are a lot of people who think. Let me tell noble Lords what I think will happen. If the Labour Party has any sense, which it does occasionally, it will include in its manifesto a line saying, “We will remove the right of hereditary Peers to legislate”. This would then be covered by the Salisbury convention, and the measure could be passed. When there is a change of government, there will be a great demand for radical measures—and this is an easy radical measure. The balance of the House would change very quickly because there are more hereditaries on this side of the Chamber than on that side. That would get the Labour Party out of a difficult corner and reduce the number of people I urge my colleagues to think carefully before they reject what I stress is a very modest proposal. I would like to see it passed, to see Burns implemented and to see us demonstrate to the country that we are capable of reforming ourselves. We should not have this charade of pretending that somehow, this or that has not been completed. This is a challenge for the whole House: to show that we are not, as was described to me by students at a recent meeting in Cambridge, the “pensioners’ party”, but that we are actually a part of the living government of this country. We play a vital role in the governance of this nation and the House of Lords has a definite place in the running of this country. We should get on with it, take the reforms on board and settle down to some sensible work. I hope that the Bill of the noble Lord, Lord Grocott, will be supported Finally, I appeal to the Government because it is the Government who can help. With great respect to the noble Lord, Lord Blunkett, I believe that, in the 1960s, we had the greatest Home Secretary of the past 100 years—Roy Jenkins. He dealt with a lot of radical measures by the simple means of saying, “I will give government time to these Back Bench initiatives”. I ask the Government to seriously consider taking this Bill under their wing and enabling it to pass, because if they wanted to, they could. If the Bill falls it will be in part because of this House, but also because our Government have not willed it to pass. I hope they will look carefully at making time available for this Bill to go down the Corridor, where I do not detect any great opposition to it.
ParlaMint-GB_2018-03-23-lords.u20	My Lords, I am very grateful to everyone who has spoken, all of whom have spoken in favour of the Bill. We are simply debating an amendment from the noble Lord, Lord Trefgarne, that regrets the fact that the Bill will be considered in Committee. I need to remind the House, and maybe even the noble Lord, what he had to say about the timing of the consideration of my Bill when it had its Second Reading in September. He said that the Bill is “untimely”. The reason he gave was that the noble Lord, Lord Burns, was, “chairing a Speaker’s Committee to examine the size of the House, which will … have a bearing”,—[Official Report, 8/9/17; col. 2155.] on my Bill. He is now suggesting that we should not consider the Bill because not all the recommendations of the Burns committee have been met yet. I tend to get the feeling that the noble Lord, Lord Trefgarne, would not be in favour of the Bill going into Committee whatever the circumstances of the Burns committee or any other. But he was absolutely right in one respect when he said that the Burns committee would have an effect on this Bill. It does indeed: it makes the case for it even more powerful I remind the House that the principal recommendation of the Burns committee, which has overwhelmingly found favour in all parts of this House, is that the House should reduce its size over time to 600 Members. One of the amendments of the noble Lord, Lord Trefgarne—I have to keep a straight face as I say this—suggests that we should delay any further consideration on the Bill until the House has been reduced to 600 Members. He is saying that the whole of the House can start reducing itself, apart from the 92 hereditary Peers. I hope, in the course of his response, he will explain the logic behind that argument, because it escapes me I am a chap of generally sunny disposition, but I am strained at the moment because I fear the tabled amendments do not try to improve the Bill, which is the point of Committee; they are designed to wreck the Bill and/or delay it indefinitely until some time in the future. Nothing has changed in the noble Lord’s approach, or that of the noble Earl, Lord Caithness, come to that, since we last discussed the Bill, but lots of other things have changed, including the Burns report. The noble Lords have tabled a large number of amendments—I think they put their name to 57 on a two-clause Bill. There are 13 groups, so they have at least reduced the number of groups that were considered last time. Normally a two-clause Bill should be able to get through Committee in two and a half hours, which is roughly the time we will have to deal with it today. Their position will be tested on whether they agree to see the Bill through its Committee stage in the time left to it I feel very strongly that it is important that the House has an opportunity to express its view on the approach of the noble Lord, Lord Trefgarne, to the Bill. He is asking us to delay it. My feeling is that the overwhelming view of Members of this House, on all sides—including, my guess is, a majority of the hereditaries, many of whom have come to me and said that they support the Bill, notably including the noble Countess, Lady Mar, who cannot be here today, who is the only woman among the 92 hereditaries—is that they want us to get on with the Bill. It might be that the noble Lord, Lord Trefgarne, is right that he has a lot of support here, but I think it is something he would want to test so that he and I can both judge the strength of feeling there is on this piece of legislation. I hope the noble Lord will stand up now and seek the opinion of the House.
ParlaMint-GB_2018-03-23-lords.u21	My Lords, I am grateful for the point of view of all noble Lords who have spoken, not many of whom have agreed with me, I fear. Be that as it may, I am clear that we now ought to proceed to Committee. Therefore, I beg leave to withdraw my amendment.
ParlaMint-GB_2018-03-23-lords.u22	My Lords, I beg to move Amendment 1 and in doing so I congratulate the noble Lord, Lord Grocott, and his praetorian guard for appointing four tellers for the Division. I and a number of my noble friends did not take part in that Division because we would have been very happy to see the amendment withdrawn and not to waste 10 minutes going through a Division Lobby Amendment 1, standing in my name, is what is termed an overview clause. It aims to spell out what the consequence of the Bill is. Before I come to the amendment, I want to say very briefly where I stand on the Bill because I have been referred to—I will not use the personal abuse that the noble Lord, Lord Tyler, used, but I think it is right that I set out exactly where I stand. I believe in the principle. I am very glad to see the noble and learned Lord, Lord Irvine of Lairg, in his place. He said on this matter in this House on 30 March 1999, “this Bill is about principle”.—[Official Report, 30/3/1999; col. 206.] My opposition to the removal of the provision for the succession of hereditary Peers is also a matter of principle What was agreed in 1999 was that there would be hereditary Peers and successors pending further reform. I hope that we will get that reform through the Burns report. It is not the reform that I would like—I would prefer a smaller, elected House—but I will be very happy to support the noble Lord, Lord Grocott, when the Burns report is fully on its way to being implemented. I am also happy that the number of hereditary Peers should be reduced to the proportion that it is now, because as the noble Lord, Lord Grocott, rightly points out, if the House comes down to 600, the proportion of hereditary Peers goes up. If it goes up a few per cent, I would be very happy that the number of hereditary Peers comes down from 92 to 82 when the Burns report comes in, because that would bring us back to the status quo My opposition is not to what the noble Lord, Lord Grocott, is arguing for, but to the principle of doing it now, because it disconnects what we all agreed to in 1999, which was binding on our honour. The noble and learned Lord the former Lord Chancellor, who is here, was very firm and made it perfectly clear that, if we did not agree to the compromise that had been negotiated on Privy Council terms, the Government would renege and use the Parliament Act. He spelled it out very clearly, saying: “I wish no one to be left in any doubt”.—[Official Report, 30/03/1999; col. 208.]
ParlaMint-GB_2018-03-23-lords.u23	The noble Earl said he did not want to waste time and that is why he did not take part in the Division. May I help him by saying that I am happy to accept his amendment? It does not do anything, but it seems to me that it does not do any harm either, so in order that we can move on to the next group of amendments he can rest assured that I accept his amendment. Therefore, I suggest that he concludes his remarks.
ParlaMint-GB_2018-03-23-lords.u24	My Lords, that comes as a wonderful surprise and I welcome what the noble Lord has said. There are further amendments that are also designed to improve the Bill, but I will reserve what I was going to say about the difficulties of an unelected House for a later stage. Meanwhile, I am very happy just to move my amendment.
ParlaMint-GB_2018-03-23-lords.u25	My Lords, my noble friend Lord Caithness is right to propose this amendment because it clarifies the intent and effect of the Bill proposed by the noble Lord, Lord Grocott—
ParlaMint-GB_2018-03-23-lords.u26	My Lords, the proposer of the Bill has accepted the amendment. Why do we need to spend time on it?
ParlaMint-GB_2018-03-23-lords.u27	I thank my noble friend for his advice, but the amendment has been moved and I wish to speak to it.
ParlaMint-GB_2018-03-23-lords.u28	This really is a classic case of wasting the Committee’s time. The noble Lord, Lord Grocott, has made it plain that he accepts the amendment and therefore no further debate needs to be had. My noble friend Lord Trenchard can doubtless read his speech against another amendment.
ParlaMint-GB_2018-03-23-lords.u29	The noble Lord, Lord Grocott, has indeed accepted the amendment—
ParlaMint-GB_2018-03-23-lords.u30	When it comes to the question of wasting time, surely voting on a Motion that has been withdrawn is a bigger waste of time than anything.
ParlaMint-GB_2018-03-23-lords.u31	That was indeed the point I wished to make, and which my noble friend has made more eloquently than I could. But the noble Lord—
ParlaMint-GB_2018-03-23-lords.u32	If I may assist the Committee, the House cannot vote on a Motion that has been withdrawn; it can vote only on a Motion that is before the House. The noble Viscount may have some very wise, erudite and sensible comments that the Committee is longing to hear, but would they not be best made on an amendment before the Committee that has not been accepted by the mover?
ParlaMint-GB_2018-03-23-lords.u33	I hear what the noble Baroness says. I noted that the noble Lord, Lord Grocott, accepted the amendment, but I was not aware whether other noble Lords had accepted it On the regret Motion, my noble friend Lord Trefgarne sought to withdraw it, but in spite of that it was voted on.
ParlaMint-GB_2018-03-23-lords.u34	My Lords, this amendment is in my name and that of my noble friend Lord Caithness. I do not intend to trouble your Lordships with any detailed explanation. It is all fairly obvious and I beg to move.
ParlaMint-GB_2018-03-23-lords.u35	My Lords, this is the first opportunity I have to comment on what has recently taken place. If it is a question of trying to avoid the idea that this House is not—what should I say?—economical in the way it moves, the business of having a vote against the withdrawal is extraordinary. One of the consequences is that the two Tellers who voted for the Motion were doing so against their judgment. In my respectful submission to your Lordships, it does not do any good for the rationality of the processes of this House that that kind of thing should happen. I am here to acknowledge fully that it was not the leadership of the Opposition nor, I think, the Liberal Democrats who did that. It is undesirable and I hope we will now proceed rather smartly. I am entirely in favour of this Bill but I was not very happy with what happened at the beginning of these proceedings. That is the reason that I did not take part in the vote; I did not think that it should have happened.
ParlaMint-GB_2018-03-23-lords.u36	My Lords, perhaps I may follow my noble and learned friend. The noble Lord, Lord Blunkett, said that it was a medieval process. Perhaps I should remind noble Lords opposite that the medieval process he referred to was brought to Parliament by the noble and learned Lord, Lord Irvine, when in government. It is not the fault of the hereditary Peers that nothing has happened since; it is the fault of the previous Government and the one before them. At least the coalition Government tried to bring forward some reform but it did not get as far as this place It is perfectly fair that we should be debating this in Committee. There are some of us who do not agree with the Bill and think it better to wait until the Burns inquiry is considered by the Government, and the Government bring forward legislation which encompasses a proper reform. I think my noble friend Lord Balfe said that we were a House of pensioners and that is a valid point. One thing missing from the reform process that we have talked about is an age limit, because it is quite clear that voluntary retirement is not really working—it is not bringing down the numbers in this House. There really ought to be a limit either on time served in this place or by age. I am reminded that one former Member of the other place, when he was first elected, came to this House and stood at the Bar. He said to me afterwards, “I’ve seen two people who I thought were dead, and with one of them I’m sure I went to his memorial service”.
ParlaMint-GB_2018-03-23-lords.u37	My Lords, this group of amendments includes a number which would kill the Bill. Amendment 5 would leave out subsection (2) and Amendment 24 would leave out subsection (3), but if we leave out subsections (2) and (3) we would not have much of a Bill left. In truth, the noble Lord, Lord Trefgarne, is confirming my suspicion that he is trying not to improve the Bill but to kill it, so I hope that he will withdraw his amendment.
ParlaMint-GB_2018-03-23-lords.u38	My Lords, this is the only opportunity I have to say that it is not often I would do anything which the noble and learned Lord, Lord Mackay, did not approve of. But I voted against the Motion and I want to make the point that it was the only way in which the House could send a message to the Government, and to people outside, that the House is greatly in favour of the Bill going forward.
ParlaMint-GB_2018-03-23-lords.u39	My Lords, I am terribly sorry to intervene but the reason I did not vote on it was exactly the opposite. The Motion actually referred to regret about the Burns report; it would not in fact have prevented the Committee stage or any part of the Bill. It expressed regret that it had not been done, so, having read the Motion, I do not think that it conveyed exactly what people thought.
ParlaMint-GB_2018-03-23-lords.u40	My Lords, I shall try again. I support these amendments because, unlike the opinion expressed by other noble Lords, I do not consider that the Bill represents a modest change. It is a very significant change. As my noble friend Lord Hague said in his speech to the Centre for Policy Studies in February 1998, “The Government is now embarking on what is potentially the most damaging step of all— removing the main independent element in the House of Lords by excluding the hereditary peers. Mr Blair’s justification is his dislike of the hereditary principle, although he sees no contradiction”—
ParlaMint-GB_2018-03-23-lords.u41	If I heard the noble Viscount correctly, he said that this would remove the largest independent sector but I thought the Cross-Bench Peers were independent.
ParlaMint-GB_2018-03-23-lords.u42	The noble Lord is correct in saying that the Cross-Benchers are independent of the political parties but they are nevertheless appointed to this House by much the same process as Peers from other parties are nowadays appointed.
ParlaMint-GB_2018-03-23-lords.u43	That is absolutely not correct. I will tell the noble Viscount how I was appointed to this House: I was asked if I would care to have my name looked at but to do that I, along with 400 other people, had to submit my name to the House of Lords Appointments Commission. There was then a rigorous process of weeding out. I finally went to a long and exhaustive interview before my name was put before the Prime Minister and Her Majesty the Queen.
ParlaMint-GB_2018-03-23-lords.u44	I well understand that the noble Lord is very deserving of his place. I have the highest regard and respect for his contribution to your Lordships’ House and to its proceedings. All I wish to make clear is that hereditary Peers should also be considered an independent element because they do not owe their presence or their right to sit in this House to prime ministerial patronage.
ParlaMint-GB_2018-03-23-lords.u45	I am very grateful to my noble friend. Will he tell me whether he takes the Whip? Will he tell me how many times he has been moved to vote against the Government during his time here?
ParlaMint-GB_2018-03-23-lords.u46	As my noble friend is well aware, I take the Whip. I have also voted against the Government on a number of occasions. I think the first time I voted against an amendment was in connection with the War Crimes Bill. At the time the Law Lords were present in your Lordships’ House and, as has been noted today, I also agree that your Lordships’ House has suffered from their removal. I was persuaded by the arguments put forward by several noble Lords at that time that the War Crimes Bill was an inappropriate piece of legislation. That was the first occasion on which I defied the Whip.
ParlaMint-GB_2018-03-23-lords.u47	Does my noble friend not realise that he is insulting some of his colleagues, such as me, by suggesting that because we were appointed by the Prime Minister we do not behave in an independent manner and exercise our judgment? I suggest to him that he ought to declare an interest as someone who has benefited from the by-elections.
ParlaMint-GB_2018-03-23-lords.u48	I do not for one minute dispute that. I do not mean to insult my noble friend in any way. I do not believe that he thinks for one minute that I was being insulting. My noble friend knows well that I have great regard for him for the contribution he makes. Indeed, this is one of the very few matters on which I do not share his opinion.
ParlaMint-GB_2018-03-23-lords.u49	Perhaps I can help my noble friend. I voted against the Government for the first time as a rather junior Member of this House, and the following week the Prime Minister rang me up and I joined the Government Whips’ Office. It was a form of promotion.
ParlaMint-GB_2018-03-23-lords.u50	If I may continue with the quotation: “Mr Blair’s justification is his dislike of the hereditary principle although he sees no contradiction in also parading himself”—
