ParlaMint-GB_2018-06-13-commons.u1	1. What progress is being made on the roll-out of universal credit in Wales.
ParlaMint-GB_2018-06-13-commons.u37	But I won’t; does my hon. Friend agree that the tourism offer in south Wales will be enhanced by the removal of tolls on the Severn crossing?
ParlaMint-GB_2018-06-13-commons.u38	Given my hon. Friend’s participation in the programme “First Dates”, I am somewhat perturbed by his proposition. Anyway, I agree that the removal of the tolls will show that Wales is open for business and that we are determined to get people to come and visit the wonderful sights on offer in south Wales and throughout the country.
ParlaMint-GB_2018-06-13-commons.u39	The fastest-growing industry in Wales is tourism, and as the Minister will know, the jewel in its crown is Anglesey, Sir Môn. Many businesses have been helped to establish themselves by the European social fund; how will that gap be filled post Brexit? Those businesses need the UK Government’s help.
ParlaMint-GB_2018-06-13-commons.u40	Having been born and brought up on Anglesey, I have to agree with the hon. Gentleman that it is a wonderful place to visit. The European funding systems have been very complex and a source of frustration for businesses. We want to ensure that the UK prosperity fund is far more effective for exactly the industries that the hon. Gentleman refers to.
ParlaMint-GB_2018-06-13-commons.u41	The 24 policy areas held back by Westminster in the European Union (Withdrawal) Bill have now, with Labour’s seal of approval, been increased to include state aid. Why are the Government deliberately intervening to deny Wales the means to help ourselves?
ParlaMint-GB_2018-06-13-commons.u42	The Government are absolutely determined to make sure that our exit from the EU is as smooth as possible and benefits every part of the United Kingdom. We will make sure that in that process, we fight Wales’s corner in every part of Whitehall.
ParlaMint-GB_2018-06-13-commons.u43	Last night, the Unionist parties showed their complete contempt for devolutionists by collaborating to ensure that we had no longer than 18 measly minutes to debate the fate of our national democracies. Is this another attempt by Westminster to defeat what a former Prime Minister once described as the “enemy within”?
ParlaMint-GB_2018-06-13-commons.u44	I have the utmost respect for the hon. Lady, but I completely disagree with her. I am a proud Unionist and I am also proud to be Welsh. I have to say that it was not Members on the Conservative Benches who curtailed the debate; it was the Opposition, who pushed every single Question to a Division.
ParlaMint-GB_2018-06-13-commons.u45	It may be a small thing, but one way of attracting tourism to Wales is to clean up our verges and our roads. There is nothing worse than coming to Wales and seeing rubbish thrown across the sides of the valleys. What are the Government doing to speak to the Welsh Assembly and local councils to ensure that they are cleaning up their roads to attract more people to Wales?
ParlaMint-GB_2018-06-13-commons.u46	The hon. Gentleman is right. It is actually issues such as that that matter a great deal to people and give a good impression. That is exactly why we have given more and fairer funding, to the Welsh Government. My understanding is that it is £120 per head at the moment.
ParlaMint-GB_2018-06-13-commons.u47	4. What steps he is taking to ensure that Wales benefits from the expansion of Heathrow airport.
ParlaMint-GB_2018-06-13-commons.u48	Heathrow airport is an asset for the whole of the United Kingdom and we will make sure that the benefits of expansion are shared as widely as possible.
ParlaMint-GB_2018-06-13-commons.u49	Does my right hon. Friend agree that the logistics hubs are absolutely vital to ensure that places such as Wales and Scotland benefit from Heathrow’s expansion plans?
ParlaMint-GB_2018-06-13-commons.u50	My hon. Friend is right, and I know that he is keen to gain a logistical hub in Scotland, which demonstrates that Heathrow airport expansion is a project not just for London and the south-east, but for the whole of the UK. I was in Shotton just a couple of weeks ago, one of the potential sites for a logistical hub, so I suspect that we may be in competition.
ParlaMint-GB_2018-06-13-commons.u51	Does the Secretary of State agree that the demand for the Heathrow rail spur link is of paramount importance now, and that the original date for implementation and opening of 2020 should be adhered to?
ParlaMint-GB_2018-06-13-commons.u52	The hon. Lady raises an important point. Public transport is an important part of the expansion of Heathrow, including the western rail link. I am as keen as she is to see that progress as quickly as possible.
ParlaMint-GB_2018-06-13-commons.u53	I welcome the moves that my hon. Friend is taking to ensure that Wales benefits from Heathrow expansion. I have a Heathrow hub in my constituency, just on the other side of the Severn. Aside from removing the tolls on the Severn bridge, which is an excellent thing to do, what else is he doing to try to strengthen economic links between the south-west of England and Wales?
ParlaMint-GB_2018-06-13-commons.u54	My hon. Friend raises an extremely important point, because the removal of the Severn tolls creates a great opportunity to create and generate a new economic region. I held a Severn growth summit in Wales in January, and more people attended from the south-west of England than from Wales, which demonstrates the will to combine the capacity of the area to compete with the northern powerhouse, the midlands engine and London and the south-east.
ParlaMint-GB_2018-06-13-commons.u55	Liverpool and Manchester airports serve north Wales. Will the Secretary of State ensure that those airports, which want further contacts with Heathrow, are not relegated to a position behind Heathrow on the issue of service access to airports?
ParlaMint-GB_2018-06-13-commons.u56	The hon. Gentleman makes an important point. He talks about Liverpool and Manchester. Part of the condition of the expansion of Heathrow airport and the construction of the third runway relates to the protection of 15% of slots for regional airports around the UK, and Liverpool and Manchester stand to benefit significantly from that.
ParlaMint-GB_2018-06-13-commons.u57	6. What discussions he has had with the Secretary of State for Transport on the potential effect on community transport providers in Wales of changes to the way in which section 19 and 22 permits are issued.
ParlaMint-GB_2018-06-13-commons.u58	Community transport operators provide vital services to the people of Wales. The Government have recently consulted on how to align domestic law on section 19 and 22 permits with EU legal obligations, as well as updating existing guidance on permits. We are now analysing the responses and will respond in due course.
ParlaMint-GB_2018-06-13-commons.u59	As the Minister said, community transport operators in Wales have many valuable functions, including helping isolated people get to the shops, doctors, friends and family. They will be hit very hard by Government changes in terms of extra licensing and certification. The Community Transport Association says that this will affect 95% of operators, so what will the Minister do to help the Department for Transport listen and make changes?
ParlaMint-GB_2018-06-13-commons.u60	I completely agree with the hon. Lady that community transport operators provide vital services, particularly in Wales, where there are an estimated 2 million passenger journeys over a total of 6 million miles. But we do have to align ourselves with the EU regulations, so we are consulting widely and looking at the responses in detail to ensure that we come up with the right answers.
ParlaMint-GB_2018-06-13-commons.u61	The Minister will be aware that community transport providers along the Welsh border play a vital role in helping patients get to hospital and undertake some school contracts. I encourage him to speak to his colleagues in the Department for Transport to ensure that these vital services continue, irrespective of the court ruling, so that these services can be maintained in rural areas.
ParlaMint-GB_2018-06-13-commons.u62	My hon. Friend is absolutely right. These services often carry some of the most vulnerable and isolated members of society, which is why we are being careful to consult widely. I assure him that I already have an appointment in the diary with the Under-Secretary of State for Transport, my hon. Friend the Member for Hereford and South Herefordshire (Jesse Norman).
ParlaMint-GB_2018-06-13-commons.u63	Bridgend Community Transport has some specific concerns about having to employ a transport manager costing in excess of £35,000. There is a real risk of that if the regulations go through after the consultations by the Department for Transport. May I ask the Minister, with all sincerity, to please be aware that these measures will have real implications if the Government simply do nothing to support community transport organisations?
ParlaMint-GB_2018-06-13-commons.u64	I am aware of the real concerns of many operators. I have seen a lot of letters that have come in. There have been more than 500 responses to the consultation, and 550 operators attended each of the events around the country. We will ensure that we look at this in detail. [Interruption.]
ParlaMint-GB_2018-06-13-commons.u65	Order. We are listening to exchanges about the effect of section 19 and 22 permits on community transport providers in Wales, upon which we need to hear the inquiry of the right hon. and learned Member for Rushcliffe (Mr Clarke).
ParlaMint-GB_2018-06-13-commons.u66	Will my hon. Friend press his colleagues in the Department for Transport to query the legal advice that has changed the interpretation of these European Community rules, because it seems to be ultra-cautious? Will he ensure that genuine community services with unpaid, voluntary drivers and unpaid staff—providing services that no commercial operator would provide—are not put out of business by quite unnecessary regulations and costs?
ParlaMint-GB_2018-06-13-commons.u67	In Wales.
ParlaMint-GB_2018-06-13-commons.u68	Yes, indeed, in Wales, Mr Speaker. Well, I defer to my right hon. and learned Friend’s expertise in all matters legal. I would therefore, perhaps, in preparation for my meeting with my hon. Friend the Under-Secretary of State for Transport, ask for my right hon. and learned Friend’s guidance and advice so that I can present a case for the people of Wales.
ParlaMint-GB_2018-06-13-commons.u69	7. Whether he has had discussions with local councillors in Monmouthshire on air pollution in Chepstow; and if he will make a statement.
ParlaMint-GB_2018-06-13-commons.u70	I have met Monmouthshire county councillors and share their concerns regarding air pollution around Chepstow. The abolition of the tolls on the Severn crossings represents a huge opportunity for economic growth in Chepstow and Monmouthshire, but we must also be alive to those sorts of pressures.
ParlaMint-GB_2018-06-13-commons.u71	I thank my right hon. Friend for the interest that he has taken in this issue. Will he continue to press the Welsh Labour Government to fulfil their obligations by building a Chepstow bypass and showing the same commitment to clean air and a better environment that is being shown by this Conservative Government?
ParlaMint-GB_2018-06-13-commons.u72	My right hon. Friend the Secretary of State for Transport has established a strategic roads group in Britain, in which we can discuss cross-border issues. A meeting was held just last week. I am disappointed that the Welsh Government were not present, but we can continue to engage on a positive basis to ensure that these cross-border opportunities are exploited to the best of our ability.
ParlaMint-GB_2018-06-13-commons.u73	rose—
ParlaMint-GB_2018-06-13-commons.u74	I was about to say to the hon. Gentleman that Ceredigion is a considerable distance from Chepstow, but I am sure that he will construct his question in terms that make it orderly.
ParlaMint-GB_2018-06-13-commons.u75	14. My colleague Simon Thomas is leading the way on tackling air pollution and has proposed a clean air Act for Wales. Does the Secretary of State agree that there is a case for transferring responsibility for fuel duty income so that the National Assembly has the additional resources to tackle air pollution?
ParlaMint-GB_2018-06-13-commons.u76	The hon. Gentleman makes an extremely important point about air quality, which is why the Government have launched their clean air strategy. There have been significant improvements in this field since 2010, but we absolutely recognise the challenges. I am not sure about the second element of his question, which relates to further devolution of fiscal policy.
ParlaMint-GB_2018-06-13-commons.u77	9. What recent discussions he has had with the Secretary of State for Business, Energy and Industrial Strategy on the steel industry in Wales.
ParlaMint-GB_2018-06-13-commons.u78	13. What recent discussions he has had with the Secretary of State for Business, Energy and Industrial Strategy on the steel industry in Wales.
ParlaMint-GB_2018-06-13-commons.u79	I regularly discuss the role of Welsh steel plants in supporting a successful UK steel industry with my right hon. Friend the Secretary of State for Business, Energy, and Industrial Strategy. We remain committed to supporting the sector to remain competitive in a challenging global marketplace.
ParlaMint-GB_2018-06-13-commons.u80	US steel tariffs represent a major threat to the Welsh steel industry, so what are the Government doing not only to get the US to see sense, but to limit the threat of displaced steel being dumped in the UK and further undermining our steel industry?
ParlaMint-GB_2018-06-13-commons.u81	The hon. Gentleman will be well aware that my right hon. Friend the Prime Minister has raised this matter directly with the President of the United States. The Secretary of State for International Trade has also raised it with his counterpart, and I have spoken to the UK’s trade commissioner in the US and to the US ambassador here in the UK. It is only by working with the European Union on these issues that we can bring about the best pressure. I am confident that the UK can play a leading part in those negotiations.
ParlaMint-GB_2018-06-13-commons.u82	It is estimated that 100,000 tonnes of steel will be needed for the Swansea Bay tidal lagoon project, so what representations has the Secretary of State made to his colleagues to show that scrapping the project would mean denying the Welsh steel sector that vital opportunity?
ParlaMint-GB_2018-06-13-commons.u83	We had a series of questions on the Swansea Bay tidal lagoon earlier, and we said that the project should only go ahead—I would really like it to go ahead—if it represents good value for money for the taxpayer. The hon. Lady notes the amount of steel that would be needed, but that is less than a month’s output for a major steel plant. The project has an important procurement role, but it should not be overstated.
ParlaMint-GB_2018-06-13-commons.u84	10. What recent discussions he has had with the north Wales economic ambition board on the progress of the north Wales growth deal.
ParlaMint-GB_2018-06-13-commons.u85	I am meeting the leaders of the growth board later today to discuss the progress they are making towards a deal, and last week my right hon. Friend the Secretary of State met members of the CBI in north Wales to hear what business needs. I remain committed to securing a deal, but it must deliver a step change in economic activity.
ParlaMint-GB_2018-06-13-commons.u86	North Wales has a thriving voluntary sector and some excellent social enterprises. What engagement are Ministers in the Wales Office having with them?
ParlaMint-GB_2018-06-13-commons.u87	The hon. Lady might be interested to know that I have met every single council leader in north Wales—I had a particularly good conversation with the leader of Conwy Council about this issue—and I am encouraging them to involve the sector in the growth deal bid.
ParlaMint-GB_2018-06-13-commons.u88	11. What recent assessment he has made of the benefits for Wales of the UK leaving the EU.
ParlaMint-GB_2018-06-13-commons.u89	The Welsh economy approaches EU exit from a position of strength. Leaving the EU will allow us to shape our own ambitious trade and investment opportunities, in Europe and beyond, and put Wales and the wider UK at the forefront of global trade and investment opportunities.
ParlaMint-GB_2018-06-13-commons.u90	Some 67% of Welsh exports are to the European Union. Yesterday, the Office for National Statistics reported that manufacturing in our country declined by the greatest amount in the past five years, and Ernst and Young says that our exports are nosediving. How is Brexit going to help?
ParlaMint-GB_2018-06-13-commons.u91	I would say in the first instance that the hon. Gentleman is calling for a second referendum, which would create the greatest uncertainty for the UK, both economically and constitutionally. I also point out that exports from the UK are growing, and at a faster rate than areas outside the European Union, and he well knows that exports from Wales cannot be taken in isolation without considering the wider procurement and networking of businesses across the UK.
ParlaMint-GB_2018-06-13-commons.u92	15. Wales and Cornwall have benefited from objective 1 funding and subsequent funding. What discussions has the Secretary of State had on the shared prosperity fund and how its funding will be allocated?
ParlaMint-GB_2018-06-13-commons.u93	My hon. Friend is obviously very interested in how the successor to European aid programmes will work, as I am in relation to west Wales and the valleys in general. We have committed to a UK shared prosperity fund, which will allow us—this is one of the benefits of leaving the European Union—to come up with a much simpler and more targeted approach that can help the poorest communities across the UK.
ParlaMint-GB_2018-06-13-commons.u94	12. What recent discussions he has had with Cabinet colleagues on supporting Welsh companies to export.
ParlaMint-GB_2018-06-13-commons.u95	My right hon. Friend the Secretary of State and I hold regular discussions with colleagues on the promotion of Welsh exports, and I am pleased to say that those exports continue to grow. The latest figures show that the value of exports from Wales, including those to destinations outside the EU, increased by more than 7% over the past year.
ParlaMint-GB_2018-06-13-commons.u96	E-commerce gives even the smallest Welsh businesses the opportunity to get into exporting. What will the Department do to encourage the use of e-commerce among small and medium-sized businesses in Wales?
ParlaMint-GB_2018-06-13-commons.u97	My hon. Friend is absolutely right to mention that. Indeed, a good example is Net World Sports in Wrexham. That is an example of Welsh success in the retail market. Over 60% of its sales were in foreign markets last year, and it has won numerous industry awards in recognition of its success. There will be more of that in the future.
ParlaMint-GB_2018-06-13-commons.u98	When the Government Chief Whip is comfortably seated—I do not want him to be discombobulated—and the Under-Secretary of State for Wales is happily seated, we will proceed to questions to the Prime Minister.
ParlaMint-GB_2018-06-13-commons.u99	Q1. If she will list her official engagements for Wednesday 13 June.
ParlaMint-GB_2018-06-13-commons.u100	Tomorrow marks one year on from the Grenfell Tower fire. I know that Members on both sides of the House will join me in saying that this unimaginable tragedy remains at the forefront of our minds. On Monday, I had the privilege to attend the very moving vigil in memory of those who were lost that night, and I was honoured to take part in an iftar with members of the local community. Let me again reassure the House that we are doing everything we can to see that the survivors of Grenfell get the homes and support that they need and the truth and justice that they deserve I would also like to take this opportunity to wish the England men’s football team the very best in the upcoming World cup. This morning, I had meetings with ministerial colleagues and others. In addition to my duties in this House, I shall have further such meetings later today.
ParlaMint-GB_2018-06-13-commons.u101	I am sure the whole House will want to echo the Prime Minister’s comments about the Grenfell tragedy 12 months ago. My constituents certainly will want me to echo her good wishes to the England football team Last year, the top five co-operatives in our country paid more than four times the corporation tax of Amazon, Facebook, eBay, Starbucks and E.ON. I am sure the Prime Minister will want to praise the patriotism of those who have signed up to the Fair Tax Mark campaign. Might this not be an opportunity to encourage the Department for Business, Energy and Industrial Strategy and the Treasury to take a more proactive and supportive interest in the growth of co-operative and mutual businesses?
ParlaMint-GB_2018-06-13-commons.u102	I thank the hon. Gentleman for his comments about his constituents’ support and thoughts for all those affected by the Grenfell Tower fire On the issue of taxation, the hon. Gentleman may have noticed that Her Majesty’s Revenue and Customs has been requiring some of the large companies that he referenced to pay more tax and has ensured we get that tax from them. It looks fairly across all types of institution that operate in this country.
ParlaMint-GB_2018-06-13-commons.u103	Q3. One of the key reasons why people voted to leave the European Union was to get back control of immigration policy, so that we could welcome people to our country based on their skills and talents, not the country they are from. We cannot stay in the European economic area, which we will debate later, without continuing with free movement of people. May I urge the Prime Minister to stick to our policy of leaving the single market, getting back control of our immigration policy and not listening to the many Labour voices who want to continue with unlimited migration from the European Union?
ParlaMint-GB_2018-06-13-commons.u104	I absolutely agree with my right hon. Friend. The Labour party used to say that it wanted control of our borders. Now what it wants is free movement. We will take back control of our borders.
ParlaMint-GB_2018-06-13-commons.u105	I wish the England team all the best in the tournament in Russia and hope that it goes really, really well—[Interruption]—and that England win This week is national Carers Week, and I want to take this opportunity to pay tribute to the thousands of usually unpaid carers whose commitment to family and friends too often goes unrecognised As the Prime Minister pointed out, tomorrow marks the one-year anniversary of the Grenfell Tower fire. I will be meeting families again tomorrow at their silent march. The sad truth and reality is that many of them are still waiting for the security of a permanent home one year on from that disaster When the Prime Minister met President Donald Trump last week, did she do as the Foreign Secretary suggested and ask him to take over the Brexit negotiations?
ParlaMint-GB_2018-06-13-commons.u106	rose—[Interruption.]
ParlaMint-GB_2018-06-13-commons.u107	Order. Mr Geraint Davies, you are a senior and supposedly cerebral Member of the House—in a leap year anyway—and you must attempt to recover your composure, man. I am worried about you, and I am worried for you.
ParlaMint-GB_2018-06-13-commons.u108	On the Brexit negotiations, I might remind the right hon. Gentleman that, before December, Labour cast doubt on whether we would get a joint report agreed—we did—and before March, he cast doubt on whether we would get an implementation period, and we did I wanted, if I may, just to respond to the comment that the right hon. Gentleman made about the very important subject of providing those who were the victims of the Grenfell Tower fire with permanent homes. Just so that I can make it clear to the House: 203 households were in need of a new home; every household has received an offer of temporary or permanent accommodation; and 183 have accepted an offer of a permanent home I just wanted to say this, because it is not just about the buildings; it is not just about the bricks and mortar of a home. People who suffered that night are having to rebuild their lives. Many of them lost somebody—members of their families—with whom they had been living and making a home for years. They lost all their possessions; they lost their mementoes; and they lost anything that reminds them of the person they loved. When they move into that new home, they will be restarting their lives, and I wanted to pay tribute to all the victims of the Grenfell Tower fire for the strength and dignity that they have shown.
ParlaMint-GB_2018-06-13-commons.u109	I, too, pay tribute to the families for all they have been through and all the fortitude they have shown, but, sadly, the reality is that some of them have still not got a permanent home to move into. It is very important for the mental wellbeing of everybody that they have somewhere they can call home and they know it is their home Last week, the Prime Minister confirmed we would leave the European Union in March 2019 and the transition would end in December 2020, but we now know the Government are working on the basis that the transition could continue for a further year, till December 2021. Could she be clearer today? Which December are we talking about?
ParlaMint-GB_2018-06-13-commons.u110	No, the right hon. Gentleman is quite wrong in the way he has put this to the House, so let me be clear to the House. I think what he is trying to talk about is the backstop arrangement that we have agreed. Let us be very clear what this backstop is: this is an arrangement that will be put in place in the circumstances in which it is not possible to put the future new customs arrangement in place by 1 January 2021. It is there to ensure that, if those new customs arrangements are not in place, we are able to continue on the basis that there is no hard border between Northern Ireland and Ireland. We are working to make sure that the future customs arrangements overall deal with the issue of ensuring no hard border between Northern Ireland and Ireland. We do not want the backstop to be necessary. We are working to ensure that we can have our future customs arrangements in place on 1 January 2021.
ParlaMint-GB_2018-06-13-commons.u111	I am not really sure whether it is a backstop or a backslide that the Prime Minister is talking about here Last week, I asked the Prime Minister about this, and I am sorry to bring this subject up again because it is probably quite painful for her, but when is the Government’s Brexit White Paper going to be published? She did say it would be published before the June EU Council summit. Is that still the case?
