ParlaMint-GB_2018-10-10-commons.u1	1. What recent assessment she has made of the humanitarian situation in Yemen.
ParlaMint-GB_2018-10-10-commons.u29	Religious literacy is crucial to understanding the way in which our policies affect developing countries. I am therefore glad that the FCO has relaunched its course on that, but it is only voluntary. What more can be done to encourage DFID staff to take up such courses?
ParlaMint-GB_2018-10-10-commons.u30	I pay tribute to my right hon. Friend’s work as a Church Commissioner. She will be aware that the Prime Minister has recently appointed Lord Ahmad as her special envoy on freedom of religion or belief. In that role, he has the important job of ensuring that that is taken up as widely as possible.
ParlaMint-GB_2018-10-10-commons.u31	The Minister may be aware of a case in Pakistan involving a young woman called Asia Bibi who, under blasphemy legislation, faces the possible fate of execution in that country this week. What representations can the Minister make, as a matter of the utmost urgency, to try to ensure that common sense prevails in the Pakistani courts in that case?
ParlaMint-GB_2018-10-10-commons.u32	I assure the hon. Gentleman that I will immediately raise that case with my colleague Lord Ahmad and make sure that that representation is made forthwith.
ParlaMint-GB_2018-10-10-commons.u33	Pakistan is one of the largest recipients of UK aid, so does the Minister agree that along with our aid should come an expectation that the recipient should do everything in their power to improve the protection of basic universal human rights?
ParlaMint-GB_2018-10-10-commons.u34	I certainly think that, in his capacity as the Prime Minister’s special envoy on freedom of religion or belief, Lord Ahmad will be making the points that my right hon. Friend raises as a matter of priority.
ParlaMint-GB_2018-10-10-commons.u35	The most recent report from the European Parliament intergroup on freedom of religion or belief and religious tolerance states: “much of the world’s population is deprived of their right to freedom of religion or belief” What steps are the Department undertaking to ensure the protection of minority groups in Nigeria, as the Nigerian Government are reportedly unwilling to initiate forceful action?
ParlaMint-GB_2018-10-10-commons.u36	The hon. Lady is right to raise the fact that three quarters of the world’s population live in countries with high levels of government restrictions on freedom of religion or belief. Nigeria’s constitution does guarantee that freedom. When my right hon. Friend the Prime Minister recently met President Buhari she was able to raise that important issue, and I am glad the hon. Lady shares the ability to raise it in Parliament.
ParlaMint-GB_2018-10-10-commons.u37	I feel the need to prompt the Minister. Nigeria is one of DFID’s top five recipient countries and Nigeria has been identified by both the European Parliament intergroup and the United States Commission on International Religious Freedom as a “country of concern” with regards to its poor record on upholding the right of freedom to express religion. So may I ask the Minister again to tell the House what actions her Department has in place to ensure that the Nigerian Government uphold the rights of religious minorities in the country?
ParlaMint-GB_2018-10-10-commons.u38	The hon. Lady is right to raise this issue. I am sure she agrees that humanitarian assistance should always be distributed on the basis of need, disregarding any issues of race, religion and ethnicity. I assure her that we regularly raise this issue, as my right hon. Friend the Secretary of State did recently, and that there is a plan in place both at local and national level to address it.
ParlaMint-GB_2018-10-10-commons.u39	4. If she will provide additional funding to support and protect Rohingya women living in refugee camps.
ParlaMint-GB_2018-10-10-commons.u40	5. If she will provide additional funding to support and protect Rohingya women living in refugee camps.
ParlaMint-GB_2018-10-10-commons.u41	9. If she will provide additional funding to support and protect Rohingya women living in refugee camps.
ParlaMint-GB_2018-10-10-commons.u42	DFID supports organisations that help Rohingya women and has committed £129 million to the crisis overall. A third of our recent £70 million allocation is being spent on protection services, including women’s centres, emergency nutrition and midwifery care and support for survivors of gender-based violence. We will continue to explore additional funding options.
ParlaMint-GB_2018-10-10-commons.u43	Following what the UN referred to as a “frenzy of sexual violence” against Rohingya women and girls, surely the Secretary of State will agree that it is wholly unacceptable that protection services for gender violence have received only one third of the required funding under the UN’s joint response plan. What steps is his Department taking to fill this funding gap?
ParlaMint-GB_2018-10-10-commons.u44	I have two things to say in response to the hon. Lady’s most appropriate question. First, we recognise that this appeal is underfunded. We are in the lead in relation to this and we urge other donors to come forward. Secondly, she should be aware of the care with which United Kingdom money has been used to support women in the circumstances that she has described: 30 child-friendly spaces; 19 women’s centres; and 19 sexual and reproductive health clinics. I have seen these at Kutupalong camp and I know how well used they are by women who need counselling and support. The United Kingdom has been very clear about the importance of this as part of the support that we have provided. [Interruption.]
ParlaMint-GB_2018-10-10-commons.u45	Order. I remind the House very gently that we are discussing the plight of Rohingya women, which is one of the most egregious plights of any people anywhere in the world and should be treated with appropriate respect.
ParlaMint-GB_2018-10-10-commons.u46	Hundreds of thousands of people have died in what has been widely regarded as ethnic cleansing. What assurances have the UK Government sought from the Myanmar Government that the Rohingya women who return will be safe, following the memorandum of understanding with the United Nations High Commissioner for Refugees, and should they not include a promise of citizenship?
ParlaMint-GB_2018-10-10-commons.u47	When we talk to any of those in the camps, it is quite clear that they will return to Myanmar/Burma only when they feel that it is safe to do so and when they are citizens and their citizenship has been accepted. At present, I do not think that we have any confidence that any women returning to Burma under any memorandum would be in that position. Until that situation changes, the refugees will need to stay, but it is essential that those issues are dealt with in time.
ParlaMint-GB_2018-10-10-commons.u48	The fact-finding mission found that this was ethnic cleansing and sexual abuse. Rape was widely found. I thank the Minister for promising to seek assurance that that is being taken care of and that those women are being supported. Is there any more detail available on that, please?
ParlaMint-GB_2018-10-10-commons.u49	The International Development Committee, which is led by the hon. Member for Liverpool, West Derby (Stephen Twigg), questioned me about that just a few weeks ago. We have details on the counselling and support that is being provided. The tragedy is that this will need to go on for some time. It seems likely that those in the camps will not be able to return soon. What is essential—the hon. Lady’s question is helpful in relation to this—is that the eye of the world does not go off this matter. The funding for the support that is needed must not be lost and people must not forget the Rohingya who are in the camps.
ParlaMint-GB_2018-10-10-commons.u50	A large number of vulnerable Rohingya women and children still live in Rakhine province. What humanitarian assistance are the Government providing to those vulnerable women and girls?
ParlaMint-GB_2018-10-10-commons.u51	My hon. Friend is correct: there is difficulty in gaining access to the Rakhine province. It has been possible for humanitarian agencies to get into only some of the province. We have sought to reshape our programme to make sure that more support is available to those who are still in Rakhine, and it should not be forgotten that they remain in a very vulnerable position.
ParlaMint-GB_2018-10-10-commons.u52	These vulnerable Rohingya Muslims may be destined to spend many years as refugees in camps. In addition to the aid that has already been given, has there been any consideration of a diplomatic solution involving substantial up-front international support for refugees and for the wider region in Bangladesh to pump-prime economic and political stability?
ParlaMint-GB_2018-10-10-commons.u53	We should always preface any remarks by expressing gratitude to the Government of Bangladesh for what they have been able to do for these most vulnerable people. Every effort is being given to the sort of diplomatic solution that will provide an answer, but it is clear from the actions of the Burma Government that this will take some time. My hon. Friend is right: we need to make sure that we keep caring for those in the camps for some period of time, because the very length of their stay will mean that they face new problems, rather than those from which they fled.
ParlaMint-GB_2018-10-10-commons.u54	What support does the Department provide for Rohingya refugees who have suffered gender-based violence?
ParlaMint-GB_2018-10-10-commons.u55	The support that we have provided has included counselling and making available people who are able to deal with children who have been traumatised over time. It is quite clear from talking to the aid agencies on my visit that there has been an improvement in people’s condition, but of course the true horror of what they have experienced can never truly be removed until they return home.
ParlaMint-GB_2018-10-10-commons.u56	T1. If she will make a statement on her departmental responsibilities.
ParlaMint-GB_2018-10-10-commons.u57	I hope the whole House will join me in sending our deepest condolences to those affected by the devastating situation in Indonesia. We have all seen the images of destruction and of people suffering, and the UK stands side by side with the people of Indonesia. As well as providing essential supplies and a team on the ground, the UK has now made up to £5 million available, including £2 million that will match funds raised by the Disasters Emergency Committee appeal. I thank the British public for their generosity.
ParlaMint-GB_2018-10-10-commons.u58	Will my right hon. Friend confirm that she will be using DFID’s existing budget to help the British overseas territories to rebuild after the devastating hurricanes?
ParlaMint-GB_2018-10-10-commons.u59	If that sad event does occur, I have instructed my Department to ensure that our response in the overseas territories has a priority call on our DFID reserves—our non-ODA money. The Foreign and Commonwealth Office and the Ministry of Defence are also standing ready. We will deal with these situations as best we can, without having to make further demands on the public purse.
ParlaMint-GB_2018-10-10-commons.u60	T2. Does the Secretary of State share the concerns of the Minister for Europe and the Americas, the right hon. Member for Rutland and Melton (Sir Alan Duncan), about the situation in El Salvador with regard to abortion being a criminal offence, even in cases of rape? Does she agree that if we want to tell other parts of the world not to criminalise women seeking essential healthcare, we have a duty to lead by example by urgently reforming abortion law in Northern Ireland?
ParlaMint-GB_2018-10-10-commons.u61	I agree with the hon. Lady. The Women and Equalities Committee is looking at the issue that she raises with regard to Northern Ireland, and that will be a very helpful piece of work. The hon. Lady is right; in fact, we have some opportunities with the international women’s conference that will be taking place in part in this Chamber—I thank Mr Speaker for allowing that—to send a clear message to everyone that women’s rights matter and that we will work together to ensure that they are upheld worldwide.
ParlaMint-GB_2018-10-10-commons.u62	Order. There is far too much noise in the Chamber, with a lot of very loud private conversations. Can we have a bit of hush for a south-east London knight? I call Sir David Evennett.
ParlaMint-GB_2018-10-10-commons.u63	T5. Thank you, Mr Speaker. I was pleased to read that my right hon. Friend had introduced a new test for UK aid—no longer just proving that UK aid is spent well, but that it could not be spent any better. Can she inform the House when that test will be implemented?
ParlaMint-GB_2018-10-10-commons.u64	My right hon. Friend is absolutely right that we are not just ensuring that the aid we provide is as effective as possible; we are introducing new tests to ensure that we are doing things that are also in the national interest. The chief economist has placed that in our aid allocation formula and we are also looking at ways of improving that.
ParlaMint-GB_2018-10-10-commons.u65	T3. What are Ministers doing to ensure that the Government continue their commitment to improving global nutrition beyond the next 2020 nutrition summit?
ParlaMint-GB_2018-10-10-commons.u66	Nutrition remains at the heart of the concerns that we have for feeding the most vulnerable. I had meetings in New York with those responsible for looking ahead to the next replenishment. The United Kingdom has always been a leader in this matter and we will remain so.
ParlaMint-GB_2018-10-10-commons.u67	T7. What steps is the Department taking to support our Commonwealth veterans, who served so bravely alongside our armed forces?
ParlaMint-GB_2018-10-10-commons.u68	We are introducing a new programme to support our pre-independence Commonwealth veterans who have been living in poverty. There are about 7,000 of these individuals, to whom we owe an immense debt of gratitude. The new programme will ensure that they can live out the rest of their lives with their families in dignity.
ParlaMint-GB_2018-10-10-commons.u69	T4. Freedom of expression and democracy are aid programme headings under which we fund Bangladesh, so why has it been able to imprison and torture the acclaimed photojournalist Shahidul Alam for championing those very values? What are we doing to secure his release?
ParlaMint-GB_2018-10-10-commons.u70	Once again in New York, I took part in a special session at the United Nations devoted to the pressures on journalists, led by Amal Clooney and others. We were able to state very clearly our support for those Bangladeshi journalists. Representations have been made, and will continue to be made. I met the family, who were there.
ParlaMint-GB_2018-10-10-commons.u71	Does my right hon. Friend welcome the fact that our Prime Minister is the first Prime Minister to visit Kenya in over 30 years? She committed to help to support the next generation of energetic, ambitious young Kenyans as they seek to build a more prosperous country in the years ahead.
ParlaMint-GB_2018-10-10-commons.u72	I was absolutely delighted by the Prime Minister’s visit, and I congratulate my hon. Friend on her appointment as trade envoy to Kenya. If we want to eradicate global poverty, trade is part of the answer, and we are absolutely right to put that investment into Africa, as it will lever in an additional £4 billion to grow the economies of those developing nations.
ParlaMint-GB_2018-10-10-commons.u73	T8. In the week in which the UK hosts a major international conference on the illegal wildlife trade, will the Minister tell us what her Department is doing to tackle that international crime?
ParlaMint-GB_2018-10-10-commons.u74	The hon. Gentleman is absolutely right—the UK is leading the world by hosting the summit this week, and it is at the forefront of tackling this heinous crime. I am delighted to announce to Parliament that there will be a further £6 million uplift to the illegal wildlife trade challenge fund, and more money for the international action against corruption programme to tackle illicit financial flows that are linked to the illegal wildlife trade.
ParlaMint-GB_2018-10-10-commons.u75	Does my hon. Friend share my concern about the Palestinian Authority’s continuing naming of schools after terrorists and the payment of salaries to convicted murderers? Can we be sure that UK taxpayers are not facilitating payments?
ParlaMint-GB_2018-10-10-commons.u76	My hon. Friend can be absolutely sure that we share his concern in relation to this. The matter is continually raised with the Palestinian Authority. There should be no incitement to terror and no incitement to violence. We make rigorously sure that no UK taxpayers’ money is spent on this.
ParlaMint-GB_2018-10-10-commons.u77	Q1. If she will list her official engagements for Wednesday 10 October.
ParlaMint-GB_2018-10-10-commons.u78	Immediately after Prime Minister’s questions I, along with other Members of the House, will watch a parade by 120 members of the British Army to Parliament. They represent the breadth of the 50,000 regular and reserve Army personnel. This is an opportunity for us to thank them for their tireless work to keep our country safe This afternoon, I will host a reception for World Mental Health Day. I am delighted that this week the UK hosted the first ever global ministerial summit on mental health, with a landmark agreement to achieve equity for mental health This morning, I had meetings with ministerial colleagues and others. In addition to my duties in the House I shall have further such meetings later today.
ParlaMint-GB_2018-10-10-commons.u79	The Polish community has long made a valuable contribution to Scottish society. My Polish constituent is a young man who has lived in Scotland since he was six, but when he applied for jobseeker’s allowance last month, he failed the habitual residence test. Even the Department for Work and Pensions cannot understand the Kafkaesque letter that he has been sent. Like the Windrush scandal, is this the shape of things to come for EU citizens in the United Kingdom?
ParlaMint-GB_2018-10-10-commons.u80	As the hon. and learned Lady knows, as part of the negotiations with the European Union we have already come to agreements about the rights that will be available to those EU citizens who are already living in the United Kingdom. We have set out very clearly what will be the situation for those who come to the United Kingdom during the implementation period. I was able to update people a few weeks ago to make it clear that in a no-deal arrangement we will also ensure that we look after those EU citizens who have come and made their home here. As for the individual case, I am sure that the Department for Work and Pensions will look into that in some detail.
ParlaMint-GB_2018-10-10-commons.u81	Q5. What steps are the Government taking to encourage more tourists to enjoy the performing arts outside London?
ParlaMint-GB_2018-10-10-commons.u82	I thank my hon. Friend for highlighting the performing arts and the fact that there are some great performing arts to be seen around the country. She is a performing arts ambassador, and I congratulate her on her work. We are committed to supporting the UK’s tourism industry and spreading the wealth it produces across the country, as we set out in our tourism action plan We are providing funding for the performing arts throughout the country. That includes investing £78 million in a new theatre and arts complex, The Factory, which is a home for Manchester International Festival and will encourage international collaboration, investment and visitors, and £5 million in the redevelopment of Colston Hall, the south-west’s major concert venue, to make it fit for the 21st century. Performing arts are being encouraged around the whole country.
ParlaMint-GB_2018-10-10-commons.u83	I am sure the whole House will join me in expressing our deepest sympathies to the people of Sulawesi in Indonesia following the earthquake and tsunami in which 1,500 people have died. We wish them well in the rebuilding of their communities. I also take this opportunity to thank all those officers and ratings in the Royal Navy who did so much to help during the emergency Today is World Mental Health Day, and today there are 5,000 fewer mental health nurses than there were in 2010. The Prime Minister said last week that austerity “is over”. When will austerity be over for mental health services?
ParlaMint-GB_2018-10-10-commons.u84	First, I join the right hon. Gentleman in expressing our condolences to those who were affected by what happened in Indonesia; our thoughts are with them. I am pleased to say that the Department for International Development was able to respond to that, and I understand that the Disasters Emergency Committee appeal is now up to £10 million. As the right hon. Gentleman said, we were able to provide support in kind through the support that was available from our armed forces and, indeed, others. I commend all those who have been working so hard in that area The right hon. Gentleman raised the issue of mental health, and I am pleased he did, because this is a Government that are ensuring that mental health is given the attention that it needs. It is this Government who have ensured that there will be parity of esteem for mental health and physical health in the national health service, and it is this Government that are putting record levels of funding into mental health If the right hon. Gentleman is asking me, “Do we still need to do more on mental health?” I would say yes, we do. That is exactly why we are setting out further steps today, particularly to improve the mental health of children and young people. I am also very pleased that the Under-Secretary of State for Health and Social Care, my hon. Friend the Member for Thurrock (Jackie Doyle-Price), is taking on responsibility as the Minister for suicide prevention—the first time that a Government has appointed a Minister to such a post. This Government take mental health seriously. That is why we are putting record levels of funding into mental health.
ParlaMint-GB_2018-10-10-commons.u85	It was a Labour amendment to the Health and Social Care Act 2012 that put parity of esteem on the face of the legislation. It was opposed by the right hon. Lady’s Government. If she thinks that mental health spending is going well, maybe she should have told the Health Secretary that, because this morning he said that it is “still way off where we need to be” The Royal College of Psychiatrists has found that the income of mental health trusts in England is lower than it was six years ago, and children are being sent as much as 300 miles away for urgent treatment. This needs urgent action now People in every village, town and city know that violent crime is rising. Some 21,000 police officers have been cut, and 7,000 police community support officers have gone. When will austerity be over for the police?
ParlaMint-GB_2018-10-10-commons.u86	I have just said that I think there is more for us to do on mental health, and as part of our long-term plan for the national health service we will be doing more for mental health. I remind the right hon. Gentleman that our plans for the national health service will see £394 million more a week going into our national health service The right hon. Gentleman then asked me about policing. Of course, this Government have made £460 million more available for policing in this current year, including the precept on council tax. If he is so concerned about funding for policing, why did the Labour party oppose that extra money?
ParlaMint-GB_2018-10-10-commons.u87	If austerity is over for the police, the Prime Minister does not seem to have told the Police Federation, because it is currently taking the Government to court for failing to implement the decision of the independent pay review body. Our dedicated police officers and police community support officers deserve better than they get from this Government In the last year the Education Secretary has been rebuked four times by the statistics watchdog for making false claims about education funding. I know that the Prime Minister is a stickler for accuracy so, given her commitment to ending austerity, can she confirm that austerity is now over for all teachers, who will receive the independently recommended 3.5% pay rise?
ParlaMint-GB_2018-10-10-commons.u88	The right hon. Gentleman talks about the police pay award. It represents the highest consolidated pay award since 2010. He then went on to talk about funding for schools. He knows the announcement that has been made in relation to the teachers’ pay award, but I remind him that school funding this year is at a record high. With the extra £1.3 billion that we have put in this year and next, per pupil funding is being protected in real terms. I recognise the pressures that schools are under, but I also recognise that 1.9 million more children are now in good and outstanding schools, compared with 2010, and part of that is the result of the reforms we have made to education, including free schools and academies which the Labour party would abolish.
ParlaMint-GB_2018-10-10-commons.u89	The reality is that over half of teachers are getting another real-terms pay cut next year. They have been subject to eight years of pay freezes, with pay rises capped below inflation. It is no wonder that there is a chronic shortage of teachers and the Government have failed to hit their recruitment target The Conservative leader of Northamptonshire County Council said that it “couldn’t cope with the levels of cuts” The Conservative leader of Somerset County Council said: “I feel abandoned… there are no solutions coming.” Will the Prime Minister listen to her own council leaders and end austerity, as she promised to do last week?
ParlaMint-GB_2018-10-10-commons.u90	In fact, there are more teachers in our schools now, and we see more people applying to be teachers. I recognise the very hard work that our teachers put in day in, day out. The good results that our children are getting are the result of their hard work and that of their teachers The right hon. Gentleman refers to Northamptonshire County Council. Of course, the independent inspection was clear that failures at the council were not due to a lack of funding. We have backed councils in England: between 2015 and 2020, £200 billion are available to deliver the local services that their communities want. We will see an increase of £1.3 billion in the money available to councils over the next two years, extra money for social care was announced at our party conference—councils have access to over £9.6 billion of dedicated funding in relation to that—and there is a £31 million increase for rural services. Yes, we have had to make tough decisions, and yes, councils have been asked to make tough decisions. The reason we had to do that was the state of the public finances and the economy that we were left by the Labour Government. People have made sacrifices and they need to know that their hard work has paid off. Yes, better times are ahead, under a Conservative Government.
ParlaMint-GB_2018-10-10-commons.u91	It might be a good idea if the Prime Minister took a few minutes out of her very busy day to listen to some teachers and hear about the stress they are going through and the number of newly qualified teachers who feel that they cannot carry on anymore and leave the profession that they love The National Audit Office has found that local government funding from central Government has been cut by 49% since 2010, and next year Government funding for councils is going to be cut by a further £1.3 billion. The Institute for Fiscal Studies has said that 75% of the social security cuts announced in 2015 have yet to come into effect; £2.7 billion will be cut from working-age benefits next year alone. Can the Prime Minister confirm that this swingeing austerity on the lowest-paid and the disabled people in our society will now end, as she said last week?
ParlaMint-GB_2018-10-10-commons.u92	What we see in the changes that we are putting forward in relation to welfare reform is encouraging people into work and making sure that when they get into work, work pays. I might also say to the right hon. Gentleman that there are £2.4 billion of unclaimed benefits under the legacy system of the Labour party that will be paid to people under universal credit—700,000 people getting the benefits that they are entitled to under universal credit for the future. He asks me about what this Government are doing in relation to the end of austerity, and I have been very clear that there are better times ahead for people. We will see debt falling and we will see support for our public services going up. Austerity is being brought to an end. What is not being brought to an end is fiscal responsibility.
ParlaMint-GB_2018-10-10-commons.u93	The poorest third of households will lose £745 a year if these cuts go ahead. Just this week, the Equality and Human Rights Commission—and the Prime Minister should listen to it—has reported that the situation facing those with disabilities has got worse and their rights are being violated in our society. After eight years of painful austerity, poverty is up, homelessness and deaths on our streets are up, living standards down, public services slashed, and 1 million elderly are not getting the care that they need. Wages have been eroded, and all the while, billions were found for tax giveaways for big corporations and the super-rich. The Prime Minister declared that she is ending austerity, but unless the Budget halts the cuts, increases funding to public services and gives our public servants a decent pay rise, then is not the claim that austerity is over simply a great big Conservative con?
ParlaMint-GB_2018-10-10-commons.u94	Actually, wages are going up; we have increased the national living wage as well; there are 1 million fewer people in absolute poverty under this Government; and under universal credit, 1 million disabled households will get around £110 a month more as a result. The right hon. Gentleman talks about cuts. I will tell him about some cuts that have been of benefit to working people in this country. What about the £18.5 billion of income tax cuts that have helped household incomes under this Government? What about the cuts in their household bills that 11 million households will see as a result of our energy price cap? And what about the £46 billion of cuts through freezing fuel duty, which has made a real difference to people’s lives? But we know what would really hurt working people. Labour’s plans would cost £1 trillion—£1,000 billion of people’s money. Uncontrolled borrowing, spiralling taxes, working people paying the price of Labour—yet again, Labour taking us back to square one.
ParlaMint-GB_2018-10-10-commons.u95	As always, I am determined to find plenty of time for Back Benchers.
