ParlaMint-GB_2015-10-21-commons.u1	1. What progress is being made on completing the electoral register
ParlaMint-GB_2015-10-21-commons.u13	May I put right an inadvertent omission from a debate in Westminster Hall yesterday? I omitted to welcome the hon. Lady to her new position and I would like to do that now. She is absolutely right to say that the Electoral Commission made that recommendation. However, it is not impossible to disagree with its reasoning. Indeed, others including the Association of Electoral Administrators—the people who actually run the elections in our democracy—believe that this is the right thing to do
ParlaMint-GB_2015-10-21-commons.u14	2. What steps his Department has taken to improve transparency in government.
ParlaMint-GB_2015-10-21-commons.u15	Over the past five years, we have opened up 20,000 Government data sets to the public and made expenditure data covering more than £188 billion of Government spending available for scrutiny. Through our leading role in the international Open Government Partnership, we will continue to be one of the most open and transparent Governments in the world.
ParlaMint-GB_2015-10-21-commons.u16	The Minister has admitted to me in a written answer that his so-called freedom of information commission is not itself subject to the Freedom of Information Act. Now he has reported that it will not commit to publishing evidence or minutes and that it may meet in private, ban journalists from naming its press spokesperson and even refuse to consider enforcing the Act on privatised services. Is it not time to end this farce and start again?
ParlaMint-GB_2015-10-21-commons.u17	No, the commission that is looking into how the Act has operated over the past 10 years is, rightly, independent, so it deals with the question of how it operates. Private organisations have not been subject to the Act, because it is about government information, so it is entirely appropriate for them to make the decisions.
ParlaMint-GB_2015-10-21-commons.u18	How will transparency in government be improved by the alteration of the code of conduct for special advisers, which now says that they shall be entitled to give instructions to communications staff in Departments?
ParlaMint-GB_2015-10-21-commons.u19	The transparency of Government information is absolutely aided by a combination of our open data and the use of press officers and communication teams to explain to the public what is going on. Making sure that that happens in an orderly and organised way, subject to Ministers’ wishes, is a very important part of it running effectively.
ParlaMint-GB_2015-10-21-commons.u20	I make a genuine offer to the Minister: we would like to build on the progress of the past decade in opening up government to more scrutiny. But we are very concerned that the commission on freedom of information may roll back the FOI Act. It is not subject to the FOI Act and it has recently held a secret briefing to invited-only journalists, off the record. It is not very transparent, is it? Is there a reason for that?
ParlaMint-GB_2015-10-21-commons.u21	First, may I welcome the hon. Gentleman to his post and congratulate him on his resounding victory in the deputy leadership election? On this question, I also welcome his tone. I am a great supporter of the Act, but 10 years after its introduction it is reasonable to see how it is operating and to make sure, as the Justice Committee said in the last Parliament, that there is a “safe space” for policymaking, so that people can be confident about giving frank advice to powerful people safe in the knowledge that that will remain private. It is about how this operates; it is not about the principle of having freedom of information in the first place.
ParlaMint-GB_2015-10-21-commons.u22	How can we have transparency in government when I, as an MP, cannot get a straight answer to a simple question? Let me give an example of that. I submitted a question to the Secretary of State for Scotland asking how many meetings he had had with the Treasury on a specific subject. The answer I got was that there had been many meetings; I did not get a number. I therefore asked a supplementary question requesting the dates of the meetings, because I thought that would flesh it out, but the answer I got back was, “I have had many meetings”. That seems to be the opposite of transparency, and we need to start here with ministerial answers to MPs.
ParlaMint-GB_2015-10-21-commons.u23	I am afraid I am going to disappoint the hon. Gentleman, because I do not know when those meetings were or how many there were—but I do know that by the sounds of it there were many meetings.
ParlaMint-GB_2015-10-21-commons.u24	Put a note in the Library and everybody will be satisfied.
ParlaMint-GB_2015-10-21-commons.u25	3. What discussions he has had with the Secretary of State for Justice on releasing all Government papers relating to the Shrewsbury 24 campaign.
ParlaMint-GB_2015-10-21-commons.u26	I have not had any discussions with the Justice Secretary, but, as I promised the House I would some months ago, I have now completed the review of the material held by the Cabinet Office, which has not yet been released.
ParlaMint-GB_2015-10-21-commons.u27	I am grateful for that answer. It is 40 years since my constituents first faced the issues at Shrewsbury, 18 months since this House voted to release the papers and currently seven and a half years before they will be released. Could the Minister, having conducted that review, now come to this House to make a full statement releasing those papers?
ParlaMint-GB_2015-10-21-commons.u28	No. I have no intention of authorising the release of those papers, which relate to the security services. When the right hon. Gentleman was a Minister in the Ministry of Justice he brought that matter to the then Justice Secretary and the papers were not released. Since then, we have made the decision to hold those materials. However, I can assure the right hon. Gentleman— this is the material point—that the Cabinet Secretary and I both reviewed them and both came to the firm conclusion that they do not relate in any way to the question of the safety of the conviction of the Shrewsbury 24 and, crucially, all of those papers have been released to and been reviewed by the Criminal Cases Review Commission, so that it can make that independent, impartial judgment on this very important question of justice.
ParlaMint-GB_2015-10-21-commons.u29	4. What his plans are for the future of the Government Digital Service.
ParlaMint-GB_2015-10-21-commons.u30	The world leading Government Digital Service will continue its vital work to make public services simpler, clearer and faster for users.
ParlaMint-GB_2015-10-21-commons.u31	The GDS are the crown jewels of digital transformation globally, but now we have headline resignations, with a fifth of all staff leaving. Is it not true that Ministers are cutting back on their ambition to impress the Chancellor ahead of the cuts in the spending review?
ParlaMint-GB_2015-10-21-commons.u32	No, we increased the funding to the GDS in the latest Budget, and the rate of turnover in the GDS is lower than in the Cabinet Office as a whole. The GDS has been brilliant. It continues to be brilliant whether we are talking about the platforms for registering to vote, which now takes less time than boiling an egg, finding an apprenticeship, or even registering for Lloyds shares earlier this month.
ParlaMint-GB_2015-10-21-commons.u33	Will the Minister join me in welcoming the fact that we have made appointments within Departments to embed the work of the GDS not just at the GDS but across government?
ParlaMint-GB_2015-10-21-commons.u34	Yes, as well as building a digital service that is cutting edge, we now have more than 200 digital leaders across Whitehall to drive forward digital transformation. It would be good to have cross-party support for that rather than to hear sniping.
ParlaMint-GB_2015-10-21-commons.u35	Given that the speed of technological change has been increasing over the past few years, what steps are the Government taking to ensure that compatibility and accessibility are increased as opposed to decreased as a result of what has happened over the past three years?
ParlaMint-GB_2015-10-21-commons.u36	The hon. Gentleman is absolutely right that compatibility and interoperability must be at the heart of everything we do. They are at the heart of the digital standards that we require to be adhered to right across Whitehall. For a citizen, it does not matter what the acronym is of the organisation that they are trying to deal with, they just want their Government service delivered quickly and easily.
ParlaMint-GB_2015-10-21-commons.u37	My hon. Friend the Member for Newcastle upon Tyne Central (Chi Onwurah) is absolutely right that the levels of turnover in the Cabinet Office and the GDS are unacceptably high, and over the summer we saw the exodus of senior leadership amid concerns that the future of the service will be downgraded from a delivery service to a policy unit. We also note that businesses are losing on average 33 working days a year because of outdated Government digital services. Will the Minister reassure the House today that his Department is resisting cuts in the comprehensive spending review, as those cuts will seriously damage the prospect of thousands of businesses across the country?
ParlaMint-GB_2015-10-21-commons.u38	I can repeat the facts that I gave the hon. Member for Newcastle upon Tyne Central (Chi Onwurah) before the hon. Lady read out her question. The turnover in the GDS is lower than in the rest of the Cabinet Office. Furthermore, we put more money into digital services in the Budget. Perhaps she should look into the facts before asking questions.
ParlaMint-GB_2015-10-21-commons.u39	5. What assessment he has made of the cost to date to the public purse of the Chilcot inquiry.
ParlaMint-GB_2015-10-21-commons.u40	It is £10,375,000.
ParlaMint-GB_2015-10-21-commons.u41	It certainly appears as if the budget has been limitless up to this point. Members of this House will be deeply concerned about the reports of a White House memo allegedly showing that the former Prime Minister, Tony Blair, gave his support for the shameful Iraq war a full year before this House voted on it, despite his claims to the contrary. For the first time, the cost of delay to the inquiry offers an opportunity. Will the Minister assure the House that Sir John Chilcot will include that memo in his final report?
ParlaMint-GB_2015-10-21-commons.u42	I am afraid that I cannot give any such assurance. This is an independent inquiry, and rightly so. Were I to give such an assurance, I would rightly be criticised.
ParlaMint-GB_2015-10-21-commons.u43	Will the Minister assure the House that he remains committed to the independence of the Chilcot inquiry and that he will provide any resources that the inquiry needs to complete its work without further delay?
ParlaMint-GB_2015-10-21-commons.u44	Yes, we have offered extra resources to the Chilcot inquiry in case they are needed. We now have a timetable for a timetable for the release of the inquiry, and Sir John will write to the Prime Minister by 3 November to set out that timetable.
ParlaMint-GB_2015-10-21-commons.u45	We all know that the inquiry is independent, and we are not asking that the Cabinet Office interfere in the processes of the inquiry, but the budget and the timetable are within the Secretary of State’s remit. Does he not accept that this never-ending budget and this completely indefinite timetable are beginning to undermine public confidence in the outcome of the inquiry? When he speaks to Sir John, will he ensure that there is a firm timetable for the report and a firm figure for the final budget of the inquiry?
ParlaMint-GB_2015-10-21-commons.u46	We now have that commitment to a timetable by early November, but crucially we want to ensure that the inquiry is effective, is completed and can be published as soon as possible. We do not want resources to stand in the way of that happening.
ParlaMint-GB_2015-10-21-commons.u47	6. What plans his Department has to reduce the Whitehall estate as a result of further UK devolution. [R]
ParlaMint-GB_2015-10-21-commons.u48	The Government have reduced the size of our central London estate quite radically from 185 holdings in 2010 to just 63 this year. The Government estate strategy, published in 2014, sets out a plan to continue this rationalisation further. Any reductions of staff numbers in London as a result of further UK devolution will help us deliver this change.
ParlaMint-GB_2015-10-21-commons.u49	Radical devolution requires radical rationalisation. Does the Minister have a percentage target and does it include the highly desirable MI6 building?
ParlaMint-GB_2015-10-21-commons.u50	The hon. Gentleman is a great supporter of devolution and of the northern powerhouse. This Government are more Chairman Mao than Joseph Stalin and we believe in letting a hundred flowers bloom when it comes to devolution. [Interruption.] We do not have a uniform approach and what works best for local communities will decide devolution powers. He will know that 22% of civil servants in the north-west are based in Liverpool and her Majesty’s Passport Office has a huge office in Liverpool with 650 staff—[Interruption.]
ParlaMint-GB_2015-10-21-commons.u51	Order. The Minister’s words should be heard, as these are important matters.
ParlaMint-GB_2015-10-21-commons.u52	Carlisle has reasonably priced housing, relatively low commercial rents and spare capacity in both. Will the Minister consider relocating part of central Government to my constituency?
ParlaMint-GB_2015-10-21-commons.u53	My hon. Friend makes an important point and he will be pleased to know that the Government have a target of moving 50% of Government buildings in London to outside London. As I said in answer to the previous question, a lot of progress has been made and the Government have saved £750 million cumulatively by moving out of 2,000 buildings, as well as raising £1.8 billion for the taxpayer.
ParlaMint-GB_2015-10-21-commons.u54	Does this talk of moving MI5 not give a great opportunity to reduce the Whitehall estate by bringing those jobs to Scotland? After all, it is a well-known MI5 fact that it would rather be located in Scotland.
ParlaMint-GB_2015-10-21-commons.u55	I would love to be of more help to the hon. Gentleman, but I think he knows that no Government would ever comment on intelligence matters.
ParlaMint-GB_2015-10-21-commons.u56	7. What steps his Department is taking to remove the prohibition on UK citizens voting in UK elections after they have been abroad for 15 years.
ParlaMint-GB_2015-10-21-commons.u57	As my hon. Friend’s question suggests, British citizens living abroad lose the right to vote after 15 years. As British expatriates include people who have fought in our armed forces as well as people drawing British pensions or working for international companies around the world, we think that this limit is arbitrary and wrong. Removing it was in our election manifesto and I hope to lay proposals to make it happen before the House in due course.
ParlaMint-GB_2015-10-21-commons.u58	Many of my Eastleigh constituents have taken the time and trouble to write to me on this issue and support our manifesto commitment to restore full voting rights to UK citizens abroad, no matter how long they have lived outside the UK. What progress has the Minister made towards making this manifesto commitment a reality?
ParlaMint-GB_2015-10-21-commons.u59	The measure was in the Queen’s Speech for this Session. I can inform my hon. Friend that we are in detailed discussions on the substance of the policy and I hope to make concrete proposals shortly.
ParlaMint-GB_2015-10-21-commons.u60	T1. If he will make a statement on his departmental responsibilities.
ParlaMint-GB_2015-10-21-commons.u61	The Cabinet Office is responsible for efficiency, reforming government, transparency, civil society, digital technology and cyber-security and for delivering the Prime Minister’s agenda.
ParlaMint-GB_2015-10-21-commons.u62	My constituency faces the issue of shale gas extraction—the issue runs across many Departments. What steps are being taken by the Cabinet Office to co-ordinate efficiency across the Government on this important matter?
ParlaMint-GB_2015-10-21-commons.u63	There are many occasions when multiple Government Departments are involved in different parts of a single issue. I well remember visiting my hon. Friend’s constituency to discuss shale gas, and I would be delighted to meet him further to take these issues forward.
ParlaMint-GB_2015-10-21-commons.u64	T5. Given that in answer to my hon. Friend the Member for Edinburgh East (Tommy Sheppard) the Minister seemed to suggest an endless budget for the Chilcot inquiry, how much does he think it is reasonable for the public to spend finally to get the answers they desire?
ParlaMint-GB_2015-10-21-commons.u65	Until the end of the year 2014-15, the amount spent on the Chilcot inquiry was £10,375,000. We have said that budget is available to make sure that this inquiry can be brought to a swift conclusion.
ParlaMint-GB_2015-10-21-commons.u66	T2. What steps is the Minister taking to improve access for our small and medium-sized enterprises to Government procurement, not least for our businesses in Mid Dorset and North Poole, such as Cobham in Wimborne and Tradewind in Wareham?
ParlaMint-GB_2015-10-21-commons.u67	My hon. Friend makes an important point, which is that a huge contribution can be made to Government procurement by small businesses. In the previous Parliament we hit our target of a quarter of Government procurement going to small business, and in this Parliament we have a new goal that a third of Government business should go to small and medium-sized enterprises.
ParlaMint-GB_2015-10-21-commons.u68	T6. A council candidate who is also a parliamentary candidate on the same day has an unfair financial advantage over their council opponents because they have additional candidate spending in that ward. What is the Minister going to do about it?
ParlaMint-GB_2015-10-21-commons.u69	This is the first time the issue has been raised with me. If the hon. Gentleman would like to write to me, I would be delighted to address it.
ParlaMint-GB_2015-10-21-commons.u70	T3. The Public Services (Social Value) Act has been in place since 2012. Many organisations and communities have benefited from its principles. Will the Minister outline the further steps that the Cabinet Office is taking to encourage a greater number of local authorities and Government Departments to adopt the Act?
ParlaMint-GB_2015-10-21-commons.u71	I thank my hon. Friend for being a vocal champion of the Act. The Public Services (Social Value) Act has helped achieve greater impact from public spending, resulting in better outcomes for individuals and communities. In line with Lord Young’s recommendations, I shall shortly announce a package of measures to support more public sector bodies to better utilise the Act.
ParlaMint-GB_2015-10-21-commons.u72	T7. How is the Cabinet Office implementing the family test and monitoring its implementation across Government?
ParlaMint-GB_2015-10-21-commons.u73	The family test is routinely applied and considered when all policy is developed. Government policy as a whole has to go through a series of checks, and one of the things we do to make sure that the family test is passed is to stick to the strong economy that our families in Britain depend on.
ParlaMint-GB_2015-10-21-commons.u74	T8. Will the Minister please tell the House what protocols will be in place to ensure civil service neutrality during the EU referendum, with a view to avoiding another situation like that in the Scottish independence referendum, when impartiality was seriously compromised?
ParlaMint-GB_2015-10-21-commons.u75	As the hon. Lady knows, the issues surrounding the running of the EU referendum have been clearly debated in this House. The decisions were then taken and passed through this House, and that is what we will stick to.
ParlaMint-GB_2015-10-21-commons.u76	T9. The manifesto of Canada’s new Government said that they would scrap the purchase of F-35s. Given that the Cabinet Office was responsible for the consideration of the new F-35s, how does it expect unit cost to rise and will the contract be cancelled?
ParlaMint-GB_2015-10-21-commons.u77	I am afraid I did not catch the whole of the question. Perhaps the hon. Gentleman can repeat it. [Interruption.]
ParlaMint-GB_2015-10-21-commons.u78	Order. Mr Chapman’s question will be heard.
ParlaMint-GB_2015-10-21-commons.u79	Thank you, Mr Speaker. The manifesto of Canada’s new Government said that they would scrap the purchase of F-35s. Given that the Cabinet Office is responsible for the strategic defence and security review, have the Government given consideration to the unit costs, which will increase, given that other nations such as Canada might cancel their orders for F-35s?
ParlaMint-GB_2015-10-21-commons.u80	The hon. Gentleman asks a very important question about making sure that we can protect our national security long into the future. For a detailed answer he will wait for the SDSR to be published, but I can assure him that it will be published soon.
ParlaMint-GB_2015-10-21-commons.u81	Mr Bone, you have never had any trouble making yourself heard. Let us hear from you.
ParlaMint-GB_2015-10-21-commons.u82	T4. Members on both sides of the House will be concerned about the steel crisis. Last Friday, at the steel summit, three taskforces were set up to help the steel industry. One of them is headed by the Paymaster General, so will he update the House on what progress has been made?
ParlaMint-GB_2015-10-21-commons.u83	I very much look forward to meeting the working group on procurement for steel later this week. It is absolutely critical that we make use of the new EU rules, which are only in place because this Government brought them in, to ensure that we consider not only the financial cost, but the wider economic benefit of buying British steel for British projects, and that is exactly what we are going to do.
ParlaMint-GB_2015-10-21-commons.u84	T10. Will the Minister explain how the Government intend to safeguard the right of elected Governments to run the national health service democratically as a public service in the light of the threat of the Transatlantic Trade and Investment Partnership?
ParlaMint-GB_2015-10-21-commons.u85	As the hon. Gentleman knows—he has long asked questions about this—there is no threat to the national health service from making sure that Britain has trade deals with the whole world which make us more prosperous, more secure and more economically forward-looking, and that is what we are going to make sure happens.
ParlaMint-GB_2015-10-21-commons.u86	Q1. If he will list his official engagements for Wednesday 21 October.
ParlaMint-GB_2015-10-21-commons.u87	This morning I had meetings with ministerial colleagues and others, and in addition to my duties in the House I shall have further such meetings later today.
ParlaMint-GB_2015-10-21-commons.u88	I thank the Prime Minister for that answer. Following an extensive public consultation, the Government’s retail sector champion, Kevin Hawkins, described our current Sunday trading laws as “a workable compromise. Most people seem to be satisfied with it most of the time.” Does the Prime Minister agree?
ParlaMint-GB_2015-10-21-commons.u89	I do not agree. I think that there is a strong case for change, but it is a change that we should allow local authorities to decide on, which is why we will be putting in front of the House, in the Cities and Local Government Devolution Bill, the opportunity for that to happen. Let me give the hon. Lady and the House two examples of where I do not think the current situation works. First, there are these restrictions on opening hours for many stores—[Interruption.] Someone shouts, “What about families?” Well, there are many stores that families would like to shop in, but if they go to those stores they have to walk around for hours before they are actually allowed to buy anything. Secondly, people can already shop on Sunday—and anywhere they like—on the internet. I think that it is time to modernise our approach, give families more choice and help create jobs at the same time.
ParlaMint-GB_2015-10-21-commons.u90	Q2. I have here a question from Iain of Enfield. He says:“This is an appeal to help those who no longer have any dignity and self-respect; the down and outs.”He calls for “a constructive attempt to tackle this growing urban problem.” Those words, which were spoken nearly 50 years ago by the late, great Conservative Member for Enfield West, Iain Macleod, resonate today, so will the Prime Minister’s all-out assault on poverty tackle and prevent homelessness?
ParlaMint-GB_2015-10-21-commons.u91	I am very grateful to my hon. Friend. Iain Macleod was indeed a great statesman, a great politician and someone who believed, as I do, that we should be as active in social reform as we are in economic reform. When it comes to tackling homelessness, we have the “No Second Night Out” initiative, which is working, particularly in London, to find people a home. Frankly, we have to do more, particularly with troubled families, as my hon. Friend has said, who need an intervention to help them, often in relation to mental health issues, and make sure that they get all the help they need to deal with their problems and ensure that they have not only a roof over their head, but a job and a livelihood too.
ParlaMint-GB_2015-10-21-commons.u92	I know that the Prime Minister will absolutely welcome my first few questions, because they return to his favourite subject: tax credits. Yesterday, one of his Back Benchers said “too many people will be adversely affected. Something must give. For those of us proud enough to call ourselves compassionate Conservatives, it must not be the backs of the working families we purport to serve.” —[Official Report, 20 October 2015; Vol. 600, c. 876.] Where was she wrong?
ParlaMint-GB_2015-10-21-commons.u93	The tax credit changes are part of a package that includes a higher national living wage and tax reductions, and I think that is the right approach for our country. Let us make work pay, let us allow people to earn more, let us cut their taxes, and let us make welfare affordable. I am delighted that once again this measure passed the House of Commons last night with a big majority.
ParlaMint-GB_2015-10-21-commons.u94	If the Prime Minister is keen on tax credits helping people into work, I have got a question for him from Lisette, who says: “A lot of people are setting up their own businesses as self-employed especially in rural areas where job vacancies are limited and pay is often low; tax credits help them until their business becomes established.” Cutting tax credits damages her life opportunities and the life opportunities of anyone she might employ. Does the Prime Minister not see the value of giving support to people trying to improve their lives rather than cutting their ability to survive properly?
ParlaMint-GB_2015-10-21-commons.u95	Of course we want to help the self-employed on low incomes, and that is why the people on the lowest incomes will continue to receive the child tax credit at £2,730. But there are other things we are doing to help the self-employed. We are cutting income tax—that helps the self-employed. We are introducing the employment allowance to cut the national insurance budget for the self-employed—that helps. Above all what we are doing is creating an economy with 2 million more people in work—an economy that is growing, wages that are rising, and inflation that is at zero. All these questions on tax credits in a way come back to the same point, which is how you build a strong and secure economy. You do not do it on the back of a massive deficit and an ever-increasing debt, which is what Labour left us with.
ParlaMint-GB_2015-10-21-commons.u96	This is all very strange, because the Prime Minister seems to have changed his mind on this subject in rather a large way. John emailed me to say: “The Prime Minister solemnly declared on National television shortly before the last”—[Interruption]— yes, solemnly, and I am solemn as well— “shortly before the last general election that tax credits would not be affected.” Is there any reason why this change has come about or any reason why we should believe the Prime Minister on any assurances he gives in relation to tax credits?
ParlaMint-GB_2015-10-21-commons.u97	What we said before the election is that we would reduce welfare by £12 billion as part of getting the deficit down, part of getting the economy growing, and part of creating 2 million jobs. That is what happened at the election, and we are keeping our promises by delivering that stronger economy. The hon. Gentleman talks about something strange happening. Something quite strange did happen last night: we had a vote on tax credits and the deputy leader of the Labour party did not turn up. Can he explain that strange outing?
ParlaMint-GB_2015-10-21-commons.u98	If the Prime Minister cannot answer now on tax credits and the devastation that is causing—[Interruption.] Thank you—and the devastation that the cuts are causing to many people’s lives, can I ask him to deal with another subject, namely the steel industry? Does he appreciate the devastating effects that the Government’s non-intervention in the steel industry are having on so many people? I have got a question from a maintenance fitter at the Tata steelworks in Scunthorpe. He is helping to produce steel for Network Rail and many companies that were exporting it. He wants to know what the Prime Minister is going to do “to support the steel industry and its workers facing redundancy.” Is it not time to walk the walk rather than talk the talk about an industrial strategy?
ParlaMint-GB_2015-10-21-commons.u99	We do want to help our steel industry, and we recognise—[Interruption.] Well, I will set out exactly how we will help the steel industry. It is in a very difficult situation. World prices have collapsed by more than half, and the surplus capacity in the world is more than 50 times the UK output, but our plan is to take action in four vital areas—in procurement, in energy costs, in unfair competition and dumping, and in tax and Government support. [Interruption.] Opposition Members are asking, “What have you done so far?” Well, let me take one example. We changed the procurement rules so that it was easier to source UK steel. That is why Crossrail—26 miles of tunnels, the biggest construction project anywhere in Europe—is being completed using almost exclusively British steel. That did not happen under the last Labour Government; it does happen now.
ParlaMint-GB_2015-10-21-commons.u100	Is not the real problem that the Government do not actually have an industrial strategy to protect this country’s most important industries? If they had, they would not have had to be dragged kicking and screaming to this House three times in the last eight days. Thousands of jobs have already gone or are at risk in Redcar, Scunthorpe, Rotherham, Motherwell, Cambuslang, Wrexham and across the west midlands. Is it not time for concrete action today so that there is Government intervention and support for our steel industry and so that we have a viable steel industry for the long term, which this country desperately needs?
ParlaMint-GB_2015-10-21-commons.u101	We do want a strong and viable steel industry, and that means taking action across all the areas that I mentioned. Let me mention another one: energy costs. We have already put £50 million into cutting energy costs, and our plans will mean hundreds of millions of pounds extra to cut them.
ParlaMint-GB_2015-10-21-commons.u102	You put them up!
ParlaMint-GB_2015-10-21-commons.u103	Order. I apologise for having to interrupt the Prime Minister. Mr Blenkinsop, a statesman-like demeanour is what I would hope for from someone who has served with distinction in the Opposition Whips Office. Calm yourself or take a sedative.
ParlaMint-GB_2015-10-21-commons.u104	On energy, we will save hundreds of millions of pounds. I say to the Leader of the Opposition that last week in the House of Lords the Labour party voted to add to energy bills by opposing the measures we are taking on wind power. So, yes, we do have a strategy; we do have a plan and we should be working across the parties to deliver it. I met the hon. Member for Scunthorpe (Nic Dakin) and neighbouring MPs back in November last year to make sure we could take all the action necessary, and across each of these areas that is exactly what we will do.
ParlaMint-GB_2015-10-21-commons.u105	Well, the Prime Minister met those Members to discuss the issue 11 months ago, but he has yet to go to the European Union to discuss how the British Government could intervene to protect our industry The final question I want to put to the Prime Minister comes from Louis. This is deeply embarrassing to all of us in this House and, indeed, to this country as a whole. He writes: “The United Kingdom is currently being investigated by the UN Committee on the Rights of Persons with Disabilities because of allegations of ‘grave and systematic‘ violations of disabled people’s human rights.” This is very sad news indeed, but it is even sadder that we need to be investigated because of violations that have occurred. Will the Prime Minister commit to co-operate fully with the inquiry and publish in full the Government’s response to it, so that we can ensure that people with disabilities are treated properly and legally and given full respect by and opportunities in our society?
ParlaMint-GB_2015-10-21-commons.u106	First, let me take up the hon. Gentleman on the point he made about intervention in Europe. We have been doing this for months, making sure that there is proper action against dumping in the European Union. We have taken the cases to the European Commission and will continue to do so On the issue of helping disabled people in our country, tens of thousands more disabled people have got into work under this Government. Because of legislation passed by a previous Conservative Government, we have some of the strongest equality legislation anywhere in the world when it comes to disability. Of course I will look at any United Nations investigation, but sometimes when you look at these investigations you find that they are not necessarily all they are originally cracked up to be. There are many disabled people in our world who do not have any of the rights or any of the support that they get here in Britain, and I think we should be proud of what we do as we co-operate with this report.
ParlaMint-GB_2015-10-21-commons.u107	Q5. Bruntcliffe school in my constituency was a struggling school, but it recently achieved its second best results in its history. The school reopened this September as part of the highly successful Gorse Academies Trust and continues to grow from strength to strength. What is my right hon. Friend doing to ensure that all pupils have access to a great education and that no school is left behind?
ParlaMint-GB_2015-10-21-commons.u108	I thank my hon. Friend for that question. We are always happy to hear positive news from Morley and Outwood—it was not always that way. She makes an important point, which is that in school after school in our country, and often in some quite challenging neighbourhoods, inspirational headteachers are using the new tools we have given them and driving up standards. Measuring the percentage of those children getting good GCSEs is a key way to measure progress. I have myself been to schools where I have seen a 10, 20 or sometimes even 30-point improvement. Often, schools in inner-city areas are doing better than many schools in rather more well-heeled suburban areas. That shows that, with the right teaching and the right leadership, we can have real social opportunity right through our country.
ParlaMint-GB_2015-10-21-commons.u109	Information has recently been released showing that a coroner has found that a 60-year-old disabled father of two from north London, Mr Michael O’Sullivan, committed suicide following his work capability assessment. The coroner warned that there is a risk of further deaths. The Department for Work and Pensions has reportedly undertaken 60 investigations into suicides that occurred after benefits were withdrawn or reduced, but it has so far refused to publish what it has learned. Will the Prime Minister publish those findings?
ParlaMint-GB_2015-10-21-commons.u110	I am aware of the case the hon. Gentleman raises, although I am sure he will understand that it would not be appropriate for me to discuss the specifics of the cases. Suicide is always a tragic and complex issue. We should take these matters incredibly seriously. I will look very carefully at the specific question he asks about publication. We have changed the work capability assessment to lead to significant improvements, following a number of independent reviews, to make sure that people get the support that they need, and I think that is vitally important.
