ParlaMint-GB_2015-10-26-commons.u1	1. What support her Department offers to kinship carers.
ParlaMint-GB_2015-10-26-commons.u12	The hon. Gentleman is right to highlight the importance of ensuring that we have the right support in place for kinship carers and that any changes are thought through carefully, and that is exactly what we have done. He will know that the two-child policy is not being introduced until April 2017, and that any extra support that kinship carers receive from their local authority is disregarded when it comes to the benefit cap. Extra support is available in exceptional circumstances to protect kinship carers from those changes from April 2017. All these things have been thought through, but of course we are happy to consider them as they are implemented.
ParlaMint-GB_2015-10-26-commons.u13	2. What steps her Department is taking to ensure a more equitable allocation of funding per pupil throughout England; and if she will make a statement.
ParlaMint-GB_2015-10-26-commons.u14	12. What plans the Government have to deliver fairer funding for schools.
ParlaMint-GB_2015-10-26-commons.u15	The Government remain committed to implementing our manifesto pledge to make funding fairer. We are protecting the schools budget, which will rise as pupil numbers increase, and we have made significant progress towards fairer funding for schools, with an extra £390 million for underfunded areas this year, which we have now confirmed will be included in budgets for next year as well.
ParlaMint-GB_2015-10-26-commons.u16	My right hon. Friend will know that schools in Staffordshire receive about £320 less per pupil than the English average. At the risk of boring you, Mr Speaker, I raised this matter in 1992, and I raised it during Prime Minister’s questions with Tony Blair, who was very sympathetic but also did nothing, and when I raised it in the previous Parliament, I was told that it was being blocked by the “wicked Liberals” and David Laws. Well, now we are in government, so what are we going to do about it and when will it happen?
ParlaMint-GB_2015-10-26-commons.u17	The hon. Gentleman might be considered exotic, but never boring—not by the Chair anyway.
ParlaMint-GB_2015-10-26-commons.u18	I entirely agree, Mr Speaker The Minister for Schools recently met colleagues in Staffordshire to discuss school funding, which I hope they found useful. My hon. Friend the Member for Lichfield (Michael Fabricant) was unable to attend, but I know that he was there in spirit. As I have said, we have protected the per pupil funding in Staffordshire so that schools will continue to receive the additional £130,000 they received in 2015-16, but I am determined to make further progress on this.
ParlaMint-GB_2015-10-26-commons.u19	Under current arrangements, per pupil funding in Worcestershire is £4,231, whereas in nearby Birmingham it is £5,218. When my right hon. Friend visits Worcestershire in a couple of weeks, will she be able to deliver some good news to my constituents about upcoming arrangements that will narrow that gap?
ParlaMint-GB_2015-10-26-commons.u20	I am very much looking forward to my visit to Worcestershire. I cannot say what I will be saying at that point, but I know that my hon. Friend and other Members from Worcestershire, including my Parliamentary Private Secretary, my hon. Friend the Member for Worcester (Mr Walker), have been campaigning tirelessly for fairer schools funding for some time, and I know that they will welcome the nearly £7 million extra per year that we have given to schools in Worcestershire. I look forward to working on this further.
ParlaMint-GB_2015-10-26-commons.u21	If the Secretary of State is to get into equitable funding right across England, will she also look at where that equitable funding ends up in terms of where students end up, whether in further education colleges, sixth-form colleges or studio schools? The fact of the matter is that so many kids across our country are not getting a fair share.
ParlaMint-GB_2015-10-26-commons.u22	I think that I can therefore welcome the hon. Gentleman’s support for the principle of fairer funding. As he will know, we are of course looking at all elements of funding as part of the forthcoming spending review, but we have made it clear that we are protecting per pupil funding in this Parliament, which means that the amount going to schools will go up as the number of pupils goes up.
ParlaMint-GB_2015-10-26-commons.u23	With due respect to the hon. Member for Lichfield (Michael Fabricant), I must say, as one of the “wicked Liberal Democrats”, that equitable funding requests do not always seem to sit happily with the pupil premium policy. Has the Secretary of State any thoughts on either revising or reviewing that policy?
ParlaMint-GB_2015-10-26-commons.u24	I think that we can all agree that pupil premium funding has been hugely successful. It is absolutely right that over £2.5 billion is given to schools for additional funding to help those who are most disadvantaged, and schools, by and large, are spending it extremely effectively. The hon. Gentleman is absolutely right to say that obviously the school funding formula reflects both deprivation funding and pupil premium funding, which has since been introduced, but we absolutely want to ensure that the same pupils with the same needs attract the same funding. I reiterate that pupil premium funding has been very successful.
ParlaMint-GB_2015-10-26-commons.u25	Given the scale and complexity of the issue, does the Secretary of State agree that we need some proposals relatively soon so that the Education Committee, for one, can examine them and be satisfied that they offer a long-term solution to a very significant problem?
ParlaMint-GB_2015-10-26-commons.u26	My hon. Friend, who chairs the Committee, is absolutely right that any solution must be for the long term. I can assure him that, were there to be any changes, there would be an extensive consultation, in which I hope members of the Committee as well as members of the public, including schools, teachers and parents across the country, would be involved.
ParlaMint-GB_2015-10-26-commons.u27	Redbridge, like many other parts of London, faces an acute shortage of places in primary and secondary provision over the course of this Parliament. Will the Secretary of State or a relevant Minister agree to meet me and representatives from the local authority to discuss this? Will she consider allowing local authorities such as Redbridge with a good track record of local authority maintained schools not only to expand existing local authority schools but to build new ones?
ParlaMint-GB_2015-10-26-commons.u28	I or one of the Ministers will be happy to meet the hon. Gentleman. I remind him that in the previous Parliament we put in an extra £5 billion into the system to build new places, and we have committed another £7 billion for new places across the system. Of course, his own party took out funding for 200,000 places at a time of growing pupil numbers.
ParlaMint-GB_2015-10-26-commons.u29	In a similar vein to questions from other hon. Friends, may I point out that pupils in Taunton Deane receive £2,000 less than the average per pupil nationally? I have the backing of thousands of teachers and parents on a petition for our fairer funding campaign. Can I give them any indication from the Minister that they will be listened to?
ParlaMint-GB_2015-10-26-commons.u30	I know that petitions and signatures are being collected up and down the country, as in my Leicestershire constituency, where fair funding is also a huge issue. I can assure my hon. Friend that I am extremely aware of these issues, as are Ministers across Government.
ParlaMint-GB_2015-10-26-commons.u31	The Institute for Fiscal Studies has shown that for the first time since the mid-’90s school spending per pupil will fall in real terms. Those in further education and early years already fear huge cuts. Will the Secretary of State assure this House that any increases in funding in one area of her budget will not be at the further expense of others?
ParlaMint-GB_2015-10-26-commons.u32	The hon. Gentleman will know that I cannot give any predictions about the forthcoming spending review until all the negotiations and discussion with the Treasury are concluded, but of course the issues of fairer funding that we have been discussing are a very important part of responding to the pressures on schools budgets across the country.
ParlaMint-GB_2015-10-26-commons.u33	3. What steps she is taking in the education system to support children and young people with mental health issues.
ParlaMint-GB_2015-10-26-commons.u34	4. What assessment she has made of the effect of child and adolescent mental health services on the health, wellbeing and performance of young people in schools and colleges.
ParlaMint-GB_2015-10-26-commons.u35	11. What plans the Government has to improve mental health in schools.
ParlaMint-GB_2015-10-26-commons.u36	13. What assessment she has made of the effect of child and adolescent mental health services on the health, wellbeing and performance of young people in schools and colleges.
ParlaMint-GB_2015-10-26-commons.u37	We have high aspirations for all children and want them to be able to fulfil their potential academically and in terms of their mental wellbeing. This attainment is best supported if they have good mental health, character and resilience.
ParlaMint-GB_2015-10-26-commons.u38	I am pleased that a new initiative in Macclesfield, Emotionally Healthy Schools, has been established between our local mental health service providers—Cheshire and Wirral Partnership NHS Foundation Trust—Cheshire East Council, and six schools and local community groups, including Just Drop-In, which does incredibly important work in this area. Does my right hon. Friend agree that such local initiatives have a vital role to play in improving mental health outcomes for young people in our communities?
ParlaMint-GB_2015-10-26-commons.u39	I absolutely do recognise that the partnerships between health and education are vital in getting the right mental health support to children quickly. I welcome the initiatives that have been established in Macclesfield. We believe that the significant investment of £1.4 billion in children and young people’s mental health services that this Government have announced will make a real difference. I am delighted that there are so many questions on children’s mental health in this session today.
ParlaMint-GB_2015-10-26-commons.u40	A parent of a young girl in Walthamstow suffering from an eating disorder recently wrote to me giving a harrowing account of the struggle to get support for her daughter. She suggested that one of the things that would make a difference would be for child and adolescent mental health services to have a presence directly in schools so that they could intervene earlier. As my hon. Friend the Member for Scunthorpe (Nic Dakin) pointed out, we know from the IFS that real-terms funding for schools is going to be cut for the first time since the 1990s. What can the Secretary of State say directly to my constituent to reassure her that every young person will have access to mental health services directly in their schools so that such situations can be avoided in future?
ParlaMint-GB_2015-10-26-commons.u41	I agree with the hon. Lady. We all, as constituency MPs, hear these heart-rending stories. I, too, have had parents in my constituency bring to my attention cases of eating disorders among young people. I mentioned the £1.4 billion that the Government have already introduced, a significant sum of which is being spent this year on supporting young people with eating disorders. We are also contributing £1.5 million to a pilot with NHS England to train single points of contact in schools and specialist mental health services so that those services work well together to ensure that schools, which do not necessarily have mental health experts trained in that area, know exactly who to go to and how to get help for their pupils.
ParlaMint-GB_2015-10-26-commons.u42	The Secretary of State may be aware that Blackpool has the highest proportion in the country of pupils in pupil referral units. This stems partly from poor underlying mental health. What more can the Government do to ensure that each pupil has a single point of contact not just in one school but throughout their education, from age four to whenever they leave, so that we start to tackle this problem?
ParlaMint-GB_2015-10-26-commons.u43	I have just mentioned the £1.5 million we are contributing to a pilot for single points of contact between schools and specialist mental health services. That pilot will run in 250 schools, with training starting later this term. I should also like to mention that this year, for the first time, the Department for Education included just under £5 million in our voluntary and community sector grants for organisations such as Mind and Place2Be and for putting new resources for parents on the MindEd website.
ParlaMint-GB_2015-10-26-commons.u44	As someone who has in the past been a council lead member for children and education, I know the importance of children and adolescent mental health services and the educational psychology service in ensuring that teachers and other school staff are able to keep children with challenges in school and learning effectively. The Mental Health Foundation has said that one in 10 children have mental health problems at some point in their school career; that 81% of educational psychologists have seen an increase in demand for their services in the past 12 months; that there is a shortage in services; and that ed psychs are leaving the profession in alarming numbers, possibly owing to the pressure of their workload. How is the Secretary of State ensuring that an adequate number of professional educational psychologists are working in schools? Is she—
ParlaMint-GB_2015-10-26-commons.u45	Order. We have the thrust of it and are deeply obliged to the hon. Lady, but a degree of truncation would be helpful.
ParlaMint-GB_2015-10-26-commons.u46	The hon. Lady speaks with great passion on an issue that she obviously cares about greatly. We have commissioned more places with educational psychologists this year than last year. She is absolutely right to say that a lot of this is about making sure that young people stay in education and that there are no barriers to them doing so. I am very happy to write to her with further details.
ParlaMint-GB_2015-10-26-commons.u47	Colleagues have rightly pointed to the impact of mental health on the children themselves, but children’s mental health problems also impact on the family as a whole. Will the Secretary of State explain what we are doing in that respect?
ParlaMint-GB_2015-10-26-commons.u48	My hon. Friend is absolutely right to say that when somebody in a family, particularly a younger person, is struck with mental ill health, it affects the whole family. That is why funding through the voluntary and community sector programme and organisations such as Mind and Place2Be, as well as the MindEd website, which provides resources for parents, are important. I strongly encourage any parents who are worried about the mental health of their children to have an early conversation with people in their schools, including headteachers and teachers, so that they can then make the referrals.
ParlaMint-GB_2015-10-26-commons.u49	5. What assessment she has made of the effect of recent changes in 16-19 funding on the (a) breadth and (b) viability of post-16 education.
ParlaMint-GB_2015-10-26-commons.u50	Since 2013-14, all 16-to-19 institutions have received a national funding rate, which we have held steady in 2015-16. We understand the financial challenges facing the sector and have therefore launched a national programme of area reviews to ensure that we have strong and sustainable institutions delivering high-quality routes to employment.
ParlaMint-GB_2015-10-26-commons.u51	The Secretary of State said earlier that she cannot guarantee funding or protection for any one age group, but the Minister knows that the further education sector has suffered a disproportionate cut in funding over many years and the area review does not even include sixth forms in schools. When are the Government actually going to do something to protect 16 to 19-year-olds?
ParlaMint-GB_2015-10-26-commons.u52	The hon. Gentleman is not quite right, because the regional school commissioner, who is responsible for commissioning schools in his or her area, is always going to be part of the area reviews and can bring in the perspective of sixth forms in schools, but I do not think the hon. Gentleman would think it practical to include every single school with a sixth form in the review and actually achieve a result. We are determined to achieve a result in a short space of time so that we have strong, specialist institutions that are able to provide a high-quality education.
ParlaMint-GB_2015-10-26-commons.u53	Kingston college in my constituency has federated with Carshalton college in a neighbouring constituency. Will my hon. Friend congratulate their move to consolidate their efforts and to provide better provision for young people going into further education, and will he visit Kingston college with me?
ParlaMint-GB_2015-10-26-commons.u54	The reason I would love to visit is that that is a model example of what the sector should be doing. It is very important for hon. Members to remember that the sector is independent: Government cannot force institutions to merge, but we can encourage them to do so and show great examples such as that outlined by my hon. Friend.
ParlaMint-GB_2015-10-26-commons.u55	20. Wigan colleges are concerned that the Greater Manchester area review starts with the strong presumption that the merger of colleges is the only way forward. Will the Minister confirm that other ways to achieve financial stability for colleges and good outcomes for pupils will be given serious consideration if they present a strong case for that?
ParlaMint-GB_2015-10-26-commons.u56	We are certainly open to a whole range of options. As I say, ultimately, colleges themselves will determine what they think will work best. I do not agree with the hon. Lady that somehow there is anything necessarily to be afraid of from a merger. A merger can mean that people save a whole lot of administrative and management costs, so they can actually pour more money into paying teachers to do the job that we all want them to do.
ParlaMint-GB_2015-10-26-commons.u57	In the last Parliament, the Government cut education funding for 16 to 19-year-olds hardest of all. Today, we learn that funding allocations for colleges and schools for the 16-to-19 sector are down over £100 million so far compared with last year. The Government have given them further instability with the flawed series of area FE reviews, jeopardising colleges and their students. With this record, does the Minister have any guarantees for the spending review to secure viability for the 16-to-19 sector?
ParlaMint-GB_2015-10-26-commons.u58	We might want to look over the channel to see what happens to an education sector when the Government are not getting a grip on spending and on ensuring a strong economy. In Portugal, schools have been closed and teachers laid off. In Greece, teachers have faced a 30% cut in their salaries. We are ensuring a strong sector that is able to educate young people for a life of work.
ParlaMint-GB_2015-10-26-commons.u59	6. What assessment she had made of the effect of the services offered by Sure Start children’s centres on the families who use those centres.
ParlaMint-GB_2015-10-26-commons.u60	It is crucial that we evaluate the impact of children’s centres for families. The Department for Education has funded the “Evaluation of Children’s Centres in England” research, and three interim reports were published in June 2015. I expect the full impact report to be published later this year, with a consultation to follow on how children’s centres can have the greatest impact for local communities going forward.
ParlaMint-GB_2015-10-26-commons.u61	Palfrey Sure Start in my constituency has twice been rated outstanding for doing community-based work and culturally sensitive work, not just childcare. What further steps can be taken to ensure that it can continue to support parents with this vital work?
ParlaMint-GB_2015-10-26-commons.u62	The hon. Lady is an excellent and assiduous MP. I congratulate the Sure Start centre in her constituency on the excellent work it is doing. That highlights the fact that, to look at the future of children’s centres, we must look at more innovation and other ways of delivering services that work for local communities and satisfy local demand.
ParlaMint-GB_2015-10-26-commons.u63	In Enfield, some 12 children’s centres have been closed. Headteachers tell me that that is resulting in more and more children not being school-ready, which affects their progress throughout their whole primary school career and beyond. What does the Minister intend to do to address that problem?
ParlaMint-GB_2015-10-26-commons.u64	Labour Members continue to count buildings rather than services when they talk about children’s centres. One million families have benefited from children’s centre services. Free childcare for disadvantaged two-year-olds and for all three and four-year-olds is delivering the school-readiness that has seen record numbers of children ready for school, according to the early years foundation stage profile.
ParlaMint-GB_2015-10-26-commons.u65	The Minister continues to talk about the services that are offered. However, he will be aware that the charity 4Children has recently highlighted that more than 2,000 children’s centre sites have had their budgets significantly cut this financial year and that fewer centres are now able to reach fewer families. Nearly 60% report cutting front-line services, nearly 30% have significantly cut the range of services they offer, 28% are now forced to charge for services that would otherwise have been free and 20% are reducing their hours. Is the Minister proud of the Government’s legacy on Sure Start?
ParlaMint-GB_2015-10-26-commons.u66	I welcome the hon. Lady to her new post. It is great to see that many of her predecessors are still in the shadow education team. It is wonderful that the new politics is being led by the same old faces I am proud of our record on children’s centres. We have seen record numbers of families receiving support, but there has also been a 50% increase in the number of health visitors and we have expanded the troubled families programme. We are on the side of the families that need children’s centres most, and we are doing something about it.
ParlaMint-GB_2015-10-26-commons.u67	7. What assessment she has made of the effect of the Government's proposed changes to tax credits on the number of children accessing free school meals
ParlaMint-GB_2015-10-26-commons.u68	14. What assessment she has made of the effect of the Government's proposed changes to tax credits on the number of children accessing free school meals.
ParlaMint-GB_2015-10-26-commons.u69	Thanks to the growing economy, the number of children requiring free school meals is falling. We are currently assessing the effect of proposed changes to tax credits.
ParlaMint-GB_2015-10-26-commons.u70	The proposed changes to tax credits will see 22,000 children in Scotland lose their entitlement to free school meals, although our First Minister has pledged to safeguard that entitlement. Will the Minister make a similar pledge to ensure that children from the most vulnerable backgrounds in the rest of the UK remain eligible for free school meals?
ParlaMint-GB_2015-10-26-commons.u71	The hon. Lady will be aware that, in the rest of the UK, the majority of children who are entitled to free school meals have parents who are on out-of-work benefits. We are assessing the impact of the changes to tax credits, and there is nothing to suggest that people who currently receive free school meals will not continue to do so.
ParlaMint-GB_2015-10-26-commons.u72	If children become hungry or undernourished as a result of missing out on free school meals, what effect will that have on attainment levels in the classroom and the life chances of future generations? What steps will the Government take to mitigate the long-term impact of these short-sighted cuts?
ParlaMint-GB_2015-10-26-commons.u73	The hon. Gentleman will be aware that eligibility for free school meals in Scotland is a matter for the Scottish Government. The Scotland Bill will give the Scottish Government power to top up or reverse tax credits, or to raise taxes, but they are noticeably silent about what they will do to ensure that such eligibility continues.
ParlaMint-GB_2015-10-26-commons.u74	As the Minister correctly points out, free school meals in Scotland are a matter not for him but for the Scottish Parliament in Edinburgh. Is it not odd to hear Members of the Scottish National party questioning the Minister about free school meals in England, when I cannot go to Edinburgh and question Ministers there about free school meals in Scotland?
ParlaMint-GB_2015-10-26-commons.u75	I welcome my hon. Friend’s question. He highlights the delivery of our manifesto commitment to English votes for English laws, to ensure that English MPs rightly have their say on issues that affect England.
ParlaMint-GB_2015-10-26-commons.u76	Does the Minister agree that welfare changes are an essential part of reducing the deficit, and far preferable to sacking thousands of teachers and closing schools, as we have seen in countries such as Greece and Portugal?
ParlaMint-GB_2015-10-26-commons.u77	My hon. Friend makes an important point that was also highlighted by the Minister for Skills. In countries such as Greece that did not take grown-up, difficult decisions, teachers’ pay has been cut by 30% and thousands of schools have closed. This Government are taking the right decisions for the country.
ParlaMint-GB_2015-10-26-commons.u78	As the Minister knows, free school meals are vital to ensure that many children have access to a hot and healthy meal every day. Recent reports from Kellogg’s and the Trussell Trust highlight that thousands of children who rely on free school meals in term time will go hungry during the current half-term holiday. Does the Minister agree that free school meals are a vital tool in combating child hunger, and will he promise to protect universal infant free school meals in the spending review, so that infant children from low-income working families do not go hungry?
ParlaMint-GB_2015-10-26-commons.u79	I am glad that the hon. Lady has brought up a policy that we in this Government introduced, and I am proud of the take-up and quality of school meals for all children. In our manifesto we committed to continuing with that—we are going through the spending review, but our manifesto commitments remain.
ParlaMint-GB_2015-10-26-commons.u80	Assuming that a similar percentage of children across the rest of the UK will lose their entitlement to free school meals as the percentage estimated for Scotland, how much does the Minister estimate that changes to tax credits will save his Department on free school meals, and how will Scotland see its budget cut as a result?
ParlaMint-GB_2015-10-26-commons.u81	It is worth making it absolutely clear that whatever the position of tax credits for the United Kingdom, eligibility for free school meals in Scotland is a matter for the Scottish Government. I would rather that SNP Members did not try to scaremonger about what will happen in the rest of the United Kingdom, and instead made clear what they will do as a result of these changes.
ParlaMint-GB_2015-10-26-commons.u82	Straightaway we can see from the Minister’s answer that there will be budgetary impacts on Scotland from decisions on which Scottish MPs will no longer be able to vote. Can he assure us that when there will be funding implications, Scottish MPs will not be barred from voting?
ParlaMint-GB_2015-10-26-commons.u83	I am not sure that the hon. Lady listened to my answer, but she makes the point about tax credits in general. Tax credits are a matter for the United Kingdom. This House has voted on tax credits three times and each time the motion has been passed. As for the implications for free school meals, as I said, that is a matter for the Scottish Government.
ParlaMint-GB_2015-10-26-commons.u84	8. What steps she is taking to ensure that safeguarding policies are in schools.
ParlaMint-GB_2015-10-26-commons.u85	When carrying out their duties to safeguard and promote the welfare of children, schools must have regard to the statutory guidance we have issued, “Keeping children safe in education”, which includes ensuring an effective child protection policy, together with appropriate safeguarding responses to children going missing from education and procedures for handling allegations of peer-to-peer abuse.
ParlaMint-GB_2015-10-26-commons.u86	Further to that reply, can the Minister highlight what support is available to help parents, school governors and teachers who may have concerns about local issues to report those concerns?
ParlaMint-GB_2015-10-26-commons.u87	Where there is a specific safeguarding incident that either a governor or parent wants to raise, they should contact their local authority’s children’s services safeguarding team; where there are concerns about safeguarding processes at a school, they should be raised through the school complaints process; and if the safeguarding processes at the local authority are causing concern, they should be raised with Ofsted. In law, it is the local safeguarding children’s board that is responsible for developing and scrutinising local procedures and arrangements, but I am sure my hon. Friend will also know that the National Society for the Prevention of Cruelty to Children has an excellent helpline to enable parents who have concerns about safeguarding in their school to raise them directly.
ParlaMint-GB_2015-10-26-commons.u88	Ofsted recently praised Stockport academy for its outstanding work to keep pupils safe. The school uses a software application into which staff input any concern they have about a child, including if they are missing from a lesson. That means that immediate checks can be made to ensure that the child is in a safe place. Does the Minister agree that that approach to safeguarding, using modern technology, should be used by more schools?
ParlaMint-GB_2015-10-26-commons.u89	I know how assiduous the hon. Lady has been in pursuing these matters, and it is good to hear of that initiative in her constituency from Stockport academy. I would like to learn more—as, I am sure, would the Department—about how it has achieved that, so that that best practice might be spread more widely. I am happy to discuss that with her further.
ParlaMint-GB_2015-10-26-commons.u90	Many parents will be surprised to know that under the previous Government a requirement for volunteers in schools to undergo a Criminal Records Bureau check was removed. Is the Minister planning to review that change in the law?
ParlaMint-GB_2015-10-26-commons.u91	There are no current decisions to be made about whether to review that particular measure. As the hon. Lady knows, there were some widespread changes made during the last Parliament—they were predominantly led by the Home Office, but the Department for Education was kept closely involved. We feel that we have a robust system in place, but more important is making sure that the people who are delivering the services have the best practice, skills and knowledge at their disposal, because where things go wrong, it tends to be through basic practice failures, rather than systems.
ParlaMint-GB_2015-10-26-commons.u92	9. What discussions she has had with the Chancellor of the Exchequer on the VAT treatment of sixth-form colleges.
ParlaMint-GB_2015-10-26-commons.u93	My hon. Friend knows that we can have lots of discussions about this issue, as he and I have done, but ultimately the decisions are made by the Chancellor, and we all await those with bated breath.
ParlaMint-GB_2015-10-26-commons.u94	I am sure my hon. Friend agrees that academies, schools and sixth-form colleges should receive equal treatment in respect of VAT. Does he therefore agree that it is grossly unfair that, per institution, the average sixth-form college is out of pocket by £314,000? That is hardly equal treatment.
ParlaMint-GB_2015-10-26-commons.u95	I entirely understand those arguments and have some sympathy with them, but I would point out to my hon. Friend that sixth-form colleges, like further education colleges, also have the freedom to borrow, which many of them have taken advantage of. That is not a freedom that is available to other schools, so there are swings and roundabouts.
ParlaMint-GB_2015-10-26-commons.u96	Sixth-form colleges are arguably the most successful education institutions in our system, in terms of educational achievement and financial efficiency, so would it not be sensible for the Government to encourage the creation of more sixth-form colleges, rather than punishing them for their success?
ParlaMint-GB_2015-10-26-commons.u97	I certainly agree with the hon. Gentleman that there are remarkable sixth-form colleges achieving extraordinary things, and I want to support them as best we can. As he knows, one option we are keen to explore is whether some sixth-form colleges might want to link up with groups of schools and multi-academy trusts in order to be stronger themselves and to provide more of their great education to more people.
ParlaMint-GB_2015-10-26-commons.u98	10. How many pupils of secondary school age there are in Kettering constituency; and how many such pupils there were in 2010.
ParlaMint-GB_2015-10-26-commons.u99	The January 2015 school census shows 5,757 secondary school-age pupils attending schools in Kettering. In January 2010, there were 5,732 such pupils.
ParlaMint-GB_2015-10-26-commons.u100	Per pupil funding in Northamptonshire is £317 less than the English average, yet the rate of house building in Kettering and Northamptonshire over the next 10 or 15 years is among the highest in the country. When the Minister gets around to introducing a fairer funding formula for schools, will he ensure an extra boost for areas that are growing quicker than everywhere else?
ParlaMint-GB_2015-10-26-commons.u101	We are committed to ensuring fairer funding across the board, and we took a step towards that for 2015-16 when we allocated £390 million to the 69 worst funded local authorities, including my hon. Friend’s local education authority.
ParlaMint-GB_2015-10-26-commons.u102	15. What plans the Government have to improve school attendance.
ParlaMint-GB_2015-10-26-commons.u103	Reducing absence from school is a top priority for this Government, and good attendance is clearly linked to attainment. There are 200,000 fewer pupils regularly missing school compared with when we began our reforms in 2010, but we need to do more to ensure that all children, regardless of their background or where they come from, are attending school regularly, because even short absences can damage a child’s education and life chances.
ParlaMint-GB_2015-10-26-commons.u104	I recently visited the Caradon alternative provision academy in Liskeard, in my constituency. It provides education for young people who have been permanently excluded or are in intervention programmes, and it is achieving fantastic results. Will my hon. Friend join me in congratulating the academy and consider visiting to see the fantastic work it does?
ParlaMint-GB_2015-10-26-commons.u105	My hon. Friend is right. Every child, regardless of background or the problems they face, deserves the opportunity to develop their knowledge, skills and values to prepare them for life in modern Britain. Alternative provision academies, such as Caradon, play a crucial role in ensuring that pupils who cannot currently be educated in a mainstream school continue to receive a good education. I would be delighted to visit the school with her and to congratulate the staff at the academy on their achievements and professionalism.
ParlaMint-GB_2015-10-26-commons.u106	Poor attendance, as well as extremely poor educational attainment, is a feature of the most recent Ofsted inspection at the Voyager academy in Walton, Peterborough, which is managed by the Comberton academy trust. May I encourage the Minister and the Secretary of State to use their powers to intervene on this first wave academy to replace Comberton with a much more suitable academy trust for the benefit of pupils in my constituency and beyond?
ParlaMint-GB_2015-10-26-commons.u107	We take very seriously the performance of multi-academy trusts and the trustees’ oversight of academies, and the regional school commissioners will be looking at my hon. Friend’s case, as they do all issues of poor performance by academies within multi-academy trusts.
ParlaMint-GB_2015-10-26-commons.u108	16. What steps the Government are taking to support young people with their mental health in schools.
ParlaMint-GB_2015-10-26-commons.u109	Good mental health and attainment are different sides of the same coin, which is why the Secretary of State appointed me as the first Education Minister with responsibility for mental health in schools. We are taking a number of steps, working with partners, to improve the mental health of young people.
ParlaMint-GB_2015-10-26-commons.u110	Given that mental health conditions can be life-limiting for many young people in school, how are the Government ensuring that teachers have access to appropriate materials to teach pupils about mental health in an age-appropriate way so that we can break through this stigma?
