ParlaMint-GB_2015-02-27-commons.u1	I beg to move, That the House sit in private Question put forthwith (Standing Order No. 163).
ParlaMint-GB_2015-02-27-commons.u21	I will give a brief response on the two proposals of the right hon. Member for North East Hampshire (Mr Arbuthnot) in new clauses 1 and 2. On Third Reading we will perhaps talk at greater length about the merits of the Bill and why it is important that we are here today. I acknowledge that these are intended to be probing amendments to provoke discussion and debate New clause 2 is important. We know from many of our constituents who are going through this process that it often comes at a difficult time. Any more information that they can receive about how long they should expect to wait would be helpful. We are all familiar with the card that the ombudsman already provides to us on receipt of our applications to them, so any further information that we could provide to our constituents about how long they should expect to wait would be helpful I see no problem with new clause 2, which seeks to provide a complainant, at the outset of an investigation, with “an estimate of the period within which the investigation is likely to be completed.” The key point is that it is an estimate. My only concern, although I acknowledge that the overwhelming majority of cases are completed within a year, is that we must manage the expectations of anyone who submits a complaint to the ombudsman. I reiterate that cases often come at a difficult time for people, and the concern is about complainants having to wait for months beyond the time set out by the ombudsman We will talk more on Third Reading about why a complaint might be brought, but we often support constituents at a time when they have had a loss or gone through a difficult medical procedure, and we know that it is important to manage expectations. Anything that we can do to provide assurance will be positive, but I do not want any period that the health service commissioner sets out to give people a false sense of security that they will receive a response within a certain time, when it could be many months after that I look forward to the Minister’s response, but I do not think there is much to take issue with in new clause 2 if the right hon. Member for North East Hampshire decides to press it to a Division. As I said, my only concern is about the broader provision of information to the public. I would not want to place on the health service commissioner too onerous a duty to provide a wide audience with expectations of when complaints might be responded to. We know from the commissioner that there is already an expectation that complaints will be responded to within 12 months, which is helpful, but new clause 2 would help to give people who are bringing a complaint some expectation of when it might be responded to.
ParlaMint-GB_2015-02-27-commons.u22	It is always a pleasure to follow the shadow Minister, whose remarks were pithy and straight to the point. I will try to be equally pithy in dealing with these short new clauses. I am grateful to my right hon. Friend the Member for North East Hampshire (Mr Arbuthnot) for tabling them, because they give us an opportunity to consider whether it is appropriate to include in the Bill a requirement for information to be provided to the public in general, and a complainant in particular New clause 1 states: “The Health Service Commissioner shall make available to anyone considering making a complaint, an estimate of the period within which investigations are to be completed.” Frankly, I wonder whether there is any need for the new clause. I do not want to pour cold water on my right hon. Friend’s attempts to improve the Bill, which I know are well intended, but I wonder whether he is aware of any occasion when someone has approached the commissioner and said, “I am thinking of making a complaint. Can you tell me how long you think it might be?”, and the commissioner has said, “I’m sorry, I can’t tell you that. We’re not going to tell you.” If there are a lot of people in that position, I agree that we need to address it in legislation, but I have certainly never had anybody approach me and say, “I was thinking of making a complaint, but they won’t tell me how long it will take.” I am not sure that there is a particular problem that we need to address, but I am sure that my right hon. Friend will enlighten us about that.
ParlaMint-GB_2015-02-27-commons.u23	I have to say that I have received no information from anyone who has had such an experience. My suspicion is that if one went to the ombudsman and asked, “How long is this likely to take?”, the ombudsman would say, “If you look at our last report, you will see that 99% of our cases were concluded within a year, so you can expect something roughly like that.” New clause 1 is merely an attempt at transparency.
ParlaMint-GB_2015-02-27-commons.u24	I am grateful to my right hon. Friend for that intervention, which leads me directly on to my second point. I suspect that if the commissioner is approached by a member of the public, or indeed by a prospective complainant who has it more immediately in mind to make a complaint, all that will happen is that the commissioner will say, “Without a lot more information about the nature of your complaint, I can do no more than look at our history of dealing with complaints. If you look in the annual report or consult our website, you will see that 99% of cases are concluded within a year; to put it another way, there is one chance in 100 that your complaint may still be outstanding after one year.” Of course, that does not give the whole picture, because the ombudsman’s annual report states that it was able to conclude 67% of cases within one month. Therefore, two out of three cases are dealt with relatively speedily, which is probably as good as one would expect to find anywhere. Few complainants would expect their complaint to be dealt with faster than that.
ParlaMint-GB_2015-02-27-commons.u25	My hon. Friend is right to say that there is a one-in-100 chance of a complaint taking more than a year to be dealt with, but I should perhaps have said that there are only about three chances in 100 of a complaint being dealt with at all, because so many of them are outside the scope of what the ombudsman can look into in the first place.
ParlaMint-GB_2015-02-27-commons.u26	That is right, and it prompts a question about whether some advantage is to be gained by the commissioner providing more help at the initial stages to try to signpost people. Indeed, the annual report states that the ombudsman receives about 40,000 contacts a year, including queries about where and how to complain about public and non-public services. Of those 40,000 contacts, 27,566 were inquiries for the commissioner, which demonstrates that many members of the public will quite innocently contact the commissioner about matters that do not fall within her responsibilities.
ParlaMint-GB_2015-02-27-commons.u27	Does that show that new clause 1 is ill conceived? It states that before people make a complaint they must get an estimate of how long it is likely to take to resolve it. However, the bigger issue for people before they make a complaint is what the chances are of it being accepted for investigation.
ParlaMint-GB_2015-02-27-commons.u28	My hon. Friend makes a good point. People may assume that they have simply to make a complaint for it to be followed up, but as statistics from the commissioner’s report show, that is not the case. Many complainants would presumably like someone to deal with their complaint, but are disappointed at the outset before they have even got going, and are told, “I’m sorry; you’ve come to the wrong person.” It may be that there is nobody to deal with that complaint, and the complainant is sent off to look elsewhere. I have one further point on the detail of new clause 1. If the commissioner was expected to make a more accurate assessment of the time within which the complaint is likely to be completed, she would have to find out much more detail about the nature of the complaint. That would obviously entail more work for her and her staff. It is the law of unintended consequences: we may find that imposing more obligations and burdens on the staff of the ombudsman’s office, in an attempt to be helpful, extends the length of time it takes for a complaint to be resolved, because staff will be engaged in assessing how long it would take to deal with a new complaint, rather than getting on with dealing with complaints. That is a problem I accept that all these matters could be dealt with by providing extra resources. We have not really addressed that point so far this morning; it is the elephant in the room. I do not think this is outside the scope of the new clause. If we impose, or even just set out, an expectation on the commissioner to follow this provision, there will be implications for the deployment of resources. The commissioner could rightly say, “Well, it is all very well expecting me to give an estimate to every member of the public who approaches my office of how long their case will take, but where are the extra resources?” That would be a legitimate question to ask. Otherwise, the commissioner is likely to say that complaints might take about a year, which would probably not be very helpful to most prospective complainants New clause 2 relates to complainants who, perhaps having looked at the website, have decided that regardless of the length of time it will take, they will make a complaint. The new clause states: “The Health Service Commissioner shall make available to the complainant, at the outset of an investigation, an estimate of the period within which the investigation is likely to be completed.” That implies that initial details have already been taken. I would expect this to be rather more specific advice than that provided to a member of the public. This is someone who has lodged a specific complaint, which the commissioner has accepted. It is a small point, and I have not bothered tabling an amendment to new clause 2, but I would prefer it to read, “The health service commissioner shall give the complainant, within 14 days of the outset of an investigation, an estimate of the period in which the investigation is likely to be completed.” I would have tried to tighten it up a little bit, but I nevertheless accept that that is the wording put forward by my right hon. Friend I raised a point about providing updates. My right hon. Friend’s response was that there was no need to legislate on that, because he felt that the commissioner was providing updates anyway. If she is, I could use the same argument about new clauses 1 and 2. If we have no evidence—no one has been able to provide any—that this is a problem, either for members of the public, in respect of new clause 1, or for specific complainants, in respect of new clause 2, I have to question whether these new clauses are required at all. On balance—I accept that it is a fine balance—I do not think that they are required, and should he press either new clause to a Division, I would vote against it, but only because, as he has said himself about legislation to provide updates, there is no need for legislation to require the commissioner to provide this information to the public or a specific complainant.
ParlaMint-GB_2015-02-27-commons.u29	My hon. Friend the Member for Bury North (Mr Nuttall) has presaged Eric Forth’s principle No. 5, also known as the law of unintended consequences, for which reason I hope that my right hon. Friend the Member for North East Hampshire (Mr Arbuthnot) will treat his new clauses as probing rather than substantive. One of the risks has already been talked about—that of imposing more work on and therefore slowing down the process of the ombudsman—but there is another one that my right hon. Friend and I, having been in the House for some time, will be used to: where legislation sets prices, targets or whatever, the minimum can become the maximum and the maximum can become the minimum. If an ombudsman’s staff member has to provide a prediction of the likely time it will take to resolve a complaint, not only are they likely to be cautious and, as my hon. Friend said, tick “12 months”, but they might say, “Well, until 12 months comes up, maybe I shouldn’t issue the report at all, in case I discover something I didn’t think of before.” It could thus have exactly the opposite consequence to that which my right hon. Friend intends.
ParlaMint-GB_2015-02-27-commons.u30	Would my right hon. Friend like to reflect on the strange coincidence of the number of Eric Forth’s laws we are looking at and the fact that he hated laws of all sorts?
ParlaMint-GB_2015-02-27-commons.u31	Yes, there are laws of nature and there are laws of man, and in Eric Forth’s case, there are forces of nature which sometimes are the forces of man. It is a wonderful paradox, but given that it was my right hon. Friend who provoked me to conjure the five laws, I blame him, not myself My right hon. Friend made a very thoughtful speech, and perhaps met Eric Forth’s sixth law, which is that all this has to be tested—that is the point of this House, and it was Eric Forth, more than anybody, who insisted that we did not just shovel through, sausage-like, a set of laws because the Administration or some pressure group wanted them, but that we tested them, and my hon. Friend the Member for Bury North has been doing that this morning This reform is likely to be the first of a number picked up by the Executive, not by us. The Public Administration Committee is looking at this, the Department of Health is looking at it, the ombudsman’s office itself is looking at it, and the Cabinet Office is also looking at the issues raised by my right hon. Friend and my hon. Friend. The Executive will be aiming to minimise the number of times complaints are turned down out of hand; to minimise the number of times people are told, “You’ve got the wrong department. Complain to somebody else”; and to minimise the constraints on the ombudsman’s office that might not permit it to intervene; and they will also be aiming to deal with the resource issue. It seems to me that we do not need to solve those problems. It is for the Executive to do so properly in Executive time, with debate going on across the Front-Bench teams. It is for them to deal with that; we are dealing with a simple problem here.
ParlaMint-GB_2015-02-27-commons.u32	When my right hon. Friend discussed the Bill in Committee, he contemplated the prospect of introducing amendments at this stage to reflect the outcome of the deliberations taking place in government and elsewhere. In the light of the Government’s failure to deliver a timely response, how much confidence does he have that they have the will to do this?
ParlaMint-GB_2015-02-27-commons.u33	A lot of confidence. I do not wish to pre-empt the Government’s forthcoming announcements, but neither do I want to push them into doing anything ill thought through. If the law of unintended consequences applies to anything, it applies to Government legislation—more than anything else. I am confident that this will happen, and in a way that will command support across the House. As my hon. Friend knows, it may be dangerous to make a prediction, but I think there will be agreement. Whatever happens in the general election, I believe these reforms are coming.
ParlaMint-GB_2015-02-27-commons.u34	It is a pleasure to respond to such a thoughtful debate on new clauses 1 and 2, which were tabled by my right hon. Friend the Member for North East Hampshire (Mr Arbuthnot). Given that this is my first response from the Dispatch Box on the Bill today, let me provide a little context before moving on to the specifics of the new clauses Clearly, when someone believes that the services offered by the NHS have fallen below an acceptable standard, it is absolutely right that the complaint be investigated properly and efficiently. The Government are committed to putting patients first and improving the experience of making a complaint about the NHS. As part of that, we believe that an effective health service ombudsman is critical to achieving the effective complaints service that patients expect and deserve. This is very much part of our transparency agenda The Parliamentary and Health Service Ombudsman carries out independent investigations of unfair, improper or poor service by United Kingdom Government Departments and their agencies and the NHS in England. The health service ombudsman is the second independent stage of the NHS complaints arrangements, dealing with cases not resolved at local level. I think we will all have had such dealings in our constituency work The Parliamentary and Health Service Ombudsman, Dame Julie Mellor, had done a good job in challenging circumstances to make her office more transparent and accountable, something to which right hon. and hon. Members have alluded. She has gone about transforming the way in which her office works. She has greatly increased the number of complaints investigated by her office, and complaints are generally reviewed and assessed with excellent judgment and in a timely fashion. Certain cases, however, suggest that the ombudsman might benefit from legislative reinforcement in working towards further improvement. As the shadow Minister captured in her remarks, any delay in investigating a complaint adds unnecessary distress at what is almost certainly a very difficult moment in an individual or a family’s life. The Government are keen to reduce any delay in investigating cases to reduce the pain of all those involved. Complaints about the NHS of course raise personal or sensitive issues. The person making the complaint, whether it be the patient, the carer or a representative, will be understandably keen to know the outcome as quickly as is reasonably possible These two new clauses raise some important points, albeit finely balanced ones. We have had a very good debate this morning exploring where the balance lies. New clause 1 concerns transparency. As I have said, complaints about the NHS may involve the raising of personal or sensitive issues. Whether the complainant is a patient or a carer representative, that person will be keen to know how long the process might take, as we know from our constituency case loads. One of the first questions that a person might ask is, “How long is this likely to take?” That applies both to complaints that are handled by the NHS itself and to companies that are referred to the health service ombudsman in the second, independent stage of the process The Government are actively encouraging the NHS to be more open and receptive to complaints, including those made by our constituents. We understand the sentiment behind new clause 1, but we do not feel able to support it. The new clause would require the ombudsman to produce a general estimate of the time it is likely to take for her office to investigate a complaint. My hon. Friend the Member for Bury North (Mr Nuttall)—unsurprisingly—made an acute point when he referred to the danger that the time taken to assess the time likely to be taken might actually add to the time taken. Such a tragic irony would not serve any of our constituents A wide range of cases are referred to the ombudsman and subsequently investigated. Some are relatively simple, but others are more complex and take significantly longer to investigate. There are also cases in which people do not know what is not currently knowable. That is the whole point of an investigation. I agree with my right hon. Friend the Member for Haltemprice and Howden (Mr Davis) that, in particularly complex or sensitive cases, it is important not to give an incorrect estimate to someone who is thinking of making a complaint, especially when it turns out to be an underestimate. I am sure we can all think of other contexts in which we give a constituent an estimate of the time that it might typically take to provide that constituent with an answer, the anxious constituent comes back to us within the estimated period, and from that moment a clock starts ticking. During the subsequent period, constituents may feel that they have been let down—or, worse still, may suspect that something in “the system” is preventing them from getting an answer—and their anxiety may increase as a result As Members will know from their constituency correspondence, it is not helpful to add unnecessarily to the distress associated with any perceived delay in the investigation of a complaint about any public service, and that applies particularly to complaints about the NHS that may relate to personal, sensitive or possibly even tragic experiences. Complainants’ distress will be exacerbated if a general estimate of the time taken to conclude an investigation does not accurately reflect the time taken when it turns out that there is an unknown—and, at the time when the complaint was lodged, unknowable—complexity to the case Like my right hon. Friend the Member for Haltemprice and Howden, I am equally concerned about an estimate based on the longest period within which an investigation might be expected to be completed. I cannot help feeling that there might be a tendency towards officialdom—a tendency to err on the side of caution, and, in order not to be too boxed in by an inaccurate estimate, to opt for the upper end of the time spectrum. Other Members have drawn attention to the need and the desire for transparency, but it would be terrible if as a result of that undue caution—unwarranted, perhaps, in most cases—people who were at their lowest ebb, already feeling unresilient to things that were happening in their lives, were to say to themselves, “I don’t think I can take more than 12 months of this, so I will walk away and not make a complaint.” It would be awful if people did not feel that the system was there to deal with their complaints and worries As I have said, the complexity of some cases might become apparent only once an investigation had begun. A complainant might be unintentionally misled, expect an earlier response, and, if that response did not come when it was expected, begin to fear that something untoward was happening, that the wheels were grinding too slowly, or that someone did not care about the complaint. Although none of those assumptions might be true, the complainant’s faith in the system might nevertheless be undermined In summary, new clause 1 raises a valid point about transparency and it is good that the House has explored that matter this morning, but I do not feel able to support it, for the reasons that I have mentioned and that the right hon. Member for North East Hampshire also referred to when he explained that the purpose of the new clause was to probe. I hope that he will agree with the points that I and others have raised, and that he will withdraw new clause 1 in due course New clause 2 raises the question of good practice in the handling of a complaint, and it has been made clear in other contributions today that the whole House supports that principle. It is of course good practice for any person making a complaint to be given, as soon as practicable, an indication of how long it will take to complete the investigation into the complaint. However, we do not feel able to support the new clause for two reasons, both of which I think my right hon. Friend the Member for North East Hampshire began to arrive at during his speech First, the new clause, as drafted, would require the estimate of the period likely to be taken to investigate the complaint to be given to the person at the time at which the investigation began, but there will be cases whose complexity is not apparent at that point. In my experience as a constituency Member—I am sure colleagues have had the same experience—something that seems straightforward at the outset can turn out not to be, particularly when different points of view become involved. That is also likely to happen in NHS investigations such as these. It is particularly important not to give the person making the complaint an estimate that turns out to be too short, for the reasons that I have outlined. The second reason could be said to relate to some of the Forth principles that we have been hearing about this morning. Good practice involves keeping the person making the complaint updated on progress throughout the investigation, and that is something that any ombudsman would take seriously. There is no evidence to show that Dame Julie and her team would not naturally seek to do that during the course of their work. That would include keeping someone informed of any shift in the estimate of the time likely to be taken to complete the investigation. The proposed new clause makes no reference to that continuing duty New clause 2 raises an important point about good practice, but we feel unable to support it because it focuses on giving an estimated time only at the outset of the investigation and not throughout the process, although we might explore this question further in other amendments. I thank my right hon. Friend for probing and giving the House a chance to explore these important issues, but I hope he will agree with the arguments that I and others have put forward, and to which he alluded in his balanced contribution, and that he will not press new clause 2 to a vote.
ParlaMint-GB_2015-02-27-commons.u35	After hearing valuable comments from both sides of the House, I have come to the conclusion that my new clauses would not be helpful and I beg to ask leave to withdraw the motion Clause, by leave, withdrawn. New Clause 3 Statutory duty of the Health Service Ombudsman ‘It shall be a statutory duty of the Health Service Ombudsman to resolve any complaints within twelve months of the date when the complaint was received.’—(Mr Chope.) Brought up, and read the First time.
ParlaMint-GB_2015-02-27-commons.u36	I beg to move, That the clause be read a Second time.
ParlaMint-GB_2015-02-27-commons.u37	With this it will be convenient to discuss the following: Amendment 3, in clause 1, page 1, line 7, after ‘Commissioner’ insert— ‘before the end of that period’ Amendment 4, page 1, line 8, at end insert— ‘together with an estimate of the target date for completion of the investigation.’ Amendment 1, page 1, line 8, at end insert— ‘(b) The Commissioner shall subsequently keep the complainant informed, as far as reasonably practicable, as to the progress of the investigation.’ Amendment 5, page 1, line 8, at end insert— ‘( ) If the reason for the delay specified in Section 2HA is lack of financial resources it shall be the duty of the Commissioner to set out the action which is being taken to remedy that lack of financial resource’ Amendment 2, page 1, line 15, leave out ‘, and’ and insert— ‘(ba) the reasons for each of those delays, and’.
ParlaMint-GB_2015-02-27-commons.u38	The new clause would simplify the Bill enormously. It would require the health service ombudsman to resolve any complaint within 12 months of the date on which it was received. As we are paying tribute to my late friend Eric Forth, may I say that the new clause would have commended itself enormously to dear Eric, because it puts on the tin what people say we want to put on the tin. With the greatest of respect to my right hon. Friend the Member for Haltemprice and Howden (Mr Davis), I think he has been timid in his Bill. We know that 99% of these cases are dealt with within one year. The new clause would require that 100% of them be dealt with within one year, and there would also be a sanction, because a breach of a statutory duty can be justiciable. That would concentrate minds. If it looked as though a complaint was being dealt with slowly, the health service ombudsman would be able to say, “You’ve got to get a move on because we’ve got a statutory duty to resolve this within one year.”
ParlaMint-GB_2015-02-27-commons.u39	I am not sure whether the hon. Gentleman heard the comments by the Minister on the previous group of amendments but I think she addressed that point precisely. There is a complexity within the system that cannot be anticipated, and it would artificially fetter the discretion of the commissioner if an arbitrary time limit were put in place. Does he not agree that there are occasions when the complexity is such that we simply cannot fix the rigid metallic corset of a time limit on it without diminishing the value of the investigation?
ParlaMint-GB_2015-02-27-commons.u40	With the greatest of respect to the hon. Gentleman, I do not accept that, which is why I tabled the new clause. As he says, the Minister was addressing new clauses 1 and 2, and I would not at this stage anticipate her response to the debate we are now having on new clause 3. If a statutory duty is in place, minds will be concentrated. That means that the ombudsman would, for example, be able to explain to a complainant who it was who was not providing the information that was necessary in a timely fashion and say, “If we don’t get a move on, your complaint will be time-barred because we will dismiss it on the basis that we have a lack of evidence.”
ParlaMint-GB_2015-02-27-commons.u41	Following on from the point made by the hon. Member for Ealing North (Stephen Pound), may I say that I am not entirely sure that corsets are normally metallic—I believe they are generally made of whalebone? Leaving that aside, I wonder whether my right hon. Friend the Member for Haltemprice and Howden (Mr Davis) ought to be introducing a shorter time limit, because we all know that work expands to fill the time available. [Interruption.] Parkinson’s law, indeed. As soon as a 12-month time limit is introduced, that is the time that will be taken. If 95% of complaints are being dealt with within six months, six months would seem to be quite a good limit.
