ParlaMint-GB_2015-06-17-lords.u1	To ask Her Majesty’s Government what action they are taking to address the risk of climate change.
ParlaMint-GB_2015-06-17-lords.u12	My Lords—
ParlaMint-GB_2015-06-17-lords.u13	My Lords—
ParlaMint-GB_2015-06-17-lords.u14	My Lords, this is clearly a topical Question that everybody wants to get in on. The House seems to be calling for my noble friend Lord Ridley, and then we should perhaps hear from the noble Baroness, Lady Jones.
ParlaMint-GB_2015-06-17-lords.u15	My Lords, given that global warming has been much slower over the past 30 years than what 95% of the IPCC models had forecast, and given that 14 peer-reviewed papers published since 2011 find that climate sensitivity to carbon dioxide is much lower than the 3 degrees assumed by the Government’s climate impact models, what is the Minister’s preferred estimate of climate sensitivity? Does he agree that the best scientific evidence now suggests that it will be 100 years before we hit the 2 degrees threshold and that perhaps there are other more urgent humanitarian and environmental priorities?
ParlaMint-GB_2015-06-17-lords.u16	I find myself in total disagreement with the noble Viscount. The scientific evidence is overwhelming that this is a very, very serious issue and we do need to address it. The consequences if we do not are dire.
ParlaMint-GB_2015-06-17-lords.u17	My Lords—
ParlaMint-GB_2015-06-17-lords.u18	My Lords—
ParlaMint-GB_2015-06-17-lords.u19	My Lords—
ParlaMint-GB_2015-06-17-lords.u20	My Lords, this is not going to work unless we all try to follow the conventions that we are all accustomed to. I indicated before that it seemed that the House was asking for the noble Baroness, Lady Jones, to have an opportunity to ask a question. Then, we will see what time we have left as to where we go next.
ParlaMint-GB_2015-06-17-lords.u21	Thank you My Lords, is the Minister aware that, should other countries such as Norway divest themselves of fossil fuel investments, the London Stock Exchange would be highly exposed because we carry something like 19% of the global carbon budget? Are the Government thinking about stimulating the green economy, for example, through PFI contracts or similar public service contracts?
ParlaMint-GB_2015-06-17-lords.u22	The noble Baroness will be aware that the green economy is growing and, at the same time, there is a lowering of the carbon economy within the United Kingdom. This is a very favourable sign, which exhibits the point made by Sir Nicholas Stern and his committee. Clearly, many businesses have signed up to the importance of tackling climate change, as the noble Baroness will be aware.
ParlaMint-GB_2015-06-17-lords.u23	Does my noble friend accept that the largest problem is that the Government have no plans for continuing the advantages for renewable energy and the like after 2020? We need to have clear pathways as quickly as possible because, unlike my noble friend, I think the science shows that we will reach 2 degrees much more quickly than he suggests.
ParlaMint-GB_2015-06-17-lords.u24	I agree that there is an urgent need to look at the renewables programme. My noble friend will be aware that there is a new department and that we are all in new roles, but we are looking at the issue urgently
ParlaMint-GB_2015-06-17-lords.u25	To ask Her Majesty’s Government whether they intend to lift the moratorium on the use of neonicotinoid pesticides for agricultural crops.
ParlaMint-GB_2015-06-17-lords.u26	My Lords, the Government have fully implemented the EU restrictions on three neonicotinoid pesticides. The European Commission has just begun a review of the science underlying these restrictions and has invited submissions of evidence by the end of September. Defra and the Health and Safety Executive will participate fully in this review. We firmly believe that decisions on these issues should be based upon the best possible scientific assessment of risk.
ParlaMint-GB_2015-06-17-lords.u27	My Lords, the noble Lord is probably aware that neonicotinoids last a long time in the soil and are found in ponds and streams. A group of 30 scientists reviewed more than 800 papers recently and their conclusions, published in the journal Environmental Science and Pollution Research, were that: “The combination of prophylactic use, persistence, mobility, systemic properties and chronic toxicity [of neonicotinoids] is predicted to result in substantial impacts on biodiversity and ecosystem functioning” Will he and his officials bear that in mind when they go to Europe?
ParlaMint-GB_2015-06-17-lords.u28	My Lords, I am grateful to the noble Countess for that question. Certainly, decisions are kept under review and the Government consider all scientific evidence. As I said earlier, the EU is inviting submissions of evidence and I advise that any of the studies to which she refers should do exactly that.
ParlaMint-GB_2015-06-17-lords.u29	My Lords, should we not be allowed to decide this sort of thing for ourselves? Since we cannot, why did the Government fail to vote against it in the Council of Ministers? In the resultant absence of a qualified majority in the Council, will they appeal it in December, or will they allow the Commission to pursue it in spite of the latter’s usual third-rate scientific advice?
ParlaMint-GB_2015-06-17-lords.u30	My Lords, perhaps it would be helpful to the noble Lord if I went through, very briskly, what is required. Pesticides are approved at EU level if they meet safety requirements. The United Kingdom is responsible for authorising products containing approved active substances. I assure your Lordships that both the Health and Safety Executive and the independent UK Expert Committee on Pesticides look at these matters extremely carefully.
ParlaMint-GB_2015-06-17-lords.u31	I declare my interest as a farmer in Cheshire. I congratulate the noble Lord and welcome him to his new position. While the Government may dispute the scientific evidence of the ban on neonicotinoid pesticides, nevertheless they should support the precautionary principle. Reports claim that the National Farmers’ Union, in calling for a temporary emergency derogation, has not provided the Government with scientific evidence. Have the Government asked for this evidence? Will they insist on evidence being provided? How do they answer that any derogation will invalidate the large-scale field trials necessary to provide that evidence?
ParlaMint-GB_2015-06-17-lords.u32	My Lords, I thank the noble Lord for his typically generous remarks. An application is being considered by the Health and Safety Executive and the independent UK Expert Committee on Pesticides. It will then be for those opinions to come before Ministers.
ParlaMint-GB_2015-06-17-lords.u33	My Lords, the recent Swedish field trial on rape seed treated with neonicotinoids showed a decline in both wild bees and bumblebee colonies. Does the Minister agree with the Government’s own Chief Scientific Adviser, who on 14 May called the trial, “an important contribution to the evidence base”, against neonicotinoids?
ParlaMint-GB_2015-06-17-lords.u34	My Lords, as I hope I have impressed upon your Lordships, the decisions made here and in Europe need to be made on the best scientific assessment of risk. Only last November we published the National Pollinator Strategy, which is precisely designed to improve the situation for our 1,500 pollinating insect species. These pollinators are absolutely vital to our food production.
ParlaMint-GB_2015-06-17-lords.u35	Following the question put by the noble Baroness, Lady Parminter, can the Minister confirm that not a single beekeeping organisation in this country is in favour of lifting the ban? Beekeepers of my acquaintance all say the same thing: that neonicotinoids are extremely damaging to bee colonies, and that if our bees die and thus stop pollinating we will die too.
ParlaMint-GB_2015-06-17-lords.u36	My Lords, the background to and reason for the restrictions on the three neonicotinoids is precisely because of the risk assessment that was made about bees. Obviously the EU, after two years, is bringing together all the scientific evidence available so that the issue can be looked at in a thorough manner.
ParlaMint-GB_2015-06-17-lords.u37	My Lords, can my noble friend confirm that since neonicotinoids were introduced honey-bee numbers have gone up, not down?
ParlaMint-GB_2015-06-17-lords.u38	My Lords, I do not have the exact figures. While neonicotinoids are extremely effective in dealing with plants, they are considered much more toxic to insects than to humans and mammals. This is why the decision was made and the UK decided to go along with it, and why it is now being reviewed.
ParlaMint-GB_2015-06-17-lords.u39	Is the Minister satisfied that the EU is basing its decisions on science? Over the past two or three years, it has made some decisions that have affected our agricultural production that have gone flatly against what we do based on science. One of the first things the new President did, of course, was to get rid of the independent chief scientific adviser.
ParlaMint-GB_2015-06-17-lords.u40	Our position in this country is that, for us to be secure, all these matters must be undertaken on the basis of the best scientific evidence available, and that is what we intend to do
ParlaMint-GB_2015-06-17-lords.u41	To ask Her Majesty’s Government whether they have any plans to reschedule cannabis from Schedule 1 to Schedule 2 to the Misuse of Drugs Regulations 2001 to enable its use for medicinal purposes.
ParlaMint-GB_2015-06-17-lords.u42	My Lords, the Government have no plans to reschedule cannabis. There is clear scientific evidence that cannabis is a harmful drug which can damage people’s mental and physical health, and which can have a pernicious effect upon communities. We will not undermine our continuing efforts to reduce drug harms or circumvent the regulatory process by which drugs are assessed by the Medicines and Healthcare Products Regulatory Agency for their safety and efficacy as medicines.
ParlaMint-GB_2015-06-17-lords.u43	My Lords, nine European countries, including Germany and Italy, as well as many other countries across the world, provide access to medicinal cannabis for patients who really need it, while some 30,000 people in this country risk a criminal record in order to take medicines based on cannabis that they need to alleviate their pain and suffering. Will the Minister agree to look at and consider the human rights aspect of UK policy, and will he make the findings of that assessment available to your Lordships in the Library?
ParlaMint-GB_2015-06-17-lords.u44	The noble Baroness has a long-held position on these issues in terms of her role in the All-Party Parliamentary Group for Drug Policy Reform. Obviously that is a respectable position but it is not one that is shared by the Advisory Council on the Misuse of Drugs, which advises the Home Office on drugs misuse. The council’s view is that the case is not made. Where there are derivatives from cannabis, as has recently been the case, applications can be made to the Medicines and Healthcare Products Regulatory Agency. In fact, in one particular case, which is that of Sativex, the licence to market has actually been granted.
ParlaMint-GB_2015-06-17-lords.u45	Is the Minister aware that, in 2000, your Lordships’ Select Committee on Science and Technology, of which I was then a member, conducted a major investigation into the potential medical benefits of cannabis preparations and cannabis itself. We were satisfied that smoking cannabis was just as dangerous in causing cancer as smoking tobacco, if not more so. Nevertheless, we received substantial anecdotal evidence of benefits from cannabis ingestion in a variety of medical conditions. Subsequently, a company called GW Pharmaceuticals produced a wholly standardised cannabis-based preparation. That was subjected to some very convincing clinical trials which led to it being licensed by the MHRA in 2010 for the treatment of spasms and spasticity in multiple sclerosis. That is now the case, but the evidence is growing that various cannabinoids may also be of benefit. Would not the reschedule recommended by my noble friend Lady Meacher help to expedite additional trials and lead to the beneficial effects of cannabis being more available for medical conditions?
ParlaMint-GB_2015-06-17-lords.u46	The noble Lord is absolutely right in tracing this back to a long debate in the Select Committee, the work of which I pay tribute to. That was, of course, taken into account in the MHRA’s decision. Should there be new drugs of this classification which have proven benefits for patients, they should, of course, make an application and undergo clinical trials in the same way.
ParlaMint-GB_2015-06-17-lords.u47	My Lords, although I do not accept the need to legislate for cannabis, the evidence from America—particularly from Colorado, which has recently legislated for its use—shows that the use of medical marijuana may well be of benefit to soldiers and veterans who suffer from post-traumatic stress disorders, and nightmares in particular. If the evidence proves to be robust, there is a case for clinical trials to be undertaken in this country to see if that actually is of benefit because we have many troops who have come back from Afghanistan and suffer from these conditions.
ParlaMint-GB_2015-06-17-lords.u48	My noble friend and other noble Lords are experts in the medical world, and I am realising very quickly that the problem is that there are many different types of medical research and science, some bits of which are contradictory. For example, the Institute of Psychiatry and Cancer Research have taken a different view on this. That is why we need to have a process which clearly and openly evaluates the introduction of these drugs, primarily to ensure that people are kept safe.
ParlaMint-GB_2015-06-17-lords.u49	My Lords, in continuing to list cannabis in Schedule 1, on the basis that it is a drug of extremely limited medicinal value, are the Government not flying in the face of much academic and expert medical opinion, contrary to the principle of basing policy on scientific evidence just enunciated by his noble friend Lord Gardiner of Kimble? Why should patients who have been prescribed a cannabis-based medication, because nothing else relieves their chronic pain so effectively, be obliged to make repeated trips—at heavy cost in cash, stress and fatigue—to Holland to collect it, when under a sensible and humane regime they would be able to pick it up at a local pharmacy in their own country?
ParlaMint-GB_2015-06-17-lords.u50	Part of the argument here is that one of the reasons why Sativex is not widely prescribed, although it has been licensed for marketing, is that general practitioners believe that there are other drugs which are more effective in tackling the issues it is meant to deal with. That is a point for debate, but we are acting on the advice of the Advisory Council on the Misuse of Drugs and abiding by the decisions of the Medicines and Healthcare Products Regulatory Agency. It would be a derogation of duty for the Government to do anything other than that.
ParlaMint-GB_2015-06-17-lords.u51	My Lords, will the Minister please confirm that the drug he mentioned in answer to a previous Question is no longer approved by NICE? Does he agree that it is slightly disingenuous of him to suggest that a cannabis-based product is widely available in this country?
ParlaMint-GB_2015-06-17-lords.u52	It is not that the drug is no longer approved; it was never approved by NICE. It has been licensed for marketing and is available on private prescription in England. In Wales, it is available on prescription. People are still evaluating its performance. NICE’s view was that alternatives are available which are more cost effective and more effective in their treatment outcomes. That is a decision for it.
ParlaMint-GB_2015-06-17-lords.u53	My Lords, is it not the case that some people suffering from MS who feel that they have a need for cannabis can manage only to get skunk—which is pretty dangerous—through their own means? Would it not be better if people suffering from MS had access to a safer form of cannabis, such as is suggested in the Question, rather than having to resort to the stuff that is more easily available?
ParlaMint-GB_2015-06-17-lords.u54	That is the case. Where safer drugs are available, a licence should be applied for from the Medicine and Healthcare Products Regulatory Agency. If they are safe and effective, they will be licensed for use in the UK.
ParlaMint-GB_2015-06-17-lords.u55	To ask Her Majesty’s Government what consultations they have had with law enforcement agencies and communications companies regarding their proposals to reform the law relating to communications data.
ParlaMint-GB_2015-06-17-lords.u56	My Lords, the Government have regular discussions with law enforcement agencies and communications service providers. As was made clear when the report into investigatory powers by David Anderson QC was published, the Government are considering his recommendations carefully and will consult widely with all those affected.
ParlaMint-GB_2015-06-17-lords.u57	Is it the intention of the Government to consult police officers, which they fail to do at present? Is not the Home Secretary determined to steamroller her so-called snoopers’ charter through Parliament? According to a former leader of the Association of Chief Police Officers, there has been next to no consultation so far with the police. He described the situation as “open warfare”. Is that not highly dangerous, extraordinary and unprecedented?
ParlaMint-GB_2015-06-17-lords.u58	If that were the case, it certainly would be; but my day-to-day experience in the House of Lords is that that could not be further from what is actually happening. We are not steamrollering any legislation through; in fact, we are going through an exhaustive process. David Anderson has taken a year to produce his report. In the mean time, we have had the Intelligence and Security Committee’s detailed report, and we are awaiting a RUSI report. We have had Sir Nigel Sheinwald’s report to the Prime Minister, and we have pledged that there will be pre-legislative scrutiny. If that is a steamroller, I am not quite sure what some of the other legislative processes are.
ParlaMint-GB_2015-06-17-lords.u59	We discussed these matters in the previous Parliament at some length in connection with the counterterrorism Bill, and the urgency and importance of the issue—that our defences are seriously at risk—was recognised by the Home Secretary and the shadow Home Secretary. New means of communication—the internet, telephony and others—that are outside our present reach can be used by terrorists in particular. These are matters of some urgency. While I certainly do not think that the Government can be remotely accused of steamrollering, the Bill in question has already been produced in draft and been subject to pre-legislative scrutiny. My concern is: how long are we going to take before we take the steps, agreed on both sides of the House in previous debates, which are very necessary for the defence of our country?
ParlaMint-GB_2015-06-17-lords.u60	My noble friend is absolutely right. He helpfully mentions previous consideration of the counterterrorism and security legislation as it went through this House. We, the Conservative part of the coalition, very much wanted to introduce the Communications Data Bill, but what has been announced in the Queen’s Speech goes wider than that. It includes communications data but also looks at the regulatory regime and is built around investigatory powers, bringing us more up to date with the threats we face and, therefore, the capabilities that our people need.
ParlaMint-GB_2015-06-17-lords.u61	Does the Minister accept that, with all the scrutiny this has rightly been given, we are considering not just a matter of law—though it is that—but a matter of political judgment about political circumstances and political threats, not least terrorist threats? Will everything possible therefore be done to ensure that the crucial interventions are retained within the ambit of politicians who are ultimately accountable to this Parliament, and not merely avoided by putting them out to judges without a political intervention?
ParlaMint-GB_2015-06-17-lords.u62	Obviously, the noble Lord speaks with great experience. I think that he was Home Secretary at the time of the 9/11 attacks and is personally aware of the challenges we face in that area. The Anderson review raised the issue of the relationship between the Executive and the judiciary. A number of comments were made about the decisions that had been taken and about the risk if things go wrong being a political risk, saying that the decisions therefore ought to follow that process. That is a view that David Anderson expressed and which we are considering, but the Intelligence and Security Committee took a different view. We will evaluate the issue and come forward with recommendations.
ParlaMint-GB_2015-06-17-lords.u63	My Lords, I wonder if I could ask the Minister to return to what the noble Lord, Lord Clinton-Davis, said: that the newspaper report said that the Home Office was not consulting senior police officers about the Communications Data Bill, as was, and which is now coming into the House. I ask the Minister to refute that suggestion; the department must be consulting senior police officers.
ParlaMint-GB_2015-06-17-lords.u64	I will be as brief as I can. There is a specific issue here, in that, during the previous coalition Government, our coalition partners took a different view—I mean no detriment—so there was no clear government position on which to consult. That has changed. There is a very clear government view now that we need this, and fast.
ParlaMint-GB_2015-06-17-lords.u65	My Lords, there are half a dozen or so civil liberties organisations that could greatly assist the Government in coming up with a balanced investigatory powers Bill. Which civil liberties organisations have the Government consulted?
ParlaMint-GB_2015-06-17-lords.u66	They will have the same opportunity as anybody else to participate in the consultation process. There is also a statutory code of practice that has been introduced, and we are open to consultations. We will listen to them but I have to say that at present, when you see the threats that are faced by this country, I am going to listen more to the people who are actually trying to protect us and keep us safe.
ParlaMint-GB_2015-06-17-lords.u67	My Lords, when people come to my noble friend and talk about their human right to communicate in secret, will he advise them that the most important human right is to life? Those of us who have been affected by terrorism remember that. I would not wish others to be needlessly affected in the same way.
ParlaMint-GB_2015-06-17-lords.u68	My noble friend is absolutely right, and obviously he has deep personal experience of this. There can be no enjoyment of rights without security first, and security is of paramount concern to us. I had an opportunity just last week to visit GCHQ and see for myself the work that was going on there. The people there are dedicated professionals who are working against a fast-moving and intensifying threat. They were asking for the powers to be able to keep us safe, not just from terrorism but from serious and organised crime and from child sexual exploitation. This is a very serious matter and we must make sure that we give people the tools to do the job.
ParlaMint-GB_2015-06-17-lords.u69	To move that this House takes note of transport connectivity and infrastructure in the north of England.
ParlaMint-GB_2015-06-17-lords.u70	My Lords, I am delighted to lead this debate—the first substantive Lords debate on transport in this Parliament—for it concerns a matter of great importance to our country: the regeneration of the north, the rebalancing of our economic geography and the role of transport in stimulating growth. I look forward to hearing contributions from noble Lords on this, which I know will be, as ever, informed and insightful. I am very grateful to all noble Lords who are participating in the debate Britain is flourishing once again. Today we have more people in employment than at any time in our history. The deficit has been halved and we are on track to be the fastest-growing major economy in the world in 2015, just as we were last year. Any Government would be proud of these achievements, but we also recognise that our job is far from over. As our manifesto explained, the Government’s ambitions go much further than simply turning recession into recovery. The headline GDP figures are hugely encouraging, but the challenge now is how we grow and how we sustain and balance growth so that everyone can share in the benefits. The fact is that for generations Britain has been a two-speed economy, with a distinct prosperity divide between the north and the south. Yet we have it in our power to close that gap and to do something that no post-war Government has done—to build a new northern powerhouse and to bring our country closer together, with transport playing a pivotal role in the process. It is two centuries since the north helped pioneer new manufacturing processes, which triggered the Industrial Revolution. But that did not just change the way we made goods: it changed the way we transported them, too. Canals and railways gave the north a competitive advantage. Within a week of the first canal opening, the price of coal in Manchester had fallen by half. Transport opened up new labour markets and gave companies access to new customers, just as it does today. Roads and railways are the arteries through which the life-blood of our economy flows. Yet for decades, transport investment in the north has lagged behind London and the south-east. Successive Governments have failed to provide the vision—or, indeed, the funding—needed to bring the north’s infrastructure up to standard I recognise that many in this House who will take part in the debate have made great contributions to tackling this very challenge. I acknowledge the efforts made by the noble Lord, Lord Prescott, who initiated the Northern Way in 2004, and the strong case that he has made for transport connectivity across the north. I also acknowledge my noble friend Lord Heseltine, who has been a passionate advocate for devolution and direct action to regenerate the north—and there are many others The northern powerhouse, which has been made a priority for this Government, recognises that the north remains poorly served by transport. As a result, lack of capacity and poor connectivity across the north act as a drag on growth. That is something that we have to change and are changing. Just as transport created the first northern powerhouse, so it will create the second one, too. We are already committed to £13 billion of transport investment across the north in this Parliament alone. That will include improving roads, rail and local transport Most importantly, it will also link the cities of the north. As my right honourable friend the Chancellor of the Exchequer pointed out, if you look at all the great cities and towns within a 40-mile radius of Manchester, you have a region with incredible potential and a huge pool of talent. United as a single unit, this region can be a much more powerful economic force—one that, in turn, will benefit not just that region but the whole country. A network of cities connected by a modern transport system, which acts as a catalyst for growth, aspiration and opportunity, making the whole greater than the sum of its parts: that is what the northern powerhouse is all about I will very briefly explain the progress that has been made on northern transport over the past year. Last summer, the Chancellor set out his vision for the northern powerhouse. In response, Manchester, Leeds, Liverpool, Newcastle and Sheffield came together to produce the One North report in August: a single transport plan for an interconnected north In October, HS2 chairman Sir David Higgins published his report Rebalancing Britain, and in the same month we created and established Transport for the North, a new alliance of northern authorities and city regions speaking as a single voice and working with government and national transport agencies such as Network Rail, Highways England and HS2. Transport for the North is proof that we are serious about devolution and investing in our transport infrastructure. This is a transport programme for the north, delivered by the north In March this year, TfN and the Department for Transport jointly published the first Northern Transport Strategy report covering roads, rail, freight, airports and smart ticketing. A second report will be published next year. By the autumn, an independent chairman will have been appointed, based on a mechanism agreed with all TfN partners. So transport will be at the heart of the new northern powerhouse Rail is a particular priority. As I am sure we all recognise, rail is the most efficient and effective way to move large numbers of people quickly and reliably between cities, and is absolutely key to the future of the north. However, the network has been neglected for decades and overcrowding is a daily reality for commuters on routes into major cities such as Manchester, Leeds and Liverpool. Some trains are operating at more than 50% overcapacity, so the improvements we are making as part of the largest and most ambitious rail investment programme since the Victorian era are long overdue. For example, we are delivering the northern hub, a major electrification programme and new rolling stock on TransPennine routes and the east coast main line. Our plans will add capacity for another 44 million passengers a year on the existing northern railway, with an extra 700 trains running each day. TfN will work to maximise the benefits of these investments In just two years, we will start building HS2. HS2 will change the transport architecture of the north—but, most importantly, it will also change the economic architecture. Seven out of 10 jobs created will be outside London, with the north and Midlands gaining at least double the benefits of the south. We are looking at the case for faster construction of the northern sections to deliver those benefits as soon as possible, including a dedicated Bill for the line to Crewe, subject to further analysis and final decisions on the preferred route. Sir David Higgins has suggested that such a link might be brought forward by six years. We are also looking at the potential for speeding up the line between Leeds and Sheffield. We will make an announcement about phase 2 in the autumn. As the first new north-south railway for more than a century, HS2 will dramatically improve connections across the north and, importantly, will slash journey times. For example, the trip from Leeds to Birmingham will be cut from one hour and 58 minutes to just 57 minutes However, our plans for northern rail do not stop there. To transform services right across the region we also need to build a new east-west line. Currently, journeys on these routes are too slow, too infrequent and too overcrowded. This simply puts people off travelling and puts businesses off investing in the north, so our strategy includes a new high-speed rail link linking Liverpool, Manchester, Leeds, Sheffield and Hull. This line will reduce journey times, increase capacity, have more frequent services and improve connectivity. Together, these plans represent a massive step forward for transport in the north—and, of course, they will free up substantial capacity on the existing rail and road network. Improvements to the road infrastructure are crucial for the north. That is why the Government have already committed £3 billion for northern road improvements in our Road Investment Strategy. As with rail, east-west road connections are increasingly congested, making journeys unreliable, particularly in bad weather. The work of Transport for the North and Highways England will focus on how best to address this problem, with targeted investment to relieve pinch points and to get the network moving freely. We are already upgrading sections of the motorway network, including the M62 between Manchester and Leeds, to four-lane “smart motorways” to make best use of their capacity. We are also improving the A1, the M1 and the A64 and delivering a large number of local schemes This is a start, but it is not enough, so next we will look at the potential for a new road tunnel under the Pennines between Sheffield and Manchester, possibly linked with a new rail tunnel. We are also looking at the problems on the M60 and whether an alternative to the M62 lies further north, in dualling the A66 or A69. Our fundamental objective is to fix problem roads and to get traffic moving once again so that motorists are able to drive at a minimum speed of a mile a minute on the core network I turn briefly to aviation and freight. The strategy also includes developing northern airports such as Manchester, Newcastle, Leeds-Bradford and Liverpool. Manchester, as I am sure many noble Lords know, will benefit from a £1 billion investment plan over the next 10 years. It is vital that we link the region to fast-growing markets around the world such as China, India and Brazil, because these links will attract investors to the north. Road and rail connectivity to airports and ports is of particular importance, so we are working with TfN to boost the links to these international gateways. HS2 and the new east-west line will provide significantly improved access. Individual city regions are working with local airports to improve connectivity right across the north We also have a shared vision with TfN for freight to support the northern powerhouse. It is a single plan for the future of logistics across the north—and this is the first time that any Government have produced such a plan. The objective is to build a single distribution network that operates efficiently and sustainably across modal boundaries and that exploits the full potential of private investment around ports in the north such as Liverpool, Humber and Tyne Today is—and the next few years will be—a tremendously exciting time for transport in the north: we are rolling out the road investment strategy; the HS2 Bill is making progress through Parliament and we are continuing development work on phase 2; we are pressing ahead with plans for the new high-speed, east-west railway; and TfN is uniting different authorities, city regions and the transport industry to deliver a single vision for transport in the north. Some may say that it is an ambitious plan that will take time to implement—but, as I am sure all noble Lords recognise, the prize at the end will be worth it. We look to establish and sustain a modern, reliable transport system to support and provide a boost for the region in terms of employment and related growth for generations to come, and to truly establish the north as an economic powerhouse that will not just be for the region alone but will have global reach.
