ParlaMint-GB_2015-12-14-lords.u1	To ask Her Majesty’s Government whether they have plans to reform Sunday trading laws.
ParlaMint-GB_2015-12-14-lords.u12	My Lords, we have not taken decisions yet in relation to our proposals, or on what legislative vehicle would be appropriate.
ParlaMint-GB_2015-12-14-lords.u13	My Lords, will not such devolution result in a postcode lottery? Can one imagine, for example, a chain of garden centres across the country—in which, incidentally, I have no interest to declare—being allowed to open in local authority A and not local authority B?
ParlaMint-GB_2015-12-14-lords.u14	My Lords, I think you would indeed get differences, and that would reflect different councils and the different views of different elected representatives. I am glad that my noble friend mentioned garden centres because the Horticultural Trades Association is one of the bodies that is particularly keen to see reform, so that people can buy their plants and pots on a Sunday.
ParlaMint-GB_2015-12-14-lords.u15	My Lords, we look forward to hearing the results of the consultation, which must be one of the longest being carried out by the Government at present. However, for the avoidance of all doubt, I would be grateful if the Minister confirmed that the Enterprise Bill currently before your Lordships’ House, or any other Bill currently before either House, will not be used to bring forward such regulations in this Parliament.
ParlaMint-GB_2015-12-14-lords.u16	My Lords, no decisions have been taken in relation to our proposals or to the legislative vehicle. I cannot help the noble Lord.
ParlaMint-GB_2015-12-14-lords.u17	Will my noble friend accept that those of us who opposed the relaxation of Sunday trading restrictions many years ago forecast that Sunday would become another high street Saturday? That prophecy has been fulfilled. Will she please try to persuade her ministerial colleagues not to take it further?
ParlaMint-GB_2015-12-14-lords.u18	My Lords, of course, this is a matter of balance and we feel that there is opportunity for change. We are looking at the arguments. My own view is that Sunday does remain special. Society has changed but some of us still go to church.
ParlaMint-GB_2015-12-14-lords.u19	My Lords, will the noble Baroness be certain to consult Sports Direct before she concludes this?
ParlaMint-GB_2015-12-14-lords.u20	My Lords, there is a consultation. We are looking at all the responses. I do not know whether Sports Direct has been involved.
ParlaMint-GB_2015-12-14-lords.u21	My Lords, may I urge the right reverend Prelate the Bishop of Chester to promote his Private Member’s Bill? This issue obviously needs discussion and I cannot think of a better way of launching that discussion.
ParlaMint-GB_2015-12-14-lords.u22	My Lords, I take note of this point, which is now gathering support, and will report it to the usual channels.
ParlaMint-GB_2015-12-14-lords.u23	My Lords, can the Minister explain exactly how, under the Government’s consultation proposals, workers are actually protected—not just protected at law, but protected from losing their jobs if they exercise their right not to work on Sunday?
ParlaMint-GB_2015-12-14-lords.u24	My Lords, I am happy to take the noble Baroness through it in detail but it is unlawful to discriminate in the way that she seems to suggest might be possible. Shopworkers’ rights would be even better communicated if we were to change the law but, at the moment, people have a right—and if that right is broken, they can go to ACAS and an employment tribunal.
ParlaMint-GB_2015-12-14-lords.u25	To ask Her Majesty’s Government how regularly ministers and officials meet representatives of Transport for London.
ParlaMint-GB_2015-12-14-lords.u26	My Lords, various government departments have regular meetings with representatives of Transport for London. The Secretary of State, along with other Ministers, meets the Mayor of London several times a year. My ministerial colleagues and I also have regular meetings with the commissioner and other senior staff at Transport for London, as do our officials.
ParlaMint-GB_2015-12-14-lords.u27	Given that smoking and the consumption of alcohol are now banned on the Tube, should not Transport for London follow the lead of some American cities, such as Washington DC, and consider banning the consumption of hot food on Tube trains? Many passengers in congested carriages find that very offensive; it creates litter and, when left lying around carriages, can create a health hazard. Will my noble friend the Minister raise this when he next meets Transport for London and suggest that it considers this proposal, and perhaps undertakes a passenger survey to find out what passengers would like?
ParlaMint-GB_2015-12-14-lords.u28	My Lords, my noble friend raises an important area of concern to many commuters across London. There are no current plans at TfL to introduce such a ban but there is a current policy, under the guise of Travel Better London, which helps Londoners to think about travel etiquette and seeks to address passenger behaviours that can lead to improvements in services. I will of course put on the agenda of our next meeting with the commissioner, which will happen shortly, the specific issue which my noble friend raises.
ParlaMint-GB_2015-12-14-lords.u29	My Lords, there is an advertisement from Transport for London and the Mayor of London on Westminster station which states that Transport for London does not make a profit because, “we reinvest all our income to run and improve your services” Since Transport for London is directly responsible, through a subsidiary, for running the London Underground, would the Government, at their next meeting with its representatives, like to express their support for Transport for London and the Mayor of London for this approach that, as a train operator, TfL should reinvest all its income in running and improving the services that it operates?
ParlaMint-GB_2015-12-14-lords.u30	We have wide-ranging discussions with Transport for London across a variety of issues. I will be pleased to discuss any matters that noble Lords wish to raise, put them on the agenda and report back. However, I would add that a great deal of investment goes into transport in London and that over the last 10 years, we have certainly seen great improvements.
ParlaMint-GB_2015-12-14-lords.u31	My Lords, in view of the success of the conference on climate change over the weekend, will my noble friend have urgent discussions with Transport for London about the appalling increases in congestion and pollution caused by the introduction of bicycle lanes, which are in use in large numbers only in the peak period? Will he at least ensure that other traffic can use those lanes during the course of the day? In the present situation on Lower Thames Street, for example, they are likely to die from carbon monoxide or other poisoning from pollution any moment now.
ParlaMint-GB_2015-12-14-lords.u32	I think that all noble Lords would acknowledge the benefits of cycling across London. I stress that the Mayor of London has primary responsibility for planning in London, along with the air quality strategy. The introduction of cycle lanes is partly to encourage more sustainable forms of travel across the capital.
ParlaMint-GB_2015-12-14-lords.u33	My Lords, when the Minister raises the subject of smelly food at his next meeting with TfL, what will his answer be when TfL says to him that cutting the government revenue grant to TfL from £639 million this year to nothing at all in a little over two years’ time leaves it with no choice but to let more of its premises and underground stations? This will inevitably lead to the letting of more, not fewer, fast food outlets in underground stations and consequently more smelly food on tube trains, not less.
ParlaMint-GB_2015-12-14-lords.u34	What is smelly food to some may not be smelly to others, but let us not go into that particular issue. The important thing to remember is that there has been a tough spending round, but in our discussions London government has a substantial settlement for the next spending review period of £11 billion. We are working together to improve London’s quality of transport across the board.
ParlaMint-GB_2015-12-14-lords.u35	The Minister will be aware that there is a Private Bill working its way through this House to do with, among other things, disposal of assets by Transport for London. When meeting Transport for London, will he ensure that it and the local authorities in which these developments will take place have a proper proportion of social housing coming out of them, not just housing for the very rich?
ParlaMint-GB_2015-12-14-lords.u36	My list grows for my meeting with Transport for London. Of course I take anything I hear from noble Lords seriously and I will put it on the agenda and discuss it. The important thing to remember, however, is that the Government work hand in glove to ensure that, although there is delegation and devolution in London on issues of transport, we provide the best transport for the best city in the world.
ParlaMint-GB_2015-12-14-lords.u37	My Lords, we all know the Mayor of London’s addiction to cycling, but is my noble friend Lord Higgins not absolutely right that what is happening now has done more damage, and is doing more damage, to London than almost anything since the Blitz? Is it not also hugely age discriminatory? There is a huge section of the population of a certain age, well represented in this House—I declare an interest—for whom cycling is not a practical option.
ParlaMint-GB_2015-12-14-lords.u38	I suggest to my noble friend that it is never too late to start.
ParlaMint-GB_2015-12-14-lords.u39	My Lords, when the Minister meets Transport for London with his shopping list of requirements, could he also raise the issue of the growing number of hate crimes, particularly Islamophobic hate crimes, that are taking place on tubes and buses, particularly in London? There are reports of the driver, or whoever is responsible, doing absolutely nothing until passengers eventually intervene to try to stop these crimes. What responsibility does Transport for London have when it comes to these sorts of crimes?
ParlaMint-GB_2015-12-14-lords.u40	The noble Baroness raises a very important point. She knows I totally agree with her on the importance of this issue. All kinds of hate crime, whoever the perpetrator and whoever the victim, must be eradicated, including on our transport system here in London. Additional policing measures have been put in place to address the specific issue of hate crime. As the noble Baroness will also be aware, in terms of Islamophobia, anti-Muslim hatred will be a specifically recorded hate crime from April next year.
ParlaMint-GB_2015-12-14-lords.u41	To ask Her Majesty’s Government what impact the introduction of the English Baccalaureate has had on the number of young people studying science and mathematics.
ParlaMint-GB_2015-12-14-lords.u42	My Lords, all state-funded schools are required to teach science and maths to pupils up to the age of 16 as part of a broad and balanced curriculum. Since the introduction of the EBacc in 2010, the proportion of pupils taking GCSEs in maths has remained stable at 97%. For science counted in the EBacc, the proportion has increased from 63% to 74%. We have also had a substantial increase of 15% or more in the number of pupils taking maths and science at A-level.
ParlaMint-GB_2015-12-14-lords.u43	That is very good news indeed. Would my noble friend not agree that given the importance of these STEM subjects to the future careers of young people and, indeed, to the economy, it would be very profitable to continue the expansion of maths and science as compulsory subjects into the 17 and 18 year-old age group?
ParlaMint-GB_2015-12-14-lords.u44	I entirely agree with that, and we are ensuring that this happens for those who have not passed at grade C, certainly for maths. Obviously if pupils wish to continue with science, they can do so.
ParlaMint-GB_2015-12-14-lords.u45	My Lords, the Minister will be aware that the latest figures show that almost one in five secondary teacher training places for September has not been filled, and on non-EBacc courses, less than two-thirds of the number of trainees required have been recruited, with design and technology being the hardest hit. Does he think that the concentration on STEM and EBacc subjects will accelerate the decline in the number of art teachers in schools, which has already fallen 11% since 2010?
ParlaMint-GB_2015-12-14-lords.u46	The position in relation to teachers is no different from what it has been several times over the past 15 years: a less than 1% shortfall. The substantial increase in the number of pupils taking maths A-levels—18% in maths and 27% in further maths—gives us good hope that we will see more maths teachers in future.
ParlaMint-GB_2015-12-14-lords.u47	Does my noble friend agree that a rise of 6% to 18% in the proportion of youngsters now entering school with English as their second language has had an effect on the studying of science?
ParlaMint-GB_2015-12-14-lords.u48	I agree that it gives schools certain challenges, but evidence suggests that once those pupils have mastered English, they are actually more aspirational than are, sadly, some white working class boys in particular.
ParlaMint-GB_2015-12-14-lords.u49	My Lords, the Minister will no doubt be pleased at the increase in the number of pupils studying science and maths. He used the phrase “broad and balanced”. He will also be aware that the creative industries are really important to the UK economy. Is he not concerned that we are seeing a decline in the creative and cultural subjects being taught at secondary school? If it continues apace, will he consider recommending that a creative or cultural subject be part of the EBacc offer?
ParlaMint-GB_2015-12-14-lords.u50	We are not considering the noble Lord’s second point. There is no evidence that EBacc has had a detrimental impact on arts subjects. Since 2007, the percentage of pupils taking at least one arts GCSE has increased by 6%. A number of free schools—School 21, East London Arts & Music academy, Plymouth School of Creative Arts and the LeAF Studio School—specialise in arts and media.
ParlaMint-GB_2015-12-14-lords.u51	My Lords, will my noble friend do everything he can to encourage the use of the baccalaureate? Under the old A plus system, at 15, children had effectively to choose whether to become artists or scientists. The result has given us a great raft of illiterate scientists and unscientific artists. The baccalaureate gives one a broad education up to at least 17 or 18. No one can consider themselves to begin to be educated unless they have a good grounding in both the arts and the sciences, and I hope that he will continue to promote the sort of exams that encourage that.
ParlaMint-GB_2015-12-14-lords.u52	I am grateful for my noble friend’s comments. Of course, our Progress 8 measure will encourage a wider scope of subjects rather than what Tristram Hunt described as the great crime of the C/D borderline. On average, pupils take 11 subjects in total at key stage 4.
ParlaMint-GB_2015-12-14-lords.u53	My Lords, I suspect that the Minister did not give us all the information. At A-level, although there has been a welcome increase in the number taking maths and science, what he did not tell the House was that the trend for increased numbers in those subjects significantly predates the introduction of the EBacc in 2010, and the pace of increase since then has actually slowed. Between 2002 and 2009, numbers in maths increased by 58%; since the introduction of the EBacc, they have increased by only a further 13%. In physics, between 2006 and 2010, numbers increased by 18%; since then, by 16%. The Minister also did not reveal that English and modern languages are also EBacc subjects, but take-up has fallen since 2010 Last year, the director-general of the CBI said that, “we have no debate at all about the 14-18 curriculum—only a debate about exams … we need curriculum reform, not just exam reform” Was not he right?
ParlaMint-GB_2015-12-14-lords.u54	I am delighted that the noble Lord supports our belief in the importance of those subjects.
ParlaMint-GB_2015-12-14-lords.u55	My Lords, the Minister will be aware that those concerned with music education are worried about the impact of the EBacc on music education in schools. That is partly because schools faced with hard choices on budget priorities are less concerned about recruiting music teachers. Is he willing to speak to people from the music education industry about those concerns?
ParlaMint-GB_2015-12-14-lords.u56	I would be delighted to do that.
ParlaMint-GB_2015-12-14-lords.u57	The Minister will be aware of the huge shortage of engineers in this country and, particularly, in the Navy, Air Force and Army. What is being done to translate that increase in science and maths into engineering and to try to encourage that?
ParlaMint-GB_2015-12-14-lords.u58	I know that we have a number of UTCs specialising in that, including one where I know that the Royal Navy is actively engaged.
ParlaMint-GB_2015-12-14-lords.u59	Having failed to answer my noble friend Lord Watson in his first attempt, could the Minister now try again?
ParlaMint-GB_2015-12-14-lords.u60	I do not really think that time would allow me to do so.
ParlaMint-GB_2015-12-14-lords.u61	Oh!
ParlaMint-GB_2015-12-14-lords.u62	To ask Her Majesty’s Government whether, if a faith school is rated inadequate and is required to become an academy, they will enforce the transfer of church land to the academy trust.
ParlaMint-GB_2015-12-14-lords.u63	The Education and Adoption Bill would require failing church schools to become academies, but land will not be removed from the church. Dioceses or their schools will sponsor the majority of failing church schools; where a non-church trust sponsors a church school, the religious character of the church school will be protected. The diocese would continue to own the land and make it available to the sponsor while it is a school, as happens with existing academies, solely for the purpose of a church school.
ParlaMint-GB_2015-12-14-lords.u64	I thank the Minister for the clarity of his response. However, to provide reassurance to all faith groups, I ask that he add an amendment to the Education and Adoption Bill. In addition, what safeguards can he provide that the particular ethos of faith schools can be retained within a non-faith academy trust?
ParlaMint-GB_2015-12-14-lords.u65	The noble Baroness raises an extremely good point. We are very anxious to ensure that the faith ethos is maintained. We have gone further than the noble Baroness outlines, in that we have had extensive discussions with the churches and there is a revised memorandum of understanding with them, which I believe is now largely, if not entirely, agreed. These have much more extensive provisions as to precisely how a school’s religious character will be protected.
ParlaMint-GB_2015-12-14-lords.u66	My Lords, can the Minister expand on the nature and character of the safeguards being provided, given that the prime issue around this land is not the land itself but that it has been given by parishes and generations of generous citizens to guarantee the religious character of those schools?
ParlaMint-GB_2015-12-14-lords.u67	I would be delighted to expand on that as the right reverend Prelate mentions. We intend to insert within the articles of association a faith object, which requires the trust to ensure that the character of the church school is maintained. There will be an entrenchment clause, which requires written consent of the diocese for changes to the articles relating to the maintenance of the church school’s religious character—for instance, those relating to local governing bodies or the church’s power to appoint staff. There is a requirement that members and trustees are appointed to provide proportionate diocese representation on the MAT, and to establish a local governing body, and for the creation of a scheme of delegation relating to the religious character of the school agreed between the MAT and the diocese. This will be protected.
ParlaMint-GB_2015-12-14-lords.u68	My Lords, I hope that the Minister will have time to answer this question from me. I am sure that he will be aware of media reports over the weekend concerning Highfield Humanities College in Blackpool, where parents were very concerned about its conversion to an academy by the Tauheedul Education Trust, which already runs 10 Muslim faith academies—yet only 2% of the pupils at Highfield are Muslim. Will the Minister provide an assurance that there will always be full parental and community consultation when an academy changes from not having a religious character to having one—and, indeed, when it changes between faiths?
ParlaMint-GB_2015-12-14-lords.u69	I am grateful for the noble Lord’s shorter question. I am very much aware of the case to which he refers. Of course, Tauheedul has had three of its schools inspected and they are all outstanding. We shall ensure, as our amendment to the Bill makes clear, that in all these cases in future, as has generally happened in almost every case in the past, parents are communicated with about the details of the change in status.
ParlaMint-GB_2015-12-14-lords.u70	My Lords, a 2011 report by the London School of Economics found that by becoming a sponsored academy the school not only raises its attainment but raises the attainment of neighbouring schools. I declare my interest as managing director of a trust that operates two free schools. Does my noble friend agree with me that, while the ownership of church land is clearly very important, what really matters is the quality of the education that goes on in the schools that sit on it?
ParlaMint-GB_2015-12-14-lords.u71	I entirely agree with my noble friend. It is very good to see more evidence emerging of a rising tide lifting all boats. I agree with the point he makes, and it is true that church schools have consistently outperformed local authority maintained schools.
ParlaMint-GB_2015-12-14-lords.u72	My Lords, I declare an interest as a former chair of education in Lancashire, which has the largest number of church schools. I can tell the Minister that those church schools do not like glib references slurring one side or the other. Will the Minister give the House a total assurance that all church schools will be treated equally financially? At the moment, some schools run directly by the Government get more money—more capital and more revenue—than some local authority and voluntary aided sector schools. Can we have a guarantee that there will be no bribery?
ParlaMint-GB_2015-12-14-lords.u73	I assure the noble Baroness that there will be no bribery—I believe it is a criminal offence. Ongoing funding for all schools is done on an equal basis. When some schools are started, there are some diseconomies, and some very small schools get extra money. I point the noble Baroness to the latest figures based on 2014 key stage 2: at Church of England schools, 82% of pupils achieved the required level 4, compared to 79% of pupils at local authority maintained schools.
ParlaMint-GB_2015-12-14-lords.u74	My Lords, I was not clear on the answer given to the right reverend Prelate. I thought that part of his question referred to the property position and whether the church owning the land would be forced to part with it or have it compulsorily purchased. It seems a bit equivalent to a housing association, where the property was also often given by someone a long time ago. Can the Minister clarify the property position for me? If he does not know it offhand, which I would not necessarily expect, it could come through in an answer. I would like clarification about the property aspect raised in this Question.
ParlaMint-GB_2015-12-14-lords.u75	I can confirm to my noble friend now that the church would not be forced to part with the land, and nor would it be compulsorily purchased.
ParlaMint-GB_2015-12-14-lords.u76	Protecting the ethos of particular schools is not confined to church schools. There is a widespread feeling that multiacademy chains make new academies in their own image. How will the Minister ensure that locally developed values, nurtured over the years, can be maintained?
ParlaMint-GB_2015-12-14-lords.u77	The noble Baroness makes an extremely good point. It is very important that sponsors coming into schools are very conscious of what the noble Baroness calls “locally developed values” and make sure that schools’ traditions, which I am very well aware of in relation to one school that I sponsor, are maintained.
ParlaMint-GB_2015-12-14-lords.u78	That Lord Hunt of Kings Heath be appointed a member of the following committees, in place of Baroness Smith of Basildon: House and Liaison.
ParlaMint-GB_2015-12-14-lords.u79	That this House do not insist on its Amendment 1, to which the Commons have disagreed for their Reason 1A.
ParlaMint-GB_2015-12-14-lords.u80	My Lords, this afternoon we return to the question of the voting age. Since we last debated the Bill, only two weeks ago, it has been considered in the other place. It agreed to all of the amendments made by your Lordships, with the sole exception of Amendment 1, which would lower the voting age to 16 This House has now discussed the question of the voting age many times since the election in relation to this Bill and the Cities and Local Government Devolution Bill, so this is now well-trodden ground. The Government’s position is therefore well known. We do not believe that it is appropriate to lower the voting age to 16 and, even if it were, this Bill would not be the place to make such a change. That applies as much to the amendment before the House today in the name of the noble Baroness, Lady Morgan of Ely. I recognise that she has done what she can to minimise the charge on the public purse but that does not change the principle of the Government’s position Before I turn to the substantial arguments, I will set out the Government’s position on financial privilege and procedure. Along with the decision to disagree with Amendment 1, the other place has sent us its reason: “Because it would involve a charge on public funds” This is a reference to the financial privilege of the House of Commons. There has been a great deal of discussion and speculation on this issue, so I will endeavour to set out the Government’s position. When this House amends a Bill sent to us by the House of Commons, our amendments are assessed by the clerks in another place in order to establish whether they engage the financial privilege of the House of Commons. That important process is carried out under the authority of the Speaker, and the Government—any Government—have no say in it The fact that a Lords amendment to a Bill has been deemed to engage the financial privilege of the House of Commons is announced to that House before it considers the amendment, but it does not prevent the House of Commons from agreeing to that Lords amendment and thereby waiving its privilege: indeed, this happens routinely. However, should it disagree to the Lords amendment, financial privilege is the only formal reason that it can give for doing so It should come as no surprise that the original amendment that we sent to the House of Commons, lowering the voting age, was deemed to engage the House of Commons’s financial privilege. The Government estimate that extending the franchise to 16 and 17 year-olds for the referendum would cost at least £6 million. But, as my honourable friend the Minister for Constitutional Reform, John Penrose, explained to the House of Commons last week, that is not the reason why the Government invited the House of Commons to disagree to this House’s amendment. The Government disagree with the principle. We disagree with the proposal to extend the franchise to 16 and 17 year-olds for the referendum for the reasons I made clear to this House when we considered the original amendment, and which I will again set out briefly this afternoon I turn now to those arguments. Given the number of times your Lordships have considered this, I of course do not intend to rehearse every part of the argument. However, I will set out briefly why we firmly believe that the voting age should remain at 18 for the referendum. Society has drawn numerous lines for when a young person is able to take various decisions. A 16 year-old may join the army but not use a sunbed. An 18 year-old may be deployed in a war zone but not drive a bus. Only a 21 year-old can supervise a learner driver or adopt a child. For many activities, parental consent is required; in England and Wales, joining the Armed Forces and getting married require the agreement of a young person’s parents. It would hardly be appropriate to require parental consent to cast a vote The state also requires that young people in England remain in education or training until the age of 18, and in Scotland young people will soon apparently enjoy the protection of a state-appointed guardian until the age of 18. Indeed, the United Nations Convention on the Rights of the Child defines a child as a person under the age of 18, unless national laws set a lower age of majority. The Committee on the Rights of the Child goes further and recommends that if a country’s age of majority is below 18 it should be reviewed, and that levels of protection be increased for all people younger than 18. Similarly, the Independent Inquiry into Child Sexual Abuse, led by Dame Lowell Goddard, has defined “child” to mean anyone under the age of 18 These distinctions are, in the final analysis, a matter of judgment. There is no single answer to the question of when a young person should be able to take one decision or another. But it is at 18 that society generally views a young person as becoming an adult. The line has to be drawn somewhere, and we suggest that 18 is the logical, consistent place to choose.
ParlaMint-GB_2015-12-14-lords.u81	The Minister knows that in Scotland in the Scottish referendum, 16 and 17 year-olds were allowed to vote. I spoke to many of them during the course of that referendum and found them intelligent, well-informed and exercising their right to vote with great enthusiasm and sense. Therefore, it was a successful experiment. Why does the Minister not agree that it was successful and why does he think there was something wrong with doing that?
ParlaMint-GB_2015-12-14-lords.u82	I do not suggest that it was unsuccessful, nor do I for a moment cast aspersions on the intelligence of 16 and 17 year-olds in Scotland or in England and Wales. Enthusiasm is of course to be welcomed at any age. Equally, there may be 15 year-olds who are very well informed and intelligent, whether they are in Scotland or in England and Wales. But, although Scotland took the view that it did about the voting age because of the devolution arrangements, most democratic societies have made the same judgment as this Government makes. In every EU member state but Austria, the voting age is 18 for national elections, and referendums where they take place. The 1975 referendum proceeded on that basis, as did the referendum on AV—and, as your Lordships may remember, the EU Act 2011would in the event of a transfer of power on competences have triggered a referendum according to the franchise that is used for general elections.
ParlaMint-GB_2015-12-14-lords.u83	Before the Minister moves on from the point that the noble Lord, Lord Foulkes, raised with regard to Scotland, he tries to give the impression that it was decided purely and solely by the devolved authority with no support. Can he remind the House whether the Prime Minister and the leader of the Conservative Party in Scotland supported the extension of the franchise to 16 and 17 year-olds in the referendum?
ParlaMint-GB_2015-12-14-lords.u84	With respect, whether the Prime Minister or the leader of the Conservative Party favoured a 16 year-old franchise is beside the point as to whether the Government think that it is appropriate in this referendum for those 18 and above to vote, in the traditional way of the franchise. I know that many have pointed to the Scottish independence referendum and have said, rather like the noble Lord, Lord Purvis, that in some way that “opened the door” to votes at 16. Others point to the apparent inconsistency between elections for the Westminster Parliament and elections for the Scottish Parliament. However, inconsistency is a natural consequence of devolution. The decision over the voting age has been devolved to the Scottish Parliament. It may decide to raise the voting age or lower it, but that does not bind the decisions made in any of the other legislatures in the United Kingdom. It would be quite contrary to the spirit of devolution if we thought that a decision in Holyrood should determine a discussion here or whether a discussion here, on a devolved matter, should determine the decision in the Scottish Parliament. Even if one were convinced of the case, this Bill would not be the right place to make the change I hope that all noble Lords can agree that this is undoubtedly a complex issue and by no means straightforward. The arguments on both sides deserve respect and a fair hearing. To suggest that 16 year-olds should perhaps wait is not in any way to disrespect or criticise them, or in any way patronising. Few things are as important as the decision about who is included in the franchise and, as such, the matter deserves proper scrutiny and consideration. There should be a proper debate in this House, in the other place and in the country at large before such a significant change is contemplated. Clearly there is no consensus between the two Chambers, but nor is there clear consensus in the country as a whole It would not be right to bring in a novel constitutional change through an adjunct to a Bill such as this, with a specific but limited purpose. This proposal is no replacement for the proper consideration that would be given to the matter in a representation of the people Bill. As your Lordships may remember, the last one was in 1969, following a widespread national debate. When the matter came before your Lordships’ House, many noble Lords did not accept that the franchise should be lowered from 21 to 18. Some suggested that the age should be 20 by way of a compromise, but it followed widespread national debate, not an amendment to a Bill brought about by the House of Lords.
ParlaMint-GB_2015-12-14-lords.u85	I have a certain conceit over this matter, as I was the first Member of Parliament ever elected by 18 year-olds following the exact Act to which the noble Lord has referred. Is that not the model that we should follow? If we are going to change the voting age, it should be comprehensively considered as a separate matter. It is certainly not something on which this House should seek to override the judgment of the elected House, which has now been given three times.
ParlaMint-GB_2015-12-14-lords.u86	I respectfully agree with my noble friend and, of course, the 18 year-olds showed excellent judgment on that occasion. Finally, the House needs to consider very carefully the perception created by a change to the franchise. We speak of this as being a once-in-a-generation referendum. If that is really the case, all sides must be able to accept the result as fair and robust. There is a real danger that a change to the voting age for the referendum could undermine that. Rightly or wrongly, a change to the franchise may be seen as an attempt to engineer the result, and that perception would damage the public’s confidence in the result of the vote I do not pretend for a moment to know how 16 and 17 year-olds would vote, any more than we know how 18 or 19 year-olds would vote, but the House will no doubt appreciate that a considerable part of the electorate will be disappointed with the result of the referendum. It is crucial that those who are disappointed accept the result, notwithstanding their disappointment, and do not feel it appropriate—in their minds or expressly—to cast doubt on its legitimacy I therefore urge noble Lords not to insist on their amendment or to agree with the amendment in lieu proposed by the noble Baroness, Lady Morgan of Ely. Instead, I urge this House to accept the position of the other place. This Bill is not the place to make a change to the age of voting; it is not the way to make good law. I beg to move.
ParlaMint-GB_2015-12-14-lords.u87	As an amendment to Motion A, at end insert “but do propose Amendment 1B in lieu—
