ParlaMint-GB_2015-09-15-commons.u1	1. What recent assessment he has made of the UK’s membership of the EU on businesses.
ParlaMint-GB_2015-09-15-commons.u12	The hon. Lady will know that the debate about the EU has been going on for many years and the right thing to do is to renegotiate. In order for that renegotiation to be successful, it is right to have a referendum. That is exactly what this Government are doing, and then the British people will decide. It is also clear that this Government have many policies that help industries such as the automotive industry to succeed, such as our investment in skills.
ParlaMint-GB_2015-09-15-commons.u13	2. What plans he has to increase the number of apprenticeships.
ParlaMint-GB_2015-09-15-commons.u14	The coalition Government have delivered over 2.3 million apprenticeship starts since May 2010, and this Government will support 3 million new apprenticeship starts over this Parliament. We are developing a comprehensive plan for growth, including more work with large employers, more help for small businesses and a new funding system supported by an employer levy.
ParlaMint-GB_2015-09-15-commons.u15	I thank the Secretary of State for his answer. Support for further education colleges, including South Devon college in Torbay, will be vital to delivering more higher level apprenticeships and, in particular, degree-level apprenticeships, which provide the highest level of training. What plans does he have to support FE colleges, including South Devon college, in delivering that type of training for employers?
ParlaMint-GB_2015-09-15-commons.u16	I know that my hon. Friend is very passionate about this issue. I am happy to congratulate South Devon college on its plans. Degree apprenticeships are a fantastic route to higher level training. I assure my hon. Friend that my Department is working hard with colleges, universities and employers to support what is an increasingly popular route.
ParlaMint-GB_2015-09-15-commons.u17	I am afraid that there is an issue not just with quantity, but with quality. With further education in a state that is getting close to desperate, too few apprenticeships are of a high enough quality. I visited Mech-Tool in my constituency, where apprenticeships are four years long and people get good jobs afterwards. What will the Secretary of State do to make sure that we improve quality for the rest of our apprentices?
ParlaMint-GB_2015-09-15-commons.u18	The hon. Lady makes an important point. No one wants an increase just in quantity; we at the same time want to see quality improve. I hope that the hon. Lady will, for example, support the Enterprise Bill, when it is introduced in the other place on Thursday, which will for the first time protect the term “apprenticeship”.
ParlaMint-GB_2015-09-15-commons.u19	The agricultural sector in this country is small, but important. One of the things that is holding it back is a lack of skills on the technical side of agriculture. Wiltshire college in Lacock is particularly concerned about that. What can my right hon. Friend do to assist in building up technical skills in agriculture in this country, and in particular to increase the number of apprenticeships in agriculture?
ParlaMint-GB_2015-09-15-commons.u20	My hon. Friend is absolutely right. That issue has come up a number of times in the agriculture sector, and there is more work to be done. My hon. Friend the Minister for Skills is working on seasonal apprenticeships, which will help to make a change.
ParlaMint-GB_2015-09-15-commons.u21	Britain has a serious and growing skills shortage in science, technology, engineering and maths, with businesses facing what they have called a “skills emergency”. Alarming new figures show that of more than 250,000 apprenticeship starts last year, only 140 were in science and maths, and fewer than a fifth of apprenticeships this year are in engineering. Will the Secretary of State tell the House how he hopes to close the skills gap when there are so few apprenticeship opportunities in those subjects?
ParlaMint-GB_2015-09-15-commons.u22	May I again welcome the hon. Lady to her place and to her new position? I agree with her that there is a skills shortage. When we talk to employers across the country, that is one of the first issues they bring up. That is why the Government have brought significant investment and focus to bear on the issue. For example, we launched our higher apprenticeships earlier this year and I would like to see those increase; as I have said, we are currently seeing record growth. We are also setting up a network of national colleges: there will be seven national colleges, and I hope that they will all be operational by September 2017.
ParlaMint-GB_2015-09-15-commons.u23	I thank the right hon. Gentleman for his second welcome in as many days. I hope that there are some things we can agree on, even though we started off on very disagreeable terms with the Trade Union Bill yesterday There are serious concerns that in the rush to meet the Government’s artificial, politically driven target, many apprenticeships are really little more than a rebranding of entry level jobs. The latest Government figures show that only 3% of new apprenticeships starts were at the higher level. How can that be compatible with the Government’s aim of creating a highly skilled workforce?
ParlaMint-GB_2015-09-15-commons.u24	As the hon. Lady perhaps knows, we are starting to see a significant increase in the number of people taking STEM-related apprenticeships and higher apprenticeships. She will also be aware that, in the recent Budget, we announced the introduction of the apprenticeship levy, which will help to make sure that there is long-term sustainable funding not just for the quantity of apprenticeships, but for their quality. I hope that she welcomes that.
ParlaMint-GB_2015-09-15-commons.u25	I welcome the Government’s move to ensure that all big Government contractors deliver apprenticeships as a key part of their commitment. Does the Secretary of State agree that, with over £50 billion a year spent on procurement contracts, that represents a huge opportunity to boost apprenticeship numbers across the country?
ParlaMint-GB_2015-09-15-commons.u26	My hon. Friend makes an excellent point. We looked at that issue in the coalition Government, but I believe that we can take it further and we will announce plans shortly.
ParlaMint-GB_2015-09-15-commons.u27	I am delighted that the Secretary of State has learned the value of apprenticeships from Scotland. Our Parliament has created 25,000 places each year during its lifetime. It has now exceeded its target and brought the number up to 35,000 annually. Moreover, every apprentice in Scotland is guaranteed a job once their training is completed. As part of the plans to impose an employer levy, has he assessed the cost to Scottish businesses and apprenticeship opportunities that such a levy would impose?
ParlaMint-GB_2015-09-15-commons.u28	I am pleased to hear that apprenticeships are doing well in Scotland—I have been following that closely. I would like to see more apprenticeships throughout the United Kingdom. That would be a good thing. I hope that the hon. Lady welcomes the development of the employer levy. We are in the process of deciding exactly how it will work. We are talking to all devolved authorities and look forward to working with them on it.
ParlaMint-GB_2015-09-15-commons.u29	Northern Ireland has a good story to tell with regards to the development of apprenticeships. However, with the resignation of the Minister responsible and the impending collapse of the institutions, will the Secretary of State indicate that he and his Department will step up to the mark if required, fill the gap and continue that good work?
ParlaMint-GB_2015-09-15-commons.u30	Of course I hope that Northern Ireland is able to deal with these troubling issues and that there is no collapse of the institutions. If there is anything that we can do to help, we will of course look carefully at that.
ParlaMint-GB_2015-09-15-commons.u31	3. What assessment he has made of the level of technical skills required by employers.
ParlaMint-GB_2015-09-15-commons.u32	To increase productivity we need to deliver the higher level, technical and intermediate-level skills that employers demand, as we have just heard. Our approach is to create a responsive, employer-led system of higher vocational education through expanding higher and degree apprenticeships and creating national colleges and institutes of technology.
ParlaMint-GB_2015-09-15-commons.u33	We have a shortage of technical skills, not least in engineering and construction. According to employers, the Government’s focus on the number of apprenticeships amounts to little more than a re-badging of existing in-work training courses. When will the Government take the necessary action to deliver the high skills that are needed to boost productivity, growth and living standards in this country?
ParlaMint-GB_2015-09-15-commons.u34	That gives me an opportunity to highlight the legacy of 13 years of Labour Government, when hardly anything was done to boost the skills of our people, particularly young people, in every sector. This Government have changed that. We saw progress under the coalition Government. As I said earlier, we will focus on higher apprenticeships, we will have national colleges and we will set up a prestigious network of institutes of technology.
ParlaMint-GB_2015-09-15-commons.u35	18. Will my right hon. Friend join me in congratulating my constituent, Senior Aircraftman Shayne Hadland on winning a silver medal for aircraft maintenance at the WorldSkills competition in São Paulo and on being named best of nation for the United Kingdom? Does that not illustrate the importance of good technical skills and how the RAF is providing them?
ParlaMint-GB_2015-09-15-commons.u36	I join my hon. Friend in congratulating Shayne Hadland. It was a huge achievement to win such a prize at the WorldSkills competition—I know just how competitive it was. Luckily for Britain, we had many other winners and I congratulate them too. It is an inspiration to many people.
ParlaMint-GB_2015-09-15-commons.u37	Does the Secretary of State agree that the best way to improve the level of technical skills in the west midlands would be to get behind the proposals from the region’s local authorities and local enterprise partnerships for a combined authority and elected mayor with devolved skills budgets to improve skills, bring former industrial sites back into use, provide more housing and better transport links, and get the economy of the west midlands really moving?
ParlaMint-GB_2015-09-15-commons.u38	I agree with the hon. Gentleman that the proposal for a west midlands combined authority looks exciting and should be taken seriously. Obviously, the Government are considering all the proposals and need to look at their merits. I have met a number of people behind that proposal and it would be great to see whether we can work together and bring it forward.
ParlaMint-GB_2015-09-15-commons.u39	Dorset Young Enterprise is a voluntary organisation that goes into schools to help improve skills with local employers. I declare an interest as someone who has worked within Dorset Young Enterprise. Does my right hon. Friend agree that such organisations are vital in closing the skills gap and ensuring that young people leave school ready to start work?
ParlaMint-GB_2015-09-15-commons.u40	My hon. Friend is absolutely correct that Dorset Young Enterprise and many groups like it throughout the country are doing a hugely important and vital job in closing the skills gap. The Government could look at how we can support that not just in Dorset but throughout the country. He is absolutely right to raise this matter.
ParlaMint-GB_2015-09-15-commons.u41	5. What steps his Department is taking to help apprentices with the cost of travelling to work in rural areas.
ParlaMint-GB_2015-09-15-commons.u42	Apprenticeships are paid jobs with quality training, and availability is determined by employers. There is no central publicly funded support towards travel costs, but some local authorities run schemes that help apprentices with such costs. Apprentices who were previously unemployed may be able to benefit from a travel discount card operated by Jobcentre Plus.
ParlaMint-GB_2015-09-15-commons.u43	It has been brought to my attention that many young apprentices struggle with their first car insurance premium. Will the Secretary of State consider bringing in special insurance premiums for apprentices?
ParlaMint-GB_2015-09-15-commons.u44	I am pleased that my hon. Friend has raised that important point as the cost of car insurance is an issue for many young people across the country. Many insurance companies already offer ways to reduce the cost of insurance for young drivers, for example by installing driver monitoring devices, and I would welcome other approaches by insurance companies to reduce that cost. My hon. Friend may have some ideas in that regard, and I would be happy to meet him to discuss them.
ParlaMint-GB_2015-09-15-commons.u45	Does the Minister realise that many young people in the rural part of my constituency have difficulty getting to the fine Kirklees further education college in Huddersfield? I beg him to take notice of Professor Alison Wolf’s clarion call that if we put all our money into apprenticeships and neglect our FE colleges, we will be on the road to ruin and will never sort out the productivity challenges of our country.
ParlaMint-GB_2015-09-15-commons.u46	I listen carefully to what Professor Alison Wolf says. The hon. Gentleman points out the pressures faced by the FE system, and he will know that as the quantity and quality of apprenticeships increase—for example, with the introduction of the apprenticeship levy—that will help to support our college system.
ParlaMint-GB_2015-09-15-commons.u47	6. What steps the Government are taking to tackle cash retention within the construction sector.
ParlaMint-GB_2015-09-15-commons.u48	We are working with the industry through the Construction Leadership Council and its supply chain payment charter, which includes a commitment to zero retentions by 2025.
ParlaMint-GB_2015-09-15-commons.u49	I am sure the Minister will agree that cash retention is having a major difficulty on the cash flow of SMEs across the United Kingdom. Surely some form of sanctions needs to be in place to alleviate cash-flow problems when companies are going out of business.
ParlaMint-GB_2015-09-15-commons.u50	I certainly agree that there are some problems with the system, but it is also a fairly deeply embedded feature of the construction industry. We must act on the basis of evidence, which is why the Government will commission an analysis of the cost and benefit of retention payments to inform future action. We endorse entirely the Construction Leadership Council’s commitment to remove such payments from the industry by 2025.
ParlaMint-GB_2015-09-15-commons.u51	With last week’s construction output figures going backwards, and with so many small construction firms facing cash-flow difficulties, is it any wonder that the house building programme in this country has been so lamentable? Do we need to do more to help SME construction firms, for example with a help-to-build underwrite of some sort behind that loan finance for small building companies? We should not just avoid adding to borrowing; we should make a real difference for those construction firms, particularly small ones.
ParlaMint-GB_2015-09-15-commons.u52	We certainly want to support a range of construction firms, both small and large, but it would have been nice if the hon. Gentleman had taken advantage of his Back-Bench position to reflect a little more openly and honestly on the legacy of the last Labour Government, which saw the construction industry crushed. Housing starts are up by 50% from the low that was achieved at the end of the last Labour Government. There is a lot further to go, and we will work closely with construction firms to make that progress, but let us be honest about where the industry started.
ParlaMint-GB_2015-09-15-commons.u53	Will the Minister and his colleagues hold a range of discussions with their colleagues in the Treasury and Her Majesty’s Revenue and Customs, to discuss the need to reinstate the aggregate levy scheme, and particularly the exemptions, as that would assist the construction sector and the cash-flow situation for industries in Northern Ireland?
ParlaMint-GB_2015-09-15-commons.u54	I would be happy to invite the hon. Lady to meet me to discuss that in detail
ParlaMint-GB_2015-09-15-commons.u55	7. What recent assessment he has made of the effectiveness of the Government’s strategic support for industries and sectors.
ParlaMint-GB_2015-09-15-commons.u56	Through sector councils and meetings with companies across all sectors we will continue to work closely with industry to understand its needs and what more Government can do to retain the UK’s competitive position within the global economy.
ParlaMint-GB_2015-09-15-commons.u57	I thank the Minister for her response. Given the crucial role of the steel industry to the British manufacturing sector and our very sense of pride and prestige as an industrialised nation, will you today agree to accelerate the full implementation of the energy-intensive industries package? Crippling energy bills are crippling the steel industry, and it is time for the Government to act.
ParlaMint-GB_2015-09-15-commons.u58	The question was obviously to me, Mr Speaker, but that does not matter. Importantly, we know that the steel industry faces very difficult times. It would be fair to say that these are the most difficult times it has ever faced in this country. We are looking at all the things that the Government can do to continue to assist the steel industry, and we have already started that work, which is one of the reasons why I am going to China next week, specifically to talk to the Chinese about their over-production and the allegations of dumping. I could expand on other points and will no doubt do so in answer to supplementary questions.
ParlaMint-GB_2015-09-15-commons.u59	Rolls-Royce’s two factories in Barnoldswick are a key part of Pendle’s aerospace supply chain. When I visited Rolls-Royce in Derby in August, bosses told me of the huge benefit of the Government’s aerospace growth partnership. Does my hon. Friend agree that the continuation of that successful partnership is vital for that sector?
ParlaMint-GB_2015-09-15-commons.u60	The short answer is yes. I am more than happy to visit my hon. Friend’s constituency to meet those companies and see the great work that they do. The aerospace sector is incredibly important and I pay tribute to all who work in it and all the success it has had.
ParlaMint-GB_2015-09-15-commons.u61	20. My hon. Friend the Member for Aberavon (Stephen Kinnock) is right: there is a crisis in UK steel making and 2,000 jobs in my constituency are at risk. I have secured a Backbench Business debate on Thursday, and I would be grateful if Ministers could come to pledge their support for UK steel making. We have to see action on energy prices and business rates. If we do not, UK steel will have no future. It is up to Ministers now to take action.
ParlaMint-GB_2015-09-15-commons.u62	I am delighted that the hon. Lady has secured that debate on Thursday and I will be there. It follows on from the debate that we had in Westminster Hall. As we know, there is an over-production of steel across the world. The consumption of steel has fallen dramatically and that has meant, for example, that the price of slab has almost halved. People say we could do something about the price of energy—if only it were that simple. It is hugely complicated. We already have a compensation scheme and we are looking at how we can expand it, but we have to make it clear that if we begin to take the pressure off electricity-intensive industries, we have to shift it somewhere else. It is not as simple as it perhaps seems, but the hon. Lady can be assured that we are well aware of what is happening in SSI UK, which is why I met it last week.
ParlaMint-GB_2015-09-15-commons.u63	High energy costs are affecting not only the steel industry—something I know from my own constituency—but the plastics industry. Over the summer recess, I visited both Amaray and RPC in the town. What steps are Ministers taking to help the plastics industry?
ParlaMint-GB_2015-09-15-commons.u64	As I said, we are aware of the particular pressures that high electricity prices put on industries, especially those that use the most, and a compensation package is available. We all want a greener, cleaner environment, so we have set targets that we have to meet, and a cost is associated with that. I am happy to meet my hon. Friend to discuss that, especially as it affects the industries in his constituency of Corby.
ParlaMint-GB_2015-09-15-commons.u65	The Minister and I have discussed the clear and present dangers to the UK steel industry in a constructive fashion several times since she took her post. Given a summer of deeply worrying developments in the steel industry, not least with the news today from Redcar, can she assure us—notwithstanding what she has said today—that she has the full backing of the Prime Minister and the Chancellor to take whatever action is necessary urgently to stand up for the steel industry in the UK?
ParlaMint-GB_2015-09-15-commons.u66	Unfortunately, I was not present at Prime Minister’s questions last week, but I know that the hon. Member for Scunthorpe (Nic Dakin) put a question to the Prime Minister, who made it very clear that he wants to give his full support to our steel industry. We recognise its importance to the economy and I am delighted that I have had so many very positive meetings with Members, notably Opposition Members, in which we have explored all the difficulties in an atmosphere that has been frank about what more we can do. We also have to understand that we are limited in what we can do. The state aid rules just do not help.
ParlaMint-GB_2015-09-15-commons.u67	8. What steps he is taking to support self-employed people.
ParlaMint-GB_2015-09-15-commons.u68	The new enterprise allowance and start-up loans schemes are making it easier for people to move into self-employment. We have appointed Julie Deane, founder of The Cambridge Satchel Company, to carry out an independent review and recommend what more we can do to support those who are self-employed.
ParlaMint-GB_2015-09-15-commons.u69	The growth in self-employment is an important and positive trend, and I welcome the announcement of Julie Deane’s independent review. Will my right hon. Friend confirm to the House that it will include a full review of how the Government and their agencies communicate with the self-employed, so that they are fully aware of all the available support? Does she agree that that would help them to achieve their aspirations and to play an even greater role in taking forward the Government’s long-term economic plan?
ParlaMint-GB_2015-09-15-commons.u70	As somebody who was self-employed for more years than I care to remember—about 20 years —I am fully aware of not only the benefits but the disadvantages. My hon. Friend makes a really good point about the importance of communication, so that people who are self-employed know what assistance is available. Julie will be looking at that particular aspect, and we welcome and look forward to her report and her recommendations.
ParlaMint-GB_2015-09-15-commons.u71	By how many hundreds if not thousands of pounds will self-employed people lose out from the removal of working tax credits, which we will be discussing today, from working people, including the self-employed?
ParlaMint-GB_2015-09-15-commons.u72	The straight answer is that I do not have a figure, but I will find out and I will write—[Interruption.] No, don’t be silly. I will write to the right hon. Lady with that figure. Let me make it absolutely clear: the rebalancing of our economy, paying off our debts, reducing the deficit and making sure that work pays are at the heart of what the Government stand for. That is what we were elected on, with a very clear manifesto and the support of the British people. We are doing the right thing by hard-working families.
ParlaMint-GB_2015-09-15-commons.u73	9. What steps he is taking to promote regional growth.
ParlaMint-GB_2015-09-15-commons.u74	12. What steps he is taking to promote regional growth.
ParlaMint-GB_2015-09-15-commons.u75	14. What steps he is taking to promote regional growth.
ParlaMint-GB_2015-09-15-commons.u76	The Government remain totally committed to the rebalancing of our economy through unleashing the economic potential of our cities and regions. We have invested in infrastructure, connectivity, and science and innovation across the country, not least in the northern powerhouse and most recently with the £235 million that the Sir Henry Royce Institute focused on research into advanced materials. We have agreed 28 city deals, 39 growth deals and a total investment of £7.7 billion, including the transformation of the Greater Manchester devolution agreement. It is working: the north-east and the north-west are now cited as the fastest-growing regions in the country. We are going further and are now discussing a further 38 radical devolution proposals to empower local regions.
ParlaMint-GB_2015-09-15-commons.u77	On regional growth, the Government have committed £7 billion of the £12 billion regional growth fund, including £488 million to my own South East local enterprise partnership, which is creating more jobs, homes and growth. However, when does the Minister expect the remaining £5 billion to be allocated? Does he expect the overall pot to grow?
ParlaMint-GB_2015-09-15-commons.u78	My hon. Friend is right and I take this opportunity to congratulate him on his leadership locally in helping to secure that £7 billion and the £488 million that has gone into the Thames Gateway in north Kent. Decisions on the remainder of the RGF will be made in the spending review, but I will point out that we restated in the spending review guidance our commitment to the full £12 billion and to a radical package of devolution across the country.
ParlaMint-GB_2015-09-15-commons.u79	Regional growth in Thirsk and Malton depends largely on access to superfast broadband. We are delighted that 95% of premises will receive superfast broadband by 2017, but the final 5% percent is without doubt the biggest challenge. Many businesses cannot wait until 2020 to get access to superfast broadband. Will the Minister confirm that he will look at ways to open up the market to create more competition for the final 5%, thereby increasing the pace of roll-out?
ParlaMint-GB_2015-09-15-commons.u80	My hon. Friend makes an excellent point. It is great news that, as a result of our £800 million programme, 95% of the country will have superfast broadband by 2017. However, the final 5% or 10% in the most rural areas require special attention, which is why my hon. Friend the Minister for the Digital Economy is actively looking at a package of measures to help the most marginal rural constituencies. We have launched an £8 million pilot programme looking at vouchers, mobile broadband and a range of innovative schemes, including social investment finance models.
ParlaMint-GB_2015-09-15-commons.u81	The Minister might recall that a few weeks ago I mentioned to him the incredible economic growth in Cambridgeshire which risked being hampered because of infrastructure constraints. We are ready to present an innovative private funding model to him, so can I secure some time in his diary to share the proposals with him?
ParlaMint-GB_2015-09-15-commons.u82	I would be delighted to give my hon. Friend a date. She makes an important point, and I welcome the ambition set out in the “Case for Cambridge” manifesto. Having sat myself on the board of the Greater Cambridge partnership, I well know that Cambridge is now a global technology cluster. Only last week, I went to visit AstraZeneca’s £500 million global research and development hub site. It is a city that needs global infrastructure, and we welcome the ambition set out in the manifesto.
ParlaMint-GB_2015-09-15-commons.u83	Regional growth in Yorkshire and the north-east is dependent on good transport links, so the cancellation of electrification between Leeds and Manchester and Leeds and Newcastle was a bitter blow to our economy. May I urge the Minister to urge the Chancellor to review the decision in the autumn statement and to look at the skills capacity in the transport sector, which is pushing up costs and prices in the electrification area?
ParlaMint-GB_2015-09-15-commons.u84	First, the programme has not been cancelled; it is paused. It is a massive programme. [Laughter.] Opposition Members do not know much about running major projects. It is absolutely necessary that we get it right. The howls of derision opposite reveal their embarrassment at our success. You would think we would get more thanks for what we have done: a £7 billion regional growth fund; city deals across the country; 11,000 small and medium-sized businesses helped; and 130,000 jobs created, not least in the north.
ParlaMint-GB_2015-09-15-commons.u85	The Minister will know that the suspension of the business rates revaluation in 2013 has had different effects in different parts of the country. Will he commit to investigating how businesses in my constituency, like so many in the north, were disadvantaged by the decision and find a way to redress this north-south divide?
ParlaMint-GB_2015-09-15-commons.u86	I would be delighted to feed the hon. Lady’s comments into the Government’s review of business rates, which is already in hand. We recognise that particularly in many small towns business rates have a crippling effect on the high street. That is why we have launched a major review, which is ongoing and live at the moment.
ParlaMint-GB_2015-09-15-commons.u87	In response to my hon. Friend the Member for Wakefield (Mary Creagh), the Minister did not talk about the midland main line, but gave a list of other things he was doing. The cancellation of the midland main line electrification is a significant blow to south Yorkshire, north Derbyshire and the east midlands. What representations has the Department made on the impact on businesses and regional growth of not electrifying the midland main line? Will he respond to the question and tell us what is actually happening?
ParlaMint-GB_2015-09-15-commons.u88	I dealt with that point. The midland main line is an important strategic rail route, and we are pausing to make sure we get it right. We will take no lectures from the Labour party on economic competence, when its own shadow Chancellor, according to his biography, is committed to the overthrow of capitalism.
ParlaMint-GB_2015-09-15-commons.u89	I am aware that the Life Sciences Minister is creating a specialist life sciences enterprise zone to support sites across the UK hit by the global pharmaceutical corporate restructuring. Will he commit to providing every possible support to Covance, a pharmaceutical company in Alnwick, in my constituency, where more than 140 scientists’ jobs are at risk?
ParlaMint-GB_2015-09-15-commons.u90	My hon. Friend has raised this matter with me already, and the Office for Life Sciences stands ready and is taking a close interest. We have already made contact with the local authority and will offer every support we can to its bid to make sure the site remains viable and that we protect local jobs.
ParlaMint-GB_2015-09-15-commons.u91	10. What assessment he has made of the potential effect on businesses of the UK leaving the EU.
ParlaMint-GB_2015-09-15-commons.u92	The Prime Minister is focused on reforming Britain’s place in the EU, and rightly so. A wind of change is blowing through the EU, and it is a wind that wants reform. We are in a process of renegotiating, and when we have completed that renegotiation, the question will be put to the British public.
ParlaMint-GB_2015-09-15-commons.u93	Earlier this morning, the Secretary of State referred to the difference of opinion on the Labour Benches with regard to our membership of the European Union. Will the Minister take this opportunity to demonstrate the undeniable, 100% unity that exists on the Conservative Benches by confirming that she and all her ministerial colleagues will enthusiastically promote the positive case for remaining in Europe when the time comes?
ParlaMint-GB_2015-09-15-commons.u94	I know that the hon. Gentleman is new to this place, but I do not think the Conservative party has ever shied away from the fact that we are not all as one when it comes to the future of our European Union membership and whether we should stay in or leave. What is absolutely the case is that, unlike other Governments who had the opportunity, we are trusting the British people. We are in a process of negotiation. We will go to the people, and let the people decide whether or not to stay within the EU.
ParlaMint-GB_2015-09-15-commons.u95	Has the Minister seen the report from Business for Britain, entitled “Change, or go”? Does she agree with one of its conclusions, that leaving the European Union would “not entail a loss of influence on the world stage.”?
ParlaMint-GB_2015-09-15-commons.u96	I will be fascinated and delighted to read this document, and I am sure my hon. Friend will send me a copy, but given my long-term support for our continuing membership of the European Union, I might need a bit more persuading than his document could provide.
ParlaMint-GB_2015-09-15-commons.u97	It looks as though it is going to be a very lengthy read, I must say, and probably rather heavy as well.
ParlaMint-GB_2015-09-15-commons.u98	As part of the Prime Minister’s renegotiation, and as he visits various European capitals, he presumably has a list of reforms that he wants enacted. How many directly relate to business?
ParlaMint-GB_2015-09-15-commons.u99	The Prime Minister has set out his broad categories. He continues to meet leaders throughout the European Union, and he continues to put the interests of our country first and foremost. In due course, and most importantly, the people of this country will decide whether or not to stay within the EU. As to my answer to the previous question, I take it all back—I am not reading a document of that length, but I will have a five-minute conversation with my hon. Friend the Member for Bury North (Mr Nuttall).
ParlaMint-GB_2015-09-15-commons.u100	In the 1980s, the European Union accounted for about 30% of world trade. By the beginning of the next decade, that figure will be about 15%. Over that time, our trade deficit is growing to £50 billion a year. Is it not clear that Britain would be better off outside the EU?
ParlaMint-GB_2015-09-15-commons.u101	Given the views of the new Leader of Her Majesty’s Opposition, it might be a good idea for my hon. Friend to meet him and persuade him further of the case that he advances. It seems that there is another major shift in the policy of the Labour party.
ParlaMint-GB_2015-09-15-commons.u102	11. What recent estimate he has made of the value of UK membership of the EU to businesses and universities.
ParlaMint-GB_2015-09-15-commons.u103	Our world-class universities, with their close links to business, are at the heart of the global knowledge economy. They will benefit from the reforms we want to see in place across the European Union. As the Minister for Small Business, Industry and Enterprise just said, the EU is our biggest market. Reform and growth on the European continent is good for British business, and it is good for our globally networked universities.
ParlaMint-GB_2015-09-15-commons.u104	Universities UK recently highlighted the risk to potential funding and collaboration if Britain withdraws from the UK. That applies to my own constituency as well. Does the Minister agree with that, and does he support Universities UK and its campaign?
ParlaMint-GB_2015-09-15-commons.u105	I discuss these issues regularly with Universities UK, which recognises that reform across the European Union will support growth and competitiveness. In turn, that will help the links that our great universities have with business.
ParlaMint-GB_2015-09-15-commons.u106	Will the Minister confirm that last year our trade deficit with the European Union was £62 billion, and that it is therefore nonsensical for anybody to argue that we will see the end of free trade with the EU if we were ever to leave it? When he has confirmed that, perhaps he can set out what on earth we get for our £18 billion membership fee every year.
ParlaMint-GB_2015-09-15-commons.u107	We want to see the completion of the single market so that British businesses can compete more effectively across promising sectors of the European single market. We have a strong export sector and we want to break down further barriers that prevent our businesses from fulfilling their potential in that market.
ParlaMint-GB_2015-09-15-commons.u108	May I stiffen the Minister’s answers? The truth is that British universities win more research grants from the European Research Council than any other country in Europe. Well over £1 billion flowed in last year from Europe into the British science base, which is more than any other country received. The European Union and our membership of it is mission critical to our success and the future of our high-tech, high-productivity industries. Over the months to come, will the Minister join me in helping to ensure that British universities are at the forefront of leading the campaign for this country to stay in the European Union
