ParlaMint-GB_2015-06-15-commons.u1	1. What plans she has to review the school funding formula.
ParlaMint-GB_2015-06-15-commons.u23	Is the Minister aware that the successful academy in my constituency, Springwood high school, has recently taken over the academy sponsorship of St Clement’s high school and that the results are already showing huge improvement? Will he join me in paying tribute to the executive headteacher of West Norfolk Academies Trust, Andy Johnson, and his team? Will he also agree to visit this huge local success story in the near future?
ParlaMint-GB_2015-06-15-commons.u24	I would be delighted to add my tribute to Andy Johnson. The vision of the West Norfolk Academies Trust is to produce world-class standards of student achievement, and it is the application of that vision that has resulted in its approach improving other schools in the area. I shall be delighted to visit schools in my hon. Friend’s constituency as soon as he invites me to do so.
ParlaMint-GB_2015-06-15-commons.u25	When a school has been rated inadequate by Ofsted and is therefore subject to an academy order, the Government say there will be no requirement to consult on conversion to academy status. With that in mind, what are the merits of removing the right of parents to be consulted, and how does that sit with the Government’s rhetoric on accountability to parents?
ParlaMint-GB_2015-06-15-commons.u26	The new Education and Adoption Bill is designed to ensure that those groups of people who are ideologically opposed to academisation are not allowed to disrupt or delay the process of academisation for those schools that have been letting down pupils year after year. This is about social justice and ensuring that every child, regardless of their background, has a good quality education. I hope the hon. Lady will support the Bill.
ParlaMint-GB_2015-06-15-commons.u27	Before the general election, the Secretary of State visited Dukeries college in Ollerton. Will the Minister find time to visit Sherwood and Dukeries college to see its exciting plans to improve information technology in the new academy?
ParlaMint-GB_2015-06-15-commons.u28	I understand that the Secretary of State had a very enjoyable visit and I, too, would enjoy visiting the school to see the innovative approach it is taking to IT and other elements of the curriculum.
ParlaMint-GB_2015-06-15-commons.u29	Coasting schools are to be forced to become academies. What is going to happen to coasting academies? Are they to be forced to become schools?
ParlaMint-GB_2015-06-15-commons.u30	The Government have powers to issue pre-warning notices to a trust, demanding urgent action to improve, and ultimately a warning notice can be issued by the Government to change sponsors. We have in fact changed the sponsors for 69 academies. The academisation programme is delivering higher standards across the board. Schools that have been academies for four years are improving their GCSE results by 6.4%, and there are similar high improvements in primary schools that have become academies. This is about improving standards across our school systems, and I expect the hon. Gentleman to support this approach.
ParlaMint-GB_2015-06-15-commons.u31	3. What plans the Government have to support investment in school buildings.
ParlaMint-GB_2015-06-15-commons.u32	In the last Parliament, we protected the schools budget, gave more then £5 billion to tackle Labour’s school places crisis and spent £18 billion on school buildings—more than Labour spent in their first two terms combined. In this Parliament, we will again protect the schools budget, and we plan to invest a further £19 billion on school buildings, of which £7 billion will be spent on school places.
ParlaMint-GB_2015-06-15-commons.u33	Colne Park high school is in desperate need of funds to improve the state of its building, but it is receiving inadequate support from the local county council. Will my hon. Friend consider meeting the school’s leadership team to help to find a way forward?
ParlaMint-GB_2015-06-15-commons.u34	I appreciate that the school will be disappointed that its application to the second phase of the Priority School Building programme was unsuccessful. The programme was highly over-subscribed, and we had to prioritise the buildings in the worst condition. However, Lancashire’s indicative allocation to maintain and improve its schools is £34 million for 2015-18, and I expect it to consider carefully the needs of all schools in its area. I will do what I can to support my hon. Friend with that.
ParlaMint-GB_2015-06-15-commons.u35	May I congratulate the Minister on his reappointment? I remind him that this is not just investment in buildings, but the facilities around buildings. Last Friday, I accepted a petition from 300 parents of the Krishna Avanti school and St Paul’s Catholic school about the lack of crossing facilities in Spencefield Lane. Can we look at that as part of the budget?
ParlaMint-GB_2015-06-15-commons.u36	The budget is not just for school buildings. As the right hon. Gentleman is aware, it is also for improving the facilities of school buildings. If there is a specific issue in his constituency that has not been dealt with, he can by all means write to me and I will look at it.
ParlaMint-GB_2015-06-15-commons.u37	I have been campaigning with a secondary school in my constituency, King’s Oak academy, as part of its bid for the Priority School Building fund. Unfortunately, the school was unsuccessful in relation to the last tranche of that fund. Will the Minister update the House on what future opportunities there will be for schools that were unsuccessful in the last round to re-bid for this funding?
ParlaMint-GB_2015-06-15-commons.u38	I know that the Secretary of State visited the school in question and recognised its brilliant leadership. Of course, as we go through the spending review and set the budgets for this Parliament, there will be other opportunities to look at the Priority School Building programme.
ParlaMint-GB_2015-06-15-commons.u39	At the start of the last Parliament, the Government set out their plans for the Priority School Building programme for 537 schools. To date, 25 have been completed. Would the Minister describe his Department’s performance as failing or just coasting?
ParlaMint-GB_2015-06-15-commons.u40	I will describe the Government’s performance as getting great value for money: the build cost for a number of schools was halved during the course of the last Parliament. We will make announcements this autumn about how Priority School Building programme 2 will be rolled out.
ParlaMint-GB_2015-06-15-commons.u41	5. What steps she is taking to ensure that there are sufficient childcare places to meet demand.
ParlaMint-GB_2015-06-15-commons.u42	I of course recognise that we have to look at the issue of nursery places. In the past few years, 230,000 places have been created in early years nationally. However, the biggest way in which we can create nursery places is to support the early years sector. We have committed to increasing the average funding rates that providers are paid for the free entitlement so that the sector can grow substantially I can confirm that a cross-Government review of the cost of providing childcare is under way to inform decisions on the funding required to secure sufficient quality childcare provision at good value for money to the taxpayer and consistent with the Government’s fiscal plans. I am today launching a call for evidence to inform this review, which will report and be published in the autumn.
ParlaMint-GB_2015-06-15-commons.u43	My constituents in North Warwickshire and Bedworth welcomed the commitment in the Conservative manifesto to provide 30 hours of free childcare and look forward to its delivery. What plans are being made to bring that forward?
ParlaMint-GB_2015-06-15-commons.u44	I am delighted to welcome my hon. Friend to the House. His victory in Labour’s No. 1 target seat carved the first letters in Labour’s electoral tombstone and ensured that the ridiculous “Ed stone” did not make its way into Downing Street As the Prime Minister announced on 1 June, we are pressing ahead with reforms to increase the childcare support that is available to hard-working families. We are bringing implementation forward to 2016. The Childcare Bill was one of the first Bills we introduced in this Parliament. I have just announced the funding review. Further to that, there will be a consultation with parents and providers so that we can implement this policy.
ParlaMint-GB_2015-06-15-commons.u45	I welcome the Minister to his place, and I welcome the UK Government’s decision to follow the Scottish Government’s lead in expanding free childcare to 30 hours for three and four-year-olds. How much additional funding will be made available for the planned childcare expansion?
ParlaMint-GB_2015-06-15-commons.u46	I welcome the hon. Lady to the House. The Government are making more support available for childcare than any previous Government. We set out in the general election campaign our plans to fund. We expect to make savings from tax-free childcare and from universal credit. The policy will therefore be funded to the tune of about £350 million.
ParlaMint-GB_2015-06-15-commons.u47	I thank the Minister for that answer. Will he give the figure for how much additional funding will come to Scotland as a result of the Barnett consequentials from the planned expansion of childcare in England?
ParlaMint-GB_2015-06-15-commons.u48	I understand that Scotland already provides about 25 hours of free childcare. I am happy to write to the hon. Lady to provide details of the Barnett consequentials from the expansion of this programme.
ParlaMint-GB_2015-06-15-commons.u49	24. On Friday, I visited St Cuthbert’s Church of England infant school in Wells, where the head and her staff are doing a fantastic job not only in educating the children but in providing before and after-school care for them. Will the Minister share with the House his plans to give the teachers of that school the resources they need to provide that vital service for working parents?
ParlaMint-GB_2015-06-15-commons.u50	Local authorities have a duty to provide sufficient childcare and we are supporting them to deliver that. We are very supportive of breakfast clubs and after-school clubs. We are also liberalising the childminding sector to allow childminders to operate for 50% of the time off domestic premises. They should therefore be able to support schools to expand that sort of care.
ParlaMint-GB_2015-06-15-commons.u51	I urge the Minister to talk to the National Day Nurseries Association, which is based in my Huddersfield constituency, because it is very worried. Members all around this House want there to be more affordable childcare, but the NDNA is worried about the cost implications, because the money does not add up; about the pressure on building new facilities; and about the recruitment of staff. Those are real concerns, so will he talk to the NDNA?
ParlaMint-GB_2015-06-15-commons.u52	I talk to the NDNA all the time. I am very much aware not only of its concerns but of the concerns of other players in the sector. We were the only party to commit to a review of the funding rate in the general election campaign. Today, I have announced that the review is under way. We will consult the sector and get its views not only on the exact rate, but on how to implement the 30 hours policy.
ParlaMint-GB_2015-06-15-commons.u53	6. What assessment she has made of the adequacy of current arrangements for key stage 4 students to access business and work experience.
ParlaMint-GB_2015-06-15-commons.u54	Ensuring that young people leave school or college prepared for life in modern Britain is a vital part of our plan for education. We have put more emphasis on mastering vital skills and on more respected qualifications, and we have given employers greater influence over the content of courses, so that young people have the skills that universities and employers value. One reason I am delighted to continue as Secretary of State is that I can continue to make progress with the new employer-led careers and enterprise company, which will help young people access the best advice and inspiration by encouraging greater collaboration between schools, colleges and employers.
ParlaMint-GB_2015-06-15-commons.u55	That sounds all fine and dandy, but the Government’s dropping of mandatory work experience from the school curriculum has not helped the small businesses I speak to in Blackpool, which want to take young people on. Nationally, the British Chambers of Commerce found that three quarters of employers were worried about a lack of work readiness. Will the Secretary of State make a fresh start and bring forward substantial initiatives to improve work experience, thereby making apprenticeships more accessible to 16 to 19-year-olds?
ParlaMint-GB_2015-06-15-commons.u56	I am afraid I will not be changing course. We are focusing on high quality and meaningful work experience post-16. The blanket requirement to provide work experience at key stage 4 and under had fewer and fewer employers willing to accommodate young people. They were worried about health and safety, red tape introduced under the previous Government and, exactly as the hon. Gentleman says, being without the work readiness skills that this Government are focusing on to ensure our young people are ready for life in the world of work.
ParlaMint-GB_2015-06-15-commons.u57	7. Which provisions in the Education and Adoption Bill will ensure that more children in care are placed in loving and stable homes.
ParlaMint-GB_2015-06-15-commons.u58	16. Which provisions in the Education and Adoption Bill will ensure that more children in care are placed in loving and stable homes.
ParlaMint-GB_2015-06-15-commons.u59	Every child deserves a happy and fulfilling childhood, including those who cannot be brought up by their birth parents. To ensure that for the many thousands of children every year waiting to be adopted, the Education and Adoption Bill will increase the scale at which adoption services are delivered by introducing regional adoption agencies to work across council boundaries. That will help to provide a greater pool of approved adopters with whom to match vulnerable children successfully into loving and stable families.
ParlaMint-GB_2015-06-15-commons.u60	What steps are being taken to ensure that advice about adoption is more widely available in local communities, including as an option for consideration by women with unplanned pregnancies?
ParlaMint-GB_2015-06-15-commons.u61	I welcome my hon. Friend and neighbour’s interest in this important issue. In 2013, we set up the first ever national adoption advice and guidance service, First4Adoption, which to date has had more than 416,000 of what I am told are called “unique users”. The NHS website also has information on all the options to consider in the circumstances my hon. Friend describes, and makes specific reference to adoption. This is a very sensitive issue and we need to tread carefully. I am happy to discuss it further with my hon. Friend to make sure we get the balance right.
ParlaMint-GB_2015-06-15-commons.u62	I thank the Minister for visiting Holmer Lake primary school in Telford earlier in the year to hear about the excellent child safeguarding work being done for year 6. With increasing numbers of children entering the care system, and with rates in my constituency significantly above the national average, what will the Minister do to ensure that all alternatives to adoption are fully explored before children are put up for adoption, resulting in permanent family break-up?
ParlaMint-GB_2015-06-15-commons.u63	I congratulate my hon. Friend on her election; I am pleased to hear that my visit was not only helpful but did not prevent her from getting over the finishing line A key principle of the Children Act 1989 is that children are generally best looked after within their families, save where that is not consistent with their welfare. That was reiterated in the Children and Families Act 2014. Of course, where concerns arise it is right that the local authority takes the appropriate action, but the point of having an independent court system is to ensure that that is proportionate and that in children’s upbringing their welfare and their best interests are the paramount consideration. That should remain at the heart of all the work we do with vulnerable children and I am happy to work with my hon. Friend to achieve that.
ParlaMint-GB_2015-06-15-commons.u64	Despite what the Minister says, local authority cuts have had disastrous consequences for children’s social care services. Ofsted is now reporting that independent reviewing officers are so stretched that poor planning and delays for the most vulnerable children are going unchallenged. What will the Minister do to defend the service from further cuts?
ParlaMint-GB_2015-06-15-commons.u65	It is wonderful to see the hon. Lady back. She was extremely vocal on these issues in the previous Parliament, and very effective in raising them to the profile they deserve. They are often missed at local, as well as national, level. The truth about children’s social care is that, at a time when it has been difficult for local councils, good decisions have been made to protect spending on children’s safeguarding. That is something I hope they will continue, while considering how they can be more effective and efficient in delivering those services. That is one of the reasons why the adoption Bill, which the House will soon be discussing, considers how they can work more closely together to achieve better services for children wherever they are from in the country, so that we have greater consistency everywhere.
ParlaMint-GB_2015-06-15-commons.u66	The Education and Adoption Bill will presumably mention adoption, but will it contain provision for improving the quality of fostering, residential children’s homes and kinship care, which in the past the Minister has agreed are incredibly important opportunities for children? This is about finding the right way forward for children, not necessarily adoption for all.
ParlaMint-GB_2015-06-15-commons.u67	The hon. Gentleman is right that, whatever the route to permanency a child has, we must ensure they have the right support and that the best decisions are made in their interests. The Bill, which we will be discussing in the next few weeks, will deal with the post-decision issue and ensure that we can access a wider pool of adopters to get children matched more quickly. At the moment, we have over 3,000 children in care waiting to be adopted, half of whom have been waiting for more than 18 months. We need to address that, but I agree that we need to do better to ensure that foster children and those with residential or kinship care arrangements get better deals.
ParlaMint-GB_2015-06-15-commons.u68	I remind the House of my entry in the Register of Members’ Financial Interests Will the Minister comment on the Government’s intention to expand the outsourcing of children’s social care services to third-party providers involved with children in the care system and adoption? He has just announced that they will no longer be regulated and inspected by Ofsted. How will he ensure quality of care for these particularly vulnerable young people?
ParlaMint-GB_2015-06-15-commons.u69	I pay tribute to the role that my hon. Friend has played in keeping these matters fairly and squarely at the top of the national agenda, but we have not just announced that. These services will still be inspected. In the past, I have alluded to the social work practice in Staffordshire that was outsourced by the county council and which was inspected by Ofsted and received a “good” rating We want to ensure the best possible services on offer to children across the country, and we should not get too tied up in thinking about delivery and who will be ensuring the services are the best they can be. Let us get quality at the heart of everything we do and make sure that that is what we inspect.
ParlaMint-GB_2015-06-15-commons.u70	I welcome the Minister back to his post. I had entertained the idea that we would swap places—but what will be will be. I am pleased he has retained this portfolio and I genuinely wish him well for the future Will the Minister give an assurance that nothing in his adoption proposals will have an adverse impact on smaller voluntary adoption agencies, which often specialise in finding families for harder-to-place children—a group the Government say the proposals are designed to help?
ParlaMint-GB_2015-06-15-commons.u71	I welcome the hon. Gentleman back to his post. He and I have an interesting electoral history, but I see he managed to increase his majority at the last election, so he is doing better in his own constituency than he managed in Crewe and Nantwich in 2008 The hon. Gentleman raises an important point. We have an array of extremely competent, professional and dedicated voluntary adoption agencies across England and the wider United Kingdom, and we need to ensure that they are fully part of the new adoption landscape that we are creating. I made that point when I spoke at the Consortium of Voluntary Adoption Agencies conference only last week. We will make sure that they are central to the vision going forward.
ParlaMint-GB_2015-06-15-commons.u72	8. What steps her Department is taking to raise educational standards in failing schools.
ParlaMint-GB_2015-06-15-commons.u73	At the heart of the Government’s commitment to delivering social justice is the belief that every child deserves an excellent education and that no parent should be content with their child spending a single day at a failing school. The Education and Adoption Bill introduces new measures to tackle failure by speeding up the process for converting failing schools into sponsored academies. It also includes measures to tackle coasting schools for the first time. This will speed up the process by which the worst schools are transformed in order to bring about rapid and sustainable improvements.
ParlaMint-GB_2015-06-15-commons.u74	Suffolk county council has rightly identified education and improving educational standards as its top priority. With 80 schools in the county requiring improvement or rated “inadequate”, with what specific support can my right hon. Friend provide the council in order to raise educational standards?
ParlaMint-GB_2015-06-15-commons.u75	I thank my hon. Friend for his question and pay tribute to his work as a Health Department Minister in the past two and a half years Like my hon. Friend, the Government want every child in Suffolk and throughout the country to receive an excellent education. The regional schools commissioner, Tim Coulson, is in regular dialogue with Suffolk County Council, and the Department is offering support, including introducing five new strong academy sponsors, encouraging the local authority to use its intervention powers, and making Suffolk a priority for national programmes such as Talented Leaders and Teach First. I hope my hon. Friend will support those measures.
ParlaMint-GB_2015-06-15-commons.u76	Schools standards are the responsibility of Ofsted. As anyone involved in running schools knows, there are gross inconsistencies in how Ofsted inspects between schools. Does the Secretary of State agree, and if so what will she do to solve the problem?
ParlaMint-GB_2015-06-15-commons.u77	I welcome the hon. Gentleman to the House. I am not entirely in agreement with him that school standards are the responsibility of Ofsted. School inspection is carried out by Ofsted—school standards are the responsibility of Ministers and the Department, and of schools, local authorities and sponsors. I agree with him about the inconsistencies and that concerns have been expressed by school heads. The head of Ofsted—the chief inspector—is bringing inspectors back in-house, and therefore they will be much more under the control of Ofsted. That will mean many more consistent inspections, but I am always open to receiving reports when schools are concerned about what has happened in an inspection. We will always take those up with Ofsted.
ParlaMint-GB_2015-06-15-commons.u78	One common area of concern related to failing schools in my constituency is the level of churn and English-as-an-additional-language pupils—63% of primary school pupils in my constituency have English as an additional language. What concrete steps is my right hon. Friend taking to address that pressing and challenging problem in Peterborough and across the country?
ParlaMint-GB_2015-06-15-commons.u79	My hon. Friend is right that that is an issue, but schools up and down the country respond magnificently to the language demands placed on them by pupils. We see over the course of an education that having English as a second language does not hold pupils back, but I agree there is pressure on primary school children and the Department is looking at it. There are schemes, and measures such as pupil premium funding can make a difference.
ParlaMint-GB_2015-06-15-commons.u80	With respect to failing schools, the Secretary of State has insisted that Uplands junior school in the Spinney Hills part of my constituency should convert to an academy. Down the road in the Eyres Monsell part of my constituency, the Samworth Academy has the worst GCSE results in the whole of Leicester—the results have gone down again—the chair of governors has resigned and there have been problems with senior staffing. Why does the Secretary of State insist on an academy in one part of my constituency, and yet is seemingly complacent about an academy in another part?
ParlaMint-GB_2015-06-15-commons.u81	There is no complacency on the part of the Department. The Under-Secretary of State for Education, my hon. Friend the Member for East Surrey (Mr Gyimah), has already set out the action the Department can take—the swift intervention—when an academy is failing. That can result eventually in an academy being rebrokered. Uplands junior school had 17 months to appoint its interim executive board and turn things around, but progress has not been sufficient. That is very unfair on the children in that school.
ParlaMint-GB_2015-06-15-commons.u82	9. What plans her Department has to increase the number and quality of apprenticeships for 14 to 19-year-olds.
ParlaMint-GB_2015-06-15-commons.u83	We are determined to create 3 million apprenticeships in the next five years, building on the 2.2 million created in the past five years. We will be requiring all public sector bodies to employ apprentices, and will legislate to protect the term “apprenticeship” against misuse.
ParlaMint-GB_2015-06-15-commons.u84	Figures from the House of Commons Library show that there were 440,000 apprenticeship starts in England in the last academic year, but almost 40% of those starts were made by over-25s, and starts made by under-19s have declined as a share of total starts since 2010. Why is the Minister not doing more to help young adults into apprenticeship schemes?
ParlaMint-GB_2015-06-15-commons.u85	The Government do not share with the Opposition the obsession with the idea that, somehow, anybody over the age of 25 doing an apprenticeship is wasting their time or the Government’s money. We absolutely agree that we want as many young people as possible to have the opportunity, but that includes people aged between 19 and 24, and over-25s. We want the entire programme to expand, which is why we are investing in it. We will deliver 3 million apprenticeships to people of all ages over the next five years.
ParlaMint-GB_2015-06-15-commons.u86	Five years ago, Staunton community sports college in the Leigh Park area of my constituency had one of Britain’s worst GCSE records. Following its conversion into Havant Academy, it is now one of Britain’s most improved schools. Does my hon. Friend the Minister agree that the Government’s free schools and academies programme is transforming the lives of young people?
ParlaMint-GB_2015-06-15-commons.u87	Order. The question is in relation to apprenticeships for 14 to 19-year-olds, upon which I know the Minister is focused.
ParlaMint-GB_2015-06-15-commons.u88	I am delighted to hear that Havant Academy is making progress. That will ensure that many of the young people at the academy will themselves be able to go on to do apprenticeships, which is why I am so delighted to congratulate my hon. Friend.
ParlaMint-GB_2015-06-15-commons.u89	Let me—grudgingly, but sincerely—welcome the Minister back to his place For all that the Government have said about apprenticeships, the barriers that prevent far too many companies, especially smaller ones, from taking on apprentices remain too high. What more will the Government do for those small businesses? In particular, how will the Government deal with the fear felt by many that they will put all their resources into training a young person, only for that young person to be poached by one of the big boys further up the supply chain once he or she is qualified?
ParlaMint-GB_2015-06-15-commons.u90	I hope that it will not destroy the hon. Gentleman’s chances in his new position if I say that I cannot imagine anyone with whom I would rather be debating over the next few years, because I rate him highly both personally and professionally. Not surprisingly, he has raised a very important point. It is extremely important for us to make the apprenticeship programme attractive and easily accessible to small as well as large companies. There are specific grants for small employers, but we need to make the system much easier for them to navigate. It is possible for businesses to place some restrictions on people who complete apprenticeships for which those businesses have paid, although not many people know about or take advantage of them. If someone leaves very soon after qualifying, a business can receive back from that person some of the costs of his or her training.
ParlaMint-GB_2015-06-15-commons.u91	rose—
ParlaMint-GB_2015-06-15-commons.u92	I am sure the hon. Gentleman is hoping that he will not be similarly lavishly praised.
ParlaMint-GB_2015-06-15-commons.u93	We shall have to wait and see, Mr Speaker Further education colleges have an important role in the training of apprentices. In view of the recent announcement of reductions in the education budget, will there be any reductions in the budget for the education and training of those aged 16 to 19?
ParlaMint-GB_2015-06-15-commons.u94	On that point, I entirely agree with the hon. Gentleman. Further education colleges do indeed have a vital role in delivering the training for apprenticeships, and I wish more of them would do more of it. I can confirm that the allocations for the education of 16 to 19-year-olds in the 2015-16 academic year that were announced in March remain in place, and we are not planning to change them.
ParlaMint-GB_2015-06-15-commons.u95	10. If she will make it her policy to maintain the number of Sure Start centres in England.
ParlaMint-GB_2015-06-15-commons.u96	I welcome the hon. Gentleman to the House. I note that he is already making friends in the right places: the hon. Member for Hackney North and Stoke Newington (Ms Abbott) described his maiden speech as “socialist to the core” In November 2014, 2,800 children’s centres were open, and there were 674 additional sites offering children’s centre services. Obviously, the most important thing is not the number of buildings but the number of people whom we reach, and I am pleased that more than 1 million parents and children are using our centres.
ParlaMint-GB_2015-06-15-commons.u97	I thank the Minister for his reply, and for his mention of socialism The Government have already cut half a billion pounds from the early intervention grant since 2010, and funding has been cut by 30% in real terms in Leeds. More than 700 Sure Start centres have closed. Can the Minister assure parents in my constituency that their centres will not be threatened with closure or further cuts?
ParlaMint-GB_2015-06-15-commons.u98	I assure the hon. Gentleman, first, that the funds for children’s centres have not been cut—in fact, the overall pot grew from £2.3 billion in 2012-13 to £2.4 billion in 2014-15—and, secondly, that there is a presumption against closure. Local authorities have a duty to consult when they plan to change their children’s centre provision.
ParlaMint-GB_2015-06-15-commons.u99	Will the Minister consider accepting the recommendation of the Centre for Social Justice that children’s centres should become “family hubs”, so that we can “focus on… the stability and quality of family relationships”?
ParlaMint-GB_2015-06-15-commons.u100	I have met the members of the Centre for Social Justice who have advocated that change of use, or alternative provision, of children’s centres. I think that it is an interesting idea, and one that we should look at in detail
ParlaMint-GB_2015-06-15-commons.u101	25. Cuts to council funding—the abolition of a series of grants and credits by the coalition—mean that Sure Start centres in my constituency are providing more basic services than ever before. I am hearing now of children in Kirklees coming to centres on a Monday morning having not had a hot meal since the previous Friday, yet Sure Start budgets in the north of England have been cut by 39%. Does the Minister share my assessment, and that of the London School of Economics and the Centre for Analysis for Social Exclusion, that even the most dedicated of Sure Start children’s centres will not be able to withstand further cuts?
ParlaMint-GB_2015-06-15-commons.u102	As I have said previously, it is down to local authorities to consult when they plan to change their children’s centre provision. Just to be clear on the number of children’s centres, only 142 have closed and eight new centres have opened since 2010. We must move on from the lie being perpetrated. [Interruption.] In some cases children’s centres have merged. [Interruption.] When they have merged, they have not closed. [Interruption.]
