ParlaMint-GB_2015-12-04-commons.u1	I beg to move, That the House sit in private Question put forthwith (Standing Order No. 163).
ParlaMint-GB_2015-12-04-commons.u12	I recognise the right hon. Gentleman’s point. It is important that alongside any new legislation and regulation we have the co-ordination at a community level to support the people he mentions, who, as he says, are often in our most vulnerable communities The basis for switching from old-for-old to new-for-old is one of basic fairness for riot victims. It cannot be fair for them to be expected to engage in extensive negotiations on the book value of a three-year-old dry cleaning machine, as was the case in one claim in 2011, and then to have to search for such a machine at the specified price just at the point when they are trying to rebuild their homes or their businesses. A new-for-old system is already used in most private insurance policies, and it would mean that victims could set about the important business of getting their lives, homes and businesses back on track.
ParlaMint-GB_2015-12-04-commons.u13	My hon. Friend is right to say that new-for-old replacement will be welcomed by businesses that are affected by a riot, but often the most worrying and biggest problem for such businesses is the consequential losses that arise from that destruction and loss of property. Will he explain why those losses will not be covered, and why they are expressly excluded?
ParlaMint-GB_2015-12-04-commons.u14	As my hon. Friend says, the Bill would explicitly restrict a police force’s liability to direct losses, and it would exclude the consequential losses to which he refers. This is a question of fairness and affordability, because the potential impact on the public purse would be enormous should the riot compensation scheme be extended to cover full consequential losses.
ParlaMint-GB_2015-12-04-commons.u15	There is a cap, so any claims would be limited and caught by that cap. Bearing in mind that that exclusion exists, does my hon. Friend agree that it is extremely important that all businesses—especially small businesses—are made aware of the limitations of the Bill, and the need for them to take out insurance to cover otherwise uninsured losses?
ParlaMint-GB_2015-12-04-commons.u16	My hon. Friend makes an excellent point, and businesses need to do as he suggests. This is about what private insurance should reasonably cover. Although direct losses tend to be relatively easy to quantify, consequential and other indirect losses can be more difficult to quantify, and they cause much more difficulty for public authorities when assessing and paying for those claims.
ParlaMint-GB_2015-12-04-commons.u17	It has been interesting to listen to my hon. Friend’s contribution so far. Does he agree that the limit is about finding a balance between what is legitimately covered by private insurance, and compensation for those who were caught up in a riot through no fault of their own? Does he also agree that not many people would have been aware of the Riot (Damages) Act 1886 until after the 2011 disturbances?
ParlaMint-GB_2015-12-04-commons.u18	My hon. Friend is right, and in conversations I have found that a surprising number of right hon. and hon. Members from across the House were similarly unaware that police forces bear those liabilities. We should be under no illusions that most members of the public are much better informed Let me return to the principle of switching to a new-for-old system. From the perspective of public finances, much of the additional cost of such a change can be expected to be offset through savings on spending on the loss adjusters needed to calculate second-hand values. It is much simpler and more efficient to assess the cost of a new replacement product, which is why so much of the insurance industry has moved to such a process.
ParlaMint-GB_2015-12-04-commons.u19	Was the hon. Gentleman referring to the case in Croydon North of Mr and Mrs Hassan? They had recently bought a dry cleaning business with old dry cleaning machines. It was burned to the ground, but because they were offered only like-for-like funding they could not re-establish their business or get their livelihood going again. They went into serious arrears and were threatened with the loss of their home because they could not pay the mortgage. Surely that is unacceptable and needs to change.
ParlaMint-GB_2015-12-04-commons.u20	The hon. Gentleman puts his constituents’ case far better than I could, and he is absolutely right. New for old makes sense—it will save time and make the process simpler, fairer and less labour-intensive for local police bodies.
ParlaMint-GB_2015-12-04-commons.u21	I am grateful to the hon. Gentleman for giving way again. His point about new for old is incredibly well made There are many small business owners in areas that have experienced riots. I think of my area in particular, which is unfortunately one of the few areas of the country to have experienced two riots in a generation. Those small businesses are under-insured because of the cost of insurance, which is because those areas have had riots. Unless we want such areas to be completely boarded up, like cities in the States such as Detroit, we ought to think carefully about consequential loss. We should not place further insurance burdens on the private sector. After all, the fact that a riot has occurred is not the fault of a business.
ParlaMint-GB_2015-12-04-commons.u22	Many insurance policies already have business disruption cover, and focusing on direct losses, with a fair cap of £1 million, will allow businesses or individuals to reclaim quickly the significant sums that they need to get back on track.
ParlaMint-GB_2015-12-04-commons.u23	rose—
ParlaMint-GB_2015-12-04-commons.u24	I give way to my hon. Friend, who knows a lot more about this.
ParlaMint-GB_2015-12-04-commons.u25	Does my hon. Friend hope, as I do, that if the Bill moves forward today it will encourage the industry and the Association of British Insurers to engage further with business owners and make them aware of such things as business disruption cover? In addition, they could make them aware of the Bill’s provisions.
ParlaMint-GB_2015-12-04-commons.u26	That is precisely what I have been calling on the ABI and other insurance bodies to do leading up to today’s debate I turn to the Bill’s provisions on a riot claims bureau. It sets out that the Secretary of State may assume responsibility for managing riot compensation claims. That is appropriate if rioting spreads across more than one police force area, as it did in 2011. It may also be appropriate at the request of a local policing body, particularly in one of the smaller police force areas, should the volume of compensation claims prove challenging to manage and be beyond its capacity. It is not about taking away local policing bodies’ financial autonomy. It is merely about providing capacity, consistency and additional oversight where necessary.
ParlaMint-GB_2015-12-04-commons.u27	I am grateful to the hon. Gentleman for being so generous with his time. He mentions compensation being paid to victims. Is he aware that when local communities came together to raise and distribute funds to support businesses, families and individuals who had been financially affected by the riots, those funds were then deducted from the more official compensation payments? Does he agree that that was completely wrong and went against the intentions of people who generously donated to help their fellow citizens recover from the terrible circumstances in which they found themselves?
ParlaMint-GB_2015-12-04-commons.u28	I would certainly hope that money raised to support local communities would be used for that purpose. Of course, we would want to avoid double compensation, with damages being repaid twice so that people were not just put back in an equivalent position to before the riots but received additional payments on top of that. I do not think that that would be appropriate. I do think that after a riot money should be retained more at a community level and invested in rebuilding community cohesion The structure of a riot claims bureau would include, in its running and financial decision making, a role for a police and crime commissioner or equivalent, or their designated representative, as well as insurers and loss adjusters. The Bill would allow local policing bodies to place the day-to-day management of claims into the hands of experts in the loss-adjusting profession. That is clearly a better alternative to expecting police forces to retain such responsibility in-house. Companies already have the capacity available to manage major insurance-related incidents, as has been seen in their response to major weather-related events. Moving responsibility for the management of the process to those who understand it best would allow police and crime commissioners to utilise fully industry experts, while retaining full control of the financial decisions for which they are democratically accountable The Bill provides, for the first time, cover for some motor vehicles. Understandably, motor insurance and damage to motor vehicles was not considered in the 1886 Act. It is time, nearly 130 years later, to address that. Most insurance companies cover riot damage in comprehensive motor vehicle policies, the type held by the overwhelming majority of the country’s motorists. The Bill would not seek to replace that coverage. The intention is to provide compensation for motorists not covered by comprehensive insurance. Where the vehicle is held in accordance with the law, it would be covered under the Bill: it would cover third-party claims that meet basic minimum legal requirements for insurance, or vehicles that are exempt from requirements for insurance.
ParlaMint-GB_2015-12-04-commons.u29	My hon. Friend is being extremely generous in giving way. Does he agree that part of the reason for updating the legislation is to address its core purpose, which is to compensate those who might lose their business and equipment? In the modern era, as opposed to 1886, many people will have their tools and their business based in a motor vehicle.
ParlaMint-GB_2015-12-04-commons.u30	My hon. Friend is absolutely right. In fact, I wonder if he has read the next passage of my speech. The Bill is indeed about creating a safety net not only for vulnerable people but small businesses and the self-employed The purpose of the compensation scheme is not to pick up unlimited bills related to criminal activities, but to provide a vital safety net. We should recognise the serious implications for communities recovering from major public disorder. They include many of my constituents who work in Birmingham and were affected by the 2011 riots and earlier riots. It is the role of Government to protect the most vulnerable and ensure they are not unduly disadvantaged, whether at home or operating their businesses. It is not reasonable to expect a statutory compensation scheme backed by the taxpayer to provide the same coverage as insurance for which one pays considerable insurance premiums. Since 2011, the Government have done significant work on the causes and effects of the riots, but it would be wrong to hand over millions of pounds of public money to individuals and businesses that should have insured themselves against losses, and likewise, insurance companies that benefit from the premiums paid by millions of households every year should not expect the public purse to indemnify them against limitless losses The Bill would allow for a balance between the responsibility of the police to maintain order and the responsibility of the Government to protect the vulnerable and make adequate provision for insurable risks. It would retain the principle that the police are responsible for maintaining order, provide that local accountability remains in place and ensure that communities have the right mechanisms in place to recover quickly from serious disorder. It seeks to make an outdated 19th century Act relevant to the world in which we live, and to create a fairer, faster and more affordable system. I commend it to the House.
ParlaMint-GB_2015-12-04-commons.u31	Just as everyone from an earlier generation remembers where they were when JFK was assassinated, everyone from Ealing remembers where they were when riots hit our corner of west London, which is known, justifiably, as the queen of the suburbs. [Interruption.] It is, yes, and correctly so Footage of the shop front of Helen and Stuart Melville’s Bang & Olufsen franchise on Bond Street in Ealing went viral. It showed rioters trying to smash the glass several times before giving up and scurrying off. Helen, who had had warning through the grapevine, told me recently that, at 5 pm, she was on her way back from Peppa Pig World, when she was given a tip-off that rumours were circulating on Facebook. That shows the modern nature of the 2011 riots. She could not believe it. She thought, “Why Ealing? Why us? I don’t believe this.” The same sentiment of incredulity also hit Ravi and Amrit Khurmy, of Ealing Green local store, who said that the word of mouth was that something might happen Both were small businesses into which the proprietors had sunk everything they had, and both, like Ealing itself, were rocked by the 2011 riots. Sadly, the initial prophecies became a reality. Both received a phone call from the company that maintained the alarm system saying, “Something’s up. Can you come?”, and both returned to scenes of destruction and carnage. Mr Melville said it was like something out of a zombie movie: “28days Days” comes to Ealing—is that the one?
ParlaMint-GB_2015-12-04-commons.u32	“28 Days Later”.
ParlaMint-GB_2015-12-04-commons.u33	Sorry, I am not into zombie movies. It was Mr Melville’s example. They found cars burning and other such things one does not expect to see in Ealing. Bang & Olufsen closed early, as a precautionary measure, but even so, the glass was shattered and the footage attracted many millions of views on YouTube. Ravi found his store in flames. The London fire brigade was in attendance for 24 hours. It was not just the shop; there were flats above as well The Bill attempts to redress some of the imbalances in the current legislation and revamp the compensation provisions, as the hon. Member for Dudley South (Mike Wood) described. The existing legislation is on the aged side, if that is not too much of an understatement. Very few statutes—very few anything—dating from 1886 continue completely unaltered today. It was a time when Queen Victoria was on the throne, and I think both Lord Salisbury and Gladstone had turns at being Prime Minister that year. A house dating from 1886 would at the very least have needed a bit of updating: a lick of paint, central heating and other mod cons. Riots in the UK are, thankfully, relatively rare, but the legal framework needs to be brought into the 21st century, as the hon. Member for Dudley South said A lot of people called the riots of four years ago the social media, high-tech riots. Some commentators even likened them to the contemporaneous Arab spring, which I think is going a bit far—the riots in Tunisia and those countries had a different cause. To pursue the parallel, if we were updating an 1886 house in line with what the legislation needs, we would need several coats of paint, not just a lick of paint, and total rewiring and heating, with a new boiler and radiators. The cumulative effect is that it becomes too much of a job to stick with the existing structure, so we do need new legislation. It makes perfect sense, and I congratulate the hon. Gentleman on bringing the Bill to the House today, because we need to bring that Victorian legislation kicking and screaming into the present day. Ealing council’s riot scrutiny panel report from 2012 stated that over 1,000 999 calls were made on 8 August 2011, many of which went unanswered. The report states that there was damage to 100 shops and businesses and that “one supermarket burnt down”—Ealing Green Local, which I referred to. It took 18 months to reopen. It now has half its original footprint and has been rebranded as a SPAR. When the riots happened, I was cowering indoors watching Twitter, but I remember going the next day and seeing an Edwardian turret from the roof structure of that building being lifted away by crane. It was quite surreal Ravi outlined what happened in the aftermath and told me what he would like to see in future riot compensation legislation. He said that the insurers had paid out, but that the process was painfully slow. He reckoned that his claim was accelerated somewhat because he knew someone on the inside. That should not be so: we should be a nation above corruption in those things. He pointed out—the hon. Member for Bury North (Mr Nuttall) also made this point—that consequential loss should be covered as well. Ravi said that, at present, compensation covers only fixtures and fittings, whereas he would like loss of earnings to be included Ravi’s other point was that the role of the council was relatively limited. Ealing’s report said: “Feedback on the Council was very positive—the payment of £1,200 was delivered promptly, and the named officer had been in frequent contact with advice and support.” That is what the council said.
ParlaMint-GB_2015-12-04-commons.u34	If Ealing is the queen of the suburbs, Croydon is surely the king. There was another role for councils, in the receipt of riot recovery funds. Croydon council—run by the Conservatives at the time—received more than £20 million from the Greater London Authority, spent half of it in an area that was not affected by the riots and left the rest in a bank until the GLA tried to claim it back. Does my hon. Friend agree that there should be a bigger role for communities and victims in overseeing how such funding is spent, so that the worst affected areas can recover faster?
ParlaMint-GB_2015-12-04-commons.u35	My hon. Friend makes an excellent point. He anticipates what I was going to say about the Ealing example, but he is correct that these decisions should be taken at a local level Ravi said that the council was very good initially, but that “after 18 months their door was closed.” He also praised police actions after the event, but recognised that their role too was limited. His was a flat with a shop beneath, and both were subject to an arson attack, as in probably the most extreme case, which was in my hon. Friend’s constituency—or was it in Croydon Central?—with the famous picture of the girl jumping out of the burning building.
ParlaMint-GB_2015-12-04-commons.u36	That was at Reeves Corner in Croydon Central.
ParlaMint-GB_2015-12-04-commons.u37	He’s not here, is he?
ParlaMint-GB_2015-12-04-commons.u38	No, Gavin Barwell is not here.
ParlaMint-GB_2015-12-04-commons.u39	Never mind. Not to worry.
ParlaMint-GB_2015-12-04-commons.u40	Order. We cannot have conversations between Members. If the hon. Gentleman is intervening, that is absolutely fine, but we cannot have a running commentary between Members.
ParlaMint-GB_2015-12-04-commons.u41	Thank you, Madam Deputy Speaker. I will continue Now the place is half the size and split into two units, although the takings are thankfully back to normal. As my hon. Friend the Member for Croydon North said, further follow-up financial support should be considered at local government level. I have not found any measure proposing that in the Bill, although perhaps I have not looked at it closely enough. Ealing council’s panel report said that larger sums were available in subsequent phases—£157,426 of allocations in total I accept that the problem with these sort of events is that they are unforeseeable. Nobody would have guessed on 7 August that this would have happened by 8 August: these things occur out of the blue. We are living in a time when local government budgets are being squeezed like never before, so I would be interested to hear how this Bill fits with local government provision. Ealing is losing £96 million in this parliamentary term Clause 8 sets the limits for damages at £1 million, as the hon. Member for Dudley South described. Disappointingly, however, subsection (2) states that the “compensation must reflect only the loss directly resulting from the damage” to the property and “not…any consequential loss resulting from it.” That is disappointingly short of what Ravi and others said would have made a real difference. Perhaps in extreme cases such as these, an agreement could be reached with the insurers for a limited amount more. It need not all come as a burden to the public purse, as some allowance could be made for special cases.
ParlaMint-GB_2015-12-04-commons.u42	I certainly understand the hon. Lady’s point on behalf of her constituent, but will she recognise that the independent reviewer specifically considered the issue and concluded that extending the scope of the Riot (Damages) Act 1886 to cover consequential losses would be a step too far currently and might leave the door open for far greater liabilities?
ParlaMint-GB_2015-12-04-commons.u43	I thank the hon. Gentleman for his intervention. I would feel happy if this issue were addressed to some limited extent. One would expect the Association of British Insurers to be on the side of the insurance industry, but it has found this aspect left wanting in this legislation—it could perhaps be explored at future stages.
ParlaMint-GB_2015-12-04-commons.u44	I declare an interest as a commercial business owner and property owner. Most insurance companies insure the buildings and the contents separately. That may not be under discussion in this context, but normally claims for buildings damaged through rioting as separate from contents claims.
ParlaMint-GB_2015-12-04-commons.u45	I am talking about loss of earnings. The store owner, his wife and two kids had to live off their savings for 18 months. It is an extreme case: 18 months is not the norm, and riots are not the norm. We do not usually expect these occurrences. Let us hope they never happen again. Helen from Bang & Olufsen remarked that the shop front had not been smashed. The video was shared so many times because people were saying that the rioters had been defeated, along the lines of “Hooray: victory against the rioters”. In the end, she faced a bill of £10,000 for the glass splinters. High-end products were involved, as expensive televisions behind the glass were also damaged. Helen’s point was that a cheque had to be written from the firm’s business account, which caused a problem for cash flow afterwards. She said that she had sunk all her savings into the business, which had been open only for six years, and when it started there was a massive recession. The hit to cash flow to pay the glazier was huge. She suggested that a temporary loan would have been helpful in that instance. It was a frightening time for her: she had a little kid and a second one was on the way.
ParlaMint-GB_2015-12-04-commons.u46	It was not just Reeves Corner that was affected. Nine businesses and 40 flats were destroyed in London road, west Croydon. Some of the businesses had to continue to pay mortgages or rents on properties that had been destroyed, which is enough to put businesses or individuals who are not wealthy in severe financial difficulty. Does my hon. Friend agree that riot compensation should apply to those who have suffered serious losses of that kind?
ParlaMint-GB_2015-12-04-commons.u47	That is an excellent point. There were the headline cases that got all the attention and went viral, but I believe that the proprietors of many small Asian shops in the London road have been waiting a long time to be compensated. I am not sure whether they have received any compensation yet. We may focus on the headline cases, but these are all tragic stories.
ParlaMint-GB_2015-12-04-commons.u48	I understand that local authorities have discretion to deem domestic and commercial properties exempt from council tax and/or business rates in the event of, for instance, floods, fires or riots. Authorities are aware of those powers, and should use them to help people.
