ParlaMint-GB_2015-12-01-commons.u1	1. What fiscal steps he is taking to support businesses.
ParlaMint-GB_2015-12-01-commons.u18	16. As my right hon. Friend will know, the tech economy in the west of England is one of the fastest-growing anywhere in the UK, and start-up businesses such as Claritize in my constituency have been set up because of the Government’s investment. Does he agree that such businesses will help to lead our economic recovery, creating jobs and increasing our productivity in the west of England?
ParlaMint-GB_2015-12-01-commons.u19	I certainly pay tribute to the very successful and thriving tech businesses in Bath and across the west country. There is an opportunity now, with the investment in cyber-security at GCHQ, not too far from Bath, in Cheltenham, to help create a culture of small start-up businesses and make sure that on the back of our national security we have commercial success and commercially successful companies building those sorts of businesses in the west country.
ParlaMint-GB_2015-12-01-commons.u20	Will the Chancellor outline what measures he introduced in the autumn statement to support the UK’s renewable energy businesses?
ParlaMint-GB_2015-12-01-commons.u21	We committed to double the investment in renewable energy over the next five years.
ParlaMint-GB_2015-12-01-commons.u22	What did we actually get from this Chancellor last week? The £1 billion to develop carbon capture and storage was cut; feed-in tariff subsidies for solar panels were cut by 87%; we heard not a mention of national projects such as the Swansea Bay tidal lagoon; and we had Britain at the bottom of the European league for renewables. Does he agree with companies such as Tesco, IKEA, Vodafone and Unilever that his renewable energy cutbacks now pose a risk to UK businesses and undermine confidence in investment?
ParlaMint-GB_2015-12-01-commons.u23	We should all be proud of the fact that in this country jobs are being created and the economy is growing yet our carbon emissions fell by 8% in the past year. We are doubling our investment in renewable energy and at the same time putting investment into things such as low-carbon nuclear power and small modular reactors, which will be of real benefit to South Yorkshire and the north-west of England. My broader point is that we do not believe that the way to help save the Earth is by piling costs on people’s electricity bills, so we have also taken action to ensure that our home efficiency scheme is more efficient, so people’s household energy bills will go down by £30 as well.
ParlaMint-GB_2015-12-01-commons.u24	2. What estimate his Department made of the potential cost to the public purse of a HM Revenue and Customs regional hub being based at (a) Leeds and (b) Bradford.
ParlaMint-GB_2015-12-01-commons.u25	HMRC announced the planned locations of its future regional centres based on a number of key principles that will enable it to deliver more for less. In addition to cost, HMRC has taken account of the quality of local transport links, the local labour market and future workforce supply and the need to retain the staff and skills it needs to continue its transformation. The changes will reduce HMRC’s estates costs by around £100 million a year by 2025.
ParlaMint-GB_2015-12-01-commons.u26	Does the Minister accept that basing the HMRC regional hub in Bradford would be cheaper for the taxpayer, that there is a suitable location available in Bradford but not in Leeds, and that an effective northern powerhouse does not mean basing everything in West Yorkshire, in Leeds? Will he think again about that matter?
ParlaMint-GB_2015-12-01-commons.u27	My hon. Friend is, as ever, a doughty advocate for the interests of his constituents. The point I would make to him is that this is a regional centre for the whole of the Yorkshire and Humber area. To retain as many members of staff as possible and reduce redundancy costs, HMRC’s assessment is that Leeds is a better location for those working in York, Sheffield and Hull from where there is a direct train service to Leeds.
ParlaMint-GB_2015-12-01-commons.u28	rose—
ParlaMint-GB_2015-12-01-commons.u29	Order. The hon. Gentleman is a very illustrious fellow and a distinguished philosopher, but for the purposes of this question he is on the wrong side of the Pennines.
ParlaMint-GB_2015-12-01-commons.u30	3. What steps his Department is taking to enable councils to retain receipts from business rates.
ParlaMint-GB_2015-12-01-commons.u31	The Government have announced a radical reshaping of the state. By the end of the Parliament, local government will retain 100% of business rates to fund local services. The Government will shortly begin consultation on those reforms.
ParlaMint-GB_2015-12-01-commons.u32	My local authority, Kirklees, estimates that it will lose in excess of £30 million a year as a result of this policy and the changes to the local government grant. By comparison, Westminster Council’s income will increase tenfold. When will the Government provide clarity for councils such as mine on the redistributive element that will mean it will be able to plug that very significant shortfall in funding?
ParlaMint-GB_2015-12-01-commons.u33	The devolution of business rates will retain the system of top-ups and tariffs that currently exist, so there will be no immediate loss to any local authority as a consequence of devolution. The point is that it devolves power to local authorities so that they have stronger incentives to boost growth. Local authorities that grasp that opportunity will see their business rates revenue increase.
ParlaMint-GB_2015-12-01-commons.u34	Does my hon. Friend agree that the point about last week’s announcement was that it was a defining moment for local authorities? Those local authorities that accept the principle of devolution of business rates can incentivise strong local business growth, and secure a local economy that is strong and that has jobs for its constituents. That is the key point.
ParlaMint-GB_2015-12-01-commons.u35	My hon. Friend is absolutely right. He puts it very well. That is the key point: it is about ensuring that local authorities have the incentives to boost growth, and then local people can hold those local authorities to account.
ParlaMint-GB_2015-12-01-commons.u36	What consideration has been given to doing something about business rates to support the steel industry in line with the outcomes agreed at the steel summit, which was chaired by the Secretary of State for Business, Innovation and Skills?
ParlaMint-GB_2015-12-01-commons.u37	My right hon. Friend the Chancellor made it clear that the business rates review, which we have been undertaking in recent months, will be completed next year. Obviously, we are looking at all the representations that we receive in the context of that review.
ParlaMint-GB_2015-12-01-commons.u38	4. What assessment he has made of the potential effect of the national living wage on wage growth.
ParlaMint-GB_2015-12-01-commons.u39	The national living wage will mean that a full-time minimum wage worker will earn more than £4,700 more by 2020—a 40% pay rise. Additionally, owing to the ripple effect of higher wages, up to a quarter of workers will see some benefit. Economy-wide wages are expected to be, on average, 0.4% higher in 2020.
ParlaMint-GB_2015-12-01-commons.u40	There has been a widespread welcome for the Chancellor’s national minimum wage announcement. Inevitably, the minimum wage has a major effect on traditionally low-wage sectors, especially social and residential care. Does my hon. Friend accept that the Government and local councils must be mindful of the fact that fees will need to be adjusted to ensure the viability of these hugely important services?
ParlaMint-GB_2015-12-01-commons.u41	My hon. Friend is right that many of the 900,000 workers in the social care sector will benefit from the new national living wage, including many working in residential care. That is why last week in the autumn statement we made an announcement that councils will have the power over the course of this Parliament to access money that they may need to increase the amount that they pay for social and residential care, with new revenue streams for social care worth up to £3.5 billion by 2020.
ParlaMint-GB_2015-12-01-commons.u42	As the Minister will be aware, the national living wage does not apply to people who are self-employed, whose wages have been stagnating and whose pension contributions have fallen every year for the past five years. Why were self-employed people not mentioned once in the productivity plan, and what does she intend to do to tackle low pay and conditions among the self-employed?
ParlaMint-GB_2015-12-01-commons.u43	The hon. Gentleman speaks powerfully of the importance of the self-employed to our economy. We pay tribute to the excellent work that so many self-employed people, including many in my family, do to generate economic growth in this country. He is right that, as wages across the economy grow and as we put more spending power into budgets for social and residential care, we expect that to be passed on to those who are self-employed.
ParlaMint-GB_2015-12-01-commons.u44	5. What assessment he has made of the potential effect on public finances of halving the disabilities employment gap.
ParlaMint-GB_2015-12-01-commons.u45	The Government are committed to halving the disability employment gap, which on current figures would mean helping about 1 million extra people to find work. The impact of meeting that on the public finances depends on factors that we cannot predict, such as what people are likely to be paid. However, this is about more than the fiscal impact. The Government want to help disabled people benefit from the security of employment, which is why we have announced a real-terms funding increase to help people with disabilities and health conditions to find work.
ParlaMint-GB_2015-12-01-commons.u46	I am pleased to say that a delegation of young people with autism is visiting Parliament today to discuss how we can improve the transition from school to work for people with autism. Does the Chief Secretary agree that improving the routes into work for young people with autism and other disabilities will be a great thing for our national finances but also for the young people themselves, allowing them to participate in the workforce and lead the independent lives that they want?
ParlaMint-GB_2015-12-01-commons.u47	I join the hon. Gentleman in welcoming so many disabled people to Parliament today, and I agree with him about the importance of doing more to help disabled people into work. That is why we extended the access to work scheme and launched the Disability Confident scheme, to ensure that employers better understand the benefits of recruiting and retaining disabled workers, the specialist employability support and the Work and Health programme, which we launched this year.
ParlaMint-GB_2015-12-01-commons.u48	Will the Minister confirm that about 3.2 million people with disabilities are in work now, and that the Government are looking to see that number increase dramatically over the next few years?
ParlaMint-GB_2015-12-01-commons.u49	My hon. Friend is right. This is one of the most important aspects of the Government’s work. He is correct to say that disability employment is now up to 3.2 million, which is an increase of 340,000 since 2013, up 74% on the year. We are increasing real-terms spending on disability employment by around 15% by the end of this Parliament.
ParlaMint-GB_2015-12-01-commons.u50	6. What assessment he has made of the effect on local economies of reduced funding for local government.
ParlaMint-GB_2015-12-01-commons.u51	Total local government spending will be higher in cash terms in 2019-20 than it is this year. The Government are also devolving 100% of business rates, meaning that, for the first time since 1990, local areas will see the full benefits of local business rate growth in their budgets. When it comes to local economies, I am sure that the hon. Lady will join me in welcoming the fact that unemployment has fallen by more than 25% in the past year in her constituency.
ParlaMint-GB_2015-12-01-commons.u52	Hull City Council has lost a third of its budget from Government funding since 2010, while wealthier areas have increased their budgets in some areas. The business rate proposal the Government are putting forward will again benefit wealthier areas, so can the Chief Secretary say to my constituents how taking tens of millions of pounds out of the local economy will assist the Chancellor’s plan for the northern powerhouse for cities like Hull?
ParlaMint-GB_2015-12-01-commons.u53	To be precise, local government funding is being protected in cash terms. The £6.1 billion reduction in central Government grants is more than offset by a £6.3 billion increase in other sources of income. The hon. Lady mentions the northern powerhouse. The Chancellor announced yesterday the appointment of John Cridland as chairman of Transport for the North. We have also announced £200 million for Transport for the North over this Parliament to transform transport connectivity in the region, to introduce Oyster-style ticketing and to make sure the northern powerhouse becomes a reality.
ParlaMint-GB_2015-12-01-commons.u54	I very much welcome the measures announced last week by the Chancellor to allow local government to keep receipts from business rates. My local authority, North Devon council, is one of the smaller ones so the receipts, actual and potential, will always be slightly less. Can my right hon. Friend give me an assurance that smaller local authorities such as mine will see the benefit from this measure?
ParlaMint-GB_2015-12-01-commons.u55	Yes. A consultation on changes to the local government finance system will be launched shortly, to be implemented in financial year 2016-17. We ought to be clear that the 2% increase in the precept to fund adult social care will be across the board, including rural areas, for councils that are meeting social care pressures.
ParlaMint-GB_2015-12-01-commons.u56	The Prime Minister eloquently set out the difficulties facing public services as a result of the Chancellor’s cuts with reference to his own local authority. In the light of the lucky Chancellor’s £27 billion windfall, why is he still pursuing £12 billion in social security cuts and a 5% cut to the Scottish Government’s budget?
ParlaMint-GB_2015-12-01-commons.u57	The hon. Gentleman mentions the Scottish Government budget, which I am not sure is entirely within the scope of the question, but I will try to answer. The Scottish Government budget has done relatively well. There is a 14% real-terms increase in capital spending over the course of this Parliament, and the reduction in resource spending is only in real terms and is far less than that of a lot of UK Government Departments.
ParlaMint-GB_2015-12-01-commons.u58	Does my right hon. Friend agree that local economies such as mine in Somerset have an exceptional opportunity to benefit from the devolution of business rates and all the infrastructure spending that this Government are going to conduct there?
ParlaMint-GB_2015-12-01-commons.u59	My hon. Friend is absolutely right. That is why it is so important that local authorities are able to keep the proceeds of growing their local business rates, if that is what they are capable of doing. I am sure my hon. Friend will play his full part in attracting more business to his constituency.
ParlaMint-GB_2015-12-01-commons.u60	Commenting on the Chancellor’s proposal to allow local authorities to raise council tax by up to 2% in order to fund social care, the Conservative vice-chair of the Local Government Association referred to the creation of a “postcode lottery”, stating: “If you are in one of those areas with a very low council tax base, what you are likely to be saying is that, unless you are someone who physically cannot get out of bed . . . you are not going to get any help at all.” What equalisation measures will the Chancellor take to ensure that there is no disparity between local authorities in the funding they receive and the resultant quality of service they can provide?
ParlaMint-GB_2015-12-01-commons.u61	One of the other announcements that the hon. Lady might have missed was the extra £1.5 billion going into an improved better care fund, thanks to this Government. She quotes the vice-chair of the LGA, but she could have quoted the LGA chairman, also a Conservative, who said: “The LGA has long called for further flexibility in the setting of council tax and it is right that Greg Clark and Greg Hands have listened to the concerns set out by local government.”
ParlaMint-GB_2015-12-01-commons.u62	7. What steps the Government are taking to support (a) people with savings and (b) home ownership.
ParlaMint-GB_2015-12-01-commons.u63	8. What steps he is taking to help first-time home buyers.
ParlaMint-GB_2015-12-01-commons.u64	This Government back saving and home ownership. That support is exemplified by the Help to Buy ISA that becomes available today. This new ISA provides direct Government support to anyone saving for the deposit on their first home. For every £200 they save in the ISA, the Government will help them with another £50. Add it up and the Government will give them up to £3,000 towards their first home—all part of a plan to help working people in this country.
ParlaMint-GB_2015-12-01-commons.u65	One of the best ways to help people build up their savings so that they can get a Help to Buy ISA and buy their own home is to make sure that they have good jobs with good wages. What steps will my right hon. Friend take to drive employment in my constituency, which has historically low unemployment, and across the midlands engine?
ParlaMint-GB_2015-12-01-commons.u66	I was in the west midlands yesterday seeing the fantastic investment that Jaguar Land Rover is making there, with Government help. Alongside that we are investing in the west midlands infrastructure. We have just signed an agreement with the authorities of the west midlands, across the political parties, to put more than £1 billion into the region over the next couple of decades. There is a long-term commitment to the midlands engine and the jobs in my hon. Friend’s constituency.
ParlaMint-GB_2015-12-01-commons.u67	It was reported in one of my local papers last month that some areas in Cornwall have seen a 15% rise in house prices over the past year. Will my right hon. Friend outline what additional action is being taken to assist first-time buyers in beautiful parts of the country, such as Cornwall, that are popular with second-home owners? What difference will the increase in stamp duty make?
ParlaMint-GB_2015-12-01-commons.u68	My hon. Friend always speaks passionately on behalf of her constituents—in this case, those seeking to buy their first home. The Help to Buy ISA is, of course, available in Cornwall and will help her constituents buy their first home. The new stamp duty charge on second homes and buy-to-lets will raise money, and a portion of that will be given to local authorities and areas such as Cornwall, where there are quite a lot of second homes.
ParlaMint-GB_2015-12-01-commons.u69	Low interest rates have meant that many people have had to look at other savings vehicles such as buy-to-let. Measures in the Budget will deeply affect the buy-to-let market, as the Chancellor will be aware. What measures is he taking to help elderly people looking for better savings returns?
ParlaMint-GB_2015-12-01-commons.u70	There is general agreement across the House that there should be a level playing field, so that people trying to buy their first home are not disadvantaged by people trying to buy a second home or a buy-to-let property. The changes that we have introduced help to do that. Alongside that, we have made the ISA more generous and have created new pension flexibility, so that people can get the most out of their pension savings. The low interest rates, decided independently by our central bank, are part of the vital support for our economy going forward.
ParlaMint-GB_2015-12-01-commons.u71	20. I acknowledge the work that the Chancellor has done on tackling the bias towards buy-to-let in the housing market, but would he consider extending that by cutting further the tax relief on buy-to-let properties? We simply have to widen the space for first-time buyers so that they can get into the market, particularly in London.
ParlaMint-GB_2015-12-01-commons.u72	I welcome the support that the hon. Lady gives; of course, the problems of getting on to the housing ladder are particularly acute for first-time buyers in London. In the summer Budget, we announced changes to mortgage tax relief for the buy-to-let market so that those on higher rates of tax, with larger incomes, will see that relief scaled back over the coming years. What we have set out now, with the extra stamp duty and the changes in the summer Budget, represents a fair and balanced package for homeowners—those buying a buy-to-let property, but above all those buying their first home.
ParlaMint-GB_2015-12-01-commons.u73	Will the Chancellor explain how first-time homebuyers will benefit from his blueprint “A better deal”—what the Daily Mail calls a “blitz on rip-off” monopolies?
ParlaMint-GB_2015-12-01-commons.u74	I am glad that my hon. Friend has read the document. Part of what we are doing is making sure that mortgage fees are more transparent. Alongside that, we are ensuring that utility bills are more competitive for families and cutting the electricity tariffs that we talked about earlier. We are also making sure that people can get a better deal from their water company. This is all part of driving down costs for families and helping the working people of Britain.
ParlaMint-GB_2015-12-01-commons.u75	What will really support people with home ownership is massively increasing the supply of new homes—not, as the autumn statement does, simply subsidising people to bid up the prices of existing homes. After five and a half years in office, it is time that the Chancellor took some responsibility. He has a woeful record on house building, exacerbating the market failure that has led to restricted supply and consequently high prices. When will the Government increase supply very markedly by starting a real programme of mass house building—of homes for rent as well as to buy?
ParlaMint-GB_2015-12-01-commons.u76	Over the course of this decade we will have built more social homes than in the entire period when the Labour party was in office. Affordable housing should also be housing that people can afford to buy, as well as rent, and we are doubling the housing budget and undertaking the biggest house building programme since the 1970s. It is a shame that the hon. Gentleman was not with me in Wolverhampton yesterday seeing the new jobs being created at the Jaguar Land Rover engine plant as we make sure that we build homes for the people working at that plant.
ParlaMint-GB_2015-12-01-commons.u77	9. What steps he is taking to assist women born between 1953 and 1955 affected by recent changes in pension age qualification.
ParlaMint-GB_2015-12-01-commons.u78	As we remove gender inequality, women born between 1953 and 1955 will receive their state pension at the same age as men, or earlier. The Government have written to all those affected by increases to the state pension age and have acted to ease the timetable, at the cost of £1 billion, ensuring that 81% of all women affected see a rise of a year or less under the Pensions Act 2011. As the Chancellor announced last week, the basic state pension will rise next year by £3.35 to £119.30 a week—the largest real-terms increase for 15 years.
ParlaMint-GB_2015-12-01-commons.u79	It is very good to see the pension going up. However, research by the Pensions Policy Institute and Age UK shows that a third of women in work are ineligible for automatic enrolment into a workplace pension, leaving them at risk of not having a decent income later in life. What research has the Minister or the Department for Work and Pensions carried out in order to understand what difficulties they will have in future?
ParlaMint-GB_2015-12-01-commons.u80	This continues a process that has been going on since the mid-’90s to equalise the state pension age and the process begun in 2011 to increase the state pension to make sure that it can be more affordable overall in terms of its ability to meet our commitments under the triple lock and the big increase I mentioned earlier. I did not hear all of the hon. Gentleman’s question precisely, but I think he mentioned Age UK. The charity director of Age UK said that this big concession is “a significant financial commitment from the Government at a difficult time. This will give a much needed 6 month respite to all the women who would have had to work an extra two years.”
ParlaMint-GB_2015-12-01-commons.u81	10. What progress he has made on his long-term economic plan.
ParlaMint-GB_2015-12-01-commons.u82	The long-term economic plan is securing the UK’s recovery. We were the fastest growing G7 country in 2014 and 2013 and we are joint fastest this year. The deficit has more than halved and the national debt as a share of GDP is set to fall this year. However, the job is not yet done, and the Government will continue working through the plan to ensure Britain’s long-term economic security.
ParlaMint-GB_2015-12-01-commons.u83	In the autumn statement last week, it was great to hear the Chancellor talk about rehabilitating our prisoners. Does the Minister agree that the sale of old Victorian prisons is a prime example of how economic and social reform can go hand in hand, bringing sales to the Exchequer, working positively with prisoners in these prisons, and creating new places for homes in our cities?
ParlaMint-GB_2015-12-01-commons.u84	I know that my hon. Friend has campaigned consistently on these issues since 2010. The justice reforms are an exemplary element of the long-term economic plan, combining savings with social reform and delivering economic dividends from improved employability to sites for 3,000 new homes. It is because of the strength of the economy, thanks to the long-term plan, that we can invest £1 billion to build nine modern prisons and close the old ones.
ParlaMint-GB_2015-12-01-commons.u85	Last night I launched the all-party group on adult education in recognition of the fact that at a time when we are all living longer, having many different jobs and even careers, and whole industries are being allowed to die, our long-term economic security depends on investing in adult education. The Chancellor was persuaded not to slash the further education budget. Will he now acknowledge that investing in further education is vital for the future?
ParlaMint-GB_2015-12-01-commons.u86	The hon. Lady rightly identifies the importance of continuing in further education and the fact that in the modern economy more and more people will have multiple careers through their lives, which means that the availability of retraining is very important. That is why I welcome the protection of this budget and the availability of loans, for example, for part-time students.
ParlaMint-GB_2015-12-01-commons.u87	The Government’s economic plan rightly prioritises infrastructure, and I welcome yesterday’s announcement of a new chairman for Transport for the North. Does my hon. Friend agree that continued investment in Yorkshire and the north is vital to rebalancing our national economy?
ParlaMint-GB_2015-12-01-commons.u88	My hon. Friend is absolutely right. Of course, that is at the heart of the enterprise zones in the north, the city deals and the whole concept of the northern powerhouse—making sure that the cities of the north add up to something that is more than the sum of their parts—and Transport for the North, which he mentioned, is a vital part of that.
ParlaMint-GB_2015-12-01-commons.u89	What assessment has the Minister made of the impact on the long-term economic plan to grow the economy of the promises made and the policies put forward at the green junket in Paris this week in the mistaken belief that piling pounds on to power bills can somehow change the world’s climate?
ParlaMint-GB_2015-12-01-commons.u90	We of course recognise the challenges that come with energy costs, but it is true that the green sector supports a number of jobs in this country. It is very important that we seek to lead on research and development, and the autumn statement was another important step towards that.
ParlaMint-GB_2015-12-01-commons.u91	12. What plans he has to raise the personal allowance during this Parliament.
ParlaMint-GB_2015-12-01-commons.u92	The Government are committed to raising the income tax personal allowance from £10,600 to £12,500 by the end of this Parliament. This is alongside our commitment to raise the higher rate threshold to £50,000. More than 30 million individuals will benefit from these changes. The summer Budget 2015 confirmed that the personal allowance will increase to £11,000 in 2016-17, and to £11,200 in 2017-18.
ParlaMint-GB_2015-12-01-commons.u93	In the light of what my hon. Friend has said, will he reassure me that, as the economy continues to recover and grow, the Government will follow the sound Conservative principle of allowing people to keep more of the money they earn to spend as they wish?
ParlaMint-GB_2015-12-01-commons.u94	Yes. If we are to continue to raise the personal allowance and meet our commitments on income tax, we also need to make sure that we show discipline in departmental spending and, indeed, the welfare budget.
ParlaMint-GB_2015-12-01-commons.u95	13. What assessment he has made of recent trends in the level of employment.
ParlaMint-GB_2015-12-01-commons.u96	With an employment level of 31.2 million, there are more people in work than ever before. Over the past year, employment growth has been driven by full-time employees and by high and medium-skill occupations, showing that we are now moving into the next phase of our recovery, with high-quality employment helping to boost productivity and raise living standards across the country.
ParlaMint-GB_2015-12-01-commons.u97	Against the backdrop of redundancies and potential redundancies in the mining and power sector in my constituency, will the Minister tell the House what support is available to businesses of all sizes in Selby and Ainsty to ensure that the trend of rising employment since 2010 continues?
ParlaMint-GB_2015-12-01-commons.u98	I commend my hon. Friend for his personal endeavours, including the annual Selby district jobs fair. He mentioned energy-intensive industries. We of course recognise the particular challenges that some businesses in those sectors face. We cannot change world price levels, but we will bring forward compensation and legislate to exempt EIIs from renewables policy costs, helping with cash flow and providing greater business certainty. Businesses will of course also benefit from the further cuts to corporation tax and the higher permanent level of the investment allowance.
ParlaMint-GB_2015-12-01-commons.u99	I have been approached by constituents excited to get their first 15 hours a week job, hoping that it will lead to full-time employment. In retail in particular, however, the trend more than two years later is for more part-time employees to be recruited, but no full-time jobs to be given to those in post. Will the Minister look into this matter, and make sure that there are no perverse incentives for employers to create lots of small, part-time jobs without the opportunity for such people to progress?
ParlaMint-GB_2015-12-01-commons.u100	The hon. Lady raises an important point. In fact, full-time workers account for almost three quarters of the employment growth since 2010. The crucial reform in the welfare and social security system is of course universal credit, which specifically seeks to get over the spikes found in the hours scale so that it always pays to move from being out of work into work and, crucially, to move up the hours scale.
ParlaMint-GB_2015-12-01-commons.u101	14. What recent estimate he has made of the level of household debt.
ParlaMint-GB_2015-12-01-commons.u102	Since the financial crisis, households’ financial positions have improved. Household debt as a proportion of income has fallen to 144% in the second quarter of 2015, down from a peak of 168% in the first quarter of 2008.
ParlaMint-GB_2015-12-01-commons.u103	I thank the Minister for her response, but a large number of my constituents have been alarmed that mistaken overpayments of working tax credits made by Her Majesty’s Revenue and Customs have been recovered, without warning, from their child tax credit entitlements. Is the Department’s policy now to push people into poverty and debt by punishing them for HMRC’s mistakes?
ParlaMint-GB_2015-12-01-commons.u104	The hon. Lady might remember the terrible roll-out of working tax credits that occurred when the Labour Government were in power. I can assure her that we will continue to improve the administration of tax credits. When her party was in power, people could have a £25,000 change in their income without it affecting their tax credits. We have brought the figure down to £2,500.
ParlaMint-GB_2015-12-01-commons.u105	The hon. Member for Havant (Mr Mak) looks animated and contented. Let’s hear from the fellow.
ParlaMint-GB_2015-12-01-commons.u106	Thank you, Mr Speaker. Household debt will be kept low, thanks to the Government’s support for savers, including the Help to Buy ISA that was launched today. Will the Minister join me in encouraging first-time buyers and young savers to take advantage of this new Government support, which is part of the Government’s long-term economic plan?
ParlaMint-GB_2015-12-01-commons.u107	I am delighted that, on behalf of his constituents in Havant, my hon. Friend has noticed that the Help to Buy ISA scheme launches today. Fourteen financial institutions are already offering this exciting new opportunity to save for a home, and I hope that many of his constituents will take advantage of it.
ParlaMint-GB_2015-12-01-commons.u108	22. Citizens Advice has noted that household bills are now the chief source of the problem debt that people are seeking its help with. What will the Government do to ensure that guarantor and logbook loans are properly regulated, so that they do not simply replace payday loans as a source of poorly regulated credit that exploits the low-paid and the vulnerable?
