ParlaMint-GB_2015-03-23-commons.u1	1. What her policy is on the net migration target; and if she will make a statement.
ParlaMint-GB_2015-03-23-commons.u15	Our law enforcement and intelligence agencies continue to face a decline in their ability to obtain the communications data they need. This is caused by the use of modern technology and changes in the way in which people communicate. We believe that further changes to the law are needed to maintain capabilities. We cannot let cyberspace become a haven for terrorists and criminals.
ParlaMint-GB_2015-03-23-commons.u16	Can my hon. Friend assure me that the next Conservative Government will introduce the appropriate legislation to restore our declining communications data capability?
ParlaMint-GB_2015-03-23-commons.u17	It is very clear that although this Government have taken some steps to close the gap, significant gaps remain. The Joint Committee on the draft Communications Data Bill identified that, but we have not been able to bring those measures through in this Parliament. We need to remedy that. Given that about 95% of serious crime cases involve the use of communications data, those measures are an essential tool in fighting crime, and we are determined to take further action to close the gap and make sure that our police and security agencies have the powers they need.
ParlaMint-GB_2015-03-23-commons.u18	What discussions has the Minister had with the Scottish Government in relation to the risk and responsibility for communications data?
ParlaMint-GB_2015-03-23-commons.u19	On issues of national security, there are reserved powers. We therefore retain that focus on ensuring that security is assured. Clearly, communications data and other measures play an important part. I am sure that discussions with others, including devolved Administrations, will take place in future, but ultimately this is a matter for the UK Government.
ParlaMint-GB_2015-03-23-commons.u20	The Minister and his boss must be aware that our police, under-resourced as they now are, are still in a mode of fighting traditional crime. Cybercrime, as we all know, has been the great challenge. Throughout the country we are unequipped to deal with it, and it is what most citizens will face in the form of fraud and other criminal activity.
ParlaMint-GB_2015-03-23-commons.u21	This Government have invested heavily in capabilities to deal with cybercrime through the establishment of the new cybercrime unit in the National Crime Agency and the work of police forces throughout the country to ensure that we have the digital forensics—the digital information to fight the new crime types. The hon. Gentleman clearly does not recognise the important achievements of this Government in cutting crime, at a time of having to save money to deal with the deficit that we inherited from Labour.
ParlaMint-GB_2015-03-23-commons.u22	3. If she will conduct a review of the effectiveness of anti-radicalisation programmes.
ParlaMint-GB_2015-03-23-commons.u23	We continually monitor and evaluate the Channel programme to ensure its effectiveness. Through the Counter-Terrorism and Security Act 2015 we have placed the programme on a statutory basis. The duty aims to secure local co-operation and delivery in all areas and we, of course, work closely with international partners to make sure that we are sharing expertise and best practice in tackling extremism and radicalisation. I have today published the latest annual report on our counter-terrorism strategy, Contest, alongside the annual report on the serious and organised crime strategy, and copies of both reports will be made available in the Vote Office.
ParlaMint-GB_2015-03-23-commons.u24	How many people returning from Syria have gone through the deradicalisation programme, and how many people in total have gone through that programme?
ParlaMint-GB_2015-03-23-commons.u25	More than 2,000 people have gone through Channel since it was rolled out nationally in 2012, and hundreds have been offered support. This is dealt with case by case. It is not appropriate for everybody to be put into the Channel programme, but it has been effective and we are seeing significant numbers of people referred to it.
ParlaMint-GB_2015-03-23-commons.u26	I welcome my right hon. Friend bringing clarity about what is and what is not acceptable in the context of radicalisation and extremism. In an environment where our press and media are prone to hysterics and have the capacity to achieve the objectives of the enemies of our society by sowing fear and anxiety where none need exist, will she continue to proceed calmly and on the basis of the evidence?
ParlaMint-GB_2015-03-23-commons.u27	My hon. Friend makes a very important point about proceeding on the basis of the evidence. I am grateful for his comments about remarks that I made earlier today about the necessity for us to develop a wider partnership to counter extremism across its broadest spectrum so that we can deal with the hateful beliefs that the extremists are propagating.
ParlaMint-GB_2015-03-23-commons.u28	I too welcome the Home Secretary’s comments in her speech this morning. Only by working with communities are we able to tackle this problem. I also commend the Metropolitan police and Turkish authorities for bringing back to London the three young men from Brent. It is sad that we missed the opportunity of doing this with the four young girls from Bethnal Green. What is the message to families to get them to report areas of concern so that they do not feel stigmatised if they do so?
ParlaMint-GB_2015-03-23-commons.u29	I am grateful to the right hon. Gentleman for his comments about my speech. He is right. As I made clear in that speech, Government cannot deal with this alone; we need to work with families, communities and civil society. The message that the Government have given to families consistently in relation to those who might be travelling to Syria to get involved in terrorist-related activity, or to be with terrorist groups, is that the sooner they can give information to the authorities, the easier it is to work with them to ensure that their young people are not put into that danger.
ParlaMint-GB_2015-03-23-commons.u30	In the all-party group on Islamophobia we have heard countless times of the need to offer more support to the mothers of young Muslims who fear that their children might be in danger of being radicalised. What specific efforts are being made to support the mothers who are tackling this issue?
ParlaMint-GB_2015-03-23-commons.u31	My hon. Friend makes a very important point. I am pleased to have been involved with two civil society organisations that have been working with families—particularly, in one case, with women. FAST—Families Against Stress and Trauma—is giving support to families whose young people may have travelled and helping them to prevent young people from travelling. Inspire’s “Making A Stand” programme is about Muslim women up and down this country saying that radicalisation is not taking place in their name, and working together as Muslim women to ensure that their young people are not radicalised.
ParlaMint-GB_2015-03-23-commons.u32	The Home Secretary said this morning, and has just reiterated, that she wants a new partnership on Prevent between communities, individuals, civil society and Government. When she came into government, she inherited 93 Prevent areas, which she cut to 23 and then put up to 30. She now says she wants 50, and they might go up to 90, so we are going back to where we started five years ago. Why the rollercoaster in such an important area for this country?
ParlaMint-GB_2015-03-23-commons.u33	No, we are not going back to where we started. First, the hon. Lady has made a fundamental mistake in her question in saying that my speech this morning related to Prevent. It did not; it related to the new counter-extremism strategy that the Government are introducing. Secondly, when we came into government we found that the Labour Government were funding extremist organisations, and members of the Labour party were standing on platforms embracing extremist hate preachers. Government Members take a very different view.
ParlaMint-GB_2015-03-23-commons.u34	4. What assessment she has made of the effectiveness of the police response to domestic abuse.
ParlaMint-GB_2015-03-23-commons.u35	Domestic abuse is an appalling crime, and this Government are determined that the police response is the best it can be. The Home Secretary commissioned Her Majesty’s inspectorate of constabulary to review the response to domestic abuse across police forces in England and Wales. We are driving change through a national oversight group. All 43 forces have action plans on domestic abuse. In November, HMIC highlighted the commitment of forces to improving their response.
ParlaMint-GB_2015-03-23-commons.u36	This Government have a truly terrible record on tackling domestic abuse, whether it is closing specialist courts, restricting legal aid, or failing to prosecute. There is a rising number of offences, but since they came into office there have been 4,000 fewer prosecutions. What are they going to do about that?
ParlaMint-GB_2015-03-23-commons.u37	I totally refute the hon. Gentleman’s assertions. This Government have a record to be proud of in the work we have done on domestic abuse, not just the ring-fencing of stable funding of £40 million but the introduction of new laws, protection orders, and measures on stalking abuses. We have done more in the five years we have been here than the Labour Government before us did in all their 13 years. What is more, I seem to recall that Labour Members are not proposing to reverse any of the legal aid cuts, and we have preserved legal aid for cases in which domestic abuse plays a part.
ParlaMint-GB_2015-03-23-commons.u38	On legal aid for victims of domestic violence, I and other colleagues have come across women who are victims but who have had to fork out from their own pockets, and some have just given in after spending too much, moving too often and finding that the system does not work. Surely the Minister must acknowledge that there is a problem. What is she going to do about it?
ParlaMint-GB_2015-03-23-commons.u39	I reiterate that the £2 billion annual cost of legal aid, combined with the economic circumstances left by Labour, meant that hard choices had to be made. Labour was also committed to reducing legal aid. We have retained legal aid in key areas impacting on women, particularly with regard to injunctions to protect victims from domestic abuse and in private family law cases where domestic abuse is a feature.
ParlaMint-GB_2015-03-23-commons.u40	5. What steps her Department is taking to tackle extremism.
ParlaMint-GB_2015-03-23-commons.u41	6. What steps her Department is taking to tackle extremism.
ParlaMint-GB_2015-03-23-commons.u42	Today I delivered a speech on the challenge of extremism in which I set out the need to develop a better understanding of the threat from extremism; to promote more assertively our values and the proposition that everybody living in this country is equal and free to lead their lives as they see fit; to ensure an effective response from the state; and to build up the capacity of civil society to identify, challenge and defeat extremism. I made it clear that the challenge to the extremists must be centred on a new partnership consisting of every single person and organisation in our country that wants to defeat extremism.
ParlaMint-GB_2015-03-23-commons.u43	In the light of recent incidents, including that of the three young London girls who travelled to Syria, does the Secretary of State have any plans to set up a hotline for parents concerned about extremism, so that they can seek professional advice if they believe their children could be at risk, as is the case in Australia?
ParlaMint-GB_2015-03-23-commons.u44	There are a number of opportunities available to families to report concern, including the anti-terrorist hotline. The Metropolitan police also made a further call to families last week to encourage them to report as early as possible, and organisations such as Families Against Stress and Trauma are actively working in communities to help people understand what they need to do when they are concerned about their children.
ParlaMint-GB_2015-03-23-commons.u45	Will my right hon. Friend assure me that the next Conservative Government will introduce new powers to tackle extremists and groups that spread hate but do not break existing laws?
ParlaMint-GB_2015-03-23-commons.u46	My hon. Friend raises an important point. We have looked at addressing the issue of those people and groups who act in a way that does not meet the current proscription threshold, and we will, indeed, introduce extremist banning orders and extremist disruption offers, which will do exactly what my hon. Friend says.
ParlaMint-GB_2015-03-23-commons.u47	In her response to the hon. Member for Gillingham and Rainham (Rehman Chishti), the Home Secretary referred to the three girls from Bethnal Green academy. When the first girl left in December, what specific assistance was given to the school by the Home Office?
ParlaMint-GB_2015-03-23-commons.u48	Following the first girl leaving in December, assistance was given to the school by the local Prevent co-ordinator and the local authority’s schools officer, who went into the school to make arrangements for extra training to be given.
ParlaMint-GB_2015-03-23-commons.u49	What steps is the Home Secretary taking to encourage police forces to record accurately and comprehensively incidences of Islamophobia and hate crimes against Muslim victims, which Greater Manchester police is already doing?
ParlaMint-GB_2015-03-23-commons.u50	The hon. Lady raises a very important point. The approach to recording hate crime has developed over the past five years and I am pleased that we are now able to see much more clearly what is happening. I was very clear in my speech today that this is an issue for a future Government, but a future Conservative Government would require the police to record anti-Muslim incidents as well as anti-Semitic incidents.
ParlaMint-GB_2015-03-23-commons.u51	7. What steps her Department is taking to tackle organised crime.
ParlaMint-GB_2015-03-23-commons.u52	The Government are committed to tackling the threat of serious and organised crime. In 2013 we launched a comprehensive new strategy and a powerful new crime-fighting organisation—the National Crime Agency—which are already making a difference. We continue to strengthen our response through the Serious Crime Act 2015, the Modern Slavery Bill and strategy, and the anti-corruption plan. We have also forged new collaborative relationships with the private sector to tackle money laundering and to combat online child sexual exploitation
ParlaMint-GB_2015-03-23-commons.u53	The National Crime Agency has clearly had a good start, with 300 convictions in just the first six months. Will my hon. Friend confirm that the Serious Crime Act 2015 will ensure that the National Crime Agency continues to have the resources and powers to address serious and organised crime?
ParlaMint-GB_2015-03-23-commons.u54	I thank my right hon. Friend for his question. He is right that the National Crime Agency has made a good start. We have looked carefully at where powers are needed to increase the weapons that it has in its arsenal, and the Serious Crime Act really assists the National Crime Agency and other police forces in making sure that they can tackle particularly criminal finances to stop the Mr Bigs keeping hold of their money.
ParlaMint-GB_2015-03-23-commons.u55	One of the most serious forms of organised crime is child sexual exploitation. The National Crime Agency was given information over a year ago about 20,000 people who had downloaded abusive images of children. Twelve months later, only 2% have been fully investigated or charged. What has happened to the other 98%? With that kind of backlog of CSE cases, does the Home Secretary really think that this is the right time to cut thousands more police?
ParlaMint-GB_2015-03-23-commons.u56	The hon. Lady disappoints me. We have had this conversation on several occasions. The fact of the matter is that the National Crime Agency, through Operation Notarise and others, has protected more children from abuse than any other agency, and it is ensuring that children at risk of abuse are looked after and protected in a way that has never happened before.
ParlaMint-GB_2015-03-23-commons.u57	Does my hon. Friend agree that one of the signal successes of the NCA is that it has made more than 600 arrests in dealing with online child sexual exploitation through the operation that she has just mentioned? Will she assure the House that this will continue to be a high priority, not just for the NCA but for each individual local force?
ParlaMint-GB_2015-03-23-commons.u58	My right hon. Friend, who has considerable experience in this area, will know full well that the National Crime Agency and local police take this issue incredibly seriously. Bringing the Child Exploitation and Online Protection Centre into the National Crime Agency, as a command within it, has increased both capability and capacity to consider such crime and to make sure that we find those criminals who want to hurt our children and prevent them from doing so.
ParlaMint-GB_2015-03-23-commons.u59	8. What steps she is taking to reduce crime rates.
ParlaMint-GB_2015-03-23-commons.u60	Police reform is working, and crime is down by more than a fifth under this Government, according to the crime survey for England and Wales. We are taking decisive action to cut crime and protect the public, including through working with the National Crime Agency. We are tackling the drivers of crime, including through our drug and alcohol strategies, and we have intensified our focus on issues such as violence against women and girls, gangs and sexual exploitation.
ParlaMint-GB_2015-03-23-commons.u61	I thank the Minister for that answer. While police funding has been cut by about a fifth, police-recorded crime has fallen by 14%, and by 28% across Elmbridge in my constituency. Will she join me in commending front-line officers in Surrey and across the country for the great job they are doing? Does that fall not demonstrate how vital reform is, and that public services cannot be judged only by the amount of money going in?
ParlaMint-GB_2015-03-23-commons.u62	I am happy to join my hon. Friend in commending front-line officers in Surrey, and I congratulate all police forces that, with their police and crime commissioners, are rising to the challenge of driving efficiency and cutting crime. Effective policing plays a key part in reducing crime, and PCCs are ensuring that forces focus on the issues that matter most to local people. My hon. Friend is right that money is not the only thing that we need in order to cut crime; dedicated officers are our greatest resource.
ParlaMint-GB_2015-03-23-commons.u63	There is no doubt that the huge increase in the use of so-called legal highs has an impact on crime rates. I have seen that in my constituency. The Government have agreed to ban legal highs, but have not yet acted to do so. Will the Government take action in this Parliament, and if not, why not?
ParlaMint-GB_2015-03-23-commons.u64	Given that this Government have actually banned and outlawed 500 legal highs, I do not think it is accurate to say that we have taken no action. We obviously want to move to a general ban on legal highs—lethal highs, as I call them—and that is on the shelf, ready for the new Government.
ParlaMint-GB_2015-03-23-commons.u65	There is a glaring difference between the Government’s complacency and the City of London police commissioner’s view that online crime is growing exponentially. Does the Minister agree with the Office for National Statistics that if all bank and credit card fraud were included, the statistics would show that overall crime was up by 50%?
ParlaMint-GB_2015-03-23-commons.u66	I am having a lot of disagreements with the Labour party today. The ONS is working to incorporate measures of cybercrime in the main crime survey. It looked at this issue specifically and said, when it published the latest crime figures, that it had found that although there may have been some movement by criminals into fraud and cybercrime, it certainly had not been enough to offset the substantial falls in traditional crimes, such as burglary and vehicle theft, over the past 20 years. Action Fraud’s reporting is up. That is a specialist reporting agency. We are acting on fraud.
ParlaMint-GB_2015-03-23-commons.u67	10. What steps she is taking to encourage police and crime commissioners to support early intervention programmes.
ParlaMint-GB_2015-03-23-commons.u68	As part of the work of the Home Office crime prevention panel, the Early Intervention Foundation and the College of Policing recently launched new guidance to help front-line police support early intervention. The police and crime commissioners from Dorset, Lancashire and Staffordshire were involved in the development of the guidance.
ParlaMint-GB_2015-03-23-commons.u69	May I ask the Minister to do something very practical? We are grateful that she launched the report, but will she ensure that every single police and crime commissioner and every single chief constable gets a copy of it so that they can not only reduce crime by cutting down dysfunction in the population early on in life, but save the taxpayer a lot of money through not having to invest money late on through late intervention?
ParlaMint-GB_2015-03-23-commons.u70	The early intervention guidance for police will provide invaluable support in stopping potential criminals before they commit crimes, which will save the police a great deal of work in the long term. The guidance is already available online. We encourage all police officers, police community support officers, chief constables and PCCs to read it. I am happy to take up his suggestion if I have time, because the more officers have access to it, the better. I am sure that we can get it done before Thursday.
ParlaMint-GB_2015-03-23-commons.u71	11. What recent discussions she has had with police unions and associations on the effect of changes to police budgets on frontline staff.
ParlaMint-GB_2015-03-23-commons.u72	The Home Secretary and I hold regular bilateral meetings with police work force representatives. I have said since day one as the police Minister that my door is always open to those representatives.
ParlaMint-GB_2015-03-23-commons.u73	The Minister will know, then, what pressure front-line policing is under. The Government promised to protect and even increase front-line policing numbers, yet 8,000 front-line jobs have gone. Why will the Home Office not look at alternative ways of saving money, such as introducing better procurement practices or scrapping police and crime commissioners, rather than pursuing plans to axe yet another 20,000 officers?
ParlaMint-GB_2015-03-23-commons.u74	I would have thought that the hon. Lady would have praised the work that is being done by Avon and Somerset police, rather than following the party line. In her constituency there has actually been a 5% increase in front-line officers, who are not doing back-room work, and a 21% cut in crime.
ParlaMint-GB_2015-03-23-commons.u75	Avon and Somerset police have indeed done very well. However, an understandable operational response to difficult budgets is to withdraw policing from rural areas, which empirically have a lower level of crime. That is understandable, but wrong. Will the Minister reassure me that he will tell all police forces that they have a duty to people who live in rural areas? Those people must not think that they are being exposed to crime or abandoned by the forces of law and order.
ParlaMint-GB_2015-03-23-commons.u76	I assure my right hon. Friend that each time I go into any force I say to anybody who listens to me not only that it is their duty to address rural crime—my constituency has large rural areas—but that all crime, no matter where it is, needs to be detected and prosecuted.
ParlaMint-GB_2015-03-23-commons.u77	12. What her policy is on the minimum income threshold requirement for people wishing to sponsor their partner’s visa to settle in the UK.
ParlaMint-GB_2015-03-23-commons.u78	The minimum income threshold of £18,600 for sponsoring a partner under the family immigration rules ensures that couples who wish to establish their family life in the UK can stand on their own feet financially. The requirement prevents burdens on the taxpayer and promotes integration. It has been upheld by the Court of Appeal and is helping to restore public confidence in the immigration system.
ParlaMint-GB_2015-03-23-commons.u79	The Minister has just asserted that the purpose of the minimum income threshold is to ensure that a spouse from overseas who comes to live here is not a burden on the taxpayer. However, at £18,600, the threshold is more than £3,000 higher than the living wage. Does he not think that it should be reviewed to ensure that the original purpose of the minimum income threshold is what counts and that it does not discriminate against those on the living wage or below, or against people who happen to live in the wrong part of the country?
ParlaMint-GB_2015-03-23-commons.u80	As the hon. Gentleman knows, the income threshold was set on the basis of advice given to the Government by the Migration Advisory Committee, which considered this issue in great detail to assess the appropriate level. Perhaps he will find interesting the fact that the 2014 annual survey of hours and earnings for the Office for National Statistics showed that median earnings of those in full-time employment were appreciably higher than £18,600 in all parts of the UK.
ParlaMint-GB_2015-03-23-commons.u81	In practice, the length of time in which a sponsor is required to demonstrate that they have met the minimum income threshold is driving families apart. Would it be sufficient for a sponsor to demonstrate that they have secured permanent employment on such a salary, and not have a situation where several months have to pass with someone providing bank statements to show their income, during which time their partner is separated from them?
ParlaMint-GB_2015-03-23-commons.u82	Migrant partners with an appropriate job offer can apply to come to the UK under tier 2 of the points-based system, and those using the family route to come to the UK must be capable of being independently supported by their sponsor, their joint savings, or non-employment income. We have considered the issue in an appropriate way to ensure that people are not a burden on the taxpayer, and I underline again that the system has been tested and upheld in the courts.
ParlaMint-GB_2015-03-23-commons.u83	Has the Minister made any assessment of the minimum age of sponsors as well as minimum income, because the two factors often relate to each other?
ParlaMint-GB_2015-03-23-commons.u84	The hon. Gentleman will no doubt be aware that the minimum age for spouse visa applicants and sponsors was increased to 21 in 2008, and the Government defended that position. The Supreme Court found in 2011 that although the Secretary of State was pursuing a legitimate and rational aim in seeking to address the problem of forced marriages —the hon. Gentleman will know that such issues exist—increasing the minimum marriage visa age from 18 to 21 disproportionately interfered with the right to a family life under article 8 of the European convention of human rights. We keep such issues under close review, but they are complex.
ParlaMint-GB_2015-03-23-commons.u85	Will the Minister think again about this whole policy? It is cruel on children who are denied the right to live with their parents, contrary to the principles of the conventions on human rights, and really not necessary. Its only effect is that of hurting the very people who should not be hurt because of it.
ParlaMint-GB_2015-03-23-commons.u86	While ensuring sufficient resources so that those arriving are supported at reasonable levels, the minimum income threshold is also intended to ensure that family migrants can participate sufficiently in every-day life to facilitate their integration into British society. That is one of the fundamental purposes of the policy, and I think that is right.
ParlaMint-GB_2015-03-23-commons.u87	13. What discussions she has had with the Secretary of State for Scotland on the potential introduction of a scheme to allow international students graduating from Scottish further and higher education institutions to remain in Scotland to work for a defined period of time.
ParlaMint-GB_2015-03-23-commons.u88	My right hon. Friend the Home Secretary meets colleagues regularly for discussions on a range of issues, including how we can continue to attract the brightest and best to study here while bearing down on abuse.
ParlaMint-GB_2015-03-23-commons.u89	The recommendation comes as part of the Smith agreement. It recognises that the higher education sector is a multi-billion pound industry, and Edinburgh university is one of the most successful participants in that. More than 10,000 foreign students are now studying at Edinburgh, generating some of the highest quality research in the UK. Does the Minister agree that keeping more of those excellent students in the UK while their research is commercialised would be of enormous benefit, not just to the Scottish economy but to the UK as a whole?
ParlaMint-GB_2015-03-23-commons.u90	My hon. Friend will know that the Russell Group of universities, of which Edinburgh is a member, has seen a 30% increase in the number of applications from overseas students since 2010, showing that studying in the United Kingdom is an attractive offer to students. There is no cap on the number of students who can stay in the UK after completing their degree, provided they have a graduate-level job, get an internship or become a graduate entrepreneur.
ParlaMint-GB_2015-03-23-commons.u91	The Minister will have seen the Scottish Government’s post-study work working group, which recommends that a post-work study visa is reinstated for a wide range of people, including businesses, education and student representatives. Will the Minister consider that or will she ignore it again? What can the Scottish people do to progress that agenda and ensure that our economy and higher education institutions benefit?
ParlaMint-GB_2015-03-23-commons.u92	What the Scottish people can do is clear: stay part of the Union. I repeat that there is no cap on the number of graduates who can stay on after their studies, provided they have a graduate job, an internship or a graduate entrepreneurship.
ParlaMint-GB_2015-03-23-commons.u93	The Minister will be aware of the reduction in the number of students from the Indian subcontinent. One of the major reasons for that is that they are unable to remain in the United Kingdom for a few years to work and to pay off their fees. This policy, therefore, discriminates against those who come from poorer nations, rather than those from richer families.
ParlaMint-GB_2015-03-23-commons.u94	I repeat that since 2010 there has been an increase in the number of visa applications from overseas students. It is difficult to say what the drivers are for our seeing more students from some countries and fewer from others. For example, we are seeing a significant increase in the number of students from China, which indicates that it is not the reforms that are stopping people coming.
ParlaMint-GB_2015-03-23-commons.u95	14. What assessment she has made of the financial condition of police forces in England and Wales.
ParlaMint-GB_2015-03-23-commons.u96	The Home Secretary and I have made it clear that there is no question but that the police will have the resources to do their important work. Her Majesty’s inspectorate of constabulary has reported that forces up and down the country are reducing crime and protecting communities, while balancing their books.
ParlaMint-GB_2015-03-23-commons.u97	Since 2010, Lancashire police has lost 700 posts and 11 police stations have been closed due to £60 million-worth of cuts, with more to come. Offences such as burglary, theft and violence are all on the rise. The Lancashire Police Federation says that the police are at breaking point. Will the Minister please apologise to the people of West Lancashire for failing to honour his promise to protect front-line policing?
ParlaMint-GB_2015-03-23-commons.u98	I like the hon. Lady—I get on with her really well—but she should apologise to her constituents for not mentioning that crime is down by 9% in her constituency and across Lancashire, something we should all be very proud of.
ParlaMint-GB_2015-03-23-commons.u99	On Friday night, I went out with the very impressive section 136 team at Worthing police. The initiative, under which community psychiatric nurses go out on patrol with the police, is being piloted in Sussex. Given that up to two thirds of police call-outs are estimated to relate to mental health and substance abuse problems, this has the potential to free up a lot of police time and save a lot of money. These pilots really work, so will they be rolled out across the whole country?
ParlaMint-GB_2015-03-23-commons.u100	That pilot and other pilots around the country are working. I have seen them myself. It is our intention to continue to roll them out. We are working enormously closely in particular with the mental health team in the Department of Health. I have seen dramatic changes not only in my constituency but around the country. There are people who should not be in cells and should not be arrested. They should be in a place of care, where they need to be. That is what we expect to happen.
ParlaMint-GB_2015-03-23-commons.u101	My Greater Manchester police force has had to make savings of £145 million in the five years to 2015, and has lost more than 1,300 police officers as a result. Across the country, the picture is pretty similar. Will the Minister say whether, as a result of the changes to police forces, response times have improved or got worse on his watch?
ParlaMint-GB_2015-03-23-commons.u102	What has happened on the Home Secretary’s watch and on my watch is that crime in the hon. Gentleman’s constituency is down by 20%, something that is forgotten every time Labour Members stand up in this House.
ParlaMint-GB_2015-03-23-commons.u103	15. What assessment she has made of the adequacy of the number of police officers in Lancashire.
ParlaMint-GB_2015-03-23-commons.u104	Crime has fallen by a fifth across the country and by 9% in my right hon. Friend’s constituency. That is because we have proved that more can be done with less. We should be very proud of police forces across the country, particularly in Lancashire.
ParlaMint-GB_2015-03-23-commons.u105	Unlike the hon. Member for West Lancashire (Rosie Cooper), I want to praise the work of the Lancashire constabulary in my county, where crime has gone down by 19% since 2011. Antisocial behaviour is down by 35.8% and robbery in the past 12 months is down by 47%, which is a remarkable figure. Will the Minister assure the House that the Lancashire constabulary will, under a Conservative Government, have sufficient resources to carry on doing its great work in the next five years?
ParlaMint-GB_2015-03-23-commons.u106	Not only will we guarantee that, we will continue to roll out the specialist equipment that is helping the police day in, day out, especially body-worn cameras. They are ensuring that more people in the community are protected, the officers are protected and we get more convictions, something I expect to see in Lancashire, as well as in the rest of the country.
ParlaMint-GB_2015-03-23-commons.u107	16. What recent steps she has taken to tackle sham marriages.
ParlaMint-GB_2015-03-23-commons.u108	This month, the Government introduced a new scheme to tackle sham marriages and sham civil partnerships allowing the Home Office to investigate suspected sham cases under an extended 70-day notice period. Since April 2014, we have intervened in more than 2,000 suspected sham marriages, and last year 30 organised crime groups involved in arranging sham marriages were disrupted, with many receiving long custodial sentences.
ParlaMint-GB_2015-03-23-commons.u109	Will my hon. Friend update the House on the number of people he expects this country to protect itself against following the introduction of these new powers?
ParlaMint-GB_2015-03-23-commons.u110	This has been a priority for me since I took on the immigration responsibilities last year. We will take strong action, including prosecution and seizure of assets. As for an update, this financial year we have undertaken more than 2,000 operations, resulting in 1,200 arrests and more than 430 removals, which compares with 327 sham marriage operations, resulting in 67 arrests in 2010, showing that, unlike the last Government, this Government are committed to this issue.
ParlaMint-GB_2015-03-23-commons.u111	17. What the level of crime was in Northamptonshire in (a) May 2010 and (b) March 2015.
