ParlaMint-GB_2015-02-11-commons.u1	1. What recent representations he has received on religious organisations and charitable status.
ParlaMint-GB_2015-02-11-commons.u39	As was the case under the last Government, appointments to public bodies are made on merit by Ministers after a fair and open selection process regulated by the Commissioner for Public Appointments. We have taken unprecedented steps to open up the public appointments process to new talent, slimming down the application process, placing an emphasis on ability rather than prior experience, and increasing awareness. In the first six months of the current financial year, 44% of new public appointments made by Whitehall Departments were women, compared with about a third under the last Government.
ParlaMint-GB_2015-02-11-commons.u40	The Minister knows that, following the fiasco of the Home Secretary’s attempt to appoint a chairman of the inquiry into child abuse allegations, there is a sense that there is a black book or a secret list, dominated by the metropolitan elite. They are all from London, they all know each other, and they all went to school together. When will the Government open up the secret list, and let us know how people get on it?
ParlaMint-GB_2015-02-11-commons.u41	As I have said, we have moved significantly towards our aim of ensuring that 50% of public appointments are of women. I recently hosted events organised in Birmingham and Leeds to encourage people from outside London to express interest and apply for such roles, and I am delighted to say that there was a huge amount of interest. We will continue down that path. [Interruption.]
ParlaMint-GB_2015-02-11-commons.u42	Order. A great many very noisy private conversations are taking place in the Chamber. We should have a bit of order, not least so that we can hear the Chair of the Public Administration Committee, Mr Bernard Jenkin.
ParlaMint-GB_2015-02-11-commons.u43	7. What plans he has to improve the effectiveness of his Department in co-ordinating planning and implementation across Government Departments.
ParlaMint-GB_2015-02-11-commons.u44	That is a question on which the Public Administration Committee has focused for a long time, and very welcome it is too The creation of the implementation unit in the Cabinet Office has done a great deal to increase implementation capabilities throughout the Government, and I am glad to say that we have launched a series of other initiatives to bring Departments together. We have created the better care fund, the stabilisation unit, the international energy unit and the troubled families programme, and we intend to continue the process.
ParlaMint-GB_2015-02-11-commons.u45	During the inquiry that we conducted on future challenges facing the machinery of Whitehall, we found that, so far, the Government have been very good at imposing departmental spending limits, but there is a capability deficit when it comes to cross-departmental financial planning and management. How do the Government propose to address that?
ParlaMint-GB_2015-02-11-commons.u46	I agree that it needs to be tackled. I think that the most signal example is the relationship between local authorities—in particular, adult social care departments—and the health service. We are now focusing on that above all, and trying to prevent circumstances in which a failure to pool budgets leads to worse results for patients. I think that we shall then have a model that we will try to use in many other areas.
ParlaMint-GB_2015-02-11-commons.u47	Does the Minister have any discussions with other Departments about the closure of offices? Offices are being closed in my constituency, and that would clearly not be happening if efficiency were the criterion. What co-ordination does the Minister apply to the closure of offices in the areas that need them most?
ParlaMint-GB_2015-02-11-commons.u48	In recent years, my right hon. Friend the Minister for the Cabinet Office has had the unique distinction of having made public services more efficient by finding vast efficiency savings, which have amounted to some £20 billion a year in the current Parliament. Had the last Government followed such a lead, we might not have been in the dire situation in which we found ourselves in 2010, and the need for our long-term economic plan might not have been as great as it was.
ParlaMint-GB_2015-02-11-commons.u49	T1. If he will make a statement on his departmental responsibilities.
ParlaMint-GB_2015-02-11-commons.u50	My responsibilities are for efficiency and reform, civil service issues, public sector industrial relations strategy, Government transparency, civil contingencies, civil society and cyber-security.
ParlaMint-GB_2015-02-11-commons.u51	Today’s National Audit Office report on late payment says that the Government’s policy to pay invoices more quickly risks boosting the working capital of the main contractors rather than benefiting small businesses down the supply chain. Why then did the Government on three separate occasions refuse to adopt amendments I tabled ensuring that small businesses all the way down the supply chain would have been paid on time?
ParlaMint-GB_2015-02-11-commons.u52	We have gone infinitely further than any previous Government ever did to ensure that payment is speeded up through the creation of project bank accounts and inserting into main suppliers’ contract terms a requirement that they pay quickly as well, because the concern is a very real one. Small businesses can end up being starved of cash and it is not acceptable, so we are driving much better practice through these legal obligations. The situation is better than it was, but there is much more still to do.
ParlaMint-GB_2015-02-11-commons.u53	T2. May I congratulate and thank my right hon. Friend on having secured a 4.3% increase in public service productivity in the first three years of his watch, by contrast with the zero growth over the previous 13 years? What further measures does he plan to take to increase public sector productivity?
ParlaMint-GB_2015-02-11-commons.u54	I am grateful to my hon. Friend for his comments. There is much more to do. According to the Office for National Statistics, public sector productivity remained flat throughout the Labour years and it has started to increase, but there is much more that we need to do. We have said further savings and reductions in the cost of delivering public services can be made while the quality of the service increases. We have shown over this period that we can do more for less, but we are going to need to continue with redoubled effort in the future.
ParlaMint-GB_2015-02-11-commons.u55	Given his laudable aims to improve access to Government contracts for small business, is the right hon. Gentleman as disappointed as I am about revelations in The Independent today that Capita faces allegations of using a major Government contract to short-change small companies, forcing many out of business? He described this contract as a model of how to open up the public sector, yet it has catastrophically failed. Given his championing of the Maude awards for failure, will this contract be a winner of such an award, and what lessons has he learned from this contract?
ParlaMint-GB_2015-02-11-commons.u56	We have learned a lot of lessons from this contract, and I absolutely am as disappointed as the hon. Lady. It should not be working like this. I am aware of the concerns and we are investigating them very rapidly to get remedial action; it is not acceptable.
ParlaMint-GB_2015-02-11-commons.u57	T3. The framework agreement for public procurement of infrastructure in the south-west provides that the bidder that gets closest to the average tender price, not the cheapest, gets the job. Will my right hon. Friend look into this matter, because it seems to me that this is wasting taxpayers’ money?
ParlaMint-GB_2015-02-11-commons.u58	I am not familiar with the precise issue my hon. Friend raises, but it sounds very odd to me, and I will investigate it. Of course everyone who spends public money procuring services, goods or infrastructure needs to ensure the money is spent as well as it possibly can be, and I will look urgently at the case my hon. Friend raises.
ParlaMint-GB_2015-02-11-commons.u59	T4. The Geoffrey Dickens dossier was distributed across the Central Office of Information in the early ’80s, with one special archive suddenly emerging. How can we be certain there is not another special archive in the Cabinet Office that needs to be handed over to the police immediately?
ParlaMint-GB_2015-02-11-commons.u60	The Central Office of Information had nothing to do with any of this. That is a completely different, and now defunct, organisation. I am ensuring that officials in my Department are going through all the files thoroughly to make sure that they are organised, that they know what is in them, and that any files that are at all relevant are submitted immediately to all of the inquiries that are under way. There is no excuse whatsoever for these files not being surfaced.
ParlaMint-GB_2015-02-11-commons.u61	T5. Will the Minister join me in praising the vibrant charity and social enterprise sector in west Norfolk for all its superb work, especially the two charities chosen by this year’s mayor, Barry Ayres, namely the Prince’s Trust of King’s Lynn and the west Norfolk Kandoo club?
ParlaMint-GB_2015-02-11-commons.u62	Social enterprises and charities make an invaluable contribution to our economy and society, and I am delighted to join my hon. Friend in thanking those charities in Norfolk and others across the country for their work. We are investing about £470 million over the spending review period directly to support charities and voluntary groups.
ParlaMint-GB_2015-02-11-commons.u63	T7. At Prime Minister’s questions in November last year, the Prime Minister said that “there are 1,000 more GPs across the country than there were in 2010.”—[Official Report, 5 November 2014; Vol. 587, c. 822.]According to the UK Statistics Authority, however, there were actually 356 fewer. That is just one error. The UKSA recently revealed that, since May 2010, it had had to investigate the Government more than 200 times for the use of dirty statistics. When will this Government stop their fiddling?
ParlaMint-GB_2015-02-11-commons.u64	Order. We have got the gist of the hon. Gentleman’s question.
ParlaMint-GB_2015-02-11-commons.u65	The hon. Gentleman should be aware that the UK Statistics Authority has on several occasions found the Opposition guilty of using statistics in a misleading way. That is its function: to hold us all accountable.
ParlaMint-GB_2015-02-11-commons.u66	Q1. If he will list his official engagements for Wednesday 11 February.
ParlaMint-GB_2015-02-11-commons.u67	This morning I had meetings with ministerial colleagues and others, and in addition to my duties in this House, I shall have further such meetings later today.
ParlaMint-GB_2015-02-11-commons.u68	Does my right hon. Friend recall the general election of 1983? It resulted in a Conservative landslide win in which I and 100 other Conservatives were elected for the first time. At that time, unemployment stood at 3 million; today it is 2 million. The rate of inflation was 8%; it is now under 2%. The work force numbered 24 million; today it is 30 million. There were 9 million women in the work force in 1983; today there are 14 million. Does he agree that those comparisons, coupled with the trump card which he and Baroness Thatcher shared, in the form of a left-wing Opposition leader who has lost control of his own party, will put Britain on course for another Conservative landslide?
ParlaMint-GB_2015-02-11-commons.u69	I am grateful to my hon. Friend. I was not a voter in 1983, but it is true to say that this Government are cutting unemployment and that every Labour Government always puts up unemployment. In my hon. Friend’s constituency, the claimant count has fallen by 55% since the last election. This also speaks to a bigger picture, which is that this Government have created 1,000 jobs for every day that we have been in office. We all remember the prediction from the leader of the Labour party that our plans would cost 1 million jobs. With unemployment tumbling, perhaps today is the day he should apologise.
ParlaMint-GB_2015-02-11-commons.u70	An hour ago, we learned that linked to the HSBC tax avoidance scandal are seven Tory donors, including a former treasurer of the Tory party, who between them have given the party nearly £5 million. How can the Prime Minister explain the revolving door between Tory party HQ and the Swiss branch of HSBC?
ParlaMint-GB_2015-02-11-commons.u71	I saw that list just before coming to Prime Minister’s questions. One of the people named is the Labour donor, Lord Paul, who funded Gordon Brown’s election campaign. I am very clear: people should pay their taxes in our country, and no Government have been tougher than this one in chasing down tax evasion and tax avoidance.
ParlaMint-GB_2015-02-11-commons.u72	Let us talk about the difference between the Prime Minister and me. None of those people has given a penny on my watch, and he is up to his neck in this. Let us take Stanley Fink, who gave £3 million to the Conservative party. The Prime Minister actually appointed him as treasurer of the party and gave him a peerage for good measure. Will he now explain what steps he is going to take about the tax avoidance activities of Lord Fink?
ParlaMint-GB_2015-02-11-commons.u73	I will tell the right hon. Gentleman about the difference between him and me. When people donate to the Conservative party, they do not pick the candidates, they do not choose the policies and they do not elect the leader. When the trade unions fund the Labour party, they pay for the candidates, they pay for the policies, and the only reason that the right hon. Gentleman is sitting there today is that a bunch of trade union leaders decided that he was more left wing than his brother.
ParlaMint-GB_2015-02-11-commons.u74	The Prime Minister cannot get away from it: he is a dodgy Prime Minister surrounded by dodgy donors. He did not just take the money—[Interruption.]
ParlaMint-GB_2015-02-11-commons.u75	Order. It has always to be said: the questions will be heard and the answers will be heard, because this is a democratic Chamber. I do not mind how long it takes, they will be heard.
ParlaMint-GB_2015-02-11-commons.u76	He did not just take the money; he appointed the man who was head of HSBC as a Minister. It was in the public domain in September 2010 that HSBC was enabling tax avoidance on an industrial scale. Are we seriously expected to believe that when he made Stephen Green a Minister four months later, he had no idea about these allegations?
ParlaMint-GB_2015-02-11-commons.u77	I am glad the right hon. Gentleman has brought up the issue of Stephen Green, who was a trade Minister in this Government. This is the same Stephen Green whom Gordon Brown appointed as the head of his business advisory council. This is the same Stephen Green whom Labour welcomed as a trade Minister into the Government. It is the same Stephen Green whom the shadow Business Secretary, who is looking a bit coy today, invited on a trade mission as late as 2013. We know what happens: every week the right hon. Gentleman gets more desperate. He cannot talk about the economy and he cannot talk about unemployment, and so he comes here with fiction after fiction. Let me deal, while I have a moment, with the fiction we had last week. He came here and, if you remember, he talked about something called intermediary tax relief. It turns out—[Interruption.] We have as long as it takes.
ParlaMint-GB_2015-02-11-commons.u78	Order. I said that the questions must be heard. The responses must be heard.
ParlaMint-GB_2015-02-11-commons.u79	Thank you, Mr Speaker. Last week, the Labour leader asked me six times about the tax treatment of hedge funds. Now it turns out that the treatment he is complaining about was introduced in the autumn of 1997 by a Labour Government. It further turns out that it was extended in 2007. Who was in power in 2007? It was Labour. Who was the City Minister in 2007? I think we’ll find it was Ed somebody.
ParlaMint-GB_2015-02-11-commons.u80	I know the Prime Minister does not care about tax avoidance, but on this day of all days he is going to be held accountable for answering the question. He is pleading ignorance as to what was happening with Stephen Green, but today we discover that the Minister in charge issued a press release in November 2011 which referred to the investigation into the HSBC Geneva account holders. Does the Prime Minister expect us to believe that in Stephen Green’s three years as a Minister he never had a conversation with him about what was happening at HSBC?
ParlaMint-GB_2015-02-11-commons.u81	Why did Labour welcome Stephen Green as a trade Minister? Why were they still booking meetings with him in 2013? My responsibility is the tax laws of this country, and no one has been tougher. Let me remind the right hon. Gentleman about what we found: hedge funds cutting their taxes by flipping currencies—allowed under Labour, banned under the Tories; foreigners not paying stamp duty—allowed under Labour, banned under the Tories; and banks not paying tax on all their profits—allowed under Labour, banned by the Tories. Those two in the Treasury were the friends of the tax dodger. We are the friend of the hard working tax payer.
ParlaMint-GB_2015-02-11-commons.u82	The Prime Minister is bang to rights, just like his donors. And doesn’t this all sound familiar? The Prime Minister appoints someone to a senior job in government. There are public allegations but he does not ask the questions, he turns a blind eye. Isn’t this just the behaviour we saw with Andy Coulson?
ParlaMint-GB_2015-02-11-commons.u83	It is desperate stuff. The Opposition cannot talk about the economy because it is growing; they cannot talk about unemployment because it is falling; and they cannot talk about their health policy because it is collapsing. What have we seen this week? They cannot even go in front of a business audience because they have offended every business in the country; they cannot go to Scotland because they are toxic; they cannot talk to women because they have a pink bus touring the country; and they have even offended Britain’s nuns. No wonder people look at Labour and say that it has not got a prayer.
ParlaMint-GB_2015-02-11-commons.u84	He took the money, gave a job to the head of HSBC, and lets the tax avoiders get away with it. There is something rotten at the heart of the Conservative party and it is him.
ParlaMint-GB_2015-02-11-commons.u85	For 13 years, Labour sat in the Treasury and did nothing about tax transparency, nothing about tax dodging, and nothing about tax avoidance. This Government have been tougher than any previous Government. That is why the Opposition are desperate and that is why they are losing.
ParlaMint-GB_2015-02-11-commons.u86	At the weekend, graduates of Bournemouth university and the Arts university, Bournemouth, enjoyed yet another year of success at the BAFTAs. Last week, Bournemouth was named as having the fastest growing digital economy in the United Kingdom. Does my right hon. Friend agree that Britain remains a world leader in the creative industries because of the talent of our people combined with our long-term economic plan?
ParlaMint-GB_2015-02-11-commons.u87	My hon. Friend is absolutely right. Our creative industries are a vital part of our economy and our country. When we look at the great results at the BAFTAs and the high hopes that we have for the Oscars, it is clear that British television and British film are conquering the world. Bournemouth university plays a very important part in that, because its training of some of our digital effects specialists and of many of our creative people is a key part of this vital and growing industry.
ParlaMint-GB_2015-02-11-commons.u88	Q2. Last week at Prime Minister’s questions, I warned the Prime Minister about falling wages. This week, he said that Britain needs a pay rise, so I am glad to see that he is waking up to reality. Does he now agree with me that the people who most need that pay rise are the families who have lost £1,600 a year under this Government, and not those at the top to whom he has given massive tax cuts?
ParlaMint-GB_2015-02-11-commons.u89	The hon. Lady will find that the wages in the public and private sectors are growing ahead of inflation, which is good. As we have raised to £10,000 the amount of money people can earn before they start paying taxes, they are better off. In Scotland, there are 175,000 more people in work today than when I became Prime Minister. As a result of growth in the jobs market, growth in wages, cuts in taxes, and an increase in the minimum wage, things are getting better for families in Scotland.
ParlaMint-GB_2015-02-11-commons.u90	For years, the supermarket chain Aldi has been sitting on an empty supermarket that it acquired in the centre of Eston in my constituency. Does the Prime Minister agree that the supermarket chain should be forced to release assets that it does not need rather than allow them to be a blight on the community?
ParlaMint-GB_2015-02-11-commons.u91	What we need to see is successful development going ahead and brownfield sites being used. If those sites cannot be used for retail, they should be made available for other uses. One change we have made is to liberalise the use classes in planning so that we do not have the long-term planning blight of development not going ahead in towns and cities where houses, jobs and investment are needed.
ParlaMint-GB_2015-02-11-commons.u92	Q3. Given the Prime Minister’s new-found concern that employers should give their staff decent pay rises, can he explain why he did not apply that principle to his own Government when they decided not to implement the recommended 1% pay increase for NHS staff?
ParlaMint-GB_2015-02-11-commons.u93	What we have done with NHS staff is ensure that the lowest paid are getting a pay rise. In the NHS, there is progression pay, so everyone will get at least a 1% rise, but many people, because of progression, will get a 2%, 3% or 4% pay rise. Alongside that pay rise, they will be paying less in tax, council tax in many areas has been frozen, and diesel and petrol prices are coming down. People’s standards of living are rising because we have a long-term economic plan and we are sticking to it.
ParlaMint-GB_2015-02-11-commons.u94	Q4. More than ever before, businesses, students and commuters in Hampshire use the trains to get around, but they are increasingly frustrated that our trains are stuck in the analogue age. Access to the internet can be really difficult and very limited. Will my right hon. Friend consider that important issue and see what the Government can do to help commuters and others get access to wi-fi on our trains
ParlaMint-GB_2015-02-11-commons.u95	My right hon. Friend is absolutely right to raise this. It is vital for businesses and for individuals to be able to access wi-fi, do their work and make other contacts while they are on trains. I am pleased to announce plans that will see the roll-out of free wi-fi on trains across the United Kingdom from 2017. The Government will invest nearly £50 million to ensure that rail passengers, who make more than 500 million journeys every year, are better connected, with the four rail operators—Thameslink, Southern and Great Northern; Southeastern; Chiltern; and Arriva Trains Wales—all benefiting from that investment.
ParlaMint-GB_2015-02-11-commons.u96	The Motability car that my severely disabled constituent, Mark Francis, has had for 11 years is being taken from him in two weeks. Born with hereditary spastic paraplegia and unable to walk without crutches or sticks, he is sadly deteriorating by the week. I have been told that his case will be reconsidered, yet the Department for Work and Pensions is punitively and callously snatching his car from him on 25 February. Will the Prime Minister immediately rectify that heartless and disgraceful injustice?
ParlaMint-GB_2015-02-11-commons.u97	As ever, I am very happy to look at the individual case raised by the right hon. Gentleman. Of course, with the replacement of disability living allowance by the personal independence payment, the most disabled people will be getting more money and more assistance, rather than less, but as I say, I will happily look at the case.
ParlaMint-GB_2015-02-11-commons.u98	Q5. Given the widespread cynicism about politicians’ promises and claims, will my right hon. Friend remind people, however long it takes, that this Government have presided over the creation of more than 2 million additional private sector jobs, which is far, far more than we ever promised? Does not that discredit the claims of the Opposition that our efforts to cut the deficit would destroy jobs?
ParlaMint-GB_2015-02-11-commons.u99	My right hon. Friend is absolutely right. The figures are clear: we have created 2 million additional private sector jobs, and if we look at the number of extra people in work, public and private sector combined, it is 1.75 million more people. Behind those statistics are families who now have a pay packet and a job, and the chance to have a more secure future, and all that at a time when the Leader of the Opposition was very clear: he warned that our policies would cost 1 million jobs. He was 1 million per cent. wrong, and it is time that the Opposition withdrew what they said and apologised for all those statements.
ParlaMint-GB_2015-02-11-commons.u100	In November 2012, Her Majesty’s Revenue and Customs, in evidence to the Public Accounts Committee, said that there were a dozen prosecutions in train in relation to the HSBC case load. None of them have come to court yet. Can the Prime Minister explain why?
ParlaMint-GB_2015-02-11-commons.u101	First, on prosecutions for tax evasion, the figures are that they have gone up fivefold under this Government since 2010—2,650 cases, leading to hundreds of years of imprisonment, taken as a whole. That is what has happened, but there is an important point here, which is that, in our country, the tax collection agency, HMRC, is independent of Government and independent of Ministers, and it has to raise the taxes, carry out the investigations and order the prosecutions. It is very important in a free country that Ministers are not given the details of who is being investigated and what the prosecutions are. This does not happen in other countries, and we have a word for that: it is called corruption, but it seems to be the path suggested by the Labour party.
ParlaMint-GB_2015-02-11-commons.u102	Q6. My constituents—[Interruption.]
ParlaMint-GB_2015-02-11-commons.u103	Order. The hon. Gentleman is entitled to be heard with courtesy.
ParlaMint-GB_2015-02-11-commons.u104	Thank you, Mr Speaker. My constituents in Montgomeryshire are not able to see a GP as quickly as they should. Does the Prime Minister agree that we need to train more GPs to take forward our plans for surgeries to be open seven days a week and in the evenings, and will he press for similar hours of opening to be available to my constituents in Wales?
