ParlaMint-GB_2015-10-15-commons.u1	Object To be considered on Thursday 22 October.
ParlaMint-GB_2015-10-15-commons.u16	My hon. Friend can tell his constituents, as we should all tell our constituents, that manifesto promises matter, and this Government intend to honour their manifesto. Of course, a manifesto does not all have to be delivered in the first six months of government. We will seek to do so as soon as possible. I know that the Justice Secretary and his colleagues are working very hard on bringing forward proposals.
ParlaMint-GB_2015-10-15-commons.u17	Does the Attorney General accept that the continuing uncertainty about whether the UK will remain a signatory to the ECHR is itself damaging? Given that the proposal for a British Bill of Rights has been around in the Conservative party for a considerable time, why cannot the Attorney General be certain and tell us whether the UK will remain a signatory to the ECHR or not?
ParlaMint-GB_2015-10-15-commons.u18	I do not accept that that uncertainty is damaging. What is happening is that we are seeking a better settlement on the arrangements at Strasbourg. We believe that, on issues such as prisoner voting, it is important that this House, not the Court in Strasbourg, should make the decision. That requires a discussion with the Council of Europe. That discussion will take place. It is important that we on the Conservative Benches at least say that the status quo is unacceptable and that we need to do something about it. If the Opposition believe that the status quo is acceptable, they should make that clear.
ParlaMint-GB_2015-10-15-commons.u19	What’s wrong with the Act, Jeremy?
ParlaMint-GB_2015-10-15-commons.u20	Order. The hon. Member for Kingston upon Hull East (Karl Turner) is something of a veteran at chuntering from a sedentary position in evident disapproval of the thrust of the Government Front-Bench team’s position, but he will have his opportunity, on his feet, in due course.
ParlaMint-GB_2015-10-15-commons.u21	4. What steps the Crown Prosecution Service has taken to improve the conviction rate for rape and domestic violence in the last two years.
ParlaMint-GB_2015-10-15-commons.u22	8. What steps the Crown Prosecution Service has taken to improve the conviction rate for rape and domestic violence in the last two years.
ParlaMint-GB_2015-10-15-commons.u23	This year, more cases of violence against women and girls have been referred from the police, charged, prosecuted and convicted than ever before. The work undertaken by the Crown Prosecution Service and the police on rape and domestic abuse culminated in the highest volumes ever of prosecutions and convictions in 2014-15.
ParlaMint-GB_2015-10-15-commons.u24	In the West Mercia region, in which my constituency is located, we have seen the rape crisis go up this year to 700 from 400 cases. Can my hon. and learned Friend assure me that we are doing everything we can to make sure that these people are prosecuted?
ParlaMint-GB_2015-10-15-commons.u25	CPS West Midlands has a specialist rape and serious sexual offences unit in recognition of the increasing volume of rape and serious sexual offences reported. CPS West Midlands has increased the size of the unit and the team continues to work very closely with the police, victims groups and the independent Bar to ensure that strong cases are built and witnesses looked after.
ParlaMint-GB_2015-10-15-commons.u26	I thank my hon. and learned Friend for his original answer. Has he brought forward any specific steps to support an increase in convictions where men are the victims of rape or domestic abuse?
ParlaMint-GB_2015-10-15-commons.u27	I am grateful to my hon. Friend for that question, and let me assure him that when it comes to the prosecution of rape and serious sexual offences, it applies equally to men as to women. Boys, of course, can also sadly be the victims of sexual abuse. Sentencing guidelines, of course, draw no distinction of gender, and neither should the investigation or prosecution of offences.
ParlaMint-GB_2015-10-15-commons.u28	Despite claims of the highest number of convictions ever, the fact is that in the last year the number of convictions for rape, domestic abuse and other serious sexual offences has fallen. What is the Solicitor General going to do to turn those worrying figures around?
ParlaMint-GB_2015-10-15-commons.u29	I think the hon. Gentleman means that the rate has fallen slightly. I think it important to continue to prosecute more and more of these cases. For too long, many victims have found that their cases have not even been brought to court. Looking at the analysis of rape convictions, I am encouraged to see that the number of convictions that have not been brought because of a prosecution failure is reducing, so drilling down and looking at the reasons for the non-convictions is very important. We have to continue progress in that direction.
ParlaMint-GB_2015-10-15-commons.u30	Successfully prosecuting rape and domestic violence cases clearly requires a properly resourced CPS, yet the budget has been slashed by 25% since 2010 and the rate of ineffective and cracked trials owing to prosecution issues is at a five-year high. With senior respected personnel leaving and expressing grave concerns, do the Solicitor General and the Attorney General really believe that the CPS can sustain more cuts on the same scale and still deliver justice?
ParlaMint-GB_2015-10-15-commons.u31	I am afraid that the hon. Lady is in error when she suggests that the number of ineffective trials is at an all-time high. As I have said, the number of cases being prosecuted continues to increase, and there is no question of prosecutions not being brought because of a lack of resources. Rape and serious sexual offences units are well resourced, and they will continue to be resourced by the CPS.
ParlaMint-GB_2015-10-15-commons.u32	5. What steps he plans to take to protect child witnesses in sex abuse and other cases from intimidation during cross- examination.
ParlaMint-GB_2015-10-15-commons.u33	11. What recent steps the Crown Prosecution Service has taken to improve its engagement with and support for vulnerable witnesses.
ParlaMint-GB_2015-10-15-commons.u34	The defence case has to be put to all prosecution witnesses, but in order to ensure effective cross-examination, a mandatory advocacy course for all defence advocates is being developed and will include the cross-examination of vulnerable witnesses. Pre-recorded cross-examination has already been piloted successfully, and we are committed to a national roll-out.
ParlaMint-GB_2015-10-15-commons.u35	In 2011, at Stafford Crown court, a victim of child abuse was cross-examined in a vicious and intimidatory way for 12 days by a team of seven barristers, during a session in which the judge was generally thought to have lost control of the courtroom. Such cross-examination is a massive disincentive for others to come forward. Four years later, may I ask what steps have been taken to prevent it from happening again?
ParlaMint-GB_2015-10-15-commons.u36	I well remember that case. The good news is that in the retrial matters were handled very differently, and the outcome was successful. However, intimidatory cross-examination should not happen. Judges have a duty to ensure that young witnesses are not cross-examined inappropriately. As I have said, a new advocacy course is being developed to ensure that that sort of abuse does not happen again.
ParlaMint-GB_2015-10-15-commons.u37	Will the Solicitor General tell us what the CPS is doing to help vulnerable witnesses, such as victims of human trafficking, to give evidence in courts?
ParlaMint-GB_2015-10-15-commons.u38	Recently, the CPS drew up new guidelines for the care of witnesses in court. Those guidelines are currently being piloted and will be rolled out nationally in the new year. They will go a long way towards supporting witnesses, while avoiding the dangers of coaching witnesses in the giving of evidence, which, of course, would not be desirable.
ParlaMint-GB_2015-10-15-commons.u39	In the last few years, it has become clear that a great many young people have been sexually abused over a number of years and are traumatised by that abuse. Can the Solicitor General assure the House that the necessary resources are available so that the young people in all those cases can be looked after?
ParlaMint-GB_2015-10-15-commons.u40	I can reassure the hon. Gentleman. As I have said many times before, when it comes to the protection of vulnerable witnesses and complainants in criminal cases, the CPS is always working to improve its processes so that the experience can be as smooth as possible. What we do not want is a repeat, in effect, of the abuse that those people originally suffered when they come to court and give evidence.
ParlaMint-GB_2015-10-15-commons.u41	14. Operation Bullfinch, in Oxford, introduced a number of radically different procedures for coping with vulnerable witnesses. What lessons have been learnt from that?
ParlaMint-GB_2015-10-15-commons.u42	I know that my hon. Friend has a long-standing interest in improving the processes as a result of that case, which helped to revolutionise the way in which the investigatory authorities all work together. There have been a number of other successful investigations in his own police area, which are helping to improve national practice, and there is a much greater understanding across the country of the way in which such cases can be effectively prosecuted.
ParlaMint-GB_2015-10-15-commons.u43	6. Whether future military action using drones overseas will require his approval.
ParlaMint-GB_2015-10-15-commons.u44	The role of the Law Officers in relation to military action overseas is to advise as necessary on legal questions, not to authorise the action. The use of drones in military action overseas does not of itself necessarily give rise to legal questions. The deployment of one form of equipment or another rarely does, in and of itself. Whether legal questions arise will depend on the operational context in which any form of military deployment was undertaken, and the reason for it.
ParlaMint-GB_2015-10-15-commons.u45	Technological development can undermine legislation under all Governments, but particularly under this Government, who seem to have no strategy for it. We need to know that, while the strikes may be made by drones, the decision makers are still accountable to the House. When will the Attorney General establish a clear legislative and ethical framework in relation to future drone strikes?
ParlaMint-GB_2015-10-15-commons.u46	Again, that is not my role within government, but the hon. Lady knows that the Prime Minister was extremely eager to come to Parliament and explain the basis of the decision to take the drone strike of 21 August, and he did so on the first available opportunity In terms of setting frameworks, it is important of course to treat every case on its merits. In relation to the legal position, as in relation to a political decision making process, each instance will be different and each must be considered on its own facts.
ParlaMint-GB_2015-10-15-commons.u47	The recent drone strike in Syria was described by the Prime Minister as a “new departure” and a first in modern times. The Prime Minister said he is “happy to look at what other ways there may be of making sure these sorts of acts are scrutinised”.—[Official Report, 7 September 2015; Vol. 599, c. 31.] Given that any action must be necessary and proportionate to meet the key legal tests, will the Attorney General update us on the discussions between the Government and the Intelligence and Security Committee on reviewing the action and any framework that will be put in place to ensure proper scrutiny in future?
ParlaMint-GB_2015-10-15-commons.u48	I welcome the hon. Lady to her new responsibilities and wish her well in them. I have no doubt that the new Chairman of the ISC will be discussing with the Government what inquiries they wish to take forward. On my engagement in the process, as the hon. Lady understands, the Law Officers convention makes it clear that legal advice is not disclosed outside government, nor in the generality of cases is even the fact of legal advice disclosed, but she knows, too, that in relation to this incident I thought it was right and proper that the fact of legal advice having been given should be disclosed, and it was. I hope she will understand how difficult it is to go any further than that without undermining the good reasons that I believe lie behind the LOC.
ParlaMint-GB_2015-10-15-commons.u49	7. What steps the Crown Prosecution Service is taking to ensure that court time is not wasted.
ParlaMint-GB_2015-10-15-commons.u50	The listing of court cases is a judicial function and a responsibility of Her Majesty’s Courts and Tribunals Service, but when cases are listed the CPS takes steps to make sure the prosecution case is properly prepared and ready for an effective court hearing so the time set aside is fully utilised.
ParlaMint-GB_2015-10-15-commons.u51	I thank the Minister for that answer, but during a visit to Corby magistrates court I was shocked to hear about how much court time is wasted owing to the CPS not having its case together in time for when it is scheduled. Does the Minister agree that it is unacceptable for cases that are not complete to be brought to court? We really do need to get away from this; it is unacceptable and it wastes not only time but money.
ParlaMint-GB_2015-10-15-commons.u52	I am grateful to my hon. Friend for his question. I know he works very hard with his local courts service. A lot of innovation with regard to transforming summary justice and the increasing use of digital processes is leading to quicker timescales, much more effective first hearings and a more efficient use of court time, so I think he has reasons to be optimistic.
ParlaMint-GB_2015-10-15-commons.u53	I have missed the hon. Member for Huddersfield (Mr Sheerman). It is good to have him back.
ParlaMint-GB_2015-10-15-commons.u54	Thank you, Mr Speaker A constituent of mine who is a very competent manager recently did jury service. He said the court system was medieval and it was about time someone came in and organised it better, managed it better and gave a real return to the taxpayer, with better justice delivered quickly.
ParlaMint-GB_2015-10-15-commons.u55	I am grateful to the hon. Gentleman for his question. After many years in the courts system myself, I understand his constituent’s concerns. The good news is that a lot of work is being done to digitise the paperwork so that time can be saved. Already there is a new proposed roll-out next year, which will co-ordinate the way in which the courts work with the CPS and other agencies so the sort of delays that irritated his constituent can be reduced and removed.
ParlaMint-GB_2015-10-15-commons.u56	9. What steps the Crown Prosecution Service is taking to increase the number of successful prosecutions for human trafficking offences involving forced labour.
ParlaMint-GB_2015-10-15-commons.u57	In advance of the introduction of the Modern Slavery Act 2015 the CPS delivered joint training with the police and issued guidance to strengthen prosecutions. In forced labour cases the CPS also encourages prosecution for other offences such as trafficking for forced labour, money laundering, benefit and mortgage fraud, tax evasion and Gangmasters (Licensing) Act offences
ParlaMint-GB_2015-10-15-commons.u58	Given the sheer number of refugees fleeing the conflict in Syria, taking action against human traffickers is of the utmost importance in protecting some of the world’s most vulnerable people. What steps is my hon. and learned Friend taking to improve the confiscation of the proceeds of exploiting migrant workers into modern-day slavery?
ParlaMint-GB_2015-10-15-commons.u59	I know that my hon. Friend has a long-standing interest in this issue. The Crown Prosecution Service is helping to improve the situation by building capacity and capability in other countries, because this is an international problem. This is being done by better linking the work of the regional asset recovery teams with that of the human trafficking investigators, so that financial investigation can become sharper and more efficient.
ParlaMint-GB_2015-10-15-commons.u60	13. My hon. and learned Friend has outlined what is being done on an international basis. Will he go further and confirm that the Immigration Bill, which had its Second Reading this week, will help to tackle this disgraceful problem at a domestic level?
ParlaMint-GB_2015-10-15-commons.u61	The Minister for Immigration and I have the duty of taking that Bill through its stages in this House, and I can assure my hon. Friend that its provisions will dovetail well to improve the range of tools that the authorities have to protect victims of trafficking and prosecute perpetrators
ParlaMint-GB_2015-10-15-commons.u62	1. What steps the Government are taking to increase the participation of women and girls in sport.
ParlaMint-GB_2015-10-15-commons.u63	7. What steps the Government are taking to increase the participation of women and girls in sport.
ParlaMint-GB_2015-10-15-commons.u64	9. What steps the Government are taking to increase the participation of women and girls in sport.
ParlaMint-GB_2015-10-15-commons.u65	First, I would like to welcome the hon. Members for Stretford and Urmston (Kate Green) and for Lancaster and Fleetwood (Cat Smith) to their new positions. I should also like to thank the hon. Member for Ashfield (Gloria De Piero) for her commitment to promoting equality The Government are determined to tackle this important issue. The award-winning This Girl Can campaign is a fantastic example of the work we have been doing to encourage women into sport. It features real women of all different shapes, sizes and abilities taking part in sport and, most importantly, having fun. We know that 75% of women want to be more active, and this campaign, which has been viewed by more than 13 million people, offers them the inspiration to do just that.
ParlaMint-GB_2015-10-15-commons.u66	The Pendle sports awards, which took place just two weeks ago, recognised the achievements of sportswomen across Pendle, including Bethany Widdup, who is now a member of the British ski team, and many others who have excelled thanks to grass-roots sports clubs across Pendle. What more can my hon. Friend do to give our local sports clubs the help they need to get even more women and girls involved?
ParlaMint-GB_2015-10-15-commons.u67	First, I should like to add my own congratulations to Bethany. Awards such as those in Pendle provide a fantastic way of recognising the enormous effort that goes into grass-roots sport across the country, almost always involving incredible volunteers. Schemes such as satellite clubs, supported by Sport England, are helping to link schools and colleges to grass-roots sports clubs across the country, giving a better sporting experience to children and young people.
ParlaMint-GB_2015-10-15-commons.u68	This week I watched the excellent film “Suffragette”, which illustrated just how far we have progressed in creating a fair and equal society over the past 100 years. Does the Minister agree that sport is a very effective way of continuing to make such progress? Will she join me in congratulating the media on the much greater coverage that is now being given to the participation of women in sport?
ParlaMint-GB_2015-10-15-commons.u69	I absolutely agree. We have further to go, but—without wishing to rub salt into the wounds of our English gentlemen—I must mention the fact that the brilliant performance of our women’s teams in the recent football, rugby and netball world cups has showcased some fantastic role models and demonstrated character and success. That is exactly why they deserve all the media coverage they are getting—and, indeed, much more.
ParlaMint-GB_2015-10-15-commons.u70	If we are to build a healthier society, our children will need to engage in sport from a very young age. This applies especially to girls, who, sadly, opt out all too frequently. Some excellent youth programmes for boys and girls are running in Taunton Deane, including the centre for cricketing excellence, Taunton Vale hockey club, Taunton rugby club and Taunton football club. Will the Minister expand a little further on what the Government are doing, especially for young schoolchildren’s participation in sport?
ParlaMint-GB_2015-10-15-commons.u71	My hon. Friend is absolutely right. The good news is that, in Taunton, 4,700 more women are regularly playing sport today than in 2005. Research published by the Government Equalities Office shows that year 3 is the critical stage at which to keep girls motivated to play sport. That is the last academic year before the difference between girls and boys—in terms of confidence, body image and sporting participation—starts to grow. That is why investment in schools sports, such as the £150 million a year for primary PE, is so vital for helping girls to develop this very healthy habit for life.
ParlaMint-GB_2015-10-15-commons.u72	I commend Manchester City football club for its women and girls programme, which provides 12 weekly sessions free of charge to girls and women between the ages of 14 and 25 to increase their participation in football. Do we not need to see other such examples spread right across football in the country?
ParlaMint-GB_2015-10-15-commons.u73	The hon. Gentleman makes a fantastic point. It is an incredibly successful girls’ football team, and I know that the sports Minister, my hon. Friend the Member for Chatham and Aylesford (Tracey Crouch), is a huge champion of women’s football and not a bad football player herself.
ParlaMint-GB_2015-10-15-commons.u74	There are great opportunities for girls to participate in sport, especially in rugby and football, at schools and universities. What has been done to provide that same provision at clubs after university?
ParlaMint-GB_2015-10-15-commons.u75	The hon. Gentleman makes an excellent point. We want to encourage that participation through school, university and out into life afterwards. That is why the This Girl Can campaign, which shows real women taking part in sport that is fun and not just competitive, has been such a fantastic way of encouraging them to get out there and lead a healthy lifestyle.
ParlaMint-GB_2015-10-15-commons.u76	15. As the chairman of the all-party group for running and the father of a young daughter, I am very keen to encourage more girls to take up running, particularly through the excellent parkrun scheme. Mr Speaker, those runs are a great way to start a Saturday morning for those who, like yourself, have a young family. I recommend three miles around your local park. What is the impact of the Government’s investment in the school sports premium particularly on the take-up of sport by girls?
ParlaMint-GB_2015-10-15-commons.u77	I am most grateful to the hon. Gentleman for his helpful public advice.
ParlaMint-GB_2015-10-15-commons.u78	I thank my hon. Friend for his question. I know that he is no mean marathon runner himself. Running is a fantastic form of exercise and parkrun has been particularly effective at encouraging inactive people and those from all age groups to get involved in sport. In recognition of that, Sport England is investing £400,000 in parkrun to support its work. The primary PE and sports premium has been really effective in allowing schools to tailor this offer to pupils, giving them suitable opportunities to target particular groups, especially girls.
ParlaMint-GB_2015-10-15-commons.u79	2. What steps she is taking to tackle the causes of the gender pay gap (a) in general and (b) in STEM careers.
ParlaMint-GB_2015-10-15-commons.u80	I echo my hon. Friend’s welcome to the new shadow Ministers and I look forward to debates on these important issues The gender pay gap has fallen to its lowest ever level, but any gap at all is unacceptable, which is why the Prime Minister has pledged to eliminate the gap in a generation. Transparency is an important step in tackling the matter, which is why, within 100 days of the election, the Government have taken steps to fulfil their manifesto commitment by launching a consultation on legislation that will require companies to publish details of their gender pay gap. We must also tackle the causes themselves, by encouraging girls to consider a wide range of careers, including those in the science, technology, engineering and maths fields, and by transforming our workplaces.
ParlaMint-GB_2015-10-15-commons.u81	I thank the Minister for her answer. The overall pay gap of 2014 stands at 19.1%. Does she agree that more needs to be done to help full-time carers and full-time parents who decide to re-enter the workplace so that we can reduce the pay gap?
ParlaMint-GB_2015-10-15-commons.u82	I entirely agree with my hon. Friend. Interestingly, the gender pay gap in her own constituency is 14.3%, which is below the national average. Of course we must help more parents to get back into the workplace. I am very clear that childcare is not just a women’s issue, but a parents’ issue, which is why we are introducing flexible working, shared parental leave and more free childcare. We are also tackling the barriers that affect carers, which is why we launched nine pilots across England to test different approaches to supporting female carers to remain in work.
ParlaMint-GB_2015-10-15-commons.u83	The Minister knows well that girls who give up STEM subjects early on do not get into good management jobs later on. Is it not important to measure how many women are getting into senior positions, particularly in the private sector?
ParlaMint-GB_2015-10-15-commons.u84	I entirely agree with the hon. Gentleman. That is why transparency is so important and why the regulations that we propose will cover the private sector. He is right in what he says. Women form 47% of the workforce, but make up only 34% of managers, directors and senior officials. This must be the time to make the change.
ParlaMint-GB_2015-10-15-commons.u85	I applaud the Minister and the Government for their commitment to eliminate the gender pay gap. This generation of women over 50 working full time earn just two thirds of what men of the same age earn. What specific policies do this Government have to address that particular enduring pay gap?
ParlaMint-GB_2015-10-15-commons.u86	I thank the Chairman of the Women and Equalities Committee for her question. She will know from her time in government that one of the Women’s Business Council’s key strands of work involves helping older workers to stay in work. This is, of course, also about helping women to stay in work for a longer period and to get as high up in their careers as possible before they take time out for caring responsibilities. I have also mentioned the carers pilots because, sadly, even in the 21st century, the burden of caring for older relatives still often falls on women. We have to change that.
ParlaMint-GB_2015-10-15-commons.u87	A recent report by the Campaign for Science and Engineering found that when parents were asked what type of job they want their child to pursue when they finish education there was a clear gender bias, with parents wanting for their son a career in engineering and for their daughter a career in nursing. Does the Minister agree that it is crucial that we break down those barriers?
ParlaMint-GB_2015-10-15-commons.u88	I entirely agree with my hon. Friend. It is good to see, for example, that maths is now the most popular A-level, and we have more girls studying STEM subjects at both GCSE and A-level. Women are concentrated in the less well-paid occupations, making up 92% of secretaries and 94% of childcare assistants but only 7% of engineers and 20% of architects. Again, that has to change.
ParlaMint-GB_2015-10-15-commons.u89	3. If she will bring forward legislative proposals to repeal the provisions relating to caste discrimination in the Enterprise and Regulatory Reform Act 2013.
ParlaMint-GB_2015-10-15-commons.u90	The Government completely oppose caste discrimination and the judgments in the Tirkey v. Chandhok case suggest that legal protection against such discrimination already exists under the Equality Act 2010. We are considering the legislative position in the light of those judgments.
ParlaMint-GB_2015-10-15-commons.u91	I thank my right hon. Friend for that answer. She will be aware that the case was brought under the Equality Act 2010, not the ill-thought-out and unnecessary amendment made in the other place to the Enterprise and Regulatory Reform Act. This unnecessary and divisive legislation has caused consternation in the Hindu community. Will she undertake not only not to trigger that legislation but to repeal it so that the Hindu community will know where it stands legally?
ParlaMint-GB_2015-10-15-commons.u92	I thank my hon. Friend for that question and I know that he feels passionately about this matter. There are, of course, strong opinions on both sides of the debate. It is important, given the case that I have just mentioned, to remember that the law as it stands has changed because of that judgment. A litigant could now seek to bring a case of caste discrimination in an employment tribunal using the ethnic origin provisions in the Equality Act, which is why we should take time to look at the judgment before making further decisions.
ParlaMint-GB_2015-10-15-commons.u93	4. What steps the Government are taking to support more women in setting up their own businesses.
ParlaMint-GB_2015-10-15-commons.u94	5. What steps the Government are taking to support more women in setting up their own businesses.
ParlaMint-GB_2015-10-15-commons.u95	14. What steps the Government are taking to support more women in setting up their own businesses.
ParlaMint-GB_2015-10-15-commons.u96	I am delighted that the UK is considered the best place in Europe for women to start a business, but we are not resting on our laurels. That is why we have launched the women in broadband fund and are running meet a mentor roadshows across the country, giving women the support, advice and skills they need.
ParlaMint-GB_2015-10-15-commons.u97	If the Minister has the opportunity to speak to the Secretary of State for Education, will she encourage her to ensure that girls consider topics such as economics and business studies so that we can get more young women to start their own business?
ParlaMint-GB_2015-10-15-commons.u98	Well, Mr Speaker, the Secretary of State is nodding furiously at me so I will take that as a yes. We have been celebrating and showcasing women in business as a great way of inspiring the next generation and, of course, we have set up the new business and enterprise company as a great way of showing girls the fantastic careers available to them in both business and enterprise.
ParlaMint-GB_2015-10-15-commons.u99	I thank the Minister for her original answer. Women entrepreneurs such as Jodie Sheppard from my Havant constituency, who has launched a business helping to improve children’s fitness, are excellent local role models. Does the Minister agree that organisations such as the Women’s Business Council offer excellent support for our women business leaders, and will the Government continue to work hard to help women who want to start their own business?
ParlaMint-GB_2015-10-15-commons.u100	Jodie Sheppard, who founded Active8 Minds in Havant, is an excellent example of a capable woman running her own business and will, I am sure, be delighted with the fantastic plug her MP has given her business today. I certainly agree that the Women’s Business Council has a vital role in supporting women to reach their potential. We know that if women started their own businesses at the same rate as men do, we would have an extra 1 million women involved and an extra 1 million businesses in the UK.
ParlaMint-GB_2015-10-15-commons.u101	Cheltenham is home to thousands of talented female entrepreneurs, but broadband and superfast broadband are key to unlocking that potential. How are the Government helping more women in Cheltenham to grow their businesses online?
ParlaMint-GB_2015-10-15-commons.u102	The fund has been extended for a second year, with an additional £1.1 million to support more women to take their businesses online, enabling them to develop the skills they need to become competitive in a growing digital economy. One example of which my hon. Friend might be aware is the Faster Women project, which is supporting women in Herefordshire and Gloucestershire to develop digital skills. Today, a workshop is taking place in his very own Cheltenham to help women take the first steps to putting their businesses online.
ParlaMint-GB_2015-10-15-commons.u103	6. What steps she is taking to tackle pregnancy and maternity discrimination in the workplace.
ParlaMint-GB_2015-10-15-commons.u104	12. What steps she is taking to tackle pregnancy and maternity discrimination in the workplace
ParlaMint-GB_2015-10-15-commons.u105	Pregnancy and maternity discrimination is unlawful and completely unacceptable. The Government and the Equality and Human Rights Commission are working together on the largest independent research project of its kind in Great Britain to better understand the problem. The detail of the final report is due to be published later this year and will inform the Government’s response.
ParlaMint-GB_2015-10-15-commons.u106	Many women across Salford and Eccles have returned to work after maternity leave with a very uneasy feeling about whether they have a job. The report to which the right hon. Lady refers has found that women returning from maternity leave are even more likely to face discrimination in the workplace than they were a decade ago. What assurances can she offer people in Salford and Eccles that this will not be the case in generations to come?
ParlaMint-GB_2015-10-15-commons.u107	It is true that when the interim report was published in July this year, we were all disappointed to see that around one in eight women reported that they felt they had to leave work as a result of their pregnancy or maternity leave, but it also shows that the vast majority of employers believe it is important to support pregnant women and women on maternity leave, so we have to build on that. That is why the report will be so helpful in working out exactly what our response should be to make sure that we change this, as the hon. Lady says, not in decades but in a few years ahead.
ParlaMint-GB_2015-10-15-commons.u108	Will the Minister join me in welcoming the work done by Joeli Brearley of Pregnant then Screwed, a Greater Manchester-based organisation campaigning to raise awareness of the appalling examples of discrimination in the workplace? More importantly, will the Minister pledge to work with organisations such as Pregnant then Screwed to help tackle this inequality in the workplace?
ParlaMint-GB_2015-10-15-commons.u109	I look forward to hearing more about the work that Joeli Brearley has been doing. As I mentioned earlier, we expect the report this year to tell us the types of issues that women face, the perceived discrimination where it is occurring, who is most at risk and which employers in terms of size and sectors are most likely to get complaints. I will then be open to working with all organisations to tackle that discrimination. If the hon. Lady would like to write to me with further details about her constituency organisation, I would be delighted to see them.
ParlaMint-GB_2015-10-15-commons.u110	Unlawful maternity and pregnancy discrimination is now more common in Britain’s workplaces than ever before. One in nine women are forced out of their jobs as a result of discrimination in the workplace. In July 2013 the UK Government introduced employment tribunal fees of up to £1,200, amounting to a barrier for women and a charter for rogue employers. What action is the Minister taking to tackle this issue?
