ParlaMint-GB_2015-12-15-commons.u1	1. What steps he is taking to support higher-level skills in further education.
ParlaMint-GB_2015-12-15-commons.u88	We should of course mention the importance of Rolls-Royce to a great city like Derby; I say that, obviously, as a Nottinghamshire MP. In all seriousness, we are monitoring the situation carefully. We recognise the huge importance of the role that Rolls-Royce plays in our economy. It is really important that we do not talk things down. [Interruption.] Forgive me, but there is too often a tendency among Labour Members, not necessarily the hon. Lady, to talk things down. It is really important that we do not do that and that we continue to support Rolls-Royce.
ParlaMint-GB_2015-12-15-commons.u89	In order to stop Rolls-Royce falling into the hands of the Chinese, let us say, why do not this Government take Rolls-Royce back into public ownership?
ParlaMint-GB_2015-12-15-commons.u90	Because—I know the hon. Gentleman will have trouble in understanding this—this is 2015. We are not back in the ’60s and the dark days of the ’70s, and we have a long-term economic plan that delivers, unlike his plan, which would be an absolute disaster for our country.
ParlaMint-GB_2015-12-15-commons.u91	As we have heard from my hon. Friends, we have been watching the recent developments in relation to Rolls-Royce very closely, not only because of the implications for national security but because it is the biggest single employer for Britain’s aerospace sector. As the Minister said, the global market for new aircraft is predicted to be worth £3.6 trillion in the next 20 years, so we welcome the investment in the Aerospace Technology Institute. However, is it not about time that Ministers considered developing an industrial strategy instead of continuing the current piecemeal approach?
ParlaMint-GB_2015-12-15-commons.u92	I am not going to repeat all the things I have said about our continuing investment. With £900 million of taxpayers’ money going into aerospace, we absolutely understand and recognise its significance. It is very easy to put on labels, but it does not matter what label we put on—it is about delivery, and that is what this Government continue to do.
ParlaMint-GB_2015-12-15-commons.u93	11. What funding his Department plans to allocate to research and development in the energy sector over the next five years.
ParlaMint-GB_2015-12-15-commons.u94	As my right hon. Friend the Chancellor demonstrated in the autumn statement, the Government put investment in R and D as the top priority in our long-term economic plan. I am delighted, as I am sure that Opposition Members will be, by the announcement on ring-fencing the science budget, with £6.9 billion on science capital and £4.7 billion on revenue. In addition, the Prime Minister recently announced a 50% increase in our funding of climate finance, with £400 million over this Parliament, and we have just announced £60 million going into the energy research accelerator.
ParlaMint-GB_2015-12-15-commons.u95	Launching an investment coalition in Paris at the weekend, Bill Gates made the point that if we are to avoid global warming we have to move at full speed in developing new renewable energy technologies. To ensure that the UK plays its part, what progress have Ministers made in ensuring that the UK Green Investment Bank receives the full £3.8 billion of capitalisation and maintains its green mandate, irrespective of the future of the Government’s stake in the bank?
ParlaMint-GB_2015-12-15-commons.u96	I am sure that the hon. Gentleman will welcome the Prime Minister’s announcement of £400 million extra funding. The Green Investment Bank has played the role that we envisaged in supporting the green economy, which is not an allotment economy—it now constitutes 96,000 businesses with 230,000 employees and a turnover of £45 billion for the British economy and £4.8 billion of exports. By giving the Green Investment Bank the freedom to raise money on the capital markets, we will generate more money for the green economy, which is growing under this Government like never before.
ParlaMint-GB_2015-12-15-commons.u97	The North sea oil and gas sector faces significant challenges at the current time, with a need for a collegiate approach to research and development to fuel innovation and to drive down costs. To achieve this, will the Minister consider setting up a North sea oil and gas innovation centre similar to the very successful offshore wind catapult?
ParlaMint-GB_2015-12-15-commons.u98	My hon. Friend makes a very interesting point. On the east coast in East Anglia, in the north and in Scotland, this country is leading in the field of offshore energy. We have just funded the offshore energy centre, but I would be happy to look at the specific idea that he recommends.
ParlaMint-GB_2015-12-15-commons.u99	“Extremely disappointing”, “missed opportunity”, “damaging” and “disgrace” were some of the words and phrases used to describe this Government’s decision to withdraw £1 billion of funding from carbon capture and storage. Hundreds of jobs for the communities of the north-east of Scotland, and the opportunity to be at the forefront of low-carbon innovation, have now been lost. The Government will instead spend hundreds of millions of pounds on subsidising research into nuclear energy. In the light of that decision, would the Minister like to take this opportunity to explain to the people of Peterhead and the north-east specifically how he has supported them to be world leaders in innovation?
ParlaMint-GB_2015-12-15-commons.u100	It is a pleasure to follow that speech. I will happily repeat the figure I just gave: the Prime Minister has just announced £400 million of extra funding for energy finance. We have just made announcements on onshore research. One of the lessons for Scotland is to reduce its dependence on public sector funding. The truth is that, under the renewables obligation for offshore wind, 28% of the funding went to Scotland—that is £560 million—when it represents only 10% of bill payers. We need to support the green economy in Scotland, just like we are doing in the rest of the country.
ParlaMint-GB_2015-12-15-commons.u101	In the spending review, a major energy investment of £250 million was announced for small modular reactors. That was warmly welcomed in the north-west and it will make a big difference to our ability to meet our climate change targets. It is crucial that the UK owns the intellectual property rights that result from that technology. Will the Minister and his colleagues in the Department of Energy and Climate Change make sure that that is the case?
ParlaMint-GB_2015-12-15-commons.u102	My hon. Friend is something of an expert on those matters and I will happily look into the very important point he makes. One of the benefits of our support for the green economy—which, as I have said, is now a £45 billion sector in this country—is that we are generating the leading technologies in 21st-century green energy. I will happily look into the specific points he makes.
ParlaMint-GB_2015-12-15-commons.u103	12. What steps he is taking to tackle late payment to small businesses.
ParlaMint-GB_2015-12-15-commons.u104	The Enterprise Bill, which is going through the other place, will create a small business commissioner, and one of his or her most important roles will be to make sure, as much as possible, that the continuing problem with late payment is brought to an end. Of course, we have other measures in hand to make sure that there is reporting, but we are making good progress.
ParlaMint-GB_2015-12-15-commons.u105	Cheltenham’s superb range of shops and small business rely for their success on people getting out from behind their computers and physically visiting local shops. Does my hon. Friend agree that local authorities should promote flexible and, above all, cheap parking wherever possible to support small businesses and shopping hubs such as Cheltenham?
ParlaMint-GB_2015-12-15-commons.u106	I fear that, as ever, I am a bit off message. I take a radical approach to parking. As far as is ever possible, I take the view that there should be no parking charges in any towns. The car parks belong to the people—they absolutely do. There are times when a local authority wants to put in car-parking charges—a very good example being in Rushcliffe—to make sure that people do not abuse them, but, as far as possible, we should be supporting our great town centres and our great small businesses. We should not charge people for the luxury of parking in their own hometowns.
ParlaMint-GB_2015-12-15-commons.u107	In the spirit of Christmas, may I invite the whole ministerial team to come to Huddersfield, where they can learn about spinning and weaving? I can also arrange for them to have a wonderful “Made in Huddersfield” worsted suit, just like the one I am wearing. They can also meet small businesses and the Textile Centre of Excellence and talk about all the pressures on small business and the problems they face because the Government want to take us out of Europe, which will stop us exporting to the rest of the world.
ParlaMint-GB_2015-12-15-commons.u108	It was all going so well—I was going to be a little Christmas fairy. Of course, everybody knows my views, and, indeed, those of my Prime Minister, on the European Union: we want to stay in a reformed Union and make sure that we get those reforms. In the spirit of Christmas, I would be delighted to go to Huddersfield. I could talk about my family’s long-standing relationship with Huddersfield. We will do that on the basis that I will go to Huddersfield if the hon. Gentleman will come to Broxtowe, to Beeston in particular.
