ParlaMint-GB_2015-06-30-commons.u1	1. What steps he is taking to support small and medium-sized businesses to become more competitive.
ParlaMint-GB_2015-06-30-commons.u24	The hon. Gentleman will know that the universal credit plans are essential to make sure that work pays, and I would have thought he would support that. On the issues that it might raise for small businesses and the self-employed, it is important that we look at the net burden of regulation on businesses and keep reducing it.
ParlaMint-GB_2015-06-30-commons.u25	3. If he will implement an active and interventionist industrial strategy to assist economic growth in the UK.
ParlaMint-GB_2015-06-30-commons.u26	The biggest challenge facing the economy is improving productivity, and that challenge varies by sector. Dialogue with business, including through the sector councils, as part of our industrial approach, is key to addressing this issue.
ParlaMint-GB_2015-06-30-commons.u27	As a member of the last Labour Government, I am very proud that the Labour party, in government, established the Automotive Council, which has provided the framework for the most successful decade in UK car production for a very long time. Will the Secretary of State confirm that he will not, on the altar of ideology, endanger that success?
ParlaMint-GB_2015-06-30-commons.u28	I look forward to working with the Automotive Council. In fact, I have already had a meeting with it and I told it something the hon. Gentleman would agree with, which is that the automotive industry is one of the brightest stars in the constellation of British business.
ParlaMint-GB_2015-06-30-commons.u29	May I reassure my right hon. Friend that if he does wish to follow a more liberal policy than his predecessor, he will have plenty of support from Conservative Members?
ParlaMint-GB_2015-06-30-commons.u30	I can tell my hon. Friend that we will have active dialogue with various industries, across sectors, and we will make sure that we are listening and seeing what the Government can do.
ParlaMint-GB_2015-06-30-commons.u31	Given tomorrow’s eagerly awaited announcement by the Teesside Collective on its ambitious industrial carbon capture and storage proposal, will the Minister, with his colleagues, ensure that industrial, energy and climate change policies are aligned and that every other assistance is given to the collective in bringing about an early realisation of this vital project?
ParlaMint-GB_2015-06-30-commons.u32	I have listened very carefully to the hon. Gentleman, and if he would like to furnish me with more information about the Teesside Collective and how we can help, I would be happy to take a look.
ParlaMint-GB_2015-06-30-commons.u33	The Government’s northern powerhouse strategy has the potential to offer huge benefits to north Wales. What discussions has my right hon. Friend’s Department had with the Welsh Government with a view to developing it?
ParlaMint-GB_2015-06-30-commons.u34	As my right hon. Friend will know, this is a one nation Government. We want to make sure that, as the economic recovery continues, it includes every part of the UK, and that will of course include Wales. We are more than ready to talk to the Welsh Government. I have had a number of discussions with my right hon. Friend the Secretary of State for Wales, who at this point is a lot more interested than the Welsh Government in economic development in Wales.
ParlaMint-GB_2015-06-30-commons.u35	The Chancellor says that he supports modern industrial policy and the Prime Minister has said that he wants an active industrial policy, but, according to the Financial Times, the new Business Secretary has told officials in the Department that they should not talk about industrial policy. Now we hear him talking about an “approach”. Can he tell industries around the country whether he still has an industrial policy and, if so, what on earth it is?
ParlaMint-GB_2015-06-30-commons.u36	I think I have already answered the hon. Gentleman’s question, but I am happy to repeat that answer. This Government will have an active dialogue with all industrial sectors. We will listen to their needs on skills, infrastructure and training, and work with them. That includes the sector councils. We will also make sure that we are open to new industries, to competition and to disruptive industries, and that we become the most open economy in the world.
ParlaMint-GB_2015-06-30-commons.u37	4. What recent assessment he has made of the effectiveness of the Government’s strategic support for industries and sectors.
ParlaMint-GB_2015-06-30-commons.u38	In preparation for the forthcoming spending review, I am assessing the effectiveness of BIS policies, including strategic support for industry. We will continue an open dialogue with business, including through sector councils.
ParlaMint-GB_2015-06-30-commons.u39	A long-term industrial strategy is vital for my constituency, which boasts a major chemical process complex in Wilton. Recently, the workforce have been taking to the gates because they believe that long, hard-won, nationally agreed terms and conditions are being undercut on the site. What assurance can the Minister give me, and what steps is he taking to make sure, that nationally agreed terms and conditions are being applied on such sites, and that the British workforce are not being undercut by recruitment from overseas?
ParlaMint-GB_2015-06-30-commons.u40	I welcome the hon. Lady to her place. I know that a number of industries, including the one that she has mentioned, are important to Redcar. I am more than happy to take a closer look at the issue that she raises. I am afraid that I do not know the details of it, but if she would like to furnish me with them, I or my right hon. Friend the Minister for Small Business, Industry and Enterprise will take a closer look.
ParlaMint-GB_2015-06-30-commons.u41	Steel producers are an important employer in Corby. Will my right hon. Friend meet representatives of the steel all-party parliamentary group, who are working closely together, to talk about strategic support, especially on carbon taxation?
ParlaMint-GB_2015-06-30-commons.u42	I welcome my hon. Friend to his place and congratulate him on his work to help the steel industry to meet those challenges. I will be more than happy to meet him and representatives of the APPG and see what more we can do, especially on the high energy costs that the industry faces.
ParlaMint-GB_2015-06-30-commons.u43	I have previously suggested a strategic support mechanism for the open-cast coal industry—a carbon tax exemption for specific sites. An independent economic analysis suggests that an exemption with a value of £195 would produce a net income to the Treasury of £57 million and would also allow the sites to be restored. Will the Secretary of State consider that urgently and work with the Treasury to include the exemption in the July Budget or, following a previous offer, meet me to discuss it?
ParlaMint-GB_2015-06-30-commons.u44	Steel is a very important industry, employing thousands of people in Britain. It is important to see what we can do to help, so I or my right hon. Friend the Minister for Small Business, Industry and Enterprise will be more than happy to meet the hon. Gentleman.
ParlaMint-GB_2015-06-30-commons.u45	What plans, if any, do the Government have to make local enterprise partnerships more democratically accountable? They have more funds than the regional development agencies, but are less accountable.
ParlaMint-GB_2015-06-30-commons.u46	It is right that LEPs are business-led, but it is also important that they include democratically elected people, and that is how they are working. It is important to review LEPs after a few years of operation and to ensure that they are truly accountable.
ParlaMint-GB_2015-06-30-commons.u47	5. What steps his Department plans to take to improve productivity in businesses and industries.
ParlaMint-GB_2015-06-30-commons.u48	Productivity growth ultimately comes from business and the hard-working people of Britain, but the Government can, of course, help. That is why my Department is working closely with the Treasury on a forthcoming productivity plan.
ParlaMint-GB_2015-06-30-commons.u49	The Minister is right about the reliance on individual workers to drive up productivity and about what the investor community can do as well, but he will know that the Office for Budget Responsibility has said that if productivity per worker was 4% higher during this Parliament, that would have a significant effect on reducing the national debt, and correspondingly, that if it was not, the national debt could rise. Does he agree with this rather gloomy assessment and, if so, what does he think the figures for individual growth per worker will be by the end of this Parliament?
ParlaMint-GB_2015-06-30-commons.u50	The hon. Gentleman will know that the UK has had a long-running productivity challenge, which was made all the worse by Labour’s great recession. An increase in productivity is the surest way to raise real wages and I can assure him that it will be a major focus of this Parliament. We will shortly publish a productivity plan which I hope will reassure him that the Government take this very seriously.
ParlaMint-GB_2015-06-30-commons.u51	Does the Secretary of State agree that in challenging the productivity problem, we need to address our minds to skills and making sure that we have the appropriate pipeline of skills running through the education system to the businesses that desperately need them?
ParlaMint-GB_2015-06-30-commons.u52	I congratulate my hon. Friend on becoming Chair of the Education Committee. He is right to talk about the link between better skills and increased productivity, and I hope that in his new role he can make a valuable contribution to that.
ParlaMint-GB_2015-06-30-commons.u53	Given that we are five years into the long-term economic plan and regrettably our productivity is 17% lower than the average among G7 economies, with growth in the EU 5% over the same period, why does the Minister believe that productivity will rise during the lifetime of this Parliament, since it fell during the last Parliament?
ParlaMint-GB_2015-06-30-commons.u54	I welcome the hon. Lady to her place. She is right to point out the challenges of productivity, which have been a long-term challenge for this country. I hope she recognises that over the past five years the previous Government did a huge amount to turn around the economic fortunes of this country. We are the fastest-growing country in the G7, and just today we saw the Office for National Statistics revise growth figures for last year. That means thousands of jobs throughout Britain, including Scotland, making us the jobs factory of Europe.
ParlaMint-GB_2015-06-30-commons.u55	The Scottish Government, of course, are focused on growing our economy, using our four Is—innovation, internationalisation, investment and inclusion. Will the Minister support the Scottish National party call for a change to remove the sudden decrease in the investment allowance from £500,000 down to £25,000 from 1 January 2016 to help continue our success?
ParlaMint-GB_2015-06-30-commons.u56	If the SNP wants to help business in Scotland, it should look at deregulating much more. In many of the areas that are devolved to Scotland, whereas the UK Government have been working hard to cut regulation, the Scottish Government have been working hard to boost regulation. Deregulation is one of the best ways to help productivity and growth in Scotland.
ParlaMint-GB_2015-06-30-commons.u57	6. What discussions he has had with the Secretary of State for Culture, Media and Sport on the importance of superfast broadband to rural businesses.
ParlaMint-GB_2015-06-30-commons.u58	There have been no recent discussions between the Business Secretary and the Culture Secretary, but as the Secretary of State for Business was the Secretary of State for Culture and therefore responsible for the broadband programme, a meeting is not necessary at this moment.
ParlaMint-GB_2015-06-30-commons.u59	He can talk to himself.
ParlaMint-GB_2015-06-30-commons.u60	The second phase of the connecting Devon and Somerset superfast broadband programme has not been signed this week, and this could have an enormous negative impact on the economy of my constituency, Taunton Deane. For example, one business, the British Association for Shooting and Conservation, has recently moved from Staple Fitzpaine, taking eight rural jobs with it because it had no broadband. Please will the Minister intervene urgently to ensure that this vital service is provided not just for Taunton Deane, but for the whole of Somerset?
ParlaMint-GB_2015-06-30-commons.u61	I am delighted to welcome my hon. Friend to her place. Within weeks of arriving here, she is already proving that she will be a champion for her constituents, particularly on this issue. I am delighted that 52,000 premises in her constituency have superfast broadband. Another 10,000 will get it and I will continue to work with her and all MPs in Devon and Somerset to ensure that the broadband roll-out programme goes to plan.
ParlaMint-GB_2015-06-30-commons.u62	Has the Minister had any discussions with the devolved institutions about co-operating on rural broadband? The providers are UK-wide and there are opportunities for such discussions.
ParlaMint-GB_2015-06-30-commons.u63	We work closely with the Northern Ireland Executive on the issue. Something like £23 million is helping to roll out superfast broadband in Northern Ireland and get it to the level it should be at.
ParlaMint-GB_2015-06-30-commons.u64	My hon. Friend the Member for Taunton Deane (Rebecca Pow) was right to mention rural businesses. Does the Minister agree that it is important for BT and others to streamline the way in which local authorities can provide match funding to help the final 5%?
ParlaMint-GB_2015-06-30-commons.u65	Yes. The success of the broadband programme so far means that focus is now turning to the final 5%, and in the next few months we will announce our plans to deliver for them. I am delighted that some £14 million has helped Hampshire get to 89%, and phase 2 will take it to 96%.
ParlaMint-GB_2015-06-30-commons.u66	Does the Minister think that it is acceptable that in half the Government’s enterprise zones firms do not have full access to superfast broadband?
ParlaMint-GB_2015-06-30-commons.u67	It is important that we get superfast broadband to as many businesses as possible. I was delighted that last week we were able to say that 25,000 businesses have taken advantage of our excellent voucher scheme.
ParlaMint-GB_2015-06-30-commons.u68	7. What assessment he has made of the effects in Lincolnshire of the Government’s policies on small businesses.
ParlaMint-GB_2015-06-30-commons.u69	Between 2010 and 2014 the number of private sector businesses in the east midlands increased by 28,000. Last week it was an absolute pleasure to meet representatives from local enterprise partnerships right across the midlands, including from Lincolnshire. There was such enthusiasm to make the midlands the engine that we want it to be, replicating the northern powerhouse —[Interruption.] I am sorry that Opposition Members find that funny; I thought that they would have welcomed the northern powerhouse, as their Labour colleagues in those local authorities do. In any event, we know that small businesses are at the heart of our long-term economic plan.
ParlaMint-GB_2015-06-30-commons.u70	I am grateful to my right hon. Friend for that answer. She will want to join me in welcoming the latest figures, which show that employment in the north-east, the north-west and the east midlands is growing faster than in London. Will she ensure that that record of seeing growth and prosperity outside London continues, reflecting this Government’s one nation approach?
ParlaMint-GB_2015-06-30-commons.u71	I completely endorse my hon. and learned Friend’s sentiment and absolutely agree with him. Between 2010 and 2014, 58% of net new jobs were created outside London and the south-east, whereas between 2004 and 2010 the figure was only 37%. That is further evidence that our long-term economic plan is working.
ParlaMint-GB_2015-06-30-commons.u72	rose—
ParlaMint-GB_2015-06-30-commons.u73	Order. The Minister has broadened the question a bit, which she is perfectly entitled to do, but not to the extent that it would encompass Northern Ireland, Merseyside or even west Yorkshire. Those Members will have to await their opportunity.
ParlaMint-GB_2015-06-30-commons.u74	rose—
ParlaMint-GB_2015-06-30-commons.u75	Ah, the hon. Gentleman is stirring in his den. Mr Skinner.
ParlaMint-GB_2015-06-30-commons.u76	I have listened carefully for the past half an hour to find out exactly what the Tory Government are trying to do about places in the east midlands such as Bolsover, which is very close to Lincolnshire, because when the Labour Government were in power, both myself and Gordon Brown, the then Chancellor of the Exchequer, were the northern powerhouse. I asked him for 40 million quid to flatten the pit tips at Markham Vale, and he gave it me. Then I asked for some more money for an interchange straight up the M1 into Markham pit yard, and I got that as well. We were fixing the roof while the sun was shining. We don’t want none of this claptrap about the Tory northern powerhouse. [Interruption.]
ParlaMint-GB_2015-06-30-commons.u77	I thought—[Interruption.]
ParlaMint-GB_2015-06-30-commons.u78	Order. We must hear the answer.
ParlaMint-GB_2015-06-30-commons.u79	I thought that we were about to call for a Division during that so-called question. Let me remind the hon. Gentleman what his real record is. The real record is one of the longest and deepest recessions in our country’s history. The real record is bringing this nation to the verge of bankruptcy. Instead of talking down the east midlands—and I am an east midlands person through and through—the hon. Gentleman should be talking it up, and rightly so. From my experience, we will see the creation of a midland engine that will give us the long-term growth and the jobs of the future that his party failed to deliver.
ParlaMint-GB_2015-06-30-commons.u80	Considering the growth of business opportunities in our county and particularly in the city of Lincoln, will the Minister build on the recently announced £130 million investment in the University of Lincoln, a chief component of the midlands engine, and grant us enterprise zone status?
ParlaMint-GB_2015-06-30-commons.u81	I am very happy to provide a triumph for Lincoln, given that it is the city of my birth. In any event, I am very happy to meet him to talk about the future of the university and the real role it can play. As I have said—forgive me for repeating it, Mr Speaker—I have met all the representatives of the LEPs from right across the midlands. Indeed, we talked about Lincoln University and the real desire to create a midlands engine, and rightly so.
ParlaMint-GB_2015-06-30-commons.u82	It has to be said that repetition is not a novel phenomenon in the House of Commons.
ParlaMint-GB_2015-06-30-commons.u83	8. What steps he is taking to reduce regulation of businesses.
ParlaMint-GB_2015-06-30-commons.u84	As we have heard, the Government are committed to reducing the regulatory burden on all businesses. The one in, two out initiative has put a real brake on the introduction of new regulations. Through the enterprise Bill, we will target regulators’ actions as part of our commitment to cut a further £10 billion of red tape for the benefit of businesses.
ParlaMint-GB_2015-06-30-commons.u85	I thank my right hon. Friend for her answer. There are many pubs in my constituency, as well as the Shepherd Neame brewery and the Whitstable brewery. These local businesses are important as employers, and for their role in rural communities. Outdated bureaucracy is one more hurdle for them to overcome. For instance, pubs are required to advertise changes in their licence, costing about £500 a time, and many local authorities require licence fees to be paid by cheque, rather than allowing more modern methods of payment. What steps will the Government take to reduce the burden of bureaucracy on pubs and breweries?
ParlaMint-GB_2015-06-30-commons.u86	I welcome my hon. Friend to her place and thank her for her question. She provides examples of exactly the sort of regulation that we are seeking to look at and, indeed, to remove if necessary. That is why I will shortly announce a new Twitter account, @CutRedTapeUK, which no doubt—[Interruption.] It is all right. I am familiar with Twitter—oh, yes—and hashtags. I am trying to make the very serious point, which may be lost on Opposition Members, that we want to hear from businesses, and indeed from anybody, about the red tape, regulation and the burden it imposes, notably on small businesses, so that we can cut it.
ParlaMint-GB_2015-06-30-commons.u87	20. The summer sporting and music calendar is in full swing, but fans are being let down by shady ticket sellers. This week, Taylor Swift fans are disappointed after the company from which they have bought tickets online disappeared without trace. When can we have better regulation of the secondary ticket market so that fans are not ripped off? [Interruption.]
ParlaMint-GB_2015-06-30-commons.u88	I have heard of Taylor Swift, too. We are doing a review of that because we recognise that there is a problem. [Interruption.] The hon. Gentleman is straining to hear above all the chuntering on the Benches in front of him. I think my hon. Friend the Minister for Skills has responsibility for that—we are aware of the problem and we are doing a review—but I am more than happy to meet him to talk about it.
ParlaMint-GB_2015-06-30-commons.u89	Does my right hon. Friend agree that key to reducing regulation will be renegotiation in Brussels, so will she #congratulate the Secretary of State, who is sitting right by her, for his brilliant speech last night to the CBI, telling it that to argue against Brexit is madness before we have actually renegotiated anything?
ParlaMint-GB_2015-06-30-commons.u90	I think I should just say yes, Mr Speaker, but I would add that my right hon. Friend the Secretary of State was actually talking about all businesses, not just those here.
ParlaMint-GB_2015-06-30-commons.u91	I am sure that businesses will tell the Minister on Twitter what they told Ernst and Young, which is that the number of regulations has gone up, not down, under this Government. Is not the reality that this Government are all talk and no action when it comes to getting rid of regulations?
ParlaMint-GB_2015-06-30-commons.u92	I am tempted to say, “The hon. Gentleman would know, wouldn’t he?” I am really surprised at his churlish attitude, and I absolutely do not agree with what he has been told. We know, because it was properly evaluated, that under the previous Administration we actually achieved £10 billion of savings for businesses by cutting red tape. The hon. Gentleman should welcome and praise that.
ParlaMint-GB_2015-06-30-commons.u93	9. What steps he is taking to encourage prompt payment to small businesses.
ParlaMint-GB_2015-06-30-commons.u94	The Government are leading the way in paying their suppliers promptly. We have already legislated to “cascade”, as it says here, 30-day terms throughout public sector supply chains. We have also legislated for new transparency measures in the public and private sectors, which will allow full public scrutiny of payment performance. We will go further and consult on our proposals for a small business conciliation service.
ParlaMint-GB_2015-06-30-commons.u95	There are many roofing businesses and other small and medium-sized enterprises in Falkirk, and the time and effort involved in chasing late and incomplete payments is a serious burden on them. What plans do the Government have to ensure that the onus is on large contractors to pay, as opposed to SMEs having to chase?
ParlaMint-GB_2015-06-30-commons.u96	I completely take the point, and I thank the hon. Gentleman and welcome him to his place. As he will understand, smaller businesses are often reluctant to take action through law. That is why we are considering a conciliation service, which could provide a genuine answer. I would be delighted to come to Falkirk at some stage on my travels and meet some of the companies in question to assure them that we are on their side.
ParlaMint-GB_2015-06-30-commons.u97	According to the Federation of Small Businesses, half of small firms were paid late last year. What progress has the Minister made in ensuring that large firms do not take advantage of small businesses in their supply chain and risk livelihoods in the process?
ParlaMint-GB_2015-06-30-commons.u98	I take a firm view that it is absolutely scandalous when people do not honour the terms and conditions of their contract and pay late. That is not acceptable, particularly in the modern world. I hear terrible stories about supermarkets; one can only imagine what would happen if someone went shopping on a Saturday and then said at the checkout, “I think I’ll settle my bill in about 120 days.” Obviously they would be told that it was not acceptable, and it is not acceptable for large businesses to treat smaller businesses in that way. That is why we take the problem so seriously.
ParlaMint-GB_2015-06-30-commons.u99	I very much welcome the tone that the Minister is taking, which is in sharp contrast with the feebleness of the Government’s efforts on late payments over the past five years Some 2,500 businesses go bust every year not because of a failed business model but simply because they have not been paid on time. Some £46 billion is now owed to UK firms, a figure that rose throughout the Government’s previous term. Will the Minister take serious action, and does she agree that the last Government’s actions were inadequate? What message will she send to businesses that do not pay on time about the actions that the Government will take?
ParlaMint-GB_2015-06-30-commons.u100	I hope that I have sent a strong message. I could not be clearer—it is completely unacceptable. [Interruption.] There is no need to add extra regulatory burdens. The law is quite clear: if two parties have come together and settled terms and conditions through a contract—forgive me for sounding like the lawyer I am, Mr Speaker—and one party then breaks the contract by not paying on time, legal action is available to the other party. As we know, the problem is that small businesses are understandably reluctant to go to law. I am exploring other options, including the continuation of naming and shaming.
ParlaMint-GB_2015-06-30-commons.u101	10. What steps he is taking to increase the competitiveness of UK businesses.
ParlaMint-GB_2015-06-30-commons.u102	The World Bank recognises the United Kingdom as one of the best places in the world to do business, ranking us eighth. We committed in our manifesto to make the UK No. 1 in Europe and in the top five worldwide in the Doing Business rankings by 2020.
ParlaMint-GB_2015-06-30-commons.u103	Does the Minister agree that for millions of small businesses that never export to the European Union, either because they simply serve the domestic market or because they export only to countries outside the EU, the regulations imposed by Brussels are a burden that damages their ability to compete?
ParlaMint-GB_2015-06-30-commons.u104	I absolutely recognise, and the Government recognise, that EU regulations can hit small and medium-sized businesses particularly hard, which is not right or fair. A key priority of our European better regulation agenda is continuing to ensure that the European Commission honours its commitment to introducing lighter regimes for SMEs and exemptions for micro-enterprises where appropriate.
ParlaMint-GB_2015-06-30-commons.u105	Surely the Minister realises that if we want our businesses to be more competitive, we have to look to skills. Has she seen Professor Alison Wolf’s report “Heading for the Precipice”, which is a damning comment on the lack of skills training in this country and the crisis in further education and adult skills?
ParlaMint-GB_2015-06-30-commons.u106	Not only did we deliver 2 million apprenticeships—
ParlaMint-GB_2015-06-30-commons.u107	indicated dissent.
ParlaMint-GB_2015-06-30-commons.u108	The hon. Gentleman shakes his head, but that is a fact. He does not like to hear the facts. There were 2 million apprenticeships under the previous Government, and we are determined to achieve 3 million. That is the way we upskill in our country. He should look at the Labour party’s record in government; it was pitiful compared with ours.
ParlaMint-GB_2015-06-30-commons.u109	The hon. Member for Huddersfield (Mr Sheerman) is supposed to be a statesman in the House—[Interruption.] Order. He should be setting an example. It is not a two-way debate. He blurted out his question and he must listen to the answer.
ParlaMint-GB_2015-06-30-commons.u110	11. What steps his Department is taking to support people who want to start their own business.
ParlaMint-GB_2015-06-30-commons.u111	I call Anna Soubry—[Interruption.]
ParlaMint-GB_2015-06-30-commons.u112	I am more than happy to answer questions More than 30,000 people have benefited from more than £155 million worth of loans expert business advice provided by the Start-Up Loans company, and around 70,000 unemployed people have set up their own businesses with the help of the new enterprise allowance scheme. The business support helpline provides free expert advice to help people start their own businesses in England.
ParlaMint-GB_2015-06-30-commons.u113	North West Hampshire is literally pullulating with people such as Joanne Bishop of Atalanta Jewellery who pluck up their courage and their savings to start their own business. They often have a skill or an idea that they want to put into action, but they lack the expertise to do so, and are often faced with the might of the state. Will the Minister outline what she and her Department will do to provide support to entrepreneurs in future, particularly in taking on the Government?
ParlaMint-GB_2015-06-30-commons.u114	I think “pullulating” is a parliamentary word, Mr Speaker, but I think it was a new one on both of us We take that issue seriously and various schemes are available, including the business support helpline. I would be more than happy to meet my hon. Friend, who I welcome to his place, to discuss the issue. Ensuring that once people have started a business they can continue to grow it and get support, is an issue we take seriously.
ParlaMint-GB_2015-06-30-commons.u115	I have been advised by a scholarly source that “pullulating” means to breed rapidly or abundantly. We are immensely grateful to the hon. Member for North West Hampshire (Kit Malthouse) for his dexterity in the English language.
ParlaMint-GB_2015-06-30-commons.u116	Like me, the Minister will no doubt be concerned that only one in five of those new start-up businesses is led by women. I know that she is keen on Twitter accounts, but let me give her a better idea of something that her own Department came up with, although sadly her predecessors refused to implement. Will she commit to monitoring selling to businesses led by women in the supply chain, and help to get British women back into business?
ParlaMint-GB_2015-06-30-commons.u117	We know that more women are employed now than ever before. Call me an old-fashioned feminist but—[Interruption.] I understand that Opposition Members could call me far worse than that. I support the many wonderful initiatives that have been introduced to encourage women to come into business and set up their own businesses. It is striking, however, that all the meetings I have had with big businesses have been very male-dominated. We find an abundance of women in the small business sector—[Interruption.] The hon. Lady shakes her head but that is a fact, and that is because women have so much talent.
ParlaMint-GB_2015-06-30-commons.u118	12. What plans he has to support the science sector in the next five years.
ParlaMint-GB_2015-06-30-commons.u119	In the previous Parliament the Government demonstrated our commitment to science by protecting the science budget, even as we were forced to make discretionary savings of £98 billion elsewhere. Over the next five years, as we saw in our manifesto, our commitment to science will run through it like the words in a stick of rock. We have reaffirmed our commitment to investing £1.1 billion of science capital, rising every year until 2021, including £2.9 billion on grand challenges.
ParlaMint-GB_2015-06-30-commons.u120	Thornton science facility was handed by Shell to Chester University, which is attended by many of my constituents. With large, high-skill employers such as Airbus, Bentley and others in the north-west, what more can my hon. Friend do to link employers to educational institutions and encourage the uptake of STEM— science, technology, engineering and maths—subjects?
ParlaMint-GB_2015-06-30-commons.u121	I agree with my hon. Friend that Thornton science park deserves national recognition as an exciting regional centre for innovation, enterprise and higher education. I also welcome the strong leadership from the University of Chester in drawing together an impressive range of partners from business and academia. We need to see more such collaboration between universities and business all over the country.
ParlaMint-GB_2015-06-30-commons.u122	Does the Minister appreciate that many of our great scientists at places such as the Babraham Institute and the Laboratory of Molecular Biology in Cambridge are civil servants and stuck on the civil service pay freeze, and are being offered much better terms abroad? Will we compete? It is time to do so.
