ParlaMint-GB_2015-12-14-commons.u1	1. What support his Department is providing to the northern powerhouse initiative.
ParlaMint-GB_2015-12-14-commons.u72	Having a five-year land supply in place puts local planning authorities in a strong position to resist unwanted development. Furthermore, national planning policy reiterates the importance of sustainable development, not development anywhere or at any cost, and I am sure my hon. Friend’s local authority is well aware of that when making decisions.
ParlaMint-GB_2015-12-14-commons.u73	Last Thursday at business questions I raised the case of Porlock avenue in Audenshaw in my constituency, where a small semi-detached property that is now privately rented has been converted into a house of multiple occupation as part of the asylum dispersal programme. Does the Minister understand the dismay of the neighbours of this property that the owners are able to circumvent planning and licensing regulations because there will be only five people housed in the property?
ParlaMint-GB_2015-12-14-commons.u74	I cannot comment on an individual case without knowing all the facts, but I refer the hon. Gentleman to the measures in the Housing and Planning Bill, particularly those in relation to dealing with rogue landlords.
ParlaMint-GB_2015-12-14-commons.u75	The interpretation of neighbourhood plans appears to be causing difficulties, in particular in the beautiful village of Hook Norton in my constituency. Will the Minister meet me to discuss how villagers can ensure the neighbourhood plan is adhered to?
ParlaMint-GB_2015-12-14-commons.u76	And a great village Hook Norton is, and it is the home to a fantastic brewery. I hear what my hon. Friend says and I will certainly undertake to meet her, or I am sure my hon. Friend the Minister for Housing and Planning will.
ParlaMint-GB_2015-12-14-commons.u77	Local communities in York desperately need family housing built for social rent on the 35-hectare York central site, yet we hear that high-value flats are going to be placed on that site. Will the Minister listen to local communities and ensure their voice is prioritised?
ParlaMint-GB_2015-12-14-commons.u78	This Government have demonstrated that we want local people to have a strong voice through neighbourhood planning. The issue the hon. Lady mentions is on the record, and her local planning authority should be listening to the concerns and comments of local residents.
ParlaMint-GB_2015-12-14-commons.u79	In council areas where there is no adopted local plan, local communities are continually let down by the planning process. Will my hon. Friend consider allowing objectors the right of appeal?
ParlaMint-GB_2015-12-14-commons.u80	My hon. Friend makes a good point. By 2017 we will make sure all areas have a local plan in place. The Housing and Planning Bill sets out in some detail how we are going to achieve that.
ParlaMint-GB_2015-12-14-commons.u81	12. What recent progress has been made on the proposed Inverness city region deal.
ParlaMint-GB_2015-12-14-commons.u82	The Government, along with the Scottish Government, are working with Highland Council to identify the opportunities for an Inverness and Highland city region deal. The discussions are ongoing. They are positive and constructive. I hope they will lead to the outcome that I am sure the hon. Gentleman hopes for. He is absolutely right to raise this important issue. City deals can be a great driver for growth; they can help us realise economic potential, and that is what we want to see.
ParlaMint-GB_2015-12-14-commons.u83	Highland Council has submitted a detailed and innovative plan for city deal investment, with the support of the Scottish Government. Will the Minister commit to advancing discussions, and will he indicate a timescale for finalising the process to allow the deal to get under way?
ParlaMint-GB_2015-12-14-commons.u84	Discussions are already under way. Officials met local representatives on 2 December and will continue to work through the plans to ensure that they are robust, that they deliver what is needed, that they meet the requirements that we place on such deals and that they have the support they need to continue. We wish to see them progress positively. That is the strongest assurance I can give the hon. Gentleman at this time, because of course those things need to be done properly and thoroughly before plans are taken forward.
ParlaMint-GB_2015-12-14-commons.u85	14. What steps he is taking to ensure that the funding model for local government is fair.
ParlaMint-GB_2015-12-14-commons.u86	I will shortly be presenting to the House the local government financial settlement for 2016-17. I will set out how we will deliver a sustainable settlement for that year and later years and pave the way for future reforms to fund vital services, promote growth and efficiency and devolve power and resources, just as local government has requested.
ParlaMint-GB_2015-12-14-commons.u87	Research by the Joseph Rowntree Foundation shows that since 2010-11 the areas of greatest need in England have seen the largest cuts in local government funding, breaking the historic link between the amount that a local authority spends per head and local deprivation levels. Over the past five years, councils such as Wirral have had severe cuts to their funding, whereas other areas have seen an increase. Forecasts suggest that Wirral will lose at least £126 million by 2020. What will the Government do to ensure that funding for local authorities genuinely reflects the needs of the people who live in the area?
ParlaMint-GB_2015-12-14-commons.u88	The hon. Lady should wait to see what the settlement has in store, but she should know from the past few years that Wirral’s spending power, at £2,240 per dwelling, is 7% above the national average. Her council has reserves of £80 million, a third higher than they were in 2010. It is important that she bears that in mind.
ParlaMint-GB_2015-12-14-commons.u89	20. People in rural areas such as my constituents pay an average of £80 more in council tax than those elsewhere, yet they receive about £130 less in central Government funding, which has an impact on local services. Does the Secretary of State agree that it is time to look for a fairer funding formula for all taxpayers?
ParlaMint-GB_2015-12-14-commons.u90	I recognise that the cost of delivering services is higher in areas with a sparse population, for obvious reasons. The rural services delivery grant was introduced to reflect that extra cost, and it has since been increased. I will obviously have to bear that in mind when we assess what is needed in the financial settlement.
ParlaMint-GB_2015-12-14-commons.u91	It is a year since a National Audit Office report found that the Department for Communities and Local Government had limited understanding of local authorities’ financial sustainability. Does the Secretary of State understand the unsustainability of high percentage, across the board cuts in low tax base authorities, and the fact that the complete removal of revenue support grant and the retention of all business rates without national redistribution will drive those authorities into the ground?
ParlaMint-GB_2015-12-14-commons.u92	I would have thought that the hon. Lady, as a former council leader, would be in a position to welcome the spending review settlement, which not only provided protection in cash terms for the resources available to local government over the four years ahead but did what local government requested and made money available for the care of the elderly through the social care precept. I would have thought that her experience caused her to welcome that.
ParlaMint-GB_2015-12-14-commons.u93	Will the Secretary of State ensure that the settlement reflects the pressures on top-tier authorities from adult social care costs, and particularly that it restates the opportunities for greater integration of health and adult social care spend, as supported by, for example, the London Borough of Bromley?
ParlaMint-GB_2015-12-14-commons.u94	My hon. Friend is absolutely right. In advance of the spending review I had a communication from the Local Government Association estimating that the gap, if unaddressed, would be £2.9 billion. In the spending review settlement the Chancellor allocated £3.5 billion, to reflect the need to help our elderly population. That was a significant result for local government. As we come to make the settlement for individual authorities, we will ensure that that is in the hands of local people.
ParlaMint-GB_2015-12-14-commons.u95	At least 340 unaccompanied child asylum seekers disappeared in this country between January and September, which is twice as many as did so in the calendar year before. That leaves them at terrifying risk of abuse, sexual exploitation and radicalisation. Councils say that funding cuts mean they do not have the resources properly to protect these incredibly vulnerable children, so why are the Government going ahead with a further cut to the unaccompanied child asylum seeker grant?
ParlaMint-GB_2015-12-14-commons.u96	These are important statutory responsibilities of local authorities and it is vital that they discharge them. Through the spending review settlement, the Chancellor has made available funds to local government that make sure that the cash settlement by the end of the spending review period is the same as it is at the beginning. That is a positive result for local government.
ParlaMint-GB_2015-12-14-commons.u97	15. What recent estimate he has made of the number of local authorities that have resettled Syrian refugees.
ParlaMint-GB_2015-12-14-commons.u98	The number of local authorities that have resettled Syrian refugees changes frequently, as more Syrians arrive for resettlement in the UK. Although it is not practical to give a running commentary on the number of local authorities participating in the scheme, I can confirm that at the beginning of December about 50 local authorities had confirmed places before Christmas.
ParlaMint-GB_2015-12-14-commons.u99	Does the Minister share my concerns about the rise of Islamophobia in the country, fuelled by the right-wing press? Will he issue guidance to local authorities and community organisations on how best to deal with it and to support refugees?
ParlaMint-GB_2015-12-14-commons.u100	Of course I share the hon. Gentleman’s concern about Islamophobia. All I can say is that I have found nothing but a warm welcome from all parts of the UK for the refugees who have arrived in this country, and I am certain that will continue.
ParlaMint-GB_2015-12-14-commons.u101	A lot of local authorities, including my Sefton authority in the north-west, are seemingly confused about their role. Is there anything the Minister can do to add clarity and hurry things along?
ParlaMint-GB_2015-12-14-commons.u102	Our dealings with local authorities vary very much, depending on the particular cases. We do not have any power to insist that refugees go to certain places, but we are working with county councils, district councils and metropolitan borough areas. The system is therefore very flexible, and all I can say is that at the moment it has been working very well, because the number of places that have been offered is broadly equivalent to the number of refugees arriving.
ParlaMint-GB_2015-12-14-commons.u103	16. What weight his Department gives to neighbourhood plans when assessing planning developments at the appeal stage.
ParlaMint-GB_2015-12-14-commons.u104	Planning appeals are determined in accordance with the development plan, unless material considerations indicate otherwise. Once brought into force, a neighbourhood plan is part of the development plan.
ParlaMint-GB_2015-12-14-commons.u105	As the Minister will know, a few weeks ago the villagers of Earls Barton were trooping to the polls to vote on the referendum on their neighbourhood plan, at the very same time as the Secretary of State was allowing a housing planning appeal in their area. After all the work my constituents have put in, what assurance can the Minister give them that this work on neighbourhood plans will be worth while?
ParlaMint-GB_2015-12-14-commons.u106	I recognise my hon. Friend’s diligent commitment to representing the views of his constituents and taking an interest in local matters, including this one. He will appreciate that I cannot comment on individual planning cases, but neighbourhood plans are, where appropriate, given significant weight, and individual decision letters will set out why there is a difference and why a neighbourhood plan has been departed from. The Secretary of State will always give appropriate weight to neighbourhood plans, which are an important part of our planning process and of localism. We welcome them and we want to see more agreed.
ParlaMint-GB_2015-12-14-commons.u107	19. What assessment he has made of the effectiveness of the local government grant formula in directing funding to areas of need.
ParlaMint-GB_2015-12-14-commons.u108	We will shortly present our proposals for a sustainable and fair 2016-17 local government finance settlement to the House. We propose to continue our approach of transforming local authorities from being dependent on grant to benefiting from promoting local growth.
ParlaMint-GB_2015-12-14-commons.u109	Spending on adult social care has fallen by £65 per person in the most deprived communities, whereas it has increased by £28 per person in the least deprived. In one of the councils I represent, the estimated shortfall in adult social care funding following the comprehensive spending review is £20 million, of which £2 million can be raised by increasing council tax by 2%. Is it not true that allowing an extra 2% rise in council tax merely devolves the blame without fixing the problem?
ParlaMint-GB_2015-12-14-commons.u110	In the provisional local government settlement that will come very shortly, we will announce changes to the local government finance system to rebalance support, including to those authorities with adult social care responsibilities, by taking into account the main resources available to councils, including council tax and business rates.
ParlaMint-GB_2015-12-14-commons.u111	21. What recent progress has been made on the proposed Edinburgh city deal.
ParlaMint-GB_2015-12-14-commons.u112	We are speaking with Edinburgh and south-east Scotland to look at proposals for a city deal there. It is welcome that so many parts of Scotland are keen to be part of the process of delivering city deals. We must ensure that, when they are agreed, they are agreed in such a way that will drive economic growth, and that is exactly what we are doing.
