ParlaMint-GB_2015-01-29-commons.u1	1. What steps she has taken to improve the cleanliness of Britain's rivers and waterways.
ParlaMint-GB_2015-01-29-commons.u15	My hon. Friend is right; there are huge opportunities for dairy in China. Chinese consumers currently consume a third of the dairy products that we consume in Europe, but that is expanding rapidly and the present generation of Chinese children are eating a lot of dairy products. UK products are particularly well respected and I took representatives of dairy companies, including Somerdale cheese, out with me. I want to see more companies out there and we are doing all we can to help the industry get its products into the Chinese markets.
ParlaMint-GB_2015-01-29-commons.u16	The Chair of the Select Committee, the hon. Member for Thirsk and Malton (Miss McIntosh) has ingeniously invented the concept of dairy pork. We are grateful to her for doing so.
ParlaMint-GB_2015-01-29-commons.u17	Pork exports have shown the way to opening new markets—cheese being a good example of that too. We could do more still at home with public procurement, which would help pork producers and especially our milk producers.
ParlaMint-GB_2015-01-29-commons.u18	I thank my right hon. Friend for all the work she did in this area when she was Secretary of State at the Department for Environment, Food and Rural Affairs. We launched the Bonfield report last summer, which is all about making it easier for our schools and hospitals to buy British. It opens up £400 million- worth of new markets for our farmers, and by 2017 all Government Departments are committed to sourcing locally. Of course, DEFRA has led the way: we now serve British bacon in our canteen, rather than the Danish bacon that used to be served.
ParlaMint-GB_2015-01-29-commons.u19	In her discussions with the Secretary of State for Business, Innovation and Skills, was the right hon. Lady able to raise the issue of the supermarket adjudicator and her need to have powers to impose fines, and to extend her remit throughout the entire length of the food chain, rather than just between the last producer and the supermarket?
ParlaMint-GB_2015-01-29-commons.u20	I thank the hon. Gentleman for his point. I work closely with BIS on this issue, and I am pleased to say that last night we laid the statutory instrument that will give the Groceries Code Adjudicator the power to fine companies.
ParlaMint-GB_2015-01-29-commons.u21	3. What estimate she has made of the number of trees planted during the present Parliament.
ParlaMint-GB_2015-01-29-commons.u22	Although figures are not yet available for the current planting season, we estimate that since 2010 our rural development programme will have supported the planting of over 10 million trees through new woodland creation. At the same time, our Big Tree Plant project is set to meet its target of planting 1 million new trees in England’s urban areas.
ParlaMint-GB_2015-01-29-commons.u23	Trees and woodland are a hugely important part of our landscape in Yorkshire, and I congratulate the Government on their work nationally to support tree planting. Locally too, many community groups in Harrogate and Knaresborough have planted thousands and thousands of trees. What steps are the Government taking to safeguard the health of trees from the threat of disease?
ParlaMint-GB_2015-01-29-commons.u24	In April 2014 we published a tree health management plan alongside our plant biosecurity strategy, and we are implementing those, working closely with stakeholders. We take a risk-based approach to plant health and we have created a prioritised risk register to inform appropriate action against pests and diseases. For example, we have introduced movement restrictions or notification requirements for certain tree species, and we appointed a senior chief bio-health officer, Professor Nicola Spence.
ParlaMint-GB_2015-01-29-commons.u25	Planting trees has been one of the great success stories over the past few years, but simply planting trees is not enough. We must manage our woodland, find commercial uses for wood products, and make sure that our forests are available for a wide range of uses. Can the Minister reassure me that the report of the independent panel on forestry and the subsequent strategy developed within the Department are very much ongoing business, and that we will see many of those ideas put into practice over the coming years?
ParlaMint-GB_2015-01-29-commons.u26	I take this opportunity to pay tribute to my hon. Friend for all the work he did in this area as Minister. Yesterday I met our stakeholder forum, which involves people from the commercial sector right the way through to local charity and voluntary groups. We can do much better on managing woodland in this country and we are taking the steps that will enable us to do that so that it can be more productive, better for biodiversity and better for local economies too, through initiatives such as Grown in Britain.
ParlaMint-GB_2015-01-29-commons.u27	4. What assessment she has made of the benefits and costs of extending the Cheshire badger vaccination programme to include the borough of Stockport.
ParlaMint-GB_2015-01-29-commons.u28	The deadline for applications for the badger edge vaccination scheme, which supports privately-led vaccination in the edge areas of England, which includes much of Cheshire, is 27 February. Decisions will be based on published criteria such as the size of the area, the location, value for money and operational readiness.
ParlaMint-GB_2015-01-29-commons.u29	Sadly, I must report an outbreak of bovine TB in Stockport in my constituency that is just north of the Cheshire area for which bids can be accepted. May I press the Minister to extend the area from which valid bids will be accepted, to take account of the northern spread of this pernicious disease?
ParlaMint-GB_2015-01-29-commons.u30	We are aware that there is a particular problem in Cheshire, and that is why we have introduced six-monthly surveillance testing. The boundaries of the so-called edge area are reviewed regularly on epidemiological grounds. The TB advisory group last considered this issue at the end of last year and decided that there was not a case for increasing testing at that stage. The matter will be considered again later this year.
ParlaMint-GB_2015-01-29-commons.u31	The Government keep on saying that there is no alternative to badger culling, yet the trials in Wales based on stringent cattle measures combined with vaccination show that there is a viable alternative to the Government’s mass slaughter of badgers. However, Ministers are obviously allergic to science-based policy and deaf to alternative approaches. Will there be an announcement on the further roll-out of the mass culling of badgers before the Dissolution of Parliament? The country needs to know.
ParlaMint-GB_2015-01-29-commons.u32	I think the hon. Lady is reading too much into what has happened in Wales. The vaccinated area is a little more than 1.5% of the total area. There has been a reduction in the incidence of TB, as there has been in the UK, predominantly through the introduction of cattle movement controls. We have always been very clear that there is no example anywhere in the world of a country that has tackled TB without also dealing with the reservoir of the disease in the wildlife population. We will stick to our 25-year strategy.
ParlaMint-GB_2015-01-29-commons.u33	The Minister will be aware that there is hearsay about the number of herd breakdowns within the pilot cull areas. When are we going to have some facts and figures?
ParlaMint-GB_2015-01-29-commons.u34	It is too early to give those figures. My hon. Friend is right, though, that anecdotally there are examples of farms that have gone clear since the badger cull commenced. The farm of James Griffiths, which I visited last year, had been under restriction for 12 years, and I understand that he went clear earlier this year. However, these are currently anecdotal reports and it is too early to draw any definitive conclusions.
ParlaMint-GB_2015-01-29-commons.u35	5. What discussions she has had with her ministerial colleagues on the environmental case for supporting the development of onshore and offshore wind power.
ParlaMint-GB_2015-01-29-commons.u36	The Secretary of State has been working with ministerial colleagues to implement the electricity market reform programme. This will deliver the greener energy and reliable supplies that the UK needs while minimising costs for consumers in the long term. Government planning guidance makes it clear that the need for renewable energy should not automatically override concerns about local impacts. When applications for wind turbines are determined, the impacts on matters such as ecology, noise, landscape, heritage and amenity are considered.
ParlaMint-GB_2015-01-29-commons.u37	That is all very well, but 57% of applications for wind farms are rejected and a very large number are called in by the Secretary of State for Communities and Local Government. [Hon. Members: “Hear, hear.”] I note that Government Members are saying “Hear, hear.” None of us wants wind farms in the wrong place, but surely that is a vital question, because we need renewable energy in this country. It is about time the Minister worked with his colleagues to get a sensible way forward so that we can have alternative energy sources.
ParlaMint-GB_2015-01-29-commons.u38	I am delighted to work alongside my Department of Energy and Climate Change colleagues on this issue. We have seen a dramatic increase in renewables such onshore and offshore wind. The hon. Gentleman is absolutely right to say that development has to be in the right place. It is only right and proper that local issues are considered, and we have to be very clear about the way it is done. He is welcome to come to my constituency and see that there has been an increase in onshore wind. However, this has to be taken forward through the proper planning procedure.
ParlaMint-GB_2015-01-29-commons.u39	If the Minister wants good will towards these hideous and useless items of industrial furniture, then he really does need to have another word with his planning inspectors. There is no way, had he done so, that they would have overturned the decision of the local authority against three wind turbines in the village of Langho that are incredibly unpleasant. The whole community and all the councillors were against them, but now the community has to put up with them. Will he have another word with his inspectors?
ParlaMint-GB_2015-01-29-commons.u40	I am sure that the hon. Gentleman’s right hon. Friend the Secretary of State for Communities and Local Government will have heard his message.
ParlaMint-GB_2015-01-29-commons.u41	Offshore wind has the potential not just to create green energy but to generate jobs, exports and research. Yet the support for offshore wind available through the current round of contracts for difference will not create the incentives needed for future investment. Frankly, this places in jeopardy the future of a fledgling industry. Will the Minister send a strong signal that the Government remain committed to offshore renewable energy?
ParlaMint-GB_2015-01-29-commons.u42	We are having a fascinating discussion on an issue that is not at the core of what our Department does. However, I am happy to reassure the hon. Lady that this Department is committed to working with others to take forward the decarbonisation of our economy. Through the investments in local growth deals and so on, we have shown how we are working with people right across the United Kingdom to create jobs and to deliver the green growth that will help us to restore our economy and work towards a far more positive future.
ParlaMint-GB_2015-01-29-commons.u43	In the case of the proposed extension to the Scout Moor wind farm near my constituency, my constituents are genuinely concerned that insufficient weight is being given to environmental considerations, such as landscape value, in the planning process. Does the Minister agree that, in considering such applications, sufficient weight must be given to the wishes and views of local constituents rather than to power and other matters?
ParlaMint-GB_2015-01-29-commons.u44	As I said to other hon. Members earlier, it is important that such local factors are taken into consideration. That is why some developments are approved, and others are not. Such decisions have to be based on important planning considerations, including those raised by my hon. Friend.
ParlaMint-GB_2015-01-29-commons.u45	6. How many water companies offer a social tariff.
ParlaMint-GB_2015-01-29-commons.u46	Eight water companies across England and Wales already offer a social tariff on top of the national, mandated WaterSure scheme, and we expect six more to introduce a tariff from April.
ParlaMint-GB_2015-01-29-commons.u47	I am grateful to the Minister for that answer. I am sure that he would join me in welcoming the announcement by Northumbrian Water in my area. After consultation with customers, it has introduced a social tariff, and it is working with debt charities to support vulnerable people in my area. However, only 25,000 people nationally benefit from social tariffs, so what practical steps is the Minister taking to encourage the scope and availability of social tariffs for vulnerable people?
ParlaMint-GB_2015-01-29-commons.u48	I know that the hon. Gentleman has a long-standing interest in this matter. I share his views on what is being achieved to help bill payers in his part of the country. As a Government, we have worked with the industry to look at ways to ensure that bills are affordable for people. The regulator, Ofwat, which has the key lead on this issue, has of course now taken action, and its price review has led to a very good deal for customers. More companies are taking advantage of the option of social tariffs. There will be more this year and more the year after, which will deliver a deal for vulnerable people who need help with their bills.
ParlaMint-GB_2015-01-29-commons.u49	Is not the big difficulty with water and sewerage bills separating those who cannot pay and need assistance from those who will not pay and need to be pursued? Is not the best way to reduce family water and sewerage bills to increase the spread of metering so that the volume of water consumed is less and the bill total is reduced?
ParlaMint-GB_2015-01-29-commons.u50	My hon. Friend makes a good point. In areas where there is higher metering, people have perhaps focused more on what they can do to reduce their water usage. We have not seen a case made for compulsory water metering across the country. However, people have the option of talking to their water company about water metering to help to reduce their usage and their bills.
ParlaMint-GB_2015-01-29-commons.u51	7. What estimate she has made of the number of people who used emergency food aid in the last 12 months; and what steps the Government are taking to address food poverty.
ParlaMint-GB_2015-01-29-commons.u52	The provision of food aid ranges from small, local provision to regional and national schemes. Some keep records, some do not, but we do not want to create new regulations or reporting burdens for volunteers and charity groups providing food aid. The best way to address poverty is to help people off benefits and into work, and we have created 1.7 million jobs since 2010. Schemes such as free school meals will also help. Last week, the Secretary of State met retailers to encourage them to do more to redistribute surplus food to local charities.
ParlaMint-GB_2015-01-29-commons.u53	According to the Trussell Trust, the food bank in the west end of Newcastle is the busiest in the country, feeding thousands every month. I hope that the Minister is not going to pretend that these people are just attracted to free food or that they do not know how to cook, because I have seen the tears in the eyes of my constituents at the shame they feel when forced to go to this food bank by this Government’s cruel and unfair policies. So what is he going to do about it?
ParlaMint-GB_2015-01-29-commons.u54	We have reduced taxes for 25 million people, and we have taken 3 million of the lowest earners out of tax altogether. In the past year, food prices have fallen by 1.7%, which is the first time that food prices have fallen since 2002.
ParlaMint-GB_2015-01-29-commons.u55	Instead of harping on about what the Government might or might not be doing—and we are doing much to get people out of food poverty—I urge colleagues to do as I have done and visit their local food bank. I know that many colleagues have already done so. They should also emphasise to their constituents that what food banks require is not fresh food, but pasta, sugar and other goods that can be stored for some time.
ParlaMint-GB_2015-01-29-commons.u56	My hon. Friend makes a good point. I visited the food bank in Camborne in my constituency just before Christmas to support the work that it does. It is better for food banks to have predominantly non-perishable goods to support the great work that they do.
ParlaMint-GB_2015-01-29-commons.u57	There is no shortage of food in this country, yet more than 1 million people are going hungry and relying on emergency food aid. There is no shortage of compassion from food bank volunteers, but there is a hunger of compassion in a Government who are taking us back to the 1930s in spending and to Victorian times in attitudes to the poor. The Secretary of State sat out the last debate on food banks. Will the Minister apologise for the Government’s staggering complacency in the face of a food crisis in which an advanced nation cannot feed its working poor and its vulnerable, or will he join again the collective chorus of denial in the dying days of this Government?
ParlaMint-GB_2015-01-29-commons.u58	The Government have got 1.7 million people back into work and taken 3 million of the lowest-paid out of tax altogether. If the Labour party had had its way, it would have frozen energy prices at the top of the market, but we have seen energy prices continue to fall. Food prices have fallen for the first time since 2002 and are continuing to do so.
ParlaMint-GB_2015-01-29-commons.u59	8. If she will review the measures put in place to protect bats and newts under the EU habitats directive.
ParlaMint-GB_2015-01-29-commons.u60	DEFRA completed a review of the national implementation of the habitats directive in 2012. Although the review found that implementation was largely working well, it identified measures to improve things further, which have largely been delivered. In addition, the European Commission has started its own evaluation of the directive, which is due to conclude in the spring of 2016.
ParlaMint-GB_2015-01-29-commons.u61	Before I receive any hate mail, may I say that I am a keen conservationist and that I like bats and newts? However, as my hon. Friend intimated, there are problems with the implementation of the EU habitats directive that are costing the taxpayer and private citizens huge amounts of money—millions and millions of pounds. I say gently to him that, during the review, Natural England and other agencies gold-plated the EU habitats directive to a great extent. Just to give an example, when I bought my semi-derelict house, there were 24 great crested newts in the cellar. If, heaven forfend, I had picked them all up and taken them outside, I would have been liable to spend 12 years in jail and pay a fine of £120,000.
ParlaMint-GB_2015-01-29-commons.u62	I think we have got the gravamen of the right hon. Gentleman’s inquiry.
ParlaMint-GB_2015-01-29-commons.u63	My right hon. Friend is right. The Conservative party has a proud history of conservation. Indeed, we introduced the Wildlife and Countryside Act 1981. I point out to him that since our 2012 review, the changes to Natural England’s licensing procedures have saved applicants an estimated £535,000 and 678 weeks of delay. DEFRA has assisted the Church of England to produce guidance to simplify the consideration of bats in churches and has funded research into bat deterrence. DEFRA will continue to work with stakeholders to address the problems that he has identified.
ParlaMint-GB_2015-01-29-commons.u64	9. What assessment she has made of successful strategies by UK food and drink businesses to export their products in the last 12 months.
ParlaMint-GB_2015-01-29-commons.u65	Food and drink is our largest manufacturing industry. The chain contributes more than £100 billion to the economy every year. Since 2010, we have supported 2,500 firms to get their produce into supermarkets, restaurants and pubs across the world. We now trade with more than 150 countries, selling wine and cheese to France, tea to China and chillies to Pakistan.
ParlaMint-GB_2015-01-29-commons.u66	I am proud to have a meat producer in my constituency that makes chorizo sausage that it sells to Spain. Will the Secretary of State and the Department continue to work closely with all local food producers to get their products into supermarkets and new markets around the world?
ParlaMint-GB_2015-01-29-commons.u67	I am delighted to hear about the chorizo. I look forward to coming to my hon. Friend’s constituency to sample it. I want people to buy and sell more British food here in Britain and overseas. That is why we produced the Bonfield report about public sector procurement. I have talked to the supermarkets about ensuring that they have good British labelling, so that we get British products into our supermarkets where possible. Strawberries are a huge success, with two-thirds of the strawberries sold in supermarkets being British. We are doing more to promote food and drink overseas through our food and drink export plan.
ParlaMint-GB_2015-01-29-commons.u68	May I commend the Department and our embassies abroad for their work in expanding our exports? We also need to ensure that there is continuing access to markets abroad. What steps are being taken to ensure that the South African authorities accept regionalisation in the export health certificate for poultry, so that exports can resume following the outbreak of avian influenza in Nafferton?
ParlaMint-GB_2015-01-29-commons.u69	Some exports were affected by the avian flu outbreak. We took action as swiftly as possible, and we had a Government vet on the premises on the day to ensure that we dealt with the situation. We are working with countries such as South Africa to open those markets as rapidly as possible.
ParlaMint-GB_2015-01-29-commons.u70	The Secretary of State will be aware that there are now some 448 commercial vineyards in the United Kingdom, producing 4.5 million bottles of excellent wine a year, with méthode champenoise in particular renowned around the world. Is she aware that the UK pays two thirds of all the duty paid on wine in the EU—an average of £2.05 a bottle? Given the additional costs of producing wine in the UK, will she speak to the Chancellor about achieving a fairer tax treatment of this great British refresher?
ParlaMint-GB_2015-01-29-commons.u71	My hon. Friend makes a good point. Our exports of wine have now exceeded £100 million for the first time, and we are exporting to France and Australia. I will certainly discuss the issue with the Chancellor.
ParlaMint-GB_2015-01-29-commons.u72	10. What steps she has taken to ensure that people are aware that by 2016 it will be a legal requirement to microchip their dog.
ParlaMint-GB_2015-01-29-commons.u73	The draft Microchipping of Dogs (England) Regulations 2015 have recently been debated in both Houses and will come into force shortly. The regulations require that all keepers of dogs must, by April 2016, have their dogs microchipped. Welfare groups and the Department for Environment, Food and Rural Affairs have already taken steps to raise awareness of that requirement, and DEFRA will continue to work closely with vets and charities to highlight the new requirement.
ParlaMint-GB_2015-01-29-commons.u74	In a number of western countries where microchipping has been compulsory, fewer dogs are microchipped than in the UK where it has been voluntary. What is the maximum penalty that will be imposed on anyone who fails to comply?
ParlaMint-GB_2015-01-29-commons.u75	The first thing to note is that about 70% of dogs in this country are already microchipped under the voluntary scheme. Our judgment is that we now need to make it compulsory to get to the remaining 30%. We will take a proportionate approach to penalties. In the first instance, somebody will be given an enforcement notice, not a penalty, and 21 days to comply Charities are doing a great deal to raise awareness. Officials pointed out to me this morning that a recent edition of The Beano included a storyline put there by the Dogs Trust in which Gnasher had a microchip installed.
ParlaMint-GB_2015-01-29-commons.u76	That is useful to all of us, and in particular to the hon. Member for Clacton (Douglas Carswell), who would not otherwise have known of it.
ParlaMint-GB_2015-01-29-commons.u77	You will be aware, Mr Speaker, that I raised with the Prime Minister last week the plight of Murphy, a dog who had been stolen in Bradford—one of a spate of dog thefts in the local area. Does the Minister think microchipping will help to reduce the number of dog thefts, and what other steps is his Department taking to ensure that we see fewer of these terrible instances?
ParlaMint-GB_2015-01-29-commons.u78	My hon. Friend makes a good point. It is very distressing for families when they have a loved pet stolen. Compulsory microchipping of all dogs will make it far easier to detect such crimes, and we will issue guidance to vets and others that if they suspect a dog might have been stolen, they should report that to the relevant authorities.
ParlaMint-GB_2015-01-29-commons.u79	12. When she plans to implement schedule 3 to the Flood and Water Management Act 2010.
ParlaMint-GB_2015-01-29-commons.u80	Following significant discussions with local government and others and a formal consultation, the statement on 18 December by my right hon. Friend the Secretary of State for Communities and Local Government set out a simple way to clarify maintenance responsibilities for sustainable drainage systems, in response to Sir Michael Pitt’s recommendation. That comes into effect in April, but we will keep it under review. Schedule 3 to the Flood and Water Management Act 2010 remains available for implementation.
ParlaMint-GB_2015-01-29-commons.u81	Many people in North East Derbyshire who are moving into newly built homes are finding themselves knee-deep in sewage every time it rains, because the drains cannot cope with the extra capacity. That is a direct result of the sustainable drainage systems part of the 2010 Act still not having been implemented. When does the Minister plan to implement it, and what has been the delay?
ParlaMint-GB_2015-01-29-commons.u82	It is being implemented, and the provision to do so has been taken forward in collaboration with my colleagues in the Department for Communities and Local Government. We think it will make a real difference. If the hon. Lady has particular issues that she would like to raise with me about the situation in her area, I would be happy to hear from her.
ParlaMint-GB_2015-01-29-commons.u83	14. When she plans to review the allocation of common agricultural policy funds between Scotland, England, Wales and Northern Ireland.
ParlaMint-GB_2015-01-29-commons.u84	The review of allocations of common agricultural policy funds between UK Administrations will take place during 2016 and 2017. DEFRA will first work with the devolved Administrations to decide on the data needed to facilitate a comparison of payments across the UK. I have made it clear that one area that will be examined in the review is a comparison of land types and payment areas. That task will be easier once all UK Administrations have made the transition to area-based payments.
ParlaMint-GB_2015-01-29-commons.u85	I thank the Minister for that answer. If the review shows that farmers in any one part of the UK are being unfairly treated by the current allocation formula, it is obviously important that the outcome of the review is implemented straight away. I hope that the Minister will commit to supporting a speedy implementation.
ParlaMint-GB_2015-01-29-commons.u86	We will consider implementation as part of the review. We have always made it clear that changing allocations before 2020—within the current programme—would have some legal difficulties, as well as practical difficulties for other Administrations. At the very latest, the changes will take effect from 2020.
ParlaMint-GB_2015-01-29-commons.u87	T1. If she will make a statement on her departmental responsibilities.
ParlaMint-GB_2015-01-29-commons.u88	DEFRA’s priorities are leading the world in food and farming; protecting our country from floods and animal and plant diseases; improving the environment; championing the countryside; and rural services. The British dairy industry is world leading, and we are doing all we can to make sure that our hard-working farmers are able to get through this tough period. That is why we are working with the banks and Her Majesty’s Revenue and Customs to help farmers with any cash-flow problems and ensuring that payments to dairy farmers are prioritised by the Rural Payments Agency. We want to see more British dairy products being sold here and overseas and that is why I have been pushing for better country of origin labelling, why we launched the Bonfield report to get the public sector buying British and why we continue to promote exports, which are now at record levels.
ParlaMint-GB_2015-01-29-commons.u89	Northamptonshire Action with Communities in Rural England does a fantastic job in support of local parish councils and other village communities in the borough of Kettering and across the county. What confidence can the Secretary of State give Northamptonshire ACRE and parish councils that the future funding for ACRE will be secure?
ParlaMint-GB_2015-01-29-commons.u90	I completely agree with my hon. Friend about the vital work ACRE does and that is why, despite the fact that we live in tough economic times, we have been able to confirm the budget for 2015-16, so that it can carry on doing that valuable work.
ParlaMint-GB_2015-01-29-commons.u91	The Under-Secretary of State for Energy and Climate Change, the hon. Member for Hastings and Rye (Amber Rudd), said on Monday in the House that the severely redacted report on the impacts of shale gas on the rural economy was prepared by a junior member in another Department “and it was not appropriate for them to have done so”.—[Official Report, 26 January 2015; Vol. 591, c. 594.] In view of those comments, will the Secretary of State tell us why it was done and which one of her Ministers was responsible for overseeing the production of the report? Or is that information to be redacted too?
ParlaMint-GB_2015-01-29-commons.u92	The paper in question was not analytically robust and it was not signed off by Ministers. The responsibility for the economic impacts of fracking is a matter for the Department of Energy and Climate Change and it is looking at the issue. I am clear that fracking has a huge potential to provide jobs and growth and lower our energy costs. That is why it is so important that we proceed with this vital technology.
ParlaMint-GB_2015-01-29-commons.u93	Ministers have responsibility for what is done in their Department. The report has been so heavily redacted that even the name of its author has been removed. Given that the Government have now caved in to Labour’s demand for extensive and robust regulation, without which there can be no fracking for shale gas, why does the Secretary of State not now publish the report, unredacted, in the interests of full transparency? Does she understand that refusing to publish it merely fuels suspicion that the Government have something more to hide than her junior Minister’s embarrassment at being asleep on the job?
ParlaMint-GB_2015-01-29-commons.u94	The majority of the proposals the Government accepted were already Government policy and were being carried out voluntarily by the industry, the Environment Agency and the Health and Safety Executive. We have agreed to accept the proposals to provide reassurance in law to give the industry the best chance of success in this important technology.
ParlaMint-GB_2015-01-29-commons.u95	T3. Many of my constituents are concerned about the levels of sea bass stocks and measures taken to support them. Will the Minister indicate what action the Government are taking to tackle this important problem?
ParlaMint-GB_2015-01-29-commons.u96	My hon. Friend makes a very important point. In December Council, the UK pressed hard for a commitment to protect bass stocks. We got a statement from the Commission and subsequently wrote to it. I can confirm that it has now implemented emergency measures to protect bass during the spawning season and ban the very damaging practice of pair trawling, which is a major step forward.
ParlaMint-GB_2015-01-29-commons.u97	T2. My constituents who run rural businesses were very disappointed that the north Pennines LEADER bid for support was turned down. They think mistakes were made in the assessment. Will the Minister undertake to ensure that the bid is re-examined?
ParlaMint-GB_2015-01-29-commons.u98	There is an appeals process and a number of bids were not successful. This was a competitive process. The LEADER group to which the hon. Lady refers is welcome to submit an appeal for consideration.
ParlaMint-GB_2015-01-29-commons.u99	T4. The Secretary of State is already the toast of the people of Southwell after she gave them the flood grants they had so dearly asked for, but she could cement her reputation in this part of Nottinghamshire by helping us to export our greatest gift to the world’s tables: the bramley apple. As everyone knows, the bramley apple was created by Miss Brailsford of Southwell, although the name was ruthlessly taken by the local butcher, Mr Bramley. The bramley apple is of course ubiquitous in this country, but is virtually unexportable because it is not known in the rest of the world. Can the Secretary of State reassure us that, with the staff and expertise she is building in new markets, she is developing expertise in branding so that we can create great British brands, which is the key to export?
ParlaMint-GB_2015-01-29-commons.u100	I am a huge fan of the bramley apple and I eat them on a regular basis. As well as exporting more bramleys abroad, I would like more to be sold here in Britain. Currently, we import two thirds of our apples, so there is a huge opportunity here in the UK. I completely agree with my hon. Friend on branding, which is why we are working with the GREAT Britain campaign to ensure we have clear British branding on our products, and that all our small and other suppliers across the UK have access to those opportunities.
ParlaMint-GB_2015-01-29-commons.u101	T5. Super- markets are putting huge financial pressures on suppliers in the food industry. That is not benefiting the consumer, and it is driving wages and terms and conditions down for people who work in the industry. Is it not high time the Government considered regulating supermarkets?
ParlaMint-GB_2015-01-29-commons.u102	As I mentioned earlier, last night we laid regulations to enable the Groceries Code Adjudicator to have the power to fine supermarkets. I have regular meetings with supermarkets. [Interruption.] It will be able to fine up to 1%, which is a significant sum.
ParlaMint-GB_2015-01-29-commons.u103	T6. I very much welcome the Government laying the statutory instrument to enable the Groceries Code Adjudicator to issue fines. Dairy farmers in my constituency across the Blackdown hills and Exmoor are now producing milk well below the cost of production. Many big retailers are paying a good price for milk, but are keeping cheese prices artificially low, especially processed cheese. Will Ministers and the Secretary of State put real pressure on retailers to be fair to farmers? At the moment, they are using dairy products as loss leaders and driving the price down.
ParlaMint-GB_2015-01-29-commons.u104	I understand that dairy farmers are in a very difficult position. We have very low prices. We expect prices to improve, but clearly there are severe issues for our dairy industry. We are doing all we can, working with HMRC and the RPA on cash-flow issues, to help in the short term. He is absolutely right: there is a big opportunity with our supermarkets. We meet the supermarkets regularly to discuss these issues and to ensure that we have proper British labelling. It is really important that, when consumers go into supermarkets, they can see whether a product is from Britain and is sourced from British milk.
ParlaMint-GB_2015-01-29-commons.u105	T7. I am sure that, like me, the Secretary of State raised a toast this week to Scotland’s national bard, Robert Burns, with Scotland’s national drink. Exports of Scotch whisky are rising, with 1.3 billion bottles exported around the world in 2013, but will she talk to her colleagues in the Treasury ahead of the Budget about excise duty to ensure that the Scotch whisky industry is not penalised at home compared with other UK alcohol products?
