ParlaMint-GB_2015-12-11-lords.u1	That the order of commitment be discharged.
ParlaMint-GB_2015-12-11-lords.u12	My Lords, I am very grateful to everyone who spoke in support of the amendment. I am somewhat disappointed by the reply of the Minister, though clearly she approves of the effect of some of what we have achieved along the way. As we tried to make clear, we think the time has come for rather more fat to be added to make rather less of this material available. As has been mentioned, more children could be damaged by it in the run-up to the next meeting, when we have yet another Bill to look at. However, this is Committee and we will no doubt look at coming back to all this on Report. For the moment, I beg leave to withdraw the amendment.
ParlaMint-GB_2015-12-11-lords.u13	My Lords, this is a probing amendment and I very much look forward to hearing what the Minister says in response. Following the net neutrality vote in Brussels, it would seem that if the filtering arrangements negotiated by the Prime Minister—I congratulate him on them—are to continue, the Government must bring forward legislation to make them a reality by April. I very much hope that the Government will use this Bill to rise to this challenge since it not only makes statutory provision for filtering but addresses two serious shortcomings with the current voluntary arrangements One of these shortcomings is addressed by Clause 1, which not only mandates adult content filters but states that these cannot be lifted without prior age verification demonstrating that the person wanting to access adult content is indeed an adult. Clause 1(3)(a) requires that the age verification scheme used by the internet service providers, or ISPs, and mobile phone operators, or MPOs, conforms to the standards set by Ofcom in Clause 2. My amendment proposes that the guidance from Ofcom required under Clause 2(1)(b) must cover the age verification procedures not only for the initial set-up of a service but when people seek to change their filter settings, and to make provision for this to be done in a proper way Most people would find it very odd that the Government should have encouraged the industry to provide adult content filters but in a way that makes it perfectly possible for children as well as adults to lift them. There are two counterarguments here, as there are concerns about this dangerous situation. First, I fully understand that if a few tech-savvy young people can hack into TalkTalk, they would certainly be able to work out a way around age-verification checks. However, that is not an argument against doing what we can to make sure filters are not lifted by children but an argument against filters per se. Crucially, it is an argument that has failed. No one, least of all the noble Baroness, Lady Howe, or I, has ever argued that filters are the answer or the one and only silver bullet. The point about filters—the reason that the Prime Minister was absolutely right to promote them and that the noble Baroness, Lady Howe, has been so right to pursue them—is not that they make the internet safe but that they make it safer, by acting as a speed bump to slow down access Secondly, I am completely aware of the fact that the big four ISPs agreed that if the filter settings are changed the account holder should be emailed, so that if the settings were not changed by them they are made aware. However, this arrangement is completely unsustainable. In the first instance, the whole point about age verification is that it is something you do before, not after, allowing an age-restricted activity. In the second instance, the means of providing retrospective protection through this system is in any event very weak. Even if someone reads their emails very quickly, it will probably take several hours before they can do anything about it. During that time, their children could be freely accessing adult material In a poll for the charity CARE, a total of 34% of British adults—some 16.3 million people—said that they would not read an email from their ISP immediately. Some 11% said that they would probably leave the email unread for up to a week, while 9% would be likely to leave it for more than a week and a staggering 14% were unlikely to read any email from their ISP at all. This would leave a significant number of children exposed to adult content for a week or more, and others exposed permanently. We cannot allow that to happen In responding to this point at Second Reading, the Minister rather indicated that she was content with this. She said that, “three-quarters of parents in the UK are confident that children are unable to bypass these tools. But to mitigate any further risk, as has been said today, ISPs email the main account holder when filter settings are set or changed”.—[Official Report, 17/7/15; col. 860.] Even if only the children of the remaining 25% of parents attempt to switch off the adult content filters, this can be no justification for exchanging credible age verification procedures before allowing the user to opt in to access adult content, for an arrangement that comes into effect only after adult content has been accessed and which we know will not be picked up by parents in significant numbers I simply cannot believe that the Minister—and I know her well—or the Government are really, truly satisfied with this unsafe arrangement. The Bill before us makes good this significant failing with the current arrangement. It is the purpose of my amendment to highlight that by using language that makes the fact that people change their filter settings more explicit in the Bill. I very much look forward to hearing what the Minister has to say about this very important amendment, and I beg to move.
ParlaMint-GB_2015-12-11-lords.u14	My Lords, I am very pleased to speak in support of the amendment proposed by the noble Baroness, Lady Benjamin, which makes explicit the fact that decisions about filtering are not just made at the set-up stage. I recall that during Second Reading the noble Baroness, Lady Howe, sought to highlight the fact that, in the context of the current voluntary filtering agreement between the big four ISPs, there is nothing to stop a child lifting adult content filters after they have been put in place. This seems to be a serious design flaw with the voluntary agreement, and one that I am glad this Bill seeks to rectify I note that when the Minister was pressed on this point during Second Reading she said that, “three-quarters of parents in the UK are confident that children are unable to bypass these tools. But to mitigate any further risk, as has been said today, ISPs email the main account holder when filter settings are set or changed”.—[Official Report, 17/7/2015; col. 860.] I think that possibly the Minister misread the point. The lack of age verification in the event that after parents select filters at the set-up, their children subsequently—and unknown to them—turn the filters off, is not about bypassing filters The point is not that some very technologically able young people who can work out how to bypass filters should be subject to age verification. I am not sure how one would apply age verification to such clandestine activity. The concern relates instead to a larger group of children, with no great technological expertise, being able to switch off the filters in the same way as an adult who has no special technical expertise can do so, because the ISP has provided the user with the facility to maintain or lift filters. This is the process that should be age-verified. The idea that this concern has been sufficiently addressed by the provision of an email sent to the account holder after the filter settings have been changed, informing them of that fact, is deeply concerning Age verification should happen before an age-restricted activity is permitted. The idea that it is acceptable to do this after the fact, and by the most flimsy of arrangements, is quite extraordinary, to say the least. As the noble Baroness, Lady Benjamin, has said, even if you live in your inbox and open all your emails as they come in, it will still take you some time to address the problem if you are at work, which leaves the children exposed to harmful content, possibly for some hours. Most of us, however, take a while to get round to opening our emails—half a day, three days or a week. As the ComRes polling eloquently testifies, some people may never open it, leaving children exposed to adult content, unknown to their parents, who will assume the filters are still on indefinitely. I very much hope that when the Minister responds to this amendment, she will at least commit to review the provisions in place to help prevent children lifting adult content filters, after they have been introduced at the set-up, without prior age verification.
ParlaMint-GB_2015-12-11-lords.u15	This amendment is quite logical, if the provisions are going to work. It is obvious that, if people can switch off filters, the whole thing is bypassed. I want to speak on the next amendment, about age checking, but this is a logical amendment to have if you want to get this Bill to work. As I said at Second Reading, filters are not quite good enough, because you can block only at the point when you access the page. Filters are quite crude—that is the problem; they tend to block entire websites, or they overblock and then people lift them. So there are a lot of problems around the amendment but it is hugely well intentioned, and I do not have a problem with people using filters. It is a good starter lock and will block a lot of simple things, but we need to go slightly further to block those who are technically savvy from getting round them—or those who persuade their parents that, because they could not get to a particular page on a website, they should override the filter for that website and unblock the whole thing. The convenience of the parent will probably win. How you get this to work is always the problem but that is not to say that we should not try.
ParlaMint-GB_2015-12-11-lords.u16	As a non-lawyer, may I intervene with a query? The phrase “adult” services is a colloquial euphemism. In my understanding, or non-understanding of the law, it is interpreted as to the literal use of the language. Would not it be unambiguous and better if it was just to say “pornographic”?
ParlaMint-GB_2015-12-11-lords.u17	My Lords, I congratulate the noble Baroness, Lady Benjamin, on her amendment, which put the whole theme very effectively. We can all only do our best to re-emphasise all these points, because they are so vital We have heard a good deal about age verification in relation to pornographic websites since the publication of the Conservative manifesto, and rightly so. The commitment is of seminal importance, and I very much welcome it. However, we should not lose sight of an entirely different application of age verification in the online world, which the noble Baroness has raised in this debate. Filtering as a child protection mechanism is only really credible if filters are lifted in response to requests from adults. To avoid confusion, let me be clear about what I mean when I talk in terms of lifting filters, and what I do not mean. Having a robust filtering system does not mean guaranteeing that no one with special expertise will be able to bypass the filters. That is beginning to be made clear—I hope so—because many people have mentioned it to the Minister I fully recognise, as do most of us, that quite a number of young people will work out how to do bypass filters. My point has never been that a robust filtering system makes the internet safe—only that it makes the internet safer. What I am talking about here is the facility that an adult, regardless of whether or not they are a computer expert, should be able to access to lift adult content filters if they decide they do not want them anymore. While a robust filtering system cannot be expected to guard against those young people with real computer expertise who can work out how to bypass filters, it must ensure that the mechanism that ISPs make available to their customers to switch off the filters is subject to age verification To have filters in place that anyone can lift without age verification is a bit like saying that we are doing our best to promote security by providing doors, even though all the doors are unlocked. In this context, a so-called closed loop system whereby an ISP will send an email to an account holder informing him that the filter settings have been changed is completely unacceptable. As other noble Lords have pointed out, age verification takes place before an age-restricted activity occurs, not after it. As the polling demonstrates, a significant number of people would never open an email from their ISP. The noble Lord, Lord Morrow, made that point, and I could not agree with him more. I very much hope that the Government will start taking note of this aspect of the age verification challenge as well as in relation to web crime The Bill, which requires users to decide whether they want to access adult content, subject to age verification checks, would help them rise to this challenge. Clause 1(4)(b) requires that a provider of a service has to have age verification that meets the standards set out in Clause 2. I am grateful to the noble Baroness, Lady Benjamin, for moving her amendment, which makes explicit this very sensible requirement. I hope that on this occasion the Minister will have taken in what has been said and will do something about it.
ParlaMint-GB_2015-12-11-lords.u18	My Lords, like the noble Earl, Lord Erroll, I think this is a logical amendment which follows the way in which the promoters of this Bill are taking it forward. It fits well into the logic of what we have heard so far, and it should be supported. As many noble Lords have said, age verification lies at the heart of this issue. It is not just in relation to adult content—however it is to be described—but also in relation to things such as gambling access and more generally. As we move into the digital age and as consumers increasingly exercise online purchasing power, there will be other issues where it is important to make sure that age is verifiable. I am not sure that we have got to that point. That makes the Government’s response so far rather confusing, and I will be interested to hear what the Minister says on this amendment. They seem quite happy to go with the crowd on populist measures, talking up what should happen here, but they seem reluctant to take the necessary steps to enforce them in a way that will give confidence to those who have to use these systems that they will work. Like the noble Baroness, I am looking forward to what the Minister will say.
ParlaMint-GB_2015-12-11-lords.u19	I thank noble Lords for their comments. This discussion has gone way beyond the scope of the amendment, but I state at the outset that there is no reluctance on the part of the Government to take action here. We are talking not about what is going to be done but about how it is going to be done. We have talked about future-proofing, but the real issue is that by the time legislation is in the public domain, the world will have moved on. We are starting a consultation very shortly on age verification. It is part of our manifesto commitment. We have been seeking the advice of experts for the past couple of months and are going to open that up to the public. There is no wavering in the Government’s commitment to online safety. We are talking about how we are trying to do it versus what we are trying do. We all agree that this is an urgent issue that has to be addressed. We have talked about filters. The noble Earl, Lord Erroll, has been very involved in the development of age verification systems and, as he said, filters are a very crude mechanism. We cannot rely on them completely. That said, we believe they are part of the parental toolkit, and we will make sure that by December 2016 we are in compliance with the EU regulations on net neutrality. We will not let that slip through our fingers We are trying to legislate about many bits and bobs, if you will. We have to continue the process of co-operating with industry to evolve the regimes that protect children online. That is the only way. If there is something wrong with the way that ISPs are doing this and if there are things that noble Lords want to raise, they should raise them. The ISPs will change their procedures and modify accordingly. They are committed to this agenda. We do not need to legislate here. We just have to continue to work with them through the UK Council for Child Internet Safety and the voluntary mechanisms that we have established and we will accomplish more.
ParlaMint-GB_2015-12-11-lords.u20	I may have misheard the Minister. Will she repeat the date? I thought she said December 2015, but this is December 2015.
ParlaMint-GB_2015-12-11-lords.u21	I said December 2016. As the Prime Minister said in response to this issue, we will make sure that we protect children in whatever way we think is necessary—whether that is law or not, I will not say at this stage—but we will make sure that that remains in place.
ParlaMint-GB_2015-12-11-lords.u22	Governments always want everything to be perfect, and this is a rapidly moving target in a very modern world. The point has now been made twice, and I make it again, that these amendments are designed not to make the system safe but to make it safer. At this stage, anything we can do to make it safer should be done.
ParlaMint-GB_2015-12-11-lords.u23	I could not agree more with my noble friend.
ParlaMint-GB_2015-12-11-lords.u24	My Lords, I am very grateful to all noble Lords who have participated in this debate. I am happy to hear the Minister’s passion for and commitment to this issue. I look forward to seeing what the Government put forward for the future because, as we have all said, we have to protect our children. I recently visited Rye Hill prison in Rugby, where there are more than 680 sex offenders. I spoke to some of them and they all said, “Baroness Benjamin, if only I had been protected from seeing adult content material when I was a child I would not have been so traumatised and damaged in the way I am today”. Many other children are being traumatised by being able to see adult content material. I am so pleased to hear noble Lords’ commitment and what the Government are going to do. Will the Minister meet Peers who have spoken this morning to see how we can all work together to put an end to this incredibly dangerous situation for our children? I am very grateful to the Minister. I beg leave to withdraw the amendment.
ParlaMint-GB_2015-12-11-lords.u25	My Lords, this is a probing amendment which makes explicit two of the matters that the Ofcom report required by Clause 2(6) should cover: an assessment of the filtering of adult content required by Part 1 and the age verification policies referred to throughout the Bill One of the great strengths of Clause 1 is that it covers filtering of adult content by all internet service providers and mobile phone operators. Ofcom’s reporting duty should therefore relate to the conduct of all providers. It was very noticeable that in its recent review of filtering by ISPs, Ofcom considered only the big four ISPs that are subject to the voluntary filtering agreement negotiated with the Government. I do not believe that this filtering arrangement is sustainable in the long term unless we are prepared to countenance affording better rights to children fortunate enough to live in households provided for by the big four ISPs than to those living in households serviced by other providers. According to Ofcom’s published facts and figures, the market share of the big four ISPs in 2015 was 88%. That is the same percentage as in 2014 with a slightly different distribution between the ISPs: BT had 32%, Virgin Media had 20%, TalkTalk had 14% and Sky had 22%. That leaves 12% of the market, and therein hundreds of thousands of children, beyond the reach of the agreement I am of course aware that, although not party to the agreement between the big four providers, a number of the smaller operators provide good filtering options. A survey late last year discovered that of the 14 smaller ISPs that service homes, four were found to be offering something nearly comparable to the big four but 10 were not. Of those 10, two made it clear that they did provide filtering but it had to be applied by the customer separately; it was not an unavoidable choice during the set-up stage. Seven ISPs could not provide any information about filtering. One expressly said that it did not provide filtering. While the conduct of the four smaller ISPs is encouraging, the provision of filtering options by the smaller providers as a whole is concerning, and serves to underline the need for a common statutory approach I note that during the Second Reading debate on the Bill, the Minister, when challenged on this matter, responded in the following terms: “It is important to note that these providers state at installation and on their marketing materials that they do not have child safety credentials”.—[Official Report, 17/7/15; col. 860.] The implication of this approach would seem to be that so long as the company makes these statements, it will be okay. This seems rather extraordinary, raising the question: if this approach is sufficient, why can the other providers not do the same? It also jars with the survey that I mentioned earlier where only one of the 10 smaller ISPs clearly stated that it did not provide filtering. I am struggling to believe that this really represents the Minister’s position So long as some ISPs offer less protection than that provided through the agreement between the big four providers, and so long as we agree that all children are of equal value regardless of which provider services the homes in which they live, the only solution certainly seems the even-handed one proposed by the Bill, which requires the same minimum filtering from all providers, the conduct of which, subject to my amendment, should be reflected in the Ofcom report The case for making the changes proposed in Part 1 of the Bill and my amendment has of course been greatly strengthened since Second Reading as a result of the Prime Minister’s decision to introduce filtering legislation, which he announced in another place on 28 October. In responding to a question about whether the EU net neutrality vote would jeopardise our approach to filtering, the Prime Minister said: “Like my hon. Friend, I think that it is vital that we enable parents to have that protection for their children from this material on the internet. Probably like her, I spluttered over my cornflakes when I read the Daily Mail this morning, because we have worked so hard to put in place those filters. I can reassure her on this matter, because we secured an opt-out yesterday so that we can keep our family-friendly filters to protect children. I can tell the House that we will legislate to put our agreement with internet companies on this issue into the law of the land so that our children will be protected”.—[Official Report, Commons, 28/10/15; col. 344.] The words that struck me particularly in that passage were, “I can tell the House that we will legislate” While I do not agree with the EU vote, the fact that it means that Britain will now legislate in this area is very welcome, both because it endorses the statutory approach advanced by this Bill and because it provides an opportunity for addressing the failure of the current approach to cover 12% of the market I understand that the Government must have legislation on the statute book by the time the new European provisions come into effect—on, I think, 30 April 2016—so they are very fortunate to have this excellent Private Member’s Bill already in Committee. I hope that the Minister can assure me that the Government will give serious consideration to adopting this Bill to protect ISPs from litigation. If the Government insist on bringing forward their own Bill, I impress upon them the need to require filtering, on the basis mandated by the Bill, for all ISPs that service households with children, not just some. This should also be reflected in Ofcom’s reporting obligation I should say in passing that if the Government are going to bring forward their own legislation that will have to be implemented by April next year, they should do so very quickly. There can be no excuse for rushing this through at the last minute when we have known this since the end of June this year. I beg to move.
ParlaMint-GB_2015-12-11-lords.u26	My Lords, I support the amendment from the noble Lord, Lord Morrow. Ofcom should have to report on the compliance of all ISPs, not just the big four, and all ISPs should be subject to the same filtering obligations where they service households with children, as the noble Lord has said. The Government need to ensure that all providers that service households with children have adequate filters. If the Government now need to make legal provision for filtering, in order to protect the big four from litigation on the basis of EU net neutrality legislation, surely the best way forward is to use this excellent Bill.
ParlaMint-GB_2015-12-11-lords.u27	My Lords, I do not want to add too much to the way that the noble Lord, Lord Morrow, has framed his amendment today, but his point is worthy of serious scrutiny, simply because children living in households that are not serviced by the big four ISPs surely require the same level of protection as those in homes whose services are provided by the big four ISPs. Everyone in your Lordships’ House agrees that every child matters; I think that it is not at all controversial to say that It is a little confusing that the Prime Minister should seem so robust in his statement in the other place on 28 October, suggesting that the Government wanted to introduce legislation, yet the Minister—unless I misunderstand her—seems very happy to continue with a kind of voluntary regulation. I am not quite sure how that squares up. The point—and the noble Lord, Lord Morrow, makes it well—is that whatever we come up with cannot apply only to some children; surely it must apply to them all I would have thought we might regard it as good news that there is a need to introduce some legislation to prevent our approach to filtering being caught up by the new EU legislation, which provides us with an opportunity to correct a serious failing in our current arrangements. I hope that the Government—although I am starting to feel doubtful about this—might seize this opportunity with both hands I therefore put two questions to the Minister. First, I assume that the big four ISPs are saying to the Government, “We’re happy to continue providing filtering on the basis that we agreed, but only if you provide us with the requisite legal cover because we’re not prepared to be left vulnerable to litigation once the new EU net neutrality legislation comes into effect”. Will the Minister confirm that this is the point of concern, or at least a part of it? Secondly and more importantly, although she may have already dealt with this, I had thought that the deadline at the moment was 30 April but I think she has said that it has now been extended to December. I would be grateful if she could clarify that I hope that the Government are not going to produce an entirely new piece of legislation next year that they then rush through at high speed without the proper scrutiny of your Lordships’ House. That would be wholly unacceptable, and I would dearly love the Government to adopt the Bill.
ParlaMint-GB_2015-12-11-lords.u28	My Lords, I want to say a few things at this point because this amendment refers to age-verification policies, which Ofcom is supposed to be producing. I do not want to say very much about it, but there are things other than direct adult content online. For example, we need to block the sale of pornographic DVDs, which can be supplied through several of the major sites where you can buy all sorts of other stuff that it is perfectly legal to buy. The problem is that you need to block at individual page level for a lot of stuff, otherwise people will get around this fairly easily The real problem is that filters do not do anything about the material they are blocking. They work on look-up tables, which are compiled by various people who look at websites, or individual pages on websites, and the filter goes through the list. But a filter is not a magic device that knows when somebody is looking at pornography. If the material is not in the table, the filter does not know about it. Someone has to keep the table up to date and there are organisations that do that, and they do it very well, or at least they do their best. However, we should not think that the filter is a silver bullet that will provide the cure. That is why we need somehow to incentivise the vendors and content providers on the internet—the people who deliver the material over the web—rather than the people giving access to the web. That is probably why there will have to be legislation to incentivise them to behave in the right way. We should have both positive and negative incentives, so that people who behave well get some advantage and people who behave badly have a disadvantage.
ParlaMint-GB_2015-12-11-lords.u29	The noble Earl obviously knows a huge amount about the subject and he is speaking in a way that I do not completely understand. At what stage does he think we should legislate? How long do we wait to get it as right as he would like it to be?
ParlaMint-GB_2015-12-11-lords.u30	Being realistic, I suspect that the Minister’s timetable in the real world is probably very sensible. You can legislate hastily but then there will be huge arguments about it. It is a bit like the Digital Economy Act, which was rushed through. The measures in that to try to prevent people unlawfully downloading copyrighted material were not going to work in the real world. They caused a lot of chaos and, as a result, nothing happened because it was not possible to produce sensible regulations that would work and satisfy the courts and everyone else. Eventually, something got going but it is not brilliant, and it took the pressure off everyone to produce something that might have been a little better. Therefore, the Minister is probably being very sensible on this.
ParlaMint-GB_2015-12-11-lords.u31	Does the noble Earl accept that there is a huge difference between the problems that might arise from copyright and those that arise from damaged children?
ParlaMint-GB_2015-12-11-lords.u32	I totally accept that. I was just using it as an example of where legislation has gone through in haste with very good intentions but it has not worked because it has not been thought through technically. Checking age is quite complex—for various reasons I prefer the word “checking” to “verification”. There are lots of ways of doing it but it is difficult to produce something that is workable in the real world. Credit cards are not the answer, and the net neutrality principle coming out of Europe will also cause problems. All sorts of things like that have to be taken into account. Getting it right in the long term for children’s safety is much more important than trying to rush through something that looks good. We should remember the saying “Legislate in haste and repent at leisure”.
ParlaMint-GB_2015-12-11-lords.u33	I congratulate the noble Lord, Lord Morrow, on his amendment, which he moved so ably, not least because it highlights one of the key points that has been made repeatedly in debates not only on this Bill but on the many previous online safety Bills I have never been persuaded that the voluntary filtering agreement between the big four ISPs is anything other than a very temporary measure. In the first instance, I believe that filtering is sufficiently important to warrant a statutory foundation. In the second instance, I believe it is important for the Prime Minister to press the big four ISPs to introduce a robust filtering regime for the sake of the children in the house that they serve. If it is important for him to agree to do that then, as others have mentioned, it is equally important that he does the same for the children in houses served by other ISPs. Unless we believe that some children are more important than others, surely we must operate on the basis that all children are worth fighting for just as much as those serviced by the big four. If it falls to all of us in this current attempt to bring in an online safety Act to support and speak up for the children in this group, of course we will continue to do so In my view, the only sensible way forward here is an even-handed statutory approach, as set out in Clause 1. It should relate, as the noble Lord’s amendment proposes, to Ofcom’s reporting of filtering as well as to the filtering itself. If the Government now have to make statutory provision for filtering because of new EU legislation, it certainly would be indefensible not to apply the new provision to all providers. With this in mind, and as I and others have said, we would be more than happy for the Government to take aboard and use this part of the Online Safety Bill.
