ParlaMint-GB_2015-01-16-commons.u1	I beg to move, That the clause be read a Second time.
ParlaMint-GB_2015-01-16-commons.u12	I will give way to my hon. Friend, who is himself a prominent churchwarden.
ParlaMint-GB_2015-01-16-commons.u13	My right hon. Friend mentioned that we had to pray in order to reserve a seat. Actually, as I understand it, we simply have to be in our place. There is no requirement to offer up any prayers. We simply have to be here and stand, or sit, in our place.
ParlaMint-GB_2015-01-16-commons.u14	That is a fair point, and I will come on to that in a moment when I talk about the potential contents of the prayer I was saying that the practice seems out of touch with the majority of the people we represent, because only a tiny proportion of our constituents go to church. According to the 2006 Church census, just over 6% of British people go to church. In a YouGov poll in 2011, 34% of UK citizens said that they believed in God or gods. However, according to the 2008 European social survey, 46.94% of UK citizens—nearly half—never pray. I find that an odd statistic, because it implies that 20% of UK citizens pray but do not believe in God.
ParlaMint-GB_2015-01-16-commons.u15	Part of the Bill is about celebrating and protecting the traditions of our land. Of course, I believe in Father Christmas, which is one of the reasons that I am happy to celebrate Christmas, but how many people who celebrate Christmas still truly believe in Father Christmas, as opposed to appearing to do so simply because they enjoy the traditions and celebrations of that time of year?
ParlaMint-GB_2015-01-16-commons.u16	My right hon. Friend the First Secretary of State and Leader of the House of Commons used to give a speech about the really difficult questions that a Leader of the Opposition could ask the Prime Minister. The most difficult question that he was able to come up with was “Does the Prime Minister believe in Father Christmas?”, because whatever answer the Prime Minister gave, he would frankly be scuppered. So I shall not answer my hon. Friend’s wonderful question. Instead, I shall move on to tell him what is wrong with his Bill, if I may. I shall do so in the most gentle way, because I know that he is motivated by the good of the country and of the people he represents Of course I know that my hon. Friend’s Bill would not force people to pray, as my hon. Friend the Member for Bury North (Mr Nuttall) has just said. I know that it would not force councils to decide to include prayers as part of their business, although the amendment tabled by my hon. Friend the Member for Shipley (Philip Davies) proposes that councils “shall”—rather than “may”—include time for prayers. I shall come to that point later. I also know that the Bill would leave the decision to local authorities, and what could be fairer than that? However, the Bill would allow the majority of local councillors to include, as part of the council’s business, a practice that might be embarrassing and possibly even anathema to other councillors. Prayer is not anathema to me, as I was brought up in a Christian household; I just find it rather quaint. If people think that their god listens to what they ask for rather than what their god thinks is right and appropriate, that is a matter for them—it does not bother me. But why need I sit through it? Let me move on to the possibility of it being anathema. What am I to do if I am a local councillor where religious observance is to be part of the business? What am I do to do if the prayers offered actually are anathema to me?
ParlaMint-GB_2015-01-16-commons.u17	Surely the right hon. Gentleman realises, as most people in the Chamber will, that in such circumstances the appropriate behaviour would be to call the police immediately, because the gentleman in question who was giving those prayers would have incited people to hatred?
ParlaMint-GB_2015-01-16-commons.u18	Yes, but one can create a prayer that does not incite people to hatred but which nevertheless remains anathema to the people listening to it. Let me give the hon. Gentleman another example, in a Christian context. What happens if the prayers call on God to grant enlightenment to those who support gay marriage? That might be anathema to some of the councillors who do support gay marriage. What should one do as a councillor in those circumstances? Should one heckle the priest or the imam? Should one walk out, even though, as a councillor, it is one’s right and indeed one’s duty to be in the council meeting, preferably for the whole time So the National Secular Society, which I would like to thank for drawing some of these issues to my attention—I am not a member of the NSS and I doubt I ever will be—has a point when it says: “The absence of prayers from the formal business of local authority meetings does not impede the religious freedoms of believers or deny anybody the right to pray.” If local authorities want to hold a moment of reflection at the beginning of a meeting, they can do so. If councillors wish to meet for prayers before the meeting, they can do so, and no change in the law is needed to achieve it. So it is the principle of the Bill that is of concern to me, but the proposal tabled by my hon. Friend the Member for Gainsborough highlights some of the concerns that undermine the value of the principle of the Bill My amendment 4 is about the public sector equality duty, whose effect is similar to the first amendment to the US constitution, which states: “Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof”. That has been interpreted in the United States by a majority opinion of the Supreme Court in the case of Town of Greece v. Galloway, which was decided in May of last year, to require that prayer said before local authority meetings should not discriminate against minority faiths in determining who may offer a prayer The rather odd effect of that decision was that at a meeting of Lake Worth city commission last month the invocation was given by an atheist called Preston Smith, who began it with the words: “May the efforts of this council blend the righteousness of Allah with the all-knowing wisdom of Satan.” The fact that the effect of the public sector equality duty on this Bill is that local authorities choosing to hold religious observance in their meetings will not then be able lawfully to discriminate against the observances of the religion of Satanism might surprise my hon. Friends, but it seems to me to be a clear and unavoidable interpretation of the effect of the two statutes.
ParlaMint-GB_2015-01-16-commons.u19	Each time I have risen in support of this Bill, I have sought to emphasise my reason for doing so, and it is that this Bill seeks to protect a freedom of choice, and indeed a freedom of local choice. This Bill makes it clear that the choice of including prayers, or not, is for the local authority alone. Equally, I do not believe that it is right to go further than that. To go further would undermine our trust in local authorities to take account of the views and traditions of their communities and to make the right decisions I speak from my own experience in local government, in an area of many and diverse faiths and of strong communities, religious and non-religious, where the inclusion of prayer was something that united those communities rather than divided them. In our council, prayer and reflection was an opportunity to bring people together. So many of our prayers, which were led each year by the chaplain to the mayor—of whatever faith—contained universal messages that underlined shared values, a sense of unity and community that reflected our diversity. I am sorry to disappoint the hon. Member for Gainsborough (Sir Edward Leigh), as I am minded not to support his proposed new clause today should he push it to a vote. It seems to me that we would be stepping beyond the important line and risk fettering the discretion that we want to give to public bodies to make their own localised decision I say to the right hon. Member for North East Hampshire (Mr Arbuthnot)—he is indeed a gentleman and I shall certainly miss him when he leaves this House—that I agree with the sentiment and intentions behind amendment 4. But I am confident that local authorities and public bodies, all of which are already subject to the public sector equality duty, will exercise their choice with the utmost sensitivity to their communities. We should trust their judgment and believe that they will make the right choices and not the wrong ones It is important that we maintain that trust in anticipation that local authorities will be sensitive to local communities and their responsibilities within the law. I remain hopeful that the hon. Gentleman will withdraw his new clause.
ParlaMint-GB_2015-01-16-commons.u20	I congratulate my hon. Friend the Member for Rossendale and Darwen (Jake Berry) on his work on the Bill, the aims of which are wholly supported by the Government. There was a useful discussion about the Bill in Committee where support for it was clear. There was recognition that the Bill is really about freedom rather than compulsion: the freedom to pray or not to pray; the freedom for a local authority collectively to make a decision to hold prayers as part of official business, or not; and the freedom of individual councillors to attend the meeting during that item of business, or not—there would be no requirement to sit through it, as my right hon. Friend the Member for North East Hampshire (Mr Arbuthnot) said In Committee, the hon. Member for Stoke-on-Trent South (Robert Flello) described the Bill’s provisions on giving local authorities the freedom to hold prayers as part of official business as a measure so gentle that someone would have to work very hard to find a way of taking any sort of umbrage or insult from it. That is an excellent way of describing the provisions and intent of the Bill; they are indeed gentle. It is worth reminding ourselves why the Bill is necessary at all. The Bill gives councils that statutory power and gives them the freedom to pray I will not be supporting the amendment tabled by my hon. Friend the Member for Gainsborough (Sir Edward Leigh). It is not consistent with the spirit of the Bill, which is about trusting local people to make local decisions. We should trust them to do that. It would be wrong to single out any one particular faith or to identify any one particular tradition. The Bill as drafted is absolutely correct to celebrate our multi-faith society and because it gives local authorities freedom rather than compelling them to take certain actions, it is not necessary to require them to be mindful of their obligations not to discriminate against those with religious beliefs and those without religious beliefs. There is no requirement for anyone who does not wish to attend town hall prayers to do so, so this provision is not necessary With those reassurances, I hope that my hon. Friend the Member for Gainsborough and my right hon. Friend the Member for North East Hampshire will not press the new clause and the amendment.
ParlaMint-GB_2015-01-16-commons.u21	I have a lot of sympathy with the new clause tabled by my hon. Friend the Member for Gainsborough (Sir Edward Leigh), as it sits very closely with my own beliefs. I believe that there is a direct link between praying for things within one’s own religion and things happening in one’s life. I am a Christian and I am proud of it and, in a way, the Bill has given me the opportunity on occasion to bear witness to my own faith and the belief I have in the power of religion in our society Although I agree with the sentiments of the new clause, I do not think it should be supported, largely because the Bill is permissive in nature and has sought to encompass the wide group of faiths in our society today. Much of the criticism of the Bill has focused on the fact that people of different faiths or no faith at all would be or would feel discriminated against in the council chamber if prayers were to be held. I do not think that the Bill as drafted could be accused of that, and it was described in Committee, as the Minister has just said, as the gentlest of Bills It would be a mistake to single out any particular religion on the face of the Bill. We are a multi-faith society. My hon. Friend the Member for Gainsborough spoke of the different faiths in our society and of how people of all faiths and of none enjoy living in a society that acknowledges and respects their faith, so it would be a mistake to remove from councils the freedom to decide their own business. The entire Bill has been about freedom and the freedom of local authorities to make individual decisions about how they conduct their business.
ParlaMint-GB_2015-01-16-commons.u22	Can we be clear? My hon. Friend refers to taking away the freedom of local authorities to decide these matters, but I do not think that anything in the new clause proposed by my hon. Friend the Member for Gainsborough (Sir Edward Leigh) takes away any freedom. If it were to be passed, it would merely require that they keep in mind the Judaeo-Christian tradition.
ParlaMint-GB_2015-01-16-commons.u23	I thank my hon. Friend and near neighbour in Bury North for raising that point. I understand it, but in a multi-faith society in which all faiths are respected and acknowledged and in which people of no faith are also respected and acknowledged it is important that we do not prefer in legislation one particular faith. He might disagree with that view, but I think that the Bill as drafted is acceptable to people of all faiths and of none and I fear that to start preferring one faith might create division in our council chambers where none needs to exist or should exist My hon. Friend mentioned Ms Woodhouse, who objected so strongly to council prayers. If the Bill is enacted, there is a way for her to make her objections heard: she can stand for the local council, get elected, argue in the council chamber that there should not be prayers and win the support of the majority of her colleagues. There will then be no obligation on them to have prayers. If she finds the issue so offensive, that course of action is open to Ms Woodhouse.
ParlaMint-GB_2015-01-16-commons.u24	I am disappointed, particularly by the Minister’s reply to, I thought, my comprehensive introduction—but there we are. I have been here long enough to know that we keep soldiering on.
ParlaMint-GB_2015-01-16-commons.u25	You’ll get over it.
ParlaMint-GB_2015-01-16-commons.u26	I’ll get over it I am also disappointed that my hon. Friend the Member for Rossendale and Darwen (Jake Berry) does not want to accept my amendment. I repeat that my amendment does not require prayers in the Christian tradition. It was put forward in a serious way, but my hon. Friend says it is not appropriate for this country, which is a multi-faith and presumably multicultural society. Without wanting to repeat what I said in my speech, I should say that that was precisely my point. We should have regard for the fact that our roots are of a Judeo-Christian nature. I was simply asking councils to have regard to it Much as I feel strongly about the issue, I am aware that the Lobbies of the House may not be seething with hon. Members this morning; if we were to have a vote, there might not be the required number to enable the Bill to continue. I cannot risk throwing the baby out with the bathwater. It is too risky to have a vote for that reason. However, I still have one or two friends left in the world and some are in the other place. I shall have a word with them in the hope that the other place might return to the issue. Meanwhile, in a spirit of good will, I beg to ask leave to withdraw the motion Motion, by leave, withdrawn. Clause 1 Powers of councils
ParlaMint-GB_2015-01-16-commons.u27	I beg to move amendment 5, page 1, line 5, at beginning insert “Subject to section 138BB”.
ParlaMint-GB_2015-01-16-commons.u28	With this it will be convenient to discuss the following: Amendment 1, page 1, line 5, after “may”, insert “if it has been resolved by a two thirds majority of the members of the council, in a meeting called specifically for that purpose” Amendment 12, page 1, line 5, leave out “may” and insert “shall” Amendment 3, page 1, line 8, at end add— “( ) in no case may more than three minutes be devoted to business under this section.” Amendment 6, page 1, line 17, at beginning insert “Subject to section 138BB” Amendment 2, page 1, line 17, after “may”, insert “if it has been resolved by a two thirds majority of the members of the council, in a meeting called specifically for that purpose” Amendment 7, page 2, line 7, at end insert— “138BB Local referendum on religious observances (1) If a local authority wishes to use powers under sections 138A or 138B, it must obtain the consent of the electorate through a local referendum (2) The referendum is to be held on a date decided by the local authority and may be held on the ordinary day of local elections (3) The persons entitled to vote in the referendum are those who, on the day of the referendum would be entitled to vote as electors at an election for councillors of the local authority (4) The Secretary of State may by regulations make provision as to the conduct of referendums under this section (5) If a local authority wishes to use powers under section 138A, the question to be asked is of the form “The council of the (County/City/Borough/District) of proposes to hold religious observances as part of the formal business of council meetings. Do you agree that the council should be allowed to do this?” (6) If a local authority wishes to use powers under section 138B, the question to be asked is of the form “The council of the (County/City/Borough/District) of proposes to support and/or be formally represented at religious events. Do you agree that the council should be allowed to do this?” (7) If the majority of persons voting in the referendum under either subsection (5) or (6) approve of the proposal, the local authority may use the powers under the respective sections 138A or 138B for four years from the calendar date of the referendum (8) In no event may a further referendum be held within four years of the day on which a referendum under this section has been held.”
ParlaMint-GB_2015-01-16-commons.u29	There are several amendments in my name. The first is on the need to have a local referendum before the issue, which in some cases is controversial, is decided. All I ask is that we should give the local electorate power to make this decision. What could be a greater example of localism than that Amendment 1 suggests that there should be a two thirds majority of councillors called in a council meeting specially designed for the purpose. That is in order to ensure that the councillors themselves decide the matter by a strong majority, rather than it being delegated, for example, to the mayor or even to officers of the council to make a decision. Again, that is a good example of localism. Amendment 3 proposes that any such religious observance should be limited to three minutes because, in view of what I have already said at some great length, I do not think we want to have these religious observances extended too long I hope that those simple amendments might find favour with my hon. Friend the Minister, but if not I shall withdraw them.
ParlaMint-GB_2015-01-16-commons.u30	I intend to follow the lead of my right hon. Friend the Member for North East Hampshire (Mr Arbuthnot) and be brief. I agree with the shadow Minister, the hon. Member for West Ham (Lyn Brown), that many of us will miss my right hon. Friend when he is no longer in the House. He has had a great impact on my time here. I am very grateful to him for that and wish him well for the future I should make it clear from the start that my amendment 12 was always designed to be a probing amendment intended to stimulate a debate. I have no intention of pressing it to the vote. It changes the word “may”, with reference to having prayers at council meetings, to “shall”. The only reason I tabled the amendment was to give the opportunity to debate what is so wrong with this as a practice that councils follow. I am surrounded by Members who are much more devoutly religious than I am. I am not coming at this as some sort of fundamental Christian—far from it. However, one of the things I have been struck by in my time in Parliament is the worth of Prayers at the beginning of the day. Even though it would not be my normal practice to engage in Prayers, I think it sets us up well for our day in Parliament. I will give an illustration; my hon. Friend the Member for Gainsborough (Sir Edward Leigh) did something similar. When we start our day with Prayers, what strikes me are the following words—it is amazing how many people quickly forget the Prayer the moment they have said it, which to some extent argues against me, but saying it and hearing it is worthwhile— “Lord, the God of righteousness and truth, grant to our Queen and her government, to Members of Parliament and all in positions of responsibility, the guidance of your Spirit. May they never lead the nation wrongly through love of power, desire to please, or unworthy ideals but laying aside all private interests and prejudices keep in mind their responsibility to seek to improve the condition of all mankind” I do not believe that I am the only person who is always touched by that part of the daily prayer. It seems to embody what we are here to do. Every day it is a worthwhile reminder of that for us all. What is wrong with that? How can anybody find that offensive, no matter what their religious belief is?
ParlaMint-GB_2015-01-16-commons.u31	The hon. Gentleman said that although we say those words, sometimes they are not observed in the subsequent proceedings of the Chamber. I recall the words of Claudius in “Hamlet” after he had been praying, ostensibly, when he said: “My words fly up, my thoughts remain below: Words without thoughts never to heaven go.”
ParlaMint-GB_2015-01-16-commons.u32	Order. I might be able to help a little bit. We are not discussing the Prayers of the Chamber. I recognise the benefits and there is an analogy between the two, but the debate is about local government prayers. I have allowed a lot of leeway, but I am sure we will hear the connection made shortly.
ParlaMint-GB_2015-01-16-commons.u33	I am grateful for your indulgence, Mr Deputy Speaker Politicians, whether in the national Parliament or in local government, should always be mindful of these things when they start their proceedings. I am not aware that anybody, whether they have no faith, a Christian faith or some other faith, objects to our starting our proceedings in that way or finds it offensive. For people who do not want to participate in prayers, there is no obligation on them to do so; they can sit them out, as some do, and I fully respect them for that. It should not be compulsory for individuals to have to engage in prayer, but I do not see the objection to people in politics—people serving the public—starting with a reminder of their duty to the people they are elected to serve. That is why I tabled my amendment I would go slightly further than my hon. Friend the Member for Gainsborough. I think it is important that we start with Christian prayers. We are a Christian country and that is our heritage; we should never be ashamed of it. I do not think that people of other faiths are offended by the fact that we are a Christian country either. We still have an established Church of England, and I do not see the problem with that, whether or not we all support it personally. That is our heritage in this country; it is what our values are based on. We should not be ashamed of that; we should be proud of it. It should not cause any offence if everybody started their proceedings in this way This is a probing amendment and I do not intend to press it to a Division. I just wanted to stimulate a debate and make people think about why this is not such a bad thing.
ParlaMint-GB_2015-01-16-commons.u34	I have a couple of points to make on this group of amendments Amendment 7 deals with a requirement on a local authority to determine this question by holding a local referendum. I am glad that my right hon. Friend the Member for North East Hampshire (Mr Arbuthnot) said that he would not press the amendment to a Division, because in view of the financial position of the country and of local authorities, it would make complete nonsense of the Bill. One of the great beauties of this Bill is that it does not impose any financial obligation on local authorities. The amendment would impose a completely unnecessary burden and make a mockery of all the other decisions that local authorities take.
ParlaMint-GB_2015-01-16-commons.u35	Is my hon. Friend saying that if the amendment were passed, the Bill would require a money resolution and therefore fall at this stage?
