ParlaMint-GB_2015-02-05-lords.u1	To ask Her Majesty’s Government what recent assessment they have made of the Russian armed forces.
ParlaMint-GB_2015-02-05-lords.u12	My Lords, the noble Lord has made a very good point, and these are all issues which will be discussed at the NATO Defence Ministers meeting being held in Brussels today.
ParlaMint-GB_2015-02-05-lords.u13	My Lords, the Wales summit last year, the readiness action plan and the defence investment pledge are all vital. Does the Minister agree that we need to co-operate more fully with our partners in the EU and NATO not just in terms of expenditure but also by working to negotiate for de-escalation through diplomatic routes?
ParlaMint-GB_2015-02-05-lords.u14	My Lords, I agree with my noble friend. We have been very clear that above all, the solution requires Russia to end its deliberate and continuing destabilisation of Ukraine. Russia must withdraw its equipment and troops from Ukraine, secure its borders and cease support for the separatists. It is clear that the international community has a role to play by exerting the greatest possible pressure to ensure that that happens.
ParlaMint-GB_2015-02-05-lords.u15	My Lords, can the Minister assure the House that when the explanation is received from the Russian ambassador about what those Russian planes were doing so close to our waters, it will be published and a copy put in the Library of the House?
ParlaMint-GB_2015-02-05-lords.u16	My Lords, I will do my very best to ensure that that happens. Just for the benefit of the House, on 28 January two Russian bombers flew close to the south coast in congested civilian-controlled airspace, unauthorised and without communicating with UK air traffic control. The UK response was conducted in accordance with well-practised NATO procedures and the bombers were escorted from the UK’s airspace by Royal Air Force aircraft.
ParlaMint-GB_2015-02-05-lords.u17	My Lords, the Minister has agreed with the NATO minimum target for defence expenditure of 2% of GDP, but his own party has yet to commit itself to that minimum level for the United Kingdom. Will he take this opportunity to correct the position now, and if he cannot do so, will he explain the inconsistency between that and what he has just said? Will he also explain how on earth we stand any chance of persuading our partners in NATO and Europe to do better, because they are doing even worse than us in this regard?
ParlaMint-GB_2015-02-05-lords.u18	My Lords, we have met the 2% target for this entire Parliament. We are committed to spending 2% of GDP on defence until the end of the financial year 2015-16, following which decisions will be determined in the next comprehensive spending review.
ParlaMint-GB_2015-02-05-lords.u19	To ask Her Majesty’s Government what steps they have taken to support women suffering from postnatal depression.
ParlaMint-GB_2015-02-05-lords.u20	My Lords, the Government have prioritised improving mental health care and support for pregnant women and new mothers in their mandate to NHS England, with a clear objective to reduce the incidence and impact of postnatal depression. We have taken steps to improve the size and capability of the workforce—there are 2,000 more midwives and 3,200 more health visitors than in 2010. By 2017, specialist perinatal mental health staff will be available to every birthing unit.
ParlaMint-GB_2015-02-05-lords.u21	My Lords, that is welcome news. Too many women who suffer from postnatal depression do not seek help because of the stigma attached to mental illness, together with the guilt and shame attached to feeling that they are not being the sort of mother that society expects. I hear what the noble Earl says about specialist care, but what are the Government doing to ensure that specialist mother and baby units can be accessed by these new mothers wherever they live in this country, so that they do not end up on acute psychiatric wards, separated from their babies or partners, or not receiving the requisite help? At the moment, I fear that parity of esteem for mental health is not a reality for these women.
ParlaMint-GB_2015-02-05-lords.u22	My Lords, we know there is more to be done. There are perhaps two key actions here. One is having a sufficient number of trained professionals in place—I have mentioned the increase in the number of health visitors and midwives—and the other is raising awareness of the risks and signs of postnatal depression with mothers-to-be. Extensive training is available and delivered to midwives, both during their initial training and afterwards. The programme of family nurse partnerships commenced by the previous Government is tremendously important in the follow-up stage after birth to ensure that new mothers are monitored closely.
ParlaMint-GB_2015-02-05-lords.u23	My Lords, we know that one of the very important elements in support of women in the pre- and post-partum period is the quality of the relationship between the father and the mother of the child, and that where there is a problem in encouraging that, there is frequently difficulty. Given that, is my noble friend satisfied that this element of the relationship is sufficiently addressed, appreciated and nourished in all our facilities?
ParlaMint-GB_2015-02-05-lords.u24	The role of the father, as well as of course that of the mother, is emphasised in all the guidance—certainly in the healthy child programme but also in the work done under family nurse partnerships, which targets the most vulnerable families. That programme provides intensive support to young first-time mothers and their babies. It explicitly involves fathers—and/or other family members as well—as long as the mother wants the father to take part.
ParlaMint-GB_2015-02-05-lords.u25	My Lords, does the Minister agree that two elements need to be addressed? First, there is the safety and well-being of the mother but, secondly, there is the important issue of helping the mother to bond with her new baby. That requires quite intensive work at a critical time in the life of the new baby and of the mother. Could he assure us that these matters are being addressed in these new arrangements?
ParlaMint-GB_2015-02-05-lords.u26	The noble Lord makes some extremely pertinent points. The family nurse partnership programme that I mentioned is important in this context, and our aim is to expand that to 16,000 places by April 2015. We launched the NHS Start4Life information service for parents. Parenting classes are available through the CANparent network and we are developing a population measure to show child development at two to two and a half years for inclusion in the public health outcomes framework, so that we can measure the progress we are making.
ParlaMint-GB_2015-02-05-lords.u27	My Lords, would the Minister agree that midwives had a crucial role to play in identifying and helping women suffering from postnatal depression, so it is regrettable that the Prime Minister’s pledge at the last election that there would be 3,000 more midwives during this Parliament has not been met? The increased number of midwives in training is to be welcomed, but does he agree that valuable mental health care support for new mothers is being lost if some NHS trusts do not have the money to employ them when they finish training?
ParlaMint-GB_2015-02-05-lords.u28	It is positive that the number of midwives has increased by 2,000 since 2010, as I mentioned, and there is a record number in training, as the noble Baroness mentioned. But she is right about the role of the midwife before, during and after the birth. The visits that a new mother can expect from a midwife should contain a session where the right questions are asked of the mother about how she is feeling and how her baby is. The signs and symptoms of postnatal depression are ones that every midwife is trained to pick up.
ParlaMint-GB_2015-02-05-lords.u29	My Lords, as well as the importance of the bonding of the mother and baby, and the other very welcome steps that the Government are taking, I hope the Minister will agree that the needs of the children at home—they are very badly affected, one hears, by a mother who is in a state of mental depression—should be taken into account and met equally.
ParlaMint-GB_2015-02-05-lords.u30	The noble Baroness is, of course, quite right. Again, midwives and health visitors involved in family nurse partnerships are trained to look at the welfare and well-being of all members of the family.
ParlaMint-GB_2015-02-05-lords.u31	My Lords, does the Minister agree that there is still a social stigma attached to postnatal depression? I have heard people say, “She’s got a new baby, what’s she complaining about?”. What steps are the Government taking to increase public understanding of the fact that this is a mental illness, unbidden, which affects women who would like to be able to bond with their babies and be proud of them like the rest of us are?
ParlaMint-GB_2015-02-05-lords.u32	The noble Baroness makes an extremely good point. I think that the stigma attached to mental illness is slowly diminishing, although there is a long way to go. But she is right that there are common misconceptions around the baby blues and postnatal depression. One of the most important things we can do is inform mothers-to-be of the risks and signs of those syndromes. If we can do that and prepare mothers for the possibility that they will experience this, we are more than half way there
ParlaMint-GB_2015-02-05-lords.u33	To ask Her Majesty’s Government what steps they are taking to promote housing development on brownfield land, rather than greenfield sites.
ParlaMint-GB_2015-02-05-lords.u34	In asking the Question standing in my name, I remind the House of my local government interests.
ParlaMint-GB_2015-02-05-lords.u35	My Lords, we have given high priority to development on brownfield land and the Government have introduced a package of measures to accelerate the redevelopment of such land, including £400 million of loans to support 30 new housing zones. We also expect local authorities to put in place local development orders granting planning permission for new homes on over 90% of suitable brownfield sites by 2020.
ParlaMint-GB_2015-02-05-lords.u36	My Lords, the proposals for the new housing zones are welcome but in areas such as mine in east Lancashire, private developers simply cannot recoup the cost of the land and of building the houses in their profits from the sales of houses in areas where house prices are very low by national standards. In these circumstances, do the Government understand that loans are no use at all because they cannot be recouped, and that what is required is direct gap funding of the difference between the cost to the developers of producing the houses and what they can get for the sale or rent of those houses?
ParlaMint-GB_2015-02-05-lords.u37	My noble friend makes a valid point about the need to encourage housing development. In that regard, I can also point him to the estate regeneration fund, currently standing at £150 million, to revitalise housing estates. But we are seeing take-up of the housing zones initiative. Indeed, in London, for example, it has been matched by the mayor by a further £200 million.
ParlaMint-GB_2015-02-05-lords.u38	My Lords, what are the advantages of promoting housing development on the green fields, which are meant to be preserved?
ParlaMint-GB_2015-02-05-lords.u39	My Lords, my noble friend raises an issue and a concern but, on the contrary, the Government—and, indeed, the national framework—are seeking to protect the green belt, national parks and areas of outstanding natural beauty. Development in the green belt generally is very inappropriate and it would be permitted only in very special circumstances. Even then, that is very much in the remit of the local authority. Our green belt policy provides rigorous protection against all unwanted and unnecessary development.
ParlaMint-GB_2015-02-05-lords.u40	My Lords, under Section 62A of the Town and Country Planning Act 1990, local planning authorities can be designated as underperforming where the speed or quality of their decisions has fallen below a prescribed threshold. The Government are proposing to extend this measure so that authorities could also be designated where they did not meet the objective of bringing forward sufficient coverage of local development orders on brownfield sites. It seems to have all the potential of a bureaucratic nightmare with a fluctuating baseline. How many councils are currently designated under Section 62A? Given the huge cuts endured by local authorities, disproportionately borne by services such as planning as councils strain to support adult and children’s services, what assessment have the Government made of the capacity of councils and the Planning Inspectorate to cope with the proposed arrangements?
ParlaMint-GB_2015-02-05-lords.u41	I do not agree with the noble Lord. Our intention is to ensure the freeing-up of brownfield sites. With the objective that we seek to achieve on new homes—I know that it is an objective that he and his party share—it is important that we look across the country and ensure that all brownfield sites are released. The initiatives that we are taking reflect that. On the noble Lord’s specific questions about councils, I shall write to him.
ParlaMint-GB_2015-02-05-lords.u42	What are the Government doing about the brownfield sites that they own? Figures that I saw in the Financial Times three or four weeks ago showed that the Government own enough land to build 2 million houses on brownfield sites. Surely that would be a mechanism for dealing with the cost of remediation, which is clearly the problem in certain parts of the country outside the south-east.
ParlaMint-GB_2015-02-05-lords.u43	The noble Lord makes a valid point. The Government are undertaking to ensure that all surplus land that they own and falls under that designation is sold. Such initiatives are being taken to support housebuilding across the country.
ParlaMint-GB_2015-02-05-lords.u44	My Lords, land is very finite in this country. Will my noble friend reinforce the comments that he made about the importance of the green belt and maintaining it? Daily, we read about threats to Constable country and other glorious parts of the United Kingdom. It is crucial that this Government do not go down in history as one who allowed the despoiling of some of the most beautiful parts of this country.
ParlaMint-GB_2015-02-05-lords.u45	My noble friend again raises the issue of the green belt, which has remained a constant at 13% of land across England. I assure him that the Government are greatly committed to protecting our green and pleasant land.
ParlaMint-GB_2015-02-05-lords.u46	My Lords, the Minister will no doubt be aware of the aggressive behaviour of some developers—I choose Gladman as an example—in pursuing their wish to develop on greenfield sites in desirable locations. Often, their applications are initially turned down by local authorities, but they then pursue local authorities to appeal, where the developers are able to spend a great deal of money and the local authorities are not. Therefore, the appeals are often successful. What are the Government doing to restrict the activities of developers who behave in this way?
ParlaMint-GB_2015-02-05-lords.u47	I think no one welcomes developers acting on that basis. The only elements within the green belt that are looked at in planning for housing are those that are designated as brownfield sites. If there are instances such as those that the noble Baroness has raised, such applications can be called in by the Secretary of State. Where such malpractice is seen, I would encourage that to be done.
ParlaMint-GB_2015-02-05-lords.u48	What proportion of the 15,000 homes to be built at Ebbsfleet, which is entirely brownfield, will be allocated to social housing? Will a minimum amount of social housing be prescribed for all the new towns that are planned?
ParlaMint-GB_2015-02-05-lords.u49	As my noble friend knows, every local development plan reflects the need for social housing to give the correct mix. That will be reflected in the Ebbsfleet development. I am pleased to say that we are moving forward on that. I hope that legislation before this House will ensure progress in that area.
ParlaMint-GB_2015-02-05-lords.u50	My Lords, did the Government meet the target of replacing all the social housing being sold off with a new housing unit? What are the figures? If the Minister does not have those with him, could he please write to me and put a copy in the Library?
ParlaMint-GB_2015-02-05-lords.u51	It is always my pleasure to write to the noble Baroness and I will do so.
ParlaMint-GB_2015-02-05-lords.u52	To ask Her Majesty’s Government what assessment they have made of the National Gallery’s decision to privatise their visitor services.
ParlaMint-GB_2015-02-05-lords.u53	My Lords, the National Gallery is considering plans intended to preserve, enhance and extend the services it provides while enabling improved pay and conditions. The Government recognise that it is for the gallery, as an arm’s-length body, to decide on its staffing arrangements.
ParlaMint-GB_2015-02-05-lords.u54	My Lords, is the Minister aware that another national museum said this week that it privatised its visitor services simply to save money? Is not the National Gallery’s intended privatisation to be of all gallery services—400 out of its 600 staff—with the loss in the long run of all the expertise that permanent staff bring? Is this not in fact a deep privatisation from the inside, enforced by the cuts and wholly against the public interest?
ParlaMint-GB_2015-02-05-lords.u55	My Lords, I do not think that the noble Earl is right. This is designed precisely to ensure that the National Gallery is able to extend its opening times and enhance its revenue. The discussions that have been had under TUPE—the Transfer of Undertakings (Protection of Employment) Regulations —are precisely to ensure that, on the transfer of staff, their terms and conditions are retained. There will be no redundancies.
ParlaMint-GB_2015-02-05-lords.u56	My Lords, a few years ago the British Museum faced similar protests over plans to privatise support services. I declare an interest as a trustee of the museum. Would my noble friend the Minister agree that, far from damaging the museum, that seems to have enhanced what we do, as the visitor numbers and customer satisfaction surveys imply?
ParlaMint-GB_2015-02-05-lords.u57	My Lords, this is precisely why almost all the senior and large museums and galleries in this country have gone along this path. There are no demons in this. It is all about enhancing the staff’s arrangements, including in part of the arrangement for the National Gallery to pay above the London living wage.
ParlaMint-GB_2015-02-05-lords.u58	My Lords, if even the National Gallery, which is strongly placed to raise money from non-governmental sources, is driven to such last-resort cost-cutting and unable to maintain its planned programme of opening—and yesterday galleries were extensively closed because of industrial action—does the Minister, who cares about the arts, worry that his Government’s onslaught on the culture budget if it continues will usher in, literally, a new dark age?
ParlaMint-GB_2015-02-05-lords.u59	The noble Lord knows very well that the creative industries across this land are in a very vibrant state and contribute hugely to our national economy. They are to be congratulated. I repeat: the National Gallery is one of the last galleries to undertake this process. I discussed this matter with other museums. This is a success story—and a success story for the staff concerned.
ParlaMint-GB_2015-02-05-lords.u60	Are the Government considering allowing these changes to be made because they are dissatisfied in some way with the visitor service being provided at the moment, or is it done for ideological reasons?
ParlaMint-GB_2015-02-05-lords.u61	My Lords, this is a matter for the National Gallery. It is not about an ideology but about securing a better future for the National Gallery and for more people to be able to visit this great institution at weekends and evenings. Yes, the gallery wants to increase its revenue stream. That should be applauded by everyone. However, this is about a success story and building upon it.
ParlaMint-GB_2015-02-05-lords.u62	Is the Minister aware that in the past few years cuts to museums, according to the Museums Association, have been about 20%? They are being asked for more cuts in future. Will he follow the example of the Government of Wales in setting up a review to look at the impact of cuts on museums, particularly local museums, which face a perfect storm because of cuts in local authorities? In Wales, they are looking at how solutions can be found through raising additional money, but also they are aware of the substantial contribution museums make to the economic and social well-being of the community. Will the Minister not follow that example?
ParlaMint-GB_2015-02-05-lords.u63	The noble Baroness spoke about finding other income streams; that is precisely what opening the galleries for longer and enabling more people to come is all about. Under this Government, £2 billion of taxpayers’ money has been spent on the 15 sponsored museums and the British Library, and the Arts Council has funded, in grant in aid, £200 million towards the best of England’s regional museums. These are good stories in a very difficult economic climate. We have the highest growth rate in the G7. This is to be applauded and it needed to be done.
ParlaMint-GB_2015-02-05-lords.u64	Will the Minister join me in paying tribute to the directors and trustees of publicly funded museums for the very difficult work that they have to do, bearing in mind the current financial situation?
ParlaMint-GB_2015-02-05-lords.u65	My Lords, I congratulate both those who run the museums and those who work in the museums. They are a key part of the partnership that makes those great institutions so vibrant, and we need to support them in trying to do the best for the institutions and their future.
ParlaMint-GB_2015-02-05-lords.u66	My Lords, surely the point here is that organisations, regardless of whether they are public or private, need to pay the living wage and not use exploitative zero-hours contracts for their employees. Can the Minister assure the House that that is not the case with the proposals for the National Gallery? What else are the Government doing to outlaw exploitative zero-hours contracts and ensure that firms pay the living wage?
ParlaMint-GB_2015-02-05-lords.u67	I can tell the noble Baroness that, under the National Gallery’s proposals, it was to pay above the London living wage and that there was no zero-hours contract arrangement.
ParlaMint-GB_2015-02-05-lords.u68	My Lords, given that the staff at the National Gallery voted nine to one against the proposed changes on a 62% turnout, and given the concerns that have been raised about not paying the living wage in that institution, should not the staff’s grievances be listened to with the utmost seriousness?
ParlaMint-GB_2015-02-05-lords.u69	My Lords, I think that all members of staff should have their concerns and grievances considered. I know that the National Gallery has been seeking to engage with ACAS and the union to ensure that sense prevails. Only 22% of all staff at the gallery voted in the strike ballot. Out of the 603 members of staff, 204 are members of the union.
ParlaMint-GB_2015-02-05-lords.u70	That Standing Order 46 (No two stages of a Bill to be taken on one day) be dispensed with on Wednesday 11 February to allow the Stamp Duty Land Tax Bill to be taken through its remaining stages that day.
ParlaMint-GB_2015-02-05-lords.u71	My Lords, I have it in command from Her Majesty the Queen to acquaint the House that Her Majesty, having been informed of the purport of the Pension Schemes Bill, has consented to place her interests, so far as they are affected by the Bill, at the disposal of Parliament for the purposes of the Bill Schedule 3: Pensions guidance Amendment 1
ParlaMint-GB_2015-02-05-lords.u72	My Lords, from April the new pension freedoms at 55 may bring joy to many but, in my view, they are destroying the integrity of DWP benefit rules—and no one seems much to care. I find that a bit shocking. Many thousands of rather vulnerable people will not know where they stand or what they do; neither will their CAB or Pensions Advisory Service advisers. Yet time is running out, hence this amendment asking for guidance Clearly, and currently, DWP has sensible rules for those of working age needing means-tested benefits. Income, say from a mini-job, counts against your benefits, as do savings, say in a building society or in ISAs, which are above £6,000. They taper out benefit until at £16,000 of savings your entitlement to any means-tested benefit is abolished. DWP rules also stop you claiming benefit if you have deliberately got rid of your savings, perhaps by gifting them to your son. Any capital that is truly inaccessible, however, and which you cannot give away or spend—for example, your home and, until recently, your pension pot—is rightly ignored.
ParlaMint-GB_2015-02-05-lords.u73	My Lords, I should first declare that I am the unremunerated president of the Society of Later Life Advisers, which provides independent advice to older people. I am sorry that I have not taken part in the proceedings on this Bill so far, knowing, as I have, that it is so safe in the eloquent hands of my noble friend Lady Hollis, but I want to intervene in this case to draw to the House’s attention one particular, very dramatic effect of what is happening Let us imagine two people, A and B. They both have £40,000 in their pension pot, and they both retire on the same day. One buys an annuity, the other takes the money as a lump sum. A few weeks later, by coincidence, they both have to go into a care home. As they go into the care home, they both say, “I don’t want to sell my home which I am leaving to go into this care home. I might get out one day. Please don’t make me sell”. To person A, the following applies: the council, under the Government’s deferred payment scheme, has to give them a loan to cover the cost of their care, which is repaid when they die, so they do not have to sell their home. However, person B, because they have £40,000 in their pocket, exceeds the £23,250 limit—the arbitrary limit which I have drawn attention to on a number of occasions—on non-housing assets that they are allowed to have to take advantage of the deferred payment scheme, so they instantly have to go off to sell their home The Government promised that nobody would have to sell their home to pay for care. That transposed gradually into a universal guarantee and was then narrowed down still further so that nearly half the people eligible for it were disqualified—but now we find arbitrariness added to arbitrariness because so much will depend on whether you chose to take a lump sum or an annuity. This is beyond rectifying now, alas, as the secondary legislation has gone through, but one thing we can do is to make sure that before somebody decides to take a lump sum, they know that they will in future not be eligible for the deferred payment scheme. That requires authoritative advice. Is that really too much to ask?
ParlaMint-GB_2015-02-05-lords.u74	My Lords, surely there must have been discussions since the Bill had its First Reading between those in the pension business and those who act as financial advisers to people. Frankly, most people do not understand anything about pensions, and I think we have to accept that. Maybe people here do, but most people do not. You go to a financial adviser, who explains. I say, “Oh, take away all that small print. I can’t be bothered to read it”. That is the first thing, and that is a sin that I have committed several times The second is that you do not understand the way it is written. The noble Baroness, Lady Hollis, made a point about plain English. I think that should be made on every single Bill that we pass in this House, because it is so convoluted and it is just hopeless. People deliberately make things complicated so that they can hide behind them, but that is not the Government’s fault; it is ours for not insisting that we have much easier ways of looking at these things and for not making people like me, instead of throwing it into the waste-paper basket, take some responsibility for my decision, which I have not made on the basis of proper information.
ParlaMint-GB_2015-02-05-lords.u75	I will support very briefly what my noble friend Lady Hollis said in her introduction of this admirable amendment. We have discussed this during the progress of the Bill through this House, and have made the point on a number of sides that it is necessary that people should be fully informed of what they are doing. It is up to the Government to make sure that those arrangements are available for people to become properly informed of what they are doing. It has to be understood, of course, that people are making decisions about their future and what may happen if they make the wrong decision. It is very necessary that the appropriate choices are made by the people who are facing these alternatives. I therefore hope that this admirable amendment receives the full support of this House.
ParlaMint-GB_2015-02-05-lords.u76	My Lords, I will be brief, because the issues presented by this amendment have been brilliantly articulated by my noble friend Lady Hollis Throughout the passage of the Bill we have sought to ensure that consumers’ interests are fully protected, particularly in respect of the guidance that they will receive from the citizens advice bureau or TPAS. But the accuracy of the information for them is wholly dependent on the clarity of government policy. We are concerned that the treatment of pension funds in respect of income-related benefits and social care do not meet this test of clarity. Such clarity is particularly essential here, because the decisions that people make will have a dramatic impact on their future lives. I hope that the Minister in response will be able to give the House the assurances that we are seeking through this amendment so that there is no confusion in the public’s mind and no inconsistency across the country in the guidance that will be given on this incredibly important issue I thank the Minister for his letter dated 4 February, which lays out the Government’s position on how they will deal with some of these matters. But I—and, I am sure, my noble friends—remain concerned that, as they say, “the devil is in the detail”, and we have already heard this morning of cases where there has to be clarity and consistency of treatment of individuals in this respect. Clearly, we will continue to look closely at the regulations that follow and the guidance issued in association with them, to ensure that the public understand the implications of the decisions they take in respect of any entitlement to income-related benefits or social care costs.
ParlaMint-GB_2015-02-05-lords.u77	My Lords, I begin by thanking the noble Baroness for her amendment, which obviously addresses an extremely important issue This amendment seeks to place a separate and additional duty on the Treasury to provide appropriate information on the effect of pension freedoms and flexibilities on income-related benefits and social care costs. I agree that it is vital that people understand how benefits and social care entitlements interact with the new pensions flexibility and that consumers need to be aware of the impact of accessing their pension pot on their eligibility for income-related benefits and help with social care costs The Treasury is working to ensure that the content of the Pension Wise service includes information about entitlement and deprivation rules so that consumers are aware of these when choosing whether to access their pension savings. We are also working to ensure that people are aware of the need to plan for later life, including the risk of needing care and support and what that might mean for their choices. This will help people think about how they wish to live the rest of their lives. In response to the noble Lord, Lord Lipsey, the Care Act provides that no one is required to sell their home to pay for care. The difference in this case is that the lump sum is income in the year taken, and we agree that this will need to be covered in guidance, both on pension pots and on social care, which we will provide The DWP will issue clear guidance on the treatment of pension pots in income-related benefits in advance of April. This is to help people make informed decisions about accessing their pension pot. We plan to do this, as requested by the noble Baroness, by producing a leaflet which we will both print in hard copy and place online on GOV.UK. Other websites will be able to link to this information, and there will definitely be such a link from the GOV.UK Pension Wise website, which will direct those who are affected by this issue to the DWP information. Pension Wise will be a key way of equipping people with this information online on GOV.UK, on the phone through the Pensions Advisory Service, and face to face through citizens advice bureaux across the country. Alongside the new content being developed for Pension Wise, the new guidelines will also be reflected in the training programme for guidance specialists from the Pensions Advisory Service and Citizens Advice As the noble Baroness said, she met my noble friend Lord Bourne and me earlier this week to discuss the substantive policy issue—namely, the interaction of pension flexibilities with the benefits and social care means tests. The principal query that the noble Baroness raised is whether the distinction we make between ISAs and other savings vehicles, as opposed to pension pots, in benefits means testing remains fair after the introduction of the new flexibilities. ISAs are taken fully into account in income-related benefits, whereas we ignore untouched pension pots until someone reaches pension credit qualifying age. The noble Baroness argues that this is an arbitrary distinction now that the tax treatment of the two products is more aligned The Government, however, firmly believe that the difference is an important one. ISAs are for use at any time, but we specifically encourage people to save into pensions to provide for themselves in later life. We would not want to design our benefit system in such a way as to encourage people to spend their retirement savings when they are still below pension credit qualifying age. Aligning the treatment of ISAs with that of pension pots in the means test would be expensive for the taxpayer, as people with resources could secure more benefit. On the other hand, aligning the treatment of pension pots with that of ISAs would mean that claimants could lose benefits and so may deplete their pension savings before reaching their retirement. Neither outcome is desirable, and we therefore believe that the current position remains the right one This gives rise to a second question that concerns the noble Baroness, which is whether this situation gives individuals the opportunity to move their ISAs, which would be taken into account, into their pension pots, which would not be taken into account until pension credit qualifying age. The Government have considered the matter seriously and, in the light of our analysis, we do not feel that we need to act on this matter presently. The numbers of income-related benefits claimants with substantial ISAs is relatively modest and, should people move their savings to their pension pot, the additional upfront welfare costs to the Exchequer are partly offset by welfare savings in later life as those individuals would rely less on income-related benefits as a pensioner. On this issue, we plan to monitor behaviour after April when the new pension flexibilities are introduced, and respond proportionately if we need to I should add that people deliberately depriving themselves of money in order to secure or increase benefit entitlement may be subject to rules on deprivation of assets that already exist in both the benefit and social care systems.
ParlaMint-GB_2015-02-05-lords.u78	Is the Minister saying—he may go on to say this in the next sentence—that if you cycle your ISAs into your pensions, that would be deprivation of capital?
ParlaMint-GB_2015-02-05-lords.u79	No, I do not think I am saying that. I will make sure that I am not and correct myself if I am wrong. All I am saying is that the deprivation of assets rules which currently apply will continue to apply in respect of money taken out of ISAs.
ParlaMint-GB_2015-02-05-lords.u80	That was my question. Can the Minister explain to me why, if money is taken out of ISAs and goes into pensions, that is not deprivation of assets?
ParlaMint-GB_2015-02-05-lords.u81	It is not the point at which money goes from ISAs into pensions that is a deprivation of assets. Deprivation of assets may occur if and when money is taken out of one or both of those pots.
ParlaMint-GB_2015-02-05-lords.u82	I have listened with care to my noble friend, and although I have not participated in the debate, I understand the issue. Surely by moving an ISA into a pension pot, the individual then does not have access to buy, sell or add to the ISA. It is just not available; it is now hidden in the pension pot. Therefore, the individual deprives himself or herself of the choice they had when they had the ISA. It is fairly simple: is it or is it not something that could be penalised? People need to know this. If we are not careful, there will be chaos in this country later in the year as regards people with small pensions and small ISA pots.
ParlaMint-GB_2015-02-05-lords.u83	My Lords, I thought I had just said that if you move money from your ISA into your pension pot that does not qualify to be treated as a deprivation of assets. You are not taking that asset as income and you are not spending it; you are moving it from one pot to another.
ParlaMint-GB_2015-02-05-lords.u84	So if you have more than £16,000 in a building society, which stops you getting means-tested benefits, and you take that money out of your building society account and put it into a pension pot, is that deprivation of assets?
