ParlaMint-GB_2015-01-27-commons.u1	1. What recent estimate HM Revenue and Customs has made of the amount of uncollected tax in the UK.
ParlaMint-GB_2015-01-27-commons.u22	My hon. Friend is exactly right. The Government wanted to challenge that cap because it would push up fixed pay, which means bankers being paid not for performing but for simply turning up and raises prudential risks associated with higher fixed costs. It was vital to the interests of this important sector to the UK that we introduced a better regime, and I am delighted that the Chancellor has written to the Governor of the Bank of England in his role on the Financial Stability Board to ask him to look at other ways of ensuring accountability.
ParlaMint-GB_2015-01-27-commons.u23	3. What assessment he has made of the effects of recent trends in the price of oil on the economy; and if he will make a statement.
ParlaMint-GB_2015-01-27-commons.u24	5. What assessment he has made of the effect of falling oil prices on households.
ParlaMint-GB_2015-01-27-commons.u25	The fall in the oil price clearly means that certain sectors such as the North sea face real pressure, which the Chief Secretary and I are determined to help them with, but overall this is a good thing for the United Kingdom and for British families. Today’s GDP figures confirm that the recovery is on track, and our plan is protecting Britain from the economic storm with the fastest growth of any major economy in 2014. However, the international climate is getting worse, and with 100 days to go to the election, now is not the time to abandon the plan and return Britain to economic chaos.
ParlaMint-GB_2015-01-27-commons.u26	We have all noticed that we no longer hear about the cost of living crisis. Could my right hon. Friend tell me precisely how the change in oil prices has affected the retail prices index and how that compares with wage inflation?
ParlaMint-GB_2015-01-27-commons.u27	Inflation is at 0.5% and wages are growing at three times that rate. If the oil price is fully passed on—and we have put pressure on the petrol and utility companies to do so—British families will on average be £750 better off. If we had accepted the ludicrous price freeze proposed by the Opposition we would have locked in those high oil prices and people would not see the benefit in their utility bills.
ParlaMint-GB_2015-01-27-commons.u28	The good folk of Brigg and Goole have noticed that the price of a gallon of petrol has fallen significantly and they welcome that. Many of my residents, however, are off the grid and their heating oil bills have not necessarily fallen as they should have. What steps can the Chancellor take to put pressure on heating oil companies to make sure that the cost of heating also falls for those residents off the grid, in line with oil prices?
ParlaMint-GB_2015-01-27-commons.u29	My hon. Friend has been a champion for his constituents and for all the 1.5 million people who are off the grid and rely on heating oil to warm their homes. That price has fallen by 20%, so people are seeing the benefit of the falling oil price, but we continue to put pressure on the heating oil companies, and we have met them in the Treasury to continue to reinforce the argument that those prices must be passed on and must continue to be passed on.
ParlaMint-GB_2015-01-27-commons.u30	The oil industry has told us that the softening in the oil price has highlighted the underlying problem in the North sea, which is the high cost of doing business there, driven by an up to 81% tax on production. Instead of waiting till the Budget, will the Chancellor take urgent action on investment allowances and on a cut to the supplementary charge?
ParlaMint-GB_2015-01-27-commons.u31	The Chief Secretary and I certainly recognise the pressure on the North sea producers. We want to make sure that we continue to extract the maximum amount of oil from the North sea basin. That is why we cut oil taxes at the autumn statement, published a consultation on the investment allowance and made it clear that further action may be required at the Budget May I draw it to the House’s attention that what the hon. Gentleman calls the softening of the oil price would have done disastrous damage to the finances of an independent Scotland? The Scottish National party’s projections for its oil revenue were out by almost threefold. It is a reminder of the strengths of the United Kingdom that we can bear pressures such as a falling—or, indeed, a rising—oil price across the entire UK.
ParlaMint-GB_2015-01-27-commons.u32	Industry and economic experts say that thousands of jobs in the North sea oil sector are at risk, yet both the UK and the Scottish Governments seem to be passing the buck, rather than taking the urgent action that is needed. Will the Chancellor give a commitment to bring forward tax measures immediately to support the industry, as we have called for, rather than delaying for another seven weeks until the Budget?
ParlaMint-GB_2015-01-27-commons.u33	As I said, we have already cut the supplementary charge. I announced that in the autumn statement and it came into effect at the beginning of this year. We have launched a consultation on an investment allowance. We regularly meet the industry; we met industry representatives last week. They think the Budget is the appropriate time to make further announcements, if there are further announcements, on the North sea oil and gas tax regime, but the hon. Lady and the industry have my assurance that we will do everything we can to support the North sea oil and gas industry during this difficult time. Of course it is impacted by the fall in the oil price. We want to make sure that we get the maximum amount of oil out of the North sea and that the record investment that we have seen over the past year is sustained.
ParlaMint-GB_2015-01-27-commons.u34	Given the financial short-termism of the previous Government, I welcome the Chancellor’s comments about a shale gas fund. When he is Chancellor after the next general election, will he consider expanding the concept to create a North sea sovereign wealth fund for the benefit of the country as a whole?
ParlaMint-GB_2015-01-27-commons.u35	Of course, our challenge is to eliminate the deficit and to get our debt falling. Sovereign wealth funds are built up by countries that run consistent budget surpluses, which is exactly what we need to do in the United Kingdom. In particular, I would like to see some of the revenues from the shale gas industry used to support local communities. That would be a boost to communities across the country, especially in the north of England.
ParlaMint-GB_2015-01-27-commons.u36	Although the Government cannot control the world oil price, they can do things such as drive down the costs in the industry. If the oil price remains low and perhaps drops further to the level where it costs more to take the oil out of the North sea, that is bad not just for the economy of Aberdeen and north-east Scotland, but for the economy of the UK.
ParlaMint-GB_2015-01-27-commons.u37	I agree with the hon. Lady and I know that she is deeply involved in these issues as the Member of Parliament for Aberdeen South and chairs the all-party committee on these issues. We have to work out how we protect the industry as best we can from a rapid fall in the world oil price, and we must make sure that the brilliant skills, jobs and investment in north-east Scotland continue. That is why we anticipated the challenge by launching the consultation in the autumn statement and making immediate cuts to the tax regime. We have to take further steps over the coming year because we are determined that this brilliant industry will have a brilliant future.
ParlaMint-GB_2015-01-27-commons.u38	Will the Chancellor confirm that when the oil price halves, as we have just seen, that is likely to be extremely good news for the British economy? Will he also confirm that this fall in the oil price is particularly good news for the 70% of car owners who need cars to get to work? The House will realise that no Chancellor will want to commit himself now, but will he at least agree that there is now great merit in a period of stability in fuel duty?
ParlaMint-GB_2015-01-27-commons.u39	My hon. Friend is right. As I said at the beginning, the fall in the oil price, for all the challenges it poses in the North sea, is good for the British economy and good for British families. It is being felt at the pump, where petrol is now cheaper than when this Government came into office. One of the reasons why is that we abolished Labour’s fuel duty escalator. As a result, petrol is 20p per litre less than it would have been had we stuck with the shadow Chancellor’s disastrous tax plans. We have to make sure that motorists feel the full benefit of the falling oil price. As I say, it was a good move to abolish that disastrous escalator.
ParlaMint-GB_2015-01-27-commons.u40	4. What assessment he has made of the effect of lowering the rate of national insurance on levels of employment.
ParlaMint-GB_2015-01-27-commons.u41	6. What assessment he has made of the effect of reducing employers’ national insurance contributions on employment.
ParlaMint-GB_2015-01-27-commons.u42	This Government inherited damaging plans from the previous Government to increase the jobs tax. We responded by reducing the burden of national insurance. Since then, we have introduced an employment allowance that cuts national insurance for almost 1 million firms, and now we are going to cut national insurance for employing under 21-year-olds and young apprentices. These measures have contributed to record falls in unemployment. A rise in the jobs tax of the kind contemplated by Labour would have the reverse effect and destroy jobs.
ParlaMint-GB_2015-01-27-commons.u43	I am very grateful to the Chancellor. Will he join me in congratulating the entrepreneurs and risk takers who, across my constituency, have stepped up to the plate since 2010—so much so that we now have 60% fewer people claiming out-of-work benefits? What further measures can my right hon. Friend deliver to ensure that the economic recovery continues in my part of North Yorkshire?
ParlaMint-GB_2015-01-27-commons.u44	My hon. Friend is absolutely right that unemployment in his constituency has fallen. Twelve thousand extra jobs have been created in his constituency. That is because local businesses are benefiting from the employment allowance, and there is more to come with the cuts to national insurance for employing under-21s and apprentices. One of the reasons businesses are coming to his constituency is that he is such a champion of his constituency as a place to invest and employ. He goes out of his way to bring businesses and jobs to his constituency. That is why unemployment has fallen so fast there.
ParlaMint-GB_2015-01-27-commons.u45	It seems to me that we would be wise as a nation to reduce taxation on the activities that we wish to encourage. I therefore very much welcome the reduction in employers’ national insurance, which has created jobs in my constituency, and I suspect in every constituency around the country. Does the Chancellor agree that we would do well to push on with these reductions in employers’ national insurance, which, to all intents and purposes, is a tax on jobs that discourages their creation?
ParlaMint-GB_2015-01-27-commons.u46	My hon. Friend is absolutely right that national insurance is a tax on jobs—
ParlaMint-GB_2015-01-27-commons.u47	He is a champion!
ParlaMint-GB_2015-01-27-commons.u48	My hon. Friend is a champion of businesses in his constituency. That is one of the reasons unemployment has fallen in Windsor and 2,000 businesses in Windsor are benefiting from our employment allowance. We are going to go on reducing national insurance on employing 21-year-olds and apprentices. The alternative path—the path offered by the Labour party—is to put the jobs tax up. That would increase unemployment and return Britain to the economic mess it was in when Labour was last in charge.
ParlaMint-GB_2015-01-27-commons.u49	The lower-paid, particularly those who are earning £15,000 a year or less, should benefit from the Chancellor’s decision to raise the personal income thresholds, but will he also look at raising to the same level the threshold at which national insurance contributions are made, so that the lower-paid pay neither income tax nor national insurance contributions on £300 a week
ParlaMint-GB_2015-01-27-commons.u50	We increased the employer’s threshold when we came into office to reverse the damage done by the jobs tax increase proposed by the previous Labour Government. We have used the personal income tax allowance as the best method of lifting people out of income tax. It stands at £10,600, and our long-term economic plan proposes to raise it to £12,500. I am happy to work with the hon. Gentleman on other measures we can undertake to support employment and jobs in Northern Ireland. Is it not absolutely striking that on a question about the jobs tax and a question about unemployment, not a single Labour MP gets up to speak?
ParlaMint-GB_2015-01-27-commons.u51	7. What progress his Department has made on supporting businesses.
ParlaMint-GB_2015-01-27-commons.u52	This Government champion British businesses. We are delivering a significant programme of reform to enable businesses to grow, expand and, importantly, become successful. The reforms are all part of the Government’s long-term economic plan to secure business-led economic recovery.
ParlaMint-GB_2015-01-27-commons.u53	The number of new business start-ups in my constituency has increased by 100% since 2010. Does the Minister agree that creating a good business environment, with lower taxes and incentives to invest, is crucial to the future of the black country economy in the west midlands, part of which I represent?
ParlaMint-GB_2015-01-27-commons.u54	My hon. Friend is absolutely right. [Hon. Members: “Is he a champion?”] He is, indeed, a champion, and a strong voice for his constituency and his constituents. He is of course right in every respect. This Government are backing business every step of the way. Our long-term economic plan is making it easier to start and grow businesses, as he has seen across his constituency.
ParlaMint-GB_2015-01-27-commons.u55	Figures published by the Bank of England last week show that net lending to business is still negative. After four and a half years of this Government, when can we expect the figures to go positive, and will we see out the last 100 days of this failed Government, who need a fresh Government to do the job for them?
ParlaMint-GB_2015-01-27-commons.u56	To put it bluntly, this Government have turned around not only the economy, but the business environment. This Government have backed British businesses and business lending every step of the way, which is in stark contrast to a Labour Government, under whom that would only go backwards.
ParlaMint-GB_2015-01-27-commons.u57	Does the Minister recognise that when the consultation on tax reforms for the North sea finishes, it will be crucial to businesses in the north-east of Scotland for the Budget to set in place permanent reforms for the long term, not just for the crisis?
ParlaMint-GB_2015-01-27-commons.u58	My hon. Friend touches on a very significant point. The reality right now is that the reforms are all about long-term economic security. This Government have worked assiduously to ensure that every measure undertaken, whether to back businesses or to create the right tax environment for businesses—he has championed that in his constituency—is the right way forward.
ParlaMint-GB_2015-01-27-commons.u59	What discussions has the Minister had with her colleagues in the Department for Business, Innovation and Skills who, in answer to a recent question, admitted that they expect to spend less than £1 million of the employer ownership fund, which was allocated £30 million to help businesses? What will she do about this failure to help businesses?
ParlaMint-GB_2015-01-27-commons.u60	I emphasise again that this Government have supported businesses and lending to businesses. That is in stark contrast to the failed policies of the Opposition, and to the fact that the hon. Lady’s party would just put up business taxes and take away the support given to small businesses under this Government.
ParlaMint-GB_2015-01-27-commons.u61	8. What assessment he has made of the further steps which are necessary to ensure the fair treatment of defined contribution pension customers in response to the recent market reports published by the Financial Conduct Authority; and if he will make an assessment of the potential merits of introducing a second line of defence protection for such pension schemes.
ParlaMint-GB_2015-01-27-commons.u62	We welcome the Financial Conduct Authority’s announcement yesterday that it will introduce new rules in April to protect consumers accessing their pension pot. The rules will introduce a second line of defence, with pension providers required to give consumers wanting to access their pension pot very clear risk warnings and to highlight the fact that guidance from Pension Wise or regulated advice can help them to avoid making a poorly informed decision.
ParlaMint-GB_2015-01-27-commons.u63	I thank the Minister for that answer. I welcome the fact that the FCA, perhaps at the last minute, recognised there was an issue and took the right action yesterday. What more will she do to ensure that when people make free choices about their investments after April, they buy the right thing, not make a terrible mistake?
ParlaMint-GB_2015-01-27-commons.u64	I congratulate my hon. Friend on expressing the importance of a second line of defence. The Government are determined to give pensioners the opportunity to make their own decisions about what to do with their pension savings. Nevertheless, it is vital to ensure that they have reasonable protections.
ParlaMint-GB_2015-01-27-commons.u65	There were reports yesterday that some people who exercise these rights might face large tax bills that they did not know about. Will the Minister be absolutely clear about what measures will be put in place to ensure that people are not disadvantaged, because she knows, as I do, that people are already being approached informally to get them to exercise these rights?
ParlaMint-GB_2015-01-27-commons.u66	I reassure the hon. Lady that we have sought to give people the opportunity to make their own decisions about what to do with their lifelong savings. That is far better than in the past, when they were effectively told, “You buy an annuity and that’s that.” We are putting in place clear protections, with a criminal measure on scamming and on pretending to be the Government’s pensions guidance service, and there will be proper guidance, with fully qualified guiders who are able to help people through the process. There is now a further line of defence, because pension providers will be required to point out to people the vital importance of taking guidance or regulated advice.
ParlaMint-GB_2015-01-27-commons.u67	9. What assessment he has made of the implications for his policies of recent trends in unemployment figures.
ParlaMint-GB_2015-01-27-commons.u68	Since the Government came to power, employment has increased by 1.75 million and now stands at its highest level ever; unemployment has come down by almost 600,000; and the number of jobseeker’s allowance claimants has fallen by more than 40%. That is one of the many ways in which the stronger economy that we are building is leading to a fairer society in this country.
ParlaMint-GB_2015-01-27-commons.u69	Does my right hon. Friend know that unemployment in my constituency is down to 1.3%, which is precisely half what it was at the last general election and one of the lowest figures in the north-west of England? Does he agree that without the Liberal Democrats and the coalition Government, we would not have had the political stability that was essential for the recovery to take hold?
ParlaMint-GB_2015-01-27-commons.u70	I wholeheartedly agree with my hon. Friend. Not only has unemployment halved in his constituency, but employment has risen by 1,300 since 2010. That is testimony to the work of Liberal Democrats and the Government in creating stability and to his role of supporting and championing local businesses in the north-west of England.
ParlaMint-GB_2015-01-27-commons.u71	A striking feature of the recent trends in unemployment is the increase in youth unemployment, which has risen for three months in a row. In the figures that were published last week, it rose by 30,000, which is the biggest jump for almost two years. Why is it that while overall unemployment is coming down, youth unemployment is going up? Why are young people losing out?
ParlaMint-GB_2015-01-27-commons.u72	I am sorry to have to correct the right hon. Gentleman, but youth unemployment has come down by 171,000 over the past year and is 175,000 lower than when the Government came to power. In his constituency, it is down 53% since 2010—a fact that I am sure he will join me in welcoming. I would agree with him that we need to continue for a number of years with the successful policies that are reducing unemployment in this country, to ensure that every young person has the opportunity to make the best of their life.
ParlaMint-GB_2015-01-27-commons.u73	May I congratulate the Front-Bench team on their economic policy and their long-term economic plan? Unemployment in South Dorset has halved over the past five years. Does the Chief Secretary agree that to hand the country back to the Opposition in a few months’ time would be an absolute disaster for the economic future of this country?
ParlaMint-GB_2015-01-27-commons.u74	I agree that the right course for the country is to continue with the balanced, sustainable, fair action that we have taken to deal in a common-sense way with the country’s financial problems. Lurches away from that path are offered by the Labour party and, I am afraid to say, the hon. Gentleman’s party. That is why it is necessary to have the Liberal Democrats to keep the country on the straight and narrow.
ParlaMint-GB_2015-01-27-commons.u75	Although unemployment in Northern Ireland is lower than would be expected at this point in the economic cycle, growth has not reached out to many of the regions of the United Kingdom, including Northern Ireland. What steps are the Government taking to address the concentration of growth in the south-east of England and the fact that it does not extend to the regions?
ParlaMint-GB_2015-01-27-commons.u76	I do not accept the hon. Gentleman’s characterisation, because we see strong economic growth in London and the south-east and in Scotland, and the economy of the north-west of England has been growing well, particularly in employment. We are seeing a more balanced pattern of growth and job creation than in previous economic recoveries None the less, the hon. Gentleman is right to say that there are significant problems of unemployment in Northern Ireland. That is why we have put in place a range of policies to help support the Northern Ireland economy, some of which we will be debating this afternoon.
ParlaMint-GB_2015-01-27-commons.u77	11. What progress he has made on his fiscal consolidation plans.
ParlaMint-GB_2015-01-27-commons.u78	The Government inherited the largest deficit since the second world war. Since then, we have made substantial progress on reducing the deficit. Borrowing has already fallen by more than a third since 2009-10 and is forecast to have fallen by half this year as a share of GDP. The Government’s consolidation plans have been central to the reduction of the deficit.
ParlaMint-GB_2015-01-27-commons.u79	I thank my hon. Friend for that answer. Given the eye-watering amount of British taxpayers’ money that is spent on paying the interest on our national debt, I am pleased that the Government have already reduced the annual structural deficit by half. Does he agree that it is vital to continue with the policy of reducing the annual structural deficit in order to tackle our national debt?
ParlaMint-GB_2015-01-27-commons.u80	I completely agree with my hon. Friend, who is right to make that point. We need to go on and run an overall surplus, to ensure that our public finances are sustainable over the longer term.
ParlaMint-GB_2015-01-27-commons.u81	Is the Office for Budget Responsibility not right to say that stagnant wages have led to more borrowing? Is that not the key reason why the Government have missed their borrowing targets by more than £200 billion?
ParlaMint-GB_2015-01-27-commons.u82	If we want wages to increase, which we do, we need to improve our education system, ensure that we have a welfare system that makes work pay, improve our infrastructure and have competitive tax systems. In brief, we need a long-term economic plan. That is what we have got with this Government, and it is not what we would have with the Labour party.
ParlaMint-GB_2015-01-27-commons.u83	My hon. Friend will recognise that getting the deficit under control is vital if we want a strong economy. For all the posturing that we have seen today from the Labour party about the NHS, does he recognise that Greece, which had a smaller deficit to the one we had in this country when we came to power, had to cut spending on health services by 14%? Does he agree that only a strong economy can deliver a strong health service?
ParlaMint-GB_2015-01-27-commons.u84	I completely agree with my hon. Friend, who puts it well. We want a strong NHS, but a strong NHS requires a strong economy, and that requires the Government’s policies to continue.
ParlaMint-GB_2015-01-27-commons.u85	In the long-term economic plan—[Hon. Members: “Hurray!”] I would wait for the second part of the question. In the long-term economic plan, is missing a target by 50% evidence of success or failure?
ParlaMint-GB_2015-01-27-commons.u86	We have turned the British economy around, and we grew faster in 2014 than any major western economy. Employment is increasing and unemployment is falling, including by 40% since 2010 in the hon. Gentleman’s constituency. That is a success.
ParlaMint-GB_2015-01-27-commons.u87	12. What recent representations he has received on creating a northern powerhouse.
ParlaMint-GB_2015-01-27-commons.u88	We are making good progress in building a northern powerhouse. Over the past year, private sector employment in the north has increased by more than 200,000, a faster increase than the national average and faster than in the south. We want to sustain that by investing in new transport, new skills and new science, by devolving power and by bringing our northern areas closer together into that powerhouse.
ParlaMint-GB_2015-01-27-commons.u89	May I applaud the Chancellor and the Government for their work on creating a northern powerhouse? Will he ensure that rural communities participate in that wealth growth, and that rural broadband reaches farms and rural businesses that want to drive the rural economy and economic growth?
ParlaMint-GB_2015-01-27-commons.u90	My hon. Friend is absolutely right that we want our rural communities in the north to be part of the powerhouse. It is not just about connecting the cities; it is about ensuring that the rural economy is a vibrant part of the northern economy. Superfast broadband is a key part of that, and, as she well knows, we have made special efforts to develop it in North Yorkshire. Rural transport is also incredibly important, as is supporting agriculture. The investment that we are making in agricultural science will benefit agriculture all over the country, including in her constituency.
ParlaMint-GB_2015-01-27-commons.u91	The Chancellor will have noticed that, for the first time in a recessionary period, the unemployment figures in Scotland—our northern powerhouse—are consistently better than in the rest of the UK, as the SNP Government, where possible, have followed different economic policies. Is his opposition to proper economic powers for Scotland based on a fear of being further outperformed by the Scottish Government? Is he afraid of the competition from a real northern powerhouse?
ParlaMint-GB_2015-01-27-commons.u92	I am delighted for Scotland that unemployment has fallen and it is seeing growth. I remember, however, that the SNP predicted that our economic plan would cause unemployment to rise in Scotland and shrink the Scottish economy. That has not been the case because Scotland has been part of a stable United Kingdom that is following a long-term economic plan that is benefiting the entire country.
ParlaMint-GB_2015-01-27-commons.u93	20. On 4 November at Treasury questions, I raised the issue of Brierfield Mill, the largest redundant mill complex in Lancashire and situated in my constituency. Following that, my right hon. Friend the Minister for Universities, Science and Cities visited the project on 16 January. Now, inexplicably, the Lancashire local enterprise partnership has failed to bid for even a penny of funding as part of the second round of the growth deal. Will my right hon. Friend agree to meet me urgently to discuss Government support for that important project?
ParlaMint-GB_2015-01-27-commons.u94	I am well aware of the economic potential of the Brierfield Mill development and when I met my hon. Friend in Nelson recently we talked about those benefits with local businesses. He is a champion of that development and it is extraordinary that the Lancashire LEP and, in particular, Lancashire county council have not promoted the project. He is promoting the project because he is a champion of his constituency and I will happily meet him to see how we can progress the Brierfield Mill project and bring more jobs to the Pendle constituency.
ParlaMint-GB_2015-01-27-commons.u95	The Centre for Cities recently reported that for every 12 new net jobs created in the south-east of England, only one is created in the rest of the UK. What is the Chancellor doing to address that two-tier economy?
ParlaMint-GB_2015-01-27-commons.u96	The hon. Gentleman says it is a two-tier economy, but youth unemployment is down by 45% in his constituency and unemployment down by 31%. I agree that the Labour Government in the Welsh Assembly are doing damaging things to the Welsh economy, but thankfully the UK Government are promoting Wales and the Welsh economy and, as a result, we are seeing jobs being created. I am happy to continue to come forward with policies that support Wales and its economic development.
ParlaMint-GB_2015-01-27-commons.u97	The north-east chamber of commerce recently said: “Businesses are surging into 2015 on a wave of sustained growth and positivity”, and unemployment is falling faster in the north-east than anywhere else in the country. Will the Chancellor ensure that the north-east is properly connected to the northern powerhouse and that the necessary infrastructure investment is delivered?
ParlaMint-GB_2015-01-27-commons.u98	I assure my hon. Friend that that will be the case. The north-east is an incredibly important part of the northern powerhouse, and that is why we are investing in road and rail links there. We are also putting investment into science there, for example at Newcastle university, and of course in his constituency he has seen steelmaking begin again after it ended under the Labour Government. People will have a clear choice at the general election.
ParlaMint-GB_2015-01-27-commons.u99	13. What proportion of recipients of tax credits are in employment.
ParlaMint-GB_2015-01-27-commons.u100	Seventy-one per cent. of households in receipt of tax credits are in employment.
ParlaMint-GB_2015-01-27-commons.u101	I thank the Minister for that confirmation that more than two thirds of people getting tax credits are in work. How can she claim to be helping working families when the Chancellor wants to cut their tax credits again, causing real-terms economic pain?
ParlaMint-GB_2015-01-27-commons.u102	Let us put this into some context. For a start, tax credit spending rocketed under the previous Government and throughout this Parliament we have made it abundantly clear that we support those with low incomes. Let us not forget either that the impact of Labour’s great recession is still being felt. We continue to help people with the cost of living through the increases in personal allowances, the freeze in fuel duty, cuts in council tax and, of course, by reducing the cost of child care.
ParlaMint-GB_2015-01-27-commons.u103	Working tax credits are in effect a form of corporate welfare for employers who could pay higher wages, especially if tied to increased skills. Will the Minister continue her conversations with the Minister for Skills and Equalities about ways in which we can create a combination of those two, perhaps in the form of tax credits for training, such as proposed by Premier Inn?
ParlaMint-GB_2015-01-27-commons.u104	I thank my hon. Friend for his suggestion. He is right that more can be done through working with business and learning from their suggestions.
ParlaMint-GB_2015-01-27-commons.u105	17. How can the Minister claim there is no cost of living crisis when average full-time wages are down by £2,000 a year, when huge and increasing numbers of workers are dependent on state benefits to make ends meet, and when the gap between chief execs’ salaries and the people who work for them is growing all the time?
ParlaMint-GB_2015-01-27-commons.u106	Let us be clear. There are a couple of points I would like to make. The Government have shown that the only way to improve and increase living standards is by tackling head-on the country’s economic problems, which are down to the legacy of the previous Government, and by supporting those who do the right thing and aspire to work. I hope the hon. Lady welcomes the fact that in her constituency things have improved, with employment down substantially by 47% and youth unemployment down by 52%.
ParlaMint-GB_2015-01-27-commons.u107	Tax credits have helped many people, but it is also true that some have been prevented from taking a promotion or a salary increase because they would lose more in taxpayer-funded benefits than they would gain from their employer. That has to be wrong. Does my hon. Friend agree that as universal credit is rolled out across the country, so we return to the crucial principle that work always pays? I am afraid that that got lost under the previous Government.
