ParlaMint-GB_2015-03-04-commons.u1	1. What assessment he has made of trends in labour market statistics in Wales since 2010.
ParlaMint-GB_2015-03-04-commons.u12	If the hon. Gentleman thinks that is any kind of boon for the Welsh economy, I point him to the opinion poll conducted by BBC Wales which this morning shows that a majority of voters across Wales, even in the Labour heartlands—from Rhondda to Cynon Valley, from Caerphilly to Pontypridd—prefer my right hon. Friend the Prime Minister to remain as leader rather than the Leader of the Opposition.
ParlaMint-GB_2015-03-04-commons.u13	2. What recent discussions he has had with business representatives in Wales on the importance of membership of the EU to the Welsh economy.
ParlaMint-GB_2015-03-04-commons.u14	Membership of the European Union’s single market is good for businesses in Wales. However, businesses tell me that the burdens and costs imposed by the European Union are making it harder for them to grow. This Government are determined to renegotiate our membership with the European Union to get a better deal for Wales and for UK businesses, and to put that to the people.
ParlaMint-GB_2015-03-04-commons.u15	How many tens of thousands of jobs in Wales does the Minister think would be at risk if the UK left the EU?
ParlaMint-GB_2015-03-04-commons.u16	A renegotiated European Union provides greater opportunities for businesses in Wales. I know that the hon. Gentleman shows great interest in Airbus, which says: “Regardless of which decision the UK will make, we are strongly committed to our operations in the UK” The British Chambers of Commerce also supports that position. I am absolutely confident that the growth in Wales will contribute to more jobs and provide more of the certainty that people want.
ParlaMint-GB_2015-03-04-commons.u17	Does my hon. Friend agree that the issue of British membership of the EU is indeed of concern to the people of Wales, who have not had their say on the issue for 40 years? Does he further agree that the only way they will get that say is with the return of a Conservative Government, because Labour will not give it to them?
ParlaMint-GB_2015-03-04-commons.u18	My right hon. Friend is absolutely right. We cannot pretend that this debate is not happening. We need to make the arguments for what the CBI wants—a reformed European Union of which the UK is a part.
ParlaMint-GB_2015-03-04-commons.u19	I am intrigued. The Minister said earlier that businesses had told him various anti-EU things. Can he name a single business across the length and breadth of Wales—north, south, east or west—that has told him it would like Wales to leave the EU?
ParlaMint-GB_2015-03-04-commons.u20	I am happy to point to the survey by the British Chambers of Commerce which showed that 77% of businesses support a referendum on EU membership, and said: “British businesses remain determined to see a recalibrated relationship between the UK and the rest of the European Union, with more powers exercised from Westminster rather than Brussels.” I hope that the hon. Lady supports that comment from the British Chambers of Commerce.
ParlaMint-GB_2015-03-04-commons.u21	Does the Minister agree that businesses do not always speak with one voice on this issue? While big businesses are often the most able to cope with the bureaucracy sent to us from Brussels and might want to stay within the European Union, very often small businesses do not?
ParlaMint-GB_2015-03-04-commons.u22	My hon. Friend makes an extremely important point. Many of the people who are scaremongering now are the same people who wanted to join the euro all those years ago. It is this party that stands up for the British economy and stands up for businesses, exactly as the British Chambers of Commerce, the CBI and Airbus say in the quotes I have given.
ParlaMint-GB_2015-03-04-commons.u23	13. [907780] In 1998, I was successful in persuading my right hon. Friend the Member for Neath (Mr Hain) to accept Denbighshire and Conwy into the bid for objective 1 European funding. In that time, Denbighshire has had a quarter of a billion pounds of private sector and public sector funding from Europe. If Britain pulls out of the EU, my constituency and my county will lose £100 million over the next seven years. What does the Minister feel about that?
ParlaMint-GB_2015-03-04-commons.u24	May I remind the hon. Gentleman that European structural funds are aimed at the poorest parts of Europe? It is no mark of celebration to say that his constituency succeeded in winning that money. This Government have a long-term economic plan to turn the economy around for the longer term rather than depending on the grants and handouts for which he makes the case. He also needs to be reminded that that is our money coming back with conditions attached.
ParlaMint-GB_2015-03-04-commons.u25	Does the Minister agree that the reforms that the CBI and others are recommending for the single market, and for the European Union in general, are absolutely right for Wales and absolutely right for Britain, and that that should be a consideration for the referendum?
ParlaMint-GB_2015-03-04-commons.u26	My hon. Friend is absolutely right. Opposition Members talk about some sort of so-called uncertainty, but that so-called uncertainty has given us the fastest-growing economy in the G7 and has made Wales the fastest-growing part of the United Kingdom, which we should be celebrating and marking.
ParlaMint-GB_2015-03-04-commons.u27	3. When he last met representatives of the tourism sector in Wales; and if he will make a statement.
ParlaMint-GB_2015-03-04-commons.u28	Wales Office Ministers regularly meet representatives of the tourism industry in Wales. Wales is a fantastic holiday destination, and this Government will continue to do all they can to promote Wales at home and abroad.
ParlaMint-GB_2015-03-04-commons.u29	We are indeed fortunate in that people the world over want to visit the wonderful country of Wales—I and, I am sure, the Minister are very proud of the country—but more should be done in terms of tourism and the Welsh economy. What discussions has he or his right hon. Friend the Secretary of State had with colleagues to implement a 5% VAT rate for the tourism sector, which would bring 5,500 extra jobs to Wales?
ParlaMint-GB_2015-03-04-commons.u30	With permission, Mr Speaker, a gaf i dalu teyrnged i’r Aelod gwir anrhydeddus? I would like to pay tribute to the right hon. Gentleman for his service in this House over many years, and for the way in which he has led his party here VAT levels for business are of course set by the Treasury. The right hon. Gentleman rightly points to the importance to the Welsh economy of tourism, which makes up almost 15% of the work force. That is why I am delighted that the number of international visits last year increased by 7.5%, or 26,000 visits.
ParlaMint-GB_2015-03-04-commons.u31	Diolch i’r Gweinidog am ei eiriau caeredig. I will help Hansard with the spelling later In terms of competitive disadvantage, 24 EU states already have a reduced rate of VAT on tourism. In addition, the economic study by Professor Adam Blake, using the Treasury’s own modelling technique, showed that a cut in tourism VAT would increase GDP by £4 billion per annum.
ParlaMint-GB_2015-03-04-commons.u32	A strong tourism sector needs a strong economy. Wales is the fastest-growing part of the United Kingdom, which creates a greater opportunity to attract tourists from not only the UK but beyond. VisitBritain is launching the Countryside is Great campaign, from which I know the right hon. Gentleman’s constituency is set to benefit.
ParlaMint-GB_2015-03-04-commons.u33	The Minister is right to highlight the successes of the Welsh tourism industry. Will he reflect on the benefits of a cut in VAT for rural economies, particularly those in west Wales—the constituency of the Secretary of State and Ceredigion, Powys and Dwyfor Meirionnydd? They would really benefit because they are incredibly fragile economies.
ParlaMint-GB_2015-03-04-commons.u34	VAT rates are a matter for the Treasury, but the hon. Gentleman will be able to make such points in the forthcoming Treasury debate. We need to ensure that Wales gets its fair share of VisitBritain, and the Countryside is Great campaign provides a great opportunity for his constituency and large parts of Wales to ensure that Wales is promoted internationally as well as within the United Kingdom.
ParlaMint-GB_2015-03-04-commons.u35	4. What assessment he has made of the potential benefits to south Wales of the Severn barrage.
ParlaMint-GB_2015-03-04-commons.u36	We have made it clear that we remain open to considering any well developed and privately funded proposals that come forward for harnessing the tidal range resource in the Severn estuary. The right hon. Gentleman’s tenacity on this and a great number of other subjects will of course be greatly missed when he leaves this place. I look forward to meeting him next week to talk further about the Severn barrage project.
ParlaMint-GB_2015-03-04-commons.u37	I am grateful to the Secretary of State. Is he aware that the company now taking forward the Severn barrage—exclusively for any form of renewable energy—requires no consumer subsidy through a contract for difference? That could be a game changer for the Government With your indulgence, Mr Speaker, may I thank my Welsh Labour colleagues for their comradeship, especially during my two years as a Welsh Minister and seven years as Secretary of State for Wales? We can be proud that we established a Welsh Assembly, and it has been a privilege to serve.
ParlaMint-GB_2015-03-04-commons.u38	I thank the former Secretary of State for his question. As I said, I look forward to talking to him in more detail about the project, and to understanding how the proposal might have changed since he and his associates last presented the ideas to various Committees. Let me add that I am proud to be part of a Government who believe in major infrastructure investment, and who are delivering strategic infrastructure investment in Wales the likes of which we have never seen before.
ParlaMint-GB_2015-03-04-commons.u39	As a lifelong advocate of the Severn barrage, I think that we must now reluctantly admit that the time for the barrage has gone and that there is a better alternative in the form of lagoons at Newport, Cardiff and Swansea. Does the right hon. Gentleman agree?
ParlaMint-GB_2015-03-04-commons.u40	The hon. Gentleman makes a good point. He is aware of my enthusiasm for the lagoons project. That is why the Wales Office worked hard to secure the inclusion of the lagoon proposal for Swansea bay in the national infrastructure plan. There is a planning process in place and we need to respect that, but I am proud to be part of a Government who are working constructively and positively with the developers to take the project forward.
ParlaMint-GB_2015-03-04-commons.u41	5. What discussions he has had with Ministers in the Welsh Government on the role of Jobs Growth Wales in tackling youth unemployment in Wales.
ParlaMint-GB_2015-03-04-commons.u42	8. What discussions he has had with Ministers in the Welsh Government on the role of Jobs Growth Wales in tackling youth unemployment in Wales.
ParlaMint-GB_2015-03-04-commons.u43	I am proud of the efforts of this Government that have seen youth unemployment in Wales fall by 46% over the course of this Parliament. I have discussed with the Welsh Government the support that is available to help people into work to ensure that there is a coherent and joined-up approach in Wales.
ParlaMint-GB_2015-03-04-commons.u44	Jobs Growth Wales has created 12,000 job opportunities for young people across Wales. Why will the UK Government not replicate it?
ParlaMint-GB_2015-03-04-commons.u45	The Jobs Growth Wales scheme has been popular with employers—it is a wage subsidy, so of course employers like it. It is important to recognise that Jobs Growth Wales is for people who are so-called job-ready. An independent evaluation by Ipsos MORI, which was commissioned by the Welsh Government, found that 73% of people who found work through Jobs Growth Wales would have found work anyway. That raises questions about whether it is a good use of taxpayers’ money.
ParlaMint-GB_2015-03-04-commons.u46	Jobs Growth Wales has created more than 400 jobs for young people in Blaenau Gwent. However, people need to be able to get to the jobs market on the coast in Cardiff and Newport. Given that the funding is now agreed, when will the valley lines electrification be completed?
ParlaMint-GB_2015-03-04-commons.u47	I am pleased that the hon. Gentleman has referred to the valleys electrification project. It was a great achievement of this Government, along with the Welsh Government, to secure a deal to deliver electrification not just of the great western line to Swansea but, crucially, through to the valleys communities as well. We look forward to work starting on that project, subject to the Welsh Government agreeing the details, in 2018-19.
ParlaMint-GB_2015-03-04-commons.u48	Does my right hon. Friend agree that it is not just Jobs Growth Wales but the coalition Government’s long-term economic plan that has delivered the unprecedented falls in youth unemployment, and that the binary choice that will be presented to the people of Wales on 7 May is between jobs, growth and prosperity and debt, deficit and dole queues?
ParlaMint-GB_2015-03-04-commons.u49	As ever, the Chairman of the Welsh Affairs Committee is exactly right. He expresses the situation perfectly. What puts at risk all the great progress we have made in cutting long-term and youth unemployment across Wales is the prospect of a Labour Government who have no plan and no vision for the Welsh economy.
ParlaMint-GB_2015-03-04-commons.u50	11. Will my right hon. Friend note that in my constituency unemployment has fallen by more than 30% since my election? Will he take every opportunity to remind the electorate and the House of something that has been true throughout the 23 years since I was first elected to the House, which is that every Labour Government have left office with unemployment higher than when they came to office?
ParlaMint-GB_2015-03-04-commons.u51	My hon. Friend should take pride in his record. On his watch, the falls in unemployment in Cardiff North have been truly impressive over the past five years. I know that Craig Williams, our excellent Conservative candidate in Cardiff North, will carry on the good work through all the excellent contacts he has with businesses across the city.
ParlaMint-GB_2015-03-04-commons.u52	Given the 80% success rate of the Labour Welsh Government’s Jobs Growth Wales programme and the Secretary of State’s new-found enthusiasm for devolution, why did he not include in his St David’s day announcement the devolution of the Work programme, which, under his Government, gets only a miserable 10% of clients into work in Wales and is clearly failing people in Wales?
ParlaMint-GB_2015-03-04-commons.u53	I thank the hon. Lady for that question. The crucial point is that the Work programme was brought forward by the coalition Government—the UK Government—and has helped more than 17,000 people in Wales who had been unemployed for the longest periods. Let us not forget how complacent the previous Labour Government were about long-term unemployment in Wales: the rate of long-term unemployment increased by more than 160% on their watch.
ParlaMint-GB_2015-03-04-commons.u54	6. What discussions he has had with the Welsh Minister for Health on cross-border health care provision.
ParlaMint-GB_2015-03-04-commons.u55	Wales Office Ministers hold regular discussions with Ministers in the Welsh Government on a range of issues, including the provision of health care services along the England and Wales border. We will continue to review current arrangements to ensure that they meet patients’ needs on both sides of the border.
ParlaMint-GB_2015-03-04-commons.u56	A major problem facing rural Wales is difficulty in attracting GPs to come to work in Wales, and one reason for that is the bureaucracy involved in GPs having to go through a process of specific Welsh registration. Will the Minister work with the Welsh Government and the Department of Health to bring forward a common registration programme for Wales and England?
ParlaMint-GB_2015-03-04-commons.u57	My hon. Friend makes an important point. We want the greatest flexibility in the NHS work force across the whole United Kingdom. The regulatory burden and bureaucracy involved is unacceptable, and the Department of Health and Welsh Government are working together with the support of the Wales Office to put that right.
ParlaMint-GB_2015-03-04-commons.u58	Many health services for my constituents are delivered from England by specialist hospitals. Why do the Secretary of State and the Minister want to take away the voice of MPs from Wales to speak up on behalf of their constituents and look after their interests?
ParlaMint-GB_2015-03-04-commons.u59	I do not accept the hon. Gentleman’s premise. Welsh MPs will still be here fighting for their constituents and ensuring the best care for them, be it on the Welsh or English side of the border. That is what we will be elected for.
ParlaMint-GB_2015-03-04-commons.u60	Rural GP practices are at particular risk, as shown by the proposed closure of the Llanwrtyd GP surgery, and patients will have nowhere to go. Will the Minister make representations not only to the Royal College of General Practitioners but to the Wales Deanery, to encourage more GPs?
ParlaMint-GB_2015-03-04-commons.u61	That is a matter for the Welsh Government, but I will happily raise that point. The point made by my hon. Friend the Member for Montgomeryshire (Glyn Davies) underlines the fact that flexibility would create greater opportunity to try to fill those gaps.
ParlaMint-GB_2015-03-04-commons.u62	Will the Minister concede that one of the main problems with the health service in Wales is underfunding, on which the new announcement on further devolution has signally failed to deliver?
ParlaMint-GB_2015-03-04-commons.u63	The hon. Gentleman makes an important point about funding, and there have been many debates in the Chamber about the funding of the NHS in England and in Wales. As my hon. Friend the Member for Aberconwy (Guto Bebb) once said, Aneurin Bevan would turn in his grave if he thought that a Welsh Labour Government were cutting the NHS budget while a Conservative Government in Westminster were growing the NHS budget.
ParlaMint-GB_2015-03-04-commons.u64	7. What discussions he has had with the National Police Air Service on the provision of helicopter services within Dyfed Powys police force area.
ParlaMint-GB_2015-03-04-commons.u65	As a police-led initiative, it is for the National Police Air Service Strategic Board to develop the operating and financial models to meet the needs of all forces throughout Wales and England.
ParlaMint-GB_2015-03-04-commons.u66	The Dyfed Powys helicopter base at Pembrey is a state-of-the-art facility that opened only in 2010, at a cost of £2 million to the residents of the force area. Last month the newly created National Police Air Service reneged on an agreement made only last November to preserve that base. Dedicated helicopter capacity is vital to policing in the Dyfed Powys area. On Monday, for example, the helicopter saved the life of an injured man at the LNG facility in Pembrokeshire, transporting him to Heath in Cardiff. Will the Minister raise that issue with the Home Secretary and NPAS, and will he meet me to discuss the concerns of the people of west Wales?
ParlaMint-GB_2015-03-04-commons.u67	The hon. Gentleman makes an important point, and I pay tribute to the police and crime commissioner, Chris Salmon, for his work on that. He has an agreement in place that extends access to the helicopter service from 12 to 24 hours, with an 85% priority recall within 20 minutes. That is delivering more for less money. [Interruption.]
ParlaMint-GB_2015-03-04-commons.u68	Order. There is a lot of noise in the Chamber. Let us have some order for the Chair of the Political and Constitutional Reform Committee of the House of Commons, Mr Graham Allen.
ParlaMint-GB_2015-03-04-commons.u69	9. What recent discussions he has had with the First Minister on income tax assignment to Wales being carried out on the same basis as applies in Scotland.
ParlaMint-GB_2015-03-04-commons.u70	I have regular discussions with the First Minister on holding a referendum on the devolution of income tax to the National Assembly for Wales, as provided for in the Wales Act 2014. Following our commitment to a funding floor for Wales there is no reason for the First Minister not to call a referendum in the next Parliament.
ParlaMint-GB_2015-03-04-commons.u71	Does the Minister accept that Scotland has now set a precedent on income tax assignment that can meet the base load of its expenditure? Will he continue his work to ensure that Wales also has income tax assigned? Will he talk to his colleagues in England to ensure that they understand that the basis of devolution in England must be financial independence by income tax assignment, too?
ParlaMint-GB_2015-03-04-commons.u72	I am a bit surprised by the hon. Gentleman’s question, because the Government have worked really hard to deliver a devolution package for Wales that strengthens and clarifies, and makes devolution fairer for Wales. The negative response from Welsh Labour in Cardiff in recent days speaks more about the divisions between Labour in Westminster and in Cardiff. He really should speak to his own colleagues.
ParlaMint-GB_2015-03-04-commons.u73	Q1. If he will list his official engagements for Wednesday 4 March.
ParlaMint-GB_2015-03-04-commons.u74	This morning I had meetings with ministerial colleagues and others. In addition to my duties in this House, I shall have further such meetings later today.
ParlaMint-GB_2015-03-04-commons.u75	The Chancellor was asked six times this morning whether he had had conversations with Lord Green about tax avoidance. He refused to answer. Will the Prime Minister now clarify whether he or the Chancellor had conversations with Lord Green when he was a trade Minister about tax avoidance at HSBC?
ParlaMint-GB_2015-03-04-commons.u76	We dealt with all this a fortnight ago. All the proper checks were made. This is the same Lord Green, the same Stephen Green, that Labour gave a job to just before the election. That is the truth and they cannot get away from it.
ParlaMint-GB_2015-03-04-commons.u77	Q2. A centre for excellence is to be created on the Isle of Wight for composites, advanced manufacturing and marine technology. This project, led by GKN Aerospace and the Isle of Wight College, will benefit new and existing island businesses. Does the Prime Minister agree that this is an excellent example of the Government supporting the local economy and ensuring that young people on the island have the skills that the industries of the future will need?
ParlaMint-GB_2015-03-04-commons.u78	My hon. Friend is right: this is an excellent development. Solent local enterprise partnership has received nearly £11 million in funding through the growth deal to build the centre of excellence for composites on the Isle of Wight. This will provide 550 students with workshop and learning facilities, and will include more than 250 apprentices. This is all part of our long-term plan to build up Britain’s skills, build up Britain’s manufacturing, build up our apprenticeships and make sure more people get the security and stability of work.
ParlaMint-GB_2015-03-04-commons.u79	Before the last election, the Prime Minister made a no ifs, no buts promise on immigration. Can he remind the House exactly what that promise was?
ParlaMint-GB_2015-03-04-commons.u80	We promised to cut net migration. We have cut it from outside the European Union, but it has increased from inside the European Union, not least because we have created more jobs than the rest of the European Union put together.
ParlaMint-GB_2015-03-04-commons.u81	The Prime Minister was rather coy about his precise promise. It was in his contract with the British people: net migration cut to the tens of thousands. But now it is at 298,000—higher than when he took office. Here is what he said in the contract: “If we don’t deliver our side of the bargain, vote us out in five years’ time.” When he said that, did he mean it?
ParlaMint-GB_2015-03-04-commons.u82	There are two reasons for high migration. One is the growth of our economy, and the other is that our benefit system allows people to access that benefit system straight away. I say: let’s keep the strong economy; let’s change the benefit system. The right hon. Gentleman wants to keep the benefit system and trash the economy.
ParlaMint-GB_2015-03-04-commons.u83	I have to say to the Prime Minister that his promise on immigration makes the Deputy Prime Minister’s promise on tuition fees look like the model of integrity. If he can break so spectacularly a solemn promise on a fundamentally important issue, why on earth should anyone believe any of his election promises this time?
ParlaMint-GB_2015-03-04-commons.u84	I am glad the right hon. Gentleman mentions the document, because I have brought it with me. I have, as you say, procured a copy for the interests of the House, and I would like to run through the commitments we made. We said: “We will protect pensions”, and we have protected pensions. We said we would train 4,000 Sure Start health visitors, and we have trained 4,000 Sure Start health visitors. We said we would “protect free TV licences for over 75s and keep free eye tests… for pensioners”, and we kept that promise. [Interruption.] There is plenty more. I’ve got all day, Mr Speaker. I think these are very important. The contract says: “We will keep the winter fuel allowance”, and we kept the winter fuel allowance It said we would “ensure that cancer patients get the…treatment they need”, and we made sure that happened. There is lots more, so let us keep going. There is plenty of time. [Hon. Members: “More!”] We said we would increase health spending every year, and we have increased health spending every year. We said we would introduce the married couples tax allowance, and we have introduced a married couples tax allowance. We said we would increase the basic state pension, and we have increased the basic state pension. There is plenty more. These are commitments made, and commitments kept. What a contrast—
ParlaMint-GB_2015-03-04-commons.u85	Order. I call Mr Miliband.
ParlaMint-GB_2015-03-04-commons.u86	So now we know: we cannot believe the promise on immigration from the leader of the Conservative party. It is not worth the paper it is written on. [Laughter.]
ParlaMint-GB_2015-03-04-commons.u87	Order. I ask the House to have some regard to the views of the public about our behaviour, given that we will be seeking their support in the weeks ahead. It is quite straightforward really.
ParlaMint-GB_2015-03-04-commons.u88	They are laughing about the Prime Minister’s broken promise on immigration. I will ask again. He promised net migration in the tens of thousands. Will he now admit that he has broken that promise—yes or no?
ParlaMint-GB_2015-03-04-commons.u89	I have been very clear: we have cut migration from outside the EU, but we have seen it rise inside the EU. We have a plan to deal with that. The right hon. Gentleman talks about commitments, but I have a few more. The contract said we would cut wasteful spending, and we have cut wasteful spending. We said we would reduce carbon emissions, and we reduced carbon emissions. We said we would have 400,000 apprentices—we have broken that promise, because we have had 2 million apprentices. It is election time, and we are all getting to think about leaflets, so I have a little question. Apparently, someone can go around to his office, and he stands on a soapbox to make himself look a little taller. How many people will put the Leader of the Opposition on their leaflets? Come on! Hands up! [Laughter.] I think that is enough about leaflets for now.
ParlaMint-GB_2015-03-04-commons.u90	So it is all about leadership. [Hon. Members: “Yes.”] Excellent. Great. We have a good chance to discuss these issues. The broadcasters have proposed a live, head-to-head debate between the Prime Minister and me on 30 April—a week before polling day. I will be at that debate—will he?
ParlaMint-GB_2015-03-04-commons.u91	Yes, it is all about leadership, but we have seen none from the Labour party. What is interesting is that we are having a debate now, and the Opposition cannot talk about the economy—they cannot talk about jobs, because more jobs are being created; they cannot talk about growth, because growth is going up; and they cannot even talk about living standards, because of today’s breakthrough report showing that living standards are back at their pre-crisis peak. I say let us have these debates, and let us get on with them before the election.
ParlaMint-GB_2015-03-04-commons.u92	Okay, if the Prime Minister wants an additional debate between me and him before the election, I am happy to agree to it, but the broadcasters have set a date. He says the election is all about me and him, but the one thing he wants to avoid is a televised debate between me and him. I will give him another chance: I will be there on 30 April for a debate between me and him. Will he be there—yes or no?
ParlaMint-GB_2015-03-04-commons.u93	The right hon. Gentleman has now given up on the seven-cornered debates; he does not want to debate with the Greens any more. He watched the press conference: we all thought it was a car crash; he probably thought it was a master-class. We are having a debate now, and he cannot talk about the economy; he cannot talk about jobs; he cannot talk about living standards; he cannot talk about what we have done for our economy. The reason for that is that he has no leadership whatsoever. The truth is that we have a recovering economy, and we must not let Labour wreck it.
ParlaMint-GB_2015-03-04-commons.u94	Next Monday, a seemingly minor amendment to the Road Traffic Acts—[Interruption.]
ParlaMint-GB_2015-03-04-commons.u95	Order. The hon. Gentleman is entitled to be heard.
ParlaMint-GB_2015-03-04-commons.u96	Thank you, Mr Speaker. Next Monday, a seemingly minor amendment to the Road Traffic Acts will allow 70,000 severely disabled wheelchair-using children legally to use a heavier class of wheelchair that better meets their complex needs. Will the Prime Minister join me in congratulating the excellent Newlife Foundation for Disabled Children in my constituency, which has been campaigning for this change in the law for over five years, and can now continue to make a real difference to the quality of life of some of the most severely disabled children in our country?
ParlaMint-GB_2015-03-04-commons.u97	I am very happy, with my hon. Friend, to praise that business and to pay tribute to all those who give disabled young people the chance of having more choice over wheelchairs. Anyone who has had a child in a wheelchair knows that choice is important so that their child can have a better quality of life. I am delighted that this change in the law will help make that possible.
ParlaMint-GB_2015-03-04-commons.u98	Q3. My father died of cancer; my mother died of cancer; and my sister died of cancer. A year ago, the Prime Minister set a target for those on urgent cancer referrals to receive their first treatment within two months. Last year, 20,000 people did not have that target met for them. Does the Prime Minister understand that, even if the national health service can survive another five years of a Conservative Government, 100,000 cancer patients cannot?
ParlaMint-GB_2015-03-04-commons.u99	The hon. Gentleman, probably like everyone in this House and most people in our country, knows someone who has been affected by, or died of, cancer. We all know that, and we know it is one of the biggest killers that we must get to grips with in our country. What we have seen over the last five years, partly because we have protected health spending, is a 50% increase of referrals into cancer treatments, so about half a million extra people have been treated. When it comes to cancer, what we need is earlier diagnosis by the GP. That is why the information campaigns matter so much. When people go into treatment, it does matter that the waiting targets are met. Two out of the three key cancer targets are being met, and we need to make sure that all of them are met. We also need to keep on with the cancer drugs fund, which has given many cancer sufferers access to drugs and a longer life as a result.
ParlaMint-GB_2015-03-04-commons.u100	Q4. Does my right hon. Friend agree that, too often, some of NATO’s leaders confuse announcements with action? Will he ensure that NATO does what it said it would do at Cardiff last year, so that those who, for their own domestic reasons, want to undermine the political and territorial integrity of the alliance realise that when we say we will defend it, we mean it, that we have the means to do so and that we will do so?
ParlaMint-GB_2015-03-04-commons.u101	My hon. and learned Friend is absolutely right. That is why the Cardiff conference was so important. We said we would stick to article 5—and we will stick to article 5. We said we would draw up an action plan to help countries in eastern Europe, including the Baltic states—and we are doing so. For Britain’s part, we have the Typhoons taking part in the Baltic air patrol and we have 4,000 British troops taking part in operations in eastern Europe. It is very important that we are clear to those Baltic allies that when we sign up to article 5, we mean it. They want to hear our support—when they face not only a conventional threat, but threats of cyber-attack as well. We need to show that we are standing with them at this time.
ParlaMint-GB_2015-03-04-commons.u102	Q5. Without wishing to be personal, does the right hon. Gentleman realise that many people consider him to be a Prime Minister who simply does not understand the lives of millions of people of this country who try to live on modest incomes? The Tory party has been, and remains, the party of the rich and the privileged.
ParlaMint-GB_2015-03-04-commons.u103	I would say to the hon. Gentleman that a Government should be judged according to what happens to the people living in the country. We are now seeing 1.85 million more people with a job. That means that 1,000 people are getting a job for every day that the Government have been in office, and it means the security of a pay packet and the chance to provide for a family. [Interruption.] The hon. Gentleman shakes his head, but that is the reality of Britain today: more apprentices, more jobs, and more people able to provide for their families. I should have thought that the Labour party would welcome that.
ParlaMint-GB_2015-03-04-commons.u104	The Department for Education has overruled Norfolk county council’s proposal for an interim executive board to resolve the future of The Hewett school in my constituency. Will the Prime Minister seek to establish why the DFE considers its own centrally imposed proposal to be preferable, given that it seems to go against the spirit of localism?
