ParlaMint-GB_2015-06-08-commons.u1	1. What the timetable is for the strategic defence and security review.
ParlaMint-GB_2015-06-08-commons.u21	Yes, of course we will engage with Parliament and I look forward to engaging with the newly established Select Committee on Defence. However, the hon. Gentleman has chosen two rather odd capabilities to put on the table. We are addressing the gap in maritime patrol aircraft because the previous Labour Government were supposed to deliver 23 Nimrods but, when we came into office in 2010, the programme was eight years behind schedule, £800 million over budget and not a single Nimrod had been delivered. He then went on to mention aircraft carriers, but it is this Government that are building two aircraft carriers and this Government that are committed to sailing them both.
ParlaMint-GB_2015-06-08-commons.u22	2. What steps his Department is taking to counter ISIL in Iraq.
ParlaMint-GB_2015-06-08-commons.u23	15. What steps his Department is taking to assist Iraqi forces in countering ISIL.
ParlaMint-GB_2015-06-08-commons.u24	The UK contributes significantly to the coalition against ISIL by providing sophisticated aircraft such as Tornado, Reaper, Rivet Joint and Sentinel from across the middle east and Cyprus to support Iraqi ground forces. We lead the coalition’s counter-improvised explosive device training programme and have trained more than 1,400 Iraqis in counter-IED and other infantry skills. Yesterday, as my right hon. Friend the Member for Clwyd West (Mr Jones) will have heard, we offered to expand that counter-IED and other training to additional coalition training sites.
ParlaMint-GB_2015-06-08-commons.u25	Major General Tim Cross, who was the senior British officer involved in post-war planning in Iraq, attributed the fall of Ramadi to a lack of will or, as he put it, “moral cohesion” on the part of Iraqi forces. What is my right hon. Friend’s Department doing to help promote that moral cohesion in an Iraqi army that frequently heavily outnumbers its ISIL opponents?
ParlaMint-GB_2015-06-08-commons.u26	The partners in the coalition and Prime Minister al-Abadi recognise that the Iraqi security forces need support to help them take the fight to ISIL on the ground. That is why we are contributing not simply to air support but to the building partner capacity programme, which aims to boost the capabilities and confidence of the Iraqi security forces.
ParlaMint-GB_2015-06-08-commons.u27	It is certainly correct that the Iraqi forces need strengthening. What further measures does the Secretary of State have in mind to do exactly that, as it is the long-term guarantee of security?
ParlaMint-GB_2015-06-08-commons.u28	As my right hon. Friend the Prime Minister announced at the weekend, we have offered a further 125 troops to join the coalition troops training the Iraqi security forces, including more than 60 counter-IED trainers. Those additional troops will be the first UK personnel deployed to training sites outside Irbil or Baghdad and, subject to the needs of the coalition, will take our presence in Iraq to more than 275 troops. As well as further counter-IED trainers, we are offering specialist training in areas such as medical skills, equipment maintenance, manoeuvre support and information operations.
ParlaMint-GB_2015-06-08-commons.u29	Building and strengthening partner capacity is happening not just in Iraq but in neighbouring countries. Will the Secretary of State say a little more about what we are doing with Jordan and whether we are expanding our capability there?
ParlaMint-GB_2015-06-08-commons.u30	We have begun the training of moderate Syrian forces in bases outside Syria and a number of people are contributing to that training. Progress will depend on identifying suitable moderate forces that are prepared to take the fight to ISIL, particularly in the north of Syria, and ensuring that once they are trained they are ready to rejoin that fight. We are making that contribution to the training effort being led by the Americans and proposed for four different sites, all outside Syria.
ParlaMint-GB_2015-06-08-commons.u31	What steps is the Department taking to work with other Departments, particularly the Foreign and Commonwealth Office and the Department for International Development, to ensure that measures being taken to counter extremism include aid to support education, not just military action?
ParlaMint-GB_2015-06-08-commons.u32	The hon. Lady is quite right. The effort has to be spread across diplomatic activity, political activity and communications activity. We have to make efforts to deradicalise extremists in our societies, so we have to take measures across the board. ISIL cannot simply be defeated militarily, and I can assure her that this is an effort that is spread across the Whitehall Departments to which she referred.
ParlaMint-GB_2015-06-08-commons.u33	Will the Secretary of State clarify, with the additional deployment, how many UK troops will serve in Iraq? Will he confirm that they are working not just with the Kurdistan Regional Government and in Baghdad but with the very varied ethnic groups in Iraq whose support is essential to a successful coalition effort?
ParlaMint-GB_2015-06-08-commons.u34	The number involved, as I told the House, is about 275, but it will vary as the training forces begin and end service. The significance of the announcement at the weekend is that we will—[Interruption.] Two hundred and seventy five is the number that I have given the House. The significance of the announcement at the weekend is that some of those trainers will train at the building partner capacity bases outside the Kurdish areas.
ParlaMint-GB_2015-06-08-commons.u35	3. How many people have been recruited to the reserve forces in each of the last three years.
ParlaMint-GB_2015-06-08-commons.u36	10. What assessment he has made of recent trends in recruitment of reservists.
ParlaMint-GB_2015-06-08-commons.u37	13. What assessment he has made of recent trends in recruitment of reservists.
ParlaMint-GB_2015-06-08-commons.u38	Six thousand eight hundred and ten personnel joined the reserves in financial year 2014-15, a rise of 65% on the previous financial year. For 2012-13, the only statistics available are for the Army reserve, with 3,960 joining that year. We have made significant improvements to the recruiting process, the offer to reservists and the support we give to employers. We continue to look at further improvements to build on this considerable growth.
ParlaMint-GB_2015-06-08-commons.u39	I thank the Minister for his reply. Can he explain what plans his Department has to celebrate reserves day later this month, and will he encourage hon. Members to support it in their constituencies?
ParlaMint-GB_2015-06-08-commons.u40	Reserves day is an important opportunity for colleagues in the House to support the reserves. It was called uniform to work day, and a number of hon. Members took part in it. Reserve forces and cadets associations will tell colleagues about opportunities to support the event, including an opportunity in the House of Commons for Members and researchers, both existing members of the reserves and those who are interested in joining.
ParlaMint-GB_2015-06-08-commons.u41	The 37 Signal Regiment reservists, who are based in my constituency, do an amazing job and have been awarded the freedom of our borough. Will my hon. Friend inform the House how future reserve proposals will help the regiment to continue its brilliant work?
ParlaMint-GB_2015-06-08-commons.u42	I join my hon. Friend in her tribute to the 37 Signal Regiment, which has deployed personnel on operations to Afghanistan, as well as on recent exercises in Belize, Gibraltar, Germany and Cyprus, and has provided essential work to the civil authorities in the UK. Army reserve units are paired with, and train alongside, regular units and, when required, may deploy with them—in 37’s case, with 16 Signal Regiment, as she knows. Reserves have the same access to equipment and technology as their regular counterparts, and receive high-quality, challenging training, including more opportunities to exercise overseas.
ParlaMint-GB_2015-06-08-commons.u43	I see the right hon. Member for Mid Sussex (Sir Nicholas Soames) has perambulated to a different part of the Chamber, and is not where we are accustomed to seeing him—but I can still see him.
ParlaMint-GB_2015-06-08-commons.u44	May I first congratulate my hon. Friend on his tremendous support and enthusiasm for the reserves, which is very well taken? He is aware of my connection with the Royal Yeomanry, but is he aware that it is the best recruiting regiment in the reserves? That is not just because it has made good use of what the central facility provides but because it does a lot of it itself, and takes a lot of trouble over recruiting. Will he emphasise to all the other reserve units that they can do a great deal themselves to encourage people in their regimental family to get more people into the reserves?
ParlaMint-GB_2015-06-08-commons.u45	I am always delighted to take a question from my right hon. Friend, whose illustrious grandfather was a long-serving member of the Territorial Army. He is quite right about the Royal Yeomanry’s achievements. I visited it twice in the past year, and in many ways it is a trailblazer. The key point that he makes about empowering units to do more to help themselves, including devolving some of the marketing budgets—something that we have begun to do—is very well taken.
ParlaMint-GB_2015-06-08-commons.u46	What is the average age of recruits to the reserves?
ParlaMint-GB_2015-06-08-commons.u47	I do not have the exact age of reservist recruits, but the current average of the Army Reserve is 37. If the hon. Gentleman is thinking of joining, I am sure we can put him in touch with somebody.
ParlaMint-GB_2015-06-08-commons.u48	14. Recent personnel statistics show that nearly a third of the armed forces are dissatisfied with military life, so what provisions are in place to ensure that this troubling figure is reduced?
ParlaMint-GB_2015-06-08-commons.u49	There is no single bullet. The armed forces have come through a difficult time, with a combination of downsizing of the numbers in the Army as a result of the £38 billion black hole, and the end of operations in Afghanistan, which for many young men and women was an attractor. But measures ranging from the purchase of new equipment to an almost unparalleled number of overseas exercises, together with a fresh look at the terms and conditions of service, are all designed to address the issue that the hon. Gentleman points to.
ParlaMint-GB_2015-06-08-commons.u50	I welcome the Minister back to his position and congratulate the two new members of the Defence team. In the run-up to the election the Prime Minister pledged that regular personnel numbers would not be reduced, but we heard last week about the first down payment from the Defence budget as a result of the Chancellor’s cuts. Can the Minister give an assurance that the target set by the previous Government for reservists will be met and funded?
ParlaMint-GB_2015-06-08-commons.u51	I am grateful to the hon. Gentleman for his welcome, and the same applies to him. It is always a pleasure to spar across the Dispatch Box. The Conservative manifesto was clear about expanding the number of reservists across the three services to 35,000. The funding is there through the £1.8 billion that was provided over a 10-year period, and the current strengths are running ahead of schedule in all three volunteer reserve services.
ParlaMint-GB_2015-06-08-commons.u52	Order. At this point I appeal for slightly snappier questions and answers because we have a lot to get through.
ParlaMint-GB_2015-06-08-commons.u53	4. When he expects to complete negotiations on the sale of the Defence Storage and Distribution Agency in Ashchurch; and if he will make a statement.
ParlaMint-GB_2015-06-08-commons.u54	I know that my hon. Friend takes a keen interest in the Ministry of Defence presence at Ashchurch in his constituency. I am pleased to be able to inform him and the House that a land sale development partnership contract was signed with Vinci St Modwen in March this year to promote the site through the planning process and ultimately to enable its redevelopment, subject to planning consent. We expect to commence transfer of the site to our development partner in phases from early 2018.
ParlaMint-GB_2015-06-08-commons.u55	I thank the Minister for that response and for the interest he has taken in the site. He will be aware that the threat of closure has hung over employees on that site for very many years. Can the redevelopment be moved along as quickly as possible with due regard to the future of those employees?
ParlaMint-GB_2015-06-08-commons.u56	My hon. Friend rightly takes a great interest in the site for the welfare and future prospects of the employees from his constituency there. The 160 former employees and 80 agency staff within the Defence Support Group at Ashchurch were all transferred under the TUPE process across to Babcock on completion of that transaction on 31 March, and we have continuous and regular engagement with the trade union representatives to make sure that they are all fully informed.
ParlaMint-GB_2015-06-08-commons.u57	5. What assessment he has made of the effectiveness of the contribution of the armed forces to tackling the spread of Ebola.
ParlaMint-GB_2015-06-08-commons.u58	I would like to make the House aware that I have a declarable interest as a member of the Royal Navy Reserve. The Navy is investigating the most appropriate way for me to remain a reservist for the duration of my appointment as Minister for the Armed Forces. I will update the House in due course I thank my hon. Friend for enabling me to pay tribute to our armed forces who have served on Operation Gritrock, one of the most challenging operations in recent times, during which our medical professionals demonstrated tremendous skill and courage. Recent statistics show just 12 new cases of Ebola a week, well down from the more than 500 in November last year. The World Health Organisation currently assesses that Sierra Leone will be free from Ebola in a matter of weeks, and I am sure the whole House will want to join me in thanking our armed forces and our MOD civilians for all they have done in achieving that.
ParlaMint-GB_2015-06-08-commons.u59	The Minister will be aware that personnel from RNAS Culdrose in my constituency sailed with RFA Argus last year as part of the Government’s reaction to the fight against Ebola. What assurances can she give that RNAS Culdrose will continue to be adequately resourced so that it can play a similar role in future crises?
ParlaMint-GB_2015-06-08-commons.u60	Culdrose is certainly resourced for similar crises. In fact, only recently we deployed further personnel and three helicopters from there to assist in our operations to deal with the migrant crisis in the Mediterranean, where they are providing valuable information to the search and rescue operation. My hon. Friend is absolutely right to champion them.
ParlaMint-GB_2015-06-08-commons.u61	I welcome the Minister to her new post, but may I gently remind her that the British Army’s capacity to intervene, even in helping with the Ebola crisis, will become more limited as time goes on, as America retreats as a pushy world power and we are more on our own in Europe and the world? The fact of the matter, as she knows, is that we could fit the whole of our defence forces into Wembley stadium, yet still she is in favour of cutting defence spending to below 2% of GDP.
ParlaMint-GB_2015-06-08-commons.u62	As I speak, we have over 3,600 personnel deployed on 21 operations across 19 countries. We are actually doing more operations, although they might not have the profile of some recent operations, so our armed forces are still incredibly busy. We are also regenerating capability that was lost under the Labour Administration.
ParlaMint-GB_2015-06-08-commons.u63	6. What plans the armed forces have to commemorate VJ Day.
ParlaMint-GB_2015-06-08-commons.u64	As this is my first Defence Question Time, I draw the House’s attention to my entry in the Register of Members’ Financial Interests. Although I remain a member of the Army Reserve, I have requested that I be placed on the unposted list for the duration of my appointment as a Defence Minister The MOD will be supporting the national commemorative and thanksgiving events that will take place in central London on Saturday 15 August. The Government are committed to providing their full support to those events, which will provide an opportunity for the public, and the nation at large, to honour and pay their respects to those who fought during the far east campaigns.
ParlaMint-GB_2015-06-08-commons.u65	I am grateful to the Minister for that answer and welcome him to his new post. Men such as my late grandfather fought in the east, enduring the harshest conditions, and of course many never returned home. Will the Minister commit to working with colleagues across the Government to ensure that schools, organisations and communities have all the support they need to recognise the bravery and commitment of our veterans?
ParlaMint-GB_2015-06-08-commons.u66	I am delighted that the hon. Lady clearly shares my passion and determination to ensure that this year’s events will be a fitting tribute to veterans and their families, such as hers, who will be very much the focus. We are committed to marking the 70th anniversary of VJ Day and ensuring that veterans of the far east campaigns have a national event that provides an opportunity for the public and the nation to pay their respects and offer their gratitude. I will be delighted to work with any Member of the House who wishes to pursue that.
ParlaMint-GB_2015-06-08-commons.u67	Last year I received a very moving letter from a veteran in Goole, Edgar Sheppard, whom I subsequently visited in his care home. He told me how concerned he was that young people did not know the sacrifice that he and his Burma veterans had endured. Can we ensure that our cadet forces and the Ministry of Defence work with the Department for Education to ensure that the school children of today know about the sacrifices of yesterday?
ParlaMint-GB_2015-06-08-commons.u68	My hon. Friend makes an important point. He will be aware of the Government’s commitment to the cadet forces expansion programme. We increased the number of cadet forces by over 100 during the previous Parliament, and we are committed to increasing it to 500. I am a great fan of the cadet force, having previously been a member of it, and am determined that we should expand it.
ParlaMint-GB_2015-06-08-commons.u69	7. Whether his Department’s budget will meet the NATO target of spending 2% of GDP on defence in each year to 2020.
ParlaMint-GB_2015-06-08-commons.u70	We will be spending 2% of GDP on defence this financial year. Spending beyond that will be determined in the spending review. The Government were elected with a mandate to maintain the size of our regular armed forces, increase the equipment budget in real terms every year and replace our four nuclear ballistic submarines. Those commitments will secure the shape and power of our armed forces throughout this Parliament.
ParlaMint-GB_2015-06-08-commons.u71	I thank the Secretary of State for that answer, but I think he is aware from the comments already made that there is deep concern on both sides of the House about the fact that the Prime Minister, having asked other NATO countries to commit themselves to spending 2% of GDP on defence, is unable to commit to that beyond 2015-16. I hope we will all urge the Secretary of State to make certain that the Chancellor of the Exchequer is aware of that concern, given the threats that have been outlined and the fact that our capacity to deal with them is stretched pretty thin.
ParlaMint-GB_2015-06-08-commons.u72	Let me assure my hon. Friend that the Chancellor of the Exchequer is fully aware of the commitments that were made at the NATO summit and has been even more fully aware during recent negotiations over the in-year savings, which have not taken us below 2%. It is important to note, though, that seven of the 28 NATO members do not even spend 1% on their defence and 20 of the 28 do not even spend 1.5%.
ParlaMint-GB_2015-06-08-commons.u73	As NATO now requires us to pay 2%, and apparently other member states the same, and has since 2006 given itself a global role, whose interests is it defending worldwide, and is it demanding that we replace the Trident nuclear missile system, or is that a self-grown decision?
ParlaMint-GB_2015-06-08-commons.u74	The purpose of the alliance is to defend its members. That is why our troops were exercising last week in Estonia and will shortly be exercising in Romania and the Baltic sea, and why our Typhoons are flying with the Norwegians to protect the skies over Estonia, Latvia and Lithuania in the face of Russian aggression. We are one of the nuclear members of the NATO alliance, and that nuclear shield helps to protect all members of the alliance.
ParlaMint-GB_2015-06-08-commons.u75	When the Secretary of State is next having a word in the shell-like ear of the Chancellor of the Exchequer, will he mention that it does not make a lot of sense for any Government to say that defence is the first duty of Government if they protect other Departments’ spending but not defence spending?
ParlaMint-GB_2015-06-08-commons.u76	I know of my right hon. Friend’s long-standing commitment to defence and to defence expenditure. He is right, of course, that the first duty of Government is to defend our country and our people. I reminded him earlier of the commitments in the manifesto to protect the size and power of our armed forces right through this Parliament. However, I note what he has said. Those commitments are for the remaining three financial years, from 2016-17 onwards. These are matters for negotiation in the autumn.
ParlaMint-GB_2015-06-08-commons.u77	Given the £500 million of cuts announced by the Chancellor of the Exchequer last week in this House, will the Secretary of State advise us whether they will affect Trident replacement? If not, will that mean a cut to conventional forces?
ParlaMint-GB_2015-06-08-commons.u78	Let me assure the hon. Gentleman that the in-year savings that we have been asked to find for the current financial year are way below the original demand of the Treasury. They do not affect the 2% target that we are continuing to meet, they will have no effect on manpower numbers or on current operations—I have just explained to the House that we are extending one of our current operations in Iraq—and they will have no effect on the baseline of defence expenditure before the negotiations begin in the autumn. These savings will fall on some in-year expenditure on travel costs and on consultancy, and we will defer some spending on infrastructure and equipment from this financial year to the next—
ParlaMint-GB_2015-06-08-commons.u79	Order. We are deeply obliged to the Secretary of State, but the answer is too long. We have to move on.
ParlaMint-GB_2015-06-08-commons.u80	We are all waiting for the National Security Council risk assessment that the Government are carrying out at the moment. Can my right hon. Friend assure me that there will be an intellectual and coherent thread from that through to the strategic defence and security review, and from that to the comprehensive spending review?
ParlaMint-GB_2015-06-08-commons.u81	Yes, I can. The review will be based on the risk assessment that is now being updated from the 2010 assessment. That will take us through the work that is being done under the review, which is being undertaken at the same time as the spending review, so all these things come together in identifying the threats we face and the capabilities we need to address them.
ParlaMint-GB_2015-06-08-commons.u82	Given the lack of success by the leader of the free world at the G7 in extracting the 2% commitment that he desired from the Prime Minister, I am realistic about my own chances, but will the Secretary of State at least accept that if the UK falls below 2%, it will do significant damage to our standing in NATO and our defence relationship with the United States?
ParlaMint-GB_2015-06-08-commons.u83	It is nice to hear so many Opposition Members championing the cause of 2%. I did not hear that quite so loudly during the general election; perhaps I was listening to the wrong people, and perhaps the Opposition were due to explain exactly how they would finance it. Let us be clear what was agreed last September. In response to the threats from Russian aggression and the rise of ISIL—direct threats to us here in western Europe—the United States wants European members of NATO to shoulder a greater proportion of the burden.
ParlaMint-GB_2015-06-08-commons.u84	8. What plans he has to strengthen the armed forces covenant.
ParlaMint-GB_2015-06-08-commons.u85	9. What plans he has to strengthen the armed forces covenant.
ParlaMint-GB_2015-06-08-commons.u86	The armed forces covenant is one of this Government’s most important priorities; I will endeavour to drive it forward with the same passion and commitment as my predecessors. This year sees the implementation of a permanent commitment to the covenant through a £10 million per annum fund. Over the coming months, we will focus on how best to communicate the aims of the covenant and continue to work with industry and the voluntary sector to ensure that it goes from strength to strength.
ParlaMint-GB_2015-06-08-commons.u87	Ensuring that our servicemen and women can buy their own homes is, rightly, a priority for this Government. How many people have benefited from the Forces Help to Buy scheme so far?
ParlaMint-GB_2015-06-08-commons.u88	Forces Help to Buy gives service personnel the opportunity to get on the housing ladder, not only giving them and their families stability during their military service but helping them form a foundation for future life. I am pleased to say that since April 2014, more than 3,500 service personnel have received funds totalling £53.7 million. A further 1,800 service personnel have had their applications approved fully and are awaiting the completion of property purchases.
ParlaMint-GB_2015-06-08-commons.u89	More than 20,000 skilled men and women, to whom we owe a debt of gratitude, leave the armed forces each year. What steps are the Government taking to ensure that local skills and economic strategies work effectively to realise the full potential of that highly trained, well disciplined and adaptable workforce?
ParlaMint-GB_2015-06-08-commons.u90	All those who join as junior ranks receive key skills training and complete professional apprenticeships. All personnel can access routes to higher and further education, are provided with some financial assistance and are given time to study. All personnel leaving the armed forces—about 20,000 a year—are entitled to resettlement provision to help their transition into future careers I am sure that my hon. Friend is rightly proud that Oxfordshire has led the way in delivering on our community covenant by being the first local authority to change its schools admissions policy to make it easier for the children of service families to secure school places by using base addresses before their postings. I know that she has played a key role in driving that forward, and I thank her for it.
ParlaMint-GB_2015-06-08-commons.u91	I am sure that the Minister agrees that support for our veterans is fundamental to the armed forces covenant. There are 500,000 veterans in the north-west of England, many of them in my constituency, but not one penny of the £40 million veterans accommodation fund went to any organisation in the north-west. Will he ensure that funding for veterans organisations is fairly distributed across the country, and that there are mechanisms in place to do so?
ParlaMint-GB_2015-06-08-commons.u92	Yes, of course. The hon. Gentleman will appreciate that over the past three years, some £150 million of LIBOR funding has been used for the military covenant. I am determined that that should be spread equally across the country, and I will look into the matter that he has raised.
ParlaMint-GB_2015-06-08-commons.u93	I too welcome the Minister to his post, and I welcome his support for the armed forces covenant, but does the rhetoric match the reality on the ground? My local authority in Wigan is investing £500,000 to provide a veterans hub to create a single point of contact for veterans, in recognition of the current, confusing patchwork of provision. What is the Minister doing to ensure that such good practice is recognised and resourced throughout the country, ending the current postcode lottery for veterans?
ParlaMint-GB_2015-06-08-commons.u94	The hon. Lady will be aware that all local authorities in Great Britain have signed the community covenant. In my new role, I am very keen to ensure that best practice is spread across the United Kingdom. This is a partnership between the Ministry of Defence and, indeed, other Government Departments. If the hon. Lady feels that her own local authority has best practices that can be shared more widely, I shall be delighted to talk to her.
ParlaMint-GB_2015-06-08-commons.u95	What steps is the Minister taking to implement our manifesto commitment to address hearing loss among veterans?
ParlaMint-GB_2015-06-08-commons.u96	The Royal British Legion was recently awarded £10 million LIBOR funding over five years to address long-term hearing issues. Work has already started with key stakeholders, and the Legion aims to launch the fund in early autumn. From summer 2015, the MOD will introduce new hearing protection measures for UK armed forces personnel, which will reduce the number of veterans with service-attributable hearing issues.
ParlaMint-GB_2015-06-08-commons.u97	11. What progress has been made on the creation of a NATO very high readiness joint task force.
ParlaMint-GB_2015-06-08-commons.u98	Significant progress has been made on the very high readiness joint task force. The interim force is established and the operational force will be ready by the Warsaw summit next year. We will contribute a battle group to the Spanish-led task force next year, and we will lead a fully operational task force brigade from January 2017. Our contribution that year will increase from 2,500 to 3,000 personnel.
ParlaMint-GB_2015-06-08-commons.u99	Given reports in recent days of attacks against Ukrainian forces by Russian forces and separatists backed by Russia, what is NATO doing to deter such aggression, and could a rapid task force play an important role in that?
ParlaMint-GB_2015-06-08-commons.u100	We are continuing to press for sanctions to be upheld against Russia. We are helping Ukrainian armed forces with trainers at six different sites in western Ukraine, training and improving the capacity of the Ukrainian armed forces. We have troops exercising in eastern Europe—in Romania and the Baltic—and our Typhoons are flying every day this summer to help to protect Baltic airspace.
ParlaMint-GB_2015-06-08-commons.u101	23. The need for the development of a NATO very high readiness joint task force is reflected in the deteriorating wider security situation, particularly with the Russians. That is not wholly consistent with relying on 30,000 reservists as part of our armed forces. If the wider security situation continues to deteriorate, will the Secretary of State review that reliance?
ParlaMint-GB_2015-06-08-commons.u102	We have not yet got to the stage where Future Force 2020 has been completed. We have time enough to ensure that our total of 30,000 reservists is reached, but my hon. Friend will recall our manifesto commitment of no further cuts in the size of the regular armed forces.
ParlaMint-GB_2015-06-08-commons.u103	12. What progress his Department has made on the introduction of Type 26 frigates.
