ParlaMint-GB_2015-10-14-commons.u1	1. What estimate she has made of the number of people killed by the IRA.
ParlaMint-GB_2015-10-14-commons.u26	What progress has been made in the cross-party talks convened by the British and Irish Governments to overcome the current impasse? In particular, what work is being done to rebuild trust between the parties?
ParlaMint-GB_2015-10-14-commons.u27	We cannot yet say whether we will have a successful outcome, but my feeling is that all five parties participating in the talks want the institutions to work, so they recognise that they have to fix these problems. It is essential, however, that that includes implementing welfare reform. Without it, there will be no sustainable public finances in Northern Ireland—and without that, as the Chairman of the Northern Ireland Affairs Committee has said, we cannot really have a functioning and effective Government.
ParlaMint-GB_2015-10-14-commons.u28	Will my right hon. Friend ensure that the plight of the thousands of families that suffered at the hands of terrorists is not forgotten? Will she also insist that measures in the Stormont House agreement that deal with the past are implemented without further delay?
ParlaMint-GB_2015-10-14-commons.u29	I can give my hon. Friend the assurance that the needs of victims and survivors of the troubles will always be at the forefront of this Government’s approach to the troubles and the Stormont House agreement Bill. That is why absolutely no provision is made in the Bill for an amnesty, which would be completely unacceptable to victims and survivors, just as it is unacceptable to this House. We will press ahead with measures to implement the bodies on the past in the Stormont House agreement.
ParlaMint-GB_2015-10-14-commons.u30	Does the Secretary of State agree that it would be helpful to have cross-party agreement in this place on our stance against terrorism in order to show our support for the Northern Ireland Executive?
ParlaMint-GB_2015-10-14-commons.u31	That is important. For the most part, that view is shared across the House. It is obviously of grave concern that the leader of the Labour party, when asked as recently as this August to condemn IRA terrorism, said that he condemned the actions of the British Army in Northern Ireland.
ParlaMint-GB_2015-10-14-commons.u32	The Secretary of State will be aware that a lot of Northern Ireland businesses are rapidly expanding. For example, Almac in Craigavon is taking on 300 new people, and Moy Valley is looking to take on another 600 employees across the Six Counties. Does my right hon. Friend agree that businesses expect the political process to be put on track to underpin this wealth creation?
ParlaMint-GB_2015-10-14-commons.u33	I do agree. The Government’s long-term economic plan is working, and it is reflected in economic recovery in Northern Ireland. One of the reasons why we need a successful outcome of the cross-party talks and implementation of the Stormont House agreement is to open the way for devolution of corporation tax, which will mean even more jobs and prosperity in Northern Ireland.
ParlaMint-GB_2015-10-14-commons.u34	I welcome what the Secretary of State has said about there being no amnesty in relation to past terrorist crimes. That is absolutely right, in the view of our party and the vast majority of the people of Northern Ireland. Will the Secretary of State assure us that there will be no question of the past being rewritten or revised, or of a different narrative emerging from the discussions of the past that are currently taking place as part of the political process?
ParlaMint-GB_2015-10-14-commons.u35	I can give the right hon. Gentleman assurances on both those points. As he well knows, the Stormont House agreement makes it very clear that there is no amnesty, and that an amnesty would not be justified. I also believe that it would be completely unacceptable to set up any bodies that would seek to rewrite the history of the troubles. There can never be any equivalence between the police officers who defended the rule of law and the terrorists who sought to destroy it.
ParlaMint-GB_2015-10-14-commons.u36	I warmly welcome what the Secretary of State is saying, and we will work with her to ensure that that objective is achieved in the current talks process. Does she agree that, just as there was never any justification for the terrorists in the past, there can be no justification for their continued existence in the future, and that all their criminality, racketeering, fuel laundering and the rest of it must be addressed by the establishment of a dedicated resource to rid the people of these terrorist godfathers and their criminality?
ParlaMint-GB_2015-10-14-commons.u37	The British Government will continue to be unrelenting in their action to support those who are fighting terrorism in Northern Ireland, and, indeed, in the rest of the United Kingdom. Sadly, we have seen republican terrorism manifest itself on a number of occasions in recent months, with devices being left in public areas in Lurgan, Belfast, Strabane and Londonderry. The PSNI is doing an excellent job with its security partners in preventing such attacks from causing harm, but it is of course essential that we also do everything we can to crack down on criminality on the part of paramilitary groups.
ParlaMint-GB_2015-10-14-commons.u38	13. I welcome the publication of the Government’s policy paper setting out proposals for the Northern Ireland Bill which is to be presented in a few weeks, but does the Secretary of State share my concern that Sinn Féin has described the paper as “unacceptable and a clear breach of the Stormont House Agreement”?
ParlaMint-GB_2015-10-14-commons.u39	I am concerned about that. It simply does not reflect the contents of that summary of the Bill, which is faithful to the Stormont House agreement Discussions continue on the technical details of the Bill. Naturally the agreement does not cover every detail that is needed to produce legislation, and the parties continue to engage intensively in preparation for the presentation of the Bill to Parliament.
ParlaMint-GB_2015-10-14-commons.u40	The Secretary of State will agree that the aftermath of a deplorable murder is not just a test inviting the political parties to demonstrate their own resolve, but a collective challenge to us to prove the resilience of the democratic process. Does she also agree that we can do that best by adopting a whole community approach to eradicating paramilitarism, guaranteeing the stability of the political institutions and standing by the integrity of the new beginning to policing, especially in circumstances in which dissidents are yet again threatening the policing arrangements and those who may be recruited?
ParlaMint-GB_2015-10-14-commons.u41	I agree that we need a whole community approach to tackling paramilitary organisations and moving to a time when they will disband. I also agree that we need a whole community approach to supporting the policing settlement. I do think, though, that supporting the devolved institutions involves another crucial factor, namely sustainable public finances. I therefore urge the hon. Gentleman and his party colleagues to find a way to ensure that the agreement is implemented, including the welfare provisions.
ParlaMint-GB_2015-10-14-commons.u42	May I begin by associating myself and my party with the Secretary of State’s remarks about Garda Tony Golden, and sending our condolences to his widow and three children Let me say at the outset that there is and can be no place for paramilitary activity in Northern Ireland. The primacy of the rule of law is fundamental, and there can be no compromise on that principle. Does the Secretary of State agree that, at a time when this and other matters are being discussed in the current talks, it is vital for the House to say loudly and clearly that we have every confidence in the ability of the political leadership in Northern Ireland to secure a successful outcome to the current negotiations, and that we, along with the Irish Government, will play our part in supporting them?
ParlaMint-GB_2015-10-14-commons.u43	I completely agree that it is not acceptable for paramilitary organisations to exist in a democratic society. They were never justified, they are not justified today, and they should disband. I also share the hon. Gentleman’s confidence in the leadership of Northern Ireland. They have demonstrated many times over the last 20 years that they can achieve phenomenal results and can solve seemingly intractable problems, and I urge them all to repeat that over the coming days. [Interruption.]
ParlaMint-GB_2015-10-14-commons.u44	Order. There is a growing hubbub of quite noisy private conversations. We are discussing exceptionally serious matters appertaining to Northern Ireland, so I appeal to Opposition Members to give a courteous, perhaps even reverential, reception to the shadow Secretary of State, Mr Vernon Coaker.
ParlaMint-GB_2015-10-14-commons.u45	The Secretary of State knows that many of the most difficult issues arising from the past are also being addressed within the current negotiations. In order to take that forward, the support of the political parties, the community and, crucially, victims and their families is required. Will she therefore tell the House what agreement there is on the measures announced so far being included in the forthcoming Stormont House agreement Bill?
ParlaMint-GB_2015-10-14-commons.u46	I do not think it would be wise for me to give a running commentary on every detail of the negotiations, but there is a considerable amount of consensus on the content of the Bill. There remain difficult issues to resolve and there is no doubt that the provisions relating to national security will always be sensitive, but this Government are determined that they will defend their national security interests, because if we were to neglect that duty, that could have a price in lives. We believe that it is very important to ensure that all disclosure provisions are consistent with our article 2 duties and our duty to protect national security.
ParlaMint-GB_2015-10-14-commons.u47	4. What steps the Government are taking to strengthen and rebalance the Northern Ireland economy.
ParlaMint-GB_2015-10-14-commons.u48	The Government’s long-term economic plan has laid the foundation for a stronger Northern Ireland economy. Economic activity continues to grow: there are 33,000 more people in employment today than in 2010, and the growth in jobs is being driven by the private sector.
ParlaMint-GB_2015-10-14-commons.u49	Ulster University’s economic policy centre has found that there has been more than one new start-up a day in the knowledge economy sector in the past year. Does this not go to show that the public and private sectors can rebalance together with very effective results?
ParlaMint-GB_2015-10-14-commons.u50	I thank my hon. Friend for her question, and what she says is right. Given the right stimulation, it is certainly possible for Northern Ireland’s private sector to grow strongly. That is why I was delighted to see that foreign direct investment in Northern Ireland has created 4,700 jobs—the number is comparably higher than that for the rest of the UK.
ParlaMint-GB_2015-10-14-commons.u51	I am sure the Secretary of State will agree that in order to strengthen the economy in Northern Ireland it is imperative that the talks taking place in Belfast are successful, with welfare reform implemented, so that we can get our corporation tax and other financial incentives. If they are not, companies will start to get nervous about investing in Northern Ireland.
ParlaMint-GB_2015-10-14-commons.u52	I could not agree more, and the prize is great. By completing the Stormont House agreement and unlocking the economic pact, Northern Ireland can deliver an enterprise zone and a city deal for its people. Those two things, added to the UK Government’s economic policy, will deliver continued economic growth for Northern Ireland.
ParlaMint-GB_2015-10-14-commons.u53	The success in growing the Northern Ireland economy is much to be welcomed, but public expenditure per head of population is still significantly more in Northern Ireland than in the rest of the UK. Will one of the indicators of the improvement in the economy be the narrowing of that public expenditure gap, so that it comes towards the national average?
ParlaMint-GB_2015-10-14-commons.u54	My hon. Friend is right: we are on the right path and going in the right direction. The number of private sector jobs is growing, unemployment is falling and Northern Ireland, by being part of the UK, taking advantage of the recognition it gets because of the troubles, can go from strength to the strength and make sure it strives to succeed on a world stage, as well as a United Kingdom stage.
ParlaMint-GB_2015-10-14-commons.u55	There is good news as well in Northern Ireland, and one area we are very proud of is the highly skilled small and medium-sized enterprise sector—the beating heart of the Northern Irish economy. What specifically is being done to address the concerns expressed by the SME sector about the impact of the Chancellor’s so-called living wage on small businesses in Northern Ireland?
ParlaMint-GB_2015-10-14-commons.u56	I am quite surprised—I thought the Labour party’s policy was to support a living wage, but in this 24-hour period perhaps it does not support a living wage. Conservative Members believe that highly skilled people and people doing a hard day’s work deserve to be paid the living wage, which is why my right hon. Friend the Prime Minister has brought it forward to make sure that work pays
ParlaMint-GB_2015-10-14-commons.u57	As part of the discussions at Stormont and in view of the need to develop our economy on a geographical basis, will the Minister spell out what further proposals the Government have in mind for the development of enterprise zones?
ParlaMint-GB_2015-10-14-commons.u58	The hon. Lady recognises the importance of enterprise zones, which have been successful all over England and Wales. That is why the Stormont Executive were given that ability in the economic package that accompanied the Stormont House agreement, and why it is even more important that we resolve the issues and allow Stormont to be back and functioning so that it can deliver an economic zone and a city deal.
ParlaMint-GB_2015-10-14-commons.u59	6. What discussions she has had with the Chief Constable of the Police Service of Northern Ireland on the terrorist threat in Northern Ireland.
ParlaMint-GB_2015-10-14-commons.u60	8. What discussions she has had with the Chief Constable of the Police Service of Northern Ireland on the terrorist threat in Northern Ireland.
ParlaMint-GB_2015-10-14-commons.u61	The terrorist threat from dissident republican groupings continues to be “severe”. It is being suppressed through the hard work of PSNI, MI5 and their security partners, but the need for total vigilance remains.
ParlaMint-GB_2015-10-14-commons.u62	Although there is a need to remain vigilant about the threat of terrorism, does my right hon. Friend agree that it should not overshadow the great progress that has been made?
ParlaMint-GB_2015-10-14-commons.u63	I agree. Life in Northern Ireland has been transformed over recent years. The security situation has been transformed. There is still a lethal terrorist threat, but it is far smaller in scale than it was during the days of the troubles.
ParlaMint-GB_2015-10-14-commons.u64	There is growing concern about terrorist organisations becoming drug-dealing organisations. Will the Secretary of State assure us that the authorities in Northern Ireland are well supported with funding to combat this?
ParlaMint-GB_2015-10-14-commons.u65	It is important that all forms of criminality are combated in Northern Ireland. There is serious public concern about the involvement of some members of paramilitary groups in organised crime, drug dealing and paramilitary activities. This Government are determined to work towards a day when paramilitary organisations disband, and we support the law enforcement agencies in combating all forms of criminality. [Interruption.]
ParlaMint-GB_2015-10-14-commons.u66	Order. It is a considerable discourtesy to the Secretary of State for her not to be heard when she is answering questions. The answers must be heard and the questions should be heard. Let us have a bit of order.
ParlaMint-GB_2015-10-14-commons.u67	12. Last week a police recruitment event that was due to take place at the Waterfoot hotel was cancelled because of a bomb being discovered in the grounds. What work is under way to ensure that the PSNI receives the appropriate support to tackle any potential threat?
ParlaMint-GB_2015-10-14-commons.u68	Over the past two spending reviews we have provided an additional £231 million to support the PSNI in its efforts to tackle dissident republican-related terrorism. That has provided vital support in a campaign against those terrorists and it is one of the reasons why, thankfully, the vast majority of the attacks do not succeed. I know that the PSNI will work hard to find alternative venues so that its recruitment event can go ahead.
ParlaMint-GB_2015-10-14-commons.u69	7. When she next plans to meet representatives of Northern Ireland’s political parties to discuss the political situation in the Northern Ireland Assembly.
ParlaMint-GB_2015-10-14-commons.u70	I continue to chair the talks process and will return to Stormont this afternoon to resume that role. A successful outcome to the talks on both the issues on the agenda is crucial if the Executive are going to function effectively.
ParlaMint-GB_2015-10-14-commons.u71	Will the Secretary of State confirm that of all the options in front of Members from Northern Ireland, direct rule is the worst and should be avoided at all costs?
ParlaMint-GB_2015-10-14-commons.u72	I agree that we need to do everything we can to try to avoid suspension and a return to direct rule. Devolved government has been approved in two referendums in Northern Ireland. That is why we are working to make the institutions work, but there is a real danger now that those who are taking a hard-line stance against welfare reform could end up collapsing the institutions as collateral damage. No institution can function effectively without a workable budget. That is why in these talks a solution to implementing the Stormont House agreement is vital.
ParlaMint-GB_2015-10-14-commons.u73	Does the Secretary of State accept that it is not just about balancing the economy and fixing the financial arrangements for the Treasury, because there is a need to rebalance our economic development and create regional balance in Northern Ireland? In other words, we need a prosperity process to go along with other reforms.
ParlaMint-GB_2015-10-14-commons.u74	I agree that it is vital that we do everything possible to deliver prosperity in Northern Ireland. Our long-term economic plan is helping to do that. The economic pact agreed with Northern Ireland is helping to do that, but we are always open to more ideas about how we work together to spread prosperity in Northern Ireland throughout the whole of Northern Ireland and all its areas.
ParlaMint-GB_2015-10-14-commons.u75	When the Secretary of State has her conversations with political parties and the Irish Government, mindful of the fact that a European arrest warrant for bombing offences in Germany was invoked last week in Dublin for James Corry, will she remind them that it does not matter how supportive individuals are of the peace process, it should never frustrate due process and justice for victims?
ParlaMint-GB_2015-10-14-commons.u76	Of course I can do that. It is essential that the law takes its course without fear or favour, and if there is evidence to justify arrest and prosecution, that is exactly what must happen.
ParlaMint-GB_2015-10-14-commons.u77	Q1. If he will list his official engagements for Wednesday 14 October.
ParlaMint-GB_2015-10-14-commons.u78	I know the whole House will wish to join me in paying tribute to Flight Lieutenant Alan Scott of 32 Squadron and Flight Lieutenant Geraint Roberts of 230 Squadron. Both men died along with three other coalition personnel when their Puma helicopter crashed on Sunday in Kabul, Afghanistan. They gave their lives serving our country and making our world more secure, and our deepest sympathies are with their families and friends at this very difficult time I also wish to pay tribute to Police Constable David Phillips, who was killed in the line of duty last week. His death is a stark reminder of the very real dangers our police officers face daily and my thoughts—and, I know, the thoughts of the whole House—are with his family and friends during these tragic circumstances This morning I had meetings with ministerial colleagues and others and in addition to my duties in this House I shall have further such meetings later today.
ParlaMint-GB_2015-10-14-commons.u79	The British Medical Association has raised concerns about what it calls the chronic undermanning of Defence Medical Services. We cannot have sufficient medical and mental health provision for the armed forces without properly resourced services. Will the Prime Minister address this issue urgently, prioritise the treatment of our armed forces and lend support to my Adjournment debate this evening highlighting these concerns?
ParlaMint-GB_2015-10-14-commons.u80	I congratulate the hon. Lady on securing that Adjournment debate and raising this very important issue. Defence Medical Services do an outstanding job. I was just speaking about Afghanistan, and I have seen in Afghanistan year after year what an amazing service they provide. At times it was almost the equivalent of a district general hospital accident and emergency on the back of a Chinook helicopter; it is extraordinary. There is an opportunity for us to look at this whole area in our strategic defence and security review, and we will approach that review with a rising defence budget during this Parliament.
ParlaMint-GB_2015-10-14-commons.u81	Q3. Today we have seen the claimant count in Lincoln fall by 20% on last year’s figures, with a 44% drop in those claiming since 2010. Does my right hon. Friend believe this is down to having local job fairs and a clear long-term economic plan to secure our national recovery, and that it would be put in jeopardy by the shambles that is the party led by the hon. Member for Islington North (Jeremy Corbyn)?
ParlaMint-GB_2015-10-14-commons.u82	Let me congratulate businesses in Lincoln on their record in providing people with jobs. The unemployment figures out today are extremely good. We see 140,000 more people in work, we see the employment rate at a record level since records began, unemployment has come down, vacancies have gone up, and youth unemployment and long-term unemployment have both come down. In all of this, yes, the job fairs are important and the apprenticeships are important, but above all what matters is having a long-term economic plan that is about a strong and secure economy and getting the deficit down and running a surplus. That is what we should be focused on, but I am sure the hon. Member for Islington North (Jeremy Corbyn) will welcome today’s fall in unemployment.
ParlaMint-GB_2015-10-14-commons.u83	I echo the Prime Minister’s tributes to the two RAF airmen killed in Afghanistan, Flight Lieutenant Geraint Roberts and Flight Lieutenant Alan Scott, and also the sadness at the death of David Phillips in the line of duty, as many police officers do face danger. I absolutely concur with the Prime Minister’s remarks about that I am sure the Prime Minister and the whole House would also join me in expressing sympathies and sadness at the more than 100 people who died in a bomb blast in Ankara last Sunday, attending a peace rally of all things, and our sympathies must go to all of them I want to ask the Prime Minister a question about tax credits. I have had 2,000 people email me in the last three days offering a question to the Prime Minister on tax credits. I will choose just one. Kelly writes: “I’m a single mum to a disabled child, I work 40.5 hours each week in a job that I trained for, I get paid £7.20 per hour! So in April the Prime Minister is not putting my wage up but will be taking tax credits off me!” So my question is: can the Prime Minister tell us how much worse off Kelly will be next year?
ParlaMint-GB_2015-10-14-commons.u84	First, let me welcome what the hon. Gentleman has said and join him in what he said about the terrible bomb in Ankara, where over 100 people were killed. Our thoughts should be with the families of those who suffered and with that country as it struggles against this terrorism. Let me answer him directly on the question of tax credits. What we are doing is bringing in the national living wage, which will be a £20 a week pay rise for people next year. Obviously, Kelly will benefit as that national living wage rises to £9—[Interruption.] Sorry, what happened to the new approach? I thought questions were going to be asked so that they could be responded to. Right, so there is the introduction of the national living wage, which will reach £9 by the end of the Parliament. This will benefit Kelly. In April next year, we will raise to £11,000 the amount that you can earn before you start paying taxes. If Kelly has children, she will benefit from the 30 hours of childcare that we are bringing in. I do not know all Kelly’s circumstances, but in addition, if she is a council house or housing association tenant, we are cutting her rent. All those things are important, as is the increase in employment and the increase in wages taking place today.
ParlaMint-GB_2015-10-14-commons.u85	I thank the Prime Minister for that. I can tell him, in case he is not aware of it, that Kelly is going to be £1,800 a year worse off next April, that there are another 3 million families in this country who will also be worse off next April, and that after housing costs, 500,000 more children are now in poverty compared with five years ago, in 2010. On top of that, his new tax credit policy will put another 200,000 children into poverty. Is not the truth of the matter that this Government are taking away the opportunities and limiting the life chances of hundreds of thousands of children from poorer or middle income families in our society? Should he not be aware of that when he makes these decisions?
ParlaMint-GB_2015-10-14-commons.u86	The fact is that since I became Prime Minister there are 480,000 fewer children in households where nobody works. There are 2 million more people in work and almost 1 million more women in work. There are 250,000 more young people in work. The best route out of poverty is to help people get a job. Even though the unemployment figures came out today and we can see 140,000 more people in work, the hon. Gentleman still has not welcomed that fall in unemployment. The point he needs to focus on is this: all these people benefit from a growing economy where wages are rising and inflation is falling, and where we are getting rid of our deficit to create economic stability. It is that stability that we will be voting on in the Lobby tonight.
ParlaMint-GB_2015-10-14-commons.u87	The Prime Minister is doing his best, and I admire that, but will he acknowledge that people in work often rely on tax credits to make ends meet? He and his party have put forward a Budget that cuts tax credits and gives tax breaks to the very wealthiest in our society, so that inequality is getting worse, not better. Should he not think for a moment about the choices that he is making, and the reality that results for the very poorest people in our society?
ParlaMint-GB_2015-10-14-commons.u88	The hon. Gentleman talks about the reform of tax credits; let me tell him why that is necessary. Between 1998 and 2010, the bill for tax credits went from £6 billion to £30 billion, yet at the same time in-work poverty went up by 20%. The system of taking money away from people and giving it back to them in tax credits was not working. We say it is better to let people earn more and then take less from them in taxes. In this country, we now have 2 million more people in work. The figures that the hon. Gentleman quotes for inequality are simply wrong. There are 800,000 fewer people in relative poverty than in 2010, and there are 300,000 fewer children in relative poverty since 2010. If he wants to know why, it is because we took difficult decisions to get our deficit down, to get our economy growing and to deliver the strongest growth anywhere in the western world. Tonight, Labour Members have a choice. A week ago, they were committed to getting the deficit down and running a surplus, just like us, but for some reason—I know not why—they have decided to do a 180°-turn and vote for more borrowing for ever. Is that now the position of the Labour party?
ParlaMint-GB_2015-10-14-commons.u89	The reality is that 3 million low and middle-income families will be worse off as a result of the tax credit changes. If the Prime Minister wants to change his mind on tax credits, he is very welcome to do so. He will have an opportunity at next week’s Opposition day debate, which is on this very subject. I am sure that he will want to take part in that debate and explain why it is such a good idea to make so many people so much worse off I have had 3,500 questions on housing in the past few days. I have a question from Matthew. [Interruption.] This might be funny to some Members, but it is not funny to Matthew or to many others. Matthew says: “I live in a private rented house in London with three other people. Despite earning a salary well over the median wage, buying even the cheapest of properties will be well beyond my reach for years.” Does the Prime Minister really believe that £450,000 is an affordable price for a new home for someone on an average income to try to aspire to?
ParlaMint-GB_2015-10-14-commons.u90	The hon. Gentleman is absolutely right to raise the issue of housing, particularly the affordability of housing in London. I say to Matthew that we are doing everything we can to get councils to build more houses, particularly affordable houses that he can buy. The hon. Gentleman quotes the figure of £450,000, but what we are saying is that that should be the upper limit for a starter home in London. We want to see starter homes in London built at £150,000 and £200,000, so that people like Matthew can stop renting and start buying. What have we done for people like Matthew? We have introduced Help to Buy, so for the first time we are helping people to get their deposit together so that they can buy a new home. We are also giving people like Matthew the right to buy their housing association home. [Interruption.] That is interesting. We hear groans from the Labour party, but the entire housing association movement is now backing our plan and telling people that they will be able to buy their home. I say to the hon. Gentleman: let us work together and get London building to get prices down so that people like Matthew can afford to buy a home of their own.
ParlaMint-GB_2015-10-14-commons.u91	May I bring the Prime Minister back to reality? The past five years have seen a low level of house building—fewer than half the new buildings that are needed have been built—rapidly rising rents; rising homelessness; and a higher housing benefit bill. Even his friends at the CBI say we need to build at least 240,000 homes per year. Will he now address the problem that local authorities face in accessing funds to undertake the necessary and essential building of council housing? The Government appear to have a growing obsession with selling off publicly owned properties rather than building homes for people who desperately need them so that children can grow up in a safe and secure environment, which is what we all want for all of our children.
ParlaMint-GB_2015-10-14-commons.u92	Let me deal with all the hon. Gentleman’s points in turn. First, now that the housing association movement is backing the Right to Buy scheme, there will be up to a million extra homeowners, with the money going back into building more homes. Secondly, over the past five years that I have been Prime Minister, we have built more council homes than the previous Labour Government built in 13 years. [Interruption.] That is a bit of reality that the hon. Gentleman might want to digest. The most important point is that if we want to build homes, we need a strong and stable economy. We will not have a strong and stable economy if we adopt the new Labour position, which is borrowing money for ever. I urge Opposition Members who believe in a strong economy, paying down our deficit, and ensuring that we deliver for working people to join us in the Lobby tonight.
ParlaMint-GB_2015-10-14-commons.u93	It would be very nice if the Prime Minister actually answered the question I asked. [Interruption.]
ParlaMint-GB_2015-10-14-commons.u94	Order. These proceedings should be conducted in a seemly way, and chuntering from a sedentary position, from either Front Bench, is not helpful. Members must remain calm. Be as good as you can be.
