ParlaMint-GB_2015-01-12-commons.u1	1. What steps he is taking to increase the number of cadet units in schools.
ParlaMint-GB_2015-01-12-commons.u52	Given that RUSI is predicting that by the early 2020s the replacement of the nuclear deterrent will account for some 35% of the defence procurement budget, and given that this summer, whatever the outcome of the election, Ministers at the Ministry of Defence will be struggling to make limited resources pay for a long list of major procurements, could it possibly make sense to exclude from a comprehensive review the biggest single procurement?
ParlaMint-GB_2015-01-12-commons.u53	I am sorry that my hon. Friend, who has some experience of these matters, does not attach the importance to continuing the deterrent that we do. Of course, the costs of the deterrent are spread over a number of years. As I have said, successive Governments in office have, every time they have re-examined the need for the deterrent, committed to continuing it.
ParlaMint-GB_2015-01-12-commons.u54	6. What progress his Department has made on delivering the defence equipment plan.
ParlaMint-GB_2015-01-12-commons.u55	Under this Government, the Ministry of Defence was one of the first Departments to publish a long-term plan: our 10-year equipment plan. The third annual iteration of the equipment plan will be published shortly. I expect it to show that, in the vital area of defence equipment, we have a plan and that we are delivering against it in each domain. New investment committed last year includes: three offshore patrol vessels, four new F-35s, and 589 new Scout armoured vehicles under the largest land equipment contract the British Army has seen for 30 years.
ParlaMint-GB_2015-01-12-commons.u56	What changes have been made to the way the plan is being delivered?
ParlaMint-GB_2015-01-12-commons.u57	As my hon. Friend will recall, the previous Labour Administration had no plan and compounded one procurement incompetence with another. Consequently, the wrong equipment was often delivered, years late and billions over budget. By contrast, since balancing the defence budget and establishing an equipment plan, where there was chaos now there is competence; where there were cost overruns now there are cost savings; and where equipment deliveries were years late now they are on time, or, in far fewer cases, a few months behind.
ParlaMint-GB_2015-01-12-commons.u58	In recent weeks, maritime patrol aircraft have been seen in the skies above Moray, operating from RAF Lossiemouth and plugging a capability cap, because the RAF has precisely no maritime patrol aircraft. All of our neighbours have them: the Irish air corps, the Royal Danish air force and the Royal Norwegian air force. In the plan the Minister has just mentioned, when can we expect to have maritime patrol aircraft?
ParlaMint-GB_2015-01-12-commons.u59	As the hon. Gentleman knows full well, there was a recognised capability gap when maritime aircraft were taken out of service in SDSR 2010. The Government, as with previous Governments, operate in conjunction with our allies around the world. We provide aircraft to Baltic patrol and transport lift aircraft to the French. On occasion, our allies provide us with maritime patrol aircraft.
ParlaMint-GB_2015-01-12-commons.u60	I was glad to hear the Minister’s answer to the question regarding Russian submarines infiltrating our waters Why, after the major equipment programme has been let, are his Department and UK Trade & Investment still scurrying around trying to hold the manufacturer to a pre-contract offer of safeguarding or creating 10,000 jobs in the UK? We now know that the Scout programme he mentioned will be built in Spain, Germany and the Netherlands, and that the core jobs in the UK are fewer than 400. That has happened on his watch. Why was the economic case for bringing the work to the UK not done before the contract was finalised? The Secretary of State spent all that time trumpeting what seemed to be a huge success when, in fact, it is not.
ParlaMint-GB_2015-01-12-commons.u61	As the hon. Lady may recall, the original proposed contract, which was considered under her Administration, was for more than double the number of vehicles for which we have contracted. Consequently, the number of people potentially employed is significantly lower. However, the contract for the Scout vehicle, at £3.5 billion, is the largest contract that the British Army has received, and involves some 160 companies, predominantly in the UK. It will sustain 1,400 jobs in the UK, and we are currently actively exploring the opportunity for the onshore assembly of vehicles, from 101 to 589.
ParlaMint-GB_2015-01-12-commons.u62	7. What his policy is on the creation of a national defence medal.
ParlaMint-GB_2015-01-12-commons.u63	There is a long-standing and widely understood military tradition that medals are not awarded as a record of service but in recognition of specific campaigns or operations, acts of gallantry or outstanding service. We set up an independent review into medals and decorations, and its chair, Sir John Holmes, specifically considered this matter and decided against such a medal. That decision received royal approval.
ParlaMint-GB_2015-01-12-commons.u64	MOD tradition and protocol have an important role, but would it not just be the decent thing to recognise our veterans in this way simply because they have served their country? Would it not be wonderful to have cross-party agreement to recognise them, as happens in many other English-speaking countries around the world?
ParlaMint-GB_2015-01-12-commons.u65	We absolutely recognise and pay handsome tribute to our veterans. There is no better example of that than the military covenant and all that it stands for. The fact that so many people are signing up to it—businesses, all our local authorities and so on—demonstrates that the understanding of the great sacrifices made by our veterans in their service and by their families has never been higher in the public’s imagination.
ParlaMint-GB_2015-01-12-commons.u66	I support the comments of my fellow Essex MP, the hon. Member for Clacton (Douglas Carswell). The last Government quite rightly introduced the national service badge, which has been greatly appreciated. The medal would do no harm, but it would do a lot of good.
ParlaMint-GB_2015-01-12-commons.u67	I do not agree with my hon. Friend. Medals are for specific campaigns and acts of gallantry, and rightly so. In this instance, therefore, we will have to disagree.
ParlaMint-GB_2015-01-12-commons.u68	8. What plans he has to visit Albemarle barracks to review handover arrangements.
ParlaMint-GB_2015-01-12-commons.u69	I fear I might let down my hon. Friend because we have no plans—unfortunately—to visit his barracks, unless he makes me an offer I cannot refuse. However, we all look forward to the moment when 3 Regiment Royal Horse Artillery replaces 39 Regiment Royal Artillery later this year. I know of the great work he does in supporting his barracks, and of course he will welcome 3 Regiment Royal Horse Artillery when it moves in.
ParlaMint-GB_2015-01-12-commons.u70	No pressure there! All I can say is that the Minister would be warmly welcomed in Northumberland, where we are transitioning from 39th Royal Artillery and welcoming 3rd Royal Horse Artillery. We are also looking at the base improvements that have happened already and the ongoing case we are making in respect of these troops.
ParlaMint-GB_2015-01-12-commons.u71	I pay tribute to the work that my hon. Friend and others have done, and I will look at all our diaries to see whether we can come up; we would like to if we can. I promise I will look at my diary, and at the diaries of other Ministers as well.
ParlaMint-GB_2015-01-12-commons.u72	9. What assessment he has made of the level of the cyber-security threat to the UK.
ParlaMint-GB_2015-01-12-commons.u73	Maintaining robust cyber-security is a priority for the UK and of particular importance to the MOD. The threat is continually changing in scope and complexity. All public and private sector organisations have a stake in addressing the cyber threat, and the MOD is one element of the national cyber-security programme, which is co-ordinated by the Cabinet Office.
ParlaMint-GB_2015-01-12-commons.u74	We know that cyber attacks are often targeted at defence companies themselves. What steps have the Government taken to ensure that security within the UK defence sector is strengthened?
ParlaMint-GB_2015-01-12-commons.u75	We have taken very specific steps. With the Office of Cyber Security and Information Assurance, the Centre for the Protection of National Infrastructure and GCHQ, we are working closely with industry to ensure it is aware of the changing nature of the threat and has effective counters in place. The defence cyber protection partnership aims to meet the emerging threat specifically to the UK defence supply chain by increasing awareness of cyber risks, sharing threat intelligence and defining risk-driven approaches to applying cyber-security standards. We are already doing it.
ParlaMint-GB_2015-01-12-commons.u76	To what extent have NATO and our NATO allies prioritised the development of cyber capabilities?
ParlaMint-GB_2015-01-12-commons.u77	For obvious reasons, NATO takes this threat very seriously. For instance, I believe it has a centre of excellence based in Estonia helping to provide advice to other NATO countries. We in the UK also take the threat very seriously and have invested heavily to counter it.
ParlaMint-GB_2015-01-12-commons.u78	In response to the hon. Member for Norwich North (Chloe Smith), the Minister said that the recruitment for cyber-reserves was on track, but he could not give us precise details because it would breach confidentiality. I have always subscribed to the notion of “trust but verify”. Will he indicate by what means—numbers or some other means—we can ensure that the information is accurate and correct?
ParlaMint-GB_2015-01-12-commons.u79	I went and verified. I visited the joint forces cyber-group at Imjin barracks in Innsworth in November, and I was able to meet a number of reservists, one of whom was from the Bank of England, who had recently signed up to help provide for the defence of our country. We do not give out publicly the number of people recruited for the cyber-reserves, and I hope the House will realise that there is a logical reason for that. The recruitment is, however, on track, and the quality of the individuals I met at Innsworth were, I have to say, extremely impressive.
ParlaMint-GB_2015-01-12-commons.u80	President Obama has openly stressed the importance of establishing rules for the road on cyber-security, but what capacity has the UK developed to respond to a cyber-attack?
ParlaMint-GB_2015-01-12-commons.u81	I remind the House that the strategic defence and security review announced a £650 million budget for the national cyber-security programme. Moreover, in June 2013, my right hon. Friend the Chancellor of the Exchequer went further by stating that investment in this area will continue to grow in 2015-16 and will include a further £210 million. An announcement by the Ministry of Defence last July showed that we are going even further than that.
ParlaMint-GB_2015-01-12-commons.u82	10. What steps he is taking to assist Iraqi forces in countering ISIL.
ParlaMint-GB_2015-01-12-commons.u83	12. What steps he is taking to assist Iraqi forces in countering ISIL.
ParlaMint-GB_2015-01-12-commons.u84	14. What steps he is taking to assist Iraqi forces in countering ISIL.
ParlaMint-GB_2015-01-12-commons.u85	We are making a major contribution to the coalition, having deployed sophisticated surveillance, strike and transport aircraft to the region. As of yesterday, we have carried out 99 air strikes in Iraq, second only to the United States. We have also provided training and equipment to Kurdish forces, including infantry, combat first aid, sharpshooting and counter-IED training.
ParlaMint-GB_2015-01-12-commons.u86	Given reports at the weekend that ISIL fighters killed another 24 people in the security forces in northern Iraq, will the Secretary of State provide more details of the equipment that his Department might be supplying to Iraqi forces to help them counter this threat?
ParlaMint-GB_2015-01-12-commons.u87	Yes. The National Security Council has asked us to do further work to scope the additional assistance we can offer to the Iraqi military. We plan to gift counter-IED equipment to the Iraqi security forces in the near future, subject to the approval of this House. All our support is part of the developing coalition and Iraqi plan to ensure that Iraqi forces are coherently supported.
ParlaMint-GB_2015-01-12-commons.u88	To what extent are British personnel in Iraq liaising with the Shi’a militias? Given the recent deaths in Iraq, apparently in action, of the Iranian General Taqavi, what assessment has my right hon. Friend made of the extent of the Iranian influence over those militias?
ParlaMint-GB_2015-01-12-commons.u89	Our training has been focused in Kurdistan through the Ministry of Peshmerga, and our other embedded personnel work only with the security forces of the Government of Iraq, not with any of the Shi’a militia. Iranian influence over the Shi’a militia is well known, and Iran can certainly play a positive role in helping to bring about better government in Iraq.
ParlaMint-GB_2015-01-12-commons.u90	In combating ISIL jihadists, our armed forces might be at greater threat in the UK than in Iraq. After last week’s atrocities, France has, I understand, allocated 10,000 troops for sensitive sites. What steps is my right hon. Friend considering armed forces in the UK should take for their own and our constituents’ safety?
ParlaMint-GB_2015-01-12-commons.u91	We take our personnel—both military and civilian—extremely seriously. We have reviewed our protective security measures and the advice to personnel in the light of the recent tragic events in France. My hon. Friend will appreciate that, for obvious reasons, I cannot discuss details of the security arrangements that are in place.
ParlaMint-GB_2015-01-12-commons.u92	Given that the Kurds still face attacks by ISIS forces using sophisticated captured American arms, is the Secretary of State satisfied that our allies have enough heavy weapons, including tanks and helicopters, to counter those attacks?
ParlaMint-GB_2015-01-12-commons.u93	We are looking at the gaps in the capability of the Kurdish and Iraqi forces, and if we can help with additional equipment, we are ready to do so, and we have already played a very active part in transporting to those forces equipment that has been gifted or sold from other nations.
ParlaMint-GB_2015-01-12-commons.u94	The House stands united with the people of France, and, indeed, with all who support the principles of freedom of speech, tolerance and democracy in the face of the barbarity that the world witnessed last week on the streets of Paris. This morning the Defence Secretary attended high-level meetings in Whitehall to discuss the United Kingdom’s response to those tragic events. Given that one of the terrorists said that he was acting on behalf of ISIL, will the right hon. Gentleman update the House on what further steps the Government are taking to combat this threat in Iraq and beyond?
ParlaMint-GB_2015-01-12-commons.u95	I am grateful to the shadow Defence Secretary for, in particular, the tone that he has struck in the light of the tragic events in France. We all have sympathy with those involved I think that the hon. Gentleman and I are clear about the fact that if we are to reduce the threat from ISIL in France and the United Kingdom, ISIL must be defeated in both Iraq and Syria. This morning, under the Prime Minister’s direction, we again reviewed our standing preparations for a terrorist attack, including the number and readiness of troops available to assist the police, and we are keeping the security situation under continuous review.
ParlaMint-GB_2015-01-12-commons.u96	I think that the whole House will be grateful to the Defence Secretary for his response. Does he agree that following those recent events the need to tackle the threat is even more urgent, and that we must work ever more closely with our allies in Europe—such as France—and with our partners in the region, including Turkey? Will he update us on the progress that has been made by United Kingdom forces in their crucial work of training Iraqi and peshmerga troops in Iraq to combat the ISIL threat there, and also, importantly, preventing future acts of terrorism here in the United Kingdom?
ParlaMint-GB_2015-01-12-commons.u97	We are already co-operating closely with France in particular, and we have reinforced our offer of assistance to France over the last few days. If ISIL is to be defeated and the threat to our own country and other European countries reduced, we will of course depend on the co-operation of the entire international community, but especially on the co-operation of partners in the region. The hon. Gentleman is right to draw attention to the role that Turkey and other regional partners can play We have been training Iraqi and Kurdish forces, and are doing so at the moment. Training courses in Kurdistan are being managed and led by British troops, and I hope that they will help the peshmerga, in particular, in their fight against ISIL.
ParlaMint-GB_2015-01-12-commons.u98	Setting aside the fact that there will be no foreign combat troops on the ground, will the Secretary of State tell us what is the difference between the 2007 strategy in Iraq and the strategy today? In particular, have we a new counter-insurgency doctrine, is there a new Sunni outreach strategy, and have we adopted a new approach to building the capacity of the Iraqi Government and army, or are we fighting the same target with the same strategy and fewer resources?
ParlaMint-GB_2015-01-12-commons.u99	I can tell my hon. Friend—who, I know, brings a great deal of experience from Iraq to the House—that the biggest difference between now and 2007 is that we now have a genuinely inclusive Government in Iraq, who represent both Shia and Sunni, and, indeed, Kurdish elements in Iraq. The new Defence Minister, Minister Obeidi, is himself a Sunni. It is important for that Government to concentrate on precisely the kind of Sunni outreach that the hon. Gentleman has mentioned, so that their forces can enjoy the support of the tribes in the Anbar region, where ground must be recaptured from ISIS.
ParlaMint-GB_2015-01-12-commons.u100	11. What the strategic rationale is for the opening of a UK military base in Bahrain.
ParlaMint-GB_2015-01-12-commons.u101	The Ministry of Defence has had a naval base in Bahrain since the 1950s, providing naval and logistics facilities in support of our operations in the Gulf. The agreement that was signed last month reaffirms the joint determination of the United Kingdom and Bahrain to maintain security and stability in the region.
ParlaMint-GB_2015-01-12-commons.u102	How long does the Secretary of State expect the military personnel who have been sent to train the Kurds in Iraq to remain there? Can he give us a time frame?
ParlaMint-GB_2015-01-12-commons.u103	Our training effort, our troops and our air contribution to the fight against ISIL will remain in Iraq for as long as is necessary, which may well be a very long time. As for our presence in the Gulf, I hope that the House will welcome the recommitment that we have made to security and stability through the new naval base agreement, which will enable us to deploy larger ships and to provide better facilities for those who are deployed in or are passing through the Gulf.
ParlaMint-GB_2015-01-12-commons.u104	I congratulate my right hon. Friend and salute the work carried out by Lieutenant General Sir Simon Mayall in re-establishing an east of Suez policy with our very close and reliable ally the Kingdom of Bahrain. Is this not a good example of the role defence diplomacy can play, and, in that context, may I invite the Secretary of State to reaffirm our commitment to the five power defence agreement in the far east, which reassures our allies and gives Britain an influence in the region?
ParlaMint-GB_2015-01-12-commons.u105	My hon. Friend, one of my predecessors as a Minister in the Department, is right to pay proper tribute to Lieutenant General Sir Simon Mayall, who was responsible for negotiating this agreement, which will put our naval presence in the Gulf on a more permanent footing. My hon. Friend is also right to say that we should continue to examine our defence engagement policy in the far east as well as in the middle east.
ParlaMint-GB_2015-01-12-commons.u106	It has been estimated that a three-day closure of the strait of Hormuz, perhaps by a terrorist attack, could lead to a four-year negative impact on the world economy. Has that influenced our decision to increase our capability in the Gulf?
