ParlaMint-GB_2015-10-13-commons.u1	1. What plans his Department has to increase capacity in general practice and primary care.
ParlaMint-GB_2015-10-13-commons.u25	Some 23% of the adult prison population were in care as children and many of them have poor mental health. Will the Minister ensure that mental health services are in place for children in care to make the greatest contribution possible to improving their life chances, and not least to ensure we reduce the numbers ending up in prison?
ParlaMint-GB_2015-10-13-commons.u26	Yes, the hon. Gentleman makes a point made by successive Governments: care outcomes are terrible and the earlier the intervention the better. We are encouraging the engagement of early prevention therapies, including for those in care, and for the first time the Government have appointed a dedicated mental health Minister, in the Department for Education, further to promote resilience and work more closely with young children, including those in care.
ParlaMint-GB_2015-10-13-commons.u27	Infection control in the community is a great way to reduce preventable illness. In November, I will launch a handwashing campaign in Parliament that I hope will have cross-party support. Will the Minister inform the House what his Department is doing to promote infection control outside the hospital setting?
ParlaMint-GB_2015-10-13-commons.u28	Order. I listened carefully because I wished to hear the development of the question, but it did not appear to relate to mental health services.
ParlaMint-GB_2015-10-13-commons.u29	I am sorry.
ParlaMint-GB_2015-10-13-commons.u30	Never mind. These things can always be recycled on subsequent occasions. I have been there and I have done it, and the hon. Lady should fear not.
ParlaMint-GB_2015-10-13-commons.u31	The Minister referred to the additional money for eating disorders in the autumn statement last year, the purpose of which was to introduce a maximum waiting times standard from next April. We all know that early intervention is critical. It is a condition that kills too many people. Will he confirm that he remains committed to introducing a maximum waiting times standard for eating disorders from next April?
ParlaMint-GB_2015-10-13-commons.u32	I believe we are. I will check to be certain, as I know the right hon. Gentleman knows a great deal about this, but I believe we are. We have £150 million for eating disorders, and £30 million is being spent this year, with additional beds allocated. I will check that the waiting target times remain because they have made a significant difference. The right hon. Gentleman’s work has been of powerful import in what we do.
ParlaMint-GB_2015-10-13-commons.u33	Yesterday, the National Society for the Prevention of Cruelty to Children revealed that one in five children in need of mental health treatment are being turned away. Is it not appalling that young people are being denied help, only for them to become more seriously ill later on, and that the number of children turning up at A&E because of mental illness has doubled in recent years? Does the Minister accept that children’s mental health needs more money now—this year, as he promised? I can point to many different organisations across the country that would gladly receive that support now. How is he going to put his broken promise right?
ParlaMint-GB_2015-10-13-commons.u34	May I welcome the hon. Lady to her position, not least her Cabinet position—he said carefully—and welcome the prominence that mental health now has among all parties? Let me say rather gently in response to the tirade that I have just received that under this Government we have for the first time introduced parity of esteem for mental health on waiting times and national access targets. We are spending more money—£1.25 billion over the next five years. We have the highest number of beds for young people in emergency situations; we have the first dedicated education Minister for young people’s health; we have £75 million for perinatal health; and in her own constituency, the hon. Lady will be pleased to welcome from her shadow Cabinet position an extra £1.1 million going to Liverpool for mental health treatment for children and young people. I think that is a significant response.
ParlaMint-GB_2015-10-13-commons.u35	I do not know who writes a lot of this screed, but sometimes a blue pencil needs to be taken to it. The Minister is immensely capable and experienced, but a distillation or an abridged version rather than a “War and Peace” version would be appreciated.
ParlaMint-GB_2015-10-13-commons.u36	3. What progress his Department has made in delivering seven-day-a-week NHS services.
ParlaMint-GB_2015-10-13-commons.u37	Eighteen million patients will benefit from seven-day GP appointments by March next year, and seven-day hospital services will reach a quarter of the country by then.
ParlaMint-GB_2015-10-13-commons.u38	In my borough of Croydon, the clinical commissioning group is currently consulting on the possibility of having three seven-day-a-week, 12-hour-a-day combined minor injury and GP centres, with one at Purley hospital in my constituency. Can the Secretary of State confirm whether any additional funding is available from central Government to facilitate this seven-day-a-week service?
ParlaMint-GB_2015-10-13-commons.u39	Yes, I can. I should have said that seven-day hospital services will be available to a quarter of the country by March 2017. We are putting an extra £10 billion into the NHS in the course of this Parliament, which will help in the roll-out of seven-day services—I hope in Croydon, as well. I commend my hon. Friend for his efforts in that respect.
ParlaMint-GB_2015-10-13-commons.u40	I met a large group of junior doctors in my constituency on Friday, and we talked a lot about seven-day working. They asked me to put two things straight with the Health Secretary: first, the vast majority of junior doctors are already working seven days a week; and, secondly, on their contract, it was not terms and conditions that they were worried about, as I thought they were, but safety. In respect of those new contracts for junior doctors, what assessment has the Secretary of State’s Government made about patient safety?
ParlaMint-GB_2015-10-13-commons.u41	I am very happy to do that, and to correct some of the misleading impressions given by the BMA about what the changes are. The changes are about patient safety. They are about the fact that someone is 15% more likely to die if admitted on a Sunday than on a Wednesday because we do not have as many doctors in our hospitals at the weekends as we have mid-week. I want to give better support to the doctors who work weekends by making sure that they have more of their colleagues and more consultants there, as well as proper safeguards, which I do not believe we have at the moment. I will be getting that message out, and I hope that the hon. Lady will, too, when she next meets her junior doctors.
ParlaMint-GB_2015-10-13-commons.u42	I urge my right hon. Friend to continue on his drive to improve patient safety and to reduce avoidable harm in our NHS because that is crucial for patients and the professions.
ParlaMint-GB_2015-10-13-commons.u43	I thank my right hon. Friend for his question, and for the interest that he showed in these issues when he was a Minister The reality is that about we have about 200 avoidable deaths every week in our hospitals. It is the same in other countries—this is not just an NHS issue—but it is a global scandal in healthcare, and I want England and our NHS to be the first to put it right. I think that that is consistent with NHS values, and consistent with what doctors and nurses all want.
ParlaMint-GB_2015-10-13-commons.u44	It is good of the Secretary of State to join us today. If he had been here yesterday to discuss the small issue of the £2 billion NHS deficit, he would have heard me say that I hoped we could have a mature and constructive relationship As has already been said, junior doctors are key to the delivery of a seven-day NHS. The Secretary of State said recently: “I don’t want to see any junior doctor have their pay cut.” Can he now guarantee that no junior doctor will be paid less as a result of his proposed new contract? Yes or no?
ParlaMint-GB_2015-10-13-commons.u45	I welcome the hon. Lady to her post. I hope that, just occasionally, we might agree on some things, although I suspect that today may not be one of those occasions Let me be absolutely clear about the commitment that we have made to junior doctors. We will not cut the junior doctor pay bill, but what we do need to change are the excessive overtime rates that are paid at weekends. They give hospitals a disincentive to roster as many doctors as they need at weekends, and that leads to those 11,000 excessive deaths. Let me gently say that that was a change to the doctors’ contracts made in 2003, so for members of the Labour party to say that this is nothing to do with them is not accurate, and they should help us to sort out the problem.
ParlaMint-GB_2015-10-13-commons.u46	I think it is fair to say that junior doctors will make up their own minds about that response Last week I received an e-mail about a seriously ill woman who had needed to be admitted to hospital over the weekend, but had stayed at home for two days because of recent interviews given by the Department of Health that had made her think “that the NHS was not staffed at weekends.” Her doctor went on to say: “This delayed her operation, put her life in danger and ultimately will have cost the NHS more” Does the Secretary of State feel any responsibility for that?
ParlaMint-GB_2015-10-13-commons.u47	Let me give the hon. Lady the facts. According to an independent study conducted by The BMJ, there are 11,000 excess deaths because we do not staff our hospitals properly at weekends. I think it is my job, and the Government’s job, to deal with that, and to stand up for patients The hon. Lady talked about being constructive. There is something constructive that she can do, which is to join the Royal College of Surgeons, the Royal College of Physicians and the Royal College of Nursing, and urge members of the British Medical Association not to strike but to negotiate, which is the sensible, constructive thing to do. Will the hon. Lady tell them to do that?
ParlaMint-GB_2015-10-13-commons.u48	The question is about the seven-day NHS, but there is no point in our having a seven-day NHS if it is not an NHS across the country. I have a constituent with advanced prostate cancer who, as his oncologist says, needs docetaxel chemotherapy. In fact, all east midlands oncologists say that it is needed, but it is not provided by the NHS in my constituency, although it is provided in Birmingham. If we are to have a seven-day NHS, we need treatment across the board. Will the Secretary of State step in and do something about this?
ParlaMint-GB_2015-10-13-commons.u49	I will look into the individual case that my hon. Friend has raised, but I think patients recognise that sometimes they need to travel further for the most specialist care, and can receive better care if they do so. However, the way in which what we are doing will help my hon. Friend’s constituents, and other people with cancer, is not just about consultants and junior doctors working at the weekends; it is about seven-day diagnostic tests, which will enable us to get the answers back much more quickly and catch cancers earlier.
ParlaMint-GB_2015-10-13-commons.u50	4. What progress his Department has made in introducing a cap on care costs.
ParlaMint-GB_2015-10-13-commons.u51	We have introduced primary legislation and consulted on draft regulations to introduce the care cap. Following the decision to delay implementation until April 2020, we will use the additional time to improve the policy in the light of feedback from stakeholders.
ParlaMint-GB_2015-10-13-commons.u52	Let me first declare an interest as a vice-president of the Local Government Association May I ask what assistance the Department is offering local authorities which are currently cash-strapped so that they can implement new minimum wage regulation, which is very welcome, in order to provide first-class social care?
ParlaMint-GB_2015-10-13-commons.u53	It is not possible for me to talk about what may emerge from the spending round and settlement, but I can say to the hon. Lady that local authorities were given extra finance to implement the Care Act 2014. Some £5.3 billion is available to local authorities to work through the new integrated social care and NHS budget. So we are very conscious of the pressures on local authorities, which need the resources to provide the social care we all expect.
ParlaMint-GB_2015-10-13-commons.u54	The coalition Government agreed a policy of a cap on care costs, and the Conservative manifesto in May said that no one would have to sell their homes to pay for care. Some £100 million has been wasted on this delay, which has betrayed our older people and has simply ducked one of the biggest crises facing this country. Will the Minister and the Department now apologise?
ParlaMint-GB_2015-10-13-commons.u55	There was a consultation on the coalition proposals, which began at the beginning of this year and ran through the election period. The consultation included a very strong representation from the Local Government Association, which said that it did not want to implement the care cap now and wanted extra time. Therefore, the decision has been taken not to cancel, but to delay. It is of course a change from the position we set out. I fully accept that, but we listened to stakeholders and we are now going to use the extra time, at the request of the LGA and others, to find a way through to implement the policy and to use the time for extra financial products.
ParlaMint-GB_2015-10-13-commons.u56	8. What assessment his Department has made of progress in implementing the success regime at Derriford hospital in Plymouth.
ParlaMint-GB_2015-10-13-commons.u57	I am pleased to refer my hon. Friend to the recent appointments of Ruth Carnall to the role of programme chair and Judith Dean to the role of programme director for the success regime in Northern, Eastern and Western Devon. Together, they will lead an intensive diagnostic exercise within the local health economy, which will develop options for change to be implemented in the new year.
ParlaMint-GB_2015-10-13-commons.u58	Given the news last week that the Northern, Eastern and Western Devon clinical commissioning group that covers my constituency has appointed a special team to ensure the projected £430 million funding shortfall does not become a reality, what can my hon. Friend do to assure my constituents that an already challenged constituency can retain confidence in its health care provision?
ParlaMint-GB_2015-10-13-commons.u59	My hon. Friend rightly points out that there are specific challenges in Northern, Eastern and Western Devon and that is precisely why NHS England has instituted the success regime and why it has moved quickly to appoint a programme director and team. I hope that with the engagement that I know he will lead with his colleagues they will come to a resolution that will ensure that the challenges cease.
ParlaMint-GB_2015-10-13-commons.u60	9. What additional financial support he is making available to the NHS to help it deal with winter pressures.
ParlaMint-GB_2015-10-13-commons.u61	17. What additional financial support he is making available to the NHS to help it deal with winter pressures.
ParlaMint-GB_2015-10-13-commons.u62	Some £400 million in resilience money has been invested in the NHS for this winter. Learning from previous years, we have put this money into the NHS baseline for 2015-16 so that the NHS can plan effectively at an earlier stage.
ParlaMint-GB_2015-10-13-commons.u63	I thank the Secretary of State for his response. In my constituency we have an excellent and much-used facility—a walk-in centre in Middleton town centre—which is now threatened with closure. Will he support our campaign to keep it open? Does he agree that its closure would create more A&E attendances and increase winter pressures on our acute services?
ParlaMint-GB_2015-10-13-commons.u64	I welcome the question and understand the hon. Lady’s concerns about the changes. She will understand that we do not direct these changes centrally and they are decided locally. One of the things we have to try to do is deal with the confusion a lot of people have at a local level as to what they should do when they have, for instance, a child with fever at the weekends and whether they require a GP, an urgent care centre or an A&E department. I would ask all CCGs to be very careful to make sure they sort out that confusion so NHS patients know exactly what they should do.
ParlaMint-GB_2015-10-13-commons.u65	The Royal Free hospital in my constituency is at the cutting edge of medical research and is currently treating Ebola patient Pauline Cafferkey. I am sure the Secretary of State will join me in wishing her a speedy recovery, yet the hospital faced considerable winter pressures last year. Will the Secretary of State work with the fantastic nurses and doctors at the Royal Free to ensure these winter pressures do not happen again this year?
ParlaMint-GB_2015-10-13-commons.u66	I thank the hon. Lady for her excellent question. I know that the whole House is thinking of Pauline Cafferkey and her family and that it is proud that, under Dr Mike Jacobs and his team, she is getting the most outstanding care that it is possible to get anywhere in the world. We all wish her a speedy recovery. With respect to winter pressures, I know that the Royal Free had a difficult winter but I also know that it has a very good management team and made heroic efforts. I know that the whole team of doctors and nurses will do an excellent job, and we will want to support them in any way we can.
ParlaMint-GB_2015-10-13-commons.u67	As part of my right hon. Friend’s plans for dealing with winter pressures, will he look at making greater use of the 63,000 practitioners on the Professional Standards Authority’s 17 accredited registers covering 25 occupations? Has he found time yet to read the authority’s report, “Accredited Registers—Ensuring that health and care practitioners are competent and safe”?
ParlaMint-GB_2015-10-13-commons.u68	I must confess that I have not yet read that report, but my hon. Friend has reminded me of how important it is that I should do so. I will read it carefully while thinking about whether it could help us to get through the winter pressures this year.
ParlaMint-GB_2015-10-13-commons.u69	Kettering general hospital, the local clinical commissioning group and the Government are all agreed that the best way to help the NHS in north Northamptonshire to cope with pressures all year round, including in the winter, would be to develop a £30 million urgent care hub at Kettering general hospital. That project is with Monitor. What can the Secretary of State do to encourage Monitor to speed up its deliberations?
ParlaMint-GB_2015-10-13-commons.u70	Once again, I thank my hon. Friend for his persistent campaigning on behalf of Kettering general hospital. It is a very busy hospital under a great deal of pressure, and I know that people work very hard there. The Under-Secretary of State for Health, my hon. Friend the Member for Ipswich (Ben Gummer), who has responsibility for hospitals, met campaigners from Kettering recently to discuss this issue, and I will bring the matter up with Monitor as well.
ParlaMint-GB_2015-10-13-commons.u71	The Department of Health’s own figures show a dramatic change, from a £500 million surplus to a £100 million deficit in 2013, following the introduction of the Health and Social Care Act 2012. That deficit moved to £800 million last year and we have heard in the past week that it stood at more than £900 million from the first quarter of this year. Does the Secretary of State recognise that this situation has been exacerbated by the outsourcing and fragmentation of the NHS, which involves spending money on shareholder profits and tendering bureaucracy, rather than on patients?
ParlaMint-GB_2015-10-13-commons.u72	I do not. That Act meant that we reduced the number of managers and administrators in the NHS in England by 19,000, saving the NHS £1.5 billion a year. The reason for the deficits that the hon. Lady talks about is that, around the same time, we had the Francis report on Mid Staffs, and hospitals in England were absolutely determined to end the scandal of short-staffing. However, agency staffing is not a sustainable way of doing that, which is why we are taking measures today to change that.
ParlaMint-GB_2015-10-13-commons.u73	The Francis report recognised the problems of nursing levels. As hospitals will not be able to use agency staff or immigrant staff, how does the Secretary of State suggest they tackle the nursing ratios in hospitals?
ParlaMint-GB_2015-10-13-commons.u74	If the hon. Lady looks at what has happened with permanent full-time nursing staff, she will see that the numbers have gone up in our hospitals by 8,000 over the past two years, so there are alternatives. We need to do more to help the NHS in this respect, and I will be announcing something about that shortly.
ParlaMint-GB_2015-10-13-commons.u75	10. What plans he has to review renewal arrangements for the issuing of NHS medical exemption certificates.
ParlaMint-GB_2015-10-13-commons.u76	Medical exemption certificates excluding patients with long-term conditions have been in place since the 1960s. The requirement to renew the certificate every five years has been in place since at least 2002 and we have no plans to review it.
ParlaMint-GB_2015-10-13-commons.u77	The Minister will be aware that, over the summer, there has been media coverage of patients with ongoing and exempt conditions being penalised for not having an up-to-date exemption certificate. Because the renewal period is five years long, the NHS Business Services Authority’s address database gets out of date very quickly and many people have been penalised for inadvertently not renewing their certificate because the database held an out-of-date address for them. What more can be done to assist the authority and the patients, perhaps by introducing a shorter renewal period, and to ensure that this stops occurring?
ParlaMint-GB_2015-10-13-commons.u78	I pay tribute to my hon. Friend, who has first-hand experience of this matter. It is true that people who are responsible for ensuring that they hold a certificate when claiming the exemption could be subject to genuine mistakes. That is why we responded to the feedback this summer and put measures in place so that if someone submits a valid medical exemption certificate within 60 days of a penalty charge notice, the penalty charge will be cancelled. It is also worth remembering that all patients on benefits or on the NHS low income scheme are exempt anyway, and that patients who require frequent prescriptions can enrol for a pre-payment certificate, which costs no more than £100 a year.
ParlaMint-GB_2015-10-13-commons.u79	There are 3.3 million diabetics in this country, including myself, who are entitled to these certificates. This is not special pleading, but the issue is that when they come to renew they do need help. As the hon. Member for Blackpool North and Cleveleys (Paul Maynard) has said, it is difficult for them to fill in some of these forms. Will the Minister ensure that local GP practices are able to help people if they need assistance in filling in these forms?
ParlaMint-GB_2015-10-13-commons.u80	I will happily look into that specific issue, discuss it with the right hon. Gentleman and see whether there is anything we need to do.
ParlaMint-GB_2015-10-13-commons.u81	11. What steps he is taking to improve support for carers.
ParlaMint-GB_2015-10-13-commons.u82	I am not quite sure what the situation is in Wales, but in England I do not think that carers’ invaluable contribution to society has ever been better recognised. We are working very hard to see the implementation of the improved rights for carers enshrined in the Care Act 2014. I am also responsible for developing a new national carers strategy to see what more we can do to support existing and new carers in England.
ParlaMint-GB_2015-10-13-commons.u83	There are more than 6.5 million unpaid carers in the UK, with nearly 11,000 in my constituency. In total, they save the state more than £119 billion each year, which is more than this Government spend on the NHS . Research by Carers UK has found that nearly 50% of carers are struggling to make ends meet, and that is seriously affecting their health. What plans does the Minister have to work with the Department for Work and Pensions and the Treasury, and across government, to ensure that the improvement of carers’ finances will be a key part of the Government’s care strategy?
ParlaMint-GB_2015-10-13-commons.u84	The work I am doing on developing the new strategy involves other Departments, and it will look at not only the economics, but what is happening internationally and where we can take the whole concept of caring for a different society in the future. The economics is certainly important; we could not do without the contribution that carers make, but it would be impossible to replace it with total Government finance.
ParlaMint-GB_2015-10-13-commons.u85	Yesterday, the Public Accounts Committee heard from officials at the Department of Health about the implementation of the Care Act, which is a bold piece of legislation. They admitted that they were very concerned about the unidentified carers, who need to be found in order to be supported. What is the Minister planning to do to make sure that they are identified and supported?
ParlaMint-GB_2015-10-13-commons.u86	In a way, the self-definition states its own problem: these are unidentified carers. I hope that the new responsibilities in the Care Act will encourage more people to come forward and that the greater work of carer support organisations, such as the one I preside over in Bedfordshire, Carers in Bedfordshire, will be able to identify more carers. We want more young people to come forward because, as the hon. Lady says, people are caring and they do not realise they are. We need a concerted effort all round to try to reveal them, so that more can be done.
ParlaMint-GB_2015-10-13-commons.u87	I am surprised that the Minister believes he is supporting carers in any way acceptably well. The recent personal social services survey found that 38% of adult carers now care for more than 100 hours a week but only one in five of those carers is getting support to take a break from caring. Government cuts have caused a funding gap in social care, which, it is estimated, will be £4 billion by 2020, piling additional pressure on those family carers, and the better care fund and integration will not, in themselves, fix that gap. When will Health Ministers admit that they have got this wrong and argue for more funding for social care, so that carers can get the support and respite breaks they should get?
ParlaMint-GB_2015-10-13-commons.u88	Between 2010 and 2015, £400 million extra was found in order to provide respite for those who are caring for others. Any support that goes into local government, or indeed the NHS, is predicated on a decent economy and decent economic principles in order to fund it—I believe from what happened last night that that has been abandoned by the Labour party. We have to have the resources in the first place. That is what we are seeking to ensure and that is what the work is being done for.
ParlaMint-GB_2015-10-13-commons.u89	12. What steps his Department is taking to manage and meet demand for A&E services in Worcester.
ParlaMint-GB_2015-10-13-commons.u90	Last month, the Department approved a £4 million capital improvement loan for the expansion of the A&E department at Worcestershire Royal hospital and the development of a dedicated discharge lounge. Worcestershire Acute Hospitals NHS Trust and the local health system will also receive practical support via the emergency care improvement programme to help the trust to address the challenges it has faced in meeting the four-hour A&E waiting time standard.
ParlaMint-GB_2015-10-13-commons.u91	I thank the Minister for his reply. I warmly welcome his recent decision to approve the £4 million interim investment in A&E capacity and a new discharge suite at the Worcestershire Royal. As he knows, demand remains very high, and the number of patients being admitted to hospital is close to record levels. May I urge him and his colleagues to look very carefully and urgently at plans for further upgrades, which could deliver much-needed capacity over the coming years?
ParlaMint-GB_2015-10-13-commons.u92	I assure my hon. Friend that we will do so, but he will be conscious that capital plans are the responsibility of individual trusts. I urge his trust to take part fully in the Worcestershire acute review and in other reviews of the west midlands health service. There are challenges, and we will fix the problems only if there are locally sourced solutions, which we will then seek to support.
ParlaMint-GB_2015-10-13-commons.u93	13. What estimate his Department has made of the change in the number of nurse training places since 2010.
ParlaMint-GB_2015-10-13-commons.u94	The number of available nurse training places in England in 2015-16 is consistent with those filled in 2010-11. There are 20,033 nurse training places available in England in 2015-16, compared with 20,092 in 2010-11.
ParlaMint-GB_2015-10-13-commons.u95	Simon Stevens, the head of the NHS in England, has already highlighted the devastating impact that new immigration earnings thresholds will have on nursing numbers—it is estimated that up to 29,755 nurses will be affected, and that the recruitment cost will be more than £178.5 million by 2020. What representations will the Minister be making to the Home Secretary to put a stop to this irresponsible and illogical change in policy that defines ballet dancers but not nurses as a shortage occupation?
ParlaMint-GB_2015-10-13-commons.u96	The hon. Gentleman will be reassured to know that there are continuing and cordial relations between the Department of Health and the Home Office. Trusts have had three years to prepare for this moment. There is a bigger issue at play here, which is that there are five applicants for every nursing place in the United Kingdom; that is the position for people wishing to train as a nurse. Our first responsibility is to ensure that we are getting as many people who want to be nurses in this country into a nurse training place.
ParlaMint-GB_2015-10-13-commons.u97	The Mid Yorkshire Hospitals NHS Trust, which covers the Wakefield constituency, has been forced to recruit nurses from both Spain and India. Following on from the previous question, what representations has the Minister made to the Home Office, because these changes could affect nurses who have come to Britain, bought mortgages here and plan to make their lives here? Will they be affected?
ParlaMint-GB_2015-10-13-commons.u98	The hon. Lady knows that the Immigration Advisory Committee is independent and it makes its recommendations on that basis. There are trusts—I have visited some myself—that had previously relied on agency and migrant labour that have now managed to change the way they are hiring staff so that they can better source sustainable staffing from the domestic staffing pool.
ParlaMint-GB_2015-10-13-commons.u99	In December 2009, Lord Lansley, as the then shadow Health Secretary, described the amount spent by the NHS on agency staff as “unforgiveable”. Since he made that statement, agency spending has spiralled out of control, rising by 83% in the past three years. Ministers are in denial about the root causes of that increase. The cuts to nursing training places have created a shortage of nurses and forced hospitals to spend vast amounts on expensive agency staff. Will the Minister now come clean and admit that it was the Government’s mismanagement that caused this financial crisis?
ParlaMint-GB_2015-10-13-commons.u100	The hon. Gentleman should know that the unforgiveable thing was the dereliction of care by a Department of Health under a previous regime. It contributed to short staffing—a significant part of the scandal at Mid Staffs—that we needed to put right in short order. That required an emergency response and agency labour to be employed. We are now putting staffing on a sustainable basis; we were left with short staffing in 2010.
ParlaMint-GB_2015-10-13-commons.u101	14. What steps he is taking to ensure consistency in services and treatment throughout the NHS.
ParlaMint-GB_2015-10-13-commons.u102	The mandate for NHS England sets out our national ambitions for the health service across England. NHS England and the clinical commissioning groups are responsible for working with local providers. To ensure quality and consistency, the Care Quality Commission has developed a set of fundamental standards. The National Institute for Health and Care Excellence also provides a range of guidance and quality standards, and the Department of Health has established the MyNHS website to highlight regional variations and use transparency to drive improvement across the system.
ParlaMint-GB_2015-10-13-commons.u103	I thank the Minister for that answer, but earlier this year figures published by Public Health England showed that more people under the age of 75 die from cancer in Corby than anywhere else in England. What steps are Ministers taking to help to improve those rates? They are stubbornly high, and we need to stop the higher prevalence of cancer in our area.
