ParlaMint-GB_2015-12-16-commons.u1	1. How her Department monitors outcomes of its spending in the Palestinian territories.
ParlaMint-GB_2015-12-16-commons.u19	Does my hon. Friend not agree that the ill-considered, short-sighted campaign for boycotts and disinvestment is actually leading to more unemployment among the Palestinian people?
ParlaMint-GB_2015-12-16-commons.u20	The problem faced by Gaza is restrictions, and the extension of restriction by any means is a block to peace.
ParlaMint-GB_2015-12-16-commons.u21	3. What steps she is taking to encourage the availability of low-cost credit for start-up businesses in developing countries.
ParlaMint-GB_2015-12-16-commons.u22	May I place on record my personal respect for the work done by my predecessor and friend the right hon. Member for Welwyn Hatfield (Grant Shapps), not least his kick-starting of the Energy Africa campaign? As the hon. Gentleman knows, small and medium-sized enterprises will play a critical role in creating and sustaining much-needed jobs in poor countries. We have a range of programmes that focus on providing support and finance for microbusinesses, SMEs and, I am delighted to say, social enterprises.
ParlaMint-GB_2015-12-16-commons.u23	I know the Minister to be an innovator —he has that reputation—but will he consider carefully one way in which the United Kingdom can help? The UK is now the leading financial technology and crowdfunding centre of the world, and crowdfunding can deliver real opportunities to, in particular, women in the developing world to control their lives, finance start-ups, and do well in life. Will the Minister talk to other people, including the Chancellor of the Exchequer, with the aim of getting some real movement behind this?
ParlaMint-GB_2015-12-16-commons.u24	I completely agree with the hon. Gentleman, who is a long-term, passionate supporter of the power of the crowd. If we get the regulation and the technology right, the arrangements will be very sustainable. The hon. Gentleman may not know this, but we have a manifesto commitment to develop crowdfunding, and that is exactly what we are doing. We are backing the Global Village Energy Partnership, which will support 10 to 15 crowdfunding platforms in the energy sector in sub-Saharan Africa, and that is just the start.
ParlaMint-GB_2015-12-16-commons.u25	Does the Minister agree that businesses that support the conservation of endangered species should be promoted, and will he meet the all-party parliamentary group on endangered species to discuss that?
ParlaMint-GB_2015-12-16-commons.u26	Yes.
ParlaMint-GB_2015-12-16-commons.u27	I am deeply grateful.
ParlaMint-GB_2015-12-16-commons.u28	My party also welcomes the new Minister to his post. He has said that he will ensure that small local enterprises can flourish in developing countries, but what reassurances can he give us that funds intended for those purposes do not make their way into the hands of larger conglomerates or multinational companies when it comes to, for example, the building of schools or the provision of education?
ParlaMint-GB_2015-12-16-commons.u29	What is important to us is the creation of jobs. Those jobs will be created by a range of companies, and we will work with them to create a better economic environment in the countries in which we work. However, we know that 90% of the jobs will come from the private sector, and we know that most of the sustainable jobs will come from small and medium-sized organisations. We therefore give those organisations priority in respect of a number of the programmes that we are developing.
ParlaMint-GB_2015-12-16-commons.u30	How will DFID’s work with women and girls drive economic development in poorer countries?
ParlaMint-GB_2015-12-16-commons.u31	As my hon. Friend will know, that issue is enormously important to the Department and the Secretary of State. Inclusive growth and support for women and girls as part of economic development is a central pillar of our strategic framework for the future. We expect our support over the next seven years to help to mobilise finance for more than 200,000 SMEs, at least a quarter of which will be headed by women.
ParlaMint-GB_2015-12-16-commons.u32	Small businesses in Rwanda and Burundi face credit costs of up to 20%. I know that DFID’s TradeMark East Africa project is trying to deal with that, but small businesses in Burundi now face an upsurge in ethnic violence, with foreign fighters coming in from Rwanda. May I urge the Minister, as he undertakes the bilateral aid review, to look again at our decision to leave Burundi in 2011 and to look carefully at the potential need to go back in there and have a presence on the ground?
ParlaMint-GB_2015-12-16-commons.u33	I share the hon. Lady’s concern about the situation. We do not have a bilateral programme there, but we do a lot in terms of humanitarian support. I take on board fully her remark about the costs of capital to small organisations. I refer to my earlier answer: technology can help us to reduce such costs.
ParlaMint-GB_2015-12-16-commons.u34	4. What plans she has to provide support for economic development in Burma in response to the recent election result in that country.
ParlaMint-GB_2015-12-16-commons.u35	I congratulate the people of Burma on their historic elections, which were supported by British-funded trained observers. The elections are an important step towards greater democracy. The UK will support inclusive growth in Burma. We will support improvements to the business climate, including the financial sector. We will help to increase agricultural productivity, diversify livelihoods and encourage more private sector investment in infrastructure.
ParlaMint-GB_2015-12-16-commons.u36	In the wake of Aung San Suu Kyi’s amazing victory, will my right hon. Friend expand on what her Department is doing to increase the participation of women in Burma’s economy, which has been dominated for far too long by men and the military?
ParlaMint-GB_2015-12-16-commons.u37	My hon. Friend is absolutely right. Women face specific barriers to participation in Burma’s predominantly rural economy, and in access to finance, land skills and credit, so we are targeting those issues through programmes that have helped, for example, to provide affordable credit for over 140,000 women. We are also looking at how we can help women to move into other sectors, such as garments manufacture, where often conditions and pay are better.
ParlaMint-GB_2015-12-16-commons.u38	In assisting the Burmese nation and the new regime with international development, will the Secretary of State ensure that that regime is aware of the ongoing persecution of minorities in Burma, which needs to be dealt with as the new nation state takes shape?
ParlaMint-GB_2015-12-16-commons.u39	We will of course raise those issues. We know from so many other parts of the world that the Governments that are successful are the inclusive Governments with respect to minorities. One of the pieces of work that will be under way will be to double our support for a governance project that is taking place in the Burmese Parliament. That has seen our House of Commons Clerk go there in recent years. We will be doubling the number of Clerks there to help to ensure that the Burmese democracy can flourish, as ours has.
ParlaMint-GB_2015-12-16-commons.u40	5. What assessment she has made of the quality and availability of water and sanitation facilities in Gaza.
ParlaMint-GB_2015-12-16-commons.u41	It is completely inadequate. Demand exceeds supply by a factor of four, and 96% of the extracted water fails World Health Organisation safety standards.
ParlaMint-GB_2015-12-16-commons.u42	It is a terrible situation. Twenty-six per cent. of all diseases in Gaza, ranging from respiratory and gastric to skin and eye diseases, are directly associated with the poor water supply. Clean water is limited to 70 litres per person a day and that figure will fall drastically over the coming years. According to the UN, the underground coastal aquifer will become unusable by 2016. What can be done about that, or is it just a case of lifting the Israeli blockade and getting on with life?
ParlaMint-GB_2015-12-16-commons.u43	We are currently spending some €600,000 on a project to assist with desalination. Funds are available through our climate change fund for a long-term solution to this problem, but the level of investment and the marshalling of the factors of production will require a long-term peace process to be viable.
ParlaMint-GB_2015-12-16-commons.u44	The hon. Member for Stockton North (Alex Cunningham) speaks about the blockade, but surely if they did not embrace Hamas and continually fire rockets into Israel, there would not need to be a blockade in the first place.
ParlaMint-GB_2015-12-16-commons.u45	We work continually with both sides to ease the economic conditions and to bring about a settlement.
ParlaMint-GB_2015-12-16-commons.u46	Natalie McGarry? Not here.
ParlaMint-GB_2015-12-16-commons.u47	7. What steps her Department is taking to tackle the humanitarian situation in Yemen.
ParlaMint-GB_2015-12-16-commons.u48	This is one of the world’s worst human crises: 80% of Yemen’s 21 million people are in need of assistance. The UK is playing its part. We have committed £75 million and are the fourth largest donor.
ParlaMint-GB_2015-12-16-commons.u49	I am grateful to my right hon. Friend for that answer. Will he update the House on what role the UK Government are playing to help bring about a peaceful settlement of the conflict in Yemen?
ParlaMint-GB_2015-12-16-commons.u50	Peace talks began today, and yesterday a ceasefire commenced. I would urge all parties to observe the ceasefire. Her Majesty’s ambassador and DFID are in the margins of the peace conference affording what assistance they can.
ParlaMint-GB_2015-12-16-commons.u51	I welcome all the efforts that have been made by the Government, including the ceasefire, but the real problem is getting aid into Yemen. What can we do to raise the blockade?
ParlaMint-GB_2015-12-16-commons.u52	We have invested £1.7 million in the UN vessel investigation mechanism. I hope that that will have a quantum effect on the number of vessels that are able to dock in the ports—60 last month, 55 the month before. It is getting better, but we are far, far short of what is necessary.
ParlaMint-GB_2015-12-16-commons.u53	My right hon. Friend will no doubt be aware of the recent report by Save the Children that highlighted the devastating impact of the conflict on medical facilities in Yemen, with some 69 hospitals destroyed or damaged by the end of October. While one wishes the peace talks well, what can the Government do in the interim to ensure the combatants are dissuaded from targeting medical facilities?
ParlaMint-GB_2015-12-16-commons.u54	My right hon. Friend is absolutely right. That report is being scrutinised and investigated. We call on all combatants to observe international law, and my right hon. Friend the Foreign Secretary made this point very forcefully on his recent visit.
ParlaMint-GB_2015-12-16-commons.u55	Following that reply, does the Minister agree that there is an overwhelming case for the United Nations Human Rights Council, which in the last year has referenced international humanitarian law 17 times, to call for an investigation into breaches of international humanitarian law in Yemen?
ParlaMint-GB_2015-12-16-commons.u56	We supported the UN Human Rights Council resolution.
ParlaMint-GB_2015-12-16-commons.u57	The conflict in Yemen has seen 6,000 dead and 30,000 injured. The World Health Organisation says health services are on the brink of collapse. As it was world universal health coverage day yesterday, will the Minister today commit to help rebuild Yemen’s crippled system?
ParlaMint-GB_2015-12-16-commons.u58	We have already committed £75 million to this, the worst crisis in the world, and I do give that commitment. We are already planning for the reconstruction of Yemen.
ParlaMint-GB_2015-12-16-commons.u59	What discussions has the Minister had with the Foreign Office about concerning reports from Amnesty International and others that British-made weapons sold to Saudi Arabia are being used in the conflict, in breach of human rights laws?
ParlaMint-GB_2015-12-16-commons.u60	The UK has the toughest standards for the export of weapons. The hon. Lady should be aware that the coalition is acting in support of the legitimate Government of Yemen after an illegal coup by an armed—[Interruption]—force.
ParlaMint-GB_2015-12-16-commons.u61	For a moment I thought the right hon. Gentleman was going to be inaudible, which is pretty rare.
ParlaMint-GB_2015-12-16-commons.u62	T1. If she will make a statement on her departmental responsibilities.
ParlaMint-GB_2015-12-16-commons.u63	Since the last session of DFID questions, the House will welcome the news that Sierra Leone’s Ebola outbreak is officially over, and my thanks go to all those across Government, our armed forces and British non-governmental organisations who helped save an estimated 56,000 lives In terms of my written ministerial statement in 2012, we are on track to end our traditional aid programme to India by the end of this year, shifting to a relationship based on technical assistance and investment, and last month I became the first Development Minister ever to chair a meeting of the United Nations Security Council in New York, discussing the crisis in Syria and the importance of development to delivering peace and security.
ParlaMint-GB_2015-12-16-commons.u64	Britain has a lot to be proud of in its international development spending, but does the Minister agree that some brutal states continue to undermine the UK’s good efforts in the third world? With this in mind, does she agree that Qatar should be stripped of the World cup because the number of migrant, third world workers slaughtered there in the run-up to the World cup will be greater than the number of professional footballers playing there?
ParlaMint-GB_2015-12-16-commons.u65	I am sure that the people running FIFA will have heard the hon. Gentleman’s point very clearly. He will be aware that some of the work we do in DFID involves improving workers’ conditions, not least in places such as Bangladesh.
ParlaMint-GB_2015-12-16-commons.u66	I call Kevin Foster. Get in there, Mr Foster—your moment has arrived!
ParlaMint-GB_2015-12-16-commons.u67	T2. Thank you, Mr Speaker. Given the vital importance of a rebuilding process for Syria after the conflict, what discussions is my right hon. Friend’s Department having with our international partners and what financial commitments have been made to develop a long-term plan for that process?
ParlaMint-GB_2015-12-16-commons.u68	My hon. Friend will be aware that, as my right hon. Friend the Prime Minister has signalled, the UK has pledged to commit at least £1 billion to Syria’s reconstruction. We are already updating our existing planning for reconstruction, working with donors, United Nations agencies and the World Bank. The expertise of the UN, international financial institutions and the private sector will be essential. [Interruption.]
ParlaMint-GB_2015-12-16-commons.u69	Order. There is a lot of noise—probably animated discussions about Christmas shopping and the like—but we must hear the questions and the answers.
ParlaMint-GB_2015-12-16-commons.u70	How many Syrian refugees will the Government have resettled in this country by Christmas?
ParlaMint-GB_2015-12-16-commons.u71	The Prime Minister will be giving an update on that shortly, but I think we can be proud of the role that the United Kingdom has played in leading the humanitarian response to the Syrian crisis, and of all the support we have provided, right from day one, to the refugees affected by the crisis.
ParlaMint-GB_2015-12-16-commons.u72	T4. What steps can the Secretary of State take to assist Syrians displaced in neighbouring countries such as Jordan, especially over the coming winter months?
ParlaMint-GB_2015-12-16-commons.u73	In this financial year, we have provided nearly £13 million to 11 partners who are helping to prepare for and respond to the onset of winter across Syria, Lebanon and Jordan. That is going to help to provide warm clothing, blankets, fuel and cash to vulnerable families.
ParlaMint-GB_2015-12-16-commons.u74	T3. Two million Syrian children live in areas that are beyond the area of humanitarian assistance. In the light of the recent strikes, what action is the Secretary of State taking to try to reach those desperate children?
ParlaMint-GB_2015-12-16-commons.u75	We are constantly working with United Nations agencies and non-governmental organisations to try to improve our access within Syria. We estimate that there are probably around 500,000 people, including children, that we cannot reach, but we will try our level best to ensure that we maintain our existing network and to reach into those areas as the fighting stops.
ParlaMint-GB_2015-12-16-commons.u76	T8. Does the Secretary of State agree that her Department has a vital role to play in delivering on the UK Government’s commitments that were signed at the climate change conference in Paris last week?
ParlaMint-GB_2015-12-16-commons.u77	Absolutely. In fact, DFID is scaling up our renewable energy work in Africa. We are expanding the provision of climate risk insurance in vulnerable countries, and we are also supporting increased investment in low-carbon technology and clean energy research.
ParlaMint-GB_2015-12-16-commons.u78	T6. Given the increasing loss of life in Syria, Iraq and the Central African Republic and the escalating situation in Burundi, does the Secretary of State agree that the Government would benefit from applying a mass atrocity prevention lens in order better to focus their policy?
ParlaMint-GB_2015-12-16-commons.u79	The hon. Lady might be aware that, in our recently published aid strategy, we committed to investing around 50% of our DFID investment in so-called fragile and conflict states, precisely because we need to recognise that this is not just a matter of dealing with conflict after it has happened, and that we need to work to prevent it and to deal with fragility prior to issues taking place and causing huge distress.
ParlaMint-GB_2015-12-16-commons.u80	How much has my right hon. Friend’s Department spent in the past two years on humanitarian assistance in Syria and in the neighbouring countries that are receiving Syrian refugees?
ParlaMint-GB_2015-12-16-commons.u81	Over the course of the entire conflict, we have provided around £1.1 billion. That is our biggest-ever response to a humanitarian crisis. About half of that has been provided inside Syria, and around half has been used to support people in the region. There are now 4.4 million refugees outside Syria. It is vital that this work should continue, and we will continue to lead it.
ParlaMint-GB_2015-12-16-commons.u82	T7. Following the report produced by the University of Sussex for the Department, what does the Minister consider to be the main risks posed to most favoured nation low-income countries from the Transatlantic Trade and Investment Partnership?
ParlaMint-GB_2015-12-16-commons.u83	Not only is our aid policy helping to improve the prospects and the lives of millions of people in poverty around the world, but it is in our national interest. I have just talked about how what we are doing is important for UK security and international security, but it is also important in terms of prosperity. The international rules that the hon. Gentleman talks about can be a key way of enabling prosperity through allowing freer trade, which can help developing countries to trade their way out of aid dependence.
ParlaMint-GB_2015-12-16-commons.u84	What is DFID doing to stop the problem with malaria in the north of Uganda, which I am going to visit over the new year? I know that DFID is working hard there, but will she tell the House specifically what it is doing?
ParlaMint-GB_2015-12-16-commons.u85	We have a range of programmes, including in Uganda, that have helped with the cheap intervention of providing bed nets. We have seen over the past 15 years that the number of deaths from malaria has fallen by two thirds, which is important because some countries spend 40% of their health budget purely on responding to malaria.
ParlaMint-GB_2015-12-16-commons.u86	Last but not least, Deidre Brock.
ParlaMint-GB_2015-12-16-commons.u87	T9. Is the Secretary of State aware of the recent arrest in Malawi of two men for having consensual sex? Will the Government make urgent representations to the Malawian Government, echoing the calls of the US ambassador, calling on them to live up to their international human rights obligations and ensure that these charges are dropped?
ParlaMint-GB_2015-12-16-commons.u88	We will be making representations, and the hon. Lady is absolutely right to flag that up as a key area of human rights that needs to be addressed, wherever it takes place.
ParlaMint-GB_2015-12-16-commons.u89	Q1. If he will list his official engagements for Wednesday 16 December.
ParlaMint-GB_2015-12-16-commons.u90	I am sure the whole House will join me in wishing Major Tim Peake well as he begins his six-month stay at the international space station. We all watched his exciting take-off yesterday and as he is the first Briton to visit the international space station it signals a landmark in this country’s involvement in space exploration. I am proud that the Government took the decision to fund it, and we wish him the best of luck This morning I had meetings with ministerial colleagues and others, and in addition to my duties in this House, I shall have further such meetings later today.
ParlaMint-GB_2015-12-16-commons.u91	May I welcome today’s fall in unemployment to 5.2%, the lowest level in almost 10 years Stalking is a horrible crime. Dr Eleanor Aston, a GP in Gloucester and resident of Cheltenham, was harassed for several years by a stalker who slashed her tyres, hacked her water pipe, cut off her gas supply and put foul items in her letterbox. She and her family suffered dreadfully. The judge, in sentencing, said that if he could have given more than the maximum of five years, he certainly would have done. My hon. Friend the Member for Cheltenham (Alex Chalk) has raised the issue of sentencing guidelines with the Justice Secretary. Will the Prime Minister today give his support for greater flexibility and longer sentencing where it is clear that a stalker is a real menace?
ParlaMint-GB_2015-12-16-commons.u92	First, let me say how much I agree with my hon. Friend that stalking is a dreadful crime. That is why we have introduced two new stalking offences during this Parliament. I will certainly make sure that my hon. Friend the Member for Cheltenham has his meeting with my right hon. Friend the Justice Secretary. I cannot comment on the individual case without looking at it in more detail, but we are taking the action necessary and we will continue to do so On unemployment, I am sure that the whole House will want to welcome the fact that there are half a million more people in work in our country in the last year alone. We have had wages growing above inflation every month for a year and the claimant count is at its lowest level since 1975. I am sure that will have a welcome right across the House.
ParlaMint-GB_2015-12-16-commons.u93	May I start, Mr Speaker, by wishing you, all Members of the House and all staff here, and Major Tim Peake, who is not on the planet at this time, a very happy Christmas and a peaceful new year The number of days that patients are being kept in hospital because there is nowhere safe to discharge them to has doubled since the Prime Minister took office. On 4 November, I asked him if he could guarantee that there will be no winter crisis in the NHS this winter. He did not answer then, so I wonder whether he will be able to help us with an answer today.
ParlaMint-GB_2015-12-16-commons.u94	First, let me join the right hon. Gentleman and be clear that I do not want to wish him the season’s greetings; I want a full happy Christmas for him and everyone in the House. He specifically asked about the NHS, so let me give him a specific answer. The average stay in hospital has actually fallen since I became Prime Minister from five and a half days to five days. One reason for that is that we kept our promises on the NHS. We put in an extra £12 billion in the last Parliament, and will be putting in £19 billion in cash terms in this Parliament.
ParlaMint-GB_2015-12-16-commons.u95	For the record, I did say happy Christmas. Perhaps the Prime Minister was not listening at the time. If he is so happy about the national health service, will he explain why he has decided to cancel the publication of NHS performance data this winter? There was a time, not that long ago, when the Prime Minister was all in favour of transparency. It was in 2011 when he said: “Information is power. It lets people hold the powerful to account, giving them the tools they need to take on politicians and bureaucrats.” Is it because the number of people being kept waiting on trolleys in A&E has gone up more than fourfold that he does not want to publish those statistics?
ParlaMint-GB_2015-12-16-commons.u96	First, the data that the right hon. Gentleman quoted in his first question were not published before this Government came into office. Let me quote some data about the NHS: on an average day, there are 4,400 more operations and 21,000 more outpatient appointments than there were five years ago when I became Prime Minister. Yes, there are challenges in A&E, but there are 2,100 more people being seen within four hours than there were five years ago, and there are more data published on our NHS than there ever were under Labour.
ParlaMint-GB_2015-12-16-commons.u97	There are huge pressures on the NHS, and they are largely due to the pressures on the adult social care system, which is under enormous stress at the moment. Indeed, there have been huge cuts in adult social care because of cuts in local government funding. The NHS chief executive, Simon Stevens, has called for a radical upgrade in prevention and public health. Does the Prime Minister agree that cutting these crucial services is a false economy?
ParlaMint-GB_2015-12-16-commons.u98	We are increasing the money that councils can spend on social care through the 2% council tax precept. The right hon. Gentleman mentioned Simon Stevens, but our NHS plan is Simon Stevens’s plan. For the first time, the NHS got together and wrote its plan. It asked for £8 billion, and it asked for the money up front. We committed to that plan, unlike Labour at the last election, and we funded it up front, which is why we see a bigger and better NHS. None of that would have been possible, including the action that we are taking on social care through the better care fund, without our having achieved a growing economy and an increase in jobs.
ParlaMint-GB_2015-12-16-commons.u99	The problem is to do with adult social care. This morning on BBC Radio 4, the NHS Confederation said that “cuts to social care and public health will continue to pile more pressure on hospitals and will worsen deficits in the acute sector.” What was announced on social care in the autumn statement falls well short of what is needed. The Health Foundation estimates that there will be a funding shortfall of £6 billion by 2020. How will the Government meet that shortfall?
ParlaMint-GB_2015-12-16-commons.u100	I am glad that the right hon. Gentleman listens to the “Today” programme. Perhaps he might even bother to go on it one of these days. A bit of transparency and sunlight would be very welcome. If he wants to swap quotations, this is what the chairman of the Local Government Association says: “The LGA has long called for further flexibility in the setting of council tax… Today’s announcement on council tax will go some way to allowing a number of councils to raise the money needed…The £1.5 billion increase in the Better Care Fund announced today is good news” It is this Government who funded the NHS; Labour did not. It is this Government who set up the better care fund; Labour opposed it. It is this Government who have the strong and growing economy. I note that we are on question four and there is still no welcome for the unemployment figures.
ParlaMint-GB_2015-12-16-commons.u101	The issue of adult social care and cuts in local government spending is very much the responsibility of central Government. Will the Prime Minister confirm that NHS trusts are forecasting a deficit of £2.2 billion this year? I understand—and he, as part of the Oxford anti-austerity movement, will be concerned about this—that his own local healthcare trust is predicting a £1.7 million deficit. There is a problem of NHS funding. Has he forgotten the simple maxim that prevention is cheaper and better than cure?
ParlaMint-GB_2015-12-16-commons.u102	How can the right hon. Gentleman possibly complain about NHS funding when his party did not commit to fund the Stevens plan? We are spending £19 billion more on the NHS—money that would not be available if we had listened to the Labour party. Now he says that social care is a responsibility of Government; everything is a responsibility of Government, but in fact, local councils decide how much to spend on social care, and with the better care fund, they have more to spend. But I challenge him again: how do we pay for the NHS? We pay for it by having more growth, more jobs, more people having a livelihood. Is he going to welcome that at Christmas time, or does he not care about the reduction in unemployment?
ParlaMint-GB_2015-12-16-commons.u103	I have a question from Abby, who wants to train to be a midwife, and she says: “I am 28 years old. This year I left my successful career to go back into university to re-train as a Midwife. I already have a debt of £25,000 from my first degree Well over half of my cohort have studied a first degree in another subject and many of my fellow colleagues have children and partners and elderly parents and mortgages Many people will be put off by the lack of financial support and massive debts.” In the spirit of Christmas, will the Prime Minister have a word with his friend the Chancellor, who is sitting next to him—it can be done very quickly—to reverse the cuts in the nurse bursary scheme, so that we do get people like Abby training to be midwives, which will help all of us in the future?
ParlaMint-GB_2015-12-16-commons.u104	First of all, I want Abby to train as a midwife, and I can guarantee that the funding will be there for her training, because there are thousands more midwives operating in the NHS today than when I became Prime Minister. Now the right hon. Gentleman mentions the question of nurse bursaries. The truth is that two out of three people who want to become nurses cannot do so because of the constraints on the system, and our new system will mean many more doctors and many more nurses. Since I became Prime Minister, we have already got 10,000 more doctors in the NHS and 4,500 more nurses. But all of this is happening because the economy is growing, the deficit is falling, unemployment is coming down, you can fill up a tank of gas at £1 a litre and wages are going up. Britain is getting stronger as we go into Christmas, because our economy is getting stronger, too.
ParlaMint-GB_2015-12-16-commons.u105	Q5. Yesterday, colleagues from both sides of the House formed a new all-party group on the armed forces covenant, which aims to scrutinise and support the fulfilment of the Government’s pledges to service personnel and their families. Will the Prime Minister join me in praising the incredible dedication of our armed forces and their families, especially those in my constituency at RAF Boulmer, at this festive time, when many are separated from their loved ones? Will he reaffirm his personal commitment to the House to delivering his armed forces covenant in practice and in full?
ParlaMint-GB_2015-12-16-commons.u106	I thank my hon. Friend for her question; she is absolutely right. As all of us get ready hopefully to spend time with our families this Christmas, there will be many in our brave armed services who cannot because they are serving abroad or at home, so we wish them the very best as Christmas comes. On the military covenant, one of the things of which I am proudest in the last five years is that we put that into law, adding to it every year by giving veterans priority in healthcare, increasing funding for veterans’ mental health services and prioritising school places for children. Every year we have made progress on the armed forces covenant, and every year I stand at this Dispatch Box we will continue to do so.
ParlaMint-GB_2015-12-16-commons.u107	The Prime Minister will shortly meet the Heads of State and of Government of the European Union. Will he heed the advice of former Prime Minister John Major and stop “flirting” with leaving the European Union, which would, in his words, be “very dangerous and against our national interests”?
ParlaMint-GB_2015-12-16-commons.u108	What I will be doing is getting the best deal for Britain. That is what we should be doing. This Government were the first to cut the EU budget, the first to veto a treaty, the first to bring back substantial powers to Britain. We have a great record on Europe and we will get a good deal for the British people.
ParlaMint-GB_2015-12-16-commons.u109	We were reminded this week that there is a very strong majority in Scotland to remain within the European Union, and the Prime Minister has failed—[Interruption.] I know his side does not like to hear it, but the Prime Minister has failed to give any guarantees that Scotland will not be forced out of the EU by the rest of the UK. Does he have any idea of the consequences of taking Scotland out of the EU against the wishes of voters in Scotland?
ParlaMint-GB_2015-12-16-commons.u110	This is a United Kingdom and this is a United Kingdom issue. Why is the right hon. Gentleman so frightened of listening to the people and holding this historic referendum, passed through both Houses of Parliament in the past week? I say get a good deal for Britain and then trust the people.
