ParlaMint-GB_2015-11-19-commons.u1	1. What steps she is taking to ensure that the UK meets its EU renewable energy target by 2020.
ParlaMint-GB_2015-11-19-commons.u13	The hon. Gentleman will be aware that yesterday I made an announcement continuing our support for offshore wind, which includes a potential application from the highlands and islands project. I hope that that was welcomed by him and by other promoters of offshore wind. I look forward to having further conversations with them, because offshore wind has a strong future in this country, but one that will also drive down prices.
ParlaMint-GB_2015-11-19-commons.u14	The borough of Kettering is doing more than most in contributing to the national renewables target, with a major wind farm at Burton Wold, another one at Rushton, and lots of applications being received for solar farms. However, one of the big issues is the delay in connecting these new farms with the national grid because of the lack of suitably qualified engineers across the country. What can the Department do, with industry, to solve this problem?
ParlaMint-GB_2015-11-19-commons.u15	It is good to hear of so much progress being made with renewable energy in my hon. Friend’s borough. We are working closely with industry to make sure that we support the skills and will continue to do so.
ParlaMint-GB_2015-11-19-commons.u16	There seems to be a difference of opinion between my hon. Friend the Member for York Central (Rachael Maskell) and the Secretary of State on progress towards our targets, but let us assume that the Secretary of State is right. If we are making such good progress, and bearing in mind that this is likely to be the warmest year on record, is now not the time to stretch ourselves by going to Paris with even tougher targets, to incentivise more renewables in the system?
ParlaMint-GB_2015-11-19-commons.u17	I can reassure the hon. Gentleman that we have the toughest targets in the whole world.
ParlaMint-GB_2015-11-19-commons.u18	Make them tougher.
ParlaMint-GB_2015-11-19-commons.u19	“Make them tougher”, he says from a sedentary position. We are well admired internationally, not only for our tough targets, but for our announcement on coal yesterday and for our structure of carbon budgets and constant monitoring. I am proud of that and I wish the hon. Gentleman would be, too.
ParlaMint-GB_2015-11-19-commons.u20	Progress has been much slower in meeting heat targets. The renewable heat incentive is due to close and as yet we have had no assurances of what will come next. Can the Secretary of State assure us that there will be continued support for decarbonising the heat sector?
ParlaMint-GB_2015-11-19-commons.u21	The hon. Gentleman is entirely right. The two areas of renewable energy where we need to make progress are transport and heat. The renewable heat incentive has been a success, helping 50,000 homes. My proposal for continuing it is currently with the Chancellor of the Exchequer, so we will have to wait until after the spending review.
ParlaMint-GB_2015-11-19-commons.u22	Does the Secretary of State agree that subsidising progressively unaffordable fossil fuels, many of which are produced abroad, while cutting off support for renewable energy at home when schemes are on the verge of being self-supporting, mitigates our chances of reaching our targets?
ParlaMint-GB_2015-11-19-commons.u23	It is not about one or the other. We intend to meet our targets while achieving the balance of supporting renewable energy and having fossil fuels as part of the mix. That is how we deliver secure, efficient and low-cost electricity nationally.
ParlaMint-GB_2015-11-19-commons.u24	Thousands of jobs have already gone and thousands more are at risk since this Government slashed support for renewables. Ministers have blocked onshore wind developments, slashed support for solar and are chopping and changing energy policy so often that the CBI says they are deterring potential investors. How many more renewable energy companies must go under—how many more jobs must be lost—before this Government will live up to our international commitments and end this assault on Britain’s clean energy industries?
ParlaMint-GB_2015-11-19-commons.u25	It is disappointing that, when talking about clean energy and low carbon, the hon. Lady failed to mention yesterday’s announcement. We are the first large developed country to announce a date for taking off coal. That is a great achievement and it is important as part of our future low carbon emissions. Our plan is for a green economy. We are continuing to develop jobs as well as support manufacturing and industry. I am proud of the direction we are taking.
ParlaMint-GB_2015-11-19-commons.u26	2. What assessment she has made of the effect of recent trends in wholesale energy prices on household bills.
ParlaMint-GB_2015-11-19-commons.u27	16. What assessment she has made of progress by the major energy suppliers on reflecting wholesale gas prices in consumer bills.
ParlaMint-GB_2015-11-19-commons.u28	Lower wholesale gas and electricity costs have contributed to the price of fixed-rate dual fuel tariffs falling by £100 compared with last year. Average domestic gas prices have reduced by 6.5% since the start of this year. All the major energy suppliers have reduced their standard gas tariffs at least once this year. The Government expect suppliers to make sure any reductions in the costs of supplying energy are passed on to consumers.
ParlaMint-GB_2015-11-19-commons.u29	In order to keep household bills down, it is vital that we invest in energy infrastructure. Does the Secretary of State agree that the proposed IFA2 interconnector station at the Daedalus airfield in Gosport, which will connect to Chilling in Fareham and provide a second electricity link between Britain and France, is a welcome development that will make a positive contribution to affordability and sustainability?
ParlaMint-GB_2015-11-19-commons.u30	My hon. Friend is right to say that interconnection can bring important, significant benefits to consumers by enabling access to cheaper electricity overseas, lowering household bills and supporting security of supply. The IFA2 project, along with others involving France, Norway, Belgium, Denmark and Ireland, is progressing through Ofgem’s regulatory regime, which is designed to bring forward interconnector investment in the consumer interest.
ParlaMint-GB_2015-11-19-commons.u31	Rising wholesale energy prices have a particular impact on the elderly, with an estimated 540,000 older households in fuel poverty in recent years. Evidence shows that a large number of elderly people are prevented from switching to cheaper tariffs, which can be found only through online comparison sites, because they simply do not have access to the internet. What is the Department doing to ensure that the major energy suppliers are making their cheaper tariffs accessible to the most vulnerable in society?
ParlaMint-GB_2015-11-19-commons.u32	My hon. Friend makes an important point. Switching is an important way to save money and reduce costs, and there is a huge choice available online. However, there is a problem for people who are not online, which is why my Department has funded, for the third year, the big energy saving network. The network provides funding for direct face-to-face advice, targeting the most vulnerable in society to help them through the switching process and ensure that they access the cheapest tariffs.
ParlaMint-GB_2015-11-19-commons.u33	Household bills in this country will never be manageable until the Government understand that it is not just the wholesale unit price of energy that matters, but the number of units each household needs to buy. We can make massive bill reductions with energy efficiency, and we can also end the scandal of so many British children going to bed tonight in cold homes. We have to do this. Ministers have promised me action for many years at the Dispatch Box. This Government’s record is abysmal. Come on, Secretary of State, let us do this for Britain.
ParlaMint-GB_2015-11-19-commons.u34	I do not agree with the hon. Gentleman’s conclusion, but I share his view that energy efficiency is an incredibly important way of saving money and helping householders. One of the most important ways of doing that will be through smart meters. Once people can access and see how much energy they are using, they will be able to use less of it. We are proud of the smart meter roll-out. We expect every household and business to have one by 2020.
ParlaMint-GB_2015-11-19-commons.u35	I spoke to the Secretary of State about this beforehand. Yesterday, I met Age UK, which informed me of its concerns about the lack of energy efficiency schemes for those living in park homes. Ever mindful of the fact that the age of those living in park homes is from 55 upwards to perhaps 80, if she wants to make efficiency savings for them, she could reduce prices. What has been done for park homes?
ParlaMint-GB_2015-11-19-commons.u36	We addressed some of the issues that are particularly challenging to park homes in the fuel poverty targets under the previous coalition Government. I agree with the hon. Gentleman that more needs to be done. It is particularly difficult for park homes without electricity meters. Those with electricity meters can access support, but the ones without them find it more difficult. I will certainly take that matter away and review it.
ParlaMint-GB_2015-11-19-commons.u37	4. What assessment her Department has made of the likely effect of changes to subsidies on the predicted deployment rates of renewable energy by 2020.
ParlaMint-GB_2015-11-19-commons.u38	9. What assessment her Department has made of the likely effect of changes to subsidies on the predicted deployment rates of renewable energy by 2020.
ParlaMint-GB_2015-11-19-commons.u39	17. What assessment her Department has made of the likely effect of changes to subsidies on the predicted deployment rates of renewable energy by 2020.
ParlaMint-GB_2015-11-19-commons.u40	Even with the actions we are taking to control levy control framework costs and to protect consumer bills, we remain on track to deliver at least 30% of our electricity from renewable sources by 2020. Detailed assessments of the impact of cost control actions were published by my Department alongside each of the measures as they were announced.
ParlaMint-GB_2015-11-19-commons.u41	Will my right hon. Friend confirm that the Government remain committed to renewables, while being tough on the costs of subsidy?
ParlaMint-GB_2015-11-19-commons.u42	My hon. Friend is absolutely right. There was a focus on the levy control framework, which was particularly my approach, as soon as we came into government. I was shocked to find the scale of the overspend and have therefore responded to keep consumer bills under control.
ParlaMint-GB_2015-11-19-commons.u43	In Eastleigh, solar generation has leapt ahead due to the feed-in tariff, and many of my constituents want that to continue. Will the Secretary of State ensure that clean energy is supported and that both large and small solar energy generators in my constituency are not harmed by future changes?
ParlaMint-GB_2015-11-19-commons.u44	I reassure my hon. Friend that we remain committed to clean energy, but in a way that minimises costs to consumers and maximises the benefits of the renewable industry to the UK. Our support has significantly driven down the cost of renewable energy and led to greater than anticipated levels of deployment.
ParlaMint-GB_2015-11-19-commons.u45	May I congratulate my right hon. Friend on her speech yesterday and warmly welcome her determination to reach zero subsidy? Does she agree with me that if we eliminated all subsidy for large-scale solar PV—photovoltaics—and concentrated it on domestic and small-scale solar PV, we could actually achieve our renewables target, protect jobs and reach zero subsidy and grid parity within the LCF earlier than 2020?
ParlaMint-GB_2015-11-19-commons.u46	I share my hon. Friend’s enthusiasm for reaching grid parity and his support for solar in general. Solar has been a great British success story: costs have come down and delivery has far exceeded expectations. He will be aware that we are considering the consultation at the moment. The consultation closed after we received the responses, and I will report back on it. I will take his suggestions under advisement.
ParlaMint-GB_2015-11-19-commons.u47	Will the Secretary of State now have a go at answering the question asked by my hon. Friend the Member for Wigan (Lisa Nandy) about how many more thousands of jobs will be lost in the renewable energy sector as a result of her Government’s decision to pull the plug on solar and onshore wind? How does she respond to the comments of the United Nations chief environment scientist Jacquie McGlade, who recently said that Britain now, under the Tory Government, is sending a “worrying signal” by “shifting away from clean energy as the rest of the world rushes towards it”?
ParlaMint-GB_2015-11-19-commons.u48	Once more, with the right hon. Gentleman’s comment, we hear an Opposition Member fail to mention the fact, as announced yesterday, that we have put a date on the end of coal. I have received huge congratulations from international commentators. The situation is completely different from the one he tries to paint. The Government are committed to growing the renewable industry, are proud of the amount by which it has grown and will continue to support it, including through job creation.
ParlaMint-GB_2015-11-19-commons.u49	Progress in renewable electricity generation has been put in jeopardy, particularly in rural communities, with the ending of renewables obligation certificates for wind turbines for farm generation of electricity. Will the Secretary of State provide a response that brings hope to those in rural communities?
ParlaMint-GB_2015-11-19-commons.u50	The hon. Lady will be aware that Northern Ireland has the option to fund that itself. We made a decision, which was set out in our manifesto, to provide no additional support for onshore wind and we will stick to that.
ParlaMint-GB_2015-11-19-commons.u51	Onshore wind is demonstrably the cheapest form of renewable energy, yet its route to market has been constrained. The Government’s no new subsidy commitment in their manifesto is clearly being implemented. Would the Secretary of State support the concept of subsidy-free onshore wind? If so, does she agree with the assessment of the Committee on Climate Change of what would constitute subsidy-free onshore wind?
ParlaMint-GB_2015-11-19-commons.u52	That is a very interesting question. I said last time I was in the Chamber that we would look at that idea and we will continue to do so. I remind the hon. Gentleman that we have said that there will be no new subsidy and that such schemes must be supported by the local community. We are happy to engage with developers and have that discussion if they have a proposal.
ParlaMint-GB_2015-11-19-commons.u53	Renewable energy is vital to the local economy in my constituency. It is encouraging that one of the big investors, DONG Energy, welcomed the announcement by my right hon. Friend yesterday. It is important that we develop an energy cluster on the Humber to reduce costs and maximise benefits. Will she assure me that she will do all she can to achieve that?
ParlaMint-GB_2015-11-19-commons.u54	My hon. Friend is absolutely right. I received a message of support from DONG Energy, which is a big investor in offshore wind. The UK is rightly proud of its offshore wind sector. We have more offshore wind than the rest of the world put together. There is a lot of interest in that internationally and it has great export potential. We will continue to support it.
ParlaMint-GB_2015-11-19-commons.u55	I applaud the Secretary of State’s announcement yesterday in her reset speech that coal will be phased out by 2025 on the grounds of its unacceptably high carbon emissions. In the same speech, she indicated that temporary subsidies to assist the deployment of renewables, which are the lowest-carbon alternative energy source, would come to an end, while permanent subsidies for the deployment of gas, which is a far higher carbon alternative, would be maintained. On reflection, does she find those positions at all contradictory?
ParlaMint-GB_2015-11-19-commons.u56	I congratulate the hon. Gentleman on his new role. Our position is that subsidies are supposed to be temporary. That is why I set out a plan yesterday to reduce the subsidy for offshore wind. The industry is happy to engage with us on that basis. We will set caps with it and, I hope, deliver offshore wind with it at a lower price than has been achieved before. On the other subsidies that he mentioned, we are making sure that we deliver a balance. There has been woeful underinvestment in infrastructure over recent decades. Under Labour, no nuclear power station was commissioned, which was a disgrace. We will move forward with a secure supply of electricity.
ParlaMint-GB_2015-11-19-commons.u57	6. What assessment she has made of the effectiveness of her Department’s spending on energy efficiency schemes in reducing fuel poverty.
ParlaMint-GB_2015-11-19-commons.u58	18. What assessment she has made of the effectiveness of her Department’s spending on energy efficiency schemes in reducing fuel poverty.
ParlaMint-GB_2015-11-19-commons.u59	From 2013 to the end of August this year, the energy company obligation had installed about 887,000 energy efficiency measures in more than 700,000 households on low incomes or in deprived areas. We are clear that the support should go to those in the greatest need.
ParlaMint-GB_2015-11-19-commons.u60	I thank the Minister for her answer, but the huge drop in the installation of energy efficiency measures over recent years gives me no confidence that the Government are taking the scandal of fuel poverty seriously. Research by the Association for the Conservation of Energy has shown that the installation of energy efficiency measures dropped by a staggering 65% between 2012-13 and 2014-15. What steps is the Minister taking to reverse that shocking trend?
ParlaMint-GB_2015-11-19-commons.u61	We are proud to have achieved more than 887,000 measures on energy efficiency. As my right hon. Friend the Secretary of State said yesterday, we will redirect our ECO budget in the coming years towards those in greatest need and those who are suffering from the worst impacts of living in cold, damp or drafty homes.
ParlaMint-GB_2015-11-19-commons.u62	With the withdrawal of Government funding for the green deal finance company, it is now even harder for overstretched families to afford energy efficiency schemes in their homes. Too often, poor quality housing stock leaves families in fuel poverty. What funding will the Minister introduce to help families to save money on their increasingly unaffordable energy bills?
ParlaMint-GB_2015-11-19-commons.u63	The green deal plan was a small percentage of our measures, and it was closed to new entrants precisely because it did not have the take-up that we had hoped for. Some 96% of installed measures are delivered through ECO, and, as I have explained, we have put in a bid to focus our ECO even more on the fuel poor, which is our top priority.
ParlaMint-GB_2015-11-19-commons.u64	Let us get to the crux of this issue. The Department’s stated goal is for as many fuel-poor homes as is reasonably practicable to be rated at least at band C for energy efficiency by 2030. However, between 2010 and 2013 that was achieved for only 70,000 fuel-poor households, leaving 95% still to be improved. Does the Minister accept that at that rate of progress, her Department will miss its 2030 target by 100 years?
ParlaMint-GB_2015-11-19-commons.u65	I do not agree with that. The key point is that an enormous number of homes do not currently reach the band C efficiency level, and we are determined to improve that as far as possible. That is why my right hon. Friend the Secretary of State announced yesterday that we will focus all our energy efficiency and fuel poverty budgets on the most needy. That is vital.
ParlaMint-GB_2015-11-19-commons.u66	7. Whether she will support proposals for a global goal on adaptation at the Paris climate conference in December 2015.
ParlaMint-GB_2015-11-19-commons.u67	The Government support the view that the Paris agreement should set out a long-term direction on adaptation for all countries. In 2014, only 16% of climate finance mobilised to developing countries supported adaptation, and it is clear that globally we must do more. That is why the Prime Minister has reaffirmed the UK’s commitment to aim to spend 50% of our climate finance on adaptation.
ParlaMint-GB_2015-11-19-commons.u68	Many constituents have contacted me following a campaign by ActionAid about the effects of climate change in developing countries such as Bangladesh, where flooding particularly affects women and children. In Paris, will the Secretary of State support a specific, binding goal that ensures that the wealthiest countries in the world support developing countries in adapting to climate change?
ParlaMint-GB_2015-11-19-commons.u69	I can reassure the hon. Gentleman that the Government are committed to getting a deal in Paris. We are aware that that deal will require considerable financing, which is why my right hon. Friend the Prime Minister announced that we will increase our commitment to climate finance up to $9 billion over this five-year spending period—a significant increase. We remain committed to making adaptation an important part of that, but we are not yet in a position to commit the rest of the world in terms of the final deal that will be reached.
ParlaMint-GB_2015-11-19-commons.u70	The Paris conference of the parties aims to replicate the successful method of the UK Climate Change Act 2008—a long-term goal that is specified under a legally binding agreement that achieves stability through a series of five-year reviews. The Secretary of State has abandoned long-term targets and destroyed the stability of the investment framework, and last night her Department’s emissions calculator showed that after her reset speech the shortfall against the fourth carbon budget has increased by 54 million tonnes of CO2, which is 10% away from the legally binding fourth carbon budget. Does she now feel more shame showing her face in the city of Paris, or in the city of London?
ParlaMint-GB_2015-11-19-commons.u71	I find the hon. Gentleman’s question disappointing. The UK is rightly proud of our Climate Change Act, and of the targets and aims that we are setting for ourselves. We will provide leadership in Paris. The number of texts and notes that I received yesterday after creating that strong sign on coal was remarkable. I urge the hon. Gentleman to stop knocking the United Kingdom’s negotiating position, and to start supporting us in leading and getting a global deal
ParlaMint-GB_2015-11-19-commons.u72	8. What contribution her Department is making to cross-departmental work on the Government’s environmental agenda.
ParlaMint-GB_2015-11-19-commons.u73	Ministerial colleagues in DEFRA lead the Government’s environmental agenda overall. My Department leads work to cut carbon emissions, which is essential for protecting our environment for future generations. Working across Departments is essential to deliver our carbon commitments. Let me give two examples: we are cutting emissions, driving innovation and creating jobs through our joint work with the Department for Communities and Local Government on energy efficiency and with the Department for Transport on low emissions vehicles.
ParlaMint-GB_2015-11-19-commons.u74	To take my right hon. Friend away from the UK, Ascension Island is one of the last refuges for the global stock of large fish, including tuna, marlin and sailfish. With that in mind, will she update me on progress in creating a marine conservation zone around Ascension Island and other British overseas territories?
ParlaMint-GB_2015-11-19-commons.u75	I thank my hon. Friend for his important question. We are working with overseas territories on their current marine management arrangements to audit them and provide support in addressing gaps. In particular, we are working with the Ascension Island Government to balance their ambition for a sustainable fishery with the development of a marine protected area.
ParlaMint-GB_2015-11-19-commons.u76	The Secretary of State may know that Cambridge City Council had to cancel plans to put solar panels on 1,000 homes after her changes in policy. What discussions has she had with colleagues in the Department for Communities and Local Government ahead of her abrupt policy changes?
ParlaMint-GB_2015-11-19-commons.u77	We always work across Government and ensure that everybody is consulted on major changes. The particular issue of solar on public houses will form part of the consultation, and I will be making further announcements in December.
ParlaMint-GB_2015-11-19-commons.u78	The Secretary of State for Communities and Local Government agreed a city region deal this week for Merseyside without including the tidal and barrage schemes that were part of the bid. It was said that the Department of Energy and Climate Change was pushing back against them. Is that true?
ParlaMint-GB_2015-11-19-commons.u79	I am afraid I do not have a full answer to give the hon. Gentleman, but I am happy to write to him further when I have an answer.
ParlaMint-GB_2015-11-19-commons.u80	Put it in the Library. We will all be grateful.
ParlaMint-GB_2015-11-19-commons.u81	10. What steps she is taking to encourage the building of further new nuclear reactors.
ParlaMint-GB_2015-11-19-commons.u82	My hon. Friend will be aware that the Government are committed to an expansion of new nuclear power, which is a vital part of our work to build a clean, affordable, safe and reliable energy system for the future. The industry is taking forward proposals to build six new nuclear power plants, providing 18 GW of low carbon power in the UK. We are in regular contact with it.
ParlaMint-GB_2015-11-19-commons.u83	Following the recent welcome announcement that China will be involved in the provision of new nuclear, will my right hon. Friend reassure the House and my constituents that all proper safety and security measures will be taken, and that a robust mechanism for monitoring such will be in place?
ParlaMint-GB_2015-11-19-commons.u84	Yes, I can absolutely reassure my hon. Friend. Safety in our nuclear plants is of paramount importance. Any operator of a UK nuclear plant must meet the UK’s stringent safety and security regulations, which are enforced by an independent regulator. They provide a whole range of controls, including safe and secure operation, consumer protection, security of UK supply and enforcement of contractual obligations.
ParlaMint-GB_2015-11-19-commons.u85	I wish the Government would apply their horror of subsidies to the nuclear sector. The Secretary of State’s response to the cross-party objection to the departmental minute on Hinkley fails to address concerns that rather than a £19 billion liability on the public purse, Hinkley may in reality mean an eye-watering £45 billion bill for householders and taxpayers. That is just for one new power station that will not boil a kettle for another decade. At the very least, does she agree there must be a full Commons debate on the issue and an independent examination of the costs before proceeding?
ParlaMint-GB_2015-11-19-commons.u86	The hon. Lady can, of course, use the normal methods for encouraging a debate. There have been many already. Hinkley Point offers low carbon affordable energy that is highly cost-competitive with clean energy sources. The point is that it is base-load. The UK bill payer will not have to pay a penny until it is actually generating. That is very good value for the UK bill payer.
ParlaMint-GB_2015-11-19-commons.u87	First, I would like to congratulate the Secretary of State on her masterly speech yesterday Does the Minister agree that we need a mix of energy, including nuclear, which I am pleased to say we have in my area of Somerset, as well as solar and wind? It has to be a balance, it has to be at the best cost and it has to be about innovation, which will, in itself, create the sorts of jobs in the energy sector that Opposition Members are worried we are losing.
ParlaMint-GB_2015-11-19-commons.u88	My hon. Friend is exactly right. We need an energy mix, which is exactly what we are achieving and what my right hon. Friend the Secretary of State set out in her speech yesterday. I was delighted to visit Hinkley Point last week and see the enormous pride and excitement in the area about the prospective jobs and work in the supply chain and the huge investment in the area. It is really good news for the UK and our energy security.
ParlaMint-GB_2015-11-19-commons.u89	Will the Minister remind the House how much the Government are spending on nuclear decommissioning and explain why it is the one sector to which market discipline does not seem to apply?
ParlaMint-GB_2015-11-19-commons.u90	The hon. Lady will know that the UK has an enormous nuclear legacy dating back to the 1940s and ’50s. A huge amount of work is being done at Sellafield and other sites to dispose safely of that nuclear waste. As she will know, the budget is extremely large—in the region of £3 billion—but that money is being spent to deal safely with this very long legacy. I can assure her, however, that new nuclear creates far less waste. We are planning a geological disposal facility to make sure that future taxpayers have nothing like that legacy to deal with.
ParlaMint-GB_2015-11-19-commons.u91	11. What discussions she has had with the Secretary of State for International Development on preparations for the Paris climate conference in December 2015.
ParlaMint-GB_2015-11-19-commons.u92	I have been working closely with my right hon. Friend the Secretary of State for International Development to secure an ambitious global deal in Paris. Tackling climate change and promoting sustainable development are two sides of the same coin. We cannot achieve one without the other. We cannot end extreme poverty any other way. The global goals established earlier this year provide a clear framework for sustainable development, with full integration of climate and environment goals.
ParlaMint-GB_2015-11-19-commons.u93	It is vital that we reach a binding agreement on tackling climate change in December, and I, too, welcome the Secretary of State’s announcement about closing coal-fired power stations by 2025, as it sets a strong example to other countries. Will she go further, though, and state what percentage cut in emissions by 2030 she is pushing for?
ParlaMint-GB_2015-11-19-commons.u94	We are focused on Paris at the moment. We are working with our EU colleagues, other countries and like-minded allies to bring along other countries that might be more reluctant or more difficult to get across the line. With our EU colleagues, we have set targets, such as that for a 40% reduction by 2030, but at the moment our focus is on Paris.
ParlaMint-GB_2015-11-19-commons.u95	12. What steps her Department has taken to encourage schools to invest in solar energy; what discussions she has had with the Chancellor of the Exchequer and the Secretary of State for Education on the effect of borrowing restrictions on investment by schools in solar energy; and if she will make a statement.
ParlaMint-GB_2015-11-19-commons.u96	In April 2014, my Department published a leaflet encouraging schools to invest in solar PV, which was followed up with a letter to local authorities in November 2014. We encourage deployment through the financial incentive of the feed-in tariff, but discussions are always ongoing with other Departments on what more can be done to help schools invest in solar.
ParlaMint-GB_2015-11-19-commons.u97	Thousands of schools cannot make their contribution on renewables and save thousands of pounds each year because of the Chancellor’s rules on borrowing to install solar. One school, Wilmslow High, wants to do this, and its local MP, a Mr George Osborne, has said: “I am happy to support you wherever I can”, but he is awaiting a reply from the Department of Energy and Climate Change. Will the Department reply to the local MP so that he can make representations to himself as Chancellor and end these ridiculous rules?
ParlaMint-GB_2015-11-19-commons.u98	I would like to apologise publicly to the local MP. I shall look into the matter today. Restrictions on school borrowing are necessary, however, to protect public sector accounts. School borrowing contributes to public sector net debt and borrowing—two important fiscal measurements that we must control in order to bring down the national deficit and retain economic confidence—which is why we have no plans to lift restrictions on borrowing.
ParlaMint-GB_2015-11-19-commons.u99	I feel sure that the Minister will have looked into the matter by lunch time.
ParlaMint-GB_2015-11-19-commons.u100	13. What recent assessment she has made of the potential merits of statutory regulation of the district heating sector.
ParlaMint-GB_2015-11-19-commons.u101	We do not believe that further statutory regulation is appropriate for the sector at this stage, but are keeping this under review. We welcome the voluntary consumer protection scheme, Heat Trust, which is launching next week. The scheme aims to provide customers with comparable protections to those available in statute to gas and electricity customers. We believe that, when combined with metering and billing regulations, this represents a proportionate approach to the consumer challenges in the sector.
ParlaMint-GB_2015-11-19-commons.u102	The vast majority of customers served by district heating networks, including thousands in my constituency, believe strongly that they do not offer a fair deal, and the industry-led solution, Heat Trust, will I think do little to allay fears in that regard or build consumer confidence. May I urge the Secretary of State to revisit the question of whether effective statutory regulation would give customers locked into these monopoly schemes a better deal?
ParlaMint-GB_2015-11-19-commons.u103	The hon. Gentleman raises an important point. I am aware that heating networks do not have the same regulatory framework. Heat Trust is launching on 25 November, following development and consultation with consumer groups and Government. I see that he has a certain doubt about the success of Heat Trust, but we will work closely to monitor its impact and will assess, based on its record, whether further action is needed.
ParlaMint-GB_2015-11-19-commons.u104	14. What assessment she has made of the effect of proposed changes to feed-in tariffs on solar power companies in the UK.
ParlaMint-GB_2015-11-19-commons.u105	15. What assessment her Department has made of the effect of proposed changes to feed-in tariffs on the number of jobs in the solar power industry.
ParlaMint-GB_2015-11-19-commons.u106	19. What assessment she has made of the effect of proposed changes to feed-in tariffs on solar power companies in the UK.
ParlaMint-GB_2015-11-19-commons.u107	During consultation on the proposed changes to the feed-in tariffs, we strongly encouraged all parts of the small-scale renewables sector to provide evidence on the likely impact. The actual impact on solar companies will, of course, depend on the options taken forward when the responses to the consultation have been considered.
ParlaMint-GB_2015-11-19-commons.u108	The Minister will be aware of the thousands of job losses on Teesside, with steel, construction and mining all shedding people. Even the Government are contributing to the misery, sacking hundreds of employees at Her Majesty’s Revenue and Customs. Does she really want to add thousands more from the solar, energy conservation and energy-intensive industries as a direct result of her policies?
ParlaMint-GB_2015-11-19-commons.u109	We are huge supporters of the solar sector. The point is that there is a balance to be struck between the enormous success in deployment, which is exceeding our expectations, and the impact on the bill payer. We have to keep that balance. We have consulted on it and will issue our response in due course, but it is absolutely our intention to see the solar sector continue to thrive.
ParlaMint-GB_2015-11-19-commons.u110	A number of leading solar community projects and green energy companies are based in my constituency, including Good Energy, which supplies more than 50,000 UK consumers. People who work in the industry fully understand the need for it to be sustainable, but they feel that a drop of up to 87% overnight is more than the industry can cope with, in terms of local jobs and growth. Will the Minister look at what more can be done to support existing projects and for mechanisms to keep the solar industry alive until grid parity is reached?
ParlaMint-GB_2015-11-19-commons.u111	I am grateful to my hon. Friend for raising this very important matter for her constituency. I can absolutely assure her that we are looking at it carefully. I had a round table meeting with a number of solar firms and heard their views at first hand before the consultation closed. We are looking carefully at the more than 55,000 responses and will come forward with our policy response as soon as we can.
