ParlaMint-GB_2015-09-09-commons.u1	We begin today with speeches to mark Her Majesty the Queen becoming our longest serving monarch.
ParlaMint-GB_2015-09-09-commons.u12	It is a great honour to be able to pay tribute to Her Majesty on this very important day. I have only managed to meet Her Majesty on two occasions; obviously in the years to come I expect an audience more regularly. On the first occasion I met her, she gave me advice on how to cope with casework. On the second occasion, on her visit to Kendal in Westmoreland, there was very nearly an incident when a very well-meaning local councillor, Councillor Walker, decided to—I can only say—lunge across a crowd of 30 or 40 people carrying a bar of Kendal mint cake to offer to Her Majesty, which she accepted with great grace, looking forward, I am sure, to enjoying it. I have to say that the security services were less excited—or rather very excited—by that lunge. I also thank Her Majesty for the occasion of her silver jubilee in 1977, when she gave me my first, and so far only, experience of being able to dance around a maypole We are, as a civilisation, very keen to categorise ourselves by our generations. Are we baby boomers; are we Thatcher’s children; are we generation X? The fact is that all of us here are New Elizabethans. We have all lived through that age—those 63 years and 216 days —when Queen Elizabeth II has reigned over us all. The values that she has embodied, which stand for all of us here, are about decency, about service, about civilisation, about stability, and about family. They are things that underpin our civilisation. It is all the more important that we recognise that Her Majesty occupies the most senior position in our society—indeed, the most privileged position in our society—but her conduct is marked by humility and service, not claiming the grandeur of office. On this great day, on behalf of my party and my county, I pay tribute to her service and her humility. Long live the Queen.
ParlaMint-GB_2015-09-09-commons.u13	May I add the thanks of everybody involved in all the voluntary organisations and charities to which the Queen has given leadership and inspiration over the years?
ParlaMint-GB_2015-09-09-commons.u14	A great speech—possibly the hon. Gentleman’s greatest ever!
ParlaMint-GB_2015-09-09-commons.u15	Q1. If he will list his official engagements for Wednesday 9 September.
ParlaMint-GB_2015-09-09-commons.u16	This morning I had meetings with ministerial colleagues and others, and in addition to my duties in this House, I shall have further such meetings later today.
ParlaMint-GB_2015-09-09-commons.u17	I echo the sentiments expressed earlier by the Prime Minister and all in this place in relation to Her Majesty the Queen Will the Prime Minister join me in congratulating parents of children who will attend the newly announced Solihull alternative provision academy, which will provide vital places for those with complex behavioural needs? Does he agree that Opposition Members who would scrap free schools would deny parents choice and children opportunity?
ParlaMint-GB_2015-09-09-commons.u18	My hon. Friend is absolutely right. The free schools movement is bringing what we need in this country, which is more good and outstanding school places. More than 250 such schools are already in existence and we want to see 500 set up over this Parliament. So far a quarter of free schools are classed as outstanding. [Interruption.] We have heard Labour’s Education spokesman, the hon. Member for Stoke-on-Trent Central (Tristram Hunt), speak out today. Perhaps he should praise the fact that a quarter of free schools are outstanding schools. They are not just what he has called, rather condescendingly, schools for “yummy mummies”; they are providing special schools and alternative provision schools. They are enhancing education provision in our country and we should be proud of the people who set them up.
ParlaMint-GB_2015-09-09-commons.u19	May I ask the Prime Minister about the refugee crisis? This is the largest movement of people across Europe since the second world war with, in just one month, more than 50,000 refugees arriving in Greece and thousands more setting off on foot to go from Hungary to Austria. The Prime Minister committed on Monday that we would accept 20,000 Syrian refugees over the next five years, but for these people 2020 must seem a lifetime away. Can he tell the House how many will be allowed to come to the UK by the end of this year?
ParlaMint-GB_2015-09-09-commons.u20	First, before I answer the right hon. and learned Lady’s question, I am sure the whole House will join me in paying tribute to her 28 years of Front Bench service as it potentially comes to an end this week. She has served with distinction in both Opposition and Government. Twice she has stepped into the breach as her party’s acting leader, which is never an easy job, but she has carried it out with total assurance. She has always been a robust adversary across these Dispatch Boxes and a fierce champion for a range of issues, most notably women’s rights, where she has often led the way in changing attitudes in our country for the better. Although we have not always seen eye to eye, she has served her constituents, her party and this House with distinction from the Front Bench, and I wish her well as she continues to serve this House and our country from the Back Benches Turning to the specific issue the right hon. and learned Lady has raised, she is absolutely right: this is the biggest crisis facing Europe. We have to act on all of the areas she mentions. We have to use our head and our heart. We have committed to taking 20,000 people. I want us to get on with that. There is no limit on the number of people who could come in the first year. Let us get on with it, but let us recognise that we have to go to the camps, find the people, make sure they can be housed, find schools for their children, and work with local councils and local voluntary bodies to make sure that when these people come they get a warm welcome from Britain.
ParlaMint-GB_2015-09-09-commons.u21	I thank the right hon. Gentleman for his generous words about my time on the Front Bench. It has been an absolute honour and a privilege to play my part in leading this great party We have to do all those things the Prime Minister has set out in relation to the refugees, but we still need to know, and we need a commitment, about the number we will take this year. This is an urgent crisis. If he cannot give us a number today, can he at least commit to go away and consult local authorities and throughout Government, and voluntary organisations and charities, and come back in a month and say how many this country will take this year It is welcome that the Prime Minister has said that we will take in Syrian refugees from the camps in the region, but he has ruled out taking in those who have made it to southern Europe. We understand his argument is that he does not want more people to put themselves in danger, but we have to deal with the reality. The reality is that thousands of people, including thousands of children without their parents, have already arrived in Europe. Save the Children has proposed that we take 3,000 of them into this country. Surely we should be playing our part to help those most vulnerable of children, even if they are already in Europe. Will he reconsider this?
ParlaMint-GB_2015-09-09-commons.u22	On the number that we can achieve over the coming year, we have the first meeting on Friday of the committee that will be chaired jointly by the Home Secretary and the Secretary of State for Communities and Local Government. We will invite representatives of the Local Government Association and possibly some voluntary bodies to that meeting to make sure that we can plan. It is one thing to give a commitment to a number, whether it is the 20,000 that I think is right or something else; it is another thing to make sure that we can find these people, get them here and give them a warm welcome. I hope that the whole country can now come together in making sure that we deliver this effort properly. The second point that the right hon. and learned Lady raised was about Europe. She talked about the reality in Europe. There is also a bigger reality, which is that 11 million Syrians have been pushed out of their homes and only 3% of them have so far decided to come to Europe. It is in the interests of the Syrian people and, indeed, all of us that we do everything we can to make sure that as many people as possible stay in the neighbouring countries and the refugee camps in preparation for one day returning to Syria. That is why Britain has led the way in funding the refugee camps, funding Lebanon and funding Jordan, and we will continue to do just that To answer the right hon. and learned Lady’s point about children, we will go on listening to Save the Children, which has done excellent work. A number of other expert organisations warn about the dangers of taking children further from their parents. The overall point I would make is that those who have already arrived in Europe are at least safe. If we can help the ones in the refugee camps—the ones in Lebanon and Jordan—it will discourage more people from making the perilous journey. All I can say is that from the conversations I have had so far with the leaders of, for instance, France and Germany, it is clear that they can see Britain playing her role, funding the refugee camps, meeting the target of 0.7% of GDP and welcoming 20,000 Syrians into our homes.
ParlaMint-GB_2015-09-09-commons.u23	All that is very important indeed and we support it, but what about the thousands of children who are already many, many miles from their homes—those who are already in Europe but who have no home? Surely we can play our part in helping some of those children too. I urge the Prime Minister to reconsider Of course planning has to be done for receiving refugees from the camps. It is right that the Prime Minister should meet local government, but when he has developed the plans, he should come back to the House. A month is enough time to be able to come back to the House and say how many we will take this year. This is urgent May I ask about the situation of the child refugees from the camps who the Prime Minister has said will be allowed to come here? They need sanctuary and security. We must not leave them living with the threat of deportation hanging over them. Will he assure us that they will not automatically be liable for deportation when they turn 18?
ParlaMint-GB_2015-09-09-commons.u24	I can absolutely give that assurance. The reason for resettling people with the five-year humanitarian visas is that it means we do not have to go through the normal asylum process. At the end of that, if people want to stay, they can make an application to do so and the assumption is that they will be able to stay. Some may want to go back to Syria, particularly if there is a settlement in Syria between now and then Let me answer the right hon. and learned Lady’s other questions. Obviously I will come back to the House on a weekly basis to answer questions, as well as making statements and appearing in front of the Liaison Committee. I will commit to ensuring that the Home Secretary and the Secretary of State for Communities and Local Government regularly update the House, because this is an enormous national exercise to ensure that we give a warm welcome to these 20,000 people. I am happy for them to do that. I know that Members of the House want to feed into the process with offers and ideas from their local councils Coming back to the point about children, yes we will be taking vulnerable children, including orphans, from camps in the region, as we have already. All the while, we will listen to the advice of the United Nations High Commissioner for Refugees, who advises caution on relocating unaccompanied children and applies that to the children who have already come to Europe as well.
ParlaMint-GB_2015-09-09-commons.u25	But the UNHCR does not tell us not to take children who are in those camps in Europe without their parents. I do welcome what the Prime Minister has said about not having a threat of deportation for those Syrian children who do come here. As the number of those fleeing to Europe via Turkey and Greece grows, it is right that we do not lose sight of those who are still making the perilous journey across the Mediterranean from Libya. Our Navy has rescued thousands of them already, and it is important that this level of search and rescue is maintained. Can he update the House on that?
ParlaMint-GB_2015-09-09-commons.u26	The update I can give is that so far, I believe, we have rescued 6,700 children. First it was done with HMS Bulwark, the flagship of the Royal Navy, which was then replaced by HMS Enterprise, which has continued this very good work. We will continue doing this work with allies and others as long as is necessary; we are also using the two Border Force cutters. But I think we should all be honest with ourselves and recognise that, particularly in the case of economic migrants leaving on the African route, we have to break the link between those people getting on a boat and getting settlement in Europe. All the evidence from these sorts of migration crises in the past, particularly the example of Spain and the Canary Islands, shows that you do need a way of returning to Africa people who are not fleeing for their lives but are leaving for a better life, because if you cannot break that link, an increasing number of people will still want to make that perilous journey.
ParlaMint-GB_2015-09-09-commons.u27	Of course, we do need to find ways of returning people where that is right, but we also have to make sure that we stop them drowning at sea when they are fleeing as refugees—I know the Prime Minister agrees with that. The EU must have a robust and realistic plan, and today the European Commission has announced further steps. The Prime Minister said he would look at whether there was a need for a special summit of EU leaders. We know there is one scheduled for October, but if there ever was a need for a summit of EU leaders that time is now. Will he call for one?
ParlaMint-GB_2015-09-09-commons.u28	I am happy to keep this under review, and I discussed it with Chancellor Merkel and President Hollande in the last couple of days. The meeting of the Home Affairs and Justice Ministers will be taking place in just a couple of days’ time. The British approach will be very clear: this must be a comprehensive approach. If all the focus is on redistributing quotas of refugees around Europe, that will not solve the problem; it actually sends a message to people that it is a good idea to get on a boat and make that perilous journey. That is not just my view; the Chair of the Home Affairs Committee, who is absolutely right about this, has said: “The answer is not quotas. All quotas will do is play into the hands of those who exploit vulnerable refugees.”—[Official Report, 1 June 2015; Vol. 596, c. 332.] Of course Europe has to reach its own answers for those countries that are part of Schengen. Britain has its own borders and we have the ability to make our own sovereign decisions about this, and our approach is to say, “Yes, we are a humanitarian nation with a moral conscience, we will take 20,000 Syrians. But we want a comprehensive approach that puts money into the camps, that meets our aid commitments, that solves the problems in Syria, that has a return path to Africa and that sees a new Government in Libya.” We have to address all those issues, and Britain, as a sovereign nation with its own borders, will do just that.
ParlaMint-GB_2015-09-09-commons.u29	But this is not about Schengen and it is not just about us as a sovereign nation doing what we can and should; it is about us working together with other countries. The refugee crisis presents a daunting problem that we are all striving to tackle, but we also have to address the underlying causes, which are conflict, global inequality and poverty. There are no simple answers, but we can address those only by working with other countries. The responsibilities we share, as well as the threats that we face, reach across borders in this globalised age. To be British is not to be narrow, inward-looking and fearful of the outside world, but to be strong, confident and proud to reach out and engage with the rest of the world. The Government should rise to this challenge of our time, and I urge the Prime Minister to do so.
ParlaMint-GB_2015-09-09-commons.u30	I agree with every word that the right hon. and learned Lady has just said. I would say that Britain, uniquely among countries in the world, meets its 2% NATO spending target—so we can play a role in terms of defence and helping to secure these countries—and reaches its target of spending 0.7% of GDP on aid. No other major country in the world meets those two targets, and I am proud that we do The right hon. and learned Lady talks about going to the causes of these crises, and she is absolutely right about that. We have to be frank: the eastern Mediterranean crisis, in particular, is because Assad has butchered his own people and because ISIL has, in its own way, butchered others, and millions have fled Syria. We can do all we can, as a moral, humanitarian nation, to take people, spend money on aid and help in refugee camps, but we have to be part of the international alliance that says, “We need an approach in Syria that will mean we have a Government that can look after their people.” Assad has to go, ISIL has to go, and some of that will require not just spending money, not just aid, not just diplomacy—it will, on occasion, require hard military force.
ParlaMint-GB_2015-09-09-commons.u31	Q2. The last exchange is the most important: with other countries, we have moral and practical responsibilities. My right hon. Friend the Prime Minister has said that we are presently the only country meeting the commitment to the world’s poorest and on military spending, and it would be helpful if he could explain how each helps us to deal with the situation in Syria and the surrounding areas.
ParlaMint-GB_2015-09-09-commons.u32	The point I would make to my hon. Friend is that the spending on aid is vital, because 11 million people have been forced out of their homes. Some of them remain in Syria and they need support, and some of them are in refugee camps and they need support. Many are being looked after in Lebanon, Jordan and Turkey, and those countries need our help. The aid budget has always been a controversial issue in our country, but people can now see the connection between the money we spend, the lives we save and the national security that we help to enforce back in the UK. The point I am making is not to change the debate now about what happens next in Syria, but we have to keep thinking about the fact that in the end nothing will make ISIL go away other than a confrontation, which we are seeing in Iraq and in Syria. We should be clear that ISIL being degraded, destroyed and ultimately defeated is in not just this country’s interests, but the interests of civilisation more broadly.
ParlaMint-GB_2015-09-09-commons.u33	The threat level from terrorism is listed as “severe” in the UK, and there are many challenging decisions for the Prime Minister to take in protecting public safety and for Parliament to consider. It has taken four months to re-establish the Intelligence and Security Committee. Can the Prime Minister explain what role he hopes that Committee will fulfil?
ParlaMint-GB_2015-09-09-commons.u34	The hon. Gentleman is absolutely right that the current level of threat is “severe”; that means that we believe that an attack is highly likely. These levels are set independently of Government. The Intelligence and Security Committee does very important work and there is a motion on the Order Paper today to see its re-establishment. I very much hope that he will be part of that Committee and will be able to be briefed in the way that other members of that Committee are briefed Is there a role for the Intelligence and Security Committee, which we have already expanded, to do even more to scrutinise the actions of the intelligence services and the Government? That may well be the case. As I announced on Monday, what we have done in terms of the strike against a British citizen in a country against which we are not currently at war is a new departure, and it is important that these things are properly scrutinised. I would argue that the first way to scrutinise them is for the Prime Minister to come to the House and for the House to question him—that is accountability. But is there a role for the ISC to look at these things—although not current operations? I am happy to discuss that with the new Chair of the ISC, who I hope will be appointed in the coming days.
ParlaMint-GB_2015-09-09-commons.u35	The Prime Minister talked about the importance of the Intelligence and Security Committee and parliamentary oversight and scrutiny. We learnt this week of a new UK policy of drone strikes against terrorist suspects in regions where there is not parliamentary approval for general military action. Will the Prime Minister provide all relevant information to the Intelligence and Security Committee, so that it can conduct a review?
ParlaMint-GB_2015-09-09-commons.u36	As I have just said, I am happy to discuss that with the Chairman of the Committee when they are elected—I said appointed, but I meant to say elected by the members of that Committee, because that is what rightly happens. I am happy to do that, with the only proviso that the Intelligence and Security Committee cannot be responsible for overseeing current operations. The responsibility for current operations must lie with the Government, who have to come to the House of Commons to explain that. I am not going to contract out our counter-terrorism policy to someone else: I take responsibility for it. But it is important that after these events have taken place, the ISC is able to make investigations.
ParlaMint-GB_2015-09-09-commons.u37	Q3. A slight change of tack. Over past weeks, I have met farmers across Taunton Deane facing severe difficulties owing to falling commodity prices in many sectors—lamb, beef, arable and dairy. These industries are the lifeblood of my constituency. Will the Prime Minister please give assurances that all efforts are being made to help these industries through this particularly tricky time? Farmers have campaigned on the streets recently to highlight their straits.
ParlaMint-GB_2015-09-09-commons.u38	My hon. Friend is absolutely right to raise this, because low commodity prices are causing problems for farmers not only here in the UK but also right across the European Union. Yesterday, in the Council of Agriculture Ministers in Brussels, we led calls for urgent action, and there will be a €500 million package of measures to help farmers. Here in the UK, we have obviously taken steps to help, which include introducing the Groceries Code Adjudicator to make sure we get a fair deal with the supermarkets; steps to make sure we do more on public procurement, to make sure that, where possible, public authorities are buying British food, because it is of such high quality; and also, as the Chancellor said in the Budget, to make sure we look at the tax treatment of farmers to try to give them a better deal at this difficult time.
ParlaMint-GB_2015-09-09-commons.u39	Q4. Two weeks ago, the Work and Pensions Secretary’s Department not only admitted to falsifying testimonies in leaflets, but published data on the deaths of people on sickness benefit, which showed that they are four times more likely to die than the general population. That was after the Secretary of State told the House that these data did not exist. Given that, and his offensive remarks earlier this week —referring to people without disabilities as “normal” —when will the Prime Minister take control and respond to my call for the Work and Pensions Secretary to be investigated for breaching the ministerial code?
ParlaMint-GB_2015-09-09-commons.u40	First, let me deal very directly with the publication of this data. This data was published because I promised at this Dispatch Box that it would be published, in a way that it was never published under any Labour Government. That is the first point I also think we should be clear about what this data shows. It does not show people being wrongly assessed as fit to work. It does not show people dying as a result of their benefits being taken away. If you listen to the organisation Full Fact, it has said—[Interruption.] I have to say to hon. Gentlemen shouting that two newspapers have printed that and had to retract it, so I think that people should actually look at the facts. A fact-checking organisation says: “It was widely reported that thousands of people died within weeks of being found ‘fit for work’ and losing their benefits. This is wrong.” Perhaps the hon. Lady should read that before asking her next question.
